1700699145# #这是单方面行为
1700499258# #文艺圈和金融圈是两个典型的不是靠辛勤工作（主流不是）而是靠投机取巧不劳而获的行业，和以劳动人民为统治阶级的新中国几乎是必然站在对立面的，最终还得是劳动人民自己创造，比如大刘的三体
1703810197# #反贼都这样
1700525241# #人家说不定晚晚很嗨呢，无需假设人家的不好来换取内心的平衡
1700440155# #发出来是希望大家一起来监督、督促有关部门能挽救这个已经不能回头的风气，让那片区域不出现下一个她，而她自己也能让夫家认识到你们看不到的问题！
1701258808# #淘宝越来越不行了，买东西只认拼多多，服务好，不喜欢就退。也不会有买了东西不发货
1700699427# #确实是编造了一部分
1701121537# #加点盐
1701389471# #哈哈哈哈哈，我家也有长寿基因。我总结一下，除了基因外，家族长寿的老人都是早睡早起，不喝酒不抽烟不吃辣。基辛格的基因出于王者中的王者了。
1700525786# #钻石。
1702038097# #顾左右而言其它，说明已经乱了方寸。
1702897455# #360是周鸿祎不是周鸿wei，字都打错了，真想喷你】
1701907937# #有道理
1701504824# #水杯里有三宝，女人直夸男人好！
1700350321# #嗯虽然有点无趣但的确是很适合家庭的男人。
1701044236# #哈哈这个赛道里几个大基金暂时都亏出血了，天安的产业园一言难尽。不是说预制菜没得做，而是方向和方法不对吧。我们有做海外供应链的，看几年后是否能成为厂长这里的案例吧笑cry
1703723654# #goodgoodgood
1700784774# #挡住了又没挡住doge
1702037741# #下一任接班人还没选好，我先当着吧doge
1701121567# #纯肉馅三开，素馅二开，不要用锅铲搅动，用笊篱贴锅边转动，并轻推锅底转动，以防粘锅底，总之，要轻轻的…。水里稍微放点盐，或者放点食用油，预防出锅粘。
1700373211# #放手并不代表不爱了，而是无可奈何的结果，不是不痛，是痛得犹如万箭穿心却要忍住想爱的冲动。
1701216035# #讲得对
1702219782# #今天是2023年12月11日农历癸卯年十月廿九（癸卯🐰日）今日冲鸡，财神正南。今日为黄道吉日。今日宜穿红色，紫色，粉色，玫红色，桔红色上衣为最佳。次吉穿绿色，蓝色。宜祭祀祈福废旧革新求知成人礼出行赴任搬迁订盟契约除虫蚁开工栽种求子治病纳财养生设备保养遛狗；忌
1700501027# #外面的口风都是统一的我们一切占优。但好像没有人去溯源，去了解，去质疑。就像一个人在床上准备睡去做个美梦。床底下却有个人拿着刀准备等你睡去割掉你的喉咙。
1700866955# #今天是2023年11月25日农历癸卯年十月十三（丁亥猪头日），今日冲蛇，财神方正西。今日为黑道日。今日宜穿绿色，蓝色上衣为大吉，次吉为黑色，宜祭祀出行见贵教育训练礼仪签约合账恩赦沐浴扫舍开张废旧革新解除治病求子修造整顿动土安葬；忌理发嫁娶开光。鼠开心，小心漏财，
1700750634# #一般搞科研的人，在当选院士之前都没有名气，因为名气过大不利于埋头科研，科研成绩不好就选不上院士。但是颜在当选之前的名气很大、人很红，可见现在院士的评选标准已经很功利化了。
1701041344# #初冬夜色。文/郝悦盛。。暮色苍穹星月光，。月照九州亮四方。。寒风不解明月情，。凛冽寒意达边疆。。。作于癸卯年十月十五（西元2023年11月26日）
1701244202# #站在人生的角度，能一直做喜欢的事情到这个年纪，然后没什么病痛的走掉，也算是很完美了。
1702426306# #看开点，少生气，不卷不耗，多爱自己收到
1700372295# #伟人气贯长虹，非宵小能比。
1702850666# #冬日。文/郝悦盛。。极地寒风凛冽吹，。冰天雪地纸屑飞。。冬云朵朵随风飘，。河水荡漾鱼儿追。。。作于癸卯年冬月初四（西元2023年12月17日）
1700747418# #你说的对
1703029393# #美国的资本家需要什么法律就定制什么法律
1700376258# #是的
1702601293# #浙江人会说什么呢，提升自己关注自己，好好工作好好赚钱，自己手里得有钱笑cry
1700348953# #good
1700349383# #说的是
1700988099# #男女反了吧，女的是由性生爱吧
1702037982# #前段时间看了奥康纳的传记《优雅与公正》心
1703846602# #晨雾。文/郝悦盛。。晨间大雾罩申城，。雾气弥漫尽朦胧。。朝阳东升驱雾霾，。满怀豪情奔前程。。。作于癸卯年冬月十六（西元2023年12月28日）
1703900012# #新华社权威消息，十四届全国人大常委会第七次会议在京闭幕，表决通过新修订的公司法、关于修改慈善法的决定等，决定任命董军为国防部部长，后面有很多其他任命，但作为曾经长达28年的军人，兴趣点的确聚焦在这里。。新任国防部长董军上将，现年62岁，61年生，山东烟台人，1978年考入海军大连舰艇学院，
1700373258# #成功属于那些待人真诚的人，用善言善行铺就通往成功的路。
1700610569# #我最开始的预想就是伊朗和沙特联手，虽然中间有波折，最后总算是实现了。doge另外，黄金美元又重新站上了2000，石油黄金天然气upup
1700443813# #头发也是，性格柔和了，发质也柔和了
1700699310# #通篇造谣文。。事实是该女子在家中开什么PA,惹恼了邻居被举报的。被查证共与十多个男的上床吐吐吐
1700444038# #运气不好的时候干什么都运气不好，说不定整容的时候人家都不给你认真做，所以这个时候就苟住，低调提升自己，降低被伤害的机会
1701945065# #大概是美国真顶不住了，加息想从中国吸血这招没起作用，加了那么久，没吸到血，自己快扛不住了，只好用造谣生事这招了摊手
1703723733# #小时候腊月初就开始有鞭炮声，那是要过年了允悲人家有喜事送鞭炮！现在到了大年三十都冷清清的允悲
1701821871# #没有所谓“和统”，北平模式以天津模式成功为基础的，和平手段和必要的武力手段双管齐下，才是统一的基本方略，区别只在于哪个手段用得多点罢了
1702899616# #诺大的东北，4座副省级城市，难道不能独树一极么？
1700749333# #创新药，高端医疗设备，10纳米半导体设备，3/5年后也迈入全世界TOP允悲允悲允悲
1702038221# #许加印就是听这砖家，才家破财亡的。嘻嘻
1702038175# #好好的中国人不做。
1703548736# #说给围城里的人听的，围城外的人永远理解不了，而且还会质疑和反问
1702971529# #彭行宽，就平处坐，向宽处行goodgoodgood
1700750621# #没法动了，学界固化的很严重了，院士分配就是古代的官荫。
1700699345# #它们呐，也没什么招了，反正就利用这种年代的信息差，使劲造谣、恶心人~~~
1704154577# #抗日女英雄成本华
1700784677# #举车举车举车夸我
1702897498# #人大还有张磊
1702164959# #我们什么时候能够合法地光明正大地使用？
1702971205# #蜡烛蜡烛蜡烛
1701733204# #克林顿：我旁边这位，你们看啊，二货呢！他能把苏联弄没了！哈哈……哈哈……哈哈哈！【广德人路过】
1700612360# #这也不是假话。马云减持套现，只是实现几百个小目标；强子如果不眼盲，也就不会出那档子事
1700360840# #所以，不管是夫妻还是情人，感情再深，关系再好，也不要伸手去要这三样东西。毕竟，要来的不是心意，而是可怜和施舍。
1700607538# #斗鱼虎牙，不用说这个知名度了吧
1700442226# #别字好多😄
1703202632# #晨间有感。文/郝悦盛。。寒冬阳光照颜面，。朔风之中稍觉暖。。地有寒气水结冰，。人有志气冲九天。。。作于癸卯年冬月初十（西元2023年12月22日）
1702520340# #今天是2023年12月14日农历癸卯年冬月初二（丙午🐺日），今日冲鼠，财神在正西。今日为黑道日。今日宜穿黄色，糖色，咖啡色上衣为佳，次吉宜穿红色，玫红色，紫色，粉色，桔红色。宜祭祀礼拜出行赴任会友悟道相亲问名求子治病契约纳财解除开工装修破土酝酿栽种；忌酒色、上
1701945612# #今天资本市场配合的挺到位，为什么要配合呢？它只不过是一个评级公司，哪谁在有意配合？
1701492140# #若自责就该早起，若快乐就继续睡。
1701122828# #君子爱财取之有道good
1700953187# #这帮人就知道祸害中国人的体质
1704154865# #抗美援朝，抗美援越，波尔布特访华，切格瓦拉访华，卡斯特罗访华，曼德拉解放南非，都和他老人家有关
1700350769# #真美好的回忆
1700350036# #女人喜欢你，她会通过身体接触，来传达亲密和信任。很容易滋生暧昧的情愫。
1700443649# #不要和老板做朋友good
1702633215# #必须死刑，杀一儆百
1702971076# #先生千古！蜡烛蜡烛蜡烛
1704095718# #体制内形容腐败的常用语。大概就是一些人出于利益需要，采用一些手段诱惑算计、拉拢腐蚀官员的行为。
1702551344# #这孙子大不孝哈哈
1701828195# #今天是2023年12月06日，农历癸卯年十月廿四（戊戌🐶日），今日冲龙，财神在北方。今天为黑道日。今日穿白色，银白色上衣为大吉，办事易成，开心轻松。次吉穿黄色，焦糖色，咖啡色。宜出行赴任契约教育培训行人道亲民研究悟道扫舍解除治病动土装修宠物加餐；忌求神忌置业忌吃犬肉
1704154739# #图片评论
1700698920# #给时光以生命，而不是给生命以时光
1700442906# #满篇干货good
1701249018# #许皮带确实牛逼，欠了相当于一个中国银行加农业银行goodgood
1701215876# #砖家丧天良。
1700499176# #是的是的，就是要把本该属于我们的阵地夺回来。
1702773557# #鲜花与自己促膝长谈，与孤独握手言欢——一禅小和尚
1702772458# #高屋建瓴的视野鲜花
1700360649# #对于一个家庭来说，女人是家中的财务支柱，如果女人离开了，财运也会随之流失。
1701343969# #宋朝部分宰相。1、范质。范质（911年—964年），字文素，大名宗城（今河北邢台市威县）人。五代后周时期至北宋初年宰相。。范质自幼好学，博学多闻。后唐长兴四年（933年）登进士第，官至户部侍郎。后周建立后，历任兵部侍郎、枢密副使等职。显德六年（959年），周世宗病危，托孤于范质等人。。获封萧
1701042231# #万恶的资本主义。
1700375760# #夫妻档社会团体，高层都是亲戚或者一个大院的。高层和中层搞暧昧。压榨员工咋活呀？？
1701945112# #穆迪的背后股东是巴菲特，贝莱德，先锋等基金。美帝金融攻击开始了。不过这只是想通过传播影响人心，影响投资者决策。
1702971261# #水的覆盖面太广
1700442326# #拿你有的换你要的
1700541816# #大破大立，不破不立，折腾吧
1700525222# #一般瘦子寄吧大，田女士欲仙欲死爽得很的
1702110632# #晨光吟。文/郝悦盛。。灿烂晨光拂面照，。满怀希望心情好。。拂去往昔烦与恼，。迎接生活新浪潮。。。作于癸卯年十月廿六（西元2023年12月08日）
1700383943# #不管什么时候，对人说话都要谨言慎行，开玩笑的话尽量少说
1700785482# #这么极端的有点让人害怕
1702600719# #乘客们冷静互助，没有踩踏挺好。等查出具体原因
1700498876# #抱抱抱抱我当时听到也很触动，我现在还能回想起那一瞬间的画面，耳边的吵杂声，风声，阳光，来来往往的车，她说话的温柔神情。虽然她可能完全想不到她这么随意聊天说的话会给我这么多触动。我不理解为什么🇺🇸人认为自己有资格指点你们，看到这一句有点想哭苦涩苦涩
1702859810# #二腻子……允悲
1700552681# #还没，等沙伊达成一个共识。
1701907674# #与人交往只筛选不教育，不浪费时间是改造他人。
1700375626# #转发微博
1701215823# #2023年11月29日农历癸卯年十月十七（辛卯🐰日），今日冲鸡，财神正东方，今日为黄道吉日。今日宜穿红色，紫色，粉色，玫红色，桔红色上衣较好；次吉，穿绿色，蓝色。今日宜祭祀祈福纳财出行会友赴任亲民契约和气不逾矩养生治病；忌伐木浪费水忌酿酒忌结婚订婚忌嫁娶。鼠利交际,
1701907523# #好
1703723558# #氛围仪式感也很重要❗️以前团聚吃饭的人，都在排着队慢慢消失在这个世界，现在都没有什么年味了。
1703676190# #为有牺牲多壮志，敢教日月换新天心心心
1702165059# #犹太人的公司
1703909582# #晨间感悟。文/郝悦盛。。晨间喧嚣隆隆鸣，。路上车辆急急行。。飞驰而过留余音，。人生匆匆留美名。。。作于癸卯年冬月十八（西元2023年12月30日）
1702773582# #对待别人的东西，像贪吃的老虎，对待自己的东西，像吝啬的老鼠——谚语
1700500931# #good
1700441640# #去医院：不拍照，不发朋友圈。
1700663863# #哈哈
1700824854# #爱是真爱吵也死吵哈哈哈
1703029485# #不可笑，中国到处都是圈子文化，一个个"国之栋梁”像狗一样往圈子里钻。不入圈的人你就自闯天下吧。
1700402838# #有，浦东某国际社区疫情前2000万，疫情后1500万
1700785645# #证明你很奈斯
1700525516# #扯淡。这是哪家机构调查的，没有事实依据的排名，最好别瞎搞。
1702971045# #good
1700351004# #底纹不一样，男的明显些。
1700750365# #学问咱不懂，这种跑回来又跑出去，还回来蹭的，真心反感污污污污污
1702113057# #12.烦恼像根葱，往里一看全是空。
1701470136# #今天是2023年12月02日农历癸卯年十月二十（甲午🐺日），今日冲鼠，财神在东北方；今日是黄道吉日，大吉大利。今日宜穿黄色，焦糖色，咖啡色上衣较好，为大吉。次吉，穿红色，玫红色，紫色，粉色，桔红色。宜祭祀祈福出行悟道谢神恩相亲问名求子沐浴废旧扫舍安心会友亲民订盟装修
1702038262# #藏富于民，是一切一切的根本。要增加社会总财富量，政府引导这部分财富的用途和使用方向。而不是一味地靠增发纸币和地方债，应对流动性枯竭，没有参照物。虚增的货币，会空转，在生产生活中产生巨大的副作用，后患无穷！
1700443986# #good
1700524358# #日本的中药产业和中国的中药产业完全不在一个等级，是外强中干。
1702971157# #蜡烛四年四度军都春，一生一世法大人
1703462123# #今天是2023年12月25日，农历癸卯年冬月十三（丁巳🐍日），今日冲猪，财神在正西，今日为黄道吉日。今日穿黄色，焦糖色，咖啡色上衣为最佳，次吉穿红色，玫红色，紫色，粉色，桔红色。宜祭祀祈福赴任搬迁求子家教恩赦纳财订盟契约解除治病维修房屋开光远行注意保全财物；忌嫁娶
1701314285# #放屁应该是全考场都需要她道歉
1700373440# #这不是性别的问题，这是需求和匹配度的问题，这个老板需要的是崇拜自己的伴侣，和男女没什么关系
1701821658# #不是那么讲的，技术发展不是线性模型。我们现在有高超霸权，我不用说优势用是因为高超对现有体系是碾压打击，直接消灭核心节点，然后它的残破体系就会被我们的完整体系碾碎。但是这东西老美也已经快摸着门了，错过这个窗口就得准备打恶战，像毛子一样打烂仗
1702465612# #一腔热血，必不成功
1703676414# #可上九天揽月，可下五洋捉鳖，谈笑凯歌还。世上无难事，只要肯登攀。航天员航天员航天员
1700747448# #有种雅典娜女神的感觉老师好
1701122840# #好老板！有底线！good
1704095947# #如果双方或一方是婚内，是“通奸”；如果双方都是单身，那就是未婚生育，不办生育证的话，就是“计划外生育”！允悲
1700825550# #君子论迹不论心，如果次次都要论迹又论心，那世界上就没有好人了，因为可以从各种角度上去解读一个人的心里，而且也无法证伪
1700552027# #可能忌木
1702425453# #乱讲，一个司令员怎么可能排在政治局常委前面呢？。。。
1703810155# #没摊专家自己头上。
1702164339# #满满的全是幸福啊可爱
1701042142# #预制菜的场景不是普通生活，它的场景是快餐，旅游，郊游，忙的时候不能好好做饭，就像吃泡面和火腿肠一样。
1701218670# #砖家的屁股没坐对位置啊
1701343104# #今天是2023年11月30日农历癸卯年十月十八（壬辰🐉日）今日冲狗，财神在正南方，今日为黄道吉日，大吉大利。今日穿白色，银白色上衣为大吉，次吉，穿黄色，焦糖色，咖啡色。宜祭祀祈福善行福泽家人赞美解除废旧革新维修保养扫舍出行赴任亲民契约平治道途，迁徙动土安床栽种成人
1700750665# #good
1703373085# #今天是2023年12月24日农历癸卯年冬月十二（丙辰🐉日），今日冲狗，财神在正西方，今天是黄道吉日。今日宜穿白色，银白色上衣较好，穿黄色，泥土色，次吉，为比肩。宜祭祀祈福亲民纳财纳畜酝酿相亲问名革新扫舍私人定制沐浴动土牧养养生治病；忌出行搬家修灶嫁娶哭泣。鼠宜友好
1700376909# #尽量不给别人添麻烦，别人最好也别麻烦我。这句话不是冷漠，是成熟。goodgoodgood
1701820497# #是的
1703723057# #对呀。去年除夕到正月初五还是初七，不禁放，正月15也是，瞬间就有了小时候的感觉了心
1701475511# #女的不爱也这样。所以，不爱还分什么男女。
1701217867# #狗屁砖家
1702112468# #应先调查清楚肋骨是怎么折的，再进行判决。人命关天，受害者和嫌疑人的生命都应得到尊重，所以都应调查清楚，还原事件全部真相。
1701061315# #领导说催菜，就是有事情要背着你谈，一定赶快去催菜。
1701122014# #欢迎回家！
1703676429# #雄关漫道真如铁，而今迈步从头越
1701121493# #今天是2023年11月28日，农历癸卯年十月十六(庚寅🐯日），今日冲猴，财神在东方；今日为黑道日。今日宜穿红色，紫色，粉色，玫红色，桔红色上衣较好；次吉，穿绿色，蓝色。宜祭祀祖宗祈福出行会亲友相亲问名亲民订盟订婚开业纳采纳畜动土修造维修保养行人道签约理发修手足甲恩
1700748086# #我家里是有很多中药了，目前给二三十个人在调理。老妈十年糖尿病，断降糖药一年了，身体越来越好。我为什么学，因为外面的中西医太蠢了，治不好老妈的胃病。注射中成药肯定不是中医研发的，中药喝的是药味，脾胃经过运化拨通调整身体的各项开关，使身体回到不热不寒不湿不燥的状态，直接注射就是害人。
1700373525# #男人在家里没有得到的，在外面遇到了，毫无招架之力
1702551403# #這孫子賊頭賊腦的，幾十年從未改變過！
1701244181# #一代传奇，投资大师🙏
1701045476# #估计也没人告诉过他，战场上拿不到的，谈判桌上也别想拿到。
1702971670# #往事勿念，玄师说的对啊，不纠结过去了，因为已经过去了，即便是当下此刻，于时间空间而言，已然是过去了，加油，向光而行🙏🙏🙏
1701908325# #总结：时刻，专一，付出。
1700784632# #哥哥细说，我有流量泪
1702633513# #海味是周海媚的昵称啊，九十年代她正当红的时候大家都这么叫他
1701906682# #有一天提到银行让人想起保险的话，银行就烂了
1701044144# #马老板的花呗借呗的钱也是银行的，用银行的钱做本金然后高利息贷款给你们，能还钱最好它净赚利息，还不上反正本金是银行的它也不亏
1701042180# #是非对错不由你……阴阳颠倒转头空……
1700500679# #这个征求意见稿，惊出一身冷汗，金殖们很猖狂，明目张胆欺骗人民群众
1700438250# #等苦尽甘来的那一天，山河星月都做贺礼⛰
1700779781# #2023年11月24日农历癸卯年十月十二丙戌🐶日，今日冲生肖龙，财神在正西方，今日为黑道日，今日宜穿白色上衣较好，办事易成，开心轻松。次吉，穿黄色，泥土色，与人合作共分利益。宜祭祀祈福习艺反省纳采订盟迁徙动土修造沐浴扫舍废旧整顿治病；忌吃犬肉以防招来怪病、忌开业、忌
1702594252# #今天是2023年12月15日农历癸卯年冬月初三日（丁未🐑日）今日冲牛，财神正西方，今日为黄道吉日。今日穿白色，银白色上衣为最佳，次吉为穿黄色，焦糖色，咖啡色。宜祭祀祈福谢神恩悟道习艺求子废旧维修保养整顿扫舍除蚁安床亲民见贵纳财纳畜载种家教；忌理发忌乱吃忌暴饮
1703809970# #于情女方做的太不地道，于法确实犯法了，要看双方的说法，一家之言，难免偏驳
1700750528# #2500万很多是单位为了面子花出去的，挣不回来无所谓，个人肯定大赚了。
1700499000# #之前和一个前辈聊老中文化这个领域很神奇它是在危难倒的最慢的也是在盛世中起的最慢的能在这个领域做逆行者略尽绵薄之力的都是勇者千万人吾往矣这也是我辈青年的答卷老师好
1701818364# #晨间励志。文郝悦盛。。晨色朦胧踏征程，。冲破迷雾向前行。。前方虽有风霜雪，。乘风远航排头兵。。。作于癸卯年十月廿三（西元2023年12月05日）
1703202707# #good
1701215850# #过溪水河。文/郝悦盛。。晨间溪水泛绿波，。清风戏水起波褶。。鱼儿不解秋冬意，。水中起伏游快活。。。注解：褶：读zhě。。作于癸卯年十月十六（西元2023年11月28日）
1700783825# #英文学起来hahahahahaha
1700360801# #坏人是这样的，如果你怕他，因为他而惶恐，他会一直在。但如果你把心立安稳了，说不定那天他就把自己给作没了。我们那里有个男的，他爱人对他一心一意，和他起早贪黑，辛辛苦苦开饭店赚了钱之后，他就找小三，要离婚，女的不离，他就家暴，结果不久就发现这男的晚上喝醉酒出车祸没了
1701217722# #你猜AI，芯片，显卡和什么行业强相关？
1700350978# #有国徽的是“正面”。“反面”没给你看，脑筋急转弯题
1702601419# #东北人：该吃吃该喝喝，啥事别往心里搁
1701042150# #只要资金足够，想在哪里就在哪里doge
1701216802# #曾张都有功名，又都是血雨腥风中磨练出的心智与谋略，理论与实践相结合；康梁起事时，尚年轻，书生意气，智谋基本是书上得来。两者不好比较。
1701945471# #调低的不是评级而是评级展望，穆迪还在11月初下调了美国的这个展望。八月的时候惠誉甚至直接把美国的评级下调了一级。这都说明了现今世界经济艰难，主要经济大国都在下行
1703999504# #good
1700360765# #我们那里有个男的，他爱人对他一心一意，和他起早贪黑，辛辛苦苦开饭店赚了钱之后，他就找小三，要离婚，女的不离，他就家暴，结果不久就发现这男的晚上喝醉酒出车祸没了，财产全部归他爱人了。我们那儿的人都说他活该，也有人说是女方弟弟把他整死的。
1700698944# #人和人的吸引都来自于：没看透
1700349342# #亲亲亲亲亲亲亲亲我的宝宝，乖乖乖乖在家暖和着，时间都会过去的，也会迎来我们的春暖花开，抱抱抱抱抱抱抱抱，宝贝儿最棒了
1700540681# #以色列现在疯了，美国需要中国一起劝服以色列规划一个理性的退出计划，并开始谈判休战进程，然后美国就可以搞西太了。
1702971620# #汾酒集团原党委书记、董事长李秋喜于15日晚辞世。享年63岁。商汤科技董事长、人工智能科学家汤晓鸥于12月15日在睡梦中不幸离世。享年55岁。都是英才！
1700393209# #转发微博
1701044803# #生存和艺术不应该冲突。
1701991531# #今天是2023年12月08日农历癸卯年十月廿六(庚子🐭日)，今日冲马财神正东，今日为黄道吉日。今日穿绿色，蓝色上衣为大吉，办事易成，开心轻松。次吉为穿黑色，深蓝色。宜祭祀祈福纳财契约相亲问名搬迁栽种养生求子理发美甲扫舍装修治病；忌动土开光占卜夜游。鼠宜赞美，注意四
1700783536# #情趣专家兔大姐笑cry居然上升到哲学高度允悲男人与女人之间那些破事只有“和”没有不同，至于人与人之间的不同与男女关系无关笑cry
1700553400# #日本人已经三分之一血项超标，核元素超标，过不了几个月就要流到邻国，这种人类灭绝再不制止…
1701939818# #这样的很多，铁饭碗谁不怕丢，都是辛辛苦苦好几年考的，都让这些人毁了
1701908594# #衣着干净看着就挺好
1700501054# #金融国门不能洞开呀！
1702971607# #百川入墓🙏
1704154418# #“这个故事真是惊险刺激，女子机智勇敢！”
1702379830# #热情，礼貌，但是一问三不知doge
1703810013# #也或者其实是女方父母奔着钱去的，男方，女方都是受害者。
1702164819# #到处拱火doge喵喵
1701391736# #good
1702426294# #专注自己享受独处
1703548679# #纪念伟人毛泽东。文/郝悦盛。。少年离家为国强，。寻求真理创建党。。三起三落不彷徨，。遵义会议挽危亡。。四渡赤水出奇兵，。戏耍老蒋似绵羊。。突破重围施奇计，。翻越雪山跨草地。。巧夺天险腊子口，。立足陕北大后方。。联蒋抗日整八年，。迎来重庆大和谈。。和谈破裂又开战，。三年打败蒋匪帮。。国家新
1700541846# #阿的老百姓也是大聪明啊，所以选个大聪明代表他们。地球不灭，阿哭泣不止啊。劣等人种
1702732363# #这次的事情明显是俞借刀杀人，CEO就是工具人而已。董要是不傻的话应该能明白，赶紧走掉别撕破脸才是最好的结局doge
1700749394# #其实都是有各自保护的。比如我国对农业，金融保险，文化产业，也在保护
1702379166# #大型养猪场的场主一般都不喜欢外人随便出入，因为一旦感染猪瘟常常全军覆没，血本无归。而猪场员工是生物安全措施制定和执行主体，更可能是病毒的携带者和传播者，所以员工的生物安全意识对疫病的防控起决定性作用。
1704153350# #岁初畅想。文/郝悦盛。。辞旧迎新阳光媚，。风和日丽景致美。。不负韶华好岁月，。只争朝夕志可贵。。。作于癸卯年冬月二十（西元2023年01月01日）
1700699882# #总统钱包又鼓了，招收队友发工资
1703809726# #主观上，女方不是自愿发生关系。客观上，已经发生关系。法律上，确实可以认定强奸。情感上，确实容易引发争议。如果她真的是不愿意发生关系，完全可以不认可这个订婚，拒绝继续交往。既然答应关系进一步发展下去，那发生关系是已知的必然结果。但也可能是在关系发生的当下，临时产生反悔意图。
1701121619# #三开饺子两开面
1700698935# #一粒尘可填海，一叶草斩尽日月星辰
1702165456# #图二，相比较，一副尖酸刻薄相！衰
1700349353# #抱抱抱抱抱抱抱抱我好老婆，家里太冷了，老公膝盖冒凉气，在火边，没暖气还是很不方便
1700372591# #爱情、感情、婚姻没有那么复杂，只要彼此相爱，相互理解、包容、体谅、尊重、心疼对方就这么简单。good
1701908033# #能量藏的好。
1702972533# #冬日夜雨。文/郝悦盛。。冬日暮色雨不停，。北风吹送寒气生。。道路泥泞车行缓，。风雨交加夜归程。。。作于癸卯年冬月初六（西元2023年12月18日）
1703676091# #有一种怀念“历经时代风雨更臻醇厚”……一生艰苦朴素一件睡衣穿20多年他说：衣服73个补丁我节约一件衣服前方就战士就多一发子弹
1703723420# #支持郑强教授！
1703809775# #希望二审依法客观公正地裁决，不违背常识常理常情常态，否则司法不公会污染水源！
1702971497# #齐纯芝27岁自号“白石”，孙文32岁自号“中山樵”，周树人37岁改名“鲁迅”，50岁曾改名“封余”、“敬一尊”、“康伯度”等。
1701738267# #在农村是抄家，牵牛，拿走值钱东西
1702773474# #good
1702600729# #幸亏没有乱成一团造成踩踏，不过以昌平线的密度也不允许踩踏。人太多，根本没有乱动的机会允悲允悲
1700350204# #第一次是会这样，可是随着男女后面和不同的人的人次数多了发生关系就只是发生关系….没有什么不同允悲doge不会以为睡一觉就能在人家心里有什么不同吧doge人家次数多了不稀奇
1700440189# #发出来才能拯救更多人
1701820415# #这女人是美西方国家的势力棋子来祸害俄罗斯的
1704120800# #岁初午宴。文/郝悦盛。。岁初阳光喜洋洋，。远涉嘉定宴会坊。。酒店高层就餐层，。谈笑餐饮观风光。。。作于癸卯年冬月廿十（西元2024年01月01日）
1701122570# #就是想提振下旅游业。但风险是各种三非人员的增长，间谍反华势力的渗透。坐等看效果吧。也许顶层有别的考量
1702164537# #乱讲，一个司令员怎么可能排在政治局常委前面呢？。。。
1700501083# #goodgoodgood
1701735613# #我分享了文章
1701035839# #任先生其它许多经济上的建议，我不太赞成。但这个关于缩短学制我赞成。学制要缩短，教育要改革，现在这种教育模式再也不能继续下去了，再这样将害国害子孙。
1703029218# #有人赞有人骂，历史就是这样
1700500521# #愿国泰民安愿心想事成顺顺利利平平安安健健康康快快乐乐万事如意🙏🙏🙏太阳月亮
1700541350# #一般老百姓想的最美的事，结局都是最惨的。
1700443875# #求上得中，求中得下，所以源头就是，要找好的
1700699512# #万红莉在1983年的严打中因流氓罪被判处死刑。她是经常在家组织舞会、留宿，喧嚣吵闹动静大，引起了邻居不满而被举报，后查实与18人发生过性关系，按当时的刑事政策被判处死刑。全案与“不服从领导安排”没有任何关系。
1702897436# #周鸿祎他怕大家叫错名字所以他基本上都是穿红衣
1700785295# #生日爆乐🎂
1701991667# #咏冬。文/郝悦盛。。冬寒尽扫败叶去，。寒气凛然万物眠。。江河尽待新春雨，。雪花飘落霜无边。。。作于癸卯年十月廿五（西元2023年12月07日）
1700750278# #我没考上说明我考试的能力不如她，这不代表她的所有想法和观点就是对的我不能反驳😂唯学历论可太搞笑了，按照你的逻辑，我985本交大博你学历比我高吗？没我高是不是就不能反驳我了？
1701314409# #这种人该收拾严惩
1700551819# #一个滥交，女德流失的时代
1700526285# #相比较美对日松链子，龙国境内的日谍问题应该更严重吧
1700885157# #愿你及时止损！
1700499621# #美元的巅峰从此一去不复返了
1701391574# #仍然是配合外资收割中国的逻辑，看来还是不能指望技女从良啊，必须有一场金融革命。
1701820472# #看来下一步，美国就要想方设法阻止中国获得中国的稀土了。哈哈哈哈
1700500632# #这一段时间在B上听很多经济上很有话语权的砖家讲宏观经济，微观经济，在课中他们莫名透露出的那种媚日跪美的情绪，不知道这五六十多岁的金融工作者是怎么能跪的下去的
1703723441# #除夕假又不放，鞭炮又禁止放，还想要什么节日氛围，还想要什么文化自信！！！！！
1700525896# #收起冲刺带的怎么处理的？出于什么目的？这样的人谁安排的？
1700350485# #打击侵略者那阵，联合国军拥有战机1200架，朝鲜与友邻的飞机不过一两百架，却书写了一部部可以大书特书的空战传奇
1701044723# #我们肯定是想上去，这不是被挤兑了么
1702334958# #今天是2023年12月12日，农历癸卯年十月三十（甲辰🐉日)，今日冲狗，财神在东北，今日为黄道吉日，大吉大利。今日宜穿白色，银白色上衣为最佳，次吉为穿黄色，焦糖色，咖啡色衣服。宜祭祀祈福出行赴任废旧革新整顿教育训练契约亲民相亲会友悟道栽种酝酿求子保养维修治病理发扫
1700953029# #good重建国家资管能力，本质上是强化国家财政金融主权。一般而言，相关部委要深刻检讨，为什么部分丧失或全部丧失了国家资管权？更严重的是，到底失给了谁？真想让貝先道资管中国吗？商品和资产定价权真的交给“市场”吗？有时候，真想骂人，丧权辱国殃民，养这些牛机构和洋走狗有什么意义呢
