1581140632# #挖鼻
1588133479# #嗯嗯。。。真哒很劲斤道啊。。挖鼻
1656632474# #挖鼻挖鼻挖鼻挖鼻
1607079390# #华晨欠债破产，掌门人祁玉民被查。。。。谁还记得仰融？那些故事：。
1657324325# #挖鼻挖鼻挖鼻挖鼻
1586397287# #太多变态。。。。。还是公司集团副总裁。。。。
1700991283# #全球公认的生活中常见的致癌物。。一、油炸类食品。导致心血管疾病；含致癌物质；破坏维生素，使蛋白质变性。。。二、腌制类食品。导致男性高血压，肾负担过重，鼻咽癌；影响粘膜系统；增加溃疡和发炎风险。。。三、加工类肉食品(肉干、肉松、香肠等)。含三大致癌物质之一的亚硝酸盐(防腐和显色作用)。含大量
1664422899# #30年前的铜电线这个国家的有一些方面做得让人不耻，但在做事的态度认真严谨方面的确很出众！这是一台上世纪90年代家电上拆下来的一根电源线，将近30年了，铜质导体仍然光彩依旧，没有一点点铜绿，甚至连氧化颜色灰暗都不明显。对照以前拆的一台国产一线小家电电源线，才6年不到的时间，铜导体已经
1675168951# #南少林五祖拳老拳师演练少林五祖拳影像资料。
1636762306# #挖鼻挖鼻
1572473107# #看看
1647655300# #挖鼻挖鼻挖鼻挖鼻
1702100963# #养猪一哥新希望两年亏损近150亿。。肉价低迷，养猪行业的不景气直观反映在上市公司的股价上。前三季度，温氏股份、牧原股份等10家生猪养殖上市公司全部亏损。行业龙头温氏股份的亏损幅度最大，达到45.3亿元，罗牛山亏损额最少，1.68亿元。。龙头新希望六和因为过去两三年的累积亏损和出售养猪场的闪转腾挪
1698417712# #过山车追尾这哪里还是欢乐谷……瞬间成就人生最难忘惊魂时刻…………汗汗。深圳欢乐谷
1558604615# #思考。。。。。一个叫陈x忠的云南官员，那么高的职位，可是履历在百度却少之又少，是什么原因哦。
1569109073# #上火引起的难以入睡也有用吗挖鼻。。。。
1688538237# #何赛飞当众发飙后戏曲演员张军波现状地方戏，雕刻特别是手工石雕，传统工艺纸，泥塑，箍桶，制缸……还有很多传统技艺行业中的年轻人靠着兴趣热爱或者责任拿着微薄的收入苦苦支撑。。。也许很多年后现在这一批老手艺人去世后继乏人，我们看到其它国家民族的传统手工艺时候才知道后悔。
1695908578# #武汉公安系统多人同日被查。。湖北黄冈市监察局28日接连发布5则消息：包括武汉市公安局原副局长张荣成在内的多人被查。。。湖北省武汉市公安局原党委委员、副局长张荣成(三级警监衔)涉嫌严重违法，经湖北省监委指定管辖，目前正接受黄冈市监委监察调查并被依法采取留置措施。。。湖北省武汉市公安局江汉区
1636000878# #挖鼻挖鼻挖鼻挖鼻
1701937999# #县委书记下乡调研突发事故逝世距离县长任上落马不足一个月。。最近，湖南郴州汝城县官场格外引人关注。。。12月5日，汝城县当天通报，郴州市人大常委会副主任、汝城县委书记黄四平同志在下乡调研返回途中因突发事故于12月4日15时31分不幸逝世，享年55岁。。。而据三湘风纪网11月7日消息，汝城县委副书记、
1684377806# #这些影视剧中的观音菩萨哪一个最美。按照图片顺序。1982年，左大玢，大陆电视剧《西游记》；。1995年，陶慧敏，电视剧《观世音传奇》；杨乃武与小白菜中成名。。1996版《西游记》，龚慈恩。人如其名，被称为最美观音。。1998版《西游记》。TVB，盖鸣晖。雍容大方，只是缺少高清图。。赵雅芝，在不同剧中扮
1699688153# #男子喂猪时晕倒遭家猪啃食下半身9日，肇东市66岁老人，喂猪时突发卒中一头晕倒在猪圈里，惨遭家猪啃食下体，将其外生殖器吃光。。。吃惊吃惊污污。。！黑龙江省第二医院紧急接诊了患者，因脑卒中及外生殖器大量出血导致昏迷，病情危重。。。。。男子喂猪时晕倒下半身被猪吃光
1648449384# #思考思考思考思考
1684898381# #列入在生俘虏名单者21825人（北返7110人，赴台14715人）。北返者被送昌图归来者管理处进行”热情关怀耐心教育严格审查“。绝大多数党员被开除党籍，6468名指战员被开除或不予承认军籍，不予转业待遇，复员地方控制使用。因申诉者众，80-82年又进行了恢复政治待遇发放复员费的再处理。
1679840694# #各国军队训练意外集锦各国部队训练意外状况百出…………笑而不语笑而不语笑而不语笑而不语
1664068546# #挖鼻挖鼻挖鼻挖鼻
1683419721# #日本巨头密集收购中国中药企业网友：一组数据很值得国人清醒：。中药是中国的国宝，中药产业化做的最好的是日本和瑞典；。造纸术诞生于中国，现在还是世界第一大生产国，但高端铜版纸需要进口；。中国是茶的诞生国，世界第一大出口国，但中国所有茶叶品牌的出口销售额比不上一个立顿；。CHINA的英文本意
1637647232# #挖鼻挖鼻挖鼻挖鼻挖鼻
1673082679# #当年拍摄和宾尼对手戏的这段经典的旋转侧踢镜头，当时成龙做了几次镜头效果都不好，最后由钱嘉乐替身来拍，最终取得导演满意的镜头效果。
1701598526# #发布了头条文章：《苏珊米勒2023年12月星座运程--处女座》
1628573698# #挖鼻挖鼻挖鼻挖鼻
1699967675# #顾客吃烧烤结账时发现账单多了4个菜餐馆，KTV，酒宴……常见的伎俩！。误会！误会！收银服务员弄错了！……送两瓶饮料N多积分可以？汗汗汗……
1663804591# #挖鼻挖鼻挖鼻挖鼻
1701934904# #已经不是一句虚假繁荣所能概括的！
1699885383# #越战中一名被美军俘虏的越南女士兵。。不要看这些个子娇小的女兵面对美军士兵的手枪时这样绝望无助，她们在丛林战中有很强的战斗力和杀伤力！让美军很头疼，造成的伤亡很大，一旦被俘虏，让恨得咬牙切齿的美军士兵有了发泄怒火的机会，一般结局都很凄惨。
1670195683# #从个人经历说，中药是好东西！只是大部分药医生品质跟以前相比有下降而已！挖鼻挖鼻挖鼻挖鼻
1648191127# #挖鼻挖鼻挖鼻挖鼻
1695465720# #派去查腐败的钦差也腐败了。中纪委22日消息，中纪委第十三审查调查室二级巡视员汪幼勇涉嫌严重违纪违法，主动投案，目前正接受中央纪委国家监委纪律审查和监察调查。。。这已经不是中纪委派出的巡视组成员第一次被查。今年5月30日，中纪委网站发布消息，中央纪委国家监委第十三审查调查室一级调研员崔玉
1688529015# #北京政法职业学院。。劣币驱逐良币横行霸道的恶人又一次占据上风。。。。。希望有学校企业帮帮这个孩子--哪怕是有渠道送出去留学呢！族群社会需要这样的人！。小丑的表演！。保护当事人隐私图片已打码处理。李敬言退学
1587116204# #姐们儿你打算不停车购物？允悲允悲允悲允悲
1669883903# #挖鼻挖鼻挖鼻挖鼻挖鼻
1697876504# #河北千亩农田被挖成大坑河北任丘，都是农田，结果为取土现在被挖成几十个深坑，而且已经没有恢复成更低的可能。。。。。。当地政府土地监管审批部门难逃其咎。。河北任丘千亩良田变为深坑
1543648296# #吃惊。。。。。
1675934161# #危桥立尽休回首，此去青云路可通。。----------周易.师.初六
1700629806# #10月份以来各省市发行的特殊再融资债券，跟一般性地方债相比特殊就特殊在这些债券用于置换地方隐性债务的，也就是俗称的借债还债以贷还贷。。。。。。。图2为2022年31省市政府负债总额和负债率。负债率最高的是青海和贵州。。。根据统计，全国28地披露的特殊再融资债券总额超1.3657万亿。其中，贵州披露
1651887415# #挖鼻挖鼻挖鼻挖鼻
1651929539# #挖鼻挖鼻挖鼻挖鼻
1695044801# #公交公司回应发文全城停运越来越多城市暴露出自己的破腚…………。。潮水褪去才能看出谁的裤衩子在过本命年……
1624784719# #中国500最具价值品牌传媒榜世界品牌实验室(WorldBrandLab)主办的(第十八届)“世界品牌大会”在北京举行，会上发布了2021年《中国500最具价值品牌》分析报告和排行榜。其中，涉及到传媒类机构共有33家进入榜单。
1700267726# #郑州暴雨被问责副市长升市委常委。10月获公示拟任省辖市委常委的郑州市副市长陈宏伟，公示期结束已担任郑州市委常委职务。。。2021年，郑州“7·20”特大暴雨灾害死亡失踪380人，直接经济损失409亿元。事后调查问责中涉及89名公职人员，时任郑州市政府党组成员、副市长陈宏伟政务记大过处分。。时任郑州
1564913505# #爱你爱你。。。。。
1692430323# #商家回应售价2.7万玉镯实际价值两三百标价27000，即使闭着眼睛还价到1000块钱，别人还有的赚！关键是几万几万的商场，有几个人能还这么低的价？。这哪里还是一个正常的市场？
1647766488# #喊冤27年，四获死刑，“陈国清案”一个比较清晰的脉络文章：
1698817385# #发布了头条文章：《苏珊米勒2023年11月运势--处女座》
1640305723# #思考思考思考思考思考
1676470084# #“高马尾”女中学生这个高二高马尾中学女生，很纯净的小女生…………新疆女孩。
1698370241# #中国将推动新一轮”房改“。8月25日国务院常务会议审议通过的《关于规划建设保障性住房的指导意见》文件（国发【2023】14号文，以下简称“14号文”），近期已传达到各城市人民政府、各部委直属机构。。“14号文”提出了保障性住房建设和筹集、保障对象和标准、配售和管理、支持政策等方面的基本原则，
1699280206# #妇炎洁超话妇炎洁绿叶守护计划阴和阳构成了这世界最关键的两种元素，男和女构成了人类最主要的两种性别！男性女性生理结构不同造成了女性更加脆弱更需要呵护！还好有妇炎洁。。更加关注女性健康，比女人更了解女人！女性健康有保障，家庭更和谐，社会更稳定！保护群体健康，利国利民的大事！守
1601078333# #而我们身边的现实是捕鸟吃鸟的人太多一片善意买鸟放掉的人太少。。。
1658125694# #挖鼻挖鼻挖鼻挖鼻
1676198953# #促生育不知道这个评论谁发的，感觉很没有道理！太没有道理了！发过来让网友们自己评断！
1685280813# #南阳回应上百台收割机无法下高速网友：这里贡献了全国小麦产量的27.8%，而土地面积仅占国土面积的1.7138%…………。河南小麦
1598140141# #哈哈哈哈哈哈哈哈
1674266869# #转发微博
1693005041# #高副处长和景科长竞相送礼物的女子照。。两人甘愿共穿一靴，这是有多大魅力……。。保护当事人隐私图片已打码处理。。高副处长景科长
1636891118# #思考思考思考思考思考思考
1636523653# #当事人的行为惊人，法院的判罚结果同样让人吃惊。。。。。。。
1682606413# #坦诚讲，有的狗比人强。。。。动物内心比较简单也比较纯净。
1673227048# #发布了头条文章：《萨丽2023十二星座年度运程--狮子座》
1677543697# #配眼镜前看到这些是我的福气有用得到的话可以参考。镜片技术相对已经比较成熟，国内也不乏一些代工大厂，所以以前一直用的国产明月镜片，后来他家上市时候看了招股说明书，每年的技术研发费用和营销费用的数据，下次换镜片时候打算换其他家了。
1626565724# #思考思考思考思考
1648300437# #官场何尝不是这么回事……
1616977634# #思考思考思考思考
1583807833# #挤眼挤眼挤眼挤眼
1703160217# #反诈老陈晒文件证明自己并非被开除最近，反诈老陈在网络公开了自己的《公务员辞去公职申请表》，证明自己是辞职，而不是被开除。。陈国平
1606094641# #大象的智商还是可以的。。。。
1660976996# #别人都走了3个月了，三个月后竟然还能想象到别人头上，你说你内心有多自私看不起人。。。。看得出别人虽然社会身份卑微，但内心比你干净得多！
1677235666# #官方通报县长涉侵犯女干部联合调查组立案调查。。。。县长，性侵，中央挂职女干部。。。。。。想想都为这个地头蛇汗颜！胆子这样大以前祸害过多少当地女性？看看这次谁能保得了你！
1701861897# #阿里献血事件小姑姑系退休工人提议2023年年度中国人物：退休工人！
1556330346# #瞎说什么大实话！看看，被封了吧。。。。
1649755130# #挖鼻挖鼻挖鼻挖鼻
1675729988# #挖鼻挖鼻挖鼻挖鼻挖鼻
1683800011# #曾网传家属支付1000W赎金的广西被绑架官员露面4月17日，广西梧州市供销合作社联合社党组书记、理事会主任黄东明出现在梧州市供销合作社联合社召开的第五届理事会第五次全体会议暨第五届监事会第六次全体会议上。。故事背景：1月9日，广西梧州市供销合作社联合社党组书记、理事会主任黄东明被藤县富荣
1593689266# #境琢器成环器未完，。上天未定志尤坚。。虽然不是中秋月，。亦有神光射九天。
1700227888# #本尊和他们的替身。替身不仅仅在危险动作片镜头中需要用到，一些特效镜头分镜头中可能也需要。有些替身只需要体型一致即可，而有些替身也需要面部轮廓和五官都尽量一致。
1655248465# #挖鼻挖鼻
1622891813# #蒸面条感觉还是黄豆芽瘦肉是绝配！夏天凉面必须豆角鸡蛋西红柿！那种自然熟的带酸的西红柿才好，醋都省了！
1657629907# #孔乙己一百多年了，还是一个个孔乙己阿Q，习惯于活在自己狭隘偏激的思维世界里，善于在他人的苦难中，凶狠攻击族类上寻找优越感，并且乐此不疲难以自拔！不同的也仅仅是身上的华丽衣服和手里多了一块键盘而已。。。。。！
1660705873# #今年秋粮够呛。。。。挖鼻挖鼻挖鼻挖鼻。。。。
1653285489# #
1693488248# #新疆自治区政法委副书记马国强被查。。中纪委31日，据新疆维吾尔自治区纪监委消息：新疆维吾尔自治区党委政法委副书记马国强涉嫌严重违纪违法，目前正接受新疆维吾尔自治区纪委监委纪律审查和监察调查。。。马国强，1973年生，河南郑州人，仕途一路都在新疆。从基层成长起来的干部。历任：。新和县委书记。阿
1655598802# #挖鼻挖鼻挖鼻
1581836973# #思考思考思考思考
1700455675# #厦门海关原关长柏华冰被查。。中纪委驻海关总署纪检监察组、江苏省纪委20日：厦门海关原党组书记、关长柏华冰涉嫌严重违纪违法，目前正接受中央纪委国家监委驻海关总署纪检监察组纪律审查和江苏省监察委员会监察调查。。。这已经距柏退休6年之久。。。柏华冰，1957年生，江苏省南京人，曾在南京海关等单位
1700954301# #挖鼻挖鼻
1638366435# #思考思考思考思考
1642066338# #挖鼻挖鼻挖鼻挖鼻
1673651587# #官媒批判网友想法低俗，评论区评论倒是一针见血……
1662702202# #你这霸王餐吃的。。。。比铁老大铁道部还霸道。。。。。。。
1637544385# #思考思考思考思考思考
1602936923# #被树典型了？
1686624744# #寻找17年给我小狗的阿姨一只小狗，17年。。。。狗没有弃养，竟然还记得原来送狗的人。。。。这才是一个现代文明社会所应该有的人性应该有的光。。。。。。。
1701212665# #多地楼市价格下滑有业主亏掉首付。。成都一楼盘降价40%冲上热搜后，各地楼盘真实的降价情况被撕开一个口子。当下不少城市都有楼盘大幅降价，惠州有楼盘在售单价从1.6万元降至1.1万元/平方米，武汉有楼盘单价从1.5万元降至1.2万元/平方米，大连有楼盘单价从1.6万元降至1万元/平方米左右。部分业主年初买
1680918433# #我有个出家人朋友最近年轻人出游参访寺庙很热。推测更多的是对自己处境现状的不平不满对另一个稍显神秘的环境的向往和探索吧。认为那里平和安静友善没有房贷业绩压力没有办公室政治也没有转基因食品。。。世间苦，但寺庙并非避世享受的地方，这一点还是要弄清楚的。来大体看下正
1598875748# #汗汗汗汗
1675472514# #挖鼻挖鼻
1654590696# #goodgoodgood
1700190922# #人是感性动物。爱一个人时候总能找到理由；恨一个人时候总能找到借口…………
1692491235# #一岁多的孩子高铁哭闹遭女子要求闭嘴习惯于在自身所处环境中霸占更多资源，控制更多，一旦有人影响到自己眼前那点利益，马上狗护食一般凶相毕露。。。。。。现在都发展到几十岁成年人要跟一个婴孩一决高下的地步了。。。？。孩子吵都会烦甚至包括TA们父母，但是，孩子就是孩子，你出生那几个星期难道
1696082802# #LV老板涉嫌洗钱受到调查。现年73岁的阿尔诺是奢侈品巨头LVMH集团的掌舵人仅次于马斯克的世界第二富豪。。集团旗下拥有路易威登、DIOR、Tiffany&Co.等75个品牌，集团估值达1708亿美元。。总部位于巴黎的LVMH去年实现了640亿欧元的销售额，从2020年新冠大流行的低谷中大幅反弹。。阿尔诺及其家族拥有该公
1673227880# #发布了头条文章：《萨丽2023十二星座年度运程--双子座》
1698536104# #南通市公安局连续四任局长被查。28日，江苏省公安厅副厅长陈旭被查，陈曾于2015年-2019年间担任南通市公安局局长后加南通市副市长职务。而在陈之前担任该职务的秦剑平，以及在他之后担任该职务的张轩、高山已经落马。。这已经是连续四任公安局长被查。。图片分别为陈旭张轩高山。
1698065450# #携程口碑榜喧嚣嘈杂拥挤，业绩指标作业…………什么时候能从这些繁琐事情中抽身而出，让身体心灵得到一次彻底的放松，就如晕头转向忙碌一整天，霓虹闪烁时候才一身臭汗回到小窝，全身埋进温暖的浴缸里那般轻松自由！。。推荐去皖赣交界的古村落！地处中部，交通便利，可以说走就走有急事
1668400292# #左上角亲家公漂来复杂而神秘的眼神。。。。挖鼻挖鼻挖鼻
1673931260# #李延亮，国内顶级吉他手。这是许巍的空谷幽兰吉他SOLO部分。李与许巍关系不错，许的演唱会大部分出自他之手，操刀音乐总监。李也是韩红的初恋，当时两人是同一个单位的文艺兵。
1683692610# #李小鹏任交通运输部党组书记网友：祝贺。。。赞同。。。。。拥护。。。。。
1675001066# #最佳损友最佳损友集合……哈哈哈哈哈哈哈哈哈哈哈哈
1662811393# #挖鼻挖鼻挖鼻挖鼻
1700228067# #本尊和他们的替身
1586246144# #这颗星球孵育了万物。。。。微笑微笑微笑微笑
1697448563# #安徽省人大财经委员会副主任孔祥喜被查。。中纪委网站、安徽省纪委消息：安徽省人大常委会财政经济工作委员会副主任、淮河能源控股集团原党委书记、董事长孔祥喜涉嫌严重违纪违法，目前正接受安徽省纪委监委纪律审查和监察调查。。。一直疑惑，这种既有自己生意同时又担任公职的人平常工作中真的能做到公
1587337663# #挖鼻挖鼻挖鼻挖鼻
1581988077# #西南亚蝗灾照片中的颗粒不是别的，是蝗虫。。。。。
1611651345# #挖鼻挖鼻挖鼻
1573605972# #挖鼻挖鼻挖鼻
1654509098# #这样的人指望他敬畏生命执法过程中尊重别人的合法权益？
1614400710# #权势地位名利财富。。。健全的人格健康的心理。。。。哪个更重要？
1659774467# #挖鼻挖鼻挖鼻挖鼻挖鼻
1613531405# #一个个被欲望贪念野心。。。塞满的一堆肉而已！如此下去族群跟狮子野牛群体的差异会越来越小。。。
1673503169# #风筝(末路情传)，好莱坞风格的宝莱坞作品。没有以往宝莱坞电影一言不合就歌舞的问题。剪辑师穿插剪辑的风格比较特别。
1679839143# #话筒前的素人大神那些街头采访中的素人大神合集…………
1702165378# #永远惊叹于老祖宗骨子里的审美成败萧何。一方面是精致唯美历史厚重；一方面也为屡次改朝换代时霸王们的发泄找到了地方，如果不毁坏，留给子孙的更多…………
1638398114# #枪械都有机械寿命的。
1635208356# #映客也是一个比较大比较知名的公司吧怎么还做这样猥琐的事情。。。。吃瓜吃瓜吃瓜吃瓜
1695520964# #官方通报小学生遭同学极端欺辱狠毒暴戾。。。行为哪里还像一个十多岁孩子应该有的样子？。新加坡鞭刑什么会考虑引入国内！够不上刑罚的老流氓，未成年小变态，扭曲手段惩罚幼儿的幼师，虐待动物弱小的心理残疾人。。。。都可以时不时送进入丑几鞭子！。既施与人痛苦，也应该自己体会痛苦。。。
1695881189# #山西省委主要负责同志职务调整新华社28日，中共中央决定：蓝佛安同志不再担任山西省委书记、常委、委员职务，另有任用。。。有另有任用小尾巴，应该不是翻车了。。。这履历，毕业就进京，仕途更是一路开挂。。。蓝佛安，1962年生，广东惠东人，1985年湖北财经学院财政金融系财政专业毕业后，进入财政部
1700315619# #“摇滚书记”陈小钢被查。广州市纪委18日消息，市交通运输局原党组书记陈小钢涉嫌严重违纪违法，目前正接受审查调查。。。陈出生于1959年，四川中江人。曾在省委办，广州市委办，黄浦区等多岗位任职。2814年调任广州市交通委，后任交通局党组书记，2019年退休。
1657325082# #挖鼻挖鼻挖鼻挖鼻
1652537396# #不是说冷血动物是没有感情的么？难道是……现在不饿？挖鼻挖鼻挖鼻
1614840575# #思考思考思考思考
1688172479# #执法大队变成了执法犬队30日，网友爆料，陕西安康镇坪县应急管理综合执法大队变执法“犬队”。。。。。-----整个。。。。。只笑笑不说话。。。。。笑而不语笑而不语笑而不语笑而不语。。。。。。执法犬队
1656545792# #挖鼻挖鼻挖鼻挖鼻
1680935368# #俄联邦警卫局上尉叛逃曝普京猛料35岁的格列布·卡拉库洛夫自称是FSO（俄罗斯联邦警卫局）上尉，09年，从莫扎伊斯基军事航天学院毕业后，便进入俄罗斯联邦警卫局。在俄联邦总统通信部门担任工程师长达13年，主要负责保障俄总统普京和总理的加密通讯。。他叽叽歪歪说的比较多，大概重点有：。所在的单位又
1703204621# #杀夫藏尸冰柜案未当庭宣判太冷血了…………。。家教不行？教育缺失？还是收虐待了？背后的事情很多疑问。
1674087943# #这样的话从掌握天枰平衡评断是非曲直还原真相弃恶扬善的公检法单位人员口中说出。。。。。。
1674693380# #初五接财神财神到家一年人旺财旺！佛教正统不主张求财名，佛教中能和财神沾点边的要数观自在菩萨了。请一幅回去吧一年平安吉祥人财两旺。
1674954214# #辉瑞试剂检测公司传播新冠，病毒制药公司制造病毒新变种……看起来国内国外乌鸦一样的颜色！只是大乌鸦小乌鸦而已！受伤害的都是普通人。
1674276279# #挖鼻挖鼻
1700980033# #清代的基层邮差
1701735947# #官方通报重庆一学校疑空挂250多名教师编制利用集团化办学占用公办教师编制，甚至新设立公办学校，把人员编制放在其中。大足区的这两所学校如此“公私不分”，显然是不合规的。
1702852967# #男子加油站碰掉瓷砖一角赔了450元将瓷砖撬走以防别人碰到。。网友发视频称，开车去加油站加油，不小心将加油站的一块瓷砖撞掉一块，然后被加油站的工作人员要求赔偿2000元，经过多番讨价还价最后赔了450元。。。最后自己把那块破损瓷砖整个撬了下来放自己车里，避免后边有人再磕碰到再次赔钱……。。万法
1669164193# #说得太好了！如果十多年高等教育培养出来只是在个人小团体利益上面捞取霸占更多资源上边更加凶狠自私，而罔顾其他人的利益，身居再高的高位又能怎样？对周围人来说还是一个祸害。
1699848747# #缅北几大家族能够做大不是偶然，明家被清理，也不是偶然。。当感觉自己高高在上把一切踩在脚下时候，距离跌下万丈深渊也就一步之遥了…………
1688090379# #卖菜大爷挣21元被罚款11万元。执法有据是不是还要考虑事情本身具体实际情况？捉住一只蚊子都往死里薅，还申请强制执行。。。。真能下得去手！。。新闻背景：卖菜摊主姜某从洛阳某大型批发市场批发一批姜、菠菜、青椒进行售卖，该批菜品经行政机关抽检为农残超标蔬菜，销售额198.4元，获利21.05元。
1579003014# #岳云鹏调侃黄轩陈坤秦海璐岳和孙的这段中的现挂还是很不错的。。。你那时候也是群演啊。。。没想到后来我也红了。。完整视频链接：
1702187480# #杨丞琳说河南人爱骗人感谢河南人这么多年来一直源源不断为国人提供谈资笑料；正如世界大家庭中，国人一直在努力不断为世界大家庭提供笑料一样。。。。。。。都是孔乙己的同袍谁笑话谁啊。。。哈哈哈哈哈哈哈哈
1694831568# #上半年落马的黔南州州委副书记州长钟阳。。被称为气质美女州长，仕途更是一路开挂。。虽然没有在官方通报中正式提及，但从坊间传闻看，捞取不正当利益并与他人不正当关系和包养年轻异性应该是下马原因之一。据说与李再勇关系匪浅。。。有些人只要条件允许都好某一方面，无论男女。。黔南州美女州长
1596500699# #能拍到很难得
1635065776# #汗汗汗汗汗为了那点外资卑躬屈漆到这样境地了么。。。。。没有了尊严你钱太多又怎样！不过话说回来现在很多人为了一点钱好像对其他的的确不太在意了！
1589570166# #午夜今夜有多少人无眠，同样的醒着，失眠的原因却千千万万……
1695391199# #崩坏星穹铁道旅行者们的好消息！星穹铁道符玄卡池新近上线！截至到10月10号，留意官方通告，不要错过。小伙伴们组队又多了一种选择。今天介绍下符玄的特性，大家可以有的放矢。。符玄是一名能够替全体队友分摊伤害、降低我方全体受到的伤害、提高我方全体暴击率的防御型角色。还能自奶，甚至能提高己
1699140712# #超市老板猥亵14岁小女孩被行拘9日是个变态，还是个公务人员，仅仅拘留9天处罚…………。新加坡鞭刑是时候引入国内了！遇到这种不够刑法的老流氓，不够年龄的霸凌未成年，虐待动物的心理残疾患者…………都可以拉进去抽几鞭子帮助矫正！
1607557694# #烫头烫的家里生意破产了。。。挖鼻挖鼻
1674387849# #伦敦42岁男子。。。。。。。你这领导混的不行啊！连隔壁三胖都比不上！允悲允悲允悲允悲
1684204932# #闲鱼开收软件服务费6月6日起，超门槛部分每笔订单抽成1%。每月10单的门槛。。网友：该来的终归会来的。很多人抱怨这类二手平台问题很多，其实，出着人工服务器时间成本维持平台运营，供大家免费交易，已经很不容易了。有些收费的平台做的也不见得有别人好。。闲鱼
1698737563# #来澳大利亚道一声你好一提及澳洲，大多数人想到的想看的应该是广袤的荒原，憨态可掬的袋鼠，品种众多的蛇类，还有文明世界的悉尼歌剧院！其实个人最向往的还是澳洲的葡萄酒和洁净的沙滩！。。澳大利亚的葡萄园种植举世闻名，葡萄酒品质上乘！是很多葡萄酒收藏者酒窖中的常客！个人最喜欢。同时，澳大利
1622446636# #思考思考思考思考
1603280933# #新人迎亲别人赶吉时，这些人就瞅准了这一点耍赖撒泼的要钱。。。世风日下。
1647667062# #一个仿冒一个冒充就打算把责任撇清了。。。。。
1589894567# #允悲允悲允悲允悲
1675927158# #挖鼻挖鼻挖鼻挖鼻
1626870604# #思考思考思考思考
1702274175# #就知道耍嘴皮子的土专家害死人。。那些说香菜小葱冷冻保存的小聪明砖家可以闭嘴了！前天小葱冻坏头七还没过！今天看到香菜也挂了。
1611797040# #税务局员工被举报凭借县原人大常委会主任、县长之子的身份，在多家企业任职股东并暗中控制，巨额个人财产近3000万吉林长春市朝阳区税务局公职人员栾某，被举报凭借公职和官员家属身份与妻子还在多家企业任职股东并作为实际控制人。并帮助企业逃税获利包养情妇、涉黑涉恶。。。
1562198571# #有用。。。。？
1620127474# #挖鼻挖鼻挖鼻挖鼻
1688523923# #学生恶意篡改同学高考志愿被行拘因关系不好偷拍准考证号，登录填报志愿系统试出密码，更改对方志愿。。。。。。。。最后处罚行拘5日。。。。。。原来改变了一个人的命运成本仅是：行拘5天。。。。。
1585279687# #超喜欢吃丸子可惜没有加肉肉有点遗憾。。。。
1612439116# #可爱可爱可爱可爱
1703317320# #现在政策好了。。。
1670134778# #不理发之外又有了新的门道，所谓的跟各个物流公司有合作都是噱头！卖车才是目的！
1655428051# #当初看弄不过对方，还得找当地混就签了谅解协议，现在看又有事情出来就一起爆出来。。。。。也没有问题。
1655978657# #挖鼻挖鼻挖鼻挖鼻
1686061342# #小座头鲸为救妈妈向人类求救这个小家伙很聪明！同时也遇到了一个富有经验和责任感的船长！幸运的是它没有遇到日本或者丹麦挪威人……。视频来自小黄鸭。
1629364359# #挖鼻挖鼻挖鼻挖鼻
1670155125# #挖鼻挖鼻挖鼻挖鼻
1651111117# #挖鼻挖鼻挖鼻
1647385261# #这个回应比较长，包括潘嘎之交。
1539344374# #你们吃辣白菜吗。。。。。
1627292438# #允悲允悲允悲允悲
1593064072# #思考思考思考思考
1696859837# #黄秋生。一组幼年-青年-中年时期的黄秋生照片。。。黄的一声用令人唏嘘来形容颇为贴切！英驻港官员私生子幼年坎坷，多次香港金像奖影帝，烂片无数，口无遮拦，总是处于缺钱中……。黄秋生
1698647194# #心愿上太空神州十七发射成功，顺利把宇航员送入空间站，喜大普奔！而且赞助商是老牌民族品牌长虹美菱！真应了那句话，兄弟抱成团神州送上天！。。作为老牌家电企业，最中意的还是长虹的电视机！随着技术实力的不断壮大，品质获得认可，现在除了做自家品牌同时还在为小米等品牌代工！等有机会就要拿
1683422757# #网友自称曾霸凌刘亦菲小时候揍了好几次。。。。。网友：小时候你是人品不行，长大后你是智商不行。。。。。。刘亦菲
1692449700# #不要打吧它还是个孩子…………
1670566610# #允悲允悲允悲允悲允悲
1698196754# #上海通报网传民警上门抓德牧这位网友说的是真的吗？真的是退役警犬？。坐等当地政府怎样回应。
1675172394# #明星成名前的青涩影像唐嫣沈腾迪丽热巴张嘉译孙红雷鞠婧祎。张嘉译科班出身，北漂了几年，大多出演一些边沿配角，如冯巩老电影埋伏，脸对脸背靠背……后来回了陕西蛰伏数年。与陈小艺孙红雷合作半路夫妻已经是后来的事了。
1616287669# #教育成了一门生意哪有功夫去塑造灵魂！宗教也成了一门生意哪里还有功夫去修炼信仰！现在很多寺庙香火都由各地宗教局把持，有的甚至宗教局派人驻点。。。。。这家寺庙还让僧人出面动手显然还没上路。
1674827750# #喝酒喝多的人都能干出啥事醉酒行为大赏……汗汗汗汗汗汗汗汗汗汗汗
1694580488# #大爷便秘用30厘米管子为自己掏粪真是一条充满了味道和毅力不屈不挠精神的新闻！。久坐的人来说，便秘出现的年龄越来越低，采用。用煮熟的香蕉一碗，去皮后加入蜂蜜吃下，一日一次，一次见效，3日可愈。忌
1702607698# #北京地铁事故已致30余人受伤。。有点严重。。。。。。。
1661571970# #哈哈哈哈哈哈哈哈以假乱真的程度。。。。。。。
1628132769# #思考思考思考思考
