1689081308# #小雪网红？不认识...不care。一起来听听任贤齐经典歌曲《小雪》吧
1698540825# #胡彦斌越来越帅了…神级现场新歌《我们还会一起走到那里去吗》首唱，太好听了吧胡彦斌模仿品冠儿子唱门没锁
1695728779# #哈哈哈，新鲜出炉，谢娜在微博音乐盛典上撒狗粮，祝福一下哈，继续相爱吧鲜花鲜花张杰谢娜丝婚照
1696758605# #门口不是应该再放上老乡鸡这首歌吗？嘻嘻嘻嘻嘻嘻老乡鸡董事长亲自在餐厅端盘子我们这边没有，赶紧过来开店呀
1695361747# #张柏芝的23岁和43岁青春永驻的星语心愿实现了吧！这也太能打了吧！抱一抱抱一抱
1704259406# #华为与懂车帝停止合作这是正解？华为知情人士称“感谢大家一直以来对鸿蒙智行的支持和关注，而是由于鸿蒙智行与部分平台会员门店业务原合作协议到期，在新的商务洽谈达成一致前暂缓会员门店业务合作，其他合作业务仍正常进行。”其实，友好合作才能共赢，加油，中国企业！
1702776955# #王心凌真的是越来越好看越来越有味道了，特别努力，“真的是40岁当20岁在用”…王心凌暗黑系反差感“是特别为西安穿上的新皮肤”哦好稀罕哟打call打call打call。（视频cr凌心王）
1695606103# #确实是赢麻了周杰伦说要成为太原演唱会的标杆还有歌迷点了《瓦解》打call打call打call羡慕一下吧我来了
1695101618# #飒！赞赞央视官网表扬刘雨昕演唱会强实名咱就说，其他明星能不能也跟上，不要让想看的人买不到票了老师好老师好
1694442685# #天津杰迷穿婚纱和周杰伦合唱屋顶…。周杰伦天津演唱会上，一位穿婚纱的漂亮小姐姐说“我就想嫁给自己的青春”赞赞赞合唱《屋顶》还真的不错赞啊赞啊。谁的青春没有周杰伦呢，加油！
1704415352# #日本记者吐槽民众给震区寄千纸鹤“己所不欲，勿施于人。”轮到自家的时候就接受不了了？。网友“这是满满的心意呀…”
1688797112# #打掼蛋你们是专业的掼蛋？一开始以为是个什么小吃，进来一看允悲允悲允悲厉害了，居然还有教材
1695744809# #微博音乐盛典录屏｜年度内地男歌手－周深。中秋节快乐！生日快乐！
1694705225# #檀健次给家乡广西代言赞赞赞
1696944534# #得亏是杨幂，换个普通人，把塑料袋戴头上拍照，大部分人都会认为ta有问题吧！？杨幂帽子济公大家还是多多爱护环境🙏🙏🙏🙏
1693922900# #说一个广告词证明自己老了李玟老师的滴答滴举手举手大家好才是真的好，广州好迪可爱可爱
1693732866# #准备好。“让我…”你们来，我负责弹吉他偷笑偷笑偷笑。好想去这样的演唱会打call打call打call
1703913749# #前面还在说猪肉7元一斤还在跌，这里燃油费这么贵飞机烧的是什么油好几次被燃油和机建劝退，除非赶时间，否则不想掏这个燃油机建费。动车呀，听我说谢谢你老师爱你
1697122249# #潘越云原唱的《最爱》，翻唱最好的，个人觉得应该是杨宗纬在歌手上的演唱了，前面涓涓细流，细腻温柔，后面汹涌澎湃，爆发共鸣，感人肺腑，回味无穷…很走心打call打call。悦音星行动
1704262424# #相信中国网友没有几个人觉得他说错了呀！。海南电视台公道自在人心，有些事情不要太过了。有些人也不要太双标。。铭记历史，有些方面小日本就该…你觉得呢？。
1699193224# #陪伴了好多人的整个青春苦涩苦涩孙燕姿前经纪人发长文应援“孙燕姿，你演唱会可不可以快一点？”“其实我已经在筹备了”期待个人演唱会，大合唱绝对不会让你失望打call打call
1689083418# #GALA乐队音乐节现场摔提词器来来去去也就那几首歌（sr确实也不错），这个真的没有必要扔提词器，你可以不看，别做太过，好好做音乐才是真的。。ps，墨镜难道就是必须品？
1691944628# #饭拍视角吧？不过这舞伴确实漂亮，有没有觉得好像内娱一个人啊？
1703402542# #邓紫棋南宁演唱会，20米超大圣诞树🎄、《11》，都是独属于南宁站的浪漫，可以好好吹一下啦太开心太开心太开心。｜视频cr饼饼•卢
1690175569# #TFBOYS西安演唱会今天开票我就不去凑热闹了，祝福粉丝都能抢到心满意足的票耶耶🐂滚O
1691503078# #《假如让我说下去》杨千嬅演唱会躺着唱歌也是稳稳的，这么开心怎么来耶耶耶
1693320026# #隋唐洛阳城古风美女。潘敏｜小章｜潘潘｜晗晗｜张石头｜小何同学｜小宇咂。你最喜欢哪一个？。网友“小孩子才做选择题，我都喜欢”可爱可爱。
1697946056# #戚薇成都演唱会｜还记得那年的外滩十八号吗？。对应RAPtalking。戚薇“我现在还在唱歌，妈妈的身体很健康，然后爱情很甜，有lucky有seven，还有大家，我真的很有lucky…”戚哥永远甜甜蜜蜜打call打call打call
1692520414# #张馨予上身身材。哇撒，,没的说，真的是…好！（色馋嘴）。来个XG合集耶
1695308379# #周杰伦-《断了的弦》(2004无与伦比演唱会版)。。我突然释怀的笑笑声盘旋半山腰。随风在飘摇啊摇来到你的面前绕。你泪水往下的掉说会记住我的好。。悦音星行动
1695531946# #60+依旧超能打，这就是歌神的魅力赞赞｜张学友
1702384023# #歌词适配APP宣布永久下架。好伤心…苦涩苦涩苦涩。一个偶然的机会，让我认识了歌词适配，一直都在使用，难得的好APP，心想着肯定有一天还是会出事的，没想到真的来了的时候，还是…。谢谢你们，几年了，谢谢你们无私的付出！。魅族已经不是以前的那个魅族，老MY也在渐渐离开…。还有，曾经的“捌零
1691035659# #快乐大本营“湖南卫视综艺”你怎么忍心丢掉快乐呢？！
1698413241# #我是歌手重启再来一个张韶涵“阿刁”神曲，自由的鸟…打call打call打call
1695343509# #吃惊吃惊吃惊这也要辟谣?人家是姐弟，2021年上综艺也说过啊…井胧井迪辟谣
1696941350# #penbeat｜太牛逼了！两支笔，一张嘴，两只手，一张桌子，就是一首美妙的曲子！网友“终于看到真的笔-box了”。（视频cr龙江浩）
1697810159# #最新营业李兰迪留了长发还是很甜的可爱可爱。年底有新作，正在拍摄《流水迢迢》耶耶
1696663194# #天啦噜，难道只有我看这个话题词有歧义吗？孙红雷小三十岁能参加亚运了论断句的重要性？第一眼，孙红雷小三十岁能参加亚运会了汗汗汗换成孙红雷年轻30岁能参加亚运会不好一些？。不过话说回来，孙红雷确实多才多艺耶
1704208923# #59岁外卖员元旦当晚倒在送餐路上如果不是生活所迫，谁这么大年纪还在送外卖？！我和身边的朋友平时点外卖基本不会催，也不会给差评。多一份理解和宽容，少一分戾气和埋怨！生活不易，且行且珍惜！。老人家，一路走好蜡烛蜡烛
1690128064# #【好歌分享】《谁》2版本欣赏，张靓颖和张碧晨的翻唱的确让人惊喜，有另外一种味道，原唱廖俊涛也比较耐听。你的故事呢？。“...在你眼中我是谁？你想我代替谁？。彼此交换喜悲，爱的多的人总先掉眼泪...”。悦音星行动
1689657096# #演员本人无法超越的角色为什么大部分都是内🐟流量呢？不能有李若彤的小龙女王语嫣、黄日华的乔峰、贾静雯的赵敏，，WentworthMiller的MichaelScofield…？快闪，暴露年龄了偷笑偷笑
1695311038# #旧视频了，之前李佳薇新歌演唱会上，林俊杰和李佳薇一起唱《煎熬》，前面李佳薇真的是四平八稳啊，后面林俊杰出场，感觉JJ音起高了，高音确实不是JJ的强项。这个？应该不算翻车吧可爱。。悦音星行动
1704163453# #李在明遇袭希望没事，不然绝食要了半条命没s，被这样偷袭就…不得不说韩国和小日本好乱，安保也真的是不咋地…
1699800025# #何炅用嘴型提示白鹿歌名我们一起喜羊羊耶耶笔笔好少唱了可爱可爱
1704164283# #李在明遇袭细节曝光看视频凶手好狠啊，能够绝食抗议日核污水排海的，也是有几分骨气，希望没事
1703324068# #考研英语难考完了就过了，不要想太多，难大家一起难，好好放松一下，为明天的考试做准备，要相信自己，你一定会一战成硕！耶耶
1695371566# #原来发质真的能养好跟着娘娘学养发，每天一勺黑芝麻核桃粉，秀发不用恼🤓记住要适量哦可爱
1693669154# #进入胡歌你才大小姐呢这个词条的，都是不虚此行吧偷笑偷笑
1704173578# #左边的视频今年元旦5人跨年夜捡4小时烟花筒卖了9块，右边的视频去年元旦一个晚上捡920斤烟花筒卖552元，问题出在哪了呢？春节我还要不要去捡?偷笑偷笑
1696346287# #恭喜恭喜野生珍妮被求婚了一辈子甜甜蜜蜜呀喜喜
1698197159# #周杰伦借口2004年现场现在微博流行考古？推了好多04现场，好是好，看多了笑哈哈笑哈哈有空多抢票去看嘉年华现场才是真嘻嘻嘻嘻
1697600598# #庄家顺抢救无效死亡emo，突然一看以为哪个明星（公众人物）…结果是，，，要不要这么卷啊，电视剧宣发能不能正常一点点？？九敏允悲
1695103515# #极限挑战宝藏行虞书欣｜雷佳音｜贾乃亮合唱《吉祥三宝》，贾乃亮突然就当妈了偷笑偷笑偷笑
1704435362# #字节跳动早期投资人严厉谴责抖音还没上升到“天道伦理”…不过这样的算法制造的信息茧房和盲目跟风确实有点让人心寒，所以还是要看个人，可以选择不刷或者少刷，或者关闭“个性化推荐”，世界就安静了。。有句话说得好“物极必反”，平台也该考虑考虑这样的提问。
1688835215# #不小心发现落入山谷里的云朵。如果云知道。逃不开纠缠的牢。每当心痛过一秒。每回哭醒过一秒。只剩下心在乞讨。你不会知道…
1703905551# #一家8口长住酒店被质疑炒作像网友说的，自信一点，把“质疑”去掉，人家是确确实实认认真真的在炒作！人家以前可是网红，有好几套房子，好几台车，还有助理住在隔壁酒店…操作一下，翻红继续带货赚大💰。当然，你也可以当做人家有💰人每天花一千多住酒店是在体验生活…偷笑偷笑
1694047313# #现在的一些“客服”就是“大爷”伍佰演唱会开场前门票3排变11排吃相太难看了！“不是你看到的就是你的”，谁给你的自信说出这句话来的？！裂开裂开
1693494042# #杨紫确实是一位非常好的演员杨紫谈演员职业素养和行为规范希望她越来越好！抱一抱抱一抱
1695742768# #微博音乐盛典录屏，刘宇宁《你说爱情啊》打call打call
1695361160# #有一种美叫做张柏芝的美！送花花送花花。张柏芝的23岁和43岁。。
1690028181# #庾澄庆围观儿子直播一直非常喜欢哈林，音乐顽童goodgood哈利也不错，有个好老爸
1695828164# #邓紫棋巡演这是？到底官宣没啊？我来了我来了赶紧的呀打call打call。
1698156901# #张碧晨的崽好可爱不好意思，一眼看见，理解成和华晨宇的baby…
1698768888# #是这个采访吧被许嵩这段采访狠狠点醒确实，把自己过好，把当下过好，你才能去过好未来，也才能给他人带来快乐，不是吗？
1695568918# #“You'renotinvited”Lisa机场只有助理一个人。反正闯美的路你没有被邀请哈哈哈哈看看就得了，还想怎样？。blackpink韩国首尔最后一场，Lisa春游家族春游家族
1696737785# #大吉大利，中午吃鸡！近日，老乡鸡豪掷五千万发福利登上热搜，老乡鸡的崛起和蓬勃发展，这不仅是一家传统美食的回归，更是高质量发展的生动实践。老乡鸡的发展历程，充分展示了高质量发展给企业带来的机遇和挑战。高质量发展中国行希望更多的国货高质量发展起来！最后问一句，广西能多开店吗？
1691734514# #洪知秀保时捷路人，保时捷我知道，洪知秀是谁呀？不知道呢，做什么的？有什么代表作？
1703422404# #苹果折叠手机横折的不喜欢，感觉没有什么实际意义。还是喜欢竖折的…只不过打工人可能买不起呀
1699179082# #一个字，就是帅😎吴建豪戴玉手镯还有潮到不行，从f4一直cool到现在，一直保持20岁的身材…
1690734234# #蔡依林唱倒带好好哭《倒带》talking。你是从10岁开始喜欢Jolin的吗？
1690985807# #女子翻结婚照发现老公弟弟十指相扣喜欢听张智霖《十指紧扣》的有吗？
1700926883# #哈哈哈哈哈哈，听到什么上了热搜，现在杨幂于和伟亲马东了可是火暴了，杨幂好美好可爱偷笑偷笑
1694065559# #Lisa疯马秀同样是艺术表演，Lisa就是性｜感的代言，而杨丽萍的舞蹈就是“大，尺，度”…是不是还是那句话“要用艺术的眼光来欣赏”？
1694620486# #以前的伍佰开演唱会必需品:电风扇！以前的伍佰和现在的伍佰现在的伍佰开演唱会只需要起个头，甚至只需要挥一挥手指挥一下就好了，然后…偷笑偷笑偷笑
1692008801# #贾玲的过客又多了一个贾爷真的是牛逼，坐拥后宫“佳丽”三千！讨喜，男人女人都喜欢她，不管和谁剪cp，粉丝也都愿意看偷笑偷笑下一个是不是小岳岳了啊嘻嘻嘻嘻
1694706684# #低调做公益，有爱心有演技的一对夫妻艺人。。祝福越来越好！赞。邓超孙俪捐款20万资助100名困难学生
1695454114# #蔡依林说今晚会唱花蝴蝶羡慕一下吧，开心快乐就好！先看看之前的演唱会视频打call打call
1700715992# #邓紫棋演唱会期待一下12.23-24南宁演唱会，上次广西三月三音乐节嗨到不行…打call打call打call。（视频来源dy丙）
1697250000# #大张伟以为林子祥叶蒨文只是商业伙伴不是吧！说的自己好像很年轻一样，年轻的也是知道他们是夫妻吧！难道没有看过他们合唱的《选择》？！那么经典，那么明显打call打call
1694653095# #也是很好看啊！！成毅今天穿的傅云深的衣服南风南风南风…打call打call
1691164776# #羽生结弦宣布结婚尊重，祝福！
1703597126# #青簪行有消息了明年播？还有5天就是元旦了哦太开心太开心太开心是谁的黄梓瑕回来了啊？？？打call打call打call。（视频来源水印）
1689681888# #刘诗诗什么时候演梦华录了是她，不是她！腾讯视频“不好意思，手滑了”，网友“故意的”“看在刘亦菲的面子上，原谅你了”嘻嘻嘻嘻嘻嘻
1702383568# #苏打绿最后一次大型巡演。人家说的是“也许”…担心身体跟不上…。祝贺，终于拿回自己的东西，。加油，相信你一定可以的，。不像，某些人搞假唱
1690202629# #记者卧底救了6个被骗缅甸人员辛苦了作揖作揖作揖这样的记者值得大家点赞，不过千万注意安全呀！
1698478425# #陈楚生他不爱我还没看过，视频删除？？剧本杀？？那先听听看看莫文蔚演唱会版本吧，ps身材没有几个能打的打call打call
1702691203# #看到一条评论“凤凰传奇20岁时，粉丝50岁，凤凰传奇50岁了，粉丝20岁”…。二次元有自己的凤凰传奇。凤凰传奇真的是个传奇，网友是真的喜欢打call打call打call
1695827109# #古有替父从军今有替父追星童年少年青年中年…无断层，刘德华值得大家追赞
1697557838# #刘德华说霆锋太疼我了前面刘德华代言华为“不怕没柴烧”，接着又来谢霆锋代言华为“锋华绝代”，今天又来两大男神合作电影，真的是…来吧，让🔥🔥🔥漫延的更猛烈些吧打call打call打call
1703306139# #像网友说的“每个人都很累，都会内耗和卷，所以怎么学会去保持平衡很重要。”所以，多听听杨幂千万不要过度内耗我们能做的是，尽量不要去内耗作揖作揖
1703594525# #雷军回应小米汽车定价小米汽车SU7，叫“苏七”，雷总说小米SU7没有准确的对标车辆，透露在驾驶性等机械素质上媲美保时捷TaycanTurbo，在智能化上，我们希望能媲美TeslaModelS，并说“小米SU7确实有点贵”。这样看199999可能没有可能了，应该至少是299999起…你觉得定价多少可以接受？疑问
1694523922# #真诚是永远的必杀技！！！之前刷到说老薛演唱会生病发高烧了，退门票机票酒店💰，还现场下跪，真的是对粉丝太好了赞赞赞希望薛之谦越来越好！打call打call打call。可笑的是某些网红，自己红了有💰了，就飘了，嘲讽自己的衣食父母…右哼哼右哼哼。（视频cr彭泫雅的朋友圈，侵删）
1690041560# #71岁丫头嘿，人家还真有那本事赞赞演技还是可以的，又不污眼睛（参考雯丽丫头）。话说想想自己到了71能干啥并不简单并不简单
1704429504# #电台主持人发表争议言论后涨粉700多万该来的还是会来的
1699840270# #《被动》伍佰主歌你们唱副歌也是你们唱02演唱会上的“背痛”唱的是大汗淋漓呀，那时候伍佰老师比较瘦笑哈哈笑哈哈
1689680441# #续航直接延长到10天，一只比13只续航还长求饶求饶续航好长长长的手表啊配色也好看，有点心动了，最近想看手表的朋友可以上京东618看看，今日首发哦
1698769375# #周深化身孤岛的鲸治愈感。每次听都有不同感受，深深的歌声确实很治愈。。
1695532167# #你好疯子。我们的主题舞，你学会了吗？｜万茜。真的是好欢快，好可爱可爱可爱
1704420071# #沈阳文旅局长在线截胡小砂糖橘们这大概就是双向奔赴吧，广西也开始花式回礼，爱心人士捐赠砂糖橘沃柑发往哈尔滨，也向全国网友发出邀请，来广西过个“暖冬”吧抱一抱抱一抱
1689004399# #上海火烧云这样的夜幕，这样的云彩，这样的…突然好想你…你在哪里？你也会想我吗？
1691682215# #邓紫棋薛之谦嘉宾。哇，这个合体值得期待，羡慕有票的朋友！。薛之谦“天外来物”主题结合邓紫棋《你不是第一个离开的人》MV…啧啧啧，期待神级现场
1690290408# #睡觉是对下雨天的基本尊重雨声和老歌是绝配，你看《风中有朵雨做的云》正准备往你心里下呢！可爱可爱
1690979454# #NONO被曝性侵后首露面“咔嚓”祝牠nojjno脑！
1691840420# #哪位明星是内娱的一股清流虽然这是一个拉扯的话题，我也说一下吧，内娱里面肯定有周深！周深！周深！当然还有很多，比如…
1703920851# #看见这个2023年马斯克赚了7700亿是不是想大喊一声“卧槽”…太过分了，秒薪2.44w！！！。马斯克“high起来…”
1701753786# #杨鸣离婚这是谁呀？不认识呢！这咋就爆啦？看gc好像还是个渣男来的，还好意思发出来？yue了
1689573546# #肖战迪丽热巴或将合作是不是真的呀？！！这帅哥美女顶流，实在是太养眼了，那可比肖战王一博合作还要更狠期待！！！
1692516516# #李玟生前录音叫不醒装睡的娱乐圈根本不是装睡，是病！现在都是ZB的世界，哪还有什么纯粹的🐟圈，心疼Coco，国际巨星都遇上这样的事情，更别说一般的明星，更或者是学员了，还有前面刀郎的一首《罗刹海市》也是一样，ZB面前没有什么公平可言…闪了
1691945589# #魏大勋说戴个耳返唱得比张杰好。唱得更好＝唱得比张杰好？。取话题名字的人某个地方进水了吧！
1704248137# #余承东称2024年是原生鸿蒙的关键一年华为鸿蒙、小米澎湃、vivo蓝河…各式各样的操作系统，研发系统尚且较容易实现一些，构建生态才是关键，特别是各系统之间生态打通，真的希望各大厂商可以联合起来，合攻一个系统，构建良好的生态，2024，一起加油吧！努力努力
1703225049# #邓紫棋广州演唱会上穿婚纱清唱《AmazingGrace》，好好听呀赞赞赞好期待明后晚的南宁演唱会了，只是天气有点冷，要注意身体呀太开心太开心邓紫棋南宁演唱会
1703388924# #女生回应被老鼠咬手后反咬老鼠头这女孩也太勇了吧，一般人看见就忍不住大叫，别说下口反咬了允悲允悲想起那句台词“我原本以为吕布已经天下无敌了，没想到有人比他还勇猛，这是谁的部将？！”…
1694840932# #万芳经典老歌《新不了情》3女声翻唱Live版本欣赏。陈明丨辛晓琪丨蔡琴。。悦音星行动
1690027522# #林靖恩希望是假的，不然真的是一生坎坷！🙏🙏
1695789557# #这年头，很少人离得开手机了，虽然提议是好的，可是人家在拍，自己难免也想拍，演唱会嘛，不就图个乐呵痛快，如果真的想进行音乐交流，就到音乐厅开音乐会，而不是大型演唱会了吴青峰发文批评演唱会手机海你说呢？
1689234986# #阿娇网名是永不让你失望的脸确实是，阿娇的容颜绝不会让你失望！很早之前看07版的雪山飞狐，被阿娇演的程灵素深深吸引…
1696567696# #杰伦的粤语也还算好了，至少对不是粤语环境长大的人来说是这样的，2004无与伦比演唱会上的《献世》也比较惊艳，2023又唱了一遍，进步好大鼓掌周杰伦一生中最爱
1703301720# #哈尔滨一小区门口惊现神级雪雕高手在民间赞赞赞南方人的我表示小时候堆过雪人，但没有看过冰雕，沙雕倒是看了很多偷笑偷笑偷笑。提前祝福大家龙年大吉！耶耶耶
1695038436# #亳州毫州，就问问有多少外地人第一眼是看错了的？（对不起，我也是黑线黑线）杜德伟演唱会上将亳州念成毫州
1694740721# #高圆圆是真的美！可惜好久没有新作品了，期待^ω^高圆圆董洁同框网友“赵又廷夺妻之恨不共戴天”有你一个吗？偷笑偷笑
1703118315# #女网红就涉甘肃地震言论道歉并捐款能说出那样言论的人，肯定心底就没有道歉的意思，只是迫于压力才道歉的吧，网红也算是公众人物，不要求有多么高尚的情操，至少三观要正吧！一首《凉凉》送给她
1698478855# #田曦薇身材曲线确实不错不错不错不错不错哇哇哇
1688736138# #范玮琪演唱会取消实事求是，单纯拿歌来说还是不错的（以前还挺喜欢一些歌的），只是没想到人品不行，老公又…这样也好，免得尴尬哈哈哈哈
1702533846# #我很好，那么你呢？？。王心凌好甜好美！相爱相爱。我们都会幸福的吧…
1691772232# #张杰你把话筒插兜得了唱功了得啊！还有1.2亿音响万人蹦迪！也high爆了！羡慕在场的打call打call
1702391535# #在《爱江山更爱美人》的歌声中感叹自古美人如名将不许人间见白头再见周芷若！
1690898272# #奥利开通微博不好意思，一开始没有看清楚，还以为“奥利给”“奥利奥”开通微博了，小可爱，祝你成功！
1691203014# #金星说周迅才叫演员国际章只是个明星非常赞同金星在节目当中的评价，周迅确实厉害！。。娱乐圈圈看
1691592802# #高圆圆真的是太美了！！！抱一抱抱一抱。网友戏称“赵又廷夺妻之恨不共戴天”允悲允悲
1694959601# #Jennie演唱会talkingJennie演唱会哭了即使哭泣也努力唱歌鼓掌鼓掌
1697691611# #杨千嬅被重庆粉丝粤语合唱感动这个超清晰耶
1703466085# #国产首艘大型邮轮离港首次试运营全长323.6米，2500万个零部件、2万多套设备、136个系统，总吨位为13.55万总吨，有24层楼高，2125间客房，最多可载乘客5246人。高质量发展中国行它的名字既体现了上海制造的身份，又凸显了首艘国产大型邮轮在产品设计、艺术设计、体验设计上的追求，是我国船舶工业
1691424272# #TFBOYS演唱会优酷最少进账6550万哇，真好赚！其中也有这个班主任的一份，有这样的班主任真好！
1691991696# #张艺兴前往医院就诊不必要关注个人生活和隐私，人家也是是真的累了吧，去个医院检查一下也正常，希望没事作揖单纯的小哥哥赞看了《孤注一掷》没有？。之前宣传孤注一掷的时候，说到“恐龙扛狼”笑不活了…偷笑偷笑难道张艺兴是2g网络笑cry笑cry
1701086433# #就算谢楠看了也是笑吴京口误我是闫妮老公偷笑偷笑偷笑偷笑不过还是感叹一下时间好快呀，吴京都开始演谭松韵父亲了…
1690038272# #《无感》还是得看王一博！今晚的乐华演唱会确实“无感”酷酷
1698415929# #这个长发也是假发吧？许佳琪假发飒不？
1691851606# #张杰谢娜夫妻俩真嗑，对谢娜可能真的是像张杰在长相思里唱的《万物不如你》吧，深圳演唱会上首唱耶
1703931230# #新年最想实现的愿望嗯，新的一年遇见更好的自己！也祝福朋友们新的一年里好运连连，龙行龘龘！
1693669383# #这跟去椰树直播间看帅哥的差不多是一个样吧嘻嘻嘻嘻金靖出场把我笑死你说是不是？
1692933297# #中国好声音暂停播出终于…好好调查，尽快调查清楚，给网友和观众一个好的交代！不要敷衍哦！这样的话还可以给你一句“有错就改，善莫大焉”！。只是心疼Coco看不到这个结果了泪泪
1704087319# #武汉跨年气球碰电线炸出火花不能放烟花，开始流行放气球了？手拿/放氢气球要格外小心呀！。新年快乐！万事顺意！老师爱你老师爱你
1694957001# #戴佩妮-怎样（发现Live音乐现场）这个现场我居没有看过耶，（加了歌词）。另外，我们佩妮上热搜啦，还是因为飞翔哥唱怎样嘻嘻嘻嘻
1703168420# #虾我命由我不由天→［铁板你命由我不由天］偷笑偷笑偷笑哈哈哈，铁板大虾，看起来好好吃哦…
1704243486# #哈尔滨的惊喜每天不重样别说了别说了，再说我要请假去哈尔滨了偷笑偷笑偷笑除了鄂伦春族都请来了这个，还有好多好多独宠项目…
1695736040# #周深微博音乐盛典《花开忘忧》耶耶
1696816909# #什么？！这瓜有点大呀，惊呆了吃瓜吃瓜吃瓜黄宗泽万籽麟痞帅天花板和咖喱酱结婚生子了？是不是真的啊？还是有什么新作品要上了？
1699363809# #白鹿张凌赫好会亲用白鹿对打白鹿，还有这个…你看哪个？太开心太开心
1692372411# #《浪子回头》是由黄奇斌创作词曲、茄子蛋演唱的歌曲，收录于茄子蛋2013年7月25日发行的EP《犹原伫这》中，2017年7月28日，该曲重新录制发行，收录于茄子蛋发行的专辑《卡通人物》中，2020年6月25日，该歌曲获得第11届华语金曲奖年度最佳闽语歌曲奖。。这次视频一个是原版MV，还有是冷雪儿翻唱录音室版本
1692542490# #浙江广电称李玟值得铭记说有什么用？人家制作方已经将“李玟”除名挖鼻。就看你浙江广电称会督促好声音制作方改进怎么个改进法了？最好是停播整顿一下吧
1690936688# #芭比被日本大规模抵制哟嚯，小日仔也会有伤疤？你们的干父多给你们开的玩笑，你们得陪笑呀偷乐
1688709008# #王嘉尔茅台对瓶吹哈哈哈，酒量牛逼goodgood。说说看，茅台能给多少广g💰嘻嘻嘻嘻
1699363092# #刷到一个视频，继《Areyouok》之后，雷总终于发布最新单曲《我心澎湃》笑哈哈笑哈哈。“居然还挺好听的”。“我要设置成小米14手机铃音”…。cr印
1696777616# #孙燕姿－开始懂了。10.04临沂现场
1688715962# #李玟声生不息上身穿婚纱献唱《天若有情》，现在看来仿佛就是在讲她自己的故事，最后那一扑，让人心疼....泪泪。谁都不曾想过，这会成为绝美舞台绝唱，您已经成为天上那颗闪亮的星星....。悦音星行动
1699360737# #蒋勤勤认定吴磊是我儿子了真▪水灵！记忆中的还是风云中的第二梦…这次居然演母子了，期待一下新电影草木人间打call打call打call
1692373121# #【视频来源网络，侵删】每一首歌都有一个故事，电影感极强。。茄子蛋-《这款自作多情》《浪流连》《浪子回头》三部曲MV欣赏咖啡。悦音星行动
1693546761# #唱的真不错，可是想听他们再唱一下《你是我的眼》，应该会更好
1695743039# #微博音乐盛典录屏，周笔畅《龙利鱼》🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟
1704375836# #哈尔滨惊现15元1个小土豆挂件好家伙，好速度！义乌连夜加班做的吧？网友说tb好像便宜点…
1702876958# #高级合伙人招募，来来来，打铁啦…声音多好听太开心太开心。祝福各位心想事成，万事如意！耶耶
1698024064# #如何体面的退出一个群直接退了就好，其实大部分时候没有什么人在意的，不是吗？借用dy一首最近又🔥了的歌《其实都没有》苦涩苦涩（视频cr杨宗纬工作室）
1698156211# #看完周迅把我跟拖垃圾袋一样拖上来花絮，对这个电影更加期待了，拍摄的时候通不痛呀苦涩苦涩。周迅真的是越来越有味道了，好稀罕抱一抱抱一抱再看（听）这个经典台词，依然会心动，依然会…
1691200493# #《周深时光音乐会合集》上。1.光亮2.回到过去3.欢乐中国年4.听见下雨的声音5.Andy6.花火。（很早之前就想发了，怕被删，现在节目结束这么久了，不知道还会不会被删）。悦音星行动
1698227747# #嘿，还挺乐呵的…赵又廷回应夺妻之仇不共戴天不过话说回来，高圆圆真的是太好看了，太多人喜欢了，所以才有这个梗。好好对圆圆，不然全国男网友要你好看偷笑偷笑偷笑
1696263723# #国人明星的吕良伟林志颖也是一样给力给力给力给力给力给力自律的人好像真的很扛老只能是羡慕了
1696177088# #白鹿罗云熙吻戏花絮，“不知道怎么往下亲”偷笑偷笑偷笑。真的有点上头哈哈哈哈
1690217971# #张晚意演技结合我的wb昵称，我是不是应该追一下《长相思》可爱可爱，还是比较喜欢杨紫的，奈何今晚又错过了
1696178754# #这是韩庚？？确实好多人说过这样的话，戒烟会长胖前任4冷知识戒烟会长胖可是，已经胖了，再抽上，能减肥吗？偷笑偷笑偷笑
1703654501# #周深《璀璨冒险人》完整舞台，真的是好听到哭呀打call打call打call喜欢吗？
1698151135# #恭喜恭喜！倪妮金鹤奖最佳女主角值得耶耶如你所言，拥有一颗平常心，做一个快乐的人打call打call打call
1696781691# #还有之前在声生不息宝岛季上于文文和杨宗纬合唱的《浪人情歌》，很飒，吉他solo泰酷辣于文文一开嗓真的太惊艳了
1690040344# #妲己让让让让，真▪妲己温碧霞来了打call打call
1691582362# #邓为你现在是真的火了确实🔥🔥机场好多人，网友羡慕安检小哥偷乐偷乐
1695470057# #粉丝在刘若英演唱会上大合唱《十年》。“你们是陈奕迅派来的吧？你们是来砸我场子的吧？你们居然唱他的歌，在我的演唱会，还唱那么大声…”这样的刘若英，有亿点可爱可爱可爱可爱。。娱乐圈圈看
1692761211# #新一季的时光音乐会什么时候开播呀？不是说已经完成一期录制了吗。“第一期歌单（8月15日录制）。张杰《勿忘心安》。Ella陈嘉桦《沙粒》。戴佩妮《怎样》。邓紫棋《A.I.N.Y》。于文文《体面》。黄龄《high歌》。王源《我可以自己点燃火炬》。孟佳《蝴蝶海》”。期待一下，特别是佩妮打call
1692448220# #谁能救救孟美岐无药可救，除非互联网和网友都没有记忆了…
1692671386# #陶喆祝你活该允悲允悲允悲人家的新歌叫《活该》。别再来危害容易听错成别再来威海偷笑偷笑偷笑
