1693965133# #张艺谋这标题党写的真吓人，太无语了允悲
1695420716# #刘源：我们父子相处的最后两段日子。。“1967年春天和夏天，是我们父子相处的最后两段日子。。。当时他被隔离监禁，外人接触不了，谁都不敢接近他，哨兵只能隔一段距离看着他，工作人员也都在划清界限，谁来照顾他的生活呢？因为我过去当过兵，小时候和大家关系挺好，挺老实，我被特许出入，简单照顾他的生
1697379666# #光良陈卓璇版童话VS光良原版童话这版童话比18年前还好哭前奏响起，光良、陈卓璇的《童话》牵出无限回忆，那熟悉的...
1691963700# #蒋中正的薪水一览。。1933年，南京国民政府颁布《文官官等官俸表》，重新厘定了各级公务员的工资标准。按照该表规定，时任国家最高领导人的蒋中正，拿的工资跟行政院院长、立法院院长和各部总长一样，都是每月800块大洋。。。这时候，官员薪水还很单纯，除了工资就是工资，没有洗理费、书报费、餐费、交通
1689722538# #2003年，美国以一管洗衣粉为由出兵伊拉克，推翻了萨达姆政权。照片中美军拍摄了正在装车从伊拉克掠夺来的黄金的。这些黄金将被统一放进集装箱运送回美国。在这场战争中，美国获得了巨大的利益及石油之外，还有数不尽的黄金财富。据估计，当时美军仅在黄金和石油这两项财富上获得超过数万亿的收益！
1698669338# #纪念金庸大侠！
1690189869# #孙杨回应直播争议孙杨称直播不只为了赚钱孙杨回应称：“其实我的播频次是非常低的，如果说我做这个东西是真的想赚钱，或者说有自己私心的话我完全可以天天播，我可以任何东西都不做，天天只要睁开眼就进直播间，对吧？我选择真的就是因为喜欢。。。孙杨说直播不为赚钱，这话说得有些太虚了，挣钱就是
1702688006# #1977年11月的北京，金黄的银杏叶覆盖着街道，冷风吹动着人们的衣角。李晓斌，一位知名摄影师，正骑着自行车穿梭在人群中。他的眼中总是寻找着那些能够讲述故事的瞬间。这一天，他的镜头捕捉到了一位特别的老人。。。老人的形象，即使在熙熙攘攘的人群中，也显得格外突出。他的棉袄破烂不堪，棉絮从破洞中
1693129212# #专家称洗头可洗掉沾染到的放射性元素专家们的话实际上并没有多大意义，和核爆炸后的其它危险比起来，洗头什么的简直就无足挂齿，纯属吹毛求疵了。
1693978560# #如果大英博物馆的中国文物寄来家书无论是中国还是其他文明流落在外的瑰宝，都能早日回家，风风光光、堂堂正正地回家！
1690063864# #上世纪六十年代后期，中国为了防备苏联从北面大规模坦克群入侵，在边界上修了不少人造山！。。人造山不是一个孤立的，蹲人死守的土山，它就是现代防线中的一个支撑点，一个节点。人造山的位置，都是卡在重要的交通线交通枢纽和水源地附近，往往是苏军进攻的必经之路，虽然作为前锋的苏军坦克部队、摩托化
1696669851# #以色列总统发文没完没了，这形成畸形生态了，这边定时搞点事情，金主那边定时打钱，一个靠援助的围城，人口稠密的像孟买贫民窟还多。
1698145585# #李佳琦公司美ONE合同细则曝光现在看来想要在电商行业安稳的购物也需要主播们的良性竞争啊，希望各大主播能够以更开放的态度对待消费者，不要垄断市场。
1700107444# #中国作为大国，有担当，有作为！美国必须回到对话友好正确轨道上来。
1700364118# #这张照片拍摄于上世纪九十年代初的天津。在天津一个普通的街头角落，一个出租游戏机的摊位成为了众多小孩瞩目的焦点。这个看似平常的摊位，却在这个特殊的时代背景下，承载着无数人童年的回忆和梦想。。。那时的天津，正处于改革开放的初期，人们的生活水平逐渐提高，对于娱乐的需求也日益增长。而街机游
1703852212# #3孩非亲生案当事人自述始末16年的人生，三个女儿都不是亲生的，这是任何人都无法承受的。特别是这种毁灭性的背叛，谁都无法接受。婚姻不易，要珍惜。如果两个人之间没有感情了，一定要冷静理智处理，不要做出不理智的举动。
1701128232# #马关谈判败在电报上。。前些年，网上有一个流传甚广的说法:李鸿章在马关谈判时曾经遇刺，一颗子弹射入他的脸中。他最终以自己遇刺为手段，迫使日本在马关条约中减少了一亿两白银赔款。事实真的如此吗？。。1894年7月25日，甲午战争爆发，日本海陆军占据压倒优势。战至次年3月，中国引以为豪的北洋海军全军
1692757148# #东电公布第一批核污水排放计划从报道来看，应该是明天就要开始了。随着时间的推移，日本核废水的污染可能会逐渐扩大，影响的海域是你我无法想象的。
1700352457# #“文革”初期红卫兵前所未有的巨大特权。。在1966年，“红卫兵”是中国历史上前所未有的最有特权的青少年。从8月初开始，北京的学校都在“红卫兵”组织的控制之下。他们在学校里开会斗争“黑帮”和“牛鬼蛇神”。他们可以动用汽车等设施，比如1966年8月24日清华大学附属中学的红卫兵组织了12所中学的红
1693735846# #曾有72岁老太跨越1700公里去见秀才都好说缺啥补啥，都这把年纪的老太太大概是这辈子没得到过爱，她想把这种遗憾弥补一下。不过，这样也好，不管结果是啥，都是无可厚非的。年轻人有追求爱的权力，老年人也想弥补一下人生的遗憾，大家相互理解吧，存在就有存在的道理，毕竟人生没有往返票。
1698495433# #毛泽东：要做“牛皮糖”！
1694922625# #超三成投票网友认为结婚比离婚更需要勇气在现实生活中，往往是结婚是冲动下的产物，而离婚却是深思熟虑后的决定，考虑周围及亲朋好友的评价，考虑对孩子的成长影响，考虑父母是否支持，考虑钱财的损失，在我看来，好像离婚才需要的更大的勇气。
1696387648# #山西发生意外窒息事件7人遇难这新闻零模两可，没有说明事实的模糊新闻还是不发的为好，否则让人会有更多的猜测。
1700448679# #张桂梅老师倾尽所有，为山村女孩教育事业奉献了一切，用行动诠释了“教育改变命运”的理念。
1699420407# #内塔尼亚胡的话不过是搪塞国际社会的谴责而己！这人心底早就决心不灭加沙收归己有是决不会收兵的！
1702613955# #女子失恋喝一斤白酒后死亡这两个闺蜜对悲剧的发生负有一定的责任。这一裁决意味着，在聚餐时，陪酒人必须了解朋友的身体状况和饮酒量，并在适当的时候予以劝阻和提醒。
1702516225# #“文革”常德反动钞票及其它。。1967年的某些天，常德这个城市的街头巷尾流传着一种谣言：贰元票子的图案里隐藏着一个反动人物的头像。。。这还了得！于是，满城的人都紧张起来，纷纷打开钱包，找出贰元的票子，在阳光下照来照去，人人都是一副神经兮兮的诡秘样子。有人说：“啊呀！好像哦！”也有人说：“
1689921334# #1966年10月1日，在建国17周年国庆典礼上，毛泽东主席在天安门城楼上接见澳大利亚共产党主席希尔。希尔拿出英文版《毛主席语录》，请毛泽东主席签名。亿点曝光计划
1698451200# #斯大林欲证明列宁大脑与众不同。。作为世界知名的大脑研究专家，福格特切开列宁大脑的唯一用意，是要证明这是一个天才。而对于聘用他的斯大林来说，这一行动的意味则更为深远。如果列宁可以被证实为天才，那么无疑可以提高社会主义制度在苏联的合法性。。。1925年1月，列宁去世一年后，曾担任其治疗顾问的
1690460885# #医书里说有两样东西，是最好的灵丹妙药，一个是开心的笑容，一个是睡个好觉；你之所以觉得，时间一年比一年过得快，是因为时间对你，一年比一年重要。。。最近很喜欢的一段话：尽量快乐，然后一定善良，如果活的足够长，终将看到命运把因果兑现，我喜欢最后一句。人生感悟上海身边事
1689152184# #这个事情如果是你，你会怎么办？别说一个女孩，就是我都会起鸡皮疙瘩
1696817680# #以色列进入战争状态背后原因以色列宣布进入战争状态也带来了一系列的后果和挑战。首先，这一决定可能导致中东地区的紧张局势进一步升级，引发更多的冲突和暴力事件。巴勒斯坦地区的局势将更加动荡不安，可能导致更多无辜民众的伤亡。
1702514978# #赵树理写《小二黑结婚》，源于一个真实的故事。1943年春天，赵树理在辽县工作，村里了发生了一件事情：一个民兵小队长和一个女青年谈恋爱，遭到村里坏人的嫉恨。后来那些人利用手中的权力，编造腐败的罪名斗争他，竟然把他打死了，赵树理参与处理了这件事情。抗战初期，有不少村干部就是流氓出身。当时
1698310905# #近日，瑞典斯德哥尔摩数万民众爆发集会，群众不分昼夜声援巴勒斯坦，用手机闪光灯照亮夜空。以军夜间发起一次大规模地面进攻
1697952223# #菲船恶意碰瓷中国在主权、领土问题上绝不能心慈手软，否则后患无穷，对菲律宾是该出重手的时候了。不然他会在美国的怂恿下不停的骚扰，打的一拳开，免的百拳来！
1702721899# #刘涛说孩子能让人看到希望要想孩子被教育得好，爸妈们还是要以身作则，给孩子们一个良好的家庭环境更重要。
1698881845# #调查结果也是预料之中的结果，因为类似调查太多了，就跟看电视一样，看个开头就想到结尾了。
1686899259# #绍兴86岁老党员纵身一跃救起落水大妈不顾自己八十高龄，纵身一跃救人，给青年人树立了榜样，给青年人上了生动的一课。向老党员学习，这就是社会该有的风气。为这样的好人点赞，值得每个人学习，好人有好报。
1697109900# #现在联合国说了有用吗？以色列封锁照常，所以一定要国家强大，人民免受苦难。
1697767931# #沪指跌破3000点大关10月20日，三大指数全线低开，上证指数竞价跌破3000点，刷新2022年11月以来新低。如果没有力量护盘的话，A股又将是非常难熬的，重仓的股民今天大概率又是一碗大面。
1695889574# #9月28日开通运营福州至厦门高铁，最快55分钟可达两地实现“一小时生活圈。
1690673445# #蔡天新：领袖——在1976那一年（一）。。1976年，那是中华民族的一个关键性年份，也是领袖更迭的年份。年初，总理周恩来的逝世在民众中间引发了悲痛，记得我是在早晨瑟瑟发抖的被窝里，听到有线广播中播放的哀乐，凝重的旋律通过扬声器时发出吱吱嘎嘎的响声。那时中国的传媒非常落后，绝大部分地方没有电
1700664816# #Acfun发文感谢网友帮助有一说一，这是我最近几个月在微博上第一次刷到A站的博……
1688360158# #蔡徐坤否认女方未成年及强制堕胎声明挺有意思的！如果真像他自己所说，两个单身成年人谈个恋爱。既然合理，合规，双方自愿，为什么还会有惨痛的教训……为什么要懊悔呢…蔡徐坤事件算塌房吗
1692758375# #要我说，这个部门的领导也是不懂互联网，就不能雇人找点托演戏么，现在搞得这么尴尬怎么收场，被全国人民看笑话！
1695382122# #应试教育固然可恶，但关键看自己的灵魂是否自由。心灵自由的孩子一定痛苦，但痛苦是一种警醒，它在时刻提醒你——有意义地活着，比浑浑噩噩活着好。。。我小的时候经常打架，每天衣服上的扣子都要被揪掉两颗。现在的孩子真可怜，每天都整整齐齐回来了，一点儿土腥味都没有。。。听说鲁迅被删出中学
1697355531# #余华真不是客套余华对电影《河边的错误》的认可确实不是客套。电影改编是文学作品的另一种表现形式，有时候会面临许多挑战，比如如何在保留原著精神的同时，呈现出一个令人满意的故事和情感表达。
1702427760# #民国时期通电全国价几何。　　。民国时期，上台要通电，下野要通电，嘉奖要通电，和谈要通电，甚至大学老师被政府欠了薪水也要通电……通电，看似普通的事情，其实价格非常贵。。。通电就是通通都要发电报，分小通电和全国通电，小通电一般只选择特定城市或者相关人等。比如袁世凯称帝的时候，陆荣廷、梁启
1689981436# #2000年朱镕基总理在九届全国人大三次会议举行的记者招待会上，就台湾回归问题发出了最强音：。。朱总理说：现在，有些人在计算中国有多少飞机、多少军舰、几个导弹。结论是中国人不敢打，也不会打。按照你这种计算，希特勒早已统治全世界啦。你不懂中国的历史，你不知道中国人民一定会以鲜血和生命来捍卫
1703120736# #杨开慧就义的历史细节。。1930年8月，围攻长沙的工农红军撤退后，湖南省“清乡”司令部司令何键在全省大肆捕杀共产党人和革命群众，并悬赏1000大洋捉拿“毛泽东的妻子杨氏”。。。是年10月24日晚，在长沙县板仓一带盯梢的密探余连珊领着60多个清乡队员，冲进了杨宅，将杨开慧和8岁的毛岸英以及保姆陈玉英一
1697340364# #这是一场毫无人性，和道德可言的战争。双方武装都不把人民当人看。人命在他们眼中一文不值，这是巴以老百姓的悲哀。
1691719984# #毛泽东小女儿李讷同志向河北灾区捐款10000元人民币。绵薄之力帮助灾区人民早日脱离困境。
1698896090# #河南淮阳官方回应抢中药事件周口是河南人口最多的地方，工厂也少，年轻力壮的大多出去打工或做生意，除一小部分人闲置着外，留守的大多是老年人和孩子，加上老年人普遍思想觉悟不高，有些事情难免会…所以，当地相关部门对加强百姓思想工作做的还是不到位，需要加强。
1690781247# #银行高管17岁儿子活剥猫皮残忍！居然还有这种父母的存在，难怪儿子这么无德，因果报应，他们一家应该受到更多人的谴责，唾弃，让他们成为过街老鼠人人喊打！
1695701091# #华为发布会台湾时事评论员赖谦谈华为发布会：美国人不了解我们中国人，我们是“生于忧患死于安乐”！
1691135189# #张博恒安慰桥本大辉在大运会自由操和鞍马中，桥本接连失误，不仅摔倒，甚至直接从鞍马摔下，现场观众一阵惊吓，并给予他热烈的掌声鼓励。桥本疑似脑补轻微震荡，下场后教练一直在给他按摩。中国队两位选手也主动上前，握手致敬！每个运动员都是好样的！
1696378049# #罗点点：常委会的列席资格。。罗瑞卿曾是政治局常委会的列席者，这是一个不可等困视之的荣誉。但有一阵不让他列席了。原因是毛岸青夫妇的生活一直是由罗瑞卿照应，“四清”运动时，韶华为了锻炼而到农村搞四清，罗瑞卿知道岸青要人照顾，就劝她不要去，后来韶华坚持，罗瑞卿考虑再三将她安排在离北京很近
1687237817# #小平同志的往事！
1703122650# #抗战时期鲜为人知的“熊猫外交”。　　。自1936年至1941年的六年间，美国人用不同手段从中国运走9只熊猫。而1941年11月，宋氏两姐妹赠送的一对熊猫正式经由政府输送，充当亲善大使，意义非比寻常。。。1942年1月5日出刊的《时代》杂志，以美国总统罗斯福为年度封面人物。该期《自然科学》专栏以“Conveyed
1702989159# #韩红团队已经启程前往灾区每次出现灾难，韩红最早出来，只有韩红才配得起明星二字！
1702799956# #中国改革开放的信心和意志都不会动摇大大：中国将全面贯彻新发展理念，加快构建新发展格局，着力推动高质量发展。不论世界发生什么样的变化，中国改革开放的信心和意志都不会动摇。。。那些污蔑、践踏、阻碍中国改革开放的左壬、右壬们该歇歇了，千万别做中华民族伟大复兴之路的绊脚石。
1689243612# #倔强的人为什么这样“理直气壮”呢？因为他只相信自己是对的，别人都是错的，强烈建议你再去好好学习一下哈。
1701932953# #央媒调查入境游问题景区门票问题，酒店入住程序等，人为的设置了很多障碍，关键是费用贵，找名堂收费，没有名堂创造名堂收费。五花八门的收费项目活丢中国的脸。
1702196993# #衢州是一个有山，有水的好地方！曾多次去过。这里的生活节奏没有上海快，轻慢的生活风更适合对自由的向往。
1701917995# #爱锋派回收价为苹果官方估价两三折这个回收价格相信任何人都不会接受吧，所以建议大家旧手机选择官网以旧换新不要直接回收给爱锋派，太狠了。实在没有买新机的打算，各大回收平台也比爱锋派靠谱。
1703210179# #比索内特讲述“拉登之死”。。《艰难一日》讲述了击毙“基地”头目拉登的内幕信息。该书原定“9·11”恐怖袭击11周年当天发售，之后因订购踊跃，发售时间提前至9月4日。。。《艰难一日》让作者之一的马特·比索内特成为“棘手人物”。美国国防部8月30日致信其律师，指认比索内特违反退伍前与国防部签署的保密
1701174123# #毛主席赴重庆！
1698286185# #美国缅因州突发枪击案至少16人死亡据美媒CNN消息：10月25日晚上，缅因州刘易斯顿发生多起枪击案，造成至少16人死亡，50~60人受伤。嫌疑人逃离现场，警方正在追捕，犯罪的详细动机尚不清楚。。。这种事在美国已经不是什么大不了的事了，美国的持枪率接近90%，每年发生的大规模枪击事件高达数百起，而大
1691201037# #1969年10月，在京老干部全部战备疏散。临行赴江西前一日，邓小平给汪东兴写信说：“我保证在自己的余年中，努力在工作和力所能及的劳动中，好好地学习毛泽东思想，向工农兵学习，好好地用毛泽东思想改造自己的世界观，从头做起，重新做人。”他想继续用这种方式保持与毛泽东的联系。毛泽东主席圈阅了这
1700024349# #经纪人回应网传艺人为缅北电诈家族庆生网传多位明星给缅北四大家族白所成之子白应苍庆生，经纪人称艺人不认识缅北电诈成员，录祝福视频未核实对方身份。
1699261063# #怎么说呢？走错一步，终身后悔，唯有从头再来！
1703306337# #这个故事告诉我们，无论面对多大的。困难和挑战，只要我们坚持不懈、永不放弃，就一定能够克服困难、实现目标。
1691549769# #北京特大暴雨已致33人遇难2021年的河南郑州的深刻教训，现在落在北京、河北了，提醒同胞们，在自然灾害面前人类是渺小的！要未雨绸缪，给自己留有应对的措施，那怕是自救也可。
1688523943# #1959年7月3日，毛泽东在审阅、修改国务院先念副总理为中央起草的关于在大中城市郊区发展副食品生产的指示稿时，特别加这么一段话：“所谓农者，指的是农林牧副渔五业综合平衡。蔬菜是农，猪牛羊鸡鸭鹅兔等是农，水产是渔，畜类禽类要吃饱，才能长起来，于是需要生产大量精粗两类饲料，这又是农业，牧放
1699926484# #室友遭追砍女子帮呼救也被砍20多刀这不是江歌的故事的延续嘛。对女孩子来说，毁容就是重伤了。看这个新闻第一感觉就是江歌和刘鑫，建议这种引火烧其他人还事不关己的也要让她接受惩罚。
1699353964# #胡锡进评佳木斯体育馆坍塌事故有齐齐哈尔的教训怎么还走马观花的检查呢？从来不看看房盖了多少年，如果隐患太大的话就应该拆除，事后说再好听也没什么用了。
1697455223# #有句话说得好：“你想完成的事越多，完成的事情反而越少。”在多线任务中不断切换，看似很勤奋，实则是瞎忙，难以转化成真正的生产力。。。人的精力有限，低质量的勤奋，比懒惰更可怕。学会深度工作，有选择地专注，把要紧的事做到极致。高效的人生，往往会更轻松，也更丰富。生活涨姿势
1701918586# #父亲骨灰被弄丢殡仪馆说给盒新的殡仪馆要对这些问题需得出一个合理的解释和解决方案。作为服务行业，殡仪馆应该承担起相应的责任和义务。他们需要认真调查此事，并采取措施确保类似荒唐事件不再发生。
1694736996# #朝鲜战争不为人知的惊人真相。　　。美国华盛顿的朝战纪念碑上的数字：在朝鲜，中国志愿军击毙15国联军68万美军5.4万，歼灭联军242万美军17万。美国人在开战后还做着“圣诞节前回家团圆”的迷梦，殊不知，将有68万联合国军（其中有5万4千多美国人），永远回不去　　朝鲜战争美军和联合国军、南朝鲜军比中
1699274951# #医院院长倒卖出生证明每张赚6万这只蛀虫究竟是出于贪婪还是无知，一个证就是一个家庭的支离破碎，底线真的没有了。
1694824048# #廖承志致蒋经国的一封信。。1982年7月25日《华侨日报》全文登出廖承志致蒋经国的一封信。。。这封信燃起了无数中国人内心最深切的民族情感。不仅如此，廖公还引经据典，巧妙地将中共几代领导人对于台湾问题的态度都融入了这封致蒋信中。。。廖公的这封致蒋信堪称是上品佳作。析事论理、表情达意、布局用语及
1691997878# #东南亚博彩业近8成受害人系自愿前往他们总是抱着这样一个心态：博彩能赚大钱，自己甘愿涉险总能分到一杯羹。但谁能想，自己成了那杯羹。说来说去，还是一个字：贪！
1699440188# #11月7日，加沙希法医院一群孩子们举行新闻发布会，用英语喊出：“我们想要活着，我们想要和平，请世界保护我们。”能说出这样的话，这是多么无奈和绝望啊泪巴以冲突巴勒斯坦
1694728884# #1978年掀起高潮的“平反、落实政策”工作，不仅为刘少奇、彭德怀、“61人叛徒集团”等党政军领导人洗冤，更有大量普普通通的党员和老百姓重见了天日。。。“改正”55万名“右派”，为其中失去公职的27万人恢复公职，重新安排工作或安置生活。此外，对划为“中右分子”和“反社会主义分子”的31.5万人及其
1687643204# #苏联伟大卫国战争的起点地——白俄罗斯布列斯特要塞。。。俄罗斯电影《兵临城下之决战要塞》就讲述了1941年，德国法西斯军队开始进攻苏联，驻守在布列斯特要塞的苏军浴血抵抗的故事。。。当年红军战士写在墙上的遗言：“我们不会屈辱地死”，“我们很艰难，但没有丧失斗志。我们将像英雄一样死去”，“我将
1695380152# #近日，山东枣庄一男子违反交通规则，交警对其规劝时遭男子挥拳脚踹：你能把我怎么样？这家伙太嚣张了！民警下班吃饭顺便抓了个贼
1695966969# #大学生放假挤地铁电脑被门夹变形这让人想起坐地铁时总是担心自己的电脑被挤坏，但无能为力。因为地铁高峰期的人流拥挤程度实在令人恐怖，不过外出时还是务必小心保管自己贵重的物品。
1701090517# #四川发生触电安全事件造成4人死亡近日全国发生多起火灾、坍塌事故导致人员群死群伤。加之冬季寒冷、干燥中毒、窒息、滑跌等人身伤害事故风险也有所增大，企业应做好冬季安全防范工作，严防事故发生。
1690949477# #陕西一男子涉嫌半小时内连杀岳母妻子为什么这段时间会连续出现杀人事件？感觉现在的人就像个充满气的气球，轻轻一碰就能爆。。。看到这些案件，无一不让人惊悚、愤怒、难以想象！地狱空荡荡，恶徒在人间。。女子发现母亲被杀害10分钟后自己遇害
1702005727# #女子闯红灯听到要罚款转身就走遵守交通规则是每个人的责任，任何违反规则的行为都会受到相应的惩罚。如果每个人都像女子这样无视交通规则，那么道路将变得更加混乱和不安全。
1703412535# #6男子吃火锅一氧化碳中毒3死3伤炭火火锅虽然暖身，却暗藏危机。生命只有一次，安全重于泰山。让我们以此为戒，警醒自己与他人：珍惜生命，远离一氧化碳的威胁安全意识不容忽视。
1695607450# #威廉·辛顿：火烧英国代办处事件。。1967年8月23日，在洗劫英国代办处中扮演主角的是“414”而不是“团派”，因为这件事件中主要负责的群众组织外交部的“反帝反修联络站”不是“天派”而是“地派”的，清华“414”也是“地派”的。“反帝反修联络站”的成员都是一些紧跟王力的左倾干部，並且得到外语学院
1696111073# #刘源在他的《梦回万里卫黄保华：漫忆父亲刘少奇与国防、军事、军队》一书中关于向中央反映军队腐败是这样写到：。。目前军队的腐败情况已经得到了有效制止，正在往更好的方向走。不过，徐才厚掌管政治工作十年期间，对选人用人造成的污染和危害是全局性的、致命性的，对党和军队事业损害破坏极大。反腐
1701220133# #1981年华北军事演习规模宏大，邓小平同志检阅后发表讲话。。。小平同志说：“中国人民解放军是人民民主专政的坚强柱石，肩负着保卫社会主义祖国、保卫四化建设的光荣使命。因此，必须把中国人民解放军建设成为一支强大的现代化、正规化的革命军队。”涨姿势
1691124142# #水务局回应两女子江边放生鱼豆腐前段时间，有新闻报道有群老人在水库放生矿泉水，如今东莞两女子江边放生鱼豆腐。真是让我看不懂，难道放生方式“改革了吗？这是什么清奇的脑回路？简直是吃饱了撑的这样荒诞行为的背后，反映出的是“放生”乱象。
1703314501# #1949年6月15日，毛主席在新政协筹备会上的讲话：建设起一个，崭新的强盛的名副其实的，中华人民民主共和国！纪念毛泽东同志诞辰130周年！涨姿势
1695893101# #执法不给力，学校不给力，有令不执，有禁不止，教育需大整顿严治理
1692961105# #核污水排海后中国渔民直播遭谩骂不去谴责谩骂日本主政的，在国内直播间诋毁渔民主播真有出息，佩服这一小撮人窝里横的脑袋。中国的民兵每次出征都有渔民的功劳，我们不能伤了渔民的心。
1688174323# #修复运动气枪盒子炮——毛瑟M712！修复人员应该是枪械维修员。
1690964206# #河北涿州快递业务暂时停滞暴雨使涿州物流园受灾严重！许多网点仓库处于低洼低地段的，相关部门已组织人力快速将客户快件转移；对派件作业风险区域网点依照属地要求暂停作业并配合人员、物资转移。
1697433041# #山西运城男童死亡案最新进展男孩这样被生母弄死令所有有良知的人类所不耻，超出人类的底线甚至是所有高等动物之底线，令人难受、悲伤和愤怒，再严惩都不为过。必须死刑！
1701259066# #武汉大学建校130周年文艺晚会祝武汉大学生日快乐！蛋糕
1695610965# #“有我在，没有人敢对中国动武！”。。乍听此话，必然会认为说话之人猖狂至极，而更令人想不到的是，向世界发出如此震撼之声的，竟然是一个失踪了30年的男子。他猖狂吗？。。不！正是他带头研制了第一艘核潜艇。。。黄旭华，中国核潜艇之父，然而这个名字在多年之前鲜少被人提及，他的亲友与邻居也多将他视为
1700787312# #前苏联是如何收集医疗情报的。。前苏联一向重视医疗情报，多方搜集世界各国首脑的健康状况情报，使用的方法主要是“请进来”和“走出去”，即邀请外国领导人来苏访问、疗养和治病，或派名医前往实地救治。。。苏联科学家认为，胆固醇、色氨素以及其他蛋白质和激素不仅能表明人的身体状况，而且还可说明其爱
1697147537# #六十年代初，美国中情局曾断定毛泽东将在62年退休。。随着年代的久远，美国中央情报局陆续解密了上世纪六七十年代针对社会主义国家，尤其是中苏两国的绝密文件。“凯撒、波罗”两个系列文件，其中既有中情局招募黑手党毒杀卡斯特罗的内幕，也有对中苏两国国内情况和两国关系的分析预测，而对中国人而言，
1697536104# #四川又一恶犬追咬2名幼童养狗必须登记造册，完成生物信息采集。确保事后能及时追踪到责任人。养狗不牵绳，一定要抓人，养狗不带套（嘴套），一定要多罚钞票。多措并举，营造一个有法可依，追责问责的完善体系。
1691282000# #鲁利玲：我亲历的“四五”运动。。1976年1月8日，周总理走了。北京十里长街，自发的送行者百万计。与此同时，中央紧锣密鼓地部署“批邓、反击右倾翻案风”，清华、北大批邓的大字报铺天盖地，加之当时对人民群众悼念总理的百般压制，3月底4月初，正值清明前后，人们通过悼念总理来发泄心中的强烈不满，不
1687924351# #快递员恋女客户疑其出轨持刀入室快递员追求女客户被拒凌晨持刀入室的事件提醒我们，情感问题不能被个人主观意愿所主导，而应该坚持合法的道路和方法。我们应该共同呼吁，营造健康的社会风气和法治环境，让每个人都能够享受到安全和尊严的保障。
1688033372# #多所高校停用微信支付微信突然遭到众多高校抵制，根本原因是因为微信将会收费。针对校园一些基本活动，本来都是一些公益性的，我觉得这是一件得不偿失的事情。高校停用微信支付是否是一个信号，未来支付方式会如何发展？微信支付的手续费是否过高了
1703903845# #每艘邮轮都有停尸房这有什么稀奇古怪的。在很多国家的法律中，游轮是必须配备停尸房的…因为在漫长的航行中，难免会出现死人的情况…
1697102382# #现在需要的话是双方都冷静一下，听取一下中立国的观点不行吗？不要为他人做嫁衣，冲突带来的代价是如此高昂，无论是对于巴勒斯坦人还是以色列人，都是无法承受的。
1703298278# #玩个网游，还要扯上“战无不胜的毛泽东思想万岁”！是不是在他思想里毛主席老人家是支持他玩资本家的网游呢？还是玩资本家的网游时愧对教员的思想，喊上一声不忘本呢？。。太扯蛋了…
1703586037# #暗访广州一代孕灰产机构命本是无价，现在却打上了有价的标签，子宫变成商品，好像没什么是不可以买卖的了。请严查严惩这种现象！
1697178147# #官员辟谣武大图书馆骚扰事件男生系其儿子我相信这新闻，大概率上是好事者兴风作浪的谣言。因为如果真是他儿子，根本不可能通过新闻去反驳，去撒谎，经不起组织审查，也经不起网友审查。副区长不会这么没脑子，公开撒谎，把自己搭进去了。
1701140226# #00后男孩开货车5年收入超百万无论做什么具体工作，都特别佩服这些有态度，认真生活的普通老百姓，持之以恒总会有收获……
1703726710# #2023中国青年实力演绎什么叫燃身处平凡，却仍然找寻自己的高燃时刻，这种“燃”精神，激励着一代又一代中国人不断奋进。
1691899281# #医院副院长被抓痛哭自己没法养老早知今日，何必当初，希望一直保持强度，老百姓有救了；还有人表示，艺术成分很高，必须给加分，演技都很在线。我也觉得国家是该出手了，而且必须深挖大挖，老虎苍蝇一把抓，院长、书记、主任都要过一遍，剔除害群之马，对此，你怎么看？
1693798376# #邢斌的经历引发了人们对外卖行业和科技进步的深思。他的故事揭示了科技在驯化人心、不公正处理和暴力歧视等方面存在的问题。我们需要制定更明确的法规和政策来保护劳动者权益，推动平台公司承担更多责任。
1699013011# #多方回应网传合肥一小学生校内死亡静等真相公布，如果说罚个跑步都能把孩子跑死那以后学校还怎么教书育人。难怪现在学校课间十分钟都不给学生出来玩了。
1699925325# #最近，好久没见的小崔出现在公众视野中，他的形象让人感到惊讶。他的眼神黯淡无光，头发凌乱，这与我们记忆中那个充满活力、自信满满的小崔形成了鲜明的对比。他手中高举的两个字“风骨”，像在无声地诉说着他的困境和挣扎。新星v计划
1698794483# #陶德麟：真理标准大讨论的一点回忆。。实践是检验真理的唯一标准。这本来是众所周知的道理。可是，在32年前的中华大地上却发生了一场真理标准问题的大讨论。我是当时参加讨论的一名小兵，想从亲历的一个局部谈谈感受。。。1976年10月，“四人帮”的粉碎使举国一片欢腾。但不到四个月，“两报一刊”就发表了
1690288209# #忙忙碌碌、认认真真做点事儿，其实是对生活的热爱。。。人一旦忙起来，就没那么多迷茫了。只要不懈怠，日子就有奔头。。。闲暇时可以读读书，借助书籍去看更宽广的世界；可以多学一项技能，要知道人生的淡定和从容都是从学到的本领修炼来的；也可以为自己做顿饭菜，在浓浓烟火气中感受生活气息，体会食物带
1701155451# #11月28日佤邦司法委再次向中国警方移交一百多名电诈涉案人员！回来的全都拉去植树，没有一个人冤枉的。缅北
1698824078# #10月31日，加沙最大难民营遭以军空袭，以军发言人孔里库斯称：通知他们撤离了，是他们自己不走！近八成美国人担心巴以冲突致本国遭袭
1702888739# #不管你身处何处，老家的名字就是最好听的，因为那是家乡。
