1699253342# #天津助学金当事人不认可调查结果这学生会不会因此被开除了并不简单
1702188901# #猫咖20余只猫被锁店里饿到自相残杀爷爷陪小猫咪打针，小猫咪怕疼，要贴贴，好温馨哇
1702988094# #这几天广东的朋友，都是这样的！允悲
1697684148# #周杰伦间隔19年的两版倒带来听懒羊羊唱《晴天》了！
1701098464# #顾客吐槽带娃去海底捞看到科目三很不适舞统世界，留学生把科目三跳到了新西兰！
1695026265# #731部队用跳蚤感染鼠疫后咬人来看看731部队都对国人做过那些惨无人道的实验，吾辈当自强，勿忘国耻！待到红旗满天下，马踏东京赏樱花！
1700141202# #缅北电诈头目明学昌自杀死亡这人，一车车的，用泥土车往中国送！
1703475836# #小猫辛辛苦苦抢了一块白菜帮小哥哥接住了，三楼掉下来的小猫咪泪
1687868019# #蔡徐坤蔡徐坤，没想到吧，我的粉丝没有掉，还在涨笑cry
1702435224# #国家公祭仪式在南京举行原谅是上帝的事，我不相信上帝！勿忘国耻，吾辈自强！
1694910000# #陈乔恩和乔任梁父母一同扫墓许多粉丝也共同参与了泪
1702856706# #董宇辉成东方甄选高级合伙人董宇辉在俞敏洪家里喝了一宿，状态似乎跟刚直播的时候，好了不少，笑颜逐开，看来，董宇辉的心彻底放下了，俞敏洪也兑现承诺了，东方甄选股价也要上涨了！
1703751508# #小米汽车颜值先礼后兵，干翻友商！
1702734236# #董宇辉不理解大家为什么这么喜欢我董宇辉用一年多的时间让人相信，读书有用，努力有用，善良有用。
1699675192# #大熊猫也开始晒着太阳吃饭了屋漏偏逢连夜雨，我的舞技是最顶笑cry笑cry笑cry
1700492936# #果敢电诈二代正接管家族黑色产业诈骗犯的户口被中国注销了，中国不收，缅甸人把他拖离边境，让他不要再边境闹着回去了！
1699687863# #国色芳华官宣杨紫李现网友说，李现是想再靠杨紫回血，才接了《国色芳华》，你们怎么看呢？
1699256072# #女生称生病拒绝周末无偿加班被辞退普京视察，发现男子上班摸鱼打cs笑cry
1690087920# #榜一大哥汪东城去了美依礼芽的演唱会现场，感受到了二次元的力量笑cry美依礼芽来中国前后对比
1694923388# #已有1482名涉诈嫌疑人移交我方给这货说对了，不过，好像大鱼提前知道了风声，跑路了！思考
1700745510# #台湾法国网友谈及台湾、韩国、柬埔寨、日本领土问题，听完有种及恶心又爽的矛盾感允悲
1695039719# #日本战犯在沈阳审判现场低头认罪动漫大师宫崎骏谈论中日战争，他表示，日本就应该道歉！
1701766213# #终于知道告五人是告哪五个人了哈哈哈哈，哥哥是真能割啊！
1687537159# #敬礼娃娃郎铮高考文科637分3年过去了，现在看到这个视频，依然被震惊到笑cry
1695019220# #曾被日军盖不许可印戳的照片首次公开一定要告诉下一代，为什么日本侵华不可原谅，这些数据，也记住！731部队用跳蚤感染鼠疫后咬人
1702624784# #东方甄选打折昌平线故障已发现30余人受伤董宇辉与小孙的矛盾，早已有迹可循！
1694930859# #网友拍到章若楠参加妹妹的订婚宴，我就想知道，什么时候，才轮到姐姐哇
1695906659# #还没上高速的，调个头，回去吧允悲国庆中秋
1700369942# #花花等谭爷爷一起下班花花向谭爷爷告状，说观众说它像土拨鼠笑cry
1702696898# #俞敏洪带队检讨如果董宇辉真靠写手的小作文爆火的，那么，他也就没有那么多人喜欢他，面对镜头，自然说出来的话，也不自然，没有真情实意！许多名人拥护董宇辉，倪萍，冯唐、陈佩斯罗永浩等，都看出来了董宇辉的才华，在此刻遭遇了不公，但毅然决然为董宇辉挺身而出，为他说句公道话！
1702352384# #周杰伦开不了口周杰伦：假唱我是不会的，乱唱我就会！
1695300119# #学校发的军训服过于透气了现在的男大学生，都这么sao了吗？
1697360761# #加沙空袭幸存婴儿在记者安抚下笑了美国时代广场，以色列的支持者，巴勒斯坦的支持者，隔着一条街，互骂街！
1703256478# #游戏公司全员加班紧急修改预上线游戏有人说，这才是打击网游的主要原因：提高生育率，扩大消费！你们觉得呢？
1688313241# #央视频下架蔡徐坤所有视频据说，小红薯都没了，看来事情很大！
1690295630# #去拥有一只小狗就不会再去想死亡了养了三年的狗狗遭女主人嫌弃，竟被残忍的扔进深水井！
1690970758# #台风卡努已进入24小时警戒线这种强度的雨，谁受得了允悲
1690718450# #众多云南网友发文声援家乡这网红说的是什么鬼话，建议彻查，完完全全实在抹黑云南！
1704042569# #新年快乐马上有钱！
1688971348# #官方通报西江千户苗寨景区火情西江千户苗寨景区突发火灾，有人跳楼逃生，救援人员已到达现场。
1698157829# #生产队都不敢歇！一分钟一百块，捡多少螃蟹，都算你的笑cry
1691765381# #孤注一掷登顶暑期档很劲报《孤注一掷》目前在2023年的票房里，排名第八，按照这势头，前三不是问题打call
1694944280# #部分明星偷漏税数目可能比公布的多有人小手一挥，赚了普通人一辈子都赚不到的数目，有人一生奔波劳碌，却也只能填饱肚子！
1702044976# #TikTok上6亿播放量的视频，一直不温不火的乐队，直到他们生了一个主唱哇
1703427289# #婚礼不要看朋友那桌婚礼把白酒换成雪碧，直接喝上头了！
1703422191# #平安夜12月24日不是平安夜，是《长津湖战役》胜利的日子！
1687439216# #汪东城变脸商业奇才，瓜保真笑cry笑cry笑cry
1702742569# #董宇辉孙东旭关系有时会紧张得亏新闻女王播出了，不然要被说映射了，这姿势，几乎一模一样，艺术真的来源于生活，却高于艺术！
1698929366# #缅方称一个中缅边境战略城镇失去控制边境不太平，重机甲守护边境！
1692343408# #李玟曾回应在好声音录制现场质问不公李玟发的藏头诗，喷好声音是烂东西！
1703490980# #狗狗只要被摸到这一块肉都会龇牙咧嘴这绝对是世界上独一无二的小狗允悲
1702782713# #董宇辉称只误接一个挖人电话董宇辉昨晚四百万人同时在线，打破抖音人气记录，要不是突然空降，估计千万级别都有可能！
1702715674# #俞敏洪承认拉黑网友并道歉这是调侃吧！为什么有人认为，这是俞敏洪对董宇辉的试探，而董宇辉不把俞敏洪放眼里呢疑问
1700822009# #何猷君我最臭了豪门偶像剧照进现实，何猷君为了哄奚梦瑶开心，从澳门塔纵身一跃，吊桥效应算是被他玩明白了！
1691285049# #涿州这四条狗，配享太庙！。洪水淹没整个村落，上百头牛被困，凭人力根本没法转移，而就在大家以为这些牛不幸遇难时，四只狗狗游回牧场，带领上百头牛，有序的撤离最终都平安撤离到了安全区泪
1702645905# #到底还有谁在粉蔡徐坤呢？这人气………
1691893034# #夏威夷大火约100人跳太平洋逃生这火不是一般的大，都往海里跳了允悲
1691422552# #孤注一掷字幕组《孤注一掷》目前快6个亿了，有网友说，这是挂羊头卖狗肉，剧情很一般思考
1697530638# #物业回应保洁阿姨为女童挡狗疯狗上前咬女童，不料被一旁的家犬，猛扑拿下！女童躺妈妈怀里被突然窜出大狗咬伤
1703245731# #腾讯游戏副总裁回应游戏新规有人说，这才是打击网游的主要原因：提高生育率，扩大消费！你们觉得呢？网易市值一日蒸发1281亿港元
1687060225# #原来萌兰和花花的爸比都是美兰全国唯一会蹦迪的肉肉，我怀疑它去过夜店！笑cry
1691765204# #孤注一掷票房破12亿《孤注一掷》里的性感荷官，🆚现实的荷官笑cry
1695009159# #918主播大笑918是个好数字“好日子”！
1699785847# #菲警方正确认6具遗体是否为被绑架中国人挖出来的，不说你们也看得懂！
1701007918# #还得是星光大赏，都是顶流，尖叫夜还是差点意思并不简单
1699607426# #啊～～～cos向太的网红，收到了律师函疑问
1690994098# #洪水中4个月大婴儿被直升机吊起村里救援难度最大，87岁老人被困三天，被救出！泪
1697809211# #广东通报女子产后跳楼身亡人已经被带到警局调查了！
1700463564# #人民文娱评以爱为营我是土狗我爱看，最后的霸总桥段，拍得有点短剧那味了！
1697176029# #巴勒斯坦母亲吻别死去孩子《战狼》还是拍的保守了……。划重点：你们中国人
1702792812# #断崖式降温后广东人囤羊肉御寒这是冷空气袭来不是核武器允悲二十张被子啊！
1696508935# #日本一火山喷发来吧，醒来吧，我亲爱的富富！
1697034959# #罗翔谈PPT曝光渣男渣女罗翔老师的讲座，每一次都令人印象深刻！就说运气与努力，其实运气比努力更重要，但努力，是为了能够让你触摸到运气！
1698370494# #疯狂小杨哥与李佳琦已合资开公司不得不说，李佳琦是签了对赌协议的吧，小杨哥是给他倒流的，为了完成业绩，两家互骂，流量都给他们吃了，原来我们才是真正的韭菜泪
1698972285# #以色列巴勒斯坦冲突这一跪，便是永别，战争远比我们想象的残酷！
1690901353# #老人：小伙子，你能看到我！笑cry笑cry笑cry
1697591000# #外媒称浸信会医院遭袭已致至少500人死亡以色列连难民救济营都炸，还有什么事他不敢炸的！
1703817498# #全面禁售禁燃烟花爆竹规定应予修改我觉得黄安骂得就很好，建议除夕节不放假，春节不给放烟花的专家，就该拉去比了！
1698115927# #男子看黄网一夜转账26次被骗450万这………现在招piao，千奇百怪！
1687934216# #刘大锤和蔡徐坤粉丝连麦蔡徐坤，唯一一个黑白两道都拥护的人！
1695011936# #九一八事变爆发92周年老一辈的革命者，他的精神，值得我们学习！
1692798748# #日媒称24号核污染水排海可能取消我就说一句，世界可以没有日本，但不能没有大海！
1695804026# #中秋礼物已经那么卷了吗这就是小时候不好好读书，长大后单位中秋发的礼物允悲
1703422342# #南方小土豆勇闯哈尔滨哈尔滨的人真的好热情啊哇不买没事，拿去拍照！
1687258061# #轰6K群发短信我也收到了！NO
1703641550# #非得上那个死班啊大妈，你这能擦得干净允悲
1692189902# #我认识它叫知了猫猫：谁还不是一个好奇的宝宝！
1695009005# #BOSS直聘崩了boss直聘崩了说明了什么，说明了找工作比抢票回家的人还要多允悲
1702303974# #警方回应男子倒卧雪中不幸身亡救得不止是一个人，更是一个家庭！男子半夜遇见醉酒男子倒在雪地里！
1694923234# #蜂花改喷头蜂花也上走秀场了，鸿星尔克带着所有的国货品牌，走向了秀场，格局直接拉满！
1688567077# #李玟抑郁症盘点患抑郁症而走的明星，谁令你感到惋惜！。陈宝莲、乔任梁、张国荣、崔雪莉、陈百强、具荷拉！
1701964504# #虞书欣工作室化妆这很难评，原图！
1691166088# #黑龙江尚志九江村整村失联尚志村民用自己的卡车，去堵洪流，这可是普通人家的全部身家啊泪泪泪
1691398136# #被洪水冲走的车会变成什么样不要灰心，虽然你的车没了，但你的贷款还在允悲
1698230541# #权志龙涉嫌吸毒被立案权志龙的状态，总是奇奇怪怪！
1701276827# #韩国的书法，怎么说呢，圈圈叉叉允悲
1690364698# #养狗的和减肥的都沉默了如果不爱，请别伤害！养了三年的狗狗遭女主人嫌弃，竟被残忍的扔进深水井！
1702434103# #下半旗为30多万死难同胞志哀为什么南京大屠杀不能被原谅，来听听这位老师是怎么说的！
1695564420# #杭州亚运会开幕式刷新亚运史咱就说，现场也能看到数字火炬人，是怎么做到的泪
1698727984# #cos明星上街会被发律师函吗给上海一个万圣节，他们能收到全明星的律师函笑cry笑cry笑cry
1698719949# #李克强同志遗体11月2日火化人民的好总理🕯️🕯️🕯️
1702301598# #我是不结婚不是不交电费公交车当婚车，真的太浪漫了，头一回见！
1691017773# #暴雨后北京街头堆积大量受损汽车别灰心，虽然洪水把你的车泡没了，但是你的贷款还在允悲
1695961953# #中秋节国庆节双倍快乐我是实习生，不是实习牲，快说，你们中秋国庆也要上班泪
1692862870# #日本就是这样感谢和回馈世界的日本人可真是讽刺啊，自己拍核辐射怪兽，自己把核污染倒海里！
1693207937# #东电要求采访记者不能自由录音录像刘涛评论区沦陷了，都在喊妈祖快快出手！
1699924434# #谁在资助缅北果敢同盟军诈骗人员回国之前路上，一路撒钱！
1690857305# #小猫咪35岁了可太值得炫耀了吧猫手在上原理，真的不好惹！
1691077423# #蜜雪冰城捐1千万支持抗汛救灾雪王太不容易了，除去人工，房租，水电费，一杯算赚2块，也要卖500万杯，明天点两杯，给雪王冲冲业绩打call
1696509873# #第一次参加福建的宴席，这是什么意思允悲牛不牛B啊
1690628551# #中央气象台发暴雨红色预警早上起来，就看到了这样的一幕！允悲
1696164783# #小学生炒饭，养活一群大学生允悲允悲允悲真的是从小抓起，继承家业！
1695719835# #猫被鱼扇了一巴掌为母则刚，小猫咪拼尽全力，也要带孩子回家，即使一次次的跌倒，撞墙！
1699491426# #相爱的人分手原因只有一个爱情，永远都要面对现实的考验！没有物质的爱情，寸步难行！
1689925734# #有公司招不到人是很正常的家人们，刚面试，他就要嘎我腰子，要送我去泰国允悲现在这么明目张胆的吗？
1690945526# #买件衣服到底是被谁PUA了来自销售的一顿夸，差点迷失自己允悲
1703646844# #萨摩耶真的不适合吵架小狗在灭火的路上停不下来！
1701136963# #旭旭宝宝不得不说，贵圈可真乱，堪比娱乐圈啊！
1697553908# #不得不感叹，年轻就是好，周也赢麻了！
1695134605# #早期蔡依林被热情粉丝套圈蔡依林的演唱会，保安大哥想刀人的眼神，是藏不住的！
1692862735# #乌合麒麟与人类同归于尽吗混蛋切尔诺贝利事件是世界上唯二最严重的核泄漏，当时需要3个人进入辐射高达20000伦琴(约等于拍两千次胸片）淹水区关闭阀门，否则将对全世界造成核污染。在被问到谁愿意执行这个等同于送s的任务时，巴拉诺夫、阿纳年科和别斯帕洛夫这三位伟大的英雄站了出来，图片是他们
1702903467# #董宇辉回应升职小孙曾公开坦言，董宇辉不适合做管理人员，只适合踏踏实实打工666666666
1694930957# #罗永浩讽刺iPhone15换华为口苹果真的是煞费苦心的在黑国人啊，CTMD！
1703162527# #猴子这一刻仿佛见到了太奶了！
1692952617# #重温切尔诺贝利就算我们不做，也总有人会去做！
1699491227# #靳东再回应假靳东事件至今看到大妈的表白，依然很炸裂！
1697865340# #流浪猫第一次吃猫条连声说好吃小狗有什么错，它只是出来走一走，就被人用弓箭射穿了身体！
1701966171# #邓紫棋演唱会广州奥体外面，邓紫棋声音的穿透力，真的强赞
1698589056# #王嘉尔说自己和王嘉尔长得特别像吃席遇到王嘉尔，他跟我说他只是长得像王嘉尔允悲
1695001427# #勿忘九一八撞钟鸣警不敢忘，不能忘！！！警钟长鸣，吾辈自强！！！918
1697617073# #周杰伦蔡依林倒带这次敢唱《倒带》，下次就敢来《布拉格广场》并不简单
1691027111# #狗狗静静看着已经逝去的主人的照片主人教育护食的边牧，没想到遭到反咬，猫咪挺身而出，暴揍狗子！
1691416410# #怪不得TFBOYS不合体了，易烊千玺这么大的流量，一人顶王俊凯，王源两人，谁愿意被蹭啊允悲
1703923520# #下雪场尴尬听说这是东北的公交车，独有的车内下雪允悲
1695177677# #液体猫和固体猫不是说猫的反应速度是人的十倍吗？怎么，我家的总慢人一拍！允悲
1693108212# #日本渔民哭诉政府愚蠢导致无法生存韩国网友哭诉，政府不管他们，转头向中国求助！
1700566336# #周杰伦茅台鸡尾酒不得不说，茅台是懂这一届年轻人的！
1694757785# #YG回应Lisa拒绝续约实不相瞒，看了Lisa的舞蹈，还挺期待她在疯马的表演的思考
1690595210# #台风杜苏芮给漳州市民吹来遍地生蚝是谁，偷偷把井盖拿走了！
1691594581# #拍照是男人的必修课，即使你老了，也一样允悲
1699369489# #导师回应网传乳腺外科团队多人患癌不是，这男的有病吧，尾随女子，在她裤子上撒尿！
1698846392# #终是寡妇嫁了人，村长唱起周杰伦允悲
1695532999# #中国队亚运金牌九宫格没有哪一个姑娘愿意把手弄成这样，除非她是运动员赞
1692889084# #中盐集团回应食盐抢购现象广东阳江上演抢盐大战允悲
1692007687# #医药反腐对于医药反腐，很多人都战战兢兢，怕医生都被抓完了，大家放心，贪污的和干活的是两伙人，通常还是贪污的在欺负干活的，把他们抓了，医疗工作质量只升不降。
1691636485# #台风卡努二楼变一楼，洪水的淤泥，直接有一楼高！
1700747733# #娜扎秒了同款造型下，娜扎与迪丽热巴，谁更惊艳呢？
1687940083# #赵露思是穿了桑稚的衣服吧“感觉下一秒放奶屁了”
1701851964# #玲花曾评价五月天唱功梁龙评价五月天：不好听！
1698677380# #上海万圣节找个发疯的理由罢了这英cos那英，上海万圣节cos的MVP赞
1701743969# #大熊猫一声声夸赞中笑得合不拢嘴软萌软萌的小熊猫，竟然也会殴打孔雀允悲
1692884953# #历史会记住日本政府这一笔以后要是再让我听到，谁说小日子，爱环境，爱干净，文明讲礼貌，我就带你到狗日家门口，喝它的核废水，喝不下，我就给你使劲灌！
1689341360# #那时候把书堆的高高其实是挡住了自己的未来那年你把书垒的很高，以为挡住了老师，其实是挡住了自己的未来！泪
1697541176# #狗主人被采取刑事强制措施看样子，它是真的怕了！
1687773673# #PradaPrada：我卖东西不赚钱，赚的是代言人违约的钱吃瓜
1692926335# #美国一边支持日本排海一边减少进口这算不算狗日的又一次侵华，打不过，只能释放毒气，我国周边的沿海城市，都是发达区域！
1702102506# #花花和谭爷爷的对峙瞬间花花找谭爷爷告状：他们说我像煤气罐煤气罐和土拨鼠笑cry笑cry笑cry
1702655864# #董宇辉账号粉丝数接近东方甄选一半前新东方老师讲述，孕期受到排挤，内斗极其严重，谁优秀，大家就联合把他踹走！
1702604003# #邓紫棋演唱会大屏邓紫棋每次唱《句号》都会感慨，都会哭泣，呜呜呜～
1690461264# #销售为了能把衣服卖出去，是多么的拼命，在睁眼说瞎话笑cry笑cry笑cry
1699276426# #为什么iPhone只有P大写今天终于知道了，因为P大点事，都要买热搜，无聊🥱
1697603653# #加沙医院遭袭20小时前孩子们还在做游戏被轰炸过后的加沙医院，已成人间炼狱！
1692715129# #今年七夕朋友圈怎么如此安静腾讯公司楼下的垃圾桶，封神了允悲
1695035990# #细菌战受害者锯断双腿也要干净离世狗日731部队，对国人做过的惨无人道的实验！
1699673216# #马斯克盛赞中国人聪明又勤奋杨元庆如今再看这段与马斯克的对话，从居高临下的姿态，估计现在会变得无地自容！
1687257796# #网友这是多想迪丽热巴和黄景瑜在一起啊，竟然说出这种话，真的jian！
1687428338# #炎亚纶被撤销台湾十大杰出青年资格吴尊汪东城辰亦儒拼老命挤在一起只为了与炎亚纶隔出距离，太精彩了……。每次四人采访wdc的内心：救救我！
1701137122# #海底捞回应奖励3000元给跳科目三员工“舞统世界”，网友把科目三跳到了新西兰！
1691927877# #广东人的夏日解暑神器，冰镇玉米排骨奶茶，就很nice赞
1703749252# #1只边牧被救咕噜咕噜变3只四不像修狗允悲
1703857902# #中国人有自己的印第安人，阿姨们是真的会玩笑cry笑cry笑cry
1687170910# #黄子佼拿刀割自己黄子佼的瓜总结吃瓜大s工作室回应吸毒指控
1689492316# #李恩胜连sha三人，自首后，在车上喝上了脉动，抽上了烟！
1696514866# #中国女篮冠军篮球届的小孩大人，16岁，2米28，超过姚明赞
1695621863# #iPhone15Pro或没有上一代耐摔刚到手的iPhone15pro，打开拍照，直接废了泪
1702799181# #俞敏洪称靠优秀员工发展要为员工打工可能董宇辉也在想，当初要是辞职，继续去其它地方当前老师，该有多好，几天下来，眼里早已暗淡无光！
1700747454# #全红婵粉丝怒斥裁判压分全红婵都吓傻了，听傻了，如果真的爱全妹的话，就别添乱！一场比赛输赢不重要，未来路还很长呢！
1687500954# #成都UFO是这样的吗？三秒后，感觉穿越其它时空了，一下子就不见了思考
1703853371# #2023微博涨粉TOP10，成毅、张颂文、白鹿、檀健次、邓为、赵露思、王鹤棣、于适、田馨薇、虞书欣！你们最喜欢谁呢？
1692370137# #一周明星涨粉排名，有你喜欢的吗打call。成毅：65万。邓为：55万。檀健次：50万。张晚意：30万。曾舜曦：27万。丁禹兮：25万。易烊千玺：23万。王俊凯：21万。王源：19万。王鹤棣：13万
1698121984# #狗狗的暗示还不明显吗传说中的狗仗人势，这狗表现得淋漓尽致！
1700527893# #港珠澳大桥马拉松疑不让中国冠军冲线不用疑似，本来就是，还留给第二名的小日子冲线，是何居心！
1690647862# #天津暴雨这是真的大水冲了龙王庙啊允悲
1699277592# #医院院长倒卖出生证明每张赚6万网友用了一年多的时间，才掌握了确切证据，涉及十多个省份，原本的白衣天使，却沦为了人家恶魔！
1694862074# #李佳琦吹羽毛二创视频这就是李佳琦说的不努力！
1695653523# #刘德华非凡大师家人们，谁懂啊泪
1698285905# #刚睡醒的小狗披着小被子到处找妈妈流浪狗吃了被人下毒的食物，一路颤颤巍巍，还吐血，最后倒地泪
1700893538# #华语乐坛唱功阶梯榜，林俊杰NO.1疑问
1699849751# #缅北电诈头目录制忏悔视频众星给缅北四大家族，白所成之子白应苍庆生，这是被骗了吗？
1695352005# #辞职后家里的猫吐了它是如何坚强的活到现在的，小猫咪好坚强泪
1702395549# #再见周芷若周海媚最后一条视频，是祝自己57岁生日快乐，平安喜乐，谢谢你带给我们的美好，愿天堂没有病痛！
1690881961# #强降雨造成河北540703人受灾传说中的战斗鸡允悲
1703589403# #巨浪4洲际导弹被我看到了赞
1701933234# #能唱E6的歌手周杰伦假唱是不会的，但是他会乱唱允悲
1700967728# #一批头部游戏主播被曝参与赌博洗钱之前斗鱼最大的主播，旭旭宝宝，现在已经几天不直播了疑问旭旭宝宝
1700634492# #缅甸高官称因中国提醒才意识到电诈危害电信诈骗家族都告诫自己亲人不要电诈，这不就是贼喊抓贼吗？
1692672190# #原来移动说的，一直都是真的！宣传标语，谨防电信诈骗，然后电信向缅北提供了8000万个电话！。移动：谨防电信诈骗。。电信：小心移动支付中的陷阱。。联通：谨防移动支付中的电信诈骗。
1702739438# #董宇辉说拿到过很多天价offer董宇辉说，世界从来不缺一个卖货的，他真的很真诚，有一种出淤泥而不染！
1695690981# #美香一家12月7日回国终于知道为什么熊猫能够成为万人迷了，它身上叠满了这些BUFF！
1697726517# #老人带1岁男童回家被恶狗撕咬3分钟家养的罗威纳犬咬人，流浪狗却受到了惩罚！
1691422229# #陆军某旅千人百车驰援舒兰网友拍的，洪水退去，带来了半米高的淤泥，家里的墙，裂得快倒塌了，猫也冲不见了！
1702700309# #科目三晚会“舞”统世界，指日可待！
1692271897# #中科院博士被骗至缅甸女友发声网友胡七刀亲自驾车，星夜兼程，把被诈骗女孩，带回了国！
1697552734# #联合国称以色列可能构成国际犯罪巴勒斯坦民众：告诉敌人，你们可以夺走我的生命，但无法夺走我的自由！
1691502705# #致敬洪水中每位伸出援手的人洪水退去，淤泥半米深，家里的墙，裂缝严重，猫不见了，只剩狗子！
1702629139# #狗好猫也好会潜水抓鱼的猫，你们见过吗？
1692191525# #警方正调查女大学生疑被贩卖缅北诈骗团伙，把手伸向了道士了！据说一直闹阿飘，道士本不想去，奈何收了定金，并着职业道德，就去了傻眼
1701070195# #星光大赏嘉宾这才是真顶流阵容，隔壁举办的，很一般！
1699968039# #缅北电诈家族曾邀请国内明星网红庆生出动战机了，不得不说，这次是要彻底清除电诈了！
1690594854# #福州暴雨空调的外机，散落一地允悲
1699683886# #网红于文亮直播喊话一起圈钱无法想象，他的精神世界是多么富足！
1702562601# #昌平线车辆故障造成乘客受伤打工人，太难了！
1691577192# #洪涝灾害发生后注意卫生安全请全国人民放心，灾情面前，我们中国人民解放军誓死不退！舒兰群众立秋为抗洪武警包10000多饺子
1690698936# #台风卡努预计8月2日在浙江登陆这不比捡海鲜，抓龙虾强允悲
1697464901# #狗主人责任疯狗上去攻击小孩，家犬瞬间猛扑救主！
1697291042# #巴以冲突记者手机APP警报响个不停法国巴黎，大批民众上街游行，支持巴勒斯坦！
1692932212# #核污水排海最严重影响是致畸历史人物对小日子的评价，跳梁小丑、卑鄙无耻、令人恶心的民族！
1688924153# #不是，哥们，这是虾线吗？傻眼
1698911143# #缅北激战画面曝光边境不太平，军队出动了！
1688627320# #上一个这么害羞的还是白敬亭她的长相真的是那种，五官拆开来看不惊艳，但合一起真的舒服，看着让人心生好感的好看。
1697558332# #给黑狗逼得上手了白狗是不是脑残，刹不住车！
1702707967# #怼粉主播天权如何处理他是在内涵董宇辉吗？放个吉祥物，就好了！并不简单
1695565650# #大梦三个农民秒杀华语乐坛，《大梦》惊醒了半个娱乐圈！
1697985231# #花花这班上的太委屈了花花：那么大的地方不坐，非要坐我身上吗笑cry
1700391637# #70万的手机，可以呼叫一次直升机救援，我觉得不亏doge
1695532730# #亚运开幕式国风美学拉满不一样的视角，看亚运会开幕式赞
1702190572# #在外网TIKTOK破3亿的国内视频，中国人都会功夫这件事解释不清了允悲
1703045731# #哈尔滨退票事件说句白了，喊退票的都是吃里扒外的，怎么不见你们在迪士尼排队四五个小时，喊退票呢！
1699586268# #丫丫在吃和玩之间选择了吃屋漏偏逢连夜雨，看我跳舞行不行笑cry笑cry笑cry
1690560822# #长相思哈哈哈，看到这一段，笑死了！
1700404097# #警方悬赏5万至30万元通缉电诈人员高铁拉了一车又一车，见头不见尾允悲
1694748892# #网红峰哥亲历缅甸生死36小时男子花钱偷渡缅北，没想到却被当成猪仔卖了，偷跑半路被抓，蛇头扬言要卸掉他的胳膊傻眼
1704032988# #当代年轻人的跨年现状me
1697164917# #第一次见一车大金毛你要相信，狗子虽然不会说话，但它会分享它最喜欢的东西给你！
1687763604# #疑蔡徐坤妈妈调取C女士个人信息我觉得，Prada这个品牌，真的很有意思！蔡徐坤c女士打胎
1691549577# #北京特大暴雨已致33人遇难网友拍的vlog，洪水退去，淤泥堆积半米高，家里的猫，不见了，狗子依然坚守家里！预拨10亿元对蓄滞洪区水毁损失予以补偿
1697872140# #李小冉为流浪狗发声小区里，小朋友和小狗一起玩滑滑梯，小狗竟然也知道要排队！笑cry
1700893583# #尖叫之夜座位咱就说，这一次，谁是C疑问
1687760183# #蔡徐坤C女士打胎这………会不会是早有预谋的，21年就有网友爆料了吃瓜C女士打胎证明
1701700826# #妈妈去世动森成为我永远的痛天生智力障碍，妈妈靠卖水果和阿福相依为命！
1695698349# #首批iPhone15Pro或有大量瑕疵机买什么品牌不重要，重要的是自己开心并不简单
1694673833# #日本偶遇Angelababy逛街我想知道，她吃福岛海鲜大餐了没？思考
1695738768# #没十年脑血栓问不出来的问题韩网友：中俄不是发达国家，请退出联合国常任理事会，别逼我们动粗doge
1695012909# #Lia暂停活动这就是为什么花高价，都要买前排的票，不得不说，Lisa越来越大胆了！
1693014053# #网友表示，看到大家还在抢盐，证明我国仍是电信诈骗肥沃的土地！
1695553560# #女明星一周涨粉情况：卢昱晓24.9万，虞书欣11.4万，金晨8.1万！
1692149693# #在缅中企工作人员称不要妖魔化缅甸猪仔们又要去送人头了，良言难劝该死的鬼！
1702695440# #董宇辉涨粉有消息称，俞敏洪打算全力支持董宇辉回来了，东方小孙德不配位！。董宇辉被踹出东方甄选，惹怒了不少的网友，东方甄选的粉丝，也从3100万，跌到现在的2890万，可想而知，东方甄选的粉丝，这次非常不满意董宇辉就这样被踹走！。而新东方高层的多次发声，也未能说到重点，也并没有很诚恳的意识
1700500356# #金莎男友对我来说现在就在上班金莎男友：周一围你直接报我身份证得了！
1699240626# #当事人称学校已告知助学金事件调查结果不得不说，现在的大学生，是懂内涵的！
1700223686# #战狼3之我在流浪地球反诈骗战狼还是拍保守了，应该叫战娘doge
1687425535# #原来这条短信意义如此重大没想到，意义如此重大，此事件与2016年发生的南海事件，形成了鲜明的对比，16年时，全国三大舰队出动，打算与里根号生死对决，如今，我战机直接飞你航母头上，你连雷达到扫不到，随时都可以把你给炸了！祖国的强大，真的来之不易！🇨🇳🇨🇳🇨🇳
1698593486# #上海万圣节沙疯了海绵宝宝！
1690790663# #北京门头沟紧急转移群众5000人左右这就是传说中的战斗鸡吗？
1698567471# #THE9演唱会微指虞书欣现场直拍，太可爱了！
1696124238# #国庆节快乐为什么我的眼里常含泪水，因为我对祖国爱得深沉抱一抱
1692972316# #日本一天内两次地震看来曾老的预言很准啊，日本发生大地震，海水倒灌，富士山爆发！日本大使馆提醒在华日本民众不要大声说日语
1689131770# #宝格丽CEO曾称中国市场比本土还重要宝格丽，算了吧，这货就是个双面人，看看宝格丽其它地区的网站，香港后面标（中文），大陆也有（中文），怎么到台湾地区就没思考
1702545689# #俞敏洪面临CEO董宇辉二选一给大家说一歌笑话，周杰伦演唱会唱到一半，方文山上台大喊，都是我写的，我写的！
1702993989# #官方辟谣广州下雪这才是广州接下来的现状允悲
