1693693199# #我们想念毛主席…鲜花🙏鲜花🙏鲜花
1698448405# #都说王国维讲人生三种境界好，。其实黄巢说的也不差——少年立志：。飒飒西风满院栽，蕊寒香冷蝶难来。他年我若为青帝，报与桃花一处开。成年起事：。待到秋来九月八，我花开后百花杀。冲天香阵透长安，满城尽带黄金甲。晚年落寞：。记得当年草上飞，铁衣著尽著僧衣。天津桥上无人识，独倚栏干看落晖。通透
1696380089# #群山峻岭雾环绕，山青水秀疑无路。高山流水寻知音，山林密布聚宝盆。鲜花作揖鲜花作揖鲜花
1702334929# #两个人相遇是天意，。人和人相守是人意，。想要一直陪伴就要坦诚相待，。想要走到最后就要彼此付出，。相遇不分早晚，。陪伴就好，。朋友不分远近，。真心就行。。心音乐作揖微风鲜花
1698168667# #🙏🙏🙏
1694821675# #玉米不多不少，鸡蛋两个正好。水果四季飘香，其他经常改变。哈哈哈哈哈哈哈哈哈哈
1693264216# #这里真好…。鲜花赞鲜花
1697756551# #🙏🙏🙏
1703979403# #阿弥陀佛🙏🙏🙏
1694122606# #人类探索星空，。行走宇宙之路。。侠女勇闯天涯，。火星未来可期。。鲜花🙏鲜花🙏鲜花
1700354289# #夜难眠，梦思春，黄粱美梦一场空。窗外风吹落叶雨，已是严寒雪绒花。🙏阿弥陀佛🙏
1692145028# #下馆子打牙祭，大家相聚开心。有吃的有喝的，都是亲朋好友。鲜花作揖鲜花作揖鲜花
1688163701# #每天活动几下，拿笔写字绘画。气贯丹田之内，生命不息锻练。作揖作揖作揖作揖作揖
1688718717# #我在补上微博课，还没有注意看，不过我突然发现，视频二百多集，这么宏伟壮观的场面，厉害👍厉害👍。咱们北京话怎么说：美女是个人物…作揖作揖作揖
1688880202# #出门虽说游玩，还是习惯成章。抬头一看场馆，又来读书学习。哈哈哈哈哈哈哈哈哈哈
1702861462# #郎依寺钛帮喇嘛，集中起来做法事。步入空门净土寺，普度众生结善缘。🙏阿弥陀佛🙏
1688422049# #养生堂…作揖作揖
1700171769# #走过路过（一）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1694469670# #自做多情落下病，朝思暮想夜难眠。梦游扶梯登天台，抬头望月一场空。哈哈允悲哈哈允悲哈哈
1697499909# #打败美帝国主义，及其一切走狗害人虫……。
1698225343# #有点意思看展览，疑似进了七九八。形象思维超人类，众生好度各神通。鲜花作揖鲜花作揖鲜花
1689208830# #头伏饺子二伏面，三伏烙饼摊鸡蛋。民俗风情不能丢，我们也是传承人。心音乐作揖微风鲜花
1698448533# #人间四情，，，。一，真情，，志同道合安然，互敬互爱意阑。人前心有灵犀，暮后春光灿烂。不求荣华富贵，但愿贫贱相伴。今世风雨同舟，来生灵魂不散。梁祝化蝶双飞，丽娘生死无怨。。。二，忘年交，，十八红装八十郎，梨花伸枝揽海棠。两人各怀两人心，一个更比一个狂。。。三，登高，，一睹孔方春心荡，秋
1698700686# #罗娜超话。把身体养好，叫体质，。把心情养好，叫心态，。把日子过好，叫享受。。愿我们一样都不少，。永远健康幸福快乐。。娜妺早上好！🌹🌹🌹
1688333380# #饭局文化（中）。朋友隔三差五，。相聚聊点闲篇。。美酒佳肴畅饮，。笑语天南地北。。鲜花微风作揖音乐心
1703974423# #养生堂…作揖作揖
1694210383# #人生起起伏伏，。别人遇到难处时，。在自己力所能及的范围内，。伸出援手，。看似帮助别人，。也是成就自己。。你不经意的一个善举，。或许在不久的某一刻，。会影响到你身上。。善待别人，。就是善待自己，。帮助别人，。亦是帮助自己。。🙏🙏🙏🙏🙏
1697068319# #星夜兼程脚下忙，夫妻双双把家还。离家已久打工潮，只为撑起一片天。🙏阿弥陀佛🙏
1687382593# #大爱之人（二）。明星众生风云，。独喜发哥威武。。上海滩中老大，。赌神更具魅力。。鲜花微风作揖音乐心
1700352041# #功夫不负有心人，身体健康在运动。持之以恒收效果，行走如风坐如钟。心音乐作揖微风鲜花
1698107590# #伟大的领袖毛主席，您是人民的大救星。您老人家永远活在，我们百姓们的心中。鲜花心鲜花心鲜花心鲜花
1701119980# #罗娜超话。一寒一冷多变天，一字一句祝平安。一心一意送温暖，一早一晚莫受寒。吉祥安康每一天！娜妺早上好！咖啡
1691726189# #革命先烈洒热血，换来现代平安年。不忘初心方始终，华夏大地红万代。鲜花作揖鲜花作揖鲜花
1694995553# #此时此刻心激动，怀念美好在从前。参加秋季十公里，也能跑下全程赛。挤眼挤眼挤眼挤眼挤眼
1696288362# #民以食为先…鲜花🙏
1700603045# #养生之道…鲜花鲜花
1693989721# #🙏🙏🙏
1688086987# #入乡随俗寻根源，老气横秋古建筑。祠堂文化遗产录，惠山古镇街市井。🙏阿弥陀佛🙏
1694727519# #罗娜超话。日出日落一天天，春夏秋冬一年年。年龄陪伴时光转，心态依旧是童年。保持童心看世界，健康快乐每一天。美丽娜妹早上好！🌹🌹🌹🌹🌹
1694222658# #我们想念毛主席…鲜花🙏鲜花🙏鲜花
1695169498# #认识已有好几年，要说饭菜看太多。校餐经济又实惠，五元吃到肚子歪。面食有证能上岗，包子饺子面条煮。今日展示眼一亮，如此水平很少见。哈哈哈哈哈哈哈哈哈哈
1690320229# #点点心意，丝丝情。。句句问候，字字诚。。天天互动，很开心。。健康幸福，笑盈盈。。保持一个，好心态。。不老岁月，一路行。。美丽娜妹，早上好。。开心快乐，每一天。。音乐音乐音乐🌹🌹🌹
1689552809# #老王打油走过场，终日健身肌肉男。线条分明巨无霸，走南闯北路路通。挤眼挤眼挤眼挤眼挤眼
1694731909# #转眼之间博几年，看着天书走过来。又逢中秋佳节临，识得才女人半仙。哈哈挤眼哈哈挤眼哈哈
1700952696# #男人只有穷了，。才知道哪个女人最爱你，。女人只有老了，。才知道哪个男人真心爱你，。时间留下的不是财富与美丽，。是一颗真诚的心！。日久不一定生情，。但一定见人心！。人生几十载，。一定要好好珍惜爱你的人。
1699825998# #走过路过（四）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1695594772# #是福不是祸，是祸躲不过。总觉这小子，为人不地道。允悲允悲允悲允悲
1700269574# #随着年龄不断增长，把机会留给年轻人。到了传帮带的时候，宏观调控把握全局。🙏阿弥陀佛🙏
1690324617# #葵花朵朵向阳开，种植一片成了景。百姓生活好去处，鸟语花香人上像。鲜花微风作揖音乐心
1701745752# #她们都是学舞蹈的双胞姐妹，都是大美女，和我站在一起，差不多高…挤眼挤眼挤眼
1698702632# #🙏阿弥陀佛🙏
1699046435# #罗娜超话。感恩所遇，终身不忘，一路同行，幸福安康。。一个招呼，有思，有念，有牵挂。。一声问候，有情，有义，有祝福。。祝福您万事顺遂，好运连连。。美丽娜妹早安吉祥咖啡咖啡咖啡鲜花鲜花鲜花
1703976172# #我们想念毛主席…🙏🙏🙏
1697327203# #树下老人观天象，坐在河边盼老阳。与世隔绝灵魂渡，深山老林又一村。🙏阿弥陀佛🙏
1687815334# #走过路过（六）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1690758981# #罗娜超话。日子有花才温柔，。生活有花才快乐。。爱情有花才甜蜜，。人生有花才芳香。。美丽的娜妹早安！。鲜花微风作揖音乐心
1692569844# #海上升明月，她乡遇故知。般若波罗蜜，拜读多心经。阿弥陀佛🙏
1695078803# #这是我的最爱…挤眼挤眼挤眼
1700264117# #松鼠食坚果，树上地下窜。偶尔看到影，转眼丈开外。挤眼挤眼挤眼挤眼
1703253916# #网络小说家，才女俏佳人。美丽一见心，幸福五二零。鲜花鲜花鲜花鲜花偷偷跑过来，正好见到您。我在看直播，雪山音乐节。崔健摇滚乐，见面多年前。隔着屏相望，涛声人依旧。挤眼挤眼挤眼挤眼
1701381056# #世界之窗（下）。外面世界很精彩，。走过路过别错过。。文化交流路脚下，。五洲四海交朋友。。鲜花微风作揖音乐心
1690582437# #养生之道…作揖作揖
1699656070# #高僧大德开示。。我从哪里来，要到哪里去？。。人会不会真的死亡......这是许多人心中常生的疑惑。佛法之为佛法，它是给我们来解决疑惑的，这是佛法的根本。。。所以，为什么说佛法真理？这个理不是教我们如何做、如何念、如何怎样。佛恰恰不是上帝、不是神仙，。。一佛出世就是为了把这个道理告诉我们，让我们
1701644321# #这才是良知…赞赞
1698224873# #人生难得糊涂虫，装疯卖傻好生活。聪明反被聪明误，简单知足快乐生。鲜花作揖鲜花作揖鲜花
1692400666# #总算活得明白，开始下个饭馆。挣钱为了什么，吃饱喝足玩乐。哈哈哈哈哈哈哈哈哈哈
1698188079# #罗娜超话。秋风千里带花香，。微博短信送吉祥。。开心快乐每一天，。人生最美是健康。。。美丽娜妹早上好！。。🌹握手咖啡作揖音乐
1687914520# #不知不觉成网红，人家都叫她九妹。每日开心快乐着，打卡牵手走过来。挤眼挤眼挤眼挤眼挤眼
1688075397# #走过路过（六）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1703714913# #走过路过（三）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1687557692# #走过路过（一）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1696974523# #（六）九寨沟
1694918258# #大唐风华。。原创娄旭娄旭在玩儿2023-09-1611:01发表于北京。。唐在中国历史上是极为辉煌璀璨的。继承中国商周秦汉文化的优良传统。吸引和融汇了外来文化的新鲜养分。创造出影响广泛绵延至今的唐文化。饱含着特有的时代精神与宏大气魄。永久散发着的文化趣味和精神魅力。。国家博物馆2018年的&lt;大唐风华&gt;展。
1692836845# #养生之道…作揖作揖
1691879596# #天热没啥好去处，宅在家中空思量。电影院里镀个金，暂时放下心坦然。哈哈挤眼哈哈挤眼哈哈
1703378756# #小草悦听分享快乐.。鲜花心鲜花
1702425958# #冬日寒霜雪，雪后红梅赞。赞美树上俏，俏丽鹊放歌，鲜花鲜花鲜花鲜花
1697503321# #步入狮城新加坡，疑似天堂西洋景。灯光璀璨阑珊处，俊男靓女夜来香。鲜花作揖鲜花作揖鲜花
1698020335# #运动健身必备课，课堂瑜珈重坚持。持之以恒初见效，效果绝对自然生。鲜花作揖鲜花作揖鲜花
1696030068# #传统画法更细致，大好河山微缩景。取其精华人润色，高山流水遇知音。🙏阿弥陀佛🙏
1687728287# #走过路过（一）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1696110916# #罗娜超话。꧁꧂꧁꧂。🍒🍃🐾🌾🐾🌿🍒。有缘的路上，我们珍惜；开心的路上，我们快乐；健康的路上，我们相伴；幸福的路上，我们同行。。美丽的娜妹国庆快乐。꧁꧂꧁꧂。🍒🍃🐾🌾🐾🌿🍒
1687046630# #生活小窍门…
1691622267# #功到自然成，画竹笔生风。微波绿浪花，眼前节节高。微风微风微风微风
1692660805# #这几天特别关注，您老之行吸引人。下月我要去北疆，风土民情先了解。鲜花微风作揖音乐心
1701560477# #今早餐很美，疑似花果山。摆盘好精致，没吃看就香。作揖作揖作揖作揖
1690838374# #都市夜来香，美食新天地。万家灯火明，何日君再来。音乐音乐音乐音乐
1699134383# #养生之道…作揖作揖
1701476140# #紫气东来乐有余，如鱼得水心荡漾。御笔乾坤游戏图，花开富贵人吉祥。🙏阿弥陀佛🙏
1687564136# #日子过得烦躁，天气着实炎热。连续两天高温，如今已过四十。允悲允悲允悲允悲允悲
1697411793# #梅里雪山日照金，东方美景尽收眼。顶带积雪阳光照，耀眼光芒壮观景。见到日照你多福，一路阳光来相伴。温暖相随平安年，锦绣中华唱颂歌。🙏阿弥陀佛🙏
1700089600# #走过路过（六）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1702938115# #罗娜超话。冬到深处寒自来，只有问候暖心怀。岁月无痕匆匆过，健康快乐笑颜开。。美丽娜妹早上好！天气越来越冷了多保重！鲜花微风咖啡音乐心
1701811977# #走过路过（二）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1696379298# #养生之道…作揖作揖
1701908837# #群山环绕有圣洁，云雾缭绕在其中。烧香拜佛求菩萨，保佑苍生普善缘。🙏阿弥陀佛🙏
1692144088# #微言博语评天下，假是真时真亦假。人心难测蛇吞象，冷眼相待何所惧。🙏阿弥陀佛🙏
1689375339# #人去楼空空悲切，旧貌新颜颜悦色。拆迁改造造新房，继续回忆忆童年。鲜花作揖鲜花作揖鲜花
1701210116# #罗娜超话。㊗꧁🙏꧂㊗️。🍁要想明天更美好，先把自己照顾好。天高云淡情不淡，风吹云散缘不散。彼此牵挂心中暖，一生健康金不换。😊美丽娜妺早上好！。🍒꧁抱拳꧂🍒
1702503794# #清晨细语…。一直陪着我吧，。不管以什么身份。。想我了就联系我，。我们之间没有面子，。只要你开口，。我就低头。。一生不变，。做不了夫妻，。我们就谈一辈子的恋爱。。你若一直在，。我便一直爱。
1699481162# #走过路过（一）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1703722631# #晨曲光影客，梦幻难重圆。山河人依旧，教鞭笔生花。鲜花作揖鲜花作揖
1701905386# #惊叹（三）。朱门酒肉臭，。路有冻死骨。。官商勾结者，。此人必诛之。
1688853655# #这个裤衩太难看，狗皮膏药似的…哈哈哈哈哈哈
1689323903# #我让老师见笑了，我吗根本不会写，我只为了寻开心，我想活得别太累。挤眼允悲挤眼允悲挤眼
1701389124# #疫情三年留阴影，此时此刻新病毒。流年不利多因素，这个日子真发愁。允悲允悲允悲允悲允悲
1698225897# #文人墨客物似非，步入大堂看画展。各路神仙笔游龙，彰显个性魅力足。鲜花作揖鲜花作揖鲜花
1703194815# #罗娜超话。🌿🐾✍。变换的是气候，不变的是问候。流走的是岁月，留住的是情谊。愿我们彼此身体健康！关怀常在。。娜妺早上好！咖啡🌹烟花666🧧🪅
1696974611# #内心圆满自足，。行事适可而止，。不被外物所累，。不去透支自己，。于是行稳致远，。作揖安定顺遂作揖
1700346199# #远离都市喧嚣处，尘埃落定草木深。躲进此山成一统，管他冬夏与春秋。心音乐作揖微风鲜花
1702861254# #歌手助唱在酒吧，辛勤付出苦甘甜。天生一副好嗓子，还有金属重低音。哈哈哈哈哈哈哈哈哈哈
1693526321# #秋风徐徐拉开幕，满山遍野红顶天。五谷丰登收获季，粮衣足食和家欢。鲜花心鲜花心鲜花
1695857948# #养生堂.。作揖作揖
1688190308# #该吃吃是该喝喝，遇事别往心里搁。人生在世不如意，十之八九会上头。哈哈挤眼淡定挤眼哈哈
1703024844# #清晨细语：。。最舒服的两性关系，不一定是夫妻，一定是灵魂伴侣。。。我发消息给你，不忙的时候秒回，如果你忙，忙完了记得。。。凡事有交代，事事有回应。。。彼此你一句，我一句，不用担心彼此会麻烦，不用担心自己多余，不用担心自己会打扰到对方。。。没有欺骗，没有隐瞒，没有心机，没有顾虑，想说就说
1687652742# #书香门第花烂漫，满腹经纶车五卷。走南闯北寻梦记，京杭运河女学者。鲜花微风作揖音乐心
1703454549# #走过路过（三）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1703107033# #罗娜超话。人有不老心，一生都是春。快乐度日月，珍惜寸光阴。看淡人间事，每天都开心。保持好心态，安康胜万金！。美丽娜妹早上好！🌹🌹🌹
1697416191# #文艺小沙龙，制造小份围。都住小社区，众人小情调。挤眼挤眼挤眼挤眼
1703543468# #走过路过（六）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1698973325# #这是没有办法，但是污染治理，还要继续坚持，我们一起努力。作揖作揖作揖作揖作揖
1694909154# #常在河边走，哪有不湿鞋。路边有野花，千万不要采。挤眼挤眼挤眼挤眼
1687388801# #紫气东升霞万道，万紫千红夏季风。花开紫色招财物，大地回紫山河颂。山川秀美紫为贵，万众瞩目赏紫花。吉祥如意缘是紫，小诗动情紫连唱。鲜花心鲜花心鲜花
1689199297# #罗娜超话。为了明天更美好；。身体必须保养好！。有了健康到处跑；。品尝人生慢慢老！。新的一天又来到；。真诚问声娜妹早！。鲜花微风握手音乐太阳
1689460938# #养生之道.。作揖作揖
1698019574# #远看花蝴蝶，迎看草上飞。九妹水蛇腰，越来越是俏。挤眼挤眼挤眼挤眼
1687060542# #漫步杨州街小巷，广陵江都淮杨道。此次出访探秘史，京杭运河太震撼。🙏阿弥陀佛🙏
1693959614# #一天一天又一天，一月一月又一月，一年一年又一年，一言一语又一生。🙏阿弥陀佛🙏
1693783665# #罗娜超话。今生有缘，感恩相遇。。时光不老，牵挂依旧。。祝福常有，问候常至。。情谊更浓，缘分更深。。把最美好的祝福，。给我最牵挂的你，。愿你天天好运来，。年年月月福常在。。美丽娜妹早上好！。鲜花微风作揖音乐心
1690523936# #年过半百猛然醒，奔波劳碌此一生。功名利禄皆是空，惟有平安才是福。🙏阿弥陀佛🙏
1701640008# #人最大的敌人实际上是自己，和别人比不如和自己比。。不必拿别人的标准来衡量折磨自己，每个人都有他自己的人生轨迹，努力了就好！。碰到别人的不公正的评论，只要是不伤及到你个人的尊严，那就让他说去吧。
1702422461# #走过路过（一）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1702859521# #这段时间以来，只有今天入道。革命尚未成功，同志仍需努力。作揖作揖作揖作揖作揖
1700091897# #自娱自乐图开心，每天打油人自潮。小画比例不太对，盆景微缩是模型。哈哈允悲哈哈允悲哈哈
1688602570# #面带微笑老阿妈，善良之人相心生。藏转有缘拜菩萨，道法自然画天下。鲜花作揖鲜花作揖鲜花
1691620849# #秋风秋雨秋来袭，看天看地看流年。喝茶喝酒喝饮料，聊东聊西聊到黑。哈哈哈哈哈哈哈哈哈哈
1702361968# #话到嘴边留半句，言多必失有古训。风吹日月流星雨，活着才是真英雄。🙏阿弥陀佛🙏
1700783181# #上联：清泉山谷响下联：========作揖作揖：宽窄巷子深。
1687086244# #赶上了，人家是武术教头。其实我们中学，芭蕾舞剧红色娘子军，特别有名。小学是沙家滨有名，因为大师潭元寿（郭建光）的儿子，在我们学校上学…。全都巧了不是…哈哈哈哈哈哈
1690934376# #最美中国女兵，敬礼！心音乐作揖微风鲜花
1698359550# #读书万卷明事理，放飞自我路脚下。开阔视野提升快，道法自然取其精。🙏阿弥陀佛🙏
1700346658# #实用小百科…作揖作揖
1703803967# #走过路过（六）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1694558335# #闭门修炼和为贵，武林秘籍有奇缘。自命不凡笔马良，母鸡下蛋公打鸣。挤眼挤眼挤眼挤眼挤眼
1701299745# #原以为别人尊重我，是由于我很优秀。。。慢慢地我明白了，别人尊重我，是由于别人很优秀；优秀的人更懂得尊重别人。。。对人恭敬实际上是在庄严你自己。
1699058997# #病入膏肓乱投医，死马当作活马医。人无佛缘何成真，闭门思过心向善。🙏阿弥陀佛🙏
1688511444# #养生之道…作揖作揖
1702423065# #走过路过（九）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1687266491# #孔雀开屏美无瑕，季候来临南北飞。背景离乡人无奈，血脉相连故土亲。🙏阿弥陀佛🙏
1695941596# #告诉你一个残酷的真相：。当你的正念超出他人的认知，。他会本能的拒绝。。。因为他身上的无形众生，。不允许你传递给他，。正知正见。。。让山做山，。让水做水，。不因山而消耗水的相，。因果不同。。阿弥陀佛🙏🙏🙏
1699743689# #走过路过（三）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1692400108# #穿着时尚女装，步伐四平八稳。帽子眼镜常态，面带微笑开心。哈哈哈哈哈哈哈哈哈哈
1691791179# #我不喜欢纹身的人…允悲允悲允悲
1696002524# #晚上窗外明月光，。可别错过来相会。。一年只有这一次，。花好月圆中秋日。。鲜花微风作揖音乐心
1688160417# #饭局文化（一）。朋友隔三差五，。相聚聊点闲篇。。美酒佳肴畅饮，。笑语南北西东。。鲜花微风作揖音乐心
1688419902# #罗娜超话。气温由天定，。快乐自己找；。微笑不用钱，。却比钱重要；。一日三笑人，。健康宝中宝；。清晨一大早，。隔屏问候声；。娜妹早上好！。🍏🍎🍒音乐
1693527832# #早看东南晚西北，贫下中农代相传。这些彦话很实用，明天必是大晴天。作揖作揖作揖作揖作揖
1698447942# #罗娜超话。回望远去的路，惦记有缘的人。。常怀感恩的心，珍藏难忘的情。。愿：我们永远开心！。天天平安吉祥！。美丽的娜妺早上好！。作揖作揖作揖🧡💗🌹🌹🌹
1698272356# #罗娜超话。有情之路，越走越近；。有缘之人，越问越亲。。非常珍惜每天问候的人，。因为不是所有的人醒来，。都能想到你，感恩相遇。。美丽的娜妹早上好！太阳
1696375348# #隔三差五来一顿，饱汉不知饿汉饥。富人生活好日子，望眼欲穿赶紧干。挤眼哈哈挤眼哈哈挤眼
1694303304# #养生堂…作揖作揖
1690763973# #笔墨诗书画，雅俗而共赏。内行看门道，外行看热闹。哈哈哈哈哈哈哈哈
1696550776# #竹林细雨七贤客，客借微风轻拂海。海外游子思乡曲，曲风轻快鱼戏水。鲜花心鲜花心鲜花
1687387808# #绘画似曾相似，传统民俗延续。手工制作行家，书画创意大全。鲜花作揖鲜花作揖鲜花
1698624471# #昨天被人提示，真的不敢再写。社会乱象丛生，娘要嫁人随便。哈哈哈哈哈哈哈哈哈哈
1699916554# #走过路过（三）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1692393590# #我们有恩于人，。也不要期望别人的赞誉与回报你；。即使命运多舛，。也不要熄灭希望之灯；。即使遭人顶撞，。也不要小肚鸡肠、。记挂于心；。即使略有成就，。也不要就此满足、。自我陶醉；。即使蒙受不白之冤，。也不要因此而精神沮丧。。人生之路坎坷崎岖，。充满无常，。但只要生活还在继续，。便要接受祸福相伴，。
1700171796# #走过路过（二）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1702762118# #半生已过，看透了，想通了，放下了。。。随着年龄的增长，越来越沉默，越来越喜欢安静了，不想再凑那么多热闹了，也不想多说什么，很多时候，都是看破不说破，咽下了，觉得没必要说出来。。。人生的道路，一程又一程，酸甜苦辣，五味杂陈，时而风，时而雨，只有不惧风雨，坚持奋斗
1701476374# #营养丰富早吃饱，中午家常人吃好，晚餐简单要吃少。一日三餐巧安排。鲜花作揖鲜花作揖鲜花
1688774753# #天道有轮回，茶喝后来艳。五毒俱全者，老天饶过谁。允悲允悲允悲允悲
1687815030# #养生之道（六）。生命短促随风过，。转眼之间是百年。。众说纷纭在当下，。健康生活保平安。。🙏阿弥陀佛🙏
1699663198# #公园情人步，河边柳成荫。谈情说爱处，人老春荡漾。哈哈哈哈哈哈哈哈
1691025403# #摄影肖像作品，欣赏大家风采。构思布局巧妙，暴光焦距镜头。鲜花作揖鲜花作揖鲜花
1701217504# #故土乡情深似海，初心不改留着根。勤劳至富农家乐，老婆孩子热炕头。🙏阿弥陀佛🙏
1698873379# #罗娜超话。最好的人生：。有着每天的醒来，。有着从容的微笑，。有着慈悲的善意，。有着信仰的力量，。有着美好的希望，。有着坚定的步伐，。有着早安的吉祥…。心娜妹早上好心
1702425403# #民以食为先…作揖作揖
1695677430# #千物不喜，唯独爱你。。紫陌闲云。2023-09-1819:00河北情感领域创作者。。这辈子，我只想认真地对你一个人好，世间万千，万物不入眼，你却入了心。。遇见你真好，从见你的第一眼起，我便开始为你心动，从此，一份爱覆水难收。。。无论我走到哪里，山中也好，水畔也罢，城市的街角也好，乡村的小巷也罢，一颗心
1697848291# #功成名就看世界，衣锦还乡汇报展。答谢养育情深切，江南才子笔天歌。鲜花作揖鲜花作揖鲜花
1687469325# #走过路过（六）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1691015247# #饭局文化（上）。朋友隔三差五，。相聚聊点闲篇。。美酒佳肴畅饮，。笑语天南地北。。鲜花微风作揖音乐心
1699231932# #秋天色迷人，美女画中央。满山遍野红，风吹落叶花。鲜花鲜花鲜花鲜花
1701393704# #十二月，雪睡了，夜有一个白色的枕头，寒风吹亮了月光，十二月默默地站在街上；有些甜蜜，有些辛酸，有些茫然……昨日，不再，今时，不再虚度，明天，不再畏惧，岁月浅浅，或柔，或轻，些许困逆，只当插曲，若无心，则不多留，若有意，则付全力，渐渐平静，渐渐疗愈，渐渐惊艳，这个十二月，幸福归属于
1698919334# #股市越来越难熬，整日行情它不涨。心烦下楼买果蔬，方知降价开口笑。哈哈哈哈哈哈哈哈哈哈
1696286945# #都市烟火气息，扑面而来食足。找家老店小馆，物美价廉好吃.。挤眼挤眼挤眼挤眼挤眼
1698708419# #干干净净做己，本本分分做事。勤勤恳恳做工，实实在在做人。🙏阿弥陀佛🙏
1695861274# #明月清风几时回，面对窗外云遮月。十五月亮十六圆，每逢佳节倍思亲。🙏阿弥陀佛🙏
1702503974# #清晨细语…。女人的第二个男人其实，。女人想找男人，。不是为了金钱，。也不是为了物质情感更不是为了虚荣，。是真正的想找一个懂她的，。了解她的和关心她的知己。。也只是找个灵魂伴侣，。在她心情不好时，。有人安慰心疼她给她一个温暖的拥抱。。在她空虚寂寞的时候，。能够关心她，。陪她聊聊天，。在她受到委
1692850388# #买车众说风云，经济舒适上策。上班实惠为主，商务靓车美女。鲜花作揖鲜花作揖鲜花
1695597913# #生命诚可贵，爱情价更高。金钱如粪土，逍遥度此生。作揖作揖作揖作揖
1694737584# #都这一把年纪，看人还能不准。如此这般情商，不知如何是好。允悲允悲允悲允悲允悲
1693524656# #走过路过（四）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1687301524# #知书达理通天下，写字绘画笔耕耘。善解人意持以恒，勤学苦练字方圆。心音乐作揖微风鲜花
1694218094# #百姓纯朴心向善，对酒当歌奈我何。佛在灵魂情有缘，来生转世心归一。🙏阿弥陀佛🙏
1700002646# #罗娜超话。我喜欢生命里的真诚，。更喜欢相遇后的友情，。敬仰与人为善的知己，。更感谢生命中的朋友。。美丽的娜妹早上好！。微笑💗咖啡鲜花握手音乐
1692401550# #无解的灵魂，多愁的善感。无言的结局，笔画的分争。允悲允悲允悲允悲
1702850945# #年终总结走过场，满腹牢骚心不正。歌功颂德假大空，上台发言马屁精。哈哈哈哈哈哈哈哈哈哈
