1693986157# #斯是陋室，惟吾德馨
1701441849# #早就听说过沙僧吃过唐僧肉，今日一见终于信了
1703919766# #一个月3千这活怎么样？
1701324483# #卧槽，第一次见这么大的蟒！
1699325588# #搬起石头砸自己的脚
1699666849# #每天早起打卡早呀~
1690013552# #这里的车库十八弯，这里的一楼九连环
1700210057# #卧槽，这人的眼睛还好吗
1693670883# #晚安～
1693813553# #这么急头白脸吃一顿得多少钱？
1693666033# #是行李箱电池🔋，哇塞，还是国外先进
1701238451# #请问她是什么币？
1690342736# #已婚男的终极梦想
1698814824# #得亏不是夏天，要不然就烫伤了
1699005794# #她上完大便不擦的吗费解
1695265605# #这技术可以哦
1694794339# #晚安～
1697007666# #十八岁的周杰伦这么青涩
1702195675# #别问饭前还是饭后吃，当饭吃
1701699079# #晚安喽宝子们
1695340377# #每天早起打卡早呀
1693138499# #这是什么游戏？？
1702719278# #还是一只有安全防范的独角兽
1691799588# #越听越怪但是又说不出来的上瘾
1703825644# #三杯以下没有这技术
1693660969# #压蛇帽
1702361705# #孟婆见了都嘚瑟
1695103682# #兵王重生之蛇皮走位
1694960243# #我是多肉,边喝边漏。
1689121109# #每天早起打卡早上好呀～
1702453164# #这个社会，只要不要微笑，就能赚很多
1691592901# #晚安咯～
1693375360# #这要是扎一堆出去走豌豆射手都懵逼
1698843757# #身材这么好还这么自律
1692852458# #被无人机过肩摔
1695516435# #每天早起打卡早呀～
1702284564# #奥迪：这次是真丢脸了
1693305295# #交警扣了都不好意思开回队里
1702216027# #“不好意思这位先生，这里是不能睡觉的”
1692720803# #8月22日，四川成都。商场内一女子与多名coser起冲突，其中一coser商场内被打倒地报警，商场回应：倒地女生已送医并报警！
1690347554# #万万都想不到，居然有人敢在胡歌和焦恩俊之后演李逍遥和二郎神
1692688401# #这是什么比赛？
1696062214# #生意好是有原因的
1689927947# #快拿鞭子抽不然等会停了允悲
1690850036# #每天早起打卡早呀
1691923388# #这个雨刷器和我上班一样，看着很忙，却不知道在忙什么
1703347433# #晚安喽今天太忙了忙的都没时间看手机
1703920879# #防君子不防小人锁！
1698073837# #晚安咯…
1700579930# #晚安宝子们
1699180213# #酒后真是丑态百出
1703920051# #大家觉得好看吗？
1695476097# #重庆建筑科技职业学院食堂工作女子未戴头盔驾电动摩托车进入校园，与进行劝阻的学校保安发生口角，双方发生肢体冲突
1701239119# #还得是眼镜。
1703496383# #转向灯就没必要打了吧！
1693106856# #这问题放在现在也相当炸裂
1702372680# #点电子蜡烛，拜机甲佛祖。
1695082236# #安徽，一孩子下高铁时掉进列车站台缝隙，孩子一直在哭…
1695169876# #那么问题来了视频车主为什么不倒车呢
1695876692# #你说他老手吧，手指还在，你说他新手吧，砍三刀都没中！
1689295708# #每天早起打卡早呀～
1700443532# #这都把搞实体的逼成啥样了？
1692528167# #内行看门道
1697443587# #崇州市发生恶犬伤人事件小女孩被数没拴绳的恶犬撕咬。知情人介绍：“小孩肾被咬撕裂，伤势严重”。
1698217240# #自产自销，没有中间商赚差价～
1691323810# #这就是大家不提的理由吗
1693568288# #这鹦鹉是上发条的嘛？
1692778928# #没水花，满分💯
1701784263# #这人在干嘛？训车吗
1690252090# #放生矿泉水？？费解费解费解费解
1696392885# #这样的夸张了不敢说，但是大几万还是有的
1692884031# #日本核污染水排海正式开始你们那里也开始抢盐了嘛？？
1703410689# #进藏吧，一步一寇首。
1701681720# #车怎么会飞？
1693230057# #看给摩托大哥乐的
1699517568# #看似输了，实则赢麻了。
1692846351# #我竟一时分不清谁是主角
1694928318# #教官：那位男同学你为什么一直趴地上？
1691163238# #晚安喽
1693027899# #天上飞机最快…
1698290953# #别说老头了，年轻人这一下也得废了
1692777060# #看得出来他很喜欢这招。。。
1693552566# #这算绝活嘛
1691656464# #他真以为小伙打不过他
1702912580# #现在拍戏对群演的消耗那么大了吗
1701562744# #每天早起打卡早呀～
1701766767# #我花20元买的玩具车都舍不得这样造xiaochou
1697554295# #终于知道他为什么坐轮椅了
1695212771# #那一腋
1693228235# #现在电瓶车都这么卷了吗！
1689378259# #每天早起打卡早上好呀～
1699159130# #看的TM的气死了！
1690622163# #《茅屋为秋风所破歌》
1693784250# #每天早起打卡早呀
1694870473# #奇怪的天赋
1693276254# #活着的时候往死里折腾，现在死了都臭了也不舍得扔
1695599235# #满脑子肌肉的人要这一身肌肉有何用？
1701002353# #新型夹娃娃机
1703496749# #他们为什么这么快乐
1692375750# #晚安喽～
1701838358# #这装备与时俱进啊赞
1694792365# #低情商：连中控都没有。高情商：改装空间极大
1703865416# #晚安宝子们
1692332292# #这……
1692721128# #你笑什么，你还不是一个人？
1702188109# #直接封神，在那个年代
1696605620# #晚安～
1701157315# #这是什么功夫？？
1695276193# #气质一下就提上来了
1692454730# #这是在上发条么
1698312411# #我总感觉莫文蔚的声音没有一点杂质，非常干净。
1699509924# #无限死循环
1694920307# #内个:你酱紫让我很难办啊
1702023255# #台妹真是学到小日子的精髓了
1693285120# #这是真的狗
1694570684# #她是怎么开进去的
1702800583# #这搁这三结义呢？？
1696741798# #你能接受吗？
1694785540# #他这散装英语外国人听懂了我不奇怪，他能听懂外国人的回答才是关键
1692600865# #这活只能中午干
1691993767# #她很了解自己的优势和加分项
1694044893# #每天早起打卡早呀
1693019043# #熊🐻:我在等妈妈，你在等什么？一个轮回的机会吗？
1703165736# #这陪嫁相当的可以
1694703689# #我和你缠缠绵绵翩翩飞
1692891697# #晚安～
1691851799# #这绝对是乌龟车
1690984156# #钓的什么鱼呀……
1702186881# #华语乐坛天花板！！！
1691147572# #这种如果报警说有人拦路抢劫的话有用吗？
1698037058# #有钱人玩的就是变态赞
1688518396# #听说这车挺值钱的
1688521049# #自由的歌硬是听出了吓人的感觉
1694417172# #司机:后面那师傅，帮忙刹一脚！
1697510803# #男子经常辱骂闪送员，没想到这次遇到一个“较真”的小哥，被好好教育了一顿，看完是真爽！
1697113182# #裸奔逃跑是啥意思啊？这个有点丢上海人的脸了。
1690597535# #这是刚从那辆马自达里爬出来的嘛允悲
1694702073# #这要是没发现后果不堪设想啊
1693806982# #这嘴是真的硬
1693112232# #我怎么没看过这电视剧
1693706061# #当选购特斯拉时，门口有台V8AMG漂过
1696558731# #每天早起打卡早呀
1698418719# #鞋子都掉了……衰
1702442925# #这次我相信MG是豪车了
1691770826# #晚安～
1692018733# #直接给摄影师整不会了允悲
1695174616# #市区耍耍得了，还上高速找罪受
1695525504# #好言难劝该死的鬼
1694524170# #大爷：有钱捧个钱场没钱捧个人场
1688696021# #官方通报男子掏警官证让交警放行7月6日深夜，河南平顶山郏县公安局就“男子掏警官证让交警放行”一事发布情况通报，全文如下：。7月5日晚，针对网传一乘车人干扰交警正常执法视频，我局立即成立工作组开展调查核实。。现已查明，网传视频情况属实，该乘车人系我局通信科长徐某。目前，徐某已被免职并
1695290478# #都累成球了
1699634247# #晚安咯宝子们
1703920124# #菩萨：让你游西天，没让你游西海岸
1695523249# #转弯让直行，发出来网曝自己？？？
1701324171# #飞来横祸
1689855685# #有猫的看不得这个
1694611021# #来个会说的
1692086357# #这操作游戏里面都玩不出来吧？
1689346422# #这个剧本好，健康
1691458712# #虽然我知道是假的，但是我真的好希望你们大功所成
1698387738# #5人打两辆车去同一地点，计价表一个45元一个78元，当事人：路上就觉得表跳的很快
1701061996# #狗子晚上必须加鸡腿！
1697817212# #这才是段子，赏
1696692959# #晚安～
1693189726# #这是什么幌子？？
1691838509# #时尚，太时尚了
1703406576# #如果你是领导你不也喜欢这样么
1702953645# #甘肃地震西安震感强烈🙏🙏🙏
1696984684# #早～选一位？
1690689036# #强者暴打对手，弱者暴打手机
1696345327# #印度人竟然在我身边
1693320824# #这个村真的好啊
1693960282# #堵路不挪车
1691409189# #这是什么笔画的这么好看
1689024308# #每天早起打卡早上好呀～
1697339806# #这么有道理的东西不能我一个人欣赏，分享给大家看看！
1693535805# #收废品的：用挖掘机捡瓶子，我怎么没有想到？
1700613631# #问题来了，他一共砸了多少块砖？
1700612845# #早上好每天早起打卡
1689511135# #他有几项违法行为？
1698628980# #马保国世界巡回演出
1691159182# #这车道难道不是直行道嘛？并不简单
1693731895# #这个雨量也没有必要开冷却水了
1695794322# #这是拉车上了？？？
1695986585# #这肉有点柴
1695429851# #自然，太自然了
1689586895# #姐，确实有功夫在身上允悲
1693620506# #这么大的子弹，就这点后坐力？
1702983479# #三楼……怎么上去的？？？
1698235732# #卧槽，炮弹直接打身上了？
1693022140# #四选一，你最喜欢跟哪位约会呢？
1691308524# #女儿：护士，快来，瓶满了
1701695620# #典型的又菜又爱玩
1691681196# #北京地铁女子插队遭怒怼…
1695656940# #晚安月亮
1690986753# #好大一锅紫菜蛋花汤
1692858522# #这不就是二人转吗
1697084376# #暴走大事件团队的片场日记
1697346934# #平路骑骑得了，还想越野
1695096734# #高端的猎人，往往以猎物的形式出现。
1696687550# #这酒店多少钱一晚？
1701061943# #你赞同养儿防老这个观点吗？
1690422599# #什么条件拿苍蝇当摔炮
1690855027# #扔的还真准
1692929247# #混凝土:你看看，我是不是有点多余了！
1693564712# #这是什么骚操作？？
1698592566# #不负众望
1692289121# #晚安咯～
1697103948# #当你还是胎儿的时候你知道每天都在妈妈肚子里干什么吗？
1701776163# #男人要那玩意干嘛，多财多亿就够了
1693908827# #多装那一点图什么，得不偿失了吧
1694187566# #我王多鱼投你的项目了，先给我寄辆来试试车
1695717387# #表达了设计师被捉奸的紧张急躁的心情嘛
1693643144# #我猜它不是冷冻肉
1701441893# #最后？最后的晚餐？
1695218235# #头回见用树改的低趴
1697538035# #卧槽……衰衰衰
1690002744# #旁边的人在写遗嘱嘛？
1701324258# #处电子对象，当电子舔狗。
1699271011# #您的外卖正在滑铲
1695361701# #这是哪里出问题了吧
1693696781# #每天早起打卡早呀～
1690607171# #只要帽子和头压的够低，就没人认得出我
1694165054# #猛男专用小车车！
1693146529# #成都公交司机下跪事件：未及时助残疾人乘车遭投诉被罚款200元取消当月星级评定…对于残疾人乘车，公司有相应的服务标准“每辆公交车后门都有一块无障碍踏板，遇到残疾人乘车，驾驶员应当打开踏板帮助残疾人上车，如果没有去帮助残疾乘客上车，就是对乘客服务不到位”
1696669008# #娶到这样的媳妇真的是三生有幸
1698672961# #烧香拜佛的钱不如请爸妈吃顿好的
1696815309# #模特队阿姨优雅过马路，导致车辆拥堵，交警跑步赶到现场指挥交通……
1693915073# #脑瓜也是瓜
1698301328# #正常人谁这么穿
1698764860# #干什么你，吓得我海参都掉地上了。
1695878275# #一家人野餐时遇黑熊“上桌”抢食母亲紧捂儿子双眼一动不动
1695888754# #男子人肉占车位，司机耐心与男子进行沟通，男子嚣张表示“你撞我一下试试”
1689850902# #我一直以为是节目效果，原来真有这个小学
1698804990# #这么宽的地方不往里开开偏偏压半条道碰上二臂司机你不就交代了吗
1702197819# #谁的白月光？
1690696129# #我不敢笑因为根据我活了30年的经验来看我年龄越大就越会做出我认为不会的事情谁知道我老了会不会顶着饮水机去公园👀
1702260224# #你更喜欢姐姐？还是妹妹？？
1692188084# #现在工作不好找啊！
1696776014# #大妈偷走榴莲嫌是生的，找店家退钱…费解
1696904304# #难受啊，看到这小孩
1695393390# #男人至死是少年
1694080281# #什么破车显示屏那么点
1700985366# #这个是乔治还是佩奇？
1693723433# #这…房子看着有点阴啊
1693838519# #大叔车都扔了
1700408085# #晚安喽宝子们
1689348185# #晚安喽～
1691766534# #这是纸壳拼装的车吗？能给我拼一辆吗？
1692100948# #爷爷听了之后葫芦没开花就连根掘了，碾稀碎！
1694683143# #这操作放在越野界也是相当炸裂的
1693151803# #网友在甘孜遭遇不合理收费。在离开巴塘县亚莫措根防火监督员要收取300元一台车的费用，最终在支付了一百元一台车的情况下顺利离开
1699792304# #豹好看豹贵
1695800922# #观战模式？
1691636790# #凶是凶了点，但她看人真准
1696482622# #听说她以前是舞蹈老师
1694476655# #每天早起打卡早呀～
1695167137# #每天早起打卡早呀～
1692194260# #希望判电动车全责
1693321953# #晚安喽～
1702449314# #在一声声高手中，逐渐迷失自我
1690381908# #听人说，在美国敢凌晨坐洛杉矶大巴的都是狠人，看来是真的
1701841029# #这鏊子不摊煎饼可惜了
1692368987# #极品飞车真人版
1699544562# #晚安宝子们
1702451923# #现在知道滑雪是极限运动了
1695715864# #不愧是天外来客，搞的都是足浴演唱会
1694340325# #我的海外购正在进货中
1700638130# #第一次见三文鱼当面条吃的傻眼
1700045475# #好好一桌菜干嘛这样了？
1689997255# #能用挖机绝对不动手
1698051437# #骑电动车的那个人还好吗衰
1702015623# #这么跳要注意点什么
1693366331# #泥石牛？？
1695721892# #学霸都这样吗？
1701681945# #舍友：今晚求你点事
1695984640# #简直就是我的梦中情车
1692686079# #这种随地大小便的人该怎么处罚？
1691308522# #女儿：护士，快来，瓶满了
1691378163# #这是不是跟鸡蛋握不碎一个道理？
1691142680# #让我体验了被鲨鱼吃的赶脚
1700443560# #小姐姐确实很美，跳的也很好
1702124274# #我知道怎么进的，专业术语叫勾股定理并不简单
1699980159# #晚安咯~宝子们
1699544344# #站旁边看的，拍照的，不怕被判？
1693133719# #这个车好优雅
1695993504# #这他妈无敌于世间了呀，往铁壳子里面一钻别人打你还得赔钱。他不打你又毫无办法啊你又能疯狂口嗨对面
1692713347# #这小玩意开出去这得多亮眼
1694420695# #女子情绪失控在路中央持高跟鞋无差别砸过往车辆
1692156531# #双腿不便的他走出了生命的步伐
1703744606# #这个能做什么？
1700017785# #狗子还想给主人加菜呢允悲
1702376272# #满级大佬，去新手村？
1693054846# #这一套下来不得百八十块
1694073549# #这波技术流…
1692544640# #这步伐没去当运动员可惜了
1701695825# #不求同年同月同日生，但求同眼同鼻同医生
1701239162# #这是哪位老师？
1697528214# #行车不规范，亲人两行泪，机车也一样
1698026252# #黑衣男子：你们看不见我吗？
1702021516# #这交警还没来呢，都开始选上房了
1695202610# #这动静简直一模一样…
1693755171# #晚安～
1696779370# #晚安咯～
1693992419# #就这么直接走了？肇事逃逸？？
1698327711# #戴眼镜那个男的怎么混进去的？思考
1689577144# #千万别让巴黎世家跟古驰的设计师看见了
1694172380# #或许这就是鸭生中的第一次游泳
1691394853# #全责赔俩车？
1692765271# #那金毛会立耳
1688486984# #晚安喽～
1694759371# #得亏是个女的，要不变成女的了
1699357302# #女子舌钉取不下来求助消防员帮助。
1700998052# #云想衣裳花想容，一拳打死史泰龙！！
1690378534# #防腐剂！他吃了防腐剂！
1691972070# #每天早起打卡早呀
1701788295# #晚安咯宝子们～
1689258409# #晚安喽～
1692583784# #密室逃车。
1694826530# #这是真乱啊
1701751907# #天冷了，喝碗汤补一补吧兄弟们
1699262048# #这身材绝对不科学
1689256401# #这怎么才能取出来？
1700490933# #摩托车超车后撞上前车，连人带车坠下桥，不幸身亡
1699266134# #真会赚钱，连组装都不组装了，这要省多少人工啊，还对外说自己组装才有成就感
1694057782# #咱今儿也当回达官贵人，勾栏听曲
1692507754# #不懂就问，这是什么操作？？
1695257896# #现在的富人已经富到这种程度了吗
1696300975# #出门受什么罪，在家待着不好嘛！
1694344948# #与先人比邻，聆听圣人之声。
1699967165# #带你参观一下皇家加勒比邮轮～
1694773399# #这到底是什么综艺？
1695364964# #灵感来源于随便
1698587419# #谁能告诉我怎么了！！！！（超大声）
1693144046# #这该死的仪式感
1695741288# #刘若英吗？好年轻啊！
1694600625# #澳式烧烤
1689766039# #100来年了，国外也是原地打转？
1696951399# #女子抱狗摸豆腐后说不好不买，摊主怒斥其不卫生没有素质
1691501189# #一个字“飒～”
1698155694# #这喷的是什么？喷出来就能自带画面嘛？？
1694086710# #什么破车，连个倒档都没有
1701443611# #主持人：即兴主持是吧？
1702112026# #这个简～。。。有点东西
1698507423# #晚安喽~铁子们
1694680993# #现在的人真善变，上一秒还在想晚上吃什么，下一秒就在想什么姿势睡着舒服了
1693377649# #心动不如行动，兄弟们抓紧报名吧
1695300758# #这难道就是天才？
1692413442# #马儿以后上场能少受伤了
1696331282# #这真的是命数，逃不掉的
1694100276# #晚安～
1690024305# #这舞蹈动作是怎么设计出来的，让她在跳一遍还能一模一样吗？
1693962937# #看样子应该是韩国的
1694586967# #谁的责任？？
1694822876# #每天早起打卡早呀～
1701689516# #🐱：不信我有九条命吗？我给你先走三条打个样！
1693743545# #7岁女孩的摩托车梦
1692583782# #密室逃车。
1698471445# #吾贱之，阅；吾甚贱，阅完！
1694589532# #🐍：我可以放你一马，也可以放你两马，记住我不是放马的。
1690990237# #生死看淡不服就干
1695618436# #男扮女装偷拍被抓
1691379821# #温馨提示:看视频可以呼吸
1691416035# #这是速度与激情里那辆嘛？
1692607733# #生物科技防蚊！
1692544133# #一键拆卸衰
1693579818# #新手司机还要在山路练车666
1695015361# #女子夜晚回家途中小区里遇陌生男子尾随做猥亵动作…
1696763985# #我很少用震撼来形容一部电影
1695011904# #公厕都比这里干净
1694153832# #不懂就问粉色的会爆炸吗？
1689596760# #水浅王八多，遍地是大哥
1698847369# #我忍不下去了，他爹能忍住？
1694941725# #自己做发动机的狠人赞
1696730961# #一个滑铲倒霉的就是对面电车
1692538941# #炊事班都是神一般存在不信你们看看，劈柴都是用手的
1691728107# #这为什么装两层网子？？？
1693203034# #日本，你直接报我身份证得了
1693181509# #非洲落后地区手机芯片维修手法，高端的东西，往往使用最朴素的方式。
1689828181# #西八娘子传奇之乌梢蛇
1699853669# #遇到这种邻居该怎么办？
1701777160# #我不希望别人捡到我的手机还能用
1695179643# #我知道他，做厨师之前是变魔术的，变魔术之前是玩音乐的，玩音乐之前是个泥瓦工。
1692424353# #女子肯德基就餐遇熊孩子讨食捣乱网友：8月17日，湖南株洲，女子在肯德基遇熊孩子，认识都不认识跑过来要吃的，不给直接就伸手拿！最后还捣乱把番茄酱抹成一滩
1703549658# #每天早起打卡早吖～
1693836676# #男人教女人气质大师级
1690439367# #养了十几年的女儿没了，赔偿5.5万的法律依据是什么？求科普
1689773399# #女主比特🐴鬼还可怕
1695528713# #男孩用完餐主动将盘子放到吧台，妈妈：你这么高贵的身份这活不是你干的。网友：一个做妈妈的还不如孩子
1701061954# #这么喝是个狠人啊！
1700840614# #今天太忙，晚安喽～
1701841247# #贫僧会讲一些大乘佛法施主若听不懂大乘佛法贫僧也会些拳法
1697549120# #年纪大了的话可能挺不过来哦衰
1694170161# #科技与美食的完美结合
1698117181# #现在律师届的都这么卷了？
1692364289# #这是在干嘛？？
1702021701# #最后这是撞上了嘛？？
1691508018# #难怪烟这么贵，原来里面有肉。
1690213215# #这个咕噜咕噜是真实的，别人都假的
1695608206# #什么情况？太吓人了
1703046803# #这沙发看着很舒服啊
1697941553# #社胶恐怖分子
1693584431# #晚安～
1693956966# #每天早起打卡早呀～
1690774702# #这笔叫巨能写
1702611706# #该死，被他装到了
1691333279# #这个世界太疯狂了，山羊都会荡秋千了
1702695481# #早呀～
1692192275# #安全绳是绑飞机上的吗？
1694694984# #好！新鲜的表达方式
1693234481# #砸自己招牌的还是第一次见
1689849521# #后车:我考，闪了还能走？关系这么硬？
1695991569# #不得不佩服大神们的“侦破”能力
1697989938# #生吃蓝炫子
1695724496# #嗷是用手接住了啊是用头接住了
1691673959# #蓝卡：你看我黄牌号码靓不？
1694605945# #自己吊自己出得去吗？
1693148845# #收废品都这么厉害了吗？都用意念控制了？
1688475911# #呦～这头发还是速干型的
1700210131# #遇到这种人最好离远一点，忍一时风平浪静。
1692518868# #吃个饭都有酸豆角《脚》的味道！
1694911164# #快是快就是有点费手
1702795509# #傻白甜，男人们的最爱
1700047564# #听说买这个船送车
1692081760# #车：你先忙你的去，我下去卸个货
1698917905# #哈哈哈哈哈哈
1702822781# #我说骨科大夫是八级木匠，谁赞成，谁反对？
1691305055# #某影院为处理“观众迟到座位被占”投诉，最后导致电影无法观看引发不满…影院：系机器故障，已做退票处理
1694314262# #这肉好吃到爆炸
1698649064# #这样的娘们，根本就不会有坏心眼
1702295444# #这下损失老惨了
1691937128# #女子餐厅上班时遭醉汉袭胸后，精神崩溃无法正常生活：调解了三次对方都没出面
1693924824# #谢谢你，战地记者。
1690971879# #保险赔点的事，非要进去蹲几天
1693801231# #被吓了一跳，必须追上去讨个说法。
1690214969# #晚安喽～
1689865428# #这尾灯，这排气，卧……卧槽！
1695957274# #出师未捷，高速都没上去，路口堵俩小时了泪
1702097840# #这是真敢想，真敢干啊…
1694834301# #现在毕业照都这么…………卷了嘛？？这一张收费多少？？？？
1698288487# #我小时候英语就这样学的
1696736400# #看的心疼啊！这小朋友是真疼啊
1696822748# #好家伙这么会玩球，我都不敢这么玩
1691537998# #每天早起打卡早呀
1692945101# #安全员：我是不是摊上事了
1693974764# #这是什么车车？还挺好看
1701523540# #这就是你们的女朋友吗？
1692326049# #早呀～
1692757679# #今天蘑菇吃顶了
1699068694# #这也太吓人了
1696679155# #你这么潮坐奶奶旁边不怕奶奶得风湿？
1696817611# #异地恋就像树叶，不是黄了就是绿了
1702196380# #杂技现代化的正确出路，不然淘汰
1695769283# #每天早起打卡早呀
1693470220# #这位印度的“大师”，踩在牛粪上发功，坚信自己没有翅膀也能飞~
1694753904# #光听声音，就知道很痛
1697152465# #女子在新加坡对护士爆粗口被报警女子被代驾撞了一下，到医院等了三小时未得到处理，来到医院后代驾不知去向，该女子一气之下，到医院护士站爆了一句粗口，随后护士直接报警，导致该女子接受警方调查。
1688773019# #每天早起打卡早上好呀
1702954218# #火灾就是这么来的
1698852660# #一点都不安全，看看咱们的韶关养生赛
1694304371# #好多年没见过这个来村里了，小时候只要一来，绝对得干一天
1691976122# #这可比现在的车型好看一百倍
1690509079# #每天早起打卡早呀～
1691808081# #拍视频这货也是个人才，来回转允悲
1695026200# #你永远不知道中国的拖拉机，极限在哪。
1691749995# #确实强👍欢迎家人们挑战坏笑
1700526187# #扭的真带劲。
1703658058# #好不夸张的说我15岁的时候也和刘亦菲一样年轻
1692580516# #这不比成天抱着手机玩强吗？
1700060799# #晚安喽～宝子们
1696989958# #这是真像0距离观战啊，白车都知道赶紧走。
1700753149# #很虔诚，拿前还给磕一个
1688982976# #惊不惊喜？？意不意外？
1692344360# #这是哪条村的靓仔？
1694231538# #这个真有几把刷子
1690213218# #这个咕噜咕噜是真实的，别人都假的
1691064100# #电三轮：外面冷，走！进屋洗！
1700752092# #本以为是土味没想到是绝味
1691979264# #看图猜车
1703807110# #每天早起打卡早吖～
1688441617# #7月2日，四川绵阳，学生放假打车遭遇涨价，开空调要另收30元。司机：你可以去举报我…
1692277528# #疑因小男孩让老奶奶换座遭拒，男孩声嘶力竭骂人。目击者：很吃惊，后来孩子爷爷上前制止。
1701839382# #爱的魔力转圈圈！
1701154517# #唱的确实不错啊…
1701604721# #这活还得大老爷们儿干
1694864453# #电影名：惊天白日梦
1696947404# #男子驾车逆行遇到正常行驶的车辆竟然直接锁车后下车离开
1701523942# #诸神的童年
1694335391# #什么是鱼子福袋啊
1692948149# #还伸舌头？？？
1694061057# #让我想起了5个轮的飞度了
1694936055# #没点技术的当不了4儿子店的试驾员允悲
1701132076# #每天早起打卡早上好呀～
1692618733# #韩国公交车司机也这么牛吗？
1695969399# #五菱应该是证明了，没有怂车，只有怂人，便宜，敢随便造
1697557655# #四川乐山。未拴绳狗小区门口追咬两小孩后袭击路人，遛狗不栓绳违法，立法已经迫在眉睫了怒
1695872848# #多好的沙雕，可惜是个美女
1689606325# #晚安喽～
1699802444# #晚安喽～宝子们
1702443436# #这是搁这配钥匙呢？
1694873410# #以为是青铜系列
1691151191# #大车司机如果说自己不知道发生了剐蹭，会怎么定性？思考
1701841415# #车都不要了？
1690900207# #虎跳峡这里为啥没有禁止游泳的牌子？
1696247458# #这个奥迪以一己之力让整条高速停了下来
1698766959# #晚安咯～
1703291220# #每天早起打卡早吖
1691742349# #脑子瓦特了？？
1690096536# #会打球的和不会打球的都沉默了
1700995647# #车牌没有螺丝固定，罚款2北
1693737211# #什么情况……
1702111518# #这个是我的最爱舔屏舔屏舔屏
1692352206# #这是在治疗什么？？
1689989731# #每天早起打卡早呀
1692458073# #红色22一直在那干啥？摸鱼吗？
1688801955# #可怜的汤姆被玩弄于鼓掌之中
1692875290# #谁不想有个这样的朋友呢？
1702720009# #怪不得有人说你拍照片用座机拍的
1697709151# #六个月撞了十次！
1697894257# #我还以为他在服装店挑衣服呢
1693889889# #不得不佩服韩国财阀的眼光
1689217507# #这办公电脑有点奢侈啊
1703843830# #非主牛！
1694325028# #沙雕英雄传
1690891595# #什么鱼这么敏感
1701256053# #这球真不错。
1696865608# #晚安啦
1698971365# #太吓人了
1692154248# #百分百让路边搞纳米膜的给骗了
1701355015# #晚安～宝子们
1693031101# #一天三顿酒，原来爱喝酒源头在这里
1694142034# #欺负人还他妹的怂
1698319404# #高低去买一个来跑一圈，就跑我最熟悉的图吧，彩虹岛，刷新一下记录
1689647935# #还是俗话说得好是祸躲不过衰
1703410247# #你这车一看就是高配的，还带风扇
1692605291# #这晾晒几天是不是继续穿？？
1693371555# #最强导播
1688658685# #好样的，就需要你这样的群主
1694669522# #中医博大精深赞
1695363143# #不愧是浴皇大帝直接把浴缸放车上
1703919707# #宿迁沐阳，雾霾天气，多车相撞
1688915243# #晚安喽～
1692798452# #有没有惊艳到你？？
1694014207# #不是说银行有上门服务吗？？
1689816585# #这玩意不是一次性的么
1702482016# #晚安～宝子们
1694095922# #问题是他知道位置，还能随意进出思考思考思考
1693654445# #过减速带都是个坎允悲
1700614667# #每天早起打卡早吖～
1694943358# #这是花钱买的镜头吗？
1690255566# #怕打针和年龄经历无关。我活了三十年，打了无数次针，这会儿你给我来一下，我还是怕苦涩苦涩
1691225328# #真危险，差点掉水里了
1702827860# #晚安喽宝子们～
1703514814# #这么冷库的人，要被打入冷宫吧
1695432739# #环球屎者
1694496539# #他的客户都是些什么人
1698503621# #我也没进去啊，怎么世界发展就把我落下了
1689659996# #这是什么鬼公司？？费解费解费解
1694933006# #谁家小孩👶这么多话呢
1691405664# #津门一手赞
1695028478# #🐮：我他🐴头卡住了还踢
1700407664# #如果跳不过去咋……看到了，谢谢
1692587225# #结婚的时候大屏幕必须循环播放
1693225502# #世事炎凉啊，怎么没人过来帮忙
1696673139# #游客拒乘游船被当众辱骂，“穷酸又没钱，出来旅什么游”
1699666998# #这种女孩子都是谁在谈啊！
1694614484# #小孩都停的比白车司机好
1689226433# #我早就说过，有年轻人在，古筝早晚有一天要离开桌子！
1692594537# #沃尔沃:看到没？我不但有紧急避险，我还有预判避险
1701156477# #这野生大巴车怎么样？
1694612826# #这就是退出中国市场的原因
1699674166# #这人不太好了吧？衰
1698147196# #麻雀虽小五脏俱全
1693064370# #少林寺非洲分寺
1693803291# #咋下面还一群猴子猴孙叫呢
1693922158# #他们看着一点都不快乐苦涩
1701921581# #在火种旁边倒是真的勇啊。
1693446765# #这模仿的怎么样？
1693669742# #我的错，都是我的错
1695980770# #有人生，没人养
1698333509# #下盘估计废了吧衰
1696227217# #不懂就问这就是音乐节吗？
1690637355# #小蜜蜂：每当有邪恶的马蜂入侵，咣之巨人就会来拯救我们
1702543313# #大哥就是大哥，人狠话不多
1690472303# #晚安喽～
1694481653# #脑血栓评级现场？
1702109922# #销冠专属车位
1695638781# #一套门机一套轿门一套厅门赔吧
1701999491# #每天早起打卡早呀～
1702105917# #麻烦叫你父母6点起床打螺丝
1697697904# #男子河边溜禁养犬只被城管发现后上演“速度与激情”
1692770896# #执法记录仪，行车记录取素材，用都用不完
1692591106# #慢步推车你为生活我为工作相互理解
1698153527# #这在跟阎王抢判官笔是吧
1694838464# #善书者不择笔,善炊者不择米
1689946276# #你的媳妇别人抱，你拿手机拍照笑
1693741234# #这是偷东西被抓了吗？
1695342066# #现在都流行这么遛狗的吗
1691073956# #别的不说，这勇气我是真佩服
1695915962# #带帽戴口罩是怕被网暴吗？
