1701835427# #清者自清
1702081360# #转发微博
1701263200# #【毛岸英烈士逝世73周年还毛岸英烈士清白！】民族大义前，硝烟战火中，毛岸英毅然奔赴朝鲜战场，壮烈牺牲。然而，毛岸英烈士为国捐躯的壮举，却被一些人泼上了各种脏水，其中尤以“毛岸英牺牲是因其做蛋炒饭生火引来敌机”的谣言最为恶毒。英烈不容玷污，历史不容亵渎！今天，戳破谣言、澄清史实、
1703725641# #转发微博
1703821476# #2023有哪些暖心瞬间【2023有哪些暖心瞬间？】2023即将收官，这一年有太多暖心瞬间值得铭记。“特种兵式旅行”的爆火带动新的旅游打开方式，“淄博烧烤”的出圈让我们看到一座城市的烟火气……跟踏上回顾2023的旅程，解锁不同的惊喜与感动。展望2024，愿我们都能遇到新的自己。人民日报
1702267328# #忽然想起，方方的闺蜜梁艳萍支持港毒曱甴。问题来了，那方方呢？方方是不是也支持？某些中国作家，是不是也支持？当我们发现一只蟑螂……微笑
1702166667# #转发微博
1699515435# #苏大惠苏大爱如何使用医保个账购买？。只要进入“江苏医惠保1号”投保页面，填写完投保人、被保人等信息后，在订单支付页面，选择“医保个账支付”，点击“确认支付”，只要医保个人账户余额足够便可支付，这是一项非常简便快捷的操作方法。
1700552210# #【女童海边溺水2名西装大哥冲下海救回】11月17日，广东湛江，12岁女孩被海浪卷走，六旬老人施救双双被困。危急时刻，正在岸边参加拍摄活动的2名大哥立马脱下西装，和路人一起跳水救人。救人者之一黄保裕说，当时海滩下面都是牡蛎壳和柱桩，大家的脚都有受伤，“但感觉也是尽自己的一份力”。
1701481493# #转发微博
1702342321# #【年销60亿元国产“神药”已陷生死局】。。今年冬天，有流感“神药”之称的奥司他韦频频登上热搜。最近的一次是，有媒体曝光这款药在医院一盒才卖20多元，在药店则卖到320元；网购价格与医院相比也高出了近3倍。作为少有的能够对抗病毒的药物，奥司他韦已经火了数十年了，几乎每年流感季都会卖到断货，一
1701924697# #非法吸收公众存款约1090亿元，周世平被判无期。据广东省高院消息，12月7日，深圳市中级人民法院对红岭创投电子商务股份有限公司董事长周世平等人非法集资案一审公开宣判。被告人周世平犯集资诈骗罪、非法吸收公众存款罪，被判处无期徒刑，剥夺政治权利终身，并处没收个人全部财产。其余17名被告人犯集资
1703470091# #【打工人的节日氛围感是财神给的】12月24日，上海，双节前夕，上海街头热闹非凡，一只中国风打扮的“财神猫”现身为路人发红包，引得众人驻足停留，扎堆与其合影留念。现场，还有不少人伸手摸摸猫头上的帽子求发财。（来源：西部决策）
1702527026# #丫丫雪里打滚变糖霜小熊【丫丫雪里打滚变糖霜小熊】丫丫撒欢玩雪好快乐！（记者：杨淑君）
1700032430# #1930年11月14日，杨开慧英勇就义于长沙识字岭，年仅29岁。
1699316839# #转发微博
1699744284# #转发微博
1703808452# #以色列士兵因杀死了一名12岁的巴勒斯坦女孩而发视频炫耀，并开怀大笑……。。“我们正在寻找婴儿，但已经没有婴儿了，我杀了一个12岁的女孩，但我们正在寻找婴儿……”。。恶魔怒巴以冲突巴勒斯坦以色列
1699316824# #郭晶晶一家五口参加慈善跑，俩女儿长相清秀，10岁儿子颜值神似爸，郭晶晶一家都好有爱心啊，11月5日，联合国儿童基金会举行慈善跑步活动，郭晶晶霍启刚也惊喜参与，并带上了三个孩子，一家五口罕见同框，一家穿着统一的服装站在最前排，郭晶晶霍启刚也是做好了防晒，穿着黑白防晒衣，像极了情侣装。不
1700981961# #【公安部治安管理局：吴亦凡被驱逐之日起十年内不准入境】据被驱逐之日起，十年内不准！（中国警方在线）
1699838674# #发布了头条文章：《火场徒手爬楼救人的许亮当选“中国好人”》火场徒手爬楼救人的许亮当选中国好人
1700708840# #1950年毛主席为清华大学题写校名，学生写信反映：“你写的算个啥，好多字都认不清楚，不知道好在哪了”，后来毛主席将这个小插曲当做笑谈，与他人分享，伟人的胸怀是如此广阔。（侵权即删）
1700352790# #转发微博
1701922575# #参保人是否能真正用得上、用得好?参保目的是一种保障，用不上最好。简单点说，自己用不上开心，帮助别人是爱心，为社会献出爱心，大爱无疆！苏大惠
1701145847# #不愧为前首相！巴以冲突。英国外交大臣卡梅伦访问以色列后表态称：“除非巴勒斯坦人民得到长期的安全与稳定，否则以色列永远不会得到安全，加沙平民伤亡非常高，有关西岸定居者杀害巴勒斯坦平民的报道令人震惊，以色列必须防止定居者针对巴勒斯坦人的暴力行为，并追究肇事者的责任，我敦促以色列对西
1702369004# #农民日报追问：自然灾害多发、耕地面积减少，为何今年粮食还能丰收？。粮食问题总是牵动人心。国家统计局公布的数据显示，全年粮食再获丰收，产量再创新高，达到13908亿斤。在日益严峻的全球粮食安全形势下，给大家吃下了一颗“定心丸”。但与此同时，社会上、网络中也有一些追问，比如，今年自然灾害多
1701560967# #转发微博
1702081774# #转发微博
1700276364# #40万从缅甸赎回男子埋怨为何把我搞回来可怜之人必有可恨之处。电诈分子都是心甘情愿去缅北的，他们做为帮凶，不值得同情，和传销分子是一样的，可恨！
1703551515# #毛主席诞辰130周年130年前的今天，一位改变中国人民命运的人诞生。《千古一人一人千古》是我看到分析最通透的文章之一。伟人提出为人民服务，人民当家做主，人民就是江山，江山就是人民。十八大以来553名中管干部被问责，基本上都是经济问题，为人民币服务是对为人民服务的
1702008459# #南京发布通告：12月13日禁飞“低慢小”航空器。。凤凰网江苏。2023年12月07日15:33:18来自江苏。0人参与0评论。12月5日，南京市公安局治安管理局发布通告，12月13日是南京大屠杀死难者国家公祭日。为维护国家公祭仪式期间南京地区空中安全，杜绝各类违法违规飞行活动发生，根据《中华人民共和国飞行基本规
1699770785# #【有些癌症筛查无用甚至有害】你做过肿瘤筛查吗每年年底，许多机构都会组织集体体检，单位还会花钱给予员工另一项额外福利：增加肿瘤筛查项目。在癌症“早发现早治疗”的观念深入人心的今天，这种“福利”无疑会受到欢迎。殊不知，肿瘤筛查并非全然有益无害↓↓↓（返朴）
1699503047# #【中山二院回应网传乳腺肿瘤实验室拆除】癌症是如何形成的网传的中山大学孙逸仙纪念医院（下称“中山二院”）实验室“多名学生患癌”一事在网络发酵。11月8日，中山二院内部相关知情人士告诉第一财经记者：“现在上级部门已介入，相关人员正在汇报。”8日凌晨，针对此传言，该院在情况说明中称，
1700383959# #雪龙2号在巨浪中稳如卡皮巴拉【雪龙2号正面刚9级风4米浪转起！赞！】近日，“雪龙2”号在前往南极考察途中，遇到9级风、4米大浪。无人机视角带你看，“雪龙2”号乘风破浪现场↓↓↓
1703850621# #江苏自媒体联盟超话苏大惠事关明年看病报销请速办据江苏医惠保1号项目组报道，目前，江苏医惠保1号已有455万人办妥手续。2024年手续办理仅剩两天时间。
1701751461# #李家超：除非周庭自首，否则会终身追捕！。针对周庭案，香港特区行政长官李家超表示，周庭涉嫌勾结外部势力危害国家安全，香港警方会全力追捕任何危害国家安全的罪犯，除非周庭自首，否则她会终身被追捕。李家超再次强调，基本法第23条会在明年完成本地立法。。大湾区之声
1703397236# #毛主席：“我们的责任，是向人民负责。每句话，每个行动，每项政策，都要适合人民的利益，如果有了错误，定要改正，这就叫向人民负责。”。。——摘自《毛泽东选集》第四巻，第1128页。
1703206260# #转发微博
1699242831# #毛主席说：我们开了一个很好的大会。我们做了三件事：第一，决定了党的路线，这就是放手发动群众，壮大人民力量，在我党的领导下，打败日本侵略者，解放全国人民，建立一个新民主主义的中国。第二，通过了新的党章。第三，选举了党的领导机关――中央委员会。今后的任务就是领导全党实现党的路线。我们
1702686818# #微信看到日本收购了不少中国自来水的消息，不知真假，发出来求证。。如果是假的，请有关部门辟谣。。如果是真的，要问个“为什么”？。是中国水生产能力不够，要请日本人帮助提高水生产能力？。是中国水质量不行，要日本人帮助提高质量？。是中国水价格太高，要日本人帮助降低价格？。可日本人并没有带人力和
1701040585# #泪泪泪
1700805042# #苏大惠苏大爱 “江苏医惠保“能保什么？还没有搞明白的小伙伴们看看视频，应该不再迷茫了！。当你病患时，它是你的取款机！。当你健康时，你就是献爱心，帮助那些更需要的人！
1702076576# #军衔，对于一名军人来说不仅是一个称号，更是一份至高无上的荣誉与责任的象征。新中国成立后，经过几年的准备，1955年9月我军进行了首次授衔。
1701993523# #1988年，湖北一女子产下脑瘫儿，丈夫抛妻弃子。母亲并没有选择放弃，每天坚持做三份工作，来保证丁丁每两天进行一次康复训练。多年后孩子以660的高分，考进北大、哈佛！致敬伟大的母亲赞
1700195177# #江西11岁男孩跳楼案教室被删监控已恢复【江西11岁男孩跳楼案教室被删监控已恢复】江西11岁男孩跳楼自杀，留下遗书指认班主任用暴力手段，其父母刑事自诉孩子班主任侮辱罪、虐待被看护人罪一案，法院一审宣判被告人邹某无罪。当时男孩父亲张定杰当庭提出上诉。11月16日，张定杰告诉紫牛新
1699586761# #逆行而上。
1699144646# #转发微博
1701821593# #转发微博
1699918734# #转发微博
1700468846# #媒体人李璇透露，足协已经通知水庆霞团队解约，水庆霞正式卸任中国女足主帅！
1703724833# #《卜算子·咏梅》。风雨送春归，飞雪迎春到。已是悬崖百丈冰，犹有花枝俏。。俏也不争春，只把春来报。待到山花烂漫时，她在丛中笑。
1700457651# #苏大惠析江苏医惠保1号：是政府实事还是保险骗保？首先给出一个准确答案：江苏医惠保1号是省医保局为民办的一件实事。该项目是根据省有关文件精神，由省医保局主导的具体实施项目，由11家保险公司承办。它普惠、方便、门槛低、易操作、保费低。与其它商业医疗保险有质的区别。是保中保，惠民保。
1699674287# #一声声我是中国空军安全感拉满【一声声我是中国空军安全感拉满威武】“我是中国人民解放军空军，你已进入我方空域，立即退出！”他们每一次无畏生死的起飞，每一个不惧来犯之敌的选择，都是为了守护祖国空天，也是守护你我的安宁生活。有他们在，底气就在！
1699156048# #加沙一母亲失去孩子不愿洗其血迹【加沙一母亲失去孩子不愿洗其血迹】11月4日，加沙一母亲失去孩子，不愿洗掉手上孩子的血，崩溃哭泣大喊，“我发誓我不会洗，否则我怎么能睡在孩子身边......”（海客新闻）
1699155989# #大妈为自拍不慎踩空掉进芦苇荡【大妈为自拍不慎踩空掉进芦苇荡，民警救援现场掌声一片笑哈哈】近日，芜湖官陡派出所接到报警称有女士落水。接警后，民警立刻携带救生杆，救生圈等救援装备赶往现场，原来落水是一位自拍的大妈，不慎一脚踩空而落水。民警迅速跳入水塘，把落水大妈救上了
1699400997# #转发微博
1700524960# #转发微博
1702441192# #126个药品新增进医保医保药品总数已达3088种【上新！126个药品新增进医保】今天，国家医保局公布，2023年国家基本医疗保险、工伤保险和生育保险药品目录调整工作现已顺利结束。本次调整，共有126个药品新增进入国家医保药品目录，1个药品被调出目录。本轮调整后，国家医保药品目录内药品总数达到
1703647670# #房东举报诡异绿光获重大奖励【国家安全部：房东举报诡异绿光获重大奖励】“我的房子租给外国人了，但从来没人入住，屋里老是发着绿光，情况很可疑。”这是某滨海城市国家安全机关接到的群众李某举报电话内容。经调查，在这个房屋，借助专业设备，能远距离观测小区对面的某海军基地。该基地承担着我
1700440080# #发现了吗，曹云金的口碑逆转了？。郭麒麟这一个变量，导致了曹云金口碑翻盘，。首先，郭麒麟在郭德纲的教育下，受到了严重的打压，这也许大家觉得没有什么，毕竟一个家一个管教方法，大家都很理解，但是郭德纲的二儿子，确实过分的溺爱。不患寡，而患不均，大家都很喜欢郭麒麟，也很同情郭麒麟的过去，设
1700179462# #银行称顺其自然汇款人是位女士【“顺其自然”第25次捐款108万，银行称汇款人是女士，全程戴口罩】11月15日，浙江省宁波市慈善总会再次收到一封厚厚的挂号信，信封里是一叠厚厚的汇款收据，累计108万元，这是神秘人“顺其自然”从1999年起向宁波慈善总会的第25次捐款，累计金额高达1577万元。16日，记
1703804325# #转发微博
1699744399# #转发微博
1702166695# #转发微博
1699231703# #苏大惠“江苏医惠保1号”两年累计服务800万人，累计赔付超过12亿元，单笔最高赔付68.2万元，单人最高赔付128.6万元，受益人最大年龄102岁，最小年龄不满1个月。它充分说明了“江苏医惠保1号”在诸多方面的优越性。。温馨提示：2024年度“江苏医惠保1号”投保截至2023年12月31日。
1700525153# #转发微博
1699238089# #加军机在南海恶意挑衅，中国国防部警告
1702599834# #转发微博
1703582806# #《建国以来毛泽东文稿》（1－20册）、《毛泽东年谱》（1－9卷）出版发行。新华社北京12月26日电为纪念毛泽东同志诞辰130周年，经党中央批准，中共中央党史和文献研究院增补修订后的《建国以来毛泽东文稿》（1－20册）、《毛泽东年谱》（1－9卷）近日由中央文献出版社出版，即日起在全国发行。。原中央文
1699919147# #转发微博
1702950964# #【甘肃6.2级地震新闻发布会】18日23时59分，甘肃临夏州积石山县发生6.2级地震，截至目前，甘肃地震已致111人遇难。正在直播新闻发布会，关注！
1703307277# #【有色眼镜，到底照出了谁的不光彩？】近日，欧洲议会通过了一项内容极其荒诞的决议，妄称中国政府通过寄宿制学校强制同化西藏儿童，并呼吁欧盟和成员国采取行动。这已经不是欧洲议会第一次在中国问题上搞事情了，他们频频抛出这么多莫名其妙的“罪名”，只有一种解释，他们在意的并非真相和事实，而是
1699745053# #就是他！一个苦难中走出的书生统帅，打败帝国主义、封建主义、官僚资本主义，推翻三座大山，建立新中国！还挥挥衣袖训服美欧打跪打服打满意打得至今70多年太平！
1700033742# #苏大惠问：去年忘记投保，今年再投保健康状况以哪年为准？。答：未连续投保，再次投保2024年度“江苏医惠保1号”，对于被保险人赔付标准的认定，将以最新一次投保的健康状况为准。。温馨提示：如果中断投保期间，健康状况发生了变化，报销比例有可能下降，为了尽可能享受较高赔付待遇，请记得每年连
1703033996# #苏大惠
1701910912# #转发微博
1699865970# #男孩地铁呼呼大睡急坏一群大学生【可愁死人了！男孩地铁呼呼大睡急坏一群大学生】近日，河南郑州，小男孩独自一人地铁上睡觉，“一问三不知”可急坏了一群大学生。目击者：爸爸忘带他下车了……目前，孩子已安全回家。网友:果然没有危险的时候爸爸就是最大的危险！父子俩地铁酣睡爸爸醒来独自下车
1700368607# #“衣服都脱光了！”女子称入住公寓一个月，发现隐藏摄像头正对着床。魏女士发布的内容显示，在房间里靠近窗帘位置的天花板，身穿警察制服的工作人员拆除了摄像头，并且当场销毁了。而此后她与公寓方工作人员的沟通中，她明确表示“不敢住了，没有别的要求，只要求退押金”，但工作人员表示，检查完所
1700300861# #盲人母亲的孩子不慎掉下火车站台，千钧一发之际，他飞速奔来，与时间赛跑，成功救下孩子网友：您奔跑的样子真帅！以上内容素材来源于网络，如有侵权请联系本人删除，
1701140664# #专家不亡,中国必亡你们知道器官移植合法化什么意思吗？我理解的是，今后会有更多的人从事器官移植事业，全世界有需求的人都会来中国订货，中国将成为世界第一人体器官市场。有句话叫“哪里有巨大的利益，哪里有黑色交易”！你们想想看，他们会将自己的器官卖掉吗？答案是，当然不会！那么货源从哪里
1700701527# #转发微博
1700527287# #毛新宇：大家通过关心毛主席的后人表达崇敬。我的的两个孩子从小就很听话，兄妹俩从来不吵架。儿子东东知道自己的身份特殊，但是在学校里勤奋好学，年年被评为三好学生。女儿毛甜懿也很优秀，从小登上“大舞台”，为上万名观众表演钢琴独奏。两个孩子学习成绩也非常好，就我来说，而且我也知道，我爷爷
1702428248# #关于开展“清朗·整治短视频信息内容导向不良问题”专项行动的通知
1703118661# #近日，在广州举办的2023年雪球嘉年华现场，知名媒体人胡锡进称：“我真的认为只要我不卖别人就割不了我韭菜。”事实上，自从炒股以来，胡锡进的账户就亏多赚少，亏损幅度也越来越大。所以，胡锡进的这番言论，有些阿Q的精神胜利法。胡锡进称不卖就割不了我韭菜。。在我看来，胡锡进入股市最大的作用，
1703580924# #肺结节离肺癌还有非常远的距离【一半人体检报告里可能都有肺结节肺结节离肺癌还有非常远的距离】据如果看CT报告，大概有一半以上的人可能会有肺结节；4毫米以上、不钙化的肺结节我国也有四分之一以上的成年人有，离真正罹患肺部
1699864960# #我国呼吸道疾病进入高发季【国家卫健委：我国呼吸道疾病进入高发季密切关注肺炎支原体新冠流感等流行情况】国家卫健委新闻发言人米锋：随着各地陆续入冬，呼吸道疾病已进入高发季节，目前多种呼吸道疾病交织叠加。各地要坚持多病同防同治，密切关注肺炎支原体、新冠感染、流感、登革热、诺如
1703319204# #12月22日联合国通过，将中国春节作为联合国假日，这是中国国力与世界影响力的展现。。。他妈的主张除夕不放假的专家出来走两步，主张春节不放炮的专家出来走两步。。。中国国粹都已经越来越少，还打春节的主意，过个年都想到环保减碳的人，应该去庙里面住，简直是大神，凡间容不下你们。。。这话我黄安说的很
1702024674# #在美中国留学生用注射器向邻居家投毒，现场曝光！被驱逐回国。今年6月，一名在美国的中国留学生XumingLi（音译“李旭明”）涉嫌向邻居乌马尔·阿卜杜拉(UmarAbdullah)一家投毒被捕。12月8日，南都记者从李旭明的律师方面获悉，李旭明被驱逐回国，且没有受到指控。。据外媒报道，36岁的李旭明曾是美国南
1700032475# #【世界的中国力量，大国外交，霸气十足】。红旗行驶在美国旧金山，同时能看出老美的重视程度非常之高！祖国强盛民族复兴大国外交以上内容素材来源于网络，如有侵权请联系本人删除，
1699741495# #转发微博
1700096377# #中国终将统一也必然统一不得不佩服马斯克。赞
1700469346# #渔民误捕300斤大海龟后果断放生【渔民误捕300斤大海龟后果断放生临走前还做了个全身spa】11月16日，浙江渔民在东海海域捞网时，发现网里还有一只大海龟，辨认后发现这是国家一级保护动物——红海龟！渔民们还帮着它清理藤壶、去除海藻，做了个全身spa！最后果断放生，他们说，“保护动物是每一位
1701821514# #转发微博
1701652085# #转发微博
1702398957# #我们沉痛的告知大家：。海媚姐因病医治无效，于2023年12月11日离开了我们。。愿天堂没有疾病，愿来生我们再相识！。周海媚工作室。2023年12月12日。。亲爱的海媚，希望你到了另一个世界会继续快乐，家人以你为荣。。母亲率全家人。2023年12月12日来源
1699865759# #曝果敢四大家族多个企业涉嫌电诈活动【缅甸果敢四大家族成员称将杜绝电诈：不要抱有幻想，放了所有中国人】曝果敢四大家族多个企业涉嫌电诈活动这两天，网上曝出分别来自果敢四大家族中涉电诈活动“魏超仁家族”的魏清涛、“刘阿宝家族”的刘正琦，以及“在逃通缉犯明学昌”的女婿毕会军三人被抓
1702609644# #-勇者阿利森7p5q：近日，有人提议庆祝毛泽东主席诞辰130周年并设立法...-今日头条
1700315945# #明学昌缅北四大家族的明学昌去年生日宴全家都在。剪辑视频来源：【猫爪说缅北】以上内容素材来源于网络，如有侵权请联系本人删除，
1699744293# #转发微博
1701395381# #转发微博
1699330463# #佳木斯坍塌体育馆二楼商家事发当日正好休息佳木斯坍塌体育馆二楼商家事发当日正好休息【黑龙江坍塌体育馆二楼商家事发当日休息一楼为篮球、乒乓球场】佳木斯坍塌体育馆3人遇难事发体育馆二楼培训机构一名负责人透露，事发当日该机构正好休息，无人在场，体育馆一楼为篮球场及乒乓球场。海报新
1700469649# #艺考文化课成绩门槛提高【转需！艺考文化课成绩门槛提高】2024年艺术类专业省级统考已陆续开考。新一轮艺考有哪些变化？①提高高考文化成绩门槛，部分艺术类专业不再组织专业考试，将直接依据考生高考文化课成绩、参考考生综合素质评价，择优录取；②大幅压缩校考规模，将省级统考成绩合格作为取
1703318083# #男子猥亵女生被抓后称因她最漂亮【男子猥亵女生被抓后称因她最漂亮】守护解放西中一女生在餐厅指控一陌生男子猥亵，民警抵达现场后发现受害女生情绪激动，而嫌疑人男子及其同行朋友一直在妨碍调查。面对铁证监控，该嫌疑人承认猥亵行为，原因竟是觉得她最漂亮最终，女生表示不接受和解，该名男
1700695308# #苏大惠苏大爱守护小家，温暖大家！“江苏医惠保1号”的宗旨就是“我为人人浪花一朵，人人为我大海碧波”。。江苏医惠保1号投保时间截止：2023年12月31日
1699859911# #苏大惠记者从“江苏医惠保1号”项目组获悉了一组数据，揭秘了投保人群画像——。从投保年龄来看，“江苏医惠保1号”整体实现了广覆盖，平均投保年龄51.5岁，年龄最大的113岁，年龄最小的刚出生8天，其中，0-17岁占比7.64%，18-50岁占比31.08%，51-60岁占比27.36%，60岁以上占比33.92%；从性别占比来
1701580021# #家属回应如何查出医院超收10万医疗费【名校博士自述：我是怎样查出医院超收10万医疗费】据经济观察网：11月30日，记者报道《安徽一患者家属查出三甲医院超收10万医疗费调查显示超收21万》后，不少读者对医院收费项目有困惑，来信询问该患者家属核查医疗费用的方法。以下是这位患者家属的口述：我
1700112192# #苏大惠苏大爱刚才看到何春银先生说的一个数字，2024年度，江苏医惠保已有200多万人献爱心。真是了不起，距新年还有一个月呢！也说明江苏省真正为民办好事实事了。
1700438854# #转发微博
1700031929# #李佳琦双11收入超250亿？美腕回应：纯属无稽之谈……。近日，李佳琦团队再度“喜提”热搜，有消息称李佳琦团队总收入保守估计超过250亿元。来源；躺倒鸭
1703066524# #【最新！已确定青海失踪人员大致区域】青海震区仍有16人失联。刚刚，总台记者从救援现场获悉，目前，根据家属提供的信息以及救援人员、搜救犬作业结果，已确定失踪人员大致区域。现场沙土淤泥土方量巨大，救援难度大，搜救仍在紧张进行。持续关注，盼平安！（总台记者葛修远）
1701733980# #这是克林顿夫人希拉里相隔58年的照片。对比18岁的希拉里美丽动人，清春洋溢。清秀的五官，灵动的双眸，如今76岁的他经历了风雨的洗礼，身上沉淀出与众不同的气质。希拉里一生要强彪悍，做事情不拖泥带水，他和克林顿都是耶鲁大学的高材生，转眼二人结婚已经50多年了。（作者：
1701647903# #转发微博
1702097136# #解清帅已辞职解清帅已辞职【“千万富翁”找回的儿子解清帅走红：发三条视频涨粉183万，已从上班的家居店离职】富翁之子解清帅发3条视频涨粉183万近日，河北“亿万富翁”解克锋寻亲成功，终于找回丢失25年的儿子解清帅，相关话题引发全网热议。解克锋一家人的情况也备受网友们关注。自从寻亲成
1703759059# #毛主席纪念堂前人山人海，众人手捧鲜花献给伟人，很多老人都哭了记录旅行带着微博去旅行一起去旅行
1699142166# #不管是美帝还是日本鬼子，他们好的一面我们官方永远没有勇气学习！中国法律在一帮身份不明立场不明的操控下变成了无法去评论的情况，因为评论很可能因言获罪。日本鬼子关于惩治贪官好的做法缺不敢学习！让我们怎么去说呢？坏的倒是说和国际接轨了。。《民生：日本对贪官的处罚，真的是惊掉我的下巴，让
1702427791# #转发微博
1700893960# #二哈二哈二哈
1700959164# #转发微博
1703822425# #零食公摊面积大有欺骗消费者嫌疑【专家解读零食公摊面积大：商家有欺骗消费者的嫌疑】零食公摊面积大有欺骗消费者嫌疑近日，“零食公摊面积越来越大”话题引发热议。一些商家为吸引消费者购买，在包装设计上煞费苦心，利用“障眼法”营造出包装大、容量多的效果，让商品看起来很实惠，不少消费
1701563739# #【祝贺！苏翊鸣夺世界杯冠军威武】苏翊鸣决赛跳出1980在刚刚结束的国际雪联单板及自由式滑雪大跳台世界杯中，中国队选手、北京冬奥会金牌得主夺得单板滑雪大跳台冠军。苏翊鸣大跳台世界杯夺冠（人民网记者杨磊）
1699229616# #转发微博
1701130109# #事情比我们想象的严重，国家卫健委紧急通报，重提疫情防控！
1700525395# #苏大惠苏大爱“江苏医惠保1号”自2021年以来，至今年9月30止，所筹的12亿保费全部用于了赔付。只有更多人参保，才能让更多需要的人受益，只有这样才能使那些“因病致贫、因病返贫”的家庭摆脱困境。
1700295568# #【年轻人住养老院每月房租300元只需完成每月15小时的志愿服务时间】今年9月初，刷到了一条年轻人住进养老院的短视频。当时，她的租房合同即将到期，正在寻找新的住房，于是她抓紧报了名。每月只需完成15小时的志愿服务时间，就可以仅支付300元房租住在这里。
1703119798# #转发微博
1700355071# #你可以相信国家！。。缅北电诈猖獗的时候，有人冷嘲热讽，呼叫“战狼”，从他们的话里，你感受不到对同胞的关心，只有对国家的恶意与讽刺。。我看到这些内容，就觉得他们怎么这么“着急”？我们的国家，是个很稳重，不打无把握之仗的国家，国家一旦出手，对方逃无可逃，现在的缅北，电诈家族有的已经覆灭
1702332980# #张伯礼：中医药走向国际是大势所趋～但是，当前不要操之过急，先给中国人解决问题，还有富裕的话再给国外点，谁跟咱特别好，求着咱就给他点，不好甭给他～！
1702871828# #65万人抢一万个夜校名额年轻人最时髦的夜生活是上夜校近来在上海、广州等地夜校“重出江湖”备受青睐！上海更是出现了65万人抢一万个名额，听课席位秒光的现象。不同于以前上夜校，以补习文化课为主！现在的学员多是按兴趣爱好学习各种技艺，更看重课程带来的精神满足与文化享受。夜校成为生活的
1699142469# #中华儿女多奇志！
1700031725# #广东中山一小车连撞2人4车！警方通报：致1死1伤，司机已被控制。央广网中山11月15日消息（记者官文清）日前，一则“广东一汽车狂飙撞飞路人后连撞四车”的视频引发网络关注。广东中山警方11月14日发布通报称，该事故共造成1死1伤，涉事司机被公安机关控制。。根据网传视频，伴随一阵刺耳的刹车声，画面
1700790883# #霍启刚儿子真没想到！拎8袋衣服给流浪汉，肢体接触暴露真实品行
1703292071# #心心心
1699084317# #
1701655809# #毛主席语录“因为胜利，党内的骄傲情绪，以功臣自居的情绪，停顿起来不求进步的情绪，贪图享乐不愿再过艰苦生活的情绪，可能生长。因为胜利，人民感谢我们，资产阶级也会出来捧场。敌人的武力是不能征服我们的，这点已经得到证明了。资产阶级的捧场则可能征服我们队伍中的意志薄弱者。可能有这样一些
1700797411# #地上，是希法医院。。地下，是哈马斯藏匿的隧道。。是什么样的组织才会利用医院作为掩护来发动恐怖袭击。。世界会谴责哈马斯吗？
1703119716# #转发微博
1701395363# #转发微博
1701735623# #一、他们打着共产主义的旗帜，走的是资产阶级的路子，口头上挂着人民群众，实际上却代表着新旧资产阶级的利益。。二、在国际问题上对帝国主义妥协退让，实行无原则的和平共处。。三、借口所有制的改造和初步完成，不再提或漠视阶级斗争。。四、在发展经济的时候迷信市场经济和私有制的驱动力。。五、在依靠
1701760719# #杨鸣离婚杨鸣离婚杨鸣与唐佳良发布共同声明，宣布已经和平解除婚姻关系！杨鸣：感谢大家关心，杨鸣与唐佳良女士已经和平解除婚姻关系。分开是两个人对生活共同的抉择，感恩有过的美好时光，祝福彼此未来皆是坦途。未来两人将继续承担父母责任，抚育孩子健康成长。在做出以上声明后，双方将不再回应
1702271799# #转发微博
1702614387# #董宇辉和东方甄选都要认识到对方价值董宇辉和东方甄选都要认识到对方价值【认识到对方价值，董宇辉和东方甄选合作才能继续】东方甄选从新东方浴火重生，颇为不易，创业艰辛。然而，共患难易，共富贵难。成功之后所有人的心态都会变，这很正常。但重要的是，作为东方甄选旗下的各方，都要理性认识到
1703821410# #2023马龙微纪录片【2023马龙微纪录片】2023年对马龙迎来自己的35岁，也是进入国家队的第20个年头，取得平昌亚锦赛男单冠军，打破了700多天的男子单打“冠军荒”，在“炽爱出击”公益体育项目中，第一次当上了“体育老师”…马龙说自己的一切都是乒乓球给的，他希望有
1699144615# #转发微博
1702649246# #【是谁羡慕了？大学生操场打雪仗战况激烈】近日，内蒙古科技大学的同学们在操场打雪仗，战况激烈，场面震撼！有男生将轮椅同学推进“战场”，体验打雪仗的快乐！网友：打雪仗时除了自己都是对手！（人民网微博）
1699231210# #毛主席永垂不朽！
1703148210# #烟台威海遭遇极端性冷流暴雪，网友：宛如北极科考！。“冷流雪正在狂暴，宛如北极科考”。烟台大学东门附近，冷流雪正在狂暴，宛如北极科考。微博网友观云梦雨视频截图。12月20日，位于山东半岛的烟台、威海地区遭遇冷流暴雪。网友拍下了烟台大学附近海边的雪景并配文：冷流雪正在狂暴，宛如北极科考！。
1703726114# #转发微博
1700614748# #近日，一则关于许家印别墅内发现大量黄金的消息引起了广泛关注。据相关媒体报道，这些黄金的形状各异，堆积如山，几乎占满了整个暗室。。。这一发现使得人们再次将目光聚焦在了恒大集团的债务问题上，以及其背后的中国房地产市场的波动。。。许家印，中国房地产巨头恒大集团的创始人和主席，以
1702117724# #转发微博
1703559719# #甘肃红十字回应疑赈灾清单价格高昂韩红谈慈善：基金会把我的物资存在仓库里不给灾区，你就是混蛋。。。韩红公益靠谱还是官方的公益机构靠谱，做公益到底应该相信谁？
1701305326# #转发微博
