1700519487# #开了三年还无法收本，那一定会倒闭！
1696820188# #我发表了头条文章:《曾国藩的故事（17）》
1701646626# #1940年，关家垴战场上的彭老总。在前线上不可能摆拍，况且彭老总那性格也不会让你在前线上给他摆拍，所以，这是抓拍老总举起望远镜观敌瞭阵的瞬间！摄影：徐肖冰。
1698185154# #“你们知道，我是主张抗美援朝的，我自己有儿子，我不派自己的儿子去，又能派谁的儿子去呢？”
1703566817# #从官方对毛泽东评价的细微变化，能够看出来，官方对毛泽东的看法也是在不断的深入中。
1698762032# #看了中国工业设计之父，清华大学教授柳冠中的视频，说的非常好。不要对美国抱有任何幻想了，美国的上层逻辑已经很清楚了…。。
1695781027# #视频来了，阿斯玛被摸脸是有感而发，情不自禁，而且还是位大妈，如果这位大妈60多岁了，摸摸“女儿”脸，稀罕稀罕还是可以的哈哈
1701867202# #毛泽东的表兄叫文涧泉，50年代初，这个表兄来到了北京，住了一个多月，见主席为好多乡亲制作了衣服，于是就要求主席也给自己做一件衣服。毛泽东摇摇头说：平均每人只有一仗多布票，哪有这么多布呦。后来，毛泽东把自己的一件旧长袍给了表兄。表兄要回家了，临走时对毛泽东说：我汽车，火车，轮船都坐过
1693397547# #有网友说，中超公司自成立以来，6任董事长全部被查！
1695325987# #1949年12月，毛主席与孙维世在莫斯科，孙是毛主席的俄语翻译。孙维世是烈士孙炳文的女儿，天资聪颖，活泼美丽。
1687935319# #曝李铁被正式逮捕，移送看守所。
1690285801# #朝鲜停战70周年，中方应邀派高级别代表团访问朝鲜。
1696474245# #我发表了头条文章:《听喻大华讲咸丰是怎样一位皇帝（9）》
1695936477# #我发表了头条文章:《黄仁宇眼中的中国大历史（6）》
1701125025# #邓颖超曾坚决支持安乐死。。1987年，中央人民广播电台新开了一个综合性节目《午间半小时》，作为从小就离不开收音机的邓颖超来说，第一期就被吸引住了。正是在这个节目里，邓颖超第一次知道了安乐死这个概念。之后她给节目组写了一封信：今天你们勇敢的播出关于安乐死的问题并希望展开讨论，我非常赞成
1704154054# #霸气、锐气、智慧、慈祥于一身的毛主席。。对人民，他尽显慈祥；对敌人他霸气十足；对坏事他锐眼识别；对复杂局势他用智慧掌舵。
1687160133# #日军全面侵华时，由日方记者拍摄的真实历史影像。
1702031329# #同感！无纸化就是放屁脱裤子！
1691743503# #老伴侃侃而谈，老伴静心聆听。
1687302615# #特里尔眼中的毛泽东（28）。。毛泽东坚持主张，他的部队要尊重部落民。即使对喜欢强取豪夺的倮锣(一个彝族部落)，红军也要为得到的每一只鸡和每一两粮食付给他们银元。”这是由于毛泽东真诚地相信，少数在旧中国受尽欺凌，在即将建立的社会主义中国，他们应该成为完全平等的伙伴。。毛泽东评估了一下情况
1693959959# #历史确实无法弥补，但错判案的法官是否也应当被判刑呢？一个人没了就没了？
1704061150# #1958年9月16日凌晨五点，毛泽东南下视察到达安庆，曾希圣、黄岩省长坐船来接。经商量，为了满足群众见主席的愿望，决定让主席跟群众见面。但考虑到这样容易使群众知道主席的住处，群众一定会早晚站在门口等待见面，甚至欢呼喧嚷，这样势必会影响主席的休息，于是作罢。。到了主席住处，曾希圣他们刚坐下
1700744041# #志愿军忠烈们，你们听到了吗？你们回家了，知道吗？
1698659766# #95岁志愿军老兵当年跟美国鬼子拼刺刀，一个人捅死七个美国鬼子。
1704190674# #我发表了头条文章:《毛主席点评二十四史（7）》
1687131568# #三面旗，苏联旗帜最好看！
1703502673# #大概有三年的光景了吧，这个破洋节冷清的狠！哈哈哈哈哈哈
1698672033# #百岁飞虎队老兵在中国度过103岁生日🍰
1701856178# #1987年，里根会见邓朴方。
1703913528# #我发表了头条文章:《毛主席点评二十四史（2）》
1693087014# #给这位韩国记者点赞！
1696031994# #我发表了头条文章:《临危受命的丘吉尔（32）》
1699805506# #乍一看，我以为老挝总理是在坐着，心生纳闷，打开图片才看出来，感情也是站着允悲
1694528661# #终身监禁，很淡定，还有不忿的表情在里面。
1694885401# #我发表了头条文章:《临危受命的丘吉尔（20）》
1689425040# #1983年12月28日，杨振宁向邓小平建议，要在15-18岁的少年中开展软件教育，得到了邓小平的重视。
1698132485# #就巴以冲突，奥巴马罕见表态。
1691755660# #没有军衔的邓小平。
1691571667# #安个监控就能制止了？办法多的是允悲
1701137462# #我发表了头条文章:《宋美龄身边随员口述:一个真实的宋美龄（23）》
1699423100# #吉林住建局不让老百姓借用其厕所。。这个问题是这样：如果你内急，要么，你正在办事机构办事，顺便上趟厕所，这个一点问题没有！要么，你就近寻找比较大的机构，比如社保大楼这样的办事机构（老百姓去办事的特别多），没把门的，你进去就找厕所，这个也一点问题没有！就怕你去的地方小（内部厕所），或
1694062700# #我发表了头条文章:《依靠政变发迹的路易.波拿巴》
1692056498# #沈醉回忆录战犯改造所见闻（42）。。陈士章，国军第二十五军中将军长，是淮海战役中漏网的大鱼，福建解放时，才被活捉的。像他这样漏网后又落网的，在战犯中虽不说是绝无仅有，但也能肯定是凤毛麟角，为数极少的了。。。我和这位同学不但有过同小组共大铺之谊，还有过同病相怜住过一间病房之情。。。今年（19
1695018157# #看哭了，向志愿军老兵致敬，后代应该吃的苦都让他们给吃完了泪
1700050852# #周总理与六位第一批被特赦的国军战犯合影。你知道都是谁吗？。从左至右:1、黄埔五期生，抗日名将，国军第49军中将军长。2、黄埔一期生，抗日名将，国军14兵团司令。3、黄埔一期生，国军中将司令。4、黄埔军校武汉分校七期生，抗日名将，国军86军少将军长。5、黄埔一期生，徐州剿总副司令，陆军中将。6
1690965547# #为什么不收费？
1695173970# #地球人总喜欢用地球的环境去寻找外星人，。如果有一种外星人不需要氧气和水，而他们的知商也可能比地球人高或低于地球人，他们也可能长的三头六臂，他们也可能不吃粮食，无际的宇宙有人类意想不到的事情，走出地球人的思维方式去摞索宇宙才是王道。
1693961004# #毛主席在1961年写给胡乔木的信，随便一写就是上乘的书法作品！goodgoodgood
1703894599# #1964年10月16日，中国西北的大漠深处，一项代号为“五九六”的庞然大物在宁静而神秘的大漠夜幕中被缓慢地升到一百多米的铁塔上，这就是中国自己的第一颗原子弹。经过三年的研制，它将进入最后的发射阶段。。铁塔顶端的技术人员紧张地进行着最后调试。他们有条不紊地把仪器的指示数都记录下来后，迅速撤
1702106013# #我发表了头条文章:《身残志坚的罗斯福（结束篇：未完成的画像、罗斯福年谱）》
1687144702# #都是强调升学率惹的祸
1703739196# #12月27日，毛新宇携家人来到韶山，怀念祖父。湖南省委负责人陪同。曾孙毛东东高大帅气，成熟稳重，坚定自信。参加纪念活动的人神情庄重，若有所思…。
1693785713# #章孝严回归姓蒋时已63岁了。他说，为了给母亲讨回公道。从门外走进门里，我花了60年。虽然进门时几乎空无一人，但心里还是充满了喜悦。因为自此之后，我的孩子，以及他们的孩子，都不再徘徊在门外而饱受风霜了。。如今，蒋万安从政，可以理直气壮，理所当然的姓蒋。他不用再为了解释自己的身份而遮遮掩
1693655356# #歼20飞行员回顾护航志愿军烈士回家，讲到动情处，潸然泪下。
1701923723# #孔东梅在自己的书里是这样描述外婆出走的原因和后来外婆的反思的：。“外婆也对自己出国另外一个原因-﹣夫妻矛盾做了认真的反思。她认识到自己不该伤丈夫的心，这是指"从此诀别"事件﹣﹣外公和老战友曾志提过此事：她坚决要走，我留不住，就派勤务兵去追她。勤务兵听我的安排，不让她走，她就写了"从
1693731192# #非洲刚果踏板车，神一样的存在。
1696667582# #溥仪的结婚证书
1698221672# #语气平和，铿锵有力，底气十足！
1694425371# #钓鱼岛是中方固有领土，将其纳入版图理所当然，不接受任何反驳！
1690338186# #坚韧不拔的戴高乐（28）。。经过商议，墨菲与朱安决定打电话给达尔朗，请他马上到他们这里来。在凌晨还不到两点钟的时候，朱安将军打电话唤醒了达尔朗，声称有要事需要面商。当达尔朗听到了英美联军即将登陆的消息后，他暴跳如雷，气得满脸胀红。他说："我早就知道英国人是愚蠢的，但是我一直认为美国人
1691028835# #好孩子！
1695501359# #毛泽东于1956年11月12日，为纪念孙中山先生诞辰90周年写了一篇文章，文章除了对孙中山先生做出高度评价外，还十分意外的让我们看到了，他老人家对二十一世纪的2001年的展望和在对国际交往中的忠告。。文章全文如下：。。纪念伟大的革命先行者孙中山先生。。纪念他在中国民主革命准备时期，以鲜明的中国革命
1701993195# #路遥知马力，日久见人心。
1692683398# #我发表了头条文章:《梁启超眼中的李鸿章（17）》
1703635072# #在中央隆重纪念毛主席诞辰130周年纪念大会上的讲话（节选）：。。今天，我们怀着十分崇敬的心情，在这里隆重集会，纪念中国共产党、中国人民解放军、中华人民共和国的主要缔造者，中国各族人民的伟大领袖毛泽东同志诞辰130周年。。毛泽东同志是伟大的马克思主义者，伟大的无产阶级革命家、战略家、理论家
1692612606# #泽连斯基表示愿用俄领土别尔哥德罗换“入约”，扎哈罗娃嘲讽其“吸毒过量”。
1695420293# #我发表了头条文章:《曾国藩的故事（5）》
1699181253# #我发表了头条文章:《现代诗歌名篇之十一：应修人的《妹妹是水》》
1697088708# #有自己的想法可以，也可以保留意见，但要服从党的纪律。赞赞赞
1702156689# #毛泽东乘飞机到达重庆，与国民党共商和平建国的珍贵历史画面。
1703586523# #杨振宁回忆邓稼先。
1688192850# #沈醉回忆录《战犯改造所见闻》（8）。。由于王耀武得到了战犯管理所对他的信任，所以，1959年第一批特赦的十名战犯中就有他。这对他来说既是好事，又是坏事。因为他过去做生意赚的钱太多，而且大部分是由他妻子带去香港，他特赦后，一再希望妻子回来，结果出他意料，她竟和他的一个副官一口气跑到南美洲
1700522319# #1949年6月，毛泽东在新政治协商会议筹备会上指出：。。"中国必须独立，中国必须解放，中国的事情必须由中国人民自己作主张，自己来处理，不容许任何帝国主义国家再有一丝一毫的干涉","中国人民将会看见，中国的命运一经操在人民自己的手里，中国就将如太阳升起在东方那样，以自己的辉煌的光焰普照大地
1696537130# #《沁园春.雪》这首词，一开始毛主席是不主张发表的。据作家吴祖光说：“当时我在重庆的《新民晚报》的副刊“西方夜谭”做主编，就在毛主席走了不久，我就得到了一首毛主席写的《沁园春.雪》词，这首词当时只是在一些极少数的人手里流传，而我拿到这首词的时候，是个残缺不全的，里头缺了二三句，缺一个
1701660805# #我发表了头条文章:《多尔衮（16）》
1689837352# #我发表了头条文章:《胡乔木回忆毛泽东（一）》
1689905788# #特里尔眼中的毛泽东（59）。。老叟坐凳。嫦娥奔月。走马观花。这是毛泽东为尼克松写的寓意深长的短诗，然而，尼克松当时没看懂。。坐凳的老叟是帝国主义。嫦娥（公元前3000年时的神话人物，为了逃避她令人讨厌的丈夫而飞往月亮）是代表人造卫星的美丽形象。短暂访问中国的尼克松本人是那走马观花的人。。毛泽
1702074509# #去年的今天，别了48小时核酸码，别了所有公路核算卡点。
1688633022# #伦敦的街头，嚯！
1698975847# #毛泽东说，他年轻时不懂马列主义，也没想到能组织队伍去打仗，他是被迫的，因为反动派杀人太多！
1695418311# #韩国李在明所在共同民主党院内领导层集体辞职！
1691355019# #《荷塘月色》。。这几天心里颇不宁静。今晚在院子里坐着乘凉，忽然想起日日走过的荷塘，在这满月的光里，总该另有一番样子吧。月亮渐渐地升高了，墙外马路上孩子们的欢笑，已经听不见了；妻在屋里拍着闰儿，迷迷糊糊地哼着眠歌。我悄悄地披了大衫，带上门出去。。　　沿着荷塘，是一条曲折的小煤屑路。这
1694037893# #翟山坑道位于福建泉州市省金门县古岗村古岗湖东南方翟山腹里，于1961年开挖，耗时五年，于1966年3月22日竣工。翟山坑道分为坑道及水道两部份，坑道全长约101公尺，宽约6公尺，高约3.5公尺，主体是花岗岩石，坑道皆由人工一凿一斧开凿而成；水道呈A字型，全长357公尺，宽约11.5公尺，高约8公尺，可容
1693022620# #毛主席与《人民日报》照片背后的故事。。“这张照片好，真实又生动！”《人民日报》编辑部一层大厅，有张毛泽东阅读人民日报的经典照片（图一），来访者驻足仰望，都有这样的感慨。。这张照片拍摄于1961年，而与它拍摄于同一年的还有一张“毛泽东在杭州驻地阅读《人民日报》”的照片同样堪称经典（图二）
1691704804# #1933年刚过完年，红军取得了第四次反围剿的胜利。时任红一军团政治部副主任的李卓然编写了一个话剧剧本《庐山雪》。讲的是红军打进了南昌，杀上庐山，活捉了蒋介石。。登台演出的都是红军高级将领，反面主角是蒋介石，扮演蒋介石的是罗瑞卿，聂荣臻也参与了其中，而红军这边正面主角只是个军长。周恩来
1688040029# #违规收受礼品，为他人谋取利益，十八大后不收敛，不收手，对党不忠诚，不老实，转移证据，对抗组织审查，与他人保持不正当性关系，纪法底线失守……。
1693287259# #在日华人拍摄日本超市现状。
1702682005# #1953年底，抗美援朝即将结束，国民经济基本恢复，根据毛泽东提出的过渡时期总路线，全党的工作开始转向工商业和农业的社会主义改造。为了适应这一情况，中央决定起草新《宪法》，成立了以毛泽东为首的宪法起草小组。12月24日，毛泽东带领宪法起草小组赴杭州，组织起草新中国第一部宪法，对外则称休假。
1700289893# #诗琳通公主很朴素，就像普通百姓。
1699667872# #“我一点都不紧张……”，这是说自己的话，还是说别人的话？演员也都是本科文凭吧？背下来不行吗？这是磕惨组委会？还是磕惨自己？这也太尴尬了哈哈哈哈哈哈哈哈
1703051586# #色诱
1698373031# #我发表了头条文章:《现代散文名篇之二十八：周作人的《故乡的野菜》》
1704060207# #毛泽东不仅一次又一次登临城楼与百万“革命小将”见面，而且每一次接见形式都有所不同。除了第一次与第二次外，另外六次都推陈出新，接见在表现上显得变化多端。。第三次接见选择在1966年9月15日下午五点四十分。这次接见一改白天接见的方式，选在了黄昏时分。原来当第三次接见红卫兵的各项准备工作已经
1701992206# #诱拍
1689855490# #历史惊人之相似。。千古一帝--康熙皇帝有一幅挽联，是赞美郑成功的，挽联是这样写的：。“四镇多二心两岛屯师敢向东南争半壁，诸王无寸土一隅抗志方知海外有孤忠”。。它的写作背景是:。郑成功死后原本是葬在台湾的，1699年郑成功的孙子郑克塽上书康熙，要求将祖父坟茔迁往祖茔，康熙准奏并撰写挽联，高
1699535718# #以色列前总理称，面对国内外压力，内塔尼亚胡已经精神崩溃！他认为，内塔尼亚胡战略判断失误。他表示，全面监管加沙安全不符合以色列利益，应当尽快重启两国方案。
1697173625# #泰戈尔访华，鲁迅中途拂袖而去…。。印度诗人泰戈尔，是首位获得诺贝尔文学奖的亚洲人。民国时期，许多国家都争相邀请这位亚洲文坛泰斗前往演讲。而鲁迅则是我国现代文学的奠基人，其作品具有跨越时代界限的无穷魅力。就连日本的中学生，也要学习他的文章。。时间追溯到1924年，彼时已经声名大噪的泰戈尔
1696959290# #中美英法俄都承认以色列这个国家，而且欧美力挺以色列，除了和平谈判，没有其它路可走，这一点应该认清，尽快谈判，以土地换和平，恢复执行1947年的联合国181号决议，还百姓以安宁。
1695421187# #我发表了头条文章:《临危受命的丘吉尔（25）》
1699149736# #说话铿锵有力的韩红赞赞赞
1703563633# #我发表了头条文章:《现代小说名篇欣赏：杜鹏程的《夜走灵官峡》》
1698654636# #太可惜了泪
1703107386# #1947年5月，杨永寿（毛岸青）回国，被父亲安排下乡去搞土改。。在黑龙江省齐齐哈尔市有一个克山县，这里条件艰苦，但杨永寿毫无高干子弟的浮躁和骄傲，十分朴素和坚韧。5月份，克山县还下着鹅毛大雪，杨永寿与吴继水，刘志连一起前往古家甸参加土改工作。杨永寿穿着粗布大棉袄，跟这里的农民同吃，同住
1698641269# #拉夫罗夫：不摧毁加沙就不可能消灭哈马斯，而摧毁加沙地带，200万居民将被迫离开，这会造成数十年甚至上百年的灾难！
1700101025# #李讷回忆父亲带他们游泳，她说，言传身教，这个身教很重要。李讷说话声音像极了母亲，受访时她69岁了，这一头黑发，也像她的母亲。
1697966004# #我发表了头条文章:《现代散文名篇之二十二：冰心的《往事》》
1695418476# #《四库全书》全称《钦定四库全书》，是清代乾隆时期编修的大型丛书。在乾隆皇帝的主持下，由纪晓岚等360多位高官、学者编撰，3800多人抄写，耗时13年编成。分经、史、子、集四部，故称四库。共79338卷，36000余册，约8亿字，相当于《永乐大典》的3.5倍。。乾隆皇帝命人手抄了七部，下令分别藏于全国各地
1687150104# #你们不依赖吗？装什么装！哈哈
1694885595# #我发表了头条文章:《希拉里回忆录“历史的亲历者”（4）》
1693115149# #艾跃进教授谈利比亚战争及卡扎菲之死。
1696130286# #我发表了头条文章:《临危受命的丘吉尔（33：点燃“火炬”）》
1692181861# #张煜发文，希望重回北医三院！
1689603644# #中国原子弹爆炸之后，美国乱七八糟的消息很多，杨振宁不知道哪条是真的，哪条是假的。直到邓稼先的一封信，杨振宁跑到洗手间，泪流满面…。
1695524466# #我发表了头条文章:《曾国藩的故事（7）》
1699472155# #这张照片是荣毅仁陪同毛主席视察上海申新九厂。这是毛主席视察过的唯一一家私营企业。。。1949年，上海解放前夕荣氏家族均迁往海外，而荣毅仁做出了留在上海的决定，并逐渐成为荣氏家族企业的代表。新中国成立后，荣毅仁满心热忱的投入到了社会主义建设事业中，并于1950年加入中国民主建国会（黄炎培任主
1689243879# #上海——。
1701385819# #这位“自信人生二百年，会当击水三千里”的伟人，其实也还是无法背离生老病死的自然规律的。面对自己的苍老和病态，他很清楚，他不愿意再与外宾合影了。可外宾想见见他的心里却异常强烈，在这种身体情况下，他于1974年2月22日会见了赞比亚共和国总统卡翁达和夫人等贵宾，并提出了三个世界理论的划分。。
1695742807# #济州岛将成下一个缅北？
1701985132# #谁还能记得他？他39岁任副总理，1978年被免回原单位工人岗位。他叫孙健，原天津内燃机厂的翻砂工。1997年11月，孙健病逝，终年61岁。
1696227937# #我发表了头条文章:《临危受命的丘吉尔（36：忐忑不安）》
1701074168# #我发表了头条文章:《现代诗歌名篇欣赏:臧克家的《老马》《有的人》》
1701595660# #周总理对基辛格的评价：谦谦君子，很儒雅。
1700007837# #1982年3月10日，工人们去修缮杨开慧烈士故居的时候，卧室的后墙被打开，藏匿了五十几年的杨开慧手稿重见天日。这十二页手稿保存得非常完好，上面的字迹清晰工整，可惜此时主席已经病故，没能看到。。手稿5000余字，全部为杨开慧亲手书写，正是在杨开慧与毛泽东失联的那三年里所作。根据整理资料显示，这
1689735930# #坚韧不拔的戴高乐（20）。。1940年的6月，是一个熬人的6月。就在法国内阁就战降问题斗争最激烈的时候，戴高乐找到一个机会问雷诺是否真要求和。雷诺答道："当然不是！但是，我们必须让英国人震动一下，以便取得他们更广泛的合作。"之后，戴高乐闷闷不乐地返回自己的住地。这时雷诺向罗斯福总统发去电报，
1690810644# #活的长久，不如活的精彩，这是coco带给人们的生命感受。
1699262910# #韭菜盒子，俄罗斯人的最爱，他们的布市到我们的黑市隔着一个黑龙江，乘船7分钟，双市互免签证，因此，俄罗斯人时常组团来黑市吃早点，韭菜盒子被他们称为上帝赐予的美食哈哈
1702683846# #晚清四大奇冤案之一“九命奇案”。。清朝四大奇案，分别为：九命奇冤梁天来案、张文祥刺马案、杨乃武与小白菜案、名伶杨月楼冤案。。案情复杂，过程曲折，跌宕起伏，出人意料。这四大奇案的背后，隐藏着的是大清帝国司法制度、政治制度等一系列弊端。。。雍正年间，正是康乾盛世的一个承上启下时期。康熙朝
1694980536# #1931年9月18日，日本关东军蓄意制造柳条湖事件，炮轰沈阳北大营，占领沈阳。此时的张少帅正在北京看戏，对东北军下了“不准抵抗”命令，次年，东北全境沦陷，此后，日本开始了对东北人民长达14年的殖民统治和奴役。14年来，在中国共产党的领导下，东北抗日义勇军和东北抗日联军奋起反抗，从没屈服过。
1691044400# #暴雨进入东北
1693021662# #完了，没有好的！
1688813954# #杜聿明被俘的真实历史影像。
1688141622# #党102岁了，在此向他致以崇高的敬意、深切的缅怀。
1692850257# #拜登称对普里戈任坠机并不感到惊讶。
1701045363# #"把黄河的事情办好，这也是毛主席当年的夙愿，如今我们接着做起来了"。。"我们不能满足于已经取得的成绩，要坚持问题导向，再接再厉，坚定不移做好各项工作。”。总书记的黄河情怀。
1703652635# #毛主席诞辰130周年纪念会上，中央高层给毛主席的第n次历史定位：。伟大的马克思主义者；伟大的无产阶级革命家、战略家、理论家；马克思主义中国化的伟大开拓者；中国社会主义现代化建设事业的伟大奠基者；是领导中国人民彻底改变自己命运和国家面貌的一代伟人；是为世界被压迫民族的解放和人类进步事业
1695677905# #我发表了头条文章:《希拉里回忆录“历史的亲历者”（16）》
1698385226# #十年功名尘与土，上千里路云和月。
1701565089# #中俄《尼布楚条约》是如何签订的？。1632年，。沙俄扩张至西伯利亚东部的勒拿河流域后，建立亚库次克城，作为南下侵略中国的主要基地从这以后，辽东地区就承受其连续不断的骚扰和掠夺。由于沙俄人口稀少，所以还大量掠夺中国人口，制造民族纠纷，从中获得更多的渔利。。17世纪的俄国是一个封建农奴制国家
1687229890# #沈醉回忆录人鬼之间（47）。。张国焘初去军统，虽然有许多使他不满意的地方，但戴笠、毛人凤等对他还相当客气，不用几天，便有宴会邀请他参加，不过国民党的酒席可不能白吃，吃了就得给人做事。他最苦恼的是逃出来时，只是光棍一条，什么班底也没有，可不像他当年企图分裂党中央时，还有一些人受骗上当，
1694558325# #我发表了头条文章:《临危受命的丘吉尔（16）》
1691667100# #怎么突然觉得，他们比贪官可恨呢？允悲
1693647108# #去时懵懂少年，回来顶天立地！好男儿志在军营赞赞赞
1692621265# #想不出来他能犯什么事，是给自己印钱了吗？
1691299987# #沈醉回忆录战犯改造所见闻（32）。。新中国成立前，岳烛远因毛人凤奉了"老头子"的命令，对过去凡是从共产党那边过来的，除少数认为非去不可的外，其余一律不准去台湾，原因很简单，怕这些人"走回头路"。留在大陆给共产党制造麻烦比带到台湾去给自己添麻烦合算得多。岳烛远这位忠心耿耿为军统干了十多年的
1695787893# #中国人民送给他的同情和掌声、中国观众送给叙利亚运动员的欢呼声、中国网友送给叙利亚人民的暖心留言，这一切都是敬仰巴沙尔和叙利亚人民面对强权的那种不仰视、不低头、不屈服的勇气和意志、坚强和决心赞加油，叙利亚！中国人民跟你们同在！赞
1699955382# #哈马斯混成老百姓，让巴勒斯坦加沙地带的人全部加入以色列，从此混迹于犹太人中，看看怎么样？
1694609535# #西方妄图遏制中国，但无法得逞。
1697096284# #郑强教授被举报，诬陷。真是人红是非多，造谣一张嘴，教授跑断腿。郑教授压根就不该接这个刑满释放人员的电话，因为毕竟是陌生电话，这就跟接咋骗电话一样，你接了，可能就难免不被骗，所以最好的办法是压根就别接。也可能郑教授是红人，又是大学校长、教授，可能是做老师的职业习惯吧，不会拒绝学生（
1689768695# #豺狼来了有猎枪！
1687208204# #这是真的吗？看这名字起的！
1696455332# #穷奢极欲到了极点，跟当年赖昌星的红楼有一拼！确实应该为恒大拍一部电视剧了。
1699181174# #我发表了头条文章:《现代诗歌名篇之十：刘大白的《邮吻》》
1703415443# #参观长春伪满皇宫（免费部分）
1696598305# #我发表了头条文章:《听喻大华讲咸丰是怎样一位皇帝（10）》
1694583240# #被骗缅甸妙瓦底的张博士发声，聊被骗经过。
1699583602# #出生证明这玩意怎么卖？价位是多少？是巨大的利益能促使他铤而走险？还是犯罪成本太低？亦或是无知者无畏？
1688252148# #毛主席行走在北京街头的照片，难得一见。
1696560611# #特朗普被提名众议院议长，但他表示要专心竞选总统。
1695478904# #时隔19年后，叙利亚总统巴沙尔.阿萨德再度成功访华。在这19年里，鬼知道他都经历了什么，因为而且到目前为止，叙利亚已经被美国整整封杀12年了。
1695452018# #我发表了头条文章:《蒋介石的早期革命活动（1）》
1688385002# #特里尔眼中的毛泽东（46）。。在毛泽东的中国，情况也是这样。就像小孩子在旧中国的家庭里感到安全一样，公民在毛泽东的人民共和国里，也有某种安全感。如果父亲指控孩子做了错事，孩子没有权利要求辩护律师和公开审判；毛泽东的公民也没有这种权利。父亲的意志和他的爱是不可分的。因此，毛泽东的权力和
1697505455# #说中文，吃中餐，读鲁迅。
1697689320# #“林彪”事件后，毛泽东在重病中公开了一封曾写给江青的信。这封信里他对“林彪借钟馗打鬼”是早有认识的。
1687414598# #珍贵影像，钱学森与曾孙女同框，宝贝长的像太奶奶。
1688458600# #十大元帅中谁的夫人被授予了军衔？
1699443459# #我发表了头条文章:《现代诗歌名篇之十四：闻一多的《红烛》、《死水》》
1703051295# #在南下的列车上，毛泽东首先听取了卫士李家骥的回家探亲汇报。当汇报到农村的新富裕中农时，毛泽东表示出了极大的兴趣。毛泽东说：这是我让你调查的重点，你们（指身边的卫士）如果把你们亲属的情况都了解了，就能掌握不少情况，就能对我们制定政策起很大作用。毛泽东对李家骥说：现在你学会做事了，这
1701338892# #我发表了头条文章:《宋美龄身边随员口述：一个真实的宋美龄（24、孀居生活）》
1689599486# #大陆青年赴台交流
1698674537# #王教授抽烟确实挺凶的，他的学生吸进去了多少二手烟允悲
1699964292# #1972年，尼克松访华，其夫人参观人民公社，听课，喂猪，购物。
1697456754# #1955年的珍贵历史影像，胡志明见着毛主席是真的热情呀
1700258853# #最美情书！。写信人是杨开慧，中共第二位女共产党员。1982年，当地政府在修缮她的老宅时，在卧室内侧墙壁离地面两米的墙缝里，发现了用蜡纸包裹着的书信手稿。收信人包括她的丈夫，以及小叔子等亲人，但收信人都已经不在了，这些信他们终生没有读到，甚至不知道有这样一封信的存在。下面这封信是杨开慧
1699744241# #1890年3月3日，白求恩诞生在加拿大马斯科卡湖畔的一个小市镇。。由于家境贫寒，他靠当伙夫、打短工挣来的钱维持自己上大学。第一次世界大战爆发后，24岁的白求恩被迫停止了学业，他应征入伍，到法国当了一名担架队员。后由于在战争中负了伤而回国。他曾勉励自己：“战争浪费了我的青春，我要把丧失的时
1699789367# #我发表了头条文章:《听喻大华讲道光皇帝（10）》
1688112226# #马背民族的彪悍！难怪我大汉江山曾被其斩于马下。
1699914380# #1983年12月26日，他在毛主席诞辰90周年纪念会上发表了《最好的怀念一纪念毛泽东同志诞辰90周年》。他说：“毛泽东同志是我们国家这100多年中最伟大、最卓越的人物”。“我永远不能忘记毛主席对我的教育和培养……。”。照片中看出来他是谁了吗？
1698272512# #中国原子弹爆炸成功前是严格保密的，以至于爆炸成功后，满街都是号外，严济慈去看许德珩，许德珩拿着号外高兴的说，太好了，太好了，谁有这么大本事把原子弹搞出来的？严济慈哈哈大笑说，是你女婿！
1702003528# #我发表了头条文章:《现代小说名篇欣赏：方之的《内奸（上）》》
1695904293# #赫鲁晓夫访华，机场见面拥抱毛泽东时候被毛泽东刻意避开了…
1702119891# #就是说，我们现在看到的是650光年以前参宿四的样子，并不是现在的样子，说不准参宿四已经爆炸了？
1702780390# #第一次听北洋军歌，还很好听。
1693990230# #朱老总罕见老照片。
1694798660# #1956年毛主席同藏族人士的谈话：“西藏自治区筹备委员会筹备好了就要成立，你们还怕吗?对土地改革赞成不赞成?对西藏地区的土地改革要采用不同的办法,要采用云南的办法。云南有土司,他们也是贵族,那里是通过和平协商的办法进行土地改革的，人民满意，土司也满意。总之，贵族的生活不变，照老样
1697371342# #边境口岸的双方来往可是方便透了哈哈赞赞赞，过来上趟厕所再回去都行
1700122579# #去年也是这么说的，打算说几年？
1699530114# #我发表了头条文章:《听喻大华讲道光皇帝（8）》
1690000689# #唐闻生回忆给毛主席当翻译时的记忆犹新的事情。
1699395523# #英气逼人的周总理，有了他，是我党之幸！在洛川跟张学良初次见面时，张学良的第一句话便是：“美鬓公，早听说你是一个美男子，果然如此！”
1694688936# #最新消息，朝鲜将参加杭州亚运会。上届亚运会朝鲜获得女乒团体银牌
1694583874# #普京在东方航天发射场迎接金正恩，与金正恩亲切交谈。
1688606680# #怀念李玟，告别恋爱脑。
1701611010# #有网友是这样说的，一看就懂了，院士说的我反而没懂允悲“这和人一样，手脚中弹能回来，头部中弹绝对回不来，所以你要加强哪里，这样理解简单了吗？你所谓的幸存者偏差也可以理解为同样手脚中弹，有些回来了，有些没回来，比较对象不同。”
