1691288062# #【陈原抄山海经】之十。。
1700123883# #——我们看到了真实的幻象。。冬天的大海，海水在变稠，大海在变瘦，礁石是灵魂变成了骨头。就像思想凝重了，仿佛时间提升了浓度。在这个世界上，在所有的事物之间，甚至包括形而上的精神、灵魂、时间、思想、幻象、梦境、战栗、恐惧……，等等，一切之间都在相互模仿、比喻、暗
1694309938# #【陈原抄黄帝内经】之六十七之素问篇之第二十三章:热论。。
1687692694# #陈原抄屈原之二十八招魂图片版留存
1689897349# #真的是这样吗？我不明白为什么对俄对美态度如此不一样，天差地别。到底是为什么。
1691637086# #【陈原抄山海经】之三十三。。
1692144262# #谢谢。握手。我就是胡涂乱抹而已。与书法无关的。
1698516751# #转发微博
1691195158# #【陈原抄山海经】之七。。
1695611648# #【陈原抄诗经】（56）之国风鄘风。河广。。
1687016281# #过去是宫廷里指鹿为马，现在已经是遍地指鹿为马。人种伟大。
1690603934# #【陈原抄易经】之十五之说卦传。
1698621822# #能把“人”这个概念糟蹋肮脏到何种地步。
1701822881# #不让用煤取暖，不让点柴冒烟，烧水、做饭也不行。虽然没说是死罪，可这个拘留15天加罚款2000元，就足够逆天喽～挨着冻，扎上脖，还让百姓怎么活？到底:群众是为官员政绩而存在？还是官员当为百姓幸福生活而执政？
1703759696# #转发微博
1687006060# #端午将至，陈原抄屈原。之十二。图片版。
1698532280# #转发微博
1701303144# #很感叹，在俄罗斯，总是会出现勇敢的个人。
1693016839# #【陈原抄黄帝内经】之五至之八之素问篇。抄黄帝内经者，必得寿也。——我说。
1693204252# #【陈原抄黄帝内经】之二十三之素问篇之第七章:阴阳别论。。
1695092851# #【陈原抄诗经】（21）之国风召南小星。诗经。诗歌永远的经血。永远的诗歌的痛经。
1700466499# #百姓是世界的底。
1699654128# #对戈尔巴乔夫污蔑恨之入骨的人，正是戈尔巴乔夫所说的人。他们就是贪婪的权贵集团。
1695302585# #竹杖芒鞋轻胜马谁怕……归去……。——毛笔字还是进步了。唉——
1695604078# #【陈原抄诗经】（54）之国风鄘风。氓。。
1695692865# #【陈原抄诗经】（64）之国风王风。中谷有蓷。。
1692919394# #转发微博
1702312076# #这才是英雄，第二个华盛顿
1698733621# #咱艸
1701302548# #吃惊
1699767063# #其实儿子发出惊天一问的地方已经不在了，那片很美的，曾经在灯塔下壁立的礁石已经被埋在了厚厚的沙滩下面。据和一个当地的老人聊天得知，他说，以后海里现在看到的礁石也会被海沙埋掉、消失。我问他，以前的灯塔是在海里的，怎么现在已经上岸离海已经远了。他说，你记得的是对的，现在是填了海之后的，
1691388057# #【陈原抄山海经】之十七。。
1691723451# #【陈原抄山海经】之三十九。。
1687494349# #恐怕还得心狠手辣才行。
1701670596# #不是避孕套？
1700224510# #所以，县处级的局下面本来应该设科的却设了处，科长成了处长。把本来就恶心的权力弄得更恶心。
1695257667# #【陈原抄诗经】（34）之国风邶风匏有苦叶。。
1690696376# #【陈原抄易经】之十七之说卦传。以前的自己，就是那个你一直觉得遥不可及的自己。但以前的你，并不知道这个道理。你与你渴望的自己错过，又追悔莫及。在你的生命成长过程中，时间，将一种认知强加在你身上。而时间本身就是一种认知:迷茫、卑怯、忧虑和沧桑。
1698737419# #对安徽人加深了认识。
1700013245# #一条船漫长的故事，我们只知道了它的结尾，而大海知道它的全部。。船的结构，成为了它的故事的结构。结尾的叙事，变得如此缓慢……
1693471071# #【陈原抄黄帝内经】之三十三之素问篇之第十一章:五脏别论。。
1701921410# #深冬，月夜，那印刻在苍穹中的枝杈的线条，模糊，遒劲，坚韧，神秘。那突袭而至的自然美学，曾经在我中学时代的某个夜晚，深深震撼了我。那时候，我刚刚从一个公共厕所里蹲完出来。我一下子呆在了原地。从此，我的生命里，就像重新置换了一个世界。现在，我写毛笔字的时候，那夜空中的枝桠，一直控制着
1700906656# #如一个民族这样“进化”下去，是多么令人悲哀的事！
1700430959# #举报管辖这里的警察不作为！话筒
1692081659# #握手
1701335806# #金家第四代领导人准备中。这是随时要冲上第一线吗？
1700952239# #相信党和政府
1693438145# #造假造到《科学》上了，这不科学。嘻嘻
1698742698# #蜡烛蜡烛蜡烛
1693206383# #【陈原抄黄帝内经】之二十五之素问篇之第七章:阴阳别论之第八章:灵兰秘典论。之第九章:六节脏象论。
1691723754# #【陈原抄山海经】之四十。。
1693437880# #转发微博
1693796407# #【陈原抄黄帝内经】之五十之素问篇第十七章:三部九候论。。
1690971652# #【陈原抄金刚经】之十。
1701146563# #有特色。哈哈
1688636434# #【墨里洁身】陈原抄老子之六之道德经。陈原曰:有时候想，道德经，就是老子被埋的很高很高的一个大坟。因为坟很高，盗墓者云集，却皆空手而归。
1691252249# #想问一个最基本的问题:为什么会有这样的洪水？
1695193837# #转发微博
1693277011# #【陈原抄黄帝内经】之二十六之素问篇之第九章:六节脏象论。。。
1691932313# #把名额给中国吧。
1690173223# #【墨里洁身:陈原抄庄周】之三十四之庄子内篇之德充符之应帝王
1696911921# #没有记错，我去年的此时正在被隔离十天，被强制囿于铁窗之后，这个视频是我双手伸出窗外拍的，发出时专门选了Beyond乐队的光辉岁月，这是他特地为纪念铁窗中的曼德拉所做。我也因此深刻体会到了齐奥朗那句“窗户比监狱的高墙更令我们与世隔绝”的含义。正是隔离期间我读了齐奥朗的《圣徒与眼泪》。并写
1698759545# #年轻时行走各地，也曾经见过几座教堂哈尔滨、广西涠洲岛、青岛、济南、淄博，还有海参崴的东正教堂。而视频中的，这是保定的基督教堂，是我前段时间去的时候拍下的。它和老直隶总督府，还有路南的那个我忘了名字的景点，还有几座大型商超，近距离地,鸡犬相闻般地坐落在保定的商业街上。加上周边林立的
1699409662# #黄海很多地方退潮的时候海水离岸边会很远，据说有的地方可以退出十里，退出一、两里地是很寻常的事情。所以渔民如何靠岸成了一个问题。昨天，在连云港的海边，我的问题有了答案。
1699484238# #女的好像很老了。
1698968491# #看评论
1691726053# #【陈原抄山海经】之四十。我艸我艸。他们又在谈论一种叫做文学的东西。他们又在狂欢。他们一如既往地很乖。作废的人类。
1698887414# #转发微博
1689895311# #【墨里洁身:陈原抄庄周】之二十二之德充符。多少有些后悔抄庄周。而且因为抄写庄周，让我对庄子的敬仰越来越少。在这一点上，对屈原对老子亦是如此。庄周的文字体量那么大，啰啰嗦嗦，叨逼叨逼叨，如此强烈的表达欲，一点不遁世一点也不隐匿。能写这么多字，还能保存下来，证明家里是很
1687403015# #谢谢转发。握手
1690702070# #【陈原抄易经】之十九之序卦传。
1689608700# #难道不对吗？
1688942756# #【墨里洁身:陈原抄庄周】之二之逍遥游。相对于老子，人们和庄周似乎更生分一些。这个赋形世界的人，他力图在语言中表达一个另外的世界。这个世界完全依赖于语言的托举:世界是被表达的。世界是在表达中存在的。我常常觉得人并不是共存于一个世界之中，而是，存在于一个共有世界之外
1702253416# #真相。遗体修复师述说的真相。
1699181869# #转发微博
1693733200# #【陈原抄黄帝内经】之四十八之素问篇第十七章:三部九候论。。
1690959653# #齐齐哈尔学校坍塌，黑龙江日报只字未提，你能想象新闻还有存在的意义和价值，朋友圈没有任何文字和图片悼念，是什么力量把大家训得服服帖帖。二哈二哈二哈
1687258998# #陈原抄屈原之十七
1695117795# #【陈原抄诗经】（22）之国风召南江之汜。诗经。诗歌永远的经血。永远的诗歌的痛经。
1700356802# #烂企业快死。
1694151063# #【陈原抄黄帝内经】之六十一之素问篇之第二十章:通评虚实论。到今天，黄帝内经之上部“素问篇”前二十章抄写完了，之前我说过就抄二十章的，现在决定再继续抄一部分。也让我有时间想想接下来抄什么。。粗略算一下，自抄屈原始，我已经毛笔抄写了应该不低于十三四万字
1688944603# #这个事件真的令人震惊。我不敢相信是这个星球上发生的事情。ctm的。
1688775770# #【墨里洁身:陈原抄老子】之十之道德经。我至今还在胆怯，在我握住那支笔管时，没敢借舞墨之名张牙舞爪，甚至规矩到不敢做文化的滚刀肉。我可能一生无法找到真正让我表达狂野的方式。虽然我的内心每时每刻都是精神的巨澜狂飙。——虽然我曾经做过了那样的疯狂的文字的表达。也许性爱是
1689559767# #哈哈哈:
1703631807# #咱艸。
1688695965# #陈原抄老子之八之道德经。自抄屈原，抄老子以来，个人觉得，老子的语文课并不怎么特别好，屈原也差不多那样，就是个及格，这二位肯定是会经常被语文老师挖苦的。似乎，写黄帝内经的那个人更好一些。。
1687499727# #一切权力皆是恶权。是人类之癌。
1691451854# #早上起来，写了四幅竖屏玩玩。据说今天立秋，这事儿我同意，让老天爷操持一下就行了，我就不具体管了。我继续抄山海经去。祝大家秋安了。
1688952055# #【墨里洁身:陈原抄庄周】之三之逍遥游。世界上没有一个人配得上看不起他人。如果有，他只配得上被别人鄙视。
1699873878# #此时，海上。落日熔金，辉煌的天·地·大海的恢宏交响，整个天空成为横亘西天的大鹏，巨翅垂挂时空，扶摇直上九万里。大鸟的无与朋比的羽毛，布满天空的每一寸蓝色，让天空有了羽绒的质地和暖意。
1703174087# #可能是这个世界上唯一的最纯粹的信仰家、意志家。
1698733974# #民族有希望了good
1698976748# #礁石，嶙峋的礁石，是凝固的海浪，是大海升高的欲望。或者，它甚至是雌性大海的雄性伴侣。
1698999264# #前阵以色列坦克开进加沙时，当地老百姓到街上欢迎，很多人往坦克车上仍瓶装矿泉水，给士兵。
1694046572# #【陈原抄黄帝内经】之五十八之素问篇之第二十章:通评虚实论。。
1692759343# #【陈原抄山海经】之七十七至八十二。。
1694558272# #转发微博
1691196157# #【陈原抄山海经】之八。。
1696169650# #歌德说，古塔的最高点，有勇者气魄之心。。里尔克说，我围着古塔，已绕行了千年。。——这两句话深深地震撼了我，并在我的生命深处，制造了精神的巨大轰鸣。现在，每当我仰视塔尖，就是在仰望天穹与无穷。就是在仰视最高处的深渊。
1699654278# #不能让抱薪者冻毙！
1696282505# #恶意提问
1700048909# #转发微博
1696833854# #转发微博
1693278399# #【陈原抄黄帝内经】之二十八之素问篇之第九章:六节脏象论。。。
1691289821# #【陈原抄山海经】之十一。。
1695689357# #【陈原抄诗经】（61—63）之国风王风。扬之水君子于役君子阳阳。。
1701909328# #昨日，午后，去山里。独往。独归。。透明的冬天，似能让我看见过往，和未来的时间。看见造物主隐身在万物背后。。偶遇了一片柿树林。似乎又不是偶遇，而是它等了很久，我找寻了很久。那株最老的树王，提升了大地的尊严。。它是我很久之前藏在这里的。只是，我忘了它很久。。
1699409599# #分享视频
1690109551# #哈哈哈哈哈在位的耶伦和布林肯来了你端着架子接待都不接待。请来了一个万年老僵尸告别政治几十年了超规格接待嘻嘻嘻嘻啥目的？是故意恶心美国的？问题来了人家可能根本不知道还有基辛格这个人物，还要上谷歌搜搜，然后一笑置之笑cry
1688908195# #【墨里洁身:陈原抄庄周】之一之逍遥游。从现在开始，抄庄周。庄周，你出来。
1695432716# #【陈原抄诗经】（46）之国风鄘风定之方中。【思考就是用智慧赎罪】。上帝并不是创造了一个无数人的共同世界，让同一个世界拥有很多人，或者很多人共存于一个世界。——我们从创世伊始就弄错了人与世界、人与上帝、世界与上帝之间的关系。而是上帝在每个人的大脑里疯狂
1691575565# #【陈原抄山海经】之二十八。。
1694480231# #古运河畔的清真寺。——较早前录影。
1697710517# #突遇柿树林。那日寻它而不见，以为已经永久失散。今日它仿佛刚刚从别处回来，在此遇到。并急不可耐地相互表达相见恨晚，以及各自深深的思念。
1693865090# #我艸，恶心至极。
1697015781# #【昆虫记】。卑微者的挣扎。这是痛苦、困厄，更是命运。我是不想介入它的命运的，我不是它的拯救者，我都不能成为自己的主宰。它的悲剧是一个物种的悲剧。而人类作为一个物种甚至承载了更大的悲剧。而人类的命运更低于昆虫的命运。但是，最后还是在它旁边放了一个纸巾。让它知道，上帝此时悄悄
1698561045# #转发微博
1701229347# #抄写唐诗三百首。
1693699778# #人类到今天，依然存在这样的残杀。人类之恶之耻啊。
1702253255# #现在，我们要费很大的劲，才能给年轻人解释一分钱在那个年代的内涵。
1702252509# #他们这两年，经常在梦中笑醒。
1698893907# #转发微博
1691293079# #【陈原抄山海经】之十三。。
1690418915# #【陈原抄易经】之七之系辞传。
1699223832# #国投集团的。
1692846630# #【陈原抄黄帝内经】之一至之四之素问篇之上古天真论。从今天开始抄黄帝内经，这样，又一次的旅途和跋涉开始了。。黄帝内经全文共十六、七万字，字数实在有些多，于是决定只抄写它的上卷素问篇，一查，仅素问篇就有近十万字，遂决定先从它的前二十章。。
1689463033# #【墨里洁身:陈原抄庄周】之七之齐物论。每一天我都在为这个世界哭泣。苍老和死亡的降临让我感到巨痛。一种无痛之痛。我们不是死亡后才消失的。虚无的世界，让我们活着就已经消失，就已经不存在。——我们存在于“不存在”之中。。穿越这虚无的世界，沉浮于这难以承受
1690078925# #【墨里洁身:陈原抄庄周】之二十九之德充符
1691143142# #【陈原抄山海经】之五。。
1699479913# #这个瓜是俺山东的？黑线
1695211803# #分享图片
1698517256# #有道理
1700360210# #英国建设香港成为世界金融中心用了100年，我们建设新加坡成为世界金融中心只用了3年，肉眼可见的中国速度笑crydoge
1700372472# #马斯克依然伟大。接着来。
1690096532# #哈哈哈哈哈哈。
1690419204# #十一条鲜活的生命。
1696680511# #唐朝隔壁老王诗一首山居秋暝
1691468754# #【陈原抄山海经】之二十二。。
1699831101# #“约谈”二字变得很恐怖。
1687573932# #陈原抄屈原之二十六远游
1691273670# #转发微博
1693867342# #“无论多么伟大的传统文化，无论如何悠久的历史，凡是以特殊传统与悠久历史为理由拒绝全新的国家理论，继续迷执于集权努力，都意味着仍停留在古代文明里，而远离现代性社会。”赞赞赞
1691388960# #【陈原抄山海经】之十八。。
1695597852# #【陈原抄诗经】（52）之国风鄘风。考槃。。
1699853872# #竟然还有人急着打疫苗，真正的斯德哥尔摩综合征患者。不奇怪，去年底刚解封时，很多小区的民众自己又把隔离墙立上了。我很庆幸我们一家三口都没打疫苗，并觉得儿子为此被推迟读博士也是很正确的做法。因为当时如儿子在学校，就咱这国干什么都像搞运动一刀切，那是无论如何逃不过的。
1703374933# #她来到了人间，但一直待在人间的边缘。
1694857323# #【陈原抄诗经】（6）之国风之桃夭。诗歌永远的月经。
1695007467# #【陈原抄诗经】（15）之国风之采蘋。诗经。诗歌永远的经血。永远的诗歌的痛经。
1699509188# #转发微博
1701302609# #转发微博
1700302959# #转发微博
1691052442# #转发微博
1703021505# #转发微博
1687698235# #西方国家基本都过了“权力文明”这一关。要知道，这是人类史上最难过的一关。
1691194108# #【陈原抄山海经】之六。。
1700046158# #荣格如是说
1690946028# #【陈原抄金刚经】之四。
1694489281# #这伙计谈的已经非常好了。但任何经济问题都是政治问题，任何时候谈经济不谈政治，都是等于隔靴搔痒。尤其他说的现在的中国就是三十年前的日本，其实不一样的。而且很不一样。日本和美国之间主要是单纯的经济问题，而中国和美国最重要的是政治和意识形态的对抗下的经济问题。这是目前无解的。
1690336445# #【陈原抄易经】之四之系辞传。
1698976017# #那海边的静物，让大海更加完整。
1688358572# #陈原抄屈原之四十之贾谊惜誓。
1700615294# #那日，本是登高望远以观沧海，却在半途遇卧佛寺。遂入。寺内无一游者，阳光明媚，犹如卧佛寺开光，却只为我一人独享。几个正殿的大门全开，最高的殿内以很小的音量放着佛乐，似蓬草潺潺之暗流。不疾不徐，我游遍了每一个角落。安静的寺庙，呈现了它本来的静穆和美好。——而这，多像神界和人间中转的驿
1691896219# #【陈原抄山海经】之四十九。。
1702252461# #我主要是看评论。
1691369023# #【陈原抄山海经】之十五。。
1693440478# #【陈原抄黄帝内经】之三十一之素问篇之第十章:五脏生成。奴隶看起来温顺，但不代表着善良；奴性极重的人，对同类一定极其凶残。因为它们从奴隶主那里失去的自尊，需要从同类中得到补偿。——鲁迅《灯下漫笔》
1687770964# #一个新词:“一个很厉害的老百姓”。
1695023804# #【陈原抄诗经】（17）之国风召南行露。诗经。诗歌永远的经血。永远的诗歌的痛经。
1692150548# #【陈原抄山海经】之五十二至之五十七。。
1690192895# #【墨里洁身:陈原抄庄周】之三十五之庄子内篇之应帝王
1693797778# #【陈原抄黄帝内经】之五十一之素问篇之第十七章:三部九候论之第十八章:经脉别论。。
1699191430# #一个稍微正常的社会，无论如何都不能让弱者更弱。
1695083376# #【陈原抄诗经】（18）之国风召南羔羊。诗经。诗歌永远的经血。永远的诗歌的痛经。
1699514015# #毛笔字，宣纸抄写，四连屏，四首古诗。
1703979305# #这家伙超胆魄超意志超智慧，而且有文明理念。
1691390037# #【陈原抄山海经】之十九。。
1689824782# #【墨里洁身:陈原抄庄周】之二十之逍遥游。上帝说，世界就是你身处的这个样子。如果没有第二个上帝，就没有第二个世界。如果还有另外的世界的话，那么它和你身处的世界，各自是世界的一部分。——陈原
1692271782# #从此指鹿为马有了同义词。
1699654830# #转发微博
1688270112# #陈原抄屈原之三十八之九辩尾，之西汉贾谊之作吊屈原。到此次发图止，我手头的这本屈原之书《离骚》中属于屈原的文字，已经全部抄毕，历时一月有余，是我赋予我的生命的一种隐形的存在方式。我没有具体地数字数，按我抄的情况看，屈原的文字应该不足一万字。当然，我不知道这是不
1701117311# #转发微博
1703758838# #这才是当权者的真实写照，巍峨的办公大楼，让人不寒而栗，里面却写着鲜红的大字：为人民服务
1695445432# #儿子一走，天下就是我的。
1699399149# #就这样明目张胆地直接杀平民啊。
1687402977# #握手
1701255609# #祝贺祝贺微笑哈哈
1689578849# #【墨里洁身:陈原抄庄周】之十二之逍遥游。
1695384930# #【陈原抄诗经】（42）之国风邶风。墙有茨。。
1703759880# #转发微博
1695550775# #应该是:野草舞动的样子，就是风的形状。沉默的山脉正是岁月的凝固。之上的天光呈现着无涯的虚无。
1695248841# #【陈原抄诗经】（31）之国风邶风击鼓。。
1689653439# #【墨里洁身:陈原抄庄周】之十五之逍遥游。
1691030540# #【陈原抄金刚经】之十一。
1700226151# #古老而又失去进步能力的民族，在现代文明的压力下，不得不以制造恐怖为生，没有了未来。微风
1698010982# #转发微博
1694931774# #【陈原抄诗经】（10）之国风之汝坟。诗经。诗歌永远的经血。永远的诗歌的痛经。
1696831367# #🇮🇱🇮🇱🇮🇱
1689838530# #【墨里洁身:陈原抄庄周】之二十一之逍遥游。如果时间可以用天平称重的话，下午的时间应该比早晨的时间会轻一些。当我写下这句话的时候，我一定想到了更多更多的东西。——陈原
1691463337# #【陈原抄山海经】之二十。。
1690970231# #【陈原抄金刚经】之九
1689559898# #【墨里洁身:陈原抄庄周】之十一之逍遥游。
1699915989# #数学可以对世界做出另行表达。
1690253148# #【陈原抄易经】之一之系辞传。在抄完屈原、老子、庄子之后，正式开始抄写易经。易经包含《连山》《归藏》《周易》三部易书，其中《连山》《归藏》已经失传，现存于世的只有《周易》。所以我们通常所说的易经就是周易。我家里正好有个《易经》版本，我就按此版本来完成对易经的抄写吧。
1695885443# #物业已经完全黑社会化。
1691139839# #【陈原抄山海经】之三。。
1700273260# #不可饶恕。
1703173654# #相关人员，包括刑讯逼供的警察和胡乱判案的法官应该担责！
1692759406# #【陈原抄山海经】之八十三。到此次发帖，山海经已经抄毕。。依然的伤感，依然的天赐之悲。我们是自己，更是群氓中狂奔的蝼蚁。天地有大悲，而我们总是不自知，却又时时在承受；依然是与世界无数告别中的一次，依然是永远消失的自己。我们以生命与时间所做的交易，正在发生之
1687275684# #绝望的中青年人相约一起自杀的，今年有好几起了。
1687395488# #陈原抄屈原之二十二。今日端午，继续抄屈原。同时向沉江鱼游的屈原老伙计致敬。——一个千年愤青，崇高与精神的最高大境和昭著。。很多人都说今天是一个特殊的日子。其实当我们强调了这种特殊的意义，也就失去了特殊的本义。。其实很可悲的是，几千年来，制造屈原
1700605118# #说得好！
1698677080# #阳光法案，财产公开。
1700984156# #我至今对“粉丝”一词不接受，甚至充满厌恶和恶意。这是粗鄙而丑陋地以阶级的巨大规模在社会上贩卖优越感。
1698720143# #转宁肯兄关于“硬写”的极其精彩的解读。它与现实生活中的“硬做”是相同的。即，“硬做”也可以做如是之解。
1694045421# #【陈原抄黄帝内经】之五十七之素问篇之第二十章:通评虚实论。。
1700089115# #汗衰
1698462442# #胡适原话怎么说
1688421945# #……
1689810623# #【墨里洁身:陈原抄庄周】之十九之逍遥游。作为那个最终的、其实是最根本的“自己”，人其实是没有自己的。自己，只是表述的需要。没有这个表述，“自己”就会天然毁灭和不成立，就会从来不存在，尤其是作为“自己”的填充物:精神、思想、灵魂、知识等等，这都不是自己的，哪怕你已经拥
1698893591# #有的人
1693355220# #【陈原抄黄帝内经】之三十之素问篇之第十章:五脏生成。。
1693473261# #【陈原抄黄帝内经】之三十五之素问篇之第十二章:异法方宜论之第十三章:移精变气论。。
1700226092# #投影作揖
1691670083# #这些话从他嘴里出来还是意外的。
1695612649# #【陈原抄诗经】（57）之国风鄘风。伯兮。。
1693120657# #【陈原抄黄帝内经】之十九之素问篇之第四章:阴阳应象大论。。
1693631806# #【陈原抄黄帝内经】之四十二之素问篇之第十六章:玉机真脏论。。
1699371494# #他们的话惊世骇俗。我艸。我们离文明还很远。
1688598252# #【墨里洁身】陈原抄老子之四之道德经。对于你所怀疑的，你都应该确信。世界上，除了上帝，没有人有妄想症。——而不幸的是，上帝竟然实施了祂的妄想。这就是人类的元悲剧。
1695348463# #【陈原抄诗经】（39）之国风邶风静女。。
1694649257# #不开放也许有的人一辈子都拍不到一张照片
1687322435# #陈原抄屈原之二十。。抄屈原九章之惜往日。
1688568189# #握手
1694407941# #【陈原抄黄帝内经】之七十二之素问篇之第二十四章:刺热。。
1695872801# #一个年轻人怎么扭曲到这种地步。
1689987088# #【墨里洁身:陈原抄庄周】之二十六之德充符
1687304488# #【陈原抄屈原】之十八。今天抄录的是屈原九章之怀沙。。抄屈原后，我打算继续抄老子、庄子、周易、黄帝内经、山海经、四大名著、菜根谭、金✘瓶%梅、肉&amp;蒲✘团、聊斋、资治通鉴、四库全书、世界童话、圣
1698889983# #〖纯真而不欠闻达，善良而不失坚强，把生命高举在尘俗之上，又溶化于社会之中，这应当是我们这一代人的共同追求〗，大儒之风，长存天地之间！蜡烛蜡烛蜡烛
1694914176# #转发微博
1690329718# #咱艸咱艸。——今夕是何年?
1699848962# #一个执法者如果又恶又脏是不应该原谅的。
1691897386# #【陈原抄山海经】之五十。。
1688566051# #同代人，以及更年轻者的不断死去，证明我们身处的世界正在渐渐地坏掉。世界的苍老，是一种不可逆的坏死病。
1690264463# #【陈原抄易经】之二之系辞传。我这样抄写，感觉特别象另一种类型的生命暴力。我把可能成为争吵、角斗、决斗侵略、征服、狂想、阴鬼之术等等（年轻时还应该加上性爱）的力量，转化为这样的抄写。我残忍地割去了翅膀，垛去了所有的枝桠和利器。甚至舍弃了一只老了的牙齿。我静止，我就是
1693440995# #【陈原抄黄帝内经】之三十二之素问篇之第十章:五脏生成。。
1687499549# #毫无人性之人。
1688944488# #转发微博
1687171718# #是的。我正在把他培养成我未来的父亲，而我成为他的儿子。
1691323646# #艸他娘的。
1693828589# #每日欲哭或正在哭泣。
1687275824# #转发微博
1689832431# #转发微博
1701557156# #转发微博
1699150068# #转发微博
1701823794# #3000点又没了！
1699484724# #勇敢的天使。
1695166220# #【陈原抄诗经】（26）之国风邶风柏舟。
1688788253# #【墨里洁身:陈原抄老子】之十一道德经。这个世界的存在价值远远低于它的创造价值。所以，如果这个世界一创造即毁灭，那将是它最高的美。更重要的，那亦是造物主最高的道德。
1694221405# #【陈原抄黄帝内经】之六十二之素问篇之第二十一章:太阴阳明论。。
1688508008# #这个星球上绝大多数灾难都是权力强加的。其实全世界的人不管肤色、种族、国家对幸福、尊严的追逐都是一样的。只是由于不受约束的权力的介入，人类才被挟裹扭曲成不同的模样。直到互相分裂、对立、残杀悲伤悲伤悲伤
1688163695# #咱艸
1694597572# #在这个难以概括的时代，有闲而无聊的人越来越多，他们聚集在河边看挖掘机施工，能连看三天，每天如上班，准时又守时，简单而重复的事情令他们如此着迷入境。——直到石坝挖通，水泄尽，鱼被捞走。直到，时光在河床里干涸。直到世界潜伏的激情，还没有萌动，就已经枯萎。——而这，无边无际的，苍茫无涯
1702940543# #关于黄俄核武器的传言作揖
1687574716# #陈原抄屈原之二十六远游图一的长图完全是盲拍的，不然的话，我已经是站在椅子上拍照，仍然无法排完整，所以只能把手机举过头顶靠感觉排，这样后面部分就拍得不清楚，但这已经是最好的一张了。就只能这样了。正如我们此时所正处的世界，也是只能这样了。
1689661174# #这不是犯罪吗？不用刑拘吗？
1691834117# #【陈原抄山海经】之四十五。。
1702253628# #转发微博
1700615400# #这种法官的身份是违法的，而且肯定没有在下级法院入额。@全国人大
1688858170# #【墨里洁身:陈原抄老子】之十三道德经
1688653444# #转发微博
1702460391# #别小看，这可都是当时的中产，没裤子穿的也有。
1698470500# #嘻嘻嘻嘻嘻嘻
1701213507# #再正常不过，换位思考，在穆斯林国家，做这些行不行，就很清楚了
1690746032# #转发微博
1702433382# #陈原/我愿意用我所有的皱纹换取刀疤（草稿）【诗】。。痛苦，包括绝望。最终会成为你的面貌和容颜。这是不可更改的意志。而不是相互商量甚至不是谶言。——所有意外的语言。此时不遵守语言的制度和道德。只是我们最终接受了丑陋的皱纹。却最终也没有接受。令人疼痛到战栗的刀疤。但是，如果可以交换。——我知
1690533029# #【陈原抄易经】之十二之系辞传。
1701958100# #真的假的？
1699962251# #黑色的超美学的礁石。
1699916042# #转发微博
1698473732# #写唐崔珏诗《哭李商隐》前四句:。虚负凌云万丈才，一生襟袍未曾开。。鸟啼花落人何在，竹死桐枯寒冬来。
1699961950# #最后的落日，血光四溅，像世界的伤口。
1699484656# #转发微博
1696554465# #握手
1695885310# #松鼠的精灵，秋树的风姿，叶片上的光影，更加深入的季节，树冠后面的秋天，逆光中淡淡的晕眩，此时此刻的世界，静息不流的时光。以及我沙哑的口哨。
1690606466# #【陈原抄易经】之十六之说卦传。
1693438634# #转发微博
1692065025# #鸦带残阳入翠微纷纷黄叶向人飞。西风不管人闲事雁自南飞燕自归。。写一首宋人同家陈著诗。
1700858239# #他的陨落，是时代的悲剧，也是一个时代的终结，更是劣币驱逐良币的结果。当故事悲伤到极致，就从悲伤中开出鲜艳的花。
1690891316# #【陈原抄金刚经】之二。
1701002615# #理应集中力量将港岛全岛打造成现代化的爱国主义示范基地爱你爱你爱你
1694835838# #【陈原抄诗经】（3）之国风之卷耳。。
1687572192# #陈原抄屈原之二十五远游
1687300142# #范儿很正啊。早晚也是个人类公敌。
1691667484# #【陈原抄山海经】之三十四。。
1695341364# #【陈原抄诗经】（38）之国风邶风北门。。
1698449620# #🙏🙏🙏
1690350588# #【陈原抄易经】之五之系辞传。
1695550428# #风的样子，就是风的形状。沉默的山脉正是岁月的凝固。之上的天光呈现着无涯的虚无。
1702985729# #江平先生也走了！想起20多年前先生家中讨论“外国法律文库”出版的时光。🙏🙏🙏蜡烛蜡烛蜡烛
1701646584# #此观点最直观也最到位。
1689597210# #【墨里洁身:陈原抄庄周】之十三之逍遥游。
1691464800# #【陈原抄山海经】之二十一。。
1691041732# #【陈原抄金刚经】之十四。金刚经曰:凡所有相，皆是虚妄。。金刚经曰:应无所往，而生其心。。——这两句话，是金刚经深深震动我的两句话。
1687089798# #陈原抄屈原之十五
1695885597# #幸亏还有它们的开放。否则我更加不能忍受这个世界。
1689631131# #握手可乐
1688353031# #【墨里洁身抹黑自己】。夫天地者，万物之逆旅也，光阴者，百代之过客也。。昨天凌晨，突然想起这两个句子，遂激动不已，呼吸沉重，心跳骤急，几乎至颤栗，几乎至癫痫。立即下床，愤书之。为平复自己，遂写了后两幅美句韵文。。唉，看我这没出息的尸吊样。
1687048184# #【骚事记录:陈原抄屈原】之十三。五点多就起来写毛笔字了，刚刚停下。。不得不承认，写字是一种气功态，或者别的一种类似气功态的态势。无论是你正在干这件事，还是你在设想这件事，都是处于一种这样的态势之中。这是一种有益的状态，因为它无形中已经逃离了这件事本身，而正在试图成
1700176323# #使老有所养，壮有所用，幼有所长。
1698846067# #震惊这样的民风民情。
