1703760997# #“技术应该在车上，而不是在PPT上。”领跑汽车这是在内涵谁？
1702336432# #每天早起打卡。。早呀！杭州今天又降温了！好冷🥶
1700017056# #王自如和罗永浩当初的辩论，我记得最清楚的是老罗的那句“被包养了就不要谈人格独立。”，到现在这句话依旧记忆犹新，可能王自如也是因为这句话，最终退出了机圈，最终进入了格力。。。王自如罗永浩辩论谁赢了
1689125543# #400万粉丝网红发布擦边视频被封。。现在用心做的内容，没人看，平台也不推，而这些个打擦边球的账号，因为看的人多，平台却给猛推，可见大数据也是爱这个的。
1703666555# #黄教主换新手机了！这不会是荣耀Magic6的保时捷设计吧？
1702730610# #做手机的网友发的，年底了，大家注意点，小心别被骗了！小本生意，小心为上。
1701859827# #如何让摇一摇广告滚出手机。。华为和荣耀手机的新版本目前都已经有了转跳提醒功能，在APP要转跳到其他应用的时候，都会出现一个提醒，问是否要转跳？这个设计还是挺合理的。
1703212752# #AppleWatch禁令美国落地。。虽然有点佩服美国这种侵权执法力度，连苹果侵权了都照样该禁售就禁售。。。这样做虽然对专利保护和知识产权发展有一定作用，但有些规则却让专利寡头有空子可以钻，造成专利垄断，让很多企业绕不开专利，被迫交很高的专利授权费，反而阻碍了创新。
1686999150# #看丫丫吃饭被香迷糊了。。棒棒的！这就是熊猫的退休生活！
1693540022# #华为的研发大楼灯火通明是常态，很多人为了赶进度会主动连续加班到深夜，每个人都像打了鸡血一样！很多人会奇怪，为什么华为的员工很少有人抱怨？。。主要原因我觉得，还是华为给员工的实在太多，同样岗位外面1万的工资，在华为可能可以拿到3万，关键是在华为加班加班费、补贴一样不少，干的好还有股票可
1698539933# #每天早起打卡。。早安！起床搬砖了！。。荣耀Magic5Pro
1689810861# #杨洋不仅帅会演戏，对粉丝也是相当的不错！。。记得在荣耀90系列发布会上，现场粉丝那个热情啊！作为荣耀90系列全球代言人杨洋还在现场亲自抽取幸运粉丝，还为她拍照了！看得出粉丝们对杨洋的喜爱。
1692680157# #孤注一掷票房是谁在扛。。前几天去看了，我觉得《孤注一掷》算是一部扣人心弦的片子，刚好符合当下的社会热点，对于那些曾经被网络诈骗所害的人来说，这部电影无疑会引起强烈的共鸣。
1703634869# #学校花1500万买下大飞机供学生练手。。我原本以为飞机维修专业，学生有机会练习真正的飞机就已经很好了，没想到学校竟然直接买架空客A320给学生进行练习！我们杭州的学校可以啊！有实力！
1703546533# #小米搞了13年的手机，没想到居然把汽车技术也悟了？思考
1687066558# #被录取了因体检不合格被刷。。谷丙转氨酶有点超标很正常吧！我是谷丙转氨酶和谷草转氨酶都高一点，诊断肝功能有点异常。这也算体检不合格的话！我估计连工作都找不到了。
1701098308# #又地震了，这次是在昆明地震。。现在手机上都有地震预警功能，但是默认是关闭的，大家在手机到手之后注意打开。。。荣耀手机地震预警功能在设置～安全～应急预警通知里打开。。。华为手机打开的路径是一样的。
1699607780# #华为和奇瑞发布的智界S7抄袭了小米预研的小米汽车？。。不愧是大神，思路确实清奇！
1701432939# #同比增500%！。。荣耀100Pro首销这么火爆啊！。。你入了吗？
1699751900# #感觉今年双十一比前几年都要冷清啊！。。今年我真的是没怎么关注什么活动，就在昨晚睡觉前随便凑单买了几件衣服、裤子、鞋子！到货好穿就留着，不好穿就退货，反正有运费险。。。昨天双十一最后一天，大家都入了点什么好东西？
1704021038# #海底捞小程序崩了。。这是服务员太累了，打算让他们休息休息？
1697939673# #依法对富士康旗下企业税务稽查。。对白眼狼就是要狠狠敲打！看看到底谁怕谁！
1703385962# #为什么明星喜欢用折叠屏手机。。不光是明星，我觉得普通人经济允许的，很多人都会愿意尝试这种新款潮酷的折叠屏手机，要不然折叠屏手机的销量怎么会年年上涨了。。。不过要说现在的折叠屏手机的普及，真应该感谢华为和荣耀，将折叠屏手机做的又轻又薄，重量和现在的直板旗舰手机差不多，难怪大家都开始用
1693317359# #华为Mate60评测。。纠结华为Mate60Pro是不是5G的，已经完全没有必要了，今天在深圳的各大数码博主已经第一时间实测了，随便一跑都800多Mbps，这不妥妥的5G速率么！
1689915846# #王者峡谷出现手机。。唉，最近实在太忙了，都没有时间玩几把王者。
1696217401# #某宝真是什么东西都有，淘了一款冬天喝茶的神器，茶杯放上就会自动加热，终于不用喝凉水了。
1701990346# #万达拟出售一二线城市万达广场。。看来，地主家也没有余粮了啊！
1699312722# #每天早起打卡。。早啊！起床搬砖去喽！。。荣耀Magic5Pro
1702180127# #知情人士回应小米汽车发布会定档。。小米汽车有可能月底发布？年轻人的第一辆车看来终于要来了。嘻嘻
1702944706# #每天早起打卡。。早啊！早上的杭州地铁一号线好挤啊！。。荣耀Magic5Pro
1690871640# #这用红色以后都成抄袭了？允悲。。加人们，啥情况？
1691229369# #虽然是安吉人，还不知道安吉有这么好的吃烧烤的地方。
1691898418# #中国的哪个小县城的名字好听。。安吉县，安康吉祥的意思！中国竹乡！
1699831616# #vivo这次广告费投用很充足啊！打开微博到处可见vivoX100系列发布会的广告。。。vivoX100系列这次首发天玑9300，没有骁龙8gen3?
1700907361# #啥情况！昨天我以为是预制菜的春天来了，没想到今天就被马云打脸？。。前助理否认马云做预制菜
1699314901# #公开场合去诋毁同行，是身为一个企业负责人的大忌。。。做好自己的内功，让车主自己主动自觉的去做宣传，才能赢来口碑。理想的大冰箱彩电，蔚来的换电，比亚迪的刀片电池，华为问界的智驾，无一不是如此！。。小鹏这一拳实际上是打出的自己的尴尬，没有什么能让人印象深刻的功能，只能依靠制造话题来提高曝
1697862165# #为啥老有人拿华为手机去挡子弹？这要求也太高了吧！有本事你们拿iPhone去测试。
1688339660# #每天早起打卡。。早安！兄弟们！今天天气很好，很适合拍照。。。荣耀90Pro
1686980613# #头条震惊部是懂写文章的，手机上这256GB的存储就这么淘汰了？
1690947975# #iPhone14被用户吐槽电池老化。。随便看了一下，前几个大V的iPhone14电池都掉的挺猛的，这才一年不到啊！看来这一代的iPhone14系列电池确实不太行！你的iPhone14电池健康度怎么样？
1703131669# #荣耀新注册一个“荣耀鸿燕”的商标，这个商标是专为卫星通信注册的商标，。。听说荣耀已经做出了比大哥还厉害的卫星通信解决方案！。。荣耀Magic6系列应该就会搭载，期待一下！
1691291197# #苹果地震预警。。卖万把块钱的iPhone，居然没有地震预警功能！还不如我几千块的荣耀Magic5Pro好用。笑而不语
1689389384# #旗舰手机对决，还得看这两款！。。九月华为Mate60Pro和iPhone13Pro，你看好谁？
1698569180# #苹果营销活动音乐家承认使用华为。。苹果主动放弃了俄罗斯市场，俄罗斯人现在用华为不是挺正常的？俄罗斯现在已经是华为的一个重要的海外市场了。
1700195508# #丫丫回国后，状态真的好很多了！他们真不会照顾大熊猫，建议他们把照顾奶爸奶妈的人也一起请过去。。。白宫称欢迎大熊猫重返美国
1703491263# #雷军担心小米汽车都不买更怕都来买。。雷总不用担心，小米汽车确实很好看！我也看好小米汽车，但首批估计我不会买，因为没钱。允悲
1688639506# #梁朝伟一个人看电影要买六个位子。。很难想象，梁朝伟演了这么多的电影，居然社恐的这种程度。允悲
1700123363# #我们杭州的社区医院，设备设施齐全，环境干干净净，现在搞的是真的好！
1701819746# #一加12发布会真开创历史了啊！。。居然让于适骑白马上发布会舞台！允悲。。不知道其他厂商会不会效仿？想想那场景……
1698483627# #iPhone15提前降价导致销量下滑。。是销量不好才降价的！并不是降价了才导致销量不好！所以逻辑不要搞乱了！
1701944845# #这个话题有意思，一加和小米谁急了。。我觉得手机行业目前，也只有华为具备足够的实力来与苹果进行竞争，剩下的市场也就这么大，几个品牌竞争激烈十分正常。。。大家在技术上的争论我很支持，因为越是技术上探讨，越会促进产品的质量的提升，对我们消费者反而有利！
1703773116# #一阳顶峰再相见。。暖阳手里的荣耀90GT辨识度好高呀！这就是我心仪的游戏搭子！嘻嘻
1687997140# #微软Edge浏览器在整合必应聊天之后，获得5000万的用户规模增长，用户规模已扩大到2.85亿。
1697858530# #中国流浪狗数量高达4000万只。。我们公司就有好几只流浪狗，组织扑杀好几次都没有抓到。这些狗每次白天看到人都躲得远远的，等晚上就会突然窜出来朝你叫，好几次被吓到，这要是万一扑上来被咬一口不得了！。。很好奇是哪些人在投喂这些流浪狗，真心建议爱狗人士都把这些流浪狗带回家！
1693974965# #白宫回应华为新手机。。白宫发言人也出来给华为打广告了！华为真是太棒了！
1686999102# #女子买1根牛肉干店员偷塞进5根的量。。不光是这个，前段时间曝光的鬼秤不也是吗？
1695089383# #看谁还敢再说，华为独占卫星通话功能！。。电信卫通曾经走访了很多手机厂家和专家，结果都说手机实现卫星通信功能太难了，有些人甚至直接表示不可能！最后，只有华为接了！。。现在，华为真的在手机上实现了卫星通信功能，却有人跑出来指责华为垄断了这项技术！请问你们有什么资格指责华为？真是可笑！
1701404630# #鸿蒙现在是遍地开花啊！高德地图也宣布加入鸿蒙应用开发！。。鸿蒙已经是众望所归，还有人怀疑它不行？
1702807836# #这款宫菱电饭煲居然还能发面，晚上就用它发了点面，做了葱油饼，相当可以。
1696053049# #iPhone拍中秋月亮。。要说拍月亮，还是得看安卓手机，这是我昨天用荣耀Magic5Pro随手拍的月亮，不错吧？
1693485079# #明天有个考试，但我但现在还没有复习过，现在还有点困，怎么办？允悲
1702889605# #荣耀与保时捷的联名合作堪称最般配的组合。。。对于一直使用华为保时捷设计的朋友来说，这次换到荣耀品牌也不会感到有很大的割裂和不适应，毕竟两者的系统还是相当接近的。。。更重要的是，荣耀在手机设计方面已经青出于蓝，相比华为之前的保时捷版本，相信荣耀的版本会更加美观和出色。。。不知道，大家对此
1697279643# #我们杭州市民的业余生活还是蛮丰富的。嘻嘻
1688254937# #浙江这是下开水的节奏吗。。浙江现在的热，难受在空气湿度太高，出汗后根本干不了，身上像是糊了一层液体黏糊糊，极度不适，今年的黄梅天啥时候过？
1701387328# #从小就看过很多关于社交的礼仪的文章，说和人约好见面最好只提前几分钟到，不要到太早，也不能迟到，避免双方尴尬！这都忘记了？。。德国总统干等半小时
1703417314# #洗牙是智商税吗。。我做牙医的朋友告诉我，牙齿上有一层天然的釉，洗牙，洗牙的机器高频震动会把牙釉洗掉。。。所以，你如果从来没有洗过牙，并且牙齿还不错，最好不要听人忽悠去洗牙，一旦洗过之后就需要经常去洗了。。。当然如果你的牙齿本身就有问题，比如老烟枪那还是要洗一洗的。
1687775409# #浙江考生想突出重围可考虑出省。。咱大浙江，要钱有钱，要生源有生源，为什么就不能多建设几首高质量的大学出来，让浙江的学子都能走进高校呢？
1689737697# #公司1.2亿租楼300每月租给员工住。。这样的公司应该很多人会选择去吧？但愿这样的公司可以活久一点！
1698401126# #小米14和iPhone15怎么选。。如喜欢苹果就顺应自己的喜欢，如果想换换口味，小米14系列我觉得也挺不错的，毕竟配置已经堆到了安卓手机的顶了，体验不会差。嘻嘻
1701300370# #美团10亿美元回购难撑股价。。我股价只是短期波动而已，看到有人说年轻人不点外卖那是扯淡，现在社会内卷的形势，不仅年轻人，打工人只会点越来越多的外卖。。。我觉得美团关键还是要解决和骑手商家的利益分配问题，还有就是入驻商家的优选问题。。。很多入驻的街边小店看着销量相当高，但实地去看作业环境
1697364888# #国美客户端现辱骂创始人弹窗。。最惨的还是普通打工人啊！用这样的方式讨薪虽然不好，但也是被逼无奈了吧！
1696046734# #感觉为技术，大家真的非常愿意付费！。。华为还为Mate60系列推出了一款售价299的微泵液冷壳，这款壳现在已经卖脱销了！主要原因我觉得和之前有大V拆解这款手机壳有关。。。这个微泵液冷壳内有乾坤，内置的智能芯片，会随着手机温度和使用场景自动开启，而且启动后动手机壳上还有动感光效，相当炫目。。。问问
1696768689# #杭州亚运会闭幕。。咱杭州是真的美呀！欢迎大家有时间到杭州来玩啊！
1698895092# #苹果用户称被软件自动扣费三年损失8千元。。每个礼拜扣50块，居然三年后才发现！要是我的话，每个礼拜扣我一块钱我都发现了！哎！还是穷啊！
1703559926# #在系统智慧功能方面，我只服荣耀！。。荣耀Magic8.0将上线全新“魔法门”功能，拖动文字即可直达其他APP，使用如同哆啦A梦的任意门！还有哪家可以做到这个效果？。。该功能于荣耀Magic6系列首发。荣耀MagicOS魔法门功能曝光
1703504290# #网易暴雪复合。。那首歌怎么唱来着？当初是你要分开，分开就分开，现在又要用真爱把我哄回来！
1703226691# #iPhone15和iPhone14Pro谁更值。。要是在iPhone15和iPhone14Pro两款手机里面选择的话，我选iPhone14Pro。。。毕竟，iPhone14Pro运行内存更大，处理器更强，摄像头也更好，电池容量也更大。。。但花同样的钱，也啥不买安卓手机呢？比如荣耀Magic5Pro，配置功能丝毫不输，信号还强。
1701299538# #每天早起打卡。。早安！周四了！加油！
1703031105# #泰国瑞幸向中国瑞幸索赔100亿泰铢。。吓我一跳！赶紧定一杯瑞幸压压惊！
1694502873# #大嘴不装了！。。问界新M7直接和理想L7MAX怼脸开大！。。虽然理想现在的销量还领先问界挺多，不过华为在智能驾驶这块的优势不容小觑！理想！坐稳了！
1696167945# #孙颖莎女单夺金。。日本这两年的乒乓球水平，一下子涨了很多，给中国队，尤其是女队的压力大了不少。幸亏有莎莎在！小日子还是翻不起风浪。
1701507187# #OPPO版“非凡大师”？。。黑厂这几年的设计我觉得都来不错的，怎么就……
1694075163# #在某些群体里，华为投入这么多钱，花了这么多时间，“就造出个国内版888而已！”
1698189386# #每天早起打卡。。早呀！休息一天，起床搬砖了！
1697771083# #黄牛是真厉害！英伟达RTX4090显卡全网库存几近被扫光，最高涨至5万！。。英伟达RTX4090系列显卡在旗舰店下架后，华硕、七彩虹等英伟达合作商也同样纷纷下架该型号的非公显卡，这导致部分拥有RTX4090库存的商家对其定价直接跳涨，多达2万元以上，甚至出现近5万元的高价。
1692252060# #减脂期可以喝奶茶吗。。谁说减脂期不可以喝奶茶？。。其实想要减肥或减糖，确实要少点甜味。但我们可以喝脱脂奶奶茶，一杯脱脂奶茶，基本只有奶的热量，一盒200毫升奶才大约70千卡。。。我们不仅过了瘾！提了神！还顺便补充了优质蛋白和钙，关键是心情也愉快了！减重不就是为了能更愉快的吃喝吗？
1690371817# #杭州热烈欢迎月薪三万卢比的印度老哥，来此一游！
1702381918# #小米SU7尾部。。小米汽车SU7的车尾，我觉得一眼看去颜值还是相当可以的，就和米家的很多产品一样，颜值都比较高。。。不过汽车有光有颜值还不行，还得看内在，等上市后，看它的体验如何了。。。你会首发入手小米汽车吗？
1699528123# #华为因鸿蒙智行商标被驳回，才导致改名！但某些人眼里，却是华为和奇瑞汽车不合了？笑cry
1702819217# #罗永浩是什么段位呀？居然还有人说他要蹭流量？。。唉！他这种经历了大起大落的人，现在还用得着蹭这种流量？我是不信的！这波我站老罗，有空就来逛逛，聊聊近况也好。
1694919550# #华为基站设备做到了世界第一，其中基站设备的散热就非常重要。。。尤其是建在荒山野岭的基站等恶劣环境下的基站要求更高，因此就需要工业级的专用空调来保持基站的恒温恒湿。华为了保证基站的环境适应性，干脆自己投入力量研发工业空调。。。所以，华为的基站设备能做到世界第一，不是没有道理的。
1702267595# #荣耀90GT的后置相机模组看上去有点酷！。。发动机引擎的造型，给人一种爆发力十足的感觉！
1694502033# #全家都争气是种什么体验。。华为全面回归，手机市场格局将迎来巨变，明后年可能就有厂商会被市场淘汰。思考
1702715858# #寒潮杭州今年的天气变化特别异常，前几天20多度，两三天降温到0度左右。今天出门手都伸不出来了！好冷！🥶
1697852733# #男子用厨房水龙头滴水帮打游戏。。这办法是挺好的，就是比较费手机啊！
1691716016# #下班后微信办公算加班吗。。我也想知道这个问题，能不能请铁头这样的网红，出来帮大家一起整治一下职场？挖鼻
1702946652# #苹果在美停售AppleWatch。。苹果手表居然因为专利侵权，在美国停售！嘻嘻。。遥遥领先的苹果也有这么一天！果粉们要破防了吧？
1703394694# #尊湃通讯这事前两天也说过了，就是华为被制裁最困难的时候有人离职，离职后去拉投资成立个新公司，挖海思的墙角、又偷技术。不过最后被华子识破，报警抓人，人赃并获，证据确凿。华子这么多年下来商战经历无数啊！有些人动歪脑筋，当华子这几年战白打的吗？
1695786215# #这个华为Mate60的包包真是很有创意啊，背着上街比LV的回头率都高！
1701165600# #当我在做一件觉得很难的事时，有时会有一种很想要放弃的状态！但这个时候如果坚持下来，并把事情做完，会感觉到一种非常的成就感，发自内心的感到快乐，这种快乐应该就是“内啡肽”吧？！内啡肽的快乐谁懂啊
1698894050# #智能手表你选苹果还是安卓。。智能手表要在苹果和安卓里面选择的话，我选安卓。。。我现在戴的这块表是荣耀手表4Pro，可以登陆微信，健康检测和运动监测功能齐全，关键是续航7天以上苹果比不了，用着是相当香。。。苹果和安卓的智能手表，你会选择谁？
1702639757# #大家猜荣耀90GT的顶部，安排了什么？
1701922966# #荣耀MagicV2荣获2023年度折叠屏金奖！。。这款手机厚度只有9.9mm，是目前全球最薄的大折叠旗舰。
1696400773# #华为连手机CMOS图像传感器都在要自研。。。华为被制裁后，索尼也被迫中止了对华为图像传感器的出货，尽管事后索尼申请了继续向华为供货许可，但这也让华为明白靠别人不如靠自己，CMOS图像传感器也要自主研发。。。就是不知道哪家供应商，会搭上华为自研CMOS图像传感器的班车？
1694043201# #情绪稳定的领导有多重要。。其实遇到情绪不稳定的领导也挺不错啊！看到他脸色阴沉就知道他心情不好时，大家都自觉远离他，看到他笑嘻嘻时，就拍拍他马屁，不是挺好的？
1689737893# #买手机你会考虑保值吗。。现在钱这么难赚了，买手机当然要考虑一下它的保率了，万一有一天急用钱，还可以用它快速回血不是吗？嘻嘻话说像荣耀MagicV2这样的折叠屏手机应该很保值吧？
1702977512# #既要高画质，又要满帧率！友商如何应对？。。荣耀每次推出一款性能旗舰后，网上总会出现一些声音，指责荣耀通过降画质达到游戏满帧的目的。。。这次，荣耀通过加大在硬件研发方面的投入，对荣耀90GT的处理器、散热等核心硬件进行了深度优化，确保了荣耀90GT在游戏性能方面稳定实现了既能满帧，又能高画质的
1698121797# #学者称股市涨1000点居民财富多25万亿。。慢慢等吧！股市总有起伏波动，几年遇到一个牛市，才是赚钱的机会，现在看到好的票，有低吸的机会，买一点当做存款呗！
1695457049# #欢哥喜欢上了我的荣耀MagicPad13，刚刚用它画了张钢铁侠，大家觉得怎么样？
1703419942# #小米公司发言人最近有点忙啊！
1702186775# #余承东称华为明年将推出颠覆性产品。。嘴哥昨天爆料确实够劲爆的，明年有颠覆行业的产品推出，而且明年有一系列产品将发布。。。昨天视频我全程拍了，太大，发不上来，得回家整理一下。嘻嘻
1694413881# #华为归来逼迫苹果走出舒适圈。。华为回归不仅仅是带动手机零部件厂商，而是带动了一系列的产业，同时也把利润留在的国内！。。简单来说，苹果赚钱后是给美国上税，华为赚钱，是给我们自己国家上税！为什么还是有很多人觉得华为回归意义不大？
1699754818# #109.8万元！比亚迪仰望U8豪华版首批量产车正式下线。。。仰望U8豪华版有龙石绿、曜石黑、萤石白，选装哑光龙石绿、哑光月光银5款配色，纯电续航里程180km（CLTC）、综合续航里程1000km（CLTC），最大动力输出达1200匹马力，百公里加速时间最快仅需3.6秒。。。仰望U8搭载的易四方技术、专属的智能液压车身控
1696893595# #每天早起打卡。。早呀！总算看到久违的阳光了！。。荣耀Magic5Pro
1703905902# #🌟荣耀EarbudsX6🎧：音质、功能与设计的完美融合！。。🎉荣耀全新发布的EarbudsX6无线耳机，堪称音乐爱好者的梦幻之选！🎧这款耳机不仅在音质上做到了极致，更在功能与设计上展现出超乎想象的魅力。。。🎵搭载10mm动圈单元，选用高分子复合镀钵振膜，荣耀EarbudsX6为你呈现无与伦比的音质效果。
1697519840# #小米澎湃OS也官宣，将会在小米14上首发搭载，是“人车家全生态”的关键跨越，小米也终于迈出了全面自研阶段，想要在这个时代保持核心竞争力，自研是必须要迈出的一步，作为8年老米粉，我挺看好小米的。小米14将搭载小米澎湃OS
1691045776# #天玑9200+的跑分成绩有点厉害，达177万！红米K60至尊版全方位吊打友商11。
1690513260# #当代年轻人的办公仪式感。。工作也需要仪式感，每天一杯续命水是必须的！进办公室第一件事，就是赶紧把命续上！嘻嘻
1701386517# #只有晚上这么点时间算是完全自由的，还想让我不刷手机？做梦呢你！。。长期睡前玩手机会付出啥代价
1692184521# #手机圈很久没有出现这么火爆的场面了，有点好奇卢伟冰说的这家“高歌猛退”的哪家？
1688013625# #华为与荣耀将在7月彻底分割，8月开始荣耀正式完全独立？。。华为被美国制裁后被迫出售荣耀，在出售荣耀后华为在技术、系统、软件、专利等方面给予荣耀充分的过渡期。现在看来，过渡期即将结束，荣耀将要彻底走自己的路！。。大家觉得，荣耀能成功扳倒苹果吗？
1690725147# #华为的麒麟即将回归，确实非常振奋人心！但要说7nm可以打平4nm听着总有点魔幻，大家还是不要乱沸腾了！
1696649157# #iPhone15和Plus电池或老化更快。。苹果之所以在电池方面削减了成本，是因为该公司已经建立了广泛和可靠的供应链和零售网络，还有就是培养好了用户习惯，换块电池就是千儿八百的进账，多爽！恨不得用户能够每年一换！
1695527947# #今年时装周有哪些看点。。生活可以很平凡，穿搭却不能无趣。时装周上各位明星的穿搭，大家觉得如何？
1693312379# #华为。。华为这突然一下子开卖华为Mate60，搞得所有人一个措手不及，虽然OPPO很受伤。。。不过最受惊吓的，应该是漂亮国吧！7nm实现国产化，这消息，不亚于中国原子弹成功！
1703686650# #3块钱的饮料正在集体消失。。还是9块9的瑞幸生椰丝绒拿铁香，就是感觉甜了一点，如果能半糖的话我觉得刚刚好。
1693399792# #十天前，提到华为麒麟芯片，很多人的看法还停留在：“14nm就不错了！，绝对没有能力7nm或者更进一步”。。。没想到华为直接扔出来一个王炸！这情景，有点像当年对飞机的情景，结果歼-20也是一个王炸！。。从歼-20、055、弹射航母，到今天的华为麒麟9000S回归，你们还不明白吗？我们已经不再是当年让人欺凌
1694651176# #全球首个承认外星生物存在的国家。。宇宙这么大，有外星人我觉得正常！不过墨西哥这外星人长的有点眼熟。
1701302802# #荣耀高管喊话友商！红米K70系列与一加12系列纷纷响应，屏幕护眼技术风潮即将来临！。。荣耀绿洲护眼屏广受好评，护眼的"方向对了"！各大厂商纷纷推出自己在屏幕上的创新技术。红米K70系列紧随其后，推出青山护眼技术，一加12系列也毫不示弱，明眸护眼技术来势汹汹。看来，护眼技术已经成为行业风潮。。。对
1688080232# #每天早起打卡。。兄弟们，早安！。。荣耀90Pro
1691578752# #孤注一掷票房破8亿。。孤注一掷豆瓣开分了，7.1的评分还可以，我觉得豆瓣7分以上电影都可以一观。
1696556112# #高铁是贡献巨大的。。因为有了高铁，让我们现在出行方便了多少？就比如说以前杭州到上海，普通火车最起码两个小时，开车的话要更久，现在一个小时就可以到了，而且和地铁无缝对接，在家里掐着点出门都不要紧。
1700309002# #荣耀又上央视了，这排面！
1693550817# #华为回归后，被卢总夺走的五千万用户会不会也跟着回归？
1691466922# #如果我们公司的食堂，也和华为的食堂一样搞个末位淘汰制，估计饭菜的可口程度和服务都会直线上升！
1702185291# #既然你们都说了，太多人去打卡，给它造成的负担很大，对它们造成了很大的伤害！。。那你们在干什么？节目的播出只会让更多的人知道那里，萌生出去哪里打卡的念头！。。不播不宣传，才是对它最大的爱！不是吗？。。地球之心越多人打卡越悲凉
1693296630# #你们有人注意到，OPPO刚在开发布会吗？允悲
1699878183# #终于知道这位小姐姐是怎么上去的了，这就算是有自动驾驶也没用啊！允悲
1699117278# #东北这次强降雪下到发紫。。杭州这两天天气非常不错！
1701338041# #你就台行走的问界。二哈
1696299055# #自从医疗反腐后，我发现我们杭州医院里的医生服务态度真是提升了不止一个档次，态度这个礼貌了，而且看病都是先给你配点药，不像之前动不动就给你来个什么什么检查。
1700117047# #看看iPhone传文件的方式！。。再看看华为/荣耀的多屏协同！。。嗯！真香！。。苹果安卓实现跨生态互联
1698034080# #iPhone15全系价格暴跌。。iPhone这产品力不够，还卖高价，跌不是正常么？。。果粉虽然有钱，但不傻，知道一分价钱一分货，库克这每次都挤这么点牙膏，果粉就用脚投票。
1699401290# #捋一捋整个AEB事件。。。我觉得小鹏原本可能是想模仿一下雷总，朝华为开炮制造话题，再“给大家科普一下AEB的几个缺点”来增加热度。。。显然小鹏没想到大嘴会这么快回应，而且更没想到网友们这么热情，昨晚上懂车帝的实测更是将小鹏自身的短板充分曝光了！。。如果真如我所想的，小鹏是为了炒作，那这次应该
1697155331# #巴以大规模冲突进入第五天。。感觉现在以色列给俄罗斯树了一个榜样，以色列巴勒斯坦这么搞，是不是代表俄罗斯也可以对乌克兰这么搞？
1699488676# #传闻，荣耀100的后置相机模组是这样的？。。手机壳厂商们，陷入了沉思！
1690960039# #卢总要么不说话，一说话就停不下来！。。红米K60至尊版来了，会不会上骁龙处理器？
1691280200# #坐地铁到杭州机场不用走室外了。。上个月不是就已经不用走室外了吗？我上个月去北京的时候坐的是地跌7号线，到机场就是无缝转接的。以后杭州市区去机场方便多了！
1695698479# #ChatGPT王炸级别的更新多模态功能。。总结一点，新技术的到来，让笨的人越来越笨。
1691301055# #手机信号显示24小时1.7万人逆行进涿州。。我们浙江已经有好多支救援队已经参与救援行动了，为每一位逆行者点赞！
1697186275# #华为的一款手机壳，居然让果粉破防了！。。华为Mate60系列发布后火爆异常，华为为它还推出了一款微泵液冷壳，这款壳打破了大家对手机壳散热的刻板印象，而它仅299的价格，可比苹果卖399的普通壳良心和实用多了！。。说真的，这样的黑科技手机壳建议友商都很近一下！荣耀如果也可以安排一下的话，我就给我的
1688691905# #杭州男子卖掉三套房换别墅刚到手就后悔。。1.都买别墅了还会在乎100多万的装修费？。2.农村现在都不住人了？。3.现在有一种东西叫做扫地机器人，听说过吗？。4.孩子不会长大吗？以后都捧着手心里吗？。5.杭州哪里的别墅？现在市场价是多少钱？他现在卖多少钱？
1702337931# #懂车帝可能也没想到，测个车居然遭遇到了有史以来最大的公信力挑战！。。在懂车帝发布冬测后，有一群热情的问界车友驾驶着问界M7智驾版，在零下22度的低温环境中，实际测试了这款车的续航表现。。。测试条件如下：。测试地点是哈尔滨，室外气温为零下22度，空调温度设定在20-22度之间，参与测试的人员包括3
1699275720# #为什么iPhone只有P大写。。iPhone和iphone就差一个字母，但P大写后整个词看上去更协调一点，有没有？
1696561985# #旅行办公带平板还是笔记本。。这就要看你具体的办公需求了，如果只是处理文字型的东西，平板就够了吧。。。我现在出门都是带着荣耀MagicPad13，处理点文字性的东西基本都可以完成，闲下来还可以看看视频，玩玩游戏，蛮好的，关键是轻便，笔记本相对还是太重了。
1688099390# #赵露思身材确实好！追星就带Magic5至臻版，演唱会坐山顶也不怕！赵露思
1687324137# #喜欢数码应该选什么专业。。我觉得如果喜欢数码可以选择土木工程专业，要知道数码产品最重要的芯片原料可是沙子。
1699358341# #折叠屏手机信号哪家强。。华为这个用于测试手机信号的房间，5年前全国只有两个，不知道现在增加了没有？。。手机信号弱的痛谁懂
1696812733# #苹果做不出基带，是因为不在乎？。。有网友觉得：“基带芯片不复杂，连展讯、联发科都能搞定，苹果有钱有人还收编了英特尔团队，会搞不定？只是苹果不在乎而已。”。。大家觉得苹果是什么原因做不出基带？
1691033517# #很奇怪！为什么老是有人来喷华为的卫星通信功能是割韭菜？。。卫星通信功能平时确实使用率不高，但如果真用到，可能就是救命的！而且华为手机实现的是卫星短信播报，并不是卫星通话，能低成本实现紧急求救定位功能，成本可比卫星通信电话的多了。。。为什么现在有些人就这么不自信！认为我们自己的东西不好
1700876798# #iPhone的“屏幕内嵌电动滤光器”新专利不错，在屏幕中间添加一个偏振层，达到控制屏幕的偏振程度的目的。。。简单来说，就是屏幕自带防偷窥膜的功能，这功能给国产屏幕厂商又提供了一种新思路啊！相信不久的将来，国产厂商也会有类似的功能。
1692667478# #华为Mate60系列这次的保密工作做的非常到位，都快发布了也依旧没有什么消息爆出，这些个爆料的也都没有什么真正的料。。。昨天，传的华为授权店工作人员透露，华为Mate60确有5G版本，不过可能量不多，加价恐在所难免，看来又需要拼手速了！。。如果抢不到也没关系，荣耀Magic6系列应该也要来了，可以完美平
