1602822161# #快讯|广州花都发现1例新冠肺炎疑似病例快讯|广州花都发现1例新冠肺炎疑似病例
1678333555# #分享图片
1575331196# #关注老年人营养（六）特别关注老年妇女营养
1655253048# #分享图片
1685840191# #『新冠重复感染有何后果？抗病毒药可用作预防吗？专家这样说』
1645065875# #分享图片
1691022745# #厚德必有邻，人慈福满门，心诚交良友，人好遇知音，清晨送祝福，天天交好运。早上好握手玫瑰玫瑰咖啡咖啡
1609376015# #分享视频
1647565423# #分享图片
1623024549# #分享图片
1600853907# #我分享了的文章
1659139596# #亲们早上好！。今天是2022年7月30日星期六，阴历七月初二。。武汉市今天晴天，北风二级，气温24℃~33℃，空气污染25（优），空气湿度79%。明天晴天，气温24℃~34℃。。终而复始，日月是也；死而复生，四时是也；奇正相生，循环无端；涨跌相生，循环无端，涨跌相生，循环无穷。机遇
1597833361# #分享文案分享摘要（分享自
1686309319# #看看小学生作文！
1610153895# #凤凰新闻【美国众议院撰写弹劾特朗普决议草案：故意煽动暴力行为】【环球网快讯】美国有线电视新闻网（CNN）刚刚消息称，国会众议院民主党人已撰写了一份针对特朗普的新的弹劾决议草案。草案其中写道，“唐纳德&middot;约翰&m...
1609548838# #早安吉祥
1629516310# #悉尼博塔尼港：每10个集装箱有4个来自中国 --澳新频道--人民网（分享自
1676682060# #转来一个故事启发【荷包蛋】的故事。。一位父亲有一天煮了两碗面条，一碗面条上面是看得见荷包蛋的，另一碗是看不见荷包蛋的，儿子你选那一碗？疑问。。儿子毫不犹豫的说：我要面上有鸡蛋的这碗。当父亲把面条吃完了，碗底下有两个荷包蛋，被儿子看到了白眼白眼。。儿子问：爸爸你怎么有两个鸡蛋，而
1585575593# #《张文宏直播提建议：多喝水，多吃这2种食物，就是最好的预防》疫情以来，张文宏教授每次接受采访，都以他真实、幽默的发言被称为医学界的“段子手”。
1605174956# #凤凰新闻【研究关键州四个县，这位教授准确预测美国大选】关键州的密尔沃基，费城、匹兹堡，还有一个底特律，这四个大城市里面的黑人能够出来投票，投票率高一点就可以翻盘。我专门研究过这四个城市所在地主要的县，得出来了预测结果。...
1637022337# #早安吉祥太阳玫瑰咖啡合十。有质量的人生，不是走向复杂的世故，而是回归到简单的天真。世界这么大，总会遇到一些烂人烂事，但若是纠缠不休，就会将你拖入情绪的泥淖。欲成大树，不与草争；将军有剑，不斩蝼蚁。把目光望向远处，你的时光值得花费在更美好的事情上。。玫瑰玫瑰
1703381528# #《订购敲门声》。2023年最佳创意奖：。。去年冬天，我被裁员了！为了养家糊口，只好临时去当送报员。。我送报的其中一户，信箱的入口，却被堵死，我便只好敲门，许久，一个步伐蹒跚的老人，缓缓地打开门，我问：“老先生，你的信箱入口，怎么被封住了？”。老人答：“是我故意堵死的。”老人尴尬一笑！。老人
1646964531# #各位老师好，根据最新疫情防控排查通知：。请各单位迅速对2022年2月28日（含）以来有上海市浦东新区沪东新村街道；3月3日（含）以来有山东省淄博市周村区、江苏省连云港市连云区、陕西省宝鸡市渭滨区、甘肃省兰州市城关区和白银市景泰县；3月1日（含）以来有北京市海淀区中关村街道、陕西省西安市莲湖区
1598570245# #分享图片
1609203218# #分享图片
1679393955# #《时政新闻眼丨习主席访俄第一天，这些重要信息值得关注》当地时间3月20日下午，习近平主席抵达莫斯科，开始对俄罗斯进行国事访问。访俄第一天，有哪些值得关注的重要信息？《时政新闻眼》为你解读。
1614128547# #凤凰新闻【货拉拉司机父亲发声：我儿子人老实】近日，长沙23岁女孩莎莎叫货拉拉搬家途中身亡一事持续引发关注。2月23日下午，触电新闻联系上了涉事货拉拉司机周某春的父亲。父...
1675732040# #转发微博
1675477819# #搜狐新闻:【这个特别的日子普京单膝跪地，致辞释放三大讯息-搜狐新闻】
1591103507# #《武汉989万余人核酸检测结果发布：未发现确诊病例总支出约9亿元》今日下午四时，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第104场新闻发布会，介绍武汉市集中核酸检测排查工作情况，并回答记者提问。
1636608253# #我转发我退休群里一老师的文章，值得读一下。。同学的亲外甥，硕士毕业，在深圳医院工作。现被抽调到武汉研究新型肺炎病毒。他刚刚來电要我转告所有的亲戚朋友，感冒时如出现流鼻涕和咳痰者，不能断定就是新型冠状病毒肺炎。因为冠状病毒肺炎是干咳无流鼻涕，这是最简单的鉴別方法。他还告知这次新型
1601725086# #分享视频
1702036684# #冬日暖阳，中山公园处处是美景鲜花赞
1689557882# #亲们早上好！。今天是2023年7月17日星期一，阴历五月三十。。武汉市今天多云转小雨，北风二级，25℃~31℃，空气污染51（良），空气湿度87%。明日小雨转多云，气温25℃~30℃。。快乐不能让你大富大贵，但可以让你活得精彩；快乐不能让你一身名牌，但可以让你比同龄人更年轻；快乐不
1695949684# #祝中秋节，国庆节快乐吉祥鲜花鲜花鲜花🙏🙏🙏
1671843614# #亲们早上好！。今天是2022年12月24日星期六，阴历腊月初二（平安夜）。。武汉市今天晴天，雾，东北风二级，气温-2℃~12℃，空气污染138（轻度污染），空气湿度95%。明天多云，气温-1℃~8℃。。生活不会止步于眼前的困难，还有美好的未来值得我们憧憬。岁月不会停止脚步，时间
1601028075# #新浪邮箱问候语舍长以取短，智高难为谋。
1626481539# #分享图片
1594685597# #分享图片
1701944504# #校园景色
1641647448# #這個帖子，寫的真好，您看了之後會哈哈大笑。。《“光”的感悟》。。*想必*連退休一族*讀後*也會*萌生同感,*予以*分享｡*。。年輕❗️為國❗️爭光。老來❗️共度❗️時光。心態❗️務必❗️陽光。日子❗️一定❗️閃光。想想❗️來時❗️光光。去時❗️一片❗️火光。何不❗️旅遊❗️
1667435045# #分享图片
1687495502# #神农架龙降坪滑雪场打高尔夫球鲜花
1701047430# #分享图片
1577146235# #新浪邮箱问候语每天给自己一个希望，不为明天烦恼，不为昨天叹息，只为今天更美好。
1672661188# #老铁们注意啦！。北京阜外医院心外科医生说，新冠病毒属于一种嗜心肌病毒。。研究发现病毒可以直接杀死人的心肌细胞。叮嘱大家阳康后不要剧烈运动，小心病毒性心肌炎，小心造成猝死。复工后的羊宝宝们也要注意休息不要过劳。心肌细胞属于不可再生细胞，一旦受损难以修复，一定要做好防护。阜外大夫讲话全
1650157593# #分享图片
1577924085# #新浪邮箱问候语清清的晨风摇响快乐的铃铛，我的心奏起欢快的乐曲，说声“早安”，向你问好。
1688603402# #分享图片
1618707324# #分享图片
1544711735# #悼念30万同胞祈愿和平！
1600259086# #我正在看【“共和国勋章”获奖者钟南山:生逢盛世,定不负盛世】，分享给你，一起看吧！“共和国勋章”获奖者钟南山:生逢盛世,定不负盛世
1669337525# #亲们早上好！。今天是2022年11月25日星期五，阴历十一月初二。。武汉市今天多云，雾，西北风一级，气温9℃~20℃，空气污染60（良），空气湿度100%。明天多云，气温10℃~21℃。。彻底发挥你的潜力，做最好的行动力，永远都不知道自己会有多么的优秀，就像曾经的自己看到比你优
1591505804# #疫情以来第一次出去走路，体验封闭后还能走多远
1670893170# #亲们早上好！。今天是2022年12月13日星期二，阴历冬月二十。。武汉市今天晴天，雾，东北风一级，气温1℃~13℃，空气污染67（良），空气湿度95%。明天晴天，气温1℃~11℃。。人的磁场很重要，一切美好皆源于一颗善良的心。和善良的人在一起是养心，和正直的人在一起是养德，和快乐的
1603878729# #我分享了的文章
1601942179# #凤凰新闻【快讯！特朗普发推“预告”将出院：别怕新冠，我比20年前感觉还要好】【环球网快讯】刚刚，美国总统特朗普在推特上“预告”，自己将于美东时间周一（5日）下午18点30分出院。值得注意的是，特朗普发推时间为美东时间14时37分。特朗普...
1633478427# #分享图片
1701738763# #分享图片
1648356672# #看到了一句话：“死亡不是生命的结束，而是走出了时间。”逝者安息🕯️
1620226365# #转发微博
1668819139# #亲们早上好！。今天是2022年11月19日星期六，阴历十月二十六。。武汉市今天多云，雾，北风一级，气温9℃~18℃，空气污染56（良），空气湿度96%。明天晴天，气温10℃~21℃。。人生在世如长河入海，决定胜负的，从来都不是一关一隘的得失和一时一地的亏盈，而是百川聚来的泓沛
1662250635# #分享图片
1689414948# #《血糖正常值最新标准：不同年龄标准不一样！》更为可怕的是，在庞大的人口之中有将近4成人群，不知道自己平常的血糖水平，以及有将近7成的人，发现血糖升高以后没有控制达标。
1697631683# #搜狐新闻:【习近平同俄罗斯总统普京会谈-搜狐新闻】
1595377548# #分享图片
1646145005# #各位老师好，根据最新疫情防控排查通知：。对2022年2月15日（含）以来有上海市普陀区石泉街道、吉林省延边州珲春市和黑龙江省黑河市爱辉区旅居史的来鄂返鄂人员迅速开展追踪排查工作，如排查出相关人员，请第一时间与社区联系（主校区联系华科大社区87542343，同济校区联系同济社区83694992）。。请各单
1645527793# #分享图片
1599215894# #夕阳无限好，只是近黄昏
1641688991# #分享图片
1633436347# #古老的千多年前，唐朝伟大的诗人李白，杜甫早有预见今天会发生的事。晚舟必归，拜登放人。有诗为证:。藏头诗。唐，李白。晚霞伴鹭飞，。舟泛桃花水。。必有笠翁在，。归来鳜鱼肥。。藏头诗。唐，杜甫。拜佛到西天，。登攀吾为先。。放下烦杂事，。人言有何畏。。
1627137141# #搜狐新闻:【沈阳新增1例新冠肺炎本土确诊病例和2例无症状感染者为一家三口】
1647309873# #各位老师好，根据最新疫情防控排查通知：。请各单位迅速对2022年3月8日（含）以来有四川省宜宾市、重庆市巴南区花溪街道、安徽省马鞍山市花山区和当涂县；3月7日（含）以来有福建省泉州市、辽宁省大连市金普新区旅居史的来鄂返鄂人员开展追踪排查工作。如排查出相关人员，请第一时间与社区联系（主校区
1594168635# #分享图片
1634344976# #分享图片
1685962972# #搜狐新闻:【美客机遭战机拦截后坠毁，未发现幸存者，白宫和国会大厦进入高度警戒-搜狐新闻】
1677202748# #分享图片
1684110108# #分享图片
1622724843# #截至6月2日,广东此次本土疫情累计报告92例感染者截至6月2日,广东此次本土疫情累计报告92例感染者
1616636488# #分享图片
1592548391# #下午好啊！望多保重
1587343153# #分享图片
1650519003# #各位老师好，根据最新疫情防控排查通知：请各单位迅速对2022年4月12日（含）以来有江苏省南通市崇川区学田街道；4月13日（含）以来有浙江省杭州市拱墅区半山街道、江西省南昌市红谷滩区和青山湖区、山东省济南市槐荫区和莱芜区、河北省邯郸市魏县和邢台市南和区、安徽省合肥市蜀山区南岗镇和六安市霍邱
1654215166# #端午节安康鲜花鲜花鲜花
1625796817# #早安吉祥
1676168090# #亲们早上好！。今天是2023年2月12日星期日，阴历正月二十二。。武汉市今天有中到大雨，北风一级，气温7℃~9℃，空气污染20（优），空气湿度95%。明天阴天，气温1℃~7℃。。人生不长，风雨很多，远离负能量满满的人，多和积极乐观的人在一起，生活才会多一份向上生长的动
1604790643# #分享图片
1634862603# #早安吉祥太阳玫瑰咖啡合十。最好的说话之道不是学习怎么说话，而是学习怎么做人。人做得比较善良、诚恳，就算语言拙劣一点，大家也会喜欢你。如果心肠不好，就算嘴巴再会说，别人被蒙骗了一时，也不会被蒙骗一世。所以，言为心声，学说话不要舍本逐末。。玫瑰玫瑰玫瑰强强强
1689581626# #分享图片
1618972458# #分享图片
1702195131# #转发微博
1701478371# #福来于健康，乐来于朋友，美来于心情，寿来于快乐。岁月很贵，不能浪费，相互牵挂，情谊万岁！早上好玫瑰合十咖啡福
1557706503# #新浪邮箱问候语累了就睡觉，醒了就微笑，你想要怎样的生活，请自己放调料！
1555153166# #为师者必须以德为先（人民时评）--湖北频道--人民网（分享自
1601354342# #凤凰新闻【伊万卡陷入危机媒体曝出她与特朗普存在可疑交易】在美国《纽约时报》独家披露了美国总统特朗普在过去几年里令人震惊的纳税记录后，美国公众在对这个亿万富翁总统涉嫌逃税漏税表达愤慨的同时，还从该报报道中发现了另一件让...
1693183959# #秋安
1555211714# #新浪邮箱问候语有一种人，可以让自己幸福。
1656978902# #亲们早上好！。今天是2022年7月5日星期二，阴历六月初七。。武汉市今天中雨转阴天，东风二级，气温24℃~28℃，空气污染12（优），空气湿度92%。明天多云，气温25℃~33℃。。心有光芒，必有远方。命运真正的舵手，不是那些显而易见的人事物，而是潜藏在你内心根深蒂固的信念。无论什
1684628027# #今日小满，吉祥美好鲜花
1598397613# #分享图片
1662698100# #搜狐新闻:【英国女王伊丽莎白二世逝世–女王去世，接下来英国将发生什么？】
1656047516# #经常跑步的人和不运动的人，哪个膝盖更容易坏？
1586831867# #分享图片
1621729402# #凤凰新闻【长沙市民在殡仪馆门前排队给袁隆平献花】
1658190201# #分享图片
1695136411# #布尔津彩滩奇观
1702689372# #分享图片
1645493366# #各位老师好！据武汉市疫情防控部门通报，我市新增4例新冠病毒阳性患者。为做好学校近期防控工作，现将有关要求通知如下。。1.师生校内进出公共场所须佩戴口罩，各教学楼、办公楼、实验室、宿舍、图书馆、食堂、超市、集贸市场等的责任单位在进出口检查口罩佩戴，监测体温。。2.师生员工非必要不出校，如
1600059109# #凤凰新闻【争夺日本首相位的三个人，“决赛”时怎么说中国？】日本自民党将于14日举行总裁选举，选出日本首相安倍晋三的继任人。日本自民党将于14日举行总裁选举，选出日本首相安倍晋三的继任人。据日本共同社13日报道，3位参选...
1645501823# #2022/02/22，星期二，又是农历正月二十二，是千年一遇的最有爱的日子！。致敬一切我爱和爱我之人，感恩！爱心爱心爱心玫瑰玫瑰玫瑰
1617446792# #【环球网】环球网报道记者赵友平台湾“联合新闻网”4月3日消息，台铁“太鲁阁号”408次列车出轨事遗体修复师忍泪讲述:这次事故遗体破碎严重、残肢多,家属哭到快昏倒
1624665545# #分享图片
1677128299# #分享图片
1678758913# #分享图片
1614080912# #【上游新闻】2月20日，民航四川安全监督管理局航空安全委员会，公布了国际顶级公务机——湾流G550飞机成都双流机场外工地爆炸致碎片击穿顶级私人飞机机翼,维修需耗资1.8亿
1609393292# #凤凰新闻【从“爸爸”到“资本家”，马老师两月回到解放前】马云已经消失两个月了，但他依旧活在网友的弹幕中。不同的是，过往满屏的“马爸爸”弹幕，已换成了“万恶的资本家”。自马云10月24日在上海外滩金融峰会演讲后，阿里巴...
1679364383# #踩着自己喜欢的节奏，过着自己喜欢的日子，让我们精神好、心情好、运气好，人生更美好！早晨好！太阳握手咖啡玫瑰
1673950109# #歪船不倒，破船不沉。夕阳红，慢慢活。。今天给大家透露一个无人知晓且十分离奇的新观点：“慢病健身”。。昨天下午，在东方明珠塔茶楼，复旦大学中山医院保健科退休博士生导师阳明教授说，我提出“慢病健身”的论点，是我40年教学科研成果，我经过近万名患者健康状况的记载、统计、综合
1651020788# #分享图片
1683938856# #亲们早上好！。今天是2023年5月13日星期六，阴历三月二十四。。武汉市今天晴天，南风一级，气温15℃~28℃，空气污染54（良），空气湿度92%。明天阴天，气温17℃~28℃。。生活，放下执念，学会看淡，聚散无常，学会随缘。承担责任的同时，尽量让自己开心，才是我们活着最
1671930484# #分享图片
1676336458# #分享图片
1632960254# #分享图片
1593426991# #我参与了发起的投票【那些“臭臭”的食物，你最爱哪种？】，我投给了“榴莲”这个选项，你也快来表态吧~
1657843224# #亲们早上好！。今天是2022年7月15日星期五，阴历六月十七。。武汉市今天多云到晴天，南风二级，气温29℃~36℃，空气污染42（良），空气湿度68%。明天晴天，气温29℃~36℃。。生命，既要像花一样娇柔温婉，又要像树一样能在迎风时依然挺拔。在生活的无常中拥温暖的平常心，在得失取
1573291509# #新浪邮箱问候语守得云开见月明。
1571925544# #一把桂花插在家里瓶瓶罐罐里，家里桂香醉人，也一种是享受啊！
1665278691# #分享图片
1640957933# #澳大利亚已进入2022
1577578471# #新浪邮箱问候语成长会让人明白，唯一后悔的只是那些自己不曾尝试的事。
1647086854# #分享视频
1661907768# #分享图片
1673342338# #《病毒性心肌炎，该如何养心复脉？中医有良方，可保护心肌免受损伤》一般来说，病毒性心肌炎只要早发现早治疗，原则上是可以治好的，而且预后良好。
1703293986# #玫瑰🎉🙏转圈。总想把最好，最真诚的祝福送给你，不仅是今天，明天，而是每一天。愿我们都平平安安。幸福到老。早上好微笑咖啡拥抱福福福玫瑰玫瑰玫瑰
1578719526# #十八个祝福送給朋友
1608596938# #分享图片
1618308989# #定了香港明年3月选特首,今年底选立法会议员定了香港明年3月选特首,今年底选立法会议员
1613609635# #分享图片
1692924805# #🍂📖✍。快乐日日在，幸福天天来，关心时时有，问候充满爱。愿时光不老，咱们都好，一切顺心顺意！。早上好！🌹🍎
1596165703# #【这届年轻人】对于很多同学来说，高考是改变自己命运的最好方式。很多同学都有着读大学要远离自己家乡的想法，最“适合”上大学的8大城市，有你向往的吗？
1692752881# #处暑安康鲜花咖啡
1693231850# #搜狐新闻:【日媒：日本准航母“出云”号首次停靠菲律宾首都，自卫队官员言论“对准中国”-搜狐新闻】
1641348117# #小寒节气安康
1689121134# #亲们早上好！。今天是2023年7月12日星期三，阴历五月二十五。。武汉市今天晴天，南风三级，30℃~36℃，空气污染24（优），空气湿度67%。明天阴天，气温30℃~36℃。。人一生中会遇到不顺心的事，会碰到不顺眼的人，如果你不学会原谅，学不会无视，就会活得痛苦，活得累。原谅是一种风
1691297286# #先转为敬，火速围观~
1688949130# #分享图片
1640133648# #分享图片
1577802799# #赞赞赞
1649638618# #分享图片
1671584446# #亲们早上好！。今天是2022年12月21日星期三，阴历冬月二十八。。武汉市今天晴天，霾，西风一级，气温-1℃~13℃，空气污染163（良），空气湿度92%。明天晴天，气温-3℃~10℃。。遇到大事，应当以静制动，沉稳应对；遇到难事，需要及时转弯，灵活变通；遇到烂事，不妨挥挥衣袖，
1679965485# #春，从来不语，却温柔了世界！花，从来不言，却芬芳了人间！真诚的朋友，不论何时何地，从不会忘记！送上今天的祝福：。幸福安康！。微笑玫瑰握手爱心咖啡
1693788302# #分享图片
1589063970# #分享图片
1606918794# #【南昌晚报】近日，生态环境部、商务部、国家发展和改革委员会、海关总署发布《关于全面禁止进口固体废物有关明年1月1日起，全面禁止！
1632578624# #分享视频
1635985636# #早安吉祥太阳玫瑰咖啡合十。如果你想快点成名，那就得早点起床；如果你想快点长智，那就得慢点骄傲；如果你想慢点老化，那就得快点迈步；如果你想慢点淘汰，那就得快点学习。不怕路远，就怕志短；不怕缓慢，就怕常站；不怕贫穷，就怕惰懒；不怕对手悍，就怕自己颤。阻碍你前行的，其
1608770575# #分享图片
1616115793# #分享图片
1675992106# #分享图片
1668991541# #《2022年11月21日广东省新冠肺炎疫情情况》11月20日0-24时，全省新增本土确诊病例384例；新增本土无症状感染者8101例；另有600例本土无症状感染者转确诊病例。
1633412175# #下午好！太阳玫瑰。世界是一个大舞台，每个人都是一本书。我喜欢读那些好书。一本好书是一个朋友，一个朋友更是一本好书。书有多少种，朋友就有多少类。有的书装帧精美，有的书朴实无华；有的书只短短几章，有的书则洋洋洒洒；有的书教我们生活，有的书教我们做人；有的书给我们一时欢愉，
1550658441# #🙏🙏🙏ñ赞10秒前
1679738130# #搜狐新闻:【脱发最怕“3种元素”，每天这样吃，促进生发，头发乌黑不干枯-搜狐新闻】
1603757267# #分享图片
1649766599# #搜狐新闻:【美国抹黑中国“陷入粮食危机”–【环时深度】事实胜于雄辩！中国人的饭碗，牢牢端在自己手中】
1640911435# #太阳玫瑰咖啡咖啡合十。2021，无论好坏，不管苦甜，都已经过去。2022，崭新的一年即将开启，放下过去，活好当下，把握未来。在2021年所剩不多的这几天里，好好的做一个总结。告别不好，删除不悦，忘记悲伤，清空委屈。努力提升自己，多去鼓励自己，争取在2022新的一年里，所向披
1667261709# #亲们早上好！。今天是2022年11月1日星期二，阴历十月初八。。武汉市今天晴天，东北风二级，气温10℃~23℃，空气污染59（良），空气湿度96%。明天晴天，气温10℃~23℃。。时代的发展，总是伴随着新的机遇。焦虑的反义词是具体，你脚踩到那个具体的路径上，一步一步往前走的时
1641172200# #早安吉祥太阳玫瑰咖啡合十。人生的经历是一个慢慢积累的过程，不经历风雨，哪能见彩虹。修身即是修心，懂得去学习别人的优点，取长补短；懂得用行动去感染别人，用人品影响别人。每天给自己一个微笑，做与梦想有关的事情，能够坚持下来，才能成就非凡人生。2022走自己的路，做最好的自己。。
1668469993# #分享图片
1699230862# #分享图片
1600644621# #分享图片
1641346048# #分享图片
1649466384# #早安吉祥太阳玫瑰咖啡合十。命运给每个人同等的安排，而选择如何经营自己的生活，酿造自己的情感，则在于自己的心性。人生应该活得舒心。人生，就是不断的面对，人生很残酷，错过的，不要奢望还会重来，放下了，才知道它的沉重，今天不做的事，往后可能永远没有机会。 。
1649985475# #分享图片
1659689346# #搜狐新闻:【三亚新增确诊病例“74＋33”–这个旅游胜地12小时新增107例感染者，酒店接大量退订电话！我国首次检出这种奥密克戎变异株，疑似渔民交易时输入】
1677390973# #转发微博
1676854551# #分享图片
1688086540# #保护文物是国家的责任，怎能做交易？！
1598262346# #凤凰新闻【速看！两千年难得一见的稀世奇花】原来这就是传说中的花仙子邀你共舞一曲，你来吗？你看到舞台中的黄色衣服的老爷爷了吗?送你最美好的四颗心：祝你开心，顺心，安心，静心！紫色高贵的女子双手合十的手，见...
1602896559# #分享图片
1608944271# #分享图片
1599992595# #我分享了的文章
1611017489# #分享图片
1613730696# #新浪邮箱问候语从来茶道七分满，留下三分是人情。
1697454477# #搜狐新闻:【广东街头大量出现！有人当晚被送进ICU……-搜狐新闻】
1636960398# #下午好！玫瑰咖啡合十。永远不要试图取悦所有人，适度善良，才是人生最好的活法！从今往后，不顾你感受伤害你的人，别放在心里；总是欺骗你算计你的人，别当一回事，只有懂得给自己这颗心武装上“铠甲”，才能免受无妄的伤害。没有金刚之怒，不见菩萨慈悲。往后余生，仍愿你善良，但记得
1649930266# #分享图片
1697331766# #分享图片
1589759163# #分享图片
1695780872# #分享图片
1665797467# #亲们早上好！。今天是2022年10月15日星期六，阴历九月二十。。武汉市今天晴天，雾、东北风一级，气温14℃~26℃，空气污染52（良），空气湿度99%。明天晴天，气温14℃~26℃。。这个世界人潮拥挤，请给自己的生活多点信心，你要逼自己优秀，优于过去的自己。每一个华丽的转身，背
1642845119# #请各单位迅速对2022年1月5日（含）以来有北京市丰台区旅居史的来鄂返鄂人员开展追踪排查工作。如排查出相关人员，请第一时间与社区联系（主校区联系华科大社区87542343，同济校区联系同济社区83694992）。。请各单位统计有关排查情况，于今日（1月22日）17:00时前更新并填写信息统计表，反馈到xbmsk
1602460391# #分享图片
1642121739# #分享图片
1597793058# #分享图片
1694221161# #亲：周六早上好！玫瑰玫瑰爱心强强抱拳抱拳握手握手。今天是9月9号，是敬爱的伟大领袖毛主席逝世47周年纪念日，让我们怀着无比崇敬的心情，向伟大的毛主席表示深切的缅怀和崇高的敬礼！人民救星毛主席永远活在我们亿万人民心中！。2023.09.09强强强强合十合十合十玫瑰
1553770172# #向消防员致敬！鲜花鲜花鲜花
1638405964# #分享图片
1639701364# #早安吉祥太阳玫瑰咖啡合十。人生只售单程票，过去的就过去了，不要频频回首，在哪里存在，就在哪里绽放。做人，要有一份内心的不声不响，有一份急迫中的不紧不慢，还有一份尴尬中的不卑不亢。最美的你不是生如夏花，而是在时间的长河里，波澜不惊。。玫瑰玫瑰玫瑰强强强
1690454203# #搜狐新闻:【人命关天！“美国紧急从中国进口”-搜狐新闻】
1682816683# #分享图片
1638491606# #早安吉祥太阳玫瑰咖啡合十。每个人都有自己的天赋，要忙的有价值，就先要找到自己的兴趣所在，知道自己的天赋在哪里。在此基础之上，忙碌才会事半功倍，更有价值。只有在自己最合适的位置上，你的忙才不是一场白忙。初心所在，便是你最合时宜的位置。。玫瑰玫瑰玫瑰强强强
1610762445# #分享图片
1599866789# #分享图片
1593820967# #分享图片
1669041347# #搜狐新闻:【请告诉孩子，不管房子有多大，家里这3个地方要保持干净|精选】
1620261577# #分享图片
1677202696# #亲们早上好！。今天是2023年2月24日星期五，阴历二月初五。。武汉市今天多云，西北风二级，气温1℃~13℃，空气污染60（良），空气湿度84%。明天多云，气温1℃~14℃。。每个人都应该在自己的内心点一盏灯，它可以是善良，可以是坚强，也可以是博爱。为自己点亮一盏心灯吧
1658642848# #转发微博
1695436442# #秋分安康鲜花
1689985593# #分享图片
1620561088# #分享视频
1592398714# #凤凰新闻【北京时间6月16日，美国传来绝望消息，美媒：特朗普成功让中国“更加伟大”】近段时间，疫情在全球呈现蔓延之势，有不少国家的确诊病例都在快速攀升，就拿伊朗来说吧，据伊朗媒体报道，伊朗卫生部6月15日通报称，该国新增2449例新冠肺炎确诊病...
1613645309# #分享视频
1604411481# #凤凰新闻【新疆喀什新增2例确诊，新增无症状感染者116例】今天，新疆疫情防控新闻发布会介绍，11月2日24时至3日20时30分，喀什新增确诊病例2例，均为无症状感染者转确诊，新增无症状感染者116例。...
1685839753# #生活的美就是这样：。✍🏼感恩着。✍🏼关心着。默默相互祝福着。愿我们都健康快乐幸福。玫瑰玫瑰玫瑰
1625715632# #上午好！
1612272983# #凤凰新闻【澳前总理陆克文：澳大利亚对华政策走错了方向】中新社北京2月2日电澳大利亚前总理陆克文日前接受澳媒采访时批评澳现政府的对华政策，称澳大利亚对华政策走错了方向。澳大利亚总理莫里森1月25日曾公开表示，他已就澳...
1612951793# #节日赴宴提醒，除了做好疫情防护，还要注意以下几点
1577406252# #早安吉祥微笑
1687566448# #活要潇洒，老要优雅，一站有一站的风景，一岁有一岁的品味，愿我们每一站都精彩，岁岁都平安，潇潇洒洒过好每一天！赞鲜花🙏
1662424275# #分享图片
1622712184# #凤凰新闻【赌上日本国运的奥运会还开不开？】最近，鞠躬道歉已经成了日本官员们的日常任务。4月末，福岛的核废水要向海里排，东京电力的社长向本国的渔业代表鞠躬道歉。5月初，日本因新冠而死亡的人数超过了1万人，...
1613037803# #除夕是什么?为什么除夕夜守岁?除夕是什么?为什么除夕夜守岁?
1655044976# #搜狐新闻:【美国拿黑人做梅毒实验致100多人死亡，竟然隐瞒40年】
1653783211# #分享图片
1575502860# #分享张立先的博文图片：
1595718296# #分享图片
1690590831# #分享图片
1617878683# #凤凰新闻【重磅长文——春回英雄城】春回英雄城——写在武汉重启一周年之际又是一年春来到。英雄之城，草长莺飞，人如潮涌。校园里，130万大学生安然返校；工地上，总投资3305.4亿元的215个重大项...
1627446392# #中山公园赏云
1587431622# #早安吉祥
1634689799# #分享图片
1645349707# #2022北京冬奥会组委会特地为每名参加冬奥的运动员准备一份大礼，其中包括枕头、戒指、耳机、手机等名贵物品，可见诚意十足。。运动员们收到这样的礼包高兴极了，纷纷在社交媒体上发布视频，表达自己的激动心情。。其中的枕头非常有意思，上面印着冬奥会吉祥物冰墩墩，可以当靠枕使用，四周有特制
1639356540# #分享图片
1612274662# #【环球时报】资料图：医护人员在为一名儿童滴服脊髓灰质炎疫苗。图源：印度报业托拉斯（PTI）海外网2月2印度疫苗接种现重大失误：12名儿童被误“打”消毒水
1671844790# #分享图片
1601638522# #凤凰新闻【普京致电特朗普，祝特朗普夫妇早日康复】【环球网报道记者乌元春】美国总统特朗普发推宣布自己和妻子梅拉尼娅新冠病毒检测呈阳性，引起巨大关注。俄罗斯卫星网刚刚消息，俄总统普京致电美总统特朗普，祝特朗普夫妇...
1676799488# #分享图片
1606089524# #分享图片
1679145261# #无锡樱花谷夜景很美
1669640270# #搜狐新闻:【今天才知道南瓜不能随便吃，为了健康，这5类人请嘴下留情】
1606264289# #这是我家小宝贝献给爷爷生日的杰作微笑赞
1674522196# #分享图片
1695052538# #乘车参观魔鬼城雅丹地貌
1612085653# #凤凰新闻【男子因父亲去世回家奔丧遭辞退，白岩松：等着公司道歉】“员工因父亲去世，请假8天未获批，只得强行休假，却被公司辞退。公司被判支付离职补偿金7万多元后，还不服起诉...
1627824166# #搜狐新闻:【钟南山：南京疫情我不担心–南京2323家零售药店全面暂停四类药品销售】
1586155085# #转发
1602721061# #分享图片
1628904541# #早安吉祥
1572948082# #新浪邮箱问候语道德为理性之事，存于个人之自觉自律。
