1693634315# #大众网潍坊的笔记男子带退役43的父亲来射击馆，网友：这是来表演的吧（分享自
1701958234# #雨亏的笔记时事政治中国国际关系中国美国：“中国已经犯下了国际主义大罪！”澳大利亚：...（分享自
1688376563# #关注我买房不收中介费的笔记真是大胆啊（分享自
1694101043# #左手有颗痣的笔记转发（分享自
1689818255# #炎黄子孙周大愚（同某音）的笔记她让全世界知道了南京大屠杀铭记历史历史南京大屠杀张纯如张纯如不...（分享自
1687055248# #人民网的笔记今日份工作小结缉毒警察向他们致敬辣眼睛守护者听我说谢谢你...（分享自
1699415067# #正能量的小羊的笔记人贩子都该判死刑，支持的点赞人贩子（分享自
1692253479# #張-z的笔记很适合张艺兴黄磊宝藏男孩张艺兴配音（分享自
1691331700# #这不倚老卖老吗？
1694911523# #瘦了70斤的沈的笔记护士护士懂护士实习护士内容过于真实医院（分享自
1694836390# #漫部与云端的笔记狠心的妈妈，你是最棒的&nbsp;人间温暖&nbsp;&nbsp;社会百态&nbsp;&nbsp;感动瞬间（分享自
1693217239# #上游新闻的笔记8月27日(发布时间)德国街头民众陆续游行，抗议日本排放核污水(来源：长城新媒体（分享自
1689120969# #厚生年金信息科技有限公司的笔记国际原子能总干事称《日本核废水可喝可游泳！》（那就让日本这个缺水国家喝水吧）得意R...（分享自
1694576474# #阳明的笔记医者仁心（分享自
1693031997# #宝石学家老许的笔记珍珠海水珍珠akoya珍珠（分享自抵制日货
1691320247# #张有闹🔥的笔记谢谢各位的关注了🙏黑龙江（分享自
1695778817# #仙女下凡-阿峰的笔记痛心！只是一个孩子，美好的日子还没有开始，却😭汶川地震宝藏男孩烈士...（分享自
1691211525# #三三是个小画匠的笔记插画画画的日常涿州加油救援温暖治愈（分享自
1694576547# #阳明的笔记医者仁心（分享自
1696259172# #芋泥啵啵的笔记他们花钱打压核污水的热度我哭死核污水武汉热门（分享自
1703518308# #我推荐《BREATHE》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1695465236# #阎清伟世福爱心的笔记中国怎么啦？日本在中国怎么能横行霸道为所欲为呢（分享自
1687154093# #小红书劝分姐妹的笔记近日，复旦大学人口与发展政策研究中心特聘研究员顾宝昌表示，现在年轻人不爱结婚、不爱生孩子...（分享自终于有人说句真话了。
1703300738# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1693101819# #辰慕创业笔记的笔记是个中国人心里都憋着一口火气，没地方发（分享自
1693062415# #鲁中网的笔记自来水兑饮料给顾客喝？顾客发现饮料竟是固体饮料兑自来水，拍摄者：相关部门已介入（分享自
1691073391# #画画的小羊的笔记画画的日常画一个故事好心人（分享自
1687227277# #兔探长北城的笔记而是曾经一起冲锋陷阵的将士们，当扛旗出来的那一刻，他就是街上最闪亮的星。&nbsp;致敬老兵&nbsp;...（分享自
1692348031# #求证的笔记8月17日，一男子在上海第六人民医院与窗口工作人员发生争执。起因为男子没听清讲话多问了一...（分享自
1692434925# #BaiLuVideo的笔记日前，一段李玟生前控诉《中国好声音》节目组不公平待遇的音频曝光，多位明星曝中国好声音内幕...（分享自
1693633753# #厚生年金信息科技有限公司的笔记这就是中国的底气！新疆三文鱼出口日本，日方恼羞成怒没了日本海产品进口，对我们来说根本不...（分享自
1690757734# #画笔留香的笔记临危不惧，避免重大事故，老板应感恩、善待这位敬业工人！感动泪目记录生活每一秒都...（分享自
1690380112# #转发微博
1703640651# #锦鲤附体，我获得了微博之夜纯真卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1695216763# #重庆文体娱乐频道的笔记女大三抱金砖，姐姐你看看我，这个男人配不上你！Cr.新偶娱乐&nbsp;民生&nbsp;&nbsp;相亲&nbsp;&nbsp;...（分享自
1703518328# #我推荐张艺兴2023大航海巡演为微博网友喜爱演出，一场精彩的演出为我们带来的是无与伦比的视听享受和精神满足！一起来微博之夜推荐更多印象深刻的演出吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1691102962# #人民网的笔记每秒都值得记录笔记灵感团结厉害了我的国暴雨救援正能...（分享自
1691320420# #张有闹🔥的笔记谢谢各位的关注了🙏黑龙江（分享自
1689010111# #小红薯64A2CCF5的笔记这是1914年，日本入侵台湾后，大肆杀戮台湾原住民太鲁阁人的照片，看着让人气愤。日寇占...（分享自
1691323320# #扬叔来了的笔记涿州到黑龙江路过葫芦岛整备补给再出发（分享自
1688539706# #转发微博
1702884600# #是与非时事政治的笔记小肯尼迪揭开美国生物武器老套路不料却爆出更深隐秘（分享自
1698985176# #YG阿饺.💫暂退的笔记“我仿佛在投毒的人的身上看到了日本人的影”投毒流量米饺专属（分享自
1691976061# #吃吃吃的笔记国防科技大学博士生导师，长期致力于智能规划方面的研究。是国内多个重大项目的组长。出的是车...（分享自
1690972057# #宁波晚报的笔记洪水中救援队员坚守，拿着饼干的手不断颤抖（分享自
1690858721# #内娱日报的笔记人间烟火人间烟火（分享自
1687302233# #起名字神马的不好玩的笔记我不要沉默这是我唯一能做的日本核污水日本核废水南京大屠殺（分享自
1688803412# #biu~的笔记七七事变上海地铁现代汉奸（分享自
1691327361# #老白兔的笔记画一个故事感动瞬间万众一心相亲相爱一家人内容过于真实（分享自
1695440579# #格格巫的笔记“泡在水池的冻鸡腿”、“厨房地板长满青苔湿滑”、“器具发霉”、“肉散落在地”.........（分享自
1689148144# #申庭护理小课堂的笔记护士&nbsp;&nbsp;护士懂护士&nbsp;&nbsp;急诊室&nbsp;&nbsp;初级护师&nbsp;&nbsp;实习护士&nbsp;&nbsp;医院（分享自
1695002254# #汗蒸小士的笔记愤怒！山东康养集团日本养老院山东中日康养城山东康养集团不懂就问有问必...（分享自
1689317304# #画笔留香的笔记画画的日常传递正能量插画分享原创插画治愈治愈视频感动泪目...（分享自
1703299550# #illuminate的笔记有没有南宁的贝壳周末有空帮忙地推的呀🥺我们真的很缺人手！张艺兴张艺兴贝壳女...（分享自
1694662087# #运动医学李劼若医生的笔记这工资涨没涨外科医生的日常79元眉笔李佳琦直播（分享自
1691197041# #香姐聊自驱力的笔记放假假期工作&nbsp;打工人（分享自
1693385506# #恭喜周大锤的笔记恭喜周大锤（分享自东北老乡们请注意。
1691103152# #封面新闻的笔记记录我的城市（分享自
1689040420# #姜姜姜撞奶奶茶的笔记日本日本生活在日本的生活美国（分享自
1692930119# #miracle黑猫的笔记1、放射性元素会在海洋生物中不断积蓄，人类打捞食用海洋生物，也同样会在人体内不断积蓄，对...（分享自
1693728375# #阿豪166的笔记日媒爆料岸田文雄试吃福岛水产品后身体不适被紧急送往医院是真的吗？日本首相岸田文雄核...（分享自
1695203069# #远方的达文西的笔记预制菜（分享自
1692246093# #羽梦的笔记咱就说张艺兴真的很舍得为舞台花钱据说这场所有设备费用大概七百多万？（我也不确定）?...（分享自
1689944196# #星视频的笔记妻子曾因车祸瘫痪又患癌，男子不离不弃悉心照顾30多年，妻子离世后，他当了墓园的保洁志愿者...（分享自
1697111675# #暴走哥观点的笔记“三剑客”成学校招生形象代言人？北京政法职业学院再现谜之操作（分享自
1691796259# #正义小马哥【反诈联盟】的笔记网络诈骗电信诈骗反诈骗警惕境外高薪招聘骗局东南亚缅甸菲...（分享自
1688539793# #转发微博
1695627703# #无绪小神仙的笔记祖国，我滴娘咧，你管管这些个狼崽子吧，咬自己家的娃娃了（分享自
1703518333# #锦鲤附体，我获得了微博之夜纯美卡等3张，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1691321975# #金爱罗夫妇的笔记河北加油抗洪救灾金爱罗公益（分享自
1690972661# #kiki的笔记熊猫美香救救美香一家国宝熊猫关爱国宝大熊猫🐼保护动物...（分享自
1703743634# #我推荐《BREATHE》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1687174959# #半口袋历史的笔记铭记历史向英雄致敬（分享自
1691044277# #小南瓜的笔记画一个故事正能量（分享自
1693357702# #东东的笔记中国人请你有骨气！别去日本丢人现眼！（分享自
1689085658# #贝鲁奇的笔记熊猫是我们的，我们真的不能再忍，万e的m国人，他们这么对待美香添添小奇迹，我真的希望他们...（分享自
1690968971# #阿信电影的笔记真实故事&nbsp;&nbsp;高温&nbsp;&nbsp;热射病&nbsp;&nbsp;纪录片（分享自
1689417242# #瑜記車行（定制港警周边的笔记社会中国香港警察香港警察战术装备战术高燃高燃...（分享自
1702302136# #大龙龙呀的笔记日常专家（分享自
1694848013# #⛱夏沫🥤【反诈联盟】的笔记海外淘金请悬崖勒马！全民反诈反诈骗高薪迪拜开设公司迪拜...（分享自
1689061950# #马佳PopMatta的笔记欧洲&nbsp;外国人&nbsp;老外（分享自
1692251464# #红星新发现的笔记龙麻子&nbsp;&nbsp;龙杰龙麻子&nbsp;&nbsp;重庆&nbsp;&nbsp;救火骑士&nbsp;&nbsp;重庆救火骑士龙麻子奔赴河北...（分享自
1691044370# #奔跑的小溪的笔记愿灾情早日退去，一线人员平安回家见百姓重建家园画画的日常洪水无情人间有情加...（分享自
1693614617# #甜心推文的笔记日本核废水日本水产品（分享自
1688620411# #宏海财经的笔记宏观经济&nbsp;&nbsp;人口迁移&nbsp;&nbsp;日本（分享自禁止日本人进入中国
1694415684# #憨憨历史局的笔记辽宁私家车上惊现辱华车贴，民警:不抓你对不起中国人生气R生气R生气R&nbsp;...（分享自这哥们儿是汉奸吗？日本种子吧。
1689417227# #瑜記車行（定制港警周边的笔记社会中国香港警察香港警察战术装备战术高燃高燃...（分享自
1696516631# #bilibili张三疯爱生活的视频
1689822343# #杨了个羊的笔记话说现在的我们国家的医学是怎么了，咋西医鸠占鹊巢我们还欢迎。咋滴，无非就是西医的成本低售...（分享自
1691333624# #转发微博
1696242406# #重庆文体娱乐频道的笔记3名女子深夜爬完武功山打出租被摩的司机阻拦威胁：敢上车就叫所有摩托车来围堵武功山...（分享自
1698989449# #天雅在德国的笔记汉服在国外&nbsp;&nbsp;德国&nbsp;&nbsp;马面裙&nbsp;&nbsp;汉服&nbsp;&nbsp;传统文化（分享自说得好
1689472758# #互联网事件记录的笔记7月15日，重庆。地铁上，男孩的母亲怀疑女孩偷拍自己儿子，争执中将对方打得头破血流，男孩...（分享自报警就对了，上梁不正，下梁能有什么好处？
1695218489# #青宝💋的笔记是日产还和731有关系，这些披着羊皮的狼能不能消失啊，一直以为它是国货，真没想到….希望...（分享自
1691156532# #宁波晚报的笔记，60多辆车上全是不到20岁的孩子&nbsp;抗洪救灾（分享自
1690499694# #申庭护师攻略的笔记你以为的护士VS实际的护士&nbsp;护士&nbsp;&nbsp;护理&nbsp;&nbsp;&nbsp;护士懂护士（分享自
1689822450# #杨了个羊的笔记话说现在的我们国家的医学是怎么了，咋西医鸠占鹊巢我们还欢迎。咋滴，无非就是西医的成本低售...（分享自这些喝血的资本国家在干什么？被判刑十几年。对一个中医家族来讲，意味着什么？怪不得连马克思都说请中国人善待自己的同胞。
1691102857# #齐鲁频道QLTV的笔记网友点赞：你永远可以相信山东人（分享自
1691158920# #历史故事馆的笔记这次强降雨过后蓝天救援队对班各庄大桥进行抢险救灾，队员刘建民失联，直至8月3号落水队员刘...（分享自
1703639310# #陈妤🍒的笔记为什么中医必须消失……真相就在那里，人在做，天在看，一切都会正本清源一切都是最好的安排...（分享自
1691754542# #不忘初心的笔记张艺兴全世界最好的张艺兴张艺兴大航海（分享自
1691306607# #湖远行【游世界】的笔记湖远行湖的环球之旅德国马膏肩颈酸痛腰疼怎么办（分享自
1698412442# #帮视频的笔记长沙一小区炒掉不作为物业，施行自治小区，拿68万给业主发放公益红包（分享自
1703427892# #锦鲤附体，我获得了微博之夜纯美卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1694619680# #小张张（实习版）的笔记一个夜班也买不起一支眉笔！李佳琦直播护士懂护士实习护士（分享自
1693756112# #正义小马哥【反诈联盟】的笔记网络诈骗电信诈骗反诈骗警惕境外高薪招聘骗局东南亚缅甸菲...（分享自
1693441107# #飞哥说食品的笔记食品安全UP！核辐射水DOWN！温州已经出现了，还有哪里？猜到了它会来，但是真真没想到会...（分享自
1702390087# #小曹打工日记的笔记护士懂护士实习护士医院趣事（分享自
1693027358# #转发微博
1695454980# #韓承誌·凯文的笔记日本污染日本再度放大招，高浓度“砒霜”泄露（分享自
1689325428# #点时新闻的笔记7月5日，云南大理。云南一导游疑倡导游客倒卖毒品，游客：这是对缉毒警的亵渎&nbsp;云南&nbsp;&nbsp;...（分享自
1703427881# #锦鲤附体，我获得了微博之夜简单卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1692886977# #娱乐鲜报的笔记河南卫视这泼天的富贵也该轮到河南卫视了！！！良心媒体人（分享自
1693374244# #锦观新闻的笔记网红导游小黑诸鸣因发布评论鲁山715万元雕塑后，收到了威胁邮件。对方准确报出了他儿...（分享自此人一旦出了任何问题，都与此事逃不开关系。
1691282962# #丫丫的笔记每日一画插画正能量画一个故事河南英雄（分享自
1696584409# #刘老六是个老6的笔记当整条产业链被别人控制的时候，难道不感觉有问题吗？高盛抄底我们的生猪产业，就只是为了赚钱...（分享自
1689943785# #观察者网的笔记“你怼着我的车头开，应不应该？”逆行司机怒气冲冲下车讨说法（分享自
1694685928# #勇者无敌的笔记预制菜进入校园就应该被抵制（分享自
1688724883# #粤姥Y高端婚恋的笔记广州&nbsp;&nbsp;深圳&nbsp;&nbsp;脱单（分享自
1687111400# #baby咩依嘟的笔记文化交流非遗新闻（分享自哪里来的糟糕？人家在那儿偷，你在这里告诉人家怎么偷，你有病是咋的？
1691631012# #星视频的笔记北京门头沟龙泉镇副镇长刘捷被洪水冲走不幸遇难，家中父亲妻子均患癌症，妻子评论区留言：你终...（分享自
1688619011# #二十九岁发达的笔记银行取钱万万没想到搞笑打工人（分享自
1692156890# #🐰LZ的笔记首先，麻烦贝壳们去看看这条微博。其次，不要到处倾诉。工作人员只是做了本职工作，拿了工资...（分享自
1697332656# #阿皮说的笔记近日，河南省周口项城市居民胡女士反映，丈夫前年因车祸去世。当给她的10万存款被银行员工转...（分享自
1693146575# #桂林生活网的笔记“丈夫回头对着妻子自豪的那一笑，以及妻子脸上回应的那个骄傲的表情，太动人了！”赞R...（分享自
1691646961# #空气在天上飘的笔记寻人启事转发帮忙热度up！！）孩子妈妈抖音账号“寻爱女李憬轩”信息...（分享自
1691078548# #柒基的笔记热门中国河北保定消防员英雄致敬人民子弟兵他们是最可...（分享自
1696419991# #cheryl的笔记小日子烦透了大家请继续发声海洋核污水（分享自
1695809350# #明星娱乐最前线的笔记先是运往东南亚加工之后再给我们，良心真的坏透了！&nbsp;日本水产品转手&nbsp;&nbsp;核污水（分享自
1687918879# #人民网的笔记当然要记录啊大熊猫国宝熊猫可可爱爱仙气飘飘国宝...（分享自
1693581519# #海报新闻的笔记澳门查获两批禁止进口日本生蚝，对方谎报货品来源（分享自汉奸走狗给他们吃，吃死他们。
1691490081# #大崔的笔记秦始皇都统一不了他们的粉丝！追星的又一代，也该长大了…吐槽内容真实社会百...（分享自
1687354952# #一个普通网友的笔记先生大义，许你以清风，许你以皓月，许你此去十万八千里，孩子们是幸福的！&nbsp;正能量&nbsp;&nbsp;...（分享自日行一善不难，难的是坚持日日行善。
1687876590# #说的真好，真的是对结婚证最大的耻辱。要是这样儿结婚做什么呢？
1692432827# #红星新发现的笔记李玟&nbsp;&nbsp;好声音&nbsp;&nbsp;每日推文（分享自
1687507663# #瑞克的传送枪的笔记日本日本核辐射排放韩国韩国开始对日本水产品进行严格检查，是亡羊补牢为时...（分享自我们国家的食品安全啊愁死人了。
1703743612# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！驾驭高能时刻来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1691212562# #画画的笔记镜头下的夏日感暴雨画画暴雨过后士兵救援队救援队...（分享自
1687869431# #十三说故事的笔记婆婆80万偷偷卖掉婚房&nbsp;纪录片&nbsp;&nbsp;真实事件&nbsp;&nbsp;纪录片解说&nbsp;&nbsp;怀孕&nbsp;&nbsp;感...（分享自
1691073375# #洛阳网的笔记男子不礼让行人辱骂交警，并自称公务员被交警怒怼（分享自快查查这是大连哪个政府的公务员儿，还不如人家交警觉悟高。
1688800651# #大番薯🍠的笔记传递正能量兵哥哥人间温暖那个不为人知的故事致敬消防员消防...（分享自
1695439620# #元气满满的贤佳的笔记每秒都值得记录记录不懂就问有问必答记录吧就现在（分享自
1695790314# #湖北升学规划夏老师的笔记这种方式值得去推行吗？教育家长必读学校食堂小初高（分享自
1693101655# #HiChen的笔记现在市面上大部分都是增重木耳，亏点钱倒是次要万一吃出问题就完了黑木耳增重木耳...（分享自
1691079158# #桂林生活网的笔记“向所有抢险救灾的人民子弟兵、武警、消防员致以崇高的敬礼！”赞R赞R赞R...（分享自
1697195945# #资深观众刘根红的笔记怎么敢这么做的&nbsp;陈牧驰（分享自
1687956534# #萌宠秘籍的笔记动物也有爱（分享自突然觉得动画片儿里也不全是假的。
1692186482# #李OK！（冲生日场版）的笔记像流沙倾泻而下又像佛光普照众生现场看远远比手机上看更加宏伟壮观对就是壮观张艺兴...（分享自
1700814365# #小政的笔记把生活拍成电影果敢同盟军的华为mate60pro救了他下半身華為...（分享自
1691373374# #柒基的笔记无人员受伤！黑龙江加油赞R赞R赞R中国热门黑龙江东北...（分享自
1691196818# #老刘侃历史的笔记甲午战争爆发后，北洋水师战败，宋育仁一面上书朝廷万万不可投降，一面联系参议杨宜治，翻译王...（分享自
1693099858# #鲁中网的笔记日本海产品被中国封杀后，日本国内也有超市不卖了，日企崩溃：怎么自己人也这样（分享自因为只有你们自己拿人当傻子。
1689827191# #墨侠的笔记中医！中医传承（分享自
1691550547# #我们视频的笔记“我是包村干部，我得去”，扎根基层13年，这是熊丽生前留下的最后一句话。送别（分享自
1692885234# #星视频的笔记8月23日贵州，突然下雨奶奶还在地里干活，小女孩拿簸箕边哭边捡玉米。网友：仿佛看到了自己...（分享自
1695279837# #观察者网的笔记菲律宾一机场安检员偷中国乘客钱财，被察觉后上演生吞现金（分享自
1687223654# #老炮的笔记日本的药企称会在2030年收购中国境内所有的中药药厂。一开始听到这种话我是嗤之以鼻的。但...（分享自
1696524885# #《微博》随时随地发现新鲜事！微博带你欣赏世界上每一个精彩瞬间，了解每一个幕后故事。分享你想表达的，让全世界都能听到你的心声！明明电竞圈不喜欢娱乐圈的人，主动跑到娱乐圈来破防是什么鬼。
1695444219# #毛光光的笔记保持安静不打扰，也是一种善意（分享自
1693027293# #进击的文职老师的笔记8月25，日本驻华大使馆提醒在华日本民众，不要大声说日语，明显是做贼心虚抠鼻R日本...（分享自
1687319027# #小红薯60B8EDD3的笔记建议反复观看，文化自信（分享自这主持人要死。
1693585438# #上游新闻的笔记8月27日，在日华人拍摄日本超市现状，福岛产品被贴标签避免顾客买到，海鲜全部打折也没人...（分享自像日本子自己都不吃的东西，还向往国外。骗谁呢？
1702269340# #叁拾玖的笔记社会百态女子称吉祥航空偏袒外籍乘客，让外籍乘客优先登机将自己滞留机场，吉祥航空：此...（分享自
1689209746# #兔探长北城的笔记侵华日军暴行再添新罪证！&nbsp;最新&nbsp;&nbsp;日本731部队罪证&nbsp;&nbsp;铭记历史&nbsp;&nbsp;历史...（分享自
1689042122# #河北小阳阳的笔记现在年轻人难么？大爷一席话！（分享自
1694693065# #荔枝新闻的笔记警惕这个名为“二次约会”的美国间谍软件！石化R扶墙R&nbsp;美国&nbsp;&nbsp;黑客&nbsp;&nbsp;...（分享自
1693027649# #Ghost.的笔记俄罗斯在8月21日发现了细菌性的炭疽病毒。波兰三傻提前未卜先知(18日)关闭了与白俄罗...（分享自打不过就投毒。美国正式介入了这场战争。
1689061948# #快看佛山的笔记7月10日，广州一农民工想进商场吃饭，结果保安不让进门（分享自
1689947249# #生活网的笔记日常碎片PLOG致敬人民子弟兵（分享自
1696150767# #轩哥零食铺的笔记青岛教育部明确表态，青岛中小学和幼儿园不适用预制菜预制菜学校食堂学生时代学...（分享自
1696073132# #求证的笔记9月10日，视频博主“蓝战非”发布视频称，在湖北襄阳唐城景区游览、观看演出时，景区对中外...（分享自
1690964649# #北京法物流通的笔记北京某庙看人下菜事件一定要看到最后！北京法物流通北法探寻小分队记录北京法物流通...（分享自
1689327820# #弥勒融媒的笔记见义勇为邻居正能量好人一生平安好人有好报（分享自
1690960143# #红星新发现的笔记痛心！消防员冯振不幸牺牲洪水&nbsp;&nbsp;&nbsp;向英雄致敬&nbsp;&nbsp;&nbsp;救援&nbsp;&nbsp;北京&nbsp;&nbsp;北...（分享自
1692156997# #转发微博
1691081076# #暧画的笔记画画的日常治愈视频传递正能量插画画一个故事插畫（分享自
1692928945# #苦干八年的护狮子~的笔记千万别觉得这个世界全都是好人，无论什么时候都要提高自己的警惕心，自己的亲戚都信不过，更何...（分享自
1692528531# #中国青年网的笔记近日，山东德州，消防员顶着高温完成救援任务，救人的手却因颤抖打不开解暑药。网友：看着让人...（分享自
1691156931# #宁波晚报的笔记，60多辆车上全是不到20岁的孩子&nbsp;抗洪救灾（分享自
1699354979# #荔枝新闻的笔记知情人：两人手被燎出泡&nbsp;&nbsp;自燃&nbsp;&nbsp;见义勇为&nbsp;&nbsp;救人&nbsp;&nbsp;外卖小哥&nbsp;&nbsp;正能...（分享自
1699248460# #小刘同xue的笔记有没有人管管呀！国家助学金助学金天津中德应用技术大学公平正义...（分享自
1690859659# #重庆文体娱乐频道的笔记费翔：美国是一个没有文化的国家&nbsp;费翔&nbsp;&nbsp;采访&nbsp;&nbsp;文化（分享自
1691072858# #洛阳网的笔记中图网遭遇25年来毁灭性打击，中图网创始人：要想办法让企业活下去（分享自
1693441338# #HR老油条的笔记职场教训！大家不要说话太随便！社会女性职场（分享自
1695790359# #蘇的笔记
1693440476# #站住®的笔记……日本人的虚伪世界杯捡垃圾那帮人还没回到日本精日分子不好过呀当下的...（分享自
1699407108# #帮女郎王洁的笔记医院院长倒卖出生证明每张赚6万网友:希望犯罪分子受到法律的制裁（分享自
1690635677# #海报新闻的笔记齐齐哈尔三十四中遇难女孩们入殓，母亲抱女儿训练的照片失声痛哭，撕心裂肺喊女儿回来&nbsp;齐齐...（分享自
1689475737# #昵称没有想好呢的笔记拒绝和解拒绝赔偿告她故意伤害罪没问题吧（分享自他还把凶器捡起来。允悲
1693101026# #法兰西君君的笔记日本核废水日本核污水日本排放核污水核污水核废水被这些法国年...（分享自我真的很想知道，面对这样的国际污水，我们这些人到底能做什么？
1695205360# #行者孙的笔记学校食堂卫生安全问题！学校食堂高费用招标承包问题！学校食堂饭菜贵的问题！！！本来就已经是...（分享自
1698750561# #红星新发现的笔记南京胖哥&nbsp;&nbsp;南京胖哥女儿离世&nbsp;&nbsp;筹款（分享自
1695960944# #两颗星辰的笔记现在换名字了，以前叫中日国际康养城，现在叫天府国际康养城。养老金日本川军出川...（分享自
1696260924# #Tend的笔记9.18事变纪念日勿忘国耻！牢记使命！纪念日9.18致敬抗日英雄南京...（分享自
1689082738# #兔探长北城的笔记1946年7月，二战战胜后，当时的国民政府曾与美国签署了一份《中国驻日占领军备忘录》的文...（分享自美国都往日本投毒。日本已进行了人口迁移。美国到底是迫害日本还是破坏中国？居心何在？
1699247884# #WirldWind的笔记简直荒谬绝伦，这种恶徒，必须严惩。这种事情，大家都必须保持关注进行监督（分享自
1693115456# #泠星（来我主页看罕见）的笔记我不知道为什么会有这样的言论，让人看了怒从心起。在他们眼里日本人都是“善良理智”的，在他...（分享自这种人就不配做中国人
1698417302# #京津冀消费维权联盟的笔记消费者在优衣库购物结账后离开，被怀疑未结账被店员掐着脖子拖回优衣库消费者权益...（分享自
1689060234# #野生小胡儿的笔记吐槽我的吐槽中国移动移动避坑（分享自
1693058334# #云朵在努力的笔记突发！国际原子能机构被追问～“是不是收了日本🇯🇵100万欧元”ri ben时...（分享自
1694883014# #fafa🌸爱追剧的笔记近期，温州鹿城区市场监管局密切关注食品安全问题，第一时间开展日本进口食品专项检查。并查获...（分享自
1703223286# #福建上学君-教育资讯的笔记卖爆米花的17岁脑瘫男孩向地震灾区捐款2000元母亲：一半是他卖爆米花攒转自红星新闻...（分享自
1695166088# #希望在美熊猫都能安全回家的笔记狗日子（分享自
1692927968# #荼吉尼的笔记每秒都值得记录韩国人想记录下此刻核废水日本排放和废水韩...（分享自
1691306238# #偶像说的笔记张兰汪小菲为涿州捐物资，数量庞大，对小玥儿和小箖箖很有教育意义汪小菲张兰（分享自
1692947134# #开始的余晖的笔记很想哭日本核污水大海海洋（分享自
1703979537# #我获得了微博之夜纯美卡等2张，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1691044920# #转发微博
1699096829# #小熊🐻同学的笔记唐代彩色夹缬被大英博物馆视为世界级珍宝而这项技艺却濒临失传今天就来寻找这项流传130...（分享自
1697934129# #嗨，韦韦的笔记我想问问专家，那古诗还能随便改的？是你自己下去问的吗？辅导作业被逼疯的家长（分享自
1693615462# #观察者网的笔记句句诛心！德国女议员揭穿北约三大谎言（分享自
1687174961# #半口袋历史的笔记铭记历史向英雄致敬（分享自
1699839295# #不忘初心的笔记张艺兴广州张艺兴大航海演唱会演唱会上座率张艺兴演唱会...（分享自
1687227274# #兔探长北城的笔记而是曾经一起冲锋陷阵的将士们，当扛旗出来的那一刻，他就是街上最闪亮的星。&nbsp;致敬老兵&nbsp;...（分享自
1693728917# #抵制核污水入海的笔记今日分享每日分享（分享自
1690107588# #吼吼Hong.的笔记➡️话题一⬅️剧里是这样：消防员用生命探测器发现废墟下有人，搬石头去救，然后女主去摸了...（分享自
1692531680# #红星新发现的笔记看见前来送别的群众他们在夜色中一直敬礼哭惹R哭惹R军人&nbsp;&nbsp;子弟兵&nbsp;&nbsp;...（分享自
1687569182# #唤醒下一代的笔记如今祖国强大了，来接您们回家！当年过鸭绿江的时候，就没想过回来。老人回忆说，每个过江的...（分享自
1689986367# #张姐成长思维的笔记淄博要凉了吗？资本入侵太可怕（分享自
1703640655# #我推荐《孤注一掷》为微博网友喜爱电影，被时间偏爱的必成经典，一起来微博之夜让好电影被更多人看见！参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1695260991# #曹老撕的笔记这样的蛋炒饭不知道你吃过没有预制菜蛋炒（分享自预制饭是赤裸裸的毒药。居然还给孩子们天天吃。
1700190772# #大龙龙呀的笔记教育亲子日常（分享自
1695045719# #小红薯64E9EDD7的笔记毒教材毒教材这是怎么审核的（分享自
1687234577# #西顾的笔记内容过于真实公务员政审防人之心不可无（分享自
1692253338# #Ada在杭州的笔记姐妹们说说你们的待遇呗！护士护士待遇工资（分享自非常现实。
1699101672# #摸娱妙妙屋的笔记学校&nbsp;&nbsp;教育&nbsp;&nbsp;大学&nbsp;&nbsp;贫困生&nbsp;&nbsp;补助金&nbsp;&nbsp;贫困生补助（分享自
