1692014555# #7.28
1691548420# #现在还有人打这个？
1691415582# #摩根士丹利：以暴涨两倍的英伟达为风向标AI泡沫已逼近顶峰。。大摩最近杀疯了
1693441581# #孟晓苏称取消公摊是把老百姓当傻子忽悠原国家房改课题组组长孟晓苏：“取消公摊”是把老百姓当傻子忽悠
1703466554# #温铁军观点对大部分人确实有一定迷惑性，因为他说了一部分真话，比如说逼迫农民搬离农村去城市买房……。。但他接下来把矛头直指资本，就哈哈哈哈哈哈……。。在我们这，资本有那么大能量吗？他也只敢说资本而已……
1690295425# #今晚消息面不错
1700535805# #从三条红线到三个不低于，政策变化挺大。。然而，除非去A股融资，这个钱不用还。。否则，房地产公司现在面临的主要问题都不是能不能从银行借到钱了，毕竟，就算银行不评估风险借钱给你，你也要还本付息啊。。从碧桂园十月销售的情况来看，形势严峻。。关键是现在的楼市行情，没有那么多人能买新房，二手房挂牌
1701393173# #这位女勇士，平时要注意饮食安全…
1690551738# #这个份量还不够
1691821936# #人民日报钟声：遏制打压阻挡不了中国发展的步伐。。是谁在遏制？煤帝吗？
1699962383# #以后可能都买不到了。。秦晖作品集《传统十论》等（全6册）。【推荐理由】秦晖作品集《传统十论》是一套包含六册的精彩著作。秦晖是当代知名学者，他在这套作品中深入探讨了传统文化的重要议题。这些书籍涵盖了广泛的话题，包括历史、哲学、文学等，可以满足不同读者的需求。。【现价】518元。
1692227236# #经济日报：以暂停新股发行来救市不可取。。哈哈，就知道会有这样的评论出来
1689645604# #今天芯片板块上涨原因
1695353413# #好多天没遇到今天上午的普涨行情了。。前些天虽然下跌，但妖股做起来舒服，因为在下跌行情中，辨识度足够高。。今天普涨行情，反而不合适做妖股了，做妖股的仓位收摊了，做点行情普涨容易涨的老情人
1699092758# #成熟一项、推出一项。。A股最需要的是哪一项？
1700011322# #全球重要股市基本都上涨，看看A股今天如何表现？
1702877400# #4最恶心，3是其次
1695697797# #市场经济和计划经济这几十年都经历过。。对外开放和闭关锁国，历史书也早就给了定论。。还要胡搅蛮缠建议去东边邻居家呆一年。。连老胡都知道的道理，你还不懂？
1701950005# #国家发展改革委：民营经济发展总体上呈现出稳中有进、稳中向好的基本态势
1703296046# #住建部定调明年楼市：“房住不炒”方向不变，核心城市政策有望继续优化
1693356267# #又添40家！终止减持队伍迅速扩容。。这一次政策起效果了
1686877768# #这个威武黑线
1690944794# #第五次工业革命，一天就结束了？哈哈。。韩国人，确实不靠谱，A股接盘套牢的可以去韩国维权…
1689741513# #这倒是没想到哈哈哈哈哈哈。。感觉也不是完全客观，网友不可夜夜笙歌，一夜七次…毕竟你不是张伯伦嘻嘻嘻嘻嘻嘻
1703470645# #人民日报现在说这个，能挽救游戏板块的走势吗？
1690153832# #利好医药板块
1701050003# #经济压力之下，普通人的内卷肯定会加剧，不然也不会有那么多人参加国考，都超过300万了。。内卷的本质还是资源分配问题，大部分人只能分到总蛋糕里的小蛋糕，普通个体只能拼命卷。。普通人，一辈子都是忙于生计……
1700378840# #今年A股整体行情不好，跑路的就多了。。受伤的都是投资者
1697684571# #张伯礼：西药迄今只有两种药的历史超过百年，即阿司匹林、硝酸甘油。。不少网友似乎不同意这个观点。。药好不好是不是由时间定义的？
1692098830# #【机构：我国证券交易印花税占财政收入比重呈下降趋势税率相对其他征收国家而言最低】该法颁布后，证券交易印花税作为正式税种，其调整需由国务院决定，并报全国人民代表大会常务委员会备案。我国征收印花税税率目前已是历史最低，且相对其他国家而言亦是最低。。。彭博社小作文，机构变形辟谣。。个人维
1698798060# #改革开放的成绩举世瞩目，过去的教训刻骨铭心。。有些自媒体人太坏了，为了一己私利不惜牺牲整体的利益。。把经济搞坏了，普通老百姓最倒霉，他们捞够了，肯定会回到国外的房子里，继续吃香的喝辣的
1698279217# #你相信一个被哈马斯当人质的以色列人会说，被扣押的日子里，哈马斯们很友好吗？
1695963961# #不管差距多大，应该朝着这个目标前进。。全体民众的幸福生活是第一位的
1699668570# #以前的新闻
1691737515# #终于不负大涨了，A股成功在我家提车一辆，可喜可贺嘻嘻。。4600多只个股待涨，形势不是小好而是大好，赢麻了哈哈
1702949101# #管清友:上证指数能够维持在3000点已经相当牛了要全面客观看待。。考虑到做空工具的先进、融资力度以及大股东慷慨卖股份……好像是不容易哈哈哈哈哈哈。。当然，现在媒体研报全部看好，A股持续向好的大牛市格局不容置疑哈哈哈哈哈哈
1703730459# #严厉监管的同时，也应该让被查的公司赔偿吃跌停的投资者
1694308324# #我是80后，从一些优秀的电影和书籍里，也能知道运动的可怕啊，比如《霸王别姬》、《活着》、莫言的小说……。。其实，即便你不读书，去年的事情难道还不足够刻骨铭心？。。社会需要正常的秩序，老百姓才有可能生活幸福，需要营造一个没有运动的土壤，这一代人，还要努力
1699501254# #白拿股票还能倒亏钱允悲
1688615091# #天天说别人坏话，不承认别人优点，从来不在自己身上找问题，一切问题都找别人。。生活中，你会喜欢这样的人吗？
1694394802# #发布了头条文章：《对周末消息的一些思考——2023.9.11投资逻辑》
1689664120# #没耐心、不知道休息，可炒不了A股
1699523521# #尾盘又跌停了
1698800761# #中央定调：活跃资本市场，推动股票发行注册制走深走实
1701999905# #最强地级市新房价格降幅不受限制？当地住建局人士：目前形势下，不允许降价不合适。。个人看法：早该如此，市场的事情交给市场，早允许降价，避免资金链断裂，可能之前部分倒闭的房企还能有一线生机
1697443677# #预防腐败局原局长，也被查了……允悲
1701919111# #朝鲜国防省：侵犯朝鲜太空资产将被视为宣战行为哈哈
1692917437# #胡说，我们干什么事情都是科学挂帅的doge
1689301775# #本周赚了几个点，周末拿去消费，今天不打算操作了，不想画蛇添足
1696816442# #中以混血女孩在以色列遭哈马斯绑架。。看评论，真的很无语。。只能说，我们的教育，可提升空间太大了
1688442521# #这可能是零首付的故事。。在现在的房价趋势中，对于普通群众，90万的贷款也不是好玩的
1697252482# #算是前进一毫米吧。。A股最重要的是补漏洞，不补漏洞市场资金难以形成合力。。没补漏洞只能是存量资金行情，只能短线操作，找辨识度最高的妖股博弈，其他股票很难赚钱
1699404511# #今天是记者节。。我们这里，现在还有多少有职业操守、客观报道的记者？
1703919308# #俄外长拉夫罗夫：泽连斯基曾说母语是俄语，但他背叛了人民和两个民族
1687573374# #澎湃新闻：雇佣军兵变？俄内部矛盾激化！莫斯科街头现大批军车。。澎湃新闻和搜狐新闻还不错，相对客观一些，新闻还能看看good
1698195737# #任正非：你想美国为什么这么发达，200多年时间，这个国家的环境多好，先进的制度，灵活的机智，创新的精神，对个人权利很尊重，在中国，乔布斯活不下来…。。这句话，只有任正非说，才不会被某些群体追着骂，要是我说，肯定会被冈本粉、鹅粉、哈马斯粉骂死，不信可以开一个帖子
1699507111# #不要接盘了，别吃肉的时候没赶上，挨打的时候你来了。。作题材尽量别自作聪明做第二波，一般题材都没有第二波，因为有巨大的套牢盘
1695178405# #A股的问题，你以为人家是傻❌，其实人家是双赢，只不过大部分投资者是输家罢了
1688859443# #罗翔谈"村民修桥收费被判刑"。。来源：凤凰WEEKLY
1702810653# #媒体、研报已全部看多，做个投票，明年A股会涨多少点？哈哈
1700528187# #上海医药销售费用连续5年超百亿。。具有讽刺意味的是，10月30日，周军还在三季度工作会议上引用了“沧浪之水清兮，可以濯我缨；沧浪之水浊兮，可以濯我足”，称要始终不忘初心，树立正确的价值观。。台上人模狗样、引经据典，台下贪腐捞钱、男盗女娼……。。见的太多了哈哈
1700991920# #五年半6.6万亿融资额，3万多亿减持，还不够么？。。还要提高直接融资？
1703210382# #一个小学发出倡议，不过圣诞节。。这个校长知道明清时代没有小学吗？小学、初中、高中、大学也是从西方学过来的
1690779487# #衰
1695891457# #现在的物价也不算低吧。。主要是A股表现太差，楼市行情没有起色，社会融资量不够，就业情况不乐观…。。要想想原因，如何去解决上面的问题。。如果存在上面的问题不解决，物价又上涨，问题会更多
1687433249# #按照网上的很多蛆蛆的言论，慈禧应该是他们的偶像
1699656700# #允悲
1700017245# #房地产开发投资、商品房销售额等指标出现了一定的边际改善迹象。。“边际改善”good
1691996328# #别意淫小作文了，现在还看不透，以后A股有的是苦果子吃
1702284656# #黄俄看到这封邮件该怎么洗？是不是“美国人编造出来的破坏中俄关系的伪造文件”？哈哈
1700274469# #商务部：进一步排查可能存在的歧视外资企业的规定和措施
1697099238# #三名中国公民在巴以冲突中遇难。。凶手是哈马斯，还是以色列军队？。。大家怎么看？。。如果是哈马斯，网上支持哈马斯的应该怎么办？。。如果是以色列军队，应该如何交涉？
1695351577# #群众喜迎油价上涨。。有几十年前电影的味道哈哈
1699596787# #托卡耶夫：我……
1689734971# #抓紧也该抓紧一点吧
1696411916# #粉虫的一贯作风
1696818644# #虽然很厌恶梁宏说的，但有一部分是事实。。溢价发行、爆炒新股确实是A股痼疾，也是部分群体一直以来在一级市场的生财之路，把一地鸡毛留给二级市场。。病根在相关利益链条，他们已经根深蒂固、盘根错节，没有巨大决心、雷霆手段，很难解决。。就连T+0和限售股转融通都解决不了，还有媒体帮忙狡辩，一级市场这
1689665474# #国家发改委主任召开3场民营企业家座谈会
1696239355# #看着温顺，不一定善良，也可能是非不分
1692667190# #嗯，A股不行，都是外资的原因，一切责任归于煤方，我们一点问题都没有
1701770300# #同一串数字投注近5万倍中2.2亿彩票。。记者询问一家彩票店店主，这是否意味着购买人掌握了一些内部消息，或是纯属偶然？店主饶女士称，“这个东西你觉得我会说吗？我店还要不要开了。我也是外人，我又不是中心的人。”。。彩票店店主的表达很有技巧good
1692855443# #利好大盘却不利好券商。。小幅利好次新股
1687138763# #从接待、新闻可以看出，低于预期。。A股，今天还是谨慎点，短线该止盈
1691803038# #新华社：唱衰中国，只会在事实面前反复碰壁
1702603085# #北京、上海同日出手：降首付、降利率！“或将提振全国市场信心”
1693189282# #加过仓了，明天再看，真跌下去了认栽。。不太相信5%开盘，会涨幅归零。。本次消息还是有点东西的
1692783284# #对于一些资金链有问题的房企来说，打折虽然少赚点，但还能回点血，还能有一点点挺过来的希望。。如果硬挺房价，当前经济情况，也不会有多少人买，只有死路一条。。个人感觉，其他地方也会效仿，除了一线，降价大潮来了
1703561689# #上证指数早盘收于2899.58，要发（财）久久，吾发（财）。。如此吉兆，A股高质量、理性牛市实锤了。。大家一起唱响A股牛市吧哈哈
1687588876# #你来当下一任环球时报总编笑而不语
1701595510# #自从张维为这几年开始活跃于电视节目和网络平台。。我们的经济越来越棒了…。。张维为真的像古代大贤魏征、包拯一样，敢于直言讲真话goodgood
1701933825# #网友：经过反复对比，2.2亿彩票大奖确认为正常购买中奖哈哈
1688625809# #谁干的？
1697158635# #我们这几代人都是从小看报纸、电视新闻过来的，耳濡目染，大部分人都同情巴勒斯坦人，很正常。。可是你自己想想，报纸、电视新闻是不是都是事实？比如：亩产万斤、4000点是牛市起点；已排除人传人，可防可控…。。人要学会用脑子独立思考，不要听风就是雨。。关于领土问题，比较复杂，犹太人曾在此建国，由此
1698065096# #全球最幸福的国家排名出炉。。以色列排名第四，哈马斯粉丝不答应哈哈
1695605944# #利益集团早就盘根错节了，投资者都看到有问题。。但，查，谁去查可靠呢？谁又会冒着得罪一群有势力的人去查？就为了毫无发言权的投资者的利益？。。这事确实不容易，需要极大决心以及有几个有深入虎穴勇气的人才能办成。。大家说说，现在哪个人具备这样的素质、震慑力、勇气？
1701839682# #江西福彩工作人员否认有内幕都说没有内幕了，还有这么多人怀疑，是不是井外势力的阴谋啊？哈哈
1696987852# #都懂得
1703815415# #专家称牛市只会迟到不会缺席。。牛市只会迟到不会缺席，这个谁不知道？关键是缺席多长时间？迟到一天是迟到，迟到十年也是迟到，你能不能挺过那么长时间呢？
1702701205# #中信证券：公司不存在做空股市情况，始终合法合规开展业务
1692100773# #现在到处都缺钱，而且都在想办法搞钱。。你认为，目前有可能对你少收钱吗？
1689314576# #在东北，不知道老毛子的罪行的，不能被称为人。
1703474326# #今天不但是圣诞节，还是当年威胁我们国家安全的前苏联解体的日子
1694686817# #遇到100个，估计99个都是这样
1699235333# #怒
1700787048# #5000元红包竟被医生嫌弃？缝合伤口未给患者打麻药……。。太无语了怒
1702428951# #加强经济宣传和舆论引导，唱响中国经济光明论
1693546529# #市场没啥可持续热点，空仓的可以等尾盘埋伏，赌周末利好
1699233792# #我们这些人言行一致，经常赚外汇，钱都花在国内，为扩大内需做出了贡献，肥水不流外人田。。有些人出口就是中国公民天天标榜自己爱国，却在美国买房，给美国交房产税，还骂别人崇美。。可笑不？哈哈
1695352468# #这几天，对“国有资产”好一点才算顾大局。。A股涨几天，“国有资产”一高兴，长假多消费一点，拉动经济复苏，岂不两全其美？
1692593881# #不看怎么说的，要看怎么做的
1702168526# #会议指出：要增强宏观政策取向一致性，加强经济宣传和舆论引导
1701050443# #我不是专业人士，这一篇关于疫情后的人的自我保护问题的帖子，业内人士看看，说的对吗？。。这里面提倡戴口罩，可是长期戴口罩也有一些负面作用，就看如何权衡利弊了。。明确大家可以做的就是——非必要少往人群里面挤
1703132397# #关键是他俩成为财经界的流量主了允悲
1702444727# #张维为教授，当代魏征，以博学直言著称goodgoodgood
1687788831# #看到一个黄鹅喷粪，看了一下牠的关注。。果然……哈哈哈哈哈哈。。这样被投喂，脑子里估计都是……
1697107216# #每个发出反人类言论的东西，牠们的关注列表肯定不会让你失望，铁律
1695266641# #倒打一耙、是非不分的人太多了。。你跟他说股市有问题，他们回答：谁让你炒了？。。某大学生在学校自行车丢了去管理员那反映情况，人家噎了一句：谁让你不锁车了？。。记得有一次，喜欢看新闻、心思比较单纯的至亲买净水器被骗了，报了案，他们记录了之后，没有说要怎么抓骗子，反而数落了我们，叫我们不要贪
1691410007# #A股太牛逼了，内幕交易也可能翻车哈哈
1701476510# #伊朗，太可怕的倒退了
1690868561# #转发微博
1697007072# #依法保护民营企业产权和企业家权益。。贬损、诋毁、丑化民营企业和企业家的是谁？。。记得之前有些蛆头张口就是——都是资本的阴谋，还质疑民企56789的贡献。。今年风向变了牠马上摇身一变，竟然变成民企的忠实拥护者了允悲。。人无皮，则无敌哈哈
1694996875# #已经到了“不热烈鼓掌”也是罪过的年代，而梁X伟竟然“不鼓掌”，简直狂妄至极二哈
1691152010# #发文：你要消费。个人：我没钱。。发文：我们刺激消费，给你信心。个人：我没钱。。发文：那你炒股，让你赚些钱。个人：钱就是炒股没的。允悲
1702200619# #经典good
1692844049# #一带一路概念股集体跳水，中国交建大跌7%。。什么情况？
1701048742# #吴晓求说的是实话，但估计不会改变什么。。看看昨天另外一篇新闻就知道了，还嫌直接融资不够多呢？
1700459894# #拆铁道，拔电杆，紧急毁坏大轮船…。。看看义和团的揭帖
1694523928# #看到微博上那么多人长线看多。。我有点担心自己的仓位了允悲
1686918631# #冲进球场男子被行拘警方通报球迷冲进球场抱梅西小伙还是年轻，如果事后主动道个歉，服个软，表个态，那新闻标题可能就会是“朝阳区警方:已对冲入球场球迷批评教育，因其未满18岁，决定不再追究其法律责任”。。不过，小伙朝气蓬勃，敢想敢做，没有我们这样油滑，也蛮好
1692841997# #这个阶段，还追涨，就无药可救了
1699004829# #头部自媒体前台实名。。人民网评：让大流量自觉走向正能量
1697523696# #思路很新奇。。可是，你以为逃到了阴间，就可以不接受领导了吗？哈哈
1691493011# #不要看怎么说的，要看怎么做的
1699523944# #good
1690520775# #嘻嘻
1692016086# #人家那是支援全世界社会主义建设去了
1697331746# #周口一玉米种植地被五百余人哄抢。。所以现在拍得几十年前乡村和谐剧我根本不看，人设基本不对，乡村根本不是那个样子。。改革开放后乡村还比以前好多了，爸妈回忆80年代之前的乡村，总有说不完的心酸和苦楚。。穷——是很多问题的根源。。以前农村那么多人，就那么点资源，邻里相互内卷、纠纷不断符合自然规
1688969316# #人家是坏，又不是傻。
1694665707# #网友：恐怕很难全身而退
1692236806# #也就证券活跃一点，要是来点实在的，A股也不至于现在这个局面
1700632921# #内资外资混合双打允悲
1693021482# #媒体问：说说你今年在A股的收益？。。散户答：目前稳中向好，持有多只待涨股票，目前还是待富人员的原因是外资太搅屎棍了，我们的一切都是完美的。另外，由于数据口径问题，今后不再公布持仓以及盈亏情况
1689574433# #利好太明显，看好的韭菜多，方便主力出货，所以就这样走势了……
1695885657# #国企领导安排19名亲友到公司担任要职。。这个不是孤例吧，人性自私是天性，那就应该从制度层面监督约束啊，最起码让国企招聘公开透明吧
1698187546# #不是这一段，整个剧集都会被喷S。这30年进化出浑身的g点
1698054747# #马光远最后一句不太准确。。A股是普通投资者的财富黑洞，但它是某些人的财富盛宴啊。。造亿万富翁，哪个比A股快？
1687777636# #发现了一辆历史文物
1687405209# #好久没看到鲍老师视频了，比以前讲商君的时候苍老了不少
1694857434# #看了有何感受？都是些什么人想回到那个年代？
1687417117# #股价被炒得这么高，换谁能忍住不减持？改善生活不香吗？
1699404781# #goodgoodgood
1698913827# #看了你的关注列表，才知道你不是在说反话哈哈
1688707666# #北京日报：中美关系，回不到也无需回到过去
1703227981# #腾讯两万多亿的盘子也能这样负上涨，挺炸裂的
1688348330# #如果大学都走向封闭，哪还有什么希望？
1700733318# #在A股投资如果这么简单，那早就人人千万富翁了…。。私募机构的话，听听也就算了，当真你就输了，大家各自目的不同…
1702438541# #湖南再点名易鹏飞案：任由配偶儿子情人插手干部任用，无法无天的贪腐
1702108241# #回归人性、不矫揉造作的人基本都这样
1700536600# #真有人会付费看短剧啊。。我的思想跟不上了允悲
1701760517# #世界一流交易所
1699180275# #韩国金融监督院：将从下周一起暂时禁止股票卖空至明年6月。。韩国为什么能这么果断？大概是他们做空的没有形成巨大的利益链条吧，也没有一个强大保护网，所以能快速出台这样的政策
1693112415# #参考消息援引俄媒报道：全球军力排名报告出炉，美国勉强领先于俄罗斯哈哈
1691114310# #看A股这走势，估计已经有人拿到了现场稿了。。刚追涨、脱了裤子的投资者能看到他们想看的内容吗？
1689822468# #其它几个指数也绿了
1687510501# #认同马云对教育的看法。。一代要比一代强，我们家教育孩子，一直在努力避免“听话”两个字，多说“懂事”，而且不能阻碍孩子们的好奇心和想象力，着重培养孩子不盲从、独立思考的能力
1699582779# #新华时评：重返巴厘岛，通往旧金山——推动中美关系回归正轨系列评论之一
1702185960# #都不说从马云到司马南了。。从WB的股价也可以看得出来其中的变化。。从最高140美元跌到不足10美元。。几年之间，沧海桑田。。显然，我们越来越好了哈哈
1688281464# #不会影响黄鹅舔跌doge
1696726142# #都是艾薇剧情啊。。他们真会玩允悲
1699491643# #“龙”炒了几天，已经消退，边际效应，“凤凰”炒作的时间应该更短，注意及时止盈
1689132414# #大家共勉一下
1703206721# #网友真的咸吃萝卜淡操心，人家千万年薪，套现了2亿，早就财务自由了，他那个还是“最惨”？哈哈
1702109770# #A股：你确定你在说打牌和下棋？哈哈
1696993586# #之前油价上涨，有人大棋论：油价贵是让你买电车。。现在充电贵，怎么解释，让人再买油车？。。为了钱就是为了钱，别说那么冠冕堂皇的大棋。。谁信呢？
1698887049# #加沙网红演技堪比某些在美国买房，天天骂美国，天天标榜自己爱国的流量大V
1703988223# #央视前名嘴段暄行贿逾950万元。。换在别处，可能是触目惊心，但我们都跟看笑话一样，早就毫无波澜了
1691735902# #负拉升来了吧，⑨菜可欺，天不可欺
1691624816# #隔夜外盘：美股三大指数收跌纳指跌逾1%大型科技股全线下跌
1688294050# #是借口都懒得给韭菜们编一个
1694569589# #有些人还看不清现实哈哈。。如果我混的都要向乞丐借钱了，那你说我的现状怎么样？
1696202330# #张红兵的悲剧，不能再度重演了
1690166188# #没炒A股，算他幸运哈哈。。不然要加一条，下午三点，账户绿油油哈哈
1695007864# #从某种意义上来说，常年的A股漏洞就是一些人的致富密码，而且形成了盘根错节的利益链条。。所以，阻力才会很大，一些顶流媒体不惜颠倒黑白也要维护他们。。改革本来就是利益的重新分配，肯定会有阻力，改革想要成功，需要团结一切可以团结的力量，让阻力变小。。现在聪明的做法就是想办法让A股上涨也符合他们
1700712480# #张维迎可以这样回应司马南：我可以分析一下在海外买房子在国内赚钱的经济账哈哈
1695522113# #一个券商从业人员的评论：买券商就是找死，明知山有虎，偏向虎山行。。大兄弟，你就说吧，哪些行业没有黑幕吧。。保险没有？石油没有？烟草没有？还是足球没有？
1687913457# #中国足球还不如让村超这帮人去接手，最起码足球纯粹些
1692757436# #投资印度股市，你所期望的，和别人想的，其实不是一回事。。你满心期待那些人，能出一个英雄人物，踏着七彩祥云，来释放重磅利好，股票接连涨停，从此踏上人生巅峰。。那些人却在想：怎么在利益不受损的情况下，做一些边角料的事情，看上去挺努力了，对上面也有所交代，对下面……爱咋滴咋滴
1702000237# #罗翔从法律专业人士的角度上来说明：法治是最好的营商环境
1703816319# #北大教授姚洋：中国到2030年超越美国，成为世界第一大经济体，没有太大问题
1687146953# #这不比创城强？
1702179206# #俄罗斯人民代表请求普京参加总统大选，普京现场同意了哈哈。。由此可见，俄罗斯人民需要他，俄罗斯人民的好日子还在后面哈哈。。这个叫佐加的明年要受到重用了哈哈
1687742752# #就不，你们又能怎么样？软肋事件了吗？
1698112322# #A股，确实难搞，不能包装，指数又掺不了水分…。。涨跌情况，小学没毕业也能看得懂。。有一天，沪深指数变成机密，我也不意外。。因为已经看到有“业内人士”建议将北向资金流入、流出不公布了
1692931973# #允悲
1703549010# #史铁生说：“一个真正想死的人，不会计较人们说了什么，一个拿死说来说去的人，其实不是在期待死，而是在渴望爱…”。。证据确凿，司马南还嘴硬、不承认，甚至拿死说事。。大家说说，司马南在渴望什么东西爱他？哈哈
1695017261# #还有这一招？允悲。。没想到
1688290419# #事实证明：法律只是针对普通人。同样是造谣，一个刑拘一个没事。够有特色不？
1700640697# #95年马云这段话也不是从天上掉下来的。。是因为他出国见了世面，了解到当时世界的最前沿的科技。。当然，他的成功也离不开他自己敏锐的眼光、勇于开拓的精神，以及随后中国入世之后拥抱世界带来的高速经济增长。。中国下一个马云、马化腾这种级别的优秀企业家会是谁？
1694310866# #那些影响过你三观的人，都是你的老师。。这些是我能发出来的老师，上图片了。。还有两位老师，对我的三观影响至深，就不上图了。。教师节快乐
1703565485# #媒体：哈马斯态度“急剧转变”。。目前正寻求与以色列全面停火，而不是暂时休战
1700791780# #如果是真的，地产政策真的从一个极端走向另一个极端。。个人看法，现在地产的最大问题是：经济压力之下，有能力买的人不够多。。仅仅把地产的风险转嫁到银行不是解决之道。。就像我昨天分析的，必须多管齐下，过去吃过大红利的地方政府、银行共同让利，监管机构杜绝烂尾楼出现，才有可能让房地产行业走向品质
1694217148# #面对一些不公正、不合理的事情，有些人选择发声，有些人选择沉默，有些人还去指责发声的人太偏激，是愤青…
1696510937# #节假日，A股消息面风平浪静。。明天最后一天了，会有消息吗？
1697341100# #制度成熟完善的股市是投资者的天堂，却是利益链的地狱。。哪个利益链条会束手待毙？当然会有很大阻力。。以前经济好，A股制度如能徐徐改进，那也不算错，但那时候A股问题被经济高速发展掩盖了。。现在全世界经济压力大，国内一些行业爆雷，也确实在一点点改变了，可惜力度不够大，时间上也太缓慢，现实不允许
1696647173# #还是那句话，如果以为上面说要活跃股市，A股肯定迎来牛市，那就太幼稚了。。各行各业都经历了几十年发展，利益链条根深蒂固，即便有个包拯，也需要借助外力，突破重重阻力，才能改变，何况……。。现在连限售股转融通问题都解决不了，还有那么多媒体帮忙狡辩，对A股过度乐观的普通投资者，能不亏吗？。。很多
1689473295# #电力、铁路子弟特别多
1687913196# #50w卢布吃瓜
1700041552# #方星海：证监会坚定不移推进全方位开放
1687487374# #中国最好的电影，没有之一，值得细看深思
1688001412# #应该查处制造厂家
1695783130# #有人对上海楼市行情看不清。。4月份竟然还涨价，其实，那时候能卖出去就烧高香了。。你看他九月份降价的力度，直接降了41万，说明他心态终于变化了。。现在二手房挂牌量很大，完全是买方市场，看房客户基本上都是带着屠龙刀砍价的，不能抱着以前的卖方市场的心态了
1694741778# #黄金上涨，侧面也说明人民币汇率压力不小
1697617392# #A股，真不怪经常4000只个股待涨啊。。既有因必有果。。哪个国家股市的注册制是这样搞的？
1695949225# #这大概就是老胡富得流油的原因，人家有这个本事哈哈
1686807758# #布林肯周末过来，我大概率持股到下周一早盘，利好兑现后短线止盈
1699687280# #见怪不怪了哈，普通人的终点连他们的起点都够不上挖鼻
1701481074# #房地产目前的最大问题可能都不是出在房地产上。。主要是对未来的经济预期以及现阶段对普通群众提高收入的紧迫性上
1693019429# #梅西来了也得听领导安排。
1698807665# #东北全面振兴的目标与任务专家座谈会在海口召开哈哈
1691649215# #允悲
1698377717# #有些人从年初就开始吹今年牛市大行情，3300多点看多，看到3000点以下，涨一点，又开始吹了允悲
1700274670# #想知道其他国家对大鹅援助的数据哈哈
1699496907# #中国平安这样急切地辟谣，说明碧桂园的问题…
1700382473# #若在圈内，这对夫妻绝对重判：1-《刑法》128条，非法持有枪支罪，处三年以下有期徒刑、拘役或者管制；情节严重的处三年以上七年以下。2-女的开了7枪，大大超过制止犯罪自卫需求，按故意伤害量刑：第234条，故意伤害致人死亡处十年以上有期徒刑、或无期徒刑、死刑。
1696840586# #我们一贯反对针对平民的暴力和袭击。。听到了吗…
1692449896# #已有券商接监管通知：下周四提交佣金费率调降方案
1686806491# #要求不高，喝点汤，赚点零花钱
1687141554# #转发微博
1700794798# #经济日报：避免误伤房企正常融资需求。。地产公司负债累累，目前经济环境有能力买房的人也不多。。怎么办？把风险转嫁到银行，银行肯定不干。。最终肯定有一部分是要来A股白嫖，估计到头来还会让投资者默默承受这一切。。不过，一些大房企窟窿实在太大，能力挽狂澜的概率大家可以算一算
1700559887# #知道为什么今天算力板块大跌了吧哈哈
1687841416# #财经作家吴晓波多平台禁言整体的舆论环境，大家都懂，各个平台为了生存也不容易。。不过，有一说一，微博比头条还是要好一点，头条最恶心。当初在头条写财经评论，经常审核不通过，需要阉割，微博上发表就没问题。。最离谱的一次是，因为评论了电视剧《大秦赋》，也没有什么出格内容，竟然被永久封号了
1699494920# #看张维为谈“遥遥领先”哈哈。。张维为：参与制裁华为的许多境外企业恐将从此走向衰败，真是“谈笑间，樯橹灰飞烟灭”
1689304364# #今年开始，已经很少持股过周末了。。对周末消息已经不抱有期待，原因有二：。。一、俄乌一系列连锁反应没有结束，担心随时出现的幺蛾子。。二、经济压力较大，外部环境不容乐观，业绩、制裁等原因，上市公司也容易爆雷。。所以，安全起见，大部分周末，我选择空仓
1703219669# #【中方坚决反对乌将中企列入战争赞助商名单】乌克兰将中企列入“战争赞助商”名单，外交部：坚决反对
1689835635# #A股今天走势说明什么？
1699765620# #当很多个3亿，也就不是小数目了，何况还是简易程序…
1687229867# #【算力概念震荡走弱超讯通信跌停】算力概念震荡走弱，超讯通信跌停，亚康股份大跌9%，青云科技、首都在线、城地香江、工业富联、中科曙光、特发信息均跌超5%。。。昨天高潮，今天调整，在A股很正常
1689037930# #银河证券：暑期亲子游和避暑游需求旺盛有望带动相关板块业绩改善
1686960105# #对恶的纵容背后有割舍不掉的洋奴心理
1689218347# #旅游板块今天调整了
1701658098# #上海要建“五个中心”：国际经济中心、金融中心、贸易中心、航运中心、科技创新中心。。需要怎么做？
1701582083# #脸都不要了……。。如果我遇到这样的人，越这样说我会越小心
1696846443# #评论一下哈马斯，炸到粪坑了哈哈哈哈。。蛆来一个拉黑一个，尽管过来，我不会手软
1688633087# #商务部：中国是世界最大半导体市场美国打压终将反噬自身
1692831488# #投资者脑海的想象：降印花税。。投资者面临的现实：汽油柴油价格五连涨
1702082780# #63元，分139个月发放，每人每月约能领到0.5元允悲
1702697169# #这种事越来越多了。
1703380623# #蜡烛话筒
1694607400# #纯属YY，那么多如果…。。还不如说，如果我中了大乐透，我会娶林志玲…
1687308058# #特斯拉机器人概念股
1690964399# #回扣都已经分好了，不建不行啊
1700187306# #看今天股市的走势，感觉用不了多久，司马南有可能又要从“力促中美友好”转回到以前。。不过，对于这些灵活操作，他肯定是信手拈来的哈哈
1696066263# #人与人之间最远的距离莫过于：。。你相信张维为，我相信张维迎
