1701737709# #赞
1695387519# #分享图片
1692256006# #市场经济是一个生态链，务必要保持这个生态链的健康完善！
1695680131# #官方通报小学生遭同学极端欺辱我国未成年人保护的现状，实在堪忧。被欺负的，多是弱势家庭。欺凌者，多是有所依仗。加上校方一般不愿闹大影响声誉，导致欺凌事件层出不穷，且有愈演愈烈之势。呼吁加大惩处力度，避免社会风险，请立法者三思！郎摘新闻超话
1689897354# #说到鼓励、刺激消费，既然不给公众发钱，至少应该让大A股市正常起来，让多数普通散户赚个早点、奶茶钱，而不是让八九成人巨亏或深套其中，这让人们如何消费？好比许多退休的大爷大妈们，平日里凑在一起经常玩麻将（非赌博那种），一元几元的玩，一场下来，有输有羸，羸的人往往高兴的说:老哥老姐，今
1691019802# #谁手上掌握了资源，谁就是王者……郎摘新闻超话
1702260574# #00后女生花万元买一整车男装话说现在的00后女生眼光真是毒，男装确实很有性价比，虽然样式比较单一，但对于穿着比较中性的女生来说，却再合适不过，毕竟时尚不分性别，自信、开心最重要。心赞原来女装的平替是男装
1702042080# #分享图片
1692267838# #分享图片
1703402161# #2023年的那些浪漫瞬间2023年，浪漫瞬间不断，感动一直伴随。浪漫于人们来说，是一种情感的体验，是生活中那些令人心动的瞬间，它可以是一段美妙的音乐，一幅绚丽的画作，一次意外的邂逅，又或者是一个突如其来的惊喜。无论形式如何，浪漫总能给人带来愉悦和感动。心耶
1699683850# #200万人点赞的实用视频：无论U盘怎么损坏千万别扔，教你一招让它重获新生……郎摘新闻超话
1699142227# #县教育局回应强制学生戴头盔上下学只有坐电瓶车、摩托车需要戴】11月3日，广东湛江，有家长发视频称徐闻县的小学生被要求戴头盔上下学。视频显示，角尾乡中心小学门口，学生都是戴着头盔走出校门。有家长称，学校强制要求学生上下学走路都得戴头盔。4日，县教育局称是市里统一要求，主要是出于安全考
1703509094# #分享图片
1691058698# #也追问一句:啥牌子？疑问
1701524506# #赞
1693967799# #女孩蹲在马路中间整理书包，被开来的面包车卷入车底……伤心郎摘新闻超话
1695426231# #转发微博
1690250839# #别坐着，你给我站起来读。
1696734584# #江歌妈妈称将直播带货【目的是赚钱，但是对我来说就是一份工作】10月7日，江歌妈妈发布视频称将直播带货，她表示：“直播带货的目的同样是为了赚钱，但我会把选品和服务放在第一位，把赚钱放在第二位。我更希望您不仅仅是因为我的遭遇，而是因为我推荐给您的商品好才下单。”郎摘新闻超话
1694063004# #郁闷了……
1694517735# #拳头
1688898820# #分享图片
1696741743# #比亚迪执行副总裁李柯：“我们希望特斯拉非常成功，因为他们越成功，他们就越能帮助人们了解电气化。”郎摘新闻超话
1689376585# #7月14日，英余华拐卖儿童案在贵州省贵阳市中级人民法院一审庭审结束。此案一审未当庭宣判，检方建议判处余华英死刑。杨妞花表示，“余华英在法庭上并没有悔过的表现，希望能判处他死刑。”郎摘新闻超话
1693562925# #吃惊
1690363914# #老人让杀鱼后又不买遭商贩拦住大骂【一把年纪，活狗身上了】7月25日，上海。曝老人让商贩杀好鱼后，要求“要中断，并要把鱼鳍去掉称重”，被拒绝后老人称不买了。商贩拦住并破口大骂：一把年纪，活狗身上了！最后报警处理。郎摘新闻超话
1691221427# #如属实，建议酒店遇到这样的顾客，就不要考虑“保全他的名声”了，立即报警。
1702787475# #丧心病狂……怒
1699622392# #女子高铁独霸三座辱骂乘务员女子高铁上一人霸三座，被提醒后现场发飙大骂乘务员……郎摘新闻超话
1689138106# #姐姐30万赎弟弟没出缅甸又遭转卖吃惊7月11日，湖南。“手脚被打断，人会被打死”，被困缅甸弟弟向姐姐求救，“打30万块钱，不然命都没了”。姐姐告诉调查记者说，打了30万后，弟弟才刚出园区，就又被转卖了，对方还发来威胁视频，“弟弟和同村的男孩被绑在小黑屋里边，让马上打钱过去，
1692675172# #多个孩子被中介2万一个带到缅甸吃惊怒【诈骗团伙在缅甸控制境内学生发不雅视频】近日，央视曝光特大跨境裸聊敲诈案，涉及受害人近千名，涉案总额高达7000多万元。该团伙分工明确，“流水线”作案，还控制一些境内学生作为“小弟号”，向受害人及其亲属发送不雅视频。警方提醒切勿轻信他人，积极
1699017537# #辅警连喊6遍一定要去救回受伤司机【一定要去，万一是内出血】11月2日，浙江宁波，司机鲁某向辅警戴琪峰表示了感谢，称要不是他病情就耽误了。几日前，G1504宁波绕城高速发生追尾事故，后车驾驶员鲁某被卡驾驶室内，消防破拆后他能行动自如，遂提出无需就医。戴琪峰连说了6遍“这个一定要去的”，坚持
1701089098# #分享图片
1701523831# #支持
1701909363# #陕西安康，28岁母亲带失明女儿摆摊卖菜，顾客多给钱她总拒绝。特别是那句“以后经常来买就行，但不能不找钱”……泪郎摘新闻超话
1702806668# #心赞
1691580719# #这个可以有，只是担心影响演员忘了台词、动作允悲赞
1695733824# #一位未成年喜欢踩别人豪车拍短视频，仗着自己是未成年，态度嚣张，还在评论区挑衅车主。最终定损17万，车主这次坚决要追究，期待结果。郎评:支持拳头郎摘新闻超话
1692059627# #允悲
1690459889# #赞赞赞
1702375289# #推荐话筒话筒话筒
1696039366# #通报称女生遭4同学掌掴为肢体冲突引争议看视频，正是校园欺凌，且是4人欺凌1人，通报咋轻描淡写成肢体冲突？如此，何时能遏制校园欺凌？v光计划
1694415810# #4%大学生表示想当丁克有人说，丁克前半生逍遥自在，后半生孤独寂寞；而非丁克：一生操心无数，临老则无所适从。其实，当社会保障欠缺之时，丁克的老人很少见，倒是很多有孩子的老人过得有如丁克……
1689488249# #一对夫妻因没抢到公共车位，竟将邻居头朝下抱摔断了12根肋骨，妻子跪地痛哭祈求原谅:老公有心梗，孩子在读书……吃惊抓狂
1697447248# #对滴赞
1690605133# #真是何苦！
1690113031# #这……
1699495567# #年费打4折啦！活动底价就现在，VPlus双11惠聚周年庆早鸟优惠超低价，最后一天，数量有限，先抢先得，点击订阅↓↓苹果ios用户支付方法：
1694565534# #男孩不想父母吵架与爸爸促膝长谈安徽六安，孩子不想父母天天吵架，趁妈妈不在家和爸爸促膝长谈，一番话听得爸爸泪眼婆娑。网友：这个胖男孩很可爱，活脱脱一个小大人。郎摘新闻超话（完整版）
1695954171# #抓狂
1697751345# #国家统计局：今年前三季度全国居民人均可支配收入29398元。（央视网）
1698813090# #形象且生动允悲
1702271328# #高手……赞郎摘新闻超话
1699879054# #致敬！
1690280700# #来来来……允悲
1692223473# #这，自以为做得天衣无缝，没想到还有监控……郎摘新闻超话
1694760099# #高铁乘客花35买盒饭发现标价15【这算不算商业欺诈？疑问】9月14日，浙江金华。有乘客发视频称，自己乘坐G2344高铁时，花35元购买的盒饭揭开包装发现定价为15元……郎摘新闻超话
1702192752# #进校表白纯爱战士疑似冒充消防员吃惊【广西消防称：查无此人，大概率为冒充】据“纯爱战士”20X151313的胸牌是我们广西北海的号段，但是这个胸牌从未启用过，各消防站也查无此人，所
1703748693# #京东召集采销员工回归挺好的，既召回老员工，又承诺福利司龄累计，包括涨薪政策也适用，这无疑给了员工们巨大的信心和动力。此举与马斯洛的需求层次理论，每个人都必须先满足最基本的生存需求，才会发展出相对高级的需求，逐渐成长的过程中，形成个人的最终需求——“自我实现”不谋而合赞
1694995504# #转发微博
1701604923# #太可恶了
1698133984# #萝卜刀也是境外势力干的……疑问吃惊
1690514634# #点赞赞赞赞
1697772447# #允悲
1701252514# #这个开场舞真正有点惊艳赞
1696466301# #找个人凑一起坐？允悲
1689552103# #高温下卖鱼店老板突发感慨，“干也是穷，不干也是穷，还干个啥”……郎摘新闻超话
1692609345# #允悲
1699415746# #成都地铁三号线，一对情侣欺负一个女子……抓狂郎摘新闻超话
1699495648# #平凡之善、平凡之勇心赞
1701588713# #市监局回应美少女手办涉黄【将依法依规调查处理】12月1日，《焦点访谈》节目曝光了合肥一家电商网上销售适用年龄7-14岁的“美少女”人偶，记者网购后收到实物全裸。12月2日，红星新闻记者发现该电商销售页面显示，最近30天支付订单数4.56万，店铺所有商品已下架。记者从该电商企业注册地市监部门获
1697537732# #四川崇州通报女童被狗咬伤事件四川崇州通报“恶犬咬伤女童”：狗的主人被采取刑事强制措施。情况通报如下:
1702374808# #这一推，估计即便是马老师，也经受不住……允悲允悲允悲郎摘新闻超话
1700385300# #安徽网友实拍安徽合肥，芜湖等地火车站，大批武警押解着大批的缅北电信诈骗嫌疑人，可谓触目惊心……吃惊郎摘新闻超话
1702685849# #抓狂
1695882479# #允悲
1701522873# #婚车四个轮子被上几十把锁，开一把锁要一条烟。镇政府：属于当地风俗，需要去慢慢引导……郎摘新闻超话
1696936125# #这……
1703600126# #这个田园风光挺好的赞
1689251620# #女子车上被抢劫故意制造事故获救吃惊7月7日，山东潍坊。女子下班去地下车库开车时遭人抢劫，从容应对、机智逃脱，上演“教科书式”自救。男子上车劫持了该女子后，在车后座跟女子要手机，她故意装作紧张把手机掉到座位下；出车库时，男子让女子系上安全带，她回头系安全带时故意松开刹车，让车撞上
1689300811# #济南一小区发生火灾，孩子被困在窗外，楼下的大哥冒着生命危险从窗户爬上去，及时将孩子救下。心赞
1693018251# #转发微博
1690340651# #方霞说，公公婆婆自己都不过生日，却记得她的生日，当时都感动哭了心赞
1693919889# #男子穿短裙丝袜街边直播遭警察驱赶【你觉得你正能量吗疑问】据中国网，近日，广东深圳一男子穿短裙、黑丝袜在街边直播，警察看到后呵斥其离开：“不男不女，你觉得你很正能量吗？”郎摘新闻超话
1689765165# #赞
1701823937# #不知该作者讲的是真？是假？疑问
1694177328# #高铁上，小朋友不停吵闹又敲打前排乘客脑袋，列车长介入，家长:孩子就是孩子，不能按照大人要求他，你给我说啥呀！……吃惊抓狂郎摘新闻超话
1692234017# #38年老牌大厂宣布解散8月15日，一张新安电器（深圳）公司发布的“告全体同仁书”在网络平台广泛传播。该文件显示，在全球经济萎靡订单减少的情况下，公司经历了全球疫情影响，加上经营情况进一步恶化，经公司股东会决议，决定提前解散，并拟于8月18日结束经营。。。公司表示，将按《劳动合同法》第四
1702420800# #知足吧，你小时候有今天这样的作业量么？允悲
1697929200# #新农合逐年增加，从10元涨到380元，从能累积到清零，农民只能断交了郎摘新闻超话
1690087960# #“种地不能打广告”？城管拔瓜农广告旗，官方通报来了……
1703392228# #知道啦……
1696499164# #转发微博
1702120036# #山西吕梁，货车司机过收费站时“超限通行证”被工作人员撕毁，称其是假证，随后又改口说没有见过你的证，但是旁边的货车记录仪拍下全过程……执法人员撕毁货车司机超限证郎摘新闻超话
1689640486# #恒大集团负债总额2.58万亿叹为观止，如此巨额负债规模，非一朝一夕所累积，且早已达到资不抵债早该破产了，然而……但是，它为何还能挣到今天？疑问疑问疑问v光计划
1697702499# #半挂司机右转不观察，骑车女子没有远离大车的安全意识，幸亏戴了头盔，隔着屏幕都替她捏把汗。吃惊郎摘新闻超话
1690355549# #允悲
1701649865# #都不容易
1701154248# #为啥总有些父母望子成龙？接受孩子的平庸不好么？泪
1691397112# #抓的好！必须抓！一台1500万元的医疗器械直线加速器，医院以3520万元买入，中间的回扣，居然被医院院长吃掉1600万元。而医院的采购成本，最终必然会转嫁到病人身上……
1699687739# #大楼起火两人被困屋内，热心市民和消防员合力将两人救出……心赞郎摘新闻超话
1689845217# #分享图片
1700186911# #转眼又到年末，很感谢粉丝朋友们的一路相伴！希望我创作的VPlus内容能给朋友们带来精神力量和温暖。现在官方双十一活动还在返场，感兴趣的朋友可以领取官方优惠后下单↓↓【苹果ios用户支付方法】：。
1694927125# #22岁男子港铁上多次猥亵12岁女童怒【目击者：猥亵近半分钟，女童玩手机未察觉】据港媒9月16日消息，网传视频显示港铁上一男子趁身旁12岁女孩与朋友玩游戏期间，多次抚摸女孩大腿和手臂。据视频拍摄者称，他见到男子用右手猥亵女孩的右大腿两次，为时共约25秒，但女孩因沉迷玩手机，未有察觉。后目
1695043384# #西安某大学，一学生将垃圾丢到留学生宿舍门口的垃圾桶，结果被看门的保安怒斥：“你什么档次？这是留学生专用的垃圾桶，是你能扔的吗？”学生被训后不服气，质问保安凭什么把垃圾桶分三六九等？保安一脸轻蔑地说：“一点规矩都不懂！”……怒郎摘新闻超话
1703129137# #女网红就涉甘肃地震言论道歉并捐款终于道歉了，希望长点记性，话说同胞们受灾，真不是好笑的事情……郎摘新闻超话
1699145713# #假的吧？希望辟谣……
1691393485# #8月6日，江苏(发布)。一男子高温天干活中暑倒地浑身抽搐，现场女子侧脸旁观后继续手上的活，全程未采取任何施救措施，其冷漠行为引发众怒和热议……郎摘新闻超话
1694829226# #允悲
1694413904# #为什么年轻人换手机先买手机壳好马配好鞍，好看的手机当然得配漂亮的手机壳，手机壳既能保护手机，亦可为手机增添时尚和个性，平添一分自信心。
1701331676# #支持，低俗引流实在令人厌恶
1702085362# #有梦有爱有付出有收获心鲜花赞
1692488845# #高铁列车上，女子嫌1岁多的孩子在车厢里哭闹影响了自己，和孩子家长大吼：你是他爹，让他闭嘴！……郎摘新闻超话
1695037262# #斟一杯美酒，赏一处秋景，得一份闲情。中秋将至，该准备美酒了🍷嘻嘻→→～真正纯粮酒，好喝不上头，酱香味还浓，现在周年庆，囤酒最划算。心话筒
1695992447# #如果这图所说属实，我只想问一句:这，分得清谁送的么？疑问
1703981632# #2024，梦想成真……哈哈哈哈哈哈
1695176690# #转发微博
1703736906# #2027年租房市场规模或超2.8万亿这个有可能，别看当下买房租房不够理想，但必须看到，之后租房主力军已经换成00后了，00后的消费观大多要求舒适，虽然他们不急着结婚，不急着买房，但对高品质租住的需求越来越高，而房东们把房子交给长租机构，既有稳定的租金收益，还有保洁等贴心服务，甚好心赞
1688984674# #警方通报网传济南大学留学生月补3万元济南大学每月给留学生补助3万元？警方：网民为博人眼球故意拍摄部分照片，的通报附带了单据原图……
1703935128# #央行同意支付宝变更为无实际控制人无实际控制人？这个，真心不懂。有懂行的帮释一下疑……
1689939329# #女子假借1元买雪糕抢走老人5000元【孙女愤怒：是惯犯太恶劣怒】据7月16日，甘肃威武。一女子假装借1块钱给孩子买雪糕，抢走九旬老人5000元。老人孙女叶女士称，女子先与奶奶搭讪，称要借一块钱给孩子买雪糕，在奶奶翻看钱包时女子瞥见了包里的现金，后该女子将奶奶推进楼梯口抢走现
1694084560# #转发微博
1694998208# #味道看样子还不错
1688962302# #广东廉江发生一起故意伤害案致6死1伤【警方通报话筒】据平安廉江，2023年7月10日7时40分许廉江市横山镇发生一起故意伤害案，致6人死亡、1人受伤。当日8时许，我局将犯罪嫌疑人吴某杰(男，25岁，廉江市人)抓获归案。目前，案件正在加紧侦办中。郎说警事超话
1692063433# #胡锡进说夏威夷大火是人祸相当够格综合起来就是:人家是把资本的利益置于公众利益之上，豪横且任性……
1703728304# #光刻机是人类智慧的结晶，是全世界集中各国优势科技的产物，也没有一个国家可以单独制造最先进的光刻机……郎摘新闻超话
1697704150# #分享图片
1694607000# #醉驾男猛扇耳光：“为爱情冲昏了头脑”抓狂9月9日，江西九江。当晚，交警在九江收费站执勤，查获一名涉嫌醉驾的男子杜某，其呼气检测值达到165mg/100ml。面对这一结果，杜某后悔得当场狂扇自己耳光。经查，杜某当天和女友吵架后心情不佳，喝了六七瓶啤酒，“为爱情冲昏头脑”，冲动之下准备开车到女
1703838102# #+1，认同
1699306214# #无言以对……
1692276240# #抓狂
1699709761# #老太太推坐轮椅的大爷过马路，直接被轿车撞翻，交警：车辆未礼让行人负全责……郎摘新闻超话
1700263768# #男子被撞倒后遭多次碾压身亡吃惊伤心【家属称肇事司机事后发朋友圈“报仇了”】11月17日，河南信阳固始县，有网友发视频称自己家属被人撞倒后还遭多次碾压，最后不幸身亡。17日下午，记者联系上被撞男子的女儿李女士，其称父亲49岁，事发时正在家门口附近不远处的巷道内散步。黑车司机
1691841849# #允悲
1702506491# #山西省发改委发布公告，一次性解聘1008名专家，原来，仅仅山西一个省的评标专家就高达3226名，而这仅仅是其中不符合续聘条件或考核不合格的1008人。吃惊
1695008821# #新能源
1690882515# #这个叫“水尚仁佳”的小区，这栋楼真的很危险，不知道楼栋的居民有没有转移？（视频来源：杭州日报）涿州暴雨郎摘新闻超话
1692523080# #吴艳妮回应被质疑在赛场太高调估计没什么人说她高调啊，除非有关媒体或啥人没有热点也要创造出热点……笑cryv光计划
1698492802# #再就业……英国前首相宣布自己将担任电视节目主持人10月27日，英国前首相约翰逊在社交媒体发布视频，宣布他将加入“GBNews”新闻频道。据报道约翰逊将在该新闻频道担任主持人、节目制作人和评论员。“GBNews”表示约翰逊将在明年的英美大选报道中发挥关键作用。2022年7月，约翰逊宣布辞去首相职务
1689302068# #7月13日，陕西西安。12345回应洒水车在下雨天作业：雨天道路油渍更容易冲洗干净，极大减少晴天作业用水量……允悲郎摘新闻超话
1696339428# #继在马路上跳广场舞之后，大妈们走秀也走上马路上了……吃惊抓狂郎摘新闻超话
1692798761# #夜逛扬州东关街、古运河。扬州旅行带着微博去旅行超话
1696033879# #话筒
1693818943# #即便要铲，估计也得十几数十年之后……允悲
1703723625# #这个高国斌老师说法好新颖，在他看来，“成绩差”的孩子也能学好初中物理，“甚至更有优势，家长一定要去帮他们”。哈哈赞
1691582835# #李玲：我们最应该建的是国家免费医疗服务体系郎摘新闻超话
1702954619# #不要一直劝别人淡薄名利，让别人别在乎名利属于耍流氓……郎摘新闻超话
1697671200# #他很纯洁允悲允悲允悲两位资本市场老兵谈及他，竟然发出无法控制情绪的大笑……郎摘新闻超话
1693108550# #26日，湖南株洲，大巴车疑似车内物品起火事件。有知情者说：当时车是停在一个小饭店吃饭，别人都下去吃饭了，只有这个小姑娘一个人在上面睡觉，结果，车子着火……吃惊泪郎摘新闻超话
1698578045# #转发微博
1702297675# #允悲
1703467317# #允悲
1698810690# #省部级34人、厅局级2244人、县处级1.6万人、乡科级5.4万人，今年1至9月全国共处分40.5万人，成绩斐然……
1700657982# #转发微博
1690426948# #泪
1694825310# #同意允悲
1700402339# #🙏
1693263168# #转发微博
1699777596# #诗以言志，文以载道赞
1695903372# #责任虽是司机的，但命是自己的。这个大妈虽然瞟了一眼，却依然往前冲……衰伤心郎摘新闻超话
1694678919# #的确……
1695947069# #月饼今年卖不动了正常，前些年月饼之所以卖的火，主要是节日氛围所托，人们无论喜不喜欢吃月饼，多少吃一点，算是尝个传统味。随后，月饼是买来送的，不是买来吃的的人越来越多，天价月饼让许多人望而却步，高价的送不起，低价的不好意思送，以至连自个品尝月饼的原动力也随之大减……如此，月饼还
1698453677# #转发微博
1699965440# #转发微博
1694433266# #允悲
1696195450# #分享图片
1699584546# #都是讲究人，挺好的赞货车给婚车让行新郎家人登门致谢近日，广西，货车司机发现婚车车队立即让出道路，婚车车队得以顺利通行。婚礼结束后，新郎家人带着礼物登门致谢……心赞郎摘新闻超话
1690233698# #齐齐哈尔坍塌事故原因初步查明据有关人士分析:如果露天放置的大量珍珠岩遭遇连续降雨，充分吸水，重量可能变为自重的数倍甚至十数倍，超过屋面的荷载就可能压塌顶棚，造成坍塌……伤心伤心伤心v光计划
1695720017# #助力传统文化传承赞
1698915192# #香港演艺圈一次最感人的演出……32年过去了，你还记得吗？郎摘新闻超话
1703681255# #出来混总是要守规矩的，否则……
1696224255# #应该的
1703294051# #期房制度实行这么多年了，这才想起承担监管责任……
1690933173# #早上不到5点，楼下的暴走团在机动车道里放音乐暴走扰民，司机如果不让他们就骂，这种行为已持续多年，一点办法都没有……抓狂郎摘新闻超话
1691757070# #郑州美食赞
1698753600# #这老人太过分了，可为什么这年轻人只会站着挨打？抓狂郎摘新闻超话
1694738616# #车辆停放忘了及时熄火，心疼快递小哥，这下不知道要赔多少钱……吃惊郎摘新闻超话
1692019728# #马云早期创业视频，穿睡衣办公室开会……郎摘新闻超话
1689857401# #男子发涉黄卡片被休班辅警一招制服据7月18日，广东佛山，休班辅警在散步时，发现一名男子当街散发涉黄小广告，扮作路人靠近该男子，随后迅速进行制服。控制男子后，辅警立即通报派出所请求增援，派出所警力随即赶到将男子带回。民警侦查发现，贴纸的内容看似是涉黄广告，实则是
1690941973# #女子违停堵住多辆车，结果车窗全碎车胎全报废。女子:就堵了一天而已，下手这样狠……允悲郎摘新闻超话
1703137399# #恋爱脑真的一下子就治好了这个好玩，原来恋爱脑可以这样子治的允悲赞但话说回来，真正的恋爱尤其是结了婚之后，是酸甜苦辣与你分享，三餐四季与你共度，好比一见钟情，不是看了一眼就喜欢上了你，而是对了一眼之后，就再也没有忘记过……心
1698116349# #分享图片
1703910851# #刘强东要送的猛士越野车曝光“成功的企业家不是看到机会就去追逐，而是看到机会就去创造。”（彼得·德鲁克语），从这点讲，刘强东送车，不仅仅只是大方，而且体现一种企业的情怀，一种追逐创造的精气神！因为他知道，成功不是永恒的，千方百计保持成功才是最重要的拳头赞
1698925777# #ok
1694560247# #但愿如此允悲
1689683557# #7月16日，东北某男子想重温下昔日的权力，穿上以前的防护服上街溜达，被警察当做精神病人带走了……郎摘新闻超话
1696148070# #哈哈
1698283376# #烈火中见真情，为该辅警点赞赞
1692412509# #转发微博
1693699633# #转发微博
1694429492# #这……
1700087400# #何止是货车司机，外卖员、快递员、保洁……又何尝不是如此！当社会资源（包括生产销售）过于垄断，而人们享受的所谓快速、便捷、低价服务，必然是建立在他们过劳、廉价的基础上……
1698400268# #挺好，终于有企业关注到了这些特殊群体的出行需求了心赞
1697502964# #警方辟谣大型犬主人被孩子家长砍了【那是假的，是谣言】10月16日，四川成都。崇州一小区大型犬撕咬2岁半女孩引发关注，随后，有网友发视频称，“狗主人被受害方孩子家长砍了”。对此辖区派出所工作人员表示，那是假的，是谣言。郎摘新闻超话
1702264116# #分享图片
1689116703# #颜宁之问为何同学们答不上来颜宁之问，应该是在深刻了解教育现状的基础上，发出的灵魂之问……
1704019519# #法国一位90岁老太太，与一位47岁律师签订合约:你养我老，死后房子归你。老太太却活了122岁，律师却在老太太之前去世了。律师去世前，嘱咐儿子继续履行协议……
1696154491# #妇女之友允悲
1694154558# #急性子奥迪嫌前车开车太慢就故意别车，后车司机狂闪大灯想撞奥迪车，车内一家人齐劝“别斗气”……费解郎摘新闻超话
1691813449# #抓狂
1702205011# #明白人……
1698750903# #赞
1700382635# #抓狂
1689737733# #开车路上发生纠纷，男子将对方两次抱摔在地，天干物燥大家可得控制自己的脾气……郎摘新闻超话
1702336066# #哈哈
1697027400# #恒大到底是怎么空手套白狼的很多人在问：恒大到底是怎么空手套白狼的？……郎摘新闻超话
1700188428# #邓小平:“能虚心向人家学习”并不容易……郎摘新闻超话
1700820929# #弟弟吃糖卡住，呼吸困难！哥哥不知道哪里学到的知识，猛击腹部，全力以赴！弟弟脱险后，哥哥崩溃大哭：我差点没有弟弟了……弟弟吃糖被卡6岁哥哥乱拳急救郎摘新闻超话
1700393178# #董明珠称格力矿井空调让矿工穿西装上班吃惊疑问11月18日，在第十七届中国品牌节上，董明珠称，有煤炭企业询问格力能否开发矿井专用空调，开始因为难度较大，格力不想研究，在得知矿工上班环境后，她决定投再多的钱也要开发。她说，尽管开发花费1亿多，对方才采购20台，但是她觉得非常有价值，因
1701297373# #孕妇鞋带散开没法弯腰民警蹲下帮忙【暖心！心赞】近日，湖北襄阳，一名孕妇到派出所咨询业务，临走时鞋带散了。孕妇尝试弯腰没有成功，民警见状上前仔细帮其把鞋带系好。郎摘新闻超话（中国青年报）
1702093257# #外卖小哥送餐途中被风筝线割喉吃惊甘肃酒泉的外卖小哥茹某送餐途中经过某广场时，被一根风筝线刮伤，经医院治疗诊断为“颈部及拇指损伤”。警方后查实，放风筝的是一未满14岁的小孩王某某。由于风筝线过长又靠近路边不易被发现，茹某途经此地看到后，虽立即采取紧急制动措施但仍遭此横祸。近日，经
1699965569# #转发微博
1691491019# #如此骑行，太任性，这下舒服了？……挖鼻郎摘新闻超话
1691893057# #14岁女孩帮妈妈做饭多被数落14岁女儿帮忙做好了午饭，妈妈看到后觉得两个人吃不了那么多，妈妈说：我该表扬你吗？……吃惊抓狂郎摘新闻超话
1691535359# #没有危险时爸爸就是最大的危险【活下来就是胜利！耶耶耶】近日，山东一位宝爸购买了一辆遥控汽车，兴冲冲地让妻子带着宝宝一起参观。怎料在操控遥控汽车时，爸爸竟打反了方向，导致下一秒遥控汽车竟全速朝女儿冲来……险些将女儿撞翻！事后，宝妈：“万幸没有伤到骨头，车子已经给他砸了”
1697582429# #身份证会被手机消磁吗不会。这是因为身份证使用的是射频识别技术，而手机使用的是无线通信技术，两者的工作方式不同。身份证的芯片中有一个微型电池和一个线圈，当读卡器靠近时，读卡器会产生一个磁场，这个磁场会刺激芯片中的线圈产生电流，从而激活芯片并读取信息。而手机则通过电磁波与基站进行
1703314864# #逻辑清晰……
1701903331# #未成年人偷拿家里31斤金条在朋友帮助下变现500多万元，买豪车，奢侈消费，还豪掷21万感谢朋友。法院：不当得利应返还……郎摘新闻超话
1696462673# #这……
1692171185# #男子因座位问题和乘警拍桌子叫嚣：你敢动我一下，马上让你坐牢，我有自己的律师……吃惊郎摘新闻超话
1701078637# #16岁女孩未考上985遭父亲家暴这个父亲极不合格，其行为且涉嫌违法！对女儿学习上要求高点，还能令人理解，但不让其吃饱饭，冬天逼其洗冷水澡，不能与外界交流等等，则不是人所为……怒
1696411845# #田园教学，助力乡村振兴赞
1703764208# #京东采销回应涨薪正常来讲，我们工资和物价应该正相关关系，工资增长带动了物价增长，但是物价增长却不一定引起工资上涨。可以说，京东采销集体涨薪，最主要是因为广大消费对京东采销的认可，同时也会令京东更加努力，为消费者找到更多更好的商品，努力把价格打到更低、更实惠心赞
1693694783# #幸亏是医学院，师生们不错心赞
1700032676# #无语……
1696723718# #女会计因爱打麻将贪污百万公款“这一天终于来了。”面对突然“造访”的民警，躲藏在重庆市巫溪县城厢镇的四川甘孜州色达县发改局原会计余平长叹一口气，戴上手铐时如释重负。这一刻，也为她东躲西藏、担惊受怕的9年外逃生活画上了句号。10月7日，四川甘孜州纪委监委微信号“廉洁甘孜”发布甘孜州色
1698050414# #好的作揖
1701343471# #允悲
1692448947# #女子称杭州一酒店花洒上糊大便【酒店回应：她自导自演敲诈勒索10万】“我感觉那个水，很臭很臭。过了30秒，察觉到不对劲，一看花洒上都是大便。”8月16日，杭州的马女士向记者反映，在入住顾猫宁服务式公寓运河郡旗舰店时，发生了这样恶心的一幕。马女士称，她本打算自行与酒店方协调处理，但对方态
1698742735# #怎么会这个样子？
1701485355# #警方通报女子提醒关远光灯被打致流产涉事2人行拘10日，罚款500元，待鉴定结论做出后，将根据鉴定意见依法处理。郎摘新闻超话
1692076104# #取已故丈夫190万银行存款遭拒意思便是:银行在没有确认是否有其他继承人，且遗嘱未被公证的情况下，拒绝取款是在保护储户和继承人的权益……
1698382758# #这……真丢人！郎摘新闻超话
1690418630# #这……学校宣称90%就业率，仅20%毕业生找到工作？学生：不盖章拿不到学位。半月谈：“盖了章就算就了业”，假就业糊弄了谁？郎摘新闻超话
1699703583# #院长之子中学和苏士成合发论文这裤子，快被脱光了……
1689242760# #江苏盐城轿车撞人事故致2死6伤据“平安亭湖”微信公号，2023年7月13日11时33分，我区人民路与海纯路路口发生一起轿车撞人事故，致2人死亡、6人受伤。接报警后，公安机关迅速派员赶赴现场处置，并协助医护人员救治伤者。目前，涉事司机高某(男，24岁)已被警方控制。事故正在进一步调查处理中。盐城
1701670736# #天价母婴消费收割廉价爸妈为什么打着母婴的标签卷钱的人能大行其道？就没人管管么？疑问抓狂
1702881362# #允悲
1701664089# #官方回应高校食堂麻酱盆中发现老鼠【属实，正在调查】近日，有网友在社交媒体报料称，在江苏扬州江海职业技术学院食堂的麻酱盆中发现老鼠，12月4日，该校校办人员向海报新闻记者确认事件属实，具体情况正在调查中。至于涉事商家是已经停业还是仍在运营，对方表示自己刚刚上班所以并不清楚，需要再
1697673600# #学生模仿领导视察拍视频引关注【校方：学生出于好奇模仿，会正确引导】与其“正确引导”模仿学生，莫如反思为何学生的模仿秀能够迅速走红并引起社会共鸣。郎摘新闻超话
