1559516941# #跑跑更健康！作揖
1547093357# #欢迎一起观看明早直播鲜花如何给到困境中的病人力量鲜花鲜花@AMEI教你学搭配
1679179297# #每日一善开展“弯腰一秒拾起文明”环保公益行动！
1579578465# #支持全员佩戴囗罩！赞赞赞
1539922857# #微博头条阿林哥话公益中国航天科技成果，军转民用，军民融合战略已全面启动，东方红航天生物公司作为中国十三五规划中率先担负大健康惠民工程重任的国企，决定将“东方红1号”宇航口服液军转民用，服务亿万百姓。神舟，神物，神奇赞赞赞
1560206945# #为海宁义工点赞！赞赞赞
1562289442# #还真不错！赞
1619995708# #项目不错！赞赞赞
1560258049# #转发微博
1584313226# #防疫特供，限时专卖！全球抗疫第一线阿林视界
1538359685# #严惩暴徒。拳头拳头拳头
1641457358# #种草打卡微博视频号打卡计划玩转微博节日道具新年快乐
1580004305# #转发微博
1562289112# #转发微博
1556151749# #心
1539214503# #我在签到领红包打卡啦！每日签到领红包，签到越多红包越大，还有各种限时奖励，快来一起领吧！错过一天都可惜哦~
1666536850# #属高利贷，法院不会支持！哈哈哈哈哈哈
1579691161# #转发也是支持！
1589813465# #活力桑葚酒，健康永相随！赞赞赞
1540904254# #转发微博
1559402943# #赞赞赞赞赞
1545409398# #转发微博
1550363333# #向你致敬作揖作揖作揖
1572476421# #转发微博
1540166517# #军民融合进程加速东方红航天生物开辟广阔新天地
1540510665# #这是秋天里的童话故事，感谢快递小哥出手温暖这个社会，点赞赞赞赞👍理解快递小哥快递小哥不容易温暖中国人天匠真丝地毯韩建立  @阿林哥有话说
1538360014# #鲜花围观赞
1641170437# #阿林视界志愿者年关将至，天干物燥。近日一建筑工地因工友在工棚烤火取暖，引发工棚大火🔥，一时间工棚化为灰烬。幸好没有造成人员伤亡！呼吁：请不要在狭小的空间内烤火取暖。
1564290803# #转发微博
1566132238# #转发微博
1558834590# #应该是右转先行！对吗？思考思考思考
1643598953# #厉害了，少年中国，中国少年！哈哈赞
1580053850# #转发微博
1559015493# #@阿林哥有话说
1538023022# #阿林哥话公益退伍老兵的爱国情怀！向祖国敬礼！作揖作揖作揖
1558750638# #值得一看！赞赞赞
1673966688# #临阵脱逃！罪加一等！作揖作揖作揖
1564444733# #赞赞赞赞
1537144119# #微博头条阿林哥话公益点亮志愿者超话在前天晚上，相信大家在海宁市区的文苑路、联合路、海昌路、工人路和人民广场等地方看到了一群身着不同组织红马甲、操着不同口音的人跟随着身穿白色义工服的人，在马路上“捡垃圾”；这究竟是为什么呢？。    原来，这是参加《共建共治共享创造美好生活
1580003952# #值得转发一下哦！心
1558750726# #说得好！顶了！赞赞赞
1682721015# #我在闲鱼发布了【【无线长续航~数显加强款】车载充气泵便携式12V无线汽车轮胎】退坑回血便宜出！
1570458995# #微博头像挂件我正在使用“国旗”头像挂件。即刻换装中国红，为祖国庆生！
1552131088# #阿林哥话公益《怎样预防癌症》健康公益讲座今天晚上七点在南关厢风雅颂国学院多功能厅开讲。本次健康公益讲座是由和共同举办，由嘉兴市中医肿瘤重点学科带头人、嘉兴市名中医、中医肿瘤副主任医师段绿化主任主讲。阻止癌症，从预防开始。🙏🙏🙏
1566014124# #阿林视界阿林哥话公益微博头条宝宝的少女心就这一刻反暴力，挺香港！拳头拳头拳头
1572476463# #孩子们太棒了！赞赞赞
1565954632# #好样的！
1629640679# #分享新创意！赞赞赞
1564290762# #赞啊
1629641002# #我刚刚上传了动态视频封面，动态视频封面是微博视频号的个性化专属功能，快去我的主页看看吧~更多有趣、精彩的封面，尽在视频号封面大赏
1697082833# #公安机关公开通缉陈岩板（鲍岩板）、肖岩块（何春田）2名电信网络诈骗犯罪集团头目点击查看更多
1639956955# #文明乘车安全行车！心作揖
1562235673# #赞赞赞赞
1539747727# #这样玩微博？
1694385173# #人人参与才叫公益！哈哈
1570458988# #我和国旗同框
1562289082# #转发微博
1643122862# #2022新年焕新季阿林视界回家过年！看看父母！哈哈鲜花赞
1588220308# #助力社会组织，开创美好生活！鲜花赞耶
1580053760# #转发微博
1560595944# #现在搬到哪里了？疑问疑问
1679177873# #春季开展“弯腰一秒拾起文明”环保公益行动！赞赞赞
1673913091# #年味已浓！鲜花哈哈赞
1569363888# #嘉兴景美，人更美！耶心赞
1582989401# #赞赞赞
1655419845# #转发微博
1673968104# #民生实事！为百姓解决急难愁盼的好举措！赞赞赞
1558190389# #爱心传递！心
1587942604# #阿林哥特惠淘小铺。欢迎光临我的小店~本《阿林哥特惠淘小铺》专为我的铁粉们提供的各类精选特惠商品！特惠商品100%正牌货！关注我，幸福你！
1539436877# #热烈祝贺汤公子新婚快乐！鼓掌鼓掌鼓掌干杯干杯干杯喜喜喜
1558766564# #爱心无界！赞一个！赞心赞心赞
1569363309# #赞赞赞
1561008419# #不错！这样的公益宣传片多点，再多点！赞赞赞赞啊赞啊赞啊心心心
1561373720# #值得关注@新马桥工商所
1558190064# #赞赞！为你点赞！赞赞
1558766388# #这座“桥”搭得好！心赞
1643598885# #祝老大新年快乐！虎虎生威！鲜花哈哈赞
1673967720# #罪有应得！让其在美屁下自生自灭吧！哈哈
1591742194# #习近平同菲律宾总统杜特尔特就中菲建交45周年互致贺电
1533981030# #爱心心满满！赞赞赞
1538909966# #转发微博
1679179546# #领导关心，群众暖心💕💕💕
1537494400# #转发微博
1543941252# #大家一起关注低保家庭孩子的成长！心
1634139132# #基层治理效果取决于基层领导观念是否与时俱进。
1666537230# #很有必要！为海宁义工点赞！赞赞赞
1694225130# #阿林视角植物干细胞目前社会上有好多朋友，因为得了“白癜风”而感到自卑，失去了做人的尊严；有的因为这个病而得了忧郁症……如今，伟大的植物智能技术改变了这些人的命运，好多人因为相信，使用了这个植物干细胞而变得漂亮，变得自信，变得更有能量！
1560611100# #父亲节快乐！心鲜花耶
1654120918# #情暖六一，快乐成长！赞赞赞
1542068109# #微博头条阿林视界东方红一号宇航口服液（小红瓶）、天润片、航晶片、天韵含片、益压康、糖定康……在第十二届珠海航展上向全世界展示，精彩亮相，得到中国航天科技集团董事长吴燕生董事长的嘉许，并介绍给中国气象局局长刘雅鸣刘局长。可见中國航天的产品有多强大，跟航展上展出的空间站、战斗机
1553944114# #赞赞赞
1682721233# #明年来吃柚子哈哈哈哈哈哈
1565674304# #转发微博
1664807774# #公益不停步！赞
1539524565# #转发微博
1673913035# #一定有靠山笑cry笑cry
1551943327# #转发微博
1538329193# #我在签到领红包打卡啦！每日签到领红包，签到越多红包越大，还有各种限时奖励，快来一起领吧！错过一天都可惜哦~
1679179996# #微博头像挂件我正在使用“双子座”会员专属头像挂件，你也来试试吧！
1694162725# #植物干细胞阿林视角中国宇航人，世界沙棘梦！鲜花心good给力
1548633387# #转发微博
1694163355# #阿林视角植物干细胞植物干细胞人参组培不定根饮液，荣获世界四十多个国120多项专利，其中“五大应用”专利将造福14亿中国人！鲜花心赞给力
1543941389# #转发微博
1538359395# #转发微博
1547945014# #转发微博
