1698363499# #乌克兰武装部队第25空降旅突击了俄军的一个阵地，俘虏一群俄国兵。俄乌战争
1698636810# #乌模拟训练俄乌两军在前线丛林短兵相接。俄乌战争
1694445120# #乌克兰国防军部分解放了顿涅茨克附近的奥皮特内村——国防部副部长。俄乌战争
1689117165# #俄潜艇艇长被清除的原因：去年7月14日，一艘俄海军潜艇从黑海向乌克兰Vinnytsia市发射5枚口径巡航导弹，击中一个医疗中心、办公楼、商店、音乐厅与居民住宅。这次袭击杀死至少28人（3名儿童）、伤202人。文明世界对此次屠杀平民的袭击予以了强烈谴责。原凶就是该艇指挥官斯坦尼斯拉夫·日茨基。
1690168048# #今天还敢去接的，那就是太贪婪了，贪的结果是什么呢？$中央商场sh600280$
1688776003# #【俄乌战争最新战况】。。◆巴赫穆特阵线（包括巴赫穆特附近）。。乌克兰军队向巴赫穆特西北部的贝克希夫卡和亚希德内推进。。。乌克兰军队第22机械化旅，设法推进并到达了克利希基夫卡附近山丘上的前乌克兰防御工事的北部边缘。。。第3突击旅的士兵袭击并进入了克利希奇夫卡以东的俄罗斯阵地。。。◆顿涅茨
1697028012# #德国增加对乌克兰的军事援助。仅所谓的“冬季套餐”的防空部分就价值约10亿欧元，其中包含爱国者，IRIS-T。爱国者系统包括：-指挥单位-雷达单位-8发射器-60枚导弹;IRIS-TSLM包含一个完整的系统，以及数量不详的导弹。最重要的是，将发送以下物品，价值约2000万欧元：-3x猎豹高射炮-10x
1695222565# #在解放乌罗扎尼期间，乌军第38海军陆战旅第1营和第503独立营各部队协同联合作战的视频。俄乌战争乌克兰反攻
1697118396# #哈马斯政治局成员穆萨·阿布·马祖克的兄弟优素福·阿布·马祖克及其一些家庭成员因以色列轰炸拉法而死亡。以色列巴勒斯坦冲突以色列正式向哈马斯宣战
1700693606# #乌克兰武装部队总司令扎卢日尼以“拉姆施泰因模式”谈到了国防军的行动和战场局势。俄乌战争
1703370932# #俄占顿涅茨克的伊洛瓦伊斯克油库发生火灾。俄乌战争
1703985655# #【第152机械化旅揭晓】第152机械化旅加入第151、153、154机械化旅组成的150系列并公开露面。。。该旅获得了官方徽章，座右铭是“我们不应该有恐惧”，军号是“A4948”。根据社交媒体上的帖子，该旅主要由动员的士兵组成。该旅是否像其他旅一样，是在其他一些已经存在的单位的基础上组建的，目前还不得而
1691216078# #【天空新闻：为什么乌克兰袭击新罗西斯克的俄军舰艇】让我们更深入地了解乌克兰对停靠在俄罗斯黑海港口城市新罗西斯克的奥列涅戈尔斯基·戈尔尼亚克船的夜间袭击。。。正如我们一直在说的，这次袭击是值得注意的，因为这是乌克兰第一次瞄准俄罗斯境内的商业海港。。。新罗西斯克位于俄罗斯恐怖统治之下（位
1697784598# #【拜登向国会提出1000亿美元的对外援助，用于援助乌克兰和以色列】拜登总统最快将于今晚向国会提出1000亿美元的对外援助请求，其中包括向乌克兰提供600亿美元和向以色列提供100亿美元。。。拜登：“美国的领导才能将世界团结在一起。如果我们离开乌克兰，如果我们背弃以色列，将所有这些置于危险之中是不
1689866372# #俄占克里米亚的格瓦尔代斯克和辛菲罗波尔发生爆炸。俄乌战争乌克兰反攻
1689428754# #【韩国总统在对基辅的突然访问期间承诺提供更多军事支持】。。在突然访问乌克兰首都时，韩国总统尹锡悦承诺提供更大一批军事物资和1.5亿美元的人道主义援助。。。尹在本周早些时候参加了在立陶宛和波兰举行的北约峰会后，正在基辅拜访总统弗拉基米尔·泽连斯基。。。斯德哥尔摩国际和平研究所（SIPRI）智库称
1699253522# #以色列国防军夜间特别军事行动摧毁加沙地区哈马斯隧道。以色列巴勒斯坦冲突
1688399204# #【泽连斯基说，在克里米亚回到乌克兰手中之前，战争不会结束】沃洛德米尔·泽连斯基说，在克里米亚回到乌克兰手中之前，乌克兰战争不会结束。。。“我们无法想象没有克里米亚的乌克兰，”乌克兰总统告诉美国有线电视新闻网。虽然克里米亚处于俄罗斯占领之下，但这只意味着一件事：战争还没有结束”。。。当
1691196920# #刻赤地区发生两次爆炸，刻赤大桥已经被关闭。俄罗斯海军舰艇运营商Rosmorrechflot的消息来源报道，无人机在距离刻赤海峡30英里处击中了一艘油轮。俄乌战争乌克兰反攻
1689697471# #【宝岛向美帝采购NASAMS防空导弹系统】其防务负责人说，建军工作都是要按照敌情、现况。从俄乌战争的情况可以看到，NASAMS防空导弹系统的性能各方面都很不错。。。但他也说，到目前为止，台湾还没有得到美帝正式通知，工作还在进行。。。NASAMS防空导弹系统由挪威康士伯防务与航空航太和美帝雷神技术公司开
1692852273# #普里戈津和乌特金两人同坐一架飞机，给了普丁最好的机会把他俩一锅端。俄乌战争瓦格纳创始人坠机身亡
1688360777# #【巴赫穆特前线战况】。。乌克兰第3突击旅的士兵越过克利希奇夫卡以西的运河。。鉴于运河以东有乌克兰坦克的存在，可以安全地假设他们清除了运河沿岸的整个东北部。。。乌克兰总参谋部报告说，在明基夫卡，博赫达尼夫卡地区附近击退了俄军的袭击。俄乌战争乌克兰反攻
1704071538# #神棍恐怖组织，终究会被通通剿灭！黄鹅黄哈黄胡黄伊要多准备点白麻布。
1699791482# #【敲山震虎，缅北四大家族被通缉】12日浙江省温州市公安机关正式对缅甸果敢自治区电诈犯罪集团头目发布通缉令。。。现已查明，犯罪嫌疑人明学昌、明国平、明菊兰和明珍珍4人犯罪事实清楚，证据确凿充分，温州市公安局决定其进行公开悬赏通缉，并呼吁上述4个认清局势，主动投案自首，争取宽大处理。
1688647691# #俄控马基夫卡再次遭风暴阴影袭击发生爆炸。俄乌战争风暴阴影乌克兰反攻
1698120635# #以色列军队说，在今天上午的一次空袭中，哈马斯在加沙北部的反坦克导弹阵列负责人易卜拉欣·萨赫尔被打死。以色列军方表示，萨希尔应对2021年5月战争期间造成奥马尔·塔比布参谋中士死亡的导弹袭击负责。以色列正式向哈马斯宣战
1689076117# #德国将向乌克兰发送新的武器包，其中包括：。—2个爱国者发射器;。—40辆Marder1A3IFV;。—25架豹1A5主战坦克;。—5贝尔格装甲2ARV;。—20k155毫米子弹;。—5k155毫米烟雾弹;。—无人机检测和无人机保护包;。—LUNA无人机系统;。—先锋包。。武器装备俄乌战争乌克兰反攻
1697001515# #哈马斯最高军事指挥官穆罕默德·戴夫的兄弟在以色列对戴夫父亲家的空袭中丧生。据报道，兄弟的儿子和孙女也被杀，一家人仍然在瓦砾下。以色列巴勒斯坦冲突
1697938495# #拜登：“今天，自哈马斯10月7日对以色列发动恐怖袭击以来，第一支人道主义援助车队越过边界进入加沙，到达有需要的巴勒斯坦人手中。”以色列正式向哈马斯宣战
1688875868# #泽连斯基与他的将士和人民亲如兄弟姊妹，坐在长桌子边的毒才者的侵略军如何能战胜！俄乌战争乌克兰反攻
1688865443# #7月8日，一个重要的日子，俄乌战争第500天，亚速英雄回归。在利沃夫，乌克兰总统泽连斯基与他的团队成员在一起。他平易近人，从没有威权主义的派头，他们也没有把他当做伟大领袖，但他们团结一心，带领乌克兰人对抗独裁者的侵略。沉浸在两种文明中的人类，永远无法想明白对方所想，但是哪一种代表着人
1694833247# #第3独立突击旅确认安德里夫卡向南解放至巴赫穆特。俄乌战争乌克兰反攻巴赫穆特
1699355151# #平民通过以色列军队为加沙北部平民开放的疏散走廊向南移动。随着加沙平民的离开，就问哈马斯慌不慌！以色列巴勒斯坦冲突
1688570557# #暴风阴影袭击了顿涅茨克地区的亚西努瓦塔（Yasynuvata）车站，推毁鹅军一批T-54、T-55和牵引炮。
1700263910# #【在第聂伯河左岸赫尔松方向，乌军击退了俄罗斯人6次进攻】11月17日晚，乌克兰武装部队总参谋部报告说，在第聂伯河左岸赫尔松方向，国防军继续坚守占领线，击退了俄罗斯人6次进攻。。。“在赫尔松前线的第聂伯河左岸，由于乌克兰海军陆战队的勇气和专业精神，与国防军的其他部队合作，有可能在几个桥头堡
1700262886# #【以色列国防军说，以色列军队“决心推进”军事行动】以色列国防军发言人表示，以色列军队“决心推进”他们在加沙的军事行动。。。海军少将丹尼尔·哈加里（DanielHagari）在例行新闻发布会上说，士兵们将击中哈马斯目标，无论他们在哪里找到它们。。。“我们决心推进我们的运营。这将发生在哈马斯存在的任
1694126677# #俄占霍尔利夫卡发生爆炸。俄乌战争
1689488864# #俄罗斯消息人士7月15日称，俄罗斯军事指挥部解除了第106近卫空降师师长弗拉基米尔·塞利弗斯托夫少将的职务，此人上个月才晋升为少将。俄罗斯消息人士表示，塞利弗斯托夫被解职的原因目前尚不清楚，但推测这可能与塞利弗斯托夫代表士兵发声的声誉有关。俄罗斯消息人士称，第106VDV师自1月以来一直在巴
1690813650# #【欧盟委员会主席：“不能容忍对乌克兰非法使用武力”】乌尔苏拉·冯德莱恩在访问菲律宾期间强烈谴责俄罗斯对乌克兰的“非法使用武力”。。。欧盟委员会主席批评“威权领导人”违反了国际法的基本原则。冯德莱恩对不断变化和动荡的全球政治格局表示担忧，强调俄罗斯对乌克兰的侵略是对国际秩序的威胁。。。
1688399555# #乌克兰苏梅市用四架无人机袭击，这次袭击在苏梅市造成至少两人死亡。俄乌战争
1701725685# #乌克兰安全局揭露了第聂伯罗的经销商，他们想向俄罗斯人出售战机备件。俄乌战争
1697200141# #以色列国防部长：我们将推翻哈马斯政权，摧毁其军事能力。以色列军队散发传单，要求加沙居民立即撤离家园。。。以色列军方发言人：我们将在未来几天摧毁叙利亚的更多目标。。。卡萨姆旅宣布用导弹轰炸萨法德的以色列北方司令部。哈马斯声称向以色列北部发射了Ayyash250火箭。以色列军方称拦截了从加沙地带
1697116079# #【以军对加沙袭击的快讯】。图1：穆哈巴拉特塔成为加沙市以西的以色列空军的目标。。图2：以军对加沙西北部阿尔哈卢的空袭。。图3：以色列连续空袭加沙城西北部情报区塔楼的照片。。图4：以色列对努塞拉特难民营的袭击。。图5：以军对加沙南部拉法的空袭。。图6：导弹落在贝特谢梅什外。没有受伤或损坏的报告
1703587967# #克里米亚费奥多西亚港口发生爆炸，乌克兰飞行员摧毁了俄罗斯的新切尔卡斯克（Novocherkassk）大型登陆舰。俄乌战争
1699461649# #欧盟委员会：我们通过了2023年扩大一揽子计划，建议与乌克兰和摩尔多瓦展开谈判，给予格鲁吉亚候选国地位，并在达到必要遵守程度后与波斯尼亚和黑塞哥维那展开入盟谈判。。。乌尔苏拉·冯德莱恩：乌克兰人正在深入改革他们的国家并准备加入，即使他们正在打一场生死存亡的战争。今天，委员会建议安理会与
1693874121# #在韦尔博韦战役中负伤的乌军士兵安全运返大后方的野战医院接受治疗。俄乌战争乌克兰反攻
1698851499# #美国国务卿布林肯描述哈马斯暴行：“一个四口之。家。一个六岁男孩和一个八岁女孩，以及他们的父母。围坐在早餐桌旁。父亲的眼睛在孩子们面前被挖掉。。母亲的乳房被割掉，女孩的脚被砍断，男孩的手指被。砍掉——在他们被处决之前。然后刽子手坐下来吃了。他们的早餐。”以色列巴勒斯坦冲突
1697971774# #【偷鸡不成蚀把米】俄罗斯趁着西方的都在聚焦巴以之战对阿夫迪夫卡发动猛攻，两个机械化旅的装备损失惨重。俄乌战争
1694444146# #乌克兰国防军在新马约尔斯克取得了部分成功。俄乌战争
1697939431# #【来自天空新闻的客观报道：以色列国防军告诉加沙北部平民，他们可能被视为“恐怖组织的伙伴”】。。作者：VictoriaSeabrook，新闻记者。。以色列军方今天在加沙北部投放传单，告诉尚未撤离的平民可能被视为恐怖组织的“伙伴”。。。但牛津大学的一位专家告诉天空新闻，即使他们被下达了撤离令，这些人也没
1691140077# #俄占第聂伯河左岸赫尔松地区的第聂普里亚尼弹药库夜间发生爆炸。武器装备俄乌战争乌克兰反攻
1695221313# #9月19日泽连斯基在联合国大会发表演讲。俄乌战争
1699461848# #以色列军方说，第7装甲旅的部队在一个反坦克发射阵地上发现了一些哈马斯特工，该阵地通过隧道连接到一个武器库。部队对现场进行了空袭。一些设法逃到建筑物屋顶的特工在第二次空袭中被击中。另外，以色列军队表示，它袭击了加沙地带的一个迫击炮发射小队。以色列巴勒斯坦冲突
1703027291# #智者之言。
1700263372# #【卫星图像捕捉到了大批试图逃往加沙南部的人】。。这些照片由Maxar拍摄，显示今天早些时候，数千人聚集在SalahalDin公路上-这是该地区从北部到南部的主要疏散路线。。。最近几周，以色列国防军在推进地面行动时一直在指示平民使用主要道路。。。然而，加沙南部部分地区的巴勒斯坦人昨天开始收到撤离通知
1688909571# #克里米亚刻赤大桥遭到乌军巡航导弹空袭，俄军防空系统在工作，有巡航导弹被拦截，静待袭击结果。俄乌战争乌克兰反攻
1696779843# #根据第12频道新闻，哈马斯对以色列的恐怖袭击造成的死亡人数上升到400人。以色列卫生部称有2000多人受伤。以色列巴勒斯坦冲突
1698852262# #韩国情报部门称，朝鲜已向俄罗斯运送了100万发炮弹。俄乌战争
1700138592# #【明国平、明菊兰、明珍珍被成功抓获】近日，为依法严厉打击缅北涉我电信网络诈骗犯罪，我公安机关对缅北果敢自治区电信网络诈骗犯罪集团重要头目明学昌、明国平、明菊兰、明珍珍进行公开通缉。11月16日，在缅甸各方的大力配合下，明国平、明菊兰、明珍珍3人被成功抓获并移交我公安机关，中缅联合执法
1688599276# #乌军对俄占马基夫卡发动打击，发生巨烈爆炸。风暴阴影乌克兰反攻俄乌战争
1696833180# #以色列国防军发言人哈加里说：“我们正在情报和行动方面与美国军方合作。伊朗看到了这一点，如果我们看到伊朗代理人试图采取行动，可能会导致遭受美国的袭击。以色列巴勒斯坦冲突第六次中东战争会爆发吗
1690560174# #【美国前情报官员在国会听证会上说，华府在数十年间一直开展不明飞行物体（UFO）计划，收集坠毁的UFO，并发现了“非人类生物”】。。英国《卫报》（TheGuardian）报道，大卫·格鲁希（DavidGrusch）星期三（7月26日）在国会听证会上告诉众议院监督委员会，当局已发现“非人类生物”，并试图对UFO开展逆
1696781813# #【哈马斯领导人艾曼·尤尼斯被斩首】哈马斯组织的一名领袖尤尼斯（AymanYunis）位于加沙的住宅被彻底炸毁，包括尤尼斯本人和他的多名家人，都葬身在瓦砾堆中。据报道，他的尸体在一座据称遭到以色列军队袭击的房屋废墟下发现。以色列巴勒斯坦冲突
1689901588# #7月20日下午，克里米亚新费多利夫卡军用机场遭到导弹袭击，俄罗斯黑海舰队第43海军突击航空兵独立团驻扎在该地。俄乌战争乌克兰反攻
1696803637# #支持哈马斯的增援部队包括无人机，伊朗Fajr导弹以及抵达德拉和库奈特拉省军事基地的先进武器。黎巴嫩真主党民兵的领导人和成员进入德拉西北部的一些军事地点，以及库奈特拉省靠近被占领戈兰边界的其他地点。军事增援部队进入位于德拉北部贾巴布镇附近的“高大的基地组织”，外国民兵的类似增援部队进入
1698310332# #乌克兰军事情报部门声称，10月23日，一辆载有4名FSB特工的车辆在别尔迪安斯克被炸毁。俄乌战争
1697868835# #拜登：今天，我们确保两名被哈马斯扣为人质的美国人获释。我们一直在夜以继日地努力释放被哈马斯扣为人质的美国公民，我们没有停止努力确保释放那些仍然被关押的人。。。据以色列官员称，被哈马斯释放的两名美国人是59岁的朱迪思·拉阿南和她18岁的女儿娜塔莉，他们都来自伊利诺伊州芝加哥郊区，在加沙地
1698206973# #从加沙地区撤离的难民露宿海岸边，此等民族政教合一，不劳动，等救济，闲的蛋疼还要去搞恐怖行动。胡锡退真的该去跟他们一起生活。以色列正式向哈马斯宣战
1697118570# #哈马斯卡萨姆旅宣布轰炸阿什杜德镇，一批火箭弹和警报器在以色列南部城市响起。。。叙利亚阿萨德管理局交通部宣布将通过阿勒颇和大马士革机场的进出航班转移到拉塔基亚机场。以色列巴勒斯坦冲突以色列正式向哈马斯宣战
1692776463# #乌军拿下罗博季涅之后，前锋分两路夹击新普罗科皮夫卡，距离托克拉马克约10多公里。俄乌战争
1697116444# #世界卫生组织：我们呼吁立即停止巴勒斯坦领土上的暴力，保护平民，并为他们提供医疗服务。。。国际红十字会：加沙局势灾难性，所有服务濒临崩溃。以色列巴勒斯坦冲突以色列正式向哈马斯宣战
1703595701# #伊朗塔斯尼姆通讯社25日报道说，伊斯兰革命卫队高级军官礼萨·穆萨维今天早些时候在大马士革的以色列空袭中丧生。事后，伊朗总统易卜拉欣·莱西就穆萨维遇袭身亡一事表示，以色列将为此“付出代价”。以色列巴勒斯坦冲突
1691166290# #【这玩意儿会不会沉？】乌克兰水面无人艇击中了俄罗斯新罗西斯克港的“奥列涅戈尔斯基戈尔尼克”号775型大型登陆舰，导致其因内部进水而倾斜。见前文
1697001997# #以色列军队：我们继续在加沙地带发动大规模袭击。昨晚战机再次瞄准加沙地带贾巴利亚镇红新月会总部附近。咋晚对加沙的巨大空袭浪潮中有250个以上的目标命中。今天以色列正在对加沙城西部进行猛烈空袭，在加沙地带拜特哈嫩袭击了80个目标。以色列巴勒斯坦冲突
1701926119# #12月6日，果敢同盟军攻下老街周边的四面佛。缅北多地爆发激烈战事
1690600999# #【7月28日俄乌战争最新战况：乌军侦察小组在第聂伯河流域俄控区的康卡河左岸登陆】。。◆巴赫穆特阵线（图1）。。乌克兰军队在克利希基夫卡附近推进，并将俄罗斯人赶出那里的森林地区。。。◆顿涅茨克阵线（图2）。。乌克兰第35海军陆战旅在其他部队的支持下解放了斯塔罗马约尔斯科耶定居点。。。◆扎波罗热阵
1698971182# #乌军的复仇者防空系统。俄乌战争武器装备
1697584178# #被俄罗斯占领的别尔江斯克机场受到MGM-140AATACMSBlock1导弹（陆军战术导弹）袭击，持续发生爆炸。俄乌战争
1703370558# #【战绩可观：表明俄军进一步丧失空中优势】乌克兰防空系统击落在赫尔松战区地区的Chaplynka查普林卡和Kalanchak卡兰查克地区，一天之内击落三架了3架俄罗斯Su-34飞机，机上飞行员全部丧生。俄乌战争
1689581303# #被乌军无人艇炸毁的克里米亚大桥现状，看来威力还不够，发生位移没有垮掉，不过修起来也够麻烦的。俄乌战争乌克兰反攻克里米亚刻赤大桥发生爆炸
1695687918# #“最后的教父”马托·墨西拿·德纳罗（1962年-2023年9月25日），“全球十大通缉犯”之一。意大利黑手党“花花公子”马托·墨西拿·德纳罗，操纵着世界上最强大且犯罪证据确凿的有组织犯罪网络，以崇尚快速的生活方式闻名。他驾驶保时捷跑车，对劳力士表情有独钟。他是1993年意大利一起致命爆炸案的关键人
1688858449# #【一个已经无牌可打，一个手里还有很多牌在慢慢出，到谁绝望？俄罗斯指责美国对发送集束弹药的决定采取“绝望行为”】俄罗斯声称，拜登政府决定向乌克兰提供集束弹药是基辅反攻失败的迹象。。。俄罗斯外交部发言人玛丽亚·扎哈罗娃（MariaZakharova）表示，这次转移是“绝望的行为，也是高度宣传的乌克兰
1700264599# #美要北京勿干预台选举，苏起：或暗指解放军拟对金马动手。
1692138311# #【泽连斯基访问扎波罗热地区的军队医院】扎波罗热地区部分地区的战斗仍然激烈。。。泽连斯基总统8月15下午访问时，会见了参与反攻的部队，与当地指挥人员讨论了战场地图和战略。。。他还去了一家院前医疗援助中心，与军队医护人员合影留念。乌克兰反攻
1701780471# #芬兰《晚报》（Iltalehti）援引芬兰国防部长安蒂•凯科宁的话报道称，芬兰即将开始为乌克兰生产炮弹，这一决定有可能将在圣诞节前做出。俄乌战争
1698279983# #【博雷利：没人强迫匈牙利成为欧盟成员国】。。一天前，匈牙利总理欧尔班在回忆苏匈事件时指出，现在的欧盟不过是此前苏联的模仿者。。。欧盟外交和安全政策高级代表博雷利则给出了他的回应：。。“说实话，我认为苏联占领布达佩斯与贝拉蒙（欧盟委员会总部）发生的事情之间没有任何相似之处。我在布达佩斯没
1698149043# #天朝兵部尚书李某与前礼部尚书秦某同日被免“内阁学士”衔，本博早前报道座实。参见链接：。
1696120917# #【格兰特·沙普斯“向乌克兰派遣英国军队”】据报道，根据国防部长和军方正在讨论的计划，自俄罗斯全面入侵开始以来，英国军队可能首次被派往乌克兰。。。据《星期日电讯报》报道，格兰特·沙普斯计划将英国主导的培训计划“转移到乌克兰”，而不是在国内或其他北约国家进行。。。这些提议是在沙普斯上周访
1691740120# #晒实盘的，今天怎么都不晒了，想不到吧，喉舌不都说了吗：炒股让你们赚钱再消费允悲允悲允悲a股大跳水
1699801806# #魏超仁的小儿子魏青涛已经被大国警方抓获，下一个目标就是他的宝贝女儿，大魔女魏榕。。。缅北果敢四大家族中的魏家，在果敢那可是呼风唤雨的角色，魏家不仅掌管着果敢地区的边防营，还涉足许多行业包括电诈产业，他们专门诈骗国内百姓的养老钱，救命钱，可以说他们家族所赚的每一毛钱，都浸透着国人的眼
1694444521# #乌克兰国防军在赫尔松地区摧毁了6艘俄罗斯船只。俄乌战争乌克兰反攻
1690177797# #最后的疯狂：俄罗斯无人机袭击了敖德萨南部多瑙河的港口基础设施，摧毁了粮食仓库。俄乌战争
1691371117# #我谨代表我自己支持乌克兰的反侵略斗争，祝福乌克兰人民早日取得胜利，荣耀归于乌克兰！
1689902129# #遍地开花：第93机械化猛烈炮击巴赫穆特俄军阵地。俄乌战争乌克兰反攻巴赫穆特
1700883336# #以色列与哈马斯短暂停火，以色列人欢迎第一批人质回家。以色列巴勒斯坦冲突
1690015832# #消失的“他”。
1699226672# #马里乌波尔附近的Siedove和Novoazovsk之间遭到乌军导弹袭击发生爆炸。俄乌战争
1701925718# #据俄罗斯和乌克兰频道报道，著名叛徒、前拉达议员伊利亚·基瓦在莫斯科被发现身亡。基瓦在全面入侵前夕逃离乌克兰。俄乌战争
1703981929# #【这B脸得有多厚】俄罗斯外交部发言人扎哈罗娃指责英国在别尔哥罗德的袭击中支持乌克兰，呼吁召开联合国安理会会议。俄乌战争
1697636463# #俄罗斯又一架Su-25在扎波罗热前线被击落。俄乌战争
1695139509# #克里米亚的紧张局势正在加剧，乌克兰国防部情报总局局长布达诺夫建议俄罗斯人尽快逃离乌克兰克里米亚。。。乌克兰tsn新闻网9月18日晚间报道，18日，克里米亚的多个地区发生了多起爆炸：塞瓦斯托波尔、菲奥伦特角……俄罗斯占领者宣称局势稳定，没有造成任何损失，也没有人员伤亡，而当地人则大喊：“恐怖
1689520926# #7月16日卢甘斯克俄军基地发生剧烈爆炸。俄乌战争
1695139141# #9月18日傍晚，泽连斯基的纽约之旅正式开始,他在史坦顿岛大学医院会见了在此接受‘’康复治疗‘’的乌克兰战士。俄乌战争
1698350499# #以色列军队宣布消灭哈马斯在加沙的汗尤尼斯火箭部队指挥官。一些哈马斯武装分子也被以色列空军空袭打死。以色列正式向哈马斯宣战
1693710287# #【亚速运动现役单位】。。亚速运动的乌克兰部队成为抵抗俄罗斯占领和入侵的主要象征之一。。。亚速运动的故事始于2014年2月，当时乌克兰爱国者组织领导人安德里·比列茨基组建了黑军团来保护哈尔科夫。该组织是俄罗斯夺取该市政权失败的主要因素之一。。。2014年5月，乌克兰内政部决定组建志愿营，帮助乌克兰
1688338909# #第77空中机动旅成功的加工出一些优质复合肥料。俄乌战争乌克兰反攻
1700489082# #乌克兰用JDAM精确制导炸弹对赫尔松地区塔拉西夫卡附近的俄罗斯基地进行空袭。俄乌战争
1700427994# #【为什么埃及人这么讨厌哈马斯？】哈马斯神棍就是瘟神，谁收留谁倒霉。曾经刺杀约旦国王和首相，扰乱约旦、黎巴嫩，谁不想离它远点儿，连埃及都日复一日复加固隔离墙。。。早在2008年初，埃及就在边境修建了一道带倒刺铁丝网的混凝土墙。。。为了提防哈马斯武装分子，埃及在2020年又修建了一道边防墙。这道
1689084127# #司机今天火有点大。俄乌战争
1688965652# #躲得过初一，躲不过十五。两架隐藏的俄罗斯"冰雹"多管火箭炮一架被完全摧毁，另一架设法逃脱。俄乌战争乌克兰反攻
1692762056# #据传苏罗维金最新消息。
1689001832# #7月10日视频确认乌克兰武装部队重新进入巴赫穆特城区。俄乌战争乌克兰反攻巴赫穆特
1690176258# #二选一，这两兄弟你选哪一个？$新时达SZ002527$$埃斯顿SZ002747$
1691206201# #砖家们好好研究下。
1697938480# #以色列大炮现在越过亚龙郊区附近的边界。以色列正式向哈马斯宣战
1691165269# #乌军在巴赫穆特东郊的克里什奇夫卡村附近进行突击进攻。俄乌战争乌克兰反攻
1697687134# #以色列继续轰炸加沙地区。以色列正式向哈马斯宣战
1697584958# #【乌克兰军队正在组建新的旅级单位】乌克兰军队至少正在组建五个新旅，以应对2024年可能的反攻。。。乌克兰地面部队继续扩大并组建更多的部队参加未来的反攻，并可能加强乌克兰在东部的防御，以允许部署在那里的疲惫部队轮换。。。多个消息来源证实，至少有五个新的机械化旅存在，并暗示至少还有五个正在
1688404126# #第二排的指挥官Dacik在巴赫穆特方向拍摄的战斗视频：。。"我们比任何人都更具人道精神。我们接收俄罗斯的俘虏，将他们从敌方的攻击中解救出来，并为他们提供食物和饮料”。。。当然，直到其中一位俘虏决定引爆手榴弹的引信——这将导致毫无疑问的死亡。俄乌战争乌克兰反攻
1688854128# #7月8日泽连斯基带着他的英雄将士们亚速营指挥官抵达利沃夫。俄乌战争马里乌波尔亚速钢铁厂
1700223820# #巴勒斯坦媒体：哈马斯领导人艾哈迈德·巴尔因以色列袭击而受伤身亡。以色列巴勒斯坦冲突
1698365066# #智者所虑，见微知著。
1698212965# #莱茵金属：莱茵金属和乌克兰国有的乌克兰国防工业股份公司（
1696834624# #10月9日早间加沙地带以色列战机的拆楼行动。以色列巴勒斯坦冲突以色列空袭加沙地带
1699661626# #以色列国防军说，部队今天占领了加沙城的主要哈马斯前哨，在此过程中杀死了大约150名恐怖活动人员。军方说，最近几天，其第401旅领导了对所谓的Bader前哨的袭击-哈马斯Al-Shati难民营营的主要前哨-位于难民营附近的平民住宅附近。它说，在对Bader哨所的突袭中，部队摧毁了军事总部和火箭发射场。
1688749056# #德国国防部长鲍里斯·皮斯托瑞斯周五在伯尔尼表示，德国不会向乌克兰提供集束弹药，因为它是禁止生产和使用此类武器的公约的签署国。俄乌战争乌克兰反攻武器装备
1698537040# #以色列总理在新闻发布会上说：以色列军队完全致力于在暴行发生后保护我们的国家。我们的任务是打败敌人，让我们的土地在未来是安全的。”“我们的目标只有一个：消灭哈马斯。”“这是我们的第二次独立战争”。。。以色列国防部长约阿夫·加兰特周六在与以色列军队高级领导人会晤后表示，“我们进入了
1691843241# #刻赤海峡大桥又双叒叕被袭击了发生爆炸,据说是S200的杰作。俄乌战争乌克兰反攻
1693874629# #乌军清理韦尔博韦村的苏罗维金防线,纵横交错的战壕里随处可见肥料。俄乌战争乌克兰反攻
1694206261# #俄罗斯航空航天部队使用轮胎保护战斗机哈哈俄乌战争
1689091852# #俄占赫尔松的斯卡多夫斯克遭到袭击，可以听到爆炸声。乌克兰反攻俄乌战争
1696779714# #以色列战机对加沙地带北部的拜特哈嫩镇发动了一系列袭击。以色列巴勒斯坦冲突
1699933302# #【叫你插翅也难逃】以色列国防军在加沙市兰蒂西医院地下室找到了大量武器，包括爆炸腰带、手榴弹、步枪和火箭筒，还发现了一辆带有枪击痕迹的摩托车，这辆摩托车曾是哈马斯恐怖分子在10月7日袭击以色列时使用的。另外，还发现了有关押人质的迹象。以色列巴勒斯坦冲突
1689474061# #一支俄军海里海军陆战队在扎波罗热地区新米哈伊利夫卡村被摧毁，两名俄罗斯士兵在地上睡得很香不想起来。乌克兰反攻俄乌战争
1689866679# #克里米亚占领当局声称无人机袭击了克里米亚北部的行政大楼。乌克兰反攻
1700379372# #据马来西亚国家通讯社（Bernama）报道，泰国总理赛塔•他威信宣布正在启动耗资1万亿泰铢（约合280亿美元）的“克拉地峡陆桥”项目，它将成为可替代马六甲海峡的低成本、快速且安全的通道。。。据媒体报道，他威信在旧金山向美国投资者介绍了这个项目。泰国总理称，“陆桥”项目可以绕过繁忙的马六甲海峡
1688921682# #厨子返国，胶合板元帅领左丞相衔兼任西伯利亚总督，末日将金玩失踪，微笑男孩被去职，小道消息铺天盖地。总之，瓦格纳事件还没完，瓜有点大，吃瓜群众怎么看？瓦格纳俄乌战争
1693308186# #几枚反坦克地雷在乌克兰和白俄罗斯边境爆炸，铁路线被摧毁。俄乌战争
