1699157975# #人都有年轻的时候，哈皮也是。
1703063933# #“多隆才是小宝的知己！”
1704273114# #“咏春正统，功夫的真谛是守护与责任！”
1703742825# #“她看她的眼神，实在算不上清白！”
1694323744# #发布了头条文章：《rose只带母亲回中国，疑不带父亲原因曝光，网友：不欢迎这种人》
1693381418# #关晓彤王牌对王牌。。搞不明白为什么总是捧华晨宇，把他当个宝一样，三十多一大男人了，做节目过程中不懂得让一让嘉宾，就凹傻弟弟人设，他当年参加快男我还跟着看呢，那会儿还不这样，现在那眼妆，那紧身裤，看着就反胃，节目组还一个劲捧，要不是沈腾贾玲我早不看了。而且总是关晓彤背锅，我一开始对
1693389331# #发布了头条文章：《曝谢娜吴昕被芒果台除名，官网查无此人，主页认证仅显示主持人》
1699100783# #美联储的决策通常需要考虑很多因素，其中包括国际经济局势，包括经济增长就业市场，通货膨胀的压力。。。所以如果要确定美联储加息周期是否结束，可能需要更全面的全球经济数据和政策动向。10年期美债收益率大跌，离岸人民币大涨。。。这些情况可能说明市场对美联储加息的预期正在发生变化。美债收益率的大
1689131679# #“是什么决定了丁元英的选择与结局？”
1694505528# #发布了头条文章：《知情人曝Lisa疯马秀内幕！会提供专场给VIP，可以竞价上台抚摸》
1703239438# #“文武兼备，口碑相传在修为！”
1688548503# #“从绝境走上绝路，难说对错的冲突！”
1688292484# #“人在江湖皆劳模，老默值得被尊重！”
1692258668# #发布了头条文章：《张纪中首次承认混血儿是夫人跟老外所生网友：心真宽，一块养了》
1704253368# #“大哥，我后悔加入东星帮，原因是吃不饱！”
1704160936# #“把一手臭牌，打出春天的男人！”
1694505775# #发布了头条文章：《曝鹿哈月赚500W，买1100W豪宅，开劳斯莱斯，网友：比正版还有钱》
1703463596# #张耀扬超话乌鸦张耀扬老而弥坚。
1702893191# #“港星尤在，不容忽视没落的港片！”
1704178236# #张家妍黑化进度99.99%。明明天之骄女，有着十分靓丽的履历。结果沦落到回不了电视部，做报纸又发表不了自己的报道。理想不被男朋友理解，反而一直让她辞职做家庭主妇。酒席上遇到的同事也劝说她转行。一直互相扶持的老街坊，说结业就结业。好像所有的人都在劝她放弃。一个人的坚持好像真的没有意义。甚至秘密基
1688292596# #“这部剧，真实，但视角狭窄！”
1698920772# #香港房价暴跌给内地楼市敲响警钟我去香港旅游的时候，那边经常有街边的类似于链家这种售楼处，把房源信息贴在门口，我经常就瞟一眼，3居室，788万港币，我寻思这房价好像也没有说的那么离谱。。我后来才知道香港人把一个45平的房子都能给你改成三居室。
1703649442# #杜琪峰说王家卫电影感强，时下导演望尘莫及。王家卫话题杜琪峰话题电影话题繁花话题
1702290404# #战争的胜利不是偶然，而是先辈的努力
1702895886# #【时代记忆】李连杰电影花絮合集！
1688800767# #“安排好一切，一切尽在不言中！”
1701780410# #这届粉丝都什么牛马？
1692258574# #发布了头条文章：《梁朝伟被传私生子一点不奇怪，当年他跟董洁闹得更凶》
1703730646# #“高粱地里的五花肉，吃多了会腻！”
1697116083# #郭宝昌去世白蜡烛
1703682988# #“再次证明，小说与电视不能同时看！”
1702289614# #“录像带的年代，梁朝伟真是演什么像什么！”
1704691240# #一口气看完《金钱帝国》，王晶版的教父
1703730642# #“放大镜下的善与恶，侠与义的不知所谓！”
1688700728# #“办公室里的枪声，高启强的当机立断！”
1698920938# #辛巴抖音账号被封禁看过他的直播，全程都在说为老百姓服务，不让老百姓吃亏，十句不离老百姓。还飙脏话，一种土味视频的感觉。还有他的那些徒弟也和他的感觉差不多。
1703637754# #低俗小说ButchCoolidge在杂货铺里先后挑选了锤子、棒球棍、电锯、刀四件武器，它们分别对应《工具箱杀手》(1978)，《八面威风》(1988)，《德州电锯杀人狂》(1974)，《用心棒》(1961)这四部电影，昆汀的致敬～
1703328454# #【黑社会龙城岁月】一口气看完港片《教父》！
1694323505# #发布了头条文章：《“小马云”上初中了，他还不知道一周有多少天，他有信心将来考上大》
1687750472# #“互为对手的两人，安欣就是阳光下的高启强”
1694455915# #
1693468933# #发布了头条文章：《孙菲菲霸凌事件被扒，助理现身说法，同剧组的男演员斥其说谎》
1694672322# #发布了头条文章：《和张云龙分了？钟楚曦与侯雯元牵手搂腰约会，被调侃拍一部谈一个》
1704519495# #【张敬轩】没有勇气去开展一段长期的关系！张敬轩
1704726520# #王家卫御用摄影师夏永康摄影展。。展览：+853澳门瞬间。。地址：澳门银河二楼。。价格：free。。在去其他show时，偶然路过，惊喜发现夏永康的新的展览。记忆中《春光乍泄》《花样年华》等影视作品，色彩的运用非常出彩。这是citywalk的意义吗～
1692762310# #那英泰国度假。。她的老师说她：长了一副好嗓子，配了个狗脑子。
1689051413# #“有些事情，正人君子是解决不了的！”
1703328938# #【李连杰】这段采访不难看出，说明李小龙不是意外！
1704269104# #港圈顶级四大美女守门员。
1693809717# #发布了头条文章：《宋祖儿因为税务问题翻车之后，蒋依依也没有幸免于难》
1703064444# #“无厘头的代表，喜剧的极致，王晶的巅峰！”
1688881830# #“高启强，就是镜像版的福贵！”
1692772144# #发布了头条文章：《美人迟暮！56岁宋祖英买童装，眼周松弛有抬头纹，背帆布包好朴素》
1690862845# #发布了头条文章：《给儿子连换3个姓的洪欣，被曝跟莫少聪大和解！男方微博早有痕迹》
1702990049# #“王晶的片子，已经看不懂了！”
1699421535# #分享图片
1703159834# #“成龙代表作之一，怀念曾江！”
1701263822# #据说斗鱼所有主播参与缅北海外洗💰了
1695206268# #发布了头条文章：《曝Lisa素颜照，肤色黑香肠嘴，遭辣条打脸尬笑，疯马秀内景疑曝光》
1702894927# #“比老绵那帮子差远了啊！”
1704526310# #刘德华粤语版《道理都懂》已上线刘德华超话
1693918737# #发布了头条文章：《杨丽萍破底线，舞台演“阴阳双修”，男舞者反应大，网友出言举报》
1689050101# #“历史在重复，这段剧情，在这个世纪依然在重演！”
1688801389# #“原生家庭欠你的，纵然一地鸡毛，也要自己找回来！”
1694844588# #发布了头条文章：《李佳琦带货争议升级：高价售国货引众怒，涉事品牌濒临破产？》
1693633493# #发布了头条文章：《多多杭州机场被偶遇，身高近1米7穿扮精致，弯腰拍照被赞超有礼貌》
1704619131# #4个人加起来有10亿的感觉。今日快乐今日发话题《廉政行动1998》。4个人开会的场面，感觉分分钟都是亿为单位的项目。经常演富翁、王爷、贵族的四位老戏骨。如今已经走了两位🙏🏻。。在tbb黄金年代真的创造了很多经典角色。TVB话题经典港剧话题TVB港剧话题一起来看经典TVB剧话题
1702034799# #【盘点】梁家辉真香吃戏：红酒配意面，大口烤乳猪！
1702110013# #“拳拳到肉，互相救赎的生命之路！”
1688615732# #“无数个恶中，总有一点光亮闪耀！”
1702195098# #分享视频
1703742693# #分享视频
1702989909# #“缺了周星驰，无厘头就不正宗了！”
1701248796# #“我的选择一直都是你！”
1704249824# #“慈母多败儿，幕后黑手显现！”
1697107123# #发布了头条文章：《小三再连发8条动态诅咒原配，放弃交往5年的马伊琍的管虎报应到了》
1704333072# #“香港电影原来这么超前的吗？”
1702045656# #“生命不息，底层父母的心酸和伟大！”
1688352853# #“安欣是方法派的顶端，高启强则反之！”
1692431308# #发布了头条文章：《baby和经纪人贾士凯挽手去酒店，两人拥抱告别，举止亲密引误会》
1692846748# #“完了，亚瑟不小心让老六阴了！”
1703566563# #52岁马浚伟官宣退圈！不再演戏！！
1702894099# #“一言难尽，让人怀念逝去的港片！”
1695617341# #发布了头条文章：《霍思燕董璇佟丽娅带娃出游，疑似嗯哼妹妹再现身，露侧颜超像嗯哼》
1701780768# #如果我买票了，我是不能接受任何一个歌手在演唱会假唱，演唱会不真唱还有什么意义，开个粉丝见面会得了。
1704543641# #张镐濂古装，核突报警。洪欣PS：父母的基因都没遗传到。
1699016930# #第19届中美电视节，黄晓明、林允、刘威、董洁、肖战、欧豪、成毅等拿奖。娱乐
1704688420# #武侠大爆料，李连杰对话昆汀塔伦蒂诺！
1688528702# #“跑偏的人性，挣扎的高启强！”
1703071855# #“仅仅是娱乐，王晶的片子已经落寞了！”
1704340732# #【港片龙争虎斗】铜锣湾只有一个浩南，是我！陈浩南！
1690948510# #发布了头条文章：《真实身份曝光！官媒出手下架所有“挖呀挖”黄老师视频，凉的太快》
1699275995# #大橘，错怪你了。
1694785845# #英雄迟暮，乌鸦哥与大师兄近照！张耀扬
1703074460# #飞跃进步女艺员最后10强（陈嘉慧果然是被tvb用完即弃了）
1694763721# #发布了头条文章：《《王牌8》路透：华晨宇COS相柳，粉丝吹爆，网友：抹黑最狠的一次》
1702207069# #“愿我博览世界，你仍在原地等我！”
1699016975# #一场远在巴黎的疯马秀，让国内娱乐圈两位知名女星被封杀，这确实对很多人来说无法理解。昨晚还在网上听到一个杨颖的女粉丝打电话给杨颖工作室的通话录音，感觉特别滑稽，工作人员无法回应，既不能肯定杨颖去了疯马秀，也不敢否认，只能说是国家行动，工作室什么都做不了。。。不清楚Lisa为什么要冒这种被
1691213385# #发布了头条文章：《洪欣张丹峰官宣离婚，毕滢发声说道出离婚真相，这下真说不清了》
1704713250# #【经典】一口气看完7部无尿点战争电影！
1693389170# #发布了头条文章：《港媒曝郑欣宜失联两月，遗体被找到！郑少秋痛哭流涕，经纪人回应》
1687750478# #“高启强的黑化，起点其实是安欣！”
1702035078# #香港金像奖名场面：张家辉首次夺得影帝！爱人关咏荷喜极而泣！
1689051524# #“众生没有真相，所以你就有了价值！”
1703682864# #【惊天大贼王】在这部电影里，看到了港片的挣扎！
1699354767# #分享一波壁纸！你对使命召唤系列那个版本久久不能释怀呢？单机游戏游戏推荐使命召唤系列
1691128513# #发布了头条文章：《汪峰道歉那英反省，新歌不断遭批评，刀郎表面赢了其实输得很彻底》
1702206929# #“收官之作？这个贺岁片明明是个悲剧！”
1692609391# #发布了头条文章：《王诗龄分享留学生活，晒豪宅豪车名牌包包，数学作业被调侃好简单》
1703732223# #“也许是真实经历，不需要演！”
1701343653# #分享视频
1691811761# #发布了头条文章：《《跑男》播出baby站位暴露地位，范丞丞对李晨的称呼引热议》
1704435505# #《盗火线》重映会，诺兰对话众主创！
1702109949# #“梦想和改变，站在现在看过去永远有趣！”
1688353069# #“女为悦己者容，士为知己者死！”
1694413984# #发布了头条文章：《李佳琦评论区沦陷！怒怼打工人买不起要反思，网友呼吁严查税务》
1699708050# #周公子上台讲时尚，说自己好紧张，比演戏还紧张💗
1688528576# #“肝胆欲裂，不诉离殇！”
1688701046# #“两代BOSS，隔窗对话！”
1699708025# #打死我也绝不会想到有人会cos这个🤔
1702989572# #“不必对比什么，作为里程碑它已无敌！”
1703914684# #“这些动作太专业了，以后的武打片做不出来了！”
1703329032# #成龙：我真想打一顿房祖名，可是我不敢！
1704814557# #《霸王别姬》拿到金棕榈后一组罕见的宣传照。。。。霸王别姬话题张国荣话题金棕榈话题剧照话题宣传照话题霸王别姬张国荣话题陈凯歌话题
1702896448# #港片十大经典动作，纪念那个拼命的年代！
1703239351# #“期望而来，失望而归！”
1702641732# #“北上的杜琪峰，终于找到了合适的土壤！”
1689065958# #“老大怂，老二莽，老三憨！”
1688548678# #“该来的都来了，无处话凄凉！”
1694763267# #发布了头条文章：《霍启刚升官任央企董事，年产总额6956亿，郭晶晶被夸旺夫》
1688183140# #一个人，一年，身份完成三级跳，你觉得他简单吗？
1695355611# #发布了头条文章：《小杨哥称公司不养闲人，员工薪资和要求曝光，网友怒评资本的嘴脸》
1695713650# #发布了头条文章：《黄多多现身杭州机场，身材高挑167厘米左右，与粉丝合影十分友善》
1693982596# #发布了头条文章：《移民日本风波后郑伊健妻子蒙嘉慧用日语跟粉丝打招呼引众怒》
1699593469# #台庆第三弹《罗密欧与祝英台》追剧楼
1692964894# #发布了头条文章：《打脸！杨坤嘲讽刀郎后被曝违法，或将面临处罚，在评论区跳脚挽尊》
1688708315# #“一身匪气，老炮与新贵的对峙！”
1704426034# #《铁探》｜袁伟豪的演技绝对称得上惊叹❗️。。对于Ben之前的演过的角色里，最印象深刻的应该就是人见人爱天堂哥和铁探里的尚垶Sir了哈哈😄。。但感觉尚垶这个角色对比天堂哥整体难度完全提升了一个档，特别是中枪后那种身体受伤的虚弱和疲惫感，真的完全让观众信服哭惹R当然他本人也说过这部剧有特殊
1698921566# #杨颖张嘉倪多平台账号被禁言这下两个人终于可以安心闯欧美了。
1702110260# #一秒变脸！61岁经典反派港星今晚广州酒吧登台突然发飙！吴毅将反派神演技港星男神娱乐
1692513388# #发布了头条文章：《张嘉倪前夫买超再被拍，坐豪车带异性去酒吧，两个美女身材高挑》
1702206589# #“狗年看龙过鸡年，没有逃学依然经典！”
1704716121# #Burberry2024新禧贺岁系列。品牌代言人汤唯漫步成都，深入城市悠然氛围，畅想龙年新春愿景。。。由摄影师RyanMcGinley掌镜打造。。。burberry话题Burberry汤唯话题
1704272705# #“以彼之道还施彼身，与众不同的道！”
1688182950# #“国产剧之光，真是个暗无天日的世界”
1695713550# #发布了头条文章：《曝杨振宁身体堪忧！去世物料已备好，翁帆24小时悉心照顾面露不悦》
1703562987# #甜蜜蜜剧照。黎明
1704716192# #星爷的颜值！你们觉得怎么样？。周星驰话题我要上热门话题好剧推荐话题颜值话题
1693389073# #发布了头条文章：《101岁杨振宁外出爬山，翁帆挺大肚陪同，18亿财产到手早想好退路》
1695621304# #看了b站峰哥亡命天涯的视频，关于三和、户外直播、神经病、rapper等各式人以及人群的生存、生活状态。在rapper那一期了解到共享公寓这个新生事物，就是大于房间人数的人共同租一个房子，客厅同时是工作间，作息时间不一致可以错开休息，要睡时有床就睡，不拘泥于哪一个床。租客共担租金，同时衣服鞋子
1689130821# #“被兵法带偏的高启强！”
1699145598# #这海报是一个人设计的吧？名字也是一个人取的？真是太用心了！
1692172896# #发布了头条文章：《杨丽萍跟男演员跳孔雀舞引人不适被专业人士痛批：孔雀可不会这样》
1702045391# #新闻女王几个女的斗生斗死上位，结果空降男总监。😅整部剧男角色是没怎么斗，也没有什么业务能力，但是人家躺赢了留到了最后，看到最后还是父权的胜利，不经感叹一句男人打工太容易了！。。下次男编剧还是别写了哈👌
1691053489# #发布了头条文章：《人民网评“平移插队”一针见血女孩带外婆旅游的孝心不该被抹杀》
1704889042# #《重庆森林》4K高清剧照🎬。。重庆森林话题王家卫话题繁花话题黄河路话题胶片电影话题滤镜调色话题经典港片话题电影话题
1695713323# #发布了头条文章：《13岁王诗龄深夜创作，一幅画估价百万，个人画室比普通人住宅还大》
1693917656# #发布了头条文章：《41岁Selina要生啦！透露宝宝已经6斤多，头围偏大担心顺产不好生》
1703239141# #“龙门武侠情，刀光剑影却无感的江湖！”
1689909322# #“周星驰，这个名字你悟了吗？”
1701341708# #我们没法改变时代，只能坚守自己
1688881814# #“顶级高手丁元英的逆向布局思维！”
1691812470# #发布了头条文章：《岳云鹏因私生子口碑下滑，而曹云金传来了好消息有人预测他要翻红》
1701343841# #“拥有过曾黎的男人，果然不一样！”
1702289395# #“那年二十岁，血未冷，剑为断！”
1703239476# #“遗憾的是，我们的笑点越来越高！”
1691128615# #发布了头条文章：《杀人诛心那英求饶，《罗刹海市》被批不好听刀郎口碑一夜遭遇反噬》
1703065024# #翻脸要趁早。
1693295322# #发布了头条文章：《数学博士汤家凤称TFBOYS时代悲哀：只会掏粪？粉丝联合要废除高数》
1704888190# #【经典】一口气看完7部军犬战争电影！
1688095772# #“一声大哥，我未负你！”
1689050308# #“默默无闻，世间父辈大抵如此！”
1695815918# #发布了头条文章：《霍启刚被萌娃夸女朋友很厉害，慌张解释：说清楚不是女朋友是太太》
1693466313# #发布了头条文章：《曝宋祖儿偷税被前员工实名举报，金额高达4500W，名下3家公司注销》
1687920417# #“站在十字路口的旧厂街，衰败与希望！”
1688800830# #“大局之下，众生皆是棋子！”
1702033212# #“天马行空又合理的剧情，这就是香港电影！”
1688791055# #“落寞时，方知人情冷暖！”
1687750217# #“如果幸福和正义是冲突的，你选择哪一项？”
1689131807# #和女人不能交心，因为交心到后面就会变成交代！”
1688182574# #“高启强，中年人时代的共鸣！”
1692336017# #发布了头条文章：《3条私密视频外泄！景甜你糊涂呀，张柏芝阿娇的血泪教训你不懂吗》
1704254096# #“顶流男神又如何？照样平庸到了骨子里！”
1687920031# #“为众人抱薪者，不可使其溺毙于风雪！”
1688549143# #“生活里没有童话，有太多遗憾，无法弥补！”
1703072963# #47岁何美钿复出了。ps：内娱很少能看到这个年纪的女星还无有医美科技的脸了珍惜！
1699353784# #盘点几款优质中国元素游戏，你最看好那款呢游戏推荐单机游戏steam游戏
1702893848# #“相比张曼玉，张学友才是华仔的真爱！”
1703328786# #【怀旧】宣萱采访张卫健，当年搭肩好自然！
1704517812# #港剧《原振侠》幕后，黎明的四段感情！黎明超话袁振霞
1702033221# #“周星驰风格的代表作，一部具有转折性的电影！”
1691300241# #发布了头条文章：《移民日本风波后郑伊健妻子蒙嘉慧用日语跟粉丝打招呼引众怒》
1703734695# #“张学友把一个街溜子，演到了天花板！”
1699524741# #将Saulgone翻译成离骚，不是一般的神
1704619032# #Rebecca年轻时候好漂亮哦！！。打工摸鱼日记话题。在一屋两家三姓人里演了一位老师。虽然是配角但是平刘海还是很漂亮的！。好年轻哦那时候～。。TVB话题经典港剧话题TVB港剧话题一起来看经典TVB剧话题tvb话题经典老港话题港剧话题怀旧港剧话题港剧推荐话题
1703064645# #“知音难觅，无厘头的荒诞超出了内涵！”
1689218533# #和女人不能交心，因为交心到后面就会变成交代！”
1702896279# #【延边f 4】气质男团，非常敬业爱岗！
1688548689# #“换取自由的代价，人心丧乱从现在开始！”
1689065817# #“富贵又如何，终不过红尘一遭！”
1691811901# #发布了头条文章：《没人管吗？曾志伟70岁生日被美女轮流热吻玩得超大超嗨》
1704352215# #“据说，大多数人都会经历这个阶段！”
1704344241# #林青霞《窗外》剧照背后的故事
1689051445# #“寓言一则，芸生脸谱！”
1704340173# #“高启强的苦肉计，无解的阳谋手段！”
1704618539# #郭富城为《艺文青》一月号杂志拍摄封面。。封面故事郭富城话题-致命的幽默。。文中Aaron提到“我最不想重复自己。有多难都不紧要，但要有挑战空间。”就如照片一样踏出框架，拍出不同风格的郭富城。。。《艺文青》一月号现已上架
1688791128# #“我从无到有，步步生趟！”
1704332586# #“香港电影时代的眼泪，不要命的他们！”
1689130924# #“佛珠心中有，鸡毛满天飞！”
1688549259# #“食物链底层的江湖大哥，高启强！”
1688978070# #“是你背后的一切，在支撑你的天赋！”
1701343802# #“拥有过曾黎的男人，果然不一样！”
1692965035# #发布了头条文章：《101岁杨振宁近况，翁帆不顾赴日聚会，戴3颗钻石，抱怨婚后生活》
1703563633# #陈木胜去世了，。林岭东去世了，。杜琪峰在搞哲学，。尔冬升刚参加完综艺，。周星驰、郑保瑞在搞贺岁西游大片，。王家卫依旧在搞自己的文艺片，。唐季礼只想着和成龙拍烂片圈钱，。叶伟信能拿的出手的只有《叶问》系列，。陈可辛的电影近几年“水逆”严重，。林超贤式“主旋律”无论是票房和口碑都陷入了困
1702290255# #“太阳普照之处，皆是王土！”
1696051222# #发布了头条文章：《美国偶遇38岁凤姐，一头黄发配高跟，身材肥胖独自坐公交车》
1704352137# #“九年后，徐克拣不回的武侠世界！”
1704618699# #【经典电影】一口气看完7部韩国战争电影！
1704161075# #“本片由阿斯加德人民友情出演！”
1701249023# #【赵敏】张公子，你说是我美，还是周姑娘美！
1703239465# #“遗憾的是，我们的笑点越来越高！”
1695815836# #发布了头条文章：《儿子就辱华行为道歉，张智霖被气到针灸，袁咏仪公开IP支持儿子》
1690623074# #发布了头条文章：《刀郎到底有没有杀人诛心，《罗刹海市》音乐库作者说出实情》
1688978416# #“职场永远都不是简单的明争暗斗！”
1704337792# #这几部电影，像黄金时代的反弹，之后慢慢趋于平寂，像一首被遗忘的时光。
1689131323# #“骆玉珠的处事手段，决定了她的成就！”
1691217851# #杜琪峰电影《神探》拍摄取景地址。。心理、黑色与宿命的偏锋。很少有人能做到，文本上刻烈的风格，让一个镜头与叙事都极度风格化的导演，开始减少炫技式的欲望——恰恰韦家辉就能做到。全片无处不喷涌着他的才气，理清剧情后则更感震撼。。。“陈桂彬”堪称银河映像最特别角色，他有天才，却又痛惑其中，于
1688790824# #“紧要关头，矛盾暂时搁置！”
1691214118# #发布了头条文章：《是风骨还是做戏？陈都灵拒绝资本搂腰另对方尴尬，结果秒被报复》
1688549285# #“我没钱，我不要脸！”
1704334362# #“新贵拼老炮，亡命徒也分三六九等！”
1704802604# #世纪合影｜华语电影导演巅峰聚首。非常珍贵的一张合影，1991年金马。。。杨德昌话题张铁林话题关锦鹏话题侯孝贤话题陈凯歌话题李安话题王家卫话题电影话题导演话题
1701341799# #患病的丈夫、苦闷的妻子、活泼开朗的妹妹、朝气蓬勃的医生，同时看向了自己爱而不得的人。。。来自20世纪40年代中国电影艺术的最高成就——《小城之春》
1695455325# #发布了头条文章：《小杨哥赴员工婚礼！提供6辆大G、5辆超跑、4辆阿尔法，搂席后打包》
1688791197# #“心中卧猛虎，双眼藏鸿志！”
1703171494# #分享图片
1695113020# #发布了头条文章：《Lisa疯马秀舞台曝光，跳到身上剩一条链子，疑欠10亿未完成》
1703160313# #“拳头的正义，甄子丹的进步与选择！”
1704352992# #分享视频
1688549084# #“男人间的对话，可以想象到的结果！”
1689218407# #“他心甘情愿的重塑了自己的价值观！”
1701343773# #“一代人终将老去，但总有人正年轻！”
1701263941# #看了昨天主播们一天的流水…这么高？
1703072673# #盘点：电影bobo搞笑经典台词！
1689218454# #“原生家庭对人的影响到底有多大？”
1695113418# #发布了头条文章：《曝杨紫补拍《青簪行》20天，制片方回血4个亿，疑送2个代言当报答》
1704340756# #【港片人在江湖】后工业时代的缩影，昔日江湖今安在！
1704254273# #“东莞仔，这件事你负责，别太张扬，但要够威！”
1689131590# #“舍命救黄瑶，才是高启强狠的算计！”
1688708301# #“兄弟，你跟着灯往家走吧！”
1688800945# #“海面汹涌，风暴开始的前夜！”
1691128637# #发布了头条文章：《baby新男友疑曝光，又是个帅气老头，是圈内大佬实力比黄晓明还强》
1699145626# #尊嘟假嘟？
1704619262# #黎姿超话
1703239716# #“有过痛苦，方知众生痛苦！”
1688787543# #“暗流涌动，利益驱使下产生的矛盾！”
1704160972# #“半亩方塘一鉴开，天光云影共徘徊！”
1692431218# #发布了头条文章：《8部新定角韩剧！韩孝周要演时尚设计师，李俊昊新剧搭金香起》
1704337506# #时代的眼泪。
1693388714# #发布了头条文章：《曝李玟摔倒画面泄露，李荣浩无动于衷原因疑曝光，更多细节被扒出》
1689908526# #“魂斗罗游戏灵感来源之一！”
1704248636# #“冲突与释放，阴谋论断观众的希冀！”
1688016699# #“退路？我就是你的退路！”
1703064837# #小杨哥回应每月发5000万工资互联网上刷视频的人就像海里的鱼，漫无目的的寻找吃的。他们做的矩阵模式，就是一张网，一张网越大捕的鱼越多。人的眼球只要在他们的视频里面呆够三秒就已经被捕获了。那些发他视频的人一部分是小号，一部分是合作的推广模式。其实跟广告的本质是一样的。
1694763654# #发布了头条文章：《51岁袁立，一流的演技和身材，三流情商，小细节暴露真实婚姻状态》
1689218264# #“生意人必看佳作，一首悲壮的民族工业挽歌！”
1688095637# #“一开始他被命运推着走，后来他主动选择走向深渊！”
1694253599# #发布了头条文章：《Lisa挑战蒂塔酒杯脱衣舞！官宣“疯马秀”表演，疑卑微求爱LV公子》
1693810186# #发布了头条文章：《犯老毛病？向佐KTV聚会00后美女，累到睡着被偷拍，郭碧婷获家产》
1703329019# #旺角卡门
1701249580# #在余秀华老师的微博评论区，看到一张神图。。（捂脸）
1689218429# #“生意人必看佳作，一首悲壮的民族工业挽歌！”
1701341904# #我个人偏爱的几个“影史名镜头”。（以出场人数为序排列）。。1.《处女泉》。2.《诅咒》。3.《夜》。4.《乡愁》。5.《鹳鸟踟躇》。6.《八部半》
1702291189# #生命可以归结为一种简单的选择:要么忙于生存,要么赶着去死。
1704257671# #电视剧版投票产生的前十名：
1704250167# #“此片一出，宣告了一个时代的全面终结！”
1695713718# #发布了头条文章：《Lisa带母出发疯马秀！疑穿假体裤，遭保镖骚扰不敢言，三公子接机》
1704688347# #梁朝伟现身陈奕迅《社交恐惧癌》MV
1699363505# #这家店停留在了那个时代
1703468210# #香港電影吧超话为什么tvb艺人登台唱的歌都是老掉牙的歌呢？。。马国明昨天登台在唱《友情岁月》……。。很多女艺人佘诗曼胡定欣什么的登台特别喜欢唱《终身美丽》《甜蜜蜜》《相思风雨中》《至少还有你》。。。大家觉得是tvb艺人的审美老土还是观众老土呢？为什么他们不唱周杰伦王力宏陶喆蔡依林的歌呢？
1702206743# #“黑夜终将结束，旭日东升！”
1688800938# #“群英汇聚的夜晚，只能进，不能退！”
1691994905# #发布了头条文章：《王宝强：就冲这两点，给冯清还款心甘情愿》
1703239598# #分享图片
1703074315# #原来吴千语礼服出自这里
1688700918# #“高启强，不该以成败轮！”
1704538004# #《刑侦12》即将开拍：林保怡、马国明、陈炜。
1701249086# #贾静雯《倚天屠龙记》片场采访花絮
1689218042# #“还原真实家庭关于钱与情的纠缠！”
1689908987# #“未来与过去，科幻与武侠！”
1704333326# #“想要探讨哲学，拍成碳烤哲学！”
1693295028# #发布了头条文章：《17岁黄多多赴美留学，穿泳装发育好，疑老外男友正面照曝光》
1688352887# #“回不去，那就向前看！”
1693300114# #杨幂称作为演员要自觉抵制天价片酬值得思考的是，为什么一个演员可以创造如此多价值？不就是媒体网络各种炒作宣传建立起来的？那为什么不多宣传那些科学家，企业家，那些为社会发展真正创造价值并拼搏努力的人呢？问问那些孩子，你的偶像是谁？多是那些明星小鲜肉，问为什么？多是陷于颜值。如果这种
1695455678# #发布了头条文章：《郑伊健现身日本街头，T恤起球发烂像块抹布，状态憔悴一言难尽》
1690948395# #发布了头条文章：《蒋欣40岁生日曝光，跟44岁刘涛比天然脸跟“打针脸”的差距太大了》
1703912963# #“据传说，这部港片引领了MMA风潮！”
1689065687# #“太过真实而引起不适，谁的生活不是一地鸡毛！”
1703327974# #“人生路美梦似路长，鬼凡之美动人心弦！”
1701343548# #“希望，我们站在彼此的世界里大胆一些！”
1688614992# #“明知钱要命，咬牙也得拿！”
1694672201# #发布了头条文章：《李佳琦道歉：不当言论让大家失望！人生首播37人看今住1.3亿豪宅》
1699524598# #很精辟一根睫毛引发的冤案
1701249122# #分享视频
1699160591# #“缅怀香港电影，只能靠怀念来撑场！”
1688182983# #“很多人拿高启强当奋斗指导了吧？”
1691994976# #发布了头条文章：《王石田朴珺参加日本首相酒宴！夫妇俩跟日本人合影满带微笑引争议》
1695030216# #发布了头条文章：《曝卓伟顶流出轨瓜被买走，花费6800万，知情人称他靠敲诈明星赚钱》
1695355551# #发布了头条文章：《网红黄老师正式带货！8w人捧场，撒娇要打赏，曝背后资本被骂惨》
1690862939# #发布了头条文章：《阿娇假小子造型看展，清秀调皮越来越像陈冠希》
1704339211# #“弗兰克，火化也要炸炉的男人！”
1688801147# #“四面楚歌，无法决定命运的人！”
1688881901# #“那些缺爱的女生，她们的心是一座孤岛！”
1704173293# #2024年即将上映的十部香港电影，看了一下演员名单基本上都是老将担纲，现在的港片电影有种青春老去的感觉！。。1、《美人鱼2》。主演：艾伦、林允。2、《风林火山》。主演：金城武、梁家辉、刘青云。3、《寻秦记》。主演：古天乐、林峯、郭羡妮、郑雪儿。4、《海关战线》。主演：张学友、谢霆锋、吴镇宇、林嘉欣
1700056130# #分享图片
1691812740# #发布了头条文章：《文章新女友曝光！身材高挑比马伊琍年轻漂亮，姚笛赤裸裸牺牲了》
1701341980# #早期人类与矫情星人相处的珍贵视频。港剧
1693385616# #发布了头条文章：《张柏芝停工后更视频，穿长袖脖子有伤，疑被现任家暴，身体引担忧》
1688881864# #“论一块板砖，如何刻出世上动人的情书！”
1704272315# #“玄妙入神，渐渐清晰的真相！”
1693469698# #发布了头条文章：《11位学员发声力挺中国好声音，潘玮柏“自动转椅”有了新解读》
