1702995977# #我现在感觉不是尸体了，是尸块拼成的东西
1702720576# #滨田朝光这个狗屁发型，你剪一下会死吗？
1702205998# #赵光我曹尼玛
1702999660# #这几天唯一能让自己心静的方法就是学韩语。。感觉疯了。。
1703867321# #我草笑死我了
1703949134# #分享图片
1702877499# #我的天啊。。
1702725045# #癫公。。
1702724816# #五官啊五官。。。
1703345498# #我特么好幸福
1702828937# #睡前捏一下
1703422337# #这个专业读得有种没有明天的感觉，做作业做的昏天黑地，感觉更适合不睡觉的韩国人做
1703328450# #不送别炫汗汗
1703151282# #滨田朝光你特么死了
1703343649# #妈，你在11月创立厂牌我生日也是11月，妈我硬蹭一下我们是有关系的。。妈你喜欢什么我就去学什么
1703474894# #曹尼玛贱猴子
1702992432# #老天啊。。太帅了
1702617662# #给我看头发允悲允悲允悲
1703553380# #我草专业课没带鼠标微笑我特么做个屁作业微笑
1703604155# #我曹尼玛笑死我了
1702477457# #还行
1702611761# #滚啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
1702379973# #我的妈啊。。。。我的妈妈。。。。。
1702206338# #滨田朝光死
1704042119# #老天奶呜。泪奔了。
1703783005# #这炸鸡吃的我现在想吐。汗
1704044495# #转发微博
1703831677# #B榜年度最佳kpop歌曲TXT白干啊啊啊啊啊啊
1702379386# #好烦这两个人
1702641702# #我想去死我真的哭了。
1702116187# #但我其实很喜欢视觉效果强烈的饭制。比如：
1703152026# #2024.1.1是周一诶傻眼
1703691895# #喜欢
1702958120# #今早手机使用时间还挺少的
1703730652# #4年来就梦到过一次鲶鲶，还是在梦里的电视里。微笑8个月里梦到过2次具廷谟？。我是真的好奇啊？为什么赵光能这么频繁地进入我的梦境，才2个月有4，5次了吧？？
1703961727# #赵光真的是神经病啊
1702123424# #在赵光剪头发之前我是不会夸一句的
1702111658# #特么笑死我了啊啊啊啊啊啊啊啊啊啊。。客服：构筑星图时有什么疑问欢迎随时交流。我：我奖金呢？
1703431380# #具廷谟就是全天下最好的乖宝宝微笑微笑微笑
1704044622# #发你妈发白发照片。你特么茶色发色多久了？黑发都半个月了，连实时都不能做到你他妈活着干嘛？我曹尼玛你去死吧滨田朝光
1703854543# #额你。
1702522277# #滨田朝光我恨你
1703522019# #我是真的。草。精神病放也会迎来清晨第7集太难受了。看不下去了裂开泪泪泪泪泪泪泪泪
1703160172# #有几个镜头我还以为是许云真天啊
1703501105# #好长的腿
1701923708# #滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。剪头吗？滨田朝光。
1704044664# #你当我特么乞丐打发呢？你怎么不出门被撞死
1703129039# #我草我真的有点如坐针毡如芒刺背了
1704045030# #谁去让赵光毁容，这样我就能特别愉快地跑路
1703415058# #来姨妈不会痛经但是第一天会特别特别没食欲吃不下东西。。
1702108278# #老师能不能别一天天布置这些死逼作业微笑微笑3d我已经够头痛了，这种手绘比赛找美术学院不就行了，找设计学院干啥微笑微笑你猜我为什么是设计生不是美术生呢微笑微笑微笑
1702641347# #老子跟你拼了我曹尼玛。。。
1701830295# #转发微博
1703570226# #捅死歪鸡
1702963629# #滨田朝光跟具廷谟谁草谁
1703128027# #我草我外卖提前半小时到了微笑微笑我还没下课呢我草微笑
1701866056# #我屎一样的笑点。。。。。
1702829609# #人一年韩国回归2次打歌30场日本回归1次中间加巡演n场还在读书，人都能一周发泡泡几百条，滨田朝光你装啥呢允悲允悲保湿猴这群死人活轻钱多的给你们装上了一群不要脸的吐吐吐
1703345230# #妈
1702318092# #haa为什么离婚了曹尼玛。草！。。。。
1704033862# #好想老公（摘花瓣）好想老公死（摘花瓣）好想老公（摘花瓣）好想老公死（摘花瓣）好想老公（摘花瓣）好想老公死（摘花瓣）好想老公（摘花瓣）好想老公死（摘花瓣）好想老公（摘花瓣）好想老公死（摘花瓣）好想老公（摘花瓣）好想老公死（摘花瓣）好想老公（摘花瓣）好想老公死（摘花瓣）
1703400606# #宝宝我爱你
1703497047# #我草牛逼
1702810273# #太特么帅了
1703518429# #抱一抱抱一抱
1702365242# #笑得特么差点去世了
1702559297# #美晕
1703867387# #啊啊啊啊啊啊啊啊啊啊笑得呕，呕啊啊啊啊啊啊啊啊啊啊
1702132720# #宝保湿猴的换乘恋爱，赵光前任cp是haa要么是瘪萎，我猜的。微笑不能是a材吧。
