1688810113# #她的舌头为什么那么长
1690722456# #特斯拉还有这功能
1700509367# #有人在大街上强吻我怎么办
1692691938# #这是多少钱
1702515996# #姐你说的有道理
1694527818# #就这很多4S店都不给你免费加
1697888663# #看系统里车子维修结束了，明天是不是可以开回来了。至于怎么赔付不知道保险公司打算怎么做。
1700139651# #冻死了站不住啊寒气逼人
1694866704# #一瓶茅台可做2000多颗巧克力其他商家也跟茅台学学，业绩增长乏力时候如何拓展新渠道。
1703986680# #刚拉一个小姑娘去北站，不知道今天是几号，高铁发车时间也记错了，车已经开走了，身份证丢了。允悲允悲允悲
1698103356# #是啊降温了大家都别冻着
1693089451# #地铁上
1702211601# #住在王府是什么体验
1696560206# #低估了批图的效果了
1701559133# #吃鸡吃鸡
1702891869# #常州的大雪下了一天了
1696927198# #免佣时刻花小猪都没单子
1700509076# #我都看不下去了
1697803332# #曹德旺说习惯早上四五点起床哈哈，九点十点老板开完会办公室沙发躺下睡会。你可以吗？
1700530292# #周二你好滴滴派个单子吧给口饭吃吧
1703801835# #平台回应网约车司机被乘客殴打被动挨打，运气好没打坏，运气不好打残了怎么办
1698891168# #好看
1688511226# #是这样吗
1698249265# #真想不到美军和以色列也搞不定地道战
1697289688# #我觉得便装更好看
1694053196# #咋这么可爱
1700572286# #落马老虎曾突击提拔32名女干部降为科员，你考个公务员容易吗
1693222272# #八月魔咒怎么跑一天就是三百多，dogedogedoge
1697634349# #美军航母赶紧后退三百里doge
1694302452# #晒晒我的老师教师节“今天是9月10日星期日，早安，即使是没有鲜花的舞台，或者是没有掌声的独白，但紧握粉笔的手，总能让每一种颜色盛开，多谢您如此耀眼，做我们平淡岁月里的星辰，教师节快乐！”
1690372834# #哈哈形容到位
1700253810# #滴滴你是来搞笑的，一小时免佣呵呵。
1702169091# #龙墩墩
1693373732# #曾老说的对没孩子不挣钱担心养不起孩子有了孩子自然也就挣到钱了
1700406885# #你喜欢哪个
1690270809# #常州老百姓又有福了，这一轮滴滴持续降价实时单跑不到两块钱一公里了，实际跑下来跟特惠一样了，看你们还不开特惠，治你们有的是办法dogedogedoge
1697507167# #打了两年的基辅和炸了三天的加沙
1695262578# #苏州城区常住人口超过500万，这意味着，苏州跻身特大城市行列。
1691912083# #花小猪这两天一张好单都没有，全他妈的特惠一块五都不到，我给你跑个几把。
1696253767# #这成功解决了为了看电影来不及吃饭，只是有个疑问该开灯吃还是黑灯看电影？
1689339646# #这狗叫学的太像了
1688420857# #姐的闺蜜得照顾好
1695002290# #平峰了滴滴不派单，花小猪净派垃圾单过来，没法跑啊。这日子过的doge
1693781916# #老外更会撩骚
1695998592# #非诚勿扰
1700080165# #刘诗诗胖了
1693685564# #你也半夜睡不着吗
1690902250# #这就叫四肢不勤五谷不分
1697617022# #这一间房得多大面积才能容下这么多设计
1687591409# #不听滴滴的话被制裁的下场doge
1700157009# #井川里予近照
1699796783# #她的愿望能实现吗
1697771223# #2块钱和200块的钙片到底有什么区别没区别功效一样的。200的利润199.5。哈哈哈哈哈哈
1693185749# #周一开始下雨了
1697694182# #超过6成人存钱也不将就日常吃穿粗茶淡饭，且填坑堑。乐清贫，恬淡优游，别是。哈哈
1700972318# #现代人到底有多懒
1691328528# #射的好漂亮
1697072194# #联合国11名人员在以军空袭加沙中死亡以色列像条疯狗不管谁都敢炸死
1699196462# #十大美女各个国色天香啊
1693789697# #以后就不是限制芯片出口中国了，以后要限制进口中国芯片了。
1698503116# #日本车现在有什么新的技术没有？
1687935941# #俩人一起出轨不挺好吗
1697857212# #两大阵营
1703073220# #你们家也都这样吗
1699837639# #这个生意不错
1699500949# #以色列已经被击毁136辆坦克了，加沙个弹丸之地都搞不定，那个范德里特弹药量呢，上啊，特种兵呢，攻入地道干它doge
1698804193# #过了九点就没单子了，好淡啊。谁给个大单跑跑流水啊
1699641295# #起名字叫仲尼，你是故意的吗？
1697033344# #山猪吃不了细糠
1695511397# #昨晚有冲单奖励为什么没有给我啊？
1702132084# #坑人的姐姐
1699341993# #小伙被大型犬追逐爬上灯柱躲避各位明星不说话了
1700407049# #睡前看美女会做好梦
1692801385# #你喜欢吃油条还是烧烤？
1694309159# #到了孟河就发愁怎么回市区doge
1701242991# #下午吊单没有，一下午没跑到流水苦涩
1687446205# #常州新龙生态林的演唱会气氛不错就是回来打不到车允悲
1688969133# #滴滴的调度是不是一种故意让你空跑增加拥堵的行为。明明身边就是热区偏偏不派单，让你空跑几公里浪费时间精力和油电。。还有特惠这个东西，乘客发单一般几种都勾选，来什么车无所谓，他收钱按照最贵的收了，派给你却是最优惠的，但是他抽成还不少抠鼻抠鼻抠鼻。这样算一单他赚50%。
1703419426# #这是诚心要把股民气死
1698062238# #汪峰的老婆们加群了吗？哈哈
1691418487# #夫妻间的“奇葩定律”：1、夫妻生活，一个性冷淡；一个需求高；2、夫妻之间，一个爱唠叨；一个闷葫芦；3、夫妻过日子，一个大方；一个抠门；4、妻子越精明，丈夫越愚钝；5、丈夫越能干，妻子越懒惰；6、妻子越大包大揽，丈夫越自私无能；7、妻子越关心丈夫，越有脾气；丈夫越关心妻子，越没脾气；8、妻
1692341824# #哈哈会赚钱
1696643756# #这个好看哈哈
1698710854# #恒大歌舞团团长白珊珊辟谣再次掀起热度
1696734291# #老妈套路深啊
1697098667# #招架不住啊
1697856159# #昨天周五各大学校放假，晚上又是演唱会，很多大佬又跑了五百的流水。我的车什么时候回来啊doge
1698589128# #开个价我买了
1696840264# #跑滴滴没单的日子好难过，也没有钱更不知道往哪里去doge
1699879138# #小S吴慷仁床戏在哪里看啊
1693523943# #九月第一天把车子开出来登陆软件开始听单。doge等吧。
1698058332# #李彦宏称他招管培生从来不看毕业学校北大清华复旦上交这几个学校有多少区别？doge
1698868017# #这两天感觉好累
1697339475# #该治理一下这些闯红灯的了，好像他们闯的理直气壮，你不让他就跟违反天条一样。
1691362742# #江苏真的没有夜生活
1695528178# #跑个滴滴都没单，还遇到一堆傻子。到地方了，发个信息给我，师傅我在这。你踏马到底在哪里，跟我玩捉迷藏吗，咱俩多熟悉啊。
1700424357# #睡前看美女会做好梦
1690929759# #这个导航路线像什么？这就是滴滴派的单子。doge
1697343107# #失业前后
1699939102# #有缘人在哪里
1701132175# #我不要在孟河待着，我要回市区
1701303550# #中国关于解决巴以冲突的立场文件挽救了以色列，终于有台阶下来了
1701351531# #这柿子就不会掉下来吗
1687594472# #都好喝
1702175874# #高校不为部分研究生安排住宿合理吗房子留给留学生
1695508752# #亚运会我们只派出辽宁省参赛即可
1700157372# #可能他们认为会世世代代这么爽下去
1700173492# #这就是缅甸诈骗犯大头子
1700313760# #以后由爸爸来辅导功课
1691591806# #办完了别忘了赔钱
1699531566# #下集来了，怎么样骑摩托车的妹子漂亮吧
1688298088# #误会不起啊
1691115414# #这天热的
1690669969# #围棋上世界冠军已经赢不了机器人了，我建议开展机器人围棋大赛，看看那个公司的智能化最先进。
1702176888# #谁照顾谁啊
1700574572# #女人总是说一套做一套
1697958472# #公司要求员工朋友圈打广告合理吗不合理你也没办法。你问问做酒店的。
1688355212# #小黄车还有人骑吗，一次收到也挺贵。异地存车收费很高的。还不如滴滴打车。你在金坛花7.8元就可以让一个拥有三年以上驾龄驾驶一辆15万以上轿车从三公里外来接你再送你三公里，期间必须开空调。
1697629283# #北京随便找个大学读不行吗
1699443473# #来常州西太湖看夕阳吧
1700205037# #这菜好新鲜
1703252640# #天太冷脚冻了好几个地方
1695567597# #开幕首日中国队20金亚运会数金牌榜没意思，派个辽宁队就够了
1690548631# #哈哈其实我也不会
1688972823# #看就算了还评论
1698710925# #烫杀狗店员所在餐馆被喷漆撒冥币警察不管吗？
1698533430# #确实感觉累了doge
1689756475# #好好开车没事别开那么快
1690458317# #四个准大学生的演唱会
1692759417# #感谢滴滴派单常州跑滴滴
1691100044# #就这颜值还问啥年龄直接上吧
1701446174# #这嗓子疼吃了药不管用啊
1696040042# #没单子跑看会美女丰乳肥臀的
1697848731# #没去东北搓过澡
1698200644# #喝碗鸡汤补充能量
1696026524# #先进后来
1690194502# #曾经有个女孩追了我三年，表白了两次我都给拒绝了，去年她说她很想我，没想到过年居然大老远从南京坐飞机过来看我，这一次我没有拒绝她，她哭了，哭得像一个孩子，这也许就是……。吹牛逼吧
1703764088# #就这么欺负帅哥吗
1701264712# #是这样吗
1697289973# #这么多犹太人
1700742201# #深圳欠缴路边临停车费或不再纳入个人征信谁给你的权利路边收停车费？
1691732200# #花小猪跨城不派单，麻烦，笑着去哭着回doge
1697170726# #办了个社保自费的八百多，原来还不包含医保，自费交医保每月还得三百多。唉。doge
1696362656# #没吃过披萨多委屈
1687897295# #成了情侣才不传睡衣呢
1700489132# #我都看不下去了
1697704202# #普世价值呢，契约精神呢，法律法规呢，文明世界呢，祖上谁海盗出来直接抢
1697703037# #资本骗局
1688162660# #谁消失了
1695862979# #干这玩意有意思吗
1702984950# #真他妈能吃
1695698287# #没单子跑只有刷美女看了
1695606706# #猜猜她俩都是谁？
1688221172# #野生的肉很腥
1690079217# #一上午滴滴就给我派了一单，他认为你就是接低价特惠的车，不配接快车单。
1688297767# #从小就特别爱吃冰棍
1687481658# #还挺好看的
1698782762# #双11省学指南美国球队看着挺机灵的
1692622412# #老子英雄儿好汉
1700424533# #雨神来常州了
1690580322# #花小猪是个好平台
1696373189# #我的十一Plog
1692752298# #每日一餐分享今天处暑了，以后晚上就凉快了
1687065223# #下手就的快稳准狠
1691410258# #多子多孙多福寿啊不好吗
1691389738# #每次来洛阳都没有返程单
1695961725# #原来是高启强啊
1697672821# #亿纬锂能股价44元卖给员工要70元狠起来自己人都坑。反过来说副总裁也是打工仔啊哪天辞退就是外人。
1689218146# #河南省郑州市的一名自由摄影师。他利用自己的摄影技术和设备，专门在路上拍摄违反交通规则的车辆，并将照片上传到一个名为“违章曝光台”的网站上。该网站是一个由民间组织运营的公益平台，旨在通过曝光违章车辆，提高司机的安全意识和法律责任感。该网站还设有一个奖励机制，对于每上传一张有效的违章
1696145920# #有些事就那样
1688757184# #跑早高峰的发奖励让你跑晚高峰，跑晚高峰的发奖励让你跑早高峰，你全天跑然后就累死了大笑大笑大笑
1698131738# #你俩必定有一个很强的
1701855257# #在外跑滴滴找个厕所拉屎不容易
1689772245# #无锡学院也超过一本线录取了
1693744558# #还有这么处对象的
1689739454# #这穿上还挺好看
1688301465# #晚饭吃啥
1698588599# #有些事情没有办法
1701472833# #这小腰给力
1695999088# #这谁啊国庆节也不休息
1703888461# #哈哈多干活确实挺累的
1700552616# #友讯达这股票怎么样，有没有大神说说
1703182644# #冬至我想吃羊肉饺子
1703800270# #小米汽车价格三十万
1701689856# #日本摄影师角度就是不一样
1690110126# #出去玩吧真热闹
1692574682# #没有单子刷个视频
1698266544# #另辟蹊径
1698822670# #以后特惠单去金坛的还是不接了，妈的，一路空跑，感觉那边没单子，走那边，艹，一会那边疯狂爆单。空跑一路，啥也没捞到，光看人家爆单了。
1697287817# #阿姨颜值还可以吧
1687964884# #谁给解释一下
1695512562# #到现在了还有这样的流氓
1697858050# #到底是该进啊还是退啊
1704185819# #中国到泰国旅游订单同比2023年增超10倍我还没去过泰国
1688561751# #内卷卷出新高度
1693985172# #你想的挺美
1694410167# #猛然回首那人在灯火阑珊处
1693013369# #正在干坏事
1693210491# #常州的西夏墅高中宿舍18人一间吗？真不敢相信，这是真的吗？
1691738610# #渡口想去北站还派了个特惠，操，扣我分也得给你取消了。
1698504563# #很难的花小猪跑到强休
1697337605# #地域歧视有什么不可以吗
1701213199# #今天滴滴还不用刷脸登录啊
1700601459# #小雪节气了
1699011445# #这是谁的部将如此勇猛
1696039158# #不开特惠全是淡季，开了特惠全是旺季。滴滴玩的真好哈哈
1689376382# #7点出来太早了吗，早高峰呢，没单子doge
1701386121# #早高峰爬起来看看有单子没
1701278914# #公务员献血事件女子父亲回应包机转院能借到一百万也很牛逼
1690378832# #腿毛哪里去了
1696319185# #在武进区滴滴叫个不停，回到新北区凉了摊手
1692917624# #每日一餐分享我不买盐
1698267030# #你这样的就很不错啊哈哈
1690036416# #照顾一下老板吧
1693666520# #头发包起来好看
1694784887# #橡皮筋几百年不烂吗
1703677844# #言之有理
1695262010# #她怎么起来的
1688986003# #真是好享受
1691492416# #这是什么玩意？接他十公里，跑了33公里，给我30块钱。滴滴搞什么东西？常州
1687226663# #布林肯也是犹太人
1699711636# #吃的什么药啊
1701859956# #还晚高峰呢，毛单子没有
1695510331# #每日一餐分享这比跑滴滴赚钱多了
1697472769# #中年人不发朋友圈可能是衰老的标志确实老了
1700145690# #红楼梦四大家族，民国四大家族，缅甸诈骗四大家族。
1699050984# #昨晚本打算走高港渡口的，堵了好久没船吧，体验非常差。
1689141155# #来游泳吧
1703072687# #喔噻
1695839194# #志玲姐姐陪你不好吗
1693140043# #火车站遇到蠢猪真是点背，到我家门口的实时计价单多好的单子，妈的，那蠢猪就说不清楚自己的位置。绕两圈看不到人，算了收车自己回家。
1691104246# #今天什么日子，出来一小时了没单子苦涩
1695955095# #唱的这么纯正吗
1698114109# #河北所有地市取消机动车尾号限行措施别人限号只是市区拥堵，你傻不拉几限号郊区村里都不行，现在取消还要给你叩谢圣恩吗？
1693271813# #那是什么
1695176165# #味道不错吧
1690838431# #开车坐的屁股疼怎么办
1698026621# #软妹子你还不娶回家那样就可以天天欺负了doge
1688784722# #画的还挺像
1694215128# #哪里来的自信身边的大款富二代有一个说要娶你回家的吗
1687177262# #为什么只有这个小子挨揍
1689027770# #起床冲单啦
1690838679# #拜登老头
1695648194# #学生字我不会默写，背单词不会拼写，珠算没学会，五笔没记住，幸好时代进步了，如果在民国我就是笨人了。
1694099001# #大爷你可以的
1687848700# #真霸气侧漏
1693953515# #早上好
1698482945# #今天是万圣节，恐龙园已经封路了，停车场满了，别来了。
1696636221# #早高峰没单子跑过来吃低保
1688784755# #肯定是个老头
1690599044# #一上午挣不到钱，光跑村里小路了，空跑老远了
1689778629# #什么玩意儿，下雨天我还要冒着风险给你出车，还要花钱。你搞错了吧，我是来挣钱的。doge
1702126277# #大唐夜宴
1701741411# #哈哈还是小时候好
1695005781# #无语
1695520936# #反过来思考预制菜崛起就是炒菜的机会。他是预制菜十块钱一份。你就可以说我的新鲜炒菜三十了。无形中抬高了新鲜炒菜的身价。就像现在的肉猪，你买黑猪肉是不是很贵。
1697595951# #动作幅度这么大闪了腰咋办
1695011288# #这一单特惠15公里，前面派给的两个司机都是各种理由不来接了，我也没办法两个小时不派单了，打开特惠就进来了。跑了吧。苦涩
1690848605# #老家的唐河，已经二十年没水了。这次发洪水咯。
1688291419# #这两个小时大暴雨滴滴玩这个奖励有意思吗
1699531655# #常州滴滴价格进一步下降
1701303440# #7000块一件的羽绒服是中产智商税吗加拿大鹅绒是智商税吗？
1694268009# #这本人也太胖了
1695561363# #每日一餐分享又到了吃螃蟹的季节
1695737533# #来中国不容易啊
1697339249# #天意
1687880497# #真是个戏精宝宝
1691965091# #早上好
1703474418# #今天滴滴借着免佣把广大司机骗起来，结果没单子，偶尔接个起步价佣金一块钱，这不对啊，平时抽佣都是29.999%的。
1690789448# #郑路这边居然没单子
1695811854# #每日一餐分享来个大单吧doge那维莱特
1690471118# #还是分手了，谢谢大家。今天是7月27日我们最终和平分手，其实从朋友到恋人我们发生了挺多事情，能走到一起也是很不容易。我喜欢你，很喜欢你，也想和你幼稚。对啊，我总问我自己为什么还能坚持，可能没有答案，我没有备胎，也不玩暧昧，我所有的脾气爱笑爱哭都给了你，我能为你做的最后一件事竟然是
1690953840# #逃课都那么优雅
1695262447# #洗车涨到85了旺柴
1695175774# #这几次来横山桥都没单。doge
1693491669# #一条plog告别八月努力有用吗，就差二百单，流水差三倍，所以不是努力的问题，人家不给你就是不给你。
1687595894# #这个时候的俄罗斯还是挺住的好，不然美国可太高兴了
1700317255# #哎呦我去吓死了胆小勿看
1689018431# #提桶跑路的打工人
1690158336# #这妹子撩小伙一套一套的
1693574899# #车肯定要买个好的
1696341900# #没吃过披萨多委屈
1704112249# #2024元旦档票房刷新纪录哪个值得花钱？
1691448849# #(⊙o⊙)哇一群美女
1703341087# #谷爱凌年收入近1.6亿咋了，难道不该挣钱吗
1692353771# #谁的车借我开开
1694243930# #端端正正
1690532704# #四四方方大西瓜
1691747897# #医药代表性贿赂医生不要提这样的标签热门，以后让医药销售们怎么找对象，居家过日子。
1700879108# #狗滴这两天不派单总是调度真几把毛病
1701109049# #今晚高德是最大赢家
1691368599# #一大早用一口价特惠打车去市中心的医院，你是不是脑子有问题，堵的要死红绿灯本来就多。
1700607032# #阿姨就是好
1688677349# #跑滴滴的坑，1.加入轻快，就是职业起步价，你加入了，就是承包了所有的起步价，什么两公里三公里的都让你去接，旁边有车也不会派给他，就派给你，坑的就是你，别人接一个大单一小时跑完八十一百的，你跑起步价一小时撑死三单，21块，跟打螺丝一个价。2.加入优先拼车，一般乘客下单的时候是多项选择，你
1697878777# #妈妈这么做完全是为了保护你
1699622118# #句句作死
1697436251# #外媒称几乎每件英国制造都有中国制造这是英国的荣耀
1690806106# #这也太扣了
1689856248# #假如，旁边两个车，一个有证一个没证。这时候派两单，一单火车站五公里，一单去乡下三十公里，请问滴滴平台会如何派单？
1699515367# #网友心疼18年不涨价国货硫磺皂我经常买
1699124168# #范冰冰又拍新电影了
1697283920# #啥大V要前台实名制，那我肯定要掉粉掉光了允悲允悲允悲
1700745336# #海底捞高管谈派大巴接演唱会顾客滴滴快来有人抢你生意
1697470833# #金鸡湖的晚霞
1688647594# #苞米地里故事多
1699336911# #中午的特惠单派的很积极
1697513641# #设计师是谁啊
1693814420# #没钱的男人怎么办
1700059482# #各个呲牙咧嘴有几个是真心的开心呢
1699642524# #就说不会有那么好的事
1693658521# #好看吧
1697472343# #时代变了男生真的不主动追女生了
1693444501# #昨天下雨比较大滴滴早高峰还派了点单子，今天滴滴凉了，我们说滴滴不行了没单子，滴滴的经理问出行分多少，你以为分高就有单子吗？美国上市摘牌，司机流失，订单下降势不可挡啊
1687607809# #雇佣兵靠不住，关键时刻还得是子弟兵
1698959323# #这样的女朋友还能要吗
1689645882# #服务分回来了，大单呢？在哪里？
1701048597# #华莱士后厨炸油锅黑如酱油酱香型还是浓香型？
1704147207# #2024新年plog早日送娃上学
1702565582# #皮裤放屁鼓包是真的吗哈哈
1690958417# #这理论不错
1692918111# #有个好玩的老婆是什么体验
1688773829# #下大雨在家玩
1690106902# #这是什么地方？
1700924325# #看得我心头一颤
1695564814# #官方通报校长和主任外出考察同房过夜咋被发现的doge
1698475142# #花小猪一派单就是三公里外，脑子有病吗，附近没车吗？一看那么远，谁等你啊，都被乘客取消了。。有些傻子就在那聊天打游戏等，你去接吧，艹，十几个红绿灯，走半小时。
1693921064# #不会还有人分不清螃蟹的公母吧
1687031624# #快推倒
1701989832# #狗滴滴都给你备注了你还判我有责。
1700883938# #年轻人为何突然不爱买摩托车了电瓶车速度老快了，干嘛买摩托车
1698069220# #只是正常灭个鼠而已
1699593642# #你接特惠滴滴就只派特惠给你，绝对不会给你一个快车单子的。就算有快车单也转成特惠给你。doge
1704024525# #跨年放烟花
1688476834# #老板娘做的鸭子好吃
1699742334# #主要是闺蜜想来
1697677495# #日本人的礼貌美国人的微笑都是形式假的摊手
1697704858# #这孩子看着挺机灵的啊
1697338446# #珍贵的历史
1703292045# #郑强不再担任太原理工党委书记再升一级吧
1687244212# #妹子素颜这样可以了
1692236397# #微博手机影像年常州的朋友快来跑滴滴，新人有六个月必须跑起步价特惠订单的权利。哈哈哈哈哈哈八毛钱一公里赚翻天。
1703182586# #冬至真的很冷筛糠不断
1696330220# #路边的野花不要采
1694729108# #井川里予
1689910862# #真想不到今天常州跑滴滴这么冷清，走到哪里都不派单？
1696601434# #兔子喂了吗
1699018413# #这次味道不一样
1688693124# #泰州的雨太大了哈哈哈哈哈哈
1687918989# #兄弟情深
1697112531# #合资车退出中国市场意味着什么这是好事，省的他们整天割韭菜
1697636871# #拜登沙利文布林肯都低估了事态严重性，不是以色列收不收手了，是中东志愿军来了，被动挨揍改为主动进攻了。
1703793863# #对一起想
1692284904# #这个夏天好热
1692268553# #你问我要不要收跨城费返程费过桥费，这肯定要的啊，一百多公里空跑回来啊，你傻啊。
1698031406# #青岛啤酒公告称相关麦芽已经全部封存封村干啥呢，以后拿出来用吗，赶紧宣布转售做饲料吧
1704039702# #好运报道！我正在参与微博开新年跨进2024，成功解锁红包0.45元锦鲤附体加入发博打卡、互动集卡，跨年惊喜根本停不下来比耶&gt;&gt;
1687560546# #没那几分钟生活有啥奔头
1699214613# #这个季节到底是该开暖气还是空调制冷？dogedogedoge
1697361366# #偷吃贼
1691825022# #打车技巧我同意
1691781146# #无敌风火轮
1687042417# #食堂小便直接开除
1701523313# #还是渣男受欢迎
1698221442# #新能源车免费停车两小时
1701581124# #花小猪你故意的是吧，玩命三公里以外派单。
1694944213# #芯片战争你知道吗
1700769826# #盛典也得有人出钱
1697499586# #开门见山好好唠唠
1700571114# #放心吧公务员也不好干
1702091773# #张雪峰称文科都是服务业说的有什么不对吗
1696863449# #说只喝汤就只能喝汤
1699853698# #为娘不容易
1692673708# #今天很任性，早上孟河三个去火车站的花小猪特惠单没接删了，35公里55块钱，一个小时都跑不下来。去市里得多堵啊。滴滴也派了一单火车站特惠35公里45块钱也删了，唉，也许是我任性。也许是觉得不公。滴滴你愿意扣分就扣分，反正不是冷区不是火车站的单子你也不会给我派单的。就这样吧，空跑了三十公里回
1692418829# #滴滴没搜到起步价单子不好意思派给我吗？哈哈哈哈哈哈
1694786552# #伊利是个好地方
1697107826# #美军将派第二艘航母支持以色列美军这是要参战吗？
1701200987# #起床拉个屎
1692107076# #别动我奶茶
1700193783# #这张单我只收到了车费，没有看到佣金。做人做事要讲诚信。你们不要弄两个客服来忽悠我，什么乘客只付了这么多，乘客给平台多少钱和我有什么关系，你们给他免车费，难道还要我承担吗？我对两个客服非常不满意。
1696575123# #滴滴在驯化司机，乖乖跑特惠
1691743187# #换我就舔她脚心哈哈
1688684907# #泰州的大暴雨
1703301681# #联合国通过决议将春节作为联合国假日全世界都可以过春节了
1690855856# #“戴盔行动”，持续一周！拳头骑电动自行车不戴头盔，首次罚20元、再次50元、3次扣车！囧未成年人一旦查获，将登记身份信息及所在学校，通知监护人到场带人提车，进行宣传教育训诫，签订安全监管承诺书。抱拳在常州一定要戴头盔
1695589810# #这下痛快了吧
1698752379# #地图没问题啊
1695564766# #好久不听花姐唱歌了
1696492286# #我的十一Plog清纯风格
1687964921# #别人的钱你老婆
1691846866# #这么多好看的小姐姐
1697112372# #修车要一周到十天，出不了车没钱挣。恼火。还有平台的单量任务也完不了。怒
1700892497# #北京明确学生患病作业一律不硬性要求这是父母要求的吧，老师说了也不算。就算不做，病好了也得补
1691678397# #在吐槽一下高德，通过高德地图发的单子大一点的开始被其他平台接走了，他都会切单，切给自己的鞍马平台。但是百度地图基本不会，因为百度没有打车平台。
1691440331# #这民办本科确实没必要去读
1693838062# #大清才260年你怎么350年？
1694002215# #果然还得是杨幂
1687307403# #来提车的都是P7
1692404946# #一出门如果不是去火车站的这单也不会派给我，说明常州的合规网约车数量不多，完事发一个11公里调度，你麻痹会玩滴滴。
1691706187# #知道这样我也娶个东北老婆
1693399777# #大半夜这种价格哪个傻逼接单去跑了？常州跑滴滴
1698800850# #听说昨晚常州开始大力查出黑车跑滴滴。
1703800335# #劳动合同的那些套路
1690096526# #这是发生了什么
1695935033# #记录团圆时刻中秋心愿起床去拉屎
1698608262# #女生脚疼日本医院要手术回国查是鸡眼日本医生一辈子也没见过上鸡眼啊
1702515291# #相亲快十年还没嫁出去都耽误下一代生长了
1689980269# #哈哈你别说实话啊
1699136199# #这杯茶好喝
1690192721# #视频车有多少责任？
1688720892# #大将军大元帅
1694360498# #对象都是国家发的
1700546569# #结婚还是看缘分
1690338178# #一个大单到了村里空跑两个小时回去，有亏死了
1700235028# #我出七百也让我尝尝咸淡
1700877225# #马云新公司注册地办公室无人办公还没开始招聘吧
1692856460# #劳务中介就靠这个骗人
1699004089# #来高港了，电快没了，晚上不能出车了。
1696055984# #丰乳肥臀
1703341934# #我也养不起
1698022927# #三季度北京高薪职业榜首是量子算法工程师学好数学
1704171220# #这摔坏了吧，必须分手
1703710373# #没学自动挡吗
1693998535# #一万块回农村可以躺平多久在我老家河北顶多吃俩月
1699190920# #十分难得滴滴流水跑了三百，俩月没这样了。
1698929315# #别客气就这样怼死她
1687130475# #高考结束的娃有多爽
1692014724# #英国的大气球
1691911934# #比亚迪得起诉你俩
1699710875# #谁是最美的女人
1688390828# #这下惨了
1695265437# #这一家子酷爱爬山
1691591407# #职场套路深
1691635656# #不赖噢人美歌甜
1701839858# #难怪硕士也要去上海交大做保安原来是有编制
1703921414# #滴滴一边说放假了单子多，一边又不给单子。就这么空等。
1696318237# #这个肥肠一定很好吃
1695901003# #晚上七点以后的花小猪不值得跑摊手
1700804820# #新加坡赌博嫖娼是合法的。
1699013016# #滴滴快送
1701627830# #这是什么情况
1693554673# #今天滴滴又一单先发给我接驾2.5公里，行程20公里，一口价29块到北站，拒绝，十秒后发来实时快车单旺柴
1699853934# #谁是这种人啊
1697239197# #女明星和她们的男朋友
1690360720# #你见过滴滴60块钱的优惠劵吗
1702471880# #这些娘们儿们都是做什么工作的
1688826397# #我也想知道怎么上厕所
1697608839# #你这将来生孩子怎么办
1687855904# #哈哈没跑掉
1697719781# #清华美院毕业的也挺可怜
1688949968# #又是大暴雨的一天
1698287523# #美国是打不过哈马斯了想办法人道主义释放人质停火了哈哈
1700055119# #吃撑了
1696125458# #花小猪过分了偷偷的降价坑害司机。九公里计价才15块，比特惠都低。客户咋咋呼呼没变价格再核实。
1699011296# #高港的气度码头是没船吗，拥堵，等一个小时也过不去。怎么回事，体验非常差。
1690640789# #好多人解释“马户”和“又鸟”的含义及关联是错误的。我读了聊斋原文，歌词反复看了几遍。。这里“驴鸡”对应的就是“马骥”。“驴”对应“马”。“鸡”对应“骥”读音ji。。马骥的意思是马中的千里马，骥是千里马的意思，但是有一种驴想装马，还是想装千里马，所以装“鸡”博一个“骥”名。于是引出下文
1697590255# #这个电视剧肯定好看
1697750843# #大学生的各种出路全在这里了
1699968466# #都是奴才
1703301657# #确实胖了
1689765929# #哈哈每一步都是你的错
1704112441# #比亚迪销量开比亚迪上路再也不会被瞧不起了哈哈哈哈哈哈
1693280889# #过年就可以吃狗肉了
1691635292# #这水平还需要买单吗
1699237924# #我是女生你不懂女生
1699214639# #深夜看看过瘾哈哈
1701828235# #身体虚弱
1691401776# #这一脸什么啊
1689689203# #到底谁怀孕了
1697413465# #全国60岁以上老年人口已超2.8亿人出租车司机放开到65岁了。doge
1700446463# #阳光明媚
1702734168# #吉林大学为困难毕业生发放面试西装工作后就知道基本不穿西服了
1702513996# #北方下大雪后
1702433330# #单子都没有，去哪里才有单子。doge
1701280009# #一条plog告别十一月随时都可以
1688262102# #这一晚上能睡得着吗
1687964630# #跑了一天到家了
1699048407# #让美国女人把月子坐起来。只要是哺乳动物刚生完孩子都很虚弱，需要大补恢复元气的。不能轻易被刺激。这才有了坐月子。吃好喝好休息好，把身体养好。
1704181081# #湖塘跑了半天毛单子了，晚高峰来了，赶紧逃离湖塘要堵死的。dogedogedoge
1703280307# #哈哈专门睡就睡不着了
1693522963# #扭的有点生硬
1698811127# #花小猪的单子就是用来删除的，接驾远，价格低，到点还找不到人。一块钱一公里怎么跑？
1697802444# #巴以冲突最近基本听不到乌克兰反攻的进度了
1695606912# #房贷利率下降有人开心啊
1691066903# #每次从金坛回来，我也要认真对准一下路口，别走错了。哈哈哈哈哈哈
1702263520# #河北下雪了
1698161472# #为什么红衣服的女人都好看
