1692504872# #怎么会有这么多250？
1689489037# #大学生约嫖后拒绝发生关系仍被拘我好奇的是，这女的拿了100块钱路费之后报警了吗？不然警方怎么会知道？
1688014337# #人民网评：不能任由高考志愿填报市场野蛮生长
1692840390# #发布了头条文章：《解锁极致美好新生活国民纯电专业品牌东风纳米全球发布》
1687261262# #我国个人住房贷款余额38.94万亿元查了一下，中国GDP总量为121.02万亿，38.94万亿占它的比例是多少？大家算算。
1692622016# #我感觉现在比亚迪可以开一家电影制片厂了
1696642053# #发布了头条文章：《携手《中央广播电视总台2023主持人大赛》深蓝汽车为新声增程》
1689547915# #湖南通报微信群不雅信息事件南山必胜客心说我招谁惹谁了？一有这种烂事就让我背锅？是不是又要发声明了？
1693863011# #在咖啡中擅自添加茅台售卖是侵权行为昨天全国的交警好忙，忙着帮媒体测咖啡里的酒精度。问题来了，为什么其他地方测出来都是0，而只有武汉测出有酒精？武汉的酱香拿铁加的是真茅台？
1699446686# #11月6日，深蓝汽车智能化解决方案正式发布，搭载高阶智驾辅助的全新深蓝S7i、深蓝SL03i同步上市，S7i官方指导价18.49万元—21.79万元，SL03i官方指导价17.89万元—20.69万元。
1690158348# #明年的中国新闻奖板上钉钉了
1700702830# #张雪峰成功预言考研人数下降找到个好饭碗才是当务之急，而不是推迟2、3年就业去弄个含金量已经大幅被稀释的研究生学历，有学术理想的另当别论。
1687862670# #在昆山出差，打车和网约车司机聊天，他说自己是河北承德人，以前在当地经营一家旅行社以及文旅相关产业，因为承德是旅游城市，所以生意还不错。后来遇到了疫情，多年的心血全部付之东流，基本破产，没有任何收入来源，而且全家靠他一人养活。。去年，他实在没办法，在层层封控之中跑到昆山，开起了网约
1693957795# #叫茅房不好听，叫酱香一品，房价149999起，买一套房送2瓶53℃飞天茅台~
1695110344# #嗯，各部门预算都紧张，经费都在裁减，所以还是大圣同志自己想办法吧……
1687953712# #官僚的微博先说第一个问题，最近很多人的微博被限流吗？来交流一下，探寻一下这神秘的、黑箱的机制有什么奥秘嘻嘻。经过我这几天的研究，发现微博的算法+可能存在的人工干预，可以精准控制每个用户每条内容的阅读量，以各种维度的考量，各种可说和不可说的规则，各种利益的碰撞和权衡，决定每一条
1691364159# #蔚来不卖车给自媒体“小牛说车”这事，我完全能理解蔚来，但我不站队，完全以旁观者的角度聊聊。。蔚来如此操作，别说赔他双倍定金，就是给2倍全款都值得，为什么？看看这家自媒体过往的恶毒言论，就能理解。蔚来以侵犯名誉权起诉了对方，显然小牛说车没捞到什么好，但是他好像并不准备善罢甘休，买蔚来
1686957244# #建议相关部门警惕张雪峰，他的观点非常不利于正确的社会价值观的引导。
1692405584# #我不反复艾特你们就永远无动于衷！
1691672667# #发布了头条文章：《比亚迪：以“在一起，才是中国汽车”的格局迎接第500万辆新能源汽车》
1693384315# #30岁公务员辞职做短视频博主。1、体制内并不适合所有人，这句话并没有错；。2、能考上公务员的人，能力也差不到哪里去；。3、有才干的人从体制内出来，并一定就能成功，因为成功是综合因素构成的；。4、辞去公职，对于绝大部分人来说是一场赌博，你有赌的勇气，那就准备好接受大概率存在的失败和落魄；。5
1698365535# #？？？
1702707189# #东方甄选孙东旭被免职现在神仙也救不了东方甄选了，牌全在董宇辉手里，怎么打都是赢家。
1693619306# #好声音节目制作方灿星发律师委托声明搞反了吧，不应该是好声音给李玟，给全体观众全体网友发道歉信么？不应该是李玟的家属给好声音发律师函么？
1696503602# #嘻嘻
1691535183# #房地产政策刚开始有点松动，好多无良的房产自媒体就开始厚颜无耻地鼓吹房价鼓吹成交量，制造再不买房就要涨价了的恐慌情绪，助推炒房行为！这些货真是给点颜色就开染房，给点阳光就灿烂，不正是网信部门重点打击的对象吗？。这些年，房价被助推到这么高，房产媒体起码有三分之一的“功劳”。
1687239353# #这些古诗词同样适合送给毕业生大鹏一日同风起，扶摇直上九万里。祝各位毕业生在百舸争流中顺风顺水中国赞中国赞中国赞
1690628857# #昨天参加一个试驾活动，遇到多年前在电视台的同事，他们频道承接了该活动的视频摄制业务。我有点意外，问他们：你们现在也接这样的商业项目了？他说现在什么活儿都接，不管是政府项目还是商业业务，能挣钱就行，不接就没钱拿，因为电视台的商业广告已早已江河日下，这个曾经全国著名的，写进广院教材的
1693922308# #当你知道客户单位人均年薪百万，你是什么心情？你说什么？从乙方跳到甲方？我告诉你，门儿都没有，除非你爸是对方单位一把手。
1690717641# #哈哈哈哈，这个暑假来的好及时我来了
1687852214# #选大学专业，真的是决定你的一生吗？对许多人来说是，对许多人来说不是，对我而言来说是前者。。我当年报的第一专业是中文师范，第二专业是影视制作。那年中文专业遇到大年，我分数不够，被调剂到影视制作专业，所以后来去了电视台实习，所以后来又学了新闻专业，所以从事新闻媒体工作直到今天。。如果当
1687060999# #张雪峰的确很懂传播，他现在开始示弱，制造自己或被收拾的舆论，以此达到通过舆论保护自己的目的，这个小伎俩呀呵呵~
1695258922# #花西子创始人送1万份眉笔送不送不重要，把价格降到9块9，就算这次公共危机结束。
1689502248# #今年军校招生情况怎么样？有没有了解的？
1687395387# #原来心情不好真的会变丑心情不好还会变胖，你相信么？
1699265154# #南京鼓楼医院一处吊顶坍塌1人轻伤卧槽，看到视频了，吓一跳！
1695610681# #哈哈哈哈哈
1697161296# #发布了头条文章：《新岚图梦想家上市：三电焕新升级，售价33.99万元起》
1689899193# #被北大录取女生分享经验强调没手机不要听这些状元学霸胡扯，人家玩手机照样能考上北清，你不玩手机一天48小时不睡觉刷题也考不上。上北大清华需要的是天赋异禀，天资一般的，拿命拼也拼不上去。
1695275165# #矿产资源（包括原油、煤炭）的国际贸易受地缘政治等国际关系因素影响太深，可能因为一纸政策，一声炮响就彻底断了，例子太多，例如俄国和中东的石油天然气、中国的稀土、澳洲的煤炭等等
1691214992# #对号入座一下，《罗刹海市》说嘲讽的不就是新势力市场怪像嘛，那马户是谁？是不是天天在微博上作妖叫唤的那谁？那黑煤球怎么洗也确实洗不成凤凰蛋，产品力最差的在新势力的罗刹国里倍受追捧，那马户不是驴啊，那又鸟不是鸡……
1692862940# #看来小鹏汽车和英伟达要联手干一票大的了
1692257570# #澎湃新闻记者近日前往泰缅老交界的“金三角”地区，深入走访、调查，透过多位曾长期工作或生活在缅北的人士，了解到了较为具象的缅北现状。
1690410535# #大众与小鹏合资，这事其实对新势力的格局产生了有意思的变化。蔚来是江淮代工，而江淮已经和大众合资成了安徽大众，蔚来会不会和大众也产生联系？非常值得观察。。如果蔚来小鹏都和全球顶级车企形成了深度战略合作，那就是给了李想当头一锤，而且以他的性格，是很难和其他品牌形成良好合作的。如果未来
1687600855# #问题已经投诉2天了，现在还在限流，客户电话无法也无法转接人工，现在微博这么官僚吗？让我们这些十几年的老用户心寒啊！要让大家用脚投票你们才爽？！
1699496110# #有人觉得医学院校开设新闻传播专业完全是说笑：这怎么可能？其实真的有，曾经有医学类院校开设新闻传播专业（健康传播方向）。这样开设专业也不能说没有道理，医学+新闻传播的复合专业背景其实非常棒，比如深圳卫健委公众号就实现了现象级传播，但问题是市场需要多少这样的人才？用人单位认不认可？
1699493648# #发布了头条文章：《上市权益价12.18万起荣威D7诚意上市爆款潜质重塑B级车竞争格局》
1698389944# #发布了头条文章：《美国加州州长试驾仰望U8，盛赞比亚迪技术》
1689430980# #重庆茉莉冰豆浆这味道能好喝？把茉莉换成香芋如何？
1689415155# #微博平台说我发不实消息，禁言15天，好多热闹没法参与。。这事对我极不公平而且有点蹊跷，我仔细查了一下，转载那条江苏状元传言的远不止我一个人，其他人只是扣信用分，凭什么只禁言我？如果所有转载这消息的用户都禁言15天，那我没意见。。此外，我只是转载，我没有便利的条件去核实这些信息是不是真实
1691401038# #8月8日，领克08开启预售太阳太阳太阳
1689634879# #人民文娱评蔡依林线上首唱会哪里能看这个线上演唱会的重放？想看哇
1691806897# #张教授说：“张雪峰是觉得做新闻人太low，我是觉得有些人根本不配做新闻。”
1702600042# #我昨天说不知道董宇辉是不是真的有才华，后来专门去翻了他的许多视频，感觉确实有点东西。那就突然想到个问题，如果董宇辉直接撂挑子不干了，离开东方甄选，也没去高途佳品，而是自己开了一家带货公司，那会发生什么情况？。对于这样可遇不可求的超级IP，资本巨头们一定会猛虎下山一般扑向他，求他给自
1690970191# #李铁涉五宗罪所以，能不能把搞男足的钱分一点出来支持一下村超？或者支持传统武术等冷门项目？
1690632229# #据我得到的消息，比亚迪的首套高阶智能驾驶系统将在今年下半年搭载在腾势N7上。业内有一种观点，觉得比亚迪在智能驾驶上有比较大的提升空间，其实只要迪王想干，就没有搞不定的，这不就来了嘛。。至于这套系统是比亚迪完全自研还是与相关厂商合作，尚不得而知。
1687488795# #为什么我发带热搜话题标签的内容不在热搜实时里显示？阅读量也比平常少，给我限流？是不是要我向中央网信办或者北京网信办举报？。已向中央网信办举报，微博平台对用户恶意限流！
1693468587# #发布了头条文章：《唐家族全擎高价值系列焕新上市，售价24.98万元~30.98万元》
1687435773# #宁夏银川烧烤店爆炸事故新闻发布会既然本可避免，那这个店老板可能要把牢底坐穿了。
1691307253# #再补充一下，可能每个省不一样笑cry，不知道公安部对这个有没有明确的统一规定。
1702882430# #东方甄选宫斗一事可能会成为电商行业的一个重要的发展节点，原因有三：。1、直播带货行业可能逐步弱化娱乐、猎奇的表现风格，增加文化底蕴。显然这是董宇辉为行业带来的巨大正向效应，各家带货企业一定会培养或引进这类人才，提升网友的观感质量。。2、教培系带货企业将整体崛起，而不再是东方甄选一家独
1702536899# #董宇辉是不是真的有才华我不知道，或许有，但是东方甄选的内讧是不是能够说明一个问题：所有网红都是需要经过各种手段包装、炒作和流量运作的？董宇辉的爆红真的是因为几个金句几篇小作文偶然走红的吗？这么想就太天真了，在这个流量即是滚滚财源的时代，公众需要警惕每一个网红的登场，保持独立思考，
1698047270# #章子怡承认和汪峰离婚。
1690160609# #许老板牛逼啊
1690684970# #比亚迪的B级旗舰猎装SUV—宋L现身了。上周试驾了猎跑SUV腾势N7之后，觉得比亚迪开始在小众的猎装车型上探索发展了，非常有意思，这也是国内车企极少关注的一个品类，填补一块近乎空白的市场，而且从腾势N7的销量看，市场相当买账，比亚迪有高人啊！
1690187510# #我之前观察过龙猪一段时间，发现了他疑似是某品牌攻击友商的急先锋的迹象，当然，这不能作为板上钉钉的证据，大家心里有数就行。
1699367300# #中山二院辟谣乳腺外科团队学生患癌好吓人！有专业人士来科普一下吗？
1696653619# #闭嘴闭嘴闭嘴
1692007415# #据红星新闻报道，这张录取通知书的图是P的，有人恶搞，广西外国语学院已经报警……
1698552499# #售价76.9万元起，现场实拍纯电猎装超跑极氪001FR正式上市
1695350011# #发布了头条文章：《605KM续航、激光雷达，睿蓝7正式上市将真诚进行到底》
1690605895# #发布了头条文章：《全新荣威RX5：集美系、德系、上汽自主优势的高品质主流SUV》
1687266855# #你还在等待川大女生处理结果吗不等待，即便这个女生再坏，只要法律没有认定他是个坏人，我觉得四川大学就不太好处理她，或者说开除她。
1690330400# #女子在南京地铁车厢喝水被开罚单这事跟南京地铁掰扯没用，市民可以直接或者通过人大代表向市人大提议，修改相关的地铁运营管理法规，废除地铁车厢内禁止饮食这一条。。地铁是服务行业，应当以人为本，应当人性化。例如早高峰，大家赶着上班，带个早饭在地铁上吃怎么了？不给喝水喝饮料更不合理，地铁
1687996487# #话只能说到这儿前一段时间，因为执行一个项目，在一家中等职业学校待了几天。该校老师告诉我，他们的学生，如果升学（3+3大专升本科），比普通高中生高考容易，即便不升学，就业和大学生也不是一个通道，并不难，甚至还是热门行业。。虽然他的话有宣传学校的意思，但是带给我一个思考，张雪峰的存在
1690802389# #北京全市河道均在行洪这还是杜苏芮的残留云系的威力？不会吧？
1692024058# #雷军年度演讲没提小米汽车，是因为进展不佳，还是说要憋个王炸出来呢？路试谍照都出来了，进展应该没啥大问题吧？
1700540476# #问题不在于女领导，而在于如果董小姐年轻漂亮一点，大家就不是嘲讽了，而是干掉格力之虎的心都有了
1689514274# #最近新能源汽车行业热衷于聊“技术平权”这个话题，我近期也对这一概念感同身受，但不是来自汽车行业，而是媒体行业，更具体一点，是使用剪映这款软件带来的思考，这不是广告推介，而是说说切身体会，主要想说大众传播领域技术平权带来的深刻变革和意义。。我已经有十几年没剪片子了，但传统媒体都在转
1689518586# #中国科学院简称为“中国科学院”，第一次对“简称”一词的意义产生了疑惑。另外，如果坚持简称“中科院”犯不犯法？
1687070325# #浙江宣传评广州地铁事件现在浙江宣传已然是央媒的咖咖位，这篇文章的水平超过了人民日报
1702730988# #俞敏洪董宇辉合体直播董宇辉选择留在东方甄选，不等于这家公司和俞敏洪赢了，也不意味着东方甄选可以一直靠着董宇辉这个超级IP一直吃遍天。此事背后的根源究竟是不是俞敏洪？这两天董和俞有没有通过谈判才达成这一结果，这些谜团都不重要了，重要的是这给企业管理者一个思考，如果你的企业真的有厉害
1692405346# #知情人曝李玟摔倒后节目组没喊停《中国好声音》现在还有人看么？
1687853795# #还是要多参加这样的汽车行业峰会、研讨交流会，能学到不少东西，提升自己的专业水准。
1693045540# #在昨天成都车展媒体日上，一家自媒体现场质疑雷克萨斯加价，我完全赞成，坚决支持。而且，现在都什么时代了，什么样的冤大头还想着加50-80万买有可能在紧急情况下打不开门的“公路闪电”和后保险杠形同虚设的埃尔法？什么？土豪买的就是一个面子？你们屌丝就是仇富？okok，哦~~祝您平安~~哦~~祝您平安~
1690549320# #杜苏芮强得离谱路径妖得要命今天这狂风暴雨，让我感觉南京都在台风眼附近了…
1692226148# #建议所有在公开平台发布过自己原创图片的人，都去视觉中国搜一搜，看看自己的作品有没有在自己不知道的情况下被这个流氓平台卖了。
1688100892# #不知道我的认证能不能加一个时评博主？
1692422507# #发布了头条文章：《新市场新变局，北汽深度联手海通恒信推动出行产业升级》
1690265237# #女子在南京地铁车厢喝水被开罚单地铁内禁止饮食这项规定非常荒唐，如果人家低血糖要喝点甜水怎么办？如果乘客在车上要用水服药怎么办？
1698099403# #展示在太原万象城门口
1691406450# #小龙虾和龙虾有什么区别一个冷知识，现在的小河虾的价格是小龙虾的2倍都不止。
1686956217# #新闻学教授怒怼张雪峰新闻学教授再怼张雪峰有人说穷人家的孩子没有试错的机会，所以支持张雪峰。当然谁都不希望走弯路，但是抱定一定不能试错的想法，那这人想要有大发展也难。。谁敢保证自己不走弯路？走了弯路就废了？多少历经艰辛挫折才成功的企业家是穷人家出身啊！人的发展看自身能力，也看机
1702355648# #有人说，媒体不应该一味地批评张雪峰，而是应该找到合适的点，谈合作，寻求更多可能。我觉得，张雪峰不会跟媒体合作的，在他自己眼里，他的这个顶级IP的传播量级没有几个传统媒体能够达到，而且张也一定积累了各种政商资源，因此他不会把媒体放眼里，更没有合作的可能，除非是相当强力的媒体逼他。我相
1691986837# #特斯拉降价ModelY长续航及高性能版本降价ModelY长续航版从31.39万降价到29.99万，ModelY高性能版从36.39万降价到34.99万元。Model3现车8000元保险补贴。这次降价影响不大，对于其他品牌没有伤筋动骨。。马一龙对中国新能源品牌真正的袭击在后面，Model3有近乎百分百的可能降到20万以下，加上Mode
1687344239# #胡锡进称川大女生应感恩学校给机会老胡这话真的没问题。张薇经历此事之后，走上社会，至少会有敬畏之心，收起自己的心机与跋扈，心存善良即可。这事也确实给许多人上了一课。
1691755476# #高叶狂飙后首部电视剧有没有和高启强的对手戏啊？
1687771388# #张雪峰每年仅讲课费就几百万，所以说好多家长拎不清，你们指望通过他打破信息不对称，指望他成为小孩的指路灯塔，指望他能帮助你们家庭突破阶层，他就利用你们的这种心理，说你们爱听的话，狂赚你们的钱，你们帮他数钱。
1687244827# #阿里集团换帅有人问，现在马老师还是阿里集团的实际控制人吗？有人了解吗？
1689491718# #“市场公平竞争环境被破坏，除了破坏者受益，其他所有企业的合法权益都会遭到损害。”支持理记的观点，虽然在太多事情上我完全不认同理记。
1687651161# #这特么真心是去平叛的吗？怎么感觉是为了拍抖音才去的？哈哈哈哈哈哈
1689726663# #上海地铁内男女穿带脏字衣服倒挂扶手“骂的是生活”，当事人的解释还挺诗意的允悲，如果这句注解也加在衣服上，是不是会好很多？笑cry
1703024197# #转发微博
1687419475# #学新闻还有用吗？大道理不讲了，我这两天的工作感受是：以前媒体负责现场采访和调查，现在媒体负责写通稿和等通稿。
1687434675# #银川爆炸烧烤店救援现场有餐饮店老板说，管道燃气初装费要三四万，看到了吧，就是背后的问题所在，有关部门知道该怎么做，就看愿不愿意割舍利益了。
1695356556# #我发现，自从张雪峰火了之后，升学和职业规划咨询赛道一夜之间挤满了人笑cry
1699957978# #忽然想到2个问题：。1、如果让罗永浩现在再给格力之虎一句人生忠告，他会说什么？。2、董小姐会不会江湖追杀罗永浩啊？
1687687647# #张雪峰说自己病了，他戏蛮多也蛮聪明，知道自己说错了话之后，目前面对的是什么情况，如果他再不低调再乱说，可能有人要把他打晕，那就干脆自己先装晕，躲过风头再说，还不耽误生意嘻嘻
1687306274# #南京已经没有大厂了南京不仅互联网行业不行，本土汽车产业尤其是新能源汽车产业也是一塌糊涂，我说的是本土品牌，远的就不说了，近几年就一个拜腾还歇菜了，其他的都是外地品牌的整车工厂，这又是为什么呢？我不知道。
1696653245# #如果恒大出售恒驰汽车板块，会有人收购么？
1687251653# #秦岚腰臀比这个比例的数值是多少？0618%？
1702889149# #弼马温倒不至于，文旅会是新地方未来最重要的赛道之一，但是董这个职位有多大权限，值得疑问。
1695107922# #房地产税再过20年也立不起来。
1687424260# #北京高温发现一个问题，这几年北方夏季的洪水和高温都更胜于南方，并且北方的冬季也更加寒冷，例如帝都前两年冬季最低零下21℃，半年前漠河零下53℃，这是为什么？气候真的越来越恶劣了吗？
1699354327# #国色天香的文艺女青年长安马自达亮了哈哈哈哈哈哈
1689424756# #女子买鲍师傅糕点吃出黑毛猪毛？鸭毛？老鼠毛？刷子毛？
1693018152# #网传南航一航班起飞前有空乘坠落不是吧，飞机舱离地面得有4、5米吧？这摔下来还得了……
1687231670# #从事逻辑学研究的学者非常值得研究一下老胡，或许能出一本胡氏逻辑学的专著~
1691891738# #现在出现了反攻比亚迪的舆论浪潮，因为没有证据，所以无法说这是不是有组织的。。某车企也不想一想，你的车为什么卖不过比亚迪？2019年王传福还在焦头烂额，还在怕等不到春天，为什么4年后的今天（期间还经历了疫情）就成为了民族汽车工业的骄傲？市场经济，产品力说话，以技术突破实现了向新而行，dmi
1687062987# #主流媒体招人的条件，我不想说太多。我可以说的是，如果你是985新传研究生，如果想进主流媒体，目标就是央媒和省级媒体；985新闻学院的本科，或者是不算太差（包括211、普通本一和比较牛的本二）的新传研究生，想进省级和地市级主流媒体，主要就是报业和广电嘛，还是非常有希望的。。如果是211、普通本
1687770126# #这是啥意思？被拒了吗？被拒了连个通知都没有，而且我不是每个条件都符合吗？被拒的理由是什么？微博平台真是越来越过分了，给我限流这事还没处理，又莫名其妙拒绝符合条件的认证，你们是真的不在乎用户是吧？
1696060032# #发布了头条文章：《提速汽车经济，2023（第二十一届）南京国际车展开幕》
1702968350# #在俞敏洪和董宇辉在宫斗后的第二次联手直播中，漂亮话都让老俞说尽了。要给董宇辉开单独账号，即便以后董离开新东方，这账号也送他了。本来我还想，这顺水人情做的漂亮，在舆论中占据了优势。后来有人说，宇辉自己不是有账号嘛，粉丝2000万啊！需要新东方为他重开一个吗？这里面可能有个问题，董宇辉现
1691200186# #发布了头条文章：《深蓝S735天强势进击打破新能源行业单车交付记录》
1693753920# #华科新闻学院院长回应张雪峰讲真，本来民智就没有开启，张雪峰更是拉低了民众的智商。
1697280957# #今年的公务员国考报名即将开始，计划招录3.96万人。我查了一下去年国考的招录人数，大约3.71万人，而且去年这个数字已经是突破历史新高，那今年更是如此。这背后有个问题，就是目前财政紧张，部分地方公务员降薪、清退机关事业单位的编外人员等等。那么在这样的情况下，国考招录人数还突破新高是为什么
1696501593# #发布了头条文章：《2023（第二十一届）南京国际车展圆满落幕》
1689721498# #基辛格如果你问，应当做一个拥有信仰的理想主义者，还是做一个彻底的以利益为导向的现实主义者，聪明的犹太人，基辛格博士会告诉你答案。
1690159626# #有个判断，不一定对。对于一直在绑架和诈骗中国公民的缅北诈骗集团，中国国内的日益强烈的舆论反馈，正在转化为对缅甸政府和缅北政治势力越发强大的外交压力。。虽然缅北地区不在缅甸政府的有效控制范围之内，但缅方一旦承受不了这样的压力，势必有所作为。。至于缅北的政治和武装势力，其实很多人都知道
1699671652# #发布了头条文章：《阿维塔12全球上市，售价30.08万元起》
1696151854# #最后一张图，冯裤子完全是个配角呀！
1701588176# #南京的西北角尖（六合区竹镇镇止马岭）在南北分界带上
1687411467# #银川烧烤店爆炸事故31人经抢救无效死亡多年前跟相关部门去检查全市餐饮行业燃气安全。一家大型火锅店，几十张桌子，每桌一个小煤气罐，一旦出事，不堪设想。监管部门问老板能不能改用电？老板说用电成本比用气高。
1687426124# #藏在古画里的端午仪式感感觉正在经历史上最热端午节，古画里的端午节有没有清凉降温的元素？
1686995067# #鼠头事件学生可10倍索赔最低陪1000是吧？但是此事太过恶心，建议加个0，学校和那个言之凿凿是鸭脖的局长各掏5000。
1690076295# #又被限流了，呵呵
1703315921# #朱令去世一切因果皆无可逃脱。
1686978582# #张雪峰我离被人搞不远了再啰嗦一句，985、211和双一流院校的新闻传播类专业，如果你真的喜欢、热爱，那就追逐自己的内心，这个万金油专业就业前景不会太差。一般院校的新闻传播那就算了，不要凑那个热闹，换个其他应用型技能型的专业吧。
1692969282# #我倒不是想转这条微博，而是评论里的水军实在令人叹为观止
1691378672# #据说医药代表这个神奇的职业要消失了？
1687411924# #万物皆可粽子有没有韭菜鸡蛋馅的粽子？有没有菠萝蜜馅的粽子？
1697074290# #一车坐五人。前后都舒适。纳米01采用。短前后悬设计。百变魔法空间。国民纯电最强平台。
1699407596# #在这个新闻业乃至新闻专业倍受质疑的时代，作为新闻从业者，只有身体力行，将新闻视为信仰，才能让其更有力量。记者节感言。
1690632404# #24人非法穿越若羌自然保护区3人遇难罗布泊不是禁区不对外开放吗？进入不是要审批吗？
1692106673# #自己拍的照片被视觉中国告侵权类似视觉中国这样的所谓图片供应商应当全部关停，是彻底的版权碰瓷的流氓。还有一些无良的版权律师，以所谓替人进行版权维护的名义行版权敲诈之实。。版权法应当完善，对这些版权碰瓷版权敲诈行为进行惩治。换句话说，版权维护的合法边界在哪里？应当在立法上进行明确界
1694648731# #不知道纪委监委对这样的舆情是什么态度。
1700039734# #小米汽车的申报图，为啥感觉像毛豆3？
1701752734# #张雪峰谈普通大学和985大学有些好单位，尤其是体制内单位，央国企、金融单位，还有那些众所周知的高不可攀的行业，限定第一学历也是没办法，因为关系户太多，各路神仙得罪不起，所以招人只能首先从学校层级和学历进行限定，这样可以筛掉一大批关系户，然后再拼关系。当然，通天的关系另当别论。
1687296800# #SVIP免费领SVIP体验卡免费领我成功领取了3天SVIP体验卡。快快点击即刻成为微博SVIP。去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益等你来体验！
1692604400# #评论里好多人说：放下助人情结，尊重他人命运。这是屁话，谁也不能眼瞅着他人送死而不管。
1690155241# #我在想一个问题，现在的汽车营销传播领域，满屏的都是电车的广告，尤其是李想天天在微博上作妖，辣么，传统的称霸中国市场几十年的合资燃油车，是依旧卖的太好了所以不需要大面积铺开的营销宣传，还是说他们的投放并不过去少，而是被投放惊人的电车宣传给压制住了，导致市场产生错觉？有没有相关数据啊
1702865660# #今天东方甄选股价大涨17%，高级合伙人董宇辉确实值这个价，那么问题来了，绝大部分人都认为，俞敏洪终究是要雪藏他的，如果最终董宇辉不再出镜，而转为幕后，只保留合伙人和管理身份，那粉丝们还会买账吗？换句话说，董老师最终成了这家企业的精神和文化的象征，偶尔在各种公众场合露个脸，那资本和公
1692768561# #本博主好像好久没有怼理想了，这次不怼了，帮微博之王想个大策反，不是，大策划。既然大家都说昨天发布的极石是“众泰”版的理想，辣么，本博主给微博之王提个建议，要搞流量就搞个大的，要起诉就起诉个够硬核的，你们告一下极石，索赔500亿，起诉理由嘛随便，知识产权也好，别的也好，梭哈一波流量，
1702610635# #湖南发文，未来要缩减中小学和幼儿园教师，要分流人员，这么多人去哪儿？
1692238170# #北海一浴场突发不明鱼类伤人事件外星鱼坠落到地球了，好几天没吃饭了……
1689895546# #地球连续35年收到神秘规律性信号👽试图联系人类？人家消灭你之前还需要联系你？联系你也不明白啊，蚂蚁能听懂人说话吗？
1689600216# #发布了头条文章：《一汽奔腾“定制美好生活”奔腾T90正式登陆南京市场》
1693455973# #8月31日，中国工程院2023年院士增选有效候选人名单公布，共655人。现任比亚迪集团首席科学家、汽车总工程师、汽车工程研究院院长廉玉波名列其中。此前，在民营企业任职成功当选中国工程院院士的是不是只有王坚？
1700014124# #还有个问题，董小姐的儿子应该比王自如年龄大，他应该怎么称呼自如呢？嘻嘻
1688012110# #另据网传截图显示，疑似陈忱在朋友圈发声辟谣称：谢谢大家关心，已报警。
1700184077# #关于红旗专车：新一代红旗L7
1699667058# #WANT-CES2023中国汽车供应链峰会暨第八届铃轩奖盛典，11月11日主论坛。
1687439401# #银川市委副书记致歉书记和市长估计已经忙转起来，这个锅最后谁来背，会不会像长沙那样大范围问责，估计不会，两起事故类型不一样，银川这事监管部门责任相对轻一点。
1696128003# #发布了头条文章：《奶爸宝妈人生必备，极狐汽车考拉如何让遛娃更省心？》
1689460752# #不知道一个词叫逢场作戏么？理想粉怎么那么激动呢？
1687419912# #知情人称银川烧烤店死者死因多为窒息是因为被炸伤了无法动弹而导致窒息吗？现场全是煤气，而且有可能多次爆炸，周围群众也不敢上前施救，哎……
1687652347# #【莫斯科没有眼泪-Twins】此曲今日送给晋凉帝喵喵
1689423027# #不雅信息事件单位称系因病毒入侵现在的网络病毒越来越有感情了哈哈，不过，这是技术供应商的回应，是他们没有应对舆情的经验，还是有关方面要他们这么说的呢？
1699672159# #发布了头条文章：《2023新汽车CES正式开幕，看点十足》
1698973429# #之前姓李的SX微博挂我，说不给我充值的原因如何如何，搞的像是我找他们要过充值，他们不给我一样，看的我一愣一愣的，也导致很多不明事理的人还以为我真找他们要过，如果我要是真找他们要过投放，那我就只有老老实实做缩头乌龟的份，他怼我，我肯定一句也不敢回怼的，我发现这人不值得尊敬
1702689425# #东方甄选停播一天闭门思过东方甄选彻底疯了，主播模仿小孙摔手机，说粉丝买不起蛋黄酥，不断叫嚣拉黑粉丝，彻底表明，这家公司已经态度非常明确且强硬，就是要彻底与董宇辉割裂，并且通过不断试探公众和资本的反应、情绪的方式，寻找和筛选出“后董宇辉”时代的企业运作和品牌传播策略。。那么，公众
1693385406# #华为Mate60Pro支持卫星通信？牛逼大发了，这是划时代意义的事情！在十几年前，海事卫星电话属于绝对高端的存在，那么，中国的互联网卫星通信是不是也不远了呀？
1694643942# #奇瑞探索06：愉悦与野性并存
1694132214# #南京房子可以随便买了，你会在南京买房么？
1698048489# #旧闻回顾：章子怡于2015年12月27日在美国生下女儿，2天后，《沈阳地铁第一时间》在头版头条发布新闻，其标题可以载入娱乐新闻史：《铁打的女儿流水的妈怒放的生命向阳的花，恭喜！汪峰迎来生命中第8个女人》。
1691328806# #青春修炼手册开场我这个年龄虽然不是他们的粉丝，但是挺喜欢这首歌，有清新与阳光的味道太阳
1692236024# #比亚迪对硬派越野的产品体系部署相当迅猛，仰望U8，作为和豪华品牌硬刚的标杆，站立在百万以上的级别；方程豹5有传言是30-40万级别，super8将填补50-100万区间，有人问，30万以下的呢？坦克300的竞品呢？你别急，要么不来，要来就是地震级的。。还有人说，新能源的硬派越野产品被市场接受还需要一个过程
