1701443736# #现在还有人问《甄嬛传》和《知否》谁火呢……
1694873514# #成毅好像KTV麦霸，唱得太投入了
1692199595# #才发现，赵露思这条商务点赞1200w。
1696241622# #杨紫要补拍《青簪行》了，终于要抬上来了么
1693231774# #成毅、李宏毅不仅名字像，风格也像呢！来看看两位演绎同款西装
1697631109# #肖战和杨紫家怎么不爱提《余生请多指教》呢哆啦A梦吃惊
1697203179# #帅哥的怼脸生图。龚俊、于适、王鹤棣、周翊然、陈飞宇、许光汉
1688388224# #TFBOYS演唱会八月西安我是会看见蓝海or绿海or红海呢舔屏
1687792485# #杨幂、Angelababy杨颖、宋茜，三位85花都要去参加GQ活动了，不知道谁能大放异彩呢舔屏
1703078685# #刘诗诗、刘宇宁《一念关山》确实小有成就，都要开见面会了。粉丝们可要和平相处啊揣手
1688789259# #网友找到了可以去TFBOYS十周年演唱会的应援灯，好家伙，什么色都有笑cryTFBOYS内娱地位
1693753463# #刘学义的热门都是袁冰妍粉丝呢，这是太想《落花时节又逢君》抬上来吗
1696776129# #陈牧驰和陈飞宇这是同一个造型师吗
1692778051# #曝古偶男星和女富婆的瓜狗仔懂瓜呱cue了成毅和罗云熙，是有瓜吗？傻眼
1689576646# #鹿晗王源演唱会想看人数，好多人想看啊哆啦A梦吃惊
1688473395# #姚晨🆚郑秀晶，中国人美翻啦
1696472109# #杨紫巴黎街头与网友合影杨紫巴黎时装周合影，人群中的闪亮崽儿是不是？
1699004970# #周也、卢昱晓今天的礼服都普普通通啊，错失了一场大鲨四方的机会
1699627316# #易烊千玺粉丝真的好会给排面啊整整一条街啊
1703084907# #黄景瑜前妻点赞迪丽热巴相关内容………………这是干嘛呢
1696663931# #迪丽热巴创时装周最高媒体价值迪丽热巴这次去巴黎时装周收获挺多呀全球双线代言人+最高媒体价值，感觉迪丽热巴真的可以在时尚界实现自己的最大价值！
1688563830# #看看angelababy新剧动图，大家有没有看到传说中的进步舔屏
1690599135# #鹿晗、张艺兴八月都有演唱会，两位帅哥都开演唱会，想去看哪个？并不简单
1688890685# #杨紫、张晚意你好星期六里的这个接触好尴尬啊
1687777792# #蔡徐坤演唱会用的是冰屏怎么这时候上rs？用来转移视线吗？我现在最想看的还是蹲一个蔡徐坤工作室回应
1687236704# #潘粤明新剧真的瘦了潘粤明瘦了，状态太好了，一瘦更有味道了，白夜追凶2路透生图感觉出来了，很有魅力。
1697953968# #成毅肩膀有点窄啊，多练练就能成双开门了哈哈
1702622527# #王传君孤勇者大片王传君怎么站上去的王传君登上《芭莎男士》十二月封面，伫立河中，前卫造型，幽默又先锋，能感受到故事感了！
1693313611# #于适你收敛一点，别走上油王的道路！内娱还需要你
1691163383# #王俊凯王源易烊千玺三周年写给自己的信，今天他们再看会不会抠出一座魔法城堡doge
1688628531# #哥仨好不容易有个演唱会，也有可能是最后一次了能不能就这个票价，不要最后又被黄牛炒成几万汗
1700233466# #哈哈我太不识抬举了居然没有立刻回关公主👸
1700148927# #这下谁还看得出这是龚俊，大明星不打扮时候就是低调！作揖
1692281742# #宋茜杂志销售额破85女明星最高纪录了？印象中85花是赵丽颖、杨幂和angelababy会更强的666
1695109043# #杨洋都安静点。杨洋评论官方通知号：都安静点，疑似回应粉丝最近对凡人修仙传的维权质疑，和粉丝真的相爱相杀啊。
1697978619# #直播磕巴，记不住词，说的是谁啊？
1696322275# #王一博白发造型动图，气质独特的酷boy
1688208459# #白鹿、张凌赫将要合作《逐月》？这不是下一步《长风渡》吗doge不知道能不能像白敬亭和宋轶那样体面
1698322872# #这个官博这么拎不清啊，怎么还敢下场内涵赵丽颖。
1702616162# #杨紫、迪丽热巴90花top官宣星光大赏，🐧泼天的富贵啊
1699539513# #《宁安如梦》和《以爱为营》的梦幻联动
1688716206# #迪丽热巴、龚俊《安乐传》明晚6点空降，这是要抢占暑假市场呢舔屏
1697612242# #周翊然和马嘉祺还是挺像的啊哆啦A梦吃惊
1701251108# #爱奇艺🥝手段真高明啊，用刘诗诗和刘宇宁的《一年关山》给白鹿和张凌赫的《宁安如梦》引流
1691571602# #上汽大众ID.3惊爆价上汽大众ID.3惊爆价12.59万起，7月销量破万，还是吴磊同款，真好开，智能辅助驾驶，潮酷可爱，动力十足，视野开阔，转弯超顺滑，每个人都值得拥有！解锁吴磊的新ID
1702721936# #成毅李一桐有cp感吗？
1692362215# #杨坤不止一次吐槽过好声音杨坤曾经也骂过好声音杨坤是真敢说呀，早那么多年就看清了好声音的真面目，不愿意按照节目组的意思扮演人设，直接远离这摊浑水，求饶坤哥很牛！
1689254313# #或者看看颜值？杨洋和魏大勋直播动图
1693557660# #别人都是贷款爆了，罗云熙怎么是贷款胖了啊？思考
1701271410# #刘大锤王源李恩童朋友概率大一些。王源和李恩童的事情还在发酵……看看王源粉丝的辟谣声明，可信度有几分？
1695861783# #震惊！花西子想凭借发疯重夺市场，惨遭得力内涵
1688308170# #张婧仪古装好像马可……她还是去演现代戏吧
1700384333# #赵丽颖粉丝对电影的班底不满意啊……这都开机了，还有啥用啊
1696932786# #不靠cp吸粉的演员赵丽颖、杨紫好像近年来越来越有这种趋势了，像赵丽颖去年的两部剧都播的还可以，但应该不是靠CP吸粉，杨紫今年的《长相思》对于男演员可能情况不同，但对于杨紫自己来说也不是靠CP吸粉，各位觉得呢？
1699447660# #小花的年纪大花的气场我只能说张婧仪团队很有野心666
1692771002# #那英泰国度假我有一个疑惑，开始不是为李玟维权吗，针对的也是节目吗，怎么现在整个方向都是那英了，这……很难评
1701341764# #龚俊、黄明昊工作室品牌大秀出图，帅哥连连看舔屏
1694602677# #迪丽热巴粉色挑染双低马尾，还蛮有意思哦，能感觉到紫妹很追求时尚。
1701695826# #这是王一博还是杨洋
1702123991# #酱园弄这个瓜好有趣啊，摆明了溜杨幂赵丽颖，看来只有官宣确定才知道素材足够拍一部《谁是女二》了允悲
1687877322# #张艺兴粉丝和鹿晗粉丝友好交流，黄色代表鹿晗，紫色代表张艺兴
1690938264# #TFBOYS西安演唱会应援唯粉投了那么多，团粉就不用投那么多了躺赢！
1696132707# #大梦归离：侯明昊、陈都灵、程潇、田嘉瑞主演路透，感觉应该比顾晓声的另一部造型能接受一点儿
1694075884# #今年暑假飞升top2当属魏大勋还是邓为
1686974770# #她超爱
1686920139# #王一博凭借《无名》《长空之王》获得最受传媒关注男主角，这奖项有分量不？
1693381217# #杨幂的新代言之前还内涵过杨幂哆啦A梦吃惊这代言也是接的没有必要...杨幂思加图粉丝不满杨幂新商务
1686979083# #原著里的桑延vs剧版里的桑延看了《偷偷藏不住》的预告，赵露思和马伯骞演的兄妹line还挺吸引人的，没想到马伯骞还蛮适合演臭屁的哥哥的有点期待我们偷偷的搞笑兄妹了！！
1690449745# #邓为看杨紫的眼神这糖都送到嘴边了，大家嗑杨紫邓为这对cp吗？
1687523228# #白玉兰颁奖白玉兰直播弹幕好多评论“牵杨幂一个视后”，友友们记得杨幂哪部作品应该拿奖的么哆啦A梦吃惊今天最大看点不是赵丽颖吗
1687924072# #芒果离职员工说王鹤棣虞书欣棣欣引力CP是假的，这个大家应该都有数啦666也说两方拒绝同台，那二搭是没有希望了
1700400604# #预言一下，狐妖系列哪部成绩最好？🍉。杨幂、龚俊月红篇。刘诗诗、张云龙竹业篇。成毅、李一桐王权篇
1702124783# #李健南京演唱会李健《玛琳娜》演唱会版，李健演唱会这真唱实力，观众全场大合唱，李健清晰可见的真唱声音这才是真歌手实力。李健的高音余音绕梁
1698067203# #能看访客记录真是太炸裂了，到底是哪位85花5g冲浪呢哆啦A梦吃惊
1688136599# #杨幂代言要走高端路线了？应该有几个奢侈品牌在手吃瓜
1702908752# #网友说刘宇宁给刘诗诗吓得脸色苍白
1696747543# #蔡徐坤的妆容随机吓到一个玩手机的摸鱼人
1693279239# #虽然在路人眼里TFBOYS432的格局已经确定，但王俊凯王源易烊千玺都认为自家是nextlevel666
1691193998# #王俊凯易烊千玺牵手错位图王俊凯王源易烊千玺同框一起下班了，靠的好近哦！舔屏。网友辣评“朕就这样原谅了熹贵妃，是不是有点太娇纵了她”
1688640841# #Dior大秀嘉宾名单，很有看点啊，你最期待哪位？。韩东君、王俊凯、迪丽热巴、刘雨昕、于文文、周也、陈飞宇
1686809484# #刘若英广州演唱会官宣“飞行日”终于一下子要来广州了，真的期待了太久了，从巡演开始就一直刷合唱视频，这次终于轮到广州歌迷大合唱了。6月19日11点门票正式预售，这一次加入奶茶的合唱现场，那些爱过的歌要唱个够！刘若英演唱会广州站官宣
1696945803# #热议很久了，友友心目中90全能top🌸是谁？杨紫or迪丽热巴
1686825073# #刘诗诗Qeelin线下活动生图，我不明白怎么有人说她普啊苦涩
1687877373# #TFBOYS真是缠缠绵绵呐，王俊凯和易烊千玺线下广告在一起呢
1689431110# #迪丽热巴在妆造的话语权还没有鞠婧祎大嘛？小鞠怎么每次都能一样的妆容呢，保持高水平发挥呢
1696561532# #都多久了，还在问满江红40亿票房是不是证明易烊千玺的路人缘还在
1689253326# #《安乐传》迪丽热巴的造型真的合适吗？
1697084081# #王一博方辟谣和赵丽颖看演唱会，有翡CP粉心碎了
1693807123# #🍉杨紫陈星旭《国色芳华》。陈星旭收拾收拾，准备被紫妹带飞升咖吧doge
1700737865# #今天迪丽热巴的腰臀比在郫县引发了热烈讨论，正反方陈述如下迪丽热巴腰臀比震撼
1696245179# #杨紫、迪丽热巴都是排队看秀吗
1694922175# #袁冰妍超话现状叫不醒的粉丝...挖鼻。袁冰妍社交账号被禁言各大卫视删除袁冰妍相关动态
1689048909# #王鹤棣《大奉打更人》进组路透，许七安要来了，大饼开始烹制...
1698587803# #33岁的成毅确实有很嫩！出演16、17岁的王权富贵应该不过分，大家怎么不满意呢doge
1697281393# #张婧仪你让不让我想发就发是我没有文化吗？我怎么读不懂张婧仪在说啥...“你让不让我想发就发？”怎么断句？
1699605815# #今日的虞书欣和赵露思，猫咪公主👸VS蝴蝶仙子🦋，你更喜欢哪位？
1697287718# #冲浪时看见的女明星红毯漫画图，友友们能猜出来都是谁不
1691422561# #王俊凯英雄联盟品牌代言人🆚罗云熙国风代言人，这个title还需要比大小吗
1692023101# #沉香夫妇还有这么多cpf呢，杨紫某音下面热评还是成毅的图呢666
1691041865# #杨紫的代言广告又被热议了，看了这个广告你会想购买吗？
1690117232# #王俊凯今日生图，看来状态不错，要元气满满地去参加TFBOYS十周年演唱会喽舔屏
1692889227# #有网友问檀健次身高……但官方百度不是写着呢嘛doge
1692166205# #张小寒说杨颖的颜值状态吊打很多年轻小花并不简单
1694935056# #关智斌装凶好甜陆毅说关智斌好甜关智斌装凶怪甜的，有点这么可爱
1697188356# #王俊凯、王源走路姿势，应该是不同情况下有不同的姿势吧...
1688363456# #蔡徐坤照片不是我菜这事，来一堆假料制造混乱，然后辟谣假料，转移视线。怪不得一周才回应，原来是有了这么好的办法。平等地心疼每一个ikun666
1695616891# #肖战最新物料截图，这状态还算上乘吗
1694952593# #陈情令、山河令、莲花楼是🐧👖🥝的顶流剧，都开演唱会了。你觉得哪部更火
1699411712# #TFBOYS官博给王源庆生的微博选图差点意思啊，显得仪态不是很好允悲但是让我们祝王源生日快乐吧
1689781000# #肖战，成毅，罗云熙谁才是破碎感之神？
1693025987# #网友说迪丽热巴都不用拍戏，一直捆绑杨紫就能混一辈子，啊？好像也不是不行...
1701353787# #LV大秀要我说啊，今天这场秀最大赢家是黄明昊。他赢在很正常摊手
1688396958# #虞书欣和杨紫都和mlb有合作呀
1696840345# #日剧的《非自然死亡》要翻拍了？杨幂和段奕宏来演
1692631572# #珍惜羽毛的明星友友第一时间能想到谁？现在珍惜羽毛的明星太少了，赚快钱的人太多苦涩
1694054744# #赵露思和欧阳娜娜一样啊，自己代言的东西都喝不了一口
1696676398# #万渣朝凰是单元故事吗？里面竟然还有百合戏，这迪丽热巴、杨紫俩90top不是现成的doge
1690178964# #TFBOYS抢票只放了4600张票？不可能吧？我不信
1696924098# #迪丽热巴官宣Dior全球title
1703825839# #关晓彤也成为虞书欣和赵露思的身高参照了吗
1697295065# #赵丽颖的状态在85🌸里面能不能算top1⃣️
1698581744# #谁是你心中最俏皮的小公主，鞠婧祎赵露思虞书欣
1689667927# #张小寒说暑假只爆了孟宴臣网友讨论魏大勋能否成为下一个顶流，说光是杨洋的存在都能给他虐粉看来大家对魏大勋成为下一个顶流寄予厚望啊。思考
1690981799# #王源说不好好唱谁都对不起&nbsp;看了王源客厅狂欢巡演纪录片，印象最深的是他说歌迷期待了三年，不好好唱谁都对不起，真的清醒又真诚作揖
1695549344# #王源最新时装周营业，皮肤状态看起来不错哦666
1688817963# #赵露思品牌直播造型live图，这个身段真的绝喽舔屏
1688039481# #易烊千玺、迪丽热巴出演悬疑剧《小城焕日》？这配置让我想起了解忧杂货铺哆啦A梦害怕
1702300316# #白鹿和李一桐像吗？
1697289562# #迪丽热巴和杨紫这个造型都很利落性感迷人good
1690989805# #杨紫是不是真的很旺男主？男明星们都很愿意和她合作吧
1700313177# #刘宇宁说自己不走颜值路线，那应该是走演技派的
1688395565# #看到我们diguo姐姐们的威力了吗？西安市文旅相关行业已经提前笑得合不拢嘴了允悲。TFBOYS不合体排练吗TFBOYS十周年可能有直播
1688370975# #迪丽热巴龚俊《安乐传》，女撩男有点好看舔屏
1690376854# #目前在播的两部古偶迪丽热巴《安乐传》🆚杨紫《长相思》，你觉得哪部更火一点？
1697248390# #网剧万花世界开通官博这边刚刚开通官博，迪丽热巴粉丝在超话艾特王一栩说造型要好好搞，给王一栩提了好多建议，好积极啊！
1688818331# #TFBOYS内娱地位王俊凯粉丝、易烊千玺粉丝为了十周年都很努力啊舔屏
1701770368# #这套造型对于赵露思的年纪来说还是不太好驾驭的微博视界大会
1688134940# #杨紫粉丝怎么和素人伦粉丝比空瓶呢
1689945354# #TFBOYS下辈子再糊TFBOYS十年之约演唱会官宣一小时，想看人数破70万，真的想看TFBOYS糊等下辈子吧！
1696562257# #对于“任嘉伦古装帅不帅”的投票结果，我还是感到了震惊
1694483162# #杨幂生日评论区是各省份的自我介绍杨幂今天过生日！让我们祝美女生日快乐，今年能有爆剧666
1695271839# #于适有新资源了出演《我的阿勒泰》，搭档官宣马伊琍和周依然
1691940330# #周也在《孤注一掷》的表现引发热议，大家觉得突兀吗？
1701954334# #今天GQ女明星怼脸，一眼谁的脸部线条顺畅。杨幂杨紫倪妮景甜白鹿虞书欣杨超越李沁李一桐田曦薇陈都灵毛晓彤……
1696058297# #白鹿方否认去看疯马秀了，看来是不以此为荣啊！
1689307176# #王俊凯五月天嘉宾凯源美美嗑到，前面王源去五月天演唱会当嘉宾，后面王俊凯就也去了
1689582964# #所以是因为啥，一场演唱会换一个发色创意撞了？
1692439431# #迪丽热巴、刘雨昕与蜡像的合照，蜡像相似度如何？
1700050967# #有网友说赵露思粉丝在范思哲官方店退款，七天无理由退换货是消费者的权利吧，退也正常doge
1703078832# #《神隐》组上大分！赵露思和王安宇这组写真有点性感呀舔屏嘶哈
1703601911# #棣棣和巴巴两家大粉被禁言了，其实挺小一个事，还是握手言和吧
1693536849# #张艺兴签约华纳，美总部直签，这真是世界巨星了！他是不是归国四子最top？
1696044609# #Angelababy粉丝希望工作室对Angelababy去疯马秀做出回应。
1693044842# #不愧是85双top，杨幂、赵丽颖一个杨满楼，一个赵满街
1702777316# #又有网友断言白鹿、赵露思因为明年古偶断档，虞书欣和鞠婧祎会翻盘…………其中一位不温不火多年了，爆起来还是挺费劲的
1702559690# #tfboys王俊凯王源易烊千玺未来发展会怎么样？谁天王巨星，谁发展稳定，谁又会flop？
1689912350# #TFBOYS十周年演唱会座位图即使6万人也得好多人抢不到票吧允悲不知道今年是蓝海绿海红海还说花海啊，哪家能更胜一筹呢🤔
1691401809# #四大艳压🌟，邓为迪丽热巴陈都灵赵露思，说艳压谁能真艳压呢
1698221468# #杨紫、迪丽热巴两位要出席ELLE红毯啦想象不到两位美美的小裙裙造型舔屏
1693292819# #于适才初出茅庐，怎么就有人预言他要取代王一博成为95top了？
1688554902# #杨幂这个发型，在整个时尚界都是非常炸裂的谁给杨幂做的发型
1691142210# #TFBOYS组合王俊凯王源易烊千玺向灾区捐款，十周年的体面
1699264390# #杨紫生日营业图，成功女强人来喽
1703599151# #刘雨昕和虞书欣为同一杂志拍摄封面，都很有特色哦
1701774723# #闵塔鲨也没能给赵露思营造成明艳动人的大美女呀，关键还得是放大个人特质
1702818307# #星光大赏内场内场的赵露思、田曦薇、迪丽热巴、杨紫哆啦A梦吃惊到底是谁赢麻了
1695460282# #两位杨家大美女杨颖和杨幂，优雅和高贵的代言人
1691416354# #罗云熙今日露额头断眉造型，显得整个人更消瘦了允悲
1703418031# #“内娱是不是靠杨紫和成毅撑起来的”这是在捧杀吗
1703416046# #一念关山剧本争议闹大了，高群书、赵冬苓转发了张巍的采访
1696411988# #《封神》中饰演妲己的娜然能走迪丽热巴的路线吗
1700047149# #这是赵丽颖还是赵露思哆啦A梦吃惊谁还分得清啊
1699151748# #哇，以爱为营不错子，王鹤棣破9，和白鹿排第一第二。
1703690119# #赵露思、吴宣仪、关晓彤都出了cos哎！谁最有感觉？
1698677480# #迪丽热巴粉丝和杨幂粉丝就造型师展开了交流
1689780213# #看看《安乐传》里龚俊的睡姿，这不是睡美人嘛
1693575545# #张艺兴更喜欢演戏还是音乐？
1688036912# #黄婷婷与丝芭正式解约这不是黄婷婷的消息吗，下面怎么很多说鞠婧祎的疑问
1693299116# #王俊凯、易烊千玺有在互相copy吗？
1695044660# #成毅、任嘉伦新剧造型还蛮像得嘞，都是一样的帅气舔屏
1694791288# #赵丽颖、杨紫粉色挑染，今年大流行唉
1690021976# #TFBOYS来西安都没地方住广场上刷到TFBOYS演唱会当天西安酒店也溢价了...真的是啥都涨呗
1687965635# #杨紫和时尚好像可以同频了
1695731793# #王俊凯看秀造型工作室出图，什么水平？
1698227510# #cywayby是啥意思啊，ie这么在乎么
1698141031# #杨紫时尚资源真的今非昔比了！elle冲冲冲，粉丝们肯定很开心666
1690013974# #迪丽热巴在高铁上看书有网友质疑这是在营销爱看书的人设……这个很容易翻车啊，聪明的工作室应该不会这样营销，单纯网友偶遇吧
1691594168# #张艺兴的一番票房已经超过王一博了666
1697986231# #丁程鑫都能去街舞6当队长了，之前都得是易烊千玺和王一博才行呢666
1688911710# #ohmyeyes三字四字的cp粉还在坚持什么呢哆啦A梦害怕
1693231866# #TF家族成员张极自己打伞漫步，妈妈淋雨推着行李箱……
1700399958# #白鹿播完《以爱为营》和《宁安如梦》已经能和杨紫、迪丽热巴一个level了吗哆啦A梦吃惊
1691156659# #闹大了...
1688449015# #观众缘好的明星突然想到，王俊凯王源易烊千玺现在都走影视路线了，他们的观众缘如何排列？思考
1687689425# #上半年爆剧：你体感肖战、李沁《梦中的那片海》爆还是罗云熙、白鹿《长月烬明》爆？
1692081211# #叔圈全能艺人是谁？
1695820120# #刘大锤辟谣王俊凯与经纪人的恋情。传闻本来就挺离谱。
1697593171# #文汇报发表评论，说肖战的《骄阳伴我》开创了国产剧姐弟恋的新语法，并提到杨幂、许凯《爱的二八定律》Angelababy《爱情应该有的样子》吴磊《爱情而已》《炽道》《理智派生活》等剧集是乘着热度追赶风口的偷懒的“复制粘贴”、扎堆地量产。
1689324088# #TFBOYS十周年演唱会7.25官宣？有好戏看喽舔屏
1692276964# #刘雨昕演唱会dior定制外网又认领了。🍐🍑，Dior对迪丽热巴和刘雨昕哪个更重视？
1689571465# #实体专辑销量第一王源第二鹿晗，不愧是top2⃣️，很牛
1701786485# #迪丽热巴跳新疆舞真的出圈啦，各方都给予高度肯定！
1689655285# #白敬亭和白鹿互关，拍了一样的视频，被cp粉讲道理了
1695911578# #于适粉丝空瓶词哈哈哈哈哈演过耽改的都怕了
1688367484# #杨紫最新物料，双麻花辫，我真的直呼美女！！！戳中我审美点了
1690879199# #冠军冠军都是冠军揣手
1697001830# #95生的男主剧云合数据统计图，许凯数据不错啊！怪不得是鹅太子，100％在榜，有上限有底盘。
1703171695# #邓紫棋的歌词，是不是初高中水平。
1688638030# #鞠婧祎的男主运好像不太好哦
1699690742# #害，这还看不明白吗？。就是这剧一共三个主演，一是杨紫，二是逗号，三是李现666一个逗号的文学
1688190616# #刘耀文张艺谋电影张艺谋可能真的是TF的粉丝，先找了王俊凯、易烊千玺拍戏又找了时团刘耀文拍思考
1692446646# #赵露思和虞书欣的代言汇总图都好女王啊
1689165883# #今日DIOR大秀迪丽热巴和刘雨昕的数据情况一览，这么一边倒吗
1691059689# #张艺凡算不算得上是内娱张元英？
1689941330# #真官宣了，等王俊凯王源易烊千玺合体
1702801659# #杨紫星光大赏都出两套图了，迪丽热巴的图呢？
1688546522# #这大概是属于TFBOYS属于四叶草最后的狂欢揣手TFBOYS十年专辑曲目
1690724047# #杨紫的“从未”和迪丽热巴的“不会”哪个更绝情苦涩太佩服演员的信念感了
1697856951# #王鹤棣回归录制你好星期六，兄棣伙好多人啊
1696837965# #《狐妖小红娘》找成毅来演是因为对月红、竹业篇没有足够的信心？可别小瞧85🌸的底盘啊，杨幂和刘诗诗本来就是古偶扛把子。狐妖小红娘中年古偶
1699882746# #热巴粉丝有间接促进杨紫粉圈的形成吧
1687323973# #炎亚纶崩溃痛哭他还有脸哭了？感觉这就纯粹表演型人格吧...他不经人同意给人家拍小视频，他哭个锤子
1689339274# #道一声辛苦了，明星们能不能管好自己，该税就税，不该睡别睡，不要连累无辜打工人白白增加工作量，看到这原地消失，是真的很心疼幕后打工人。。奔跑吧原地消失术奔跑吧后期好牛
1701354170# #王俊凯这是什么时候去的法国啊，都记不清了，是和王源一起吗？
1690815247# #张晚意是《长相思》的男主不？就看邓为和杨紫了，呀来审判一下张晚意在剧中的表演
1699331432# #TFBOYS即将江苏卫视跨年合体？他们仨还会合体吗？
1689162786# #迪丽热巴、龚俊主演的《安乐传》总说即将上映，那到底是啥时候哆啦A梦害怕
1689426356# #杨幂和刘亦菲这是同一款礼服吗，穿出了不同的风格舔屏
1687447558# #看看任嘉伦和Angelababy杨颖身高差，不是是168和178吗允悲
1687093143# #现在就开始预定暑假四大普男了吗？没必要没必要允悲
1692084118# #张艺兴是国家话剧院演员我记得这个消息好久了，今天又翻出来了，而且张艺兴是国家话剧院引进人才，没有编制，国家话剧院现在真的想网罗一些明星吧...
1687705376# #杨幂、刘诗诗、唐嫣、Angelababy杨颖、赵丽颖、刘亦菲、宋茜待播剧一览，也不知道哪部还能有点姓名了哆啦A梦吃惊
1695182503# #酷2024年有杨洋《凡人修仙传》、龚俊《献鱼》、杨紫、范丞丞《要久久爱》、赵露思《珠帘玉幕》，不知道哪部能冲出重围摘得桂冠呢
1691900141# #王俊凯新歌怎么了？傻眼。后续：王俊凯新歌已经回来了，王源易烊千玺的转发也回来了。
1696736154# #冰岛偶遇迪丽热巴超市买菜。天天在rs看到迪丽热巴和花少，就是不播，嗨嗨，主打一个吊你胃口。花少请来迪丽热巴真是福星！
1689939662# #王一博今日份活动截图，摄影师扣鸡腿，给人拍成一米五了
1700483566# #虞书欣白鹿同造型，90%相似度了哆啦A梦吃惊
1699110259# #Elle封面是有暗戳戳秀咖位吧，李宇春周冬雨宋茜刘诗诗迪丽热巴
1689775043# #吴磊这代言title升得快呀，这不是95第一人么
1700486191# #周也和张婧仪现在是并驾齐驱的状态吗
1691927354# #七时吉祥不是轻喜剧吗不是说好的轻喜剧，《七时吉祥》怎么一言不合就开虐了呢？不过看到这部剧真的不错，特别是杨超越，对于祥云的深入理解能够从表演中看得出，演技也有进步，好喜欢祥云仙子！
1699112277# #金鸡奖获奖名单最佳故事片是给《封神》了啊，怎么发《中国乒乓》哆啦A梦吃惊哆啦A梦吃惊
1690608574# #长相思三位男主新增粉丝数看了一下，邓为的涨粉比率真可怕，相当于长相思开播的五天给他涨了三分之一的粉又加上最近这xfxy的劲儿，邓为是真火了吧
1690199983# #邓为演男狐狸精好奇点开这个话题，有没有人来跟我说说这什么设定？之前以为是落地古偶，怎么其中一个男主是狐狸精doge
1688295090# #蔡徐坤今晚要回应了？我倒要看看他怎么说
1690689947# #看看杨紫粉丝修的图
1688437253# #律师称蔡徐坤可能被列为劣迹艺人如果蔡徐坤被列为劣迹艺人，那么他将可能受到协会会员单位1年、3年、5年期限甚至永久期限的联合抵制。或许蔡徐坤就在内娱混不下去了，具体还看怎么定性。吃瓜
1699185152# #魏大勋的孟宴臣又火了一把，这也算是借时宴的东风了
1696942730# #于适的自我修养之p肩膀
1693926802# #暑期档最火的女性角色是谁扮演的？杨紫、王楚然还是赵露思
1698934497# #有网友问龚俊给85杨幂、90迪丽热巴做二番，下一部不会给95的虞书欣或赵露思做二番吧……这可能吗？🤔
1696052843# #杨紫穿华伦天奴去巴黎了，不知道这次能拿下什么样的title
1693967183# #龚俊肖战今天都有新代言哎！
1688132212# #奔跑吧延期播出蔡徐坤粉丝回应奔跑吧延期原因666
1692328317# #张小寒拍的虞书欣张小寒拍的虞书欣生图VS精修图，可爱吗？
1698322977# #虞书欣的线下应援虽然撤了，但是上了灯光秀哎
1688434841# #西安忍不住根本忍不住猜到了允悲而且我估计下一个十年，粉圈的人问西安是哪儿，最热门的事件是什么，第一反应是TFBOYS十周年解散（bushi）合体演唱会在那举办的，西安下一个十年的地标事件了允悲
1697869214# #王源微博转评赞破40亿。之前tg说王源是内娱第一位40亿转评赞的，然后有人说不是的，这是什么情况？
1701958643# #GQ的小船尴尬GQ今天有16套高定呢，好耀眼啊彩虹屁
1702810736# #星光大赏上的帅哥，谁帅得有一套？。王一博、王鹤棣、龚俊、吴磊、檀健次、范丞丞、刘宇、周柯宇等
1688348823# #任敏微博评论区，大家真的觉得她不合适朱颜嘛？
1691499408# #杨紫到底哪里变化了呢，感觉美貌levelup吃瓜
1689330973# #TFBOYS十周年演唱会通过审批2023内娱目前关注度top的演唱会TFBOYS十周年演唱会时间地点确定，还有不到一个月的时间，结束后TFBOYS会解散吗？
1695269530# #TFBOYS为王俊凯新电影打call还说解散了，压根儿就没解散吧，TFBOYS组合这个title最近狂刷存在感，王俊凯、王源、易烊千玺得捆绑一辈子吧
1688045693# #湾区升明月看看王一博和肖战，两位能不能同框啊拜托
1690003844# #TFBOYS合体谁最开心李飞最开心
1696508172# #许凯罗一舟程潇到拿到fendi推广了，厉害呀
1687244196# #王一博修改了微博简介，怎么把他的成名作《陈情令》删除了？王一博改代表作
1693048566# #龚俊相较于《山河令》时期跑粉那么多吗？
1695185208# #爱奇艺悦享会🥝的悦享会明天也要来了，看了一下王一博的《长风破浪》、任嘉伦的《武庚纪》、罗云熙的《颜心记》都挺受欢迎，其他的剧没啥声量。
1702386610# #成毅内赞已经能达到12万了？太厉害了
1691388608# #秦俊杰与女子亲密搂肩一头雾水的点进来，万分无语的叉出去，剧组聚餐并肩聊天这叫亲密？秦俊杰实惨，和异性同框就是绯闻锤了？秦俊杰方回应与女子亲密搂肩秦俊杰方否认恋情传闻
1694791187# #你希望你担有那种类型的代言？还是说赚钱就行，不在乎档次和品类
1693231946# #今晚王鹤棣檀健次都直播营业喽，哪位更养眼？
1694778583# #赵露思的腿真是又细又长，到底是谁说她胖啊
1688999111# #《狐妖小红娘王权篇》是大男主戏？得是什么卡位呀，女主杨超越作配哆啦A梦害怕
1699105163# #张艺兴演唱会座无虚席，这不是世界第一爱豆的水平么
1695182295# #angelababy敦煌神女！！！！听我土拨鼠尖叫
1689766561# #杨洋新剧蓝衣路透这造型实话说怎么不算好看呢，蓝衣粉伞，古装这款杨洋舒适区。
1698671586# #于适可能成为屈楚萧2.0吗？哆啦A梦吃惊
1698408188# #the9合影，谁最闪耀？。刘雨昕、虞书欣、许佳琪、喻言、谢可寅、安崎，赵小棠、孔雪儿、陆柯燃
1699096610# #王一博、于适金鸡红毯的生图来喽
