1692433947# #转发微博
1682220461# #美团自杀式骚操作，果然是冷血的美团
1552469240# #箪食壶浆，颜居陋巷。都不挨着啊。
1606396523# #发布了头条文章：《屌丝定制的小米手机：得屌丝者得天下，辱屌丝者丢饭碗》
1702945605# #兰世立出来后没什么钱了，只能靠一张大嘴，真不容易。兰世立称只看好董宇辉的粉丝不值钱。。东方甄选最愚蠢的是开除ceo，更愚蠢的是把董宇辉请回来直播道歉，粉丝只看好董宇辉，那不是东方甄选的粉丝，是不值钱的。东方甄选董宇辉任新东方文旅副总裁
1662854126# #吃个鼻涕，还装模作样。
1663638962# #【苹果将修复iPhone14Pro系列摄像头缺陷】iPhone14Pro被曝摄像头抖动苹果上周五刚刚发布了iPhone14Pro和iPhone14ProMax高端新机，而现在有些用户就提出抱怨称，这些机型存在一个奇怪的摄像头缺陷。一些用户报告称，他们在使用TikTok、Snapchat和Instagram等第三方拍照应用时遇到了问题：这些
1572759572# #雪山财经光明地产“凶兆”:前三季净利暴跌4成债务暴增200亿
1605594978# #转发微博
1539235207# #周六回帝都，来香山一聚？
1682028754# #转发微博
1615168790# #转发微博
1690730689# #不知道曹县的新闻是不是这样播的，但是我相信，曹县人民绝大多数是这样想的。
1685253723# #转发微博
1571791997# #雪山财经中原银行员工诈骗66万获刑：私刻印章假扮银行存款-金融研究院，专注财经信息，独到视角了解中国经济。
1693229464# #转发微博
1696000649# #这个是为了黑承德公安而造谣吧？谁这么大胆子？
1659048928# #原来是一伙的！
1688692805# #【美国新型毒品泛滥吸食者如丧尸围城】近日，英国《每日邮报》发布了一张美国费城的街头照片：成群吸毒者弯腰横行，仿佛“丧尸”围城。近几年，“甲苯噻嗪”在全美泛滥，这是一种大型动物镇静剂，滥用会出现呼吸困难、意识丧失等症状，也被称为“僵尸药”。据统计，美国近年因服用甲苯噻嗪过量致死的
1571189855# #关于扶贫，支教，领导检查，大家怎么看？
1602318703# #狗拿耗子鸡看门？
1703027980# #上纲上线了。
1682860408# #转发微博
1663847028# #敬畏生命！上海古寺住持27年救助超4500只流浪狗！
1663338669# #优质面料,护腿更护足,舒适透气,加固护足,经久耐用,呵护足部健康,保护脚部,足底部,尺码多尺码可选,运动都有
1690586993# #可怜的是她没有生在中国。中国人民遭遇外敌入侵都会自发奋勇抵抗。官员，有钱人和官二代一定是以身作则，冲锋在前。
1682301445# #丫丫返回前做了哪些准备【旅居美国的大熊猫丫丫将回国】丫丫身体状况如何据国家林草局消息，旅居美国20年的大熊猫“丫丫”将于近日回到祖国。海内外公众对“丫丫”的身体状况、归国准备等问题十分关注。
1550474060# #鸡同鸭讲
1563786266# #先帝创业未半而中道崩殂哈哈哈哈哈哈哈哈/殂，哈哈哈哈哈哈
1691506619# #严重同意
1573096628# #问他被女粉丝打骨折好了没哈哈哈哈哈哈
1555654852# #新茶还有点生气，放几年再喝，更加厚。
1656598905# #丹东！真是个神奇的地方！
1663741179# #【男子逆行不让路并叫车围堵女子，当事人：报警了才挪车】9月19日，江苏南京。下午5时，在百家湖工业园，当时李女士正常方向行驶，但对方逆向行驶，把车停在了李女士前面，然后骑摩托车后绕了一圈，把摩托车停在了李女士车的后面。李女士表示，是恶意堵车，堵了一个半小时，最后警察让他们挪车他
1701109262# #不相信又能怎样呢？唉
1680142668# #要改变的应该是人的观念。读书改变命运的前提是社会教育水平整体较低。而随着教育的普及，大学越来越越容易了。在不拼爹的前提下，改变命运只能靠努力拼，还有一点点好运气。
1682064619# #转发微博
1687726877# #路怒伤人害己。
1682860308# #转发微博
1688078708# #转发微博
1542019249# #刘死鱼引咎辞职，就是对市场最大的支持。
1657251618# #所有人都明白，乔丹体育是中国企业界一大耻辱，也是中国知识产权保护领域的一大耻辱。
1664262280# #【任泽平称苹果过度消耗果粉对乔布斯的喜爱】9月27日，任泽平再发博批苹果。他称苹果已经成为一家越来越没有灵魂和创新的公司，剩下的更多是堆砌硬件、伪创新、价格歧视、打压竞争对手、垄断、傲慢，过度消耗果粉们对乔布斯的喜爱，而乔布斯的创新精神已经在这家企业烟消云散，已经变成了一家走向平
1700033696# #转发微博
1682573594# #不知道你生病没钱治病的时候，医院不管你，医院算不算违法？政府会不会给你兜底？
1664412122# #这个老头预测的真准啊！一本正经地荒诞
1693092219# #转发微博
1661386877# #活着就能贷，死了还能贷么？
1563925924# #要点碧莲吧
1691365169# #TFBOYS官博急了TFBOYS的粉丝，有一个算一个，全是S13，垃圾。。北京，上海，广州，长沙已经拉黑了。。估计这次西安也要汲取教训了，确实过于疯狂了。
1687662921# #狗不嫌主穷
1640287538# #还是没忍住...我刚参加了幸运抽奖活动，玩赚积分还能抽大奖！机会难得，戳我抽奖>>
1682163585# #转发微博
1656907131# #吉利正式收购魅族湖北星纪时代科技有限公司与珠海市魅族科技有限公司在杭州举行战略投资签约仪式，正式宣布星纪时代持有魅族科技79.09%的控股权，并取得对魅族科技的单独控制。双方宣布将携手致力于为用户提供多终端、全场景、沉浸式融合体验的核心产品。汽车也好，手机也好，最终的归宿都是移动的互
1684537188# #富婆的快乐，穷人无法想象。
1573520941# #雪山财经壕气！任正非发奖金20亿元人均10万？华为员工嗨了
1684917390# #转发微博
1664071996# #专家吹元宇宙，跟神婆吹鬼神一样，信誓旦旦说得一套一套的。但是谁都没见过鬼神长啥样了
1539484061# #来来
1682241574# #知道为什么叫夺命大乌苏吗？
1662811480# #还得设两名拉屎擦屁股管理员，男生女生各一名。
1680255263# #做好人好事有风险，这是个很现实的问题。
1604370320# #经常以法不责众的名义纵容，才会越演越烈。
1692658963# #转发微博
1681882063# #月薪1万的同事一年存了11万。。这是怎么做到的？。。4月奇趣季
1651207053# #雪松这次逻辑混乱了。
1702723081# #【商汤科技发布讣告：商汤科技创始人、著名人工智能科学家汤晓鸥教授去世】商汤科技创始人汤晓鸥因病去世商汤科技12月16日傍晚发布讣告，商汤科技创始人、人工智能科学家、浦江实验室主任、上海人工智能实验室主任、香港中文大学教授汤晓鸥因病救治无效，于2023年12月15日23时45分离世。
1598833695# #东北第四省？
1571793547# #雪山财经央企背景公司爆雷！子公司财务造假拖累或有退市风险
1692137163# #转发微博
1701147259# #唉！
1688423450# #这段视频说，俄罗斯高管的子女，不是在美帝就是在欧洲，住着顶级豪宅，过着穷奢极欲的生活。这个是真的还是假的？关注俄乌局势最新进展俄罗斯
1690029877# #许多独角兽已死。俺点名一个，柔宇科技。还有谁？欢迎接龙。
1571884483# #我分享了话题深圳立案调查量子波动速读深圳市场监管通报，培训公司“沐忆学堂”在小宣传页、宣传册等材料和公众号上发布的相关内容涉嫌违法，依法对该公司发出询问通知书，并持续立案调查。
1664370869# #【女子为玩羊了个羊看广告被骗9万元】近日，常州严女士在玩"羊了个羊"游戏时，为了获取道具观看广告。有资金需求的她正好看到一个贷款广告，便按指引下载并注册了一款贷款APP。她见贷款APP显示有余额，为了提现就按照客服指引累计转账9万元，之后意识到被骗。提醒：警惕弹窗广告，勿向陌生账户汇款！
1680489169# #感谢
1661822354# #历时19年，耗资2700亿，中国的伟大工程，世界的奇迹。
1690759490# #转发微博
1642659392# #鸡汤有毒，舔菊上头
1690153689# #转发微博
1693057086# #转发微博
1696159201# #她怎么了？
1572246008# #区块链到底是啥先搞清楚区块链跟比特币是两回事。链圈的科学家多，币圈全部是骗子和韭菜，没有例外！
1661987150# #月饼专业户？
1691906231# #城管把车停在非机动车道，遭市民指责后，，，，雪山财金
1572136316# #转发微博
1539852252# #赔多了，就成神经了。
1685339502# #校花找他谈恋爱，他拔腿就跑？这是谁家生的傻儿子？干脆别上学了，傻是天生的，上学也治不好。
1681948643# #转发微博
1688258577# #6月26日，云南大理，裸体男子在女淋浴室待8分钟，当事女子：裸体男子带着手机，出警警员称疑罪从无，酒店方拒绝公开道歉。
1700229283# #时间换空间，慢慢消化吧。
1692328292# #转发微博
1700518335# #谁家的总统谁家自己选，不是美帝任命的吧？
1663540374# #【贵州省委省政府迅速组织开展黔南州三荔高速重大交通事故救援工作】9月18日2时40分许，黔南州三都至荔波高速三都段发生一起客车侧翻事故，造成重大人员伤亡，相关部门接报后立即赶赴现场救援。截至18日17时，事故造成27人不幸遇难，20人受伤正在救治。。。省委书记谌贻琴、省长李炳军第一时间作出部署，
1696849975# #这个说法比较靠谱，如果是真的话，你还支持哈马斯吗？
1571643691# #这才是好白菜被猪拱了的真相哈哈哈哈哈哈
1540455964# #转发
1619314879# #这几个小姑娘怎么长得像男生？
1664184128# #【湖南破获400亿虚拟货币交易洗钱案，或涉大量币安账户被冻结】9月26日，湖南衡阳县公安发布文章，表示破获“9.15”特大洗钱犯罪集团案等9起典型案例，其中“9.15”特大洗钱犯罪团伙涉嫌利用虚拟币交易洗钱金额高达400亿元，目前已串并涉电诈案件300余起。。。文章表示，衡阳县公安局“2021.9.15”专案
1650349946# #还要折腾到什么时候之二
1690516666# #出家人不打诳语。如果释永信真的说他月薪700元，我就真的信。
1689585637# #保交楼。周一负债最高的恒大连前10都进不去。
1688080603# #收费还不是微信最大的恶。微信的邪恶在于随意封号并且规则毫无透明可言。你同意吗？
1691381380# #大运会上个别国家退赛，理由是中国运动员的身份和资格问题，其实，资格问题不是问题，因为参加大运会的都是在校大学生，他们质疑的是，我们有些运动员其实都是世界冠军身份，但是，规则上并没有说奥运冠军不能参加比赛。中国运动员一般在退役后，都会安排到大学学习，这个也是惯例。外国是大学生运动员
1690757090# #转发微博
1684919160# #这位年轻的妈妈分享她的教训，怀孕期间不要吃酱油！
1692832261# #转发微博
1552293214# #怎么不把扔垃圾的车号牌秀出来？
1656575675# #看到这个女人渣，建议第一时间先把她打半死，然后再送公安机关，就说是她逃跑挣扎才打伤的。
1570850481# #这个不需要勇气，只需要足够不要脸。哈哈哈哈哈哈
1663152139# #转一个陌生朋友的私信。关注一下。。哥，能关注一下吉林市的开学情况吗，他们最近都在讨论长春市的开学，现在很多学校陆续通知九月底开学了，但是吉林市并没有一点疫情，还延迟至十月中下旬开学，强制我们弃考四六级和国二泪泪泪泪泪求求哥了吉林吉林开学吉林疫情
1684709510# #转发微博
1700033901# #或许它不够保暖，却足够温暖。刷到一位网友分享在购物时看到了一件只要三十三的羽绒服，以为没人会购买，点开后却发现买家是一个个年迈的老人，背景大多数简陋的房屋、甚至是医院的病床前。敲敲打打的几行字，或许是为了几块钱的返评，他们怎么会不知道质量的好坏呢？可就像三十块钱的婚纱，一百多的电
1687297404# #转发微博
1689994959# #转发微博
1534769454# #你有病吧?
1573288304# #众人“接力传泥”建房网友：谁说烂泥扶不上墙
1571755511# #大概率是跟开发商喝酒。
1566796183# #咋没打回去？
1539435574# #SB意淫吧？跟东北遍地的董事长一个路子。
1546591764# #请柳老板出来走几步
1691756581# #转发微博
1687298853# #转发微博
1691543338# #转发微博
1661821665# #大自然的馈赠，人间美味，农妇的艰辛。江南。这个是什么？猜猜看。
1601178084# #统计局又立新功了！当年人民日报放卫星的时候，农民还得接着种地，工人还得接着炼钢。所以今天，不管统计局立啥功，企业家还得接着纳税。对了，听说税务局也立功了，那增长可得真金白银入国库，不能统计局那样挑灯夜战编数据就完事。
1699857717# #官方回应区长水上餐厅就餐时落水身亡【泉州洛江区原区长水上餐厅就餐时落水身亡当地政府办公室回应】11月13日，一张“泉州市洛江区长苏某某在水上餐厅就餐时落水身亡”的聊天记录截图在网上流传。。。截图显示，事发地点系聚龙小镇。。。13日午间，泉州市惠安县政府办公室一名工作人员向大河报·豫视频
1692833858# #转发微博
1661156687# #【不香了？香飘飘半年赔上亿】2022年上半年，香飘飘仅半年的时间就赔了1.29亿元，比去年同期亏损的0.62亿元又多赔了一倍。香飘飘曾是奶茶市场中的挑战者，十年前曾一度冲击街边廉价奶茶店，也在与优乐美、立顿的厮杀中夺得了市场份额。但如今，香飘飘也面临着不小的挑战。新式茶饮品牌纷纷入局、高管
1663331325# #【全球鞋履制造商正在从中国转移到越南】（知消2022年9月16日讯）据ResearchandMarkets数据显示，越南已超过中国成为欧盟鞋类出口的最大国。截至2021年底，越南约有2200家鞋类生产企业，主要集中在胡志明市周边地区，耐克(nike)和阿迪达斯(adidas)等运动服饰……
1664438690# #粉丝投稿：厦门大学应届硕士因找不到工作破防哭诉哆啦A梦吃惊。。学院书记开会发言称：“学生都要去大厂，争取为学院争光，所以去小厂是不体面的”。该生请求连线，哭着说：“我今天好不容易拿一个小厂offer，你告诉我是不体面的，他凭什么不体面，它好歹是我挣来的”。。。注：该次会议系学院年级大会
1571812754# #雪山财经中共中央批准“电老虎”李庆奎被留党察看二年
1692659309# #转发微博
1661999824# #陕西作协一年财政支出高达2337万？真的假的？有没有产出？产出正能量还是屎尿屁？这个值得追问
1685253909# #转发微博
1682860620# #转发微博
1663836657# #【贵阳辟谣志愿者讨论性骚扰隔离女生：非我市志愿者刷存在感】9月22日，贵阳南明区发布涉疫警情通报：。。2022年9月20日，我局在工作中发现：有人在“贵阳xx群”内讨论给隔离区女生送饭，再趁机提出性要求的聊天记录在网上传播，引起不良社会影响。我局立即开展调查，经查犯罪嫌疑人谢某某（男，27岁
1692755653# #转发微博
1662439790# #又看到同一个视频，说是贵阳黔灵山的猴子，因为景区无游人投喂，下山觅食来了。如果这样的话，那应该跟地震无关了。到底是哪的？跟地震有没有关系？
1688979091# #不存在了的话怎么保护三亚的秤？
1688967210# #让人揪心！万幸安全救出来了。一定要看好孩子！
1696764912# #这个说说偷换了好几层概念。。就算跟美国制度一致的有180多个，那也只能说美国的同类是多数国家，而不应该说多数人。起码中国有将近14亿人口，搞不好比100个国家加起来的人还多。。另外国家制度有很多种，应该有不少国家既不同于美国，也不同于中国，不应该非此即彼，统统归到美国一美。
1692834329# #转发微博
1685175418# #转发微博
1684377993# #转发微博
1615341929# #正义不是自封的。
1553552991# #暖
1680139027# #水务公司回应万亩林场主跪地求供水就是说我没有能力供水，我解决不了。见过这样耍无赖的么？
1584860653# #
1684539287# #转发微博
1602726074# #黄草梁一带的长城，有转砌，有石垒。石头有大块打磨齐整的青条石，也有大小不一的碎块山石，盖因势因地而修。并且因为山势陡峭，残长城断断续续，断而不觉，反而更美。
1685669581# #网购没有收到货，还要自拍视频证明自己没有收到？
1611365814# #睁眼说瞎话？中国烟草难道是民营企业？
1573003198# #《别告诉她》中的一段中国式家庭聚餐拍的有点过于真实了，感受一下这个令人窒息的饭局……跪了
1689990073# #转发微博
1692589034# #转发微博
1571724662# #一周内四地限购松绑楼市调控分化加剧
1687902853# #转发微博
1701381670# #汤唯亮相BURBERRY上海幸福里门店活动，这款风衣实在不匹配，感觉一个大塑料袋鼓鼓囊囊，不如随便裹块布料。汤唯Burberry品牌代言人
1696022475# #许家印的牛逼头衔：。1、武汉科技大学管理学院教授，。2、武汉科技大学博士生导师，。3、广东省河南商会会长，。4、B20中国工商理事会副主席，。5、APEC中国工商理事会副会长，。6、中国房地产业协会副会长，。7、丝绸之路商务理事会中委会副主席，。8、中国国际商会副会长，。9、中国企业联合会副会长，。10、中
1621478241# #谁先上？战狼先上？党员先上？领导先上？北京户口先上？广州深圳拆迁户先上？/如果打，不管哪一方面，会不会也像以色列一样，先通知居民撤离？
1680506365# #点赞
1685059845# #转发微博
1681201295# #一边是中国人口下降，一边是印度人口登顶，格局变了！
1690069869# #转发微博
1572885980# #【江苏一公司被贾跃亭罗永浩欠款4400万网友：最倒霉公司跪了】近日，罗永浩被列入限制消费名单，申请执行人为江苏辰阳电子有限公司，被锤子科技拖欠370余万元充电器货款。@天眼查 显示，辰阳电子生产充电器、移动电源等，也曾是乐视供应商，被欠款4050万元。
1658973065# #老段子
1663367931# #【逃犯在缅甸完不成业绩罚做2千深蹲之后升级成用电棒电】9月13日，湖北天门，涉黑逃犯李某被他们完全没有把我们当人看，刚开始完不成业绩是被罚做深蹲，最多一次被罚了2000个，之后会升级成用橡胶棒打、用电棒电。我现在终
1687153986# #歪果仁怎么理解中国人说一个很很牛？
1689133785# #现在的职务是中央财经委办公室主任
1692667007# #转发，你怎么看？。。懂车帝的拆了秦plusdm-i，发现主副驾门框梁的用料不一致，主驾驶一侧用了加强钢板，副驾驶只有一层钢板。因为国内的碰撞测试，只做驾驶员一侧，所以应付测试的话主驾加强就行了。。。懂车帝之前还拆了比亚迪汉，发现也有类似的情况出现。。。雪山财金公众号比亚迪比亚迪超话
1681341940# #宁波中小学食堂将师生同餐，会不会成烂尾新区？宁波宁波中小学将实行师生同餐
1696388025# #9元钱一小时的工资，和15元一小时的停车费，有什么可比性吗？有什么必然联系吗？
1551340010# #让爱回家！欢迎关注，转发！
1690684661# #泪
1561458058# #后天又要坐南航了，咋办？总不能改东航吧？更垃圾咋办？
1690552761# #两名老党员，客死异国他乡的故事。这样的故事有很多，以后还有很多。别整天润啊润的了。
1604288140# #转发微博
1656420570# #给铲屎官多少钱？能这样舔强子的屁沟？
1656453552# #转。沉痛悼念张千里校友。校友眼中的户外达人，复旦大学2002届管理学院MBA校友张千里，于2022年6月26日不幸离开了我们，享年51岁。。千里校友常年为校友们组织各类户外活动，深受在京校友及在京其他户外团体成员的喜爱与尊敬。。千里校友已融入了他热爱的大自然。愿千里校友一路走好！🙏🙏🙏
1572989056# #早死早托生。『乐视网董事长罕见发声：资金链面临彻底断裂，办公大楼拍卖在即，恳求确保租赁办公』
1663550968# #没就没了吧。还是要谢谢你提醒。
1569726377# #好久没有湘夫人的消息，现在咋样？
1690497342# #转发微博
1662174241# #深圳一公司要求加班不满30小时捐3009月1日，一网友在社交平台爆料称，深圳一公司新发布了《关于严格执行加班制度的公告》，该公司要求员工每月加班时长必须达到30小时，加班到晚上20:30给予最高20元餐补。不知道有没有员工跟老板说，捐你妹！
1692889369# #易中天打假雪山财金公众号原文如下。。最近，网上流传左边这张图。（中图）。。在此郑重声明：这些话不是我说的，这些字也不是我写的，我又怎么可能使用北京大学的信䇳？那枚“余人手写”的印章，也在暗示是伪造。。。我的一贯主张可以简述如下：人类文明，共同价值。实事求是，推进共识。与此相悖者，均
1682486007# #转发微博
1690773285# #国家是为人而设立的，而人不是为国家而生存。敌我不是以国家来划分的，而是以是非善恶来划分的。
1703046993# #怎么做到的？A股学习一下
1663367260# #往年这个时候，应该是在防洪，今年的长江却见了底。千年未遇。
1690929038# #网友说一起事故，驾驶蔚来Es8电动汽车撞上路柱，造成车辆起火，驾驶员死亡。他说相信如果是德系燃油车驾驶员不会死亡的。。其实燃油车撞车起火导致驾驶员死亡的案例有很多。
1587443155# #睁眼说瞎话，服！
1603799506# #您要是把广东并入香港，估计多少年后，广东人的后代要把您当妈祖一样供奉起来。
1663623350# #【黑龙江漠河供暖了哆啦A梦吃惊】近日，受降温天气影响，漠河气温已跌至0℃以下。当地已于昨天正式开始供暖，供暖期为8个月，持续到明年5月中旬。未来几天，较强冷空气将影响我国北方，黑龙江、吉林部分地区降温可达10℃以上；华北、东北部分地区降温幅度将达10～12℃。你那里今天多少度？
1684980814# #转发微博
1659752708# #欢迎同胞们回家！
1614479014# #转发微博
1663325150# #武汉的朋友关注一下
1699971429# #录屏转发，蒙牛奶又出事了。看视频，蒙牛奶出现怪味和呈现块状，应该是运输和存放过程中出问题吧。肖战蒙牛精选牧场品牌代言人蒙牛特仑苏保质期内变奶酪
1687584333# #转发微博
1699834911# #转。有一具尸体被收割机搅得血肉模糊，老头在尸体边上哭……的现场，还有村民在旁若无人的继续“捡拾”，这场面让我觉得毛骨悚然衰。并没有饥荒，也不是活不下去，村民在有尸体的现场“捡拾”，这无论如何都超出了我想象的范畴。
1684980220# #转发微博
1658921505# #特斯拉为什么容易着火？其实是新能源车都容易着火的原因。
1606181932# #扔几袋屎在地上。
1687949865# #谁认识这个女人？为普帝舔得前无古人，连都得甘拜下风。
1663805424# #【全国航班大面积取消真相】今天晚间，一张张全国各地机场航班大面积取消的截图在网间流传，不少网友询问，今天各个城市的航班都大面积取消，到底发生了什么事情？。。记者查阅航班管家今日的航班实际执行数据发现，截至今晚10点，全国航班的取消率达到59.66%。。。不过，这样的取消率并不是今天突然达到
1552456852# #不是奖励么？还真是个悖论。要是偷拍了，又是一个清官，咋办？
1549071528# #刘总这个场地最多适合多少人的活动啊？比如说80人挤不挤？
1699866433# #不懂就问，亲人去世，不买墓地，去银行租保险箱存放骨灰，可行吗？
1692659486# #转发微博
1684648123# #转发微博
1563786191# #湖南黑茶，湖北赤壁的青砖茶，用的就是这样的料吧？灵魂来自工艺，这个看起来还算不错的吧？
1682256561# #转发微博
1691746387# #转发微博
1687137569# #转发微博
1659243090# #拆迁前夜转移一万瓶茅台酒？求故事的真实性？
1684377469# #转发微博
1682637661# #关键是很多人都这样
1691144376# #怎么是抢回来？是要回来！
1664285765# #女子网购给差评5天收千条骚扰短信【女子网购牛仔裙后给差评，5天收到上千条“验证短信”】如果手机突然接到千条验证码短信，你会不会崩溃？近来，网友柳茗（化名）便遭遇了这样的“袭击”，她在社交平台发帖称，月初她花费75元网购了一条裙子，因为觉得质量实在太差，所以给予了差评。不久，她的手机
1688463578# #兄弟肾炎，吴晓波刚被禁言了，罪状之一就是评失业率。
1699867493# #陆家嘴集团苏州100亿毒地事件，现在看来，苏州方面肯定是有问题，但是陆家嘴集团也不是白莲花，买地的时候应该是知情的。真正倒霉的是已经买了这个地块的业主们，谁去管管他们的死活？
1696845061# #网上刷到一张恒大第一公关利器白珊珊的名片，不知道是不是真的，也不敢打电话，因为穷。
1693099461# #转发微博
1690153088# #转发微博
1687231393# #【新闻学教授怒怼张雪峰：别被忽悠了】先问问各大高校的新闻学教授，你们干过新闻吗？你们懂新闻吗？。。此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？。。对此，6月15日，重庆大学新闻传播学教授张小强发
1662116704# #五常好像不是非洲国家选的，还是要多读点书
1687723753# #为了保护青海湖，建议给青海湖盖个盖子吧，不掏钱买票，鸟都不让飞进去。
1663625113# #转发微博
1629287563# #被长年洗脑后脑残的大多数人。
1663673488# #私募华曜奖【重阳投资我们对恐惧的感知往往是大于恐惧本身的】当我们投资人看到股市在崩盘的时候，你会非常紧张、恐惧，这个时候你就会去杀跌。实际上可能你如果拿的股票是好股票的话，其实并不需要那么紧张，过一阵它又调整回来了。但是我们多数投资人因为对这些方面不够了解，所以他就会
1700282867# #中气不足！。【蔚来总裁回应倒闭传闻：蔚来总裁称绝无倒闭的可能】11月17日，蔚来联合创始人、总裁秦力洪在广州车展上公开回应公司倒闭传闻，“谢谢各位朋友的关心，我们不会倒闭，也绝无倒闭的可能。”。越这样越让人觉得悬！
1536638753# #师太凑什么热闹？你又生不了了笑cry笑cry笑cry
1685238610# #转发微博
1562649972# #这个看着就觉得好
1684377295# #转发微博
1682717266# #转发微博
1656985330# #【雪梨直播诋毁好奇纸尿裤判赔20万】企查查APP显示，近日，金佰利（中国）有限公司与朱宸慧（雪梨）、杭州宸帆电子商务有限责任公司、杭州辰范网络科技有限公司商业诋毁纠纷一审文书公开。文书显示，原告金佰利公司诉称，雪梨（朱宸慧）在直播中为推销帮宝适品牌纸尿裤，将原告好奇纸尿裤与帮宝适进
1689992529# #转发微博
1682152926# #转发微博
1559635420# #
1696019374# #转发微博
1680744770# #近90亿元巨额分手费！“互联网大炮”周鸿祎天价离婚曾在360集体婚礼分享婚姻秘诀：男人管大事，女人管小事
1696724479# #转发微博
1663370089# #腰好像一下子就舒服了泪久坐对腰的伤害真的很大国外一位教练分享了应对久坐毛病的小技巧对于长期久坐的人群来说真的是福音了宝藏二创榜秋日笑料研发计划
1617693766# #good
1616564083# #魔鬼的眼泪，并不是发自内心的忏悔，其实只是源于受惩罚的恐惧。这样的畜类，哪怕眼哭瞎，泪成河，也丝毫不值得同情。
1572759665# #雪山财经吕永怀换名吕鸣港龙地产负债百亿IPO官网竟关闭
1702006842# #认养一头牛，靠忽悠起家。起家的时候，连牛都不是自己的，却忽悠消费者认养。这样的公司还要去IPO。天理呢？认养一头牛牛奶
1539992730# #公权私用，还是执法者。只是免职调离？说好的法治社会呢？
1687643491# #跟讲道理的人才讲道理。
1691789165# #转发微博
1689466976# #中国好声音，50万买导师一个转声？这种传言一定要严查！如果是造谣，希望主办方报警。如果是真的，更加要严查严惩。
1603852877# #转发微博
1650955703# #当他们说帝都现在物资供应充足，无需囤货时，我衷心希望，魔都人民受过的苦，千万不要让帝都人民再尝一遍。
1662437108# #国家将开始投放中央猪肉储备国家发改委6日发布消息，为切实保障中秋、国庆等节日猪肉市场供应和价格稳定，国家发展改革委会同有关部门将于9月8日投放今年第一批中央冻猪肉储备，并指导各地近期加大猪肉储备投放力度。
1623058501# #一场高考而已，需要这样么？
1565790671# #非洲猪瘟也不是毛子国原产的哈哈哈哈哈哈
1536984682# #幸亏不是俺闺女。沒教养还没脑子。
1604623418# #SB逻辑
1541372290# #法官也有明白人，不仅明白，还有勇气和担当，赞一个
1688029674# #说说看，还有哪个品牌请成龙代言后还没有破产的？
1664201805# #分享网易新闻《网传老人一生积蓄存银行取不出，靠捡菜度日，留遗书：给条活路吧》来自网易新闻银行存款不是非法集资存款取不出老两口捡菜度日河南村镇银行柜台储户活期存款进入南京银行清算到河南村镇村银行，原来能绑定支付宝微信，能买理财通，余额宝，
1689652605# #听说这位美丽警花的视频在网上的播放量已经过亿，怎么没见过？谁见过？
1689921902# #花大几千给孩子报一个暑假的研学团，去天安门广场看日出升旗。升旗仪式都结束了，娃娃们还在地上睡。这就是你们想要的研学吗？
1663304661# #【理想汽车法务部官微第一条起诉通告】理想汽车起诉网友造谣今早，官微发布了第一条微博，内容为起诉某网友发帖内容恶意曲解扩散，对公众形成误导，并对理想汽车品牌形象造成伤害。理想汽车已对造谣和散播不实信息的责任主体启动司法程序维权，对“彭某某”采取法律手段追究其法
1692544304# #转发微博
1571686767# #独角兽最佳捕手？黑线黑线黑线黑线
1663123964# #全国人大代表提议全面消灭蚊子对十三届全国人大五次会议第5749号《关于开展全面消灭蚊子的建议》，国家卫健委近日在答复中提到，将深入开展爱国卫生运动，全面改善人居环境。强化病媒生物防制技术的研究，以创新技术推动防制工作，探索环境友好、绿色可持续、经济适用的蚊虫防控技术，降低蚊虫密度水
1663644899# #【小伙吃自热锅将发热包与食材同煮进医院：“我只看生产日期从不看说明书”】男子吃自热锅不看说明书吃下发热包近日，重庆永川几个小伙子在煮食自热小火锅时，直接将发热包丢进了食材里，食用后出现不同程度的肚痛、消化道灼伤等情况，其中一人还住院治疗。19日，记者采访到当事人，他表示，自己
1691548969# #要说狗没有主人，还敢叫这么凶？打死我都不信
1536893482# #被盗号了？
1682474589# #转发微博
1664014812# #【爸爸回应四个月宝宝齐步双脚似马达全程配合】9月21日，北京西城。四个月大的宝宝和爸爸互动时，爸爸轻声喊着“一二一”齐步走的口令，宝宝双脚似马达来回蹬腿全程配合。孩子父亲刘先生称，自己平时注重和宝宝的亲子互动，第一次喊口令宝宝竟然能听懂，自己很高兴也很意外。有网友表示，宝宝认真努
1693106164# #转发微博
1690248962# #转发微博
1690714339# #转发微博
1690676313# #good
1701114321# #特斯拉的刹车失没失灵，看中美关系。
1687211947# #朱一龙爸爸。朱一龙看到陈思诚cue自己爸爸起来讲话的时候急得恨不得跺脚笑cry果然在父母面前不管多大年纪都有孩子气的一面偷笑好想看消失的她啊抓狂怎么还不到6月21号抓狂
1692323475# #转发微博
1681945411# #分享视频
1680527512# #为啥从境外走私茅台酒到境内来？难道囯外的茅台便宜很多？
1603183664# #转发，不知道说什么好
1690603868# #转发微博
1662605549# #王守义已注册十四香商标苹果2022秋季新品发布会于今日凌晨召开，此次主题为"超前瞻"，iPhone14系列共有四款新机在发布会上亮相。据天眼查App显示，“十四香”商标早在2002年被王守义注册，申请人为驻马店市王守义十三香调味品集团有限公司，国际分类为方便食品，另外网友还发现王守义甚至注
