1650668899# #人应有志，勤学，作事要有恒心。。曾国藩
1685839080# #Bill&Brod《MaduDanRacun》
1673663225# #JohnnyHatesJazz《ShatteredDreams》
1669250197# #感恩节（ThanksgivingDay），西方传统节日，是美国人民独创的一个节日，也是美国人合家欢聚的节日。初时感恩节没有固定日期，由美国各州临时决定。直到美国独立后的1863年，林肯总统宣布感恩节为全国性节日1。1941年，美国国会正式将每年11月第四个星期四定为“感恩节”。感恩节假期一般会从星期四
1658460078# #生活常识观奕。奕观七步之外，棋仙。。奕观三步之处，将军。。奕观一步之内，凡人。
1686106078# #谅解、支援和友谊，比什么都重要。
1661261973# #《楞严经》中说：“顺逆皆方便。”
1671280832# #新浪微博有个312万粉丝认证的大V“小儿外科裴医生”近日发了一贴。他说：如果一定要在吃大蒜和莲花清瘟之间选一个，我情愿选大蒜。如果要在两者之间向公众推荐一个，我也情愿推荐大蒜，至少安全还便宜。
1593589856# #盘中小经验，中国芯之五芯，电子芯，机动发功机，大型锅炉，液压器，聚成电脑基础软件！加一个，高精度车床！。许多现在都特别高了，哦，爬着跑？过了一、二年以后再来吧嘛？
1658813128# #水木年华《中学时代》
1667977984# #曾国藩有言：“谋大事者，首重格局。”。。一个人格局的大小，往往体现在他遇事的第一反应里。。。如何处理问题，最能反映这个人平日里所积累的学识以及素养。。。因此，真正有本事的人，不仅深谙为人处世之道，解决问题亦不会失了水准。
1652373853# #近期美股一直跌，但A股关键时刻还是挺住了脊梁，反而不跟跌了！12日的A股，没有大涨也没有大跌，平稳度过周四，所以我们就不找原因了。。。指数早间低开高走，午后一度小幅冲高，随后快速回落，沪指、深成指盘中跌近1%，尾盘再度回升。。。截至收盘，沪指跌0.12%报3054.99点，深成指跌0.13%报11094.87点，
1669561173# #股市常识。①保持清晰的思考，②群众思维不是小鸡汤、就是大坑，③寻找记忆沙漠的玫瑰，④耐心、安静地等待收获！⑤周期性！
1675705731# #转发微博
1698201468# #东方财富华为概念（BK0854）东方财富
1699682566# #当你有一天明白人比事大，事比钱大。又在你有能力把钱不当一回事的时候，你就当任何一家公司的，ceo。生活常识
1667018300# #聪明外露者德薄，词华太盛者福浅。。。——曾国藩
1671585701# #转发微博
1660560145# #记录美好生活。在群里聊理想的男人应该是什么样，。女神说理想的男人不一定很有钱，但一定有道德而且很有趣。热爱富贵，不嫌弃贫穷。品位并不时尚，但穿啥都大方自若。开私家车也罢挤公交也罢，都无所谓。红酒也喝，注意健康。对权贵保持尊重，对不幸者有悲悯。十步开外，你已经感受到他强大
1690784574# #叶蒨文《祝福》
1694656893# #黄芪煮水巧搭配，散结有帮助中医健康健康科普甲状腺结节乳腺结节肺结节生活常识
1658063397# #深圳梧桐山公园，仙湖植物园，暂停开放
1673072437# #转发微博
1680490360# #从现代网文想到春秋的百家争鸣，还有胡适的野文杂草，还有鲁迅的“三味书屋”，在这里我们一起理解一下“三味”，"三味″是指前人对读书感受的一种比喻，“读经味如稻粱，读史味如肴馔，读诸子百家味如醯醢”，三种体验合称为“三味”。句子翻译为，读四书五经之类味如吃米面，是食之本;读史记味如喝美
1670817856# #言简意赅，图文并茂。关于新冠只此一文足以。『得了新冠到底去不去医院？』
1661612858# #转发微博
1687977838# #国家统计局：1—5月份全国规模以上工业企业利润同比下降18.8%
1671450801# #转发微博
1678114955# #张载（1020-1077，字子厚）是中国北宋时期哲学家。祖籍大梁（今河南开封），生于长安（今陕西西安），后居横渠（今陕西眉县横渠镇）。他的名言“横渠四句”广为流传：为天地立心，为生民立命，为往圣继绝学，为万世开太平。
1695174379# #转发微博
1660490557# #劝君少骂秦始皇，焚坑事业要商量。祖龙魂死业犹在，孔学名高实秕糠。百代都行秦政法，十批不是好文章。熟读唐人封建论，莫从子厚返文王。
1667646654# #转发微博
1672878304# #生活常识。单亲家庭的女孩心理专家谈单亲家庭女孩的性格走向快问健康百科
1693461761# #东方财富化学制药（BK0465）东方财富
1688991185# #转发微博
1658576554# #《非诚勿扰：葛优约美女见面，求同存异，却被舒淇撞了个正着，被调侃坏了！》非诚勿扰：葛优约美女见面，却被舒淇撞了个正着，被调侃坏了！
1676349593# #是该取消预售制了。1月17日召开的全国住房和城乡建设工作会议提出“有条件的可以进行现房销售”，不足一个月时间，已有山东、安徽、河南、四川、广东等地明确表态，试点现房销售。
1651426664# #芒格谈及中国投资机会时，大赞中国公司，表示在中国能以更低的价格买到更好的公司。回答中国学生提问时，芒格表示，当你手上有一把锤子，你看啥都像钉子。谈及比特币投资，芒格认为中国的做法是智慧的。〈伯克希尔2022股东大会）
1694161169# #下一周切记曹仁超语录:戒贪，戒恐。
1660331266# #《非诚勿扰：葛优是把妹老手，这段在飞机撩空姐一幕，永不过时！》非诚勿扰：葛优是把妹老手，这段在飞机撩空姐一幕，永不过时！
1666738618# #试一试，早点休息昨天10:30左右躺上了床。真想不到，既然在11:30之前睡着了在5点40分左右醒过来一次美妙的体验。。。晨祷。作者：露易丝·格丽克美。。你想知道我怎样打发时间？。我走过屋前草坪，假装。正在拔草。你应该知道。我根本不是在拔草，我跪着，从花圃。扯着几丛三叶草：事实上。我在寻找勇气，寻找。
1666926191# #好的东西呀，一定要尽快收藏，好好爱护。人生的复盘
1684553608# #营养日看见公益良好的营养是保障健康、提高生产力和创造经济价值的根本。🥕🥦🍓
1663866925# #别走着走着就忘了。男人是一个家庭的脊梁骨，如果有问题，家庭也随之有问题。
1688819641# #7月7日晚8时，根据全国公安机关夏夜治安巡查宣防集中统一行动安排，深圳公安闻令而动、全警动员，尽锐出战、雷霆出击，在全市范围内组织开展了第一次夏夜治安巡查宣防集中统一行动，迅速掀起严打严防严管严控的强大攻势。『深圳公安迅速掀起夏季治安打击整治行动强大攻势』
1667797268# #我们冲破了黑暗，我在你的影响下也找到了人生方向，我会一直在你身边，纵然相隔多时未见。。。我們要相信世間沒有白受的苦，也沒有白走的路，人生每一步都算數，要相信對的人兜兜轉轉終會遇見，相信一切美好都會如期而至。
1678366526# #荷兰，立法禁止向中国销售芯片
1650282964# #招行早盘一度暴跌8%！多只地产股炸板暴跌，券商股也大跌，汽配、半导体回升。。18日早盘，A股三大指数集体低开，煤炭、房地产、非银金融等板块跌幅居前。。。盘中，房地产板块再度走强，受上海复产复工消息影响，汽配、半导体芯片止跌回升，创业板指率先翻红，深成指、沪指跌幅收窄。。。结果，盘中反攻未果
1666442951# #明日霜降。霜降，是二十四节气中的第十八个节气，秋季的最后一个节气。。由于“霜”是天冷、昼夜温差变化大的表现，故以“霜降”命名这个表示“气温骤降、昼夜温差大”的节气。霜降节气特点是早晚天气较冷、中午则比较热，昼夜温差大，秋燥明显。霜降节气主要有赏菊、吃柿子、登高远眺、进补等风俗。
1667225089# #零点乐队《我曾以为》
1668080904# #东方财富元宇宙行情纵深发展，web3.0爆燃
1674840452# #俄方称将派出战斗机器人应对西方坦克】俄罗斯国家航天集团前总裁德米特里·罗戈津称，将于2月交付4台俄制“马克”机器人，它们将在经过一系列测试后投入实战使用。。。罗戈津表示，“马克”机器人的战斗版可以借助影像电子目录自动检测敌方的军事武器，将能够打击西方交付给乌克兰的武器，包括德国的“
1676570219# #愿所爱之人皆快乐无忧，所念之人都万事胜意。。晚安，做个好梦~
1678705726# #转发微博
1675786942# #2月首个交易日，两市股指早盘探底回升，午后全线走高，沪指涨近1%，深成指、创业板指、科创50指数均涨超1%。两市成交额再度突破万亿，北向资金净买入约70亿元。。。截至收盘，沪指涨0.9%报3284.92点，深成指涨1.31%报12158.19点，创业板指涨1.27%报2613.69点，科创50指数涨1.19%；两市合计成交10046亿元
1663885205# #杨宇霆张作霖
1664203001# #小勾勾的日记:。今天它给自己取了姓名叫:俊杰。今晚，吃完晚饭，休息了一会，小勾勾叫了几声之后，我过来看看它，它下蹲，这个是它自身的语言，大概是要方便了，我并没有教它这动作。我还是赶紧拿出狗绳，它配合的伸长了脖子，给它戴上狗套，下楼遛狗起来，下到楼下，它赶紧钻进草丛，把事给
1672059003# #转发微博
1651688335# #八块腹肌分享视频来自：多多音乐《超?燃脂的兔子舞，根据自身的情况选择适合自己的动作，每天3～5遍！瘦身健康减脂减肥》
1688101330# #转发微博
1668690327# #转发微博
1651079256# #【如果未来几年股市惨淡该如何投资？巴菲特：那我就可以买很多好股】超价值投资。。如果把食物比作股票，你要长期食用（长期持有），你当然希望价格越便宜越好。价格低的时候，你就能买到更多物美价廉的食物（股票），当然前提是你还有足够的资金来购买。。。当然，如果你现在持有的是好股票，不在恐慌阶段
1674136681# #转：一般不太会说话的人，往往人品都很好，话说的太漂亮的人，很多时候都靠不住。靠谱的人，从不用嘴巴来表现自己的能力，而是正视自己的实际行动。靠谱的人不一定是最好的，但一定是最值得深交的…
1656612593# #封闭狭窄的空间，能较好抵抗风力！生活常识。芜湖台风要来了！
1672415786# #转发微博
1684306625# #股市常识。。静心等待将帮助你成为一名投资者，然而大多数人都处于迫不及待的状态。。。“你必须要非常有耐心，你必须要等待，直到某件事出现，你才会发现自己所付出的代价是值得的。”。这句话是违反人性的，谁也没办法整天坐在那里无所事事，只是等待而已。可是这对我们来说很容易，因为我们还有很多其
1674204152# #建设是一个汉语词汇。读音为jiànshè。。。释义为1.建立、设置。2.陈设布置。3.是指创立新事业；增加新设施；充实新精神。
1684440919# #JohnnyHatesJazz《TurnBackTheClock(2008DigitalRemaster)》
1694048835# #转发微博
1658936016# #转发微博
1661752080# #紫薇赞。傲骨凛然，姣花簇艳，天高寒秋，。华浓竞露。
1681024199# #铁血宰相俾斯麦！！努力普鲁士乡村容克，32岁才结婚的大龄青年，最终成为德国人心中的神。铁血宰相俾斯麦了解一下~
1653780023# #转发微博
1679504779# #分享视频来自：欧美音乐风向标《歌曲名：TheCalling，歌手名：TheFatRat》
1681136931# #真是聪明人马克龙，阿龙说欧洲门要成为世界上第三只力量。那谁是老二呢？美国可是专门搞老二！
1660933530# #世贸遗址自由像岛一天游
1663152543# #BryanAdams《Everythingidoidoitforyou》
1677058428# #会议强调，今年是全面贯彻党的二十大精神的开局之年，做好政府工作，要在以习近平同志为核心的党中央坚强领导下，以习近平新时代中国特色社会主义思想为指导，全面贯彻落实党的二十大精神，按照中央经济工作会议部署，扎实推进中国式现代化，坚持稳中求进工作总基调，完整、准确、全面贯彻新发展理念，
1669036799# #勤劳的厄姆鲜花
1661920639# #转发微博
1688872951# #转发微博
1675614908# #ChatGPT是由人工智能研究实验室OpenAI在2022年11月30日发布的全新聊天机器人模型，一款人工智能技术驱动的自然语言处理工具。它能够通过学习和理解人类的语言来进行对话，还能根据聊天的上下文进行互动，真正像人类一样来聊天交流，甚至能完成撰写邮件、视频脚本、文案、翻译、代码等任务。ChatGPT百
1653160148# #八个菜茶饼的处理！
1683038053# #一分钟了解普罗米修斯秒懂百科普罗米修斯（古希腊语：Προμηθεύς、英语：Prometheus，名字的含义是“先见之明”），是古希腊神话中泰坦一族的神明之一，他是地母盖亚与乌拉诺斯的儿子伊阿珀托斯与克吕墨涅所生，和厄庇墨透斯是兄弟。。普罗米修斯曾与智慧女神雅典娜共同创造了人类，普罗米修
1667472830# #最大悲观点！
1697944640# #股市常识。好股票、优质龙头股可能先于市场见底
1678681353# #思考题，如果中美关系有所改善之后，应注意哪些发展方向？
1683642812# #炒股经常遇到这样的情况：你买的股票盈利很好、业绩增长也很好、资产质量也很好，但是同一板块里，不如“它”的股票却涨得更好，你很纠结😐……大可不必如此，你选好了股票，股价涨得好不好，全靠“命”了，因为你无能为力👐。。相信金子总会发亮就ok了股市常识
1686072996# #转发微博
1652733918# #转发微博
1696871979# #哈佛大学15年研究：喝粥可预防意外死亡率！
1692327876# #各位早安！。温馨提示：。休鱼期已过，各种海鲜齐全，货源充足，益品饭店欢迎您的光临！
1666841355# #关于富贵功名
1675261744# #描述在中国注册制征求意见稿之前。。将来在中国股市也许有四句词会更多出现，护城河，疑似垄断，行业话言权，独角兽。
1677690686# #前车之鉴
1691337083# #转发微博
1659233569# #川西的旅游美景，是每个人内心的冲动与梦……瞅瞅这条川西旅游风景线，五天左右的自驾行，领略下川西夏日的自然美景美如画。笑哈哈带着微博去旅行华创传媒老薄超话
1684807280# #转发微博
1694182852# #常怀律己之心，常弃非分之想。
1679082311# #实时播报：★★国际贵金属期货持续走高，COMEX白银期货涨幅扩大至4%，现报22.6美元/盎司；COMEX黄金期货涨2.85%，现报1979.2美元/盎司。
1653091754# #腾讯新闻“板凳战术”不是编剧杜撰的，历史上还真有人用过这种方法来自
1687701345# #转发微博
1702207251# #全国文化收入同比增加7%
1683260778# #股市常识。。基本面量化投资经理的主要工作：。。•负责宏观经济研究、大类资产分析、资产配置策略，并向内外部客户传达研究观点；。•通过研究建立资产配置框架和量化模型，并定期提出建议、维护和更新；。•及时跟踪相关金融、财务和经济数据，分析市场状况，完成宏观策略及资产配置报告，并形成投资
1678991274# #人生就是做件事，园个梦吧！『《世界尽头的咖啡馆》关于这本书的思考』
1678536884# #🔺沙特与伊朗和解，为沙特、伊朗甚至阿尔及利亚正式加入金砖国家扫清了最大阻碍。
1673340841# #东方财富大连集装箱码头公司2022年集装箱吞吐量同比增加22.1%
1650408411# #24节气养生食物大全！。二十四节气的基本含义如下：。1.立春，春季开始；。2.雨水，降雨开始，雨量渐增；。3.惊蛰，春雷乍动，惊醒了蛰伏在泥土中冬眠的动物；。4.春分，分是平分的意思，表示昼夜平分；。5.清明，天气晴朗，草木繁茂；。6.谷雨，雨量充足而及时，谷类作物能够茁壮成长；。~。7.立夏，夏季的开始
1657785007# #来时少年，去时传奇！。。谢谢你，斯特林！
1656289923# #东方财富坐庄3000只美股！26名中国散户被判罚超5亿多人来自山东6年获利2.34亿
1666310164# #文明的核心是制度文明：坏的制度能使人变成鬼，好的制度能使鬼变成人。——胡适
1679074599# #晚安
1671238274# #转发微博
1669300878# #生活常识人生的复盘。关于鹤立鸡群的危害。长期鹤立鸡群，学会了骄傲！百害无益。。与先生同在，学会了谦虚和尊重。
1676655986# #正宗重庆老火锅就是要多煮几次味道才好成都规定了一次性锅底确实有点浪费了
1673540397# #转发微博
1679396521# #转发微博
1658680378# #社会废物，你中了几条？。是不是故意写？我感觉是十条十条的中！除了第四条没能力！允悲允悲
1683379131# #苦斋记。明代·刘基。...一旦运穷福艾，颠沛生于不测，而不知醉醇饫肥之肠，不可以实疏粝，籍柔覆温之躯，不可以御蓬藋，虽欲效野夫贱隶，跼跳窜伏，偷性命于榛莽而不可得，庸非昔日之乐，为今日之苦也耶？故孟子曰‘天之降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤’赵子曰‘良药苦口利于病，忠言
1688346786# #转发微博
1675427561# #明日10:46立春标志着万物闭藏的冬季已过去，开始进入风和日暖、万物生长的春季。在自然界，立春最显著的特点就是万物开始有复苏的迹象。时至立春，在我国的北回归线（黄赤交角）及其以南一带，可明显感觉到早春的气息。由于我国幅员辽阔，南北跨度大，各地自然节律不一，“立春”对于很多地区来讲只是
1662376319# #转发微博
1678937403# #网上销售，
1671299141# #转发微博
1667832444# #生活常识“人就是这样的，想来想去，犹豫来犹豫去，觉得自己没有准备好，勇气没攒够，机会已跑失！后来发现其实只要迈出去了那一步，就会发现其实所有的一切早就准备好了。”
1652556165# #转发微博
1658416899# #『46万企业倒闭：精神病院爆满』
1700475119# #转发微博
1661972128# #港媒和台媒接连报道本地年轻人被拐骗到东南亚的恶性事件，震撼了两岸三地。。台湾、香港警察现在每天在机场劝导出境民众，外出打工一定要谨慎『为什么最近很多台湾人、香港人被拐卖到东南亚？』
1668848946# #DanaWinner《Nothing'sGonnaChangeMyLove》
1661742737# #转发微博
1660067499# #转发微博
1658665834# #守得1分，温家宝领衔的国足东亚杯次战0：0平日本
1693209679# #许冠杰《春梦》
1657615561# #上海某小区在7月11号，居委会发出要求，居民准备好15天的储备粮食？求证！
1675156675# #转发微博
1670207927# #《愁》。。作者佚名。。寒风萧萧愁杀人，出亦愁，入亦愁。。。何人谁怀忧，令我了白头。。。胡地多飚风，树木何修修。。。离家日趋远，衣带日趋缓。。。老马蹄残雪，杰勾独𠸄噗。。。心思不能言，肠中车轮转。
1681575047# #中国神华发布一季度经营数据显示，三月份发电量同比增长17.2%，售电量同比增长17.3%，一季度售电量累计同比增长10.8%。。。从神华的数据来看，经济复苏的情况还是可以的。
1676946801# #佛为心：佛家是追求出世、讲究清净的，佛心即觉悟之心，通俗意义上是指慈悲的心肠。诸恶莫作，众善奉行。自净其意，是诸佛教。《金刚经》中言“一切有为法，如梦幻泡影”，《心经》中言“照见五蕴皆空”。不执着于任何事、理之心，不住一切处心，并且积极的行善，能为他人着想。。。佛心就是佛的精神、要
1696876805# #转发微博
1673616491# #1月初以来的8个交易日中，北向资金净买入前5名分别为中国平安、宁德时代、贵州茅台、五粮液、隆基绿能，净买入金额分别为52.85亿元、51.11亿元、38.87亿元、38.28亿元、24.38亿元。此外，东方财富、比亚迪、招商银行净买入金额均超过10亿元。
1673099700# #『傅政华出镜忏悔！官迷心窍，被江湖骗子、政治骗子拿捏20年』
1672567586# #转发微博
1696672804# #五矿信托某产品继续违约，2个月前投票表决按98.89%兑付五矿信托融创房地产信托违约
1660038797# #无意间打开20年前的歌夹，原来当年是如此风流倜傥！还经常喷点法国古龙香水，怪不得，，，！。费翔《读你》
1688187797# #转发微博【庆祝香港特别行政区成立二十六周年】
1661390326# #转发微博
1667991991# #共和党赢了？
1660299792# #罗大佑《光阴的故事》
1663561676# #生活常识。猪肉
1661093151# #转发微博
1683281275# #转发微博
1675091702# #真正让人舒服的人，都懂得不动声色地释放自己的善良，给予他人恰到好处的成全。
1653411502# #嗯有趣必须转。自已努力的情况下：。一命二运三风水。四积阴德五读书。六嫁对郎七拼爹。八靠岳父九看妻
1650533025# #东方财富福成股份：2021年粮润已从福成集团控股子公司租赁土地474.67亩实时播报：【至纯科技：拟以4000万元-6000万元回购股份】至纯科技公告，拟以4000万元-6000万元回购股份，回购价格不超过54元/股。
1670082460# #转发微博
1673596945# #随着几亿国人被Covid-19感染，相当一部分已经康复。然而，第二波疫情再所难免。问题来了，再次感染的风险有多大？有多严重？。。几个基本原则和常识：。。A，与未感染者相比，新冠感染显著降低二次感染风险，有效性由80.5%到95.2%不等；。。B，从感染比例看，二次感染风险因当地新冠流行程度及疫苗接种情况
1687214808# #广东工业大学(美国制裁的学校之一)走出去的球员：杜锋、易建联、朱芳雨、周鹏、任骏飞、任骏威、苏伟、董翰麟、史鸿飞、李原宇、莫国超、鞠明欣、朱旭航、李雪松、王璞等。
1670037987# #大书法家启功的一派“胡言”『大书法家启功的一派“胡言”』
1688656465# #谈谈Coco。Coco老公是利豐貿易老闆剛開始工作時第一個大客戶2年時間工作起來不捨晝夜年銷售額從57萬美金做到了2千萬美金簡歷上醒目一筆。。多年前我是歌手花絮覺得她性格堅韌又樂觀進取我等楷模今天看到新聞有點唏噓R.I.P。。和Allison講說早上看抑鬱症評估我大概可划分為重度Allison說你不是
1674651239# #“八月剥枣，十月获稻”“桃之夭夭，灼灼其华”“呦呦鹿鸣，食野之苹”“岂曰无衣，与子同袍”……《诗经》
1673321358# #【你的平安，我的节日！一组海报致敬平安守护者】
1655250618# #《让子弹飞一会儿：这鸟叫声都成电台传递的信号了，这个也太聪明了秒懂百科》秒懂百科：短视频涨知识，世界如此简单。
1679763115# #生活常识事业心重的人。我完全懂你的感受，我知道你不像表面上看上去那么的乐观和积极，其实你也很累，也想有个依靠，很多情绪都压在心里，只是你太过于懂事了，但是你可以说出来，我想说有些人看似走在你前面，但其实每个人都有自己的时区，有自己的节奏，你千万不要着急也不要焦虑，把你的心态放好
1691091191# #转发微博
1672578511# #转发微博
1671806912# #转发微博
1677311129# #短歌行唐，李白。白日何短短，百年苦易满。。苍穹浩茫茫，万劫太极长。。麻姑垂两鬓，一半已成霜。。天公见玉女，大笑亿千场。。吾欲揽六龙，回车挂扶桑。。北斗酌美酒，劝龙各一觞。。富贵非所愿，与人驻颜光。
1659621496# #赵雷《鼓楼(Live)》
1702983834# #中国七大医药公司2023年上半年营收都有较好的增长，相比整个中国GDP增长，相比大家对经济大环境的感受，医药行业整体看来还是没有受到太大的影响，继续高歌猛进的增长。其中同仁堂、上海医药、九州通、国药控股、云南白药、华润医药都有双位数的增长
1701319142# #北交所新三板交易开户条件，基础层、创新层、精选层的区别和龙头北交所新三板交易开户条件，基础层、创新层、精选层的区别和龙头
1668879359# #生活常识。一个从不怀疑生活方向和目标的人绝对不会绝望。。——弗朗索瓦·莫里亚克
1688923797# #转发微博
1686153903# #转发微博
1663453214# #惨啊，一大早就要起来陪它散步！不然的话就在那狂叫
1700292313# #转发微博
1688142250# #转发微博
1665112968# #读书是为了到外面看到更多的东西。
1664714055# #他是客家人，广东省始兴县出了中国铁军总司令！新中国十大元帅，8个是他的部下！。。『他是客家人，中国最牛总司令！新中国十大元帅，8个是他的部下！』
1657948775# #奥巴梅扬&莱万，将重聚二度合作。
1660592094# #《感情百度百科》感情一般解释为对外界刺激的比较强烈的心理反应、动作流露，同时也表示对人或事物关切、喜爱或厌恶的心情，并愿意为维护该份心情而付出行动倾向。
1690293334# #PaulMauriat《ILikeChopin》
1651528354# #这是什么毒药？喷人会如何
1695908229# #转发微博
1657666460# #《周易第42卦益卦(风雷益)巽上震下易安居吉祥网》本卦互卦错卦综卦第42卦：益卦(风雷益)第23卦：剥卦(山地剥)第32卦：恒卦(雷风恒)第41卦：损卦(山泽损)
1698199434# #东方财富军工（BK0490）东方财富
1680872126# #六大行股息率均超5%，工商银行连续两年“分钱”超千亿元→
1685156837# #断子绝孙是不是报应呢？。人生本无报应,常说的因果报应只是人类自身对客观现实的无奈臆想而已,也就是所谓的唯心论。
1699606488# #人的思想境界，从对财富的看法来讲分为三个阶段。①，解决温饱问题。②，解决幸福问题。③，立牌坊的问题。其实一个宗旨就可以解决以上三个问题。更好地为人民服务。人生三个阶段生活常识
1689645052# #XD农业银行（601288）出现少是见的跳空高开。
1669471843# #转发微博
1694386795# #转发微博
1657403640# #人生的复盘。没有一颗真诚的心，会因为追求梦想而受伤。当你倾心努力时，你会感到整个宇宙都会来帮忙。
1688731593# #BryanAdams《(EverythingIDo)IDoItForYou》（《侠盗王子罗宾汉》电影主题曲）
1677904217# #转发微博
1653092423# #？？？哈哈
1677519035# #威仪(强大的个性)一一指使人敬畏的严肃容貌和庄重举止。。当你经历一个综合性的项目之后，方明白其重要性。
1674703188# #在某电商发现了，LOUISXIII路易十三【新年礼物】61000元15年涨了三倍1.5公升致尊装法国优质香槟区干邑
1684834487# #生活常识。提高免疫力的六个方法。使自已忙起来(如家务也好)。睡觉（晚上11点前一定要睡觉），。喝水（每天1000毫升以上），。一日三餐（……），！。运动（每天有氧运动30分钟以上），。微笑（提高格局）
1693367448# #爱犬
1686482740# #转发微博
1660715871# #走着走着忘啦！。复旦大学古籍所陈正宏教授曾经给毕业生写过一副对联：。史亦尝考，文亦尝校，答辩近了，犹思几度改论稿。家总要成，钱总要挣，奔走红尘，莫忘曾经是书生。。——还有记得自己曾经是书生的吗？
1694460026# #无意之举，逛街都招麻烦。。搞得无心睡眠，不如主动失眠啦，逛多一下。
1676473986# #转发微博
1679046154# #转发微博
1696091176# #占领华尔街
1675151971# #【美媒：美国将禁止供应商向华为提供产品】据美国彭博社报道，知情人士透露，美国政府正在考虑切断美国供应商与中国华为公司之间的所有联系，禁止包括英特尔和高通在内的美国供应商向华为提供任何产品。报道称，美国一些官员向拜登政府提出了这一建议，若这项政策获得通过，所有美国供应商向华为供货
1682550364# #读万卷书，不如行万里路。行万里路不如阅人无数，阅人无数不如名师指路，名师指路不如贵人相助，贵人相助不如自己悟，自己不悟神仙无助！
1677918591# #转发微博
1683338215# #春天走啦，夏天浓装，万事盛长，是日立夏，是二十四节气中的第7个节气，夏季的第一个节气，交节时间在每年公历5月05-07日。此时北斗七星的斗柄指向东南方，太阳黄经达45°。历书：“斗指东南，维为立夏，万物至此皆长大，故名立夏也。”立夏后，日照增加，逐渐升温，雷雨增多。立夏是标示万物进入旺季生
1678139724# #印度提前为能源钢铁进口增量做谋划
1702762667# #转发微博
1669939307# #苏芮《酒干倘卖无》（《搭错车》电影主题曲）
1651236579# #香港：不躺平，不封城，自己走自己的路！。永远不反对摸着石头过河的人！
1668578760# #“牛市是害人的，一轮牛市过后都是一地鸡毛，而熊市才是对投资者的馈赠。”叉一句在熊市辛苦赚的一点在牛市输光啦！
1681316675# #用友金融此前发布的2022年度报告，报告期内公司实现营业收入5.98亿元，同比增长16.65%；归属于挂牌公司股东的净利润0.92亿元，同比增长4.64%。报告期内经营活动产生的现金流量净额为1.07亿元，归属于挂牌公司股东的净资产4.44亿元。。。中国网财经记者注意到，在行业中来看，用友金融的收入体量相对较小
1681236054# #转发微博
1686989720# #为何花有重开日，。人却从无再少年，。莫道沧桑多磨砺，。晚霞依旧红满天。诗词
1691658276# #华虹半导体2023年Q2营收6.314亿美元，去年同期6.208亿美元。
1701102340# #炒热点【晶科科技对外担保余额162亿元远超净资产部分对象负债率超70%】晶科科技日前发布提供担保进展，截至公告披露日，公司及控股子公司对外担保余额为人民币162.27亿元，占最近一期经审计净资产的130.93%。公告提到，晶科科技为4家全资子公司融资提供担保。(来自
1673918559# #东方财富股票【第二批国家重点监控药品目录发布多个消化、抗菌知名药品将遭严控】本次发布的第二批目录涉及30个品种。(来自
1697898663# #转发微博
1702705984# #中国经济复苏表现参差不齐，。11月工业增加值同比实际增长6.6%，实现去年9月以来最强劲的增幅；房地产领域则持续疲弱，社会消费品零售总额增幅也低于预期。
1697030293# #转发微博
1666433453# #谁似一盆兰？天有安排，也是一个选择。陕北民歌《兰花花》
1672539415# #生活常识。邀千百人之欢,不如释一人之怨;。希千百事之荣,不如免一事之丑。。。——《菜根谭》。对人尊重，对自谨慎。
1677362400# #长知识！20首经典苏轼诗词，你最爱哪首？四川人有多爱苏东坡（人民日报）
1686755008# #谭咏麟《捕风的汉子》
1699294246# #林园
1651507605# #转发微博
1658374188# #工作小经验
1690212289# #转发微博
1678717354# #山口百惠(やまぐちももえ)《しなやかに歌つて(温柔地唱着歌)》
1701317674# #转发微博
1695003198# #华为汽车概念股持续走强江淮汽车股等多股涨停。华为汽车概念股早盘持续走强，江淮汽车、科华控股、丰华股份、铭科精技、赛力斯、华阳集团、科力尔涨停，德迈仕涨超10%。下载新浪财经APP，聪明投资者都在这里→
1666531801# #《红楼梦》桃李春风结子完，到头谁似一盆兰。如冰水好空相妒，枉与他人作笑谈。
1667270111# #《需要你》
1672806605# #转发微博
1656296141# #我正在看“快乐享生活-”的精彩内容，速来围观~不喜欢吃鸡腿的，一定要试试这个脆皮爆汁鸡排八个菜
1663443061# #股市本就是95%的散户在输钱！
1660897357# #8月19日，两市股指盘中弱势震荡下探，深成指、创业板指跌超1%，科创50指数大跌超3%；两市成交额有所放大，已连续四日突破万亿，北向资金净买入约17亿元。。。截至收盘，沪指跌0.59%报3258.08点，深成指跌1.27%报12358.54点，创业板指跌1.5%报2734.22点，科创50指数大跌3.33%；两市合计成交11202亿元，北
1688072704# #喜剧
1702393688# #两市ETF融券余额连续6日减少。证券时报？数据宝统计显示，截至12月11日，最新两市ETF两融余额为1345.93亿元，环比上一交易日增加5.39亿元。具体看，ETF融资余额为1188.36亿元，环比增加6.00亿元，最新融券余额为157.57亿元，环比减少6038.01万元，连续6日减少，累计减少金额6.76亿元。
1660324207# #摘：本片由香港警务处和凤凰卫视联合制作，披露2019年下半年香港暴乱中，一群香港警察艰难的工作和心路历程……
1677598032# #晚安《Feelings》
1650308060# #美食
1658046485# #生活常识人生的复盘。年轻人切不可被物欲横流的短期社会现象迷惑！。要守得中正，据义逐利！。修养是一种传承，从内知发出的良知！。与李家、许家之流相比。谁更高贵？。类似的企业家还有曹德旺先生。不管身处何方，何种体制，良知从内心发出的一一为人民服务！
