1696487887# #能打败全红婵的只有记者看的出来能打败全红婵的只有记者，采访比拿金牌都难！
1695254859# #为什么大家都不喜欢抓娃娃了突然明白为啥我从不喜欢抓娃娃，因为没有进度条。同时讨厌所有没有保底的游戏，你可以概率低，但是要让我看到成功的可能！
1694833300# #面霜被小孩当酸奶舔了一口面霜被亲戚家小孩当成酸奶舔了一口，一整个震惊
1696861043# #为什么很多人都设置三天可见为什么很多人的朋友圈都设置仅三天可见！
1692318451# #校服裤是广东省的省裤吧没有比校服裤更好穿的的裤子了吧，舒服好看永不过时！
1692670330# #为什么中医总是不建议吃水果水果是大家非常喜欢吃的食物，解渴、甘甜、味美。水果虽好吃，但不是适合所有人！
1691591114# #折耳根的受众群体到底是谁折耳根的受众群体到底是谁？
1687915122# #面试完后公司给我报销了路费面试完后公司给我报销了路费
1695866075# #爱不爱吃螺蛳粉的都沉默了真的有人这样吃吗？喜欢吃螺蛳粉跟草莓的都沉默了
1692144787# #这种吸管的受众群体到底是谁这种三个孔的吸管受众群体到底是谁啊
1694049749# #怎么方便怎么来，自己喜欢就好，管他呢！
1699105827# #原来牛仔裤不能经常洗我一直以为我的裤子是因为晾干的时候没有整理好好，才发现是因为洗的太多次了，不过肉眼看起来没有这么皱巴的
1693195681# #父母辈为什么不喜欢吃烤肉带爸妈吃过一次烤肉他们就再也不想吃了，但是新开了一家很好吃，感觉他们平时吃饭多点
1688791143# #千万不要再长期戴耳机听歌了千万不要再长期戴耳机听歌了，太可怕了！
1688899813# #父母总是惦记着我有多少钱父母总是惦记着我有多少钱
1694264685# #为什么川渝女生的皮肤那么好旅游的时候发现川渝女生身上都有一些松弛感，不刻意打扮自己那种，而且皮肤看着都好好啊！
1689328760# #这汉堡是来报恩的吧这汉堡是来报恩的吧送花花
1694053294# #这是把家搬到学校去了吧这是去上学还是去搬新家
1693906843# #原来一千根头发只有这么点原来一千根头发只有这么点，那我每天不得掉好几百根
1695376398# #为什么在重庆没人骑自行车来重庆玩的外地朋友很诧异为什么重庆没有共享单车，这就是答案
1690714792# #受伤后去医院被医生嘲笑了受伤后去医院被医生嘲笑了
1697683815# #原来工资是可以不用上交的你上班赚的钱有没有上交过家里呢？
1694303346# #苏州连辣椒炒肉都是甜的吗一直觉得我老家那边菜已经算偏甜口的了，到了苏州才发现几乎全是甜的，点了五六个菜全是
1690036251# #室友的营养全被头发吸收了室友的营养全被头发吸收了
1688473057# #婆婆住院后该不该陪床伺候婆婆住院后该不该陪床伺候
1690207032# #才知道南方的李子又脆又甜才知道南方的李子又脆又甜
1701921496# #可是真的有人特别喜欢打电话，屁大点的事就要打电话，而且不分时间段允悲
1702353530# #因为好看买了100多个杯子在家里，关键都还不用笑cry
1703389865# #不好意思我脑海里第一个想到了（孙悟空）允悲
1702731916# #跨年的烟花可以有多浪漫跨年的烟花可以有多浪漫🎆
1688887210# #因为不爱说话结果被辞退了因为不爱说话结果被辞退了
1689928624# #出去旅游千万别住便宜酒店出去旅游千万别住便宜酒店
1702950416# #在西安用VR和兵马俑聊上天了栩栩如生。西安博物馆的显眼包复活啦
1702548685# #狗狗在驿站偷吃别人的狗粮去拿快递看到，刚想笑出声的时候才反应过来，这就是我要拿的快递啊！
1695383032# #原来末班的地铁是这样子晚上团建做未班地铁回家，应该是第一次坐末班地铁，车厢空荡荡的，竟然有点不适应~
1689127583# #提前三分钟进公司被开除了提前三分钟进公司被开除了
1703205591# #为了让工资低的人心甘情愿的继续当奴隶跪了
1696148781# #用过的洗脸巾还能用来干什么只是用来擦擦脸擦擦手，丢了又觉得好可惜，不知不觉攒了好多用过的
1689842341# #拔完牙竟然有这么多注意事项拔完牙竟然有这么多注意事项
1688352023# #全麻手术醒后真的会说胡话全麻手术醒后真的会说胡话
1692836103# #为什么广东人煲的汤非常好喝之前在广东喝过一次本地人煲的汤，为什么广东人煲的汤非常好喝
1689496524# #你生日那天离什么节日最近你生日那天离什么节日最近？
1694390944# #原来山西竟然有这么多座山山西不愧是山西，竟然有这么多座山
1694396328# #长期喝黑芝麻糊真的能生发吗长期喝黑芝麻糊真的能生发吗？
1693796714# #指甲上一个月牙都没有听说月牙越多代表身体越好，当我注意时就只有大母手指有月牙，现在大拇指上月牙也快没了允悲
1688267217# #通知书发到朋友圈后焦虑了通知书发到朋友圈后焦虑了
1693618841# #重庆人都是坐在路边吃饭的吗不懂就问，重庆人都是坐在路边吃饭的吗？
1688212337# #高考没考好平板被爸爸摔坏了高考没考好平板被爸爸摔坏了
1694919345# #江苏地铁上遇到的显眼包“你怎么知道我要去看五月天演唱会”显眼包真是无处不在允悲
1688914697# #没想到发朋友圈被同事阴阳了没想到发朋友圈竟然被同事阴阳了
1689174619# #婚纱照发朋友圈被亲戚说了婚纱照发朋友圈被亲戚说了
1693618648# #第一次想用猥琐形容电瓶车这辆电瓶车太猥琐了，不过我真的好喜欢！
1689382234# #看得出来狗狗也不喜欢上班拉着个脸，看得出来狗狗也不喜欢上班
1693666945# #被室友的床垫惊呆了我们宿舍是上下铺，位置小，所以收纳是真的很重要！睡我下铺的室友是真的牛！飞我今天就被她的床垫惊呆了！没铺开到时候就是方方正正的一个，不知道的还以为是叠的被子，哈哈哈
1692716520# #侧躺玩手机容易导致斜视千万不要再侧躺着玩手机了，太容易斜视了
1697899016# #骑马时的丁真也太帅了吧骑马时的丁真又酷又飒，太厉害了吧笑哈哈被骑马时的丁真帅到了
1697457614# #周末无聊的人有福了再也不怕周末无聊了，一个人的周末也可以过的很充实
1688383485# #聊天时最反感别人你什么聊天时最反感别人你什么？
1700797728# #第一次滑雪需要准备什么装备喜欢滑雪的人有福了
1700786107# #懂英语和不懂英语的都沉默了懂英语和不懂英语的都沉默了...微博喜剧现场
1689660910# #没想到狗狗竟然也会有脚汗没想到狗狗竟然也会有脚汗
1688566640# #怀孕七个月还是不想领结婚证怀孕七个月还是不想领结婚证
1691114237# #不致命但很折磨人的慢性病不致命但很折磨人的慢性病，冷空气过敏，冬天真的好难
1691676487# #我妈把我的衣服给狗狗穿上了我妈把我的衣服给狗狗穿上了
1697551526# #在重庆回家到底有多难重庆的路况也太复杂了吧，我在重庆的话肯定是天天迷路！
1689154161# #两万存款两个星期花了一万九两万存款两个星期花了一万九
1691986854# #出去旅游再也不穿马面裙了自以为很美，结果看到照片影响了我一天的心情
1689222928# #相亲男生把我一个人丢在外地相亲男生把我一个人丢在外地
1693839059# #为什么年轻人不愿意逛菜市场为什么年轻人都不愿意去逛菜市场？
1688828031# #研究生学费太高妈妈不让读了不上的话太可惜了
1689475308# #没想到化完妆变成王祖贤了没想到化完妆变成王祖贤
1692500473# #为什么男生都不喜欢吃韩料为什么身边很多男生都不喜欢吃韩料？
1688610753# #为什么酒店房间会放四个枕头为什么酒店房间会放四个枕头
1694956681# #为什么宁波人都不喜欢坐地铁宁波的怪现象之一，下班高峰期，很多地铁站冷冷清清，而地面道路堵的一塌糊涂
1694869600# #刚开学就开始讨厌室友了这才刚开学几天，我们宿舍的公共洗衣机有一个室友老是用来洗袜子和内裤，我真的很崩溃！
1690715063# #为什么老师会没有朋友圈自由为什么老师会没有朋友圈自由
1690248234# #狗狗的牙齿竟然是小手套形状狗狗的牙齿竟然是小手套形状
1688702385# #在西藏被下了病危通知书大家去西藏一定要谨慎！
1696564209# #看得出来全红婵很喜欢盲盒见到盲盒后的全红婵眼神一直在盲盒上，视线一刻都不能离开
1688118373# #家里太乱被婆婆发朋友圈阴阳了家里太乱被婆婆发朋友圈阴阳了
1689654405# #为什么山东人都喜欢吃饺子为什么山东人都喜欢吃饺子？
1693873696# #你见过哪些无用的节俭行为你见过最无用的节俭行为是什么呢？
1703048439# #总要去西安看一次兵马俑吧总要去西安看一次兵马俑吧，真的太震撼了！
1687308900# #假如手机后三位是你家的面积假如手机后三位是你家的面积
1687852999# #最好的朋友突然不回我消息了最好的朋友突然不回我消息了
1688524772# #不结婚的话该如何收回份子钱不结婚的话该如何收回份子钱
1689904769# #没想到鼻炎也是需要忌口的没想到鼻炎也是需要忌口的
1691203626# #为什么不能在厕所里喝醒目为什么不能在厕所里喝醒目
1690369120# #男朋友在我车上放了定位器男朋友在我车上放了定位器，我该怎么办？
1688812488# #请假领导不批还被阴阳怪气了请假领导不但不批，每次还问我请假干什么
1696463858# #没想到脱发是要忌口的一直都没忌过口，吃的东西也挺杂，头发框框掉，还以为食经常熬夜，去看了才明白是要忌口的，坚持了两个月的忌口，现在每次洗头掉发就几根，坚持还是有用的！
1687482390# #没想到别人的工资打我卡上了没想到别人的工资打我卡上了
1696773629# #被韩国的饭菜整破防了大部分人每天吃的都是米饭和泡菜，韩国人真的每天都吃这些吗？
1694306448# #江浙沪真的没有夜生活吗晚上过了九点后，街上基本就没啥人了
1697379392# #为什么饮水机都在厕所旁边机场的高铁站的都是，为什么饮水机都在洗手间边上啊？
1696773277# #为什么女生都喜欢吃韩餐为什么身边的女生都喜欢吃韩餐？
1691977727# #不晒被子床上会有螨虫吗不晒被子床上会有螨虫吗
1696602439# #浙江农村自建房都长这样吗小时候经过这样的房子，就不止一次幻想自己有一天是房子的主人！
1688172579# #考编上岸之前不要告诉任何人考编上岸之前不要告诉任何人
1694482374# #男朋友洗碗时竟然不用洗洁精平常是我做饭他洗碗，但有好几次发现洗好的碗摸起来还是油的，我询问他才得知他根本不用洗洁精洗碗
1696169504# #原来1000根头发竟然有这么多突发奇想收集掉的头发，一个多星期已经收集1000根了，跟自己头上的毛对比一下，没事儿还有掉的空间
1687506324# #高铁上被一对情侣要求换座位高铁上被一对情侣要求换座位
1701170087# #这滑板玩的也太丝滑了吧这滑板玩的也太牛了吧，这肯定摔过不少次！
1688345898# #婆婆对我许诺的事情都做到了婆婆对我许诺的事情都做到了
1693839192# #为什么现在退房都不查房了为什么现在退房都不查房了？
1695255041# #韩国人都不穿彩色的衣服吗在韩国根本看不到别的颜色的衣服，大部分都是黑色的，韩国人都不穿彩色的衣服吗？
1689396295# #太耽误你学习了，快让我抱走开学季
1702699372# #2023陪你跨年的人还在吗
1690207048# #上岸后最好的朋友不理我了上岸后最好的朋友不理我了
1698799215# #一个寝室四个彭于晏我直接好家伙，一个寝室里有四个彭于晏
1688892807# #七年没见的妈妈给我发短信了七年没见的妈妈给我发短信了
1694391159# #隔夜的西瓜真的不要再吃了血泪教训，买了半边麒麟瓜，头一天晚上吃掉了一部分，剩下的放冰箱了，第二天又吃了剩下的。直接吃到急性肠胃炎了，输液输了四瓶，又开了好多药
1689928420# #糖尿病并发症结果我瞎了糖尿病并发症结果我瞎了，视力变成了0.2和0.15了
1696431427# #油条的最佳搭配是什么你认为油条的最佳搭配是什么呢？
1688438819# #男朋友身高太矮被父母嫌弃了男朋友身高太矮被父母嫌弃了
1689497021# #当猫猫被蜜蜂蛰了一下后当猫猫被蜜蜂蛰了一下后
1688734679# #7k双休和8k单休你选哪个7000双休和8000单休你怎么选？
1689390839# #七年没见的妈妈给我发了短信七年没见的妈妈给我发了短信
1688776448# #妈妈拿我的钱偷偷给弟弟买房妈妈拿着我的钱，偷偷给弟弟买房了
1699107739# #这钱还是让宠物店老板挣吧谁懂啊，给狗剃毛真的会崩溃，感觉嘴里都是狗毛
1698365807# #保护自己珍贵的专注力保护自己珍贵的专注力
1696131285# #马龙的巅峰期为什么会这么长马龙的巅峰期为什么会这么长？不愧是六边形战士！
1702732537# #有哪些适合跨年的浪漫文案有哪些适合跨年的浪漫文案？
1696688332# #不会剥柚子的人有福了柚子这样剥省时又省力，不会剥柚子的人有福了
1695633060# #被爷爷那辈人的爱情甜到了下班地铁上看见的爷爷奶奶，一瞬间被触动到，最浪漫的事就是手挽手与你一起变老了吧
1696591264# #地铁上的禁止标越来越离谱了现在地铁上的禁止标越来越离谱了，真的有人在地铁上这样吗？
1690600427# #为什么狗狗的牙齿那么白为什么狗狗的牙齿那么白？
1702007195# #买了否冷
1690456625# #睡梦中打人居然是帕金森前兆睡梦中打人居然是帕金森前兆
1688607169# #恋爱七年的男友跟别人闪婚了恋爱七年的男友跟别人闪婚了
1688465336# #大家千万不要去尝试群演行业大家千万不要去尝试群演行业
1687253568# #年轻人为什么会反感家里来客年轻人为什么会反感家里来客呢？
1694126111# #会瘦，但是一旦吃了就会反弹而且是加倍的，还会得胃病长期吃药这...允悲
1691676468# #订婚宴闺蜜给我送了个空盒子订婚宴闺蜜给我送了个空盒子
1690382163# #狗狗就是我减肥路上的绊脚石狗狗就是我减肥路上的绊脚石，每次把瑜伽垫铺上狗狗就直接躺上去了，一整个绊脚石
1695439682# #被杭州路边的绿化惊呆了杭州为了亚运会有多拼，路边的绿化太牛了，到处都是花花
1688525112# #因为考编结果被领导辞退了因为考编结果被领导辞退了
1688806937# #聊天时真的好反感长语音好朋友的话我会比较担心，直接电话，家人的群，会一个一个听下去，普通朋友的话，在开始或者第二条就是“？”或者“有事吗？”，一般不会出现后面的问题了。
1697551151# #为什么会在小便池里放冰块去商场上厕所，结果发现小便池里有冰块，为什么会在小便池里放冰块呢？
1692526201# #为什么有些火车票字迹会消失突然发现自己收藏的车票有的字迹已经消失了，为什么有的火车票字迹会消失
1688696845# #全麻手术醒后开始说胡话了全麻手术醒后发现自己说胡话了
1692022588# #为什么很多人会用陈皮当嫁妆为什么很多广东人会用陈皮当嫁妆
1694306042# #家里有没有必要安装小便池家里有没有必要安装小便池呢！
1689125111# #因为有狐臭结果被公司辞退了因为有狐臭结果被公司辞退了
1687304654# #没想到奶茶的热量竟然这么高没想到奶茶的热量竟然这么高
1694044145# #你最反感宿舍里的哪种人一想到要回宿舍就头疼，大家有没有讨厌的人或者行为，趁着这个时间，把一些规则添加到宿舍里
1695866355# #原来共享单车轱辘是实心的原来共享单车用的是实心轮胎，难怪每次骑完感觉都要被震出脑震荡了
1687658699# #如何看待发朋友圈带定位的人如何看待发朋友圈带定位的人
1700792365# #它自己就一副没睡醒的样子好像我早起叫我儿子早起上学允悲
1692630305# #被体重90斤同事的饭量惊呆了办公室上周入职了个特别瘦的女生坐我对面，没想到一顿吃这么多还这么瘦
1688778561# #没想到竟然被妈妈催生了还好我没有被妈妈催生
1687400309# #为什么当代年轻人都反感相亲为什么当代年轻人都反感相亲？
1688545773# #好朋友从来不给我点赞朋友圈这有啥问题吗大家不都是这样吗
1697982348# #拥有一个亿可以有多痛苦拥有一个亿也是非常痛苦的
1697636596# #没想到猫猫躲进被窝里了把猫猫平时爱躲藏的地方找了个遍，结果藏在了被窝里
1688702691# #爸妈想花一百万让我读悉尼大学爸妈想花一百万让我读悉尼大学
1694318769# #开学第一天家人在食堂吃的饭开学的第一天，全家人在学校食堂吃的饭，哈哈哈哈
1692368277# #为什么现在很少见到长发及腰前几年及腰发还挺火的，身边好多姐妹头发都好长，最近感觉及腰发越来越少了
1690772573# #不要同一时间点好几家外卖不要同一时间点好几家外卖
1697635226# #现在卖甘蔗都这么卷吗路边卖甘蔗的把我惊讶到了，直接把甘蔗切成了块
1689864099# #朋友圈哪些行为会令人反感朋友圈哪些行为会令人反感呢？
1701066078# #科目一考了20次都没通过科目一到科目四直接一把过了开学季
1687681594# #下雨天真的不要再催骑手了下雨天真的不要再催骑手了
1698154347# #频繁发朋友圈真的会让人反感吗我几乎每天都要发个圈，总觉得每件平凡小事都想要记录一下，几乎都是生活里的琐碎日常，虽然点赞越来越少，评论越也寥寥无几，也不影响我每天记录当下的美好，一直活在自己的世界里记录着
1690978207# #没想到南方的李子又脆又甜震惊了北方人一整年，没想到南方的李子又脆又甜，我一定不是最后一个人知道的吧
1687911817# #室友睡过头的话你会喊他们吗室友睡过头的话你会喊他们吗？
1692930402# #一个人可以去吃广东早茶吗想问下广东的小伙伴们，是不是很少有一个人去吃早茶的呀？
1695006987# #为什么下雨天睡觉会睡得更香真的好喜欢在下雨的时候睡觉了，下雨睡觉这种感觉真的太舒服了，有跟我一样的吗？微博手机影像年生活
1688296706# #没人点赞朋友圈是人缘不好吗没人点赞朋友圈是人缘不好吗
1698326317# #被合租室友整破防了室友天天做完饭也不收拾，灶台我真的没眼看…垃圾也不扔，又臭又脏，实在受不了了⋯跟她说了她也不听，该怎么办啊！
1692195584# #给狗狗买的洞洞鞋有点显小了没想到给狗狗买的洞洞鞋有点显小了，这家伙脚还挺大的
1689949262# #千万不要同时点好几家外卖千万不要同时点好几家外卖
1688709920# #确诊糖尿病后被女朋友分手了确诊糖尿病后被女朋友分手了
1692679515# #原来吃馒头真的会瘦下来长期吃粗粮本来就难消化，肠胃不好的更不适合。吃得很少但还是掉秤难多半是代谢慢了，长期下去也瘦不到哪去。想提高身体代谢还是得多吃馒头
1687664048# #你会在意朋友圈点赞和评论吗你会在意朋友圈点赞和评论吗？
1688734832# #在办公室不小心打了领导一拳在在办公室里练习军体拳，结果不小心打了领导一拳
1691562650# #不要买印有不认识语言的衣服不要买印有不认识语言的衣服
1703132421# #跨年时最有氛围感的城市，今年你会在哪个城市跨年呢？微博跨年狂欢节微博跨年二创俱乐部
1692111173# #高铁上最令人反感的行为高铁上脱鞋已经够让人反感的了，没想到还要把脚放在小桌板上
1690036767# #室友的营养全被头发吸收了室友的营养全被头发吸收了
1688001363# #千万不要用酒店里的任何东西千万不要用酒店里的任何东西
1692500517# #为什么会有八人寝的宿舍存在为什么会有八人的宿舍在啊，东西有多叉挤，感觉地上衣服床铺上都是螨虫….
1692022596# #万万没想到马桶还有双人的为什么会有双人马桶的存在，直接被震惊到了
1688803045# #在医院实习被带教老师吐槽了发疯就行了呆头呆脑的他除了不敢惹有关系的估计就还不敢惹有病的谁会想被有病的缠上呢dogedoge
1701219504# #原来滑雪也有黑话你知道抢粉是什么意思吗？
1687742144# #你发朋友圈会不会屏蔽同事你发朋友圈会不会屏蔽同事呢？
1690127894# #频繁换头像是情绪不稳定吗频繁换头像是情绪不稳定吗？
1694828931# #被朋友家里的厕所惊到了问了朋友才知道，这是蹲坑马桶，专门装在公卫给客人或者亲戚用的，可以蹲、可以坐，比马桶更卫生，打扫起来也更方便。不得不说，考虑的太周到了！
1695168369# #现在的洗衣机还能蒸馒头吗现在的洗衣机都能蒸馒头了吗，洗一个被子，还我一个大胖馒头，连褶子都没有
1696516101# #为什么国庆有这么多人结婚国庆节就八天假期，四五个要结婚的，巧的还是几乎隔一天一个，真的工资都不够随份子的
1692429392# #为什么睡觉会越睡越困为什么觉睡得越多反而越困？
1693224060# #为什么广东人喜欢用不锈钢广东人民对于不锈钢盘真的很执着，属于是能用不锈钢盘装菜就坚決不会用陶瓷的，除非盘子不够才会勉强用一下
1688623180# #结了婚才发现父母并不爱自己结了婚才发现父母并不爱自己
1687849986# #朋友想带陌生人参加我的婚礼朋友想带陌生人参加我的婚礼
1702786060# #好可怜的狗狗，眼睛里长了息肉……泪
1692368260# #原来朝天椒真是朝天上长的哈哈哈哈哈我一定不是最后一个人知道朝天椒真是朝天上长的吧
1694874478# #这是倒了一整桶洗衣液吗允悲
1700797467# #现在的马拉松有多卷现在马拉松真的卷，完赛包里的东西越来越多了！
1693139621# #当男朋友吃完鸭脖后他吃的这么干净也就算了，为什么还是一整根，太牛了吧
1689508628# #爬完泰山真的能瘦几斤吗想问问大家爬完泰山真的能瘦几斤吗？
1689952045# #再也不会跟好朋友一起合租了再也不会跟好朋友一起合租了
1689639942# #热水器洗澡时需要拔掉插头吗之前看到过很多人被电的案例，想问问大家用热水器洗澡时需要拔掉插头吗？
1689603564# #咖啡盖子上的按钮是干嘛的咖啡盖子上的按钮是干嘛的？
1698640563# #我班上：臣妾要告发熹贵妃秽乱后宫罪不容组
1690715444# #面试时你会写真实的信息吗面试时你会写真实的信息吗
1696688891# #因为下雨晒的柿子全部发霉了因为下雨，辛辛苦苦晒的500个柿子全部发霉了
1699108422# #找工作因为网名被hr拒绝了人都给我笑拥咧…就因为我的网名是“凶手”求职被拒绝了
1696130684# #孙杨的记录竟然被韩国人打破了韩国泳将金禹旻打破的是孙杨保持的男子800米自由泳的亚运会赛会纪录
1694174885# #来广东后突然开始长痘脱发之前在北方三天洗一次头，在广东油得快，隔一天洗一次还掉特别多，几年没长过痘痘，现在眉心和鼻子不停的长，这是为啥啊？
1701168450# #瘦不下来的朋友有福了帮你提前布局好2024年的减减规划，现在开始提前学习，明年直接变美！
1689508868# #这拉布拉多像极了拉布拉猪这拉布拉多像极了拉布拉猪
1693926643# #爱吃香菜和蛋糕的都沉默了喜欢吃香菜跟蛋糕的人有福了
1696344906# #广州地铁又要多一个禁止标了没有离谱只有更离谱，不知道是谁把衣服晾在了地铁上
1693186986# #被浙江农村的房子惊艳到了不敢相信这是浙江的农村，有被惊艳到
1700878939# #他自己开口都懵逼了，笑死我了哈哈哈哈哈哈哈哈哈他自己都不知道怎么会发出来这个声音
1690254816# #原来芒果核还可以当宠物养原来芒果核还可以当宠物养
1694052890# #聊天时反感别人你什么聊着聊着扣了个6
1697464489# #韩国人晚上真的不睡觉吗韩国人晚上真的不睡觉吗？
1693625538# #重庆是一个包容性很强的城市地铁上摆了个小餐桌，真的太随性了
1691850971# #欧洲人果然不会亚洲蹲欧洲人果然不会亚洲蹲
1690683257# #云南医院展示柜里都是毒蘑菇云南医院展示柜里都是毒蘑菇
1689246221# #上岸后被一起考研的朋友拉黑了上岸后被一起考研的朋友拉黑了
1690444968# #公司领导把实习生当小孩在哄公司领导把实习生当小孩在哄
1694091262# #吃葡萄干之前要不要清洗一下吃葡萄干之前到底要不要清洗一下！
1688614291# #收到offer后结果被拒绝入职了收到offer后结果被拒绝入职了
1692144795# #在办公室养了一盆橘子绿植关于我在办公室养了一盆橘子绿植这件事
1687435805# #在高铁上吃泡面被教育没素质在高铁上吃泡面被教育没素质
1689638982# #为什么海底捞有这么多摄像头为什么海底捞有这么多摄像头？
1691066580# #被医生告知吃米饭不会长胖被医生告知吃米饭不会长胖
1704014675# #各个地区跨年时的名场面，今年你会在哪里跨年呢？
1692500526# #酒店的拖鞋也会重复使用吗在一个五星级酒店拍到的，不知道这些是继续给客人使用呢，还是给员工去用
1693625359# #为什么广西的烧烤是甜的为什么广西的烧烤是甜的？
1702859603# #适合12月31日的跨年文案“我与旧事归于尽来年依旧迎花开”
1689995840# #你会在厨房里面安装空调吗你会在厨房里面安装空调吗？
1697414749# #蒸的很好，下次不许蒸了doge
1688949446# #看到保洁阿姨的工资后失眠了看到保洁阿姨的工资后失眠了
1696309539# #全红婵跳水看呆了外国网友全红婵水花消失术，直接看傻了外国网友！
1689153691# #用勺子吃饭被男朋友说没教养用勺子吃饭被男朋友说没教养
1701490091# #你可以收我20块，但不能卖15然后让我出5块邮费开学季
1696647029# #陈若琳对全红婵是满满的偏爱陈若琳对全红婵是偏爱，是例外！
1688697902# #请了几天假结果被公司辞退了请了几天假结果被公司辞退了
1689329616# #公司的下午茶是一人一块榴莲这是我的梦中情司了
1695432028# #四川的湿气可以有多重今天晚上去吃胡辣汤，刚炸好的油馍头端上桌，香香脆脆的，等我喝了几口豆腐脑，吃了一块牛肉盒子，和同事讲了几句话，再去夹，就变成绵软的了
1688518838# #被开除的原因竟然是太瘦了被开除的原因竟然是太瘦了
1689777397# #千万别让父母参与你的装修千万别让父母参与你的装修
1697810968# #才知道列车开头字母的含义我一定不是最后一个知道的吧
1688625965# #同个科室的两个人同时怀孕了同个科室的两个人同时怀孕了
1694996863# #为什么音乐节都是这种厕所去了两次音乐节了，这种厕所真的好热，夏天进去待个两三分钟都感觉要闷过去了，为什么不能弄个透气一点的呢？
1688263184# #每次跟父母要钱都感到很惭愧每次跟父母要钱都感到很惭愧
1702698692# #2023陪你跨年的人还在吗2023年陪你跨年的那个人还在你身边吗？
1692429377# #在日本12年第一次被撬门记得刚到日本时，前辈说日本很安全，大家都不锁房门。没想到昨天下班回家，房门被戳了一个洞。
1703862651# #李健老师看着好清澈，干净送花花
1695092827# #为什么广东人大部分都很瘦难道是因为广东热的太久了大家吃饭都没什么胃囗？还是因为广东的饮食清淡所以不太容易发胖啊
1689033245# #男朋友对我隐瞒了他的心脏病男朋友对我隐瞒了他的心脏病
1695212744# #没想到一整箱猕猴桃都是生的每个都超级大，放了一个多星期一点都没软，果断把一箱都切开了，嘎嘎生像苹果一样脆
1689489312# #婚纱照发到朋友圈被亲戚说了婚纱照发到朋友圈被亲戚说了，心里挺不是滋味的
1690382205# #当我不小心踢翻猫猫的饭碗后当我不小心踢翻猫猫的饭碗后，猫猫一脸不可置信的表情
1689174876# #考上研究生之后却不想去读了考上研究生之后却不想去读了
1687688503# #资助了三年的妹妹能上985了资助了三年的妹妹能上985了
1688272302# #高考364分有必要复读一年吗高考364分有必要复读一年吗
1690249625# #指甲上长出一条黑线会癌变吗指甲上长出一条黑线会癌变吗
1696517189# #才知道百香果还有甜的来了广州才知道百香果居然是甜滋滋的。原来不是不爱吃，只是没吃到甜的，我爱百香果
1687181765# #同事离职我干了两个人的工作同事离职后，领导让我干了两个人的工作
1688209043# #亲戚把我的通知书发朋友圈了亲戚把我的通知书发朋友圈了
1689483886# #被商家的这段文字暖到了被商家的这段文字暖到了
1692661508# #当然，减肥就是要多吃蛋白质，你看那些食草动物哪个体型是瘦的呢偷笑
1695383268# #上公厕时你会给马桶垫纸吗在外面上厕所的时候，你会给马桶周围垫纸巾吗？
1690368635# #公婆为我的婚礼种了一片草地公婆为我的婚礼种了一片草地，这一些些又不仅仅是这些，真的让我很感动，他们真是善良且浪漫的人呀！
1687913728# #不提雨怎么能描述雨很大不提雨怎么能描述雨很大？
1701227690# #把爱好变成了自己的工作从小喜欢画画，成为艺考生，选择艺术设计专业，从事设计工作，一切都顺理成章，也在规划以内！微博喜剧现场
1694833796# #没有一个备婚人是不发疯的自己在网上买的喜糖盒，每一个都是自己包的红包，也是自己一个一个包的还好有朋友帮忙！大家在一起行动真的很快！参与感真的太强了！真的是一次不错的体验！
1689584593# #没想到狗狗坐车竟然也会晕车没想到狗狗坐车竟然也会晕车
1694404348# #听说是以前有人在垃圾桶里放过炸药，不知道真的假的允悲
1695431309# #广东人吃月饼要切着吃吗听说只有广东人才这样切着吃月饼的，别的地方都是一整块吃的，真的吗？
1696773394# #财富自由后的第一件事是什么假如你财富自由后，你要做的第一件事是什么？
1690077451# #漂流的时候一定要穿条长裤漂流的时候一定要穿条长裤
1689584280# #这种阳台需要封透明玻璃吗这种阳台需要封透明玻璃吗？
1690341797# #科目二比四六级压力都大科目二比四六级压力都大
1693009730# #喝奶茶时最讨厌的小料是什么椰果！！
1688445993# #不致命但是却很烦人的慢性病不致命但是却很烦人的慢性病
1687224352# #原来快递小哥能看到快递信息原来快递小哥能看到快递信息
1688258089# #复读两年高考成绩还是不理想复读两年高考成绩还是不理想
1698241916# #这柚子是非吃不可吗切一半都没看到柚子肉，这柚子不吃也罢
1696149038# #喜欢吃月饼和白粥的都沉默了白粥配月饼，这样的搭配相当炸裂
1689604774# #为什么试衣间里会有摄像头离了个大谱，今天去商场买衣服，结果进试衣间试衣服的时候发现有摄像头，现在都这样了吗？
1691154993# #那些你不需要感到内疚的事那些你不需要感到内疚的事
1689578428# #吃完菌子后发现妈妈说话有字幕有次在家吃了云南朋友送的菌子，刚开始觉得没什么我以为没中毒，之后逗猫的时候它突然来了句我饿了
1701219120# #会跳街舞的男生也太帅了吧这街舞跳到我的心巴上了
1689483245# #狗狗爬山前后的精神状态对比狗狗爬山前后的精神状态对比
1694475176# #为啥飞机商务舱一直拉着帘子真的没有人不好奇里面在干嘛吗？哈哈哈话说如果不拉帘子，会发生什么？
1689689979# #没想到刘星家里当时那么有钱没想到刘星家里当时那么有钱
1691850993# #没想到坐了趟火车鞋被偷了没想到坐了趟火车鞋被偷了
1696464065# #为什么威海街上有很多韩语为什么威海街上有很多韩语，难道威海有很多韩国人吗？
