1691972540# #投资是令人激动和愉快的事，但如果不作准备，投资也是一件危险的事情。
1691595482# #投资的四步曲：。1、找到好公司，60%的人不会。。2、找到估值区，90%的人不会。。3、耐心持有，97%的人等不及。。4、高估值时卖出，98%的人不会。。完成1比较容易，完成2的成功了一半，完成3就不是“正常人”了，完成4的就是超级人类了。（转）
1697331017# #赞
1696471881# #转发微博
1703254166# #收藏起来试试
1699540745# #哈哈哈哈哈哈
1693139020# #你信也好，不信也罢，。人的财富和一个人的运势有极大关系，。你走运时，钱就是会追着你跑，。你不走运，任你如何折腾也无济于事。。。你去想，。有些人并没有你优秀，。也没你学历高，。甚至起步都没有你高，。为什么如今的他，。却比你有钱，。根本原因就是他有运势！。。那运势是怎么来的，。说白了，就是你修心修
1701314328# #赞赞
1699328611# #码住慢慢看
1688660801# #动作影片《危机13》高清完整版，码住慢慢看
1700404654# #收藏学习
1698742967# #转发微博
1693529286# #【宏观：个税加大抵扣力度，或边际提振消费】2023年起，个税加大抵扣力度，3岁以下婴幼儿照护、子女教育、赡养老人三项专项附加扣除标准提高。此次个税抵扣力度加大主要惠及个税缴纳人群，个税调整可能覆盖不足10%的城镇居民。如果按照2019年实施个税专项附加扣除政策的影响简单测算，此次个税调整潜
1703466616# #有用。
1691248284# #手动点赞赞
1701144171# #收藏学习赞
1694355132# #救命帖，码住慢慢看！
1701446284# #JordanPeterson有史以来最励志的演讲之一good
1703387727# #收藏起来试试
1703637134# #转发微博
1698732625# #转发微博
1700184779# #人近中年后我才知道，。为什么刚开始都很善良的人，。越往后会变得越冷漠！。。就是因为这么多年来。该善待不该善待的人都善待了，。到最后却换不来半点认可和回应。。。别人犯了错，自己得饶人处且饶人，。自己犯了错，别人却得理不饶人。。。别人困难的时候，自己掏心掏肺，。自己困难的时候，别人却推三阻四。。。
1694327531# #现在依然很漂亮鲜花鲜花
1690903541# #啥意思，谁解读一下？
1700301882# #男人不坏女人不爱！
1703862850# #码住慢慢看！
1702794684# #这种身材，90%的男人都喜欢吧？
1692178799# #过去20年最好看年代剧：。7、人世间。6、白鹿原。5、大江大河。4、亮剑。3、父母爱情。2、闯关东。1、大宅门
1692628213# #转发微博
1696427855# #收藏备用
1688727423# #赞
1693139035# #半夜鸡叫，明天股市暴涨。。。请当心高开低走！。。历史8次降印花税。。。每次大盘都是暴涨。。。成交量爆量70%以上。。。请坐好扶稳。。。祝贺散户挣大钱。
1701488517# #转发微博
1697903002# #码住慢慢看
1695722623# #先马后看
1703487220# #手动点赞
1693205416# #码
1690383228# #码住试试吧
1692514909# #码住慢慢看
1703343777# #这女的一看就是阅历丰富，见过世面的，一堆男人围着丝毫不慌！
1699020734# #好人一生平安！
1698675474# #🙏
1694735430# #这是啥综艺节目？
1696401022# #医生越来越值钱，真的
1690344926# #2023年6月上市险企保费数据及投资建议：6月寿险延续向好态势，车险增速有所放缓.。。保险板块或基本触底，寿险中报可能超预期。本周十年期国债收益率下探到2.61%附近，汇率有所企稳，保险资产端下行压力影响有所加大，保险股震荡反复，悲观预期仍在萦绕。我们认为，保险负债端基本面延续弱复苏态势，随着
1702482747# #今天特地重看一遍《南京！南京！》，完全无法原谅当年侵华日军的滔天罪行！希望我辈自强，勿忘历史！
1700273705# #卧槽，看了两遍
1694964039# #你这样说会没有朋友的！
1693725229# #作家曾驿翔说：穷人穷口袋，富人富脑袋。。。一个人最可怕的，不是口袋没钱，而是脑袋空空。学会和富人一样思考，培养成为富人的习惯，你才能过上富足的生活。
1696309176# #码住慢慢看
1703684927# #马云的演讲总是言之有物，受益匪浅。
1694742908# #再肆意妄为的做空抓人并不是不可能
1702825166# #码住慢慢看！
1699800216# #易中天老师哥伦比亚大学讲座：中国历史纵横谈。
1695315003# #所谓常识，是因为普通人不具备常识。我们说某人有常识，其实是说他有常人所没有的常识。人们以为拥有常识很容易，其实非常难。——查理·芒格
1691682286# #好看
1697897047# #为什么要多读书？
1701243597# #转发微博
1695395440# #收藏goodgoodgood
1703396841# #先码后看！
1698845172# #码住慢慢看
1694998257# #受益匪浅，码住。
1703907042# #赞
1696161572# #无聊的形式主义！
1704203645# #转发微博
1694441428# #这种人就是欠收拾啊！
1687960069# #老舍原著改编经典爱情电影:《离婚1992》完整版。老舍先生最满意的一部作品，婚姻百态，道不清说不明的是夹杂在人性背后的丑恶！
1703767047# #请大家记住:这位英雄叫娄元庆，河南商丘睢县人，今天下的葬！
1695643293# #码
1703409388# #人心叵测。你的善良和温柔，在绝大数认知中属于软弱，有所求。所谓好和坏不过分别而已，问心无愧就好。
1702028434# #暖到了赞
1699193842# #这个孩子有骨气赞
1695956001# #回头看是真的不容易。
1703851268# #码住慢慢看
1700886025# #转发微博
1701530258# #码住备用！
1696170263# #林雨薇金牌，我好喜欢她
1694951420# #就怕越来越难允悲
1698732268# #赞赞
1690037117# #收了
1696143703# #码住慢慢听
1694962714# #这模特的身材还不如我老婆允悲
1703345257# #码住慢慢看
1699018914# #转发微博
1690721774# #明天小幅下跌的概率很大
1692855652# #转发微博
1700915423# #转发微博
1692759155# #四分钟带你了解围棋基本规则，转给喜欢围棋的孩子看看。
1699160015# #摘：本片用全新的视角，展示了一个你从未见过的、真实的伊拉克民族和伊拉克精神……
1699851223# #看片《攻心谍战》
1701318185# #转发微博
1696435950# #先马后看
1693529940# #【地产：时隔9年再次调整首付比例,betterlatethannever】8月31日央行/金管局联合发文，全面松绑购房杠杆，下调存量房贷利率，此次是时隔9年来再次调整首付比例。主要举措包括：1.统一全国商业房贷首付比例下限，首套房/二套房分别为20%/30%；2.统一贷款利率下限，首套房/二套房分别为LPR-20bp/+2
1696008243# #码住
1695808782# #心心
1688994819# #太暖心了赞
1697457593# #码
1692612724# #确实每次都有新问题，说“这次不一样”也没错。
1698934754# #码住慢慢看
1694166084# #小日本最坏，但只要你实力比它强，又狠狠揍过他，就像一只哈巴狗一样听话，比如现在在美国面前，就是一只超级听话的狗。
1702831204# #左脚起跳，空中滑步，一起感受体育的魅力！
1699241103# #要和平，不要战争
1699616277# #码住
1702102536# #国内首部深度探讨家庭情感教育的纪录片，推荐父母们都看看！
1696316736# #心
1695267349# #十一出游高峰如何预防流感秋季没有夏季炎热，也没有冬季寒冷，湿度和温度都比较适宜，但秋季同样也是适合病毒繁殖、传播的季节，特别是流行性感冒。因此，进入秋季之后一定要做好预防措施，降低流感出现概率。秋季防流感，这3招你必须知道！。。1.疫苗接种。接种流行性感冒疫苗，不仅能降低身体受到流
1700569433# #看完挺感动的！赞
1699019455# #太好看了！
1696416541# #都是至亲，拿一万二万不算多。
1704117185# #码住慢慢看
1691221193# #子曰：“过犹不及。事缓从恒，事急从权；事缓则圆，事急则乱。”
1694327457# #赞
1703853041# #码住慢慢看！
1693820744# #good
1696035475# #父母就是一面镜子，仔细回想他们身上有的缺点多少都会投射到你身上！
1695981440# #海姆立克自救法，了解一下ok
1695372424# #现在有钱当然是买股票，买黄金属于追高！
1690637756# #高分纪录片《马里亚纳海沟》
1690637698# #赞
1699082880# #码住慢慢看
1702905267# #收藏起来试试！
1703149529# #泪
1702788065# #追梦人千千阙歌
1700645444# #这个对话要听听！
1691660675# #码住试试吧！
1687264512# #希望有机会去荷兰呆一段时间
1699715203# #码住慢慢看
1704074770# #收藏起来试试
1700055601# #赞赞
1698730691# #哈哈哈哈哈哈
1697274644# #码住慢慢看
1687062084# #码住慢慢看
1698665773# #好可怕，吓得我准备戒了这种视频！
1699104173# #哈哈哈哈
1693009676# #经常买牛肉的人，一定要保存：。。1、牛身上最好的肉——牛腩肉。。。2、蛋白质丰富的肉——牛里脊肉。。。3、肉质比较鲜嫩——牛前肩肉。。。4、肉质比较硬和老——牛筋头巴脑。。。5、最受欢迎的肉——牛眼肉。。。6、全部是瘦肉——牛腱子肉。。。7、肉质紧实有嚼劲——牛黄瓜条肉。。。8、肥不腻有弹性——牛后腿肉
1689812485# #商务部外国投资管理司司长朱冰表示，我们将推动合理缩减外资准入负面清单，进一步取消或放宽外资准入限制。深化国家服务业扩大开放综合示范区建设，主动对照高标准经贸协议相关的规则、规制、管理、标准，推出新一批创新试点举措，稳步扩大服务业领域制度型开放。修订《外国投资者对上市公司战略投资管
1698243590# #转发微博
1701509530# #人这一生，真的也就那样！好好过好每一天，谁能知道意外和明天哪个先来？
1702822155# #精彩演讲，码住慢慢看！
1691917862# #道高一尺，魔高一丈。
1701765342# #涨知识了
1698680392# #转发微博
1699089839# #看得眼睛湿润了……
1701614541# #赞
1692094201# #值得反复的去看的一篇文章：《一文帮理清阶层固化》，看完后对阶层固化这个问题有了一定的了解。也明白了为什么“富人越富，穷人越穷”的现象。。文中指出了阶层固化的几大原因：。1.贫富分化。2.代际遗传。3.信息资源差距。看完后你认同作者的观点吗？
1692759789# #高手教你如何把握卖点，做过股票的都知道，会买的是徒弟，会卖的才是师父，今日分享四种离场的方法与思路，建议收藏学习。
1693960408# #农林牧渔行业2023年中报总结—养殖静待产能去化，种植关注生物育种产业化。。。生猪板块静待产能去化，板块估值低位，建议底部继续重点关注巨星农牧，稳健标的温氏股份、牧原股份，低估值的新五丰、唐人神、华统股份等。肉禽养殖景气有望边际修复，建议关注圣农发展、立华股份等。养殖后周期业绩稳健，建
1690287648# #晚间复盘：今天市场的暴动原因大家都很清楚，真应了我过去两三周反复强调“越没有预期，越可能超预期”的判断，是前期被压制许久复苏交易情绪的宣泄。A股量价齐升无疑是符合预期的，盘中一路高开高走没冲高回落，也算给面子了，很多人盘后在转北上今天净流入189亿，是2021年12月以来的单日最大流入量，
1703349598# #赞
1693141178# #联合国表态来了！。。联合国发言人杜加里克声称：“我们尊重日本政府的决定，并相信他们已经采取了一定的措施，确保了排海的核污水是安全的。”。。既然排海的核污水合格，虽然说让日本当自来水喝掉不好，但可以用来灌溉种田不好吗，干嘛非要排到大海？。。等来这么久，等来的却是联合国这么一句话，真还不如
1699972229# #码住慢慢看
1700275889# #这条裙子像是她肆意挥洒画就的一副水墨画，灵动自如，画美人更美！
1688810249# #码住慢慢看
1699084751# #赞
1698124428# #细思极恐
1696148123# #美国是世界第一粮食大国，而且人口只有三亿人，吃不饱怎么可能？
1692419501# #一个家庭里，丈夫如果挣不了大钱，妻子不要成天和他闹，他只要不偷，不抢，不懒，日子总有一天会好过的！。十年河东，。十年河西，。谁也不会一直走“背”字儿，。谁也没有扎下穷的根，。谁也不会穷一辈子，。相信你的丈夫，。相信你自己当初的选择，。散一家容易，。成一家不容易！。且行且珍惜，平淡的日子也是
1701488571# #氛围真的很好赞
1692887904# #时间紧任务重，不能再拖了！
1698837489# #赞赞
1699356955# #太牛了，这是高手赞
1696337280# #码住慢慢看
1694135100# #东吴证券：央行下调外汇存款准备金率有何意义？。央行下调外汇存款准备金率有何意义？为提升金融机构外汇资金运用能力，中国人民银行决定，自2023年9月15日起，将外汇存款准备金率由现行的6%下调至4%。下调外汇存款准备金率能够增加市场外汇供应，从而缓解人民币贬值。理论上来说，下调外汇存款准备金率
1695134622# #码住慢慢看
1693529054# #不如直接降LPR，所有人受益！
1689905652# #讲讲我个人的真实感受啊，对理赔规则的不清楚是长期以来用户的一大痛点。各类单据、证明等的多次提交、退回以及反复咨询确认可以说是理赔中常见的情况，尤其是在健康险中，用户往往对于病种、医院及治疗方案与理赔是否匹配也不甚知晓。这些无疑都增大了理赔的难度，长期影响着理赔效率与用户体验，甚至
1692599435# #欧丽娟教授goodgoodgood
1693319637# #允悲允悲
1698455745# #好人一生平安
1695722813# #马住！
1695836070# #钱是有灵性的，32个方法让钱主动来找你！。。1、钱是有灵性的，掉在地上的钱，再少也要捡起来，这是财气。。。2、不要经常说“我没钱”、“我很穷”，说多了会成真，且别人听了也不太愿意跟你来往。。。3、能在一个行业里坚持10年以上，成为行业的专家的人，几乎都很容易赚到钱。。。4、多向上社交，多跟厉害的
1695360550# #哈哈哈哈哈哈哈
1696416549# #真不应该啊！
1694328849# #襄阳火了！
1699532410# #会不会翻车？
1704205495# #先码后看
1689440392# #欧美科幻动作影片《极度深寒》中文字幕，码住慢慢看
1695954347# #俺羡慕了
1695300905# #赞
1703637124# #活明白了什么都想得开good
1693455731# #【图解】MACD指标波段操作（四）-柱状线用法，收藏学习。
1702795978# #真是厉害了赞
1699180418# #资本市场是中国崛起的主战场
1692585205# #投资中的心理学（附书单），建议大家抽空看看如下书籍：。。1、《聪明的投资者》-本杰明·格雷厄姆；。。2、《股票大作手回忆录》-艾德温·杰勒；。。3、《股票投资100招》-洪灏；。。4、《股市趋势技术分析》-雷曼.艾希尔；。。5、《一本书读懂股票指数基金投资》-杨大顺；。。6、《战胜华尔街》-彼得·
1696644610# #码住
1698900918# #赞
1699801550# #电视剧版的过把瘾，也是经典
1696401004# #投机与赌徒的区别good
1696349707# #中央财大重量级教授李健《金融学》。货币起源；货币智能；货币作用、定义和计量；货币制度。
1693728837# #终身受益的19个小建议：。1、闷声，发大财。。2、做人，不能太善良。。3、不要与任何人走得太近。。4、聊天，就聊点别人爱听的。。5、努力赚钱，才是硬道理。。6、没有实力，少说话。。7、自己不优秀，认识谁都没用。。8、不要轻易去同情别人。。9、远离吃饭从来不买单的人。。10、不发圈子。。11、不喝陌生人递过
1698495215# #码住慢慢看！
1700316056# #赞赞
1690558531# #说得很有道理！
1699675983# #码住慢慢看
1702791515# #码住慢慢看
1702102643# #允悲
1703467892# #历史纪录片《王阳明》全五集
1701098719# #收藏备用
1690703463# #生命好有趣
1693318187# #收藏备用
1703490975# #还有更简单的方法，手机下载个夸克，用夸克扫描王直接扫描成文档，傻瓜操作不需要任何技巧
1702392881# #转发微博
1698751987# #看的激情澎湃，热血沸腾！
1701397977# #喜上枝头，转发迎好运！
1703641520# #旁边如果是贾玲就不会那么尴尬了！
1692075564# #醍醐灌顶！深度好文！赚钱分四个层次！文章将赚钱层层递进，稳妥前进诠释得非常到位，受益匪浅！。。钱来得太容易，是很难守住的。靠运气得来的东西，本来就是认知之外的收获，而心境手段却没有达到相应的匹配程度，还是厚积薄发来的稳妥。正如作者所说，每个阶段有每个阶段的瓶颈，突破过去就好了！
1696436864# #码住慢慢看！
1699713664# #蒜香花生做法，码住试试吧！
1696406168# #太豪横了，可作为自传。
1699177172# #码住慢慢看
1703397488# #这个版本好，码住试试！
1696476680# #为什么会这样？
1698240718# #赞赞
1691647206# #赞
1693659813# #富贵不相忘，人以类聚。前者是财富后者是人品，朋友走多远，主要是第二条。
1691632740# #汽车检测行业深度报告：L3智能化加速，第三方汽车检测赛道受益！。。产业趋势+政策引导，智能网联体系建设步入关键期。。产业端AI智能化驱动汽车行业高阶自动驾驶加速落地，政策端近年来工信部等组织推出数条智能网联相关政策，我国步入智能网联商用化体系建设关键阶段。。。L3法规有望落地，智能网联检测有
1692018367# #很壮观啊！
1699280840# #真正的高人，终身都在研究两个事情：。一是天道，也就是自然规律，。二是人道，也就是人性规律，。并千方百计寻求两个系统的和谐统一，。这就是所谓的天人合一。。顺应天时地利人和！。。智慧的人明白万事的规律，。懂得順势而为，。借天时来修境界，。借地利来养运气，。借人品来修福气，。天时地利人和！
1701072736# #经常喝含植脂末的奶茶会怎样妈呀，我最喜欢喝奶茶，每周都要喝两杯，这个爱好持续了四五年，结果胖了七八斤，终于知道原因了！原来奶茶里面含有比较多的奶精，是一种叫做植脂末的化学物质，植脂末含有一定量的脂肪，过量摄入会增加热量摄入，导致体重增加和脂肪堆积的风险，所以很容易导致人发胖。
1704123768# #码
1696259324# #转发微博
1697268098# #谁强谁有理，不然咋办呢？
1693148563# #这次力度太大了，全是我等小股民关心关切并提出建议的内容，建议几乎一个没有落下。
1700235267# #赞
1695613560# #机器人产业链全景图，收藏备用。
1689859995# #6种经典K线组合，散户必看干货。
1689930016# #转发微博
1693765072# #不懂得管理金钱的人，迟早会被金钱抛弃。。。同一笔资产，不同的运用方式，结果天差地别。。。你拿来投资学习，会增值能力；你拿来投资理财，会收获财富。。。但如果你只会吃喝玩乐、沉溺在放纵的欲望中，最终结果必然是消耗了自己，也挥霍了财富。。。社会研究专家托马斯·斯坦利曾搜集过北美千万富翁的资料，
1703093491# #赞
1701858305# #转发微博
1695195578# #A股越来越没人气了，剩下的只有气人了！
1696306398# #我们江苏的苏宁，被骗了200亿，直接st了。。
1696088918# #有钱能使鬼推磨！
1701871605# #上市公司管理层有不诚信记录的也要剔除！
1700145579# #有人说，肯为你花钱的男人不一定爱你，但是不肯为你花钱的男人一定不爱你。
1693225103# #凤凰卫视记录片《太平天国》全八集
1699244486# #赞
1700152746# #被暖到了！赞
1699608658# #允悲允悲
1688987075# #拍岸边这两下可不轻，算是捡回性命了，没卷下去。
1696045538# #“涨停阳包阴”，短线强势形态，入场后就是主升浪。收藏学习！
1696161641# #各个车企自燃率数据能不能公开？
1690331625# #【干货｜K线六种强烈买入信号】股市就是一面镜子，能照出每个人的弱点。赢也罢，亏也罢，心如止水，不以涨喜，不以跌悲。在股市上涨下跌的影响下，K线形成阴K线，阳K线，而形成这种K线形态会有一定的规律，只要记住这些K线形态，从此不在做接盘侠。
1703301720# #码住慢慢看
1696776787# #第一次是强行变道，第二次是恶意别车！
1699850760# #码了看看
1703655495# #赞
1697972256# #Repost
1699109727# #我朋友竟然看了六七遍，真是服了。
1703595243# #赞
1700747466# #转发微博
1698738768# #先码后看
1688569961# #中国近代史，一部伤心史，催泪混剪……泪
1698331060# #转发微博
1701237572# #赞
1699695112# #道家养生功法，收藏。
1700788163# #赞
1703916806# #码住试试吧
1699705346# #转发微博
1689857298# #一起聊投资，一起聊人生…
1694526041# #你想过什么样的生活，完全取决于你自己的选择！
1696757571# #先码
1698153198# #码住
1699079765# #人善被人欺允悲
1694577004# #你敢卸载哪一个？我卸载了支付宝允悲
1703864246# #码
1694044173# #胡锡进的操盘方式很简单：。你敢跌他就敢补！。几个月了一直在补仓！。从开始的10万补到现在的50多万！。。自入市以来多少人定性他就是一根新韭菜！。。不得不说，。他的炒股经验肯定比浅薄，。但你要知道他是做媒体出身的，。对国家政策，政治环境，国际关系的了解不是那些天天盯盘的老韭菜可比的！。。他深刻理解
1701237552# #转发微博
1700913964# #码住跟练
1694003353# #就是生活没有目标了…物质又不值得花余生去拼搏，精神支柱也没有～
1698939597# #收藏起来
1692424673# #爷爷92岁了，真是服了他的消费观。。。爷爷每月退休金8000元，除了给自己留下2000元生活费，其余一分不剩地都分给其他人了。爷爷的分配标准：给我父母每人500元，给姑姑姑父每人500元，给叔叔婶婶每人500元。而我们这些孙子孙女外孙外孙女每人400元，若是再有人去看望他，就给100元，来看几次就给几次。。
1687681395# #允悲
1701526970# #这个好，转需！
1696131711# #怎么舒服怎么来，没毛病
1695310714# #码
1693015264# #上海外滩看到的，一回头觉得这人好眼熟，有谁能说出名字吗？
1702123197# #码住试试吧
1703390277# #赞
1695130497# #战略投资者出借股票的制度有利于抑制炒新冲动，值得继续尝试！———新京报。
1700712446# #码
1695483741# #转发微博
1697132029# #码住慢慢看
1692630578# #实战图解：9种底部密码整理成图文结合的形式，每一种对应相应的案例，大家可以收藏起来，用心研读，很实用。
1689135250# #挑战了我的认知
1698983588# #哈哈
1697647614# #稻盛和夫的经营哲学：人生六项精进！
1687941211# #名校名师名课，收藏。
1700583993# #转发微博
1703860266# #收藏
1698907401# #网曝湖北大学校内情侣与校外人士肢体冲突。校保卫处回应：警方已介入。
1692784986# #图解主力洗盘的三种形态，千万别轻易下车！
1700661356# #难怪最近北交所一直涨。。。
1701184665# #赞
1699017373# #先码后看
1695223139# #六种常见的上涨分时图，图文解析，值得学习收藏。
1693841792# #【手绘版｜MACD的9大经典起爆点】说到MACD，很多人的第一反应就是金叉和死叉，金叉买，死叉卖这是它最简单的使用技巧。如果只单纯得看金叉死叉，经常使用MACD朋友的肯定都知道，成功率是不会很高的，我们去运用的时候还是有很多的地方是需要注意的。
1691676020# #赞
1698393293# #老技能，不过时，收藏起来，给家人按一按！
1703951721# #收藏看看goodgood
1700704943# #望周知！
1698054994# #转发微博
1699869247# #馋嘴馋嘴
1693322469# #英国哲学家罗素good
1696467878# #大型纪录片:《紫禁城》
1704214325# #马住！
1703600056# #码住慢慢看
1692016127# #码住慢慢看
1697195811# #说得真好，学到了赞
1696306451# #不是不想生，是没有条件生。
1701701636# #有钱可解决大部分问题，没钱怎么办呢？
1700838607# #码住慢慢看
1694159190# #这栋无窗建筑名叫长线大厦，位于纽约下城，除了换气口，几乎没有窗户，属于美国电话电报公司，即AT&amp;T，后来被美国国安局租用，据称，这里就是美国用来进行监听电话、传真、卫星通讯、互联网数据的情报基地。
1700710852# #收藏学习赞
1699636786# #转发微博
1689349533# #马住
1695004177# #图解创新涨停9式，实用帖，收藏起来学习。
1692112160# #转发微博
1698853969# #赞
1704017550# #不仅是九十年代，2008年之前基本都是这样的，直到后面开始有了高铁。
1700891345# #手动点赞赞
1697722345# #先码后看
1696567045# #转发微博
1693830191# #在中国数千年历史中，酒不仅是人们不可缺少的特殊饮品，更是一种必不可缺的精神寄托，是一种文明的象征。要说当代最被人所知的白酒文化，自然是酒桌文化。
1692886774# #济州岛一日游懒人包，收藏备用。
1699275864# #码住慢慢看！
1703852995# #码住慢慢看
1701676393# #大脑与金钱
1700844602# #码住慢慢看
1696326960# #看完扎心了
1699959746# #看片《小胡同大尊严》
1701363369# #转发微博
1702822052# #好的三观比好的学历更重要，转发留存。
1698665740# #学到了，码住！
1702225553# #教孩子如何竞争的神级纪录片：改变世界的8场天才对决！
1699265909# #找的年轻的？
1702625488# #不向钱看的都是大格局，向钱看的都是小格局，大格局有大格局的风范，小格局有小格局的生活。
1699756409# #码住试试
1700846595# #这种身材90%的男人都喜欢吧？
1687940948# #很是正确，讲朴素的道理
1693660802# #赞
1702221350# #收藏起来慢慢看！
1696401043# #实用
1698726105# #赞赞
1696757623# #码
1699775676# #转发微博
1695452070# #涨知识了赞
1692109974# #为什么贫穷？《贫穷的本质》，听一听涨知识！
1697635050# #佛教的真善美真的很美好，无奈在人世间就是充斥太多尔虞我诈，只能穿起铠甲
1702822133# #这个好，收藏备用！
1703165873# #收藏起来陪孩子一起玩！
1699069083# #转
1694075596# #人造器官库啊
1692551207# #香港动作影片《精武英雄》主演：李连杰，码住慢慢看。
1702475706# #绝命盗窃
1703083148# #转发微博
1699076732# #吴艳妮又美又飒赞
1691295434# #两个人不一定有共同的兴趣爱好，但一定要理解并支持对方合情合理的兴趣爱好！
1702893989# #码住
1692616615# #现在A股市场股民的真实写照！
1692441633# #老张应该说说“恒大”为什么能这么做，再来下结论，否则含含糊糊，使人不可全信。
1697471589# #转发微博
1688748660# #天籁之音，值得收藏。
1696765749# #转需
1702043105# #赞
1700652508# #巴菲特一生最经典的演讲
1692639996# #美最新动作冒险片《神出鬼没》中文字幕，先码后看。
1703915565# #哈哈哈哈
1701615882# #这孝心让人感动！
1692956657# #小日本能干出什么好事！
1699959755# #一座大明宫，整部大唐史！
1688744313# #码住慢慢看
1692855658# #转发微博
1694437757# #你怕不是没孩子。试想你儿子上课前面坐了个爆炸头，你有本事别急。喵喵
1693838514# #转：国外网友是怎么看待华为Mate60的？。。Qu­r­oa（国外类似知乎的网站）上有个问题，“搭载5G麒麟9000s处理器的华为Ma­te60Pro的推出是否意味着美国对华贸易战的失败？”。。下面有一位新加坡国立大学的Bi­llCh­en，他的回答得到了最多的认同。。。他是这么说的。。。问：搭载5G麒麟9000s处理器的华为Ma
1703255894# #码住慢慢看
1699712854# #这就是酱肉，比烟熏肉还香
1692675928# #九图详解！成交量形态解读，简单易懂，清晰明了。
1699020802# #赞
1699281680# #码住慢慢看
1689926186# #转发微博
1695301176# #goodgood
1693827278# #非常滴熟悉goodgoodgood
1697472667# #网友：巴以冲突时期，身为中国人，都应该要知道这三件事：。1.世界上只有两个国家向中国的台湾省出售武器：美国+以色列。。2.以色列议员团跟随美国窜访台湾。。3.疫情期间，全世界第一个驱逐中国游客的国家，就是以色列。。所以坚决支持巴勒斯坦！
1694994163# #八部金刚功，动态图。这个比视频里看起来更直接。赶紧收藏了！
1694092050# #再罚酒三杯可说不过去了
1687672368# #赞
1700147406# #赞
1695962789# #允悲
1702102518# #转发微博
1688827351# #俺竟然看完了允悲
1692144098# #史上最强经济学视频！豆瓣9.6分！投资界乔布斯RayDalio：30分钟解释清楚经济机器是怎样运行的，看懂你就明白怎么赚钱了！满满干货！时间较长，建议先马再看！
1701615599# #码住慢慢看
1694042765# #转发微博
1701066168# #收藏学习
1693154505# #明天涨停卖没错吧？
1691496636# #码
1702729462# #赞
1700973564# #谁能看到最后不笑才是高手！
1703519110# #北大脑科博士教你1分钟入睡！“478呼吸法”超简单，需转。
1697958713# #转发微博
1690292563# #赞
1696131791# #码
1695736548# #华为：第四次工业革命跟新型工业化就靠我了！中国崛起靠华为！中华有为！拳头拳头拳头
1696040398# #五个步骤提高你与任何人闲谈的质量。
1692359227# #杀人诛心不过如此吧？真能闹，老了剩我自己，房子一卖，墓地买好，高级养老院一住。太嗨了！
1694699608# #赞
1701676404# #码住
1702701367# #他再不免老俞第三次创业了
1698506349# #心心
1692510162# #允悲
1687253751# #赞
1700729020# #吃一点没啥坏处
1699851274# #码住慢慢看
1701147112# #转发微博
1699768137# #鲜花
1698680361# #转发微博
1701446337# #这是高手赞
1693720637# #码住慢慢看
1703998603# #涨知识了
1695483067# #活着就有意义
1695257566# #光伏产业链（附股）
1693714708# #转发微博
1697080797# #收藏goodgood
1699959896# #收藏学习
1691647511# #【实战干货｜图解“老鸭头”】股市有句话，叫“千金难买老鸭头”，指的是一种战法，老鸭头战法，这种技术形态，往往表明主力经过第一轮拉升后，然后进行拉高洗盘，随后继续拉升，导致个股出现第二波行情。。。老鸭头是短线主力造就一种经典技术形态，通常是主力经过建仓、洗盘、拉高等一系列行为之后所作
1694152198# #估计拿到的广告费和宣传费都远远覆盖亏损额度…甚至这个本金是不是他自己的都要打一个大大的问号❓
1703860252# #赞
1697905398# #码住
1699241117# #退下来后说实话了。。。
1701394318# #🙏🙏🙏
1698146113# #同意胡总在此博文表达的观点。我们需要更开放的心态、对各种声音有更自信的包容。
1698509543# #码住慢慢看
1700982282# #转发微博
1701509397# #强身健体，练起来吧！
1700801327# #这小子嘴巴真是66666
1703851254# #码住试试吧
1691454861# #暑期经济活跃，经济边际向好，但下阶段能否持续改善，仍取决于政策落地节奏。消费方面，受台风天气影响，人员流动受到一定影响，服务消费小幅回落，商品消费中汽车消费仍强。投资方面，新房销售再度波动，不过沥青指标明显改善，或指向基建开工加速。出口方面，韩越出口一降一升，或反映出口结构变化。
1703900309# #手动点赞赞
1687431935# #不爱了就不要再纠缠不清
1697369859# #老爷子可以呀！赞
1690267815# #实战技巧：详解18种K线形态，收藏学习。
1694474663# #转发微博
1697946680# #码住
1703499806# #赞
1699707345# #转发微博
1694737440# #深圳人太聪明了，这样做没必要吧，除非以后不参与任何经济活动了，征信逾期不良怎么甩掉呢？
1698738762# #码住慢慢看
1697081228# #码住慢慢看
1703093288# #码住慢慢看
1699786900# #赞
1699803133# #码住慢慢看
1703903584# #转发微博
1697471564# #码住
1693450717# #余华好懂“精神内耗”，佩服！
1701691122# #炒股的人一定要认真看一看
1694394000# #基本面上，经济已有企稳向好迹象，8月PMI数据出现升温对此有所验证。政策面上，地产政策密集出台，一、二线城市新房成交数据已略见起色，也有助于提振市场信心；专项债落地提速、提振民营经济、促进大宗消费等政策也陆续释放。资金面上，9月利率债供给压力依然较大，叠加防范资金空转的政策要求、以及
1699272842# #码住慢慢看！
1699845378# #收藏起来学习
1700704910# #有钱拿又没有那么复杂人际关系，有什么不好
1699185648# #码住
