1701904500# #2024届高校毕业生预计1179万
1692753306# #受2011年发生的大地震及海啸影响，福岛第一核电站1至3号机组堆芯熔毁。事故发生后，东京电力公司持续向1至3号机组安全壳内注水以冷却堆芯并回收污水，截至2021年3月，已储存了125万吨核污水，且每天新增140吨。2021年4月9日，日本政府基本决定将福岛第一核电站核污水排入大海。4月13日，日本政府召开有
1700480181# #蜡烛🙏平房火灾，按说不应该这么多人遇难，又不是爆炸，平房很容易逃生，窗户也能走啊。好好查查吧。
1692460440# #人只有到死的那一天，才知道原来一切是空的。还有什么好烦恼的呢。
1688286204# #为什么女博士那么多？张雪峰老师是这么说的。顺便把大学老师群体得罪了一遍doge张雪峰出院
1703406780# #春节走向世界，世界拥抱春节
1692254357# #雷军这一段话说的特别有道理，其实大部分人遇到的大部分问题，并不是独一无二的，而是很多人都遇到过的，并且已经解决了的，甚至有标准答案的问题。确实如此，除了那些搞发明创造的搞科研的，其他事情都不是新鲜事。
1689549351# #十大宜居城市，好像有很多版本，我现在比较看中气候，冬天别太冷夏天别太热。
1693568760# #中产确实没必要出去，大概率生活水平社会地位下滑。底层出去的话勤劳一点生活水平会提高不少。富豪其实到哪个国家都一样，地球是他家，想去哪里就去哪里。
1697680387# #这种关键时刻负面传言很可怕，容易引起恐慌，可能成为压死骆驼的最后一根稻草。
1698645202# #山东省海阳市人民政府党组成员、副市长高元华涉嫌严重违纪违法被查
1699403953# #患癌的原因可能没那么快查明白，而且这事情太专业了，因素也是多方面的，估计很难确定患癌的直接原因。
1693265637# #李敖：日本很可恶，到今天还给美国人做狗，不肯跟中国走……日本人到今天都没有为曾经的暴行道歉过，这个民族是没有反省的民族……日本核废水排海已经开始影响邻国
1689332884# #人老了之后就是容易无聊，要么去跳广场舞，要么去看别人跳广场舞，要么在小区里跟老头下象棋……甚至很多人到了中年就已经开始了无聊的生活，孩子上大学离开了家，剩下两口子无话可说，又没有一个特别热爱的沉迷的事情，就进入了一个无聊的状态。
1692067651# #青年人城镇调查失业率将暂停发布统计局：在校学生的主要任务是学习，毕业前寻找工作的学生是否应纳入劳动力调查统计，社会各方面有不同的看法，需要进一步研究。再比如，随着我国居民受教育水平提高，青年人在校学习时间增加，在劳动力调查统计中，对于青年人年龄范围的界定也需要进一步研究。。针对
1697412780# #王石：愿意走“回头路”，帮助柬埔寨西港解决烂尾楼问题。
1695819962# #我们说日了狗是形容词，这家伙活生生的把这个弄成动词了。真是太奇葩了，世界之大无奇不有。
1689899513# #西安通报中考回流生事件都不容易，西安考生不容易，河南考生更不容易。什么时候不上大学也能有一个美好的未来，干点体力活技术活也能有一个养家糊口的工作，职业没有了歧视，可能人们的执念也就没有了。西安成立调查组核查回流生报名资格
1696436212# #赵继伟道歉姚明为缺席发布会道歉比赛后男篮宣布取消赛后新闻发布会，但在现场媒体的抗议下，中国男篮的大巴又开回了球馆。随后，主教练乔尔杰维奇带领着队长赵继伟，来到了发布会现场。。。乔尔杰维奇表示，是由于沟通不到位，才导致了球队提前离开——“本场失利是一件非常正常的事情，我们其实准备
1699627756# #宁德时代曾毓群获2023年诺贝尔可持续发展特别贡献奖。不太懂，这个算是诺贝尔奖吗？
1696226114# #继汽车行业罢工后，医疗行业也开始了。因为通货膨胀严重，美国各行各业都要求涨薪，不涨薪就罢工，工会很强势，企业通常都会同意部分条件。
1688606746# #东方甄选将启动自有APP直播。不知道这步棋走的对不对，有多少人会专门下载个app看他们直播卖货呢？
1703471160# #肚量大是专门针对无心之过。有意的你绝对不要放过他，无心的你不要去计较。
1691971080# #韩国首尔的物价
1693272840# #这么看来，可能确实中国的退休老人比美国退休老人日子好过。不过有一点差异，美国夫妇，丈夫有退休金，妻子无业，丈夫去世后貌似妻子可继承退休金继续生活。
1689686760# #男子将妻子割喉被判1年6个月这属于杀人未遂了吧？如果两个人不是夫妻关系，这个行为会被判处什么样的刑罚？
1699421693# #起猛了看到粮油之歌要出道了直播带货太卷了，现在都可以边看才艺演出边购物了。昨天，采销三人组抱着吉他为观众献上了一曲原创歌曲“粮油之歌”，很接地气的歌手和歌曲，围观网友不禁评论称“头一次看见直播间一边唱歌一边送福利的”。&nbsp;&nbsp;“本来看采销直播间是冲着折扣福利来的，没想到还看了场才艺
1696323206# #实在吃不下，臭豆腐、还有北京豆汁，不知道吃这种东西的意义是什么？是挑战自己吗？
1694342040# #今天的大美中国，让我们一起走进：四川
1689676217# #郑州市教育局道歉还以为发生了什么事，原来是这样的，有群众留言反映郑州学托泛滥：中招掏钱就能上。投诉说：公开卖高中名额，郑州教育局都不管吗？结果教育局宣传外事处的一个处长致电顶端新闻记者说了粗口……这还是宣传口的领导……doge其实也可以顺便回应一下很多河南中学生去西安参加中考的
1696331326# #恭喜祝贺，科学无国界，科学的新发现和突破对全人类都是好事。
1689237680# #山西殴打队长致死环卫工已被捕法网恢恢疏而不漏，那个把队长打死的环卫工被抓住了。
1701337020# #司马南可能觉得胡锡进在说他
1695731820# #美联储或加息至7%，银行业危机并未结束。美国危机四伏，危在旦夕。
1700320800# #不要总是寄希望于外人外物，幸福快乐在外面是找不到的，要向内求。
1694617571# #今晚山东多地网友看到了不明飞行物，有人说是UFO，也有说是坠落的卫星碎片，你看到了吗？前段时间好像也连续出现了好几次不明飞行物，再加上墨西哥刚刚展出了外星人遗体，越来越神奇了。明天的班还要不要上？doge专家曾称外星人不敢来地球
1695778631# #设计院现在有那么忙吗？有那么多实际的设计工作需要加班需要周末也干吗？生意不错啊
1702908424# #董明珠称一切都是孟羽童的选择董小姐最近看了网上的评论，可能也转变观念了。每个人的人生观价值观都不一样，你觉得应该这样，她不一定这么觉得，你觉得这样是幸福，她觉得那样是开心。你选你认为对的路，她选她认为对的路。互不干涉，互相尊重。这才是成年人的表现。
1697157245# #大家一定要一直交到退休年龄，要不然现在的那些老人的退休金，可能会有点困难。而且专家也说了，交的少领的少，交的越多交的时间越长，退休后的养老金越高。重点就是大家一定要保重好身体，争取多活几年
1695694740# #网络上有喷子，植物界有喷瓜二哈
1703494086# #一些合同和协议就是卖身契，尤其是互联网自媒体和MCN签的合同，一定要仔细看清楚。
1696162560# #许家印的一生，有人觉得值了，有人觉得可惜了，有人觉得可恨……
1696644716# #专家建议增加假期不要调休网友：不用说美欧加澳，整天说人家韩国卷，结果人家中秋放6天，没有假期硬是调成6天，我们是国庆中秋调成8天，实际就放4天，还有4天是周末+调休，高下立判，再不多放点你让我怎么信人家水深火热doge专家称调休初衷是好的。其实调休的事先不说，能满足一天八小时周末双休
1691548981# #医药代表称不敢进医院医药代表这个职业以后可能就没有了，其实这有点类似于黄牛，或者职业掮客，是个畸形环境下的存在。有时候她们也是受害者，经常要给医生干私活，不仅赔上时间金钱，有的甚至赔上身体，什么样的医生都有，啥非分的要求都可能遇到。当然也是为了提高业绩多挣点奖金，都不容易。
1703403000# #苹果储蓄持有者收到推送通知，利率从4.15%上调至4.25%，很多网友看到这个消息都想去存钱，但显然这个是不对中国人开放的，而美国人对这个并不太感冒，因为银行存款利息比这个还要高一些。
1697344860# #说别人坏话，可以加强内部团结。思考
1689071980# #“远看像要饭的，近看像逃难的，仔细一看都是吃饱没事干的”允悲
1690549148# #杨紫琼与法拉利总裁举行婚礼，结束19年爱情长跑。网友：以后法拉利就是中国的了，一个女婿半个儿……doge
1700707320# #山西金融系统这是怎么了？
1692639120# #小时候下雨的时候，窗户外就传来了叮叮当当的声音，雨点儿打在铁盆上的声音，还会把水桶放在屋檐下接雨水
1699511580# #东北人独有的技能。打出溜，滑不倒。
1689130712# #地下修行三年多，本想树上唱情歌，奈何世上馋猫多，出土就被下油锅。
1702026600# #一则关于副处级干部的儿子移民并因此被取消职务的新闻引发了讨论。网友们观点还是比较一致的。
1690186344# #乌克兰袭击莫斯科，乌武装部队总参谋部称：在过去的24小时内，俄方损失了660名军事人员。此外，乌军还摧毁了11辆坦克、13辆装甲战车、17套火炮系统、1套防空系统、5架作战战术无人机、9枚巡航导弹等。。俄国防部称：基辅政权对莫斯科的恐怖袭击被挫败。莫斯科遭乌克兰无人机袭击
1688354546# #在大家的固有印象里，博士毕业应该去搞研究，去研究院研究所做科研或者去高校当老师。而实际上现在这些单位已经没有那么缺人，消化不了太多高学历毕业生。只能去和硕士甚至本科去竞争别的工作了，依次类推，本科生送外卖摆地摊也就不奇怪了。大家要认清现实，放平心态。
1701516420# #军大衣都火到外国了吗？几位外国友人穿着军大衣在天坛旅行。
1692848828# #马云分享近况关心粮食和蔬菜，养牛养鱼，依然关注乡村教育。马老师选对了，这些地方最需要关注，希望可以促进食品安全和农村留守儿童的教育问题的改善。
1700436420# #我国的主要山脉
1695715995# #看到网上的截图，施暴的两个小孩家里条件都不错，有一个小孩家长是jc系统的，另一个的家长是做工程和在医院上班。双语学校学费估计也高，这样的家庭和素质教育都算是不错的了，其中有个小孩在18年的时候，家长就让他读过一些幼儿x教育的图书。按理说不应该会发生这样的事情，真的想不通。
1690903832# #看来这次还是有希望的，华中科技大学不是也验证成功了吗？值得期待。
1689208595# #辽宁一男子疑杀害妻子岳母及小孩警方的通报在这放着，大家就不要猜测联想了，等结果吧。说错一个字，你都可能是造谣或者是发布不实信息，可能会被叫去喝茶谈话的。发生这种事情，不管是什么原因，这个事情的性质是很清楚的，事情的原因并不会改变杀害的性质，只能提醒后来的人们避免类似的情况发生。
1700565780# #第一次从狗的眼神里看出了不满意doge
1691277046# #山东德州地震了，北京、天津、河北、河南、江苏多地有震感，5.5级地震，不算小，平安🙏
1696300620# #网友发了一个假期中的国家图书馆，我想对他说：每个人有每个人生活的方式，学者坐图书馆看书，农夫坐田头抽烟，父母空暇打打小麻将，小情侣织织围巾看看电影，我们躺床上刷刷微博。不要有什么负罪感，我们只有这一世，开心就好握手
1702449060# #山东烟台各行业普通从业者的真实收入，应该比较真实了。除了济南青岛，其他山东城市差不多都这水平吧？
1701355080# #段子可能是编的，但是评论区网友的观点却是真实的，看来很多人对直播还是有一些偏见的，就像十几年前人们对开网店也是嗤之以鼻的，很多年前人们对做生意的也是看不起的。正是很多人看不上，所以竞争才没那么激烈，机会相对多一点，等到所有人都去挤的话，那个通道也就越来越难走了，就像现在的考公务员
1699238400# #教育部：去年全国小学、幼儿园均减少超5000家！在园幼儿减少177万，小学招生减少81万
1697434620# #《中国即将迁都南阳》由西南大学出版社出版？官方回应：系伪书，将追责。这书还真有人买有人信？
1692801720# #巡视组副组长、纪委书记被查的也不少啊。
1702886599# #董宇辉任新东方文旅副总裁这应该是实质性的升职加薪了吧？为什么网友们还是不满意？大家只希望宇辉出来创业单干做老板吗？
1692323421# #比特币凌晨突发暴跌，一度击穿26000美元关口！以太坊短线暴跌近200美元，1小时内全网爆仓量跃升至6.5亿美元。全网24小时有12万人爆仓，60亿元资金蒸发！什么情况？
1698313200# #华为将全面接管问界销售体系
1698673710# #看这意思，是打擦边球了。不是十年前了，擦边球打不得了。
1700558220# #北京公共交通控股（集团）有限公司原党委书记、董事长王春杰被查。
1690629008# #为什么很多家庭都是妈妈想着换房换车想着给孩子补课，爸爸都是一副安于现状，与世无争的状态？妈妈费尽心思把这一切搞定了爸爸却理所当然的享受着？。我感觉男的大部分都是差不多先生，或者无所谓先生。
1697078529# #招聘月薪应该是税前吧？是企业的用人成本，而不是劳动者拿到手的钱，这之间起码差30％吧？
1688992086# #榜样和魔鬼有时候很难分得清，有些人表面是榜样，实际内心里却是魔鬼。在聚光灯下，镜头前面，众人注视之下的，可能都是在表演。
1689946706# #这城管是不是管的有点多了？他们的权力边界在哪里？执法的依据是什么？
1699777140# #家家有本难念的经，清官难断家务事，其实关系维持一个大体上的和睦就可以了，只要有一方觉得委屈或者不满就难长久，保持一定距离感不是坏事，距离产生美。
1694010326# #河南商丘，一7岁男孩被邻居家的狗抓伤后不幸离世。当时没有出血，有爪子印，10来天出现症状，像机器人一样从床上起来，看来是狂犬病。引以为戒，引以为戒7岁男孩被邻居家的狗抓伤后离世
1694236810# #已婚男嫖娼法院以珍惜亲情为由不准离婚应该尊重夫妻双方的意愿，如果人家自己要离婚，你劝说后人家仍然坚持，你就不应该继续阻拦，强扭的瓜不甜，以后再出轨或者家暴谁负责？你可以给人家把离婚证办了，人家如果想继续一起生活也不影响，还他们自由。
1697540234# #被烈犬咬伤女童立即手术或面临摘肾被咬的小女孩和她的家庭太倒霉了，咬人的黑狗和狗主人终于都找到了。狗主人被刑拘得到了他应有的惩罚，但是孩子的医药费他一定也要负责，孩子的一生都会受到影响。白色拉布拉多虽然没有参与咬人，但是养狗没牵绳，没戴口罩，也会得到应有的惩罚，但肯定没有黑狗主人
1701167460# #从下面四个人中选一个做老公，你怎么选？看了下评论区，多金最受欢迎doge
1703209200# #连夜开会，定方向。住建部明确方向：因城施策、一城一策，实现房地产供求关系平衡。并表示：房地产已经从“有没有”转入“好不好”的时代。
1698236009# #联合国秘书长称哈马斯袭击并非凭空发生，讲了巴勒斯坦多年来受到的欺负，以色列外长不满，两人当场怼了起来。加沙已有近8000名儿童死伤
1701502726# #【微短剧市场火爆，张朝阳和嘉书科技王小书共同看好其发展前景】张朝阳称看好短剧市场发展。。随着短视频的崛起，微短剧市场也迎来了爆发式增长。在2023搜狐财经年度论坛上，张朝阳以及嘉书科技创始人王小书都表达了对微短剧市场前景的看好。。。两位行业大佬的观点无疑给了微短剧市场更大的信心。未来，
1697944415# #正在征集张美丽违法线索，有证据的可以去立功了
1690840949# #暴雨中的升旗仪式。风雨无阻，勇往直前。
1694177196# #外商独资的互联网汽车禁止进入一些特定场所，接下来可能还会禁止外国的手机，为了避免麻烦，还是买国产的吧。
1700537820# #佛山一楼盘开盘120万现售56万？保利回应称那是二手房源网上的报价，不一定真实。当地网友也发表了看法。
1688609503# #只要赚钱足够多，不体面的工作也会变得体面，这个观点你认可吗？有些年轻人宁愿坐办公室当文员一月挣三四千，也不愿意学个技术干技术活或者干体力活，现状如此。但也存在现实问题，虽然挣得多，但是很不稳定，大多也没有保险和福利。如果有周末休息和各种保险福利，相信就没有人觉得不体面了，会有更多
1693210619# #是好学上进的网约车师傅努力考下了一建，还是曾经的设计师转行做了滴滴司机？
1694938548# #专家称亲子关系每增加10%成绩可增加5%亲子关系和孩子成绩哪个是因哪个是果？在专家看来亲子关系是因，成绩是果，亲子关系越好，成绩越好。而在现实中，妈妈和孩子的关系经常取决于孩子成绩，成绩好关系就好，成绩不好关系就差，成绩上升关系就缓和，成绩下降关系就僵化。
1694309101# #国人在美国做生意不容易啊，动不动警察就来抓人，这个药房不知道因为啥被关了，老板被抓起来了，有没有福州的朋友翻译一下，他说的是什么呀？
1702730560# #董宇辉曾试图挽留孙东旭表面上小孙被免职了，其实是替老俞“顶包”了挖鼻这一系列的操作难道是在老俞控制之外的吗？看起来只是小孙没操作好，搞砸了。今天老板哄员工，是职场PUA吗？破镜难圆，宇辉即使再回到东方甄选直播间，可能也找不到灵感了。多年前俞敏洪老师的一段讲话，相信是他的常用手法
1692438300# #空调柜机就是挂机立起来再套个壳子，何必呢，还占地方doge
1698310620# #凤凰卫视说，目前还有十万中国公民在以色列，基本都是务工人员，以技术工人签证在以色列务工的。有那么多人吗？
1697501007# #农村有禁养的犬只不？感觉农村自己有大院子的养狗还是可以的，把狗养在院子里，栓上绳看家护院。在城里尤其是住高层的，确实不适合养大型宠物，你下楼总得坐电梯吧，它还会给你破坏家居，老多事儿了。
1703034585# #如果房子损坏了没地方住的话，这寒冷的冬天还真是个问题，太冷了。帐篷晚上不知道能不能睡，肯定得增加取暖设施。🙏
1700556229# #恭喜祝贺，建议给市民发点钱庆祝一下doge
1689673270# #当地级市一把手二把手十年间，收了九千多万，来钱真快。
1694345520# #牛脾气上来狮子也得认倒霉
1692275104# #疑似李玟生前控诉中国好声音录音曝光，称被节目组威胁侮辱。
1701090622# #海底捞也挺难的，众口难调。不过话说回来，大家去海底捞主要是为了吃饭的吧？真的有人冲着这些节目去吃海底捞吗？
1691897160# #美国到底有没有类似的“户籍制度”？看了两位网友的争论，还是一头雾水。
1699421160# #多家手机厂商取消5G开关设置，厂商称运营商统一要求。
1701686040# #标准的中国特色人情世故……直到现在都还被人们所推崇，而且也确实还管用还有效……不知是福是祸是喜是悲……
1697186757# #她被控六项控状，包括一项公共滋扰、两项抵触防止骚扰法令，以及三项抵触私人保安业法令的罪状。控方指出，若被告有意认罪，他们将针对其中四项控状进行审理，其余两项控状则由法官下判时纳入考量。对此，被告直接说：“我认罪，我道歉。”
1701234715# #这酒是他自制的吗？胆子真大。他自己咋不喝呢？他到底知不知道这酒有毒？
1691019632# #SKP超市的物价，了解一下。这两万多一瓶的醋可还行，要配什么馅的饺子呢？网友：配唐僧肉doge
1702395120# #奇怪的人类
1695545040# #经营权力，很贴切。很多有权力的人都在苦心经营手里的权力。
1699428360# #齐鲁原来是这么分的呀
1690820016# #一位摄影爱好者拍的永定河的洪水过境，和北京暴雨部分场景，很震撼，也很恐怖。北京8月1日起雨势将减弱
1701827700# #马斯克透露Model2进展：技术大幅领先，不同于任何汽车生产线
1697508635# #俄罗斯总统普京和以色列总理内塔尼亚胡通电话，围绕巴以冲突局势升级进行了讨论，普京向以色列方面通报了当天与巴勒斯坦、埃及、伊朗和叙利亚领导人通话的要点。普京与内塔尼亚胡通话
1695466307# #现在下班后工作微信不断的情况很普遍，应该出台相关规定进行规范，否则劳动者根本就没有绝对意义上的休息。
1696388255# #有些老人确实这样，河北网友：我爸妈就是，冰箱冰柜里全是冻肉，而且买一堆粮食，吃到生虫子，调料一柜子，吃到过期，我前些天扔了一包2016年的调料，都没开封，他们自己认为节约，其实是在浪费。
1696174136# #港媒曝郑少秋大女儿在美去世大女儿郑安仪，是和第一任老婆卢慧茹生的。据说和第二任老婆沈殿霞生的郑欣宜疑似患上了抑郁症。看来有钱人家的孩子也并不都是幸福快乐的。。郑少秋潇洒帅气，演过电视剧电影还唱过歌，《笑看风云》就是他唱的，先后三任老婆，生了四个女儿。
1690873271# #河北沧州献县泛区被启用，人员已转移。可有效保证滹沱河大堤安全，保障石家庄和天津地区防洪安全。北京首次动用1998年建成的滞洪水库蓄洪
1692062392# #女主播郭某在网络上卖卷烟，线上线下团伙涉及四十多人，已被抓获。涉案金额5亿！
1691837160# #四川省第二城绵阳与第一城成都的GDP，差距确实悬殊。很多内陆省份都差不多这情况。
1694444280# #这是谁的部将，好勇猛。西安暴雨，路上积水，只见一年轻小伙骑着电动两轮车，打着伞、拿着手机、劈波斩浪向前行，连鞋子都没湿赞
1691160600# #涿州人民送别救援英雄，一方有难八方支援，辛苦了。涿州市民雨中送别外省救援队
1691323920# #我们总以为大众最想要的是各种真相，但实际上大众追求的从来都不是什么真相，而是各种情绪和欲望，是盲从、偏执和狂热。那些让大家感觉到非常不爽的真相，大家一直充耳不闻。。相反，那些能给大众带来美好幻想的谎言却可以让大众狂热。。。我们总以为大众都是成年人，应该理性且成熟，但实际上很多大众的
1689574795# #男子家暴成瘾反问民警打老婆犯法吗不知道警察叔叔当时是怎么回答他的？是明确告诉他家暴犯法，不允许打老婆。还是说要看具体情况，看对方是否谅解，造成伤害程度等等……。家务事确实难断，有时候警察要处理施暴方，配偶反过来护着男的，说什么家务事不用警察管……这也是造成警察和稀泥的原因之一…
1702021860# #写工作汇报和工作总结的参考提纲
1692966602# #任正非：美国的宽容精神创造了良好的生态环境，使得全世界优秀人才都跑到美国去。我们也要有宽容精神，这样就能够融入世界，全世界的优秀人才都跑到我们这里来。
1690105676# #泳协秘书长跳江救人不幸遇难蜡烛向英雄致敬，此前已经救过多人，不简单赞可见救人不是简单的会游泳就可以上的，程先生是游泳高手泳协秘书长且已经有救过多人的经验，但还是充满了危险，向英雄致敬蜡烛🙏
1700699160# #李思思从央视离职后，40天主持三场商演。网友：挺好的，压力小，收入也不低，还自由。李思思从央视离职后40天主持3场商演
1691099400# #孩子是一个独立的个体，对孩子好一点，就当他是一个客人，只在你家待一段时间，长大了就离开了。爱人也是独立的个体，对爱人客气一点，不要觉得理所当然，要有感恩之心。当然，对自己也要好一点。
1689340198# #山西一中学采购智慧黑板，中标单价仅3.8万，厂房报价仅1.8万，学校回应招标按正规流程。。其实招标啊，不是为了省钱，只是为了流程合规，合规的就行，大家都没责任。中学采购黑板1块3.8万厂家报价仅1.8万
1698406144# #农村的这种情况不算少，更多的可能是你情我愿的背地里偷偷的搞，闹掰了爆料出来的是极少数。
1689343595# #一中学疑有学生因没做完作业，被老师安排在太阳底下罚站，结果中暑去世🙏。老师可能也是恨铁不成钢，希望学生好好学习把成绩搞上去，很多家长也为了孩子的成绩焦头烂额。归根结底还是人们对成功对成才的定义太单一，太过执着。学生疑被老师罚站太阳下中暑去世
1702173770# #吉祥航空针对此事回应记者称，此事件为偶发服务过错，不存在偏袒外籍旅客的行为。事发后，公司立即与旅客沟通，向旅客提供住宿与客票改期等补偿事宜，旅客也已于次日搭乘公司后续航班飞抵日本……大家接受这个回应吗？
1702608708# #基金经理的这个管理费不太合理，不管亏了赚了不耽误人家赚大钱，这怎么有动力呢。基本工资应该低一些，业绩绩效可以高一些，亏了的话就拿基本工资，少扣管理费甚至不收管理费。赚了的话可以拿高一些提成。
1691068079# #哈尔滨哈牡高速一桥梁因降雨坍塌，有车辆坠落，行车记录仪拍下了白车冲到坑里的过程，根本来不及刹车，加上雨天路滑，真是很危险。
1696287120# #最近很火的拉斯维加斯巨型球，了解一下。
1701236460# #这种事情确实难办，教育局也为难，学校也难办，老师也难办……义务教育，又不能开除，转去其他学校估计人家也反对，咋办呢。
1693097163# #女孩疑早恋和母亲吵架跳河男孩营救溺亡我们教育孩子尽量不要早恋，教育孩子交往中保护好自己，这都没问题。但如果早恋真的发生了，也不要太过强力的去干预去拆散。早恋最坏的结果可能也就是耽误些学习，成绩下降，强力拆散却可能母女反目甚至走向轻生的不归路，孰轻孰重，家长要想清楚啊。什么性格的
1696418179# #2023诺贝尔化学奖公布量子点是什么意思？量子点是非常微小的纳米粒子，它们的大小决定了他们的性质。柔性电子产品，微型传感器，更薄的太阳能电池，加密量子通信领域受这个新发现的影响比较大。
1688514662# #8名未成年男女在一无人地下室，欺凌一个未成年女孩，强令其“脱衣服”，并拍下视频。警方：两名年满14岁未成年被刑拘，另6名未满14岁的责令其家长严加管教。女生遭8名未成年男女殴打脱衣官方回应女生遭8人殴打并逼脱衣
1700578958# #朝鲜疑似发射了一枚弹道导弹，冲绳上空响起防空警报……这事迅速登上微博热搜，看来在日本的中国人真不少，大家注意安全。如果朝鲜半岛再发生战事，距离世界大战就不远了。朝鲜向日通报计划第三次试射卫星
1689700985# #陈坤说的我赞同，如果自己不喜欢社交，不要强迫自己，最重要的是做自己。跳出舒适圈也不见得是好事，人生短短几十年，不拧巴就好。什么叫拧巴呢？就是总觉得自己不好，总是想改变自己。其实，你应该接受并喜欢每个阶段的自己。
1695953047# #奥尼尔称自己是半个中国人奥尼尔来了，受到各年龄段热烈欢迎，被广场舞阿姨们团团围住，跳舞给你看，奥尼尔笑得合不拢嘴。阿姨：家人们，谁懂啊！
1689584235# #一些企业单方调岗降薪逼迫员工主动离职。员工如何保护自己的合法权益，如何证明自己是被迫的？不容易。
1698231595# #王琪延认为，“我国的劳动生产率在全世界应该是中等水平，所以每年还可以增加20天左右的休假时间，因此我一再提倡‘做四休三’。我们可以实行两天半的休假时间，最终达到‘做四休三’的节假日安排”。支持，多点假期但不要降工资。
1697815380# #以色列政府批准法规，紧急状态期间可暂停外国新闻频道在以运营。
1703918520# #在上海的同济大学读书，一个月的生活费需要多少？4000也可能不够花，1500也还能剩，所以这个东西完全取决于个人，取决于家庭。
1701312660# #男子实名举报东莞一学校校长和招生办主任有不正当男女关系，女方当事人回应否认并称要告丈夫。校方办公室工作人员称没有这回事。
1700868240# #副省级城市和计划单列市有哪些
1693329660# #有网友说，大部分的对话用两句话就能解决，一句是关你屁事，另外一句是关我屁事。。。确实一般来说，在很多人的传统思维里，我们家的事不需要你来操心，不需要你来指手画脚，而你们家的事情跟我也没有关系，我也不好奇，我也管不着。。。大家都秉承着个人自扫门前雪，休管他人瓦上霜的格言。不过对于外来的
1698540586# #前车22人，后车9人……总共31个人在事故车厢，此前通报说8人受伤，看来还是有些幸运儿只是受到了惊吓。太危险了，好好整改检查下吧
1690708176# #张继科要去日本当乒乓球教练的新闻，我看了一圈好像都是自媒体发的文章啊，还没有官方媒体报道，所以这个事情现在还不能确定，很可能就是人们编的故事。但是这种可能性还是挺大的，如果在国内混不下去，去其他国家当运动员或者教练，是很普遍的现象。以前这种情况发生过不少，很多打乒乓球的去东南亚一
1703668200# #再降！下周起部分存量房贷利率可下调10个基点。为供房人减负。
1692242414# #退休了也跑不了，吉林梨树县中医院原党委书记、院长霍明杰被查。
1694736660# #央行降准将释放超5000亿元中长期流动性本来是挺大的利好，放在前些年出这样的利好，股市怎么地也得涨一涨，现在感觉人们是不是有点麻木了，出那么多利好，效果不是很明显。昨天一个降准，还有国产光刻机的各种消息，相信今天的A股应该能够高开吧。
1688799960# #云南一民宿为防艳遇受伤只招待女客不知道生意如何，只要生意好，说明确实有需求，无可厚非。不过话说回来，如果不愿意被搭讪，不愿意撩骚，不愿意艳遇，明确表示拒绝，真的还会有那种死皮赖脸的男的强行黏着吗？告他骚扰行不行。
1702941060# #美国的管理太粗放了，在我们聪明的同胞看来，其实有很多漏洞，可以钻的空子很多。
1700641920# #这是胡编的吧？哪里的村会计有编制？村长也没编制吧？
1700462040# #地铁安检是否有必要？可能多数人还是觉得很有必要的，可能那些在国外发达国家生活过的人觉得安检有点复杂了。
1691665531# #工信部：不得为未备案App提供网络接入服务。据说腾讯对小程序也有类似的要求。
1697843100# #宝马（中国）汽车贸易有限公司召回1410辆劳斯莱斯汽车
1703482427# #没领结婚证，别的都没有法律效力，给了彩礼也不行。
1696171020# #马云最新动态，在欧洲游玩，心情不错。
1690815144# #一些地势低洼地带，洪水可能会危及到的村庄，提前通知让人们撤离，这是出于安全考虑。人先撤到安全的地方，至于洪水是否从那里过，房子是否会损坏，那是不一定的。房子是搬不走的，但是人可以先躲到安全的地方。天津，沧州，邢台，都有很多村子已经撤离了。官方回应网传大黄堡泄洪撤离居民
1700479260# #从副部级降为科员9年后，赵智勇被查……江西省人民政府驻北京办事处原科员赵智勇（省委原常委、秘书长）接受监察调查。。“赵智勇主政九江市的最后一个月里，曾突击提拔了32名女干部，其中一名某学校女教师被直接提任团委九江浔阳区副书记”
1692006985# #情妇成立公司揽医院工程这种情况太难查了，太难发现了，法律上两个人没有任何关系，也不是直系亲属也不是旁系亲属，没有任何法律关系，怎么查？如果不是家属举报，真的很难发现，甚至发现了也没办法。
1693323785# #朝鲜这个国家，我们似乎都很熟悉，虽然大部分网友并没有去过，但是从各种渠道还是能够知道有关朝鲜的一些事情。。。总的来说，有部分网友觉得朝鲜是一个生活幸福老百姓安居乐业的那么一个王道乐土。在有些大v的口中，在朝鲜，没有剥削，人人都平等。国家硬气，人民有骨气，生活有尊严，自豪感爆棚。。。朝
1695462391# #月薪一万能有多难看数据最有说服力了，这个是二季度的一个招聘薪酬统计数据，比较有参考价值的是中位数，这个比平均数更有意义。而且是招聘薪酬，指的应该是公司支出的成本，也就是税前收入，并不是发到手的收入。即便如此，中位数超过1万的也只有上海北京深圳，很多省会城市是六七千左右。
1690474118# #大家都很关注超强台风杜苏芮的最新路径，听说这个台风级别和强度相当于2016年的莫兰蒂，当时那个台风最大风力好像达到16级，对厦门造成了重创，几万套房子损坏，几十万棵树木被吹倒，很多人家的窗户直接被吹掉了，被树木和路牌砸了的汽车就更多了……不过这对于福建人民来说可能也都习惯了……妈祖保佑
1690466716# #独轮车可以跑这么快呀？看来交通法规已经跟不上时代发展了，这种车算机动车呢还是非机动车呢？骑这个是否要戴头盔，是否需要驾照？是否需要上牌照？doge
