1688909632# #张琳给我买的哈哈哈哈哈哈
1695706260# #落地啦亲亲亲亲回家睡觉去了
1698743722# #晚饭，青菜豆腐面糊糊泪
1696123829# #完了完了，花花一个月来3次姨妈，头发大把大把掉，我得少拍点视频了笑cry笑cry笑cry
1696171057# #爱你们啊晚安亲亲亲亲亲亲
1695020009# #酷顾大厨马上要开始了
1693463823# #看看花絮拍照去噜二哈
1701258318# #南通最齐全的家纺产品，来找我了笑cry老铁们喜欢什么料子的四件套，告诉我！
1694692929# #收到一个不好的消息这个傻波黄牛一开始答应我们三连坐的票没了微笑现在1400的座位卖4200单身狗而且还不一定抢得到
1701968909# #爷青回哈
1698381208# #葵姐说的对，老天爷其实已经很眷顾我了，他只不过是想让我换一种状态生活，老天爷觉得我每天不应该是这样度过的单身狗一日三餐要准时吃，早饭必须要吃，不抽烟不喝酒不吃油腻不吃辛辣单身狗正常直播到12点就下播洗澡睡觉不熬夜单身狗换一种人生何尝不是一件新鲜事呢嘻嘻
1695567273# #我有信号了我现在找到黑车了准备回酒店了等我到酒店了开播心心
1700563541# #躺岛的黄油被，宣称自己防寒隔冷，卖700+，我信了，我买了，我盖了，我被骗了，冻死了。
1694247696# #放心在我这里买没人比我的好嘻嘻
1687486723# #日式美男好吧
1702796297# #晒了20分钟omg哈哈哈哈哈哈哈哈哈哈哈哈
1689690782# #俺回南通了！到了南通给你们再播吧抱一抱
1698664400# #许诺非说帅，非要给我整这么个头
1689705643# #链接来了
1703846223# #以后不整了这个专场了顶顶
1698068241# #好困啊睡觉去了hahahaha爱老虎油
1698060607# #我看薛小婉直播咋了？我磕77999不行啊？我进去抽奖去了，你管得着啊这也投稿精神病啊你挤眼二笔我进去学习她的卖货技巧呢挤眼
1692020797# #家人们我晚点直播！我在挑鞋子！好多好好看的！真的进步了！去年来播h55的鞋真的没几个好看的！今年不知道是我审美变了还是h55进步了😂
1698833908# #羊桑做的我尝尝怎么事
1689529726# #吃！
1698732497# #好有年代感，80岁拿出来看一看，肯定热泪盈眶
1703901164# #不知道吃啥了，一个屁接一个屁，一个比一个臭，许诺要呛死了
1699512708# #昨晚用养生娘娘裹住腰腹睡的觉，睡的好香，卧槽，睡到现在，要赶紧去医院挂水了！！awsl
1693314521# #家人们看看花絮我去拍摄啦！我拍完回酒店再直播哈亲亲亲亲亲亲
1694816168# #只有这个点才想吃满小宝贼有食欲
1698211936# #12个人揪完了，后续会联系你们扫码绑定身份信息hahahaha名额太少了评论区好多姐妹我都看到了抱抱抱抱下次有这种活动我还给你们争取！！
1687356717# #妈个巴子许诺的ks出问题了登不上啊啊啊，啊啊烦死了啊啊啊，啊啊
1699993941# #挂完水回家家，家银们我也想在抖🦅做短视频挂车，你们觉得咋样，我把这个号以后就发短视频挂车了吧，也没啥流量也不挣钱二哈
1701085390# #2017年才是真瘦啊
1689052944# #黑桃毕业回家咯旺旺还得一段时间
1702801533# #一会就要出海去看大鲨鱼了彩虹屁彩虹屁彩虹屁彩虹屁
1688671928# #敬业的彩棠人，彩棠魂
1702985352# #我要回来啦彩虹屁彩虹屁彩虹屁
1697569750# #卧槽，有用吃惊卧槽！！我现在就去谈机制！！！
1701471922# #睡醒了
1689801622# #我崩溃了，我之前最爱吃统一的老坛酸菜鱼面，它不做了，我现在最爱吃的康师傅辣卤牛肉面也没了。。这两个味道全网没了。。。我真的崩溃了家人们苦涩
1698558139# #这玩意我可舍不得摘笑cry
1701920110# #你用之前的腿。。。我看着都觉得。。。有点疼。。。就是干的裂开了。。
1701042144# #今早吃介个
1698489413# #不吃不喝以后皮肤变的更好了，这就是排毒的魅力吗笑cry
1699461149# #我真的好饿，饿的睡不着，饿晕了，饿的想噶，饿的想裸奔。。。。
1696819249# #我在和凌博士的销售讲，如果299拿下两罐50g的四季面霜，请不要犹豫，这场真的没有预售了跪了
1704133919# #好用啊我去哈哈
1690227010# #小孙：我老板出门一趟怎么会变成这样
1702033866# #其实那个补品是。。牛羊兔的篮子采取技术磨成粉里面提取的营养物质。。。
1690643864# #人在囧途了这会还没到住的地方拉着行李找咱们的蒙古包哈哈哈乌漆嘛黑啥也看不见笑cry
1690215677# #尽一份微薄之力
1688548699# #咱这个背怎么这么厚啊，再过两年我就有富贵包了笑cry伤心你们年纪小的千万别驼背了真的是显壮
1702193146# #仙气飘飘
1694514866# #彩棠的机制本来就不让破，我从7月份就在争取，我说我的机制是最好的我就不怕打脸！乱发红包的主播链接已经被下了！妈的别来质疑我！你觉得谁的好你他妈买谁的！我说我的最好就是最好！爱jb咋咋
1698999580# #唉，又疼了，起床去挂水允悲我好烦啊每天这样什么也干不了跟一个废人一样允悲我想回来跟大家聊聊天想拆快递想吃好吃的可是我都做不到，能不焦虑都怪了。。我讨厌这样的生活状况泪
1702463642# #今天禁🐟哈～勿忘国耻
1697530236# #好饿啊，我还没排上做胃镜，我好饿啊泪做完胃镜6小时也得禁食，我啥时候能吃上饭啊泪
1692704684# #出去吃饭噜亲亲
1687455525# #看完了，好揪心啊，真的好揪心啊，这男的太不是东西了啊伤心我看的好哽咽。。。好窒息啊真的好窒息。。
1699112608# #很想把他们都拆了抓狂抓狂抓狂
1695233863# #我今天不播啦，照顾完粉丝们在照顾朋友们酷俺们在小酌，你们早点睡乖乖嘻嘻
1695821121# #柯老师人真好泪
1691259656# #哦天啊家里的床怎么这莫舒服抱一抱
1698394121# #又抽血了老铁伤心
1703332462# #激情下单，实在太喜欢了允悲
1689251408# #对于一个大直径爱好者，这也太他妈好看了吧
1704015380# #不知道那俩人一会啥想法
1689591093# #也是见上了
1699971840# #我真的明确说过，退回也是退三瓶哪怕拆开的那瓶是空瓶跪了我真的吐了
1699953000# #下个月马尔代夫doge已订
1698953306# #刚又打了一阵止痛，现在在挂水了，睡会，很困
1687196945# #好的宝这个热度我得蹭蹭
1702804603# #笑cry额有一点点黑
1698374635# #好吧，拍拍自拍发一发
1695977142# #看完了，只能说无语
1696719692# #我天哪我睡到现在污
1700874883# #宝，亲亲
1699116352# #我都喝酵素了为什么还不拉屎？今天屎不拉出来我誓不罢休我一会让许诺给我抠也得抠出来我受不了了我以前一天拉两次大便的人现在两三天拉不出一次大便我真的受不了了
1702790227# #我要去拍我价值100美金的早餐了
1692414241# #璟也太恋爱脑了泪天哪（我这人一看电视剧就不睡觉这个点还在看剧二哈）
1698023382# #很多人不知道我为啥不能吃饭喝水，我回答一下酷：因为我的胃如果进了东西就会分泌胃酸胃酸刺激胆囊分泌胆汁刺激胰腺，我就会剧烈疼痛，所以一直不能吃，并且一直挂水挂的抑制胃酸的，护肝的，糖水，盐水，电解质，类似营养液的一些针剂还有消炎针这种，因为我长时间不吃饭不喝水所以挂水一直不能停
1698226144# #恭喜
1696487524# #同一件衣服的妆前妆后有多大呢？敬请期待下哈...
1704240266# #哈哈哈哈哈哈哈哈哈哈哈哈给你们想看的人录了点许诺真的很聒噪
1687325970# #我的小宝宝醒了
1693989791# #我被爱包围苦涩
1698948681# #这个医院的主任，看了我的北京手术报告单，拍了一张照，说：这个案例我们医院没见过汗
1703511764# #太喜欢了
1688542838# #小羊肖格笑cry笑cry
1695082029# #恭喜
1692101075# #看看live图（pls:小🐟姐太给力了去年的我还是没有今年成熟今年觉得她真的好尽职尽责）
1697770841# #这个身体乳我还没搞定，明天可能上不了了，如果上不了等我下一场吧泪真的是糊了
1696350438# #破案了笑cry
1698571382# #吃播上线吃的有食欲不
1699418718# #回老家吃完饭咯，回南通挂水去了哈哈
1694709210# #单身狗下播看见这条泪目了
1688757304# #诺弟儿新发型啊
1688360036# #有那么多人记得我的好，真的会很感动
1704081964# #恭喜
1698709970# #嘿嘿，突然来的小惊喜，这个月的互动榜单来了太开心太开心第1-第15一人200🧧下午联系你们嗷我再睡会（互动榜单不是每个月都抽哈，是随机的）
1691399402# #昨天晚上吃了半个西瓜今天脸起来肿的和🐷一样挤眼
1697723669# #老铁们我刚睡醒，我就不播了，我不能吃东西也没有力气，我直接去医院了，挂水去了爱你爱你勿担心
1698753620# #今年的万圣节缺席了伤心
1693162053# #第一瓶用完噜第二瓶续上！
1688177451# #人无完人哪有完美的人不要因为一件小事否定了一切
1700878310# #我去写小说吧哈哈哈哈哈哈哈哈哈
1702820499# #O妈的太卡了网络太差啦
1698659167# #看！
1702704676# #走你怒
1702659740# #传视频是一件非常困难的事情
1698611941# #泪我又又双叒叕疼醒了泪这肚子啥毛病啊医生过来听完说好奇怪说我又能吃又能拉的怎么还这么疼又要上止痛了5555
1701775710# #好想去看再见李可乐允悲
1697357699# #我那天直播！！脸上有个痘我给挤了！！特别红！！！我就用湿敷棉沾了砰砰水放上去放了3分钟！！直接不红了！有直播回放！！（哪一场来着我给忘了反正大半夜护肤的那次！！）真的试试砰砰水！修复补水杠杠的，大小分子玻尿酸都有，小分子渗透肌肤，大分子给肌肤保湿！！记住买玻尿酸一定认准凌博士！！
1689612745# #发条微博
1693112311# #坏笑嘿嘿嘿小小苹果店搬空三家（9.19记得来）
1689149786# #起床咯（今天给许诺画女妆）
1703069253# #Ks的播放量好低啊这些天作品都没破100w播放顶
1687397051# #奇奇怪怪的两个人笑cry笑cry笑cry
1692517138# #我的头发没有了诗裴丝的护发素就是一头叼毛抓狂
1692145014# #我到家啦uu们！！我要！大睡特睡！希望晚上不会有傻逼问我：不是卖完货摆摊吗？
1696915722# #都耐心等等哈抱抱
1703272501# #卸掉我的八倍大眼。妆
1699521906# #恭喜
1697103039# #过两天去做个小慈善太开心开心
1701594759# #她带了一堆不该带的，该带的一个没带笑cry
1692381470# #洗香香头发也洗香香软软滑滑的躺在床上好舒服好放松啊哈哈哈哈哈哈哈哈哈好幸福哟
1698656475# #11月11号中午12点开播第一个品就上妮维雅双管精华身体乳，发誓一点都不黏腻味道类似宝宝霜，特别水润，duangduang的肤感，一点都不粘衣服粘被子，偏远地区我都给你包邮，邮费算我的！！❗❗电暖宝只有一万单，电暖宝我选的是质量最好的！放心不会炸不会烧不漏水！卖完不补！一定早点来！旗舰店双十一都
1698055684# #我他妈烦死了，前两天躺在急诊今天好不容易住进病房了，医院非要我的直系亲属来，我他妈都26岁了，我问为什么要直系亲属来，医生不说话，一直搪塞我，说要签字，然后我给我爹叫来了，结果我爹烦得要死，哔哔哔哔没完没了，非要用它的手摸我疼的地方，说他摸了就不疼了，我哭崩溃了他才把手拿开，还非说
1703895091# #终于知道许诺嘴里的不良人是啥了看完电影我爆哭泪一天是不良人一辈子都是不良人！泪
1690995767# #卸妆前记录一哈
1695595556# #袋鼠妈妈嘻嘻嘻嘻
1691688275# #拍鞋子最烦的是搭配。。我真不会搭配。。。啊。。。。到现在没搭出一身
1692869177# #恭喜
1699593923# #那么大的别墅它不睡，它挤在犄角旮旯里，真是逆子！
1698478663# #还是痛💩了算了
1703407954# #拍圣诞🎄照片去咯二哈二哈（妆教拍啦等就完事）
1698565515# #上次卖货的礼物家里都在打包了！别急啊！该发的都发了，没发的也快了！！！作揖作揖
1702207383# #以后在我这里中过奖的不发快手的第二次中奖都算作废裂开省的有人过来道德绑架我🙏🏻
1689230312# #今天多云诶，没太阳还有必要晒背不？
1699811998# #接着挂！
1688640532# #黄色多巴胺已提上日程！
1698229478# #半个月跑了三家医院三家医院都酷酷抽血，现在蹲一会起来眼前一片黑，关键是现在还不能补，喝他妈大米粥我都疼得要死要活的微笑行，我明白了一个词语，财多压身微笑呵呵哒
1703287886# #哈哈哈哈哈哈哈哈哈
1700283296# #全家没有一个人睡醒了允悲允悲允悲
1694506145# #彩棠的机制，看看哈awsl
1702034602# #【推荐「拉吧拉吧」皮肤给你啦！】「拉吧拉吧」皮肤好漂亮哦(๑¯∀¯๑)，赶紧来搜狗输入法围观吧！嘻嘻
1700239113# #拍照去惹(●'◡'●)
1697489074# #老铁，痛经的，宫寒的，腰疼的，湿气重的，风湿风寒的，老寒腿的，21号买这个！哪里冷敷哪里！真的是太好了这个品！才他妈89💰，好尼玛便宜摊手
1694347238# #一人200💰抽100人，9月19早上8点开，拿着钱来shopping。直播间持续发放500元红包发一天。（评论区揪3个520评论在我这里买的喜欢的东西加上使用感受，我会认真仔细看喔嘻嘻（因为需要素材加到视频里去需要大家的真实反馈谢谢啦）
1700912849# #百货大楼（费费和花花昨天给我收的）好干净
1688723011# #他说以后当老板了，让我求着他说：老公给我买个包求求你了笑cry傻波1
1701592903# #早叔给我带的补品允悲我喝一次呕一次允悲
1702613902# #早啊早啊⌓‿⌓
1692512670# #我昨天洗头是为什么？我他妈的抓狂
1689752338# #妈的想起来晒背的又又又多云抓狂
1703021675# #哎哟我草真冷啊
1698190701# #好好好智齿疼了一夜肿这么大
1702424989# #困困困٩(๑´0`๑)۶
1699007975# #挂好了周2的专家号，到时候听专家怎么说吧抱一抱
1698546030# #好好好今天医生说我疼是饿的，让我喝米汤了抓狂我怕喝完更痛啊抓狂
1697261974# #睡醒咯酷
1690103533# #又双叒叕喝喜酒去咯
1702720829# #今天7点还有免费spa哈哈哈哈哈哈哈哈哈
1698152235# #好多年没来北京了北京好大呀
1695341250# #我：老公，做一个成功的女人好累呀。许诺：累就对了，舒服是留给死人的。我：我在跟你谈心呀老公你在干嘛呀？。许诺：我在看有没有好看的片。然后我就瞪他他就摆这死出怒骂怒骂
1703695436# #封到29号凌晨呀。我29号下午两点卖货呀，不妨碍卖货呀，没事，我看评论区都以为卖不了了顶
1703070495# #明天回老家烧经又有回老家vlog拍嘻嘻（就是就是。。你们看完我的vlog可以点个赞吗。。。我的vlog也不挣钱，纯因为大家喜欢看，我就一直拍，去马尔代夫4天每天都拍了而且一个广告也没有植入。。？出去玩拍摄真的很不方便干啥都得举手机，剪视频工程也很大，15分钟的vlog需要用12个视频拼着剪。。咱们
1690960865# #在路上
1702716777# #咱这个肚子收缩自如嗷
1697652708# #为什么我比正常指标高了十倍？有没有会看的给看看？
1698994418# #我刚睡醒对8起让大家担心了这么久才发微博打的止痛针让我昏迷式睡觉睡到现在悲伤
1699271696# #还没到哈
1698926228# #爬起来收拾一下允悲成难受了
1692588883# #老师上门训了抓狂它今早在我屋门口拉了屎还在过道里发现了好多吃的
1698113835# #早呀我醒啦，刚医生过来说规定早中晚都得喝一顿大米粥，还可以喝点橙汁，喝一个礼拜大白粥。就当减肥了憧憬心态是女人最好的风水打call
1702389214# #好喜欢嘿嘿嘿
1693989050# #许诺办公室旁边的电梯搁谁谁不怕哼
1702287951# #前面那撮毛很有绅士风度啊老铁
1698209494# #28号6张票，29号6张票，南京音乐节，跟品牌争取的，票是免费送你们的！但是需要自费去南京哈，如果抽到你你去不了就浪费了的，不上学不上班或者很喜欢这些ido可以请假的，评论区踊跃发言，带上灯牌带上消费记录带上自己比别人优秀的条件在评论区！我来抽！（记得写自己要28号还是29号哈）hahahaha
1701832838# #允悲。。。。。。
1704346112# #并不简单我绝对往死里薅他们
1691860207# #中奖了的去发超话发ks没中奖的重在参与下月送到我破产抱一抱
1699331595# #回南通继续挂水去了拜拜
1696638659# #卧槽，我刚看完ppt，如果我是这女的，许诺能把我砍死，直接把我分尸。。。太恶劣了跪了
1689081796# #15号随便卖卖，营业额不知道卖多少但是礼物不能少抱一抱
1702880643# #准备直播化妆不知道这个b网能不能行
1702979229# #二十九是啥意思啊？
1696550102# #伤心早啊醒了
1697983313# #被尿憋醒了一睁眼还在挂水我一会微博偷偷播会
1698315416# #我爱吃的七口辣是辣的，海底捞是辣的，五里关是辣的，火鸡面也是辣的。。贡椒鱼是辣的伤心爷爷版茄盒是油的，爷爷做的扁豆饭也是油的，小季拉面也是油的，猪脚饭也不能吃了。螺蛳粉也不能吃了，肥汁米线也不能吃了，炸鸡腿炸鸡翅也不能吃了，曹氏鸭脖也不能吃了，辣条也不能吃了。。。也不能给你们
1698315830# #以后公屏有人说：想看你吃饭怎么办泪我在也不能给大家吃看起来很有食欲的东西了泪什么也不能吃了泪我做不了你们的吃播小顾了泪
1701502231# #9号给你们先上这鞋，马尔代夫回来我再去播冬鞋专场，妈呀还有四件套专场允悲妈的想想都累死了
1704202997# #哈哈哈哈哈哈哈哈哈装好了
1698500443# #又输液了血压太低了只有89了伤心
1698564091# #可喜可贺！！拉出来了！！！拉了！！！我拉屎了！！虽然只拉了一点点！！但是我拉了！！！！！拉了啊啊啊啊啊啊，啊啊！！！！
1700294532# #给老鼠窝装潢下
1690952468# #醒了（睡了一觉头发还是卷的！）
1703548561# #又给你们整了点后面实在懒得p了原图直发了老铁你们自己去p吧握手p成你们喜欢的样子自己加滤镜爱拿去做啥壁纸都行。
1702192939# #家里有秤的可以称称哈哈看看是不是八斤
1697373967# #妈的，我看潘雨润推啥我想买啥汗我买了个ogp的仪器，回来试试看哈哈哈哈哈哈（话说有人用过听妍吗我好想试试真的有那么神奇吗对于一个脸部凹陷的人来说真的好心动泪摊手）
1689064038# #又是把各位帅死的一天
1694249912# #
1696579865# #跪了给彩棠和kiko跪一个随便游🏊🏻都不脱
1693276363# #Wakeup！赢牛奶
1689076342# #成人礼
1698935342# #我真服了我本来想今天洗个澡护个肤明天晚上开播了，但是我在浴室洗了很久，搓澡的时候可能拉扯到了，洗完澡涂了个身体乳躺床上就开始一直持续性绞痛，不知道是不是拉扯到身体里的支架了还是拉扯到我的伤口了，疼晕古去了要泪怎么办啊啊啊啊啊啊
1700411322# #鼓掌太开心太开心
1688533917# #不粉我的有难了这么漂亮抓狂
1701596683# #还好来得早，顾小旺再不来就严重肺炎了泪住院了，着凉引起的肺炎允悲
1691141984# #这么贵的ck内衣不得拍个照留念一下
1689689361# #我鞋都要被扣烂了脚指头累了
1696409802# #我宣布这双芒果头小白鞋是我今年出去拖鞋穿过次数最多的鞋酷真的好百搭（店铺有哈）
1701082396# #贾希文都29岁了，我和他认识的时候我才14岁笑cry认识11年了我滴妈
1698570012# #我知道售后很多没处理好，我也不能因为我自己身体不舒服让你们去体谅我，但是现在家里人手真的不够，李洋和郭泽宇都在家里包快递了，费费和小孙都在北京没办法包快递这两天接到好几个电话说中了奖不发货的，都会尽快给大家发，满赠也都会给到大家，只是时间问题。抱歉了，一定尽快给大家处理好。有什么
1695117475# #BC牛逼谢谢大家（太牛逼了）
1699344981# #人能险恶到什么地步，才12岁为何能做出这样的事情。。。去死吧。。。
1702363322# #昨天许诺和我说尼姑需要大专文凭泪我不配了
1692506909# #你看我有几分像从前？
1690729644# #我刚进城苦涩坐在车上颠簸了3小时终于进城了我的天哪苦涩我快饿死了我一会到饭店播会
1698194077# #衣服还是带薄了傻眼北京好冷喔
1696413314# #我粗发啦太开心太开心
1691943028# #你们玩了这个游戏的人填个这个让俺领点钻石爱你
1693396717# #实物比这个还美泪泪抓狂抓狂太漂亮了！！！
1698314687# #我再也不能像一个正常人了伤心我再也吃不了油腻辛辣了伤心我一时接受不了伤心我爱吃的东西都是油腻辛辣的伤心伤心伤心伤心伤心伤心伤心伤心
1687708919# #祝我的宝贝费费生日快乐，你是我的粉丝，是我的助理，是我的朋友，更是我的家人，我的靠山。谢谢你抱一抱
1687275950# #去尼玛的快手
1694677512# #家人们睡了一觉醒了彩棠粉底液就是这么抗打妈的我看谁还不买！
1698156649# #我去北京就是不一样这破房间八百六十六一晚上
1696583572# #来三亚两天晒黑3度可爱
1692709483# #嘻嘻嘻今天给自己放个假～晚上去看电影《学爸》十点就不陪你们啦爱你但我录了vlog比你们哦
1697680239# #我从医院回家啦，昨晚刚挂了水今天得晚上去挂了，现在挂不了，晚上要挂2000ml，每天不能吃任何东西，只能喝一点水，这比杀了我还难受啊，我这个大逼馋嘴不让我吃东西比我死了还难受啊泪
1698463201# #我什么时候才可以吃饭啊悲伤
1698918067# #吃晚饭了抱抱
1691635831# #原图来噜噜噜噜ξ(✿＞◡❛)
1702034767# #明天有这套等不及的可以先买这个我自己之前说的就是这个
1703120658# #我滴妈，南方怎么冬天变的这么冷了，感觉像在东北，刺骨的冷
1700607961# #哈哈哈哈哈哈哈哈哈许诺刚刚被兔子吵醒了立刻马上掀被子要过去掐死它被我火速拦下，爆笑
1689939342# #一点儿不开玩笑，一公里的路堵了50分钟，就这个路口，我他妈想一头撞死
1697308841# #彩棠人上线了（忍不住根本忍不住）
1701332259# #准备起床给你们拍少萝妆教握手
1687438493# #笑死我了
1701258954# #多少价位的，舒服的中等价位，高等的稍微贵一丢丢，还有质量还可以很便宜的，你们能接受啥价位的？
1697907332# #换了个大医院泪重新抽了血做了ct大家不要担心我悲伤
1695600556# #单身狗单身狗单身狗等等我老公的衣服啵我老公前期没有什么钱投已经投了十多万了所以这次做的预售所以要多等等单身狗质量一定不会让大家失望的！！！
1700703581# #避雷！我昨晚拆的穿了一下浑身痒得要死！我这人买所有衣服或者四件套或者睡衣都是拆开直接穿的，第一次遇到这种！痒死我了！！！痒死我了！！！！！！！！再也不买这么便宜的了！！看你款式好看！！没想到你来取我狗命的！！！
1697837760# #耶挂完了回家噜
1695441162# #天哪，我找黄牛找了好久才买到的v3的票，而且花了7300一张，现在v3的变成两边的座位了，我崩溃了。。。。。。。原来的座位v2v3在中间，怎么突然换两边了啊。。。。。。
1690740328# #我去苦涩我粉丝爸妈人都真好，她妈妈开的按摩店，等我们到现在给我们按摩，足疗30分钟才28块钱泪我天哪按的还特别好夫妻俩人都特别淳朴，也对我特好，呜呜呜，好真诚，好喜欢抱一抱包头有粉丝可以来按按啥的，真好！
1694078344# #准备打卡！嘻嘻
1702216187# #手脚做的同款嘻嘻嘻嘻
1699071889# #早饭是我在睡觉小孙喂我吃的笑cry中饭刚吃完两天没拉屎了用了开塞露也拉不出医生又不建议用乳果糖，有没有拉屎小妙招疑问
1698045303# #氯化钾挂的好他妈痛啊啊啊啊，啊啊感觉血管上有蚂蚁在爬啊啊啊啊啊啊
1701784264# #还sing啊，感觉国内版的忠犬八公更好哭
1687369343# #不行了我本来睡着了给我看了一眼笑吐了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1703080416# #？咋了二十九这么怨恨的看着我干啥
1703233029# #准备起床拍这个妆教顶顶
1697535697# #老铁们，我胃好的很啊哈哈哈哈哈哈，就是有胃体炎，问题不大！今晚测评好吃！应该没问题doge嘿嘿嘿所以说水泡饭还能吃酷酷酷
1692768461# #好消息！我用的小度小度天天闺蜜机正在做链接偷笑偷笑偷笑有被我种草的可以在我这儿买
1696216390# #睡了15个小时爽了爽了
1687277668# #人狗同笼
1697630579# #我好虚弱泪我下午吃了个兰州拉面，配了大蒜然后我胃就开始疼，疼到直不起腰，我吐光了才好一点，然后我到现在没吃东西饿的又饿吐了泪为什么胃镜检查出来我的胃那么健康我的行为这么不健康泪我好饿泪
1693792471# #好困好困困困困困
1702809264# #我拍的鲨鱼！！！！
1698804779# #落地了抱抱回来再补会觉，肚子不知道怎么了好痛可能是飞机的高压下飞机有点不适应吧泪
1693569263# #撤了抓狂飞上海就要飞3个半小时
1702290061# #越看越喜欢
1690550351# #哇哦😯
1687581507# #来看我爱你了（没睡）
1703021477# #我落地了握手给屁股坐出泡了要栓死我了
1688706860# #家人们家里有宠物的别买这个！我那天给驹驹吃这个后面第二天在家里地上发现了驹驹没吃因为驹驹牙齿不好！还好他没吃！你们也避避雷！！
1701589848# #睡得好香啊哈哈起床了～去送旺旺去医院～然后去买菜～然后回直播家做饭～哈哈
1690870745# #看俺十分钟卷的头发！！！不比托尼强？？！哈哈哈哈哈哈太开心唯戈真好用啊啊啊啊爱你
1688544367# #嘿你猜怎么着，又又双叕大变活人
1704014952# #哎哟我滴妈，电影院爆满呢晕晕
1696501911# #一字《骚》
1703511225# #南通一米八体育生联系☎️让我娇姐开心开心
1692506134# #芥末大一只二哈
1702622854# #＼(￣︶￣)／
1691306235# #我c啊！刚看完热烈！我们6个人在电影院欢呼起来了笑cry好看！去看！王一博好帅哈哈哈哈哈哈哈哈哈
1693066139# #馋嘴
1691993112# #好好好乳果糖的药效出来了我也拉虚脱了😞现在化妆拍预热去明天会不会累倒啊生病
1694956043# #只有400件哈L100件XL200XXL100尺码表在最后一张我穿的L
1694623785# #实况直出美女儿awsl
1698007662# #尼玛这家伙给我饿的开始抖了我想把费费啃了昨天下播到现在挂水没停过一分钟都没停过血管都给我挂麻了感冒
1699674228# #Wakeup并不简单
1701341120# #笑cry好可爱啊
1701937181# #果然，点姐的脸还是违规
1698951768# #医生说这个病需要特别顶尖的医生给我做，因为临床很少很少，他说他学医十几年从没见过我这样的情况允悲万一做不好下半辈子废了，我属实有点害怕，现在在疯狂联系人脉允悲
1704287949# #我在拉臭臭
1703808561# #并不简单起来了吃个早饭去银行办点事下午两点不见不散嗷
1697922211# #哎妈呀，两根管子笑cry（你们不要在闲鱼买我的周边俺再说一遍！10级灯牌的卖我画册我不知道你有没有心微笑）
1702893908# #太热了！！！娇娇已经晒成小麦肤色了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1698793137# #吃早饭了朋友，大米粥
1699816321# #我在抢救室挂水隔壁床有个和我差不多大的女孩，估计比我小几岁，吃了38颗药送来抢救医生要给他洗胃她偏不，她说放过我吧，让我死吧，让我死啊啊啊。。。唉。。。生命诚可贵啊。。。。好想过去开导开导她。。。。也不知道她遇到了什么困难。。。希望她今天能洗完胃以后好好生活吧。。。
1693148025# #链接（都是抖🦅买的）
1688463512# #先给两张花絮你们瞅瞅爱你反正协商好了咱们就凑合pp用用好了（还好我有先见之明带了相机）
1698936649# #泪泪泪
1691414111# #今天好低落白眼
1693828239# #煞笔许诺哼
1698933430# #我太感谢妮维雅了，从未想过有一天我的腿可以这么嫩滑泪泪泪太他妈好用了泪
1692011600# #好困，。。。？？？。？！，，，
1688390304# #八角笼中好好看啊成人礼很好的题材呀
1702040830# #卧槽我经常涂的tf22号色，居然和我经常涂的花落利亚02色，一模一样允悲去他妈的tf
1698314320# #医生来说完了，意思这个先天性的没有括约肌，胆汁和胰汁不是按照正常人的排泄过程排的，如果不做手术也不能吃油腻辛辣，做了手术也不能吃油腻辛辣，但是如果做手术，这个手术是个很大的手术，要把胆囊取掉，还要把胆管也去掉，并且从肠道里插一根管子代替我的胆管，但是还是有反流进胰腺的风险，就是，
1698116432# #晕死(｀皿´)本来肚肚不是很痛的就是胃不太舒服医生给我开了个药说吃了护胃的结果吃完5分钟我又有了前两天的痛感整个上腹部又痛的直不起腰了&lt;(｀^´)&gt;我得换医院受不鸟破医院
1701029710# #持妆！！！不暗沉！！！明天我让花花试一下，花花混油皮，明天再说！卸妆上床咪咪了！！
1698278736# #手术去了haha
1691263372# #你们没事吧，看热搜地震了，一定小心苦涩
1698203377# #是10.21号当天下单凌博士面霜未领到券的，拍下订单是279元确认收货14天以后发订单截图可退10💰，别搞错啦haha
1702213240# #做了个猫眼纯色，爱了嘻嘻好好看
1702708476# #太阳甚好，天气预报骗我呢比耶
1689254697# #GAI周延/戴佩妮《用情(Live版)》永远为我Gai爷打call
1700783161# #早餐时间到二哈
1701777957# #开始了
1697186719# #我来折腾我的叼毛了
1695036572# #怒骂
1697456218# #对比图来了！doge我很满意
1702649783# #管家接我们吃晚饭去了doge我会录到vlog去的
1698839725# #刷视频刷到那个7岁被性霸凌的小女孩，看的我难受，怎么能这么坏伤心想说的有一堆。想了想算了。。
1697571157# #受不了了，居然有身体乳能把我这个鸡皮腿拯救了泪我滴妈我激动的连发三条微博我晕泪品牌方的联系方式都没加上就发了三条微博了哈哈哈我服了操！主要是我才用了6天吃惊
1693941976# #妈的烫手了
1698136264# #带上我的啊贝贝，到机场噜
