1695823764# #他居然不理我了微笑
1694914577# #我要去我要去我要去
1691753492# #我妈跟我小姨无情的推车工具。从下午睡醒到现在到再过两小时。都让我推单身狗。哦，还让我付钱单身狗单身狗
1689034892# #五河的豆浆居然要三块钱一杯，好贵啊
1703054241# #跟你们有钱人拼了泪
1701328730# #33送的印章激起了我的买书欲望。看不看再说，重要的是有的盖章爱慕
1703511129# #和我的好朋友们嘻嘻
1699870393# #真是不好意思
1701068386# #避雷浦东南路3B出口，没有电梯，三个楼梯要爬，爬上来快把我累死了
1702820235# #元梦之星好好玩哈哈哈哈哈哈
1690448149# #其实我觉得就算我真的中奖一万块，我也不会买票去十周年～除非他们全国巡演白眼
1703048253# #头难受眼睛难受鼻子难受😣。下次出门一定戴口罩
1694919790# #妈耶，鲍哥上大学的时候我才初二二哈
1696509947# #今天跳了30s刘畊宏，奖励自己一个猪蹄留着想吃的时候吃
1697338118# #嘻嘻嘻嘻嘻嘻
1691716132# #梦到鲍哥变成变态把我送去高考了，还说考不上一本就把我送去给恶魔老师补课~。。然后我忘记打印高考准考证了跪了，紧急打印完去高考，发现题目：分别说出一件开心，难过的事情。我：高考好开心，高考好难过允悲允悲允悲
1698730929# #冻手冻牙冻痴好吃哈哈哈哈哈
1698152332# #😓从现在开始，我是程序员
1702110713# #只点贵的，不点对的doge
1699665000# #刷到辣才想起来，我昨天吃的巡湘记一点也不辣。吃之前颤颤巍巍害怕不敢动筷子。吃了一口：嗯？湖南菜？辣妹子？
1703050728# #33好狠毒的心…。我说我浑身难受要自杀让她直博。她不关心我就算了还问我能不能直去文学院怒。恶毒啊恶毒。“33嫉余之峨眉兮，让余之文学院自缢”
1703121759# #我的羽绒服好臭😷第一次这么明显的闻到鸭屎味吐
1689128704# #臭傻逼
1693410165# #杜华孟美岐吴宣仪程潇合照有个人长的好凶啊
1691231121# #TFBOYS夹起来了怎么办，好想哭啊单身狗我承认了，我是四叶草单身狗单身狗单身狗
1695610472# #我这个年纪，出去玩了一天，三天都没缓过来拜拜
1688258336# #非常支持啊！！！！外国人拿着留学补贴到处旅游，中国学生还在贷款上大学！另外，他们的宿舍条件也应该很中国学生差不多才对哦，算了，洋大人怎么能跟我们一样呢
1688085132# #谁能跟钱过不去，抽我抽我抽我
1702738323# #不是在吃保健品就是在买保健品委屈
1693559602# #很好，没有一个感兴趣的。下次努力
1700576675# #鲍翔自己减肥，晚饭不吃夜宵不吃。然后下了班回家给我带夜宵。我吃完了跟我说：其实我晚饭没吃可爱
1688291248# #专业嘻嘻
1691978105# #管住嘴，是一件困难的事，迈开腿是一件不可能的事
1692494307# #以后买房子，我要把所有的墙都贴隔音板！！！！！！！！！！！！！！
1692787291# #6
1691330402# #TFBOYS十年之约演唱会我真的暴哭，每一首歌好像都有一部分回忆，他们一开口，立马把我拉到那些夏天
1703303674# #几件衣服…洗四次。难道是开题把最近的运气用没了可爱
1692718267# #王俊凯今天七夕，为什么没发微博！
1697191896# #我不说，谁能知道我背后不是图书馆呢
1703487639# #这到底是谁取的名字啊hhhhhhh
1700723719# #听说u型枕的正确用法是这样。不然它该叫n型枕笑cry
1703927710# #没有广告可看了允悲
1691330647# #有很多歌，多年不听，也知道下一句歌词泪
1696840203# #我真的累了。我不想学习。我要回家
1691376940# #TFBOYS暂未确定巡演城市来我家唱，我家客厅大泪
1695189202# #行，我说了一句养生思想。我的朋友给我发的内容：如何保持大便通畅。我以后会成为养生专家
1692415025# #不读高中但可以办升学宴✌🏻
1692066312# #我见过最过分的医生就是，当着我妈的面说我需要运动，还说我爱生气怒怒怒
1696675108# #今天点了一百块钱的外卖吃，吃的普普通通。但是我的兼职累死累活一个月才给我发42块钱，不是420！是42！！！。。一个月，42！！！爱你
1703603686# #鲍哥竟然发出同样疑问笑cry
1703056597# #我贵姓也是刘笑cry笑cry笑cry笑cry
1696467959# #嘿嘿，就算不让我去桌子上吃饭，我也吃的嘎嘎香
1691325206# #TFBOYS十年之约演唱会他们怎么不跳舞啊单身狗
1702212945# #一到晚上就犯猪瘾
1689254327# #去大润发不要穿红色，不然会有人喊你杀鱼。去医院不要穿蓝色，不然会有人问你护士多少钱一个月笑cry
1702274543# #很多情侣谈久了关系很畸形兄弟你胖了，变得太胖了
1698163976# #我爱这个
1697432958# #难道我看起来真的…很…好骗吗？把我当怨种了呀这是，姐的智慧岂是二等小子可以媲美的！
1700545376# #哦，太阳公公
1687925577# #100个名额总不能还抽不到我吧二哈
1696669982# #允悲
1699796487# #我的洁癖好像越来越严重了。以前是外面的衣服不能上床。现在是在外面呆过的手机也得消毒后再碰
1699763337# #就是他！在门口跟别人拍照不跟我拍照，我只好花钱进去找他，喂完了又不理我了！
1692536506# #程潇超话好乖馋嘴
1697644522# #选我安徽人选安徽人
1689128045# #没有医保拿药好贵啊啊啊啊啊
1704112302# #这个人天天说我玩游戏，要把我游戏卸载。结果自己抱着一个平板两个手机
1696669341# #吃完就要去学校了苦涩
1701422757# #刚买了个可颂吃。它说保质期3天，只够我3口衰
1687683319# #跟我妈说我下去买包瓜子吃
1701144132# #救救我！！！！！！！！！！！！！
1693298345# #开学第一天衰
1691396093# #经过我6个小时的努力，终于成为第一名了✌🏻
1699329647# #其实，我对我的毕业论文中的有些地方还是非常感兴趣和期待的，比如
1691369456# #如果是这样，我就原谅他们昨天结束的那么仓促
1700722490# #开心消消乐玩到400多关我在淘宝里玩，也2000多关了。但是最近感觉不太想玩了，没有比赛没有动力
1702361135# #我发现我的右手无名指总是莫名其妙被划一个口子衰。上次的还没完全好，这就又开始了允悲。还好机智的我随身带了创可贴doge
1691231019# #救命啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑不活了，四世同堂真的救命了
1698164140# #我好饿啊
1701064786# #鲍哥说我天天摆烂。其实我想说我不是摆烂，我是真的烂允悲
1697432385# #老天奶你什么时候能让我捡到一笔钱啊。老天奶你帮我写论文文献综述和论文行不行啊
1688128739# #刚才跟我妈说我以后不想生小孩。我说生小孩有什么用。我妈刚准备说话。隔壁传来了小孩大哭的声音。nice
1694862885# #淘宝短信做的这么高级了？
1691329390# #TFBOYS十年之约演唱会王源印象深刻的八周年是不是唱乌云乌云快走开那次，他那次确实玩嗨了嘻嘻
1701831620# #转发微博
1688276816# #我妈说我这杯奶茶包装袋10块钱
1691074087# #这叫有样学样嘻嘻
1699321049# #色色色
1699172776# #决定转方向去学医，我想弃文从医…
1700461214# #鲍哥的本科作业本。(没有一个字看得懂，字写的比我还丑)
1697779081# #现在才一点多，我一定来得及整理好爱你
1690513009# #我进化了。我在梦里看手机了。而且还看到了上面的字。还打了电话。我真的进化了
1698418470# #预告~
1692878858# #不是，他怎么好意思的啊我要去抗日啊啊啊啊啊啊啊
1696073341# #甜的要死。别买！
