1701160405# #梭哈a股试试
1698769151# #看了一晚上也不知道买啥。你们都买了啥能不能发我看看苦涩苦涩。。好在这次双十一从今晚开始差不多持续十一天。可以慢慢选
1700991370# #发现十一在外面人缘还怪好的嘞！。。刚阿姨跟我讲，每次出去溜达都会用一个小盒子带点水果给十一吃，但是经常出去后都是吃的别人的。。。我：啊？还有这种好事。阿姨说，是啊，人家吃东西，十一就眼巴巴的看着，馋得很，人家就拿给他吃，今天吃了别人一个大草莓，四五个提子，我们这一小盒拿出来也不够分，
1702190715# #我的dota2日记。朋友们，千言万语汇总成一句话：我想开直播了。因为昨天我看到郑翔，阿川他们的一些直播切片。我就感觉，他们这些脑瘫操作，我每天都有啊！。那我要是直播我和孩子他爸双排打游戏，大家想看吗……。。比如昨天我两双排第一把，他非要玩个中单蓝猫。被对面中单哈斯卡打出粑粑了。然后我开局又
1702909764# #圣诞限定loopy有一个挂件已经售罄啦！
1701693654# #写点真实感受就行，在这里给大家磕头了！主要600多个枕头评价不到十个就显得我们特别像刷单的……泪泪泪
1701831244# #啊
1703430728# #恭喜
1696694597# #恭喜
1700554843# #如果只从性别观念看，《幽灵公主》应该无敌吧……大女主故事！
1703296058# #猪弟弟竟然发了一条微博帮我找键盘！允悲允悲允悲为啥现在都是紧凑型了我真的不懂
1700921343# #下午带十一去我们仓库溜达了一下，现在十一是真的会喊爸爸了，以前虽然也会发爸爸的音，但他应该不知道啥意思，现在是真的知道谁是爸爸了，每天至少喊五十遍。。。（还没学会喊妈妈，喊我都是ruarua
1702044624# #今天刚到货的华纳正版猫头鹰。。抓紧时间拍了个开箱，其实这个信封还有别的玩法，但是时间太紧迫没拍出来。15种叫声还能互动摇头扇翅膀。真的很不错！摆在桌面也太酷了！剩的现货不多啦！。。哈利波特超话
1701960846# #恭喜
1702825301# #你们别的可以不参与，这两个绝美的灯不参与太可惜了，真的很好看，今晚半夜开奖
1703169223# #当了几天客服，给大家教一点提前发货的小诀窍吧。因为我发现很多人都不知道……。这个诀窍也很简单，就是加钱发顺丰……或者说你要顺丰到付。。因为每每到圣诞这种节日，每天至少一百人过来说，我要当天发货，赶紧发，插队发。。我们也确实会备注比如21号一定发走。。。但仓库那边打开erp，至少200个订单都
1704116551# #有朋友问双层杯和主题杯的区别：双层杯是硬pvc的质量很好！可以用很久。主题杯是软的，很薄。实用角度买双层杯就够了，收藏角度建议全部一起。
1696681935# #恭喜
1700974702# #肯定不太能要，一般阿姨都是把好吃的优先给小孩，其次大人，最后自己。
1699283174# #今天证据确凿了，十一就是小鸡的亲弟弟。。。因为十一现在最爱玩的就是把桌上的东西扒拉到地上……。（视频长达一分钟，但是一定能让你笑着看完
1703914851# #孩子他爸要气死了。。他昨天喊我来一起玩这个《冲呀！饼干人》，结果我上来就抽到一张ssr，上古纯香草饼干，把他给羡慕坏了，万分之五的几率！。。有了这个饼干，我在竞技场几乎是横着走了。。给大家分享下我的队伍配置：两个前排，两个爆发，一个治疗。。。这游戏目前看来还是比较良心的，我这么豪华的配置
1701773588# #第二个什么鬼？
1701697300# #圣诞季今天送这个！我精心准备的圣诞礼盒嘿嘿。。这个小熊蜡烛是带香味的，点完后外面的陶瓷圣诞树还能做首饰收纳盒，实用又可爱！。。🐻卷发、评论各揪一个粉丝随机送。要求帮我写个评价就行么么哒🎄
1698242911# #公公婆婆给十一自制的围栏床，说肯定掉不下来允悲。我说那公公睡地上吗？？？。婆婆说他觉得这里舒服哩！。。至于为啥不是我们带睡，主要是公婆太爱十一了，实在是轮不到我们……
1699097121# #回老家亲戚给的玩具。。小猪划船哈哈哈哈
1702124135# #当我教十一说妈妈。娃：
1702560058# #可爱可爱！圣诞的呢
1701235047# #立马开始看
1703256268# #钓鱼拯救世界了……
1699539702# #咋回事啊家人们。就我这几天左边屁股有一根筋很酸痛。我以为是坐久了，坐骨神经出问题了。在家里各种拉伸都没用。今天一杯咖啡下去拉了三次粑粑，拉了很多。然后，这根筋也不疼了……汗汗汗
1703430311# #恭喜
1701785365# #给布拉格天文钟冰箱贴加了一个礼盒版，方便大家圣诞节送人～。。视频里出现的布拉格圣诞树和天文钟都是我叫那边负责采购的朋友亲自去拍的！真好看。。每一个冰箱贴都是漂洋过海来到国内，绝对是让人惊喜的伴手礼了圣诞季
1697895321# #其实熬过第一天后，伤口已经不咋疼了。但还是不能回家，因为要每天挂水，换药。突然发现很久没这样休息过了。正好看看电视，补一下之前没时间看的电影电视剧。大家有什么推荐吗。我听说《莲花楼》不错
1703085329# #十一以后应该会很勤快吧！。。小小年纪就展示出如此的家务天赋！
1702812080# #发现人真的会随着年龄增长，越来越不爱洗头……。。我因为不洗头，又好吃懒做，获得了孩子他爸取的新外号：蓬蓬。。全名是天蓬元帅。
1698929223# #恭喜
1699631669# #今天的别墅改造日记：。。给垂丝茉莉浇水。入了一套新的展示架拍内衣。圣诞树也装好了，双十一后就开始选圣诞礼物啦。把房东留下的一个老旧木椅铺上垫子。这下就很新啦
1697422894# #我看首页都在骂大v实名制，但是做电商的普遍比较淡定……。可能是因为我们早就开始实名制发货了笑cry。。（我本人也不是很支持上网实名，你问我名字我可以大方告诉你，但是被迫向每个人展示也没必要吧
1701844832# #龙珠胶囊车！
1701432931# #进入12月啦！发一个圣诞合集吧。做礼品行业也有六七年了，都是这么多年积攒下来的好东西太开心。每一个都是我亲自看过实物，对比过的，这几年因为太卷，价格也都下来啦。。大家有什么想买的都可以和我说！。有公司采购需求也可以联系我们，可定制可开票抱一抱。圣诞季
1701706552# #B站搜，有快的，根本跟不上，可以先从慢的开始熟悉了自己加倍速，真的很有用而且很简单
1700664879# #十一现在很会喊爸爸了，但一直不怎么喊妈妈，平时都瞎喊。。据我观察，他只有不舒服生病时才喊妈妈……
1699766520# #？
1702563570# #我们搬仓库以后，旧仓库500平到现在没租出去，原来的房东还问我要不要考虑回去可以降点价汗
1700402436# #周末继续送猫和老鼠啦开学季。正版的带帽披风毯子，不管工作还是宅家都可以带着保暖、午睡，可爱又实用！。。🔥卷发里揪一个人免费试用抱一抱
1701008912# #这个暖脚的大家该买的都买过了吧！打算涨价了，一样的东西人家都比我们贵苦涩
1698228364# #十一和小鸡一见面。。娃给猫跪下了允悲突出一个长幼有序！。然后就追着小鸡要摸它，令我惊喜的是，小鸡还记得我们苦涩苦涩
1703175891# #工作的疲惫全靠看娃笑的视频调节。。心情一下就好了
1698112196# #看了眼我微博的访客名单，除了认识的，就是不认识的……而且将近一千人，根本没耐心看完汗汗。好像也没啥意思。。又看了眼我的经常访问，开始思考是不是我看的人都太正经了！我感觉没啥不好意思让人看到的啊
1700407275# #恭喜
1702648881# #好好好，每天都有女明星的返图～说一下这个是loopy正版的圣诞限定皮肤，剩的不多了，卖完就没有咯
1702996419# #没有，我问他们有没有打过包，都说没有……最后选了另外两个学历不高但是打过包的笑cry
1699107438# #今年我们内衣店的双十一答卷在此。。🍑悦己秘密花园
1701946931# #哇，这个手好性感
1699548329# #台湾综艺真的敢讲
1699537131# #国外很火的发财灯！。。已到仓库，谁会拒绝这个数钱灯呢？
1702617451# #为啥要这样说话啊，明褒暗贬太明显了
1697133553# #恭喜中国队ti开门红！
1696692669# #今天公婆回去上班了，送完公婆回家发现十一身上出了疹子，这不就是前几天评论说的幼儿急疹嘛！。。症状也一摸一样，发烧时没有咳嗽，退烧后身上就出现了这样的疙瘩，搜了下好像也不用吃药，过两天就会自己消了。。。网友还是见多识广呀！
1702793359# #每天一起来脑瓜子都是嗡嗡的。日常就是打电话给各个工厂问为啥货还没做好。到底啥时候能发出来，人都麻了。。友情提示大家要买圣诞礼物的赶紧。今年好几个爆款都是20号才能做好发出。再迟真不一定赶得上了
1702651274# #今天有朋友问。这个圣诞树里的小熊蜡烛能不能单独卖啊！。我们主打一个有求必应，必须有！立马安排。。不仅有小熊，还有大熊！。友情提示，点的时候帮他把围巾取了哦！。小东西就在评论里送吧，揪三个粉丝送小熊，帮我写个评价就好抱一抱抱一抱。大熊和小熊
1703085689# #但是让我更有成就感的是我们的礼物给好多人带去了开心和快乐还有爱开学季
1698913113# #图一我以为是千颂伊……
1697377022# #搬一次仓库真的感觉能减十斤。图四这种车大概搬了八九趟，我们收拾了四天。明天终于勉强能恢复发货了。图二这个货架板子，我每张都拿抹布把灰擦干净了。擦了有一两百张吧。真的腰酸背痛腿抽筋……
1702218601# #传送门：
1697542335# #电影《变脸》，老师傅后来收了一个男娃当徒弟，没想到这个男娃是女扮男装的，小时候看的我哇哇哭
1703343665# #恭喜
1703257278# #恭喜
1702411185# #CCDDDABCAC
1700232961# #第一次吃俄罗斯巧克力。拆开之前我们还在纳闷，俄罗斯又不产可可豆，这巧克力能好吃吗？。然后每人一口下去：怎么这么美味？！。。谢谢太好吃了
1701870677# #嗯？难怪我们最近放了肉桂的圣诞小袜子出这么好？
1699967107# #摊手
1703771244# #从圣诞可爱到元旦抱一抱抱一抱抱一抱
1696827975# #今天拆包裹，发现阿姨又给十一买东西啦。是一双小鞋，阿姨说还买了背心没有到。。其实平时只要阿姨说需要给娃买啥，我们都是马上去买的，但阿姨还是会自己给十一买东西，也不给我说，要不是今天我拆包裹都不知道。。。阿姨说因为小孩儿病了一场，现在特别嗲，爱撒娇，就给他买东西了笑cry只能说会撒娇的
1701436078# #也麻烦大家申请仅退款理由选“其他”或“与卖家协商一致”，其他的理由都会扣店铺质量分，谢谢了老师好
1700312473# #这次和去南通最大的收获应该就是这个枕头泪泪。去得当天我颈椎病发了。晚上到家头疼恶心。还好拿了一个样品回来，当晚就拆开睡上。它的结构是黑科技软管➕鹅绒。颈椎那一块支撑力特别好但又不会很硬。头部接触到的部分很软又有一定支撑力。总之就是睡上半小时头疼就缓解了一点。第二天起来一点不疼
1701256650# #刚店里有个大单，买了好多圣诞礼物。需要我们开票，我一看对方公司名字：上海鹰角。。哇，这个名字好熟悉！泪泪。。还得是游戏大佬啊，要是每天都有一单这样的那真不知道是个啥滋味！！！
1699968113# #给十一剃头发咯，虽然不配合，也没办法。因为他没遗传到我的发量，头发都是稀稀拉拉的。阿姨说只要长出来一点就剃掉。就能越长越多，头发也会越来越硬。希望这次能多长点头发！
1699097620# #那个不是贴纸是让他拿在手里的笑cry笑cry笑cry
1698035226# #今天醒来第一件事，把基金全清仓了。。实在是每天看的糟心。说a股是诈骗市场我觉得没啥毛病。这些基金经理更是，拿着基民的钱去高位接盘，亏多了就辞职跑路，一点责任都不用付，管理费还照收，真是监管的好啊。我反正不跟你们玩了
1699443949# #洗澡的时候被吓到，一抓一大把。。原来生完孩子没掉头发只是时候未到！。。十一一岁了，认识妈妈了，我也终于开始掉头发了苦涩
1700063783# #忙活一天上了快十个新品。。。最近腰疼让我工作效率只有以前的一半了苦涩好的身体才是最大的优势啊！大家要引以为戒，劳逸结合。。明天还要去南通看货，今天先工作到这。
1701702257# #今年圣诞季是我准备最充分的一次。而且是整合了好多牛逼的出口工厂资源。比如这个圣诞水晶球系列。这个厂每年的订单都是最精美的。我把他们全放在了一起，方便挑选。。有传统的风灯，还有圣诞马车，圣诞火车，真的每一个都好好看，如果大家送人需要一点上档次的礼物，就看这个系列！传送门：
1701524234# #前几天还以为十一认识爸爸了，后来发现是白高兴一场，他现在喊所有人都是爸爸……。。哎，娃都一岁一个月了，都还没有站起来走的迹象，咋整呀，好急……
1703257930# #恭喜
1696861167# #麦当劳高达，闪卡。还有这个肌肉玉兔都到仓库了！。。指路：🍑魔王城堡创意礼品
1703424697# #必须发微博赞美一下家的丹东草莓！太好吃了。我一般是很少夸生鲜的，因为这个品控非常难做！可能我这一箱收到好吃，下一箱就不好吃了。。。但是五五子家的草莓和猕猴桃，我从去年吃到今年，自己回购至少十次（十一每天吃一个她家猕猴桃），还给亲朋好友送了好多，无一次翻车。可见她在品
1702817490# #修正了一下，没想到有这么多号都消失了……。。如果有误伤可以提醒我！
1698370419# #好好看苦涩
1701354100# #给颈椎枕配的枕套来咯！真丝的枕套是真好，我睡了几天头发都顺滑了
1702617001# #太可爱了我们女明星
1702831328# #恭喜
1699537920# #昨天一个供货商朋友来我们仓库参观，顺便互通有无，聊了会天。。。他从深圳过来，说了好几件让我诧异的事情：。1深圳房价跌了很多。2他认识的做自媒体起家的朋友，这几年行情太差，转去做餐饮，生意都挺好（蜜雪，螺狮粉之类）。3很多几年前做的不错的品牌（创意礼品行业），大部分不太行了，还活着的基
1703774037# #今天起来就看到菜刀曦曦发的微博收益，一年44万，好几个朋友让我也赶紧转母婴博主。。有没有一种可能，我已经是母婴博主了呢！？。。别看我现在一年才一万，不如人家的零头，要知道生娃前一年才4000呢，我觉得很知足了，主要创作内容真不是那么容易。。。首先我因为工作很忙，带娃时间相对比较少，素材也少
1700407029# #恭喜
1703336904# #刚才累的直接睡着了。。。以前也有比今年圣诞生意好的时候，但是没这么累，今年比之前三年好很多，我估计很多工厂也没料到，所以出现各种缺物料，生产跟不上，缺货的情况。。。然后为了让大家在圣诞前收到礼物，真的每天要和十几个不同的厂拉扯吵架要货，还要解决一些突发问题，什么快递晚到了，直接喊人去
1697896656# #有一说一这哥们长得真好看
1702313720# #哈哈哈我也会问，然后孩子他爸开始讲我就睡着了，很催眠，真的
1703084484# #最近忙到啥程度。。晚班的女朋友（我老同学）发来照片：。回消息回不过来，忙到只能喂饭允悲。。其实也挺开心，因为感觉我们都从那三年走出来啦，一切都会好起来的，这时候应该出现春晚那句：忙，都忙，忙点好啊！
1696745234# #显眼包
1702378290# #我等你收到返图哈哈哈今天终于到货了，每天催一百遍
1699474088# #对本金牛座来说，一定是爱一个人才会想给ta花钱。所以我觉得这就是爱她啊，只是一种比较痛苦的爱
1697892593# #管床医生上午特意嘱咐孩子他爸去买这个。说喷了对伤口恢复很有效果。而且强调要去医院对面她指定的店里买。花了168……而外卖app上这个一般是30左右汗汗。。本来有点子无语，但是医生给我换药时说她从昨天8点上到今天都还没下班，太累了，工资也不高。哎，算了算了，都不容易……只要医生给我换药时轻
1702387016# #冬天家里放一个迷你壁炉灯，感觉暖和了好多呀。。布置圣诞氛围的姐妹们别忘了这个壁炉！。真的氛围感神器（没有取暖功能，但是晚上开着睡觉特别有安全感。。圣诞季
1702906607# #一小时前我刚从仓库回到家里，就接到一个陌生电话，说在路边捡到好多我的快递！。。我一听都惊了，马上打电话给快递员，原来是拉快递的车后门没关好，有十几个快递掉在仓库门口的路上了，万幸是刹车时后门会自动关上，所以没出现掉一路的情况……。。好心人还帮我们把包裹全搬到路边了，我加他想发个红包感
1699352131# #收拾仓库翻出来一个阿木木的模型。记得以前卖两三百吧。应该是灯坏了，头有点松，其他都是新的。有人要吗？40就出已经出掉啦
1701168629# #啊这
1700922667# #恭喜
1700319298# #我想把家里的4090出了有人要么（主要是用了几个月发现完全是浪费……就打打dota用不到这么好的显卡
1704031894# #重点放前面：。评论里揪三十个铁粉平分900块😸😸。再揪三个粉丝送店里新到的小神仙香薰石，也可以放车上，实用又吉利！🌁🪙。。过了25岁以后，真的感觉每一年都过的好快哦！。。2023也是这样，突然就最后一天了，不知道大家此刻在做啥，我们在家里看b站跨年，顺便玩一下饼干人，晚点可能去打把dota2
1697385876# #哎这是我们的头盔和发光剑！小朋友穿好可爱啊！！！
1702562097# #我发现我真是有点子投资天赋在身上的。。永远都是买最多的亏最多。买最少的嗷嗷涨。。怎么回事朋友们
1703260328# #恭喜
1699973535# #我这两天忙的，微博都没顾上发。。主要是每年的12月都是我们最忙的一个月，所以这几天我都在忙着选品，谈合作。。很开心的是拿到了猫和老鼠正版周边的授权。这个系列我好喜欢，因为都很实用！。。还有去年我就看上的一款圣诞灯，绝美！但厂里去年说不能给国内做，今年终于松口了！请看视频！。。还有图三！我曾
1702981486# #祝大家圣诞快乐！
1703054030# #今天终于把南京一家科技公司的圣诞礼品单做好发出去啦，他们定了1200盒圣诞小袜子～。。卡片也是我负责单独定制的，好好看呀，logo我打码了！发现我真的很爱做这种订单，因为很有成就感。。。虽然中间会涉及到各方面，采购，工厂协调，杂事很多，但最后完成的时候很开心。。工厂也表扬我了，说同样是礼品单
1702199493# #好看！
1697720784# #在医院点了外卖，感觉也太幸福了。。去年生十一的时候疫情还没结束，医院不让外卖进去，每天只能吃医院的窝窝头（一点都不夸张），都把我吃出心理阴影了！今天这顿饭吃的好满足！。。医生说明早给我手术，今晚十点后不要进食，所以我打算吃到九点五十九分嘻嘻
1704016187# #图四五六美到我了
1697906522# #半夜在医院看十一的视频。。嘿嘿，小孩儿真的很治愈！。为啥很多家长要孩子感谢自己？我觉得应该家长感谢孩子，谢谢孩子选择我做他的妈妈。
1701616449# #之前有人问的，进口诺贝松•真•圣诞树有了！。。从荷兰丹麦进口的，都是鲜切树发货（所以这个不可以退哦），保存好的话能维持一个月的样子。。全部顺丰发出，送配套挂件，加上灯就很美了，斟酌很久要不要抽一颗，担心大家觉得这个太贵了允悲如果喜欢的人多再考虑送吧！。。但是真树也真的会很不一样，不
1698415841# #今天的plog
1700927032# #开店有时候真能把自己气笑……。今天店里收到的一个投诉，理由是尺寸不符，要求我们仅退款。。然后这款项链，我们写的尺寸是7.6厘米，就让买家举证，买家发来了图片，真的把我们全气笑了。。。最后结果是我们拒绝退款，买家不依不饶要投诉，淘宝把这钱出了……（有一说一淘宝还是大方
1696778267# #我这么回答没问题吧家人们。。（就是开个玩笑哈！后面我就发了图二这张返图，很好的展示了80厘米和108厘米拿在成人手上的效果！大家可以参考
1698072107# #住院期间好想十一哦！。还好阿姨每天都给我拍了视频。这么一看感觉十一每天都好充实允悲
1697124599# #昨天有人问这个eva充电宝可拼装是啥意思。就是它表面的这个机甲是可以拆卸的。而且可以和同系列的其他配件互换。。这个质感超级好，初号机配色也太美了！现在预定可以报暗号“小鸡最萌”八哲！。（12月出货）。EVA超话
1702653369# #从仓库拿了一个爬绳子的圣诞老人回来给十一玩。结果娃不为所动，毫无反应。一直很认真的盯着他爸爸的电脑屏幕。看来孩子帮我工作的好日子已经指日可待了开学季
1704012629# #玩《饼干人》又被孩子他爸吐槽了。。因为我舍不得给游戏充钱，而且打到的钻石，材料，加速券我都舍不得用，全部攒着。。。孩子他爸：哇我真服了，这一两块钱你在这里扣扣搜搜，你点外卖咋没这么节约？一个月不点奶茶咖啡你能省一千多块，够你把这里面大礼包全买一遍。。我发现还真是消费理念不同，现实里我
1698314531# #来自婆婆的爱。。给十一生日买的大金锁！
1698072158# #这个显示器上的小水獭。我好像忘记宣传了，但一上就很受欢迎！。监工水獭，也太可爱了吧！
1700544786# #有点意思
1700381165# #……？
1702822369# #今天送这个～。在圣诞树里捉迷藏的可爱小狗！做工非常好，摸着毛茸茸的，圣诞树里还可以藏别的小礼物哟！。。评论里揪一个粉丝送～（配套的圣诞袋子也好好看。老规矩要帮我写个评价哈么么哒🎄🎁。。看过最可爱的圣诞礼物
1698769042# #很不错但是这两个人走一起怎么特别像是什么主人的任务……
1699198187# #下午十一笑死我了。他自己在床上玩，然后无师自通学会了这个声音。就嘟了好久笑cry。孩子他爸说这是在模仿发动机我服了
1699364016# #今天突然降温，估计好多人都和我一样措手不及。那就来送这个吧，入冬后最需要一个可爱的杯子喝热饮，暖手暖心。。卷发里揪一个粉丝，熊猫花花or小熊猫猫猫？可以任选你喜欢的一款带走～。。大熊猫花花
1700564433# #本来想说俺的兴趣爱好都是被赚钱和游戏给耽误了。。仔细一想，赚钱和游戏也是兴趣爱好啊！。能有一两个爱好坚持这么多年也很幸福哈哈哈
1698603740# #对面有nec炼金。为啥没看到lgd出大骨灰啊？。还是我没看到？。这个阵容，也没看懂。DOTA2超话
1700143332# #今天晚饭也是安排的。整顿饭震惊我的不是这个摆盘。而是旁边坐着一年光租金收入就有500万的姐姐，非常诚恳低调的问我们能不能帮她卖一下她厂里的四件套……出厂价给我们允悲允悲。。回来路上我们就在讨论，如果哪天我们一年能躺着赚500万，还会继续开店做生意吗？。我反正会，我要来体验一
1699713108# #🔮卷发，评论里各揪一个朋友送出2024手摇日历～。。时间一晃而过，距离双十一结束只有90分钟，而距。离2024年，也只有一个多月了。。这款机械日历也随我们一起，翻开了新的篇章。。。在经历过战争，病毒，天灾后，多么庆幸，我们还能一起欣赏到这些美，这些艺术，这大概也是它们存在的意义吧！
1697638007# #感觉十一现在能听懂一点话啦。他不爱戴帽子。但如果我们夸他好看就能多戴一会儿……
1697866069# #哇今年不会最后是中国队包揽冠亚军吧，已经开始做梦了嘿嘿开学季开学季开学季
1700303672# #难怪我总觉得近年的日剧很难看，充满了浮躁做作，还是之前的电视剧太厉害了
1702092968# #恭喜
1698745926# #我再补充一下，图一图二是我们年底的重磅真丝系列“琉璃”，也是合作设计师的新中式中高端内衣首发，非常推荐！图三是磨毛家居服，最近几年都是暖冬，所以这种日常款能穿很久！体感特别舒服！今年我们还做了露思同款睡裙，海的女儿再版，家居服也还有几套厚一点的供怕冷星人选择，牛奶绒四件套也有了！
1700405526# #恭喜
1698838511# #极氪的麦克风，等了几个月终于到了！。之前我以为300多是一个麦，原来是两个，那还可以，不算贵！麦克风质感很不错！。。我立马在车库高歌一曲，但是有一说一，这收声、混响、延迟啥的，和ktv还是有差距，只能在车上唱着玩玩！。极氪啥时候出音响外放功能啊，这样我就能在路上唱给大家听了，哈哈哈哈（可
1701868374# #最近仓库已经进入圣诞季的节奏。哈利波特大礼包快发不过来了。圣诞小袜子也爆单了。。因为都是手工弄的，产能跟不上，今天还接了一家公司定的一千多个小袜子，估计后面厂里都得赶订单，大家要送小朋友圣诞礼物的，最好提前准备一下！
1698331315# #我的钱都花在哪了。小熊猫杯子！怎么这么可爱啊
1703251536# #琼瑶是真的很会选演员
1700144748# #今天谈好了床品代工，心情很好。来送东西了！。。😺卷发，评论各揪一个粉丝🐭。随机送出猫和老鼠正版的可爱小毛巾！（也能做擦手巾，抹布，用料很好！而且白菜价。传送戳👉
1701241912# #真是创到鬼了。我们租了这个新的别墅做仓库后，因为楼上还有别家租户，房东特意请人来重新做了电表，每层楼的电都分开走线，结果就出问题了。。我们一楼晚上都是没人的，但是每晚一楼都稳定用7度电。。一开始我怀疑是不是一楼鱼缸费电？把鱼缸电关了，照样7度。。。白天鱼缸过滤抽水灯光全开，加上三个人办公
1701588038# #卧槽，还好我买了几次后感觉没啥效果就没买了，但是也花了好几千啊，心痛我的钱
1702995849# #今天阿姨给十一买了小手套，好可爱呀！。我给十一买了几套冬天的新衣服，阿姨说用不着这么多，就穿一个冬天，明年就都小了，可以退一半。。。我说，但是这个企鹅的羽绒服太可爱啦！。阿姨说，是的，那就留着吧！
1701008120# #恭喜
1703260893# #恭喜
1697288681# #一天下来累爆了……明天继续……明天尽量恢复发货
1702828896# #恭喜
1702374786# #刚给一位买了很多圣诞音乐盒的顾客开票。对面发来的单位名字感觉就很牛逼的样子。。然后搜了下，这幼儿园一年学费15万苦涩苦涩。是我这辈子上不起的学校了……
1702042587# #坏消息是十一还没学会走路。。好消息是爬的比走的还快……
1699549085# #这题我会，我当妈妈了！我希望孩子开心快乐就好！
1703419984# #这是真嫂子
1700566770# #笑cry严肃文学焕发新春
1702632133# #圣诞季真的是每天忙的我脑瓜子嗡嗡的。跑去和供货商砍价，结果告诉我不仅没法降，还要涨20%……。理由是这个小动物全都得手工做。而年轻人不愿意进厂，年纪大的做不了。人工成本每年都在涨……。哎，难受，我说我下周再涨吧，喜欢竹林千子的可以赶紧拍一波，这个是出口日本的小动物挂件，真的很精致，除了贵
1697035439# #？？？
1700728190# #后面那个凉亭水帘真是惊到我了，一个人顶一整个装修队，审美还这么好真难得
1700481671# #今天的别墅改造日记：
1697082061# #日本没帅哥了吗汗
1703151134# #给灾区捐了价值小两万的东西，我们捐了就是大家捐了！
1700912068# #这个有用
1702010227# #恭喜
1696770909# #哎，突然发现我已经很久没有完整的玩一个单机游戏了，要知道我读书时可是经常去网吧通宵玩《古墓丽影》的人……。。感觉现在很难有属于自己大片的时间，偶尔有点空闲也是不停刷着各种社交平台。。下了好多读书时没看完的漫画，也是从没打开过。小时候畅想的“长大后就能随心所欲看漫画打游戏”的日子到底啥
1702809645# #十二月的好物分享：
1701356485# #小时候做梦都想有一个这样的音乐盒泪泪。。圣诞季
1700137552# #今天和、孩子他爸一起来南通叠石桥了！。从上海开车过来还挺近的，只要一个多小时。。。这次来就是为了给大家选一些真正的好货，床品不比别的，非得亲眼看，亲手摸才知道东西好不好。。。在这里要感谢老板的盛情招待，先是带我们吃了巨好吃的江西炒粉，瓦罐汤，下午又陪我们逛了半天市场
1696853001# #不客气！友情提示这个快卖完了！
1698913099# #这套真的夸累了，今年最美的睡裙
1702993178# #发型对一个人来说有多重要！！。。以下所有图片是同一个人你敢信？？？。。幽游白书真人版藏马
1703830658# #十一吃家的大草莓了。。发现娃还是很聪明的，一般的小东西他会给大人吃，真正好吃的东西他就不给了，虚晃一枪，最后还是喂到自己嘴里。
1699960713# #？？？
1698935083# #其实每年双十一都没我们啥事。毕竟我们只是一个卑微的礼物周边店，不是刚需。不过每年也都会跟着一起凑凑热闹。。今天就送这个吧♥️。卷发就行，揪一个粉丝送带led屏幕的赛博朋克头盔。更多好玩的可以戳⬇️传送门进店逛逛！
1700910672# #有没有当了妈妈的姐妹来说下。娃一岁了，我这个掉头发的量正常吗。。这辈子没在洗澡时掉过这么多头发，真的感觉像是得了什么绝症苦涩苦涩
1702563832# #说到开票，想起来最刺激的一次。。当时看到这个名字真是惊的从椅子上弹起来。然后开始逐字看之前客服的有没有问题。（人家问能不能优惠我们说不能，一分都不能少苦涩。（还好客户很好说话，其实下次可以早点说自己单位，这我们肯定能优惠……
1702480155# #永远相信我的审美抱一抱
1699538587# #这个明天晚上开吧，明晚双十一正式开始！
1696680845# #恭喜
1702620134# #好棒好棒抱一抱抱一抱猫也可爱！
1702304502# #好看！晶莹剔透的玻璃圣诞树🎄！么么哒
1700548000# #十几年了，这段舞至今还是没人能超越啊
1702470912# #不知不觉我已经从一个I人变成了一个e人。。今天打车去仓库路上，突然好想唱歌。我就打开手机放了一首雨蝶，跟着唱了一路。。司机全程都很惊恐！。。现在我主打一个想唱就唱，放飞自我。人活几十年，我要抓紧时间发疯！
1699101853# #这两天忙的差不多了，开始给新仓库别墅整点锦上添花的东西，结果不弄还好，一弄发现这是真的费钱啊。。首先是绿植，我找的最便宜的，也得一两百一盆，没舍得买太多，先来个三种看看能不能养活。。。然后就是鱼了，房东以前在这办公，弄了一个大鱼缸和一个小池子，我寻思做生意自然不好让这鱼缸空着吧！。结
1702738946# #要是觉得我们卖便宜了，可以现场给涨点儿……
1702829534# #恭喜
1701872128# #今天送这个～手工制作的圣诞花环挂件～。款式很多，每个都好好看，用的是仿真诺贝松，所以可以挂很久都不变色。据说圣诞花环能带来好运，肉桂还能招财！。。卷、评各揪一个粉丝送。老规矩要帮我写个评价哈感恩。圣诞季
1699685652# #哇我真的心如刀绞。藏马是我人生里的唯一男神！这个角色真的太完美了，要说唯一缺点就是刚出场时，富坚把他画的像个伪娘，但是也能理解，毕竟那时候富坚还不红，需要讨好读者，到了中后期幽白火了，这个角色也越来越男性化，外表俊美又行事冷酷，妖力强大还脑子好使，而且感觉妖狐在转生为秀一后，整个
1700379845# #买了一个取暖器，说是可以暖100平的空间。昨晚试了下，暖一个卧室都够呛。如果放客厅基本没啥效果，除非是坐在它旁边。结论：大范围还是得靠空调或者暖气。小范围不如买几个便宜的取暖器，或者我们店里暖腿暖膝盖的，和他效果差不多。考虑到这个接近2000块，今天决定拿去退了……
1703509547# #顿顿龙的实物视频来啦。这也太可爱了泪泪泪。龙年不来一个嘛？？？暗号“小鸡最萌”=68！。之前拍了价格不是68的可以收到来退差价抱一抱抱一抱。新年礼物
1699451446# #看到仲尼的新闻真是感叹世事无常。。。别的事我不好评论，就是巴厘岛怎么老出事啊……看来度假也不安全
