1702725300# #不可思议的三角形，你知道这其中的原理吗？
1703593786# #司机替没带钱的小女孩投币，小女孩下车前送司机一朵小红花，世界美好从小的善举开始心
1702454520# #养花人要懂的小技巧，马住试一试！
1702110421# #盘点90后父母带娃名场面～
1702372687# #有没有这么一个角色，不用说名字，说一句台词就能被人知晓？
1702138886# #刷到菩萨请不要无视，真的很灵！
1702347720# #西藏缺氧，但从不缺信仰。网友旅游偶遇，一路“摔拜”到拉萨的一位朝圣者。
1702127437# #有一说一，这首歌唱的怎么样？
1702713721# #前排大叔座椅放倒，大量占据后排乘客空间，后排大叔选择默默忍受，说实话有点欺负人了…
1703941321# #养花五种水，胜过千种肥，马住！
1703783244# #你老家方言管这种人叫什么？
1702608300# #60岁超辣退休体育老师，身材棒心态好！
1703060521# #看到这个视频，发现动物之间的智商也是有差距的……吃个饭就体现出来了，你看看谁最与众不同！doge酷
1702038540# #如何迅速提高孩子口才赵玉平教授重新阐述了他的经典三招跟、背、诵，每天15分钟了，操作性很强，实在太佩服了。
1702445640# #高情商的你会怎么回答？
1702435154# #女生扶正“喷水花洒”，不料被人提醒“快跑”
1702014011# #英语零基础秒懂语法，这一章足够了
1701919500# #胳膊肘黑、屁股蛋黑轻松解决！脖子黑要注意！
1702537320# #如果给你五千万，以后永远都不能吃以下三种东西，你会选择哪三个？思考思考
1701767349# #三色球连线，有人轻轻松松，有人挠破头皮也连不出来嘻嘻
1703573921# #父爱如山，让人感动
1703590516# #佳丽们高喊各自省份名字，黑龙江选手普通话标准气势十足！
1702346581# #这些有趣的汉字，你认识几个
1703988840# #大数据是不会骗人的，看见鱼咬莲花后会好运莲莲，是收获爱情、财富、运气的祥瑞之兆哦心赶紧来许个愿吧！
1703895481# #没钱不结婚，不靠父母，家里顶梁柱供弟弟妹妹上学，6年辛苦惹人心疼！
1701854700# #中国人只用4个字就可以化解所有矛盾
1703722920# #我一个一不小心二哈
1703351051# #刷到菩萨请不要无视，真的很灵！
1703636461# #开车要懂得看车头盖来判断车距，这些技巧你要掌握！
1703041380# #羽绒服洗过之后扁的怎么办？一招教你轻松搞定！马住！
1703115780# #趁早告诉孩子“五乱”毁一生！
1701921780# #终于理解“打扮”这个词的意义了二哈
1702470420# #小孩双手脱把骑车酿事故！这到底谁的责任呢？费解
1702162860# #让美国人头疼的鲤鱼～
1703256821# #没有从天而降的英雄，只有挺身而出的凡人！
1702518181# #你老家方言管这种人叫什么？吃瓜
1702295444# #当红女明星近距离颜值欣赏，哪个才是你心目中的女神？
1702516081# #在上海花800租的房子，虽然房间小一点，但在咱沪漂眼里也算是“豪宅”了！
1702887841# #20万人听董宇辉讲历史观，全程精彩输出，被惊艳到了，太优秀了！
1702618300# #某地发生的一起事故，骑车女子安全意识太淡薄了……
1701845455# #记住这8个规律，字想丑都难。
1701766500# #替孩子存下吧，很难找全了。
1702530241# #古人的智慧结晶，能传承至今，肯定有它不可取代的地位，get
1703003156# #刷到菩萨请不要无视，真的很灵！
1702191924# #网友：想了半年了，实在没招，这个位置能放点啥？
1703730121# #非法雇佣……卧槽！强迫劳动力都开始跨种族了？
1702360920# #为了照看瘫痪爸爸，35岁女儿至今未嫁！谁愿意娶媳妇带着累赘呢？
1702088581# #感觉很厉害，这是再练什么功夫？？二哈
1702178641# #拉力赛车手戴的撕膜头盔
1703982360# #烫面半烫面死面发面的区别和用法，太实用了，必须码住。
1701933121# #网友:爷爷表达对孙子喜爱的方式，这样合适吗？
1702715161# #一个视频教你弄清自己适合长发还是短发，涨知识了！
1703378460# #罗翔老师：每当我撑不下去的时候，我就打开这个视频！越挫越勇才是一种境界赞
1703228341# #9分钟讲透圆的八大定理，中学数学必懂！
1703942880# #盘点50首来自台湾省的炸街神曲，你听过哪些？
1703334405# #主任医师告诉你：坚持走路有五大好处，看完涨知识了。
1703978640# #吃了这么多年皮皮虾居然不会剥，这回明白了
1702485112# #刷到菩萨请不要无视，真的很灵！
1702734494# #难以理解在餐馆用公共碗筷喂狗的行为！
1702787640# #遇到这种情况，要报警吗？
1702347901# #这哥们跳的太棒了，厉害！酷
1702341661# #听的津津有味，讲的太仔细了，你是真想教会我们
1703828280# #如何一秒学会打领带，你学废了吗？
1702427041# #上联：仙是山中人；下联？？？
1703494261# #有趣的灵魂，有趣的老师，才能成就有趣的学生比耶
1703691180# #超详细的厨房小知识总结，这个好实用！！哆啦A梦花心
1702310340# #英语三种人称代词，15分钟彻底讲清。谢孟媛老师
1702329360# #转：颈椎不好怎么锻炼？这几个动作坚持练起来！
1702570427# #刷到菩萨请不要无视，真的很灵！
1703697604# #这几部卡通，你都看过吗？
1703171351# #包饺子手法，一看就会，马住学起来！
1703688896# #这位博士父亲真是太了不起了，为了帮助孩子学好小学数学，他熬夜制作了一份动图整理了所有小学数学知识点。。。这份总结非常专业，对于有小学生的家庭来说是必备的收藏品。。。动图以直观生动的方式展示知识点，给孩子们带来视觉冲击力，帮助他们更好地理解，让学习变得更轻松。（转）
1703082480# #以为是搞笑的，没想到是王者！真是高手在民间，这体育老师的棍法太牛了！兼具速度与力量。
1703779557# #年轻真好，随便一跳就很美！
1702188292# #足球版的乒乓球，你觉得怎么样doge
1701822181# #这么多人一点不觉得尴尬吗？
1701689340# #一夜之间白了头是存在的。泪泪泪
1703043061# #年纪大了，看不了这种视频
1702302719# #从不把负面情绪带给学生，这才是我们要的好老师！辛苦了心心
1703242921# #这起车祸，大家看看怪谁？费解费解费解
1702516980# #父母一定要降低对孩子的要求！家长们要看一看。
1702529937# #漠河这两天最低气温已降到零下40°，这穿衣流程也太酷了吧！允悲
1703719321# #玩金箍棒的动作分解，看会了吗……
1702861260# #盘点11个教育方式，面对孩子不听话时，家长们怎么做！你最认可哪一种？
1701950941# #原来猫和老鼠真的是纪录片啊，地板打滑那几下，跟动画片里一模一样。
1701651720# #动手能力真牛逼，看得我好舒适。good
1702976125# #董宇辉：勤奋重复大量的练习，是给每一个普通人成才的机会……值得好好听听！
1703872482# #一位来自衡水中学的985学霸分享了他的学习经验：如果你想要初中数学考到110分以上，那么你必须把这18张常考知识点归纳背下来。这份资料非常全面，非常适合基础薄弱的孩子用来查漏补缺和巩固基础。这些笔记并非出自学霸之手，而是包含了一些考试必备的定理、定义、几何模型以及答题技巧。孩子们可以收藏
1703124360# #小伙啤酒白酒掺着喝，直接将自己喝的口吐黄色液体陷入昏迷
1702393945# #父母懂得控情绪给孩子做了个榜样，小孩云淡风轻，从容不迫！
1703461320# #网友投稿：为什么路过的人都不帮忙呢思考
1701998460# #根本没勇气看完，拖鞋都扣烂了。。裂开
1702375380# #网友求助：表弟学了一年的跆拳道，想去打职业，大家觉得需要做点什么准备？
1703027101# #这跳绳玩的真溜啊……
1702825381# #傻瓜式电脑装机教程，喜欢的可以马住！
1703781640# #刷到菩萨请不要无视，真的很灵！
1702452601# #坐高铁飞机没带身份证怎么办？教你一招
1703333381# #没钱不结婚，不靠父母，外卖小哥一席话出口成章，太有才了！
1703073961# #全国100首古诗词里的地点，这是我们向往的诗和远方！
1702461780# #幼儿园的体能训练，这种教育方式真不错！
1702957201# #手机里这4个功能，一直在泄露您的隐私，别不当回事，赶紧关掉！
1701835380# #发现人活着根本花不了多少钱开学季
1702816080# #建议所有女生都练一练这个动作，每天100个。紧致全身，瘦腿瘦肚子，提拉臀部。赶紧学起来！
1702597141# #盘点让人泪崩的感人瞬间：自己过的一地鸡毛，也看不了人家疾苦！
1703415061# #为什么小诊所这种纸包的药，仅需要二三十块钱就可以治好普通的感冒发烧
1702915930# #9种超上镜的基础拍照pose教程，日常拍照必学～太开心
1703648280# #妹妹天赋异禀，哥哥从小就给妹妹当陪练……
1703376120# #一位退休大厨推荐的27个万能做饭公式！精辟又实用！强烈建议大家收藏起来！
1702035721# #同事的PPT也太卷了吧，谁懂啊，这个转动的时间轴PPT真的太太太绝了。
1703292121# #八大行星的自转方向和相对速度兔子
1703829781# #明明自己过的不尽人意，却见不得人间疾苦…
1701759121# #父母带着孩子。在家做手工吧。这个扔出去。可以回来
1702175401# #糖尿病的10大谣言，快给家里长辈看看吧。
1702003680# #这样的游泳教学方式到底科不科学……？
1701678421# #盘点路怒症被反杀的解气名场面！
1702514281# #马未都：从古至今发大财的人，无一例外都有一个共同点。听听！
1702706340# #正确和错误的跳绳姿势对比，快来看看你属于哪一种？
1703326283# #七版杨过摘面具对比，哪一位才是你心中的杨过？考验郭襄演技的时候
1703750641# #出卖旧手机等于出卖你自己哆啦A梦微笑哆啦A梦微笑哆啦A梦微笑
1702615201# #真是高手在民间，这四个字每一笔都出乎你的意料…
1702267260# #投稿：求一个好听点的名字？
1703470920# #女孩从小失去双臂，上帝为她关上一扇门，却给她开了一扇窗，她靠着自己的坚强意志，学会了用脚化妆、写字、做饭、洗衣服…正常人能做到的，她大部分都能自己独立完成。四肢健全的我们还有什么理由不努力呢？为坚强的女孩点赞！赞
1702277318# #打球为什么那么多小动作？？？
1703302140# #头疼到底怎么办他呢？？doge
1701952741# #卧槽！小女孩的这句话好有哲理！
1703983740# #上海人母子，靠每月3000收入维生，租3平米房住过一天算一天
1703576580# #某地小区，一拴绳的大型犬扑咬小朋友，拉都拉不住…
1701947155# #男生的9种身材，你属于哪一款？女孩子说说，你最喜欢哪一种？
1701745381# #发明盲文的真的是个人才！
1701994920# #三个字证明你是哪个省的？
1703210401# #超级简单的翅膀飞行筒，太酷炫了，一分钟就能学会，收藏起来陪孩子一起玩！
1703696267# #刷到菩萨请不要无视，真的很灵！
1703315499# #很好的台球教程视频
1703915066# #胆量还行，技术是有，就是桌子太滑了，喵喵喵喵允悲允悲
1703576951# #网友：这个姓给孩子起个名字，要朗朗上口。
1702531620# #这样的老婆一般人养不起！！允悲
1703397186# #七彩祥云愿我们所念之人都岁岁平安～
1703806740# #一些生活中用得着的尺寸参考对照图
1703368921# #日常生活各种实用小技巧合集
1702772520# #我的天这就是音乐的语言吗？我感觉我整个灵魂都升华了！
1702731600# #男孩玩游戏玩到“魔怔”，入戏太深气得狂扇自已脸，妈妈大声斥责起不到任何作用
1702051640# #做了30年的餐饮行业，才能知道的“潜规则”：。1，门口放桌椅，每个月至多赚10000块钱。。。2，不要轻易换厨师和调味品，会倒闭。。。3，餐厅搞加盟也是一种生意，来钱快又稳。。。4，开餐厅就要懂得搞会员制，这样才可以绑住老顾客，而且先把钱弄到手，维持营业和拿他们的钱去更多的事。。。5，夫妻合伙开餐厅
1701915780# #一个技术硬，一个是命硬！doge
1701999720# #西班牙街头五欧元的玻璃画，真正的街头艺术创作，大家觉得这个价格是不是很值？
1702364520# #女儿穿着被老师说难看
1702974549# #历史人文常识思维导图，收藏！
1701950407# #孺子可教，干了我小时候想干又不敢干的事允悲
1702312393# #刷到菩萨请不要无视，真的很灵！
1702723741# #别的不多说，我觉得他真不适合开车
1702522920# #张老师遇到学习差的，又忍不住说大实话了
1701772981# #这个视频要看到最后，才知道扎这种很短的袋口可以用这样的手法，你学会了么？
1703653861# #电动自行车闯红灯应该全责吗？
1701789855# #小学数学应用题，马住
1702998479# #这车非骑不可吗？
1703937661# #据说只需要4个字就可以化解所有矛盾…doge
1702205042# #假如这些钱都是你的，你会选择躺平还是继续奋斗？？
1702106640# #家中电池爆燃，碰到这种情况怎么解决？衰
1703973660# #看了几遍才看明白，这才是人民的好警察，一拉救了一个家庭！
1701935221# #硬笔书法快速入门，35个基本笔画讲解示范，坚持写出一手好字！
1703553720# #小姑娘准确的把握了新疆舞的精髓，不是动作，而是表情！
1703308021# #颈椎疾病康复操：200万人点赞的视频，很实用的三组动作，抓紧收藏吧！
1702954440# #48个音标快速记忆法，总结得太好了，值得收藏！
1702509660# #绝不踩雷的万能酱汁公式，拯救厨房小白！馋嘴
1703745241# #与别人交往时一定要记住“不卑不亢”，在任何时候都要认清自己的位置。
1702165380# #小时候感觉这种不卫生，现在发现这种是最卫生的赞
1703845560# #AI丝滑变装，逆天了。网友：有感觉了
1702902781# #金刚蹲，每天三分钟，坚持七天后再也不用保温杯泡枸杞，马住练起来！
1702778160# #可怜的妹子，保护措施做了个寂寞…
1702348523# #退一步海阔天空
1702804681# #民间的智慧，看出门道了吗……
1703300281# #盘点监控下的离谱场面，全程高能，今日份功德，清零！
1702895341# #节目导演：这人下期别让他再来了！doge
1703548980# #如果面试官这么问，你会怎么答？疑问
1702941781# #种植绿植小窍门儿，马住！
1703082780# #真的还有吗？
1703811660# #60分的男人站出来
1703134920# #真就用脚都比我会玩啊
1703810340# #听说不管什么东西在前面加个小字，就会显得很可爱？
1701660780# #盘点那些难相处的婆婆，这些婆婆让人感觉窒息。
1703380860# #网友求助：遇上这样的邻居，该怎么办？吵架已经不顶用了，我真的气到快吐血了！请问，这种邻居我该怎么处理比较好？
1701913320# #七年前，癌症妈妈最放心不下的两个孩子，如今他们已经长大成人
1703148619# #董宇辉早期讲——关于读书的方法，分享给大家。
1703820307# #科目三后遗症。。。哆啦A梦害怕
1703167440# #这个想法太疯狂了！赞赞赞
1702471632# #年底了，教大家如何免费做出高级版的PPT
1702257660# #说说，你开车最长的一次时间是多久？
1701904860# #来自退休医生的建议：人生无法预料，活在当下，想到的事情赶紧去做,，走的时候不留遗憾
1701755937# #英语12种时态，9分钟彻底讲清楚！给孩子们收好了。
1703034181# #自动化炒菜机。完了！这下厨子要失业了？
1703067181# #他的粤语好标准
1703646421# #这谁的责任？
1701768181# #宠物狗对孩子龇牙咧嘴，主人回来马上装作乖狗，孩子被欺负真可怜
1702727161# #一个人把生活过到极致说的就是这种了吧！
1701779280# #这6个球，我能玩到退休！
1702472520# #家里灶台用久了全是污垢，教你一招快速清洁（建议每次做完饭擦干净灶台）。这个实用，转存！
1701968658# #一个亿和清华大学录取通知书选哪个？还是新脑子好使！
1702940460# #投稿：七个人干了这么多，在北方什么水平？
1701794400# #世界公认的腹部脂肪杀手，效果惊人，转需！
1703434171# #刷到菩萨请不要无视，真的很灵！
1703153760# #那些流氓式套路撩妹，高情商输出，撩得妹子满脸通红！
1702425660# #喝下可乐后人体会发生什么变化？这个视频会颠覆你的认知。看完这个，真把我吓了一跳！！！
1701859380# #一只濒临死亡被好心人救治的流浪狗…
1701687781# #中国人切小番茄的刀功，把法国同事看呆了！doge
1703652181# #这个太实用了，一定要学会！！！
1702367820# #单亲爸爸生意亏本后没钱请客，儿子的一个举动让人瞬间崩溃！
1701870601# #盘点爸爸的高情商教育方式，值得家长们好好看看！
1701617700# #为善良的人点赞，希望好人好报……
1703523421# #一招解决电脑蓝屏！马住！！！
1702073221# #不管你的背有多厚有多么驼，一起学这个初级开肩，每天十分钟坚持打卡，挺拔身姿值得拥有。马住练起来吧！
1702616341# #颜色之间的关系太复杂了
1702555320# #兄弟姐妹们！玻璃的“玻”还能组什么词
1702430460# #这种情况下，小汽车有责任吗
1702710120# #大姐为了拍照也是豁出去了，但是要怎么下来呢？
1702770000# #这个视频看得好气人，老板脾气真好
1703118240# #医生教你一个治疗鼻炎的小妙招！有效，赶紧学起来！
1702771260# #这位大师的书法是什么水平？？
1703079060# #东北真的是这样的吗？。。北方人的执念是：海。南方人的执念是：雪。有哪个地方是两样都不缺的？
1703204520# #有钱乡下是净土，没钱乡下净是土……doge
1703868256# #金刚蹲，每天三分钟，坚持七天后再也不用保温杯泡枸杞。简单易学，转存！
1702123260# #天王劳资来了它也是2719！哼
1702483370# #成年人要会的心计、谋略、识人术。
1703948521# #盘点人类幼崽无忧无虑的快乐～
1702255140# #我相信，中国大部分男人都是这样的。。。。
1703635260# #你知道纹身对身体的危害吗并不简单傻眼
1702812360# #国内最美的四趟列车，抽空一定要去坐一次。
1701776660# #找高手帮忙取名字！！！。爸爸叫：黄山。妈妈叫：黄河。孩子叫什么最响亮！。您们请？
1702886460# #维修师傅不会轻易透露的燃气灶维修小秘诀。还没掌握的朋友们，赶紧点赞收藏吧，需要的时候再慢慢研究。
1702017550# #有一说一，这样的阳台安全吗？
1702101480# #气势这块儿一下子就垮了~允悲允悲
1702007101# #这演技杠杠的
1701818640# #玩这个的意义是啥？
1702891141# #这位大哥乐观积极的人生态度，感染了骑行路上的陌生人。相互帮助，相互鼓励，感恩相遇，正能量一直在路上！
1702386427# #你老家方言管这种人叫什么？
1703463720# #这样的人在公司负责什么工作啊？
1701667955# #你能走出来吗？
1703092082# #刷到菩萨请不要无视，真的很灵！
1702159260# #高手在哪？
1703057220# #全网最硬核的幼儿园，啥都教！你愿意送孩子上这样的幼儿园吗？
1703476920# #农村自建房，三层框架施工全过程！
1703634060# #有一个碎嘴的老婆是种什么体验？听着挺同情他老公的
1701646920# #这比赛相当具有观赏性…
1702433040# #国内最刺激的十大景点！
1701941641# #进藏的火车上，疯狂的年轻人，大爷一脸无奈
1702196758# #希望大巴车司机真的能注意一下其他人！
1703720341# #假如把太阳的位置换成其他恒星，来感受一下什么是巨物恐惧症！颤抖吧人类！
1702779840# #你不知道的那些超级好用的神奇国货。马住，去试一试！
1702631966# #董宇辉又一封神时刻，这段简直太治愈了！
1702116540# #厉害了，两个小女孩的花式跳绳，配合默契，完美无失误，非常精彩！good
1703458860# #如果长期被邻居磕车门，你会选择怎么做？
1703808060# #婚礼上的那些宝藏新娘，娶个这样的媳妇，婚后生活该有多欢乐啊？
1702429260# #开石榴的正确方式，一点都不脏手，学一学吧！
1702355581# #男童坐滑板车从斜坡冲向马路，路过少年奋不顾身拦下孩子
1703205660# #兄弟们，如果你不幸变成这样，你的女朋友还会坚持陪在你身边么？
1702889461# #经常问孩子这六个问题，有可能改变他们的一生！快来听听吧！
1702428061# #当一只小鸭子被养殖户丢进了鳄鱼池后....
1702447260# #想抓抓数学？你要做的不是补课！听听，很有道理！帮同学们参考一下。
1703896741# #现在可以感受到罗文甄妮有多厉害了
1701745459# #吃意面的正确方法，你学会了吗？doge
1702463100# #上联：镜中人已老；下联：？？？
1702252920# #这个视频解说我直呼好家伙……
1703838181# #为什么她的脚丫子是反的，而且一长一短？人类真聪明
1702538940# #外卖妈妈带着女儿送餐后，下楼着急送女儿上学却发现电瓶车被锁
1702832276# #刷到菩萨请不要无视，真的很灵！
1702338120# #我以为就是一颗花树已经够牛了，他给收回去变莲花了good
1703520790# #刷到菩萨请不要无视，真的很灵！
1703892660# #房东扣下租客6000元押金，租客直接放水泄愤，将房子变成水帘
1703743261# #想抓抓数学？你要做的不是补课！听听，很有道理！帮同学们参考一下。
1702173841# #优秀的孩子，做了很多大人都做不到的事！
1703558880# #现在的演员满屏关系户和富二代，以前的演员可都是星探从大街上发掘出来的沧海遗珠！
1701785920# #这还可以找零，一元也是爱啊
1703679132# #这是在锻炼什么东西？
1702164000# #网友来稿：她的脚占了我的位置，我该怎么办呢？
1702436640# #教你一句话回怼道德绑架，日常用的到！
1703412960# #学会用树叶做卡通人物，哄孩子又多了一项技能……
1701916920# #大师好功夫！
1703826180# #那些三观超正的老师,致敬"燃灯者"遇到这样的老师太幸运了
1702822081# #狗子来找它的伙伴出去玩，这肢体语言也太丰富了，就差开口说话了！
1701839741# #你有没有出国旅过游
1701688730# #网友:因为男朋友不想买房，我想分手了……
1703035741# #小学一定要背的10篇文言文。这些都是文言文的精华所在，掌握了，胜过初中补一年。给孩子收好！
1703506219# #幼儿园的单子不接了
1702696031# #为什么不第一时间按停止，可怜的小狗狗晕
1702850460# #瘦肚子必练的经典动作，坚持一周，小腹越来越平坦，一起打卡打call
1701740640# #25岁后，才明白的事。1.微信计步器，要关掉。。2.去医院，最好避开周一。。3.剪头发，先问价格。。4.遇到贵人就先立业，遇到良人就先结婚，遇到富人可以立业又结婚。。5.便宜的东西去熟人店买联络感情，贵的东西去生人店买方便砍价。。6.串门时，除了客厅，其它地方不乱逛。。7.不在真正瘦子面前
1703814180# #无手无脚的母亲，坚强地抚养三个孩子长大泪
1703841661# #所有80后的痛！至今无法原谅尹志平
1703899681# #印度巧妇用泥巴捏出的象头神，堪称精品。赞赞
1703718061# #黄金回收行业也太坑了，缺斤少两，还能直接少称8克多！
1703557500# #监控下的离谱瞬间，要不是有监控，也许你根本不相信。
1702451100# #如果是真的，那真的厉害
1702784460# #我觉得建这条路的是真牛
1703063520# #这位女主人是真爱狗啊……
1703206860# #张无忌跳下去得到了九阴真经，杨过跳下去得到了小龙女，如果我跳下去能得到什么？
1701964740# #古法“八段锦”完整版，强身健体，延年益寿！
1701662520# #推荐一部，你看了三次以上的电影。
1703295541# #这个单亲爸爸带孩子上班的画面，让人既心疼又感动。
1701955680# #有一说一，你觉得颜值重要还是身材重要？吃瓜吃瓜
1703391541# #人生就像这只蚂蚁，如果你勇敢的跨过这条鸿沟，前面光明一片大好！
1703761321# #螃蟹的正确吃法，身上有6个部位不能吃，大厨分享正确吃法，收藏了！
1703929501# #扶墙转体，初学者开肩，靠谁不如靠墙多踮脚不显老打call
1701705431# #刷到菩萨请不要无视，真的很灵！
1703414196# #给大家提个醒：滚梯上下位置第二块板尽量少踩。
1703298120# #给你一个机会删除地球上的一样东西，你会删什么？？？！
1702052295# #刷到菩萨请不要无视，真的很灵！
1702596120# #健身房器械的正确使用姿势，看完这一分钟视频相当于请了个私教666
1702728600# #看样子，这方法还真的挺管用……
1701992220# #【安全教育】一定要告诉孩子：剧烈运动后，这五件事不能做！！
1702249380# #连28块钱都没有还自助游???
1701865261# #中学的地理课要是这么讲，你说哪个孩子能听不进去？简单易懂，条理清晰！
1701918180# #看上去个个都是武林高手的样子doge
1703354461# #张雪峰一段精彩的演讲：人为什么要坚持？目标和结果到底是什么？
1703068621# #一位婀娜多姿、身材妙曼的女模特站在人来人往的繁华街头，测试回头率究竟会有多少。
1702942740# #你最先看到的字是什么？
1703216521# #换个角度看魔术，感觉就完全不一样了……
1703632981# #一开始我还以为是鸡腿
1701867421# #这也太强了，气质也很优雅！
1703490034# #前腿残疾的狗子第一次穿上假肢，大摇大摆的走了起来！勇敢小狗，冲呀！爱你
1702884300# #爱意藏不住，满眼全是你，让时间证明我们不是一时兴起
1703631720# #网友：不坐，他们没钱赚，坐了，又让人很心酸。活着很难。
1703294460# #三个人聚会应该选哪里合适？
1702193114# #章鱼的这种隐身能力，人类在技术上还没有突破吧……傻眼并不简单
1703977320# #光喝汤，不吃点主食吗……
1701742381# #大妈吃饭敲桌子被大爷说了dogedoge
1702011725# #网友：孩子们化妆参加幼儿园变装活动，老师说画得很好，下次别画了。
1702948861# #近日，福建福州。男子被压三轮车车底，路过众人见状纷纷上前抬车救人。为参与救人的热心人点赞！
1702199485# #网友：求家人们帮忙取一个霸气侧漏的名字，要求“听起来像韩国人，但中国人一看就知道是同胞”。
1703737501# #网友：第一次参加街舞比赛
1703085120# #一周亲子感统训练，改善胆小，怕生必玩的亲子游戏，宝宝根本停不下来太开心
1702854000# #物业不作为！分分钟搞定。
1702136168# #网友认为大部分中年人的社交状态是这样的，不知道说的对不对。。1、微信也不发。。。2、电话也不响。。。3、不参与任何朋友的聚餐。。。4、亲戚不来往，朋友不联系。。。5、同事，熟人没人找你办事。。。6、邻里之间点头之交，甚至不交。。。7、除了上班，回来就躺着休息。。。8、总觉得社会太让人心累了，外面的世界与
1703990520# #鼻子不通，爱犯鼻炎？试试这一招，亲试有效
1702814640# #网友：救救我吧，被邻居震惊到了！。出差了1个月回家，发现邻居直接将家里的鞋柜、鞋子、垃圾都撕啊们了整个走廊过道，整个过道就像是她家仓库一样。。电梯口还有她家的自行车，塞满整个电梯口。。和她家沟通，被她指着鼻子骂了一通，说是过道也有她家的份，找物业，物业都被骂了。。请问一下大家，我应该
1702242121# #侧方停车这样三步走，熟记了分分钟停妥。
1702170060# #小龙虾的清理方法，学到了！
1703898060# #什么东西十年没涨价？
1703287381# #各位家长，一定要看好自家孩子呀！围观围观围观
1702987586# #韩国纪录片：牛铃之音，唯一一个看过四五年了，还没忘记名字的纪录片
1701939000# #用20张图片告诉你，读书真的有用
1703681671# #湖北网友：爸爸回家没提前和闺女说，看她一脸不敢相信的样子，我真的是笑着笑着就热泪盈眶了……
1702610220# #上联：回是口中口，。下联您请：
1702528740# #这个上联很有意思哈！阁下应当如何应对？
1703936340# #你系的鞋带是不是很快就松散掉了，学一个一年都不会掉的鞋带系法，时尚好看鼓掌
1703981040# #免密支付功能并不安全，建议直接关闭！
1702261860# #太牛了，技术高超！忍不住看了几遍，这自行车算是让她玩明白了！
1702341720# #盘点那些贵到离谱的东西。刺客无处不在啊……
1702568788# #这个口诀好，转存吧
1702876862# #买这种车的冬天一定记得随身带保温杯汗
1702474500# #每天每个体式做一分钟，远离肩周炎颈椎病，改善驼背脖子僵硬背部肌肉酸痛！
1701789544# #女子手机屏幕摔坏，不舍得600块钱换屏幕，教大家一个小技巧！
1702266121# #网友：莫名的心酸，现在的孩子太累了～
1703030461# #新手走高速，安全第一，教的都是经验之谈！
1702171440# #压迫感十足允悲
1702819801# #这样的孩子还有救吗？哆啦A梦害怕哆啦A梦害怕
1702263661# #盘点美女关掉美颜后的样子。大哥，还打赏吗？
1703985060# #网友求助～
1702521841# #乍一看不咋滴，可是细看一下……还不如乍一看
1702000920# #女子发布视频让大家评理，结果被网友调侃……
1702681369# #小棉袄只看过大树流过一次眼泪，那就是自己出嫁的时候
1703247780# #拜托千万别让她毕业好吗？允悲
1701875598# #当你刷到灵隐寺，你的霉运已全部清除，留下一句“大吉”，从此一帆风顺！
1703733840# #笑容不会消失，只会转移允悲允悲
1702465321# #电笔有4个非常强大的功能！个个都很实用，你知道几个呢？
1701655380# #盘点美女关掉美颜被“炸”回原型，大家觉得好看吗？笑cry
1701834907# #这个证一个月能不能多挣5000块钱的外收入？
1703468641# #大学校门口的蛋包肠，看着就好吃馋嘴
1703235661# #饺子馅怎么调好吃？学会这样调肉馅，无论包饺子、包子、馄炖都非常好吃，真的是鲜美又多汁！
1702602181# #在学校一定要告诉孩子远离这几种人！让孩子们都看看，很重要。
1701947280# #这种电影院普及了，会怎样？
1703689023# #路人视角下的网红，寒天穿旗袍拍视频。网友不禁感叹:天好冷，这钱赚得也不容易。
1703156761# #超酷炫的纸飞机教学合集：圆筒式、蝴蝶式、弹射式、回旋式......每一款能让孩子爱不释手，收藏起来陪孩子一起玩！
1703304361# #用过这种油墨印刷的试卷，至少30岁了吧？
1702181041# #1分钟看懂血常规化验单，重点看哪几项？
1703405220# #关于“水”的汉字，没有一个是多余的。体会和感受博大精深的汉语文化。涨知识！赞
1703039401# #林黛玉：哪读过什么鸟撮书，只是识他娘几个大字罢了
1702250640# #我倒要看看谁能对出下联。
1701920520# #手抖的这么厉害，不去医院检查一下？允悲
1701799420# #夹不住的饺子，端不住的碗，看到泪目…也是爸妈最宝贝的孩子，可穿上这身衣服就如此勇敢保护我们，致敬！
1703721660# #吃不来这玩意儿，吃了一次，感觉嗓子特难受，后面再也不吃了
1702005480# #请用五个字撒个谎？
1703037720# #家长辅导作业崩溃瞬间，我想说教小孩子要有耐心，我家侄子也这样，我一般都是很有耐心的打他！
1703597466# #不懂就问那个监听设备多少钱，叫什么？
1702613940# #求个下联
1701968461# #刷到菩萨请不要无视，真的很灵！
1702944121# #C盘满了千万不要乱删文件。这个有用，转存！
1702734000# #潮汕生腌，被称为是潮汕人割舍不去的毒药，你吃过吗？
1702301662# #7人被困雪山，只能救3人，怎么选？
1703208120# #台上一分钟，台下十年功！
1703890861# #训犬师训恶狗，感觉好麻烦允悲
1703153641# #挑选水果小技巧，一般人我不告诉他
1703935321# #日常开车知识：20种必须懂的路面标线
1703386141# #面对突然出现的心跳骤停，演示真正救命术心肺复苏！
1703732520# #龙年来啦！陪孩子一起剪这个可爱的龙年剪纸吧！节日气氛拉满！
1702557570# #这个责任怎么说
1701846740# #说出一部电视剧，证明你已经不再年轻。。。
1703163660# #跳绳需要注意的事项️，最后一步最重要！你都有做到吗？
