1691993556# #一上线就看见这么多好东西，感谢女菩萨。
1699255566# #能住到这个民宿，真是此生无憾
1689766077# #还是当刑事律师吧doge
1700396568# #转发微博
1694005162# #凭什么妈妈条件如此之好还要把孩子判给没有工作没有收入甚至家人精神有问题的爸爸，抢夺藏匿逼迫母子分离的人还能获得抚养权，何为儿童利益最大化
1701934579# #转发微博
1695818746# #“活着都没出息的东西，你以为死了就能突然牛逼了吗”👏👏👏👏👏
1702643393# #仔细一看签的是佘华
1698911636# #凝视是性骚扰！
1691733194# #转发微博
1695559109# #转发微博
1700119583# #转发微博
1689767656# #画面感好强笑cry
1700305607# #我好大的福分在睡前能看到如此精彩的读物
1694784783# #领导:有你们是我的福气
1694086156# #转发微博
1695638248# #小天才手表太会营销了，不是小天才的牌子就加不了好友。就算买了其他牌子，最后还是得换小天才，不然打不进社交圈。。。统一力度堪称儿童手表界的秦始皇。
1700119556# #转发微博
1698132710# #感觉是特意留他一条命，好让那个可怜的孩子这辈子都别想过的太舒坦怒
1699510877# #转发微博
1701174837# #看的结节都散了，最后80的老汉这把年纪了也不会进监狱，真是个好结局啊
1689142441# #青岛亲子游
1697272485# #哆啦A梦害怕你真的容忍太多了！
1692878909# #我觉得在这种环境下我还在缴纳养老保险是一种充满浪漫主义英雄色彩的行为
1702197640# #转发微博
1699255461# #这父母已经是顶配父母了
1690541664# #我就用这个方法消耗过期香水，亲测可用的
1697784357# #海里某一天飘满女孩
1689684937# #啊啊啊
1695637429# #我要是作者得知抓到的是真老鼠已经原地升天了爱你
1703243963# #笑cry
1692281178# #最近很火的遮瑕提拉法，试过后发现真有点东西，视觉上有提拉的效果。。方法:涂粉底后，用高光棒或者提亮遮瑕勾勒，最后散粉。
1688564330# #40度的故宫会惩罚每个嘴硬的人。。吞了大把藿香正气胶囊才缓过来。。害怕被120拖走，走了五分之一就赶紧溜了。。不过就算热晕过去，也是非常值得来。
1699339799# #其实有相当一部分男同志认为放孩子自己呆20分钟没关系，这也就解释了为什么他们总和自己的妻子说，带孩子有什么辛苦？
1703158889# #好可爱的陆直
1698996242# #看之前：甄嬛传题能有多难，看之后：我弃考
1689766530# #melody新闻底下的评论都好清醒。
1692164542# #姐跪了跪了
1697272707# #甄嬛传这一版超级好看
1695049327# #转发微博
1703320535# #没药花园上的写完不久被删，只有“房间内的粉色大象”上有，必须要发消息“朱令”才能看全六篇，否则少第三篇。
1689140343# #青岛亲子游
1690978493# #心心心
1696311434# #赞
1700219500# #转发微博
1696836115# #转发微博
1693828715# #转发微博
1691152288# #你想要得到谁的认可，就会成为谁的奴隶
1702542446# #转发微博
1701763348# #羡慕大家的精神状态
1700119569# #转发微博
1695471606# #新晋遛娃地，龙塘湖公园，有粉红色蹦床，滑梯，沙坑游戏，玩累了可以去对面商场吃东西。。我女儿看见灯塔，第一反应:"妈，那不是消失的她里，何非他们去的地方吗？我们同学都在说那个灯塔。"。天地良心，我真没带她去看过这部电影。。现在的小学生知识面太广了
1702542386# #阿姨这是底层人民的互相伤害啊泪
1695637402# #转发微博
1703508715# #老师含泪打了个√
1698737122# #人活着哪有不发疯的
1701604853# #棕熊真的是世界上最恐怖的动物
1699181770# #转发微博
1690381313# #济南vlog
1694262644# #“她遇到险境，却得以幸存，白日，太阳必不伤她；夜间，月亮必不害她。她是沙仑的玫瑰花。”
1694688470# #转发微博
1696924321# #转发微博
1695906903# #平庸又愚昧的人，总靠幻想成功自由的人很悲惨，来消解自己一事无成又苦苦挣扎的人生
1695196002# #转发微博
1701692446# #十分是评分的极限不是财神的极限
1697355957# #哈哈哈哈哈哈哈哈梗太密集了吧！文科单身未育几个标签加在一起在hr眼里和留过案底差不多我笑死
1697699983# #转发微博
1692879835# #成都周末亲子游。景点:成都博物馆。必去。旁边就是四川科技馆，时间允许的情况下可以两个一起预约参观。。时间:半天。
1698911713# #转发微博
1695117256# #转发微博
1694262689# #大半夜看得头皮麻
1689766261# #看完感觉不止在说韩国笑cry
1700655737# #转发微博
1699777306# #转发微博
1697093743# #不知道是谁，但是我已经笑得床都塌了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1692164628# #哇好厉害，比“难道你妹妹是免费的”还炸裂。
1697526999# #转发微博
1690379759# #转发微博
1696311448# #转发微博
1700483678# #全家人都贬低妈妈，对妈妈这个态度，女儿这个样子，也是其他家庭成员纵容的结果。伤心
1700826066# #衰衰
1689860621# #转发微博
1703320506# #下雨
1696924342# #转发微博
1688980946# #北京亲子游。天坛，也是亲子游必去景点。。时间:半天。tip:1买联票。。2天坛有四个故宫那么大，时间紧可以不用全走完。我按照的小红薯宝藏博主推荐路线走的，大概一两个小时。。北京的古建筑，屋顶都好美，恢宏大气。
1690985103# #青岛vlog
1701604562# #转发微博
1696312107# #哈哈哈哈小天才
1703072726# #转发微博
1694005706# #高铁上差点被王八砸中笑cry
1691733168# #转发微博
1694086058# #抢注还信息错误，一看就不会对孩子多上心
1700826084# #转发微博
1699702972# #转发微博
1689860077# #妈本身就是伟大又有力量的字眼，前面再加个大，buff叠满赢牛奶
1697010985# #转发微博
1695818577# #转发微博
1698055237# #请捕杀全国的恋童癖
1700034879# #笑的我肋骨都断了！！
1695381805# #衰
1692617916# #网友怎么这么有才…
1695559275# #面对催婚好绝招笑cry
1689596045# #看视频都忍受不了十秒…
1699601846# #转发微博
1701934605# #被造谣，显然跟女性的年龄无关，跟职业无关，跟身份地位无关。它是所有女性的共同处境。在一个永远有眼睛长在裤裆的肮脏世界里。
1697611606# #这种人最应该把身份证顶着出来，然后截图给单位给同事给他父母看看
1703508707# #转发微博
1690027760# #天呐我必看
1700826100# #很敏锐的孩子，但是这份敏锐却不是礼物裂开
1694875207# #转发微博
1694961307# #重点不是实质伤害了什么，而是这种无成本、无风险的戏谑背后，透露出对另一性别的轻慢和蔑视，而这也是女性感到愤怒的理由😠
1702902841# #转发微博
1703243983# #转发微博
1693135017# #反向安利，想去看看那个假兵马俑了。
1703941710# #转发微博
1701763312# #转发微博
1695049280# #转发微博
1693133958# #赞赞赞赞好棒
1695049395# #配享太庙
1694332174# #我会想，吃都吃了，择日不如撞日，今天就放纵吧……
1695117474# #大半夜不睡觉，刷到这个，一时不知是我的福还是我的孽。
1695989085# #最大可能是性侵，从家里人的男性爸爸爷爷表哥叔叔加邻居朋友中的男性问起来吧，这个事情跟之前那个2岁肛门全是菜花型尖锐湿疣一样的，唉，女童处境堪忧
1697611593# #但是这篇文章不是实名的笑死
1695381785# #转发微博
1688828023# #北京亲子游。一直被夹，还是发图片吧
1697356213# #猫猫为了表达对主人的爱，叼了死老鼠在主人枕头边。主人醒来，知道自己跟死老鼠睡了一晚，崩溃了……太惨，但是猫猫好有孝心笑cry
1692798052# #我女儿:妈妈，我给你推荐一本书。。我:哦？。随后，她递给了我这本。。求生欲真的很强。
1693134665# #怼得好爽👏
1688357352# #哈哈哈，这个方法好！
1698055327# #算双11的折扣算到想吐。
1699429638# #“他确实把姐姐踢出去了，一号出病理，二号就踢人”。为还愿意采访的齐鲁晚报点赞。
1698996278# #评论区不要说她不离婚什么的。她报了八次警，警察都以家庭矛盾劝回了，后来把她老公告上法庭，法院驳回……然后他老公让表哥的女友把她约出来，又打了她。她不是不想离婚，是这个社会不让她离婚。
1693829414# #上星期忍不住点了烧烤，到货时商家信息会自动发送。看了一眼，有点咯噔。其实烧烤味道挺好，但是吃之前看了这个，感觉那个"臭"字一直在脑子里徘徊……。求生欲超强，杠就是你对。
1693575470# #笑cry
1691072407# #蜡烛蜡烛
1700826134# #转发微博
1697870597# #看完评论打开新世界大门
1697439827# #一分钟开盒……怕是只有渣浪内部和网信（刚才渣浪客服跟我联系，说站方会严格保护用户的个人信息和数据安全的，尽最大努力去保护用户的个人隐私，站方这边是不会泄露的）
1693224205# #暑假玩太high，作业还剩好多，我和我女儿抱头痛哭。
1697960722# #悲伤格兰芬多：“我们所教的学生，必须英勇无畏，奋不顾身。”
1699088932# #没来到这种家庭也是这女孩子的运气，往后这一家人断子绝孙是我的祝福
1703072748# #转发微博
1692878870# #转发微博
1698577700# #我前世寿衣就是在他家订的哇老板人很好推荐不踩雷集美们冲呀
1699777322# #转发微博
1700119531# #真的是鬼故事。。。
1699182403# #转发微博
1689234726# #青岛亲子游。被夹了，再发一次，去青岛前需做好的心理准备。
1688732677# #北京亲子游。国博用一天才草草看完。。下午五点从国博出来，可以直接过马路去天安门广场，看天安门广场，人民英雄纪念碑，走一圈很快的。。还可以在天安门广场等七点多的降旗仪式。。或者去附近的前门大栅栏。。不过大栅栏也是典型商业街，如果时间紧，可以选择不去。
1701083453# #我看到这个帖子了真的阉了他吧我没开玩笑
1701261045# #故意杀人才十年？我没看错吧？？摊手
1694688500# #点开视频，立马发疯
1693223863# #成都周末亲子游。景点:三星堆新馆。时间:至少半天。1提前五天官网抢票。2建议一定要听讲解，一楼有官方导游以及讲解器。。3暑假期间人多到窒息，不过非常震撼，值得带孩子去。
1694521439# #烧烤还是剪开的好吃
1690814825# #转发微博
1690719406# #这不就是他们经常做的事情吗，性别对调一下就是默认流程啊汗女方提出质疑还要被骂势利眼、没感情呢
1697093808# #好插命笑cry
1700305592# #如果世上真有恶鬼就好了。
1700826152# #转发微博
1700483646# #转发微博
1697784496# #随时准备发给周围男性
1701261057# #转发微博
1695906923# #转发微博
1692458554# #这就是“看不见的女性”
1703589429# #转发微博
1695195934# #大声喊出来:谢谢嫂子！
1702369503# #转发微博
1695117244# #转发微博
1701261036# #动物秃头也苦恼捏允悲
1704195358# #先码住！前几期超好笑
1704195378# #嬢嬢！好酷！跪了
1699702948# #转发微博
1697961150# #中国国家地理团游，据说讲解的都是学术大佬。赶紧买彩票，中了挨个报名。
1701848606# #总结，大家的朋友会在三十分钟内死完
1690288245# #笑cry
1696664397# #转发微博
1700826385# #太惨了笑cry
1690634464# #00后：大爷你们想多了
1704028529# #转发微博
1700558680# #炼铜都是出生微笑
1703675649# #转发微博
1701174913# #转发微博
1701346268# #大家好会形容香水的味道
1694176735# #太阳当空照，花儿对我笑……
1696505583# #不必勉强，每个人都是独一无二的自己！
1691736455# #憧憬憧憬憧憬憧憬
1694961248# #转发微博
1695989053# #转发微博
1689685889# #回答笑发财了笑cry
1689596021# #笑cry
1703508787# #过度节省的人其实往往对财富没有概念。
1692618026# #西昌亲子游。景点:火把广场。时间:一小时。。就在市区内，走很多景点时都会路过，可以晚上去玩下。。照相很出片。
1696836133# #转发微博
1700305276# #@撒空空变树霖
1693828621# #从事后房东无所谓的态度看，这老变态不会改！起码得送新加坡鞭刑加持过后才能回心转意！其实你把他丰功伟绩视频直接发他小区群里马上立竿见影！
1693748092# #甄嬛传果然常看常新笑cry。bilibili我的161的视频
1701604551# #转发微博
1702288521# #不要再给我推这种帖子了，我看了尸体有点不舒服泪泪泪
1694004587# #清朝人为什么会出现在2023裂开裂开
1698822231# #最离谱的是这件事的结局，男人又娶了新的老婆，妈妈拿着男人给的补偿给哥哥娶了新老婆。真他妈疯了的世界
1701429552# #哈哈哈，齐妃怼得好
1697439851# #转发微博
1695471383# #“她胯下的骨肉变成了刺向她的尖刀”
1693134826# #成都周末亲子游。景点:春熙路，太古里，ifs国金中心。。时间:半天。时间原因，来不及去其他地方，带孩子来逛下吃点东西非常合适。。裸眼3d:晚上7点开始，两分钟广告，10秒钟正文的节奏。。ifs国金中心:打卡爬墙大熊猫。。ps:锦里晚上去了，但人太多，走了10米就退出，等暑假过了去体验度更好。
1693575338# #赞
1690891165# #转发微博
1702109424# #最后一个笑喷
1703762075# #花花和渝爱的区别，哈哈哈哈，太可爱
1699777282# #转发微博
1691993075# #转发微博
1689340695# #青岛亲子游。栈桥-教堂-八大关景区-第二海水浴场-奥帆中心-情人坝。（下）。。傍晚时去了奥帆中心，坐在堤岸上安静看海景，等灯光秀，真的太美好。。。三亚的海是浓颜系，适合冲浪，比基尼，游泳。。青岛的海是淡颜系，适合安静欣赏。
1697093771# #真好啊拍的拍xsr明明就不需要拍被骚扰的对象也可以表达意图哇好多这方面的视频都好像为了进一步伤害和消费受害者
1690978228# #当代家长用魔法打败魔法
1691411656# #西昌亲子游。景点:螺髻山九十九里温泉瀑布。。世界最大温泉瀑布。。游玩时间:一天。。方式:可自驾，或者各大旅游网站订一日游。。路况:上山需要一个小时左右，山路难度中等。。想要体验这种天然瀑布的，可以一试。。tip:1景区里有泳衣泳裤手机潜水袋卖，沿路也有。。2摆渡车上车点那里有小卖部，可
1703244263# #配种被退货的狗子，太可爱了
1697179849# #在台上表演的是温太医，为什么尴尬的是我
1697960702# #一命偿一命
1689373389# #青岛亲子游。如果怕自己去海鲜市场被坑，可以去吃海鲜自助。。去吃了据说青岛排名第一的禾斗海鲜自助，非常火爆，工作日上午10点就大排长龙，性价比高，食材新鲜。。下午就待在石老人浴场。石老人浴场更干净，有专门游泳的地方，不过这个天气有些冷，但一众小孩看见海，都疯了，全下去了。因为石老人海
1701175111# #转发微博
1699255444# #转发微博
1691993084# #转发微博
1696837566# #两眼一抹黑
1702467164# #关键是恐怖就恐怖在『以为是家人/伴侣结果发现就是个随鲨随吃的储备类肉食』，而且一家人买的时候高高兴兴，吃的时候也理直气壮。女生表示不高兴，男的家里的反应也只是『下次买个品种好的』。
1689234194# #青岛亲子游。因为遛娃为主，所以白天都在海边，其余景点就傍晚之后逛。毕竟那些景点白天太多人，懒得去挤。。。路线:小青岛-鲁迅公园-小鱼山-网红路。（上）。。时间:傍晚五点到九点。。。参观完博物馆后，已经是下午，出门就是小青岛景区，可以顺便参观完。。。喝口崂山可乐，好喝，继续走，就是鲁迅公园，海
1697179863# #转发微博
1703941665# #他妈妈照顾他和他爸一辈子了，现在轮到他俩表现的时候了，结果他俩不会做饭还得意了，在这儿搞孝顺外包，还振振有词。doge
1698388581# #建议国内媒体学学人家的发布模式，直接清晰正脸大头照，少鬼扯什么怕误伤长相相似的人
1693310772# #买了一个阅读坐姿矫正机，有智能语音提示。。。我女儿坐姿不正时---。智能语音:"小主人，你压到我了！坐直一点哦。"。我:"这是伟大的人工智能，要听它的话，明白吗？"。。过了会，智能语音又开始提示---。智能语音:"小主人，辛苦啦，先休息一下，再来学习吧！"。我:"……但话又说回来了，现在技术不成熟，有时
1699429710# #转发微博
1689596167# #而且50个男家长这么齐，没有一个养胃的嘛？我不信！
1695284753# #这是恐怖故事啊，在这个故事中，我看不出受害者和女儿有任何可以避免这个结局的方法。各种自救都试过了，多次报警、去外地躲避。就这样还在被凶手多次骚扰威胁之后残忍杀死，结果凶手缓刑？依据是啥？谈过恋爱是免死金牌鼓掌
1690379619# #打印黄色小卡片的费用300元还是找女方“报账”的
1697273870# #甄嬛传永不过时
1694176781# #我分享了文章
1694004618# #问了一个直男朋友怎么看，他一语惊醒我——“有些男的就是喜欢搞这套“你们女的不懂电脑，都是被骗”的优越感，表面是跟你说电脑，其实是在这件事上打压你，让你觉得自己好心办坏事很蠢，以及还是男朋友厉害。这种男的以后pua你的地方多了去了。”doge
1699777379# #转发微博
1703856024# #想去试试北方搓澡
1691152224# #转发微博
1695195985# #满分
1689861507# #再过两年，我女儿估计就会上网吐槽---《我那旅游时，总抛下我去洗手间的母亲》
1703243991# #转发微博
1699950526# #转发微博
1700119517# #转发微博
1700483618# #管不住手就剁掉
1690027442# #转发微博
1697611833# #2两分钟内上完厕所，被荷兰人鼓掌欢呼笑cry
1688732761# #天天两万步起。
1697010918# #转发微博
1688565893# #蜡烛
1694784567# #转发微博
1697870345# #我听说好多案例都是家长觉得孩子精神有问题带去看心理医生，医生看完后结论是孩子没有任何问题，家长精神有问题摊手
1702817313# #转发微博
1699703008# #转发微博
1690111862# #男的直接死刑没什么好说的微笑
1701520853# #抢了半个月都没抢到华为，人都麻了。
1697699971# #她孤独地漂了这么远…
1699866455# #神秘的东方力量
1701934561# #转发微博
1694262569# #活生生打死一个人凭什么不死刑呢
1697784399# #工作人员在电话中说，“谁叫你们投胎成女的？”。。。
1703761879# #转发微博
1696506328# #各种痛法，皱眉看完。
1701429342# #哈哈哈哈哈哈哈哈
1690285915# #刀没捅到他们身上时都在装瞎卖蠢罢了
1698736962# #哈哈哈哈哈哈哈哈哈《会咏春骂不得》
1703158880# #转发微博
1694332595# #成都周末亲子游。景点:青城山前山。时间:一天。我们走的懒人路线【图片来自小红薯宝藏博主】，上下都是缆车，但暑假人太多，缆车排队一共四个小时。。特点:道教圣地，小朋友可以看风景，风景很美。。tip:1一定要买个竹竿，山上到处都是，用来拄着走，救了大命。。2青城山前山后山相距十多公里，如果
1696836066# #最后来个耐药菌院内感染什么的，可以住更久的，搞不好还能住进有专人护理的ICUdoge
1689860512# #女王👸🏻
1703589413# #转发微博
1690978241# #警察在家里调查，受害人之一被拦在门口杀害…
1698483341# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1691993054# #转发微博
1690719318# #不像演的
1702369754# #长辈的嘴……
1690634379# #转发微博
1690541700# #转发微博
1702904632# #祖宗:祭得很好，明年别来了。
1689686199# #大家去酒店或者饭店时，别太相信好评，发现有些老板会把客人的手机拿去，自己写一通虚假好评。。我现在都改看差评和店家了。
1691330063# #西昌亲子游。李小肠烧烤，据说西昌排名第一。。不过西昌好吃的烧烤太多了，遍地都是。
1699510892# #可以套用他们星座的说法，安慰说她的上升属相是龙喵喵
1698996180# #很好，拐卖妇女，家暴妇女都不会破坏婚姻制度，只有彩礼会破坏婚姻制度。doge
1692533745# #居然给我精准推了质子鼠标垫，我在大数据眼里果然不是好人。哈哈
1699182371# #？？？？看完我只想把房子点了……
1690543490# #我为什么爱去博物馆
1702467133# #转发微博
1694005324# #转发微博
1697526990# #4分05秒开始高能爆笑
1693485645# #我接早日财富自由实现退休🙏🏻
1697440004# #台词真不错
1691072442# #以没皮没脸和我是女王的态度继续我的人生
1702109352# #转发微博
1696836046# #转发微博
1703406637# #外国人的中文纹身，真的炸裂
1699429981# #脑子里开始有奇怪的画面
1697784914# #"在中国，想体验做king的感觉很简单，生个孩子就可以了。"
1693747781# #打爆图3那位的狗头
1689766278# #反之亦然你每为审判女性添砖加瓦一次都是在为自己加高一寸牢笼
1703941696# #转发微博
1703323432# #最后一个笑颠
1699088859# #男的为什么永远在快要结婚或者结了婚之后才能知道他爸妈不容易doge
1702643296# #今天，让我们团聚在这里，共同举杯，祝贺这位姐妹，得到她应得的一切干杯
1700826035# #没有找到整体的数据但是找到一个澎湃新闻做的十八大以后24起重大冤案纠错情况24起中涉及强奸的只有6起占比更多的显然是杀人抢劫案
1701763259# #是男的为了吞并妻子的财产雇凶把妻子杀害了，别墅是死了的女方的
1698305573# #我辈楷模
1702643371# #有些东西合法化必然会发生这样的事情，那些张口闭口说合法就有保障就都是自愿的，一个个真的不知道会发生什么么
1698736951# #转发微博
1702643259# #不过话说回来每晚都是我守夜吗苦涩
1689596217# #女人一旦意识到自己的主体性男的就开始慌了兔子
1695195957# #佛祖：这么多年终于有人知道上点零食了
1701934517# #实习的时候和同事姐姐们聊天聊起发现，没有一个女孩能说出我没有被骚扰过这种话。没有。
1689938811# #转发微博
1694875111# #本来炖鸡汤在剁鸡，刀钝了有点砍不动，慢悠悠磨着。刷到这条，瞬间刀磨的锵锵响怒
1694262619# #转发微博
1694332187# #转发微博
1699866319# #转发微博
1688977398# #北京亲子游。从长城回来，高铁一般在北京站或者清河站，刚好靠近奥体中心附近，所以当天晚上可以顺便看鸟巢和水立方，或者去北大清华大学门口打卡，都在附近。。鸟巢水立方晚上七点多开灯，等待过程中也不无聊，可以看火烧云，北京的天空真是随便拍拍都好看。
1692879271# #“还差10秒钟，你还是学生，你得以学为主不要分心谈恋爱！小小年纪谈什么恋爱！小孩子懂什么感情！10、9、8、7、6、5、4、3、2、1、0……好了！你毕业了！！你不是学生了！！现在，立刻，马上，把你的男/女朋友带回家里来让长辈们看！”
1701521026# #"有时候糟糕的事情也会发生在善良的人身上。"
1702467119# #转发微博
1696924296# #转发微博
1692281049# #西昌亲子游。美食推荐篇。水果:阳光葡萄，便宜又好吃。。饮品:凉山雪，酸奶型饮料，好喝。。小吃:牛羊肉米粉（一定要加三块钱的饼，很香），卷凉皮，各种土豆制品。。正餐:火盆烧烤＋烤串烧烤。
1689860572# #重庆男人的第一二三名笑cry笑cry笑cry笑cry
1693047477# #转发微博
1695284776# #网上看过一句话，说孩子优秀就天高任鸟飞，平庸就承欢膝下，挺好的
1699429727# #转发微博
1689684888# #现在年轻女孩到底过着什么日子！昨天看一个女孩说，去约会，男的就点了两个菜，她刚开口想点个她爱吃的，男的啪一下扣上菜单本子说，够了，我们两个吃差不多了。结果她饿得回家还吃了碗泡面。
1694688530# #转发微博
1690814841# #想看他和萧敬腾比试一下
1700558704# #Reese的眼光真的很好，她出的几部影视剧都火了，消失的爱人、大小谎言、涉足荒野，都我的心头好抱一抱
1702817389# #这一招可以
1698305159# #给大家品一下，反正我看完：
1697093704# #《女人们的谈话》导演莎拉·波利：
1702542319# #@撒空空变树霖
1689421398# #下午回家，晚上才发现自己东西落在高铁上了，抱着试一试的心情，点开了12306的软件，点了失物寻找，提交信息后，很快工作人员就来电话，说东西在失物招领处。。效率太高了，感谢🙏。
1700119506# #转发微博
1703675665# #转发微博
1704195756# #果然是战斗民族
1694784584# #转发微博
1693222918# #嘴巴321上链接泪
1697700273# #说得在理
1703508951# #圣诞快乐
1692796512# #这些年蒋胜男委员的提案都很好，她一直在为我们说心里话可怜。
1695906851# #放弃自证享受人生
1696249817# #开眼界了笑cry
1699950579# #“即使匿名也不安全”
1695559123# #转发微博
1690978264# #养了5年的猪被邻居偷吃哈哈哈哈哈对不起，真的有点好笑
1698996328# #很有创意
1700219432# #今天刚好在查数据
1694961339# #笑cry
1701763267# #“你姿势不标准”“今天我状态不好下次一定”
1691993130# #转发微博
1690379596# #转发微博
1701934539# #骂人家不孝的到底是些什么人呐裂开
1697010965# #我也刷到这个了笑cry笑cry笑cry那个富婆姐姐人还怪好的！本来揪那个百合竹打男的，原po说那个是我的我一会要拿走就不揪了还特意踢远点怕误伤！🤣🤣🤣然后还和原po说这种男的不要和他在一起了啥的！怪不得富婆姐姐能赚钱🤣🤣人还怪好的
1702369528# #中式婚姻，太典了
1690201000# #转发微博
1695906874# #怒怒
1703158897# #转发微博
1693223040# #泪泪泪
1701261518# #逛🐮店的正确心态，上网果然能学到东西
1688976483# #北京亲子游。长城。。也是亲子游必去。。游玩时间:一个白天。。推荐高铁来回，高铁只需要20多分钟，但北京到八达岭长城的票不好抢，可以直接抢"延庆"。到北京的，中间经过八达岭长城，全段票好抢很多。。爬的北长城，一直爬到北十一楼，没成好汉，累成狗熊，不过很有成就感。。确实有点累，孩子如果太小可以
1700219445# #转发微博
1696150300# #转发微博
1697784306# #憧憬
1700999897# #狗子爱鸡腿有什么错笑cry
1691733147# #假期返工死样活气的都是单身的，精神抖擞我爱工作的都是有孩子的
1701083497# #转发微博
1701175643# #现在的小孩好有生意头脑
1698483309# #转发微博
1690381516# #福建er太可爱了笑cry
1689502286# #济南亲子游。第二天（5678）。五龙潭-趵突泉-泉城广场-黑虎泉（坐船至）-大明湖-曲水亭街-芙蓉街。。黑虎泉有几条航线，我选择坐船游到大明湖。。。5大明湖:。第一天看了大明湖夜景，第二天决定白天来，各有各的美。。四面荷花三面柳，一城山色半城湖。。亲子游必去。。。看完了大明湖，接着出门，走向曲水亭
1696748207# #成都国庆亲子游。景点:成都博物院。游玩时间:两到三小时。tip:1就在附近，还有个蜀绣博物馆，可以顺便去看下。。2相对而言，成都博物馆比四川博物院更值得观看，如果极限2选1,建议去成都博物馆。
1693575444# #又让我想到罗翔老师上课的时候讲过的一个案件，忘记受害人的名字了，妈妈重男轻女，因为小女孩偷吃了妈妈给弟弟做的猪油渣，妈妈就拿着滚烫的猪油往小女孩的嘴里灌。最后小女孩挣扎了一个星期，在痛苦中离世。妈妈好像只判了几年有期徒刑，出来后的第1件事情就是把小女孩的坟给刨了
1693047509# #点开前：什么软饭男批判一下。看完后：他值得
1701174823# #今天又刷到一个类似帖子。博主贪便宜去闲鱼充电话费，结果被运营商提醒涉案并且封停了手机号。后来才知道，贪小便宜的后果就是别人拿他手机号去洗钱…⚠️别贪小便宜，保平安，不要小市民心理。
1700396631# #转发微博
1695730447# #笑cry
1695637389# #「世界上的一切都与性有关，除了性本身，性只关乎权力。」
1703675675# #转发微博
1696150284# #转发微博
1692706281# #笑cry
1699702962# #转发微博
1700219385# #转发微博
1696418995# #成都国庆亲子游。国庆太挤了，不敢去景区，着重还是去博物馆和科技馆。虽然也挤，但比景区的拥挤好很多。。景点:四川科技馆。。推荐:五星，小孩的圣地，里面所有小孩基本都兴奋到怒走两万步不喊累。。游玩时间:一整天。。抢票难度:两分钟内抢完，攻略在图一，来自小红薯宝藏博主。。tip:1有条件带个简易凳
1699181749# #转发微博
1698305220# #看标题还以为法院惩罚出轨让女方占便宜了。原来房子首付装修还贷的都是女方家长，男方是个骗婚gay，免费的儿子骗到手了，还想讹房子呢！二哈二哈二哈二哈
1691836715# #神奇的是这句话和“孩子不能没有爸爸”圆润地并存不悖，男人不适合带孩子但是很适合当老师，男人不适合下厨但是很适合做大厨，男人不适合针线活但刺绣大师还得看男人，男人特别理性不适合文科但艺术家（尤其领导）还得男的，总之男人适合挣钱露脸
1695637451# #转发微博
1698055198# #有点不想玩这个微博了
1698305204# #短短几行字震惊我三千次谁说中国没有优秀的恐怖片good
1697355944# #转发微博
1703320683# #1.性和爱可以一起，但也完全可以分开。把这些东西绑定在一起塞给女人，只是为了增加女性的心理成本2.女人生理上的成本是更高一些的，因为承担的风险不一样。避孕套也叫安全套，它不但可以防止怀孕，更多的是防止得病3.如果感受到一个人不安全，就是一种警告。
1692706188# #西昌亲子游。景点:星月湖公园。时间:一小时，晚上。。万达对面，晚上去，夜景灯光美，照相很出片。
1697960681# #真搞笑，车上早拉的是他领导你看他还粗心吗？弹性粗心抱一抱
1697699908# #转发微博
1689143583# #青岛亲子游。当然，只要有点阳光，青岛那是超级美。。如果做好要来的准备，就可以提前订住宿，青岛物价不算高，但是旅游旺季，住宿很贵，马上啤酒节，住宿更紧张。。青岛旅游景点可以按照小红薯宝藏博主的推荐，如果是亲子游，就带上孩子去海边景点玩，内陆孩子看见沙子和水，立马就疯狂，一整个下午就
1692796405# #转发微博
1697179886# #我们不会随意传播的，爷爷肖乐夫东风集团前副董事长，现在可能退休了叭。他爸叫肖新锋，武汉新洲区副区长。肖明瑫，外国语学院，22级入学。大家不能私下传播哦。爸爸副区长。肖明瑫的爷爷肖乐夫
1694784682# #这个好牛
1691664171# #为晚上的火把节跳舞存储能量，high起来。
1696924264# #不敢表白但是敢装摄像头偷窥?汗
1694436343# #像极了我和我女儿的日常
1689939784# #哈哈哈哈哈学起来！
1702542425# #转发微博
1693222991# #所以为什么那么多女性不愿结婚有关部门领导有你们的功劳微笑
1694176826# #笑cry笑cry笑cry
1699950588# #转发微博
1702643190# #转发微博
1699182423# #转发微博
1693828674# #有几个女性？就多了？？
1700305625# #转发微博
1697784150# #转发微博
1702734141# #早知道这么好笑我就留到春晚在看
1696664807# #原来如此
1694688732# #今天翻家长群查看内容，手稍不留意，就碰到了其他家长头像。。。关键是，家长群里，本来大家在热火朝天讨论服装的事，现在也不讨论了。就剩最后一排显眼字摆在那---【xxx妈妈戳了戳xxx爸爸】。。QQ，我跟你势不两立
