1688910891# #摩登兄弟超话捕捉到你啦，隔空给你爱的抱抱~啊啊啊老大
1695686457# #刘宇宁加盟微博音乐盛典|刘宇宁他从火光中走来情感主题曲|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。万物皆有裂痕，那是光照进来的地方！。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇
1689291389# #早上好@摩登兄弟刘宇宁
1694659675# #打call
1701011139# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐做自己的光！一起来推荐你心中的微光荣耀吧打call
1701665192# #转发微博
1701011032# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围影视音乐为《愿光》荣耀推荐！为热爱加码，共同打造荣耀时刻~鲜花
1694406061# #纵使生活没那么容易我还是想把你放在未来里一生欢喜不为世俗所及。。。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁卓不凡
1694662621# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！羞嗒嗒
1695119240# #@大头图图宁
1704037870# #刘宇宁哭了我也哭了，最好的宁远舟最好的刘宇宁！
1703671978# #我投给了“刘宇宁”~
1694941118# #@MD-花花小棚友
1690349469# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1699748232# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐做自己的光！一起来推荐你心中的微光荣耀吧1
1697891438# #摩登兄弟超话超话星愿池愿我的少年前程似锦，历经沧海依旧乘风破浪，尘埃落定过后满是炙热欢畅。
1700390921# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1699166194# #好听打call
1693974160# #微博音乐盛典用音符描绘你的故事，一起感受音乐带来的奇妙氛围感与魅力吧！
1699501403# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐做自己的光！来参与推荐，共同见证它的荣耀时刻吧！打call
1701011128# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐做自己的光！一起来推荐你心中的微光荣耀吧鲜花
1693734867# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1689003368# #刘宇宁魏劭|刘宇宁折腰|摩登兄弟超话。。不荒废好时光。不辜负小风景。微笑会告诉你。每天都会是甜的。晚安！。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁卓不凡给力刘宇宁天行健
1688859240# #早上好@摩登兄弟刘宇宁
1693974400# #微博音乐盛典我的音乐氛围感乐享心声，乐动精彩，助力优秀音乐让更多人听到，一起感受音乐的力量！
1688984762# #@vivie-c
1693782187# #早安@摩登兄弟刘宇宁
1689999484# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。因你相遇，由爱相聚。。积极向上，与爱同行。。成为更好的自己，一起共同进步！。给力刘宇宁做自己的
1690430808# #做自己的光我的评分：星星星星星星星星星星。窗外有风景，心中有豪情，追逐光、靠近光、成为光、散发光《做自己的光》，刘宇宁蒋俊豪光亮的重叠。
1688789877# #刘宇宁魏劭|刘宇宁折腰|摩登兄弟超话。。愿世间所有的等待都能如期而至，愿世间所有的幸福都能恰到好处。。。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇
1703577522# #我获得了微博之夜纯粹卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1699227281# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。世间所有的不期而遇，都是最好的安排～刘宇宁值得❤️。早上好！。。
1696743377# #恭喜老大
1701319835# #微博纪念背景墙我正在使用刘宇宁粉丝认证号专属卡片背景，粉籍认证，你值得拥有！快来试试吧！
1702800953# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。愿所有的后会无期，都是他日的别来无恙。。。
1702269734# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。和刘宇宁一起勇敢前行。你永远是最亮的那束光。。
1700648597# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。是一份怎样的心动，。我会为了你去努力；。是怎样的一片星空，。我会想要与你共赏。。
1695338598# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。刘宇宁。做着许多人的光。曾在黑暗不明的角落倔强。也在万丈光芒的舞台做着独一无二。愿你发光发亮在舞台追寻梦想。也做着我独一无二的信仰。。
1694735119# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！打call
1701933825# #粉丝认证号叮！刘宇宁的宠粉卡已发放！我领到了TA的专属宠粉福利，快来和我一起成为TA的认证粉丝，宠粉福利领不停！
1694527764# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！抱一抱
1692873014# #刘宇宁官宣加盟东方风云榜｜刘宇宁宝曼兰朵品牌大使｜摩登兄弟超话。错过了落日余晖，我可以期待满天繁星。。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁
1694913308# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1694401409# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！
1691468173# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。喜欢一个人其实很简单。即使隔着屏幕看着他。都能傻笑一整天。愿你的世界永远充满阳光。不会有多余的悲伤。。刘宇宁魏劭给力刘宇宁折腰。刘宇宁宁远舟给力刘宇宁一念关山。刘宇宁蒋
1689483968# #就是今晚啦，歌手刘宇宁等你的舞台，不见不散！@摩登兄弟刘宇宁
1694598121# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！3
1692572502# #刘宇宁官宣加盟东方风云榜｜刘宇宁宝曼兰朵品牌大使｜摩登兄弟超话。4，🍓人生像一场旅行，不必在乎目的地，重要的是沿途的风景以及看风景的心情。💫摩登兄弟刘宇宁刘宇宁💫4，🍓人生像一场旅行，不必在乎目的地，重要的是沿途的风景以及看风景的心情。。。
1689636485# #早上好呀@摩登兄弟刘宇宁
1691470756# #欢迎新棚友
1689135907# #山河远阔，人间烟火，无一是你，无一不是你！
1703338931# #转发微博
1693611086# #心有所想，目有所望，每个人眼中都有一个不同的世界，世界如此美好，又是新的一天，早安！@摩登兄弟刘宇宁
1703845504# #我获得了微博之夜纯美卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1696501894# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。长长的路。我们慢慢陪你走。不急不躁。踏踏实实。你想要的一切终会抵达，。我会做一辈子你的忠实观众。见证你在自己热爱的世界里闪闪发光。。
1693318202# #哇哇哇老大
1693738795# #@Ai宁的小木子
1698997894# #我投给了“《一念关山》刘诗诗刘宇宁”~
1691679176# #我投给了“《做自己的光》刘涛秦海璐刘宇宁”~
1700130349# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为蒋俊豪荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放打call
1693905295# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！
1694662580# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！送花花
1690731190# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1689424521# #@lyn-橙子
1697624237# #来了
1697498543# #刘宇宁宝曼兰朵卓韵代言人|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。最美的风景，不在终点，而在路上，。最美的人，不在外表，而在心里，。愿你所有的遇见，都能成为心中的美好。。。
1701317710# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。日出日落月望月朔，沉寂的繁星会在夜空泛起微光，而生活向我袭来的黑暗让我更加闪烁！。。
1694527717# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！5
1690605060# #刘宇宁蒋俊豪要相信黑夜终将过去，黎明定会来临，坚定信念《做自己的光》，陪你共舞在这光芒之上。
1700310314# #转发微博
1689999167# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1702812079# #刘宇宁直播看直播时间过太快啦，还没看够呢
1691468551# #紫色真好看！
1692609916# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1695255451# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。世间予我千万种满心欢喜，沿途逐枝怒放，全部遗漏都不要紧，得你一枝配我胸襟就好！。。给力刘宇宁做自己的光。刘宇
1703411352# #我推荐《奉上》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1691144579# #转发微博
1700391094# #打call
1693227682# #哇打call打call打call
1694527773# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！打call
1689049893# #刘宇宁老婆实时专用我有吗
1700875698# #摩登兄弟超话超话星愿池非正式跨年派对刘宇宁，你说你有我们很骄傲，我们有你更骄傲啊。
1703046031# #锦鲤附体，我获得了微博之夜美好卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1690154617# #刘宇宁老婆实时专用滴滴滴
1701492807# #一念关山打戏太精彩了
1688961825# #摩登兄弟刘宇宁《二中中二日记》（《茶啊二中》电影快乐歌）
1699695868# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。看过星辰璀璨天际，见过大海一望无际，我看遍这世间万般景色，却唯独对你一往情深，一秒也不舍得错过。。给力刘宇宁做自
1700875617# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。我喜欢温暖，你恰好是太阳，可盐可甜，一眼万年。。
1693974120# #微博音乐盛典官宣乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！
1694662652# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！哇
1692333431# #摩登兄弟刘宇宁《灼心》（《灼灼风流》电视剧情感主题曲）
1694662564# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！鲜花
1700838396# #粉丝认证号我刚刚领取了刘宇宁粉丝认证号No.0064713，马上领取粉丝认证号，官方盖章你值得拥有！
1690204542# #转发微博
1703693102# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。心如花开，面露微笑，。一路芬芳，一路向暖，。不言时光薄凉，只与阳光相依，。一路微笑前行，努力做最好的自己。。晚安老大。。
1689603870# #转发微博
1695687845# #摩登兄弟超话超话星愿池往后的路陪你一起走，见证你所有的荣光和成长。
1692492134# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1698846108# #打call
1701492692# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。能遇见你是神明赐我的糖。世界的善意是晚来的温柔和干净的你。少年的征途是浩瀚宇宙四方。。。
1704470756# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？驾驭高能时刻来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1698846047# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。最美的风景，不在终点，而在路上，。最美的人，不在外表，而在心里，。愿你所有的遇见，都能成为心中的美好。。。
1695338378# #早安，阳光正好，面带微笑，拥抱美好的一天~@摩登兄弟刘宇宁
1699501350# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐做自己的光！为热爱助力，一起来推荐你最喜欢的作品吧~
1694598174# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！打call
1692854375# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1699439067# #期待
1697983533# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1692764022# #刘宇宁官宣加盟东方风云榜｜刘宇宁宝曼兰朵品牌大使｜摩登兄弟超话。人间值得，未来可期，愿所得皆所期，所失亦无碍，所求皆如愿，所行化坦途。。给力刘宇宁做自己的光。刘宇
1689049122# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1694820574# #早上好，美好的心情从早晨开始@摩登兄弟刘宇宁
1694735026# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！3
1703046083# #锦鲤附体，我获得了微博之夜真意卡等3张，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1701216847# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。一辈子很长。但喜欢着你的时光却让人万分留恋。不管是海誓山盟的诺言。亦或是倾其一生的陪伴。只想给你最有安全感的守护。转身有我们抬头有光。希望陪你经历每一个重要的日子。你只管安心追寻自己的梦想。我们会在你的
1694527668# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！1
1689768500# #转发微博
1696996673# #摩登兄弟超话刘宇宁宝曼兰朵卓韵代言人|刘宇宁献唱虎鹤妖师录片尾曲|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。能遇见你是神明赐我的糖。世界的善意是晚来的温柔和干净的你。少年的征途是浩瀚宇宙四方。。。。
1694735089# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！抱一抱
1690846211# #早上好@摩登兄弟刘宇宁
1703046024# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！快来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1694491403# #喜欢总在不经意间慢慢加深，心动常在不知不觉缓缓停留；一路走来见证太多的美好和惊喜，深藏在你我之间的感动始终未变。。刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。给力刘宇宁做自己的光。刘宇宁洛
1692286685# #转发微博
1689589507# #转发微博
1699501393# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐做自己的光！来参与推荐，共同见证它的荣耀时刻吧！鲜花
1699590017# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。一辈子很长。但喜欢着你的时光却让人万分留恋。不管是海誓山盟的诺言。亦或是倾其一生的陪伴。只想给你最有安全感的守护。转身有我们抬头有光。希望陪你经历每一个重要的日子。你只管安心追寻自己的梦想。我们会
1703209738# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！快来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1699748192# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐做自己的光！来参与推荐，共同见证它的荣耀时刻吧！打call
1692353932# #@-莎儿吖
1694401344# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！
1691553916# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。我离你太远，。我只是你万千粉丝中的一个。。我唯一能参与你生命的方式，。就是见证你的每一次成长，。看着你在舞台上绽放光芒，。然后一步一步，。走向更高的地方。。。刘宇宁魏劭给力
1693974152# #微博音乐盛典官宣乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！送花花
1704126144# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1703586533# #我推荐《一念关山》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1691123349# #转发微博
1692107166# #@canton-michelle
1689723800# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。我喜欢你是永久的那种。是夏天过去了还有秋天。是新鲜感过去了还有心动的那种喜欢给力刘宇宁做自
1703586516# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1696177663# #摩登兄弟反黑大队超话有呼呼的嘛我较好
1703209724# #我获得了微博之夜纯真卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1693974311# #微博音乐盛典用音符描绘你的故事，一起感受音乐带来的奇妙氛围感与魅力吧！
1703937639# #我获得了微博之夜纯美卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1704039828# #你发自内心的笑容，就是全世界最耀眼的光
1693974302# #微博音乐盛典官宣乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！打call
1700886908# #啊啊啊啊啊啊好棒
1703239778# #今日冬至超话冬至没吃饺子吃汤圆了.
1704470018# #转发微博
1690069093# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1689479237# #摩登兄弟超话我的宝来空降啦，发出爱的表白~
1689895623# #愿你醒来有晨光，眉间有明朗，抬头有星可仰望❤️早上好@摩登兄弟刘宇宁
1694354166# #转发微博
1690875581# #@vivie-c
1694401396# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！送花花
1699313567# #早上好@摩登兄弟刘宇宁
1701141565# #恭迎六道堂堂主打call打call打call
1691237217# #转发微博
1692094312# #我投给了“摩登兄弟刘宇宁《直到时间尽头》”~
1694401367# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！打call
1702799972# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1698590410# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1689808574# #摩登兄弟超话夏日环游指南超话星愿池刘宇宁，遇见你是故事的开始，走到底是余生的欢喜。
1701274250# #刚睡下一会儿，院子外莫名其妙着火了，现在睡意全无。
1691814397# #刘宇宁七时吉祥守护主题曲|刘宇宁宝曼兰朵品牌大使|摩登兄弟超话。这一生所有的美好，只为与你倾心的相遇。。。。刘宇宁魏劭给力刘宇宁折腰。刘宇宁宁远舟给力刘宇宁一念关山。刘宇宁蒋俊豪给力刘宇宁做自己的光。刘宇宁洛铭
1697118841# #@canton-michelle
1699541793# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。落叶与黄莺，不约而同地缄默，是对黎明的期待是有多大的幸运能在人海中遇见你。无论时间多么的久远。无论相隔的距离多长。不变的依然是看你时的不自觉微笑。每日增添的依然是想见你的冲动。晚安。
1691663138# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。遇到了你。从此我的世界多了悸动与欢喜。你的笑容。就像盛夏的阳光。刺眼，迷人，让人羡慕。。能够数次让人心动。。刘宇宁魏劭给力刘宇宁折腰。刘宇宁宁远舟给力刘宇宁一念关山。刘宇
1692660516# #早安！新的一天，让快乐重启，让忧虑清零🌞@摩登兄弟刘宇宁
1703411359# #我获得了微博之夜纯美卡等2张，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1689342274# #@Ai宁的小木子
1703209586# #转发微博
1688860052# #爱了很久我的评分：星星星星星星星星星星。微博音乐影响力榜爱了很久摩登兄弟刘宇宁
1688700891# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1690366842# #刘宇宁空降啦！邀你在线连麦一起看《做自己的光》
1702033002# #光影汇剧，悦见美好！2023电视剧大赏正在进行～我在电视剧大赏名场面推荐中为《关山小队天星峡高燃团战》激情打call！一起来推荐你心中的年度剧集名场面吧！好喜欢
1699167358# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。惊鸿一瞥，一眼万年。九宫格装不下刘宇宁的美貌。很高兴认识你，感谢你来到这个世界上，成为我们的星星刘宇宁。。
1691728557# #刘宇宁七时吉祥守护主题曲|刘宇宁宝曼兰朵品牌大使|摩登兄弟超话。成长大概最大的温柔就是我可以在安静当中发现我最喜欢的那一份故事。而从黑暗到黎明的这一过程当中，有你的陪伴！。。刘宇宁魏劭给力刘宇宁折腰。刘宇宁宁远舟
1694598160# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！
1699621973# #哇帅气男孩
1699502640# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！跟随梦的节拍，助力荣耀时刻~打call
1701231587# #转发微博
1688859706# #刘宇宁魏劭|刘宇宁折腰|摩登兄弟超话。世界上最好的保鲜。。就是不断进步。。努力让自己成为更好的人。。这比什么都重要。。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁
1692572779# #@亚亚是只喵
1689483981# #刘宇宁《黑夜一束光》@摩登兄弟刘宇宁
1699367064# #打call
1691642107# #转发微博
1703993098# #我投给了“刘宇宁”~
1697119104# #只要来日可期，今天就值得欣喜。等苦尽甘来的那一天，山河星月都做贺礼。
1696342019# #我投给了“摩登兄弟刘宇宁《命中注定》”~
1703411331# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1694561300# #哇，心想事成了！终于抽到了许愿锦鲤拼图，我的微博渔场马上就要拥有许愿锦鲤啦
1690328442# #摩登兄弟刘宇宁《就在江湖之上》（《莲花楼》影视剧片头曲）
1689218481# #终于播了打call打call
1703998062# #我获得了微博之夜纯美卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1699541427# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1702903817# #宁远舟战死这就是你说的he?泪泪泪
1691287394# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1703387444# #转发微博
1700130419# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐做自己的光！来参与推荐，共同见证它的荣耀时刻吧！锦鲤附体
1694734392# #早上好@摩登兄弟刘宇宁
1690673434# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。愿我的少年前程似锦，历经沧海依旧乘风破浪，尘埃落定过后满是炙热欢畅。。。。给力刘宇宁做自己
1703586539# #我推荐《奉上》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1699502625# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！跟随梦的节拍，助力荣耀时刻~鲜花
1693974168# #微博音乐盛典乐享潮流季共享，共乐，共舞，一起跟随音乐的节奏尽情舞动吧！
1696121550# #国庆快乐
1689808425# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。这世界可能过于凛冽。消磨你的年少时光。可有时候。又觉得其实这世界。也还是温柔的。至少让我看到了你成长的模样！。
1694662603# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！
1693393921# #@MD-红配绿
1691914669# #我投给了“由你榜实时TOP9：摩登兄弟刘宇宁《就在江湖之上》”~
1690384297# #太棒了，我在熊猫守护者认领了一块保护地，将在四川省都江堰市龙溪虹口帮助守护一平米的小种群野生滚滚栖息地，你也快来加入吧！
1696253781# #@-不想不念不听
1690604058# #转发微博
1689676435# #我投给了“摩登兄弟刘宇宁《我只愿朝着光》”~
1696945328# #来了
1694735035# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！鲜花
1690864517# #我在森林驿站为『动物说：一句话认识ta』捐助了20颗爱心！和熊猫守护者一起刷微博，攒能量，收获爱心，共同助力野生动物的生态系统保护，实现区域内人与野生动物的和谐共存吧！
1689511943# #我在森林驿站帮助了小熊猫，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1691025164# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。现在只管努力的生活，未来的样子交给时间去印证，相信只要有付出就一定会有回报。。给力刘宇宁
1694598130# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！送花花
1689070537# #夕阳无限好，只是近黄昏！
1692925017# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1694527657# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！
1700803645# #期待
1694735043# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！送花花
1692315023# #早上好❤因为有所求，所以要变得更好@摩登兄弟刘宇宁
1694662573# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！心
1699748173# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐做自己的光！来参与推荐，共同见证它的荣耀时刻吧！鲜花
