1690036843# #根据血糖水平和病情
1693834421# #【糖尿病请注意，这些原因诱发酮症酸中毒】35岁的小美，上周突然高烧，体温39.5℃，恶心、呕吐、口渴，在家先吃药后输液，过了3天还是烧，于是看急诊，结果不是“二阳”，也不是“三阳”，而是严重的尿路感染，还有糖尿病、糖尿病酮症酸中毒和糖尿病肾病。给大量补液、抗菌素和胰岛素治疗，感染已经控
1692360285# #医海深万丈，大医靠精诚，预祝医务同行医师节快乐！鲜花鲜花鲜花字太丑，凑合看吧。允悲中国医师节
1702208143# #黑天鹅
1699792448# #【糖尿病肾病是怎么分期的】今天一位小伙子咨询我，他糖尿病肾病，尿中有微量蛋白，肾功能正常，当地一家医院的医生说他是糖尿病肾病3期，另一家医院又说1期，他有点懵，问我糖尿病肾病是怎么分期的，两个医生谁说的对？。估计许多糖友可能都有这样的疑惑，我今天给大家说清楚。。传统的教科书，对糖尿病
1693054826# #【亲爱的糖友，您想等到什么感觉才开始治疗】9年的糖尿病，因为没感觉不当回事不想用药一拖再拖，可等有感觉了身体也垮了。。这是一位外地患者，51岁，发现糖尿病9年，但一直没怎么治疗。2周前感觉水肿，检查发现大量蛋白尿，尿蛋白定量20.62g/d（正常＜0.15g/d），血肌酐升高，感觉病情严重了于是过来
1702728591# #是呀鲜花
1702995333# #地震已致127人遇难现在，滨海新区的室外温度零下10度左右，穿着厚厚的羽绒服在室外待一会都冻得受不了。而甘肃、青海的温度比这里要低很多，地震灾区的居民一天24小时都待在寒风凛冽的室外，其痛苦可想而知。极寒诱发的高血压、心梗、脑梗、肌溶解、感染等造成的伤害，甚至比地震本身造成的伤害还要
1698148966# #好久没上榜了
1699085493# #中国健康品牌大会第四届健康中国创新传播大会暨第九届中国健康品牌大会在雄安新区盛大开幕！在昨晚的健康品牌之夜晚会上，我分享了轻科普【盘点九大伤肾行为】。肾脏具有两大功能：排泄功能和内分泌功能。。1、排泄功能：排除代谢废物和毒素，维持水、电解质和酸碱平衡。。2、内分泌功能：分泌肾素，调
1692097208# #【李主任您好，一直关注您的微博，这次是因为母亲的血尿情况想让您】谢谢你的信任！你母亲血尿不是主要问题，现在的主要问题是蛋白尿，现在还不清楚是因为尿路感染导致尿蛋白假阳性，还是原来就有蛋白尿。请用抗菌素一周后再复查尿常规，如果还有尿蛋白2+，那要到肾科好好检查了
1696764939# #常吃甜食会导致高血压吗微博健康公开课听医生的话
1695905090# #【依托考昔片有什么功效及副作用】依托考昔属于解热镇痛药。心脑血管病人常用的阿司匹林、平时止痛用的双氯芬酸钠，还有去年底特别火的两个药布洛芬和对乙酰氨基酚，都属于解热镇痛药。这类药是个大家族，还有许多药。。解热镇痛药也叫非甾体抗炎药，具有四大作用：解热、镇痛、抗炎、抗风湿，发烧用的
1699933520# #good
1695289679# #生物人工肾，和猪肾移植一样值得期待。天津大学泰达医院李青。肾病发展到尿毒症需要肾脏替代治疗，包括血液透析、腹膜透析和肾移植。。血液透析每周三次，费用较高，血液传播的病毒感染风险高。而且频繁往返于医院，难以胜任常规工作，人身自由受到限制，逐渐被社会边缘化。。腹膜透析自行操作，费用略低
1696499819# #【硝苯地平控释片功效和副作用】硝苯地平控释片是地平类降压药的代表药之一，属于钙通道拮抗剂，通过阻断血管平滑肌的钙离子通道，使平滑肌松弛，血管扩张，血压下降。。地平类降压药上市之前，没有什么好的降压药，地平类的出现，使高血压的治疗水平大大提高。。这类药的降压效果很好，作为一线降压药，
1699433510# #你的职业是颈腰椎疼痛重灾区吗【姿势不对，颈椎作废】这是我一年前的照片，颈椎病，手麻、脖子痛、胳膊疼、头晕，晚上只能右侧卧，半夜翻身到了左侧还会被痛醒，因为持续疼痛，还出现了焦虑情绪，痛苦不堪。。做核磁后，骨科主任说我的颈椎病挺严重，先让我颈椎牵引，如果不行，考虑手术。我每天一次
1694083149# #司美格鲁肽，或许可减少饮酒量微博健康公开课
1699088890# #太期待了goodgoodgood握手握手握手
1696596967# #为啥非得把坏人都整到老赵家和老高家？
1690282805# #【李医生，您好，我老公（43岁）一直检查有潜血和蛋白，尤其红细】
1700523368# #上班之路
1701264584# #goodgoodgood
1694171503# #goodgoodgood
1701435351# #需要，再加一片络活喜
1700631192# #goodgoodgood
1697294162# #good嘻嘻
1688396889# #恰恰相反
1690974937# #疑似尿路感染，先用抗菌素，一周后复查看还有没有尿蛋白，如果有，做尿蛋白定量
1694257204# #【发现血尿，就一定肾脏是肾脏有问题吗？】发现血尿，就一定肾脏是肾脏有问题吗？天津大学泰达医院李青1、什么是血尿？尿液离心，沉渣中红细胞＞3个/高倍视野就是血尿。尿潜...微博名医诊室
1688209205# #【我母亲85岁，糖尿病20年，2012年开始注射诺和林30R，】谢谢你的信任！血压多少？有没有蛋白尿或者其他并发症？有没有其他疾病？
1700398230# #鲜花鲜花鲜花
1690460608# #憨豆先生
1695567789# #握手
1700611647# #可以呀，文章不是说的很清楚吗
1687950006# #【本人女，165，96斤，29周岁。有服用进口复合维生素7个月】
1704207514# #goodgoodgood
1687786277# #【IgA肾病治疗有哪些新药】IgA肾病是我国常见的一类肾小球肾炎，主要表现蛋白尿、血尿、高血压，多见于中青年人，易发生肾衰竭，IgA肾病也是目前我国透析的主要原因之一，所以要积极治疗。。传统的治疗方案主要分三步：有尿蛋白，要使用沙坦类或者普利类降压药；如果尿蛋白定量超过1g/d，还要使用激素；
1694785908# #鲜花鲜花鲜花耶耶耶
1699884141# #goodgoodgood
1700221859# #转发微博
1696059269# #不能分开用
1692715856# #效果不太好
1694528312# #不完全一样
1687774830# #电子血压计准吗微博健康公开课健康素养提升v计划
1699277075# #男性功能障碍就是肾虚吗？怎么改善微博健康公开课听医生的话
1699489727# #嘻嘻作揖
1693221434# #请保持你心中的信仰，因为你不知道谁会借着你的信仰，走出了迷茫。。千年暗室，一灯即明。即便成不了探照灯，做一盏马灯也是好的。至少，可以照亮脚下的路！运动
1693655449# #goodgoodgood
1697455607# #老去并不可怕，因为无人能避免。可怕的是从未顺从自己而活过，亏欠了只有一次的人生。运动
1702299766# #鲜花鲜花鲜花
1696766631# #【司美格鲁肽怎么掌握注射量】司美格鲁肽是一种降糖药，降糖、减重、预防冠心病，FDA已经批准司美格鲁肽可以用于12岁以上普通肥胖者的减肥治疗，一般不会引起低血糖。。司美格鲁肽每周一次皮下注射，腹部、大腿、上臂都可以打，早、晚、饭前、饭后都不影响。。司美格鲁肽的主要副作用是胃肠道反应，为了
1690447811# #二甲双胍可预防糖尿病的发生微博健康公开课
1698751492# #世界是一个空谷，生命是一种回声。我们发出什么样的声音，就会听到什么样的声音。运动
1699534109# #goodgoodgood
1690291407# #【列净类降糖药也能降压吗？】有粉丝说，他高血压，一直用一片地平和一片沙坦降压，血压平稳120/80mmHg，后来血糖高开始加了一片列净，没想到血压降到110/70mmHg，问列净类降糖药也能降压吗？。答案是肯定的，列净类降糖药也有一定的降压作用。。肾小管上皮细胞有一种转运体叫钠-葡萄糖转运蛋白，负责回
1694528441# #糖耐量试验准
1700574098# #会瘦一点，但不会太瘦
1698844274# #作揖作揖作揖鲜花鲜花鲜花
1700230809# #不需要
1694439646# #【血糖6.5，也是糖尿病】糖尿病的并发症不是一朝一夕形成的，一般来说，如果血糖控制不好，大约5～10年就会出现心脑肾、视网膜等并发症。可有的糖尿病肾病患者，一问病史，糖尿病没几年，难道糖尿病也变异了吗，2、3年就导致并发症？。看看这个检查，也许你就明白了。。这是糖耐量试验结果，空腹血糖6.5m
1688657660# #微博健康公开课布洛芬等止痛药潜在伤肾风险
1691934738# #是
1689332405# #【李医生您好，本人女，33岁，在2010年22岁那一年患了IG】
1700476934# #算
1691832716# #美国批准了，我国还没有批准
1687086007# #【主任您好，我是男，29，单纯血尿10年，但镜下血尿也是时有时】谢谢你的信任！隐匿性肾小球肾炎，血压正常（白大衣血压），不用任何治疗。你目前最大的问题是焦虑，太焦虑了
1693477219# #石正丽成为院士候选人
1693230921# #低生堂-杂粮植物奶900g0钠高蛋白高膳食纤维11种五谷杂粮原料谷物粉1盒装早餐冲调高血压高血糖者可食用。。【现价】49.9元。【券后价】48.9元。【优惠券】1元。
1703426157# #半年一次就行
1701766764# #我这里的医生都很专业
1702472486# #🙏🙏🙏
1701602293# #嘻嘻嘻嘻嘻嘻
1699880112# #很好
1687094260# #【这类药既降尿蛋白，又对血压影响小】无论是慢性肾炎，还是糖尿病肾病，还是其他肾脏病，只要有尿蛋白，无论有没有高血压，指南都推荐用沙坦类降压药来降尿蛋白。但是，一些患者，尤其是年轻女性患者，基础血压本来就低，用沙坦类后血压更低，遇到这种情况怎么办呢？。使用列净类降糖药，既降尿蛋白，
1688554804# #【李主任您好，一直关注您的微博，这次是因为母亲的血尿情况想让您】谢谢你的信任！你母亲血尿不是主要问题，现在的主要问题是蛋白尿，现在还不清楚是因为尿路感染导致尿蛋白假阳性，还是原来就有蛋白尿。请用抗菌素一周后再复查尿常规，如果还有尿蛋白2+，那要到肾科好好检查了
1689591608# #【李医生，你好！前几天刚刚向您咨询过，您建议长期服用达格列净和】
1694528376# #good
1700917884# #32岁小伙子，60个深蹲后严重肌溶解。健身不是零门槛，谁都能做；健身也不能心血来潮，脑袋一热就去做。微博健康公开课听医生的话
1702907054# #看这张检查单，估计您很难想象这是一个13岁孩子的血液生化结果，血肌酐高，尿酸高，胆红素高，您更难以想象的是，这个13岁孩子的身高1.85m，体重103kg，而他父母的身高体型都是中等。。他的检查异常，应该跟肥胖有关。。这是早发育，也是早衰，如果不控制体重，估计以后身体的麻烦会更多。
1698501198# #【支原体感染头孢和青霉素无效】近日全国支原体肺炎高发，以儿童为主，许多医院儿科爆满，一些人还误认为新冠又来了。。支原体也是一种微生物，比病毒大，比细菌小，小到普通显微镜看不到，电子显微镜才能看到。支原体和细菌的区别之一是，细菌有细胞壁，而支原体没有。平时常用的青霉素和头孢，都是破
1695034804# #【李医生你好，上次父亲透析之前咨询了您一次，上个月父亲开始透析】谢谢你再次咨询！血压高的原因一个人透析不充分（每周两次透析），但主要原因是透析导致肾素血管紧张素醛固酮系统激活，恰恰需要用沙坦类降压药，而且可以大量使用。
1687524033# #今天能活着，要感谢两个人，一个是美国人，叫威力斯凯利，他发明了空调；另一个是中国人，叫后羿，他干掉了九个太阳。如果没有这哥俩，我们都会被热死。。今天我才明白，什么晒房晒车晒幸福，那都不是本事，有本事出来晒太阳啊！。今天我才懂得，打败你的不是天真，是天真热！。如果有人对你说：哪凉快，
1696596094# #【肾小球滤过率年龄对照表】肾功能好不好，一般要看血肌酐多少。血肌酐是肌肉的代谢废物，主要通过肾脏排泄，影响血肌酐浓度的主要是肾脏功能，血肌酐升高就意味着肾功能下降。。但是，血肌酐值也不完全靠谱。许多老年人肌肉萎缩，蛋白摄入量下降，每天血肌酐产生的就少，即使肾功能不好血肌酐也不会太
1700750605# #太对了goodgoodgood鲜花鲜花鲜花
1700395603# #【尿毒症是什么原因引起的？】肾脏病的晚期阶段就叫尿毒症，那尿毒症是什么原因造成的呢？。各种原因导致的肾脏病，如果得不到有效治疗，大量的肾小球被破坏，血液中的代谢废物血肌酐无法被清除，血肌酐越来越高，当血肌酐超过707µmol/L，或者肾小球滤过率＜15ml/min时，就被定义为终末期肾病，也叫尿毒
1689602045# #【肾病新药司帕生坦获得批准】今年2月，一种治疗肾病的新药司帕生坦（sparsentan）获得FDA批准，用于IgA肾病的治疗，可以降低尿蛋白，延缓肾病进展，也就是通俗说的保肾作用。在刚刚结束的第60届欧洲肾脏病大会上，有关司帕生坦的研究也获得了珍珠奖。。研究发现，司帕生坦可使尿蛋白降低49.8%，疗效是
1690977040# #糖尿病肾病如何远离尿毒症。天津大学泰达医院李青。44岁男士，糖尿病10年，高血压2年，2周前因为视力下降看眼科，发现是糖尿病视网膜病变，眼底出血，左眼失明，右眼接近失明。同时发现还有蛋白尿和肾衰，眼科医生给他做了必要处理后建议他先治疗肾病。。来院后检查发现大量蛋白尿，低蛋白血症，血糖高
1699793949# #作揖作揖作揖
1688391554# #【又一列净类降糖药上市，功能更强大】5月26日，索格列净被FDA正式批准上市，用于治疗2型糖尿病、心衰、慢性肾病等疾病，索格列净也是继达格列净、卡格列净、恩格列净、艾托格列净之后又一新的列净类降糖药进入临床使用。。列净类降糖药自2014年上市以来不断创造奇迹，先是治疗2型糖尿病，后又发现能够
1693297364# #高血压和糖尿病离婚了微博健康公开课
1688727607# #【你好里李大夫这是我老妈的肾功能检查报告！我妈今年72岁！要怎】谢谢你的信任！原来有什么病？发现血肌酐升高多长时间了？血压血糖高吗？
1700136770# #幸福人生，第一真实，第二善良，第三快乐，第四健康
1694528224# #谢谢您作揖鲜花
1701272220# #属于，早期可以逆转
1687945025# #血肌酐低是怎么回事微博健康公开课健康素养提升v计划
1690974997# #糖尿病有尿蛋白就可以用非奈利酮，瘦人也可以用肽类
1689937205# #【尿蛋白2+尿潜血2+有结石史。腰椎间盘突出史，当地医生说很轻】谢谢你的信任！应该是肾小球肾炎，因尿蛋白不太高，可以不用肾穿。血压多少？用沙坦后多少？阿利沙坦和氯沙坦合用吗？
1693047607# #【医生您好，女儿6岁7个月。一年前发现有尿频情况，带到医院检】谢谢你的信任！我个人意见是薄基底膜肾病，可以不用治疗，什么药都不用，不要再折腾孩子了，否则心理出问题
1702115214# #【冬季血压波动，如何调整饮食和药物】进入11月份下旬，气温下降，许多人的血压又开始躁动不安，高血压导致的心脑血管疾病也开始多了起来。我国的资料显示，冬天的血压比夏天平均高5mmHg；室外气温＞5℃时，气温每下降10℃，收缩压平均升高6.2mmHg。老年人、肾脏病和糖尿病人的血压变化更大，研究显示
1688729812# #两个老小伙。如果早知道会上给拍照，开会前就换件好衬衣了挤眼
1695472642# #苯磺酸氨氯地平的功效和副作用微博健康公开课听医生的话
1703859889# #能，而且最佳组合
1694170837# #减肥药进医保带来的思考微博健康公开课
1692874805# #【李医生，您好，我老公（43岁）一直检查有潜血和蛋白，尤其红细】
1701099651# #嘻嘻鲜花
1700476721# #鲜花鲜花鲜花
1690369205# #【李医生，您好！男孩儿20岁，17年元旦确诊一型糖尿病，发病时】谢谢你的信任！空腹血糖还是高，已经出现糖尿病肾病，现在胰岛素每天用量多少？美国没有批准苯溴马隆治疗高尿酸。可以换成非布司他
1701687136# #生活原本沉闷，但跑起来就会有风运动
1700398368# #可以的
1696684265# #【利拉鲁肽的副作用】利拉鲁肽是一种降糖药，降糖、减重、预防冠心病，我国已经批准利拉鲁肽可以用于普通肥胖者的减肥治疗，每天注射一次，一般不会引起低血糖。。利拉鲁肽可以抑制食欲，抑制胃肠道蠕动，这是它能减肥的机制之一，也是造成副作用的主要原因。利拉鲁肽的副作用主要是胃肠道反应，比如恶
1688557110# #过去一年，慢性肾病治疗新进展微博健康公开课
1702553270# #为什么非要说人家周海媚患狼疮呢微博健康公开课听医生的话
1701099729# #goodgoodgood
1687873120# #【电子血压计准吗？】门诊测血压，经常有患者说电子血压计不准，估计也有粉丝会这么想。。那电子血压计到底准不准？。首先说，准不准以什么为标准？。许多人都认为水银血压计准，那我就说说水银血压计。在这里，我明确的告诉大家，水银血压计因为环境污染问题已经被淘汰了，我国签署的《水俣公约》，承诺2
1699624385# #不大
1703416393# #你可以问问中医科医生
1687431604# #【尿蛋白2+尿潜血2+有结石史。腰椎间盘突出史，当地医生说很轻】谢谢你的信任！应该是肾小球肾炎，因尿蛋白不太高，可以不用肾穿。血压多少？用沙坦后多少？阿利沙坦和氯沙坦合用吗？
1697884248# #是
1704207492# #作揖作揖作揖
1687697017# #沙坦类降压药➕列净类降糖药➕非奈利酮
1692446137# #有哪些药容易引起肾损害听医生的话
1690033367# #【天太热，血压低于110就减药吧】大数据发现，血压的理想状态是高压110～130mmHg，高于和低于这个范围就容易出问题。新指南建议，大多数患者血压应该控制在130/80mmHg以下，但高压不要低于110mmHg。。今天一位患者咨询，59岁男士，高血压十几年，糖尿病2年，平时用沙坦类降压药、地平类降压药和二甲双胍
1687358309# #长期
1698841835# #基辛格为什么能长寿微博健康公开课听医生的话
1693919186# #会good嘻嘻
1700547656# #是的
1704120785# #新年快乐！
1694862004# #【发现血尿，就一定肾脏是肾脏有问题吗？】发现血尿，就一定肾脏是肾脏有问题吗？天津大学泰达医院李青1、什么是血尿？尿液离心，沉渣中红细胞＞3个/高倍视野就是血尿。尿潜...微博名医诊室
1691319604# #【主任您好，我是男，29，单纯血尿10年，但镜下血尿也是时有时】谢谢你的信任！隐匿性肾小球肾炎，血压正常（白大衣血压），不用任何治疗。你目前最大的问题是焦虑，太焦虑了
1701099640# #此技术未掌握嘻嘻
1693140055# #不会的
1703952859# #跨年了，祝各位朋友新年快乐鲜花鲜花鲜花跨年
1687526092# #鲜花
1689549338# #生态城之晨，各位早上好🌹🌹🌹
1693488909# #是的
1687087753# #goodgoodgood
1694951574# #【这类药可大幅降低痛风复发】近日，《JAMANetworkOpen》发表了一项研究结果，发现列净类降糖药可大幅降低痛风复发风险。。这是一项回顾性研究，统计了近10年英国医疗数据库中痛风合并2型糖尿病患者，发现和用其他降糖药者相比，使用列净类降糖药者痛风复发风险降低19%，5年全因死亡风险降低29%，具有
1695215529# #贫民的孩子喝可口可乐，百万富翁喝可口可乐，白宫的总统喝可口可乐。但是，没有人因为更有钱而喝到更好的可口可乐。
1694613686# #你看看强化的前提条件是什么？
1702386490# #哪个没有推荐
1687087650# #老鼠忏悔录：我承认我年轻的时候不懂事，做过一段时间的鸭
1697206042# #人气作品
1696168383# #假日好天气国庆节
1699880355# #糖尿病一定尿糖吗？尿糖阳性就是糖尿病吗？微博健康公开课听医生的话
1692443699# #猪肾移植获得成功微博健康公开课猪肾移植
1690462638# #大爷读报
1694170804# #【李主任您好，一直关注您的微博，这次是因为母亲的血尿情况想让您】谢谢你的信任！你母亲血尿不是主要问题，现在的主要问题是蛋白尿，现在还不清楚是因为尿路感染导致尿蛋白假阳性，还是原来就有蛋白尿。请用抗菌素一周后再复查尿常规，如果还有尿蛋白2+，那要到肾科好好检查了
1694357286# #？
1699261217# #那就维持1/4吧
1700537787# #二甲双胍不伤肾，但通过肾脏排泄，严重肾衰后二甲双胍在体内蓄积，和伤肾是两回事
1687867075# #新指南发布，是否高血压，不只一个标准微博健康公开课健康素养提升v计划
1691759500# #【肾病新药非奈利酮什么情况适合用】非奈利酮是个新药，治疗糖尿病相关肾病，降尿蛋白和保肾效果非常好，有一定的降压作用，预计这个药会像列净类降糖药一样，应用前景会越来越广。。近期经常有网友问我，什么情况适合用非奈利酮。。简单的说，糖尿病合并尿蛋白，或者糖尿病合并血肌酐高，只要肾小球滤过
1700387440# #冬日暖阳
1703388099# #朱令去世【日常生活中会发生铊中毒吗？】清华才女朱令的去世，让人们再一次关注到铊中毒。。铊是一种重金属，毒性很大，比铅的毒性大，比汞的毒性大，和砷也就是砒霜大毒性相当。铊无色无味，食入或者吸入时没有任何感觉，就像一个无声的“杀手”，很难察觉。。铊对全身许多器官都造成伤害，但主要损伤
1701178945# #goodgoodgood
1703306508# #清华才女朱令的翻译杰作🙏🙏🙏
1695480185# #goodgoodgood
1688900406# #【李大夫你好iga肾病一直在咨询您这次一样例行复查】谢谢你再次咨询。仅剩尿微量蛋白，治疗效果非常好！如果血压降不到130/80以下，洛丁新可以继续加量。你主要盯紧高血压和蛋白尿两个指标，血尿不用过多关注。
1697897135# #goodgoodgood
1701264669# #安博诺就能降尿蛋白，可以先不用非奈利酮
1700919208# #尿路感染
1699526074# #把疾病交给医生，把命运交给上帝，把快乐和勇气留给自己听医生的话运动
1691934297# #南湾公园之垂钓者
1697976771# #门诊接诊了一位患者，他看我一愣，我看他也一愣，原来我们认识，羽毛球友。。我们这个球友只是打过几次球，他们场地人手不够，或者我们凑不够人，一看水平相当，就凑到一起打一会，只是面熟，不知道叫什么。估计他不知道我是医生，我也没看出他是患者。肾内科医生没有发现羽毛球友是个肾病患者，足见肾
1688817235# #太青涩
1688817293# #不同国家老公不同的待遇
1689509057# #肾病新药司帕生坦获批微博健康公开课
1688817547# #微博多封面图封面图可以上传9张图片啦！太棒了，美美哒图片终于可以一起展示啦，快来一起围观吧~
1703416203# #透析不就是救治吗？
1702641569# #人民网评周海媚病历被泄露【从阿拉法特的病历保护到周海媚的病历泄漏】看到周海媚病历被泄漏事件后，我突然想起一条旧闻。。2004年10月底，有“中东不死鸟”之称的巴勒斯坦领导人阿拉法特突然病重，随后被送往法国的一家军医院进行救治，11月11日不治身亡。。阿拉法特病重时也是血小板减少，慢性出血。
1687356859# #【糖尿病前期离糖尿病有多远？】2型糖尿病不是一夜形成的，从正常到糖尿病大多经历一段糖尿病前期，那什么是糖尿病前期，糖尿病前期离糖尿病有多远？。近日我国发布的《中国成人糖尿病前期干预专家共识（2023版）》对这些问题有了明确指导。。正常血糖，空腹3.9～6.1mmol/L，餐后2小时3.9～7.8mmol/L；而
1697276571# #【英克司兰在天津上市】预防冠心病、心梗、脑梗的长效降脂药英克司兰在天津上市。。英克司兰是一种小干扰RNA，小干扰RNA治疗疾病的理论于2006年获得诺贝尔医学奖，英克司兰是第一个将理论转化成实践治疗慢性病的药物。可显著降低低密度脂蛋白，明显减少冠心病和脑梗的发生风险。安全性方面，除了注射部
1687060811# #生态城静湖花岛的向日葵开了
1687258807# #【李青大夫，你好！通过微博您的科普了解到你，因为很信任您，但我】谢谢你的信任！你肯定是肾病，肾小球肾炎的可能性大，但是哪一类肾炎不好肯定，不过，病情很轻。个人意见，除了沙坦类降压药和非布司他外，其他药可以不用
1687172658# #人生，是一个自我预言的过程。你选择相信什么，你就有可能得到什么。运动
1690023605# #【李大夫您好，之前跟您咨询过的，近半年吃了倍博特和螺内酯后，血】谢谢你再次咨询！血红蛋白是正常的，可能血肌酐是感染导致的突发性升高，一周后复查，或者做肾功能显像
1697294118# #goodgoodgood
1687518004# #【李主任您好，我57岁，高血压，高尿酸，高血脂，图是18年，2】谢谢你再次咨询！效果还不错，肾功能很稳定。非布司他可以减半。你严格控盐1-2周，如果低压还高，厄贝沙坦可以加倍。
1700399862# #您对我提供的证据都质疑，那我们讨论起来就很困难了。按您说的办吧。
1700547796# #冬天了
1703859895# #作揖作揖作揖
1700750749# #爱问医生app
1701099658# #鲜花鲜花鲜花
1699534326# #转发微博
1700750724# #爱问医生apo
1700314986# #正常的
1704204812# #目前没有批准
1689507977# #【糖尿病遇到“二阳”，结果“白肺”了】这是一个“白肺”——也就是严重的病毒性肺炎，这样的胸片如果出现在去年12月份一点都不稀奇，可现在出现，就有点少见了，而且这还是一位小伙子。。最近“二阳”的人并不少，大多像流感一样几天就过去了，有的人可能都没有症状。但是，一些人可没这么幸运了。。36
1703047346# #goodgoodgood
1692715913# #作揖作揖作揖
1702550938# #为什么非要纠缠周海媚的红斑狼疮呢？。天津大学泰达医院李青。周海媚的银幕形象清纯可爱，57岁香消玉殒令人惋惜，大家纷纷以各种形式怀念她人之常情！。但是，关于周海媚的传播似乎和其他去世的明星不同，许多自媒体文章甚至一些官媒非要把她和系统性红斑狼疮纠缠在一起，说她必说红斑狼疮，一些医务人
1700547597# #作揖作揖作揖鲜花鲜花鲜花
1700459935# #利拉鲁肽不如司美格鲁肽，不过，如果开不到司美的话，用利拉也可以
1693231763# #【一个糖尿病人的泣泪劝告】前几天我发了一个科普“糖尿病截肢，那些不听劝的大妈们”，结果一位来自内蒙古的糖尿病人给我留言，让我转发她的情况，还说她现在活着的意义就是提醒大家，少一个她那样的人。。她让我转发的是她3年前的内容，当时她不到40岁，因为糖尿病视网膜病变已接近失明，生活需要父母
1700314972# #作揖作揖作揖
1698846850# #🙏🙏🙏
1693566004# #【。医生，你好。我今年33岁，女性，生育过一个孩子。我是202】谢谢你的信任！非常轻的肾小球肾炎，如果不出现特殊情况，不会肾衰的。单用安博维便可，如果血压控制不好，还可以增加剂量
1692445327# #【大量蛋白尿怎么治疗？】30岁大壮，身体的确比较壮，身高1.76m，体重120kg。上个月因为腿肿到医院检查，发现大量蛋白尿，尿蛋白定量4.6g/d，低蛋白血症，没有高血压和糖尿病。当地医院考虑是肾病综合征，直接给他用激素+免疫抑制剂，治疗2周不见好转，于是线上咨询我下一步怎么治疗？。肾病综合征不是
1692840486# #推荐一款代餐粉【买三送1*摇摇杯/1*杂粮谷物棒】低生堂杂粮植物奶480g早餐代餐高蛋白高膳食纤维。。【现价】36元。
1701872049# #【慢性病人和老年人感冒了怎么办？】大家都知道，近期呼吸道感染高发，不仅是儿童，成人也不少，目前主要是病毒感染，包括流感病毒、腺病毒、呼吸道合胞病毒等，还经常混合有支原体感染和细菌感染。。普通人感染了一般不用特别担心，对症治疗就行，但是，有慢阻肺、心衰、肾衰、糖尿病、高血压等基础疾
1703515129# #作揖作揖作揖
1691146804# #【李医生您好，多年前因尿酸高咨询过您。我父亲脑出血后遗症患者，】你父亲高血压多少年？最高多少？出现过低血钾吗？查过肾上腺吗？
1702611195# #早起上班路上的雪景雪
1694870902# #比喻一下不行吗嘻嘻
1696856339# #【透析是什么意思？】透析就是血液净化，港台地区叫洗肾。。肾脏是人体的排泄器官，肾衰竭后，人体的代谢废物排不出去，就在体内蓄积。这些代谢废物是有毒性的，如果不及时排出去，会引起心衰、酸中毒、高血钾、胃肠道反应、皮肤瘙痒等。那尿毒症后怎样才能排出代谢废物呢？这就是透析技术。。一种办法是
1688817244# #嘻嘻作揖鲜花
1687176555# #一次说清：沙坦类和列净类是保肾还是伤肾微博健康公开课健康素养提升v计划
1702384379# #歪打正着，没用激素IgA肾病尿蛋白也降了微博健康公开课听医生的话
1699934199# #这个不是特别值得推荐的药，为什么你总让我说
1701527346# #对
1690189880# #列净类降糖药也能降压吗微博健康公开课
1700566208# #尿毒症是什么原因引起的微博健康公开课听医生的话
1702995659# #鲜花鲜花鲜花
1688730603# #过去一年，糖尿病治疗新进展微博健康公开课
1700730849# #尿毒症是什么原因引起的微博健康公开课听医生的话
1688389204# #我得痛风太冤了微博健康公开课健康素养提升v计划
1701090189# #60个深蹲引发的肌溶解微博健康公开课听医生的话
1690871619# #有点低
1692801831# #相关
1690016227# #安博诺中有氢氯噻嗪，会升高尿酸
1692715977# #鲜花鲜花鲜花
1702815220# #糖尿病男性功能障碍专家共识发布微博健康公开课听医生的话
1700230841# #没有
1691934748# #作揖作揖作揖鲜花鲜花鲜花
1691848786# #发现一家不错的店铺低生堂食品旗舰店低生堂食品旗舰店
1692534228# #女足世界杯，西班牙1:0英格兰，首次获得世界冠军。树有本，水有源，两个国家的成功，靠的不是举国体制，而是完善的市场机制。除了有深厚的足球文化之外，无论男女，这两个国家都有成熟的俱乐部和干净的赛制，获得好成绩是顺理成章的。女足世界杯
1700919217# #作揖作揖作揖
1701690452# #钙尔奇
1701145745# #可以呀，而且推荐合用
1688817217# #鲜花鲜花鲜花
1700298980# #【喝水多尿多是肾不好吗？】经常有朋友问我，喝点水就排尿肾功能是好还是不好？还有人问，喝水多、尿多是肾脏不好吗？回答这些问题前，先说说尿液的形成过程。。血液中的水，先经过肾小球的滤过，再经过肾小管的回吸收，剩余的就是尿液。喝点水就排尿，喝得多尿的多，这些情况起码说明肾小球对水的滤过
1692442808# #【李医生您好，多年前因尿酸高咨询过您。我父亲脑出血后遗症患者，】你父亲高血压多少年？最高多少？出现过低血钾吗？查过肾上腺吗？
1703981100# #李青大夫祝大家元旦快乐！鲜花鲜花鲜花鲜花鲜花鲜花元旦
1701090582# #【4种感冒药混搭，16岁孩子急性肾衰】浙江一位16岁的高中生，感冒后同时吃了4种感冒药，结果引发药物性急性肾衰竭ICU抢救，差点要了命。。现在感冒发烧的人很多，像这位高中生那样乱吃感冒药的人并不少，为了避免类似的悲剧发生，我今天就给大家科普一下感冒药对肾脏的影响。。其实感冒药真正发挥作用的
1691495331# #非奈利酮什么情况适合用微博健康公开课
1700314991# #鲜花鲜花鲜花
