1695780359# #恭喜成毅，恭喜淇淇！
1697555553# #莲花楼演唱会诚意满满。我喊的超大声：李莲花长命百岁！
1699757595# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放。成毅莲花楼cy成毅李莲花李相夷。
1690254675# #哈咯~
1692617416# #蓝色的淇淇也好好看哦，买起！
1696776888# #狐妖小红娘王权篇cy王权富贵。期待你的新角色
1696766496# #期待成毅的王权富贵，我去补补课先
1703921271# #微博网友喜爱人物成毅
1703465160# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！.
1699609654# #成毅湖南卫视天猫双十一惊喜夜。等哥哥成毅
1703546809# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！~~
1698714863# #是特别特别喜欢的瓜瓜安锦鲤附体。心《底线》周亦安成毅
1703261099# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1696736763# #傅总吃午饭了吗？锦鲤附体锦鲤附体
1702623667# #很棒很棒的成毅！
1697974587# #啊啊啊淇淇锦鲤附体锦鲤附体锦鲤附体
1703394152# #微博KING和QUEEN期待成毅
1703176929# #我正在微博跨年狂欢节预约2024跨年嘉宾，可以冲跨年晚会现场门票！快来和我一起参与吧！
1698284989# #恭喜哥哥心
1702522389# #期待成毅！
1704006793# #哇！！偷乐
1703546815# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！！
1703466056# #我正在微博跨年狂欢节预约成毅，还有机会赢跨年晚会现场门票！快来和我一起参与吧~~~
1703262500# #我正在微博跨年狂欢节预约成毅，还有机会赢跨年晚会现场门票！快来和我一起参与吧~
1695625231# #成毅超话。好用！好看！
1703504180# #微博网友喜爱人物成毅
1697719911# #粉丝破2500万，梦一个福利爱你
1703813331# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1703132970# #期待成毅！！
1696734130# #我淇太帅！！！！！！！
1698113031# #哥哥心
1693481980# #淇淇，九月，你好！
1700102022# #微博视界大会微光所向，热爱同行！我在微光荣耀入围作品推荐了成毅！快来推荐你最喜欢的作品吧~成毅李莲花李相夷
1703262510# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！。
1703377442# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！~~
1700020760# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放成毅莲花楼cy成毅李莲花李相夷
1698199586# #这么好看的照片要多发，很爱看锦鲤附体偷乐成毅
1704009398# #锦鲤附体哇哇
1704510837# #成毅超话没买到小象杯，老伤心了悲伤
1700040573# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐莲花楼！一起来推荐你心中的微光荣耀吧成毅莲花楼cy成毅李莲花李相夷
1701238365# #禹司凤超话就是我心目中的年度角色超话送花花2023超话大赏闪耀开启，快来分享心中热爱，还有机会得999元现金红包！
1700067111# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐莲花楼！一起来推荐你心中的微光荣耀吧成毅莲花楼
1703726277# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！驾驭高能时刻一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1704072753# #成毅哇@Cy-鑫可爱
1702912677# #微博之夜我推荐为2023微博KING，对他的喜欢恰似草木对光阴的钟情。一起来推荐你心中的微博KING和QUEEN吧~戳&gt;&gt;
1704425843# #8号快来！！
1690264969# #你是不是真的会武功？
1703261257# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！^^
1700020616# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐莲花楼！来参与推荐，共同见证它的荣耀时刻吧！成毅莲花楼cy成毅李莲花李相夷cy
1703162853# #微博跨年狂欢节可以预约2024跨年嘉宾了！还可以冲跨年晚会现场门票！快来和我一起冲！。
1697412946# #成毅超话周一跟冰美式很搭~
1704038908# #淇淇，新年快乐！
1700067121# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐莲花楼！一起来推荐你心中的微光荣耀吧成毅李莲花李相夷心
1695554521# #淇淇，巴黎行一切顺利，玩的开心，跨国思念开始了！
1703262504# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！^^
1691329089# #美的~
1703177432# #微博之夜我推荐为2023微博KING，千万人中得以相遇，再看亿次还是心动。一起来推荐你喜欢的微博KING和QUEEN吧~戳&gt;&gt;
1700114679# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视人物为成毅荣耀推荐！为TA送出微光，助力荣耀时刻~成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷｜狐妖小红娘王权篇｜王权富贵
1703462034# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！^^
1700067163# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放成毅李莲花李相夷心
1697077551# #成毅超话。好看的淇淇锦鲤附体
1703555238# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1703555189# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！快来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1690993584# #这这这…半夜提神锦鲤附体不用睡觉了！
1703546819# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！~
1703124178# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1690912259# #《偏爱》。
1703305815# #2024年我要每天都喝特仑苏打call
1703462046# #我正在微博跨年狂欢节预约成毅，还有机会赢跨年晚会现场门票！快来和我一起参与吧~
1703168932# #我正在微博跨年狂欢节预约2024跨年嘉宾，还有机会赢跨年晚会现场门票！快来和我一起参与吧~！
1703168937# #我正在微博跨年狂欢节预约2024跨年嘉宾，还有机会赢跨年晚会现场门票！快来和我一起参与吧~^^
