1700114003# #这联通服务越来越不靠谱了🙏🙏
1688856016# #中医玩转阴阳超话。。治病只有2个答案对或者错。。如果对了，就会出现往好的方向转折，一点点的变化，越来越好。。如果错了，就会停止，或者继续走在错误的路上，严重的掉下万丈深渊。。为什么难治来，科技与狠活有的吧，饮食不节制，过食肥甘厚腻，辛辣刺激，滥用补品，错误的清热扶阳会造成体内寒热互
1701387491# #中医玩转阴阳超话。再次分享手指手术后感染期的的一段经历。微博曾经分享过。。手指筋断手术后的当天夜里，感觉能量就像电流一样源源不断的往伤口汇聚，身体发热，手指伤口处肿胀疼痛，小便像茶叶水。可能是到了医生说的感染期。。体内有热，半夜里大家都在睡觉。爬起来去热水间接了一杯开水，加了2ML
1701237910# #转发微博
1700747624# #中医玩转阴阳超话。🙏🙏🙏🙏
1690125794# #中医玩转阴阳超话。湾湾额医生是懂法滴🙏鲜花
1700010487# #中医玩转阴阳超话。看到这个舌苔，如果说是寒就错了一半是不？。舌照分析需要神色形态。图片不是很清楚，只能看看形状。。伸长舌是有热，看起来感觉有点干。可能是热盛伤津。。舌后部厚腻。下焦淤堵。。左右舌不对称，体内寒热互结。。舌右侧有齿痕印，胆区有问题。。。如果是看寒治寒可能会出现方向性错误
1702360709# #中医玩转阴阳超话。1西医有优势，这个不假。阴阳问题是西医解不开的难题。是软肋，是翻不过去的山可有道理？。2阴阳问题是中医的拿手绝活，是强项。但是有些专业中医学习，工作了几十年可能都搞不明白祖宗的阴阳之道。考试就会用了？。3逼着西医上中医是不是霸王硬上弓？需要时间验证这个想法的科学性
1701408564# #中医玩转阴阳超话。前面3张是5岁娃娃呕吐出来的痰液。跟宝妈建议找医生去吸痰，吸出来很多很多痰液，吸痰后抽动症也好了。后面是久病的人排不出的老顽痰🙏🙏。就上面这三种情况排出的痰液，你输液，食疗等各种方法，能排出来？没有几十年的修行的功底能排出来么？🙏🙏。你专长考试搞个什么
1697753009# #中医玩转阴阳超话。。伍行系列就是着眼于大局，大的方向(讲究的是出现往好的方向的转折点)。不是用简单粗暴的方式去养11条鱼，而是去养鱼，大循环通畅了，阴阳平衡了，气机流动起来，这时候给人的感觉不在是死气沉沉，而是气场起来。。我们用手法就开穴通脉，疏筋拨筋，经络疏通后，就可以看到气
1701832611# #中医玩转阴阳超话。。专家代表权威代表顶流这个不假。专家的方法就真的百分百正确吗？就能代表真理么？如果不能的话，会不会有误导的嫌疑呢？。。感觉专业，专家未必等于行家。不信的话，就此次支原体肺炎引起的发烧和治不好的咳嗽等民众关切的问题搞个pk如何？。。同样的病人，不同的方法，看看到底哪个
1703873423# #中医玩转阴阳超话。梦里突然得白衣老奶奶点化，用揉馒头的功夫做手法。。醒来后一试，果然灵验，稍微揉揉，竟然排出来粘汗。。后面就是把这个技术分享给好朋友了。鲜花🙏
1690879551# #转发。癌症发作前3年身体给出的信号，放在圈子谢你一生赞话筒good。原创文泉杰。癌症对任何一个人是绝对公平的。癌症不会因为你长得很高就不会找你，不会因为你长得很帅就不会找你，不会因为你很有钱就不会找你，不会因为你是高官你是名人就不会找你。。曾经的癌症属于稀有物品，现在的癌症变成了
1700917865# #中医玩转阴阳超话。看看小视频下面网友的留言
1698981222# #中医玩转阴阳超话。把全国的民间中医派出来，情况是不是很快会改变。谁来拍板？担多大责任？。一家独大，没有对比是不？是不是可以来一次中西医治疗方法对比？真的有效果的话，不是节约国家资源么？。不然呢？🙏🙏
1693313355# #中医玩转阴阳超话。。不拘一格降人才，你能给有绝招绝技的民间中医一点展现自己的机会么？为什么非要你想象的设计呢？。你设计农民不能焚烧秸秆，你设计了很多很多的不切实际的设计，可有这回事？。弱弱的问一句，额能现场给各位专家调理么？。自食其力，一双手走天下。帮助他人健康，可以么？。，。
1699621518# #中医玩转阴阳超话。为什么出现猝死的人越来越年轻化，越来越多？。外表光鲜的苹果，内心已经被冰冻住了。。人的心脏就像汽车的发动机，发动机能量越来越弱，只有当汽车跑起来的时候，才能发现大马力的汽车动力十足。如果有缘，你便听明白了我们温通心脉的方法或许就是给汽车发动机升级大马力。🙏?
1701659712# #中医玩转阴阳超话。。如果没有人仔细对照，谁又能想到还有人转这个漏洞呢？国家还有多少地方有漏洞可转呢？到处都是大生意，又有多少生意能赚大钱呢。看的见的是流水，看不见的是漏洞。🙏🙏。
1702970382# #转发微博
1700148349# #农业农村部关于《农业农村部关于修改农业转基因生物标识管理办法的决定（征求意见稿）》公开征求意见的通知
1697582250# #中医玩转阴阳超话。
1703050438# #能遇到张雪峰，董宇辉这样的老师，是孩子们一生的幸运。
1702874558# #中医玩转阴阳超话。。中医小白的宝妈学以致用。昨天电话里教了李老师给娃娃艾灸的方法，昨晚艾灸了一次，今天发来的舌照就看到神色形态的变化了。为宝妈点个赞👍
1699365372# #中医玩转阴阳超话。
1694411716# #中医玩转阴阳超话。一日三餐，粗茶淡饭，阴阳平衡。。喝点水啊，奶啊的什么就是正常需要。。中医就是一种生活状态。生活中医。中医生活。。治病的中医可以单独归类啊。🙏鲜花
1702543515# #纯粹的思想，干净的灵魂
1702733326# #中医玩转阴阳超话。很多宝妈可能就是中医小白，用咱们的五行调理方法稍加培训，或许很快就可以成为小儿发热感冒等调理的高手。如果微博能组织这样的活动，会怎么样呢？鲜花
1702724092# #中医玩转阴阳超话。。宝妈的成长。。今天分享一位宝妈的经历吧。。。都说现在的病人越来越挑剔，是不？人都是被逼出来的。。。林老师先前中医小白，在新浪微博跟踪我们2年以后联系了我们，加为好友又观察了2年。后来告诉我们说，我们分享的经历太神奇了，没见过世面的人可能会以为是骗子，她每一次都仔细的
1701339907# #中医玩转阴阳超话🙏🙏
1690593600# #7月初去南京江苏省药物研究院开会，想想坐火车直接刷身份证是真的方便啊。。。好像是2020年武汉疫情以后，小棉袄有次赶火车遇到大雪，火车晚点，去取票排了很久，又遇到取不出票等一系列问题。于是就给铁道部写了一封信，详细的说明了当时的情况，以及对问题的分析还有与山海关车站的服务情况的对比，有
1699224082# #中医玩转阴阳超话。。西医用的是输入法，输液，三素一汤都是往体内输入，一种细菌对抗另一种细菌，打累了休息。还有要么就是割，我们这里一个三线城市，一天200多台手术，跟下饺子似的出出进进。要么就是借助外部仪器等等。急救是西医的优势，如果没有更好的选择的时候。西医也是治疗的手段啊。。。中
1699017008# #网上看到一段视频，说是校内小卖部租金拍卖。。🙏
1696770742# #中医玩转阴阳超话。水果加上红糖，再加入纯净水可以做成酵素。喝水的时候加一些可以清理身体里面的垃圾。。水果皮切碎加入红糖水，再加入水发酵后变成环保酵素。用环保酵素清理下水道，效果也很好。。如果每个人都做一点环保酵素保护环境，是不是一件有意义的事情呢？🙏鲜花
1701901018# #中医玩转阴阳超话。以前邻居发来的，干咳不吐痰。
1689954700# #中医玩转阴阳超话网友发言
1700922770# #中医玩转阴阳超话。放开，万法归宗。理论上用中医中药，食疗，手法等就可以解决，平安渡过。。问题的关键可能是相关部门坚持一家独大的垄断，明知山有虎，偏向虎山行。明明知道原先的做法不能解决问题，还要坚持一条道走到黑。要怪就怪病毒太狡猾，没有特效药，美国佬太歹毒，假药横行，所以疗效不好
1691499845# #中医玩转阴阳超话。夏登杰教授立秋养生六忌。
1701901225# #中医玩转阴阳超话。以前邻居发来的5岁娃娃吐的痰。之前干咳就是吐不出来痰。娃娃之前去医院治疗过，干咳吐不出痰，喝过糖浆，吃过化痰的药，贴了什么贴，还是干咳吐不出痰。用我们的方法当天晚上第一次吐出来的痰是立起来的。第二天再发来痰就化了。人家不发出来，我们怎么能想到吐出来的痰有变化
1688529989# #中医玩转阴阳超话。还记得那些年小商小贩被判入刑吗？罪名投机倒把对吧？后来放开后咋样。对国家经济的繁荣起到了非常大的作用对不？。今天民间中医依然被判为非法对不？怀化的中医院，科威特的人组团去中医调理，说明什么问题来？好的东西是世界的，对不？。全世界对能解决问题的中医有巨大的需求对
1695392576# #没有科技与狠活，就是妈妈厨房里做出来的味道，原汁原味，食材的纯正的，纯真的原香。
1700713834# #中医玩转阴阳超话。娃娃不会吐痰怎么办？分享福建林老师教女儿排痰的视频。感恩宝妈的分享🙏鲜花
1687051157# #中医玩转阴阳超话。网友的分享🙏鲜花
1702506079# #去世前的脸死气沉沉，气血停滞，寒入心包的感觉。年轻人的脸气血是流动的。多年以前，额就在朋友圈看到一位老者的照片死气沉沉，气血停滞，起名死气脸。感觉没有一点生机，没过2月，这位老者就过世了。中医的眼力需要在不停的观察学习悟道中修练。早安吉祥🙏🙏
1699595920# #从被动接受治疗中医小白，到帮家里孩子和老人主动的调理，实践中不断的学习，提高，悟道，成长。感恩林老师精彩的分享了给外婆调理的一段经历。🙏鲜花赞赞
1695879966# #中医玩转阴阳超话。看到这个视频又想说几句。。。我们在微博不断的发声，伍行止咳的产生，从发现遍地的肺部问题的病人，到反复试验，几乎用了各种的止咳药，越治问题越严重，到最后整夜不停咳嗽，震额小便失控，呼吸有些困难，肺部出现野路纹等等。从当初咳嗽久治不愈，到研发出来的像糖水一样的止咳
1702215674# #中医玩转阴阳超话。我们有点担心啊，未来肺部疾病是不是会逝去一些什么呢？科学的方法体现在哪里？转折点？往好的方向的转折点，关键点？牛痘最初是在挤奶的牛棚里被发现的吧？。福生无量天尊🙏🙏
1697873015# #蚌埠人快看过来，你家养大狗🐶没有？
1697268300# #中医玩转阴阳超话。。
1697095005# #中医玩转阴阳超话。网上看到的🙏🙏
1696116802# #中医玩转阴阳超话。前几天很一位朋友聊天，她说自己是气逆咳嗽。说着说着她咳嗽了一声，刺拉拉的。我直接告诉她肺部有粘痰，是燥咳。气逆咳嗽是下焦有淤堵，或者前胸有郁闷之气堵在那里。。西医的检查听肺部的病理的声音说是湿罗音。可是在长期的听到各种的咳嗽声音中，我们从咳嗽后肺部发出的回声，
1700713451# #中医玩转阴阳超话。转发自网友。中国两院的新院士又公布了，总数已数以千计，但国人绝大多数根本不知评选标准是何？这些院士到底有何重大发明？所为对国家或人类有何重大贡献？希望国家科学评优的重点从“评人”尽快转变到“评项目”上来。一旦评“人“，人情和关系的权重可能就更大了。。。
1701396965# #中医玩转阴阳超话。天雨不润无根之草，有些法律法规的制定或许就注定有些人需要走那条路的。对不？。不然呢？如果你没有有效的解决问题的话，或者说你勇于承认没有疫苗，没有特效药的情况下，条条大路通罗马，中国境内有无数个科学的解决问题的方案，方法，你用法律法规把他们定位在不合法，犯法的区
1700488843# #谈理论是专家强项，咱们高山仰止，抬头望月。论实践，咱们民间中医各有绝活，上得了厅堂，下得了厨房。不然呢，来个刘三姐对歌，你唱咱们和。你说理论，咱们实战配合演绎传奇(西医感觉困难的问题，不好解决的问题，咱们中医解给他们看)如何？🙏鲜花嘻嘻
1700299581# #中医玩转阴阳超话。看林老师发来的照片，堂姐家的娃娃，自己调理泡澡加艾草，做法不对，舌苔黄腻，咳嗽的声音有空洞的感觉。现在得支原体肺炎又多，万一体内有热肺部感染，搞不好会要命的。生气骂人，现在就去帮忙。。。不要用小神吹，不要用外部加热，要用手法排出体内的热，让人体变成散热片。很累
1699065857# #中医玩转阴阳超话。科学轻松做到排汗排毒排二便。🙏鲜花。体内废物排出的四大途径。①粪便70%。②尿液20%。③汗水3%。④其他7%。所以，排便是肠内净化的第一步
1700097131# #中医玩转阴阳超话。芳香疗法，就是打个阿嚏，从鼻腔里面排出来的垃圾。🙏。这个是检查不出来的。不排出来谁知道七孔八窍是哪个地方被这么点垃圾堵住呢？🙏。从打扫家里的卫生清除垃圾，到用一生研究清除人体的垃圾。家里的卫生可以看得到，好解决。隔着肚皮不识货，人体内的垃圾不排出来我们又
1696588938# #中医玩转阴阳超话。疾病的发展是有过程的，把疾病消灭在萌芽状态，不是等到出现突发性事件再去急救，成功的几率又有多少呢？改变理念，改变认知，改变不好的习惯。。。无论大小事，一定要看到舌苔。准确分析。🙏鲜花
1698903778# #中医玩转阴阳超话转发。肝血不足华彩何来！。。面有华彩、肌肤如玉是每一个人梦昧以求的愿望，出于职业习惯走在街上我也喜欢望诊，因为望诊是一个中医最基本的基本功，望闻问切，望诊发在首位，通过观察患者的神色、面色、形态、神彩、失神、得神、假色、真色、失色等等，结合闻问切综合判断，
1697041685# #小红豆甜不辣的笔记这些年历经了孩子多次发烧来说，比较棘手一次也就是碰到过一次连续发烧了3天，高烧了3天后疹...（分享自小红书。。感恩宝妈分享的自救经历，祖上有德福萌子孙鲜花🙏。伍行一口清既是为中医小白准备的，傻瓜式操作，只要学习简单的使用方法，就可以轻松解决
1693442444# #中医玩转阴阳超话。🌹夏天一定要出汗。因为汗液里都是垃圾、毒素（痰湿，痰浊，痰瘀，痰毒）。。呆在空调屋，外面的寒气包裹着你，你的毛孔不打开，里面的毒素排不出，这叫老寒没排又添新寒！。。为了秋冬不生病，伏天一定要排寒！
1695971040# #祝大家中秋節快樂。🙏鲜花
1701510158# #徐文兵讲中医超话
1703111963# #每日萌宠打卡
1688533875# #中医玩转阴阳超话。对中医技术效果的认证或许更能体现中医的特色。。。西医是治病，中医是养生。用西医的方式考出来的中医为什么没有好的效果来？。。一道数学题有很多解答方法。老师说条条大路通罗马通罗马。只要能得到正确的答案都是对的。考试用的就是书上的答案作为标准答案对不？而这个标准答案如
1694359176# #中医玩转阴阳超话。怪不得学生家长抵制预制菜，看看都配了啥啊。🙏鲜花
1698331733# #中医玩转阴阳超话。从字面上分析，脏腑有寒，血热妄行。冰火两重天，。恒大事件亏损严重，一世获利无数，没想到栽到老许的船上了，急火攻心，心阳不足。是到了考验医家医术的时候了🙏鲜花
1695428889# #师出有名。刘维忠局长关键时刻大胆启用民间中医，真的好有范哦。鼓掌鼓掌好好吃饭就是最好的治疗。额也是这样滴。🙏鲜花可爱
1693548504# #中医玩转阴阳超话。用掌根抚摸上脘穴到下脘穴，能开动脾胃功能，防止秋天脾胃虚弱，及时通利上下焦；秋天要扶持肺气顺利下潜，中焦需要通畅意义很大。一到天凉稍微多吃点容易长肉，要多揉这个位置，提高吸收和代谢作用。
1698382235# #中医玩转阴阳超话。寒热互结的病人，如果清热，会加重虚寒，如果扶阳则热邪更盛。。玩转阴阳是大量的喝热水。手法开穴通脉，调动人气气机。清热不伤正气，开鬼门，洁净腑，利水通阳。寒邪热邪六淫之邪一起往外出。排汗排毒排二便。然后补肺气元气精气。。一双小手走天下，开脉疏筋调气机，六淫之邪排
1702732903# #生于骨子里的善良。心存美好，口吐莲花，平凡的世界被你说成了诗情画意，阳春白雪。强赞鲜花俞敏洪称开除孙东旭与董宇辉无关】孙东旭继续留用东方甄选12月16日，7点10分，董宇辉亮相老俞闲话直播间。俞敏洪表示，开除孙东旭与董宇辉无关，东旭依然会留在公司，为东方甄选做贡献。
1700456138# #中医玩转阴阳超话。20年前我们给娃调理水痘，2天就消了。。抗病毒，加板蓝根，香菜水，再加吃素，鸡蛋牛奶也不能吃。多喝水加排寒湿手法疏通经络。非常简单。曾经诊所遇到过一个娃出水痘输液2个月没好的。🙏鲜花
1696145826# #转发微博
1700363470# #中医玩转阴阳超话。转发网友的疑问，没有特效药是指中药，还是西药，还是进口药呢？。。这么大的中国，几千年的中医文化，中医的鼻祖，老祖宗都出自中国，就没有一个能解决问题么？。国家花了这么多米，搞了几十年的科学研究，培养了那么多中西医人才，被这么个问题难住了？还是人才被埋没了？。是人才
1701923620# #中医玩转阴阳超话。玩转阴阳，欢迎踢馆。中医的调理可以看做是点线面。面是阴阳问题，解决系统化方案的问题，线是系统性问题，需要解决治病落五脏的问题，点是疑难杂症等精准定位的问题，解决个性化方案的问题。。面就是阴阳的问题。我们敢说玩转阴阳，不是乱说的。。调理阴阳奥妙无穷。大家都说条条道
1703562004# #每日萌宠打卡转发。论我国民间中医的立法的几个问题
1700892860# #中医玩转阴阳超话。。25年以前，发现娃娃用抗生素以后但凡吃点凉的，或者天气变化就扁条体发炎。去医院找专家开2周抗生素用后还是发烧，然后再去医院输液2周，一般就是这样反反复复。家长被娃娃的病拖着，大人孩子都受罪。。。看看网上的这段视频。现在肺部疾病还是这样，家长被拖着，娃娃反反复复。。。
1688829368# #中医玩转阴阳超话。温通心脉，鼻子上的横纹快平了吧？。过春节脸上起的像冻疮，红点，斑块也好像没有了啊。一年半的跟踪变化。。人长变了吧。今年70岁。是不是有点感觉逆生长？🙏鲜花。我们的分享都是真实的，图片就是手机截图直接组合起来，没有p图。。中医不是忽悠，也不是欺骗，就是在生活实践
1699015306# #中医玩转阴阳超话。。新冠疫情开始的时候，清楚的记得大咖反复的说没有特效药。市场上只有美国佬的高价药好用。去年底，新冠放开，什么没有特效药啊，老百姓自救，互救，轻松渡过开放期。这大咖的嘴啊，感觉有点像黄河的水啊🙏鲜花。这么强大的队伍，问题都解决了，哪里还会有遍地的病人啊，天真
1693297280# #80岁的老人，引阳入阴，手法开穴通脉后汗蒸一次排出这么多汗。你见过么？
1701504694# #中医玩转阴阳超话。
1693311853# #中医玩转阴阳超话。吹了空调，睡了竹凉席，吃了凉的东西，清了一夏天的火。。给自己做个手法调理，汗蒸一下排出来这么多有毒的东西。。你是怎么排毒的？🙏鲜花
1699162539# #中医玩转阴阳超话。条条道路通罗马，治病会看的看方法，看治则。而不是看方，背方对不？。1号祛邪，2号止咳化痰，缓解症状，如果没有排痰过程的话，后期还可能反复发作。理论上不能从根本上解决问题。个人感觉的啊。🙏🙏。为什么这样说来，我们祛邪的方法是排出体内垃圾，排汗，排毒排二便。开鬼
1703943999# #每日萌宠打卡。刚才指导宝妈用手法给三个娃娃调理，电话的那头，听到娃娃叽叽喳喳的说话声，给宝妈提议调理一个娃娃做示范，另外两个娃娃跟着学。。这边宝妈一边按揉，一边问娃娃的感受，按揉的地方痛不痛，舒服不舒服等，娃娃非常配合。跟着学习的娃娃也很主动跟着学习。。娃娃后背冷汗排出来了，身体
1690035818# #中医玩转阴阳超话。10把“金钥匙”，让你离长寿更近一步。
1700715681# #割吧🙏
1698768979# #中医玩转阴阳超话。能想到什么？谁承包了？福建＊＊系？？？？🙏🙏
1690119309# #中医玩转阴阳超话。。今天用额温枪做了一个试验，先测了一下体温，然后用小神吹加热配合开穴通脉手法点开脉口后，再测一下相同部位的体温，发现体温竟然是下降的。。。为什么要做这个记录呢？因为头天手法推后背后，后背温度升高到36.8度，小肚子没有做也在36.8度，手心脚心温度也是这个温度，当时分析
1692580472# #转发微博
1702280416# #中医玩转阴阳超话。啥也不说了🙏🙏
1700741367# #中医玩转阴阳超话。几点疑问，。1人满为患说明病人真的是多。。。2如果真的是每次治病都治愈了，病人还会反复发作，形成如今人满为患的局面么？。。3现有的治疗体系如果是有效的，完美的，治一个好一个，还会有这么多病人么？。。4高烧不退，上激素，是无可奈何，没有办法的办法。真的是没有办法了么？。。5
1701835912# #转发微博
1701617339# #徐文兵讲中医超话
1693919513# #中医玩转阴阳超话。。
1701642452# #火在鼻腔排不出去，里面就可能会出现红，肿，粘液。火在哪里，哪里就出问题。玩转阴阳，哪里有火清哪里。你信吗？🙏🙏
1700625904# #转发微博
1687855108# #中医玩转阴阳超话。中医药的祖先在中国。中医药的好处比比皆是。外国人组团来中国看中医，说明什么？中国的，世界的，病人希望健康生活。。民间高手绝招绝技遍地开花，为新一代实战派中医的成长创造了极好的条件。。中医药可能将会吸引全世界的人来中国调理。国家层面或许需要组织起来各地的中医团队
1701832710# #黄晓明超话
1695394982# #中医玩转阴阳超话。药食同源，这些是额的手艺。🙏🙏鲜花鲜花可爱可爱
1698285103# #中医玩转阴阳超话。福建林老师分享了自己给外婆调理的照片。。就指了个方向，悟性就是这么高。常常做的出乎意料的好。小女子孝心可鉴，技术上可圈可点。点个赞赞赞给力。解决了哪些问题？六淫之邪排出，肝肾湿热排出，心阳不足的温通等，所以舌头一圈的肿消了，露出来庐山真面目，薄舌主什么？
1696069380# #中医玩转阴阳超话一个技术成熟的中医，通过望闻问切后，对于患者病情向愈向善还是恶化，基本都了然于胸。一般中医治死人是极小概率，但也不排除一部分中医技不到家，辨证不清，开方开药反其道而行致其死亡。就如这段时间传得沸沸扬扬的叶开泰中医馆治死人事件，我的看法是这患者本就气息将绝，连扁
1701510134# #热门榜单超话
1702067838# #转发微博
1697984295# #中医玩转阴阳超话。支原体肺炎，青岛啤酒事件，生猪养殖问题同时出现是不是美国佬生化战争的一部分？是不是对中国经济，食品供应，医疗资源等的围猎？。啤酒事件采取公安严查。对于敌对势力，发现异常情况人民监督要发挥作用。对于疫情。人民中间有能拿的出手的好的解决方法，一定是经过人用验证过的
1693955167# #中医玩转阴阳超话。多年以前曾经试药寒停脏腑，睡到半夜头晕，恶心，站不起来，当时用扶阳之法化解。。大病久病之人多寒火邪实同在。最好先用手法开穴通脉，疏通经络，调理气机，阴阳平衡。🙏🙏。
1700619523# #转发微博
1699709155# #这样祸国殃民的事情，是哪个部门管理的呢？。是无底线的道德败坏，违反法律，不刹住这个歪风，是不是大家都跟着这样啊？。管理者的眼睛被蒙住了，看不见，还是一个锅里吃饭呢？🙏鲜花
1694070119# #中医玩转阴阳超话。医学专家的家庭，医学素养够高了吧？认知决定健康。老祖宗几千年传承下来的中医阴阳之道能真正悟道出来的有几人呢？🙏🙏
1699595428# #允悲允悲
1690774992# #网上看到的，这物业费？？？🙏🙏。看到一个视频，一个被催交物业费的家庭主妇对物业公司说，她不能按建筑面积来交物业费，只愿交公摊面积部分的物业费，理由是：物业公司对门内使用面积也就是家中从来没有提供过服务，凭什么收物业服务费？物业公司无言以对。这个家庭主妇逻辑清晰，语言简要，口才
1701618058# #中医玩转阴阳超话🙏🙏
1699261496# #中医玩转阴阳超话。。福建林老师中午打来电话，外婆的咳嗽好多了。。周末时候来电话说外婆咳嗽治不好，我说发个咳嗽的声音过来听听，电话那头老人咳嗽的声音从电话那头传过来，咳嗽的声音在后背靠心口的位置。晚上咳嗽厉害。。。分析肺部和后背的夹皮层位置，可能在肺部和肾经筋的交汇处。晚上咳嗽，是
1692577667# #30年多前的食品，食材吃起来特别是香对不？那时候没有琳琅满目的商品，就是简单的，有限的食品，食材。没有添加剂，没有科技与狠活，让人吃的安心。吃的放心。得病的人也不像现在这样多。对不？。。打假如果仅仅为了眼前的利益，去纵容那些科技与狠活去害人，最后的结果是坏了中国人的名声，砸了中国人未
1700823228# #中医玩转阴阳超话。体内有热排不出来，在里面闹鬼了呗。那些都是西医的说法。不然呢，学习民国时期，来一次比赛，可以吗？如果解决不了问题，请不要糊弄人可以吗？不然呢，让有能力的人出面对不？🙏🙏
1701832692# #徐文兵讲中医超话
1699343392# #中医玩转阴阳超话
1698496238# #中医玩转阴阳超话。水滴石穿，没有长期的坚持，哪里会有点滴的悟道。🙏鲜花
1701618098# #徐文兵讲中医超话
1695559823# #转发微博
1701128598# #中医玩转阴阳超话。体内有热排不出去，搞不定了又搞个什么新名词，不然呢，什么没有特效药，解决不了的托词，可以这样想么？不然呢？公开征集挑战医学难题呗，中医的发源地，能为这难住？会了不难，难了不会。高手在民间，不然呢？放开呗。中国遍地的民间中医，一定可以解决这个难题，对不？。福生无
1687190600# #中医玩转阴阳超话。鼻炎用三联疗法，内服，外治，加香薰。。外治用纯中药在鼻孔里面点上一点，鼻涕就流出来了。用过就看到鼻涕流出来。🙏鲜花
1702605392# #人老了，能靠一份手艺服务大家，没有管理人员打扰，安享晚年。内心平和安详。早安吉祥🙏🙏鲜花鲜花
1700487930# #所有的理论都是为解决问题而生的。只有放在实战中才有了烟火气，才有了神奇，神气，才有他传播的由头。🙏🙏
1692104623# #中医玩转阴阳超话。点个赞👍啊鲜花鲜花。黄教授说的好啊。好东西在民间。民间中医也是读着专家教授的书，经过岁月的沉淀和时间的打磨才会不断的成长，提高。。医药集团能保证没有资本的影子，没有资本挖呀挖呀挖么？经方藏于民间或许是好事情，一个是惠及于民，一个是防止被资本挖呀挖呀挖。
1701619172# #徐文兵讲中医超话徐文兵讲中医超话
1696909770# #中医玩转阴阳超话。早上发来舌照，说早上发烧了。。先看舌照，舌尖有红点，体内有热，舌中半透明状。吃凉的了啊。再摸脉看看哪里异常呗。肝肺跳的快啊。先一口清2ML，喝热水。然后手法疏通后，再稍微清一下肝肺之火。最后在补点阳气扶正就是。。小娃娃不舒服，是吃了肥甘厚腻之物，吃了新鲜的柚子。体
1688138064# #中医玩转阴阳超话。端午节有2天没有及时敷药膏，后来还是起了一个小水泡。这次烫的挺厉害的，当时要是没有及时，快速的敷上京万红，可能就很久才能好了。晚安🙏🙏鲜花鲜花
1701644654# #从改革开放的外资大量涌入，国企高管的工资从此一路飞升，年薪几百上千万，哪怕企业亏损，债台高筑。以此效仿，现今的企业有多少不是这样。许家印或许只是冰山一角。。影视行业的阴阳合同，富可敌国，资金外流。证券业的老鼠仓，倒买倒卖，上市公司减持套现，虚假账目。还有医院手术需要5万，可能要预交
1698904490# #中医玩转阴阳超话。这是一个多动症娃娃排出来的汗。想说点啥🙏鲜花
1702342034# #贪污，叛国，反人民罪。看看金正恩对贪污的处理。
1699270233# #中医玩转阴阳超话。？？？？？？🙏🙏🙏🙏🙏🙏。
1697872998# #转发微博
1696977726# #中医玩转阴阳超话。伍行止咳，用起来方便，5ml就是大剂量，新冠疫情用它自救，这次支原体流行，还用它自救。。开始看起来就是有点阴阳失衡，调理阴阳，昨天晚上告诉宝妈用手在娃娃的鼻子下试试，呼出来的气是热的，继续清热。如果出现问题大剂量止咳，防止肺部出现问题。。夜里的情况验证了开始的分析
1700603544# #中医玩转阴阳超话。看看老百姓是怎么评价的。医生如果解决不了问题的话，护士就能解决问题了么？🙏🙏
1688831601# #中医玩转阴阳超话。一年半的跟踪，小姐姐今年70岁。🙏鲜花
1702788352# #经验也是科学，中医是有原理的科学。听听外国人谈咳嗽的经历
1702857891# #中医玩转阴阳超话。人类能和人工智能来一次关于支原体肺炎治疗的巅峰对决么？。。人工智能出来了，可以诊断，开方，治疗。据听说还很精准。。。想问一个问题，能用人工智能为人民解决支原体肺炎等被肺部疾病困扰的人吗？。。还想问一个问题，支原体肺炎，这个算是当今医学难题的问题对不？就这个问题能用
1696035684# #心心念念了很久，才得到的蜂蜜。吃过很多种花香的蜂蜜，这蜂蜜的花香与众不同，一点点入口，满口的花香，好像把花的季节留在心里，久久不散，回味无穷。。同学家里养蜂，蜂蜜的那个花香味道独特。感觉比野花蜜，蜂巢蜜，枣花蜜，槐花蜜，什么花的蜜要好吃。多年前吃过，就是念念不忘。。感恩同学🙏🌹
1688182208# #中医玩转阴阳超话。三焦有火，内有郁热。看到要知道问题在哪，精准灭火直达部位才是高手，额说滴可有道理？喝点汤汤水水可以解决，手法，针灸也可以解决，中医就是这样，条条道路通罗马🙏鲜花
1701002156# #中医玩转阴阳超话。行家一张口，便知有没有。专业未必等于行家。关键是解决问题的点，可以这样理解么？辛苦了鲜花🙏。。发愿，如果能有机会配合大咖，专家们现场演示，如何精准快速解决一些问题。那将会是一件美好的事情
1701385356# #中医玩转阴阳超话。央视主流媒体推荐的科学调理，专家建议的食疗，快跟着学习吧。吃了能解决问题或者缓解咳嗽也是好滴呀🙏🙏
1701182322# #转发微博
1699872984# #中医玩转阴阳超话。反复发作🙏鲜花。伍行可以改变这个状况，一不小心，可能就除了根。。已经上报资料了。在等。🙏🙏
1700578309# #中医玩转阴阳超话。难题是痰液粘在肺上，吸不出来。。。如果说我们的团队解决了这个难题，不知道学术界会怎么看？。。民间中医也是中医，不然为什么要冠上民间，中医的名字呢？只是这个中医是没有被官方层面认可。是民间老百姓认可的，从古至今被世俗认可的。官方中医与民间中医同时存在了上千年了吧？
1702890800# #每日萌宠打卡。日本军国主义野心不死，在中国的渗透不处不在。国家如果还不拿出切实可行的办法，后果会很严重。🙏🙏。盲目的引进外资是不是在引狼入室🙏🙏。。
1701617363# #黄晓明超话
