1689614861# #这么一想也对啊
1689158512# #我的人间烟火复旦十八驴这才是这个剧应该上热搜的点！是值得歌颂的满满正能量的消防战士！而不是扭曲变态的富家子弟那点破事每天十几个热搜挂着！
1690114200# #允悲允悲允悲goodgoodgoodgood
1696909685# #不仅仅是因为颜值和演技，重要的是人品
1689223128# #没错！全被疯狂想红买热搜的那位富家少爷带歪了！
1688564991# #哈哈
1697348403# #卧槽卧槽卧槽！！！抓狂抓狂抓狂
1689953328# #您别怕！羊毛护你！
1688750146# #允悲允悲允悲
1692099515# #喵喵
1703436788# #致敬🫡
1690646765# #杨洋牛逼！
1692007279# #从来没感受到舞蹈带来的美的享受，直到遇到杨洋的蒲公英！真的是感受到了涤荡心灵的美good
1690098190# #牛逼good
1692622959# #允悲
1689296029# #所以许沁真的配不上他
1689292324# #特别喜欢徐编写的消防线，展现现今社会最需要的价值观！
1689350527# #杨洋我的人间烟火不懂就问，消防员改制到底是什么意思呀？
1690613051# #竟然还说了这些泪竟然还笑着说泪
1697090152# #怒
1692761917# #因为小哥入坑的
1689953056# #怕什么，来骂就拉黑举报一条龙
1692802554# #杨洋牛逼good
1690123331# #太杠了goodgoodgood
1690383247# #确实失望
1694705299# #为什么呢嘘
1693186952# #泪
1697353527# #以政府发言人称行动目的是铲除哈马斯放什么屁！
1697109695# #允悲
1689952137# #啊……致敬英雄心
1689352767# #今晚梦回特战荣耀泪
1694565737# #不能更赞同了
1688980528# #啊啊啊啊啊啊啊！怎么这么帅这么仙抓狂抓狂抓狂抓狂
1688265178# #太期待了！终于来了泪
1688921767# #我天……这真是老年痴呆症状……
1698722124# #看得眼眶湿了泪
1689294203# #泪
1691421830# #一顺百顺
1697337542# #泪
1690003836# #就和法国暴动一样，断了网很快就平息了
1689680089# #敬礼🫡
1693186849# #早就该要回来了！支持！goodgoodgood
1688801480# #good
1693097296# #造假行家
1689091523# #good
1691024508# #蜡烛蜡烛蜡烛
1690612930# #允悲
1690088460# #杨洋超话洋啊，听姐一句话，离开那个又蠢又坏的小人吧！你自立门户也不会比现在情况更差了！离开悦凯吧！除了是你的负累，什么也不能带给你，更也不能保护你！
1689262521# #宋焰许沁结婚了20集，宋焰说得太好了，有些职业不是只有钱能衡量！所以那些为保护人民群众的消防员们才如此伟大！
1689296660# #无论女主再怎么说她是怕宋焰受伤，她的说法也是错的，而且大错特错，侮辱了这群最可爱的人！她真的是属于那个高高在上的阶层，还是放过宋焰吧！
1694491572# #使劲查！
1690613495# #真的恨透你们！我发大愿，祝你们以及你们之后的每部剧都会遭遇杨洋这几周这样的网暴和伤害！
1692513561# #原来摊手
1690804683# #今天真是帅出巅峰！
1695554078# #杨洋于途我说我这两天怎么又想起来重刷，原来是于途老师的生日到了抱一抱
1688917265# #很想知道杨洋看这个视频是什么感受老杨奇奇怪怪的热搜又多了一个偷笑允悲
1694838540# #杨洋青春男大美立立是不是吃多了自己炼的定颜丹呢哈哈
1689826911# #允悲学会了doge
1694236670# #美人生日快乐🎁
1689689080# #杨洋送得很好下次可以再挑挑杨洋我的人间烟火哇塞！这两集看得老阿姨面红耳赤，春心荡漾啊！杨洋不愧是现偶苏神！实在是太让人舔屏
1700965544# #卧槽卧槽卧槽……舔屏
1688750233# #打call
1688831472# #笔给你！
1693655036# #请尽快
1691594005# #太好看了泪
1689900831# #同喜欢这几个
1694406684# #李佳琦就直播言论致歉这可真是，成了资本家立马换了一副嘴脸，看犯了众怒又换了一副嘴脸，太虚伪了！你只不过是一不小心把真心话说出来而已！
1690345898# #五登时尚芭莎，优秀goodgood
1693525528# #同不懂，太贪心了吗
1694435934# #约了
1688695478# #洋宝，咱不看啊允悲
1689899586# #good
1694353832# #说得太对了good
1695819083# #太像了！好想全职高手啊泪
1692800178# #研究称日本核污水排海240天到达中国日本应该被灭族！怎么有这种无耻至极的国家！
1694126787# #这两个还真挺像的，都是一脸公公相！
1689086264# #杨洋半裸出镜富家子弟忙着把自己的妹妹追到手，穷人家的消防子弟忙着把人救出来，真是莫大讽刺……
1695352262# #孤勇者泪
1690817978# #允悲允悲允悲还得是你，ymls笑crygood
1694277401# #good
1690706962# #殷世航问他和杨洋谁比较高不是，杨洋身高这问题过不去了是吧？行，他150可以吧允悲
1695113999# #杨洋都安静点杨洋和粉丝都很不容易，没背景不愿意向zb妥协，在内娱就是这么难啊……
1694250749# #嘻嘻
1689234529# #good
1695709928# #就这？？？
1695082915# #good
1697699099# #天啊！这耶耶成精了吧允悲
1689179300# #长安三万里今天带娃去看的，强推！
1689000229# #我的人间烟火孟家太混蛋了！！！
1688659681# #杨洋我的人间烟火哈哈哈哈哈！太喜欢消防队里的故事了！队员们好贫啊允悲允悲允悲而且站长和指导员也好磕了吧阴险
1690260605# #外交部回应美在华情报网络重建所以说第一步先断了渣浪
1703083547# #董宇辉去辉化那只老谋深算的老狐狸，呸！小董这孩子太善良了，可惜了……
1688666884# #这段可是哭死我了泪
