1691970714# #三里屯太古里回应北区女生被偷拍出去玩，要保护好自己允悲早安
1695041169# #新车到手2天，高合“一键泊出”就撞墙，这退了车，还会再买嘛？
1697948472# #想看看美臀效果如何……
1689324266# #坦克500顶配要40万？丰田坐不住了，普拉多国产来收割国内市场！头头是道
1702360453# #前两天是余承东怒怼懂车帝，这又网传一个小米怒怼余承东？
1693446429# #保重允悲下次出差，给你安排个安全的地方。
1690799429# #奇瑞产品大大大年！仅下半年SUV就有6款，越野、家用全覆盖！沐梓驾到
1690766929# #捷途X70PRO助力村超总决赛，中国足球和国产车一样，都有奇迹！头头是道
1698026043# #男子开大众，在地库撞成这样子，确实不多见……
1687518222# #董事长开车进长城被拒强拆大门还好他拆的只是个景区消防通道门，我以为拆了长城呢！
1702259024# #广州街头，男子把车开翻，这夸戳被人要看光了……
1698889376# #前车：我打了转向为什么还撞我？。后车：我前方就没车保持什么安全距离？
1702377740# #特斯拉被黑最恨一次？自动驾驶以后被控制，那就是噩梦！
1690037429# #特斯拉路上没电了？这就有点尴尬了！
1701735969# #领导干部公费医疗不需要花钱，那医院一旦想搞钱，搞谁的？只剩老百姓羊毛薅了！查这一个事件账目有什么用？要查查近几年所有的项目才有用！
1693013746# #2023成都车展来前觉得冷清，现场确实也不太热闹！早安
1694866078# #银河L6全能体验官--刘畊宏！
1689380055# #邯郸一理想车型起火，目前的解释是，旁边变压器起火引燃。话说，理想的车型，L789停路边很难分清楚。
1688610173# #别克确实是急刹车了，可电动车女子摔得也全责吧？这是你走的道嘛？
1694701456# #油电同价，专打合资混动？比亚迪汉DM-i加云辇-C只要7千块！三升马力
1690330979# #昨天的大事，告诫我们防范意识一定要有，且有些事情，普通百姓还是要揣着明白装糊涂！早安
1695390106# #虽然…但是……太残忍了！
1689421429# #前有江西鼠头鸭脖，先有湖南微信病毒。古代只听过指鹿为马，我们终究是进步了！
1692453777# #还要表彰下好人好事，不过前提是一定要注意安全！
1695632124# #华为发布会今日最佳！允悲允悲允悲
1700185385# #马自达CX-50HEV四驱版上市
1692228750# #烧了台后置双门车，从轮毂看，认出来了吧？
1688553118# #仰望U8，iCAR03领衔，下半年将上市新能源SUV，都很硬！头头是道
1702270002# #余承东怒怼懂车帝余承东怒怼懂车帝：坑人的测试！。。懂车帝最近冬测成绩公布，问界M7纯电WLTC续航达成率，仅仅有31.6%！唯一一个连三分之一都不到的车型！。。针对懂车帝对问界M7测试成绩垫底问题，华为智能汽车解决方案BU董事长余承东发文称“坑人的测试！科学与严谨才是应该遵循的基本规则！”。。此
1691718136# #车主被法官错判，改判后的赔偿金，还需要我们纳税人承担！
1700721891# #陈冠希台北参加活动，座驾红色奥迪e-tron，现在很少能看到他公开露面了！
1699963753# #22段可调氮气减震+1.35万磅高速绞盘，2024款悍途山猫越野满配！三升马力
1691208079# #女子头部被撞昏迷，这肇事司机一顿拖拽，看着就揪心……
1698723613# #小米汽车着急赶进度，2024年出新车，澎湃OS和鸿蒙OS谁会赢？箫遥游
1697595299# #起亚想别车，没想到的是极氪一脚电门，让它瞬间清醒了……
1688539072# #深圳站，这台比亚迪，不一般！
1698393211# #东风汽车集团有限公司主要领导调整：杨青同志任东风汽车集团有限公司董事长、党委书记，免去其东风汽车集团有限公司总经理职务。期待杨总带领东风，再创辉煌！
1689602638# #有被红旗活动2000架无人机震撼到！2000架无人机点亮红旗70年启新程大有可为红旗HS3上市
1698922184# #女子穿高跟鞋酒驾被查，叫嚣被交警劫持，要打110报警！这操作，很熟悉……
1700717877# #刹车付费？想想也不可能允悲不过这功能，体验感应该会不错！
1693811525# #2023年，长安汽车召开“第三届长安汽车科技生态大会”，以“新汽车”为载体，以“开放、合作、共享”为核心理念，并将首发长安汽车智能化领域全新量产技术成果。
1697339860# #宝马iX2海外版本抢先看下，四驱双电机，313匹马力，5.6秒破百，就是400多公里的续航，不够诱人！
1691635757# #交警说了，这种情况，撞死了都是全责！遵守交通规则，人人有责！
1690096306# #这肚子整大了，不能怪奥迪，得怪贴膜的！
1687093058# #女朋友说她拍到我出轨了虽然是老梗，但并不影响每次看到，都想笑！
1698536333# #多人骑车在同一个地方摔倒，这是人的问题，还是路的问题？
1690097220# #大众变小众：全球增长12.8%国内却成降了，国人心态拿捏不住了？箫遥游
1700295648# #广州车展：全新BJ40城市猎人版，越野硬汉咋变成科技暖男？箫遥游2023广州车展
1697249841# #海口世纪大桥三车追尾致1死案宣判海口世纪大桥一交通事故致一奔驰女车主死亡案，近日一审宣判，以交通肇事罪判处网约车司机郑某燕有期徒刑1年1个月。。。死者当时确实惨烈，大家遇到交通事故，一定要先撤离！
1698671384# #安全标杆沃尔沃XC90？这火势不小！
1698026436# #很感人的小姑娘，加油！
1696225273# #这台特斯拉，刹车灯亮着，咋还冲了出去……
1691972416# #岳阳机场停车场禁特斯拉入内岳阳机场停车场禁特斯拉入内？机场回应：特斯拉会对周边环境录像，员工的也不能进。你觉得，这样做合理嘛？
1687656233# #坏人并没有我们想象的少
1697111525# #蔚来这驾驶辅助，你看着放心不？这要胆子大才可以！
1696238007# #司机景区道路逆行孩子过马路被撞飞全责是小事，孩子出了大事就是更大的事了！家长也要警醒，告诉孩子什么是“鬼探头”！
1695370656# #原以为特斯拉才是降价先锋，没想到，这次竟被小鹏G9卷到了？叶梓开测2024款小鹏g9上市
1696379070# #轮子都掉了，这台劳斯莱斯车祸，损失惨重！
1699277973# #齐齐哈尔也是黑龙江的吧？
1688081913# #月薪5000真的有点低企业说，我也活的好艰难！早安
1692070422# #特斯拉所有中国大陆市场车辆数据存储在境内2年前，关于特斯拉能不能进政府机关和涉密单位，就已经就国内数据中心问题，开展过一次全民大讨论，这次岳阳机场不给特斯拉进，又让特斯拉吹到了刀刃上。。。所以，特斯拉紧急声明：已在中国建立数据中心，所有中国大陆市场车辆数据存储在境内。。。最近，间谍
1688639542# #开放L3级辅助驾驶，是噱头大于实际，还是消费者口中的真好用？三升马力
1691590490# #这才是专家说话的样子！
1702200246# #只能说，小米汽车终于要发布了，时间还在2023年内！
1702345446# #这时候，有夸戳都不一定好使！
1694415511# #主驾和后排两次拖下来都赶不走的女人，是男人太优秀，还是奔驰太香？
1690624453# #感受一下气氛吧，据说榕江不到30万人，今天外地游客来了20万
1701603941# #吉利星越L智擎＆星瑞L智擎上市发布会
1699239540# #这位女坦克手，技术有点生猛！
1690274888# #全新一代凌云上市，2.0T+8AT全自研，就问这技术国产里还有谁？沐梓驾到
1687569675# #这个设计，可谓是细节到位，没有Diao用？
1701386591# #12月第一天跟2023年告别倒计时！早安
1687307310# #这女子的凌波微步，是练过的……
1702031392# #氛围整起来！
1687998823# #吉利雷诺合作，星越L换标现身韩国？如果属实，国产新能源真是支棱起来了！。。据外媒透露：雷诺在韩国的合资公司将对釜山工厂进行扩建升级，计划每年生产20万辆纯电汽车。同时，此前吉利已经认购了雷诺在韩公司34.02%的股份，并成立一家全新公司，双方在全球范围内共同研发、制造、供应混合动力以及纯燃
1699867029# #比亚迪行车记录仪视角，看看这问界女司机，倒车技术是怎么“遥遥领先”的允悲允悲允悲
1688266851# #特斯拉转弯，盲区窜出电动车，紧急制动立功了！这视频，谁拍的？
1701825485# #新势力销量目标都是多少，谁拖后腿被打脸？有一家提前完成了！三升马力
1689814403# #看来有走私理想出海的生意了
1690471184# #来给大家介绍下，这里是全球最大的流水线写真批发拍摄基地！全球旅拍
1696468368# #南阳最近几次上热搜：南阳水氢汽车项目停摆，南阳回应上百台收割机无法下高速，南阳迷笛被盗失主称营地没监控。。诸葛亮都要气醒了！
1694673610# #
1686906712# #事故后的照片看，这小伙，凶多吉少呀！
1689421483# #厉害了！
1693541422# #这下好了，全村都知道你开劳斯莱斯回来的，还一路打着雨刮……
1694825521# #女孩子骑车一路低头，撞上路边大货车，要是没备胎就惨烈了！
1699060731# #家属节哀！🙏🙏🙏
1691367328# #这台特斯拉，把小朋友吓得，嗷嗷直哭……
1693989265# #家用SUV也能成为“运动员”，奔腾T90挑战十项全能，战绩如何？沐梓驾到
1698739122# #日车企高管公开“贬低”中国新能源？独具眼光，还是羡慕嫉妒恨？沐梓驾到
1691734833# #最近医疗领域各种热搜，看的人眼花缭乱……
1703412501# #2024会是新能源大考年吗大考其实是22、23年，24年已经算是尘埃落定了！什么配置个价格的卷法，已经是新常态了，不存在新一轮的考验！。。已经倒闭的，就是没经受过大考，现在依然需要融资续命的，明年的命运也已经基本定型，不然蔚来也不会急吼吼提前发布25年的新品，就是要填补24年出新节奏的新常态
1699426396# #四川雅安一油罐车爆燃引燃两货车恐怖🙏🙏🙏
1689235098# #江苏盐城轿车撞人事故致2死6伤总之，相当惨烈！肇事司机才24岁，各种传言听起来让人毛骨悚然，希望严惩！！！。。车型又是宝马，而且是连闯两个红灯撞人。大家还记得大连那个宝马车年轻司机不，致5死多伤，广州那个宝马司机，也致5死13伤！
1701691392# #江淮牵手华为将生产豪华电动车股票又涨停了吧？华为是真好使！
1694992176# #仰望U8，不仅能原地掉头，还能双黄线随意掉头……20号要上市了！
1691147417# #今天这条视频，又成了劝退教材。男子弯道逆行超车，撞上对向女骑手，还好头盔保护，但胳膊、屁股肯定受伤了！。。女骑手还是建议穿骑行长裤、护膝穿好，指甲也不要留这么长，安全第一！
1697982042# #这蔚来的超车方式，有点傻缺了………
1699231595# #埃尔法后备箱秒变衣帽间？这细节处理，理想MEGA超越了多少？
1692750643# #出租车失控，天天开车的老司机，也会犯错！
1701325934# #初冬的大别山，泡温泉最好的季节，开着星越L智擎，大别山里来一次深度测试，油耗4L比日系还省？头头是道
1688344537# #看看这场车祸，副驾一侧，完全撕裂开来！
1693474921# #探索06打卡榕江村超，互动李毅大帝和徐亮汉姆，国车和足球崛起！叶梓开测村超
1703390090# #柳州一女子在车内被男子殴打感觉是真下狠手，报警吧，让他知道成年人犯错的代价！
1701909760# #白色小车的魔力转圈圈……SUV是真淡定，这么多次机会也不逃跑！
1690415355# #藏区同门相残，大G把奔驰商务的前轮，给撞掉了……
1701412142# #仰望U8早晚被这帮人玩坏了不可！这玩个沙，还得标配三个人推力……
1698721313# #怎么安全越野？老炮钟爱的北汽BJ60、BJ40，体验下纯享玩法！三升马力
1695603476# #保时捷电车街头自燃保时捷Taycan街头自燃，这火势消防员扑灭都费劲！今年这不是第一次看到Taycan自燃了……
1693703788# #奔驰GLAClass，小大G曝光！首席智驾圈超话
1689215113# #还好，撞人的不是前面的特斯拉！鬼探头，全责没跑了吧？
1691070627# #彭州山洪惨案并没有过去多久，好言难劝该死的……这让人怎么同情？
1690594895# #我怀疑，这俩车都是故意的！
1689903204# #“跨界造车”最新进展：小米2024年量产，留给苹果的时间不多了！箫遥游
1691403250# #内蒙古一货车冲进集市已致3死怕什么来什么，今年这类事故，可真不少！
1687082933# #教育局回应奔驰在操场倒车险撞人虽然有保安看着，但这个位置，明显就不应该有车进入，武汉惨剧刚刚过去！
1698537365# #欧盟这是一面对中国车企开展反补贴调查，一面在国内烧车……
1699255643# #重庆机车妹子有多猛？你听听后半部分的声浪！
1691116858# #京牌不好摇，先讲究着用吧……
1697412899# #为什么今年支原体传染严重都是高烧症状，这不就是那啥的延续嘛？早安
1700661651# #开起亚也这么吃得开了？危险驾驶罪要安排上了！
1696235252# #这台电车，真的实现绿色无污染了……
1690850291# #电动车保值率前十，荣威科莱威竟然第一，比亚迪汉垫底……
1687787054# #昊铂GT杀疯了：20多万纯电轿跑，剪刀门配7个翅膀，合资没法玩了头头是道首席智驾圈超话
1698026121# #红毛小伙开拖拉机漂移，这下漂到了交警队……
1690331914# #白车没打转向灯靠边停车，这连环追尾，算谁的责任？
1687165104# #体验东风风神奕炫MAX：10万级卷王，直接卷上了CEC冠军赛道！。沐梓驾到
1703811085# #实属扎心了！
1691111012# #把玩铃拓汽油款：“别人家的孩子”，玩乐和搬砖两不误！箫遥游
1697419477# #理工男炫技
1693375019# #不给加塞，还得挨顿打不成……
1693307729# #女子开理想插队，一个奇怪手势后，追尾了……
1699745449# #羽绒服一夜入寒冬！早安
1697092950# #这要是碾压到了，白车车主还挺倒霉的！
1687219228# #油车，当街自燃，车内人员看到冒烟成功逃离……电车自燃，会更复杂，比如燃烧特别快，有可能会车门打不开……
1687304328# #保时捷一年半维修19次，这是买了台杂牌电动车？
1695371030# #这就是行业乱像之一！
1689043629# #路过的特斯拉，立马改回手动模式……首席智驾圈超话
1695095638# #星途揽月玩把大的，25米45度峰顶翻滚，10圈极限挑战成功！箫遥游星途揽月
1689892814# #地球连续35年收到神秘规律性信号外星人在呼唤我们？早安
1688426224# #这次大众ID表现不错，撞电线杆，前脸全毁气囊弹出车门打开没自燃！
1696118960# #雨天高速上，雪铁龙竟然还自燃了？
1695086235# #机车媛，流量密码……
1701566569# #现代汽车的澳大利亚高管，说这话就能理解了！喊他来中国任职，看看秒怂不？
1703550940# #奇瑞汽车准备IPO了？估值1500亿，动作频频加快全球化步伐！三升马力
1692753583# #之前是单纯卷屏幕大小，今年从凯迪拉克开始卷超高清了，这不，吉利的8K屏立马也来了！合资豪华有的，我们也一定会有！
1693208401# #捷途旅行者预售，对手锁定坦克300城市版，C-DM插混版期待一下！三升马力2023成都车展
1693984854# #这把对方撞了，能算正当防卫嘛？
1691681327# #猜车大挑战，从尾灯一瞬间，看看这是哪款车？
1693222178# #全新BJ40大变样，无边框车门+平开式尾门，坦克300危险咯？箫遥游2023成都车展
1694428838# #这就是我们的经济现状……
1692270148# #讯飞星火认知大模型首搭星纪元ES发布会
1693703418# #女子因租房里有蟑螂醉驾回家找爸妈一个蟑螂，引发的刑事案件！
1692929176# #智己LS6全球首秀2023成都车展
1689207670# #为什么不建议恋爱长跑你们谈了几年了？早安
1692150507# #这女司机，用实际行动实践了一米出险……
1688513279# #你家会整夜开空调吗热的睡不着，和多花1块钱开一夜，选哪个？早安
1689293066# #成都暴雨成都暴雨过后，一女子开车门瞬间，惊呆路人……
1701770464# #体验完岚图追光PHEV，竟然要单方宣布，奔驰E的平替来了！叶梓开测岚图追光
1702035408# #第四代奔腾b702.0T+6AT，第四代奔腾B70今晚大唐不夜城上市，售价区间为12.99万-13.79万元。跨越1300年，中华盛世和大唐盛世，国潮碰撞！
1690290168# #张雪峰瑟瑟发抖中……
1692666649# #11万多买奇瑞探索06，确实血赚！标配智能四驱，1.6TGDI动力，7钟驾驶模式，605mm的涉水通过性，除了硬派的越野脱困，其他日常可以用到的驾驶需求也都全覆盖了。。。这两年轻越野车型非常受欢迎，尤其这种看着硬气，但两驱价格买四驱，四驱动力两驱油耗的车型，是不是比大狗更诱人？
1701660933# #据说，马斯克靠特斯拉赚不到几个钱，人家机器人利润更高！cybertruck
1697246540# #拿刀袭警，他确实不想活了……
1698303606# #10月28日，敦煌全球最大光热电站，传祺新能源全尺寸旅行SUV传祺ES9闪耀上市
1701340515# #还是又回来了！
1692515382# #奔驰追尾半挂车，不是一个重量级，生死确实需要看运气！还好不是高速上……
1688175331# #成都夜晚街头，追尾后还加油门逃逸？前车乘客吓坏了！
1700204562# #社牛！取各家所长，小鹏可期！
1690106191# #男子躺地下停车场出口睡觉，被宾利碾压……这责任该怎么划分？
1694682677# #这电线杆，直接真不错！
1700185774# #2023广州车展凯迪拉克Optic全球首秀！
1696246374# #章鱼到底是不是外星生物？
1695864618# #比特斯拉更“背刺”老车主，2024款小鹏G9官降4.6万，迎投诉潮？箫遥游小鹏g9
1687652261# #这司机要是个女的，上面拿手机拍的，会怎么样？
1696725961# #白车紧急变道酿事故，这种情况，各打五十大板才好！
1700610788# #女子开车撞护栏，她只是车技差，素质并不差……赔偿金可不少允悲
1692174651# #奇瑞越野车型强势回归，开探索06玩硬的，妥妥的“双重人格”！头头是道
1689598099# #红旗hs3在红旗创新大厦楼下，见证红旗全新车型红旗HS3正式上市，4款车型售价14.58-19.58万元。定位A+级豪华SUV，搭载1.5T+7DCT以及2.0T+8AT的动力组合。。。这款1.5T发动机，最大功率124kW，最大扭矩258Nm，匹配7速双离变速箱。高配车型搭载2.0T+8AT，最大功率185kW，最大扭矩380Nm；公里加速分别为9.
1695213889# #川西这场车祸，又警醒了很多人！🙏🙏🙏
1687411097# #今天，是体验捷途车主打卡方特的一天！专属代步电动车，快速通道，各种互动体验和定制礼品。今晚，还有小龙虾啤酒节和烟花表演，这些车主的端午，我也羡慕啦！
1697675027# #这种小电动车，自己缺乏安全性，开起来这也是害人不浅……
1689687502# #今天，走进一汽，走进红旗。感受还是颇深的，参观过那么多车企总部，能谈上情怀和震撼的，唯有红旗。。。一汽70年，大家印象中红旗的办公环境，会不会像老国企事业单位一样，满满的年代感？NBD总部里，却是一派年轻活力的样子。大楼很是现代化，“旗意”咖啡馆也是错落可见，书店、精品店？餐厅都很潮。。
1697200806# #这个漂移甩尾，着实让人精神为之一振……
1697372567# #特斯拉插队未果，就上高速别停视频车三次，这可以危险驾驶罪拘留不？
1698632353# #女子被视频车撞到后，失控撞倒路边老人，这责任该怎么划分？
1697760940# #这届年轻人结婚越来越抠说抠的，咋不说大家都没钱了呢？早安
1688894084# #男子已经停车，敞篷保时捷女子，还是撞了上来……
1702366396# #小米发文炮轰余承东小米发文炮轰余承东：抹黑同行误导公众！。。前两天是余承东怒怼懂车帝，这又网传一个小米怒怼余承东？。。12月12日，发文称，近日，余承东先生无端针对小米龙骨转轴技术发布不实言论，与事实严重不符。。。小米汽车请余承东先生遵循“科学与严谨”的基本规则，请勿再
1692151483# #印度人不愿意加班，中国人这觉悟比全球哪个国家都高吧？
1688649913# #弃轮保车，很多人觉得，这是雷克萨斯皮薄偷工减料的问题，反方又觉得，啥年代了还看铁皮厚度，吸能才更高级！可是，它轮毂都掉了……
1689809870# #新能源汽车购置税减免政策延长4年燃油车减免，才是拉动消费，提振车企生存的根本！
1698489226# #万圣尖叫节，熙熙攘攘的方特又回来了！单日游客近3万人次，全新小蚂蚁尖叫上市！。。7.79万起步，全铝车身，续航升级到321km，新增绝绝子和不焦绿两个颜色，很可爱，很好开，也很省心、省钱！
1698326648# #玛莎拉蒂母公司15亿欧元入股零跑，外部资本，收割国产技术？沐梓驾到玛莎拉蒂母公司116亿入股零跑中国新能源汽车技术太值钱了
1692406905# #200万，就这么烧没了？
1687223187# #北京现代终于玩花活，12.18万起售，买沐飒不买房就够了？沐梓驾到
1687330470# #粤港澳车展新能源SUV盘点：腾势N7主场领衔，纯电插混选哪个？箫遥游
1703381545# #是因为吃菌子嘛？
1692604179# #奇瑞十年后再推越野SUV，探索06标配四驱，全民四驱时代来了！叶梓开测
1698993547# #猛的是后续视频……
1697679519# #威马破产边缘，很多人说下一个可能是哪吒的，看看张勇怎么回应的：账上100多亿，不着急IPO，有钱着呢！
1692364947# #之前被曝光出来，就说明离收拾不远了！
1695868348# #只要监督到位，国产车的整改效率会很高，合资，就不一定了……
1698537843# #极氪001FR挑战布加迪，结果布加迪还战败了？电车真的是胆子够大，布加迪也没想到，自己会被拉来这么对比……
1689774371# #这台车，运气差到极点，车里的人，运气好到极致！
1694672253# #电动轿跑SUV，蔚来全新EC6即将上市，9月15日20:00，锁定直播间。
1698738041# #涨跌500亿美元过山车，对于特斯拉来讲，都是生活的常态化！并没有伤筋动骨的软肋。
1692592400# #这个要转给嘴硬的那批人
1695556465# #西南交大，又破一次速度记录！
1701843377# #一个女孩子，大晚上跟三个男子大去酒吧喝酒！父母没教育过安全知识？当然，这几个男子，都有罪，一个都跑不掉！
1699023184# #极越这次赞助，流量赚到了
1694078986# #女子爬车顶做不雅动作被警察带走这台车也是晦气……女子大庭广众之下爬车顶脱裤子，事后不害臊？
1691796224# #17年才发现？这隐藏的够深！
1701907575# #古代，也是限制穷人私自砍柴烧火的！
1696071531# #十一假期怎么过这几个司机，是商议好的，还是全凭默契？
1687096351# #父亲节快乐这父亲节过的，一定都比较刻骨铭心…
1690418298# #奔驰、别克和现代，连烧3台燃油车，猜猜谁是“肇事”车辆？大家车里，一定不要放易燃易爆物品！
1703577908# #问界M9这次没有说1000万内最好SUV，但余承东说问界M9，是地面上最强悍的SUV！
1686879087# #如此像大狗兄弟车型的SUV，申报名是翔龙。说明，长城内部也已经要调整狗系列命名了，大狗、二狗也可能会成为最后一代！
1698459862# #合肥市民这两天，没日没夜的排队去故居看望您🙏🙏🙏这就是民心！
1696032712# #这女孩骑共享单车，右转拐大弯撞坏护栏，把奥迪车主吓懵了……竟然扬长而去？
1702772425# #巴西警车改装，清一色奇瑞瑞虎8，看着真霸气！
1691416764# #消费降级不丢人丢人的是，一降再降，看不到希望！
1699263761# #深蓝汽车智能化解决方案发布暨S7i、SL03i上市
1694513883# #野马女司机看到查酒驾，下车就跑，堵住后不会吹？最终数据76mg，跑这一圈躲掉了醉驾！
1700093705# #吉利银河E8，继一体式发光大灯超过BBA，风阻系数0.199超过保时捷，麋鹿测试成绩也把特斯拉和保时捷干趴下了！
1698136555# #都在传高合裁员，可400亿融资刚到手，这是要轻装上阵大改革？叶梓开测高合汽车HiPhi超话
1689380744# #腾势d9车主发布联合声明车主投诉腾势D9冰箱制冷差？李想说，半导体冰箱是汽配城级别！。。日前，网络上曝光了一则“用户联名给厂商写的投诉声明”，其中提到：腾势D9采用的是半导体冰箱，无法得到理想的制冷效果，且冰箱工作时，前排容易出热风，车主要求腾势汽车立即解决上述问题。。。比较奇怪的是，
1690505486# #这种情况，起火应该是没有痛苦了，速度得多快让车子直接解体飞出，撞击后又起火！
1693148382# #大众追尾比亚迪，结果，蓝牌大众烧了……
1697117600# #金晨代言智己ls6智己ls6上市一夜之间，大家把智己LS6的矛头都指向了小鹏G6，没办法，两者太重叠了。。。智己LS6指导价：21.49-27.69万；。小鹏G6指导价：20.99-27.69万；。。再加上ModelY指导价：26.39-34.99万，20-30万区间电车很是热闹。
1698889180# #缅怀🙏🙏🙏
1691195554# #老外这电动皮卡的配置，比冰箱彩电洗衣机，是不是乐趣更直接一些？
1689127035# #轿车被砸后直接掉头冲向人群前几天，刚有一个小伙子，在路边烧烤摊被捅死，这又有一帮小年轻，路边烧烤摊打砸车辆险被撞……
1702179285# #腾空转体360度，动作很舒展……大家骑车一定要安全行驶！
1703576321# #雷军回应小米造车慢雷军确实铁了心要造车，3年试驾了超150辆车，平均6天换一辆，这“喜新厌旧”的体验，就是为了把小米造的更受消费者喜欢！
1696032399# #堵车节假日走高速，一定要备一把雨伞🌂！
1698924403# #演的挺逼真……
1693137102# #网红大学老师相宜自曝辞职这个没办法同情吧，自己吃着网红高曝光的红利，就应该注意自己的言行，尤其是在原则性问题上。当然，这座驾从座椅看像奔驰，要是日系车，真帮不了你了！
1690682129# #他们想的是，自己家儿子有出息、聪明，这么小就能开车，还不快羡慕下！
1697181735# #T8直播
1701343523# #后面卖的动就好！
1689213065# #网友神评：。。手刹未动，。脚刹狰狞，。极速飘移，。内心不惊。。蛇形走位，。隐入花丛…
1700190809# #2023广州车展新能源大牛说极氪007预售价22.49万元起极氪007开启预售，预售价为22.99万起。新车定位与特斯拉Model3同级，为中型轿车。。关键词是800V电气架构、骁龙8295芯片、双叉臂前独立悬架以及激光雷达。。提供单电机和双电机两种版本，加速最快2.84秒破百，CLTC工况下，标准续航版续航为688k
1698751118# #小鹏这款车型，又在绍兴起火一台，今年这是第几起了？
1701690040# #这机器人自动加油，看的着急的我，都不如蔚来换电速度快……
1690187566# #比亚迪起诉汽车博主索赔500万大号被禁言了，这个疑似是龙猪本人回应来了！
1687217580# #宝马被烧了一半……
1690095148# #大家注意，副驾驶未系安全带，也可以计入案底！
1698983753# #李连杰可别瞎传谣啊！！！这可使不得泪泪泪
1692876066# #女子这追尾，孔子想不明白，老子也想不通！
1699071766# #余承东炮轰车企一把手不懂AEB汽车圈会玩流量的，有且只有李想和余承东！余承东不止掐的住李想，何小鹏也被他拿捏的死死的！。。何小鹏前几天炮轰华为问界智驾造假，说网上AEB视频都是假的，余承东反手微信朋友圈就隔空回怼！。。何小鹏强项不是玩流量，还是要慎重为好！这时候，干嘛招惹华为？
1693387700# #载4人汽车被暴雨冲入河中3人死亡14-20岁姐弟三人，只有弟弟获救，惨烈！
1695213470# #花西子公关部离职，不是因为工作不努力！
1701831998# #坐等蔚来单车再降价5万！
1687089535# #原来是我们自己不知足了！
1702987459# #早上多吃点，打打秤，别被大海风吹跑了！
1690074880# #保安竟然试图要跟医院门口乱停车的女司机讲道理……
1692505989# #小米汽车新疆测试谍照，正在路上！
1690760353# #这女子，横穿马路，没带头盔，头部着地……
1703307664# #这是一台，打码能卖20来万，不打码赔偿300万的车型！下周给大家揭秘下细节！
1700527226# #女子跪地痛哭，是被自己“蠢”哭的？
1690948744# #这车门设置，一定是过于高科技了……
1695262053# #芯片是核心技术，千万做好保密工作，杜绝一切谍变可能！！！
1693619471# #兰博基尼首款电动车Lanzador，电车圈的天花板！首席智驾圈超话
1688718113# #号称“全球首款豪华行政电动轿车”的岚图追光，PHEV版车型曝光！定位商务行政轿车，这也是当前全球范围内首款豪华行政新能源轿车，或将主攻奥迪A6L和奔驰E级所在的商务行政市场。。。新车长、宽、高分别为5088*1970*1515mm，轴距3000mm，外观方面，区别于岚图追光EV版，岚图追光PHEV版在前脸和尾部，更
1696926433# #什么车就别猜了，重要的是，下次换车要知道如何避雷！
1699413850# #会赚钱才是好车企？裁员的时候，赔偿才更能见真章！三升马力
1700320140# #凯迪拉克“纯电SUV兄弟”，不仅降价，还牵手了特斯拉！2023广州车展新能源大牛说沐梓驾到
1692892149# #成都车展：除了硬派还玩什么？猎装、轿跑、敞篷……国产更会玩了头头是道
1687130988# #停车位上自燃，还波及了其他车辆，燃油福特又烧了一台？
1691752050# #长城这是硬刚啊！
1697939788# #这女子骑电动车，是真虎呀！
1695390190# #冒烟自燃不至于，就是好奇，特斯拉这女司机是咋开成这样的？
1698591533# #换成沃尔沃和极氪，也扛不住吧！
1699866886# #是不是好多人好奇，这女司机是怎么把问界试驾车，骑到比亚迪车顶上的？下一条揭秘！
1700525112# #焦点访谈曝光网购流量造假套路整治直播带货的信号来了？早安
1689295914# #人死不能复生，但汽车品牌可以！DS就是个活生生的案例！。。DS国产黯然收场后，姊妹品牌标致和雪铁龙最近几年也是度日如年。本以为就此说再见再也不见，没想到DS不甘心，又要以进口车方式在国内销售。。。进口版本上市两个配置，价格为26.28万元和29.18万元，动力还是大家熟悉的1.6THP+8AT，这价格几乎和Mo
1692675374# #这女孩，也是运气好，差点摔到后脑勺！这车开的，也太失控了……
1689120433# #这大众车里，放了什么？直接晒爆炸了……
1695944089# #这女子叫的听起来很无辜，可这么宽马路，前车去应急车道，你也能跟着撞上去……理解不了！
1695166110# #油价大家要反思下，自己的努力程度，赶上油价上涨的幅度了嘛？
1687699993# #花15万买比亚迪，还是捷途大圣i-DM？这三个理由，保准买买买！三升马力
1696118835# #国庆节快乐祖国万岁，大家快乐！早安
1687866020# #2023中国新能源质量：50款车仅一半达标，理想L8排名垫底！。。J.D.Power2023中国新能源汽车质量研究结果显示：整体质量问题数为173PP100，相比2022年增加了21，其中，设计缺陷和新能源特有问题所占比例增加。。。具体来看：车内异味和胎噪过大，连续5年成为质量头部问题。。。细分类别方面：小型纯电动市场
1702001309# #南京南打出租，师傅说五点出门，10点了，这是开张第一单。我要去禄口机场T2，他喜笑颜开：这肯定是今天最大的单了！。。车刚出来，遇到交警查后排安全带，师傅无奈的说，这些辅警4个月没发工资了（无从考证，他前出租车同事去做辅警说的）。。。路过南航大学，闲聊中师傅又说，出租车不好干，挣钱太难了，
1697528599# #话说，今年蓝牌路虎冒烟的，可真不少……
1689147746# #奔驰这是碰到碰瓷的了？但这动作，也不流畅呀！
1692237296# #现在实习生去实习的座驾都这么卷了
1700137396# #北汽小米成合资，全栈自研有看点，“15W交个朋友”？小米汽车信息首曝
1702977660# #女子骑车闯红，面包车闯黄，这冰雪路面碰到真是“缘分”！
