1691108533# #我去由彭昱畅侯明昊毕雯珺主演的《异人之下》已经空降有你期待的明星吗
1700801775# #之前称中输只有百分之1的韩娱5个月内蒸发了6万7975亿韩元现在回过头来怪中输不行。。。kpop正遭受中输减少带来的打击
1690186766# #网传TFBYOS十周年王俊凯王源易烊千玺演唱会模拟座位分配图你觉得合理吗
1690250741# #普通人没法和爱豆恋爱的原因普通人跟爱豆无法恋爱的原因
1696662399# #王鹤棣白鹿《以爱为营》最新路透图好涩舔屏舔屏舔屏
1692237739# #刘彰恋爱刘彰过往言论再被扒如何评价。。。
1697184073# #王源王俊凯被拍到戴了同款的素圈戒指我滴妈谁磕到了苦涩苦涩苦涩
1694016152# #道枝骏佑也太惨了。。。。
1696382519# #金泰亨朴炯植朴叙俊这是在干什么？？？有点脏脏的。。。看起来有点像去养猪场路上翻车了，几头猪滚在了一起。。。
1694318265# #网友称耽改剧可能全陨了有人说太可惜了但也有人说挺好的作者收到了版权费演员收到了片酬观众也不用辣眼睛这下书粉也满意。。你满意吗
1691842166# #LESSERAFIM演唱会开场继《我躺》之后的又一神作《我倒》
1694917819# #金泰亨大粉称田柾国chasmoke像一只巨硕的公猪百米冲刺你觉得是他们严格了吗
1694674802# #你能接受你的爱豆这样亲粉丝吗
1687509889# #有网友审判了林墨和杨超越觉得他们这样太明显了你觉得是网友想多了吗
1695177805# #我滴妈张艺兴告黑粉而且这次黑粉还犯的是侮辱罪还有可能坐牢这是对张艺兴多大仇啊张艺兴黑粉公开道歉
1688566509# #李玟去世她好善良，没有得到正向反馈的时候，都在选择说服自己，而不是攻击他人。是这个世界暂时配不上她了悲伤悲伤
1689658755# #偷偷藏不住豆瓣开分6.7分偷偷藏不住成绩图🈶
1702732142# #我去龚俊的cpf真的很长情一眼看去都没唯粉。。。
1689339196# #奔跑吧原地消失术ikun别难过坤坤上跑男了！！！
1699081200# #白鹿以爱为营首日战报白鹿扛剧能力🈶
1688548178# #95四大待爆影帝网友评选出95后四大待爆影帝：陈飞宇王俊凯王一博张新成你最看好谁
1688286892# #美貌姐救命迪丽热巴大粉恃美貌行凶注销账号了要变天了。。。
1688384037# #网友爆料《珠帘玉幕》女主为赵露思男主人设白玫瑰网传赵露思和陈哲远或将二搭&nbsp;你期待了吗
1688878530# #最近的kpop饭圈怎么了最近的Kpop饭圈怎么了
1690958951# #内娱明星演唱会定价表你觉得谁的偏高了。。鹿晗TFBOYS王源王俊凯易烊千玺张艺兴刘雨昕李宇春华晨宇张杰薛之谦毛不易周杰伦林俊杰汪苏泷
1687664765# #李天泽高考成绩586李天泽586分马嘉祺又被cp粉拉出来庆祝了七折在高考也能营业。。。
1689856862# #网友称赵今麦是不是真的与时尚无缘。。。赵今麦得罪造型师了吗
1689563918# #玖月晞破防的原因丁墨玖月晞我没抄袭玖月晞否认抄袭沈南乔作品还称对方调色盘极其敷衍潦草且不负责任
1701346092# #陈牧驰这张图片还蛮帅气的属于我们中国人的海王陈牧驰站姐脱粉回踩陈牧驰生图
1692537134# #2023周深演唱会又被网友评为ktv演唱会。。。你觉得是网友严格了吗
1699540475# #爷奶批无处不在张译新电影直接被他和张颂文的cpf刷榜了更有人甚至喊出爷爷奶奶请和好哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1688980438# #Prada找了咱们女足合作哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕。。prada：这次。。。。。真的拜托了。。。。。。。Prada这次找对人了
1699849942# #原来于适早年也是篮球爱好者
1696644931# #王鹤棣方回应了潮牌争议还表示自己会考虑出女装并称自己一直用的是新疆棉你觉得态度够诚恳吗王鹤棣潮牌品牌方回应争议
1699017428# #RedVelvet被网友质疑又在偷🇨🇳元素来看看像吗
1699675378# #张雨绮说的关于明星的言论引发争议你觉得她值得同情吗。。她称“你们觉得很简单的事，对我来说好难，只想简单的生活，可以和喜欢的人牵手在路上走”
1687762460# #回旋镖是回旋镖吧。。。
1700969217# #我去王俊凯dior新图来了表现力如何
1691163258# #王源王俊凯易烊千玺十周年分别写给自己的信你被谁的真诚打动到了王俊凯王源易烊千玺三周年写的信
1693745795# #于正毒奶现在再看蒋依依这段真的好讽刺啊
1694685617# #外媒报道了关于Lisa合同谈判的新闻，BLACKPINK成员目前与YG的合约已进入最后一年，具可靠消息称，Lisa已拒绝YG的第一份合约，目前又拒绝了第二份合约，该合同的规模据传价值500亿韩元（约合3770万美元）。外媒曝Lisa拒绝和YG续约
1699448628# #仲尼我去
1699668018# #柳智敏这妆容绝了完完全全的恶女感蛇感胜过黑曼巴时期
1690033165# #张杰谢娜爱是事事有回应
1691837775# #张真源和马嘉祺谁赢了。。。
1687531642# #沈梦瑶起诉丝芭传媒申请解约沈梦瑶要和丝芭解约了？？？还说要打官司闹这么大吗
1689333206# #朱正廷称自己计划开不低于十场演唱会，而且其中五场左右在海外，范围不限于亚洲。。随后被粉丝吐槽大哥能不能清醒点。。。
1703755883# #刷到送行爱豆的爱豆视角做爱豆真的好幸福啊
1690337685# #王源王俊凯易烊千玺十周年写真来看表现力TFBOYS眼部特写
1696639535# #蔡徐坤我也是人我也有需求蔡徐坤发言：我也是人我也有需求我也有我的喜好我也有很多你们不了解我的一面。。你有被他的心声打动到吗你会原谅他吗
1687787708# #蔡徐坤这个示意的眼神谁懂。。。
1698046466# #“金秋天带周也大名干嘛？广场不想要了？”
1696513051# #我滴妈田柾国solo专辑首日中输总销量273596张，这是什么水平？
1700040592# #剪完头发的赵露思好御姐有被美到苦涩苦涩苦涩赵露思新发型
1702899274# #钻超最新排行出炉，肖战第一成毅第二，这两家真的咬得很紧
1695649240# #王俊凯巴黎时装周出图还是蛮帅气的
1699441734# #TFBOYS《十年》专辑实物开箱来了这个开箱什么水平
1690877441# #张晚意好实诚张晚意这是在干嘛居然说不认识陈哲远待爆何苦为难待爆。。。
1691335041# #王源踹的是时代峰峻大门吧网友称王源是时代峰峻最后的体面人你赞同吗
1688612401# #网友称lisa这张长得跟蒋雯丽一模一样你get到了吗Lisa无刘海vs蒋雯丽
1696121215# #虞书欣穿着露脐装拿着长江七号自拍还称画了脏妆被网友质疑是内涵徐娇声援lisa现在网上基本都是吐槽她的你觉得是网友想多了吗虞书欣和长江七号合照
1702455256# #12.16号时代少年团湖南活动楼丝现在就已经开始拖家带口占位了其中还包括线下真人快打真人倒地装病等行为太疯狂了。。。。。刘耀文丁程鑫张真源马嘉祺宋亚轩严浩翔贺峻霖你为谁拼过命
1696423603# #肖战王一博同款白发造型你磕到了吗肖战平安喜乐香奈儿发了王一博单人照
1688358272# #JYP否认李俊昊林允儿恋情JYP否认李俊昊林允儿恋情
1687519535# #张译去不去白玉兰救命张译没来白玉兰但张颂文来了这是避嫌吗？？
1695797172# #寒国人真的很抽象。。。
1696428817# #刘宇国风大典造型来了有种陌上人如玉公子世无双的感觉
1687667120# #孟美岐说受到了很多伤害你觉得孟美岐值得同情吗她称自己这两年受到的伤害是别人一辈子都不会碰到的
1701949499# #王一博刘冲同船我去王一博居然和GQ总监一起同船这个咖位不用我多说了吧
1704033302# #王一博跨年造型高级的审美高级的人
1692798247# #有网友觉得檀健次被《长相思》这部剧坑惨了，你觉得是这样吗
1696469484# #泰国女学生称自己打算找个西方老男人结婚。。。这算不算是理解Lisa，成为Lisa，超越Lisa。。。
1703496193# #转发这条微博，昵称后面会有小星星⭐许个星愿
1695287940# #鹿晗肖战Gucci最新物料好有少年感的两个人
1695893934# #王俊凯cl大秀预热白色西装尽显霸总风范
1692705646# #邓为华伦天奴邓为因为手毛太长被网友吐槽不讲卫生
1689420802# #妈呀小蜘蛛你。。。现在欧美圈给我感觉就是不分性别不分人的随时随地就能doi。。。荷兰弟你拍这个赞达亚知道吗
1689693352# #TFBOYS十年之约西安演唱会观演指南。。王俊凯易烊千玺王源你为谁而来西安发的TFBOYS演唱会观演指南
1701856884# #金泰亨Jennie分手上午续约下午分手韩网爆料权志龙净资产达3.12亿大粉透露权志龙承诺Jennie如果回到他身边就把这3.12亿全都给她没有她的夜晚志龙真的不行夜夜买醉到天明jennie大粉表示Jennie也有点心软松口了就是不知道是为了旧爱还是旧爱的钞能力
1701433414# #来看韩国世博会宣传片竟然是kpop主题。。。真是完全想不到。。。。。历史悠久的国宝级kpop音乐。。。全球熟知的顶级爱豆和演员的倾力推荐。。。酷炫的AE入门特效。。。打几分。。。
1689905689# #杨洋老师到底坐的是地铁还是公交。。。
1699452217# #金智媛开头走路那段是刘Rachel继承家族产业后以总裁身份出席活动（后面比心的毫无疑问是我们缺宝抱一抱金智媛老公姐
1688356654# #蔡徐坤终于回应了他称希望大家尊重c女士个人隐私这算不算有担当蔡徐坤回应
1691577002# #解锁吴磊的新ID恭喜吴磊代言上汽大众ID.3，上汽大众ID.3真的太火热了，7月销量破万。外观可爱潮趣，配色都很漂亮。后置后驱的电动小钢炮，过弯也灵巧，在市区太好开了。内饰设计我也很喜欢，搭载了智能语音系统，10英寸的悬浮式中控屏彰显科技感满满，目前价格为12.59万元起，一定不能错过！
1693232538# #刘惜君在音乐节上的妆造被网友吐槽了网友称她有点刻意还让她好好练练身材你觉得是网友严格了吗
1702814870# #迪丽热巴红毯迷路迪丽热巴内场侧颜迪丽热巴怼脸直拍来看状态
1688472761# #秦牛正威回应为了男友改名秦牛正威为了男友改名引起热议网友称她去掉了名字里妈妈的姓就为了跟男人适配，这个姐真的绝了，亏自己以前还真情实感同情过她，这不纯纯恋爱脑吗。。你怎么看待网友的看法
1687702134# #虞书欣一天喝了三杯冰美式虞书欣因为一天喝了三杯冰美式上热搜被网友疯狂吐槽虞书欣现在的风评这么差了吗
1701863791# #我去楼的嫂子？？？这是大粉脱粉回踩吗？？？
1700490829# #刘宇宁《珠帘玉幕》最新路透来看状态
1696943835# #于适这么好的身材原来也需要p图事业心太重了于适P了肩膀
1690550374# #玖月晞你。。。
1688308931# #风雨欲来。。。
1691760050# #如何评价成毅跳舞。。。成毅跳舞头比身体努力
1702131095# #一念关山修图柠萌影视发了刘诗诗桃发了刘宇宁看来一念关山双方都和好了大家这下满意了吧
1703599842# #枭起青壤还真没准是刘宇宁出演男主
1693746107# #任敏：我可是瘦了，别把我拍出双下巴
1699538943# #鹿晗张艺兴黄子韬目前算是一个咖位的吗
1692152333# #魏大勋家和王鹤棣家到底咋了。。。
1696055863# #Lisa妆容Lisa疯马秀细节repoLisa把自己胸前的黑色丝巾解开扔到三公子身上现场的观众都纷纷尖叫仿佛来到了两人的结婚现场
1700301694# #我去费沁源称自己在青春有你时被霸凌了就因为没跟对方打招呼霸凌者大概率是来自我曾是少年那一组。。。
1700557101# #古偶男女主年龄排序有些加起来都70多了。。。
1689909361# #任何人没看过杨洋自拍教学的我都会失望
1700975324# #白鹿轻舟已过万重山我去因为白鹿的一句“轻舟已过万重山”网友全在骂她这是怎么了。。。
1696169427# #杨紫G社生图来了状态打几分巴黎偶遇杨紫
1687249039# #王一博改代表作王一博因为在书名号里还加了顿号又被网友吐槽知识水平不够高你怎么看
1693559533# #王一博易烊千玺被金鹿奖提名网友称是最震撼的两个提名你被震撼到了吗
1702736791# #白鹿哭了，镜头里张凌赫一直没有伸手安慰，结果现场拍到了一起鞠躬的时侯，手放在她背后的时侯才偷偷拍了拍她，随后白鹿也回拍了张凌赫这算不算双向奔赴！！！白鹿张凌赫还原苦果亦是果
1702646296# #不是白鹿和张凌赫的粉丝是不是说好了一人一边这铺上红毯就是婚礼现场啊
1690983986# #范丞丞冲浪第一线网友称他是不是在内涵杨洋老师。。。
1692434878# #秦牛正威带货翻车怼网友网友称秦牛正威现在怎么这样了。。。买她的东西还这种回应。。。有点高高在上的感觉。。。网上对她的好感一落千丈。。。。。你觉得是网友严格了吗
1689931870# #TFBOYS官博在线我的天刚刚TFBOYS官博上线这是为王俊凯易烊千玺王源的演唱会预热吗
1699714241# #张艺兴演唱会张艺兴伴舞啊啊啊网友称张艺兴这是在致敬徒儿坤坤吗
1689431144# #她超爱。。。杨洋王楚然
1693226201# #网友称李泰容怎么老是这样白斩鸡一只还经常露身材你觉得是网友严格了吗你觉得这身材打几分
1694084440# #边伯贤被发现室内抽烟后立马编辑重发因为他害怕自己跟都暻秀一样变成人人喊打的老鼠。。大粉透露边伯贤出道前就抽烟成瘾只不过这些黑料被他们洗白了
1694749168# #我滴妈TF三代家族演唱会变更演出曲目未报批被罚了6万而且张泽禹、张峻豪演唱的两首歌曲不在备案曲目之内这是咋回事。。。tf家族演唱会举办方被罚6万
1693973283# #看起来至少异人之下的名场面全都保留了，王也单挑武侯门，奇门对决巅峰战，甲申之乱全性攻山，想看的都在，👖你是有东西的
1699536314# #赵露思唱歌赵露思应该是真唱了这个唱功在内娱是什么水平
1702902193# #刘诗诗这钱真的非赚不可吗。。。一念关山癫剧
1689051871# #有网友总结了杨洋演技三板斧分别是：皱眉眯眼抿嘴你觉得形象吗
1700031925# #当张元英失去眼妆你还觉得她美吗
1693207523# #S.M新男团RIIZE今日份营业照打几分。。。
1702100132# #刘诗诗编辑记录刘诗诗戏份爱奇艺转发刘诗诗微博我去爱奇艺居然转发刘诗诗的微博好抓马而且女主原剧里的打算给孩子取名叫任小船（女主姓任，男主名舟），现在只叫任小树了。。。我仿佛已经看到血流成河了。。。
1703240615# #喻言这玫瑰花伞是不是借鉴了刘宇上次的想法。。你更喜欢谁的表现力刘宇喻言撞造型
1700923624# #尖叫之夜。。尖叫男神：王鹤棣尖叫女神：白鹿
1696147031# #“在国外不小心横穿马路然后被帅警察惩罚了”
1696033359# #田柾国被曝与女生背后拥抱视频大粉透露田柾国撒谎恶行上半年在直播说自己几个月没工作粉丝大虐到处说被囚禁在家实际上在家美美猴急抱美女抓胸没有起错的外号野猪就是野猪还是那么喜欢背后抱细节分析：。1.可视门铃和开关一样。2.沙发一样。3.野人发型一样。4.狗一样。。据说现在田柾国最大站姐敢姐
1688363753# #秦牛正威订婚在这关键时刻秦牛正威订婚
1692605840# #张元英横渡菲律宾回山东老家赶海
1699709993# #王源清唱了《多云转晴又转阴》这唱功什么水平
1700062179# #《难哄》男女主已定：宋威龙卢昱晓宋威龙卢昱晓难哄
1697022295# #来看看黄明昊跳smoke如何评价。。。
1698760333# #李泰民专辑pb内页打几分
1698733494# #浪姐2024第一轮邀请嘉宾沟通情况
1692424969# #我的妈Angelababy出场阵仗好大啊。。。
1690552015# #杨洋老师：挺撩的
1697443125# #被二次元富婆震撼到了。。。价值150w的周边。。。还可以分期。。。一年内付清110w半年内100w。。。
1696078076# #安宥真真有你的偷完春节偷中秋目前中粉都表示已脱粉
1688869862# #韩综也要种地干农活了推出《种瓜得瓜种豆得豆》节目7月底正式开拍10月结束你期待了吗。。常驻嘉宾为：金宇彬李光洙都暻秀金基邦
1697790591# #田柾国tiktok更新田柾国被扒出关注擦边女主播粉丝表示理解并称他为唯一套炮kpop永炮一
1701697047# #李同光人设常华森秒删这是在干嘛。。。
1698848238# #黄铉辰李龙馥麦麸如同上刑像是碰到了什么脏东西一样
1701762995# #鹿晗张艺兴顶峰相见目前两人的新歌都上了榜单你觉得谁的更好听
1686977487# #联合调查组认定饭菜中异物是鼠头救命不是鸭脖是鼠头同学要有阴影了。。。
1697543289# #真的有点封神了这瓜。。。
1688876618# #玩偶居然也能私联。。。
1701933144# #去看福宝最后搞上了爷宝。。。。
1695042216# #黄礼志的眼睛因为玩手机玩太多已经变成内斜视了看完你还敢玩手机吗
1698672305# #徐穗珍ins拉黑了中国簪子相关评论这算不算此地无银三百两
1694263332# #Lisa疯马秀疑似锁票Lisa上疯马秀带来的影响太可怕。。。其他兢兢业业打工的女爱豆们也很惨身上各种恶意和偏见更重了。。。
1695775045# #张婧仪赵今麦张凌赫G社生图被谁惊艳到
1698397253# #王一博是不是未来可期横店电影节给他的标签已经是新晋金鸡奖提名演员王一博新晋金鸡奖提名演员
1693211160# #南韩爱豆群聊
1697855868# #TXT所属公司BigHitMusic21日表示：组合TOMORROWXTOGETHER将出现在日本人气动画片《蜡笔小新》中。
1689308556# #王俊凯五月天嘉宾我去王俊凯要去当五月天嘉宾？？？你期待了吗
1699450439# #西村力：他🐴的我几时喜欢你
1699710824# #金玟庭真的是红发海妖美极了苦涩苦涩苦涩
1686926589# #TFBOYS十年之约喝的水也很讲究王俊凯王源易烊千玺粉丝喝的水
1694740582# #Enhypen朴综星抠脚后还把手伸到牙齿里涂抹了一下让脚的味道充满口腔好让自己回味一天这种提神方法还蛮实用的你学会了吗朴综星抠脚
1691314952# #TFBOYS彩排时眼圈泛红王俊凯王源易烊千玺十周年演唱会造型被谁帅到
1699709775# #宁艺卓大五官的冲击力太牛了感觉这几张跟她的名字好适合“灼灼其华”怎么能美成这样苦涩苦涩苦涩
1699973885# #我滴妈王一博将出席尖叫之夜但肖战方表示不出席这下博君一肖凑不到一起了你觉得可惜吗
1695183231# #金泰亨表演欲还蛮强的大粉透露因为他以前爱看西游记所以爱模仿猴哥大粉强烈建议队友和粉丝在他模仿的时候都不要骚动请理性观看因为泰亨具有比较强的攻击性大家注意自身安全！
1687842439# #今天能等到蔡徐坤工作室的回应吗你还相信哥哥吗
1693635129# #肖战终于露腹肌了肖战浴袍来了有被哥哥身材吸引吗
1691500560# #内娱有自己的张元英
1702286223# #好多人都在提名刘宇宁去演秦始皇这身高气质有内味了吗
1696756338# #开始以为是吐槽凑字数。。。定睛一看。。。画面感很强。。。
1699756998# #由梁朝伟王一博主演的《无名》入围金莲花奖王一博算不算未来可期
1702631160# #肖战细节做的真好在健身房公共器械底下垫了毛巾这个行为好加分
1699261712# #网友称自己因为发了一张仓鼠吃大香蕉的图片被郭敬明拉黑了你觉得是不是网友太过分了李枫郭敬明
1696303621# #大粉脱粉回踩NCT李楷灿私联美女粉丝透露行业潜规则：他表示自己故意跟粉丝在一起拍照粉丝再拿照片拿去卖钱还很猴急的跟美女粉丝说下次不要打电话了直接见面。。。。。我滴妈怎么比田柾国还猴急田柾国好歹还准备好几张床垫打打氛围灯李楷灿一点不用心！活该人气比不过田柾国
1694359894# #网友吐槽鸟叔真的没下限这种造型明显在物化女性你怎么看
1702810607# #棣欣引力破防我滴妈因为王鹤棣拉田曦薇现在棣欣引力直接破防了这是把虞书欣放哪里啊
1702797574# #我大概能体会到内娱嫂子是什么感觉了内娱嫂子是什么感觉
1696860619# #浪姐5拟邀名单出来了居然还有rose你期待了吗网传浪姐5将邀请朴彩英
1701147016# #我去这是华晨宇？？？还以为是哪个女明星太精致了
1690520827# #邓为随地乱扔烟头邓为为自己随地乱扔扔烟头道歉了随后网友总结了男星没素质行为统计表来看看有你熟悉的吗
1702036820# #我去后知后觉的糖白鹿好像在玩张凌赫的流苏这下cpf又纷纷表示磕到了大家都是白年好赫play的一环！！！
1692025393# #Lisa被中粉拍到与三公子在候机室甜蜜等机。。粉丝称lisa是懂得怎么背刺自己的花钱澄清了个寂寞照这架势后面的锤会越来越多的因为很明显这就是lisa就是想公开的那个逼宫的心好明显Lisa疑似与绯闻男友出游度假
1687707334# #网友质疑蔡徐坤是看不上普通粉丝吗居然请了个网红芭拉芭拉上来互动不仅贴身拥抱还有十指紧扣粉丝也都在骂这波操作真的掉粉很多到底是怎么想的啊
1697591926# #吴楚一在支持陈牧驰的同时还不忘给尚雯婕点赞赞赞赞
1688186685# #李彩煐和卢知宣来真的啊？？？
1687787435# #偷偷藏不住大冰老师和偷偷藏不住的适配度好高
1692870443# #网友称叶舒华为啥要这样啊。。。搞得队友和底下观众都好尴尬。。。真的上不了台面。。。
1691026825# #金智秀安普贤承认恋爱随着金智秀承认恋爱团粉纷纷骂Jennie没担当明明被拍到和金泰亨权志龙kai都恋爱过还不如智秀勇敢据大粉透露Jennie也将在随后公布恋情并宣布与白马王子踏入婚姻殿堂
1699604470# #我去柳智敏x安宥真Dramachallenge来了
1692781889# #哪个缺得网友建的话题居然问易烊千玺为什么不包场周冬雨的电影。。。
1691816212# #网友称Seventeen权顺荣曾发言：准备生几个孩子，生孩子生到没力气为止。。真的不敢相信他能说出这种话。。。比要生几个孩子还炸裂，又不是他生。。。
1689753511# #杨洋谁说杨洋演技差？？？这不是一模一样
1697546128# #新角色进场男嫂子吴楚一要求陈牧驰公开道歉
1699450216# #啊啊啊啊啊啊啊啊啊
1695786734# #刘宇宁真的不能给赵露思做搭档吗为啥粉丝都在抵制刘宇宁与赵露思合作刘宇宁真的这么差吗
1703766280# #原来小狗都是这么自拍的啊
1690284453# #TFBOYS称此次不参与任何形式应援包括灯牌花墙旗帜等随后易烊千玺王俊凯王源纷纷转发响应你支持他们吗
1703599522# #网友发问：这哪个明星怎么还有人在后面帮他捡鞋
1695530258# #喻言虞书欣米兰时装周合作被哪个人美到虞书欣喻言合照
1696250983# #田柾国澄清没有女朋友大粉透露田柾国曾说到：“我发誓我没有女朋友！如果有！金泰亨会替我进监狱！嫂子Jennie也可以给我证明！”
1700358340# #苏新皓真有你的。。。
1691808122# #洪知秀洪知秀已经不是第一次恋爱被抓了。。。
1694181684# #“她就是李艺彤前妻吗”黄婷婷未婚谢谢
1692705958# #网友称内娱真的应该珍惜这张脸
1687050201# #蔡徐坤演唱会如何评价蔡徐坤这个演唱会舞台表现
1698238908# #权志龙涉嫌吸毒被立案突然想起这两张动图了。。。原来田柾国的忙内金泰亨的未婚妻Jennie的前初恋权志龙身上痒是有原因的。。。
1693820045# #王俊凯参加文艺志愿者协会代表大会我的天王俊凯参加文艺志愿者协会代表大会易烊千玺成为怀化市形象代表这算不算一起成长双向奔赴
1694758127# #邓为到底像谁？？？
1699523428# #这是什么发言？？？
1694946613# #我滴妈aespa全员被拍到去看BLACKPINK的演唱会了美女与美女之间的梦幻联动！！！aespaBLACKPINK演唱会
1698846434# #网友称马嘉祺好像溜肩有点严重量了一下132度你觉得是网友严格了吗
1691028674# #张艺兴流量没什么意义张艺兴和鹿晗相比到底谁是流量谁是实力演员
1696495821# #王承渲在lisa疯马秀ins照片下发了心心心。网友称她是不想在内娱混了吗你觉得是网友严格了吗爱豆不能评价lisa吗
1686986111# #Jennie到底在干什么啊演唱会舞台上也能睡着走神粉丝称rose小心翼翼的去提醒她她才反应过来轮到她这一part了还白眼了一下rose最后懒懒散散的走上了台阶也有粉丝解释道可能是跟金泰亨吵架了心情不好可以理解你怎么看Jennie是前一天爬山太累了吗
1687251090# #网友称成毅坐轮椅的时候像在吹口哨
1699882204# #柳智敏今日打歌的时候自己发现衣服上有针存留这也太危险了万一戳到。。。
1703910398# #导演挂名看到大家猜测郑晓龙可能只是挂名然后吐槽其他人我觉得根本没必要啊其实最要紧的还是关注剧本身期待肖战和张婧仪就足够了
1688453643# #网友称为什么排泄关键词也会有肖战出现。。。
1688479251# #救命。。dy上一对网红拉拉分手，p（小呛）把t（十一五）的未修照片爆了出来，原图真的很令人吃惊，而且品行恶劣辱女。。。
1694702266# #我滴妈刘雨昕什么时候这么厉害了高定32套高定特别定制9套排在女明星第一位
1694186347# #卡黄轰轰烈烈地BE了黄婷婷未婚谢谢卡黄之前有多爱现在就有多恨爱的轰轰烈烈恨的也世人皆知。。。
1688817603# #花傲天上场华晨宇上场打比赛被网友吐槽了网友称玩的是依托答辩在玩什么都不知道甚至还有工作人员专门给他补光看不懂的操作。。你觉得选手打游戏补光正常吗华晨宇的表现如何客观说一下
1702823636# #星光大赏我去吴宣仪孟美岐不仅内场坐在一起而且唱歌的时候还深情互动了美宣是真的！！！苦涩苦涩苦涩
1691045614# #现在就连熊猫也要出小卡了吗。。。一共22种随机2张小卡。。。
1690263806# #救命，看完这期密室大逃脱幽岭传说预告真的好刺激！杨幂、大张伟、黄明昊、许凯、张国伟、彭昱畅化身大理寺和六扇门成员潜入清风别苑调查真相，预告里嗷嗷叫的声音盲猜又是soso和彭彭的哈哈哈哈哈哈哈密室大逃脱
1697781233# #骗婚真的不重要吗哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1695367322# #刘志宏老婆求婚视频受不了。。。怎么什么都往网上发啊。。。球球你们见外一点吧。。。
1701698592# #我去原来刘耀文的恋爱瓜是有人在ins盗图造谣的这算不算无妄之灾dullcherry刘耀文
1699515888# #迪丽热巴今日dior造型是应援色啊有被美到吗迪丽热巴infj
1702865547# #迪丽热巴粉丝都在吐槽工作室认为昨天给迪丽热巴的妆容太差劲，底妆不干净，画的也显老甚至都比不上杨紫迪丽热巴领奖走成t台迪丽热巴王鹤棣同框迪丽热巴化妆师点赞
1695736831# #迪丽热巴与金智秀待遇对比你觉得是品牌方不懂咖位吗金智秀待遇
1700012738# #陈牧驰在机场哭了有网友发现陈牧驰在机场眼含热泪好像确实受了很大的委屈你心疼了吗
1691247309# #我去易烊千玺和王源十周年都是橙色头发那王俊凯也会是吗？？？！！！
1696418344# #你敢信恩静已经35岁了？？？这状态也太能打了
1694354881# #大粉爆料kep1er现状：江崎光从出道到现在一直只能睡沙发睡了快两年kep1er江崎光睡了快两年沙发
1696646412# #TXT害人不浅。。。
1691493412# #凤凰天使凤凰天使是切错号了吗。。。
1689079874# #白鹿鞠婧祎同框谁赢了
1698927140# #一个帅桃一个帅桃回应了全文只看到六个字：八套有不止
1695174231# #金智秀参演电影《天博士与失落的护身符》饰演韩国传统仙女造型已出打几分金智秀新电影造型
1699191175# #今日aespa晚安演唱会舞台被谁美到。。金玟庭柳智敏宁艺卓Giselle
1697256972# #港版《社内相亲》已开拍男主为香港顶流团mirror的成员卢瀚霆你期待了吗香港翻拍的社内相亲
1698137758# #很多人都敢说韩安冉已全面超车汪峰
1699541072# #网友再次放出鹿晗张艺兴黄子韬实绩来看看谁才是一骑绝尘谁才是铁back
1688994726# #王一博新电影哭戏什么水平
1695638182# #王俊凯用机票挡镜头王俊凯还蛮酷的用机票挡了很多人路人的镜头霸总气质你感受到了吗
1695178206# #王俊凯王源同款舞台跷二郎腿动作被谁帅到
1690773838# #网友称刘宇宁把姐弟恋演出了找老爹的感觉来看看像不像。。。
1693893223# #杜华对话狗仔称自己曾对孟美岐恋情棒打鸳鸯，只是因为觉得男生（陈令韬）不靠谱。。孟美岐这辈子与陈令韬谈恋爱你觉得算不算污点杜华曾让孟美岐和陈令韬分手
1700801104# #吃块红绿水果的红包有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
1704083200# #不是你们霉粉这是在干嘛。。。
1688877005# #网友称为什么seventeen看起来臭臭的。。。
1702543096# #俺们“低音”格格不入了doge
1695456847# #刘雨昕素颜自拍这个颜值是不是超越大部分女明星了
1695267343# #范丞丞“出逃”甘肃博物馆
1699752860# #王俊凯王源再发糖：你歌里的蜻蜓被我画在肩膀你磕到了吗
1701437717# #王俊凯力挺王源前几天王源被传和绯闻女友去巴黎约会，之后王俊凯发了巴黎游客照。。。还有张很相似的构图。。。凯源发糖
1702124240# #于适李云迪前妻我去于适居然从马背上摔下来了好危险啊哪怕再顶级的马术师也会有不可控的时候
1703931200# #成毅湖南卫视跨年一身白衣帅死谁了苦涩苦涩苦涩成毅彩排
1699603946# #虞书欣今日线下活动生图打几分虞书欣红色小猫咪
1696743091# #现在国外都这么宠粉吗？？？美国rapper歌手把粉丝邀请上台然后往她嘴里吐口水这算不算奖励。。。
1688366379# #蔡徐坤公关我去这是在干嘛人设好像立不住了
1689910612# #说的是许沁吧
1701604051# #我去刘宇还挺适合这种风格的西域王子绝了
1691584152# #姜思达现在真的好有女人味啊你爱了吗
1694078692# #央视直接点名袁冰妍
1700962494# #来看即将出道的次弟颜值打几分
1689576997# #有网友盘点了杨超越出道几年的作品，还是挺有自己想法的
1700026966# #爱奇艺尖叫之夜第二波阵容我滴妈杨幂魏大勋秦岚王鹤棣虞书欣田曦薇罗一舟唐九洲肖顺尧曾舜晞同框？？？这下真的有好戏看了
