1688844731# #挨打的是乌军第23机械化旅
1692989895# #俄乌局势新进展。CNN报道。️俄罗斯持续不断的空袭不允许乌克兰武装部队向扎波罗热前线推进-。。一名在扎波罗热地区南部前线服役的乌克兰武装部队军官告诉该报，乌克兰部队“几乎到达”俄罗斯的主要防线，但在进一步推进之前还存在许多问题。。💬“一天24小时，每天大约有十几次空袭。无人机昼夜不停
1703499947# #俄乌局势新进展。22日，死于俄军一次进攻行动的乌克兰军人
1701220515# #俄乌局势新进展。2022年春季与乌克兰谈判的俄罗斯代表团团长弗拉基米尔·梅丁斯基解密当时俄方提出的与乌克兰缔结和平的条件。。“如果特别军事行动的目标得以实现，与乌克兰缔结和平是可能的。”。。梅丁斯基关于与基辅政权谈判的其他内容：。。➖2022年4月，当俄罗斯联邦和乌克兰之间的协议文本准备就绪
1697986618# #巴以冲突。近两天在对以作战中牺牲的黎巴嫩真主党战士
1688551297# #俄乌局势新进展俄罗斯。嘻嘻。《法兰克福汇报》报道，80%的外国公司没有离开俄罗斯，其中，德国公司排在第二位。具有讽刺意味的是，排在第一位的是美国公司。
1691215246# #俄罗斯俄乌局势新进展。乌友快来为这数字高兴高兴挖鼻。️基辅和莫斯科交换前线阵亡者的尸体。“是的，确实，今天的尸体交换是通过国防部进行的。我们向乌克兰方面移交了44具尸体，并收到了160具俄军阵亡者尸体。”国家杜马代表、乌克兰军事行动议会协调小组代表沙姆赛尔·萨拉利耶夫表示。。8月4
1687067317# #俄乌局势新进展。合影留证。M2怎么着也值一两万卢布，国防部别赖账
1690987381# #果军，一模一样
1696131016# #俄乌局势新进展。纽时：中国减少了对乌克兰的无人机及其零部件的销售。。。据了解，9月1日起，中国对无人机出口实施管制，企业发货数量减少。。。《纽约时报》的文章称：“一些乌克兰人被迫乞讨、借用和走私他们所需的物品，以补偿空中被击落的小玩意。”。。该报还指出，根据英国皇家国防与安全研究所的估
1702691429# #巴以冲突。也门首都萨那百万人集会：“与加沙一起走向胜利”。
1689764470# #俄乌局势新进展俄罗斯。这名乌军的155毫米“螃蟹”自行榴炮的炮组兵活下来的机会应该不大了。。库皮扬斯克方向
1691756056# #医疗反腐。关于这个热点，简单点说：。能不能学学有些国家，比如俄罗斯，实行医药分家？。医药分家是杜绝医生受贿，让患者少花钱，让国家医保少被骗的唯一途径。除此，别无他法。
1689062271# #俄乌局势新进展俄罗斯。普京签署了一项法律，允许在特殊军事行动中与俄罗斯武装力量签约的外国人通过简化程序获得居留许可，并允许高素质的外国专家获得无限期居留许可。。。通过的法律也适用于家庭成员--如果军人死亡，其配偶、子女和父母有权通过简化程序获得居留证。
1701054463# #俄乌局势新进展。开盘，。泽连斯基与扎总的斗争谁将会是最后的胜利者？。我看好扎总嘻嘻
1690692726# #诺列加有话说！
1689762819# #俄罗斯俄乌局势新进展。敖德萨市市长根纳季-特鲁哈诺夫宣布，自俄罗斯在乌克兰的特别军事行动开始以来，该市遭受了最大规模的袭击。。。"最可怕的夜晚之一....特鲁哈诺夫说："我们不记得自全面入侵开始以来发生过如此大规模的袭击。
1693354159# #俄乌局势新进展。西媒搞笑“物理学”：乌克兰基辅决策中心被导弹打击发生在特别军事行动区，但北约将军死在乌克兰境外。。▪️让我们从美国陆军将军安东尼·波茨开始。他的飞机在马里兰州坠毁。在田野里只发现了一株玉米植株的残骸。没有目击者🤷‍♀️。。▪️法国将军让-路易斯·乔治林在独自穿越比利
1691392712# #俄乌局势新进展。🇪🇺欧洲企业因反俄制裁损失1000亿美元——英国《金融时报》。。自乌克兰专项行动开始以来，176家欧盟企业营业额大幅减少。公司资产贬值，成本增加。。1000亿的总量是在没有考虑天然气和其他原材料价格上涨的情况下计算的。。但“制裁正在发挥作用，”他们说。。。PS：这里统计的仅
1703146134# #转发微博
1703012838# #俄乌局势新进展。稍早前小泽利亚专门介绍今年业绩的新闻发布会。。。从他的陈述来看：。–扎总提议额外动员50万人，他要求扎总提供需要动员的理由。–军方将制定一项全面计划并提交最高拉达审议。。这种形式的动员将花费5000亿格里夫纳。。–俄罗斯今年没有取得任何成果。我说的是2023年。–乌克兰将
1701856072# #俄乌局势新进展。帝国甩锅更多细节。为什么反攻没有按计划进行-华盛顿邮报。华邮采访了30多名美国和乌克兰官员，以及20多名前线官兵。。乌克兰、美国和英国军队进行了8场大型棋盘战争游戏来制定战役计划。。五角大楼希望阻止俄罗斯在4月中旬加强防御并发动攻势。美国主张沿南轴线进行有针对性的进攻
1696221271# #俄乌局势新进展。克列谢耶夫卡附近，抵御俄军进攻的俩乌军蹲坑兵惨遭FPV击杀。。貌似有肢体被炸飞
1697574146# #巴以冲突以色列轰炸加沙医院造成重大伤亡。在医院大屠杀中幸存的儿童安慰另一名重伤儿童
1695550008# #俄乌局势新进展。在一架被击落的乌克兰自制无人机上...发现了俄罗斯抗干扰卫星信号接收器“彗星”。。。这种电战装置被俄军工联合体用于安装在本地化生产的“天竺葵-2”、带有UMPC的滑翔航空炸弹和其他产品中。。。显然，乌克兰武装部队从俄军坠落的无人机或失效的炸弹中取出了彗星，并将其安装在他们的
1689686096# #恭喜，至少还可活半年
1692414200# #俄乌局势新进展。这意思是西共体还是准备与尼日尔开战？。西非国家经济共同体（ECOWAS）部队对尼日尔局势的干预将是短期的，旨在恢复该国的宪政秩序。。共同体和平与安全事务专员阿卜杜勒·法陶·穆萨赫在加纳首都阿克拉举行共同体国家武装部队总参谋长会议后发表上述言论。。。一，盲目自信，认为推翻尼日
1697487167# #巴以冲突。紧急集合准备进入加沙的以军士兵。dogedoge
1689059888# #就靠这个吸粉，传统技能
1691223590# #俄乌局势新进展。海狸小队再出发，FPV猎乌军
1691922452# #这货是男还是女？
1701534470# #俄乌局势新进展基辛格逝世。基辛格泉下有知，应该松了口气吧？嘻嘻。。亨利·基辛格由于已经身故，被从乌克兰“和平缔造者”数据库中除名，基辛格于2022年5月因“参与针对乌克兰的俄罗斯特别信息行动”而作为黑名单被列入该数据库。在该网站的数据库中，他被指定为“俄罗斯政府对乌克兰及其公民
1690188151# #俄乌局势新进展俄罗斯。。巴赫穆特以南，乌克兰纳粹武装“亚速”第3突击旅冲入一处俄军废弃阵地后遭到俄军炮决。。蓝盔那位恐怕是当场就挂了
1702098340# #问题在于完全没有对方回火声。
1697811544# #前些日子天天在我头上飞
1696156080# #俄乌局势新进展。在哈尔科夫地区，俄军继续不断努力阻止乌克兰武装部队在与俄罗斯接壤的边境地区活动。。。西部军区的侦察兵在沃尔昌斯克市找到了两个乌克兰武装部队临时部署点和一个后勤仓库。俄军炮兵使用“红土地”制导火炮弹药对确定的目标进行了针对性打击。
1700627230# #蜡烛蜡烛蜡烛
1692182760# #俄乌局势新进展。斯瓦托沃～克列缅纳方向，俄军柳叶刀捅坦克。。最近一个星期，俄军发布的柳叶刀打击视频，已经达到了两位数。
1689834743# #这个完全可以报警拉人了，这父母禽兽不如毁人一生啊！
1698300758# #巴以冲突。试水温。昨晚，以军一支装甲纵队越过隔离墙，进入加沙北部郊区。在对巴勒斯坦民房打了几炮后撤离。行动中未遭遇哈马斯还击。
1702525888# #俄乌局势新进展。昨晚热热闹闹的基辅。。录音，未拍摄防空及弹着点场景，不违规。doge。另外，昨晚的敖德萨更为热闹。
1700700275# #俄乌局势新进展巴以冲突。在拉博蒂诺前线战壕里再也醒不过来的乌军
1696879664# #以色列巴勒斯坦冲突。哈马斯将虏获的以色列开拓团成员用拖拉机送往加沙
1697112470# #转发微博
1702525131# #俄乌局势新进展。赫尔松右岸，乌军155毫米M109自行火炮，在用火力支援克林基登陆部队时。被柳叶刀捅了一刀，M109被迫以极其壮观方式告别了乌军。
1688980859# #俄乌局势新进展俄罗斯。俄特别军事行动联合集团军总司令瓦列里-格拉西莫夫听取了俄罗斯空军总参谋长维克托-阿夫扎罗夫上将关于摧毁四个乌克兰弹道目标的报告。。有人可能会疑问，为什么汇报工作的不是空天军总司令苏洛维金？。苏洛维金是俄特别军事行动联合集团军副总司令，目前主要负责特别军事行动
1697786349# #巴以冲突。也门消息来源：也门发射的导弹为圣城-3巡航导弹，目标为以色列南部
1694687450# #俄乌局势新进展。“希特勒青年”。乌克兰新任国防部长乌梅罗夫呼吁在军队中使用16岁青少年。。。原因很明显——动员潜力急剧下降，通常适合条件的征兵类别已接近枯竭——因此，乌克兰军队对尚未被绞碎的残疾人、妇女和儿童的关注日益增加。
1701200073# #俄乌局势新进展。乌克兰，外喀尔巴阡地区的军事登记和征兵办公室。。没有什么可以阻止一个真正热爱自由的乌克兰人想要逃离泽连斯基的屠宰场。
1695203980# #亚美尼亚与阿塞拜疆爆发军事冲突俄乌局势新进展。做了一个阿塞拜疆空军在亚美尼亚宣布投降之前，对纳卡（亚美尼亚）部队阵地、设施和装备进行新一轮打击的视频合集。。基本都是TB-2或TB-2引导打击。。上一次纳卡冲突结束后，亚美尼亚除了在政治上积极靠拢美国之外，国防建设完全处于摆烂状态，面对在
1691120889# #爱玩不玩
1702540060# #俄乌局势新进展。在与摩尔多瓦接壤的边境，搜寻人类货物的霍霍尔拘留了4名乌克兰公民，他们试图打扮成牧师逃离自由民主的乌克兰。计划很简单——伪牧师向蛇头支付每人4000美元，让他们乘船从自由的乌克兰逃到摩尔多瓦。。现在他们将作为战斗牧师前往阿夫迪夫卡。。没有人能够逃离民主的乌克兰。符
1687147807# #俄乌局势新进展。乌军视角，一架身分不明的无人机被击中后直接砸向了乌军阵地
1695342541# #俄乌局势新进展。俄罗斯联邦中央银行报告，1月至8月，俄罗斯银行业盈利2.4万亿卢布，相当于该行业2021年全年创纪录的利润。
1696904683# #以色列巴勒斯坦冲突。哈马斯发布视频展示其在加沙地带建设的地下工程。。用于转移，机动以及防空和储存弹药。。画面可见坑道墙壁上挂着不少莱阳钢管火箭弹
1694572014# #俄乌局势新进展。扎波罗热前线，一群正在挖掘战壕的乌军被俄军炮弹精确命中。。一条大腿飞到了空中
1691148066# #华为忒热衷于欧式建筑，各地的华为中心都是这个味
1688547596# #俄乌局势新进展俄罗斯。7月4日，在各战场挨打的乌克兰军队。。三段画面。1）Ka-52直升机在扎波罗热方向摧毁一辆乌克兰装甲车。。。2）在库皮扬斯克方向，被红土地摁打的乌军。。。3）在巴赫穆特南翼，被俄军炮兵炸到东一个西一堆了结一生的乌军猪突队员。
1694051294# #俄乌局势新进展。拉博蒂诺附近被俄军迫击炮轰没了的数名乌军
1698633292# #巴以冲突。中东战争暴露了欧盟外交政策的裂痕——英国《金融时报》。。中东冲突升级加剧了欧盟内部的分裂。TFT报道称，27个国家分裂为两个阵营，甚至布鲁塞尔的特定政客之间也缺乏团结。。。📊一些国家主张采取强有力的亲以色列立场，而另一些国家则侧重于保护加沙地带的巴勒斯坦平民。。。这些分歧
1699252546# #巴以冲突。截止5号，以色列官方批准在加沙地面行动中的死亡军人为34人
1701736870# #一群试图偷越美国边境进入加州的“走线”蠢货被拘捕
1688572859# #转发微博
1695439554# #你首先得干清楚俄罗斯发动特别军事行动的目的是什么，为什么会有三个阶段的作战计划。为什么会采取守势。为什么以俄罗斯上百万军力，世界数一数二的装甲数量，世界前列的战机数量，它没有采取大规模攻势横扫乌克兰？它有没有获得它最需要的东西？什么是军事服从政治？
1691974983# #俄乌局势新进展。乌克兰冲突对整个欧洲安全构成威胁。美国可以影响解决方案——中国驻柏林大使吴恳。。。这位外交官表示：“如果他们（美国）不积极参与，那么无论中国如何行动，危机都不会很快结束。”。。记者问吴恳，中国能否影响并促使普京在乌克兰问题上第一个与西方会面，就像加勒比海危机时，赫鲁
1701714607# #巴以冲突。以色列国防军官方发布。以色列国防军表示，过去几个小时，部队与加沙地带的哈马斯武装之间发生了“激烈战斗”。。画面为以军第601工兵营与哈马斯武装作战的视频，哈马斯武装昨天在大楼内向他们开枪。。战斗中，两名以军士兵阵亡，另外两名士兵受伤。
1695363120# #……真，真人秀.jpg
1689148637# #大概率会嘻嘻
1691282131# #俄乌局势新进展。俄罗斯巨魔整活。拜登牌纸尿裤出现在远东货架上嘻嘻。在哈巴罗夫斯克一家超市，货架上发现了标有美国总统形象的纸尿裤。
1701535015# #德国慕尼黑机场，雪太大，飞机耍赖一屁股坐地上拒绝起飞。
1699250347# #巴以冲突。包皮佬又造假！。以军声称在医院附近发现了一条隧道，但实际上从以军提供的工程图和照片就可以证明，这是一个类似于加油站使用的燃料库。
1688170165# #俄罗斯俄乌局势新进展。特朗普表示，解决乌克兰冲突的时候到了。。。“我认为美国现在需要做的最重要的事情就是实现和平，让俄罗斯和乌克兰走到一起实现和平。现在是时候这样做了，让双方走到一起，实现和平。”特朗普说道。
1696346310# #我去这个才29？！
1688007985# #俄罗斯俄乌局势新进展。快了快了嘻嘻。白宫表示，拜登必须戴着压缩机面罩睡觉。。。这位美国总统最近几天出现在公众面前，脸上有神秘的凹痕。原来，拜登在睡觉时就开始使用呼吸机。因此，拜登正在与呼吸骤停作斗争摊手
1694748141# #毕竟野鸡台传统降智艺能
1689398840# #俄乌局势新进展俄罗斯。乌军高机动防空系统：双联装马克西姆搭枪卡
1691838137# #俄乌局势新进展。️下午1点左右，基辅政权试图对克里米亚大桥发动恐怖袭击。-俄国防部。（烟雾为俄方施放）。▪️他们试图用改装成打击版的防空导弹S-200进行打击。。▪️乌克兰导弹被俄罗斯防空系统及时发现并在空中拦截。。▪️无损坏或人员伤亡。
1695518322# #俄乌局势新进展。俄罗斯联邦国防部关于特别军事行动进展情况汇总（2023年9月17日至9月23日期间）。。简报要点：。。——俄罗斯武装部队一周内击退乌克兰武装部队向克拉斯诺利曼方向发动的15次袭击；。。——一周内，俄罗斯武装部队对乌克兰武装部队飞机维修设施和外国雇佣兵住宿点进行了12次集体袭击；。。—
1687605603# #俄乌局势新进展。。PMC瓦格纳纵队穿越沃罗涅日和利佩茨克地区的进展图。。。普里戈津的明显目标是莫斯科。
1695190550# #俄乌局势新进展。2023.9.20。扎波罗热方向，奥列霍夫地区激烈战斗仍在继续。俄罗斯之春战地记者：主要战斗现在发生在拉博蒂诺和韦尔博沃伊附近。。。在这里，乌军袭击了俄军前沿指挥所，并试图发动大规模进攻。。因此，在新普罗科波夫卡和韦尔博维之间，在榴弹炮和多管火箭炮的积极支援下，坦克和布拉德利
1687832946# #两名精神小伙向一队全副武装的警察发起自杀式攻击。貌似巴西
1700186070# #俄乌局势新进展巴以冲突。俄军“自爆装甲”冲击乌军阵地失败。。没料到反坦克地雷半道截胡doge
1698246835# #被种草了这么多，还是这家最靠谱
1699004597# #转发微博
1695430349# #俄乌局势新进展。匈牙利外长彼得·西雅尔多表示，对俄罗斯的制裁不起作用，“他们失败了”。。。西雅尔托在纽约举行的联合国大会高级别会议期间与俄罗斯外长拉夫罗夫进行谈判后向记者分享了这一观点。
1693138348# #俄乌局势新进展。一天之内，近700名乌军被击毙。俄罗斯联邦国防部关于特别军事行动进展的报告（截至2023年8月27日）：。。-俄罗斯空天军战斗机在扎波罗热地区击落乌克兰武装部队一架Mi-8直升机；。。-俄罗斯联邦武装部队使用高精度武器夜间打击了基辅地区平丘科夫地区的一个机场，目标达到；。。-俄罗斯
1687813620# #俄罗斯。国家杜马国防委员会主席安德烈·卡尔塔波洛夫表示，瓦格纳PMC可能会发生变化，私人军事公司的成员，无论是个人还是单位成员，都将与俄罗斯国防部签订合同。。。“我认为它（PMC）至少会发生变化。以各种方式：内部结构、数量、安全和从属关系都会发生变化，”
1696683236# #俄乌局势新进展。今天突击以色列境内的哈马斯空降部队doge
1695893524# #挖鼻
1699713636# #脸皮够厚，这是在配合以色列“必须由可靠部队控制加沙”的动作。什么性质？大家想
1696880971# #以色列巴勒斯坦冲突。7日上午，哈马斯武装突击拉法省东部（加沙地带南部）时，与以色列军队坦克和人员展开近距离战斗。。从画面来看，巴勒斯坦人成功缴获了大量装甲车。打死多人，俘虏多人。
1693530952# #俄乌局势新进展。蹲在定居点地区防御工事内的乌君部队人员遭到俄军猛烈打击的镜头。伊万诺夫斯科耶沿索莱达-巴赫穆特方向
1698563924# #帮你转一发，展示一下什么是盲舔。人没死，手也是不能动的。救援只能抬尸，不能抬伤。这就是舔狗们的逻辑。
1698751292# #俄乌局势新进展巴以冲突。俄军装甲突击队扫荡特鲁多夫斯卡亚矿井通风井区域。。阿夫迪夫卡焦化厂附近。。视频中在第一炮中就已凉透了的乌军，尸体连续遭到俄军坦克炮殴打，可能生前作恶太多吧……
1690790854# #俄罗斯俄乌局势新进展。乌克兰正在寻找自己的（历史）身份并寻求维护自己的身份，一切都会好起来的，这是自然的，但为什么要在新纳粹主义的基础上寻求自己的（班德拉）身份呢？。。普京
1688724389# #飞行员情商真高，这似乎是俄飞传统了，喜欢与地面互动
1695409235# #俄乌局势新进展。黑海舰队前司令强烈呼吁俄罗斯国防部，打击基辅决策中心。。科莫耶多夫上将表示：“是时候打击基辅所谓的决策中心、国防部、乌克兰武装部队总参谋部了。最后是班德拉总统府。”
1699000574# #俄乌局势新进展巴以冲突。今天凌晨，哈尔科夫遭到俄军小摩托光顾，目标发生剧烈爆炸
1701201390# #主要这里面还有个乌克兰高官，前排那位很嗨的男人，小泽利亚办公室顾问，谢尔盖.列先科
1697192068# #但消除苏联记忆也有你统俄党一份功劳！圣彼得堡反苏大本营～叶利钦中心什么时候拆除？
1694162612# #这就是智商不如猪的体现
1693139313# #俄乌局势新进展。怪谁呢？。。德国总理奥拉夫·肖尔茨抱怨德国经济增长不理想。。。他表示，当前经济增长不尽如人意，德国因对出口的依赖而首当其冲受到全球经济疲软的影响。。。他还补充说，国家不仅没有足够的资金来长期补贴电价，而且也没有足够的法律修改机会。
1695362095# #俄乌局势新进展。🇺🇸🇺🇦🇵🇱五角大楼并未批评波兰停止向乌克兰供应武器的决定。。美国国防部表示这是一个“主权决定”。。。五角大楼发言人帕特里克·莱德在新闻发布会上说：“我们一直说，一个国家将提供何种程度的支持是任何国家的主权决定。”。。为什么美国向塞尔维亚、匈牙利和许多南欧
1695519167# #俄乌局势新进展。国际抖上波兰人开始拿小泽利亚整活：讨厌的苍蝇
1697987653# #巴以冲突。五角大楼负责人劳埃德·奥斯汀周日表示，如果以色列和哈马斯之间的冲突出现新的参与者，美国陆军已准备好采取行动。。。—如果任何国家或团体试图扩大这场冲突（……），那么我的建议是：不要尝试这样做。。。“我们有权自卫，如有必要，我们将毫不犹豫地这样做。”
1689148746# #讲究的就是一个机动性doge
1692828672# #日本政府正式决定福岛核废水排海研究称日本核污水排海240天到达中国。。中国外交部发言人汪文斌：。"日本当局决定将福岛第一紧急核电站的核泄漏水倾倒入海，应被视为一项错误的措施，迫使中国采取一切必要的报复措施"。“这是一种极端自私和不负责任的行为”
1691307628# #俄乌局势新进展。俄某前线电报频道：。你在很大程度上是对的！在防空洞里，志愿者们确实挂着约瑟夫·斯大林的肖像。正如战士们所说：出于对他带领我们的国家战胜世界邪恶这一事实的尊重。第二个最受欢迎的人物是切·格瓦拉。我同意，这位为人民的自由而战的指挥官在顿巴斯的防空洞里看起来也很合适。
1690948502# #俄罗斯俄乌局势新进展。根据可用的地理位置数据，旧马约尔斯基的情况。。该村庄北部由乌军部队控制，南部高地和田野由俄军部队控制，俄军还控制了旧马约尔斯基以东的乌罗扎伊诺耶村。。事实上，旧马约尔斯基大部分都处于灰色地带，俄军的炮兵不断的对村庄区域乌军阵地实施炮击，所有关于俄或乌已完全
1697266351# #转发微博
1694395672# #俄乌局势新进展。猜猜，这是场景发生在哪个国家？
1695206721# #梅卡瓦5吧，我看外媒报道的是5
1701275111# #巴以冲突。伊朗石油产量增加50万桶。。美国能源信息管理局：。2023年10月，伊朗石油日产量升至310万桶，伊朗在OPEC中排名第三。。。2023年以来，伊朗石油产量持续上升，日产量增加超过50万桶。。。此前，伊朗在OPEC中排名跌至第五位，但今年再次超越科威特和阿联酋。
1695372188# #俄乌局势新进展。杰克逊·欣克尔：。在西方，所有在乌克兰冲突中支持俄罗斯的人都被噤声了——。。西方媒体，尤其是美国媒体，正在尽一切努力确保在乌克兰冲突中支持俄罗斯的声音不会被听到。。美国政治评论员杰克逊·欣克尔表述说。。。他本人因亲俄立场而被剥夺了在YouTube上获利的机会，他的账户在其他
1699032376# #巴以冲突。在加沙～拉法检查站公路上死难的数十名巴勒斯坦人（大部份是妇女和儿童），伊朗消息源说是被以色列狙击手射杀
1696823669# #俄乌局势新进展。马林卡狙击：一枪撂一个。。另，据俄方资料，开战至今，俄军的狙击作战，已击杀超过1800名乌克兰军人
1695216137# #亚美尼亚与阿塞拜疆爆发军事冲突。帕希尼扬：“我们希望俄罗斯联邦能够确保纳戈尔诺-卡拉巴赫亚美尼亚人在家中居住的权利。”。。“如果维和人员提出这样的提议，这意味着他们完全、毫无保留地接受了为纳戈尔诺-卡拉巴赫亚美尼亚人提供保障的全部责任，这意味着他们必须为纳戈尔诺-卡拉巴赫亚美尼亚人
1696551474# #俄乌局势新进展。据巴基斯坦媒体报道，印度所有三个团的S-400防空系统目前都部署在巴基斯坦和中国边境沿线。
1692599315# #真打炮，假抗俄
1691525696# #转发微博
1703237607# #巴以冲突。今天，世界卫生组织和《华盛顿邮报》同时表示，没有事实表明哈马斯将加沙医院用于军事目的。事实上，证实了哈马斯发言人阿布·乌贝德的言论，并驳斥了以色列旨在为有针对性地摧毁加沙地带医疗基础设施辩护的言论。《华盛顿邮报》是美国民主党的主要宣传喉舌之一。。。因此，毫无疑问，摧毁这
1688900066# #转发微博
1698483447# #巴以冲突。真主党展示了反坦克导弹攻击以色列梅卡瓦IV坦克的新镜头。。注意，攻击是在树木繁茂的地区进行的，由于受遮蔽物干扰和遮挡，这会导致包皮佬梅卡瓦4的Trophy主动防御系统的有效性急剧降低
1702350863# #小编辛苦了赞，感谢您所做的一切。加油！
1698180120# #俄乌局势新进展巴以冲突。俄军“海狸”无人机小队的FPV在扎波罗热地区摧毁一辆豹2A6坦克。。3千块人民币的手搓机干掉5千多万元的高端货，这费效比相当的高
1688548601# #他又干嘛了？我去看看
1698395557# #俄乌局势新进展巴以冲突。把无耻挂在嘴上，把下流写在脸上。美国双标的表达方式就是“无耻与下流”。——记者向美国国务院发言人提问：。“也就是说，你能够迅速判定“俄罗斯正在袭击平民”，但以色列正在犯下战争罪不能（判定）吗？。美国国务院发言人：“美国尚未准备好确定对加沙地带的袭击是否符
1694354640# #俄乌局势新进展。️谢尔盖·拉夫罗夫在G20峰会后新闻发布会上的发言。。要点：。▪️G20峰会对所有G20国家来说都是成功的；G20正在进行内部改革。与此同时，峰会本身也成为一个转折点。。▪️感谢南半球国家，才有可能阻止西方实施乌克兰化G20议程的企图。二十国集团发展中成员对乌克兰局势有正确认识。。
1689380700# #俄乌局势新进展俄罗斯。。俄军扫黄：在扎波罗热前线P村附近反向进攻的乌军被俄军炮击。。之前围着P村送人头的都是蓝胶带部队。现在上黄胶带了，说明什么呢？
1698442506# #巴以冲突。巴勒斯坦人聚集在加沙纳赛尔医院前，在一辆遭到以军空袭后血迹斑斑的救护车旁祈祷。
1698179079# #巴以冲突。--五角大楼。。过去一周，美军在伊拉克遭到10次导弹袭击，在叙利亚遭到3次无人机袭击。。老实说，挨打还是少了点，老乡们要加油，加大力度，一周干它100次
1688982563# #俄乌局势新进展俄罗斯。土耳其正在从一个中立国变成一个不友好的国家。。。俄罗斯联邦国防与安全委员会主席维克托-邦达列夫
1697018571# #以色列巴勒斯坦冲突。草包在北约总部。愤怒的小泽利亚，脸怼镜头，嘴吞麦克风，要求所有外国领导人到以色列去显示存在，表达对以色列人的支持。
1689676807# #俄乌局势新进展俄罗斯。Politico援引美国官员的话报道，一名俄罗斯战斗机飞行员在叙利亚上空的行动危及一架美国MS-12飞机四名机组人员的生命。。。他们说，俄罗斯战斗机"周日飞得非常接近美国侦察机，迫使美国飞机通过一条（俄机制造）湍急的气流"。。。该报的消息来源指出，"俄罗斯苏-35战斗机的
1699501915# #巴以冲突。布林肯谈到建立巴勒斯坦国的必要性。。就连白宫也已经承认巴勒斯坦必须成为一个成熟的国家。美国国务卿安东尼·布林肯在接受日本NHK电视频道采访时表示，必须允许巴勒斯坦人将约旦河西岸和加沙地带联合起来，否则10月7日的事件将再次重演。。不过，布林肯表示，美国“不能允许哈马斯统治加沙”
1698665770# #俄乌局势新进展巴以冲突。当地时间今天上午至中午，克里米亚遭到了乌军大规模导弹饱和攻击，俄军防空系统特别是S-400在今天的防空战斗中展现了其高性能及高效性。（见视频）。根据俄国防部的报告，来袭的8枚“暴风之影”导弹全部被拦截。数量不明的海王星反舰导弹，海马斯系统发射的导弹绝大部份被
1693183147# #俄乌局势新进展。最后通牒！。尼日尔新政府给了法国军队一周的时间从该国的军事基地撤军，否则尼日尔军队将发起进攻武力解决，后果将由驻扎在那里的法国军队承担。
1696901033# #以色列巴勒斯坦冲突。10日，以色列大规模无差别轰炸加沙，制造了骇人听闻的大屠杀。。遍地死伤，触目心惊。
1693239602# #周知
1700961748# #俄乌局势新进展。在收到当地居民请求后。俄军组织特种部队潜入乌军后方，从哈尔科夫乌控区将多名不愿继续生活在乌克兰的当地居民撤入俄罗斯境内
1688844633# #666嘻嘻
1688489763# #俄罗斯俄乌局势新进展。梅德韦杰夫：。在1月1日至7月4日期间，有超过18.5万人加入了俄罗斯武装力量。。过去一周，有近1万人与俄罗斯武装部队签订了合同。
1697471107# #金呵呵就是个笑话
1694747477# #转发微博
1694713557# #俄乌局势新进展。13日晚，乌克兰自杀式无人艇自拍被黑海舰队巡逻舰谢尔盖·科托夫号摧毁的镜头。
1702458495# #俄乌局势新进展。俄罗斯武装部队正在库皮扬斯克附近的前线多个地区同时推进。。据军事记者报道，辛科夫卡正在发生激烈的战斗。俄军部队正在努力将敌人赶出这个定居点。到目前为止，还没有关于完全占领该定居点的讨论。。。乌克兰武装部队正在辛科夫卡外修建防御工事并集结预备队。但由于俄罗斯联邦武装
1689399320# #俄乌局势新进展俄罗斯。今天凌晨遭到俄军导弹和小摩托打击的乌克兰各地：。第聂伯罗彼得罗夫斯克，扎波罗热乌控区，尼古拉耶夫，赫尔松乌控区，敖德萨，蛇岛（连续三天被打击）。
1694160972# #“我局决定不予公开”～“不服可向市政府申请复议”
1696825665# #以色列巴勒斯坦冲突。包皮佬虐俘（是不是战俘也不好说）
1692855973# #失败乃成功之母。莫灰心，从头继续。要知道，这地球上绝大多数国家，在太空探索领域，连失败的机会都没有
1691906295# #俄乌局势新进展。乌克兰武装部队第38海军陆战旅军官谢尔希·亚里什在扎波罗热方向被击毙（图1）。。在前线的另一个地区，阿尔乔莫夫斯克（巴赫穆特）地区，阿列克谢·谢卢德科少校被消灭。
1696274029# #俄乌局势新进展。近日️️，“柳叶刀”摧毁特别军事行动区前线的乌军装备集锦
1689061024# #俄乌局势新进展俄罗斯。在扎波罗热方向被摧毁的美制国际MP反伏击车
1688431800# #俄乌局势新进展俄罗斯。《柏林日报》称，基辅在前线正遭受巨大的军事损失。。。西方国家曾对提供给乌克兰的坦克和装甲运兵车寄予厚望，期望它能用这些装备控制广大地区。然而，在乌克兰部队开始反攻一个月后，美国和欧洲似乎已经清醒过来了。，德国提供的许多豹2坦克已经被摧毁。
1702690494# #俄乌局势新进展。全副武装的敖德萨征兵办人员冲入健身房寻找壮丁（真，壮）
1699176471# #巴以冲突。伊朗：三名摩萨德雇员在伊朗与阿富汗边境地区被塔利班抓捕，很快将移交给伊朗当局
1699251025# #俄乌局势新进展巴以冲突。五角大楼负责人在乌克兰击败俄罗斯的能力问题上公开撒谎。。。这是前中央情报局官员拉里·约翰逊在接受YouTube频道DialogueWorks采访时表示的。。。“我无法用语言来表达我对奥斯汀所说的谎言的惊讶，”他说。。。约翰逊指出，即使是与泽连斯基关系密切的人士也承认，乌克兰
