1695050693# #够了。。够了……够了，，够了、、够了
1689559401# #小鲨鱼小海豚悲伤悲伤
1704040805# #2024年请对我好一点
1692021470# #嘻嘻
1700323346# #有三个小女孩聊迪士尼挂件聊了快半小时
1691139595# #我要拉住你的手和我一起学习吧
1695225150# #好幸福一个半小时的语音live…
1701248929# #谁懂我下我哭了真的
1693928710# #谁不听音乐
1692699151# #咱们真情侣就是这样的
1690795485# #我呃呃呃啊啊啊啊啊啊啊啊啊
1701345740# #耶前十五
1698763356# #45分截个互动榜顺便请大家看看我的十月plog
1695465592# #我昨天骂我同学的那条wb上推荐了我服了爸爸允悲允悲
1699882143# #死普高你给老娘累死的了
1699630728# #哎哟🥹🫵🏻
1696425198# #女孩我爱你。
1704026066# #你们在看哪个台…
1693910192# #铁fo大掉九个你们敢信允悲
1694511633# #其实我真觉得自己🐑了喉咙特别难受微笑
1693912381# #哎哟喂了大妈允悲
1700831121# #啥意思。。
1692745491# #坐上车前往百年老校了允悲
1689225900# #马甲哟
1692084047# #SVIP免费领SVIP体验卡免费领送你一张SVIP体验卡，点击免费领取，即刻获得去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益。快快点击链接领取，和我一起畅享SVIP尊贵权益吧！
1700401050# #没啥心情和大家说个晚安
1699194353# #照镜子臭美的时候感觉自己是上海唯一top
1697037151# #321睡。晚安兄弟姐妹老公老婆爸爸妈妈外公外婆爷爷奶奶叔叔阿姨们
1699799025# #那个看起来很好吃的东西交出来。哈？哈。交出来！。还要交换条件？咦呀～咦呀哒咦呀哒。乌啦～呀哈呀哈乌啦～呀哈呀哈。你不许学！
1696160429# #我的天
1703601079# #我感觉我要去医院了好难受微笑
1692029039# #8.15🐑tie。路͎过͎评͎论͎k1需͎要͎回͎访͎k2。。麻烦都来评一下辛苦大家
1697808711# #yhm又寄来
1698585288# #我们
1698935907# #包是要带的挂件是只带万圣节的
1692704926# #我妈投喂微笑其实是她和我爸吃不完了
1689958102# #我现在在韩国上海市
1689414264# #边玩手机边走下去吃饭结果摔一跤痛死我了心
1692658842# #8.22🐑tie。路͎过͎评͎论͎k1需͎要͎回͎访͎k2。。麻烦都来评一下辛苦麻烦大家啦～
1703767070# #姜涛全球最帅面孔第三救命
1695568040# #允悲允悲我特么晚上发烧头晕还在努力捞贴白天上课写作业两天的周末48小时我在外面上课跑来跑去快16个小时谁特么来关心一下我呢
1698943516# #pocky吃完了我睡觉了
1693407546# #我真的要给你们欣赏嗯嗯姐跳overme。。等我
1699121711# #纯兔预警时
1692105138# #kep～1er～呀～西～巴～呀～姨～凯～塞～gi～得～喇～梨～鸽～难～肽～嗑～弄～来～提～鸽～安～对～西～巴～诶～
1695603646# #我特么ss都没有嘻嘻嘻嘻爸爸我服了
1700982825# #这个小姐姐喝上了
1693411846# #谢谢大家八月陪我玩女孩儿女孩儿开学了就会很少看wb了悲伤。。
1701789928# #又让劳资看湿湿了…
1697368375# #行了终于2k
1695344829# #哈？滚啊
1691238877# #时代峰峻全家福好多人啊
1704039450# #同学你们再发一个🧧试试看
1695557924# #老公我那里有点紧……嗯……。真的挺紧的……就是那个地方……。嗯不要啊……就是……就是……手头
1698726072# #更糟
1696316143# #演的
1691830343# #微笑
1692343336# #我的大🐑铁👗还有随莫有来平常闲闲聊还会发大红包🥺。
1692281566# #都在退卡坑的情况下我在溺爱还有一年不到解散的kep1er
1698496821# #我：
1695569474# #真睡了允悲允悲
1696058193# #老师你为什么要轮流翻译老师你在干什么微笑
1697111814# #今天抢菜没受不了一点hh
1692656419# #分享图片
1703321798# #对
1696247288# #原地大小演
1703602809# #·妳的19歲·。。2024也要多見面🥹。。♡+♡=♡²。。徐永恩1227生日快乐
1692104063# #怎么这么好笑。。。
1693050657# #看的我很爽嘻嘻等待一个23中秋露加入空罐子
1692232181# #。。别这样
1695710042# #我还以为是…奇奇
1689250897# #不行了笑的我头痛抖pop到现在都不知道我担当时不加权第三加权第五
1704126713# #天杀的老天啊你就放我回去军训吧…
1698942825# #建议我黑眼圈里所有会做饭的来给我做饭
1699787558# #我女神
1692628865# #别让我发现谁双了我我终究会把你塞进我的大hmd
1697013792# #蜜雪冰城啥好喝的推荐一下hh等一下去买
1689436870# #倒计时15个小时59分钟
1693328925# #我震碎觉了
1690343933# #红人粉多多多。。
1702561059# #呃所以有人想来找我🎺玩吗
1697169596# #拯救
1698656302# #好愛哦
1690502434# #阳光信用每日一善。。弘扬爱国主义精神，必须坚持立足民族又面向世界。中国的命运与世界的命运紧密相关。我们要把弘扬爱国主义精神与扩大对外开放结合进来，尊重各国的历史特点、文化传统，尊重各国人民选择的发展道路，善于从不同文明中寻求智慧、汲取营养，增强中华文明生机活力。。。
1690642912# #无fuck说挤眼
1692088205# #分享图片
1699605278# #嗯
1691154310# #我平板支撑能撑两分半了akdmndfd不行了
1700364395# #有人citywalkwalk到：
1700225917# #好配
1698995870# #我们学校我受不了了。礼拜一要去一个A地参观那个A地离我家特别近走路只要十分钟参观完了要回学校回学校之后就放学微笑
1697283269# #妈妈互粉互粉好爱哦好爱哦
1692082216# #其实我也在韩国微笑微笑
1697754073# #卧槽咋这么冷
1701165244# #紧张的和死一样。一堆人都穿的特别潮我穿个校服
1695902843# #嘘嘘
1694259371# #我和我后桌：
1699373953# #卧槽尼玛允悲允悲
1700324917# #睡觉了。。我说好要早睡
1696306162# #我爱了
1696770362# #谁能转转我助力我🈷️新老公。我担葡5好感前矮3内娱喜欢赵/珂允悲
1693720384# #今天抢菜没我那个了
1693350854# #自律的小孩已经下车了
1693004293# #互粉加油加油最后一上午
1693100711# #🫵🏻😵
1691415969# #好想穿长袖
1689334682# #喂微笑
1697466840# #我妈又要发神经病了
1695729921# #请我的爸爸妈妈无偿归还所有用非正当理由不给我买的爱疯15破麦可思
1702457400# #想你了微笑
1695462279# #我如果出道了底裤也蛮多的
1692682939# #纯兔预警备用机登不上wb她让我说她快热死了
1697280532# #我怎么有同款包没同款钱？
1691989467# #分享图片
1692873546# #下次功课做足一点！记得拉黑我大耗啊允悲允悲
1701524488# #此号已易主
1697159912# #受不了
1691936677# #我也要玩。。！！！。。谁到此一游。---来自提问箱
1694871140# #1.买一栋别墅（已完成）。2.买一辆迈巴赫（已完成）。3.开一家公司（已完成）。4.年收入500万（已完成）。5.银行里存折2000w（已完成）。6.在微博吹5个牛皮（已完成）
1698621355# #好想杀人
1691227079# #需用嗯再歪头我就要把她头砍了
1689316667# #卧槽尼玛谁允许你染回黑发的啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我日你妈
1703255209# #wsbll
1689467919# #终于吃上早饭了
1699625801# #奖励晚上写了篇作文其他啥都没干的我吃点东西
1695078607# #这条路堵的不成人样了本小姐又要迟到了
1695602609# #我还特么死医院我要崩溃了
1694947996# #这本是属于我的国际女高生活
1699602089# #看到这次台历造型是麻花辫和贝雷帽满脑子就一个字买。
1689206415# #【7.13🐑】阳光信用每日一善。。有时候生活的曲折会让我们感觉到手足无措，但也会发现许多的烦恼似曾相识。在命运里，我们既然不是为烦恼买单，当然也不是依靠善良赎身。而是时刻调整好心态，与周围的人海友好相待。
1699072952# #【退出微博通知】。非常感谢朋友们的陪伴。我这个号自开通以来，到现在。。在微博这么多用户中，。其实可以说是籍籍无名的。。但是，我却有着你们一群网络朋友，。我已经知足了。。我每天在微博上宣泄自己的不满，发表自己的观点，。每一次都有你们的陪伴。。我很开心。。很多人在现实生活中过得都不如意，。但在
1692423562# #滚
1695375564# #你们讨不讨厌啊允悲微笑蜡烛
1698671775# #万圣节谁cos一下我对象
1694880001# #9.17🐑⛓️。。路͎过͎评͎论͎k͎1͎。需͎回͎访͎评͎论͎k͎2͎带͎链͎/͎指͎路͎。群͎里͎k͎3͎。晚͎上͎统͎一͎回͎。。每日，我们做一件善事，可大事可小事每天积一些福报，每天聚一些功德，以小成大，以少成多。。
1696339018# #小淘件快上班吧我受不了了这个
1691210994# #今天抢菜没我的大ss为什么还不回家
1689427189# #hitomi！
1695700739# #个人简历：。2010年就读于麻省理工；。2011年加入海豹击突击队；。2012年前往利叙亚执行任务成功；。2016年被提名可以改变世界的人；。2023年放弃一生荣誉来做徐永恩的狗
1700207636# #卧槽谁闪现到
1690942179# #猎罪图鉴2加女主滚啊啊啊啊啊啊啊啊
1689932027# #抓狂抓狂抓狂抓狂
1689488042# #转发微博
1699536060# #很难受你不懂我的分享欲你每次都是敷衍的我
1699374817# #
1703928174# #发布于开普勒星
1695706283# #和谁学的…
1692598774# #总裁我跪下给你口
1698576050# #周末😇
1698585903# #在开普勒解散前我能不能去线下见一次需用嗯呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃
1690090891# #改个idgct会不会回来
1694790175# #sye加入lesserafim
1701608375# #这么近我亲一口好了
1690960436# #这张图我看一次笑一次生病生病生病鄙视裂开挤眼
1703520053# #好的好的
1701361511# #军训到底要带点啥啊。已崩溃
1698515624# #我在被窝里笑了半个小时了我要崩溃了
1689929541# #分享图片
1703999399# #分享图片
1697904621# #今天几号？
1698493795# #这个世界上最美味的拌饭
1691640026# #1、有一只安静的兔笼。父母应为兔子准备一个干净、宽敞、舒适的笼子。空闲时要把它关在兔笼里。由于兔子有磨牙，磨爪子的习惯，它们喜欢啃咬任何东西，也会咬人。为防止兔子碰到家里有贵重物品，还要咬坏东西，还要避免兔子接触电插座等。。因此，把它养在兔笼里是最保险的。如无安全空间(如阳台)，可将
1697459446# #我要和王小卤鸡爪结婚
1697971646# #我求你了我看到这张图眼泪用喷的
1690336811# #【7.26🐑铁】阳光信用每日一善。指̲路̲必̲回̲。。善良是一种修养，善待他人就是善待自己，要想得到别人的爱，首先要学会爱别人，一个善良的人一定是温暖的人，乐于助人的人，懂得珍惜和感恩的人。。。
1689675202# #第八名kep1er🈳️
1690508656# #我操储能你凭什么619微笑
1695562174# #我特么支气管炎了？
1690367270# #葡骂
1690340829# #怒买九本开普勒mn4未拆微笑
1701622926# #一点了拖延症晚期的两位患者作业还没写完
1692707414# #wk1。你为什么还不给开普勒发回归预告。。你知道开普勒九月回归吗。。
1693744269# #棍
1693437659# #今天车怎么这么多？！
1703422383# #圣诞树不像圣诞树
1690461902# #亲亲你我的老公
1698751218# #我靠这对怎么这么可爱啊
1692708028# #wk1新团出道的那天kep1er发了回归预告
1699534598# #我真的求到了。。谢谢你MCD🥺🥺
1689863860# #刚出道的时候脸还素肉肉的🥺
1697357226# #wb也发一下下
1703606276# #是每一年都准时发igstory庆生的rina酱🥹
1693580410# #贵的我攒一年的钱都买不起微笑我要说服我妈给我买一个女孩儿
1696251699# #命运的齿轮开始转动。
1701615805# #直观我的都是劳资的舔狗
1696516533# #📝
1695958516# #兔皇登基
1691806161# #给我女挽尊一个允悲允悲
1694958109# #和她是huq的有福了她明天生日要公开一张未公开嘻嘻
1690716790# #今天抢菜没我崩溃了
1702178881# #🤧🤧
1694531198# #你搞什么特殊裂开裂开458的外景呢
1689479569# #不行了我现在觉得kcon没扫图这么美了想出掉
1692371775# #和你们说个事啊其实我想了很久很久不知道该怎么和你们开口其实就是我准备睡觉了晚安明天见
1697239792# #每周一次吐上听不懂的课去了嘻嘻嘻嘻
1691756971# #十一张未公开拍立得我说不出就不出什么实力我就不说了
1699161747# #我第一次知道专辑还会褪色啊吐微笑
1700814519# #邮政是我最讨厌的快递公司
1692629468# #行了晚安！
1689675827# #哇啊啊啊啊啊
1703427251# #让我头这么晕还不如来个痛快…直接让我发烧即可。
1689434442# #kgc开太多我艾特人套路键盘切错了微笑
1693122059# #能不能当我铁
1697410611# #卧槽我受不了了我爸开个车怎么这么慢
1703326351# #晚饭吃啥…
1691214745# #出发寄快递
1691593067# #有病吧
1700668003# #蚊子好像要缠着我一辈子这个季节为什么还有蚊子啊微笑
1691409996# #韩维辰zb1唯一门面
1694083789# #七点半抢课祝我抢到健美操嘻嘻
1699527672# #想去迪士尼了微笑
1690044411# #来
1699197705# #老公…
1689407371# #纯兔预警失败了
1693844236# #饿死了
1697853974# #hk留学咋样女孩儿
1698487687# #老师可以不考试直接把答案发下来给我抄吗
1700982291# #还记得那天到香港，晚上下着雨，想着再去一次香港hongkong
1699055460# #头好痛
1702382074# #精神支柱
1691985850# #喂我要搞那个我分享完了
1691831250# #麻烦大家都来今天的评一下辛苦抓狂。
1699176663# #我建议黑眼圈所有人都来欣赏此神直拍
1693496760# #我睡觉了
1691003088# #怎么还在发啊能不能等到早上再发微笑
1689170597# #我好可怜
1690193856# #有没有人来
1694601321# #。。骑车丢一张卡你们敢信丢了张全球仅八十
1704018397# #我家孩子美翻你们
1689857641# #大姐。。。
1693743624# #暧昧对象是个小爱豆。在和她打视频呢kkk
1689828493# #啊啊啊啊啊啊啊啊啊
1692503839# #bttc我看哭了
1695051064# #我要睡觉了挤眼
1689947715# #啊啊啊啊啊
1693204396# #我爱你
1692405304# #。再见
1690329711# #八点mrys忘了微笑
1689597525# #还问呢还问再问滚
1689838612# #我不行了
1691509043# #来玩一会儿睡不着
1699540760# #看开普勒超话看得我心绞痛
1691761423# #大姐我好饿。。
1691842493# #华语乐坛最新排名：。1.洗澡的我。2.一个人乘电梯的我。3.在大街上骑车的我。4.周杰伦
1694304622# #早上好呢
1696565177# #一分钟找到
1697971386# #你们从哪个头像认识我的嘘嘘
1700300735# #草又他妈被我镊子扎
1695806232# #谢谢
1689649475# #大三角心心
1702818318# #吓死我你有什么好处…
1691067734# #疑问
1693914712# #哦哟喂给我来一首开普勒版jp挤眼
1690128040# #【7.24】阳光信用每日一善。。梦想是一个幸福的念想，想着想着就快乐了，它执着地立在那里，是生活的一个界标，代表着活力与向上。。。
1690865255# #我的天啊啊啊啊啊第一次见
1690885185# #我好崩溃啊
1690382035# #换乘室友之我产品后续
1692233351# #。。不准觊觎我的拍拍了微笑
1696140542# #好美丽的精神状态我崩溃了
1703413137# #看见什么就举个小卡在那里拍拍拍你以后就嫁给徐永恩生的孩子也是徐永恩一辈子活在徐永恩的阴影里墙上挂的是徐永恩盖的被子是徐永恩吃的饭也是徐永恩死了之后坟头上挂的照片是徐永恩上了天堂的翅膀还是徐永恩
1692275163# #。。
1695078807# #我爸停车停在正在等红绿灯的英语老师面前。
1689247727# #我要疯了
1701008889# #亲爱的我服了
1697630332# #全球七十分之一一下🫰🏻🫰🏻
1692888340# #不翻不知道一翻吓一跳关注lb一堆扩关不回+单曲我的允悲
1698663811# #重开了谢谢大家微笑吐
1692951731# #我他妈剩了一堆西瓜
1689250442# #给老嗯冲五车你想怎么骂怎么骂心
1689527532# #我睡不着就看葡宝宝换乘室友微笑心
1697411397# #走楼梯腿抽筋了🫰🏻
1691199612# #全都说完了为什么还要留着我们写作业啊
1691746518# #-
1692096658# #谁把07改成08帮我问问。
1701185446# #给你们剪点我最喜欢的片段吧。好想哭好想见keshi
1693573234# #喜欢的艺人的公司是wk1是一辈子的耻辱
1696085126# #两位数拿下两张单卡互粉好爱哦
1700812531# #那啥。我到了我妈没到
1693885861# #篮球足球乒乓球体育舞蹈健美操怎么选允悲允悲都不想去
1699678272# #感觉我妈要崩溃了心
1696488262# #金世佳孩子他结婚了？！
1693917060# #某团自求多福裂开裂开
1704073831# #真希望我的镜子会拍照
1691452806# #8.8🐑tie。麻烦大家都来评一下辛苦大家。。huq双向互动看
1689141364# #我要玩
1689482426# #喂我自杀来了吗
1697103745# #亲亲公交车要等十七分钟才到站呢
1691586423# #存档。那些抽到的/换来的/收来的未公开和已公开拍立得们
1703399207# #又给劳资满意到了
1692003606# #8.14🐑tie。麻烦大家都来评一下辛苦大家。。被艾特到的请评1回⃝访⃝请⃝私⃝信⃝
1691760013# #你们56不会私下一起吃麻辣香锅吧允悲允悲
1693458190# #1k3微笑微笑好多人啊能不能来🐑🐑铁悲伤
1689732514# #啊？？
1691129550# #卷发是我女最好的嫁妆
1689332387# #。。分给那个团一点呢
1695993925# #中秋节。买辆奔驰送你们，太贵；。请你们出国旅游，浪费；。约你们海吃一顿，伤胃；。送你们一枝玫瑰，误会；。给你们一个热吻，不对；。只好微博祝你们快乐，实惠！鲜花鲜花鲜花
1694861196# #物理真不会谁救我一下
1689588701# #kep1er不回归的日子我在复盘签售
1689493363# #。。。
1689235840# #wakeone分的组只有老铺的457令我满意
1692831671# #8.24
1701075318# #你们看到这条微博的时候我已经把它们都吃完并扔进垃圾桶了
1701354120# #你们很久没和我互动了是不想还是讨厌我？
1693744079# #学长学姐就是，不好意思问一下，就是咱们学校周围有那种可以兑换美元的外币的银行吗?实在不行就是英镑Pound也可以。it'ssoawkward因为我刚回来。你知道吗，就是我的银行卡里面只有这些currency。实在不行就就港币也可以的允悲
1701692481# #亲爱的黑眼圈，当你看到这封信的时候，我已经当上了实难ending精灵。
1697705406# #你们认识我不？
1692942352# #谁给我转转让我约到1k3互粉我爱你们互粉互粉
1696328463# #我爸：你这个包里有没有什么值钱的东西。我：我的卡。我爸：那你带着下车
1692529334# #怎么还挡路
1697944192# #这次卡背突然有设计感了怪不习惯的
1690101137# #不行了我现在看到您未被该批次录取就想笑还是两个都没被录取嘻嘻
1695309757# #睡了…。，没眼看。
1693065979# #睡觉
1696431988# #还好我们四天后就要见面喽
1695047629# #2023年4月15日10:14。我把id改成纯兔预警从此命运的齿轮开始转动
1690986993# #谁到此一游。---来自提问箱
1690381830# #我恨你们
1699534556# #啊啊啊啊啊啊啊啊啊啊ROZALINFANCAM‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️
1692090345# #和吊死没区别
1701445205# #我在剪周二的vlog了…
1691219605# #听说这么久我终于看见这玩意了
1696769269# #不行了这个小女孩真的好爱哦好爱哦。
1701340532# #又给劳资爽到了
1703341493# #我受不了了…
1691142881# #卧铺打响停止中输第一枪
1689738618# #我吃
1697904530# #陈伟再见！
1697173747# #呃我受不了一点一群人在那边翻栏杆费解
1692594764# #我们跑路的日子都是一天呢
1689333434# #不行了老铺不韩国回归日本回归也可以啊
1693745264# #刷到了我就整。
1689700995# #我真的要睡觉了
1690240090# #今天的心情从早上就开始烦躁
1692096813# #从我妈七夕礼物里偷的蜂窝纸心心
1697036684# #好恐怖的去年今日。
1693928990# #我大小豪的铁fo涨幅放在哪里都是很幽默的
1690643552# #我真的要研究清仓大甩卖了费解
1701610982# #建议欧美学习视签劳资要满勤签梁凯西
1698941802# #一翻书包发现有一块带到学校没吃的脆香米。
1692860869# #出学校互粉互粉
1698760611# #我妈：点蚊香！。我：我不想点你帮我点吧。我爸：我来我来。我：谢谢爸爸。我妈：谢谢老公。我爸：呃不要恶心人（上海话
1690630629# #zb1什么时候开泡泡我的天
1691382089# #新爱好
1691899380# #taxi~。。
1699014383# #唉
1694095797# #你说得对。但我认为母猪产后护理，首先要从产前做起，母猪产前四五天要逐渐减少饲喂量，其目的是减少腹部压力，产前吃得少，产后才能吃得多。若产前吃得多，不仅会使产程过长，而且还会造成产后胃积食。
1691239338# #宝宝我心里也有你悲伤
1699538859# #真爱了
1694853107# #完形填空连蒙带猜加自己理解全对谁来吸这运气？
1698057083# #你们觉得哪张好看来来
1692454863# #躺床上想拉屎一去厕所屎意全无
1697115964# #不懂大米饼的人不要和我一起春秋游
1697885091# #谈恋爱就是要DOI啊，D是Daisy，O是O.O.O，I是Idodoyou，这三首都是Kep1er的歌，记得要每天循环播放哦！
1700393146# #不考试无敌幸福的一周其实是
1694767186# #和好诡秘们出去吃饭她们都要出发了我还没到家嘻嘻
1692087903# #小狗见到徐永恩：汪～汪～汪。小猫见到徐永恩：喵～喵～喵。我见到徐永恩：嗯～嗯～啊♡♡♡
1692150338# #ygxy又涨了一分允悲允悲
1693380667# #家楼下和送我快递的快递员偶遇了啊我服了
1697979603# #我们上海人11、12月份是要请假回家在黄浦江和苏州河里游泳的，这一传统已经延续了几百年，我们这一代都要学会，如果我们不能回家，那中国人明年就没有游泳队了
1692256813# #44暗恋姐😚💞观察你好久la😣一直不敢来约你🍀确实是我不够主动🙊是我不够好qaq🦋不能让你来注意我☹️但这次我勇敢的迈出了一步aaa👣我来约你啦😗你是个好人ww🐸暗恋姐你不会拒绝我吧😣我真的会呜呜呜的😢😭好想4暗恋姐🌈
1694090577# #娘娘们我又想开扩关👗
1695485391# #💓Ꮮ◎ⅤᏋ最喜欢你💒。☁🌤☁。☁☁☁☁☁。˘世间的温柔，皆如干净的云朵和你
1690433373# #我再也不出来吃饭了
1692089642# #我很享受发一条微博几个熟悉的id和我互动的日常
1697011824# #快放学了每个人都在课上发疯
1698736330# #下午好
1696503090# #每次吃完饭都发现耳机落在楼下又不愿意下楼拿微笑
1691038335# #你们解散吧
1689947770# #你们怎么都哑了傻眼傻眼
1697986855# #aaa成功
1691715173# #谁来给我挑一点好看的我要吸入鄙视
1694001359# #聪明勇敢有力气我真的羡慕我自己
1698584133# #1103是不是还有巡游啊啊啊啊
1692418187# #我的昼9发在沉思请私联这个耗。
1701175098# #又幸福了纯兔预警/.
1692185648# #
1694868794# #我靠我才知道啊
1693118615# #大草团魂
1698751525# #卧槽我一想到周五要去见我好朋友的好朋友了我就好激动啊我看她照片真的好漂亮好漂亮
1692775533# #咋办又来了
1695908697# #我身体不舒服坚持上学的一周吖
1689737002# #想烧酸汤肥牛然后发现家里的肥牛就剩一点点了微笑
1694355141# #分享图片
1692272071# #我都不敢想象我变成大小姐之后的生活会有多么的多姿多彩
1697713715# #约定了明天放学就来找你
1698577308# #袜子被扫地机卷进去了我他妈笑的比铃铛还大声
1689768356# #下雨了不好意思我回家了
1690021072# #悲伤悲伤
1702036748# #劳资又涨了一分呃…
1691756574# #你们知道周梓倩吗妈妈们
1691655078# #kep1er留下一条九月回归的新闻就走了
1692341690# #开普勒不发照片我默认你们又坐经济舱了允悲允悲
1689262837# #我真睡了因为耳机要没电了
1704123012# #我改了一个很帅很帅的名字
1695077001# #你们…开个签了…
1693749072# #今天要把likoio杀了
1690105360# #你贱贱的。。什么时候认清自己
1694646011# #9.14🐑⛓️。路͎过͎评͎论͎k͎1͎需͎回͎访͎k͎2͎带͎链͎/͎指͎路͎晚͎上͎统͎一͎回͎。。日行一善，行善积德，心存感恩之心，其实我们要做的还有很多。。
1689353319# #到底谁被国旅了我好好奇真的真的不开玩笑
1698759499# #喜不喜欢干净的女人？嗯？我已经把钱花的一干二净了來嗯？说话來
1690982533# #真的很萌啊
1695801348# #你们谁给我看看我有几个裤衩了嘘我数学不好
1694319972# #我怎么又找回一个🎺微笑
1701705749# #晚个安吧就
1698664521# #我靠这到底啥意思我不去的日子人这么少我去的日子人挤人
1689603027# #我真的越来越讨厌你了
1690331297# #今天抢菜没试一下
1697982482# #写完一个发一条微博
1692109138# #我要在23:00等待一个kep1er
1691224289# #我尖叫了
1699532330# #第一个视频简直小狗成精…。
1695517101# #我们小区修煤气管我特么一脚踩泥里了
1689121710# #我要把这几页裱起来
1689480101# #倒计时四个小时了我想死
1696302148# #很难吃别吃
1700396312# #【菜鸟驿站】你在淘宝买的马嘉祺仿真调教毛孔真人性感娃娃快递已到达菜鸟驿站，请凭借取件码9-1-250在明天上午10点前尽早取件
1697535664# #好好好
1703383898# #分享图片
1692522181# #整个新置顶思考
1694012623# #那个谁代耗来了没错又是我
1691910019# #不爱看的有难了
1695567734# #行吧没有mv我特么睡了允悲蜡烛希望别被自己咳醒
1693756804# #【9.4mrys】🐑⛓️专用。。
1693411473# #等一下发个八月的榜女孩儿晚上就不发了
1696082424# #十月都没到呢我已经想好了12/31怎么摆阵
1692507169# #喂。。。
1699526427# #续命的
1696866832# #立本签售不会买不去了下次韩专回归再见hh
1689467272# #永恩啊找不到男团同担在队内会孤独吗
1702640193# #想小薯条
1689823092# #有些人真脑子抽风一样的
1694085770# #哪690个人让我看看
1696062037# #来例假腰酸好崩溃
1697267231# #英语课的同学怎么也昨天去欢乐谷秋游了微笑
1695513144# #好美的旧衣服…好完美的状态
1696058237# #我怎么消失在了你们的互动榜嘻嘻嘻嘻我讨厌上学允悲蜡烛
1693702848# #异地韩国女友好粘人，喜欢天天和我远程视频，喜欢戴着我送她的各种项链手链穿着我送她的衣服在我耳边说她是属于我的
1694938020# #一般一般之前也就是全球十分之一
1690960374# #喂。。。
1691393078# #大姐你怎么又换脸了
1698567391# #我正式确诊为鲁滨逊：。1.经常蓬头垢面。2.喜欢找吃的。3.喜欢星期五
1700885215# #不知道吃什么就吃冒菜
1692919202# #杀
1696297962# #不是我铁的快来找我双吧我也懒的看嘻嘻
1693317402# #。呃
1697670354# #一想到明天放学直接冲到迪士尼就开心
1694325789# #葡劳务的婊事：。赛时吸血大热cp新年走机场给记者行大礼对着团内绿卡翻白眼跳舞的时候挡住队友跳舞的时候让队友拿麦
1701418279# #我特么
1693449353# #我服了
1691326936# #加上今天是我另一个担初舞台两周年我感触好深裂开。
1701685292# #我讨厌执勤…7:00到校谁想出来的…
1695464207# #我学物理：
1699634215# #我上学：
1689997372# #裂开
1703416250# #剩下的一个不想写好崩溃。
1697065154# #我真受不了一点真七点到学校了
1691906509# #我也要开kgc请各位评论自己的属性心心
1692444949# #我开个权重楼路过的都可以评论“1”测权重
1690818338# #对
1694784516# #卧槽尼玛我们这栋楼怎么停电了啊
1697384928# #我说出我前担的名字要被双的🫰🏻
1695981555# #冬枣美味啊互粉
1693991885# #回家洗了把脸就被我妈赶出去接我弟了微笑
1693411205# #8.31
1701503668# #我老师说要抽人上黑板写翻译。我：
1698793192# #老师，期中考这种活动我家纯兔预警就不参加了，孩子今天哭着跑回来说这辈子都要在学校抬不起头了，到底是哪个学科让我们家孩子这么崩溃。天杀的，老子要报警把你们都抓起来砍了
1689512345# #玩个这个
1692889480# #什么大事小事我都想发微博允悲允悲
1699261921# #分享图片
1700398344# #@修狗狗毒唯
1691333590# #我真崩溃了
1691215156# #热血出卡人今日收入211嘻嘻嘻嘻
1697886166# #我和我爸擦肩而过。我爸给我打电话：你在哪？。我：我在商场门口。我爸：我在机构门口
1689428937# #喂你让我发完kgc再发呢
1699629642# #明天晚上上完课去和爸妈吃饭我想穿长筒靴但是上课不方便我现在就是真的特别纠结到底要不要穿允悲允悲
1694822046# #纯金❤️数学纯金❤️化学纯金❤️语文纯金❤️英语纯金❤️物纯金❤️上学纯金❤️上课
1695730070# #碎碎我吧我真的要爆掉了
1698922979# #我看不懂这是什么意思吐
1692546534# #今天抢菜没摇身一变女明星。
1694346499# #gct到底怎么🐏回来我就问问费解
1697960565# #你盒怎么没过沪签
1691737062# #开～普～勒～呀～西巴～
1696239832# #怎么让我点菜？我想哭了
1697788069# #和我妈说刚放学其实已经默默坐上了去迪士尼的出租车
1691316764# #大姐快看我的评论
1703302127# #我想吃海带苗啊啊
1692693409# #五点等待我勒勒的七夕告白
1702042333# #哪个微笑
1696404638# #只有这种时候我才觉得我花出去的钱有回报了
1699074057# #不好意思
1701171809# #高血压了
1698664762# #和我好朋友约好期中考完一起去迪士尼看她推女孩儿女孩儿
1689949624# #没人评论我就删掉。。
1695163873# #每天5点起床身体有什么变化。我的天那我要猝死
1697799023# #开始哭了
1691055546# #恭喜我咩老师获得黄裤衩一条
1693230563# #我有时候完全受不了我家的网费解
1689740775# #你想干嘛？
1691971917# #好烦人每天都好烦
1692192410# #更新五位老公裂开。
1690163603# #心情好发个自拍
1698846679# #逛了圈ml还逛了圈xy让我笑不出来
1696331784# #其实我昨天晚上偷偷买了一张未公开裂开裂开是我的第六张恩拍允悲
1691327111# #分享图片
1698157465# #好想吃小龙虾微笑
1691741743# #开普勒会员礼到车主那了嘻嘻嘻嘻
1701624093# #舒服晚安
1691056909# #做饭盐放多了尝一口想吐出来
1692177152# #我到底该怎么做你们才可以和我互动。。
1699793950# #呃
