1702519739# #1人泄露周海媚病历被行拘原来是医院工作人员泄密了
1692927695# #张艺兴示范飞天张艺兴展示的这个飞天舞，真是不错呀
1690366629# #檀健次演的这段可以封神了看到了檀健次在新剧里的塑造还是非常棒的呢，而且会有很多的名场面呈现了吧，大家看完之后是不是也觉得很惊喜
1693297108# #杰尼斯承认喜多川性侵涉及受害人上百位，这还是人吗？
1701061296# #年会不能停吃了多少打工人我相信所有的打工人都狠狠的共情了吧，当代社畜真的是又心酸又卑微，12月29号一起去电影院看起来，先哭为敬年会表演是打工人的年底噩梦
1689601741# #优酷第六部热度全天破万剧集&nbsp;还是很触动我的，而且表演的还是非常不错的，最关键的是能让更多人去了解到校园的一些生活追光的日子主打全家追剧
1700719386# #谭松韵给小可乐打码谭松韵这一次给小可乐打码的呀，其实我在这一次黑色棒球帽也是给我们呈现出很多惊喜呢，我们也非常期待这部电影的。谭松韵黑色棒球帽
1693914392# #曝85花TOP和男友同居肯定不一般呐，吃瓜吧
1695102808# #杨幂身材身材管理的真好，不愧是大幂幂
1700819743# #三大队原型故事还原度《三大队》也是给我们带来很多意义和惊喜的，几乎就能够把真实的故事还原出来的话，也是给我们呈现出很多的一些surprise
1699825102# #刘大锤曝杨玏王玉雯恋爱低调天天爆料，就想问了这刘大锤爆了几个真的啊？
1689134535# #封神终极预告燃起来了能够感受到这一次预告，给我们呈现出很多的看点的，相信大家都很期待这部电影，预告都已经这么带感了，我相信正片一定会更棒，而且看这些特效也给我带来了强烈的视觉感
1698364641# #权志龙回应涉嫌吸毒一切都等调查结果吧，口说无凭
1703146310# #三大队沈阳路演沈阳的小伙伴们应该特别开心了吧，可以看到这些主创们来到了现场，在这里也是会有很多的惊喜，也可以一起讨论剧情三大队主创来沈阳了
1704012825# #南方小土豆在东北滑雪场赢麻了谁能拒绝的了在东北滑雪场的快乐瞬间呢，南方小土豆们应该是会有一些不一样的体验吧，还是很快乐的！
1702697537# #吴宇森女性观众是非常重要的觉得女性的观众越来越受到大家认可了，而且很多导演在作品的表现方式上面也是更加尊重她们呀，很赞同他的这个说法，女性观众是非常重要的。
1695725013# #莫斯科行动有自己的露比大家应该跟我一样特别的期待莫斯科行动，在这里面应该是会有很多不一样的惊喜，这也是有自己的露比了
1704040882# #檀健次玫瑰发色檀健次小王子与玫瑰造型的确是给我们呈现出一波surprise啊，特别喜欢这一次檀健次的玫瑰发色，看到这么好看的造型风格，真是我们的小王子
1694844346# #张远说陈楚生不可能会唱跳张远实在是太有梗了，当又一次立flag说陈楚生不可能会唱，跳的时候又一次的打脸！我只想说这样子的flag你是真的别再立了
1698664209# #张馨予针灸看着就感觉很疼呀，中医确实博大精深
1703484600# #嘉兴人想过节的心已经按捺不住了大家应该跟我一样特别的想要体验一下过节的快乐吧？红灯笼、烟火、热闹的集市......嘉兴已经整个都弥漫着节日氛围了！
1699405429# #金莎男友大学生勇闯娱乐圈真的感觉找了一个儿子
1700216535# #用贾樟柯的方式打开上海觉得通过了咱们导演这种方式来打开上海的话，其实也是会给我们带来更好的体验的。
1700440641# #吴楚一最后的声明会下跪，会发毒誓，会完事吗？
1701044222# #秦岚的嗓子一点没耽误唠嗑虽然嗓子坏了，但是一点没耽误唠嗑
1703032626# #夜幕下的巍山古城静谧而美丽在这样子的古城下，也是能让人感受到静谧的美。其实会玩都不一样的惊喜，我们也可以一起来好好的欣赏一下来呀鼓掌鼓掌鼓掌鼓掌
1689901765# #敦煌骆驼疑似被人骑死了骆驼也是生灵，希望被善待
1704525407# #男子离婚时拒养人工授精的儿子老天让他生不了是有原因的哈哈笑cry笑cry笑cry就你这德行，不配
1692765067# #刘诗诗东方淮竹转笛子路透艺术与美！震撼！
1704429616# #钉钉个人版无已读打卡看到这里的时候还是非常的惊喜，所以我就觉得现在软件也是越来越好了，也可以考虑到一些使用者们的想法了
1704281158# #张远姚政领证远子又疲惫了哈哈祝老姚新婚快乐也希望远子早日找到女朋友
1689424777# #潘粤明新剧以身作饵这真的是36计都给整明白了吧，看到了这些计谋之后就感觉自己跟不上这个节奏了，大家都非常的聪明，尤其是潘粤明的角色曲江河三十六计玩得好溜
1694868106# #曾舜晞方小宝又扭起来了的确是把我们整笑到了呀，没有想到在直播的时候还扭一扭了呀，咱们的方小宝真是特别有趣呢，简直就是梦幻联动曾舜晞莲花楼方小宝古装再现
1689415040# #彭昱畅回归vs彭昱畅回家彭昱畅回归和彭昱畅回家，隔着屏幕都能够感受得到满满的反差，不过也算是回到《向往的生活》当中，抚慰一下自己被吓到的心灵吧！
1699429417# #治愈系恋人冬季限定板栗没有想到这一部剧居然会有这么多的笑点，而且还会有很多暖心的瞬间可以看到一些治愈的画面，还是很不错的！治愈系恋人
1696425033# #以为汪雨橦是辅助结果是输出汪雨橦真的是好厉害呀，真的是一开始的时候是辅助结果是输出，但是之前付出来的努力都得到回报呢，真的是每一个论点都很精彩。
1699309075# #金莎一个问题暴露了对婚姻的不自信如果一段婚姻让你不开心，没有好过有
1699141805# #惠英红说不遗憾那是假的已经是我们心里的最佳女主角啦
1689434280# #萧敬腾丁俊晖打桌球萧敬腾真的好适合这样子的一个造型，这也是和自己的好朋友丁俊晖一起打桌球，两个人也是非常的专注，认真，印证了那句话，认真的男人真的最帅萧敬腾禁欲系霸总即视感
1692019393# #白举纲狗刨比贾乃亮自由泳快好家伙，谁能想到白举纲居然凭借狗刨式游泳法创飞贾乃亮的自由泳呢，一整个被震撼的存在，这该死的胜负欲真的是没谁了白举纲贾乃亮该死的胜负欲
1690098635# #美依礼芽来中国前后对比在中国已经变成中国化了
1694686745# #张致恒决定结扎有钱就生呗，结扎干嘛？
1689472973# #风火战纪动画开播风火战纪动画开播，这种类型的作品还是很让人欣赏的呀，在家这里面每一个人物角色刻画的还是非常鲜明的，能看得到一些独特的特点！风火战纪末日危机新呈现
1700314608# #姜雪宁是困在信息茧房里的人姜雪宁一直以来都想走出自己的内心，但是这一次也是困在信息茧房里的人。看到这一幕的时候，让人觉得还是内心受到很多的意义
1699093276# #太棒了👏和自己偶像互相尊重多好
1703262904# #程潇印花露肩造型特别喜欢这一侧造型啊，其实我觉得呈现出来了高贵优雅的一种气质的，而且在这一次时尚的风格上面是给我们带来surprise
1696842839# #胡兵因为妈妈意识到人生需要发生一个变革亲人最多的就是要陪伴，人的一生很不容易
1702615447# #淘宝回应小伙网购工业品造出飞行自行车可以飞上天的自行车真的是眼前一亮，我也第一次见到这样的创意
1691745939# #七时吉祥特效看起来很烧钱七时吉祥这一部剧真的是让人特别的惊喜，没想到这里面的一些特效制作的这么的高级，看起来还是非常烧钱的呢七时吉祥上头
1704296489# #张佳宁为林北星流过的眼泪的确是很喜欢张佳宁在角色上面的演绎了，其实我觉得这一次的哭戏演绎的更加真实，也是更加让人觉得心碎了。完全感受到张佳宁的演技。
1690943449# #相柳九个主机一个都没装声卡是吧长相思相柳的爱真是配得上所有的东西，但是我最难过的就是居然无人知晓！！这六个主机没有一个装了声卡吗相柳震耳欲聋的爱意无人知晓
1692671802# #家暴发生前的家庭有多美好在一个家庭里面，如果要是遇到这样的事情也会被破坏，而且还会影响到自己的后一代，一定要注意一下呀！如果陈均没有动手打徐敏
1690074506# #林志玲亲口证实引退专注家庭固然重要，退出了，还会不会复出？谁知道呢？
1688947387# #轿子山云海宛如仙境波澜壮阔水天一色，山水如画，轿子山的云海太美了，美景尽收眼里&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
1703909165# #刘恋新歌解读实话实说，这一次歌曲的歌词写的真的还挺到位的呀，特别喜欢这一次刘恋新EP《别说话只接吻》让大家感受到了恋爱的一种温馨感。
1692191122# #余生工作人员说杨紫是娱乐圈最nice艺人认真工作，真诚待人，谁不喜欢呀
1696644398# #沈梦辰拍了周杰伦专辑封面同款照追寻着周杰伦的脚步，氛围感十足！很有感觉的
1696716800# #巴黎偶遇白敬亭宋轶这个才爆出来呀，应该都回国了吧？
1702078413# #辛芷蕾左脚油门右脚刹车这车是跟体育老师学的吗？
1694780239# #莲花楼演唱会明天见的确能够感受到，明天的演唱会会让大家更加的期待了呀，所以我觉得能够看到了明天的演唱会的话，那真是更加值得开心的一件事情
1693225889# #白举纲头上天降大锅他们到底为什么会认为白举纲背锅最实在呀？每一口锅都刚好砸在了白举纲的背上，白举纲可能都要被这些锅给越砸越矮了
1701036496# #易烊千玺景德镇私人行程不要过多关注
1690601913# #董子健孙怡离婚后首同框还能走在一起，完全是因为孩子！
1700951228# #林青霞金马终身成就奖恭喜林青霞了，金马终身成就奖
1699019512# #红毯没有王法只有迪丽热巴的想法每次的造型都能展现不同的风格！
1700810616# #入冬的仪式感是糖炒栗子给的上饿了么搜【阳光栗子】每一份阳光栗子都是现制现卖，超级新鲜的，谁能不心动啊。饿了么阳光栗子暖暖超给栗
1691983462# #打工人的周一强心剂我感觉现在很多打工人都是这个样子的，不然真的是特别的麻烦了呀，有的时候如果要喝杯咖啡就会觉得很清醒！
1699825147# #孙俪婚姻里付出不被认可是悲哀的事婚姻的开始还有感情，还有激情，后来只是亲情了
1701036329# #B太我被漠河人留住了我也很想去，就是感觉有点太冷了
1689582644# #做自己的光办公室海报《做自己的光》也是给我们呈现出很多的surprise，没有想到看到这一次办公室的海报这么的有亮点的，而且刘涛和刘宇宁站在一起好有身高差
1693875690# #茅台巧克力即将上线这茅台干副业干上瘾了
1696654897# #杨幂杨颖张大大酒店聚会过时的新闻就不要拿出来
1698881321# #林允儿我看我闺蜜上班这笑的那么开心，应该是敌蜜吧！
1703931225# #被一闪一闪亮星星下雪场浪漫住了能够体会到这样子浪漫真的还挺不错的，其实我觉得在这部电影里面也是给每个人的内心都带来更多的感动的心
1699019461# #赵露思演讲煽情不了一点喜欢看赵露思
1697754377# #23岁姑娘患乳腺癌与不良生活习惯有关吃外卖熬夜，这都是对身体很不好的习惯，要想活得久，早睡早起，健康饮食
1695187287# #2024优酷新剧海报审美这次看到了海报之后就会觉得很让人惊喜的，审美确实非常不错的，也特别的想看看会有什么样的作品呈现呢！2024酷的剧集片单你最期待哪一部
1691487737# #周雨彤说要敢于拒绝对于周雨彤的这些采访，我觉得是真的非常的有力量！在成长的过程中就是应该要学会怎么拒绝别人，周雨彤显然是真的做得很好
1703511661# #一下雪这里就变成了天堂在这片静谧的世界里，时间仿佛静止，只有雪落冰融的声音回荡在山谷之间。
1695361625# #张远从哪跌倒就从哪站起来张远再3纠结之后还是选择想要替徐良赢回来，这好像在意料之外，又好像在意料之中，咱就是说继续加油吧，从哪里跌倒就从哪里站起来
1692706266# #训导员七夕浪漫撒狗粮哈哈哈哈哈😂还可以通过这样的方式撒狗粮，真的是特别的意外啊笑cry
1691812333# #医生说曾黎顶多30岁养生与不养生的人肯定不一样啊
1700087557# #陈牧驰吴楚一新录音接二连三的瓜不停的爆出
1701338009# #赖美云奶狼奶狼的赖美云果然是给我们呈现出很多惊喜啊，其实我觉得这一次看上去真的是奶狼奶狼的看到这样子的风格，也是给我们带来很多的一些魅力赖美云是个奶里奶气的小狼仔
1695091797# #韩国总统批准拘捕李在明韩国也不缺乏正义之人，但是这个总统确实是美国的走狗
1696805272# #李现深夜晒八块腹肌只有自律的人才会有八块腹肌
1688978167# #杨幂采访谈离嘉越重要的事越轻描淡写
1693978277# #陈伟霆你人还怪好的嘞怎么感觉陈伟霆还有陆虎两个人像是在演我呢，看到这些片段之后就会觉得很真实了，而且还原的还是很到位的！陈伟霆陆虎演我和我的理财顾问
1692346479# #好声音学员徐海星爆料越来越多的人来爆料好声音
1697809294# #杭州情侣回应不花钱办一场婚礼这样子的一场婚礼，其实也是非常的有创意的呀，感受到了对于两个人来说也是非常好的一种回忆了，有爱就可以了！
1694864130# #袁冰妍被约谈后仍整改不彻底约谈后还不改，是谁给她的勇气？为什么不极早封杀？
1688867578# #马景涛你不介意你喜欢你珍惜是两个人的事，为啥一定要说别人不珍惜，从前的婚姻你也没参与干嘛那样说？
1704002588# #周深祝大家遇到懂你的人期待！非常期待周深的跨年舞台，一起共渡美好时光
1692928280# #人体遭遇核辐射最可怕的是DNA断裂日本人也知道对身体不好，但是他们要是不伤害别人，就得伤害自己，自私的民族
1699086540# #张远披荆斩棘总决赛见张远一路走来，让我们见证到了他的实力和优秀，不知道他还会有怎样精彩的表现将会呈现给我们，一起去期待他的总决赛舞台吧。
1703399265# #数三选拔活体计算器真的最讨厌这种计算题，耽误时间
1695610733# #张小斐亚运播报张小斐亚运播报也是给我们带来惊喜，而且咱们的姐姐真是一个特别有实力的人呢，最近也是很喜欢看姐姐的好事成双这部剧！张小斐说少年英雄正从杭州走向世界
1702867060# #假如大理下关的风有形状看到了大理这种有关风的形状，真的是有一些不一样的体验，而且也是会有很多不同的魅力，一定好好欣赏一下
1699237360# #探秘武威历史文化街区两千多年的历史长河中，武威的文人气韵绵延至今，让我们沿着古城街巷的脉络，用脚步领略千年的文化印记，走进武威历史文化街区，与古城印记来一场跨时空的会面。
1689316870# #张一山关晓彤在新剧里看家有儿女曾经沧海难为水，除却巫山不是云
1703074447# #被安置点的这一幕暖到了烟火升腾，笑容依旧，一切都在慢慢恢复。祝福平安
1694606400# #白敬亭说录节目一直盯着沈腾综艺节目，有沈腾一定会很有意思
1699141620# #沈腾扶杨幂下楼梯不管什么地方，只要有沈腾就感觉好笑
1699104846# #第一次看到这么灵活的女主江湖破产前后或许有很多差异，但不变的是她钻车的技术，依旧丝滑~
1701813624# #黄晓明张小斐是我的粉丝这到底谁是谁的粉丝？
1693139655# #消失的痕迹王艺禅哭戏破碎感《消失的痕迹》蒋家姐姐哭戏破碎感确实是很让人惊喜，而且是能有一些代入感，让我们了解到角色的魅力蒋家姐姐竟然是人世间吴倩
1700466144# #你会去电影院看我本是高山吗根据张桂梅真实事迹改编的电影《我本是高山》将于11月24日全国公映，到时候你会去看吗？每一个人对于这部电影的理解可能也是不一样的吧，其实我觉得主要的含义还是很不错的，我肯定要看的
1704637000# #张远青鸟二次元之魂觉醒张远在这一次的舞台上面能够给我们带来这么好听的青鸟这首歌曲，其实我觉得真是给我们呈现出了二次元最好的魅力。
1694700682# #张凌赫解读衫羽欲来张凌赫解读衫羽欲来能让我们了解到两个角色一些魅力，而且会有一些细节，确实是一见钟情了吧张凌赫说宫子羽对云为衫一见钟情云之羽
1699414190# #电影红毯先生改档春节上映春节档上映很可，因为这时候刚好可以带着一家人去电影院看电影~团团圆圆的看《红毯先生》，期待华仔的角色和精彩的故事宁浩刘德华新片档期按资方说的来
1694257406# #孙怡看秀生图状态孙怡现身纽约时装周，这身复古套装真的和她的适配度一百分，简约中尽显时尚大气，感觉高级感十足，真的是非常亮眼的一套造型！外媒镜头下美女的生图状态依旧没话说，好绝！！
1692456959# #张远吃瓜吃到自己头上我只能说张远这一次还是非常幽默的，而且吃瓜吃到了自己头上，看到这里的时候就觉得笑点十足啊！
1699581709# #张钧甯拍追缉手掌骨裂张钧甯对待每一个角色都认真，所以更相信她在电影《追缉》当中会带来的惊喜，光是预告就已经戳中我了！
1696640907# #迪丽热巴万渣朝凰很期待迪丽热巴利剑玫瑰！
1703264500# #运动员饺子耳势不可挡其实他们也是特别的努力呀，而且我也相信大家都会感受到他们，其实真的是一直付出很多，有些病痛不会要你的命，但是也会一直折磨着你，太心疼他们了。
1696497178# #《前任4》中，不再有前任。但它却给了自己和现任，再好不过的结局。
1700383186# #十个勤天沙滩露营解锁新游戏原来还能有这么多新鲜的游戏呈现出来啊，我真的是太佩服大家了，在这里解锁了一些游戏，玩的也挺开心的呢你好种地少年
1693475078# #万卷风雅集王鹤棣的表现是非常棒的，在这面也是能让人看到一些不一样的新操作，在节目里面也是收获到了很多的快乐了呀！
1699317166# #胡彦斌意难平披荆斩棘的舞台上，留下了很多好听的歌
1700456411# #李雪琴曾柯琅现场发糖他们俩的甜蜜让人感到高兴，每次看到这样的场面都觉得温馨又有爱，这样的综艺节目总是让人充满期待，尤其是看到李雪琴和柯琅的甜蜜互动让人感到幸福满满，简直是撒狗粮的最佳代表
1691802681# #杨超越共情角色的神杨超越哭着读信完全能够感受到杨超越给我们带来很多的泪点，也带来了很多的感动了，而且大晚上的念着这个信件，真是很有泪目了
1689598301# #玉骨遥为什么没爆今晚剧情高能
1691286090# #王俊凯王源易烊千玺同台比心期待十周年同台演出
1693461907# #闫妮路演被观众齐声喊拿影后闫妮真的是很优秀的一个演员呀，而且这一次路演被观众齐声喊拿影后。也是让大家看到了咱们的姐姐的演技，真是被大家认可了
1700432070# #房东的猫娱乐圈人脉他们很敬业呀，歌也挺好听
1697352908# #赞多北京巡演雨爱直拍赞多跳杨丞琳的雨爱破碎感加倍&nbsp;
1693121664# #从来没见过张远眼睛这么大《披荆斩棘》真的是让大家都发现了，原来张远的眼睛可以这么大，这泼天的富贵即将来袭，张远你准备好接住了吗？让我们一起拭目以待吧
1690961909# #小朋友现场问吴京潜水装备一套多少钱果然这一次的现场是给我们带来满满的快乐和看点的，而且小朋友是提问吴京老师这个潜水装备是多少钱一套的呀？哇哇吴京和小朋友们这一波互动太棒了
1702779734# #杜海涛主持星光大赏星光大赏主持人是杜海涛吗，期待了
1689775022# #刘宇宁演的蒋俊豪最多三岁这一次刘宇宁给我们带来的角色还是非常优秀的，而且也能看得到这个设定，还挺可爱的，这真是最多三岁了吧！蒋俊豪被小学生嫌弃
1698907784# #吴建豪经纪人回应感谢有你，下一站幸福
1696480252# #offer史上最强踢馆实习生王艺妍妤居然会这么的优秀了吗？相信这一次的节目也是会有很多精彩的看点了吧，毕竟大家都是非常强的，也是会有很多惊喜
1696655041# #鹿哈自曝带货7个月挣3500万看到这个新闻会觉得正常吗？网红这个行业真的来钱太快了，基本都是一些不读书没啥内涵的人，而读书高的却这辈子挣不了这么多钱，有点畸形的社会形态了
1702096327# #余景天催粉丝做数据搞不懂的饭圈文化
1695652345# #优酷给前任送的伴手礼真体面看得出来还是非常体面的，所以大家到时候一定要去看一下前任4啊，真好啊去参加首映礼真的好幸运啊还可以收到伴手礼和喜糖
1697270880# #邬家楷剩下的待播作品到底什么时候才可以播出呀，异人之下，沙漏，珍品，随便来一部播出，让大家饱一饱眼福也是不错的事情
1688987232# #你愿意自由行还是跟团游当然还是愿意自己走了呀，因为我觉得跟团旅游的话是不太方便的，而且自己走的话自己会玩的更加开心🥳
1703759156# #刘亦菲单肩透视粉裙刘亦菲单肩透视粉裙造型，优雅大气
1698842686# #青岛啤酒小便工人被行拘个人恩怨，连累了企业损失好几百亿
1692255759# #创造营在张远微博团建了救命，我是真的会非常喜欢这一次的这一个如同团建一般的活动，张远是真的超级nice，希望张远在披荆斩棘中也是如此
1703930998# #刘德华林家栋安好cp等不到晴天真的是没有想到还有这样子的一对cp啊，其实我觉得他们两个人在这部电影里面给我们呈现出来的角色还是挺不错的，实力演员一起演戏，就是对观众来说很友好呀。打call
1689140734# #在昆明听花开的声音现在昆明也会有很多的花朵，而且是会有一些不同的魅力，所以说大家也可以一起去这边看一看，也可以欣赏一下了呀！太喜欢这个地方了
1690193937# #刘雨昕新浪扫楼这一次在新浪扫楼真的太好玩了吧，刘雨昕居然还会现场教大家跳舞，我感觉这种氛围感是真的超nice，好恨没有在现场刘雨昕教新浪员工跳舞
1700397706# #新裤子演唱会的万人蹦迪名场面万万没有想到新裤子的演唱会这么的有亮点了呀，其实我觉得这一次万能蹦迪的名场面，真是让我看了之后都哭笑不得了。新裤子演唱会万人蹦迪现场
1700269138# #1000多年前韩愈自创的万能海鲜蘸汁这样的一个创作真的是非常的独特，所以就觉得还是挺惊喜的，也是能让我们了解到了韩愈的经历宗师列传唐宋八大家
1689760651# #小花向涵之其实还是很有自己的能力的呀，不管是剧集还是时尚、商务都很给力，未来可期，内娱独一份的气质。希望未来能够带来更好的作品
1704257571# #这才是苍山雪洱海月苍山雪景美不胜收，晶莹剔透的雪花在山间舞动，宛如一幅美丽的画卷。洱海月夜宁静幽雅，月光洒在湖面上，波光粼粼，宛如一面明镜。置身其中，仿佛进入了一个神秘的世界，让人流连忘返。
1696805297# #章子怡手机壳是自己的表情包用自己的表情做手机壳也是超级牛啊
1701951141# #蔡文静GQ红毯出发蔡文静的确是给我们带来很多新魅力，太喜欢这一次的GQ红毯出发。呈现出来的时尚的感觉，真是更加让人觉得心动不已了
1699693147# #沈羽洁说秦时月是快乐小狗真的是太欣赏沈羽洁在《以爱为营》中饰演的秦时月，漂亮大方的女孩子，又能够勇敢的追求自己的爱情。可真是太赞了秦时月追爱有一套
1690172379# #刘涛黑色露背裙感受到刘涛这一次封面大片是给我们呈现出满满的魅力啊，真是好喜欢这一次复古的风格了，而且也是给我们呈现出来的温柔大气的感觉刘涛露背了
1701507169# #谭维维为什么把歌定的那么高谭维维这一次唱歌的时候真的好好听，而且这一次自己因为感冒发挥的不好，谭维维真诚的让人心疼，把观众放在第一位值得尊敬
1689860334# #魏大勋奔跑吧特别季每一天都能看到魏大勋的热搜，谁能告诉我究竟为什么？
1704271785# #刘德华林家栋的30S文学所以人啊，最复杂的便是感情了。看电影看到这个片段的时候就在为两个角色间感情落泪。如果林阵安是个好人就好了，那他和修浩就是真的一辈子朋友了，可是他如果是好人，那又怎么会遇见修浩呢？林阵安不发疯我才觉得有鬼。
1702884328# #怒潮后来成执念故事剧情应该是会给我们带来很多惊喜，电影真正想表达的却是希望、光明和善，那大片明媚的向日葵，在绝望的故事之中是人类永不会灭的渴望，而且也是能让我们有很多不同的感受了
1699743348# #韩国女歌手Nahee去世泡菜国的新闻我们怎么那么重视？
1703493654# #大理无量山冬樱花开正艳看到大力这边的樱花真的戳到我了，也是会有很多不同的魅力呀，大家有机会的话，可以一起去现场打卡呀
1695515175# #赵又廷再用高圆圆威胁秦霄贤现在网上很多流行用嫂子开玩笑，没什么意义
1689684382# #看周迅钟楚曦对话莫名紧张周迅钟楚曦对话，莫名紧张看到这一段的时候，真是让大家心都开始捏起来了呀，其实感受到两个人对峙很紧张林阚晏明车前对峙
1695649382# #吴磊都生不出这么像的有说像的，也有说不像的
1695996369# #云南经贸外事职业学院迎新晚会让我们看得到一些欢乐的瞬间啊，这样子的迎新晚会也很不错，谁能不爱呢？青春当时，风华正茂时！
1695609269# #佟丽娅约董璇在城堡见面真的是没有想到佟丽娅和董璇两个人这一次可以有同框的画面就拍出来的照片还是很漂亮的呀，姐姐们之间感情还是不错的
1693990775# #周渝民夫妻被诈骗保险金案宣判这是闺蜜应该办的事吗？
1704095454# #云南石屏首创马拉松赛道婚礼觉得这也是挺不错的，而且我觉得在马拉松的比赛上没有能够感受到爱情的幸福
1698015487# #郭麒麟说我有点儿可怜我爸这段时间，郭麒麟胖了不少啊
1692763192# #那英泰国度假到底是什么原因？身体不佳，只是一个托辞吧
1691213747# #阳宗海开展封湖禁渔专项整治咱就说这一次能够有这么好的一个专项整治，也是挺不错的呀，希望给大家带来更好的一个海洋的环境！这很重要鼓掌鼓掌鼓掌鼓掌
1702881133# #刘畊宏出圈1年多后谈流量下滑人生很多事情都要亲自去体验，才能感受其中的美好。
1701909951# #若鉴定结果为真唱举报者要负责吗中国的效率就是慢，这都多长时间了，连个结果都出不来
1696134760# #云南省文化和旅游厅出游提示果然这一次的出游提示还是非常有重要性的，也希望大家在这一次国庆假期出门旅行的话还是可以关注一下的。鼓掌鼓掌鼓掌
1698558220# #向太cos虽然向太一家太高调，但这样玩好像有点。。。
1704635592# #马斯克被曝吸毒怎么马斯克吸了毒，车、就发不动了?
1698105319# #葛荟婕回应汪峰离婚曾经爱有多深，现在恨就有多深
1691635860# #摇光录乱世公主超话摇光录乌日乐明人不说暗话，真的超爱摇光录乌日乐的卡面！这卡面太神仙啦！月亮下的乌日乐哪是大祭司啊！明明就是月神本神，美好的不像真人，太戳我心巴了！乌日乐美男出浴
1690799195# #李玟追思会萧亚轩在李玟追思会痛哭萧亚轩出席李玟追思会，泣不成声。“她是点燃我唱跳的巨星“、“我会为了你继续歌唱，继续跳舞”。但愿ELVA能够坚强，早日战胜伤痛。
1691653844# #雷军曾把公司整没了觉得有的时候创业不是一条容易的路，雷军紧张的时候居然还会搓手手，这样的反差萌也太可爱了吧，原来大佬都不需要整顿职场，现在有这么多的收获了
1700320344# #无价之宝票房破亿《无价之宝》这是一部特别好的电影呀，所以这次能够看到票房破亿。也是给我们呈现出很多的一些surprise啊，这一点可真是太给力了
1701639148# #吴京知道成片是这样的吗这个碰头的瞬间有点想哭
1695196646# #老刘爆哭哎……傅姐真不容易，能做到赚钱养家，还要保护刘心底脆弱的地方允悲
1694792965# #黄晓明端水端到了国外绅士风度，黄晓明都很会端水，这次端到了国外，属实优秀啊
1691280967# #周深清唱就能让我起鸡皮疙瘩清唱时候的感觉真是让大家都一把子拿捏住耳朵了，而且我真的很喜欢他这个版本的大鱼了呀。看得出来大家也是非常的喜欢周深这一次给我们带来的歌曲了吧，真的挺惊喜的周深山歌版大鱼
1693352431# #要多和大便通畅的人接吻大便不通，心情也不好
1694516686# #李佳琦之怒直播带货行业也许是竞争的原因吧，李佳琦需要情绪管理，累了、疲惫、厌倦也是一个原因，除了直播没有自己的时间和其他的快乐，心里已经不想直播了，但是他停不下来，公司需要他直播，包括他也签约了，这跟赚钱不赚没关系。签了就必须得干！再说了电视购物早就淘汰的东西，主播却让其回
1696062982# #云南建水第十七届孔子文化节开幕也可以一起来欣赏一下云南建水第二十七届孔子文化节开幕，在这里也会有一些奇妙的体验，而且还会有一些文化的魅力
1695856715# #张嘉倪和素人合照和素人合影就能看出明星有多好看了
1695168846# #何炅好朋友都是阶段性的长大了就要学会孤独
1699713009# #周笔畅在帅气和性感之间选择了玛卡巴卡的确还是蛮喜欢这一次周笔畅上海演唱会。感受到这一次舞台是给我们呈现出更多的surprise，演唱会的舞台太赞了
1694354466# #张远演唱会羽毛造型真的是平等的羡慕每一个去了张远演唱会现场的人，无论是看到了羽毛造型的真实版本，还是现场的氛围感，都超爱
1697407282# #15号赢麻了倒带赢麻了周杰伦唱自己写的歌有什么大惊小怪的，周杰伦尊重歌迷，点到了就唱了。苦涩
1698987515# #李佳琦直播间疑为冲销量未付先送直播的行业应该整顿了
1704120905# #王耀庆跨年舞台自带开心魔法咱们的舅舅又一次给我们带来很多乐趣的，感受到了满满的开心，建议以后每年都邀请舅舅来参加跨年晚会，如果可以的话，春节联欢晚会也邀请舅舅来热场子都好呀！我那50岁还在全开麦唱跳的舅舅
1700195472# #楠忘今潇在一起啦的确还是蛮喜欢两个人这一对CP的呀，所以我觉得这一次能够看到两个人在一起的时候，我觉得还是挺开心的。终于，我磕的CP有情人终成眷属我们恋爱吧
1700130439# #为什么海阔天空能成为经典真的挺喜欢海阔天空的呀，能够听到的这么好听的一首歌曲，真的还挺不错的，而且我觉得在这首歌曲里面也是给我们带来更多情感上的这种表达方式的呀。
1700217635# #尚雯婕原来最大的黑粉是自己原来还有这么多幽默的瞬间了，最大的黑粉是自己，这真的是让人有点出乎意料，也挺佩服的呢爱唱歌的大学生
1699103587# #海清带着素人女学生走红毯可以通过这样的方式来带着素人女学生的话也挺好的，而且可以让更多的人关注到自己的学生，也挺不错的！
1692456383# #你好星期六下周是莲花楼看到这个预告，就感觉快笑抽了
1702609944# #国产动画开始卷AI了虽然AI很厉害，但是我觉得现在的一些设计师或者是说制作的人也是非常的优秀，大家都有自己的想法！
1700737525# #秦海璐像从油画里走了出来看到秦海璐的时候真的是让人眼前一亮，我觉得美女就像是从油画里走出来的一样真的是特别的漂亮！
1701986465# #范丞丞魏大勋龚俊白敬亭坐一起帅哥们在一起也很养眼
1691552321# #腾讯视频9号开放日不允许有人错过腾讯视频九号开放日这么有意思的活动，明星互动扫楼一定能够带给我们满满的欢乐。还有不少的小伙伴可以到现场直接嗑CP。
