1700463392# #快来看小黑
1701263186# #嘤嘤嘤的福利首评“嘤嘤嘤”送琥珀，白垩纪缅甸琥珀
1703151606# #四泡了！一下午的！
1702523151# #缅甸军歌မြန်မာတို့ရဲ့တပ်မတော်怎么和日本海军军舰进行曲那么像……
1697196996# #中文一般叫颈盾，颈饰，英文很可爱叫frill，说的是头上的装饰；褶边。
1697333180# #我查了查，他自己就是天蝎座，破案了
1699179940# #这战打得装备好丑生病
1693317959# #辣哭了五次苦涩苦涩苦涩
1695605943# #图四的缝隙里面好多蜘蛛网嘤嘤嘤
1696734388# #刚刚楼下撞了送外卖的然后发现是我点的允悲允悲允悲
1698624360# #突然想起来昨晚吃的另外一个上面的康师傅的师是简体……难道悲伤
1693815737# #【甘肃震旦恐龙文化×邢立达课题组】甘肃恐龙科考研学国庆团准备出发！。时间：2023.9.30--10.4。招募对象：7岁以上亲子家庭，16岁以上可单飞。简要行程：兰州-临夏永靖-定西临洮。研学地点：永靖刘家峡恐龙国家地质公园、震旦恐龙展览馆、定西。1999年，恐龙专家李大庆为首的恐龙研究团队，在甘肃永靖县发现
1701667123# #嘤嘤帮转，喝过好喝，袋子好看
1697940493# #逆子啊！逆子啊泪泪泪
1702963063# #来来可爱了
1696988258# #本轮巴以冲突已致双方2100余人死亡轮式梅卡瓦，哈马斯其实早就开始充分准备了啊……。---------------------------。2018年3月25日，加沙地带加沙市外，巴勒斯坦哈马斯伊斯兰运动的军事分支伊宰·丁·卡桑烈士旅的武装分子在一次大规模演习中，走过与实物大小相同的以色列梅卡瓦坦克模型。照片：维
1698848513# #请问一个剧，蓝色制服人撞见了老婆和一个会爆浆的外星人出轨还有一个像鼻涕一样的妖怪，好像是一个美剧
1696844314# #我的十分之一。所谓的宅男一堵墙？
1689827110# #巨齿鲨牙齿，美国的，想做几个坠子送人，觉得打孔怕崩坏3，过度包金银有点失去原神，绑缚是不是好点？
1691321402# #那就挺考验管理能力了呢
1698397468# #哈哈哈它好好笑举手打call
1698399081# #伊娃伊娃你吃不到哈哈哈哈😄哈哈哈哈😄
1702091774# #天津大锅子。这么大一个，怎么吃啊？切开一块块？
1697457793# #啊啊啊啊啊啊啊龙龙
1700816121# #……天外犹客，space…Jews……这演员的职业生涯难道没事？
1696735840# #为啥小朋友的小名都是北方菜多些？。小包子，小汤圆，啥的
1695721613# #烤盘不能用钢丝球刷的吗？……糟糕😰龙妈就要回家了，我是不是整个刷成底色她就发现不了……
1694601197# #内蒙古自然博物馆“完美巴彦淖尔龙”雪糕来啦色
1697805194# #异特龙
1698510357# #我看得好认真，感觉出现了转机。。直到看到了倒数第五行…………。
1692149717# #旁边小朋友第一次坐飞机，有点紧张，我就给她吃了一个糖果🍬。可恶是她右边的大叔开始对她讲13年前发生在这个机场的故事，时间就是下周四……结果小姑娘都快哭了……可怜的娃
1695568228# #朋友买的东西好奇怪，等了27天……打客服说不管海外快递
1693203813# #它化石脚部是完整的皮肤印痕，特别像泡椒凤爪哇
1696476163# #商铜爵，这是长颈鹿吧？？
1695206179# #弄了一下午铁皮箱。全是珊瑚化石
1692490810# #视科学为偶像就好哈哈
1700790996# #我不知道海淀之外的咋样，就海淀这些小学初中，家长被要求的事情太多了，作业，资料，基本就是电子版丢群里，打印（每个人家里有打印机吗也不见得啊）；交什么打卡红照片，带着去现场，学习，拍照，彩打；手抄报，卷，自己上手；课内研学，列个清单，动一动好几千；如果还有体育兴趣的训练，接，送，交
1702220654# #我一猜就是教师第一。
1700274546# #还有人想了这：游态人。太损了
1693121093# #小飞龙新毛绒，请问是啥怪物螃蟹……
1691316453# #侧面撞来一只鸟。留下了一个鸟印
1697359763# #“老公做饭啦！”。“虾还换了一个好看的盘子呢！”。其实……
1689694854# #内蒙的星空超美的
1691290891# #能看到小兔子吗？
1694270599# #卢克我来就你啦！
1703297295# #我摆了一个暴龙嗷虎出来吓得山东龙跑路了的场景单身狗
1690698017# #这破芒果把我的牙废了闭嘴
1699967831# #今天开了7个会，才想起来没吃饭悲伤悲伤悲伤
1701499364# #突然发现你男友是亿万富豪之子我潮州的一位朋友小时候平平无奇，中学的时候他爷爷带他去茶园，说，你看，很远很远的那边有一抹翠绿，对吧？“嗯”，从那抹翠绿，到你脚下，都是我们家的老师好。
1697891373# #是不是海淀首位穿秋衣秋裤的人？
1702985513# #小飞龙说考全班前三或男生第一就要带他去迪斯尼，我先一口答应了因为觉得悬，现在看是我悬啊，可我不想去迪斯尼啊艾玛泪泪泪，我想想什么办法……但感觉会被拔管
1692761558# #一封来自日本恐龙的邀请函这么多恐龙是怎么塞进去这个盒子里的？盒子蛮小的
1694048544# #减肥早餐，但是不是要撒点葱花好看点？
1688698993# #我家娃的脑子老师好老师好老师好，在旗舰店买了一个玩具花了200，过了几天，在咸鱼看到全新只要80，买了，然后告诉同学他的玩具价格140……，大家都觉得好厉害？？
1692949187# #我感觉到我感觉到我胸骨凹进去了你们以后别做人肉教具啊切切。！查了查这是禁止的操作啊！
1701430590# #汤还可，没什么欣慰，但鸡肉像僵尸一样，没事，我就说大家只喝汤就好了
1690121922# #吴京加上朱一龙微信了苦涩我哭死，谢谢京哥帮我追星害羞
1693834871# #中午下单刚刚收到啦好快！但我才想起我不想带手机跑步🏃🏻这岂不是很尴尬……
1698552980# #闯祸了，把单位无人机挂高山杉树上了悲伤泪泪泪
1697631777# #母鸡啊，到处都有长文分析没时间看
1704261740# #结节龙科的北方盾龙，油砂矿里面的偶然宝物，有胃容物。死后不久冲下海，尸体浮肿，可能漂浮数周，然后爆了，以背部朝下姿势沉水，很快被掩埋。
1691890199# #昨晚有团员过生日哇哇哇。买了当地能买到最大的蛋糕
1698237170# #小朋友们的期中卷子好可爱嘤嘤嘤求关注求关注求关注
1698719183# #收到就好，我也不太明白为啥要做得这么华丽。想想我们的校训打call
1697285913# #艾玛悲伤悲伤悲伤这巧
1696230401# #今儿带小朋友捡了好多双壳类化石，一亿年前的花蛤允悲
1696476209# #西周铜人面饰，Mr。汉尼爸
1691920975# #请问水果手机是不是有一个扫描功能啊？直接拍好丑
1696743408# #自助虾好评
1697194301# #它有大几百个牙，慢慢拔悲伤
1696765255# #17年咋了？
1703226511# #wf2023北京龙妈不然我乱花钱买手办，明天给我配了一个新手机，没绑定任何卡生病，这可咋整汗
1698638118# #爬上来太猛，发现下不去了，我准备滑下去悲伤。一会见
1704201804# #涉黑涉恶案件本质上属于集团共同犯罪，所以其应当满足刑事犯罪集团应具备的基本特征，即：（1）人数较多（3人以上），重要成员固定或基本固定。（2）经常纠集在一起进行一种或数种严重的刑事犯罪活动。（3）有明显的首要分子。
1692831461# #p或雕的开门假。
1689481589# #研学团顺手带上了小恐龙，居然找到了恐龙足迹艾玛汗汗汗图上你能找到吗？
1690715399# #南宁家常菜求关注求关注求关注
1692238698# #东北的夏季只有三个月，但真的能打
1695281055# #没办法，苏州是省会城市嘛。
1694157317# #雷暴为何会加剧过敏雷暴哮喘？。“在高花粉浓度的情况下出现雷暴，雷暴会使花粉变成更微小的颗粒，更容易进入人们的呼吸道，引发过敏性哮喘。”
1704179448# #“烂尾之城”
1701237567# #谢谢微博，阿旺前爹居然要回了阿旺！这是微博网友的胜利！
1698191566# #我不可能这么笨的啊。
1699709778# #刚刚选了大冒险，是打车六环一圈悲伤。这……六百够吗？悲伤
1688982705# #晴空颠簸不好预测啊，下午这飞机坐得主打一个惊吓，空姐和乘客有被甩到顶面，空姐护着乘客，但还是都受了伤，顶面被撞得露出了管线啥的，出口掉到了我脚下允悲
1699280206# #好久没喝，刚刚喝了一杯珍奶，除了一颗跑道鼻子里之外都还挺好，但怎么现在喝完了感觉嘴巴很苦很涩，是不是添加了啥奇奇怪怪的东西鸭？
1698137294# #生日快乐鸭宝
1698145696# #伊娃洗澡后变圆滚滚的
1703147015# #“问题是她自己都不爱吃她做的饭”哇哈哈哈哈哈哈哈
1699671251# #悲伤悲伤悲伤
1692134346# #找到了，找了好久。猜猜看这是啥？
1701511779# #“孃孃”的“孃”怎么读？
1693314610# #刚刚吃了朋友从海参崴带来的100%黑巧，差点没过去……这是直接吃的？
1698096718# #……京观悲伤doge
1702523280# #哇，好像一个兽脚类足迹啊！
1695176058# #几个奇怪的爬爬。T-902020年2月1日叙利亚反政府武装阿勒颇。朝鲜新一代主战坦克。叙利亚T-72M1
1701780783# #来，猜水柜。
1702388995# #悲伤太可惜了，一路走好
1694335480# #我梦到你们出了一款很大很大的大黄鱼抱枕。
1704025665# #地铁才刺激，阿摩尼亚随处可得。
1691028605# #帮我学生冲kpi买了一些，刚刚看了下全是亏的，亏不太多就是了，学生还是爱我的
1697683478# #嘤嘤嘤的福利转➕评，三天后送一位宝宝价值268最新恐龙书一盒！这是今年最有意思的引进版恐龙图书之一，也是我翻译的日本福井恐龙博物馆最新恐龙书，然后用硫酸纸、牛皮纸、镭射炫彩纸印刷，联合读创出品的《恐龙有绝招：大幅彩绘古生物超级视觉志》镭射炫彩礼盒装，附赠11张半透明骨骼透视纸，
1699672569# #这是啥？古代冰箱？
1702254850# #结核盲盒嘛，要吗？
1692505892# #免税店都什么魔法食物啊！
1700642544# #工作人员认出了我。嘤嘤嘤老师你不要摸这个作品啊！。单身狗单身狗单身狗我是这样的人吗？我摸那柠檬干啥呢
1695118519# #32个冰箱贴到了齐了好开心。旁边是为了凑齐冰箱贴买的飞机
1694162362# #微博公开课吃个肉还涨知识……。小朋友问过我为啥牛肉泛着绿光，这其实叫“反射式光栅效应”。当光线从合适的角度照射到这个断面时，出现了光学效应，肉眼能看到绿光或多彩色。熟牛肉，切肉时，肌纤维被切断，断面形成很多规则排列的凹凸状结构，光线照过来，就会泛着光。。要相信光。
1697630616# #认
1703412936# #我怕别人吃才写上的，结果都吃😭不是说陌生人给的不能吃吗？
1697636417# #我不同意
1693554788# #北京顺义区2.7级地震我的一个不太稳的模型飞机抬头了
1698137468# #脊好大！好喜欢求关注求关注求关注
1688636996# #北京高温我家学生真是太有责任心了啊。她去带研学勤工俭学，今天下午在故宫，估计是轻症中暑，呕吐眼前发黑啥的，还不忘给我说，自己很不舒服，但数据在网盘，密码是学号，别耽误进度。。。我刚刚打开了网盘，里面有20多个漫画，就是没有数据啊苦涩苦涩苦涩
1693024561# #日本水产行业哀鸿遍野是的……比例非常高。。常去的日料店已经发我秋季菜单并全部换了产地与替代品了……
1702212875# #我怎么看上去一脸慈爱…………。地点是很奇怪，全国社保基金大楼，我进去的时候保安一直钉着我，色色发抖
1698713309# #告诉酒店经理你们笑歪了他白了我一眼悲伤悲伤悲伤
1697456236# #看个公号把我气得眼前一黑
1701610970# #电影红猪。小飞龙问为什么变成猪，。是看着好朋友死绝了，自己给自己的诅咒，把自己封闭了起来；是不想和法西斯同流合污，做猪，猪没有国界，爱咋咋的。。遇到菲儿，17岁，其实像极了年轻时候的恋人吉娜，过往的美好，菲儿的信任，让他逐渐找回自己，慢慢变回人（心）。卡地士最后怕观众或猪不明白，又
1693007176# #闷倒驴。柳州喝酒可以？
1703900550# #最近28天减了13斤噬元兽噬元兽噬元兽
1700806818# #听到2个可能是段子的巧合。。成都到西安高铁二等座的票价是263元，对应蜀汉于公元263年亡国。道上传言就是因为诸葛和姜维两代蜀汉丞相北望长安40年而不得入，如今还是我们帮他们两实现了这个愿望。。。辽宁号舷号16，前面15是为了传承历史，因为北洋水师有15艘一级战斗舰，北洋水师“七镇八远”七镇是：镇
1689259924# #小猫还能这样睡啊？刷视频看到的哇哇
1697460150# #原来以色列部队这几天在等棚子？。“嘲笑T72，理解T72，成为T72”
1691803053# #…………又七夕，今年好快……
1698802467# #pad上愤怒的小鸟一直显示所在地区无法更新还是不支持啥的，咋回事啊？
1694828639# #朴实无华的早餐允悲允悲允悲谢谢阿姨七点起来给我烤悲伤
1699495896# #脸花鼻黑，可怜的大佛。。“由于粉砂岩结构松散,经水浸后表面硬度急剧下降,而且当地的水、气等条件适宜于生物繁衍等特点,石刻风化毁损的原因主要在于水、生物等环境因素对粉砂岩胶结物有强烈的破坏作用。”
1690895240# #恐龙是真的吗？
1699434551# #苍耳妈？可以种吗？怎么种？
1691554342# #我的天，啥时候结婚森娃了，还两胎……生殖率1.067大作战！
1695470008# #肥肠🐔，可怜的恐龙……和猥琐哺乳类一起炖
1693026055# #喜欢这个衣服。可惜只有童装悲伤悲伤悲伤
1699074803# #好好看的毛囊打call打call打call
1691210778# #他最开始叫“巨巨”来着允悲
1702612125# #10万？被宰了。
1702038653# #自律的小飞龙也有做不到的事情
1694076923# #各位恐龙迷们~动画来啦！。这次我将穿越恐龙时代，近距离接触各类恐龙。探索恐龙世界的奥秘！。浅浅剧透一下。我遇到了升级机械臂的霸王龙，会吃小恐龙的蛇发女怪龙，争夺天下第一剑的镰刀龙等等有意思的恐龙！。9月7日，锁定各视频网站，观看《邢立达恐龙大冒险》，来解锁更多精彩剧情吧！
1697074288# #这片特别的拉吹风，被抵制太正常
1697155197# #撒意思？
1699075966# #踩它的脚软软的很好玩啊
1696561727# #给小飞龙画的小盗龙允悲
1694868021# #南昌的好魔法🔮的咕噜咕噜绿汤
1702818436# #转发这条微博，抽一位送🧧66。。。今晚的上新，是省时省心的小家电专场。。。很多小家电基本上已经没有什么技术壁垒了，所以价格也越来越卷。除非是喜欢某些指定的品牌。。。这一期上的小家电品类涵盖了：加湿器、电动牙刷、蓝牙耳机、空气炸锅、洗地机、扫地机、吹风机、台灯、电暖器等等。。。基本上都是代
1697181621# #拔出来了，刚电话龙妈说头盔质量不行，她笑了10分钟，气死我了
1702804845# #优惠限一份，是这样限一份？也就是这家店你但凡买两份东西，就连第一份的优惠也没了啊！？
1699756971# #双十一拆箱五小时悲伤悲伤悲伤太累了
1696205355# #精致的新派西北早餐举手
1691026669# #手感不太行啊，有点糙。角有点晃。
1701789441# #好奇怪，我的iphone15promax音量增大键失效了，变小的可以，大的不得行苦涩
1697635655# #我好像被蚊子咬到舌头了悲伤悲伤悲伤咋办
1690507376# #电影巨齿鲨2深渊嘤嘤嘤的福利送！送！送！关+转，15号送三位幸运儿巨齿鲨银坠！（您也可以直接剁爪爪）。将目前已知咬合力最大的动物、地球历史上最可怕的掠食性动物——巨齿鲨的牙齿戴在脖子上，是一件非常酷的事情。一次和设计师老师聊天的过程中提到了京哥的新电影《巨齿鲨2深渊》，我也收藏了
1698404128# #气球龙太傻了哇哈哈哈，我想戳……
1694412815# #这猫看了我之后就这样了气死我了
1695286921# #我可怜的兄弟啊，四车追尾他第四，气囊全开，安全带保命，问题不大，太吓人了。。亲们，安全带啊。
1701049991# #小狗又尿在窝里了，可怜的小狗啊，老了苦涩苦涩苦涩
1698567287# #飞机捡到了。大僵的【找灰机】功能特别好，真的好，科技创造幸福。舔屏舔屏舔屏
1702202484# #饶雪漫谈八年不敢联系陈都灵所以这条特搜上的两个人是谁求个课代表
1699328745# #一位朋友的孩子在所谓的六小强x校区，。一天一老师说，你们就是考/学得烂才到这里来，。学生回怼，那你呢，。噗
1697980398# #国内外不同品牌的户外产品、服装，我都接触过和用过，对什么是好产品还是有一定了解的。。。这周上的鹰爪，是专门做户外的国产自主品牌。工厂有四十多年的历史了。功能性、品质、用料不输大牌，性价比很高。除了给北*面、始*鸟做代工，还跟政府合作定制款。。。具体的质量呀面料介绍可以去店铺看，他家不管
1700930646# #说起来，俄乌战争有多少种布条啊？乌克兰是蓝布条，黄布条，绿布条？。俄罗斯就只有白布条？
1694617625# #超异能族求个课代表，南山猪扒妹妹为啥要用闪光还打开门锁放人？小飞侠为啥不扣扳机？他原本要biubiu猪扒妹妹吗？
1698103409# #小飞龙问我以前做过奇怪的事情，我说那太多了，比如把宿管老师差点吓晕过去的，那年咳嗽太厉害了，我发现躺下就咳嗽，坐着还好，但靠墙太冷，就拿着枕巾悬着挂兜着下巴，居然睡着了，这时候宿管进来可能某个角度看我有点误会，大叫一声我˶⍤⃝˶꒳ᵒ꒳ᵎᵎᵎ，差点晕了，把我们吓醒了悲伤
1700460749# #甄嬛传说啥的？
1692507150# #去日本带错钱包了。一捆缅币……要申报吗……
1703073069# #这一波全国降温真的好冷哦。所以这次上新的还是保暖商品羽绒服为主，大家一定要做好保暖，尽量别冻着。。。之前上新过的【甲子三组】、【品牌剪标】就不多介绍了。这次又上了一些女款羽绒服，四季青档口起家，现在做成了自己的品牌。性价比很高，长款羽绒服也就是400+左右。页面里有些充绒量，大家可以看
1704087786# #我司今年新年礼物是，金子憧憬
1695813746# #为啥word里面十一开始会变出一大空格？
1695359227# #
1697181706# #这是假新闻吧？还是表述有问题？110万人24小时内？
1691541041# #快来看这个雪兔子好丑
1698027658# #超奇怪的花色，【那一夜大橘和银渐层都喝多了？】，想摸摸…………
1698675308# #我把酒店的房卡插槽捅穿了悲伤悲伤悲伤
1703492151# #打call我们要自己开恐龙博物馆啦打call
1695877984# #“鲲岛”这个名字有点中二，不，他们不能提到中，有点二。
1700870900# #海淀下雪了啊兔子
1689636888# #哈哈哈哈这嘴脸真棒👏🏻真有代表性。
1692490752# #半夜龙妈尖叫。原来是我把衣服挂在电视上……悲伤。我只是顺手的真不是坏心眼
1695184458# #没看到小柱子，军功加一悲伤
1698192681# #夫人已经完全免疫我的语音输入造成的错误了打call打call
1693363241# #可能是金雕？
1690555153# #在广西看到好大的老素，蜗牛……蛇还没
1703042554# #在仓库找到一盒17年的蓝罐曲奇，那时候可能是放东西，但没想到里面依然是饼干，感觉还能吃的样子，我试一试，marked
1691584329# #西藏这个季节超美的，来不？
1695033510# #首评送一。
1700818277# #海底捞那个扭来扭去为啥叫科目三鸭？
1702962404# #喜马拉雅崩了神经，我以为山崩呢，啥都能上热搜是不是几十个上百个APP崩了都排队上一遍？
1695132085# #32个冰箱贴我好开心蜘蛛也是
1698120285# #看师傅这犀利的眼神就知道这羊肉很嫩，果然，辣子是今年吃过最好吃的鲜花
1698905003# #？不可能在西宁出现的东西啊
1689935684# #2023内蒙古研学实验团大成功！联合三大学术机构的专家，两大当地博物馆支持，体验骨骼化石，足迹化石寻找，化石翻模等古生物学必修课，烤了喜羊羊，看了岩画，雅丹，吃了几十条鱼🐟哇，明年正式团见！
1696392737# #猜猜这是啥？
1697077883# #请教一个不是问题的小白问题，我曾经有过一个大疆的mavic，1/2.3英寸CMOS；有效像素1235万（总像素1271万），现在来了一只DJIMini3Pro，1/1.3英寸CMOS，有效像素4800万，那么问题是户外拍摄的话，后者会比前者更清晰吧？
1703042811# #用好新时代“侨”资源，做好新时代“侨”的文章心，我们家就超多“侨”胞，新加坡，泰国，缅甸，旧金山，布宜诺斯艾利斯，鲸鱼岛
1699328929# #这不是干脆面吧？
1692409206# #打卡上海油腻酒店早餐
1694523170# #汗
1703560658# #博物馆外观，十万大山，广西室内冬天还是有点冷呀
1696571936# #新开瓶术举手
1695876582# #同事拿到了单位发的月饼啦！丰收了
1689381351# #红色恐龙哇哇
1692321425# #啥科？
1696817850# #以色列正式向哈马斯宣战可是加沙地带，那么小，那么密，那么隔离，能咋地？哈马斯基本就是府兵啊，平时干点活儿，动员下就冲啊，没法弄啊
1702971586# #今天买了河马的一米八黄鱼，有包液态调料，是啥时候放鸭？
1692921669# #所以这个徽章还可以用在扎坏人吗？还只是说一个标识
1696910208# #是不是孙女大义灭亲那个？
1689491639# #阴山岩画的狗狗，……还是狼？
1695095560# #这个挺好玩的，其实天猫消失是有科学依据的。因为黑色吸收光，但并不是黑色能吸收光。黑色正是由于吸收光才显黑色，黑色也可以没有光的表现。白色是由于反射大部分光才显白色，各色的光叠加就显白色了。黑色基本上定义为没有任何可见光进入视觉范围，与白色正相反。
1702363654# #我也被很大的鸟攻击过，莫名其妙的，我当时的反应我朋友们还记得特别清楚：“野生的吗？涉保的吗？能还手吗？啊啊啊啊好疼”
1704240998# #肯定是笔误
1699763850# #旁边大哥戴着耳机在吮酸奶然后发出巨大的声音持续了至少一分钟我想neng他嘤嘤嘤悲伤悲伤悲伤
1696121065# #DOK-M推土机还是得黄色的好看鸭
1694616621# #超异能族牙疼
1697352924# #不愧是自由的意志，反抗天龙人吗十一目的地
1696858856# #收了一个山毛榉9m317me导弹尾翼，准备加个底座，或告诉龙妈这是一个……菜板？
1704442646# #原来古比鱼头是这么开的啊
1691144181# #看👀西藏小黑，ps你距离上次复更已经741天。
1689142634# #撞车了生病生病生病我的书包飞了出去，幸好绑着安全带
1694524953# #“踏实工作怎么可能在国内挣不到2万月薪”悲伤悲伤悲伤
1695093879# #刚刚走在路边看到有一个电动车的后视镜，捡起来告诉同事，看！镜子鸭！。不远跑来一个交警吼我。“放下↓，是那边事故现场掉到！”。我好无辜…………
1691028684# #感觉我说不出这么浪漫的话，我是糙汉。
1702123812# #炸羊尾里面是不是真的已把啊？
1697361963# #neng回去！哺乳类不能输！
1701486850# #叫我干撒？
1698724456# #金龙鱼不能吃羊脖子吧？
1700010988# #我觉得我成精了。昨晚做梦，与反派抓对搏斗厮杀，在万人中，长驱直入，被万人殴打对方都如探囊取物，结果在最后要结果本恐龙的时候，我说了句：。呵呵，我醒了，杀不了我。。然后我就起床了………………
1700193127# #免费的量太大悲伤悲伤悲伤
1691474875# #快看，有只嘤嘤嘤
1696475809# #凤鸟纹戈卣好可爱！！像冬天的肥嘟嘟麻雀，。卣（you3）是古代的盛酒器。卣作椭圆形，子母口，有盖。卣内盛酒，盖上器盖，酒香不会外溢。器身装有提梁，便于提拿。器盖和器身上装饰有凤鸟纹。
1697504593# #笑死我了……爱哭哇哈哈哈哈……。------------------------------。尊敬的X老师：。经过两天的反省，我深刻认识到自己的缺点，我一定要在中队长任期内改掉，做好您的小助手。。爱哭是我第一个缺点，爱哭其实是缺乏面对困难的勇气和担当。我意识到这种行为不仅影响了自己的成长，也给老师您和同学们带来了
1692600197# #一封来自日本恐龙的邀请函日本国立科学博物馆这只霸王龙姿态可好玩，蓄势待发
1693224176# #感觉伊娃16岁之后每天要睡觉20小时以上闭嘴
1694263794# #超异能族高允贞有点像全智贤我觉得
1699889557# #龙妈厚重的爱悲伤悲伤
1703040966# #2015年东芝被曝光会计造假丑闻的余波到现在算是尘埃落定，进入私有化阶段，JIP目前持有该公司78.65%的股份。
1701259414# #关+转这条微博，抽两位送图1苦瓜棉拖鞋一双。。。今天给大家把家居类的保暖也安排上。有鹅绒被、大豆被、四件套、浴巾浴袍、乳胶枕头、乳胶床垫、居家拖鞋等。。。选品团队最喜欢的是牛奶绒的四件套，冬天睡真的太舒服了。再也不用担心被窝的凉了。一套仅需199元。也有单拍的床笠，仅需49元。还有鹅绒被、
1695908152# #今晚好多同学提前回家过节了，没来上课。。点名又不太厚道。。但还是点名了，不同的是，没来不要紧，来了都加分鲜花皆大欢喜。
1698463330# #我没学过法律但倾向算
1696841217# #后续来了，没成功拿到5个➕，唉
1701009064# #弹小车了，小车会捞起来吗？
1690323589# #我正在给可乐加茉莉花和龙井好像逼疯了一位旁边的杭州大爷
1700877773# #奇怪，这一变天，身上难受得很，酸疼酸疼的
1694010247# #重大卖点
1691548449# #闭嘴闭嘴闭嘴……
1701748974# #毫无疑问是雄猫
1701610132# #关+转发这条微博，抽2人分别送抽纸或卷纸一套～。。今天的上新，是进口日化用品，品类特别多。基本包含日常所需：卷纸抽纸、口腔护理、洗发护发、沐浴香皂、到家居清洁、女性用品都有。价格非常实惠，随便买不过百。。。另外还有特别活动：1:非偏远全场满69元包邮；2:满99送价值25元的商品、满199送价值98
1691918487# #肉嘟嘟的好可爱，能吃吗？
1701243109# #好像是在广东，以前查过，壶穴的可能性大
1696743377# #立达蜜，第二张虚了
1698908175# #著名法国纪录片导演希罗托带队来拍可爱的恐龙胚胎，据说央视已经预定了中国大陆播放权，到时候见doge
1701068226# #宝这个蘸云以前是一个历史建筑吗？
1701402198# #“迈开第一步”。-----------。新加坡联合早报11月30日报，美众议院外交事务委员会全票通过《香港经济贸易办事处认证法》，为美国撤消香港经贸办迈开第一步，稍后会提交众议院和参议院继续审议，法案若获两院通过，美国总统便须在确认香港不再享有高度自治时，取消对香港经贸办的特权和豁免地位，香港将
1702394967# #再见周芷若印象最深是两个片段，一个与张学友的《吻别》MV，另一个是周芷若。
1689305254# #内蒙古特色美食。
1693828591# #我的手废了。拿了一个外卖。然后手扶在门边，快递小哥好心帮我关门……我觉得两公里外都能听到我的嘤
1693740085# #小飞龙把自己的小人塞到恐龙头骨里，说可以做CT
1700751893# #刚刚去做了个实验书上说小狗舔人的嘴是乞求食物我刚刚舔了伊娃的嘴她卡住了悲伤。不是应该带我去吃狗娘吗？
1693666366# #网飞海贼王真人版和小飞龙一起刷完了，按这节奏，要到大完结，可能要几十季……？
1691212042# #攀岩小妹妹冒雨工作，安全下来了，担心死我了
1702184703# #其实没啥，就是原计划中的200个预备役营没变现，现在务实了。我依然觉得不会发生热战，万一发生，对岸的战斗意志也非常可疑……更像一个大号的大阪师团
1690419007# #如果封神失败导演需用10年还债让宣发或推这个话题的媒体（？）帮你还吧。这一话题能抹平好大一部分前几天攒下的的好感。这卖惨卖得太不机灵了，难受。
1697695170# #拦截的时候双方会互相问候家人或揭短直到一方破防吗
1689771319# #“警察同志，这是我自己做的，不是挖的岩画允悲”
1689823873# #封神IMAX入梦中国神话似乎评价很高，看过点映的娃快来说说？
1698643970# #我下山了，刚刚沟里没信号。外裤也没得事情，但胖纸破了悲伤悲伤悲伤有点凉举手
1698573634# #天马上要开始冷了，和小伙伴商量了一下延长几天售卖。
1698548350# #我老看不到无人🐔，嫩不嫩涂成红的啊？
1699862658# #嘤嘤嘤的福利三角龙宝宝动了吗？
1696477864# #首评送一。白垩纪的缅甸琥珀
1700281758# #煮鸡汤好像出问题了，要先解冻吗？
1695731611# #不要玻璃心。
1697962148# #我师兄小麦过敏所以北京有没有什么进口食品超市我可以给他买点备着？
1695873198# #这一周多时间能多这么多数据，一定是我加群太多了……
1703751556# #南宁是各种粉，这碗叫什么粉老氖核磁煮粉单身狗单身狗怎么会接受这种赛博朋克的名字啊！
1693751969# #今天买了24个F-14。
1688967117# #哇是有文化的番薯仔
1698420380# #又！？
1700716696# #圈我干撒，与我何干，锤你哦，嘤嘤嘤
1690697984# #虽然是非常非常非常常见的普通普通普通化石但也要避免这样情况发生。
1697686415# #猫饼
1690267748# #小亮，这是你的救赎。
1697283202# #那他们的夫人们岂不是……
1701182796# #如果未来能拼成一个“王”多好，现在如果和左边对称的话像一个“巫”？
1699362760# #所以……信息不实是哪些不实，哪些实？
1703683792# #邢立达的行李箱把最近反馈比较好的一些产品，做了个合集返场。有打底衫、内衣、袜子、围巾、手套、羊毛羊绒衫，另外还有新增的SINBOS时尚男女装。。。SINBOS的男女装，款式时尚大气，走的中高端路线。在🐱上的旗舰店基本都是上千元。这次不仅有老款的清仓，品牌今年的最新款也上架了，大家可以看下
1695381567# #学生穿了一件“我就要打原神怎么了？”的黑底白字衣服上课，这位显眼包想干啥？
1701671357# #参观大军舰也不贵啊，1800日元，大约860阿富汗尼而已啊，。友人发来的照片
1699622539# #武汉晚上还有热感面吃吗？
1697074687# #这几位在阿拉伯被视为英雄，我在伊拉克的时候有一次被误认为日本人就被一个大叔说了半天冈本，后来知道我是中国人，就问我为什么尼克松要访华我说这我说了不算……
1700733164# #标准操作啊，难道玩手机吗？买理想就是为了后排写作业啊
1697036502# #请教这个表情包是哪部恐怖片？
1692787300# #一封来自日本恐龙的邀请函日本恐龙周边非常便宜，买了好多回国送人。
1689739765# #在飞机上看到好多风力发电架子，问了大家为什么有的转有的不转，但没有答对的……
1690376224# #打卡云南美食哇
1693133583# #飞机上有腋臭满级的右边。爱哭小朋友的左边。二选一悲伤悲伤悲伤
1696468775# #手心手背，都是你平台的KPI
1691106801# #加我一个
1699926035# #来测评一个国产苏57模型，基于4,500万美元一架的苏57，第一次拍测评，感觉不像测评，还是像科普视频悲伤
1704010765# #老爷，这种贵不？
