1697730967# #转发微博
1696066501# #苍天饶过谁，首阳。空调都开到28度了，开的暖风允悲出奇的冷准没好事儿！医院里儿科爆满，全是打点滴的五岁以下的小孩子，同病房的姐姐感冒了，我毫无防范，因为人们都不戴口罩，我也从众了一把，结果把自己给……。。水岸清溪的闲逸时光
1701052228# #低密度复制是个啥意思
1689489939# #韩东君在干嘛呢？允悲
1694104123# #哈哈哈，塌了笑哈哈
1700141749# #眼里有光是很珍贵的，什么情况下眼里有光瞳孔放大？
1699612147# #hellyhansen品牌代言人韩东君明天见@韩东君ElvisHan
1696832751# #第十天，转阴第三天。第一针沙星，新冠病毒引起的支原体肺炎。。。水岸清溪的闲逸时光
1701767179# #韩东君
1694837996# #每天少吃1克盐身体会有哪些变化有控盐小瓶可以掌握每餐盐量，按一次0.3g，已经用好几年了，挺实用的。
1688893805# #儿子用我的手机搜植物大战僵尸，只是搜了搜词条看了看就放下。想起他小时候有一段时间一度爱玩儿植物大战僵尸，还教会我咋玩儿，还买了好多卡片，比较武力值，也教会了姥姥姥爷和小姨咋玩儿。。。父亲，我的父亲从来是这个家庭最权威的存在。他和母亲教育我们的方式从来说一不二，恩威并重！他们总是神奇
1699766815# #回家了，真好！这片黑土地有乡情乡音，还有银白世界哇哇
1699765583# #韩东君一脑门子汗笑哈哈
1699575090# #南方君宝们，戴好毛线帽毛线手套，手套要那种操作可以划手机屏幕的，要不然一会功夫手指就冻僵了，如果没有，早到一会欧亚卖场，那里啥都有，而且好多东西距市中心欧亚商都便宜，欧亚几家商超不同地段有些东西价格略微不同。进卖场记住几号门进的，看好地上的什么什么大街的标志，也有指示牌，别走懵
1690540041# #想法一直单纯善良，不是没见过阴暗，而是心里光明正大，看什么都是好的。（来自wx朋友圈一位老师）。。——喜欢这句话。。。水岸清溪的闲逸时光
1695477122# #太厉害了吧！我以后回看会有吗？没有时间看呐笑cry
1691857616# #每天喝无糖饮料发生了什么变化钠盐含量高，会对阿斯巴甜产生依赖。（来自书中，忘了书名允悲）
1693059734# #晚餐给大宝做了松茸汤，在厨房做的时候尝尝味道，鲜美死允悲端上来——。。“妈妈你也喝啊！”儿子把汤碗搁到我面前。。“我晚上不喝汤，晚上喝汤白减了。”确实是！。。煲汤又做鱼鼓捣一身汗于是换了一件背心，坐在餐桌上吃饭。。。“你胳膊……”他爸惊疑的眼神儿斜睨着我。。“咋了？”我虽不知道他想说啥
1694777515# #水岸清溪的闲逸时光。。哈哈哈哈
1687422526# #转发微博
1689951700# #生日快乐！
1692071590# #水岸清溪的闲逸时光。。Yummy！
1702549468# #祝贺你！💐💐继续拍好片子，好剧，好角色（大衣图片自己存了没？有就放出来呗）
1698834844# #
1695135089# #🎀换头像了
1693324493# #夜半敲门声，送来了几个大石榴允悲
1689857218# #走路姿势好好看！身材真好看！谢谢宝宝分享！bgm好好听！
1696663196# #第八天。。。水岸清溪的闲逸时光
1697343463# #儿子花了一上午时间为我煲的营养大补汤。一大早上顺着扔垃圾的道就出去采买了一堆水果回来，其中有山楂（鲜果子）。。。转阴之后，我一直很想吃山楂，但是只是想想而已，未曾说出口，每天去打针，也不曾想过给自己买点吃吃。没想到儿子这么有心心他自己主动想到了！。。水岸清溪的闲逸时光
1692498759# #真帅！养眼君笑哈哈
1701165013# #想看你演特种兵
1699709169# #谢谢宝宝分享爱你爱你存了
1702368774# #圣诞节好想去滑雪🏂🏻🏂🏻
1699882507# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐装腔启示录！一起来推荐你心中的微光荣耀吧
1698588763# #转发微博
1702551288# #祝贺韩东君，先存后看
1703292502# #转发微博
1694071097# #🎀手机被猫踩了
1699759279# #昨天相中了你穿的灰杠那款，你穿是真好看！
1701662792# #夹核桃神器，太好使了！
1692330994# #这大姐说她昨个儿阳了，阳了您不用来了啊，还来我这儿报个到，打个招呼苦涩苦涩苦涩苦涩
1689299228# #转发微博
1699656407# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐梅花红桃！为热爱助力，一起来推荐你最喜欢的作品吧~
1696857133# #就是因为有你在梅花四♣️
1699531890# #当妈又当爹，累到半傻苦涩腿已经不是腿了二哈二哈二哈二哈
1687684835# #完美韩东君
1691756227# #啊——张嘴！哈哈。。草原肥牛用烧烤蘸料和孜然面炒了（放了蒜片和姜）用苏子叶包着吃，美极了😋😋😋。。炝拌鸡胗——鸡胗高压锅煮熟放凉切片+蒜末+辣椒油+盐+鸡精+香油+香菜=巨好吃！。。下饭菜允悲天气凉爽，可劲儿造！哈哈。。水岸清溪的闲逸时光
1695275314# #今天我的手机苦涩
1698639332# #念完了才来评论的，念错又倒回去重念，念完了觉得自己好傻可怜@韩东君ElvisHan
1695131258# #前赴后继，不负家国。
1701561498# #12月8日到18日欧亚卖场店庆hellyhansen品牌代言人韩东君预售活动9折之后满2000➖100
1695989894# #车好酷啊！中秋节快乐@韩东君ElvisHan
1702962085# #愿平安🙏
1698223083# #转发微博
1699065019# #狗仔可真能叭叭，飞哥都跟他回了家，感觉整个团队都跟他回了家，坐在他旁边的是飞哥，一天天的寄居在名人身上讨点卖点赚钱的蛆，狗仔活得好低贱！
1696765775# #好浪漫啊！《装腔启示录》每一首配曲都好听！
1703936700# #除了片头曲，吉他曲也好好听！配曲也好听！似火流年
1694005768# #今天爆竹声仿佛新年！
1701162164# #完美！韩东君！你帅到我了！
1703257246# #有妈的地方才是家，家是归属感。无论多忙，一定要给儿子包饺子，冬至不端饺子碗，冻掉耳朵没人管笑cry一切顺利，加油，年轻人！。。水岸清溪的闲逸时光
1699501632# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐梅花红桃！来参与推荐，共同见证它的荣耀时刻吧！
1700220555# #韩东君徐卫彪终于来了！
1702879292# #我还有你的两部剧没看呢笑cry但是很为你感到欣喜！你的2023很充实！@韩东君ElvisHan
1694663117# #绅士手
1699199806# #扔垃圾，浇一脖梗子雨，雨不大，跑的快月亮月亮。就没有一天早睡的时候裂开以前睡得晚不觉咋地，现在睡晚了感觉对不起医生的嘱咐，感情儿没我啥事儿啊，所以啥时能对自己好一点！。。水岸清溪的闲逸时光
1687403943# #车的颜色不错！这是你的最爱了！
1695528208# #韩东君签名照看看我
1701325342# #你穿黑色很帅！发型真不错！
1703813390# #转发微博
1699460020# #第一张，你好帅！这么婶儿瞅人会被电死的；第二张，哼，皮还是你皮笑哈哈@韩东君ElvisHan
1693136651# #好看！好喜欢！韩东君装腔启示录
1701171772# #逆生长的韩东君
1691921286# #丈夫割草归来采一大把野花送妻子好浪漫！
1701082386# #好完美！谢谢分享爱你爱你爱你
1695945346# #转发微博
1699100373# #事实证明喝中药的时候不能看《梅花红桃》苦涩今晚浪费了一口中药允悲二把刀我就憋不住乐，镜头一转，韩东君梅花四的情敌的牛眼噗就喷了苦涩
1694217403# #转发微博
1702550435# #哈哈哈哈哈哈，笑死我了
1692262519# #韩东君，绅士手，尊重女演员，多好！很得体，欣赏你内在素养。《装腔启示录》
1703513837# #笑死我了，噗～冒烟咕咚的哈哈哈哈哈哈哈哈。。《似火流年》
1700731456# #《似火流年》片头曲好好听！才看到第三集，今天终于有一点时间。
1701599051# #电影之后的晚餐。
1702132337# #好奇你现在饰演的角色
1698651327# #真不错！存了，谢谢宝宝爱你爱你爱你
1696337100# #穿着帽衫下楼扔垃圾，阳康标配：帽衫允悲。。水岸清溪的闲逸时光
1692018277# #仔细一看，你们下边艾特的都是韩东君，只有我傻傻的艾特了博主允悲
1693290687# #分享图片
1694707978# #我没事儿了，鼻炎发作哈哈允悲明个儿继续嗨玩儿，晚安💤
1701767521# #工作室今天发的超好！演一个纯爱的浪漫吧！
1699074470# #周一暴雪？
1691739613# #“妈妈，我可以留小姨在这儿吃饭吗？”儿子为了证明为什么要留小姨在这儿吃饭列举了一大堆理由。。。“可以呀！”我兴奋地！。。“但是小姨可以打翻饮料！”儿子站在我身边一边“申请”一边面向小姨，笑嘻嘻地冲她，但是说给我听……。。“我说过你不可以吗？”我仰头反问他。。。“没有啊……”儿子开开心心地
1699674864# #谢谢分享，状态不错！
1693058209# #好好看！
1698851015# #太美了！
1703307829# #好迷人害羞
1699501562# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐装腔启示录！来参与推荐，共同见证它的荣耀时刻吧！
1696133611# #妹妹来了，和儿子在厨房里给我整饭吃，我还在烧，起不来了。妹妹总是在家人有难处的时候准时出现，没有一次不是！巨蟹，真的很暖很暖。。。摩羯是世界上最绝情最冷漠的，不想他了，对我的信心恢复不利，当他不存在好了！。。水岸清溪的闲逸时光
1699702777# #有宝宝想知道卡片字内容的可以私信我
1696377588# #每一个夜晚都盼着黎明。新冠病毒，折磨的时间都是在黑夜。我在每一个夜晚死去，又在每一个黎明到来时复活。。。坐着睡的第二宿。能让我活着的唯一信念是不能丢下儿子！。。水岸清溪的闲逸时光
1702427756# #铭记历史，吾辈自强蜡烛
1701076342# #求每一帧的单独照片有吗？每一套衣服的，
1699099928# #我要被二把刀的眼珠子笑死了允悲这演员哪儿找滴呀偷乐
1695727031# #昨天晚上在我能说话的时候，我把手机给妹妹：“用我手机走走步数。”。。在一家人群里，我们都不取消运动步数，看着熟悉的步数能知道这个人的大概。如果哪一天谁的步数突然多了起来或者突然是零——都可疑！。。我们之间不常见面的时候，除了看wx中的活跃度就是看步数。。。今天早上起来留尿抽血时妹妹和儿子
1702994472# #耐人寻味的肩背，身材优势！
1702530244# #水豚真好玩！他有一颗童心
1701077271# #韩东君穿黑色很好看！
1694178974# #我现在不怕了，敢洗敢拿允悲买六个还剩四个，今晚泡一个，明天给爸妈煲汤，穷到一次只能泡一个笑cry六个花了160多，儿子说我被骗了笑cry我也不懂啊，第一次买。
1701745583# #祝贺！还没看呢，最近忙，过一段时间。
1703493393# #你在山东？真美哦！
1703294625# #优秀！@韩东君ElvisHan
1699799031# #看了无数遍，竟然很向往！
1701076712# #下单了，韩东君好帅嘻嘻韩东君费加罗男士十一月刊封面
1695053970# #电视剧梅花红桃我已成功预约双A牌局企踵可待，波谲云诡的谍战世界即将开启。微博也能预约腾讯电视剧了
1700050516# #这是侠客吗笑哈哈好帅啊！
1690554755# #为了明天抽血不虚脱，今天晚餐带出了明天早餐份儿允悲撑到现在晕。。人均两大盘子，我是特殊情况，你们也可劲儿造，好嘛doge
1693371920# #倒不必
1701919078# #真漂亮！每一张都可以当壁纸🌹🌹
1703295823# #走路姿势好好看！
1697111002# #支原体肺炎正在得！新冠病毒抽走我三分之一元气，转阴之后送我支原体肺炎做礼物，现在医院里全是这个。
1694441222# #转发微博
1699764332# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐梅花红桃！为热爱助力，一起来推荐你最喜欢的作品吧~
1691926155# #一哭二闹三上d。双鱼心软不假，但是，也是十二星座中最没耐心的，最会作的。如果你比双鱼还作，呵呵，自己玩儿去吧！
1696076173# #坚强一点！没人能帮得了我，联系任何人都是对别人的负担。。。致力于减少空气中的病毒载量！每时每刻！。。保护好孩子！。。会过去的！我行！。。不要太过于关注自己，乐观乐观！！。。别给孩子负担，别给孩子负担，别给孩子负担……
1702636812# #一种别样感觉，祝贺韩东君！
1687529187# #转发微博
1690447311# #我全听不懂，不过看见你眼里的光就知道你最爱！期待成品，会横着走的～
1701077688# #韩东君费加罗男士十一月刊封面
1700391531# #八十年代的喇叭裤和齐秦式发型
1700025938# #妈妈：“你没有羽绒服你穿吧，换一件你能穿的，我的羽绒服太多了，我又不出屋用不上。”换了180码韩东君同款白，我穿了。。。曾经每每逛街都期盼能在商场橱窗里看到韩东君巨幅海报，这个梦终于实现了！。。我会常来的！。。hellyhansen品牌代言人韩东君
1699689640# #谢谢分享！
1692747420# #存了，谢谢宝宝爱你爱你
1692084446# #好帅！是我心中解放军的样子！@韩东君ElvisHan
1703985400# #小孩子学滑雪特别快！我小侄女放寒假就是雪场，昨天这些野人在雪场玩了一整天！
1704113146# #你好，韩东君。haha
1687435838# #新戏服装很好看！@韩东君ElvisHan
1689868555# #生日快乐！
1703294454# #转发微博
1703640627# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1698636328# #薇呦🐻
1699657775# #学到
1689237578# #很帅@韩东君ElvisHan
1703329116# #先转
1700544664# #这是杂志吗？咋买？
1701147784# #12月5号在微博直播吗？
1689059525# #今天不吃饺子。《黄帝内经》讲夏天吃桃子🍑和头伏饺子二伏面这些民俗都是有道理的，可但是，但可是，日子是自己过着舒服就好，天天包饺子天天吃饺子早晚得腻笑哈哈。。水岸清溪的闲逸时光
1701937778# #鲨鱼抓夹教程我昨天刚在🍑宝上搜过和视频中一模一样的抓夹，今天就向我推送
1696642481# #迷离的眼神&amp;心领神会的眼神；。从初相识到相知。。彼此确认，心照不宣。。这个抬眉好经典！。韩东君许子诠
1693400517# #挖藕馋嘴好像我能买得起似的允悲，但是，先存韩东君装腔启示录
1701077387# #小傻孩儿，戴口罩露鼻子等于没戴doge@韩东君ElvisHan
1700218803# #韩东君徐卫彪
1688165712# #转发微博
1693204310# #你多来一些各种各样的角色！让观众看看你的潜力，深度挖掘一下子嘻嘻
1697450216# #傻子，看着好心疼！以后别这样婶儿滴了@韩东君ElvisHan
1700827492# #变身拍照工具人允悲一霎那有那么一丝心疼划过。
1692335382# #很帅！非常帅！
1699942866# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐装腔启示录！一起来推荐你心中的微光荣耀吧
1693829058# #进了一个群，偶尔会看见不同的人在咨询不同的问题，感觉好压抑，但又不能退出去，因为留着备用。所以人呐，幸福健康的时候要低调，因为不知道在哪个地方有什么样的人正在经历着常人想象不到的煎熬。。。。。。。水岸清溪的闲逸时光
1697379599# #下楼扔垃圾，冻得牙打颤，嘎哒嘎哒直响允悲真冷！
1703678814# #我投给了“《似火流年》韩东君贾弘逍”~
1695387356# #韩东君是不是又受伤了？
1703330705# #好喜欢这张！玩得开心吗？下次再来玩儿，好好拍戏，顺祝双旦快乐！一路平安！
1703312297# #
1695268904# #挺好的！
1703381142# #12月24日鲜花送给长津湖战役志愿军，没有中国人民志愿军就没有我们的平安！
1689905068# #生日快乐🎂🎂
1688467522# #转发微博
1701782616# #出道第十年就这么优秀！懂得感恩，又很谦虚，真好！欣赏！谢谢宝宝分享作揖作揖
1693030815# #好养眼！人间美味——韩东君！
1693364799# #我想要喝咖啡的这个杯子，博主《装腔启示录》播出之后有没有考虑用长尾效应继续支持后续经营尼？@电视剧装腔启示录
1690001036# #转发微博
1694005317# #谢谢蛙蛙，作揖作揖先存，以后看鲜花鲜花
1690797665# #冷面。。。一品鲜的面配袋装的汤料。汤料没当天买当天吃所以冻起来了，今天吃的时候汤料解冻就行欧了。。。煮好的鸡蛋用白线割开，这是延边做法。加了🍏青苹果，延边泡菜，酱牛肉，黄瓜丝，熟芝麻，香菜叶，汤料自己味道够了所以不用再调。。。“你做的比小姨做的好吃😋”儿子。。。实的惠儿的，多来肉，
1703813676# #转发微博
1704075262# #元旦快乐！顾仰山早点见面@韩东君ElvisHan
1691384460# #转发微博
1696597102# #儿子听见我晚上咳嗽的声音，给我买了罗汉果和银耳雪梨煲，这个银耳雪梨热热的，吃完了出了一身汗。他好有心！。。水岸清溪的闲逸时光
1694611871# #打网球🎾吃串串🍢玩到嗨吃到六分饱，感觉年轻三十岁，开心！。。明天休息一下拍拍🎾🎾。。除了微博，还有比微博更快乐的地方——网球场🎾🎾，健身馆，球球音乐🎶🎶以及和朋友一起嗨💓💓💓。。水岸清溪的闲逸时光
1695893138# #儿子好有心啊！遵医嘱去药店买了药，用药品分隔盒装好今晚的量，嘱咐我饭后吃哪几样，服药期间注意事项……。。养儿防老，我感觉到了！好欣慰，又不想成为他的负担，赶快好起来，还得继续战斗啊！。。这些年来，自己又当爹又当妈，把孩子抚养长大，还好，没白养，用舅舅话讲“这孩子三观正！”。。妹妹和儿子
1697955448# #韩东君陈家平。这眼神儿绝了！。刚出审讯室又进审讯室，赵安的步步紧逼，陈家平如同走钢丝一样机智周旋；一面是赵安，一面是日本人，一面是卧底身份，一面是左双桃。一个眼神儿挑起全部情境戏份，绝！
1691317146# #插兜走路姿势好好看！
1693109881# #好好看！好喜欢！
1692240646# #手机卡得不要不要的苦涩这是在搞撒子嘛
1701859161# #帅的无法无天！
1692191072# #转发微博
1696632443# #涨知识了！
1689429639# #转发微博
1703928528# #蛮好看的！好会拍！
1699742063# #谢谢分享，好近，哈哈，位置真不错笑哈哈
1701662322# #韩东君点评全身最会演戏的部位那个疤看着好心疼，以后再不要受伤了！戏中韩东君的肢体语言永远令人信服！韩东君日常给团队普法
1697894451# #好难受啊！谁家宝不心疼啊！生日后的第二天，一辈子都难忘！泪
1703992017# #充实的2023注定不平凡，2024与你同行。
1703740211# #哭声像我儿子小时候，哇哇的笑哈哈产房外边的姥姥都听见了！
1696472726# #十五分钟的时间是有道理的，15分钟之前是一道杠，时间推移，隐隐约约的……图二是时间到了之后的样子。。。第六天。。。水岸清溪的闲逸时光
1692333963# #确实不错，有直击心灵的东西就会打动我。@韩东君ElvisHan
1699022505# #给儿子预约早餐营养粥：黑米+莲子+山药+红枣+龙眼。。泡脚，贴涌泉穴敷贴，睡觉觉喽允悲。水岸清溪的闲逸时光
1703732865# #祝贺，为你开心！继续加油！
1689608005# #儿子用吸尘器吸地，他整完之后我用一团湿厕纸塞进吸尘器直管里清理直管，直管太长，我就又用扫帚把往里推进。。。儿子：“妈妈你真聪明！”他一夸我一溜号，好嘛，集尘小盒倒扣着取下来的，这点灰尘垃圾哈哈一点儿没剩全扣我裤子和脚面了！。。发现自己真是不禁夸，不是一次两次了！想当初刚考驾照时练倒车
1689984268# #转发微博
1699332029# #我喜欢看你穿军装的样子@韩东君ElvisHan
1695554333# #韩东君签名照
1700090577# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐梅花红桃！一起来推荐你心中的微光荣耀吧
1703805516# #2023坚持最久的事活着，活下来。
1691476030# #转发微博
1698402123# #转发微博
1687566510# #转发微博
1697273919# #正在拔针的时候演到许子诠KissKiss，竟然有一点尴尬😳允悲没想到护士笑呵呵的：“许子诠啊，这男的挺帅的，我们前几天儿都看这个。”“啊，啊……我才看。”
1694912675# #超燃脂允悲贼累但是心情舒畅！挺喜欢的！
1693550361# #喜欢喜欢心心心
1703495321# #是，我最近在练太极拳，感觉它比八段锦更适合我，我肺气肿（新冠后遗症）。医生也说除了护卫阳气，对我（肺气肿）来说运动是好的，但不能剧烈运动，还有一些其它建议。
1695699174# #雄兵出击可以买票了，我啥时能出去。
1693031846# #在哪儿聊啊？有你吗？上回直播错过了呀允悲@韩东君ElvisHan
1698752775# #一切顺利
1693394160# #分享图片
1702075564# #转发微博
1690212481# #转发微博
1693753096# #转发微博
1690345944# #转发微博
1703915470# #下雪了，他们去滑雪去了，我在家看《似火流年》，彪子怎么出来的，怎么和红梅处的，中间好像剪掉好多，衔接得有点突兀啊！
1687436937# #转发微博
1701768619# #你的时代来临，从《装腔启示录》开始🔥！所有的积淀全部是阶梯，好好努力，好好珍惜！加油！
1690972075# #哈哈上链接！这核桃治能让人开怀大笑
1692156520# #水岸清溪的闲逸时光。。哈哈哈哈，嗯？昨天的没够吃允悲
1692241356# #期待
1693238140# #转发微博
1690467771# #转发微博
1700273203# #《似火流年》
1694190168# #转发微博
1701082997# #完美，我看了好多遍韩东君冬日滑雪大片预告
1694652271# #韩东君装腔启示录打call韩东君许子诠打call韩东君走起我的天才街坊打call韩东君陈潇打call韩东君北京往事打call韩东君徐卫彪打call韩东君梅花红桃打call韩东君陈家平打call韩东君守护者们打call韩东君顾仰山。。（想以🎾会友——做梦允悲）
1694860713# #越来越有趣，越来越无聊。
1699957626# #他真好看！养眼！
1689168866# #谢谢分享作揖作揖有点儿短，有没有关于他自己的关于品牌的采访？
1700394780# #这个角度特别眼熟，今天终于想起来了！特别像我一个同学！八十年代的发型，我们同学国字脸，这个角度看是国字脸，也是这种发型，喇叭裤。
1702551077# #又高又帅！有气质！谢谢分享！
1691454707# #转发微博
1702530742# #大步流星的好舒适
1692364414# #还没看，只是扫了一眼开头就退出了允悲抽空看，候补苦涩
1691039996# #🎀很郑重的穿了长裤+运动鞋，今天挺热啊！不说辛苦，你必须做到的，就是你对这部剧的态度从衣着看出来了，所以让人佩服！期待好的作品呈现给观众们！
1697433388# #这护士我可是记住她了！疼死我了！一挑一撅到里边找血管泪去尼玛的！今天又挨两针顶顶顶疼死我了！前边一位老奶奶也挨两针！这水准真不咋地，拿患者练手啊这是，卧槽！怒骂每次都是换透明管才能看见回血我是真服！怒骂怒骂怒骂
1703493243# #ok18：00听你说@韩东君ElvisHan
1703221382# #三分钟，冻透了！
1688981079# #好漂亮！车车颜色😍😍
1692664257# #谢谢分享🌹🌹，状态很好，一切顺利！
1703690536# #我也要试试允悲
1696947178# #去打针时看到同事也在那里打点滴，二阳。我会有几次啊？也许就这一次吧，也许两次三次然后就去另一个世界，也许没有也许……反正开了这个口子能有什么好事？很多“好事”在等着我呢，根本不用太久……。。悲凉！泪
1694789714# #转发微博
1687424398# #它有个袋子吗？
1696914515# #期待着心
1704063657# #好运报道！我正在参与微博开新年跨进2024，成功解锁红包0.17元锦鲤附体加入发博打卡、互动集卡，跨年惊喜根本停不下来比耶&gt;&gt;
1701582385# #哈哈，好活泼！@韩东君ElvisHan
1699837730# #恭喜韩东君，祝贺杀青！又一部剧可以期待了！
1687728133# #转发微博
1694355864# #好甜美！
1701066097# #韩东君好帅
1688320309# #平河，晚安，心上人月亮月亮
1694649082# #分享图片
1703839942# #好期待韩东君！
1692538165# #我完美错过了！直播@韩东君ElvisHan
1692240317# #焯完的蔬菜想保持碧绿用冰水过凉或者在冷水里加一点盐。有人用反复用冷水冲的方式使之好看，其实那样的话水溶维C易溶于水就流失了，用冰水既能保证翠绿还能保证口感且迅速降温。
1693066017# #跳得好高啊！被你感染到了！
1688215357# #转发微博
1700388419# #今天的拍摄角度，那个打光，那个大衣，很默契的把一个帅哥弄得圆不溜丢。
1695372762# #考研报名，儿子今天去照相，因为拍的好看，额外又要了纸质版的，裁好装袋儿带回来了。。。路上看见道边小货车上卖的黄澄澄红莹莹的果子，在秋日暖暖的阳光下格外的诱人，儿子挑了些软的，不酸的果子，称了几兜，又买了酥脆好吃的坚果去姥爷家看姥爷姥姥。。。姥姥姥爷见到小外孙的照片稀罕，姥爷要了一张红
1695375295# #哈哈，可可爱爱，真真诚诚的回答@韩东君ElvisHan
1692452087# #刚有时间看完第一集《装腔启示录》允悲。。许子诠戴墨镜向上举行李箱那一霎那好帅笑cry。。温柔细心的递毛毯；递香膏时压在下边的二郎腿轻微地剁地，小得意——男人的虚荣心；香膏收起时一甩盖，哇害羞💢（紧抓女人的心），小动作，细节处理得精致又自然不易察觉是真的！赞。。艾维斯哈哈哈哈，你
1699705348# #韩东君超话hellyhansen品牌代言人韩东君今天欧亚卖场hellyhansen专卖店服务员姐姐给的嘻嘻立刻关注。支持
1702548493# #恭喜韩东君，向光而行，步履未停！
1700090582# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐装腔启示录！来参与推荐，共同见证它的荣耀时刻吧！
1698804293# #哪一个国家发生战争，哪一个国家的平民就命如草芥。
1694994101# #昨天来的这些人，他们全部都是高工。高工一直是我非常向往的！因为他们真的是上知天文下知地理，知识领域非常广泛，而且动手能力都特别强。。。席间听他们说话，每当两个家族任意两个人碰面在一起的时候，最明显的差异立刻就显现出来了，很多点！。。这是完全不同的两个家族。。。有人说婚姻是两个家族的融合
1699745672# #好帅！谢谢小雯亲亲亲亲
1691326296# #好好看！他闪闪亮亮的走过来了笑哈哈
1703687766# #我投给了“《装腔启示录》许子诠/韩东君”~
1691580082# #做奶咖？拿铁？被你装到了，栓子坏笑
1692018067# #胳膊好好看！没想到真的是你！
1695989784# #我想吃蛋黄莲蓉，儿子说：“别打开！”允悲吃的西药忌口胆固醇食物，他看着我呢笑哈哈好吧~~。糕点做得很精美，他早上吃的时候我看见了😋。。水岸清溪的闲逸时光
1694132102# #昨天看到这张照片，有人问大哥后边是谁，这是胡慧中，我上学的时候非常喜欢她！喜欢到什么程度呢？学生时代买的不干胶，除了张国荣就是胡慧中；家里墙上和床头贴的大明星，除了张国荣就是胡慧中！现在才知道原来她的丈夫是很了不起的大人物，而胡慧中为了救她丈夫更不惜变卖家产。好女人，我喜欢的一定
1689158249# #韩东君神颜
1690976424# #浙江八月何如此，波涛千里滚雪来！
1696944388# #肺炎的治疗过程中，有一道敷贴膏药的，没人帮我，让儿子上我还不好意思笑cry如果病灶可以通过幻想消失就好了……可是医生：“这儿，这儿，这儿，这儿，你看还有这边……还有这儿……这都白了！你得住院！太重了！”一句句话将我拉回现实！。。今年，过不去了吗？。。不开心。所以我当时说过，我要得这个
1687879360# #转发微博
1694496092# #韩东君的韩氧量，多好的话题，哈哈哈健身的样子蛮吸引人的！胳膊好看！
1695992708# #韩东君要来长春吗？欧亚卖场吗？真的假的？没有宣传呢？我喜欢的电影，不管他有多少镜头都会去看！还想看同期的其他志愿军影片。在喜欢的电影和喜欢的演员之间我会首选电影心当然，有喜欢的演员演的电影会有二刷三刷情节，其他没有，除非没看懂，才会再看笑哈哈
1692458728# #若干年前有一本来自法国巴黎的杂志，其中一页中有CHANEL广gao，那一页有一股淡淡的清香，我还记得那张硬卡纸，白色的，图案不记得了，但是特别的创意特别的味道印象很深！。。所以这本手帐，里边有关于🎀的彩页，有Dior的香氛的味道，每次用心旷神怡😃。。水岸清溪的闲逸时光
1698401475# #不是，右臂脱臼过不止一次啊，这孩子是不是傻啊顶顶顶@韩东君ElvisHan
1703292924# #要多穿@韩东君ElvisHan
1695679424# #要学会接纳总有人不爱你；。也要懂得珍惜总有人默默的付出只是希望你好，但他们从不说爱；。还要明确你爱的人未必爱你在乎你；。如此你就成为独立的自己，脱离幼稚，成为拥有独立人格强大的自己。。。水岸清溪的闲逸时光
1700887643# #好的韩东君徐卫彪
1700552079# #熬完了，单手擎壶老沉了允悲左手得按着盖把药汁瞪碗里doge（瞪肯定错别字，就那意思吧反正东北人都懂允悲），然后两遍药合一起加热一下还得四层纱布过滤，不过滤有泥土。以前我妈给我熬药都先洗一遍，然后再熬；儿子的药我舍不得洗，这个医生的药好使，洗了药效就减了。不错眼珠儿的盯着，用妹妹
1692087277# #哈哈哈交给我没问题，别紧张doge
1689238418# #韩东君是真的很好！团队别辜负了他！粉丝粘性也是因为有他在！
1703465879# #《志愿军雄兵出击》能不能多排几个电影院啊？晚一点儿下线，还没看呢！今天一个影院满座，另一个距离我们好远允悲给考完研的学生们一个机会嘛笑cry
1690254919# #超话头像，很好看！
1689983258# #昨天和儿子去购物，路过一家烧烤自助餐厅，于是我临时起意去吃自助餐。。。儿子在餐厅门口商量：“妈妈，不能便宜，咱走吧，去面对面吃点。”面对面在购物商场里边。。。“来吧，吃吧，也不总吃，咱们吃吃看，好吃下回带＊＊他们过来吃……”我请求他。我和儿子像朋友一样相处，不以父母之威严要求他。。。儿
1697252586# #橱柜安装的时候真的要看女主人身高，凡是不考虑身高的设计都是错误的！对doge我是这样认为的！天天在厨房里撞头晕
1691037664# #开机大吉！韩东君好有样儿！期待《守护者们》！
1695877615# #一定是身体需要所以才特别想吃花生🥜，花生🥜我从来不喜欢的；黑米大枣粥我连喝两天，就是特别想喝黑米大枣甜粥；每次抽血后都特别想吃枣，这次是没抽血前就想吃花生，从来没有这么渴望过。
1704075952# #三个人的开年问候，他好阳光☀️☀️
