1703673700# #会给自己撤，为什么旗下艺人不管不顾啊！
1701731296# #邓为超话💎迪奥品牌大使邓为💎修丽可品牌大使邓为。。11会有越来越多的人喜欢你，做你自己就好，你本就是最好的。。。
1703771549# #25至29岁年龄段未婚率超50%我等着明年的数字！
1703717049# #邓为超话💎邓为自有银河💎邓为0226生日快乐。。“月色朦胧如皎珠，春风烟雨一样等你，水漫漫，思念如疾.”。𝓣𝓱𝓮𝓶𝓸𝓸𝓷𝓵𝓲𝓰𝓱𝓽𝓲𝓼𝓪𝓼𝓭𝓲𝓶𝓪𝓼𝓫𝓻𝓲𝓰𝓱𝓽𝓹𝓮𝓪𝓻𝓵𝓼,𝓽𝓱𝓮𝓼𝓹𝓻
1698281123# #邓为超话💎邓为苏易水💎邓为仙台有树。。你是我跨越山河万里。携带者芳香夜游碰面的光抱一抱。。
1703866206# #和邓为点亮微博之夜💎邓为0226生日快乐。。“光落在你身上爱藏进我心里.”。𝓛𝓲𝓰𝓱𝓽𝓯𝓪𝓵𝓵𝓼𝓸𝓷𝔂𝓸𝓾𝓪𝓷𝓭𝓵𝓸𝓿𝓮𝓲𝓼𝓱𝓲𝓭𝓭𝓮𝓷𝓲𝓷𝓶𝔂𝓱𝓮𝓪𝓻𝓽.。。
1702978086# #DW只若初见的红包有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
1704338670# #伊朗总统誓言报复以色列祈求世界和平，可怜的还是普通大众
1703766457# #三孩非亲生案女方称DNA也不是100%准确她只是犯了一个人类都会犯的错误！原谅她吧！二哈二哈二哈
1699524118# #邓为穿西装气质豪门贵公子
1699572711# #邓为超话💎邓为dior💎邓为迪奥。。公子只应见画，此中我独知津。。写到水穷天杪，定非尘土间人。。。
1697410934# #早呀
1696401119# #生活不论好与坏，每天都是限量版，每天都要开心哟~@邓为D
1697365435# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1703680381# #古偶男主101邓为啊！仪态，打戏，眼神，哪个不是绝绝子！安利邓为
1704000959# #咬手指变丑这一天天的，一会挖鼻孔变大，一会咬手指变丑
1700139446# #邓为爆改无脸男真是可可爱爱，奇奇怪怪，我们帅着呢
1703426748# #今天过年吗？看不过来了，完全看不过来
1697153128# #早
1697185828# #又是一条我们没法驾驭的裤子允悲
1696462225# #煮娱超话为演员邓为签到
1704020156# #阿乐星愿跨年云盛典|微博之夜观礼名额期待能见到邓为心心心
1696164716# #庆祝新中国成立74周年祝福祖国，繁荣昌盛🇨🇳
1703978058# #和邓为点亮微博之夜💎邓为0226生日快乐。。“𝐌𝐲𝐥𝐨𝐯𝐞𝐟𝐨𝐫𝐲𝐨𝐮𝐰𝐢𝐥𝐥𝐧𝐞𝐯𝐞𝐫𝐞𝐧𝐝𝐥𝐢𝐤𝐞𝐭𝐡𝐞𝐰𝐚𝐯𝐞𝐬."。“我对你的爱就像海浪一样永不落幕.”。。
1698317809# #邓为超话💎邓为说要做好当下其他随缘💎邓为苏易水。。期待青年演员邓为，我们会一直陪你，走的更好更远。。
1702907463# #我获得了微博之夜纯粹卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1694002261# #邓为超话💎邓为💎邓为涂山璟。。他说我们不会说骚话，害我们忍的真辛苦，真不会嘛doge。。
1702680104# #邓为超话💎邓为苏易水💎邓为仙台有树。。春天有鲜花绽放。秋天有枯叶飘落。但热爱有始无终。。
1702592509# #邓为超话💎迪奥品牌大使邓为💎修丽可品牌大使邓为。。雨断断续续不停歇，。就像我的心情，。隐藏无数次仍然想念，。细细绵绵无尽头。。。
1701642402# #邓为超话💎邓为苏易水💎邓为仙台有树。。5或软萌可爱，或阳光清爽，或温柔霸气，每一面都是你，每一面都超爱。。。
1701560554# #邓为超话💎邓为苏易水💎邓为仙台有树。。目光所至是你，心之所念是你，愿从新鲜感到归属感，还是你。。。
1699528790# #邓为超话💎邓为DIOR💎邓为穿西装气质。。D和D的牵手，是一场浪漫的畅想。传统丝缕交织，新潮氤氲而生。。。
1701155387# #我真的有那么笨嘛？拉个花那么难吗？怀疑自己啊
1703750680# #出门就是吃饭喝咖啡，再无其他了
1702607419# #邓为GLASSMAN封面预告碎钻报道
1700176129# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧
1704192953# #日本一飞机机场跑道起火事情怎么那么多啊！有点怕人啊
1699414392# #喜欢每个时期的他
1699619294# #每日一餐分享周末哪有不喝酒的
1702393362# #邓为超话💎邓为苏易水💎邓为仙台有树。。对我来说，风光无限的是你，。深处尘埃的也是你。。重点是你，而不是怎样的你。。。
1702336597# #又看一遍
1702206003# #㊙️㊙️㊙️中国古代四大秘术:吸阳术。。明朝年间，山中有个猎户，名叫王巨力，长得甚是孔武有力，箭法超群，每次打猎，都比别人收获更多。原本自给自足，生活甚是自在，谁料这天在山林中遇到了一个狼群，却引发了日后的一场奇事。这天，王巨力像以往一样，带着弓箭绳索之类，到山中打猎，进山没多久，
1697841912# #早
1704274454# #小砂糖橘家长发声感谢东北朋友谁曾想，今年冬天最热的旅游胜地不是最暖和南方，还是最北方
1702937965# #邓为超话💎邓为苏易水💎邓为仙台有树。。心悦君兮君不知，。惟愿君安，。此心足矣。。。
1702680507# #邓为超话💎邓为苏易水💎邓为仙台有树。。星河滚烫，你是人间理想，夜风寒冷，你是人间火光。。。
1700176550# #邓为超话💎邓为爆改无脸男💎邓为苏易水。。"原来真的会有人对素未谋面的人思念至极"。。
1700176708# #邓为超话💎迪奥品牌大使邓为💎邓为dior。。混沌宇宙重生一次，也不如你出现那一瞬绚烂的万分之一。。
1697796747# #邓为超话💎邓为苏易水💎邓为涂山璟。。感谢你走到台前让我们认识你，以后就是你了！。。
1699953574# #有水瓶座的吗？
1701729034# #邓为超话💎邓为苏易水💎邓为仙台有树。。9遇见他之后，才会这么想守护一个人，也希望有更多人爱他。。。
1700957521# #邓为超话💎邓为苏易水💎邓为仙台有树。。9你是为我驱散阴霾里的阳光，是我触手可及的温暖。。
1701815718# #邓为超话💎迪奥品牌大使邓为💎修丽可品牌大使邓为。。10嘴角弯弯，眉眼带笑，看着你便会不自觉跟着弯起嘴角。。。
1694675030# #转发微博
1699398757# #邓为超话💎邓为苏易水💎邓为仙台有树。。一件事情变成习惯也挺可怕的，上楼进门一瞬间就开始掏出手机上线，不带犹豫的，肌肉记忆般，然后才会开始我一天的生活。。
1700971114# #我来啦丰收了
1703455718# #邓为超话💎邓为苏易水💎邓为仙台有树。。“你就是我的那束光，我会永远对你心动”。𝓨𝓸𝓾𝓪𝓻𝓮𝓶𝔂𝓵𝓲𝓰𝓱𝓽,𝓪𝓷𝓭𝓘𝔀𝓲𝓵𝓵𝓪𝓵𝔀𝓪𝔂𝓼𝓱𝓪𝓿𝓮𝓪𝓬𝓻𝓾𝓼𝓱𝓸𝓷𝔂𝓸𝓾.。。
1695164338# #煮娱超话为演员邓为签到
1700089917# #邓为超话💎邓为dior💎迪奥品牌大使邓为。。＂你就是我的那束光，我永远都会为你心动.＂。𝒴𝑜𝓊𝒶𝓇𝑒𝓂𝓎𝒷𝑒𝒶𝓂𝑜𝒻𝓁𝒾𝑔𝒽𝓉,𝐼𝓌𝒾𝓁𝓁𝒶𝓁𝓌𝒶𝓎𝓈𝓂𝑜𝓋𝑒𝒻𝑜𝓇𝓎.。。
1701820589# #邓为超话💎邓为苏易水💎邓为仙台有树。。11不为名利而来，不为流言蜚语弃你而去，守护最好的你。。
1703716211# #邓为超话💎邓为自有银河💎邓为0226生日快乐。。“月光入海，星辰隐匿，满载风尘予你”。"𝑴𝒐𝒐𝒏𝒍𝒊𝒈𝒉𝒕𝒊𝒏𝒕𝒐𝒕𝒉𝒆𝒔𝒆𝒂,𝒔𝒕𝒂𝒓𝒔𝒉𝒊𝒅𝒅𝒆𝒏,𝒇𝒖𝒍𝒍𝒐𝒇𝒅𝒖𝒔𝒕𝒕𝒐𝒚
1696561309# #邓为超话💎邓为涂山璟💎邓为费加罗男士水彩大片。。终于收到啦！隐藏小卡原来亮闪闪的！又可以续几天命了。。
1696902584# #主线任务，上海吃碗面条，罚站喝杯咖啡，隐藏任务，一个人悄悄长肉
1694519751# #邓为超话💎邓为费加罗男士金九三封💎修丽可邓为。。从籍籍无名到人尽皆知，很庆幸那些时光我都在！未来路还很长，我们一起！。。
1703301955# #邓为哄马马儿好会！温柔的人儿马儿都喜欢亲近，仙台有树播的时候我要好好看看！
1702393400# #邓为超话💎邓为苏易水💎邓为仙台有树。。高岭之花落凡尘，愿你如星君如月，月月星光相皎洁。。
1703201035# #邓为超话💎邓为苏易水💎邓为仙台有树。。“你是我永远无法用语言描述的心动.”。𝓨𝓸𝓾𝓪𝓻𝓮𝓶𝔂𝓱𝓮𝓪𝓻𝓽𝓽𝓱𝓪𝓽𝓘𝓬𝓪𝓷𝓷𝓮𝓿𝓮𝓻𝓭𝓮𝓼𝓬𝓻𝓲𝓫𝓮𝓲𝓷𝔀𝓸𝓻𝓭𝓼.。。
1701470244# #邓为超话💎邓为苏易水💎邓为仙台有树。。不要人云亦云，无脑行为最后都是由正主买单，喜欢就是守护，更是尊重。。
1704041997# #和邓为点亮微博之夜💎邓为0226生日快乐。。2023最大的收获是认识了你。2024希望你万事顺意。Bye2023👋🏻。Hey2024✨。。
1699485419# #邓为超话💎邓为苏易水💎邓为仙台有树。。激动的心，颤抖的手，气死别人有没有？谢谢报喜鸟。。
1695909756# #邓为超话🌕与邓为同喜好时节🌙邓为九月行迹vlog。。既然你真心实意推荐了，那我一定是要去的打call打call打call。。
1694741778# #煮娱超话我为演员邓为签到
1697800886# #不吃妆造的明星怎么能没我家的
1703293007# #被老鼠咬后反咬女子室友发声报复老鼠？反咬一口？姐妹你真勇！
1702074794# #邓为超话💎邓为苏易水💎邓为仙台有树。。翻山越岭只为一场遇见。全力以赴只为一次心动。答案就在眼泪里。也凝结在心中。感官和心灵。总有一样要生活在别处。你会更加坚定。心中的热爱。。
1703978257# #和邓为点亮微博之夜💎邓为0226生日快乐。。𝓸𝓿𝓮𝓲𝓼𝓪𝓫𝓵𝓪𝔃𝓲𝓷𝓰𝓱𝓮𝓪𝓽𝓲𝓷𝓽𝓱𝓮𝓼𝓮𝓿𝓮𝓻𝓮𝔀𝓲𝓷𝓽𝓮𝓻,𝓳𝓾𝓼𝓽𝓪𝓼𝓘𝓵𝓸𝓿𝓮𝔂𝓸𝓾。爱是严冬里的一片炽热就像
1701815386# #邓为超话💎邓为苏易水💎邓为仙台有树。。7早安，心情美好的一天从看到又帅又乖的为子开始。。。
1700521446# #邓为超话💎邓为苏易水💎邓为仙台有树。。这一天天的大早班好辛苦！昨天还被威亚吊一天，没有谁的成功是随随便便的。。
1704185799# #被指肛珠作弊象棋冠军起诉中国棋协这条报道有味道偷乐
1702046231# #邓为超话💎邓为苏易水💎邓为仙台有树。。喜欢你的日子，平凡的生活，也冒出了梦幻的泡泡。。。
1700631693# #我喜欢酸酸甜甜味道好吃的推荐！我还是好喜欢泰国菜，酸酸甜甜辣辣！吃的就好过瘾！
1703802447# #邓为超话💎邓为0226生日快乐💎和邓为点亮微博之夜。。我们天性中的最优良的品质，如同果树的花朵，只有悉心呵护，才能保存下来。可是，我们既没有如此善待自己，也没有如此善待彼此。。。
1701642298# #邓为超话💎邓为苏易水💎邓为仙台有树。。3你一直都在努力，不断给我们惊喜，我也要努力一些，成为更好的自己，来喜欢你。。。
1702907486# #我获得了微博之夜真意卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1703841912# #母亲含泪喂被拐35年男子儿时吃过的蜂蜜人贩子罪判的重些是不是可以减少一些拐卖儿童？
1700263696# #邓为超话💎邓为苏易水💎邓为仙台有树。。岁月静好，红尘安然，好想你能赐我一场盛大的邂逅。。。
1698802286# #为所有闻看到了蓝天大海和🌈邓为超话
1702393454# #邓为超话💎邓为苏易水💎邓为仙台有树。。如果你的梦想是面向所有人，那我的梦想便是唯你一人。。。
1704145597# #和邓为点亮微博之夜💎邓为巴黎卡诗。。在惊喜与期待中此间少年与巴黎卡诗的邂逅。丝缕呵护，品质之选；流光宛转，焕发新生！。。
1697808166# #剪的好好哦
1704030847# #当代年轻人的跨年现状出门跨年就是感受人挤人，今年我挤了二哈
1697701200# #还有存货吗？一起发发呗
1694674370# #寻艺签到超话我为演员邓为签到
1704234279# #和邓为点亮微博之夜💎邓为巴黎卡诗。。“你是我永远无法用语言描述的心动.”。𝓨𝓸𝓾𝓪𝓻𝓮𝓶𝔂𝓱𝓮𝓪𝓻𝓽𝓽𝓱𝓪𝓽𝓘𝓬𝓪𝓷𝓷𝓮𝓿𝓮𝓻𝓭𝓮𝓼𝓬𝓻𝓲𝓫𝓮𝓲𝓷𝔀𝓸𝓻𝓭𝓼.。。
1696586877# #我投给了“邓为长相思dw邓为叶十七”~
1703142205# #宝们ss看到我给点👍🏻的，我都会带图回的！放心点！
1702360176# #我发现情侣相处有一个很脏很现实的问题㊙️㊙️㊙️。。1、聊出轨。作为男性，我必须要告诉各位女生，男性对于“出轨”的定义是不同的。。有的人认为只要不睡在一起就不算出轨，有的人认为就算身子已经睡在一起了，只要灵魂没跑太远自己就还算清白...。所以，劝各位，问清楚对方对于“出轨”是如何定义的？
1701383111# #邓为超话💎邓为苏易水💎邓为仙台有树。。4“爱意随风起，风止意难平”“黄昏与落日，晚风也思你”。。
1702939249# #邓为超话💎邓为苏易水💎邓为仙台有树。。眸色温润，。剔透如琉璃，。愿时光厚爱容颜，。世界温柔相待。。。
1702597499# #邓为超话💎邓为苏易水💎邓为仙台有树。。🌈不管世界对你怎样，你都应该一如既往地自信、勇敢、温柔且坚定，没人可以把你变的更好，时间和经历都是陪衬，支撑你变得越来越好的是你自己。。。
1695713973# #邓为超话💎邓为智族GQ十月刊大片💎邓为童趣大片。。除了啊啊啊啊啊还是啊啊啊啊啊！！！时尚表现力天花板的存在！感谢这个夏天让我遇见你！期待更好的你！。。
1699961717# #邓为老婆实时号测试唉
1699414315# #对眼睛很好
1699485528# #邓为超话💎涂山璟捡起来的从来都不是浪漫💎邓为涂山璟。。所有的苦难和背负尽头都是行云流水般的此时光阴。。。
1703542034# #邓为超话💎邓为苏易水💎邓为仙台有树。。别担心。心里有你。说浪漫点。我永远爱你。我想我会永远追随你。像追着光一样。。
1702218542# #邓为2023年影视成长记录勤勤恳恳的演戏！心无旁骛，做好演员这个职业
1700605965# #我在森林驿站帮助了小熊猫，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1703803107# #邓为超话💎邓为0226生日快乐💎和邓为点亮微博之夜。。“珍惜夏日的晚风，还有你所有的笑容”。𝒞𝒽𝓮𝓇𝒾𝓈𝒽𝓉𝒽𝓮𝓈𝓊𝓂𝓂𝓮𝓇𝓃𝒾𝓰𝒽𝓉𝓌𝒾𝓃𝒹𝒶𝓃𝒹𝒶𝓁𝓁𝓎𝓸𝓊𝓇𝓈𝓂𝒾𝓁𝓮𝓈。。
1703716989# #邓为超话💎邓为自有银河💎邓为0226生日快乐。。“花会沿路盛开你以后的路也是”。𝐹𝑙𝑜𝑤𝑒𝑟𝑠𝑤𝑖𝑙𝑙𝑏𝑙𝑜𝑜𝑚𝑎𝑙𝑜𝑛𝑔𝑡ℎ𝑒𝑟𝑜𝑎𝑑,𝑎𝑛𝑑𝑠𝑜𝑤𝑖𝑙𝑙𝑦𝑜𝑢𝑖𝑛𝑡ℎ𝑒
1702679285# #邓为超话💎邓为苏易水💎邓为仙台有树。。风雨过后他活的更加清醒通透。屹立不倒且无坚不摧。。
1698733559# #邓为超话💎邓为涂山璟💎邓为说想和沈腾合作。。看了一上午为子走路了，不能再看了，我怕累着偷笑。。
1703474345# #专科的风还是吹到了麻省理工所以现在的专升本就很好，有的人不是脑子不好，是真的没有花心思在学习上，专升本相当于给了这群人二次机会！
1704113164# #我在微博之夜集卡活动中抽中了现金，听说本轮集卡数TOP40还能赢盛典门票！快来
1697939642# #早呀早呀
1702250412# #邓为超话💎邓为苏易水💎邓为仙台有树。。14你是天上星🌟，我是尘世间那个追星人，我翻山越岭乐此不疲，只为看你眨眨眼睛.。。
1700368698# #你还知道好久了呀羞嗒嗒
1696686960# #和一起修丽可
1703222942# #我在森林驿站为『一花一好柿心愿守护计划』捐助了40颗爱心！快来一同分享公益故事，共同守护美好的心愿，让我们在这个冬天传递爱与善意！
1694069123# #邓为超话💎邓为💎邓为长相思。。某书看到的，“我一定会去看的！”（请自觉带入他的原声）有一起的吗？。。
1702344979# #㊙️㊙️㊙️男ji(四)古代竟也有男🐔?。。伍秀林脸都白了，正想把刘荣推开，谁知刘荣竟又拉扯起伍秀林的衣服来，嘴里还嚷着:“睡觉睡觉”一旁的喜娘有些尴尬地笑道:“少爷刚才不是已经和碧云丫头睡觉了吗，怎么又要睡觉了?你得先和大少奶奶喝了合卺酒才能去睡觉。”。“不要，不要喝酒，要睡觉。”刘
1695621879# #邓为超话💎修丽可品牌大使邓为💎邓为老头衫自拍。。果然啊，脸帅穿什么都行，下次自拍套个麻袋吧！。。
1702342880# #总有几天不舒服
1702164888# #邓为超话💎邓为苏易水💎邓为仙台有树。。8努力不是为了感动谁，也不是要给谁看，而是让自己拥有随时都可以选择的权利。。。
1694257805# #每日一善超话❤️阳光信用。一个善心，一分善念，那只能是一分功德福报，那么如果你每天发善心，每天都有一分功德福报
1703392650# #我在微博之夜集卡活动中为助力成功，每周集卡数TOP30必得盛典门票，你也来参与吧！2024纯真真好
1698066022# #好可爱
1702850749# #邓为超话💎邓为苏易水💎邓为仙台有树。。我喜欢春天的樱花，。夏天的矢车菊，。秋天的百里香，。冬天的腊梅，。还有每天的你。。
1694992324# #煮娱超话我为演员邓为签到
1704145408# #和邓为点亮微博之夜💎邓为巴黎卡诗。。风有尽头，但思念没有。𝒯𝒽𝓮𝓌𝒾𝓃𝒹𝒽𝒶𝓈𝒶𝓃𝓮𝓃𝒹,𝒷𝓊𝓉𝓂𝒾𝓈𝓈𝓃𝓸𝓉.。。
1700484877# #大眼啊大眼！自从我来微博之后真的就抛弃朋友圈了！每天你看看我的在线时间！你对的起我吗？你凭良心吗？你良心不痛吗？你睁开你的大眼啊！我只爱你啊！
1703714634# #邓为超话💎邓为0226生日快乐💎邓为自有银河。。“我在无人岛为你写了封信，笔笔皆是爱”。𝓘𝓌𝓇𝓸𝓉𝓮𝒶𝓁𝓮𝓉𝓉𝓮𝓇𝒻𝓊𝓁𝓁𝓸𝒻𝓁𝓸𝓋𝓮𝓸𝓃𝒶𝓃𝓊𝓃𝒾𝓃𝒽𝒶𝒷𝒾𝓉𝓮𝒹𝒾𝓈𝓁𝒶𝓃?
1699840874# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧
1704145498# #和邓为点亮微博之夜💎邓为巴黎卡诗。。“见面时我们的呐喊声定能响彻整片海”。"𝑾𝒉𝒆𝒏𝒘𝒆𝒎𝒆𝒆𝒕,𝒐𝒖𝒓𝒔𝒉𝒐𝒖𝒕𝒔𝒘𝒊𝒍𝒍𝒓𝒆𝒔𝒐𝒖𝒏𝒅𝒕𝒉𝒓𝒐𝒖𝒈𝒉𝒕𝒉𝒆𝒔𝒆𝒂."。。
1703588048# #3岁娃介绍家庭成员唯独忘了警察爸爸哪有什么岁月静好，只是有人为我们负重前行！辛苦你们了！
1703847324# #2023十大涨粉明星看过来看过来！邓为值得你粉！
1701815423# #邓为超话💎邓为苏易水💎邓为仙台有树。。8最安静的喜欢是惟愿君安，最幸福的愿望是得见君颜。。。
1703489971# #下午好
1702444553# #退网通知。。大眼你不给我ydl！我就退了你！你信不信！
1697081011# #仙台花开并蒂树，易水潇潇深情渡」仙台缘起，易水情深；前世因果，今且续写，祝演员首部男主剧《仙台有树》开机大吉，期待演员邓为的精彩演绎！
1699151688# #邓为超话💎邓为涂山璟💎邓为苏易水。。你是我平淡生活里最耀眼的光，照亮我，温暖我，和你一起成为最好的自己。。
1695118699# #好瘦好瘦@邓为D
1694698116# #这是要怎样？直接杀了我@邓为D
1701936091# #某一任前男友吧，说来也有点奇怪，现在回想起和他的矛盾大都围绕着“吃”。摊手。。他问我，你喜欢吃烤鱼吗？我说喜欢。他说那他请我吃烤鱼。。。到了饭馆他点了一份烤鱼，配菜两种选了他喜欢的鱼豆腐和豆皮，烤鱼上来了，他开始风卷残云地吃鱼，中间因为吃太快鱼刺卡住嗓子几次，面红耳赤地大声咳嗽呕吐
1695992395# #明年还要陪你过中秋，每一年都要@邓为D
1703023662# #邓为超话💎邓为苏易水💎邓为仙台有树。。清风半夜鸣蝉，。引人心弦荡漾，。街邻嘈杂轰响，。无人可闻我为你心动之音。。。
1700560240# #这么早就开始排队了，吃个饭不容易
1704319134# #和邓为点亮微博之夜💎邓为卡诗大中华区品牌代言人。。草木如书，素净如湖。向时间借一缕光影穿梭山林寻觅飞鸟的踪迹，寻到飞翔的翅膀亦是生机的回应。。。
1694933158# #邓为老婆实时号测试能看到我吗？？？
1701684435# #实在不知道吃什么了，试了下福建菜，还行吧
1694310586# #每日一善超话❤️阳光信用。自己不努力，谁也帮不了你；你得有足够的实力，你的原则和底线才会被人尊重。做有用的事，说勇敢的话，想美好的事，睡安稳的觉，把时间用在进步上，而不是抱怨上。早安。
1699854255# #邓为超话💎邓为仙台有树💎邓为苏易水。。他好怕冷呀！真是听话的乖宝，天冷知道加衣！好好照顾自己啊。。
1698035944# #每日一餐分享要去健身房了，肉管不住了
1701731458# #邓为超话💎邓为苏易水💎邓为仙台有树。。13最安静的喜欢是惟愿君安，最幸福的愿望是得见君颜。。。
1701125434# #邓为超话💎迪奥品牌大使邓为💎修丽可品牌大使邓为。。9.为宝，希望你每天工作都能开开心心的。。。
1693915730# #邓为超话💎邓为长相思💎邓为我就知道我就知道，今天要营业，因为已经想疯了，到极限了@邓为D
1696032335# #寻艺签到超话为演员邓为签到
1694674352# #煮娱超话我为演员邓为签到
1703714769# #邓为超话💎邓为0226生日快乐💎邓为自有银河。。“你就是我的那束光，我会永远对你心动”。𝓨𝓸𝓾𝓪𝓻𝓮𝓶𝔂𝓵𝓲𝓰𝓱𝓽,𝓪𝓷𝓭𝓘𝔀𝓲𝓵𝓵𝓪𝓵𝔀𝓪𝔂𝓼𝓱𝓪𝓿𝓮𝓪𝓬𝓻𝓾𝓼𝓱𝓸𝓷𝔂𝓸𝓾.。。
1701037884# #邓为超话💎迪奥品牌大使邓为💎修丽可品牌大使邓为。。2你的微笑如阳光般温暖，你的眼神如星空般璀璨。。。
1699535583# #随手拍谁好人家大晚上买这玩意儿啊！思想斗争中啊
1702164057# #邓为超话💎邓为苏易水💎邓为仙台有树。。4当寒风吹起，气温骤降，又想起了你，天冷了，记得添衣，不要冻着了。。
1703651995# #我不是土豆我一米七我也不是土豆！我一米七一！
1702771460# #邓为超话💎邓为苏易水💎邓为仙台有树。。静待春来无别事，。我在等风也等你。。雪夜更易添思绪，。思念辗转难成眠。。。
1702852758# #邓为超话💎邓为苏易水💎邓为仙台有树。。风行过万里，月沉没海底，我遇见了世界上的一切，却只喜欢你。。
1702506070# #邓为超话💎邓为苏易水💎邓为仙台有树。。山有木兮卿有意，举目见你处处是你，如果想念有声音，我要你听到。。
1704042780# #和邓为点亮微博之夜💎邓为0226生日快乐。。“月光入海，星辰隐匿，满载风尘予你”。"𝑴𝒐𝒐𝒏𝒍𝒊𝒈𝒉𝒕𝒊𝒏𝒕𝒐𝒕𝒉𝒆𝒔𝒆𝒂,𝒔𝒕𝒂𝒓𝒔𝒉𝒊𝒅𝒅𝒆𝒏,𝒇𝒖𝒍𝒍𝒐𝒇𝒅𝒖𝒔𝒕𝒕𝒐𝒚𝒐𝒖"。。
1703908868# #这个节日我很快乐
1695120259# #粉丝认证号叮！邓为的宠粉卡已发放！我领到了TA的专属宠粉福利，快来和我一起成为TA的认证粉丝，宠粉福利领不停！
1701324814# #当你手机电量发红时，车上有这个，我只想说感谢祖国感谢党
1699541491# #邓为
1697603058# #我就是个碳水怪，就爱吃白米饭，只要米好一碗白饭都可以不要菜苦涩
1695992215# #好歹让我看到了今年中秋的月亮🌙
1702249195# #邓为超话💎邓为苏易水💎邓为仙台有树。。他经历过失望、辜负,。又行走于世间百态最露骨的地方,却依然留存了一颗少年之心。。。
1702046015# #邓为超话💎迪奥品牌大使邓为💎修丽可品牌大使邓为。。相思堆积，无笺可传，唯书心意于天地间，风知雨知，说与你知。。。
1703164268# #仪式感，氛围感，都是取悦自己的方式，喜欢的事情何不花点心力呢！
1702464609# #羞嗒嗒羞嗒嗒羞嗒嗒当诗人发动"污力"心情话会有多污舔屏舔屏舔屏。。我把月亮戳到天上天就是我的我把脚踩入地里地就是我的。我把唇压进你的脸庞你就是我的-冯唐。相爱。周身沁着汗你以淋漓大汗爱我你如此饱满地虚乏在我脖子上去时是个浪子归来像个圣徒--木心。相爱。两片抖动的小红帆含
1703839194# #正主卖cp真嫂子没眼看这这这俩不是挺跟的上的嘛呢，怎么风就刮歪了二哈
1701989161# #邓为超话💎邓为苏易水💎邓为仙台有树。。14喜欢一直追着你的感觉，因为那样的我不会迷失方向。。。
1695098881# #邓为超话💎涂山璟最好的一面留给小夭💎邓为长相思。。当我发现我为和我发的一样的文案，嘴都咧到耳朵了！原来开心好简单，只要和他相关！。。
1701731420# #邓为超话💎邓为苏易水💎邓为仙台有树。。12眸色温润，剔透如琉璃，愿时光厚爱容颜，世界温柔相待。。。
1697079798# #仙台花开并蒂树，易水潇潇深情渡。青年演员带着新剧《仙台有树》翩然而至，期待邓为首部男主剧，也期待他带来精彩绝伦的表现。开机大吉打call打call打call打call
1703714708# #邓为超话💎邓为0226生日快乐💎邓为自有银河。。“你眼中的点点星光，是我将一生奔赴的星辰.”。𝓣𝓱𝓮𝓼𝓽𝓪𝓻𝓼𝓲𝓷𝔂𝓸𝓾𝓻𝓮𝔂𝓮𝓼𝓪𝓻𝓮𝓽𝓱𝓮𝓼𝓽𝓪𝓻𝓼𝓘𝔀𝓲𝓵𝓵𝓰𝓸𝓽𝓸.。。
1704020251# #转发微博
1699840862# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~
1702945741# #每日一善超话💎阳光信用💎每日‬一善。。我知道你最近很累，是那种看不见的面对未来的无力感，但请你一定别停下来你的人生不可能止步于此，坚持下去，要相信一切都会慢慢好起来的，世界不会辜负每一份努力和坚持，躲起来的星星也在努力发光，你也要努力加油
1697255246# #每天又能看到上下班
1699226382# #邓为超话💎邓为涂山璟💎修丽可品牌大使邓为。。新的一周，终于降温了，今天已经有了冬天早晨特有的那种蓝蓝的冷冷的气息了。要记得加衣啦！。。
1697077475# #一剑破万丈，遗世傲独立，谦谦君子苏易水出淤泥而不染，重情忆故人，繁花如诗，唯愿君所愿圆满。《仙台有树》，长思有情，开机大吉！🎉🎉
1701009066# #有认识这个零食的吗？
1703142857# #㊙️㊙️㊙️鬼夫(四)寡妇怀孕竟因与亡夫相会。。李木匠心中也有很多疑惑，于是就跑到县衙报了案，知县一听出了人命，就带着仵作来到事发现场，对尸体进行检验，检验结果并不是谋杀，而是失足坠落山崖而死。。马玉兰说道:“那楚四垂涎我儿媳的美貌，还多次进行调戏，肯定是他想霸占我儿媳，才设计害死了
