1691821336# #盛总要不身先士卒再生一个吧，我给你个小目标——子女数量赶上产品数量哈哈
1695137285# #基金超话。华泰柏瑞中证红利低波，成为了今天组合里涨幅最大的一只基金awsl。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1692409860# #基金超话。人生不断走向成熟的标志，就是越来越习惯接受一个“不完美的自己”。。对投资来说也一样，如果你对我的预期是一个“完美的曲线”+“完美的主理人”，对不起其实我都做不到，我也从来没有标榜过自己能做出“完美曲线”。。我很习惯于接受自己的“不完美”，好在我的人设就是这么一个坦然接受
1694079452# #基金超话。最近二手房带看量明显上来了，政策效果还是可以继续观察的……。。古人说得好，急则疲，慌则乱……。。保持耐心……
1701325121# #基金超话。【慢慢变富今日再次买入10万元短久期美元债】。跟投方法：点击图1下方的“转入”选项。。中午和同业的大眼妹子吃饭吃晚了，回办公室之后赶紧再加点美元债的仓。。周五要去和摩根资产的基金经理张军总直播，有什么想问的可以在评论区留言……。。【风险提示】。请根据自己的风险承受能力选择投资
1695003336# #一年翻一倍？那有什么难的？基金超话寻找闪光的你微博vlog大赛
1695803571# #别光想着怎么投大A了，该怎么到全球股市来搞钱——《投资全球活力市场》私享会微博vlog大赛寻找闪光的你
1702013636# #发车罗兄弟们……。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1695384348# #基金超话。【这个熊市指数，你可以了解一下】。正如之前所说的那样，中证红利（000922.CSI）是一个典型的“熊市防御指数”，当市场扎堆红利的时候，说明参与者心态审慎，当红利指数显著跑输市场的情况下，大概率是牛市环境。。虽然我们过去一个月在最低点买入了中证红利相关基金（印花税调降前1天），
1694950538# #基金超话。想起了一个月前好多人咨询我要不要“倍投”，当时我就感慨“你们怎么钱这么多？子弹打不完的嘛?”。。一个月之后很多指数跌破了之前救市的点位，相信很多小伙伴现在也消停了。。“害怕踏空”也是一种人性弱点，你要习惯投资不是一种“追求完美”的模式，接受自己的有限性，努力从边际上提高
1699101178# #基金超话。有些人，人生目标是瞎说偷笑。同样的还有奶粉所说的“YXL在21年高位唱多茅台”，也不看看我公开组合里什么时候买过哪怕一分钱白酒基金？。。所以走自己的路，让别人瞎喷去吧……。。我一个干了十多年金融，全国管理规模最大的N个投顾主理人，不至于连“长期利率下行”这点金融常识都没有吧
1692027065# #今天创过新高了啊……
1696753598# #基金超话。听说有喷子讲我“21年高位推陈媛”啊，21年高位推我能在陈媛身上挣个几万？。。怎么不说我在21年高位推张坤呢，反正抹黑全靠编呗……和奶粉一个德行……
1695897250# #骑出去不到1公里，遇到老派叔叔堵路，被告知国庆期间晚上滨江自行车道都不给骑行。。各位骑友请相互告知哈……。。可惜我特别换上了骑行裤和夜行灯，结果连陆家嘴地铁站都没骑到就下车了允悲允悲允悲
1691734331# #医药基金经理都很难判断医药股价短期的涨跌，大V怎么可能看得明白，哎，爱装的人太多
1696432891# #国庆滨江绿道骑行。。路上连换了三辆哈罗单车，前两辆车况都不太行，第一辆刹车约等于没有，第二辆车把骑起来东倒西歪，只有第三辆还行。。这是骑第二辆时候的视频，没展现出我拉爆一路所有共享单车的暴力行为啊……
1700754472# #加油，坚持初心的盛老板！！！
1696086227# #基金超话。在GZH里找到了一张“年久失修”的老照片，总算能证明一下我在公募最早管理的那个组合《华安全垒打》业绩有多好。。说起这事儿就来气，21年11月份的组合新规直接把这个组合的曲线抹去了。最重要的是我21年1月末连续4次减仓的调仓记录也没了。。相当不爽啊怒怒怒
1703571182# #昨天和我的“大类资产配置内参”聊了一小时，赶脚明年一季度国内债市还是值得看好的，二季度有点看不清。。大概率明年是可以看到市场降息的，在我来看银行的存款利率下降不是那么重要，政策性利率下降明年应该是可以期待的。。所以对于太平洋两岸的利差缩窄，我可并不那么认为.......
1696149226# #基金超话。【姜诚：价值投资就是红利低波吗？】——节选。坦率的讲，我们的超额收益、过去以及未来的超额收益，很难纯粹地归因于我们独到的眼光，可能很大程度上来自于我们的胆怯、退缩。。。在二级市场上做价值投资，最友好的一点就在于它允许你退一步海阔天空。你最终的收益未必是因为你有多优秀、
1703485266# #在股市里别人怎么说不重要，别人怎么做才代表资金的真实想法……
1696584859# #这当爹的心也太大了吧，希望孩子平安点亮平安灯
1700546666# #7岁刚看球那会儿不懂事儿，也跟着媒体瞎比比什么“恐韩症”，觉得咱们踢韩国就是精神面貌不行不够拼，后来球看得多了，终于明白过来哪有什么“恐韩症”，单纯是踢不过而已.......我还恐巴菲特呢......
1697804802# #基金超话。Ohyeh。。美债马上就要5%了，我又能越亏越多了二哈二哈二哈
1694159957# #基金超话。同学们，醒一醒。。发工资了可以补仓了……
1697770532# #骑行超话。啊哈我买的码表、踏频和心率带终于要到货了
1698115975# #基金超话。一个月多月前买入红利低波的时候，还被某策略评论区的人瞎喷，说什么“高位买入”。。事实证明，在这一个月的快速下跌中，买入的华泰柏瑞红利低波动ETF联接C近一个月排名前15%，近一个月跌幅比全市场均值小2%。。在一个业绩基准为100%沪深300，每周二必须发车，LongOnly的策略下，你还能找
1694583076# #对粉丝有利就行……
1696484790# #中国改名失败的城市。。反差最大的是“兰陵——枣庄”。。让我比较意外的是驻马店，原来就是汝南，当年玩《三国英杰传》的时候袁术的汝南戏份可不少，我还一直以为汝南是安徽的……
1703225106# #今天我发车什么品种，你们应该不意外吧
1694570847# #基金超话。地产资讯公司中指研究院调查数据显示，“认房不认贷”政策执行后，全国置业意愿提升了15个百分点，北上广深均提升明显。9月4日至10日，北京新房销售面积较前一周环比增长16.9%；深圳上周新房销售面积环比增长3.8%。
1691307036# #对于行业主题基金，建议要对行业有充分认知的情况下才去买。我在葛兰身上赚钱并不是因为我认知有多高，纯粹是我运气好
1693750469# #手感疯了，美国队这球要输........
1699264607# #啊，我们不是说自行车嘛，我买汽车的钱还套在基金里头..........汗
1703236786# #好好锻炼，少想其他乱七八糟的。。因为想了也没X用
1697871042# #骑行超话。第一个20公里休闲骑完成，均速23.6公里/小时，就是着坐垫坐着蛋疼，另外第一次骑平把公路车手麻，休息个10分钟缓缓
1693127967# #基金超话。财政部、税务总局公告，为活跃资本市场、提振投资者信心，自2023年8月28日起，证券交易印花税实施减半征收。。传闻落地……
1701055908# #基金超话。又找到了一个微盘股指数的平替——广发量化多因子。。前十大重仓股占比不到5%，有点瑕疵的地方在于第一大重仓股仙坛股份和第四大重仓股协创数据，市值超了点……。。看了一眼广发的介绍材料，这产品的定位目前是“国证2000增强”
1693800734# #基金超话。从过去一周政策频出之后市场的反应，基本上我们也就知道先前市场在担心什么了。。首先是房地产销售面积失速下滑的风险，这个风险点在上周央行下调存量房贷和一线城市全面放开“认房又认贷”政策之后，从短期市场反应来看悲观预期是有所缓解的。。其次，是地缘因素，这方面走一步看一步吧。我
1697617985# #常见研报术语白话解读
1703776122# #今晚，心疼这些新能源基金持有人一分钟
1697898636# #骑行超话。这个牛，不知道够不够吹一辈子偷笑偷笑偷笑。。下次我准备从上海骑到苏州……
1694412562# #你看一下他的持仓，他也想知道
1696955086# #现如今国足都能踢赢越南了？那咱们大A啥时候能比得过越南股市呢？嘻嘻嘻嘻嘻嘻
1699606484# #我不知道，一切以美债和两村关系的边际变化为准，掌握变量因素比判断结果更重要，简称“应对比预测更重要”
1697554855# #基金超话。美债——我要给全球股市送辣（拉）堡（爆）……
1692014917# #奥斯梅恩到现在没离开意甲，也算是奇迹了。现在意甲这吸引力也就比葡超高那么一丢丢.......
1699432979# #骑行超话。从7号线后滩站出发，历经42分钟，把小黄车骑出了18.76公里/小时的均速。。到公司之后气儿没喘匀就和同业美女聊投顾业务聊了一小时。。总结：你要是和钱没仇，尽量别干基金投顾业务，因为忒不挣钱了。。像我现在只能靠跑饿了me和美团贴补家用二哈二哈二哈
1692254407# #你看我们今天一放短视频盟固利这票就涨停了，叫我一声“陆家嘴英扎吉”不过分吧，兄弟们吃瓜吃瓜吃瓜吃瓜
1695179447# #不谈了，这就是咱们监管面临的环境，不讲法制精神闹事儿的人太多。作为基金投顾我们可以“筛选客户”，但作为监管不得不面临所有市场参与者，正所谓“林子大了”..........所以我宁愿跟投我组合的人数少一点，千万别有不合适的过来，看着心烦
1697515830# #切记！熊市不要轻言抄底寻找闪光的你微博vlog大赛理想生活季
1701236483# #基金超话。有一种骗术叫做“50永远涨”，这不上证50都快创3年新低了……。。而我们粉丝都知道——没实盘业绩可以永远吹（骗）……。。所以给骗子引流的行为，真的很可耻……
1695562855# #国足亚运队0比0孟加拉国。突破范指导十年前的下限，跳过缅甸直接和孟加拉掰手腕了嘻嘻嘻嘻嘻嘻
1702554112# #骑行超话。今天骑了差不多50公里了，累计骑行距离1400公里，距离明年国庆节2000公里目标还差600公里。。等会儿回家还要骑4公里……
1701136974# #啊哈老夫昨天没猜错哈拉尾盘一般都是为了出货……
1699453530# #骑行超话。下班晚了共享单车都找不到了，回程的13公里可怎么办二哈二哈二哈
1692089532# #基金超话。按照目前我们对债市乐观的看法，在今天10年期国债到期收益率突破2.6%重要关口之后，在年底之前有望挑战2.5%关口，甚至20年4月底的2.48%新高了。。历史新高指日可待.........
1702880893# #啊哈，家里边全二阳，热闹了.......。。Paxlovid有点不够用啊。。40催我从广州回来了鸟，我这个冬天不会先中甲流后中新冠吧二哈二哈
1703663445# #资瓷！！！！那这样我每年都不用交个税了泪泪泪泪
1698767873# #基金超话。最近做多因素的确在慢慢累积。。除了我所密切观察的MMT和美债利率之外，最近咱们村和太平洋对面那村联谊会也搞得不错，其实两个村之间动态关系的变化，也是A股涨跌的重要因素。。去年11月到今年1月底的这波上涨，除了我们政策放开之外，也有11月村长相互见面关系改善的催化剂，只是村和村之
1701517143# #房地产中介真是一个超卷的行业，周六晚上还打骚扰电话.......
1701068603# #北交所真生猛临收盘还涨回去了。。我主动嘴贱申请打个脸吧——明天低开2%……二哈二哈二哈
1696145068# #中国人做制造业最擅长的就是“创造规模优势”，用成本构建不可撼动的护城河
1691981829# #818理财节V+福利来啦！于8月14日-18日期间享年费8折，活动仅限5天，更有订阅财经VPlus有礼下单100%中奖（最高可得888元），点击参加↓↓↓
1693899169# #凡是人能造出来的东西，终将过剩.......。。这是一个制造业出身基金经理的投资框架
1702366624# #额..........
1700539395# #骑行超话。早上刷了13公里。。心率稳定在130到150区间，骑到后边越骑越快，腿上嗷嗷有劲儿……
1703225043# #基金超话。游戏ETF跌停，历史上我还真没见过……。。待会儿采访一下国泰梁女神，了解一下自己孩子被揍成这样有啥体会，不知道会不会被微信拉黑笑cry笑cry笑cry
1703671681# #基金超话。【原来买基金也有玄学啊！】。感觉买基金也有玄学的，比如我用我老婆账户买基金基本没怎么赔过。。即使是今年也是如此，比如我用老婆账户全仓买入的968052摩根国际债券，赌的是美债长端利率下行，结果也稀里糊涂四个月赚了3点几……。。看来40虽然花得多，奈何财运好啊二哈二哈二哈。。同
1702524762# #哎，听说是跑步的时候猝死，默哀……
1699006131# #哎呦今晚吃饭这地儿不错啊，让我这种罗森+711选手又开眼界了偷笑偷笑偷笑
1695885369# #对的业绩是不错的，但其实大家可能不知道的是社保基金本身也是我们这帮公募的人在管，所以在相当程度上“负债端决定投资端”
1693201288# #基金超话。今天过后相信会有人呼吁出T-1政策，比如周五尾盘买券商，周一开盘卖掉。。而不是像部分热血群众那样周一早上群情亢奋“站在那高岗上”...........
1697599954# #基金超话。一个前同事的群里大家抱怨道：“哎，暴跌了.........”。。我赶紧进去输送一波正能量：“瞎扯，根本没暴跌，只是天天都在跌而已.........”二哈二哈。。我反正最近就好好锻炼身体了，该调研调研该锻炼锻炼，没事儿去拉练一下自行车，反正市场也不会因为我去蹬自行车就涨回来，也不会因为
1694078092# #好久不来了。。但是不要以为我是来做节目的哈……
1699975319# #基金超话。其实我最近在组合里不仅塞了“微盘股因子”，还塞了美股资产，相信聪明的你已经看出来了嘻嘻嘻嘻嘻嘻
1700975785# #哈哈，好，请等我这篇测评
1695355747# #基金超话。破山中贼易,破心中贼难。。愿意审视自己的不足和缺陷，对大部分人来说是很难过去的一关。。只不过过了这关之后你会发现“海阔天空”
1696594934# #WX里一堆企业WX的推销员弹出“您的假期余额不足提醒”。。真是哪壶不开提哪壶...........。。过分
1698646569# #基金超话。人民币黄金盘中创历史新高。。记得两个月之前我们低位买入的时候还有人阴阳怪气地说“黄金这里是高位，我肯定不买”来着。。所谓“高抛低吸”是一种典型的藐视市场，过高估计自己的视角。面对市场我们唯有敬畏，不要以为自己真的能有100%判断市场高点和低点的把握。。如果你真的那么牛，咱也不
1692931499# #我没私房钱啊，我这里都是“公房钱”，40结婚前工资就归我管了嘻嘻
1692799952# #现在配置黄金，谈不上什么高点还是低点，毕竟我上次买黄金还是16年1200美元/盎司的时候。。只能说相比于我们大A，最大的好处是“跌得慢”……二哈二哈二哈
1695547734# #刚知道原来抖音上被称为“中年牛郎”的秀才长这德行……。。意思说我这颜值也能走“偶像派”路线了？二哈二哈二哈
1698386971# #基金超话。接近80%子弹打出去了，还怕踏空啊……吃瓜吃瓜吃瓜
1698830529# #基金超话。转。周日新能源研究员在骂医药研究员“反弹还是反转重要吗？你们都要失业了还在计较这个？”。。周一炒“完蛋我被美女包围了”，深刻探讨舔狗经济退潮后男性消费的崛起。。。周二炒重组蛋白的另类应用之男性消费的刚需场景，测算渗透率、客单价、消费频次和市场容量。。周三发现老题材实在没得
1699262725# #骑行超话。下午抽空考察了一下公司楼下的自行车库，24小时有专人把守，感觉很靠谱。。葛朗台如果就买一台2000多块的美利达克罗威100，应该不太会被人盯上吧嘻嘻嘻嘻嘻嘻
1698922472# #广交会期间的白云机场，感觉人流也不大。。感兴趣的小伙伴可以看看上市公司白云机场每个月公布的运营月报，看看起降架次和旅客数这些数据……。。我这种简单看一眼就得出判断的方式，容易犯“张口就来”和“以偏概全”的逻辑错误……
1703656192# #基金超话中国足球超话。中国足协主席：坚决杜绝假球、默契球和“断子绝孙脚”在球场上出现。。我很想请教一下如何在行业大降薪的背景下杜绝假球默契球？。。某金融行业也是同理哈，高薪养廉不是说说，是符合人性的管理方法
1696430178# #中国男篮vs菲律宾男篮。比赛还剩7.3秒，中国队主场，我们持球进攻。。最后队员选择中投，肯定是没听过闵鹿蕾闵指导的CBA历史金句——。。奔篮去，裁判对我们有利！！！
1703147279# #因为我妈以前就是领导，擅长给家里人布置工作嘻嘻
1693186140# #基金超话。【打股评大V脸的时间又来了】。按照周末监管关于上市公司不得减持的相关要求——最近三年未进行现金分红、累计现金分红金额低于最近三年年均净利润30%的，控股股东、实际控制人不得通过二级市场减持本公司股份。。根据Wind数据统计，在5266家A股上市公司中，共有1629家上市公司过去3年累计
1692593146# #懂我吃瓜吃瓜
1692009314# #汇率表示这要问国债，国债表示这取决于市场的预期
1694573694# #基金超话。红利风格还是牛掰啊。。感觉最近都扎堆抱团到红利去了笑cry
1694770615# #哈哈，虽然我脸很丑，但我还是想要这张脸的，不会为了钱不要脸嘻嘻
1692777250# #明白了，HY（）
1695271476# #对，不排除又有一堆韭菜去买了，这种大波的我几乎很少碰
1698116917# #骑行超话。成都天府绿道骑行之一
1695804989# #直播吧9月27日讯CalcioeFinanza报道，国际米兰上赛季的主场比赛场均入场人数超过7万人，赛季主场总收入8000万欧元，创队史新高。。。2022-23赛季，国际米兰在联赛、意大利杯和欧冠中一共踢了28场主场比赛，这是意大利俱乐部能达到的最高数字。国米不仅在主场比赛场次上是最多的，在平均入场人数上也几
1693565971# #北京：执行“认房不认贷”政策措施（新京报）。。评：还真是“因城施策”，就不能大家一起爽快一点应出尽出嘛笑cry
1695355244# #嘿嘿，扒得领域还是不够广，要是来扒扒股票大V，造假得更是数不胜数，最简单的一招就是用P图软件来伪造交割单和账户，称这是所谓的“实盘业绩”
1694095099# #欢迎来比实盘业绩，别耍嘴炮，我实盘业绩三年下来要是比不过散户我名字倒过来写……
1691717940# #基金超话。其实从最近ZZ和ZR两家公司轮流出事儿来看，你就能感受到咱们监管防风险意识多么强了。要是几年前不搞“资管新规”不搞理财净值化，任由各家银行用黑盒子“资金池”玩下去的话，指不定有多少民营地产非标资产藏在里边，到时候因为资金池资产暴雷造成兑付问题，麻烦就大了。。前些天粉丝群有
1697615159# #是的，就是这个意思，即使当中价格波动到10万，但是只要持有至到期，就能拿回100万票面的本金，年化收益还是4.5%，但不是每年收到4.5%利息的概念，晚上直播我会详细说这个事情
1701065682# #中午抖音刷到个地产的视频真吓人奉贤西渡的新房都要4万多一平方了，让我这种15年7万元买徐汇滨江的小伙伴心中一颤……。。所以“新房限价”政策是真牛掰，陆家嘴附近的新房限价13万一平，同区位二手房卖20多万一平，这种给有钱人送钱的做法真的是活雷锋啊二哈二哈二哈
1703580842# #【招聘——基金总经理】。公司：知名新能源企业。低点：杭州-西湖区。薪资：100万以内。。扫码详阅，欢迎自荐/推荐，成单有礼。。“老司基”点评：什么“基金总经理”，不就是“投资者关系总监”嘛，不过这抬头总比什么“市值管理总负责人”好听，但用这个名头，大概率该上市公司认为基金经理是可以“被管理”
1702286966# #哎，前段时间我也碰到过一个粉丝问我这个问题，同担心通胀。我回应曰：“通胀？求求你通胀两年吧，能通胀谢天谢地了”
1700622350# #骑行超话。今天这天气不骑车说不过去啊。。然而，我昨晚睡下去3个小时都没睡着，晕晕乎乎中……。。睡眠和鼻炎，始终是影响我生活质量的最大障碍……苦涩苦涩苦涩
1692022014# #走啰……
1701942032# #基金超话。哎呀，我认识的一个过去两年择时判断市场全错，但业绩挺好的一位基金经理，对明年大A的判断是“小牛市”。。这让我有点慌...........
1702366253# #骑行超话。明后天气温还行，抓紧骑。。感觉周末就要封车了awslawslawsl。。希望下周天气能稍微回暖一下，不过下周我人在广州，回暖也和我没关系哪awslawslawsl
1694492900# #基金超话。吃瓜吃瓜吃瓜
1694497324# #为什么在市场加速下跌周期我们并没有“加速发车”？基金超话寻找闪光的你微博vlog大赛
1695800183# #基金超话。上周三晚上7点直播的时候说过，对于这次配置黄金，我有三个层次的预期。。第一层次（最佳预期）——能赚钱。。第二层次（中等预期）——不亏钱。。第三层次（最差预期）——亏得比A股慢（至少相关性分散了）。。目前来看三个层次的预期都达到了，比我想象中好多了。话说回来对于我这种黄金ETF拿
1695379573# #
1703213589# #我有在高位鼓动买基金吗？没良心，我在21年1月2月提醒了多少次
1703433226# #圣诞快乐，我的粉丝们。。希望明年的圣诞节我们可以更快乐一些……
1703668871# #娘的，21年下半年为了“试探军情”买了6家6个投顾组合，亏了我30%。。果断赎回了……。。还不如买我自己的投顾组合给我自己亏笑cry笑cry笑cry
1692952929# #买基金赔了大钱，炒股是不是更好的选择？基金超话寻找闪光的你微博vlog大赛
1697346182# #杨威大概是缺热度，怕被大家彻底遗忘了。睡眠呼吸暂停综合征是一种很常见的疾病，“终身佩戴呼吸机”的标题会让人以为是因为肺部重疾需要长期吸氧为生，而睡眠呼吸暂停综合征相比重度肺部疾病其实差远了，每个人或多或少都有点睡眠呼吸暂停问题的，不信的话去医院带个24小时监测就知道了
1693749592# #男篮世界杯。不懂就问，为啥说斯洛文尼亚对德国这场比赛不涉及到晋级/淘汰？难道这次世界杯前16强的比赛采取的是“双败淘汰制”？。。因为中国男篮过去4年从来没进入过前16，所以对规则不太熟哈
1698417070# #基金超话。华安红利精选，竟然今天净值还是负收益，孙老板不走寻常路啊。。打开三季报前十大重仓股一看，一水的中字头，妥妥的“中特估之王”啊。。免费帮老东家宣传一下，不用谢哈嘻嘻嘻嘻嘻嘻
1697093380# #基金超话。中泰资管的玩偶和手袋收到啦。。太可爱咯，感觉我女儿会很喜欢嘻嘻嘻嘻嘻嘻。。11月份咱们直播间连麦中奖观众，要不我们送这个？
1699614124# #本着“打提前量”的原则和A股一贯的XJBC属性，在本次“龙凤行情”之后，仗着自己有Wind我本打算“提前布局”一下蛇年生肖板块。。结果关键字搜索下来唯一满足要求的是“招商蛇口”，NM这市值谁炒得动，怪不得都集中活力炒龙凤了。。换句话说，这是“十二年一遇”的主题投资行情，且行且珍惜啊
1691974800# #基金超话。《市场再度重挫，重回漫长磨底期——“股债性价比”每周跟踪20230814》。（图1）上周北向资金大幅流出256亿元，其中8月11日单日流出123亿，创年初至今北向单日流出金额之最，随着北向大幅流出上周A股不出意外出现大幅下跌；从风格因子（图2）来看，价值和成长风格上周处于“比烂模式”阶
1697718896# #租车搞定，明天就准备开搞。明天可能是先热热身搞个50公里，要是状态好的话就搞全程……。。可惜买的码表快递不给力，到现在还没到睡
1692667632# #基金超话。注意请不要把“基金经理”等同于“公募基金经理”。。这个锅咱们背不起哈，瞎搞没有信托责任的私募太多了……
1695703470# #前者是R1摊余成本法理财，后两者都是货币基金，实话说我选前者
1696313818# #卡通头像——直接默认为不具备杀猪能力，通常这类人事多还穷。。杀猪盘老板看人看得很准啊，你看我这嫉恶如仇的样子确实干不了杀猪的活儿啊吃瓜吃瓜吃瓜
1694681677# #基金超话。看到我混的几个FOF群里都在讨论红利策略，看来这把红利我也要做个“波段”了，大概率后面会有“交易拥挤”之嫌。。。。。。。。二哈二哈二哈
1693561967# #基金超话。截至8月31日，A股酒店、餐馆与休闲Ⅲ行业36家上市公司2023年半年报已披露完毕，其中27家盈利，9家亏损。总体来看，酒店、餐馆与休闲Ⅲ行业上半年合计营收640.35亿元，同比增43.9%；合计净利润58.05亿元，同比增310.55%；净资产收益率为4.44%，较上年同期升3.65个百分点；毛利率为32.33%
1694762183# #基金超话。早上一看国际金价和灰驴波澜不惊，咱这儿国内金价又猛冲了1%，想着乡亲们也太疯了……。。不过这种日内波动在我投（tang）资（ping）黄金8年的过程中并不算日内波动大的。。你知道过去8年我经历过黄金日内波动最大的是哪一天吗？时间久远了可能大家不记得了……。。最后贴一下截图，躺平8年的
1702627229# #日经225不是表现蛮好的嘛，这也能亏掉一套房？二哈二哈二哈
1699855761# #基金超话。以场外基金为主要投资方式，对于工作和生活质量有多大提升呢？。。换作13年前我刚做股指期货的时候，我是很难想象自己一边盘中发微博聊天，一边做日内交易的，发个几百字的微博用个几分钟的功夫，股指期货这几分钟的波动早就超过我一个月的工资了。。以我现在十几亿的管理规模，如果全仓做股
1697437549# #基金超话。两个月前说我“反向指标”，应该在这个位置加速发车的人呢？。。我保证不打死你二哈二哈二哈
1700315367# #骑行超话。在酒店的自行车机上又干了45分钟，边骑车边和两个客户朋友聊天，时间利用效率拉满嘻嘻嘻嘻嘻嘻
1699244711# #基金超话。又打了个出其不意。。不过代码打错了，我本来是想调C的允悲允悲允悲，又粗糙了。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1693149843# #看来中国男篮已经可以提前回家钓鱼了..........
1699943797# #短期决定市场方向的胜负手——北向资金理想生活季微博vlog大赛
1695272399# #这句话充分说明了老胡就是韭菜，韭菜最大的特质就是不知道也不承认自己“菜”二哈
1697520967# #哈，那是你没见过1920年我的科技医药消费三剑客基金有多猛……偷笑
1703771488# #牺牲一天的空气质量，唤回“年的味道”，我觉得值........
1696085490# #这种根本不用公布，谁实盘业绩好就是谁厉害，难不成还看谁话术好谁厉害不成？
1691644122# #基金超话。接下来我要是降低发车速度了，也不要意外。因为累计300车发车已经发了70%以上车次了，一周再增加1-2车其实也是“边际作用钝化”。降低发车速度反倒是可以多留出一些安全边际，同时还能让自己的投资心态保持在比较平稳的水平上。。毕竟“全仓出击”市场还不涨，对人的心态考验还是挺大的，
1695624416# #哎我的房贷一点没下调，不开森……苦涩
1692111992# #基金超话。当下国内经济面临的主要困难，其实就是：。。缺乏一大批情绪稳定、行为理智、消费旺盛、炒股积极、买房踊跃、而且还能尽力生娃且信心十足，、顾全大局的群众。。发现我家40就是这种“顾全大局的群众”。1、情绪稳定（安心呆在家里奶娃）。2、行为理智（除了骂老公以及辅导小教主作业发飙之外一
1703059072# #咦，是谁啊，FOF基金经理是可以在组合里买个股的，不超过基金资产的15%就行，不过用这点东西来违规，真没必要吧
1693988830# #可以啊，自己做亏50%呗.......
1691642410# #基金超话。听说有散户支持T+0还有放开涨跌停板限制笑cry笑cry笑cry。。到时候你就知道我们现有的交易制度是多么保护个人投资者了……
1699093069# #基金超话。看了一眼美债的股债性价比，基本能确定的是“边际好转”，但还没到“决胜时刻”，所以发车车次应该还是不会增加的，就是在品种上重新转向积极。。美债股债性价比位于历史90%以上分位数，你和我说短期要“暴涨”，我觉得是挺难的，最多出现一波去年11月到1月的那种回暖吧
1700822893# #今天忙了一天忘记看对面了，真热闹。。最后还都是自己搞，瞎折腾........
1693807753# #+1
1698120193# #骑行超话。成都天府绿道夜骑。。天府绿道100公里骑行经验。1、如果你不是“大力金刚腿”的话，尽量不要想着用共享单车骑完全程，否则78座跨线桥会让你痛不欲生。2、最美的一段在青龙湖到锦城公园这段，可以从桂溪公园入口进去，逆时针骑行。3、南边有很多租车点，可以选择合适自己的车。4、随身不要带很
1699435113# #基金超话。俗话说“粉随正主”，简单讲就是博主是什么调性，什么认知水平，吸引来的粉丝就是对应的调性和圈层。。知道且慢过去一年购买金额最大的客户买入的是谁的策略吗？具体金额我就不方便透露了，反正是8位数，而且开头的第一位数不是1..........。。所以为啥奉劝实盘认知水平不够的大V千万别做阳
1701841904# #微博粉丝群里会告诉你怎么投
1694448440# #基金超话。黄金我考虑再加一点……
1692273357# #基金超话。美债利率快创这两年新高了。。大哥你啥时候才能衰退啊，我等得花儿也谢了……二哈二哈二哈
1693881165# #你们这帮人都异想天开，基金经理都是打工人，限购就是挡公司财路，你能和公司总经理说“这个项目老子不准你做”吗？
1701414376# #3点还有易方达中短期美元债的调研，继续学习听听吧……。。三方投顾就是好，全市场产品都可以推，以前我要是强推外部基金公司的产品，很有可能是要在内部被diss的。。所以公募“工具提供商”的这个定位，注定很难做基金投顾，因为你的立场很难做到客观公正，不给自己家带货……。。公募FOF更是如此，对自己
1690702396# #哈，还是有老粉记得的。我当时只是傻傻得觉着我买的房7万/平不算贵
1691511621# #基金超话。被某渠道持续二次首发还没塌方的固收+产品，的确不多啊........
1700814977# #基金超话。【方正富邦中证保险基金经理吴昊总调研纪要】。昨天下午还接待了方正富邦中证保险基金经理吴昊总的路演，昊总果然和Wind上的照片一样浓眉大眼，帅哥一枚......。。一般来说对于行业主题基金的路演，我并不会要求基金经理来判断一下未来短期自己主题基金的走势方向，这应该是
1697423097# #基金超话。雪球还真是个“不懂装懂”人士扎堆的地方。。昨天感慨Wind偏股混合型基金指数要创记录连续两年下跌了，结果就有“黑茅粉”跳出来指指点点：“32pe/11pb的公募最大报团股茅台还没咋跌，公募报团快十年才跌这么点难以说见底；茅台，股息率这么一点点了，您还……”。。要不说一点市场不知道的
1696914192# #我宣布，如果不出意外天气也配合的话，下周末准备在成都挑战。。天府绿道骑行100公里吃瓜吃瓜吃瓜。。不过这次准备租山地车试试，共享单车骑100公里会有🥚🥚的忧桑……二哈二哈二哈。。当然你们也大可以放心，“货拉拉”的电话我也已经准备好了，准备随时跑路喵喵
1692858152# #个人觉得国内也有拍《华尔街之狼》的基础，卖课老师其实就是莱昂纳多迪卡普里奥.........，杀猪盘就是剧中的粉单市场
1692343018# #基金。在传统金融产品的风险等级定档来看。。活期理财和货币基金属于R1，固收类的属于R2，权益类基金属于R3，QDII和商品基金属于R4，如果投顾组合里边QDII和商品基金比例过高的话，就会被定为R4等级。。然而通过过去两年被市场的毒打，本二级市场土狗发现，QDII和商品基金貌似实际风险比大A低多了，含大A
1697180090# #是的，一点不羡慕，当然如果给我20w月薪也是可以的，从此之后我在网上就不怼人了，躺平挨骂就好
1695091610# #基金超话。又是红利指数的天下awsl
1692271741# #李玉林——从这角度来看，中国真是一个缺乏体育精神的国度，还是少谈些体育精神吧
