1692766832# #从绝对金额来看，这一波应该差不多了吧？
1694507933# #老牛，你快乐吗？。经常有人问：老牛，你经常发牢骚，这样能快乐吗？还有人问：是因为受了什么刺激吗？。有时候，我也问自己：为什么？。更多的可能来自于童年：在姥姥家长大的经历让我对公平和正义有天生的渴求，贫困的生活让我成年后对社会有深刻的反思。。现在的年轻人很难想象改革开放
1696029948# #需要共识和群体努力
1697465288# #友情转发
1687681080# #稻盛和夫有一句特别牛逼的话，特别适合现在：。渔夫出海前，并不知道鱼在哪里，可是他们还是选择出发，因为他们相信，一定会满载而归。人生很多时候，是选择了才有机会，是相信了才有可能。
1698799540# #给大家留一个思考题，假设在茅台酒需求稳定增长的情况下，提价给公司带来利润增长有多少亿？怎么计算？。。如果这个算不出来，可不能说自己是基本面投资者哦！
1696569140# #历史趋势不可逆转
1698545280# #投资范围广是好事，但是投资范围广，也容易脱离自己的能力圈。我们的投资范围很广，但是我们很少离开自己的能力圈。。。在我们寻找的投资机会中，有90%我们看不懂，直接就不看了。。。所以很多时候大家私信问怎么看一个个股，老牛有时候会直接说看不懂，知道自己不懂，能够很好的保护自己投资之路。
1698028126# #大海，总是给人无尽的遐想
1688027280# #二八定律指的是在这个市场的参与者里面，80%的人都是亏钱或者说跑输基准的，只有20%的人能够跑赢基准。这背后反映的其实就是人性。。。因为人作为情感动物，并没有大家想象的那么理性。大家更习惯将现有的一些东西做简单的线性外推。比如，某个行业这两年不景气，大家可能就会在一个其实是底部的时间点
1688858366# #转发微博
1689518052# #农药、化肥应该是主因
1698596292# #转发微博
1698145680# #赫胥黎：最完美的奴隶制，就是让奴隶们以为自己就是主人；最完美的监狱，就是让囚犯们不知道自己身在监狱，并且让他们爱上锁链，使他们相信，如果离开锁链，他们将一无所有！
1694253360# #人都是被逼出来的，。人的潜能是无限的，。安于现状，你将逐步被淘汰，。逼自己一把，突破自我，你将创造奇迹，。千万不要对自己说不可能，。树的方向，风决定。。人的方向，自己决定。（转）
1690770966# #中国半导体会有希望吗——此文来自于一位国产（经理）真实事件。。十几年前，我在国内电子信息领域还过得去的学校毕业，进入了消费类电子这个大行业。阴差阳错，第一份工作是写软件，不过是嵌入式软件，也算跟硬件贴得很近。写了三年，后面转了项目管理。也因此有一个更全面的视角可以观察整个行业上下游
1693623699# #你可以不说真话，但请不要说假话
1691557455# #有人能帮忙翻译一下这份外星人调研纪要吗哈哈
1688370949# #同意赞赞
1694179936# #苦难应该反思，而不应该歌颂
1696243664# #赞
1696648446# #文旅部数据显示，中秋节、国庆节假期8天，国内旅游出游人数8.26亿人次，按可比口径较2019年增长4.1%(端午/五一恢复度：112.8%/119.1%)；实现国内旅游收入7534.3亿元，按可比口径较2019年增长1.5%(端午/五一恢复度：94.9%/100.7%)。以客单价口径计算，国庆出游客单价为912.1元，约恢复至19年同期的109.8
1697714841# #是这样
1696055601# #不融入世界，生意都没得做
1696476310# #很对，中国古代就没有产生民主思想，糟粕为多，多数理论为统治者服务，很少有替百姓说话的，有也是劝百姓“忍”。我正在写一篇“国家存在的意义”
1698471270# #善恶不分
1694319973# #转发微博
1689646632# #扭腰时报：关于半导体竞争的一些观点（公子豹）。7月12号NYT发布了一篇关于半导体竞争的长文，写的非常震撼。摘录了一些段落供各位阅读讨论，侵删。。。1、芯片是现代经济的血液。它看似很简单——不过是排满着电路的微小硅片——但却是人类文明的桂冠。1950年代末期的早期芯片上只有2个晶体管，而今天智
1691454687# #昨天国内逆变器头部企业公布半年报业绩，上半年净利润40~45亿，二季度利润在25~30亿之间，大幅超过市场之前20亿利润的预期。分析公司业绩超预期的原因，主要是出货量二季度环比提升40%、海运成本下降、人民币贬值带来的汇兑收益4亿元。。。老牛前两周已经提过，短期可以期待逆变器企业业绩超预期带来的估
1692237894# #泪
1690466327# #太应该了！
1692761108# #PEG选股策略参照指标：。。第一，公司未来三年的业绩或收入的复合年均增长率要超过30%；。。第二，行业或公司能力处于1到N的成长期（已突破0到1的初创期），N&gt;3；。。第三，关注公司对股东的回报，稳态ROE要大于15%；。。第四，结合安全边际的一定的收益率预期，向下空间最多-20%，向上三年空间60%；。。第五，
1694439804# #那些人是不是既得利益者，是不是贪污犯的代言人？
1698676157# #沈从文多少心酸
1696745219# #恐怖的缅甸KK园区
1697098680# #人最高级的活法：别人朝我扔泥巴，我拿泥巴种荷花，种了荷花采莲藕，采了莲藕卖钱花。。。——莫言
1689562009# #两年前任正非这位历经磨难、已经79岁高龄的老人，曾在华为军团成立大会上，向世界发出了掷地有声的最强音：。“我认为和平是打出来的，我们要用艰苦奋斗，英勇牺牲，打出一个未来30年的和平环境来……让任何人都不敢再欺负我们。”(转）
1691471781# #一个人饥饿至极。一连买了6个包子吃，但都没有吃饱。于是买了第7个包子，刚吃了一半就觉得饱了。于是，很后悔地说：早知道最后这个包子能饱，就不用买前面6个包子了。。。学投资也是一样的，经历前面“六个包子”的不断学习纠错，在“第7个包子”处实现稳定盈利，这不能说前面的经历就没用。想一想，如果
1696748354# #赞
1698617336# #转发微博
1692068814# #可以慢慢建仓
1694568000# #【华泰海外科技】DOJOAI芯片，特斯拉异军突起。。近日有外资投行在唱多特斯拉DOJO，并认为对英伟达发起挑战，引起市场关注。首先，DOJOisnotnewnews，特斯拉早在21年的AIDay已经发布，并最终在本年7月开始量产。而我们也在来到华泰后的第一个AI芯片报告（4月12日）中提出，英伟达能否继续笑傲AI芯
1692168854# #你们觉得踏空和被套谁更难受一些？
1690374404# #重男轻女太弱智
1688699537# #彼得林奇讲过：“事情是担心不完的。不要理会股评人大胆的预测。让你卖股票的原因是该公司基本面变坏，而不是因为天要塌下来。”。。大家不要被悲观视角影响真正的价值判断，回归到具体企业上看看它们的价值创造和盈利能力。大环境的改善需要时间，而这个时间段会带给我们良好的抄底机会。
1690984831# #转发微博
1691031716# #好酒不止茅台
1695648111# #刻不容缓！
1690005480# #据说当初马化腾做腾讯QQ的时候，马化腾的钱烧光了，四处拉投资。。有人问马化腾：你拿到钱后，怎么挣钱？。马化腾说：我现在还不知道。。那人又问：那我为什么投钱给你？。马化腾说：我坚信它能挣钱。。那人又问：你凭什么坚信？。马化腾说：因为每天用QQ的人很多，我们后台的服务器根本应付不过来。这么多人
1698368162# #人民的好总理！泪流满面……
1691216165# #复盘了很多成长股，想到一个问题，他们的业绩爆发增长，到底是来自运气，还是来自优秀的前瞻规划？。。对于成长型公司来说，公司高管需要判断行业未来的发展，在最有潜力的技术路线上布局。回望现在这些行业巨头以前做出的抉择：。对当时的英伟达来说，消费者选购电脑，最有性价比的方式是CPU还是CPU+GPU
1689229199# #两条重要的企业经营理念是：。。第一，在激烈的市场竞争中，做大营收和利润是很难的。如果能保持利润不变，使资产变少，分母变小，“提高资产回报率”其实是更好的选择。。。第二，控制成本并不是最重要的，“控制固定成本”才是最重要的。如果企业的成本构成是“低固定成本+高变动成本”,即使企业的销售利
1690894011# #企业家噤声，司马夹头们耀武扬威，真是悲剧！
1691064495# #好阳光
1698498486# #李显龙：经常有人问我，为什么要照搬西方那一套？我说：因为“西方那一套”意味着公正、法制和民主。正因为有了这些制度保障，西方才可以广纳贤才，激发活力，创造出灿烂的科技文明。。。既然我们可以使用西方发明的电灯、电脑、互联网和手机，为什么不可以引进西方的政治文明呢？抛弃制度保障而谈论科技
1698221821# #再过几年，高考就没有那么拥挤了
1695007065# #医药、光伏、白酒，能否形成共振？。我看行。
1688695781# #哎。。。
1694157744# #
1688257800# #很多人担心中国会重走日本的过去的路，最近讨论的声音也一直都有，拿两个相似的东西进行类比，这是人类大脑最容易接受的方式，但有时也会忽略两者之间的差异。。。两国相同点是：①地理位置同在东亚，文化有差异但大体相似，同时出生率面临一个下降的趋势。②日本经济曾经走过的路和中国有相似之处。。。两
1691644683# #难道是先把空头骗进来，再一举消灭？
1695017536# #可叹！
1696122191# #法制的核心不是政府用法律管理社会，首先是政府必须处于法制的约束之下。
1695651841# #反智、反道德、反人性……
1695632460# #见底反弹有两种形式，。。一种是急跌后的急涨，参考22年4月；。。另一种是慢慢磨底，熬出来的反弹。。。目前来看，行情更像是第二种，行情会在曲折中演绎，不要过于兴奋，也不要悲观。
1693405790# #转发微博
1694674759# #信心比黄金还重要，黄金创新高，信心希望也能涨一涨
1694506095# #上周六，唐山，盛达期货2023年下半年股指期货报告会上
1696756560# #很多人宁愿相信情绪，不愿相信真相。。。因为真相大多数时候站在其认知的对立面，而其自负的心理往往对不符合其观念的真相选择性忽视。（转）
1689142440# #在古代，基金经理应该叫什么？哈哈
1691327423# #赞
1691477871# #男性和女性在找对象时，最看重的特征排名。男人果然都是哈哈
1687423414# #如果马斯克有中文简历哈哈。（仅供娱乐）
1697859289# #已经跌得寻找场外因素了允悲
1694483595# #是这样
1690447772# #英雄不问年龄——。卡尔·马克思，1818年5月5日出生，1848年2月21日《共产党宣言》发表，受此影响共产主义运动席卷欧洲并向全球蔓延。。近200年了！
1698896406# #转发微博
1688457178# #半导体的好日子来了吗？。可能。。毕竟，这是一个周期性行业。。而周期，就一定会反转。。5月份国内手机销量已经实现了25%以上的正增长——当然这是在去年同期多地物流停顿的情况下实现的。。不管如何，经过长达近两年的调整，反转点已经隐约可见，此时下注，赢面大于输面。。更稳健的做法，是等待信号的进一
1697415758# #周末证监会出台两条逆周期安排：①提升融券保证金比例②限制上市公司高管和核心员工融券出借。。具体改变如下：。一是普通融券的保证金比例由50%提高至80%，对于私募机构的融券保证金进行差异化提升，即由50%提高至100%；。二是取消了上市公司高管、核心员工通过参与战略配售专项资管进行出借。。。据券商测
1689809366# #转发微博
1695472666# #人民公仆忙啊
1692106029# #目前这种财政形势，想取消太难
1696083460# #千万别买杂牌电动车，为毛？因为新势力纯电动都是拼了命在干，老牌车企只是被动应付，孰优孰劣？
1694682477# #都有摄像头的
1692837104# #昨晚英伟达的二季度业绩在超高的预期下依然超预期大涨，侧面体现人工智能行业景气度依然保持强劲！并且公司在历史最高位还准备回购250亿美元，说实话，是真羡慕美股有这样的公司！。。英伟达的二季度业绩概览：。1、营收:当季营收135亿美元(同比+101%，环比+88%)，大幅超出市场112亿美元的一致预期，主要
1697465605# #我更关心什么时候完善证券法，以实现严刑峻法。如果法制不完善，前赴后继可以预料
1696514770# #哎……
1698878863# #转发微博
1687825712# #这周是二季度最后一周，和一季度最后一周相似，很多基金会把AI的仓位调整一下，所以市场呈现的节奏和逻辑就会比较乱，预计这个星期下半周调仓结束后会稳定一些。目前大盘是四连阴并且二连长阴大跌，按照以往的规律，一般三连大跌或者四连大跌是个小极限。。。现在聚焦的策略是抄底指数做反弹，但是AI板块
1696033997# #所以我觉得企业是企业，个人是个人，企业一定要救，否则多少中小企业覆灭？
1694180041# #只有与发达国家搞好关系，才能赢得发展机会
1696122054# #幼年的时候，我们没有能力思考，只想逃离农村。直到成年后，我才开始反思，为什么那时候我们那么穷？
1696256751# #美国为什么强大？启发式教育是立国之本！
1694091578# #还好说的是大清。。。
1695719805# #巴菲特投资主要关注企业以下三个方面：。一、企业必须简单易懂；。二、企业必须拥有持续稳定的经营历史；。三、企业必须拥有良好的长期发展前景。
1692512421# #荒唐
1690362011# #抄底之前，投资者需要思考三个问题：。第一个问题：股价下跌以后，公司的估值真的便宜了吗？。第二个问题：公司的基本面发生了改变吗？。最后一个问题，我们的资金安排能允许抄底吗？
1698372929# #人民的好总理！
1696343403# #这个视频没有达到应有的热度，可惜
1690207056# #一触即发
1688009560# #四个研究分析里常见的错误。（1）误解定量和定性的关系。（2）线性外推，静态思维。（3）重需求分析，轻供给分析。（4）将短期的景气长期化
1692759646# #外资连续12天净卖出。。。感觉最近内资被外资按在地上摩擦。。。能不能争点气？
1693544767# #治水的核心是疏而不是堵。都江堰二八分沙，三七分水的奥秘，保障成都平原旱季有水，涝季疏水。。。股市的流派也是一样的，大家一起在这个市场里面找饭吃。如果把某个流派堵住，堰塞湖随时到来，最终的后果可想而知。。。合理的规则下，言行一致的执行自己的策略，才会有市场的反馈。任何投资都有风险，量化
1695217973# #转发微博
1691028094# #【经济日报:让居民通过股票、基金也能赚到钱】。。现在这个位置布局，我认为是大概率事件！
1688605164# #转：抑郁症的10个具体表现，请大家自我检查一下：。。1.几乎每时每刻都处在悲伤、空虚、情绪低落的状态中，对任何事都提不起兴趣，失去了生活的乐趣。。。2.无食欲或过度进食，出现睡眠障碍，如失眠或早醒，浑身疲乏。。。3.出现人际回避，不愿与人交流。内心接近停滞，和他人以及世界隔绝，如沉深海。。。4
1689774806# #还不是无奈
1691395763# #能做到这些的就不是群众了
1688048719# #转发微博
1688611373# #据新浪科技，7月6日，埃隆·马斯克在世界人工智能大会发言，称中国下定决心干一件事的话，一定能做得很好，也包括AI产业。
1687245159# #2月份我看好人工智能，被一片嘲笑。。。现在，我阶段性看空人工智能，又被一片嘲笑。。股民啊，总是对底部的无限鄙视，最后被涨得深信不疑。
1692429188# #群主雄才大略
1687700344# #强弩之末，或将一盘散沙
1693894415# #你们喝过了吗？
1689074475# #下半年结构性行情会比上半年好得多。原因有二：一是人工智能行情初入牛市，让满市场长达两年的熊市情绪有所改观；二是进入下半年估值即将切换，一些增长确定的股票更加便宜了。。但是期待出现全面牛市不太现实。房地产、出口、消费，都会继续压抑投资人的情绪。在数据没有好转之前，吹嘘大牛市的人都是
1692624902# #比我们重视
1698029753# #如何度过生活中的低谷时期？。宁静地等待，充分休息，保持体育锻炼，始终将健康置于首位。。与亲近的朋友交心聊天，不抱怨，更重要的是回忆往日的欢乐时光。。多读书，阅读传记，了解别人如何在困境中度过难关……（转）
1689947089# #转发微博
1694238854# #现在对A股依然保持极度悲观的人，是不是应该认真思考一下，自己为什么看空？。。是A股估值已经泡沫化了吗？。。是经济形势马上一蹶不振要萧条很多年了吗？。。是被过去两年的趋势打得没脾气了吗？。。还是被悲观的情绪裹挟，变成羊群里的一只羊？
1698040734# #沪指跌破3000点后抄底还是止损。这个问题，大家来回答把！
1698828424# #形式主义死灰复燃，如何得了？！
1696745233# #这倒不错
1697935764# #转发微博
1696417200# #人必须出门，必须社交，必须去体验不同的事物，见各种各样的人，脑子才会思考，才能感觉到自己是在活着。长期宅家的后果就是失去灵性，变成彻头彻尾的呆子。。——稻盛和夫
1688095911# #五穷六绝七翻身，有些人今天就等不及了哈哈
1692185003# #奖励
1691203965# #等一次黄金坑
1696153133# #赞
1695189159# #卧薪尝胆
1692576804# #今天9点15分会公布新一期的LPR，市场目前预期1年期LPR和5年期以上LPR存在15个基点的下调空间，也不排除8月份5年期以上LPR下调20个基点的可能性。目前房贷一般是以5年期LPR为基准，如果5年期LPR有超预期调整幅度，应该能为市场打一针强心剂。。。总之目前市场属于中长期低点，且行情反转在即，但是短期正
1690686661# #不得不令人担忧
1687911798# #六月结束就将迎来中报业绩披露期，这几天一些业绩比较好的公司也在陆陆续续发布业绩预增的公告了，中信建投做了一个热门行业中报预期的表格，我选了一些关注度比较高的细分行业，感兴趣的朋友可以去跟踪一下。
1687842290# #什么是盈亏同源?。你的优点就是你的缺点，让你挣钱的东西也会给你带来相应的损失，这就是盈亏同源。。你的性格和你的投资是匹配的。因为你的性格很勇敢，所以可能在需要勇敢的时候，你总能抓到很好的收益；相应地也会因为勇敢，去冲动地做一些事情，导致亏损。
1689639885# #昨天指数的调整也算是正常震荡行情的调整，不意外也能接受。底部震荡就是这样的，涨多了追高就难受，向下跌也不会跌很多。有能力的当然可以“螺蛳壳里做道场”，但是这既考验技术又考验心态，对于中长线投资者来说，最好的办法也只有捂住好股不动摇了。。。在缩量震荡的行情中，比拼的是耐心，坐下来平静
1698496197# #哈马斯创办者HassanYousef之子在媒体面前痛斥哈马斯用妇女儿童做人盾，因为他自己小时候也是这么长大的。他说你们巴勒斯坦人都说以色列是你们苦难源头，但是你们哈马斯的领导人躲在海外过着挥金如土的生活，一点都没像受苦受难的样子。
1687648845# #戏剧
1697853014# #溜须拍马的人，非奸即盗，被几千年验证的定理了！
1697892787# #正是如此，所以国家的进步，需要每一个人的清醒和努力
1693666164# #贼姓难改！
1694595737# #摆拍？
1695286680# #炒股老手这是亏完了还是大道至简？。。老牛只有一个笔记本电脑和一个显示器，你们呢？
1695375395# #为什么要长期投资，因为个人短期投资不理性。。从短期来看，经济不理性，企业不理性，股价不理性，市场也不理性。。。在短期市场，即使你理性也没有用，因为即使你是对的，买的股票价格便宜，短期市场就是不理性，不回归价值。。。但长期市场就不一样了，整体会在波动中趋于理性，最终体现为长期平均价格接近
1698636789# #金融与投资企业家课程——企业家的金融必修课。金融班成立16年以来，一直是历届校友转班&amp;转介绍率最高的班级之一，在经济下行的当下，本期转班&amp;转介绍率仍高达50%~。。本期学员情况如下。【区域分布】本期已录取学员主要来自江浙沪包邮区。【行业分布】横跨加工制造、金融、矿产能源、跨境电商、化工、环
1696058341# #服不服？
1694498738# #糟糕的和平比什么战争都好
1690033678# #这事必须呼唤吴京！
1697264364# #赞
1694502384# #还好，没打起来，能够动口千万别动手
1688007384# #应该是
1695606129# #太对了
1691376867# #赞
1687751408# #如果属实，有点过了，批评即可
1690449190# #老牛要是女人，你们打多少分？
1690186570# #周末杭州见
1687504866# #转发微博
1695263827# #转：大数据统计：。。股票账户资产1万以下的人，占比23.2%，说明只是抱着玩一玩的态度来炒股的，可以忽略。。。股票账户资产1-10万的人，占比48.5%，几乎所有人都是亏损的。。。股票账户资产10-50万的人，占比21.7%，大多数人都是亏损的。。。股票账户资产50-100万的人，占比37%，一部分人是盈利的。。。股票账户
1697870570# #赞
1698578485# #百姓心中有杆秤！
1697273985# #是时势造就了泽连斯基这个英雄，还是泽连斯基顺应了这个时代？
1696138265# #主持人本来应该更自然，更自由
1689815379# #挺好
1688597329# #转发微博
1698273900# #很有道理
1696488205# #具体到投资，我们更应克服线性思维，关注周期性规律。。。经济基面有周期变换规律，投资者情绪有周期变换规律，投资者情绪又受经济基本面周期变换的影响。。。通过对周期性规律的客观分析，我们可以把握市场运行的一般规律，克服市场情绪对投资判断的不利影响。在市场极度狂热时，保持冷静，在市场极度悲观
1689394225# #允悲
1692523380# #一定要鼓励孩子勇敢尝试！。。人都是被逼出来的，。人的潜能是无限的，。安于现状，你将逐步被淘汰，。逼自己一把，突破自我，你将创造奇迹，。千万不要对自己说不可能，。树的方向，风决定。。人的方向，自己决定。
1697061667# #转发微博
1694699532# #有钱……
1690463578# #看来不生个女儿有点可惜
1696511687# #军事支出对于全球来说，是一笔严重的负资产。军事研究在某些领域促进了航空、航天等科技进步，但在全球范围内衡量，大部分是无效支出，甚至在某些时候呈现负效应。如果把军事支出用于纯科研或改善民生，全球的生活水平可能要提高好几个层次。。。当然，这只是一种理想状态。狂人的存在使得军事准备成为大
1693030183# #转发微博
1689044596# #深刻、精辟：只要你不尴尬，尴尬的就是别人！
1698371322# #转：统一答复关于光伏行业的问题：。。经过1月份和6月份的快速下跌后，9月光伏行业进入了第三轮的跌价通道，目前这一轮的降价是通过上游成本下降以及供给端竞争加剧来传导到盈利端的，除了影响三季度的利润后，四季度各个环节的盈利还会收缩，但都会在接近底部的位置。未来1-2个季度的价格底和盈利底会先
1698156505# #祝福委内瑞拉人民！
1698114917# #白酒行业专题研究：长坡厚雪好赛道，底部静待价值回归。。1、板块回顾：极具韧性、分化延续、强者恒强。。①今年资本市场多关注白酒行业发展质量（库存、批价等）。②双节旺季整体平稳但呈现极致分化：品牌分化、区域分化、终端分化。。2、底层逻辑：白酒行业在中长期将社会财富内化为产品价格的能力较强
1691550277# #继续看好，短期未必上涨，但中期是底部区域
1698289984# #土耳其总统就以色列和哈马斯的冲突发表评论，他声称哈马斯不是恐怖组织，而是一个为保护巴勒斯坦土地和人民而战的“解放者。。。然后土耳其股市指数跌得熔断了。。。
1696731596# #【微软将于下个月推出其首款人工智能芯片，以减少对英伟达的依赖】。10月7日消息，微软计划在下个月举行的年度开发者大会上推出该公司首款专为支持人工智能而设计的芯片。此举是多年来努力的结果，可能有助于微软减少对英伟达AI芯片的依赖，这款芯片代号为“雅典娜”，预计将与英伟达的旗舰级微处理器H1
1687427915# #【过激高估的几大标志】。1、“大象”翻倍。比如中石油、大银行，如果它们翻倍，可以想象热钱涌入股市的程度是多么凶猛，后续流入稍有乏力就会续不上。。。2、营业部盒饭贵。很多年前手机、电脑炒股还不普及的时候，当营业部大厅的大爷大妈们不肯从营业部回家吃饭的时候，当盒饭不断涨价的时候，股市危矣。
1697353221# #为什么要这样呢？
1697257440# #做投资，深度和广度，哪个更重要？
1696224870# #“炒股”与“投资”区别与联系：。1、炒股不等于是投资。。2、投资也不仅仅是炒股。。3、炒股与大部分投资都是“买卖股票”，行为相同。。4、买卖股票心态不同。。5、持有的时间长短不同。。6、买的仓位不同。。7、面对股价大跌，心态不同。。8、结果也不同。“炒股”大概率是亏损，投资大概率是赚钱！。9、知识
1691724643# #【为什么好公司不一定是好股票？】。（1）好公司，其实是从实业角度来定义的，通常是说这个公司在产业中的地位以及竞争力。但好的股票要从资本市场来定义，那就是投资回报比以及弹性。。如果一个公司很好，但是它的弹性没有了，比如太大，或者发展空间到极点了，那么它就不是一只好的股票。。（2）投资的
1687858516# #A股市场里三大牛股
1698243652# #转发微博
1695625680# #纳瓦尔的人生系统，值得参考！
1695197409# #官方通报为什么每每推高舆情。。
1695693362# #会改善的
1689994385# #去世界一流的大学深造，这是多少年轻人的梦想！
1691972700# #实体经济图谱——复苏量价冷热分布（财通宏观）
1687517485# #我们这个世界有两种力量，一个是周期带来的波动，行业的繁荣兴衰周期往复；另一个是蜿蜒曲折但是永远在前进的技术创新。。。这两种力量影响着每一个经济体，也是A股交易的两大逻辑。
1697187595# #太坏了，每天被无数次骚扰。没有人管吗？
1694065068# #一个字：熬
1696547191# #张伯礼，呵呵
1698804766# #今年提价前预计1240亿茅台酒，假设飞天收入占比约65%，其中出厂价口径量的收入占比约40%（1.5万吨969普飞折算量占比约50%）。。对收入贡献=1240*65%*40%*20%=64.5亿，对应增厚幅度约4.5%；。。考虑13%消费税+25%所得税后对净利润增厚幅度42.8亿，增厚幅度约5%。
1690779984# #人生的每个阶段是有主要矛盾的，比如：。童年时期的主要矛盾是身体；。学生时期的主要矛盾是求学与求知；。然后，人生的主要矛盾是爱与异性；。再然后，人生的主要矛盾是事业；。老年后，主要矛盾又回到身体。。。当然，并不是说其他事情可以不顾，只解决主要矛盾，而是说，每个年龄阶段有一个年龄阶段的主题
1698404596# #人民的好总理一路走好蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛
1697346028# #A股各指数估值水平（数据截止3季度末）。。除了中证100，其余各大指数均位于均值以下，历史极小值附近。。。发展的道路是螺旋式的蜿蜒道路，相信均值回归的力量，做多A股。
1690063140# #可惜
1693458132# #普通人做短线交易能做赢量化吗？肯定非常难。。。量化就是反应极其迅速，做决策快，不受情绪影响的机器。。而普通人从思考买不买，到鼠标点击下单，最快也要5秒吧？这五秒量化能下500个单子了。而且，无论一个人股龄多大，多多少少都会涨了就骄傲，跌了就难受，进一步影响操作，这是人性。。。人类做短线交
1689997697# #在法治社会只要不违反法律，你不需要向任何人低头
1696029278# #转发微博
1698922985# #转发微博
1693204848# #这个走势，不管昨天有仓位，还是没仓位的人，都沉默了。。。。。平常心吧！毕竟今天还是涨了允悲
1692857575# #还是得多读点中国的历史书，学学经验教训
1692690543# #不管对如果人工智能、光伏、医药、白酒、化妆品等，这个位置，都没有悲观的必要。。你悲观，是因为经济不好，还是被市场的情绪所左右？。如果大涨3天，你还悲观吗？。当市场阶段性抑郁时，你有必要提示自己：如果行业和个股的基本面没有变化，并且低估，那就应该坚定信心。。以下是几个行业的具体看法：。人
1695562495# #资源税？
1694320048# #有没有可能均值回归？
1693126680# #越来越意识到，别说预测未来会发生什么了，99%的人连过去到底发生了什么都搞不清楚。——王兴
1698140178# #“持续高盈利”组合的选股逻辑和“盈利底部改善”组合的选股逻辑，转发备用！
1692611880# #莫言：。。“不要在苍蝇面前，说屎的坏话，。不要在狗的面前，说骨头不好，。因为你讲的话，违背了它们的观点，。他们会立即谴责你，甚至攻击你。”
1691503636# #转发微博
1696245392# #1、时间是生命的长度，越用越短；。。2、视野是生命的宽度，越看越宽；。。3、理想是生命的高度，越想越高；。。4、胸怀是生命的厚度，越堆越厚；。。5、积淀是生命的密度，越积越密。
1697589675# #可以
1696209019# #马斯克不劳碌？
1693724576# #一个投资者，什么时候算老了？。。巴菲特、芒格作为投资者，算老了吗？不算。。。只有当一个投资者，不再改正自己的错误，不再关心新的产业趋势，不再寻找有价值的投资机会时，才是真的老了。投资这件事，最需要的就是开拓进取和自我革新的精神，就算是价值投资，也没有躺平的一说。。。共勉。
1687529766# #转发微博
1695725148# #转发微博
1697163916# #国家卫健委：2022年出生人口956万人二孩占比为38.9%三孩及以上占比为15.0%
1692075492# #你猜他是谁?
1693362729# #转发微博
1694143117# #截至3月10日23时许，EMS中国邮政速递物流包裹签收提醒:徐州公安局，江苏省公安厅和公安部均已签收我发出去的纸质文件一一我实名举报江苏丰县董志民和铁链女性婚姻登记存在严重弄虚作假行为，请求公安机关依据4部委指导意见对董婚姻问题立案审查，并公开做出处理决定。
1697253228# #转发微博
1696775408# #赞
1689752396# #半导体见底了，。CXO见底了，。光伏见底了，。人工智能主升中。。千万别在底部看空！。你看到的低迷，蕴藏的却是机会。。除了地产产业链，现在可以全面看多了。。只需一根大阳线，格局就豁然开朗。
1690686851# #行业发展阶段不同，驱使股票上涨的因素也不同。成长股在引入期更看重产品，在洗牌期更看重壁垒，在成熟期，市场更看重公司利润的可持续性。。。投资一个行业，要根据发展阶段审时度势，但其实最后走出来的龙头企业，他本身在做业务规划的时候也会考虑到这一方向。。。所以根据发展阶段选股也可以，一直捂着
1694247480# #散户的几大误解，你们还知道哪些？。。1、自己恐高不敢上龙头，然后去买边缘股票，认为自己买的一定能由“虫”变“龙”。。2、自己比公司董事长更知道公司应该怎么做。。3、自己如果能炒美股，肯定随便挣钱。。4、技术分析走遍天下无敌手。。5、自己不是散户
1692673883# #底部区域最悲观
1698280752# #闭嘴
1691460616# #这个牛
1694642841# #转发微博
1698406134# #转发微博
1696914253# #赞
1696944246# #11月份我要参加这个“金融与投资企业家课程”，有一起的吗？
1696383849# #1979年，伊朗民众赶走了亲美的巴列维国王，却将一个在西方生活半生、终生反美的伊斯兰学者霍梅尼扶上神坛。从此伊朗彻底告别了现代文明，一头扎进所谓伊朗优秀传统文化的酱缸中。。这个例子充分说明，社会从来都不是直线进步的，人类的愚昧完全可能导致倒退，而生活在其中的人们，往往把这倒退视为一个
1693716532# #上半年网络与科技公司的算力相关业务收入盘点
1698740203# #判断一个行业是否处于周期底部，主要盯住四个要素：供给、需求、价格、估值
1694373171# #转发微博
1696474687# #每一个物件都值得感动
1687683357# #流氓对流氓
1696813152# #假期舆情热度：①华为汽车-余承东表示，问界新M7累计大定已超5万台，10/5大定3500台，10/6大定超7000台，持续超预期（赛力斯、永贵电器、文灿股份、明新旭腾、华阳集团等）；②一带一路-第三届“一带一路”国际合作高峰论坛将于今年10月在北京举办（贝肯能源、鼎汉技术、龙建股份、锦州港、南方路机等
1689485742# #大家以为A股股民最喜欢追高，其实不然，在A股很多人最爱的其实是抄底。但是为什么抄底都能亏大钱？最主要的是，很多人喜欢抄大涨之后的半山腰底，因为在之前大涨的时候不敢买，终于盼到跌下来一些的时候很快就买满了，殊不知公司基本面可能已经发生了些许变化。。。真正的抄底，是用现在的股价和公司“内
1691544645# #【国海计算机刘熹团队】AI算力专题：台股AI服务器启示录。。🧧报告观点：台股服务器股价走势验证了AI服务器产业的价值和机遇，或将打开全球服务器企业的估值空间。。。🔔（1）行情复盘：全球服务器公司股价走强。。2022年11月-2023年7月，台股白牌服务器，纬创、广达、英业达涨幅分别为517%、315%、196%
1690686610# #中国混乱的网贷市场使他发了大财！
