1701665930# #国家税务总局广东省税务局原党委书记、副局长胡金木被查（已退休五年）。
1701846049# #潮州佬最近入局的比较多。。。当过县委书记、常务副市长的他，退休1年后被开除党籍
1702958993# #菲律宾政府请勿玩火！
1701131219# #《无视法律知法犯法》无视法律知法犯法
1701215271# #故意伤害该当何罪……？。“踩压违法人员脚部”民警已被停职，律师称造成受伤可向公安赔偿
1701084869# #终于看到一个靠谱的膳食理念，提供的给大家参考。。国内首批赴美留学免疫学专家、深圳儿童医院院长冯雷教授的观点：&nbsp;。1⃣老人肠胃消化分解机能减退，加上牙齿残缺，不能有效咀嚼磨碎食物，所以即使与年轻人吃相同份量和内容的食物，其营养值的获取会远少于年轻人，因此老人不但不应少食，清淡
1702622145# #中央统战部原副部长、国家宗教事务局原局长崔茂虎涉嫌受贿一案，由国家监察委员会调查终结，经最高人民检察院指定，由辽宁省沈阳市人民检察院审查起诉。近日，沈阳市人民检察院已向沈阳市中级人民法院提起公诉。
1703199672# #是日冬至！。祝福好友冬至快乐！
1700691382# #小心套路……！！！
1701772708# #《又4名厅级干部被逮捕》中国经济周刊-经济网讯12月4日，据最高检消息，检察机关依法分别对唐诚希、许国成、冯爱民、陈辉决定逮捕。
1700981572# #《周末侃山》。治理腐败是一个复杂而长期的过程。除了强力打击贪官外，还需改革相关制度，提升监管水平，建立健全法治制度——恢复死刑。只有如此，才能真正有效治理根除腐败，才能更有效推动社会的进步与发展……。
1700380763# #贪腐都是党员干部权高位重之人……！。。2年收入9800万，偷税3180多万，他遭重罚！
1702013445# #高配官害处多，专横跋扈还祸国。
1702169094# #卖关子……？
1703986817# #65元药卖2300，心太狠了，重罚12亿，药价立降90％！-今日头条
1703513478# #云南省公安厅交警总队原总队长马峻岭（副厅级）涉嫌受贿罪、利用影响力受贿罪一案，由云南省监察委员会调查终结，移送检察机关审查起诉。
1703895066# #金融界的人财——说明了什么？高层如此，在他治理下的员工如何，上樑不正下樑歪，可想而知，绝对是个大窝案……！
1703457854# #教你一招——。《7个直属维权电话，再也不受欺负了！》7个直属维权电话，再也不受欺负了！
1700464448# #一个月内，三名正厅级“国门卫士”落马
1702941781# #我还以为拜登被撞身亡呢？
1701742392# #转发微博
1703760131# #政府监管缺失，企业亏空银行……。。《世界500强正威集团：弄虚作假；老板王文银：结局应像许家印！》2021年，世界500强企业正威集团，在浙江省温州市平阳县投资120亿元，建设千亩产业园——正威（平阳）长三角电子信息产业中心。
1702380089# #小心核子变成了孙子……。。。专家要是着急，你们就先走吧预制菜食品安全听海杂货铺-今日头条
1702462451# #《中国最牛的小县城，家家户户有人当兵，出了一百多个将军！》中国最牛的小县城，家家户户有人当兵，出了一百多个将军！
1701382675# #倒戈了20年前——。。新媒：香港民众“爆买”深圳各大超市
1701214801# #民警恶意伤害醉酒男，警方态度值得肯定，但害群之马不能留
1701091720# #《事情闹大了！天门山打人者身份被扒，怪不得这么豪横原来是惯犯》事情闹大了！天门山打人者身份被扒，怪不得这么豪横原来是惯犯
1704075654# #一年忧喜元旦过，两鬓风霜今日新。幸得健康永无厄，徜徉终岁乐无穷。辞暮尔尔，迎新年年，朝朝暮暮，岁岁平安。。日有熹，月有光，富且昌，寿而康，新春嘉平，长乐未央。。愿得长如此，年年物候新。祝新年诸事遂愿，所有博友阖家美满幸福。元旦快乐。鲜花干杯
1700433508# #明显量刑过轻……！
1702958896# #加油赞啊赞
1700712786# #英雄，安息！礼兵护送烈士遗骸棺椁步入地宫安葬……
1701351445# #深圳市龙岗区住房和建设局原党组书记、局长陈敏涉嫌严重违纪违法，目前正接受深圳市龙岗区纪委监委纪律审查和监察调查。
1701644869# #该系统司空见惯了……！。《公安界“大老虎”，官至正厅级，包养女歌手，被判无期》公安界“大老虎”，官至正厅级，包养女歌手，被判无期
1700611236# #艺人本身就没什么政治头脑头，有钱就是爹，有奶就是娘，靠卖艺装疯卖傻赚钱，毫无底线……！
1701382687# #旧楼加装电梯可以吗
1701858073# #今晨！国安部突然发声，涉及经济重大方面！股市突现大利好，万亿赛道强势回归，发生了什么？
1703238126# #为什么现代的女人撒泼如此多？。。今日头条
1703378826# #《周末侃山》。——人从出生开始就是一张白纸，当然出生家庭或出生地区或者会直接影响你的未来。但要记着画笔却是握在我们每个人自己手中，好心态可以绘制出生活五彩斑斓的色彩。每个人都有自己的活法，我们没必要去羡慕别人的生活。有的人表面风光，暗地里却不知流了多少眼泪；有的人看似生活
1701476517# #迟早政府会用纳税人的血汗钱买单……！呼吁:对于为党和国家造成巨大损失的该杀绝对不要手软。
1702961582# #经广东省委批准，广东省纪委监委对广东省委第二巡视组原组长苏全贵严重违纪违法问题进行了立案审查调查。
1701759431# #湖南省郴州市汝城县委书记黄四平坠江身亡
1700523341# #经教育部党组会议审议，拟同意新设安徽公安学院、蚌埠医学院更名为蚌埠医科大学、合肥学院更名为合肥大学、浙江科技学院更名为浙江科技大学、嘉兴学院更名为嘉兴大学。
1700559937# #又是河南人干的……！。《7岁上警校，10岁当公安，还有6个假户口！河南这个公安局长不简单》7岁上警校，10岁当公安，还有6个假户口！河南这个公安局长不简单
1702683121# #话筒话筒话筒给力
1700875004# #南部战区位中缅边境我方一侧展开实战化演训活动
1702942676# #有点乱……！
1702268279# #为什么选择跳楼自杀？。。突发！万亿银行分行行长坠楼身亡
1701814439# #深圳公东私用——。。今日头条
1703979300# #一个像美食博主的男人：穿上警服的人，眼神中流露的应是维护公共安全的决心和责任，而非挑衅和蔑视。警察的角色是百姓的守护者，需要怀着爱与情怀，关...
1703716999# #电视剧《包青天》有首插曲，歌词——何必要上青天？不如温柔同眠……！
1701322601# #法盲当民警？非常希罕……。。《醉酒邻居上门打人，夫妻俩抡酒瓶反击，民警你不应该还手》醉酒邻居上门打人，夫妻俩抡酒瓶反击，民警你不应该还手
1702851652# #《江苏宿迁两交警蔡东雨、李亮栽赃陷害退役军人被实名举报，宿迁市公安局严重不作为！》江苏宿迁两交警蔡东雨、李亮栽赃陷害退役军人被实名举报，宿迁市公安局严重不作为！
1701916840# #赞赞啊
1700368060# #胡作非为的司法干警荒唐案……！。《广东男子吃饺子不蘸酱被内蒙古警察抓走坐牢两年，真相令人震惊！》广东男子吃饺子不蘸酱被内蒙古警察抓走坐牢两年，真相令人震惊！
1703376211# #金融界在中国都是一言堂，百姓就是枮板上的肉，把所有银行贪官贪腐的钱累计起来，看看利息多？还贪污的多？
1700792701# #2023年11月，黄黎明涉嫌严重违纪违法，接受广东省纪委监委纪律审查和监察调查。
1700565975# #《这个落马“老虎”，一个月突击提拔32名女干部！》这个落马“老虎”，一个月突击提拔32名女干部！
1701213098# #这次说到根子上了。赞赞啊加油。。《郭一平说抓一万大老虎，不如直接抓这三种人，来了解一下吧！》播放量：6176。点赞量：204
1703311279# #烈女！赞赞赞哈哈哈哈哈哈
1702462296# #军队也有腐败，盘点近些年军队查处的大老虎，看看都有谁
1701828565# #自称“建设规模2.6万亩”，总投资600亿的海口一大院项目，被当地通告涉嫌土地违法
1703809405# #嚣张跋扈的副市长——。微头条
1702602275# #号称现代化，自动化，高科技网络时代也有低级错误出现？。《北京地铁昌平线列车车厢脱离：30余人受伤，无人员死亡》北京地铁昌平线列车车厢脱离：30余人受伤，无人员死亡
1703117780# #《受贿数额特别巨大！广东省监狱管理局原局长李景言被公诉》受贿数额特别巨大！广东省监狱管理局原局长李景言被公诉
1702994707# #支付令！。。今日头条
1702994607# #支付令！。。今日头条
1701296163# #太原千万不能地震，地下都挖空了，一但地震后果不罕设想……。
1703815680# #买了该公司的股票，基金，可能亏空。。《正威集团45亿股权再被冻结》播放量：9189。作者：经理人杂志
1700803213# #广西壮族自治区纪委监委原追逃追赃和申诉复查室主任、二级巡视员黄建国涉嫌严重违纪违法，主动向组织交代问题，目前正接受广西壮族自治区纪委监委纪律审查和监察调查。
1700541915# #12月1日起，深圳全面禁用“生鲜灯”！最高罚3万。
1703643824# #教子无方。
1700872702# #腐败老手老公安……！。《广东省原副省长李春生敛财7000多万，咋判脱口秀新闻评论》广东省原副省长李春生敛财7000多万，咋判脱口秀新闻评论
1703028276# #国务院国有资产监督管理委员会原副部长级干部骆玉林涉嫌受贿一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪对骆玉林作出逮捕决定。该案正在进一步办理中。
