1689430922# #我天，这也太好看了吧憧憬憧憬
1689491328# #杰杰笑得真甜心
1702713383# #张杰未你好吗跨年演唱会
1697079159# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐MV中pick了我喜欢的音乐作品，快来和我一起为更多的优秀作品助力！。
1693790671# #哈哈哈哈，看一次笑一次哈哈哈哈哈哈doge
1693375406# #414哈哈哈哈
1700737663# #恭喜张杰，超好听送花花送花花送花花
1704167149# #LIVE龙🐉
1702310277# #来，321上🔗
1696091582# #很好很好，继续保持
1701745601# #滴滴
1694177931# #每日一善超话阳光信用每日一善善良之举，需要人人拥有，善良之歌，需要人人唱颂。让我们一起轻掬季风，淡挽流云，抚一弦清音。心存感恩之心，身行积德之善；从善者吾近之，从恶者吾远之；百年养善不足，一日毁之有余；行善不必人知，积德无需他晓。
1697876918# #张杰时光音乐会老友记P5笑得好开心的杰杰哈哈
1703900740# #我的微博播报嘿嘿！我最爱的超话是张杰超话，在这里和大家一起创造的美好回忆，让新的一年充满温暖和力量，2024与我一起用超光影记录超影像！来
1697690490# #三匹狼🐺🐙🎀哥哥又被毒了允悲允悲允悲
1690851121# #乖乖的甜甜的杰杰
1703662065# #张杰跨年演唱会抖音特别场已预约，12月31日17：10分不见不散打call打call打call，张杰粉丝是最最最幸福的🥰
1697389048# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐MV中pick了我喜欢的音乐作品，快来和我一起为更多的优秀作品助力！。
1701496055# #张杰1220生日快乐来啦来啦
1695792599# #超级超级幸福心心
1693917882# #好可爱啊
1703053561# #张杰1220生日快乐写得好好，外南街小孩长大了彩虹屁彩虹屁
1695878350# #张杰签售了10个小时签售是免费的，签售名额是抽签制的，买一张专辑也有机会抽到，签售现场不售卖专辑，不靠签售冲击专辑销量，不刺激消费，这就是我爱的歌手，好真诚好温柔的宝，虽然没能到现场，我的id到啦，会一直一直爱你哟张杰，期待见面心
1694777469# #最后一次机会
1703929720# #张杰未你好吗跨年演唱会一切顺利，贵州等你哦
1701668958# #滴滴
1689679171# #长沙见航天员
1693104135# #爱你😘，今晚一切顺利！
1690890568# #八月顺顺利利
1698232960# #啊，不会有人不是铁粉吧二哈
1696346096# #KK粥粥，顺便摆摊开学季开学季
1703412838# #滦州地震希望大家都平平安安，健健康康的
1693191050# #张老板大气
1689601170# #哈哈哈好可爱哈哈哈哈哈哈
1696947127# #ZJ只吃糖不吃苦生活不会给你惊喜，但要为了明天去继续
1695798261# #张杰外南街1982签售会救命，好温柔心心
1690650548# #张杰超话张杰演唱会上表白何炅心张杰演唱会。0729长沙串串——回忆的独奏张杰未live巡回演唱会
1693972621# #期待张杰
1703858557# #张杰未你好吗跨年演唱会呜呜把星星放胸口抱一抱抱一抱抱一抱抱一抱
1696693661# #行星文化！做大做强！航天员航天员
1699456714# #哈哈哈哈，太可爱了，西湖等你@张杰
1703251514# #转发微博
1703865497# #张杰下雪了一场雪，是一个冬天里盛大的惊喜，这个惊喜是张杰给的，浪漫如你张杰未你好吗跨年演唱会
1693207214# #张杰未live巡回演唱会曜北斗圆满收官，期待新的巡演主题开启，签售会搞快点哈哈哈哈哈哈
1701757281# #黑胶来啦送花花送花花送花花
1694094201# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《福》，快来和我一起为更多优秀音乐内容助力！憧憬打call
1695612464# #张杰超话爱你歌手张杰超话
1695315740# #张杰超话加更版cut太开心（0921）。一看就知道🥭搞事情，为啥不把这个放正片。星光坦荡，与你一路同行心
1694707553# #每日一善超话心阳光信用。。人若拥有了善良，那么，纵然从来都是一无所有，从辉煌走向平凡，从胜利走向失败，依然会平和心态，整理好心情，调节好步伐，乐观地憧憬明天。
1700225045# #wx小橙旭『小芒庄园』一起为公益助力，我们在给你小心心星星基地给你小心心等你哦~
1696427618# #男子十米跳水夺冠放张杰高飞高飞，适配度绝了，奥运健儿们加油打call打call打call高飞音乐
1695188654# #张杰时光音乐会老友记上班啦打call打call
1703661601# #爱慕爱慕爱慕
1696477645# #为亚运健儿们骄傲鼓掌
1702252775# #张杰超话打call张杰点歌台。这一段，看的时候笑到停不下来。现在看还是忍不住笑允悲允悲。不知道（万物不如你）怎么唱的杰杰。太搞笑啦哈哈哈哈哈哈
1701451313# #张杰1220生日快乐我来啦送花花送花花
1701236713# #来414哇哇
1701670956# #存1203直播文字版
1694137273# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《福》，快来和我一起为更多优秀音乐内容助力！彩虹屁打call
1695205888# #恭喜我杰哥打call打call打call
1696335195# #最美的太阳航天员
1691846702# #好嗨好燃啊哇哇哇哇
1691915922# #好野好拽，我爱死了舔屏舔屏舔屏舔屏
1691414708# #永远爱你
1702128908# #本来打算花50💰去瞅瞅的。没有想到50也没花出去哈哈哈哈。超过50都不值得
1693964822# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！羞嗒嗒
1688903999# #这是在演我吗dogedogedoge
1703860179# #磨难是最好的礼物心心
1698239114# #每天转一下，首页的公主王子们，这个急需，都助力一下
1703816533# #灯门灯门打call打call打call
1697353201# #永怀梦想，不负好时光心心
1694187470# #晚安彩虹屁
1703642449# #啊啊啊啊啊啊啊啊，爱你爱你
1693964670# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！
1703902595# #大早上的就被🔪苦涩苦涩苦涩
1691760867# #准时拉闸
1695438882# #期待张杰太开心打call
1694524862# #请尽快处理该违规用户，共同营造良好的网络环境，谢谢！
1696680850# #每日一善超话彩虹屁每日一善☀阳光信用。善良是一种美德，善良是一种远见，善良是一种自信，善良是一种精神力量，善良是一种以逸待劳的沉稳，善良是一种文化，善良是一种快乐，善良一种乐观。
1704086819# #这也太可爱了爱慕爱慕爱慕
1694915523# #人人公益节张杰音乐梦想教室我在“张杰音乐梦想教室”项目开通月捐！希望我小小的力量和一起，在大大的世界里温暖更多人。
1693964734# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！💙💙💙
1692954169# #爱你😘
1693240625# #我家的我家的打call打call打call打call
1693330882# #啊啊啊啊啊啊啊啊啊啊
1690258197# #北斗星空十九周年愿我们能多多见面
1695349803# #电影坚如磐石同名主题曲mv太开心张杰张碧晨又合唱电影主题曲了张杰唱歌好好听打call打call打call
1692232468# #张杰唯粉实时号测试在吗
1704210890# #张杰2024巡演吓我一跳，以为官宣了，快官宣吧，等不及啦送花花送花花送花花
1701358716# #长期睡前玩手机会付出啥代价啊，你怎么知道我现在躺着玩手机🤳，玩手机很快乐哈哈哈哈哈哈
1688987036# #罐子看看我看看我
1697987774# #张杰超话💙张杰点歌台。晚安💤。公主们👸🏻
1689142453# #长沙见航天员
1697955584# #90岁老人分手后去前女友家纵火获刑一看以为是90后。再仔细一看居然是90岁吃惊吃惊
1691282864# #十九周年快乐
1702013162# #孟子义秦霄贤这是真的吗疑问疑问
1703657033# #张杰新ep冬月初七来啦来啦，过年啦打call打call打call
1703761123# #所有抛开目的和原因的歌词内涵表达以及歌曲结构的完整而断章取义的，都是耍文盲^^
1696837236# #摸鱼看看这大鱼小鱼，笑死我了哈哈哈哈哈哈哈哈
1700621034# #张杰1220生日快乐来干活啦
1696234851# #未播出花絮心心
1703955526# #又凶又野又奶，我好爱爱慕爱慕爱慕
1693835371# #hm我吧dogedogedogedoge
1702995254# #好泪泪
1702274038# #恒心至善，星光相伴。我正在参与2023年度星光公益大赏，我推荐的年度明星公益事件是张杰音乐梦想教室，点击
1690442760# #长沙见心
1693325831# #恭喜我杰哥，实至名归
1703039974# #呜呜呜呜，你真的什么都知道
1694400045# #真诚的宝
1696409192# #恭喜🎉
1697302440# #ZJ只吃糖不吃苦啊啊啊啊啊不敢想象，明年演唱会要是听到追光者该有多幸福
1699616036# #生日应援大屏。看到的都弄了。有的之前就做过了。也不知道有没有漏掉的允悲允悲允悲
1693227852# #这也太帅了
1700060772# #张杰超话送花花张杰1220生日快乐。能够握紧的就别放了。能够拥抱的就别拉扯。相思漫溢爱你
1702300091# #周海媚假的吧，希望平平安安
1688910073# #张杰tmea开场也太稳了吧当然是一直陪着你呀张杰tmea古风串烧开场
1693918335# #张杰超话张杰未live巡回演唱会。未LIVE［曜·北斗］巡回演唱会。。✅自存一下。杰杰wb每一场结束后的总结哇哇张杰
1701141206# #张杰时光音乐会老友记《泡沫》直拍来啦送花花送花花
1697214989# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1691414746# #会永远爱你，不用怀疑
1691486439# #张杰未live巡回演唱会终于来啦
1703397338# #我推荐《万物不如你》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1697384727# #10.15直播全程录屏爱你
1694749675# #张杰音乐梦想教室和张杰一起“益”起来心心
1692964283# #张杰未live巡回演唱会万物不如你张杰三登鸟巢
1692772802# #我来试一下@栗子战地
1691496896# #。您好，我要举报以下用户（禁点进主页）。
1688468614# #张杰未live巡回演唱会长沙见
1703852724# #张杰未你好吗跨年演唱会这套好看爱慕爱慕
1701103020# #张杰好会唱，好热血好好听哇哇
1700529738# #存
1703867601# #路人演唱会观后感🈶👉🏻
1699700933# #我也有我也有送花花送花花
1703862606# #张杰未你好吗跨年演唱会张杰最牛，张杰什么都会爱慕爱慕
1701573396# #晚安+夜间觅食你们团队和我们有时差哈哈哈哈哈哈哈哈
1703312071# #ZGZQTT心
1697629318# #速来
1702392696# #张杰未live巡回演唱会哇喔，辞海哇哇
1694141772# #期待张杰打call打call打call
1703435181# #我投给了“《万物不如你》”~
1692865373# #码
1702570574# #我投给了“他不懂”~
1688633669# #星火
1697354800# #张杰和川大川音学生唱少年中国说少年强，则国强！
1700294811# #张杰时光音乐会老友记期待张杰，晚上见
1691835746# #今晚一切顺利心航天员
1701052514# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！跟随梦的节拍，助力荣耀时刻~爱你
1695622826# #张杰时光音乐会老友记石头直拍来啦打call打call打call打call
1699436545# #来啦来啦
1689442493# #今晚一切顺利心
1701016203# #张杰超话zj张杰点歌台。。当你凝视我，我便无法将心底的爱意隐藏
1693542086# #谁是幸运儿啊
1700654635# #滴滴
1699198968# #亲亲😘
1694094273# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的张杰，快来和我一起为更多优秀音乐内容助力！打call哇
1690348880# #长沙见航天员
1698148177# #好幸福好幸福
1695317147# #张杰外南街1982签售会
1689514794# #张杰未live巡回演唱会好帅的杰杰张杰演唱会
1700830391# #快来wx小橙序『星饭乐园』一起为公益事业助力，我们在给你小心心星星乐园给你小心心等你哦~
1696165107# #女单决赛莎莎太棒啦赞啊赞啊赞啊
1696688728# #张杰杨和苏合唱下一段旅程下一段旅程开学季开学季张杰时光音乐会老友记
1699788203# #安忍好好听送花花送花花
1698722110# #滴滴
1689932106# #长沙见
1692790590# #一切顺利！航天员
1693716532# #张杰超话陪跑了三天，这730个人里面有我吗🤔哦没有啊😂没有就算了吧😆其实我也没有很想去签售😅笑晕😆反正演唱会综艺音乐节哪都能看到张杰🤗说实话真的不想去成都那么远的地方🤣哈哈哈哈哈🤭笑死就算现在让我去我也不太愿意去了😁你真的很装哈哈😎
1703921160# #一切顺利心
1701868279# #。您好，我要举报以下用户（禁点进主页）。
1691236898# #我来啦我来啦哇哇
1692005105# #啥都偷，真晦气哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1702026499# #我在2023微博音乐大赏推荐了《Layla蕾拉》。用音符描绘你的2023故事，一起来推荐你喜爱的音乐作品吧！年度歌曲推荐憧憬
1693067894# #啊啊啊啊啊啊啊啊，帽子一戴太帅了
1691714537# #祝深圳站一切顺利，贵州等你@张杰
1703663897# #污污害羞害羞
1690442894# #张杰超话来vx小橙序【小羊派对】，一起坚持爱心公益，一起放大爱的力量吧！我们在【星星部落】等你哦~
1697647560# #ZJ只吃糖不吃苦保持乐观积极的情绪，逆着阳光，一路向前吧！
1702880435# #张杰1220生日快乐排面有送花花送花花送花花
1690470560# #张杰超话北斗星空十九周年。杰杰，晚安啦。后天见咯憧憬憧憬憧憬。明天上完班就可以去见你了。好开心😁
1691295616# #杰先生航天员
1701789189# #wx小橙旭『小芒庄园』一起为公益助力，我们在给你小心心星星基地给你小心心等你哦~
1702452819# #啊啊啊啊啊啊啊啊啊啊。一整个惊喜
1689507277# #晴天娃娃哈哈哈哈
1688553948# #长沙见
1703995799# #怎么都来碰瓷我们灯。这么好欺负吗
1699111634# #他欠我们一个脱掉哇哇
1694353200# #张杰时光音乐会老友记
1696931044# #张杰时光音乐会老友记啊啊啊啊啊啊啊啊好帅好帅
1701695650# #wx小橙旭『小芒庄园』一起为公益助力，我们在给你小心心星星基地给你小心心等你哦~
1703853504# #张杰超话张杰未你好吗跨年演唱会。呜呜，独唱版《下一段旅程》来啦。张杰跨年演唱会
1703681392# #张杰超话✨张杰未你好吗跨年演唱会。呜呜，这是谁家的乖宝抱一抱抱一抱。张杰新ep冬月初七送花花张杰疯狂物料日
1702646813# #张杰超话zj张杰1220生日快乐杰杰生日快乐蛋糕蛋糕。义乌吾悦广场打卡送花花送花花送花花
1691665714# #注意安全，一切顺利！
1703393998# #张杰lofficiel态度志尚电子杂志zj张杰跨年光影时装大片这也太帅了吧，张杰粉丝吃太好了，期待12.26中午12:20的预售！！！
1692360394# #新员工好可爱哈哈哈哈哈哈哈哈
1701273008# #LV大秀王鹤棣哇喔，期待啦
1690006736# #啊啊啊啊张杰
1690892129# #🆘
1692364978# #啊啊啊啊啊啊啊啊
1701882914# #张杰超话zj张杰时装男士十一月封面。终于收到啦送花花送花花送花花。如此帅气的小哥哥谁家的思考思考
1702646492# #张杰歌迷说王子请听歌好厉害啊送花花送花花
1693108588# #好喜欢好喜欢好喜欢
1703729637# #我推荐《时光音乐会·老友记》为微博网友喜爱综艺，好综艺带来的快乐、感动是平凡生活里一道灿烂的阳光。一起来微博之夜推荐更多优质综艺吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1704038444# #张杰超话。元旦快乐⚗︎·̫⚗︎/🅷🅰🅿🅿🆈💫。2024，健健康康，平平安安。多多见面，健康幸福🥰。平安顺遂！万事如意！
1698220809# #期待张杰
1704212851# #小朋友蹦蹦跳跳的好可爱爱慕爱慕
1691899247# #去不了，只能等线上了泪泪
1701628322# #张杰超话送花花张杰点歌台2023.12.03张杰点歌台特别版《未来福·晚安音乐电台》—《冬日进行曲》冬日专场——自存。听了好多好多想听的歌。还有好可爱的杰杰送花花送花花
1701062738# #张杰超话抱一抱张杰点歌台2023.11.19张杰点歌台特别版《未来福·晚安音乐电台》—《24格狂想曲》Ost专场。。万物皆无光，只有你的眼明亮爱你
1694153576# #张杰时光音乐会老友记明天见心
1703347691# #又有杂志啦送花花送花花送花花。怎么这么幸福🥰
1702532115# #张杰你怎么就不是贵州人呢
1694439648# #。您好，我要举报以下用户（禁点进主页）。
1692972712# #张杰三登鸟巢玩得开心张杰未live巡回演唱会
1691841712# #多发点，爱看
1703046238# #生日快乐，杰哥
1694685512# #想和你一起回家可怜
1703182177# #我投给了“张杰”~
1690586525# #到啦憧憬憧憬憧憬
1695793672# #张杰超话虽然去不了签售会。但抢到了一代杯子。三代杯子终于齐了哈哈哈哈
1704282145# #福建地震愿平安
1694353548# #“6-10”~
1702392356# #好浪漫啊哇哇
1695575310# #好会拍，好好看
1690870809# #实体是不是快了dogedoge
1703522532# #晚安，宝贝心
1697292003# #这比例
1703670429# #张杰颠公是谁在背后这么说我们张杰！。不就是物料多了点，营业频繁了点嘛。新EP有MV，跨年演唱会还有直播。这谁能不发疯啊，幸福🥰。张杰是颠公，那我们就是颠婆。大家都是颠门人，不愧是一家doge，绝配害羞害羞。欢迎大家12月31号17点10分。一起来抖观看跨年演唱会哦张杰新ep冬月初七
1695280568# #哈哈哈哈哈哈
1701264276# #张杰1220生日快乐送花花送花花
1692171615# #学长好帅抱一抱抱一抱抱一抱
1689566622# #哈哈哈哈哈，好可爱
1702956646# #甘肃地震已致111人遇难希望大家都平平安安的🙏🙏🙏
1697451070# #一千公里直拍
1693325564# #恭喜歌手张杰好喜欢好喜欢好喜欢
1691808514# #评论区又炸了允悲允悲允悲允悲允悲
1699870918# #哇喔？太优秀了
1689522131# #张杰未live巡回演唱会是涅槃的火鸟航天员张杰演唱会往后会越来越好张杰南京唱又到梧桐吐绿时
1692205342# #杰杰下班啦
1690607974# #晴天娃娃哆啦A梦害怕哆啦A梦害怕
1695799897# #好好看啊，好用心
1693973639# #张杰时光音乐会期待张杰打call打call打call
1699976927# #晚安啦
1695188345# #行星文化做大做强dogedoge
1691834217# #爱你哟
1688904951# #恭喜张杰《雪龙吟》哇哇哇哇
1701616226# #真的太可爱了抱一抱抱一抱抱一抱
1690694581# #长沙见航天员
1692288828# #张杰超话啊啊啊啊啊啊啊啊。我要闹了。谁带我npy去唱K忘记通知我啦张杰ktv唱歌
1697359939# #张杰和川大川音学生唱少年中国说今朝唯我少年郎开学季开学季
1691846445# #舔屏舔屏舔屏舔屏
1692080606# #赞赞赞
1688998024# #只想说一句，张杰🐮🍺
1689521851# #张杰南京唱又到梧桐吐绿时我的小梧桐呀，长沙也想听航天员航天员航天员张杰未live巡回演唱会
1701160242# #浙江报告68091例流感最近真的好多啊，都不敢出门了苦涩苦涩
1695571977# #雨中的安忍
1693291510# #我的我的dogedoge
1694700851# #。您好，我要举报以下用户（禁点进主页）。
1696250190# #张杰听过最动人的情话。张杰勇敢飞，星星永相随。张杰用心歌唱，星星守护梦想心张杰
1696091370# #越来越好咯心心爱你😘
1703124027# #张杰1220生日快乐羞嗒嗒羞嗒嗒羞嗒嗒
1692952437# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1703825393# #有💰不赚是笨蛋有💰不赚是笨蛋有💰不赚是笨蛋@行星文化PlanetCulture
1697364469# #期待八花哥哥打call打call
1695799672# #他好温热啊泪泪泪泪
1697174186# #明年贵阳等你哦
1691413883# #张杰超话我给你加上了哦，不许删掉哈，永远爱你😘永远永远都爱你心心
1703397142# #十年了，一直都在心
1702476438# #呜呜，好帅彩虹屁彩虹屁
1697291382# #杰神
1704023076# #张杰未你好吗跨年演唱会好甜的杰杰彩虹屁彩虹屁
1697733045# #公主超喜欢😍
1702966034# #略尽绵薄之力。希望大家都平平安安，健健康康🙏🙏。20231219甘肃地震捐款
1689955695# #什么？？？？
1701540293# #帅送花花送花花
1693328422# #张杰东方风云榜三十年最佳男歌手我们的最佳男歌手好帅好帅
1702783770# #半个小时，涨了两万多
1692979706# #张杰三登鸟巢太美了张杰的社交圈好广
1689501980# #长沙见航天员
1691500327# #张杰/谢帝《闹啥子嘛闹(HiddenTrack)》
1702982732# #414抱一抱
1692272812# #辛苦啦
1703303847# #接
1689180336# #430的龙吟。爱了爱了憧憬憧憬憧憬
1703932705# #你速度真快啊天下来了
1702273905# #恒心至善，星光相伴。我正在参与2023年度星光公益大赏，我推荐的年度明星公益事件是张杰音乐梦想教室，点击
1694860285# #张杰时光音乐会老友记时光浅回头，今见少年游，本周六22：00，听张杰、袁成杰、朱杰、苟伟带来《我们的歌》。好友聚首，酿岁月为酒，敬当年未错付的青春，叹友情依稀如旧。
1700742023# #wx小橙旭『小芒庄园』一起为公益助力，我们在给你小心心星星基地给你小心心等你哦~
1692706301# #甜蜜告白季节，快来沾福气！中奖了，我在和你心动七夕活动私信明星抽中了金豆+20！快去给你最爱的明星私信告白吧，也有机会像我一样幸运降临哦。据说多发私信叠加buff夏日青春派对
1696046098# #张杰银河方舟音乐节好帅好帅害羞
1693733077# #张杰未live巡回演唱会抱一抱抱一抱
1692867610# #张杰张杰@你是我的张三岁吖
1696765995# #和张杰一起为亚运健儿加油打call打call
1695106243# #我投给了“张杰”~
1695723707# #安保要特别注意
1693542285# #四分钟过去了，还没开，是不敢开了吗
1696692003# #张杰时光音乐会老友记直拍来啦打call打call打call张杰杨和苏合唱下一段旅程
1702251352# #一起来2023微博音乐大赏进行音乐作品的回顾与盘点！我推荐了《Layla蕾拉》，你也一起加入吧～年度歌曲推荐
1696774679# #致敬每一位亚运参与者，为你们骄傲鼓掌航天员航天员bgm：仰望星空心
1692952741# #浪漫的北
1695703177# #“张杰”~
1703847285# #张杰未你好吗跨年演唱会万物不如你张杰成都演唱会
1695374959# #新歌憧憬憧憬，期待期待了
1694322774# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《张杰未LIVE巡回演唱会》，快来和我一起为更多优秀音乐内容助力！
1701264301# #张杰1220生日快乐彩虹屁
1691802245# #张总好帅
1695188580# #好乖好可爱呀
1690205186# #我414憧憬憧憬憧憬憧憬
1695718734# #等你直拍哦打call打call
1696000845# #中秋节快乐！
1704040607# #2024年第一条微博。AllTheBest❷0❷4。💮平安喜樂萬事勝意。祝你祝我祝我們ﻌﻌﻌ❤。🏮ꀿªᵖᵖᵞ☺ꔛ♡ᐝᐝʚ◡̈⃝ɞ
1695087788# #张杰外南街1982签售会再试一下吧可怜可怜
1702212134# #张杰未live巡回演唱会这空降热搜，我还以为官宣下一轮了呢。这舞美真的好好看啊，想演唱会了都
1695693464# #。您好，我要举报以下用户（禁点进主页）。
1703219107# #终于赶上了
1692694497# #Boyfriend鲜花
1701361692# #张杰1220生日快乐。星光坦荡，与你一路同行。12月你好！！一切顺利，万事顺意！
1703046407# #张杰1220生日快乐生日快乐
1702572032# #流星雨一抬头就看到了流星雨，悄悄向流星许个愿，希望天天开心😗😗
1703044873# #超爱的蕾拉送花花送花花送花花
1703612287# #张杰新歌我为灯门举大旗送花花送花花送花花
1703736559# #张杰新歌忍受回音挑战学不会，学不会，需要哥哥面对面教我害羞害羞
1703823817# #啊啊啊啊秒没。到底是谁抢走了我的抱枕泪泪泪
1693138434# #何洛洛，赵品霖追星成功啦
1696843928# #张杰时光音乐会老友记好帅好帅心心
1703808918# #我参与了由发起的2023微博星IP年度推荐Top10活动，我为张杰点歌台点赞，2024跟随继续闪光生活！
1696954285# #ZJ只吃糖不吃苦晚安啦，梦里有你心
1702831042# #乐事品牌代言人张杰好喜欢啊，写字板，钥匙扣，星星抱枕，笔记本都拥有啦，现在就差一个人行立牌啦
1702634479# #喂了🐶
1693888330# #张杰演唱云之羽同名主题曲。我跨越山水奔向你。找到你抱紧你的心张杰
1700664312# #啊啊啊啊抱一抱抱一抱抱一抱
1694615605# #可爱杰杰彩虹屁彩虹屁彩虹屁
1691764432# #张杰唱三月再现超长麦距三月张杰深圳演唱会现场版，绝美吟唱来啦，我真的好爱这首张杰你把话筒插兜得了真的超爱现场
1692175938# #帅晕了
1696253342# #王楚钦男单冠军恭喜大头！
1703949903# #明晚不见不散哦宝贝爱慕爱慕
1703856845# #张杰未你好吗跨年演唱会太浪漫了，张杰歌迷最幸福🥰张杰跨年演唱会
1700800504# #大头生日快乐送花花送花花
1704271146# #太会扭了爱慕爱慕
1690031552# #我投给了“《万物不如你》”~
1688567511# #好帅好帅好帅哇
1701703175# #芒果tv会员在现场已报名，莫辜负，想去给八花哥哥过生日你好星期六
1690425074# #我来了我来了北斗星空十九岁生日快乐
1696340947# #张杰超话张杰加盟狂潮机车音乐节张杰给我一直🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥。天体们太🐮了，今晚一切顺利心邯郸狂潮机车音乐节
1698149666# #歌手张杰超话快来wx小橙序『星饭乐园』一起为公益事业助力，我们在给你小心心星星乐园给你小心心等你哦~
1702599973# #我在2023微博音乐大赏推荐了《Layla蕾拉》。用音符描绘你的2023故事，一起来推荐你喜爱的音乐作品吧！年度歌曲推荐。
1690850806# #哇喔哇喔哇喔😲
1703845077# #张杰超话💙张杰未你好吗跨年演唱会。到了到了我到了羞嗒嗒。主打一个ID到人未到系列。张杰「未•你好吗」2024跨年演唱会。12.29check叮叮🔔。我在浙江㊗️张杰成都跨年演唱会「未·你好吗」2024圆满成功💙。杰哥一切顺利！注意安全！。。感谢两位公主带我一起，玩的开心～
1702562036# #好心喂了狗🐶
1689433142# #爱你爱你@张杰
1696738198# #。您好，我要举报以下用户（禁点进主页）。
1703859733# #疯了疯了我要疯了
1693152398# #追星成功了
1703896846# #一拉紧就会扯破哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1695559509# #恭喜恭喜🎉@Layla蕾拉宝贝
1697300330# #好帅好帅好帅好帅开学季开学季开学季
1691487911# #张杰巡演北京鸟巢站官宣心张杰未live巡回演唱会。终于等来啦。北京鸟巢：825、826、827三天连开。等你开唱航天员航天员航天员
1690734093# #心心
1695317133# #和张杰共享心声
1700392191# #wx小橙旭『小芒庄园』一起为公益助力，我们在给你小心心星星基地给你小心心等你哦~
1697733346# #好乖哦
1700835168# #我投给了“张杰《任我》”~
1688478071# #dogedogedoge
1689527655# #长沙见航天员
1691486585# #终于来啦，期待期待
1689933499# #来vx小橙序【小羊派对】，一起坚持爱心公益，一起放大爱的力量吧！我们在【星星部落】等你哦~
1700719462# #张杰超话送花花哥哥太可爱啦张杰整理面部表情好像在洗脸怎么这么搞笑又被毒了允悲允悲允悲
1692511217# #泰酷辣
1703937740# #哈哈哈哈哈哈哈哈哈哈
1703307709# #张杰超话哥哥的祝福收到啦。来年发大财，身体健康心
1703123890# #张杰音乐梦想教室64间啦心心
1699631253# #呜呜。这周日不能跟哥哥视频聊天了
1695866902# #也太幸福了心
1697345756# #张杰马冬梅行为我哥太好玩了，十几年了还是没有分清哈哈哈哈哈哈哈哈张杰时光音乐会老友记
1701522879# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1701830020# #张杰1220生日快乐拉低中奖率😏
1699705616# #我投给了“张杰live曜北斗”~
1689395344# #南京一切顺利，我们长沙见航天员
1696738175# #请尽快处理该违规用户，共同营造良好的网络环境，谢谢！
1703419429# #滴滴
1689764973# #期待张杰
1690123470# #张杰超话。5999210528。
1692169110# #哇喔哇哇哇
1700490429# #歌手张杰超话wx小橙旭『小芒庄园』一起为公益助力，我们在给你小心心星星基地给你小心心等你哦~
1689789573# #长沙见长沙见
1703331390# #存抱一抱抱一抱
1697943852# #张杰一开嗓从不会让人失望你可以永远相信张杰，开口只有惊艳送花花送花花张杰时光音乐会老友记
1690694570# #外南街小孩长大啦
1696688124# #我杰哥，笑死我了
1695615282# #哇喔，期待张杰，什么时候可以听到呀打call打call打call
1698048494# #章子怡汪峰离婚真离了啊
1692001395# #谁还没有做怒怒，赶紧的
1702390142# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1694094242# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《张杰未LIVE巡回演唱会》，快来和我一起为更多优秀音乐内容助力！打call憧憬哇鼓掌
1688577334# #请尽快处理该违规用户，共同营造良好的网络环境，谢谢！
1692102570# #张总带货啦。已经买了坐等收货啦哈哈哈哈
1694929166# #我们的歌彩排版心
1696128771# #国庆节快乐！
1700042070# #你还挺会玩呀哈哈哈哈
1704031332# #新年快乐
