1695904631# #美国费城商店遭打砸抢马斯克感慨：美国正沦为小丑
1687650445# #瓦格纳集团与你们同在赞关注俄乌局势最新进展
1695248619# #美国的法制在保护谁?2020年，在美国特拉华州，一名68岁韩裔珠宝店老板遭蒙面人用手枪和榔头袭击，直至他失去知觉后又进行洗劫。由于头部受伤，受害者现在无法行走。该案件日前开审，而经过两天审议，因陪审员无法做出裁决，宣布审判无效。美国亚裔博主：令人无法理解的是，在观看了残忍的袭击视频后
1697238509# #以色列国防军袭击了黎巴嫩南部边界的一辆搭载媒体工作者的车辆，杀害了路透社的摄影师伊萨姆·阿卜杜拉，炸伤五名其它媒体工作者，其中包括多名半岛电视台的工作人员。巴以冲突
1688958827# #美乌高官为集束弹药四处洗白：平民怎么样都会死，不用就输定了关注俄乌局势最新进展
1697718968# #美国警察……
1688722139# #美媒：拜登政府一高官透露，预计美国将宣布向乌克兰提供集束弹药关注俄乌局势最新进展
1690254182# #美国街头实拍：今非昔比的美国城市，脏乱已成美国本土文化
1691031333# #纽约商场大白天来偷服装结果被保安发现
1689834914# #整天净能胡说八道。指责我们窃取，请问你们东风17有吗？？
1702381997# #中国外交行动了！常驻联合国代表张军赴巴勒斯坦拉法口岸巴以冲突
1688374365# #日本东京市中心发生爆炸
1689661217# #美国军方错将数百万机密邮件发到别国，内含军事设施地图等敏感信息
1691209134# #纽约爆发大规模骚乱人群向警方投掷石块、铁铲现场点燃鞭炮
1687480125# #中国坚定支持阿根廷，英国非法霸占马岛，精准反制重挫苏纳克
1697618507# #现场视频！习近平同出席开幕式的外方领导人集体合影。巴以冲突
1689632876# #24层楼高！中国首艘国产大型邮轮出海试航可容纳6500多人
1697202312# #美军：为防出现“新战线”正在监视整个地区巴以冲突
1697938340# #现场视频披露美军舰机在我周边侵权挑衅事实真相
1701418904# #凡事利弊共存。美国在打压中国企业的同时，也为中国打了免费的广告，例如：新疆棉花、大疆无人机、现在又知道无人机除了大疆以外还有道通无人机……华为让他们弄的最惨，现在名扬全球。
1703288711# #为对抗中国？美媒：美空军计划重新启用二战时发动投掷原子弹的西太机场
1695726774# #俄乌冲突怎么破？美政客又出"高招"！
1701989789# #【发展中欧关系要做好这些加减法】今天，习近平主席在钓鱼台国宾馆会见来华举行第二十四次中国—欧盟领导人会晤的欧洲理事会主席米歇尔和欧盟委员会主席冯德莱恩。今年是中国同欧盟建立全面战略伙伴关系20周年。“伙伴”一词，也是会见中多次出现的关键词。面向未来，中欧怎样继续当好互利共赢的伙伴
1701906703# #王毅应约同美国国务卿布林肯通话
1688689416# #美媒放风：为结束俄乌冲突谈判奠定基础，美俄人士举行多次秘密会谈。关注俄乌局势最新进展
1691648380# #菲总统否认与中国就拖走仁爱礁菲方军舰达成协议就算有也将之废除
1698741184# #威力是投放广岛原子弹的24倍！美军宣布将研发新型核弹：将用于攻击更坚硬面积更广的军事目标
1695508565# #中国人整天想的是科技如何创新，如何造福于人类，反之美国人整天想着如何才能搞垮一个国家?他们不灭亡谁灭亡？
1690695091# #俄媒：莫斯科市长称，乌克兰无人机凌晨袭击莫斯科，两架被击落关注俄乌局势最新进展
1696906214# #中国驻旧金山总领馆馆舍遭冲闯袭击，我总领馆发声！
1694127836# #中国特警进入缅北抓捕电诈人员
1689315046# #中国常驻联合国代表严厉驳斥：无数事实证明，北约才是真正麻烦的制造者！
1691450669# #主播说联播【他们关键时刻冲得上去豁得出来】“必须全部转移，不要抱侥幸心理，坚决不！”这是吉林省舒兰市常务副市长骆旭东生前的一段语音，听完肃然起敬。这样守土负责、履职尽责的党员、干部，用行动诠释了靠前指挥、身先士卒，彰显了人民至上、生命至上。“关键时刻冲得上去、危难关头豁得出来
1689675450# #新加坡学者吐槽：美国机场简直是噩梦！想看“第一世界”机场可以到北京、上海
1689301980# #中国发出警告后，美表态称无意邀请亚洲国家加入北约
1702013917# #190万人流离失所！炮火持续加沙人不知能去何方巴以冲突
1702866917# #85吨的死鱼🐟小本子官员竟然说与核污水无关?骗鬼呢？这么多的死鱼如何处理？希望中国坚决杜绝日本海产品流入中国，包括经加工成其它食品，如发现无良商贩蹲监并罚他个倾家荡产。
1696928806# #土耳其总统警告美国不要加入“我们与巴勒斯坦兄弟站在一起”
1697545026# #俄媒关注：美日举行大规模军演，美军将首次进驻台湾附近的石垣岛。
1696458415# #【90后外国小伙说自己不是外人】哈萨克斯坦的鲁斯兰，在《中国UP！》第四季中讲述了他在中国的成长故事，以及“命运齿轮”发生转动带来的新奇改变。哈萨克斯坦是“一带一路”的首倡之地。十年奋进不寻常，共建“一带一路”，不仅实现了设施联通、贸易畅通等，还实现了民心相通。如今担任海
1687828115# #出征！直击国防科大2023年研究生部队岗位实践出征动员大会
1701686915# #手无寸铁的巴勒斯坦人对数十名全副武装的以色列士兵的钢铁意志这不是一部电影，而是发生在约旦河西岸城市伯利恒的真实场景，以色列武装部队被迫撤退，以阻止计划前往阿克萨清真寺的巴勒斯坦人。巴以冲突
1699961593# #缅北部分电诈园区解散，大批电诈犯罪嫌疑人一次性移交我方。
1694654303# #苹果发布会开完了，华为店门口排队的人更多了。
1688699768# #怒吼吧，黄河！重温冼星海《黄河大合唱》依旧热血沸腾七七事变86周年
1697957085# #出现擦碰！中国海警依法拦阻菲律宾船只详情披露
1700177930# #缅甸佤邦“1108事件”。
1687662447# #关于“瓦格纳”叛乱事件，美国务院被曝要求各使馆保持缄默，但必须说明“美国无意卷入此事”关注俄乌局势最新进展瓦格纳从俄南部军区司令部撤离
1692317047# #【美国百年来最致命野火几分天灾几分人祸】截至当地时间16日，美国夏威夷州毛伊岛大火已致111人死亡，仍有超1000人下落不明。大火发生时，毛伊岛80个警报器无一鸣响；大火肆虐时，数量稀少的消防员还面临着缺水问题，许多居民只能自行灭火。自然因素埋下了火灾的种子，而美国政府的应对不力，则无异
1689908497# #南非一地下天然气管道爆炸，街上20余台车辆被掀翻
1697372644# #丧尽天良战争贩子，孩子👶🏻你一定能活着长大。巴以冲突
1698657505# #国安部：某些国家却出于不可告人的目的，将基因技术“武装”成为致命的武器
1698324527# #美国选出新一任众议长，曾表示：若大陆"入侵"台湾，美国应做好准备台湾省
1693135610# #香港市民游行至日本总领馆，抗议日本向海洋排放核污染水
1688686523# #俄再发“核战”警告就像美国对付日本那样关注俄乌局势最新进展
1697717280# #英首相抵达以色列，称“英国与以色列站在一起”巴以冲突
1702162912# #【读懂中国经济政策的决心和信心】昨天，中共中央政治局召开会议。会议认为，今年我国经济回升向好，高质量发展扎实推进，现代化产业体系建设取得重要进展。《新闻联播》报道的北斗产业进入高质量发展新阶段、中国已成全球最大智能制造应用市场等，都是这句表述的生动注脚。会议还指出，明年要坚持稳
1694333957# #太像今（10）日，印度，G20峰会现场。岸田与尹锡悦走在一起谈笑风生。
1695353625# #伊朗总统莱希：美国图谋利用乌克兰危机削弱欧洲！
1698925010# #以色列国防军一中尉在对加沙地带的地面行动中身亡巴以冲突
1689822614# #已经实锤美军正在收集中国人DNA！他们研究生化武器真对中国人的侵害可恨
1701180884# #泰警在边境一处房屋围捕潜逃泰的某国籍缅甸诈骗头目
1687756154# #朝鲜平壤举行"反美斗争日"集会，超12万人参加
1699110833# #美记者爆料以军对加沙战术：坦克远距离开火突破哈马斯防线“无论是否有平民以色列都不会停止”巴以冲突
1693128199# #斐济民众游行抗议日本核污染水排海
1700608670# #及右翼分子掌权是对世界和平的挑战，也是破坏区域和平稳定的冒险者。
1687182580# #“每击必中！在空中根本没有对手”俄军用这一武器在乌反攻关键战线中占上风可与美“阿帕奇”攻击直升机相“媲美”乌军称没有任何从地面击落它们的方法关注俄乌局势最新进展
1689223668# #被批不知感恩，泽连斯基：教教我还能怎么感激西方关注俄乌局势最新进展
1702459512# #曝光缅北电诈头目纪晓波，逃往海外未落网！
1701993630# #自作孽，不可活。
1699153534# #11月5日（发布时间），以色列警察攻击和逮捕了一批反犹太主义复国人员，他们在以色列国防部征兵办公室前抗议以军在加沙的行为。巴以冲突
1697522389# #赞
1691759615# #互联网不是法外之地！警方捣毁涉案千万的“网络水军”团伙...
1702468838# #希望正义善良的土耳其议员好起来。被以色列气晕！土耳其议员在谴责以色列时，当场心脏病发、昏迷不醒巴以冲突
1702293268# #曝光
1702537615# #当地时间13日，美国众议院投票决定对总统拜登展开正式弹劾调查。
1703770502# #菲方称中方还使用远程声波装置和军用级激光器攻击菲船员国防部回应
1688113800# #活该香港守护香港乱港分子申请英国“政治庇护”两年无果，还被翻译官翻译成暴徒
1688992782# #7月10日，外交部领事司发文，提醒在美和拟赴美中国公民注意安全
1687234363# #豹2主战坦克毁灭了，TRML-4D被炸了，下一步：北约敢亲自出场吗？关注俄乌局势最新进展
1699078706# #普京谈巴以冲突：铁石心肠的人才不会愤怒但要头脑清醒巴以冲突
1687944644# #乌克兰外长谈及“瓦格纳事件”：普里戈任放弃得太快了，真可惜，要是再持续48小时…瓦格纳从俄南部军区司令部撤离
1687865312# #俄国防部：瓦格纳集团准备移交重型军事装备瓦格纳从俄南部军区司令部撤离
1691451887# #美菲南海联合巡航提上日程冯德莱恩首次访菲处处针对中国真把中国的克制当可乘之机？
1698742398# #日本拟将核垃圾埋地下300位专家联名反对：火山地震频发有泄露风险
1700967027# #乌克兰首次承认：冲突早就能结束，但西方让我们继续打巴以冲突
1693491849# #可恨美国驻日本大使又开始诋毁中国。
1688341933# #三男子在车内架设“GOIP”为境外诈骗分子提供通信服务
1687825010# #小米在印度投资的前车之鉴。印度多地邀请特斯拉建工厂，马斯克却又“忽悠”：下次一定去！
1703669956# #这是贼喊捉贼，以小人之心度君子之腹为打压中国高科技编造谎言。
1701650253# #据澎湃新闻12月3日报道，湖南隆回一初中教师长期强奸5名女学生并致其中3人患精神疾病，已被执行死刑！赞严惩恶魔教师他们的存在对一批批孩子，对社会都是潜在的危害性质极其恶劣品质败坏的教师如何能带出品学兼优的学生?强烈要求任聘教师的同时应把控教师的品行为重要一环，已经应聘上岗的教师要
1690086889# #美媒称中国大型邮轮可用于两栖作战栗正杰:美国"恐中"到失去理智
1699309806# #【从头回客与回头客中见证进博魅力】今天，习近平主席分别会见了古巴总理、塞尔维亚总理、澳大利亚总理和南非副总统。这几位外国领导人都出席了第六届进博会开幕式。本届进博会，有很多年年见的“回头客”，也来了不少新朋友，如美国农业部就首次率代表团参加。我们欢迎“头回客”，希望他们可以好好
1694831486# #59岁李在明绝食示威进入第16天，虚弱到无法起身行礼，众人举牌劝其停止绝食。
1697553980# #用地图看“一带一路”朋友圈扩大速度！2014年3个→2023年152个！网友:从“星罗棋布”变为“遍布世界”！
1689581803# #民进党举行重要会议，两三万民众在蔡英文办公室外怒吼关注俄乌局势最新进展
1691716056# #重拳出击！国家安全机关破获美国中央情报局间谍案
1696931419# #👏🏻日本多地海啸原因不明，专家称未来海啸或再来袭
1699619549# #以色列再次轰炸加沙的医院，民众刚逃过劫难又倒在血泊中，现场一片哀嚎巴以冲突
1689907467# #日本人cos解放军，被骂“日奸”也要花钱扮演，他们为何如此“精中”？
1697033660# #巴勒斯坦解放组织执委会秘书长：我们要求向加沙地带人民运送食品等，但被以色列拒绝。我们呼吁国际人道主义机构和国际社会进行紧急干预巴以冲突
1698562167# #据外媒报道，当地时间10月28日，在意大利首都罗马联合国粮食及农业组织大楼前，一名男子从旗杆上扯下了以色列国旗，现场群众爆发出欢呼声。巴以冲突
1703896035# #解放军是人民的保护神。
1699060633# #美媒称五角大楼不如直接向俄罗斯运送武器俄乌冲突
1689976641# #强奸大国印度拉贾斯坦邦，一名低种姓（达利特）女孩被高种姓印度教男子轮奸，然后他们将酸泼在她的脸上，并将她扔进井里
1687756640# #据环球时报援引俄罗斯《消息报》25日称，依靠大规模和灵活部署的各种地雷，俄军以相对较小的代价成功抵挡住了乌军近来的一系列反攻关注俄乌局势最新进展
1702616207# #曝光老挝汉城诈骗园区，手机上有这个App的请立刻停止
1691968039# #主播说联播【加力，加速】本周，我国多地防洪救灾的重点工作已经转向灾后重建，各方面在发力，正在形成合力，速度也在加快。比如河北，已经明确用两年时间完成重建工作。今年9月1日前，保证每一名受灾学生都能按时开学返校；今年入冬前，确保受灾群众能够回家或搬入新居、安全温暖过冬。黑龙江是我国
1692427178# #现场直击！东部战区位台岛周边组织海空联合战备警巡和联合演训，进行多方向、立体式、长时段抵近慑压，塑造全向围岛进逼之势！台湾省
1691496080# #允悲
1700700392# #美国恐怖国家，战争贩子，哪里有美国哪里不得安宁。
1690420548# #中方派代表团访朝参加“战胜节”庆祝活动抗美援朝战争胜利70周年
1696890552# #【做好这件事，关乎4.02亿人】今天上午，中国工会第十八次全国代表大会在人民大会堂开幕。目前我国职工总数有4.02亿人左右，亿万职工勇担重任、拼搏实干，作出了巨大贡献，其中有不少久久为功的奉献者、练就高超技艺的大国工匠。这些年，各级工会以崇高礼遇褒奖、致敬先进，让劳动模范的名字和动人故事
1686903682# #德桑蒂斯竞选团队批评拜登:把手从我们的孩子身上拿开
1702556577# #赞中俄两军在日本海、东海相关空域组织实施第7次联合空中战略巡航
1699074739# #“我就是美国导弹系统的噩梦，我要让美国的任何一颗导弹都打不到中国。”这是我国反导专家陈德明立下的宏愿，这个梦想在多年后，终于成为了现实！荣获国家一等功臣。赞致敬！
1691976931# #金正恩连续两天视察军工厂，亲自试驾装甲战车，军工专家脸部被打马赛克
1689114440# #这家伙是不是幻想型精神病？“中国崩溃论”鼓吹手章家敦称非法移民是“中国军人潜伏美国”，并且在偷渡时都会饮血?美国主持人都听愣了。
1697978868# #危险信号！美国第六舰队旗舰驶向巴以附近海域巴以冲突
1686967997# #美日韩军事勾连升级，借口朝鲜遏制中国，三国同盟搅局亚太
1700742676# #应该死刑判的太轻。
1698065101# #当地时间22日晚到23日凌晨，以色列继续空袭炮击加沙地带。巴以冲突
1698625265# #以色列警告将轰炸加沙地带圣城医院巴以冲突
1690633188# #布林肯受访指责俄防长访问朝鲜旨在确保武器供应，朝鲜此前已否认关注俄乌局势最新进展
1699068622# #谈及乌克兰贪腐普京：我惊得下巴都要掉下来了俄乌冲突巴以冲突
1699496280# #中使馆：英日干涉中国内政、想在中国制造混乱是真
1697356361# #这个时候他们见了！伊朗外长和哈马斯领导人，巴以冲突爆发后首次会面。巴以冲突
1687266018# #美国黑奴解放日“六月节”活动枪声四起！6名青少年遭枪击
1699155081# #白宫被包围，华盛顿爆发数万人游行，高呼口号谴责拜登巴以冲突
1696288516# #著名企业家、创维创始人黄宏生视频揭恒大真相
1687564554# #莫迪在美国放出豪言：印度很快将是世界第三大经济体！去年已超英国成世界第五
1698931960# #11月2日美国参议院参议员称以色列在3周内在加沙杀害的儿童是整个乌克兰战争中被杀儿童的6倍巴以冲突
1693016429# #25日，在参加联合国同太平洋岛屿论坛的合作决议讨论时，中国常驻联合国副代表耿爽在发言中表示，如果核污染水是安全的，就没有必要排海，如果不安全，就更不应该排海。日本代表在发言中以及日本政府近来的表态中，一再援引国际原子能机构的评估报告。而事实上，国际原子能机构总干事格罗西在报告前言及
1698188497# #【民营经济人士，总书记再次提到这16个字】今天，全国工商联成立70周年庆祝大会在京举行，习近平总书记专门发来贺信。贺信中，总书记说，希望广大民营经济人士切实贯彻新发展理念，大力弘扬企业家精神，争做爱国敬业、守法经营、创业创新、回报社会的典范。今年7月，《中共中央国务院关于促进民营经
1698902815# #美国搅局中东动作不断，两架B-1B轰炸机降落土耳其，118架运输机增援以色列，两个航母打击群进入地中海，五角大楼已累计增兵约1200人。巴以冲突
1702780477# #俄军上将：明年试射7枚洲际弹道导弹，至少提前24小时通知美国。俄乌冲突
1703769598# #国防部：要求美方立即停止插手南海问题。
1695854337# #“零元购”猖獗，美国零售巨头关闭9家门店：有组织盗窃激增，威胁员工安全
1699503848# #“任何困难都压不倒您和俄罗斯”，张又侠称赞普京带领俄罗斯有力应对各种风险挑战
1699275029# #特拉维夫……巴以冲突
1703386778# #“为避开红海，从中国运到欧洲的集装箱加价1200美元”巴以冲突
1689777548# #韩国宣称获美方承诺对付朝鲜核武器】7月18日，美韩核磋商小组举行首次会议，韩方宣称美方承诺将以压倒性、决定性措施应对朝鲜核攻击；美军战略核潜艇正停靠韩国，系42年来首次。
1688465362# #冯德莱恩宣称：“应阻止中俄扩大在欧影响力”
1697084144# #揪心！因伤者太多救不过来，加沙一救护车司机车内无助痛哭巴以冲突
1695110946# #拐卖儿童11名！余华英拐卖儿童罪案一审宣判，余华英被判处死刑！
1703377243# #主播说联播【在震区安置点看到最纯真的双向奔赴心】战士在帐篷里给小朋友弹琴，搜救犬陪孩子们拍下一张张可爱的合影，心理救援队带孩子们做游戏…这两天，在受积石山6.2级地震影响的震区，安置点发生了很多温暖小事。孩子们用自己的小小行动回馈这些温暖和善意，也在心里种下一颗颗关于未来的种
1688650707# #美国财政部部长耶伦访华：中美双方握手近20秒
1690252777# #美国中情局局长声称美在华情报网络重建已取得进展，外交部回应：中方将采取一切必要措施坚决维护国家安全话筒如遇到疑似间谍留意下边的电话号码进行举报。
1694485669# #快来喝呀，太可惜了。
1697168918# #成堆的美制航空炸弹已到达以色列，有报道称，以色列战机将搭载这些炸弹轰炸加沙巴以冲突
1695007583# #2023年9月18日9:18，沈阳这一刻。
1692919292# #日本专家怒斥：这样的政F没有存在的意义
1690547737# #现场视频！国家主席习近平和来华出席开幕式的外国领导人、国际组织负责人一起进入会场。
1702293572# #疯子巴以冲突
1691413930# #乌男子出国后怒骂政府：对内无下限欺压民众，对外包装虚假宣传关注俄乌局势最新进展
1703860030# #加沙父亲回家发现妻儿遇难将食物塞进孩子手中称“爸爸给你买到饼干了”巴以冲突
1688857198# #【办赛与兴城相结合美好永不落幕】今天，哈尔滨市获得2025年亚冬会举办权，奥运冠军之城哈尔滨将再办亚冬会。作为我国冰雪运动的摇篮和冬季体育项目的“领头雁”，哈尔滨与亚冬会之约无疑是双向奔赴，这将助力当地进一步释放冰雪经济优势。同样在今天，杭州亚运会门票正式开售。金秋九月，亚洲和世
1694005862# #日本政客光天化日下直播讨论如何对付中国
1698112393# #加沙地带：医院缺电少药，做手术没灯巴以冲突
1687324689# #天呐美国麦当劳遭青少年团伙打砸抢当街砸烂收银机一拥而上疯抢
1687832112# #港警国安处拘捕一名63岁男子，涉网上宣扬“港独”及侮辱国旗国歌香港
1697290669# #太坏啦我们反对一切伤害平民的行为，谴责一切违反国际法的做法巴以冲突
1695014906# #抗议个屁
1698105850# #卡特的实话实说巴以冲突
1702386883# #共同声援加沙！阿拉伯国家大罢工甚至推迟考试和讲座，“以让学生参加支持加沙的活动”巴以冲突
1696749021# #反对霸权支持巴勒斯坦人维权
1697689412# #感谢玫瑰玫瑰爱心守护边境45年，毛拉艾麦提·提里万迪在界碑边光荣离岗。看他亲吻界碑时～瞬间泪目…
1689909254# #俄外交部称：西方要求乌不惜一切代价自杀式反攻，乌克兰命运对他们而言无关紧要，他们只要战略上击败俄罗斯。关注俄乌局势最新进展
1686915784# #韩方考察团长：“福岛核处理水放射物质浓度超标2万倍”属实
1699485882# #11月8日发布美国国防部称不支持停火停火会让哈马斯有时间重新集结。巴以冲突
1697169930# #巴勒斯坦总理阿什提耶：以色列向加沙地带派遣地面部队将导致“灾难性后果”。巴以冲突
1688306525# #马英九批蔡英文“两国论”：我们是一个中国的两个地区！台湾省
1688294064# #美军参联会主席：任何人都不应对乌克兰的反攻抱有幻想关注俄乌局势最新进展
1697121130# #嘻嘻泽连斯基敦促北约勿忘援乌关注俄乌局势最新进展
1694444522# #赞敢喊敢干，手机只用遥遥领先
1699172889# #现在中国很牛🐮赞
1694157449# #9月8日，李在明绝食示威第九天，韩民众接力声援，韩媒：体力开始严重不支
1696998781# #巴以冲突中可怜孩的子👶🏻泪
1702714372# #中国常驻联合国代表张军：加沙景象完全超出人类良知极限巴以冲突
1692409662# #国家终于出手了干的漂亮。赞中泰缅老四国警方启动合作打击赌诈集团专项联合行动打击电诈跨国行动
1703506132# #这样不好吧？一旦他们强大了能不能和国家军队对抗呢？后患很令人担心南华早报：中国将发展自己的私人军事公司以保护海外项目安全
1699614402# #菲律宾今日非法侵闯仁爱礁，我海警船采取管制措施，现场交锋画面曝光
1695080964# #主播说联播【为向阳而生的他们多扫些障碍加些便利心】今天，中国残疾人联合会第八次全国代表大会在北京开幕。这些年，我国残疾人事业不断发展，助力越来越多残疾朋友走向更广阔的人生舞台。比如，高考便利措施和单考单招政策，为残疾朋友筑起触摸星空的阶梯，目前已有9万多名残疾学生走进大学校
1691622062# #“他们土地多而且地广人稀！”美国认为澳大利亚可以作为美国武器试验场
1695300061# #中东一男子婚礼现场手持AK-74U边跳舞边踩点开枪击中新郎
1690328072# #【全面加强军事治理以高水平治理推动我军高质量发展】24日，习近平总书记在中共中央政治局第七次集体学习时强调，全面加强军事治理是我们党治军理念和方式的一场深刻变革，是加快国防和军队现代化的战略要求，是推进国家治理体系和治理能力现代化的重要方面。当前，世界百年未有之大变局加速演进，新
1687042547# #主播说联播【国家关系归根结底是人民之间的关系】昨天，国家主席习近平在北京会见比尔·盖茨时指出，中美关系的基础在民间。在比尔·盖茨这次访华之前，苹果公司首席执行官、星巴克创始人、特斯拉首席执行官等美国商界大佬密集访华。他们共同的目的都是分享中国发展机遇，这也再次说明中美关系的基础
1691331947# #美国愿提供安全保障俄方：不需要不如做点别的关注俄乌局势最新进展
1701869410# #联合国警告：加沙已经没有一片地方安全，平民无处可去巴以冲突
1699279174# #以色列占领军用大量有毒催泪瓦斯袭击艾达难民营。巴以冲突
1696288545# #行拘！男子抽烟致高铁降速反怼民警
1687233100# #武契奇警告：科索沃局势正处于近四分之一世纪以来最严峻的时期！
1691668042# #NASA局长称不希望中国率先载人登陆月球南极海外网友：请和中国公平竞争
1689149007# #【华儒道快讯】近日，瓦格纳集团霸道总裁普里戈津对立陶宛发出军事威胁，美防长奥斯丁表示：不要试图对北约国家发动军事打击，美军有能力在一个月内，将80万美军投放到任何战场。美军现役部队人数约150万人，其中陆军50万人，海军和空军各35万人，海军陆战队18万人（另有文职雇员约70万人）
1698635730# #日本一艘全球现役最大常规潜艇下水，军事专家：给亚太周边安全带来威胁和挑战！
1701494693# #中国军队将时刻做好应对各类突发情况的准备
1699324956# #国企驻海外机构负责人通过移民材料，向境外泄漏14份情报
1687992730# #【美国把台湾当棋子把民进党当局当傻子】今天，国台办发言人在发布会上展示了一张美台军事勾连动向图。可以清楚地看到，美国正加速将台湾变成火药库，不仅把台湾当作“棋子”，还把民进党当局当成傻子。例如，美售台武器中，很多是退役或即将退役的，但要价畸高；还有政客提出必要时“炸毁台积电”。
1687419221# #中国驻斐济大使：斐新政府纠正台湾驻斐济机构名称台湾省
1697066426# #主播说联播【总书记考察九江，为何来到这些地方】昨天下午，习近平在江西九江考察调研，总书记在九江考察的两个地方都与生态修复、与长江大保护等密切相关。总书记一直关心长江生态保护，他曾走遍长江沿线11个省市，并多次主持召开座谈会，要求抓好长江大保护。长江大保护是国家战略，保护好长江不
1693204600# #日本核污水57天将污染半个太平洋
1687832691# #朝鲜智库警告：目前半岛紧张局势不亚于1950年朝鲜战争爆发前夕！
1699694595# #包明：加沙在流血，以色列却在中国举办“如何打击网络反犹主义”研讨会巴以冲突
1689764354# #独家：公然违反我国法律法规关注俄乌局势最新进展
1697799128# #约旦河西岸一难民营遭以军袭击，已致13名巴勒斯坦人死亡。巴以冲突
1693347200# #国际原子能表态，将确保最后一滴核污水排完，日本：将上诉中国
1699855788# #缅军战机被击落，缅甸军方：缅甸面临分裂风险
1697183383# #哥大学生大游行巴以冲突
1698554253# #“还记得你是怎么来巴勒斯坦的吗”巴以冲突
1691709029# #在旧金山一个人出门会发生什么？美国小姐姐的亲身经历令人不安。
1702799510# #缅甸空军新接收两架苏-30SME战机，军方高层进入座舱体验
1697379277# #阿拉伯人民集体为巴勒斯坦发声！巴以冲突
1703290011# #俄罗斯加速核武现代化普京称15套洲际导弹系统今年底投入战斗值班“三位一体”核力量将确保世界战略力量平衡
1696979007# #外交部：中国始终站在公平正义一边，真诚希望能看到巴以和平共处巴以冲突
1694922299# #我们的军队看不够，怎么看都帅赞中国三军仪仗队亮相墨西哥独立213周年庆典阅兵式，网友：气势威武英姿飒爽！
1695651530# #台名嘴赞亚运会开幕式，超过一般国家奥运会，科技是怎么做到的？
1700051824# #摆拍演戏。巴以冲突
1698498456# #与普京在华会晤引多国不满，匈总理出席欧盟领导人峰会遭“排挤”，欧尔班：他们有军事政策，我们有和平策略
1690717358# #中国的孩子也吓到他们了?
1698102273# #【制度安排越走心银发社会越有金色未来】天津跳水大爷苏长海，有了室内跳水场地。他的人生态度达观、通透，“嘛都不叫事儿，乐和比嘛都强”。天津“哏都养老院”的老人们，“哏儿”劲十足，一位80岁老人靠汉字谐音法学会意大利歌曲。我国是世界上老年人口数量最多的国家。制度安排越走心，配套措施
1693145343# #日本民众举行集会，要求停止核污染水排海：“不仅背叛国民，也背叛国际社会”
1688703264# #致敬为国捐躯的先辈们，看到这些娃娃兵好心疼，最小的才九岁。泪七七事变86周年
1699067927# #加沙医疗车队遭空袭，至少15人死亡！巴勒斯坦方称，医疗车队正准备将伤员送往加沙地带南部拉法口岸，并转移至埃及接受治疗。巴以冲突
1689997660# #俄总统普京警告：乌克兰对白俄罗斯发动侵略将意味着对俄罗斯的侵略关注俄乌局势最新进展
1696244523# #波兰反对派在华沙举行万人游行活动，要求对执政党的领导人进行清算
1692152040# #美国夏威夷火灾只烧房子和人，看看外面的树都很好。
1698112151# #王毅同以色列外长科恩通电话：中方在巴勒斯坦问题上没有任何私利，只要有利于和平，中方都将坚定支持；只要有助于巴以和解，中方就会尽力而为巴以冲突
1698743945# #俄罗斯总统普京：美国在全球煽动冲突并从中渔利
1687181505# #冲绳民众苦苦抗争7000天！强烈要求美军基地彻底迁出冲绳
1702421116# #1937年12月13日我们不能忘不敢忘，祭奠同胞，铭记历史。愿逝者安息，愿吾辈自强！
1697546311# #泽连斯基欲访以色列遭拒绝，以色列：目前时机不合适巴以冲突
1703758961# #拜登政府不会承认。“美国霸权即将终结”美经济学家采访直言不讳
1700376536# #据央视新闻19日报道，中国维和工兵在黎以边界附近开展施工任务。巴以冲突
1698720003# #爱尔兰议员抽丝剥茧：以色列早有预谋，欧美没有权利为其辩护巴以冲突
1689370519# #伊拉克爆发大f规模反美集会。
1689471849# #北约峰会刚结束，群狼就迫不及待开始正式围攻对付中国的开始……
1693193182# #中国摊上这么个恶邻挺倒霉的。日媒：日本准航母“出云”号首次停靠菲律宾首都，自卫队官员言论“对准中国”
1698541699# #以色列大批坦克再次冲向加沙地带，并回应都是合法打击目标。巴以冲突
1694139990# #挺进大西洋！俄"戈尔什科夫海军元帅"号护卫舰即将拉开系列作战演练
1691220126# #尚志男孩路边等待1小时，只为向救援部队敬礼
1689910967# #另据塔斯社7月21日报道，美国中情局20日表示，目前暂未看到俄罗斯准备使用战术核武器的迹象关注俄乌局势最新进展
1687428638# #很绝望，失联泰坦尼克号观光艇氧气将于今天下午耗尽，能听到敲击声，但是无法营救…
1702692037# #巴勒斯坦人被以色列士兵蒙住眼睛伴随着以色列儿歌的配乐游行巴以冲突
1691759900# #警惕！美国给沙特开条件：与中国保持距离
1699014781# #中国学者国际会议质问菲方人员：菲律宾杀害无辜的中国渔民到底谁才野蛮？
1692709850# #怒为什么都是华人？太恐怖了泰警方称每天有将近两百华人被贩卖每年7万华人从泰国被贩卖至妙瓦底
1693281944# #日本报应来的真快自从排放核废水后，日本接连不断的地震和灾难袭击。现在，日本政府岸田文雄终于顶不住了，8月28日深夜，向全球紧急求救。
1688035117# #整天就说胡话，这大麻太坑人关注俄乌局势最新进展6月28日，乌克兰总统泽连斯基表示，俄罗斯应该要求北约接纳乌克兰。
1700230971# #美媒消息：以色列承认，他们所说的10月7日被杀的大约200具尸体实际上是哈马斯。巴以冲突
