1638690677# #永远不能原谅日本鬼子！
1654855227# #龙舟水南宁黎塘大雨，鱼都跑马路上了哈哈
1650382726# #心情日记。最深沉的爱。有些事。有些人。埋在心底太久了。也许就会。淡忘了。也就。找不到了。
1539616517# #罗锤子🔨至少弄走三亿挖鼻
1630124785# #说明意识形态工作任重而道远呀摊手
1655109318# #仙气飘飘
1660527657# #日本宣布投降77周年勿忘国耻，3500万同胞死于鬼子的魔爪！
1640918176# #国际主义精神的体现呀！笑cry
1644147939# #只可惜没死光挖鼻
1630194678# #说到本质了赞
1539570594# #满嘴的污言秽语，崔脊梁极其脑残粉们也是病重了挖鼻挖鼻
1644147102# #允悲允悲
1639741459# #藏得挺深的挖鼻
1629350015# #不敢去搞，等同志们搞下来了可以去蹭一餐嘻嘻
1670887594# #蜡烛
1546688065# #马赛克是万恶之源，我来一张高清无码的嘻嘻嘻嘻
1637020951# #慕洋犬为了取悦西方人而作践自己的同胞鄙视
1672060778# #死人反正说不了话
1554353024# #更悲惨的是她可能会在收复台湾的战争中遇到解放军，然后死翘翘允悲
1669530380# #跟香港的曱甴一样，都是今天的棋子，明天的弃子挖鼻
1630080122# #只有中国共产党才是真正为人民服务的！
1566612181# #→→
1554132241# #挂垃圾就要挂主页我要向你举报，这种可以拘留的
1542551023# #哎呦喂，狗奴去告洋状了哈挖鼻拜托，现在都8102年了，狗奴们还活在清政府时代咩？哈哈哈哈哈哈
1672715671# #可以，这很刑。洗干净屁股在大牢里过年吧！哈哈
1639755102# #附议
1638117301# #活着出来的肯定是律师doge
1553255402# #我也是摊手
1670686572# #怕怕感冒
1662464908# #被躺平派洗了脑的驴屎，拘留所隔离15天再吊销律师证吧！吃瓜
1534405212# #抓得好goodgoodgood
1647617652# #这是皿煮滋油的价钱doge摊手摊手摊手
1653170081# #救人一命，胜造七级浮屠。good
1663945093# #一个人的旅行，在群山峻岭之间凌风而驰，感受迎面而来的落叶和冷风，摩旅是享受孤独的快乐！摩旅
1649667625# #乌克兰军队误认一辆接近的俄军T-72B3坦克是友军，结果被俄军坦克近距离用高爆弹炮轰笑cry。俄罗斯乌克兰战况
1569682258# #是哪个傻❌邀请他的？来给咱添堵吗？！鄙视鄙视鄙视
1672406245# #冬意。池杉。青秀山
1646045803# #野鸡妓者真是无耻之尤鄙视
1699576029# #转发微博
1639353124# #他们等着日本人道歉，日本人等着他们死去我们没有资格代死者原谅日本人怒
1541492184# #怒怒怒
1552193078# #为啥小丑有那么多人捧场？并不简单并不简单
1556945236# #4月8日脑出血，然后4月11日发布的华为P30pro用上了挖鼻众筹？😱
1654837297# #英雄，一路走好蜡烛蜡烛蜡烛
1653188893# #一个买办城市，怎么可能会喜欢断它们财路的中医院士呢！摊手
1663576940# #重庆猴痘病例病毒与德国病毒高度同源唉，好好的一根金箍棒当成搅屎棍用doge
1541835080# #绿蛙的智商拉低了全球的平均值哈哈哈哈哈哈
1649669376# #保护儿童死性不改怒这种人建议物理阉割！用🔨阉怒怒
1535346567# #恶臭怒
1640606440# #刚刚看完，觉得还行吧，背景充斥着大量前作的片段，情节嘛就那样，动作场面有点意思，可能受到极速系列的影响
1628915613# #我艹，现在还有隐瞒疫情的？吃了熊心豹子胆了吧！吃惊
1630059091# #肯定是两个处分，没跑doge
1568360367# #从这个人说什么黄台之瓜的时候，广大网友就知道他安的什么心思了！
1635317952# #这老兔崽子哪来那么大火气，真是坏人变老了摊手
1661990482# #碧水青山，左江斜塔
1564315779# #左边那女的喝农夫山泉？笑而不语
1657035109# #雨夜发呆是成年人用来消磨时间的无聊自杀方式！
1669043395# #伊朗队开场未唱国歌有这样的一个国家队，还不如没有呢！国际赛场上不唱国歌，眼里没有祖国的人，不热爱祖国的人，怎么可能为了祖国去拼命呢？鄙视
1639240378# #信公知变白痴很多体制内的人没有树立坚定的共产主义自信，很容易被公知忽悠的！挖鼻
1665712060# #捡到一张图笑cry笑cry笑cry
1647163973# #今天刚下载看了，博主说得灰常形象笑cry
1646150780# #一个哗众取宠的阉人而已，当垃圾一样扫进垃圾桶就好了挖鼻
1669903133# #意思是：自求多福吧！汗
1635750507# #这年头，啥事都可以乳发了笑cry
1633044112# #祝新中国生日快乐祖国生日快乐！鲜花鲜花鲜花
1542876420# #dogedoge
1570033623# #流量女王才是来总需要的，爱国网民？有多少流量？这是啥玩意？二哈挖鼻
1665320473# #人民安居乐业是怎么样的呢？就是夜晚在绿树成荫的草地上唱着歌跳着舞，不会担心有远处发射来的子弹，不会害怕头顶的飞机投下的炸弹！鼓掌
1645872946# #二毛，贪了我们那45亿美元什么时候吐出来挖鼻
1549366763# #咋回事？
1664671551# #最可爱的人心心心
1672157336# #相濡以沫不如相忘于江湖！这句话其实蛮正确的，两个人相处久了会有各种各样的矛盾，最后分开的时候往往已经伤痕累累，还不如在开始的时候就不要遇见，留下想象中最美好的一面吧！遇见美好
1629342698# #不上手铐，这是怕死的人不够多啊挖鼻
1552963319# #无语摊手
1642775185# #洋鬼子在他们自己国家爱怎么自由就怎么自由，在我们中国就得听我们的！
1666048382# #左眼跳发财，右眼跳迷信摊手
1566705210# #这个港毒关评论:港独
1562426733# #MZW应该不会有执法权摊手
1547886809# #我觉得量刑岐轻了，那几条粉肠殴打警察致死，而且是正在执行公务的警察，符合从重情节，而且当时它们寻衅滋事，破坏公私财物，酒驾危害公共安全，等等，数罪并罚的话也不仅仅是十几年吧摊手
1632741219# #行拘15天，便宜这小子了挖鼻
1565968453# #great！
1629969888# #以前我了解的只是从新闻和网络上看到越南的情况，深层次的东西没有接触过，受教了作揖
1561792840# #属于有害垃圾摊手
1642597943# #good
1632630046# #中国药丸的节奏dogedogedoge
1629629617# #我的自行车貌似一年多没动了，倒是经常见到隔壁小姐姐去骑行傻眼
1662555751# #是什么逼得一个心绞痛到昏迷的基层民警不敢休息？派出所缺了他就运转不了吗？还是上面某些冒号无休无止的下派各种任务让他不得不冒着盖国旗的危险硬抗？（纯讨论，不下结论吃瓜）
1637079148# #牛蛙是我国唯一一种有害外来物种的脊椎动物，直到我们发现它味道很好笑cry
1642341779# #横批：活几把该哈哈
1651011062# #杀光恐怖分子怒
1564241167# #证明了中国果然发明了时间旅行器笑cry
1647617504# #最右
1565882246# #博主的主意是要挖HK几个扛把子的墙角嘛挖鼻赌五个美分，绝对建不起来摊手摊手摊手
1668001426# #我艹，真的清空弹夹了傻眼
1543477283# #可惜没摔死，真是可惜了摊手
1638983454# #一个不够
1534826998# #我儿子前两天看着电视上的螃蟹流口水允悲然后我就买了七八只炒了给他吃摊手一个人干光嘻嘻
1631148488# #西安决定9月18日全市试鸣防空警报有些底线是不能碰的，特别是关系到民族大义的时候！引以为戒吧！
1651395218# #doge
1627660955# #欲获冠军，必先自宫doge
1569885159# #我们都有一个爱豆名字叫阿中我爱我的祖国！心心心
1676737491# #杜琪峰是有才能的导演，可惜眼界太过狭小，毕竟香港只是一个小渔村嘛！挖鼻
1669908838# #自从白岩狼假仁假义问起这个问题后，它就是我心目中最大的沙币挖鼻
1638236993# #异端比异教徒更可恨这句话真的没错哈哈
1628863742# #我没上当，一张截图，一个不明身份的人的道歉视频不足以让我相信
1628171698# #我也一样嘻嘻
1628547881# #这首歌我也喜欢鼓掌
1628163194# #国乒女团vs日本女团莎莎拿下第一局耶耶耶
1657026404# #感觉说得挺有道理的微笑
1540312209# #信，还有很多很多的脑残信允悲允悲允悲
1636766989# #天天吃鸡超话刚好遇见你
1669387242# #黄石第五季从第一季开始追这部剧，开始的时候以为贝丝只是一个花瓶角色，随着剧情展开，越来越爱这个女人了鲜花她足够忠诚，聪明机智，直接果断，处变不惊……突然觉得她才应该是这部剧的主角心更重要的是，我最喜欢她的毒舌笑cry笑cry笑cry
1670676850# #PYQ里很多朋友在欢庆放开，我留言说：疫情才刚刚开始。她说：不管…。其实我知道，他们不是因为放开而庆祝，他们只是太累了，每天的疫情防控工作，隔离、流调、核酸、封门、守卡……把基层工作者的精力都耗尽了。
1647588715# #哈哈哈哈
1679926127# #这不是手足嘛偷笑
1561385039# #格局高下一比便知鄙视鄙视
1646892118# #还能吃？😱
1534612449# #我不爽你们就不要想爽了！嘻嘻嘻嘻
1642225658# #围观话筒话筒话筒
1643810420# #英雄走好🙏🙏🙏
1642505495# #这个我知道，我们周围几个县市都是接壤越南，那边的兄弟很辛苦！
1564241979# #某些杭康乐色跪地爬行的样子实在是太好看了笑cry笑cry笑cry
1542784400# #偷笑偷笑
1691249579# #这条鱼儿很霸道，经常驱赶其他的鱼儿汗
1564391776# #崇左美景崇左市江州区新和镇的黑水河景区一角
1555325058# #崔脊梁的御用文人，你还想怎样涅？摊手
1682557625# #原来是请枪手挖鼻
1552609784# #不明白“重视不够”是哪里不够了摊手摊手摊手
1545478844# #要点逼脸不？怒怒怒
1561041224# #这个是原谅三星爆炸的同一个人咩？挖鼻
1566059504# #守护香港好吧，我一个广西人都知道宫廷玉液酒就是二锅头兑那个白开水允悲你自称“北方人”却不知道？哈哈哈哈
1553956667# #这几条绿头苍蝇还在嗡嗡作响呢挖鼻
1564297703# #这帮卵仔实际上并不一定是港毒的支持者，而是反对共产党反对中国共产党在中国的领导！如果香港还是英国殖民地，然后有学生运动起来反对英政府领导，你看这帮卵仔会不会跳出来支持学生？摊手摊手
1653104146# #自己家里的客厅怎么会有卡车？真奇怪吃瓜
1647250071# #话筒
1628638199# #拾人牙慧而已笑cry
1535215917# #我怨凶手
1662652003# #看其面相，应该是天煞孤星克夫弑主
1700830376# #孤独的网红——美洲红鹮……
1643127563# #哟呵，新京暴有当总统的意向了，值得鼓励goodgood
1629990033# #格格被人日挂了？吃惊
1642152818# #允悲
1547658343# #澳大利亚只能说是个小混混，又想做东亚的老大，又没有那个实力，只能靠着扛把子米粒奸恶心恶心人摊手
1640312204# #笑cry
1643437371# #浙里一家亲抗击疫情，一起努力话筒话筒向一线同志致敬鲜花
1637027073# #突然发现一个问题，为啥这些个摄影师把中国女性丑化得不忍直视了，而活跃在微博里的女拳大歪们也没有出来批判批判？这是一个值得深思的问题呀！二哈
1629608608# #原来我一直读错了汗
1658283653# #电视剧广州十三行大搞历史虚无主义，这是要洗白毒贩和汉奸吗？管管你们的宣传部门吧！历史学到狗肚子里去了吗？鄙视鄙视鄙视
1642663822# #笑cry
1564289313# #现在衡阳那边下封口令了，有人想盖盖子哦并不简单
1633173613# #长津湖票房破9亿看完长津湖，总体来说还不错，一部抗美援朝题材的商业电影。动作场面就不说了，看的动作片太多，还是有点免疫力的，印象最深刻的片段是毛岸英主动向彭总请求上战场，最后在抢救地图的时候牺牲了。虽然不是主线，但是却把真实的历史还原给了年轻的观众。前些年那帮王八蛋公知造谣说毛
1627704351# #请勿过度解读doge
1697804183# #以色列👿
1672635216# #媒体批大v扣帽式攻击防疫专家令人不齿新冠确实不是大号感冒，甚至不是大号流感，它比流感严重得多，当然也比不上1918年的西班牙流感挖鼻
1630311779# #鸡皮疙瘩掉一地打脸
1627997241# #美国一炸一路
1560672129# #我脚得吧，妇女报是用心良苦的摊手你想啊，中国的崇洋妇女相对数量虽然不会太大，但绝对数量肯定不少，妇女报宣传带动崇洋妇女去跟米果藤校要虫子，辣么多妇女去要虫子，藤校毕业生不得一天到晚撸啊撸？所谓强撸灰飞烟灭，妇女报间接上也起到消灭敌国有生力量的作用嘛doge
1664184890# #难道他去的是一个假的美国？笑cry
1553951631# #拘留封号先再说挖鼻
1629689043# #围观话筒
1629282652# #拒绝涉毒艺人登台！
1637013758# #只能随缘
1640831888# #人总有这样那样的遗憾。有些遗憾转瞬即逝。有些遗憾永远都是遗憾
1637023999# #看吧，不加狗头的后果笑cry笑cry笑cry
1644245174# #除了南棒，还有谁！挖鼻
1533991896# #直接升格为刑拘了，好！
1670592467# #有人觉得我看起来很乐观积极，实际上我是个很悲观的人，做每一件事都会想象着会得到最坏的结果，然后努力去争取更好一点点的结果………
1563444409# #还真别说，至少这个律师吃人血馒头吃到饱了摊手摊手摊手
1637109540# #英雄心心蜡烛蜡烛蜡烛
1636448366# #好蓝的天
1627894786# #这个理由太强大了允悲
1664289131# #拜登最喜欢的年纪doge
1680702053# #鼻塞流涕头晕困
1651628186# #吃瓜
1534753371# #放心，凶手被炮打头是少不了的！
1635817159# #棒子这个梦也做得太不靠谱了吧？笑cry
1646926662# #你做初一，我做十五哈哈
1655640270# #父亲节的晚霞
1645930489# #允悲
1549364799# #死里逃生啊允悲允悲
1643770739# #请几个南美洲的供奉可能更好doge
1695830918# #小日子这是皮又痒痒了？怀念小男孩和胖子的烧烤咩？挖鼻
1662643973# #话筒
1642670774# #恭喜你，答对了笑而不语
1553953846# #三月二十八日，沈阳公安局大厅发生一起爆炸案，发了个帖子声讨极端暴力份子还有为暴力份子喝彩的卵仔怒然而在他帖子下面几个脑残各种为危害公共安全的垃圾洗地，你们两个辣鸡把脸伸过来给我甩几巴掌！顶看看你们洗地的是什么玩意儿！是不是你们也是奸淫
1669592204# #以为社会主义专政的铁拳不硬了？挖鼻
1650036691# #无话可说允悲
1642430907# #他们不知道在这种情况下一大波人四散回去会导致什么吗？万一其中有一个感染新冠，就等于把扩散的风险传到全国各地！他们不是不知道，他们只是不管其他人而已，说白了就是自私！鄙视
1546876554# #给力是给力，不过让喷子吃饱后又骂袁老了摊手摊手摊手
1546425578# #这个家伙删了很多帖子了摊手摊手
1554465651# #没有推土机是没办法了，这个卵仔摊手摊手
1568477037# #是的，但是还是有太多人不知道，需要我们一起努力！
1538640568# #作为爱小动物人士，我郑重警告博主，马上送两条来我尝尝嘻嘻
1639843006# #这个骆驼是我朋友从巴林带回来的，好多年了微笑
1642389626# #这才提现了美国的人性化嘛，哪里像在中国，确诊了就必须关起来治doge
1564403158# #其实我还是相信麻痹大意的，这是大事故了，从记者到编辑甚至制片人什么的都要被处分摊手不过这个记者献身叫鸡🐔也太那啥了黑线
1568379188# #美丽崇左中秋举杯邀明月！低头猜两码哈哈哈哈哈哈
1549020776# #我以为是10个人平分3000万允悲允悲允悲
1664608821# #我可以理解这几头狗奴，毕竟屠宰场老板要杀掉它们的老公老婆，不生气才怪哈哈
1548330660# #这家伙装逼装大了笑cry笑cry
1627773234# #致敬中国军人！节日快乐！鲜花鲜花鲜花
1539606019# #高干什么高干挖鼻不是“只剩下干”了吗？
1536548530# #有些人吃烧饼，吃一个没饱吃两个没饱吃了第三个饱了，然后就说早知道只吃第三个饼就行了挖鼻啥心态啊这个摊手
1639326109# #大郎，手机闹钟响了，你该吃药了，这是西门医生专门给你配的药💊允悲
1653187378# #马上去买飞盘进组织哇
1644155320# #赞助一盒杜蕾斯doge
1671115276# #一年来，我取关了很多人，也拉黑了一些人，有时候觉得能把自己拉黑了最好，也许吧，再过几天应该就可以了吧！倒计时ING……
1630945990# #救一个十万起步，这些所谓的驴友就不会那么盲目了思考
1648914381# #新冠肺炎还会与人类共存很长时间这是病毒和人类不断斗争的时期，这是你死我活的战斗！
1542721122# #既要做B子又要立牌坊二哈二哈二哈
1643470788# #西方国家已经全面躺平，死了一百多万人，却对着全中国狂吠挖鼻只是因为他们希望祸水东引而已！然而它们低估了中国人的团结与自信！
1570372984# #我了个去，都删到18年啦，你继续哈哈
1538802299# #偷笑偷笑
1560011965# #傻逼年年有，今年特别多！鄙视要不要用消防栓给这傻逼灌灌肠？哈哈哈哈
1638614233# #那这是什么笑cry
1547603855# #崔教主竟然在微博上公开机密文件，这下可把他的“小学同学”坑惨了哈哈哈哈哈哈
1665710323# #久不久也要复习一下老梗笑cry
1671931506# #为啥不能射在直肠里？
1662375817# #月圆月缺。日出日落。花开花落。人聚人散
1539572340# #别的家长又不是你友仔，能乱发这种图？而且群里其他的家长说的那些话真让人无语，一点底线都没有挖鼻挖鼻挖鼻鄙视鄙视鄙视
1630381897# #我们国内很多人以为意识形态斗争不存在了，实际上恰恰相反，意识形态斗争无时无刻不在！
1552781362# #看博文里的描述，被折磨得是挺惨的，可是还不够啊，猥亵小孩子的手还没被砍掉，下面没被切掉呢挖鼻挖鼻挖鼻
1536459846# #我不信，除非你请我去玩几天坏笑坏笑
1645933518# #膝盖生根的叫兽鄙视鄙视鄙视
1651274840# #土豪啊哈哈
1565946014# #这煞笔意淫的，副市长是不可能兼任人大主任，知道为什么吗？因为市人大主任是市委书记兼任滴！这煞笔挖鼻
1564105208# #煮熟的脸肯定跟没煮的不一样嘛笑而不语
1645755304# #为什么不是用“它”？你这是预判物种，政治很不正确啊doge
1631674257# #这笔装的，遭雷劈了吧
1666666377# #见过汉奸，也见过自带狗粮的汉奸，就是没有见过不但自带狗粮还重金行贿去当汉奸的！笑cry
1640263233# #有人在利用她挖鼻
1558863590# #怀疑博主P掉了笑而不语
1651336397# #慢慢的我终于知道它并不是我的。花，我只是恰好途经了它的盛放！。心情日记
1550462577# #怒怒怒
1650720748# #doge
1653265044# #罗昌平在媒体刊发致歉信我不知道短短七个月的牢狱是不是能转变一个人的思想，大概率是改变不了的摊手
1631109303# #绝地求生一起跳舞吧！掌宝荧光棒
1633140427# #思考
1659329492# #司机观察不到不表示没有责任摊手不过他最大的责任就是把车开到别人家的卧室里了doge笑cry
1640488111# #心
1658206472# #有一句经典的话没说“好好一个人，到医院就没了”doge
1550620429# #这种人不少，我就遇到过几个摊手
1662030892# #象拔蚌刺身，第一次吃嘻嘻
1660552226# #苹婆，我们这里叫九层皮哈哈
1628167116# #我也是下周，区内游也是可以的嘻嘻
1638582524# #嘴里全是主义，背地都是生意挖鼻都是又当又立的东西摊手
1539772074# #喷子总能从美好的事情里找到喷点挖鼻挖鼻挖鼻
1574604177# #约握手
1648136515# #不是酒驾就是毒驾摊手
1628518708# #无他，养大的胎盘而已挖鼻
1641262434# #又挖出一个两面人，奈斯goodgoodgood
1539574136# #先加点火，不炒一炒的话网警怎么会注意嘛嘻嘻嘻嘻
1650072931# #视频里这个光头黄尸找到没挖鼻
1559579101# #二哈
1661870656# #大不了打主人给狗看，有啥呢！
1630220593# #大美中国河池金城江的小三峡，广西河池小三峡：整个景区内山峻、石美、峡幽、洞奇、水秀、令人留连忘返,被誉为壮乡第一幽谷、南国第一峡。
1631605515# #极宗：掀起你的头盖骨二哈
1666226348# #女生校内晕倒2流浪狗舔鼻唤醒呵呵，一群沙雕还在吹嘘什么流浪狗有灵性啥的允悲殊不知流浪狗已经是半野生动物了，掠食者的天性是抹灭不掉的，它们只是试探那女生死了没有，能不能在没有危险的情况吃顿肉而已摊手要是躺在那儿的是婴幼儿，早就被扯开喉咙了挖鼻。还自我感动呢，一堆蠢货媒体
1672108679# #美国驻华使馆暂停所有常规签证服务中国在严格执行防控政策时候，国外都在呼吁中国放开，国内一些二狗子也跟着吠，现在放开了，国外立马熔断隔离。前后对比一下，就算不是阴谋论者也能嗅出里面的阴谋。挖鼻
1647821089# #吃瓜
1562556684# #吊起来以后车不是飞起来了吗允悲
1633534329# #这是，这个罗昌平，真是不作不死啊。
1654845519# #本来一直喝98的，看到娘娘腔带盐，算了，提高点格调，喝乌苏去！哈哈
1627739416# #抵死啊！坐牢去吧！怒
1630286908# #假设一下，如果通过血液循环把这些金属颗粒集中在某个部位，是不是会让这个部位特别的坚硬？坏笑比如说……脸doge
1697648756# #犹太一直都是纳粹，只是元首比他们更狠一些而已摊手
1630984102# #公知在中国住别墅养老狗，才舍不得去美国住地下室呢！挖鼻
1630667871# #围观围观围观
1637082063# #笑cry笑cry笑cry你特么的敢来打嘛！
1628901853# #一些傻逼说，你看美国死了六十几万人都没事，还是那么稳定…吧啦吧啦的！我就去你马勒戈壁吧，那是美国政府不把人民当人看挖鼻
1662561574# #吃瓜吃瓜吃瓜
1638939637# #帮越南人偷渡进国内怒
1647828729# #原来在皿煮国家当议员那么赚钱啊！怪不得那些公知们天天巴望着也在国内搞西方皿煮！dogedogedoge
1672616548# #节哀，老英雄一路走好蜡烛蜡烛蜡烛
1632972373# #不应该叫安乐死，叫扑杀摊手
1662304162# #羊羔貌似不知道发生什么事允悲
1682085531# #壮族三月三你以为的三月三是载歌载舞，实际上我们的三月三是码声隆隆偷笑
1640496536# #阴搓搓地讲怪话，想骂又不敢骂的样子，没卵子的东西！鄙视鄙视鄙视
1559050917# #今晚本来想挖一下，没想到还是你这个挖坟高手先出手了允悲允悲
1553999101# #一年之际在于春耶糖厂运复合肥到村里分发给蔗农，助力甘蔗生产goodgood
1639611016# #还能干什么，为侵华日军洗地呗挖鼻挖鼻
1569600683# #袁老说：都是我的锅，让脑残吃得太饱了允悲
1637902622# #合格证也只是证明设备在出厂时候合格，不表示你检测的时候也合格doge
1636199171# #我同学的姨妈的表哥的同事的舅舅的大爷的孙子的朋友说现场尸横遍野，各个路口已经戒严了，卡车一车一车拉尸体去火化，一炉十几具尸体，全城每人发5美元的封口费doge围观
1534058243# #good→→
1666224106# #呵呵，两条狗只是试探这个女生死了没有，死了的话就可以吃了摊手
1542028832# #有点印象了，这个卵仔代表了在台湾的日杂挖鼻
1542017136# #我不信这是天鹅，除非你宰一条来我尝尝看味道一不一样挤眼
1648391130# #看眼神可以发展一下嘻嘻
1537111286# #我们也下到乡镇开展工作了现在赞赞赞
1542593767# #挖鼻挖鼻挖鼻
1565966118# #送一程
1640966596# #不想喝这杯咖啡2021年最后一天华为音乐推荐一首歌曲咖啡，真的非常好听哦，分享给你们！一起来听听吧～咖啡
1637037700# #艹…这是棍扫一大片啊笑cry笑cry笑cry
1647505798# #利滚利也没那么快呀！允悲
1630051058# #dogedogedoge
1551445270# #港真，这个无名小报也只能通过耸人听闻的标题来吸引眼球了，要格调没格调，要格局没格局挖鼻
1627704734# #签名呼吁彻查美国德特里克堡实验室外交部九问美国德特里克堡基地美国自己干的坏事栽赃到中国头上！艹尼玛的！怒
1542852527# #未成年人渣保护法真的很有用挖鼻挖鼻
1672320416# #评论区好看笑cry
1666224182# #话筒
1700205648# #什么叫抢啊，分明是美利坚的群众无偿帮助快递员送快递呢doge
1564737888# #其实是底和高都是10的三角形啦允悲
1543458489# #这样的小畜生还是宰掉算逑挖鼻挖鼻挖鼻
1649946861# #记得帮我打包回来doge
1628990023# #屎蛋他…屎蛋已经跑到伊朗了
1629027662# #不明不白的活，不明不白的死doge
1670805490# #还想去看看评论，晚了一步笑cry
1629247470# #慢工出细活doge
1629513421# #奴役机器？哈哈
1682821977# #准备村里的宴席666
1656603623# #你以为非死不可和推特上面个个都是公知啊？皿煮的地铁压死三五个人这不是很正常的事情嘛，不是在中国就没有流量啦！摊手
1567735270# #美丽崇左精准扶贫工作中重要的一部分最右乡村建设，极大的改善农村的生产生活条件赞记忆中污水横流、杂乱无章的农村环境已经彻底改变！威武我们都有一个爱豆名字叫阿中
1548311960# #跟我们村差不多嘛嘻嘻嘻嘻嘻嘻
1649653088# #话筒话筒话筒
1567015779# #坐牢而已啦，出来打砸抢都知道要进去啦，哭尼玛哭啊！
1635863004# #如果这家伙脑子里的水放出来，海平面至少上升一米笑cry
1630145974# #晚上无数被屠杀的冤魂就在空中俯视着游玩的人群围观
1670850300# #南湖的黄昏…
1562458499# #→→
1553388700# #锤子粉果然是锤子粉，侮辱消防官兵侮辱贬低解放军否认慰安妇否认钓鱼岛是中国的，自称其祖国是满洲国…挖鼻挖鼻我说你到底受到什么打击呢？还是奴才果然是奴才？鄙视鄙视鄙视
1566709113# #决定降点中奖率哈哈
1631626967# #官方回应网传长沙公职人员网络炫富现在还有那么傻的公职人员吗？或者是太膨胀了？且等待纪委调查结果吧！摊手。
1669949467# #街道办的工作人员可能是接到太多这样到电话，套路已经很清楚了笑cry建议对方举报、打幺幺零、发抖音……允悲一下子把对方整不会了偷笑偷笑偷笑
1537428502# #准备一家人整整齐齐了挖鼻挖鼻
1553906666# #嘴上说不要，身体却很诚实笑cry笑cry
1644200230# #难道不能挣扎几分钟咩允悲
1629475519# #影响走路
1564534005# #右边的建议很好👉
1629638701# #美国才三亿多人，以美国那么强大的医疗实力都这样，想象一下如果病毒在中国爆发了，会是怎么样的情景？
1629982833# #围观
1639584685# #我艹尼玛的分裂分子，就是恐怖分子，杀无赦！就应该当街枪毙，抓到炮打头，跟猪肉一起烧，让这些极端驴叫尝尝鲜挖鼻挖鼻
1628164894# #允悲允悲允悲
1663429241# #院长这小胳膊小腿的，还是算了吧笑而不语
1562771294# #呃，我脚得应该美颜一下，毕竟南宁的阳光比较大嘻嘻嘻嘻
1627689134# #加油加油加油加油
1646049346# #也是，一坨屎没什么好看的哈哈
1669607005# #环境不错，风能进雨能进国王不能进doge
1630064975# #为我们的运动员骄傲！鲜花鲜花鲜花
1664086556# #愚蠢的公知嘴脸
1651752091# #重点是屁股为什么疼二哈
1645418863# #那你看这个案子里的嫌疑人符合哪一条？
1635319202# #企业家啊，慎捕慎诉是不是套得上？doge
1632095392# #同意
1647164042# #陈丹青：这里人人长着一张不受欺负的脸吃瓜
1642438559# #一三五中国威胁，二四六中国崩溃，星期天小编休息！哈哈
1639104337# #哪里违规了？
1637910734# #某动保组织声称“从未有过拦路抢狗的不法行为”，说得真好听赞等等，图三是什么鬼？二哈狗奴日常
1639106125# #那倒未必，没看过作品不知道真假摊手
1553956314# #看到不会饶过像你这种为奸淫幼女罪犯洗地的辣鸡！挖鼻挖鼻挖鼻
1568476218# #说是这样说，但是目的还是让他们多学点知识，不然打工都没人要呀！
1629460054# #围观围观围观
1666453196# #其貌不扬的民族英雄，禁烟的林则徐，驱逐法军的冯子材goodgoodgood
1639065768# #你每天这样发我女盆友的照片，活该被吃席挖鼻
1651741474# #围观话筒
1553760341# #其实收到博主反映的线索以后可以报送上一级纪检机关的摊手摊手摊手
1635733480# #民用的，请勿过度解读doge
1564024725# #共产党死了那么多人才打下的江山，港毒们准备死多少个？挖鼻
1650207015# #保供资质可以卖很多钱的呀嘻嘻
1574601426# #近几个星期连续工作，早八点到晚十二点以后，累得黑文晕咬牙切齿掏光家底买了一部心怡的摩托，也算有点心理安慰啦！哈哈哈哈
1636125897# #这家伙全家女性是不是都在坐牢啊？doge
1541258359# #难民：我们要民主，我们要自由！！！。皿煮灯塔：来人，关门，放特朗普！！。挖鼻挖鼻挖鼻
1549280265# #暖萌动物园新年快乐！🐷年大吉！！
1627745438# #鬼鬼可真笋啊！坏笑
1662472569# #希望不要再有伤亡了，愿平安🙏🙏🙏
1639975204# #挂起来让大伙看看围观
1630122518# #都2021年了，司法系统还有这样的官微，简直叹为观止傻眼
1661436270# #最美的风景永远是在路上……。到了终点。也就。没有了微笑
1702560284# #南方人表示羡慕东北的雪景憧憬
1565656310# #现在就差废青的背后黑手开几枪弄死一批废青后嫁祸警察了挖鼻挖鼻
1564447347# #如此美景，让人流连忘返鲜花鲜花
1631067205# #看图说话二哈
1646915694# #笋到家了笑cry
1629470919# #好像有稀土呢！
1637745975# #你说的是这个吗？！笑而不语
1628033110# #完全看不懂这次南京的操作摊手
1637146788# #做为两广人，我们也是有责任的，想当年这个佛罗里达小熊的老木被一群野狗L奸的时候，我们没有报警就直接去驱散了那群野狗。结果佛罗里达小熊的老木还怪我们扫了她的性致，当时吵了一架，就这样结下了仇怨摊手
1651067154# #论无耻程度，我只佩服美国人鄙视
1566467582# #右边👉
1570530793# #母曱甴挖鼻
1549465083# #就算不能突破战狼2的票房，也能让很多战狼PTSD患者的G点喷发允悲允悲允悲
1565861597# #风兄弟来挖一挖怒
1553928540# #无语允悲允悲允悲允悲
1696030304# #缅怀先烈
1632886329# #血不要溅到我身上doge
1554283476# #允悲允悲
1564989294# #还有一个拳师呢鄙视
1639742973# #震旦学院发布错误言论教师被开除这事发酵以后举报人被人肉了，很多日杂发短信辱骂威胁举报人怒结果网友们在众多日杂里挖出几个很有意思的家伙，一个是的，一个是的张警官，还有一个是的公务员、前副检察长盛鸿平。日杂藏得再深，总有忍不
