1701504511# #初一女孩欲轻生，警察撕心裂肺大吼规劝，听得人想哭…向这位警察致敬赞
1695175876# #“她冒名顶替我30年，该怎么补偿我？”女子中考录取通知书被人冒领，而冒领者毕业后进入银行工作！女子知道真相后无法释怀，这些年她因为没有学历，做过服务员、售货员，最落魄的时候还捡过废品，而顶替者即将退休，如今又因怀孕被取保候审后撤案！。。1990年，朱丽春信心满满地参加中考，她对自己的未来
1698329090# #小米14系列发布会小米发布会过后，新的十年，小米会给我们带来什么新的惊喜？。。在今晚的小米发布会中，发布了新机小米14Pro，号称能够超过iPhone15Pro，是是当前最强智能手机，我们来看他的配置，小米澎湃OS、小米澎湃P1+G1自研双芯片、环形冷泵散热系统、小米自研龙晶玻璃、全等深微曲屏、联合华
1701201546# #禁毒女英烈严婷，在被丧心病狂的毒贩用水泥块多次重击头部，生命垂危的情况下，仍与毒贩殊死搏斗，坚持到前来支援的同事将毒贩擒获，不幸英勇牺牲，时年仅22岁。伤心。致敬缉毒英雄！让我们一起记住她的名字：严婷
1700613092# #盘点那些令人心疼的孩子，愿所有的孩子都能够被温柔以待…
1688373265# #河北，大胸女子当街售卖拥抱，一次2元，所到之处生意火爆！原来，女子身材火辣，还故意穿着超短裤吸引眼球！路过的单身小伙哪受得了？就连一些结婚的大哥也趁老婆不注意偷腥！网友：为什么抱一下赚钱可以，睡一觉就犯法了？。。女子为了赚钱，充分利用自己的身材优势，举着“拥抱2元一次”的牌子站在夜
1698419734# #和蔼可亲，一心为民，缅怀蜡烛
1700527960# #“老板，给他点一份吧，请不要辣”~热心男子请乞讨老人吃饭网友怒赞！善良的人，走到哪就会暖到哪！
1702641504# #女子生二胎没有钱买奶粉，向哥哥借1500元！哥哥二话不说转了5000元，可女子还来不及高兴，就被哥哥的话泼了一盆冷水！她觉得哥哥说话实在太难听了，太伤人自尊！网友：哥哥话糙理不糙！自尊是自己挣的，不是别人给的！。。“哥，可以借我1500块钱吗？二宝奶粉快没了，要给他买奶粉了！”。。看着怀
1695801253# #10岁6个月的女童下楼梯时不慎摔倒，导致右侧尺桡骨中段双骨折，出现外观严重畸形、右前臂肿胀、疼痛...传统中医正骨疗法为其瞬间复位！赞
1697547351# #狗主人最高或面临7年有期徒刑，你支持顶格处罚吗？咬伤女童黑狗的主人被刑拘
1702989974# #每次危难之处都会看到您傲然的中国红🇨🇳，天使般动人的嗓音和一颗菩萨般善良的心，这才是明星赞韩红团队已经启程前往灾区
1694236344# #这么小的孩子在药物的作用下突然尖叫，知道她有多难受，多痛吗？孩子妈妈还懂点药理，普通家长有时很难找出问题所在，一旦被医院掩埋事实，这后果，一辈子啊…女婴输液后尖叫昏迷成脑萎缩
1690162879# #领导都奔溃了！领导：这是谁请来的，明天自觉到行政部辞职。
1698831619# #九成网络主播收入不如外卖员，主播这个行业其实很畸形，头部躺赚，尾部即使努力也没有结果。尤其是那些小主播们，为了流量在直播间熬夜，拼命拉时长、对着空气直播，一天十几个小时也不见得有几个人打赏。这种辛苦还不被看见，被隐藏在主播的光环里，却无法获得流量的青睐。真的好悲哀！
1702426310# #请您停留1秒钟，向禁毒英雄致敬！🙏🙏🙏。。2013年11月5日，贵州省开阳县公安局禁毒大队教导员陈荣刚获得情报，当天将有一男子在开阳县龙岗镇贩卖毒品，遂和战友们一同前去实施抓捕。但犯罪嫌疑人被抓获后百般狡辩，拒不认罪。为了尽快固定证据，民警们随即便对犯罪嫌疑人进行搜身。正当所有人全神
1697273448# #农村爸爸按军队标准教三个孩子练武…
1688634203# #公公得知儿媳买房后身无分文，二话不说顶着高温背起行囊，去工地做苦工！
1692851586# #这个人曾经因为“一喝成名”而名声大噪，但后来却消失在公众视野中…。。结果大家可想而知，核废水真的净化了吗？全是欺骗罢了！那么日本这样一意孤行，究竟为何？心思歹毒啊！日本核污染水排海正式开始日本官员喝下核污染水4年后引退消失
1697593393# #你们那边也是每天要打卡安全教育平台吗？最近有家长站出来了，建议取消安全教育平台，支持学校现场安全教育，大家怎么看？思考
1702995875# #震后男子哽咽着说“回不去了”一个动作让人鼻酸苦涩甘肃积石山地震引发局地砂涌
1687005562# #一个四岁孩子都能搞清的事儿，竟有勇气有胆量欺骗公众，公开为江西工职院的食品安全违规行为背书，态度坚决地“指鼠为鸭”。。这背后隐藏着的猫腻不言而喻…。。深刻的理解了这段话。。我们知道他们在说谎，。他们知道他们在说谎，。他们知道我们知道他们在说谎，。我们知道他们知道他们在说谎，。但他们仍然说
1698847814# #渭南局长夫人涉嫌吃空饷一事，经过4个月联合调查组织的调查，结果是她已离任。。吃的空饷不用吐出来吗，一句离职完事了，不用追究局长的责任吗？哄弄老百姓呢！关键不在于她是否已离任，而在于她吃没吃空饷。。这么简单的问题，都要调查几个月，还能干好工作吗？以消耗公信力为代价，饮鸩止渴！
1693289193# #近日，一位已经9岁的小姑娘——来自烟台莱山的雯雯（化名），而他的身高却只有123.6厘米。如果不经儿科主任王建新介绍，多数人都以为这位已经是三年级的小姑娘只是刚上一年级。。。雯雯爸爸说，小时候总觉的孩子是晚长个，寄希望孩子长大能追上身高，没想到这种想法给孩子带来了心理创伤。原来，因为身高
1688185787# #随着社会发展和环境的改变，儿童发育行为障碍类疾病日益增加。根据《中国注意缺陷多动障碍防治指南(第二版)》调查数据显示，我国2-15岁儿童中患有多动症、抽动症、学习障碍、发育迟缓、自闭症等发育行为疾病患儿约2500万，带来的影响往往伴随患儿的一生。发布了头条文章：《孩子语言发育迟缓，路在何
1694041865# #17岁女孩在工地干活，“弟弟已经上学，妈妈癌症永远离开了我们，青春心甘情愿献给工地”网友：她比任何人都努力，加油一切都会好的！
1703127376# #一桌子全是盲人，已经第五次来吃火锅了，老板还是一如既往给他们夹菜，特殊人群更敏感，能来五次说明老板真心招待赞
1698118774# #“我以为我完蛋了，直到看到你……”女子落水被村民救起，当天拎着水果烟酒上门道谢…买东西是应该的，救命之恩，一辈子的恩人赞
1699337054# #老人推着装满粮食的三轮车上坡非常吃力，接下来发生的这一幕好温暖！为热心的你们点赞赞
1692951585# #河南新乡长垣，一女孩考了659分，被武汉大学录取，但是由于家里只有她和爷爷两人相依为命，经济比较困难，常为学费发愁。。。河南矿山集团的老板知道她的情况后，决定资助她大学学费和生活费，女孩感动得热泪盈眶，说一定会好好读书，不会辜负大家的期望，以后学有所成，会回报社会，帮助那些像她一样
1699853509# #男子曾因车祸瘫痪在床，每天坚持手工编织篮子补贴家用，网友：身残志坚，加油陌生人赞
1697285002# #福建农村小伙画画太逼真，路人躲着走…绘画奇才赞赞赞
1687231909# #夹竹桃有毒，回家头皮烂了又找谁赔？
1691675713# #85岁的儿子给102岁的娘送包子，这个年纪还能有娘叫，还能有娘疼，是多么幸福的事，珍惜当下…
1697017532# #成蕾这种民族蛀虫，自此一生都会钉在耻辱柱上被人唾弃，不知道她有没有悔恨过？。。在春秋战国时期，郑国的太子建被郑定公发现做间谍，立马处死；我们所熟知的苏秦，被齐滑王发现做间谍，立即用车裂的酷刑将之处死。。我们终归是太善良了，唉…感恩戴德吧！成蕾被驱逐出境
1700022160# #纯血鸿蒙即将问世！程序员又变成香饽饽了。。近日，华为正式公布HarmonyOSNEXT，并且宣布不再兼容安卓应用。这给那些嘲讽“安卓套壳”的人一记重锤，原先大家觉得鸿蒙、安卓同时运行，App用起来和以往没什么不同。现下情况可不同了，彻底抛弃安卓系统，APK尾缀的文件将不能安装。。。手持华为手机的人，马
1689750654# #女儿暑假不放心行动不便的妈妈，陪同摆摊，孩子拿着纸巾期盼的看着路人…看到就买一包，又不是很贵，反正自己也用，众人添柴火焰高，愿世间处处有温暖比心
1691044041# #她又来了！韩红是明星中最耀眼的，不止捐款捐物，人还要到场…
1687342282# #小车上5名驾乘人员全部身亡，看撞击力度和车辆变形情况，驾驶员和副驾应该存活下来的。。除非是司机想自杀不寄安全带，撞方向盘上了。大家觉得这个是谁的责任？
1691840936# #她居然想到的是自己没法养老。。。。而不是自己做错了衰各大医院书记院长被抓后痛哭流涕
1702262944# #小男孩遇司机礼让，三次鞠躬致谢，你愿意为这个懂事的孩子点个赞吗？
1698814058# #学校应该取消所有与教育无关的任务，你赞同吗？女教师跳楼自杀家属称发求助后被踢出群
1694844833# #一分钟，40人！看大家从四处奔跑过来帮忙的瞬间几乎泪目…为善良的人们点赞赞
1696157407# #这位男子真是了不得，凭借一双巧手，绣出了一幅幅精美的艺术品，他也被称为“苏绣代表性的传承人”。国宝级的人才，心灵手巧，巧夺天工，能工巧匠赞
1701162547# #82岁老人过马路摔倒却“无人敢扶”，社会的冷漠到底是谁造成的？
1695862676# #一个公司走下坡路的10大征兆：。1、天天抓考勤，节约用电，用水，用纸；。2、核心人员大量流失，管理始终平庸；。3、大会小会天天开，做实事的人太少；。4、公司上下怨声载道，个个勾心斗角；。5、各种福利减少，工资延迟发放；。6、就算没有事，都要等到下班时间，员工心力交瘁。。7、老板说话不算话，不兑现
1700232652# #20秒！中国医护的速度！6岁女童突发疾病，武汉儿童医院女护士抱起40斤的娃全力狂奔。这样的护士，院长应该嘉奖她赞
1700133683# #白车好厉害，倒退拐弯不带犹豫的赞
1687489874# #上天给了他两次生命，他都选择报效祖国。他说：清澈的爱，只为中国。致敬每一位军人心
1688307085# #全国首位视障播音硕士毕业致辞，温柔而自信的声音，吹进每个毕业生的心里，同学们纷纷起立鼓掌！
1687412792# #有人说，你可尽情来甘孜，随手一拍都是画。。。甘孜的山水，充满了灵动的元素。他是舞动的诗，奔跑的色彩，拨动的琴弦。是比西藏更西藏的地方。。。甘孜州，不仅有神山、圣湖、冰川、草原、寺院、碉楼、藏寨、美女；金沙江、雅岩江、大渡河“两江一河”在此并流，雅拉雪山、贡嘎山、折多山
1702251045# #风雪中最可爱的人，海拔5000多米零下50度的查果拉哨所，边防战士把自己站成了一道美丽风景，致敬人民子弟兵心
1694087910# #9月7日报道，日本海域发生严重赤潮致百万条养殖鱼类死亡，损失超13亿日元，为“史上最严重情况”。网友：死掉的鱼怎么处理疑问日本核污染水已排海6100吨
1692963619# #中国的水产从业人员一样受到很大伤害，建议向日本提出赔偿！拳头日本水产行业哀鸿遍野
1702891296# #《东方甄选演义》。第一回：风云变新东方改弦更张。第二回：观星象俞敏洪挥师电商。第三回：献绝影孙东旭伯乐相马。第四回：震天下董宇辉被奉文曲。第五回：众拱月丈母娘挥金如土。第六回：嫌隙生小编辑指桑骂槐。第七回：枉凝眉孙东旭敲山震虎。第八回：星斗散丈母娘移师高途。第九回：遭腰斩俞敏洪叫
1692966423# #福岛产的海鲜，超市打出“骨折价格”，依旧被顾客遗弃！。。这才是核污染废水排海之后的第一天，日本人自己都不再吃福岛的东西，凭什么天真的想要欺骗全世界？福岛产品半价无人买
1692502514# #台湾回归是周总理最后心愿，他的部分骨灰撒进黄河口，与海潮共赴台湾。您觉得这个愿望还有多久能实现？台湾当归
1696989320# #连牢都不用坐，还有退休待遇…“北极鲶鱼”的爷爷，为何200天才被捞出？到底没收多少非法所得？为何没移送司法机关？含糊其辞只会让人觉得太便宜这条“鲶鱼精”了…官方回应北极鲶鱼爷爷处罚过轻质疑
1697412223# #著名作家莫言老师说:。“你买车了，发现有车也就那么回事；。你买房了，发现大家都有，。房子也并不稀奇；。你好不容易当上老板了，。才发现员工比老板牛气。”。我们习惯把幸福理解成"有",。有车、有房、有钱、有权，。其实真正的幸福应该是"无",无忧、无虑、无病、无灾。。有，多半是做给别人看的，。“无”才
1687100483# #儿子收到复旦大学录取通知书，第一时间给修车父亲报喜，父亲高兴的一晚上没睡着…
1687248820# #消防员从楼顶滑下死死抱住轻生女子，惊险救下。网友：为消防员捏把汗，你可知道.消防员也是爹娘的命根子可怜
1700631352# #“90后”小伙每天唱歌跳舞，终于用爱唤醒植物人妻子，不离不弃，已经陪妻子抗癌7年…婚礼上说的那几句誓词，他做到了赞
1697698747# #才4岁的小孩，就这样离开了泪海里漂了14天，做了海的女儿…可怜的宝贝一路走好，下辈子找个好人家！蜡烛海滩失踪女童遗体找到女童父亲行为是否构成犯罪
1694837290# #女孩不满父母包办婚姻，出逃青岛打工四年后父母欲强行带回，途经收费站时报警求助…什么年代了，还包办婚姻，愚昧啊！父母收彩礼欲包办婚姻女儿逃婚4年
1690590454# #没那条件就别硬学国外的草地婚礼了，还以为上坟的允悲
1696120508# #就是这位女子，凭借一手绝妙的手艺，十里八乡的酒席都请她主厨，每次一做就是几十桌！
1693361181# #深夜通报！鲁山“牛郎织女雕塑”事件，终于来了通报。另外有人对导游小黑实施威胁，曝光了他儿子的身份证号、家庭住址。究竟是谁有这么大的能量？也要好好查一查！鲁山县通报花700多万建牛郎织女雕塑
1698539369# #两位先生，千古流芳蜡烛
1701255363# #有网友发布视频，称此人带着口罩，在军事禁区附近拍照一个多小时，网友质问她时，她说是拍村里的致富路，她又不是附近村里的人，准备报警时，此人荒忙逃走。首先，为这位网友的警惕性点赞👍🏻，其次，感觉这个女人有问题…还是查一下比较好，大家觉得呢？
1689410183# #警察当街怒怼城管，为街边流动商贩发声。网友：这才是人民的好警察，心里想着的都是老百姓比心
1692850360# #对于日本核污水排海，汪文斌有句话说得极好：如果没有危害，没有必要排海；如果有危害，就更不能排海！。。不需要多检测，道理就这么简单，可有的国家就恁装看不见，其中还不乏太平洋沿岸的，比如美国、韩国、加拿大、澳大利亚。这样的国家，要么是集体失智，要么就是良心坏了…
1691900228# #14岁女儿给妈妈做好了午饭，妈妈却说：我是要表扬你吗？整这么多菜，网友：女儿会不会因为这事记一辈子啊可怜14岁女儿做好一桌菜等妈妈反被指责
1697811114# #杨迪可以不喜爱但请别伤害这个没必要杠，凡是没有证、不牵绳以及禁养的，一律扣捕，这个没错，不知道还要杠什么？。。其实这事儿很好办，只要所有呼吁停止捕杀流浪狗的爱狗人士，出资在各个城市建立流浪狗收容站并保证其运转费用，保证城市里没有流浪狗乱跑就可以了。别光刷嘴皮子，付出点行动…
1691849690# #老父亲心梗住院，送他来的儿子身上只有100多块…现在回家，总要开灯啊！听完泪目泪
1687873986# #小伙收到国防科大研究生录取通知书，第一时间跑到农田里给爷爷奶奶拆封！good
1692427682# #女子把钱装麻袋去银行存钱，网友：我连钱包都塞不满她居然用麻包装钱…
1692369044# #网红二驴账号被封禁这种直接抹黑一个城市形象的摆拍，仅仅只是封禁账号已经是便宜他了。。近几年短视频的火热，让许多处在这个风口上的猪都飞上了天，但是飞在上面的却逐渐忘记了自己本来的模样，掉下来那是必然的事情。只是或迟或早罢了。
1698060616# #女子遛狗未拴绳，狗狗被过往车辆轧死，女子狂扇自己耳光大声哭喊：“妈求你了！你不能死啊！”……
1690508752# #7月27日，天津。业主买房10年无房产证，上门找开发商被拒之门外。民警接警后到现场短短几句话获怒赞，这民警可以，为老百姓办实事赞
1691658570# #长沙一女幼师疑出轨学生爸爸，被原配发现后带出去游街，园方：涉事老师离职，已报警…女幼师疑出轨学生家长被抓当街游行
1688874085# #90后独臂小伙靠搬砖养家：我活着就要坚强地活着。愿生活善待每一个坚强的人！
1688962636# #重庆，男子接妻子下班来晚了，妻子直接扇了他一个巴掌，并让他“滚”！男子委屈极了，捂着脸头也不回地走了！妻子：本想他给我道个歉就算了，没想到他会直接走！男子：我是娶老婆，不是娶姑奶奶，不想惯着你了！。。妻子上班要求男子每天去接她，男子尽量一下班就往妻子那边赶。可是下班时间他也控制不
1688209743# #6月29日，菏泽成武，高考成绩出炉，一家龙凤四胞胎全部过线，同圆大学梦，父亲合不拢嘴，母亲激动落泪。网友：个中辛苦只有父母最知道！山东龙凤四胞胎同圆大学梦
1696929626# #患难见真情，结婚不到一年妻子检查出来白血病，小伙不离不弃卖房卖车，陪妻子与病魔斗争…
1689134379# #泪目！山东潍坊，男子看到一个拾荒老奶奶在路边捡瓶子，就把自己没喝完的矿泉水瓶给了她！可是老奶奶拿起来就把水瓶里的水喝完了，男子看到后瞬间哭了！妻子：1米83的汉子哭了一路，怎么也哄不好，他自责自己为什么没给老人拿瓶新的！。。原来，男子和妻子开车回家，他口渴就在车上开了一瓶矿泉水喝。可
1687950302# #为什么全世界都在种树相较3600万平方公里这个庞大的数字，伊利在阿拉善荒漠化地区种下的10万棵梭梭树所带来的100万平方米绿植面积或许只是沧海一粟。但这种以实际行动积极支持国家“种树行动”的行为是值得赞赏学习的。希望在“伊利家园行动”的带领下，各行各业都能行动起来，为了我们的下一代，共
1691723334# #湘雅三院举报信内容值得玩味种种迹象表明，湘雅三医院9名医生举报科主任孟婕一事，多半要凉。据医院方面的消息，对此事已经有了初步结果，但正式公布要由中南大学宣传部来发布。。迹象一：9位参与举报的医生，现在都不接受媒体采访。很明显是迫于医院方面的压力，而医院之所以施压，无非是想把举报中
1689219405# #路人上班路上遇到一位老奶奶，老奶奶称“家中的插排坏了，天气热的受不了没办法开风扇能不能帮忙安装一下”，到了家中老奶奶切开了不舍得吃的西瓜将插座安装好后老奶奶还要给钱，“愿善良的人都被世界温柔以待”🙏
1698034894# #官方通报执法人员开着巡逻车偷高粱22号白天不是偷，是维护秩序…22号晚上号已行拘，严肃追责…白天不是偷，到了晚上才是偷！隔着屏幕都觉得尴尬允悲
1694427142# #“行，对不起”…听到了吧，现在人家不缺钱了，金钱自由了，所以你们不要挑着挑那的，我在这直播已经很给你们面子了，不要不识抬举。反正这段话我是这么理解。。。“头痛到死掉，每天坐到这儿…”头痛到死掉，你可以不坐，没人逼着让你坐，你又不是白白坐到这儿，你不是也为了赚钱嘛，你有什么牢骚可发
1689467663# #“人民子弟兵来自人民，应该保护人民！”00后战士短短10多分钟里连救4人，一度拼到力竭…致敬！good
1691400593# #每次看都忍不住泪目！林俊德院士参与了中国所有核试验，生命最后时刻仍在为国工作。致敬国之脊梁！
1703718060# #请您停留1秒钟，为伟大的农业科学家袁隆平先生致敬！
1689730158# #男子创作油画《烈日》，细致到每个毛孔都清晰可见。网友：感觉下一秒会眨一下眼睛good
1697595723# #这一次，山东淄博又火出圈了！。10月3日，两位母亲带着孩子来到山东淄博游玩，但是晚上住宿的时候，发现酒店都客满了，孩子都在车上要睡着了。。两位母亲抱着试试看的心态，向派出所民警求助。。派出所民警热情地接待了，远到而来的游客，打了一圈电话，发现确实酒店爆满，就在孩子妈妈表示，没有地
1700966314# #丈夫去世18年，她一个人打工带大儿女，婆婆患癌，公公植物人，她不离不弃，她说：“我要是走了，俺爸俺妈怎么办？”泪为山东的好儿媳点赞赞
1697190796# #生死一线！女司机不顾生死，救下整车乘客！让人动容！悲伤
1704103579# #为救人的英雄点赞赞
1697077140# #没收的非法所得是多少？是九位数还是个位数？都对党不忠诚不老实了，也开除党籍了，还能享受二级科员退休待遇？北极鲶鱼爷爷退休16年后被捞出
1701839029# #小男孩和家人旅游途中突发疾病，路过女兵见状，抱着孩子朝部队医院狂奔。为人民子弟兵点赞赞
1691466940# #“她就说话漂亮，凭什么提拔她？”向乘客喊话的赵阳，被火速提拔进入管理层！而K396次抗击水害英雄集体每人获奖1万，同时择优选取7名编外派遣人员转为合同编制，给予乘警孙愉力诚同志荣记个人三等功一次！。。对于这样的结果，我大力支持！有功必将，没有寒了旅客和一线工人的心，各行各业应该效仿！。。但
1691112655# #近日，山东聊城，城管没收了老人的秤和三轮车钥匙后离开。。后老人报警，警察打电话把城管喊了回来，让城管把东西还给老人。。警察说：“现在都晚上10点了，你拔了他的钥匙，让他怎么回去？”。经过协商，城管将秤和钥匙都还给了老人。。老人欲下跪给警察道谢，被警察制止并扶起！。网友：这才是警察该做的
1688199122# #广东某工厂，允许员工带着孩子上班，厂内设有托管所，还聘请老师辅导作业，还会给孩子买零食…老板一回到工厂，就有一群孩子热情同老板打招。不少网友表示：人情味浓浓的老板，这样的老板就该他发财good允许带孩子上班的单位太幸福了
1703668857# #中国人透在骨子里的温柔…2023值得铭记的暖心瞬间温暖有你一份
1694063168# #男子穿短裙黑丝街边直播遭警察怒怼驱赶：不男不女穿个裙子，你觉得你正能量吗？评：这种不正之风就是要遏制，给这个警察叔叔点赞赞
1700828347# #拍摄于2005年除夕夜那时候的年味好重啊以后只能在视频里看到了..
1688981017# #高温天气下国旗卫士一站就是两小时纹丝不动，就是中途喝口凉茶随便调整下，致敬最可爱的人，你们辛苦了！🙏
1689306431# #家中起火孩子无助骑坐窗边，邻居徒手爬上外墙高台一把抱出，脱困后屋内已火光冲天。二人坐在夹缝中的画面，让人泪目……父亲想让被救女儿认邻居干爸
1692238953# #网友：晚上吃饭跟一个当医生的朋友吵了起来。我说医疗反腐是好事，要进行到底。当医生的朋友说：“你最好别生病，你一辈子都用不上医生！”我问他，你说这话什么意思？我说医疗反腐是刮骨疗毒，是势在必行的事情。他说原本好好的医院，现在弄得人心惶惶，天天这么搞，谁能安心工作。我说平时不做亏心事
1694448334# #看到一个评论:李佳琦，当年你上大学一年学费2万的时候，你妈妈付不起，是你妈妈不够努力吗？觉得79元眉笔贵是不够努力这话太离谱
1692868482# #韩国多个环保团体在日本驻韩大使馆前举行集会，强烈谴责日本启动福岛核污染水排海计划…不准放思密达，这次韩国民众还是有些骨气的！尹锡悦政府回应日本核污染水排海
1699853297# #这是钱学森和夫人蒋英度蜜月时的一张珍贵合影！拍摄于1947年。。那时候他们真是郎才女貌，令人羡慕，这才是才子配佳人，钱夫人太漂亮了。真的是郎才女貌心
1688351346# #男子与女子在河中嬉戏玩耍，突然连续将女子的头按入水中，网友：这可完全看不出是在玩啊…
1698901899# #普通人不会因为这个导致崩溃！可见助学金对他有多重要！一个孤儿再加一个建档立卡户，拿个一等助学金，还拿不到啊？？实在看不下去…伤心助学金事件当事人称已搬离宿舍
1697729215# #建议国家尽快出台法案：大型犬出门必须带坚固的嘴罩，不管有没有牵绳，如果违反规定的，不管是什么品种，名不名贵，见一只强制报废一只。。狗咬人已经发生好几起了，必须引起重视了。遭恶犬咬伤女童仍昏迷
1700964908# #被骗了大半生，才知道那些被阉割过的名言警句后半段才是精华：。1、可怜之人必有可恨之处。。完整版：可怜之人必有可恨之处，可恨之人必有可悲之苦。。。2、天地不仁，以万物为刍狗。。完整版：天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。——老子《道德经》。这句被误解了几千年的话，其本意却是表达
1696863911# #这位蹲着走路的妈妈，含辛茹苦养大了两个孩子，撑起了整个家，她积极乐观的心态也感动无数人…
1687586796# #我离职了5年的公司，打电话让我去领15000块钱，我以为是同事没事拿我开玩笑呢。。那还是在2015年前，同事李丽得了尿毒症，老公坚决和她离婚，治疗需要换肾，公司领导组织了捐款。离职前，李丽还和几个交情不错的同事借了钱，有的3000块钱，有的7000块钱、9000块钱，我借给了她13000。。我们朝夕相处了好
1692888874# #百万吨核污水，“难”住了日本……机智网友在线支招成人之“美”。这个处理办法，你觉得怎样？美国一边支持日本排海一边减少进口
1698120560# #众志成城，方能行至千里！央媒定调表扬：中国自研OS有了“双保险”！。。历时7年研发，小米澎湃OS正式开启「人车家全生态」，引爆中国科技实力新一轮热议。小米澎湃OS和华为鸿蒙路径一致，我国自研OS有了“双保险”，但是多年来有许多人只是单纯的支持小米或者华为，这些企业是市场上的竞争对手，但在中
1695081313# #工作人员用刀挨个划破电动车防雨棚？网友质疑其故意损坏他人财物，区城管局回应：电动车加雨棚属违法行为，按方案集中整治，该情况会向上汇报…
1699964997# #太牛了，不愧是中国速度！赞
1687649069# #网友总结的20条人生忠告，值得一看…。1、去别人家，只在客厅。。。2、多年不联系的朋友或同学发消息，当做没看见，不。。。3、朋友或同事请客吃饭，唯独没叫上自己，不提不问，不打听。。。4、请别人吃饭，一定要装的很大气；别人让你办事，一定要装的很难办。。。5、谁要是帮了你的忙，千万不要立刻还人情
1698912644# #17岁脑瘫儿子摆摊妈妈藏角落支持：想让他独立，有一技之长。这个妈妈好伟大，教会孩子生存的本领，比给他留多少钱都强👍17岁脑瘫少年卖爆米花母亲婉拒捐赠
1698047849# #我渴望的婚姻是：下班一起买菜，回家了一起做饭，饭后一起散步，一起看电视，一起去旅行，一起爬山，一起孝顺双方父母，一起善待我们的孩子，没有谎言，没有欺骗，没有背叛，相濡以沫一辈子🙏（网友分享）有的人离婚证都四本了章子怡汪峰我们决定解除婚姻关系
1701676494# #千年传承八段锦完整版来啦，每天跟着练就行啦，千年养生功话筒八段锦一个动作就是一味药
1694668246# #男子火车上嘴贱惹众怒被大姐单手锁喉按墙上：你想干嘛啊，道歉！。他在这里侮辱中国人，我们全车厢的人都能作证！
1693113265# #越是穷人家的孩子，为何成熟的越晚？这是我见过一篇分析很透彻的文章，其中一个观点非常认可，穷人家的孩子早当家实际上是只掌握了一些基本的生存能力，和翻身关系不大，他们忽视了对别人心理的理解和控制，很多人情世故都不懂，甚至是内心充满了鄙视，不懂人性又不善于表达，以至于真的很难翻身。
1692922402# #日本单方面强调，核污染水经过多层工序处理和稀释后，其放射性物质的浓度已经远低于国际放射性安全标准，已经能够达到直接饮用的标准。既然这样，那你们自己自己将处理过的核污水喝了吧！核污水排海最严重影响是致畸
1687851497# #公益v探访全球最大、海拔最高水光互补项目——雅砻江柯拉一期光伏电站正式投产发电。该项目是全球最大、海拔最高的水光互补项目，年平均发电量20亿度，每年可节约标准煤超60万吨、减少二氧化碳排放超160万吨。甘孜州清洁能源发展大会
1690019316# #那么多人都爱着熊猫七仔熊生赢家七仔，五个老婆两个娃，堪称熊猫届的”韦小宝“。大老婆珠珠和二老婆正正，分别为七仔生了两个娃，不过两个娃都没有继承七仔的巧克力色，随了妈妈的高颜值。一起来看看大熊猫七仔和他的老婆孩子们。记得一起来守护熊猫七仔，守护国宝大熊猫呀~熊猫守护者
1687242398# #女幼师给幼儿喂避孕药，反转！！！居然是男的。。一开始刷到这条新闻时，真的很震惊，以为真的有幼师做出这样惊世骇俗的事情。没想到一会儿功夫就出现了反转，冒充女幼师在网上胡编乱造…事发后，立刻注销昵称，但是没用，现在在网上想查你太简单了！男子造谣冒充女幼师给幼儿喂药被刑拘
1704161243# #70岁老大爷弹跳力不输年轻人！这动作像是武侠照进现实，地上的影子证明了真功夫假不了赞
1692064922# #网友遇韩红老师现场眼含泪水敬礼，每次在群众需要的时候站出来，网友：先生大义，这才是我们该追的星！
1698739197# #最近有大批的人要求要关闭电商重振实体经济，让人们回到从前熙熙攘攘的热闹中，他们认为只有实体店重新兴旺起来，繁荣的市场才能增强人们的信心。此外，这也能够提供更多就业机会，提高就业率和人们的收入，而不是让个别平台的头部主播独揽大部分收益。你支持取消直播带货吗？李佳琦谈未来两年规划
1702980800# #这些年，哪里有灾情，哪里就有鸿星尔克。实际上这家国产企业，本身的实力并不是最为雄厚的那一批，但是人家做善事的时候，那是一点都不手软。每次必然是冲在最前面。。鸿星尔克这样的企业，才是真正的民族企业，为这样的企业点赞赞鸿星尔克又捐了2000万鸿星尔克直播间回应捐款
1700701538# #11月20日，广东东莞，因见男孩深夜翻垃圾桶，女子把家里攒的瓶子都拿给他，“看到他三次了，挺可怜的”…网友：靠自己的双手，他值得尊重，加油拳头
1694422765# #这是华为公司内部的海报，出乎意料的是，他们没有介绍自己有多牛，自己的经历有多么坎坷，而是介绍了中国微电子专家黄令仪，黄先生的一句话：我这辈子最大的心愿就是匍匐在地擦干祖国身上的耻辱！黄先生的精神，令人动容！华为这么尊重这样一位专家，就不难理解现在他取得成就！华为财神爷上香
1697457828# #高速公路竟然逆行还带着孩子，吊销她驾照是好事…即使这样了，这个女司机还是没有意识到事情的严重性！这个才是最关键的！
1690728193# #男子坡路停车忘拉手刹，车上还有两个孩子，的哥赤脚狂奔跳车救人…
1693740073# #爸爸当着孩子面对妈妈动手，妈妈深夜回家看到女儿的纸条崩溃大哭，“你离婚了我跟你如果你放心不下弟弟，我也可以跟爸爸，不要勉强自己”…女儿留的纸条让人心疼……可怜
1698820590# #巴勒斯坦画家用ai画了在巴以冲突中遇难的2913位儿童！巴勒斯坦儿童向普京求救
