1697470459# #林耘丨特别提醒：这三个因素对A股现状影响比较大
1700652966# #北向资金22日北向资金减仓！比亚迪净卖出额居陆股通十大成交股之首，金额为3.47亿元。
1698649635# #林耘丨“中”字头调整，A股反弹得以延续，全靠这两大板块力挺！
1698679961# #野村这份研报够野，火上浇油！野村辜朝明：如果紧缩政策不起作用，美联储可能会被迫采用“冲击疗法”。
1698417341# #酒鬼酒爆雷！其2023年第三季度净利润同比下降77.65%。从其走势看，场内主力机构心知肚明，一直在出货。
1702559467# #这是给所有人二次上车机会，但不是每个人都有条件参与和有能力参与，有的是因为……有的是因为……
1702857781# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1699491905# #再融资加了五道“杠”。
1702094071# #最近广州连着抓人。广州市原副市长王东涉嫌严重违法接受监察调查。。。2012年1月到2021年12月，当的广州市副市长，更早则是广州规划局局长。
1697167839# #京东，最近溃不成军，被拼多多无情压制，知道为什么吗？巴菲特讲的，零售企业商业模式护城河形成极其不容易，溃败却防不胜防。中国经济的本轮调整，最容易分清楚的就是从身边的消费者行为去感知。小区疫情期间兴起团购，小区门口红红火火的超市随之门可罗雀，尤其是水果及海鲜档。小区附近一个大型停车
1697422703# #邓爷爷说过，不行就关了。该考虑一下了。
1700636851# #a股大视野又是尾盘跳水，资金出逃！今日两市合计成交8755亿元，3999家个股下跌，跌幅超过5%的愈80家！北交所交投火爆，沪深股则失血信心不是，主力资金净卖出455.60亿元。
1701492590# #我发表了头条文章:《拼多多成功“超车”阿里巴巴，对华为比亚迪未雨绸缪有何启发？》
1699602864# #a股大视野赛力斯今天的交易数据：总成交金额108.4亿元，主力资金净卖出17.84亿元，跌幅8.43%在整车板块中独占鳌头，可以洗洗睡了。
1697280992# #仔细想了想，避重就轻！注册制新股IPO战略配售锁定期内可以转融通这个漏洞并没有完全堵住，仅仅是核心员工持股部分不能转融通了，券商及基金持股依然可以转融通，IPO定价过高和转融通“定向”输送利益的问题没有解决！不肯改，间接说明利益很大吧。
1700186432# #惠聚周年庆Hello！我的秒杀专场来啦，10点至19点，每个整点限量发放5张秒杀券，去订阅页抢我的“双11底价秒杀券”，全年订阅最低价，拼手速先到先得，点击订阅↓&nbsp;↓&nbsp;↓苹果ios用户支付方法：
1697076742# #a股大视野救市不能蛮干，蛮干必定好心办坏事，被某些人利用了。此轮救市，比2015年那次更难，而想救出效果，必须针对病根下药。
1697082889# #干预市场，也就意味着干预投资逻辑，必定是有人欢喜有人愁的。今天早盘能源金属、整车搭上金融快车，而tmt、泛AI方向，泄了。
1699871921# #中国期货业协会党委书记、会长安青松被带走。前几天，原中国证券业协会会长、银行证券董事长陈共炎被查。蟑螂只要发现一只，必定是一窝一窝的，老辈人诚不欺我。。。人中龙凤了吧？没啥意思！
1700669184# #记录一下：北证50暴涨8.43%，“双创”创业板、科创板跌到喘不过气儿，同一片蓝天下，居然如此冰火两重天。
1697808659# #三季报业绩不达预期，“见光”后北向资金继续大手减持宁德时代，净卖出位列沪深股市第1名，股价创出阶段新低。交易所公布的沪深港通十大成交股显示，长江电力、天齐锂业、工业富联今日分别获净买入2.43亿元、2.36亿元、2亿元。宁德时代净卖出额居首，金额为7.63亿元。
1699584755# #V+立享8折！VPlus双11惠聚周年庆来了，成为我的真爱粉解锁更多精选内容，抢完即止！速来领取，订阅后领现金红包，100%中奖（最高可中888元）↓↓↓
1701759934# #林耘丨3000点攻防战，何去何从如何是好？
1699499391# #投票：贵州茅台11月1号起53度飞天等产品出厂价提价20%，问2024年元旦贵州茅台53度飞天终端零售价是涨是跌？
1700991997# #华为X长安汽车，一起上路。。。1、传言成真，华为拟设立一家从事汽车智能系统及部件解决方案研发、设计、生产、销售和服务的公司；。。2、长安汽车捷足先登获得入场券，长安公司拟投资该目标公司并开展战略合作；。。3、愿景：双方共同支持目标公司成为立足中国、面向全球、服务产业的汽车智能系统及部件解决
1698128961# #林耘丨为什么说看得见的下跌最适合大家坐下来想想办法！
1699609571# #林耘丨一周激战多空谁主沉浮？数据和逻辑来说明！
1701061959# #隆基绿能炒高到72元再跌到今天不足22元，几个人猜得到？高调如高瓴资本如果不是借道转融通跑路，张磊会不会不敢见投资人？
1697430078# #a股大视野林耘的投资日记20231016星期一，午间收盘：指数全线下跌，部分品种创下新低如深浅指、中证100、沪深300、上证180等，偏向于权重股方向；沪深两市合计成交5253亿元，略有萎缩，个股涨跌比约9：16落后；采掘、贵金属、水泥建材、军工、港口运输等上涨，能源金属、半导体、电池、电子元器件
1702004610# #张朝阳建议年轻人严肃对待人生张朝阳建议年轻人要早起物理老师张朝阳，庐山归来不看云，三观很正赞问题是：年少不轻狂，枉为少年人！灯红酒绿，光怪陆离，被洗脑，被鸡汤，渴望突破圈层，又渴望享受人生，现在的年轻人哪那么好劝啊？。。随缘吧，各自造化。
1701046483# #华为为什么分拆智能车BU与长安汽车合组公司？留给华为余承东的时间不多了。小鹏汽车发布公告称，已与滴滴完成首次股份交割。根据双方此前签署的股份购买协议，小鹏汽车已向滴滴配发及发行5816.42万股A类普通股，作为首次对价股份，占小鹏汽车按经配发及发行首次对价股份后已发行股本约3.25%。。。下一步
1699615138# #证监会抓了个管巡视的。
1701836598# #
1699929601# #有个哥们讲，他的老领导一个个被抓进去了，希望到此为止。。。怎么可能？高潮时必须上只大老虎吧？
1700047273# #今天亚太市场股市表现，恒生国企指数上涨4.02%、恒生指数上涨3.92%，力压日经225（＋2.52%）霸榜，A股表现则相对逊色，尤其是科创50逆势下跌0.24%。
1701360337# #马斯克极可能加速推进X手机计划。导火索之一是苹果最近取消在X平台上的广告投入，让马斯克担心来自苹果AppStore的危险。他说理论上他们可以随时关闭我们。苹果在AppStore上对我们的影响力是一种生存风险。。。X手机横空出世，除了防止对苹果过度依赖的风险，另一个作用，特斯拉在迎战华为“车计划”
1702256533# #这次抓的人不会少，破的案子不会少，处罚惩办不会轻！短期利空庄股及无厘头炒作，中期可视为重建市场信心行动的一部分。
1697808304# #拉高出货，完美操作！欧菲光公告，自10月12日至10月19日，股东合肥建投通过集中竞价交易方式合计减持公司股份3003.52万股，本次权益变动后，合肥建投持有公司股份1.63亿股，占公司总股本的4.999998%，不再是公司持股5%以上的股东。
1697122806# #林耘丨前车之鉴：A股政策救市的历史比较。
1700705624# #贝莱德退出A股，却选择在港股举牌万科，这是个再清晰不过的信号：政策高频加码，外资反手做多，再要咋样？继续在在井底蛙鸣么？
1698020442# #7天期逆回购操作，中标利率为1.80%。利率会一直被压至“最低”，无论美联储如何操作。
1700713312# #微博电台计划
1700724165# #摩根士丹利中国首席经济学家邢自强说：中国房地产投资占GDP的比例从11%降到6%，已经低于世界平均水平，甚至低于日本（日本今年7.4%）。。。日本这个指标从双位数降到6-7%，花了20年时间，我们花了3年时间。。。其实，更纯粹的指标比如成交量，从峰值到现值的下降幅度，我们也是用3年时间完成日本20年的调整
1697764656# #美联储主席鲍威尔：美联储将“谨慎行事”，但也为加息敞开大门。
1698804808# #刮骨疗毒，不计较一时得失，或有希望……
1697503630# #高盛报告说“国家队”自8月份以来一直在买入主流宽基ETF来支撑市场，没买具体个股是怕形成关联交易甚至是存在“道德风险”。单就托市效果而言则需要继续努力，昨天包括中证100、沪深300、深成指、创业板指等至少已经有10个重要分市场指数创下阶段性新低了。
1698460177# #克强总理的硕士论文指导老师萧灼基教授说过：如果有机会向总理建言，我一定要说“三个不要轻言”，不要轻言经济过热，不要轻言房地产泡沫，也不要轻言人民币升值。
1698975043# #a股大视野集合竞价：小幅高开，个股涨跌比约5：3。领先，人形机器人主题受追捧，游戏、整车、减肥药，回调。。。隔夜美股反弹势头不错，早盘港股跟涨。
1701829042# #代表上海“五大中心”之“航运中心”的新股C锦江，表现欠佳，上市次日早盘下跌7%。
1698129947# #a股大视野中国股市必须守住就问您A股5000多家股票，有多少家值得信赖？
1697511755# #拉了“渣男”，谁干的？
1698717253# #说个冷知识。比亚迪看似风光无限，实际上是靠加杠杆干上来的。刚刚发布的三季报显示，比亚迪负债4822亿元，负债率77.37%。如无意外，比亚迪明年或后年还会大毛笔再融资，靠你们出力了。钱，准备好了吗？。。难怪巴菲特选择见好就收。
1698812473# #微博电台计划
1697963098# #老胡深夜发飚！新股民亏了几万块钱，这就输急眼了啊？淡定，来日方长。
1698756397# #中建系杀疯了！中海联手以240.16亿元拿下今年上海地王，回马枪，今天中海和中建东孚又拿下北京丰台郭公庄“双子地块”，合计金额130.3亿元。。。楼市行不行？答案可是有人行，有人不行。
1699856039# #林耘丨为什么说关于ipo的那个传言不太可信？
1702783889# #一家小公司，一点小破事儿，滥用社会关注度，一切的一切，不就是为了加粉丝卖货么？戏演过了就成恶趣味，辱没斯文。
1698324307# #怪事儿了，如此猛烈加息，美国第三季度GDP增长4.9%，创2021年第四季度以来新高。
1700359768# #马斯克的星舰，二次发射失败，但依然是人类壮举，虽败犹荣。比那些个抄作业拼组装，整些原地掉头、水上漂的强太多。。。马斯克的主攻方向，都是突破性创新，更难得更厉害的是没见其卖情怀。。。真的是遥遥领先！
1697684363# #与其在邪路上狂奔，不如刮骨疗伤，好好清算一下，虽然很痛。
1700652744# #第二弹：深圳市住建局调整享受优惠政策普通住房认定标准，取消了750万元豪宅线。另外双证合一继续放宽。
1698901630# #a股大视野林耘的投资日记20231102星期四，午间收盘：北向资金推动权重股护盘，题材炒作集中在游戏、文化传媒、影视、整车和汽车零部件上；下跌方向，酿酒后劲不足，新能源信心不足，电子化学品和半导体基本面存变数；个股则跌多涨少，华为概念股拉高出货套人一气呵成！。。至于成交量方面，很是问题
1698909838# #林耘丨上交所恢复6家新股审核说明3000点稳了吗？不一定！
1699065027# #基金为什么敢于放肆抱团恶炒？牛散为什么敢于“无脑”拉板？股民基民血亏为什么没人同情关心问问为什么？公募基金史无前例巨额亏损影响百姓生活日常、大牌基金经理人均亏损过百亿为什么无人被问责被追究？究竟是为什么？。。都装聋作哑默不出声真的好吗？
1701734581# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1702865037# #a股大视野比亚迪，本栏一早分析过，从政策驱动、产业格局、品牌定位、商业模式、营销手段、股市估值、投资者情绪等等角度反复推滨过，当下如此走势，符合预判：沿着市场阻力最小的方向东南飞。。。归根结底，没看出老王有本事继续独占新能源汽车国内市场30%份额。
1701058826# #
1697611515# #所有坚持，屡败屡战，都是因为这里是咱家，不希望一败涂地一无是处，所以选择倔强。
1698663366# #三季报披露，比亚迪股东数据天翻地覆，北向资金增持17.91%，机构则大肆减仓，持仓机构由1005家减少到371家，持股数由3.84亿股减少到8822.35万股；A股股东人数由33.14万人增加到35.85万人。。。比亚迪是今年机构重点减仓的票儿，公募基金三季报已经披露完毕，板上钉钉了。。。业绩方面，比亚迪股份在港交
1702446055# #我发表了头条文章:《老窖x老罗，旺季带货低至2.1折，白酒拐点向下昭然若揭！》
1696562185# #皮带倒掉，代表一个时代的结束。纸醉金迷，好大喜功，内外勾结，背刺百姓。。。公募裸奔，同样是一个时代的结束，高收入，高增值，高回报，都是过去式。辛勤工作，量入为出，于平凡中感知生活之细水长流之见微知著之四季轮回万物更替。。。与过往说声：谢谢！说声：再见！说声：无怨无悔！
1697716478# #北向资金今天贵州茅台大幅低开，果然是北向资金干的。交易所公布的沪深港通十大成交股显示，长安汽车、美的集团、药明康德今日分别获净买入8.09亿元、1.28亿元、9972.09万元。贵州茅台净卖出额居首，金额为15.51亿元。
1697160695# #a股大视野林耘的投资日记明显跐空低开，沪市舟度失守3100点整数关，行业板块仅电力行业微红，保险行业跌幅第一，个股涨跌比约1：6显著落后……这一切都验证了我们的判断：汇金增持四大行应该，但这一次救市难度非常大。
1700720589# #所以，为了挣个三瓜两枣，付出价值观的代价，不值。
1702643085# #.证监会发布《上市公司现金分红指引》提高投资者回报水平。。。倡导现金分红，重视真实回报，这是对的。真要见效，还得有“红线”规范、约束公募基金投资行为。公募基金积极参与了，既是引导，也能立竿见影。
1697367432# #各方利益捆绑交集，制度漏洞补不了，只是打了“补丁”而已。具体讲，IPO公司核心员工做点小牺牲，转融通融券方提高一点点资金成本，挂牌上市头5个交易日象征性限制一下，其它的“马照跑”“舞照跳”，白白浪费了一个提振投资者信心的危机公关机会，可惜了。
1700613090# #知道差距了么？赵长鹏将同意认罪并辞去币安交易所CEO职务。
1697209095# #自媒体，请多多发声！团结就是力量，與情可以影响IPO进程，上交所明确表态：IPO在审期间，重大舆情需报告。
1702181303# #大嘴一惊一乍的，太不任正非了哈哈哈哈哈哈
1698760282# #A50有点迷茫，人民币汇率小幅贬值。
1701411059# #重磅！盘中出消息，厉害了！中字头买ETF借道进股市了。
1701237195# #我们太顺，太强，两代人没有经历过真正的大调整。
1701607727# #汽车消费，真是消费，需量力而行，不可寄予不切实际的期望，这玩艺，费钱！跟房地产，根本不是一回事儿。
1700924100# #欧洲议会表决以291票赞成，274票反对，44票弃权的结果，通过废除“一票否决权”的法案。。。大件事！一票否决制在利益诉求千差万别的“大群”里，事难成。
1697443114# #外资行日子也不好过。
1697593241# #拜登提升芯片限制级别，A股当利好还是利空？
1697594110# #金山办公，名不虚传，基金经理背着“金山”办公办不公——吃了一U肚子“大小非”，社保也有份儿。
1699753638# #【举一反三】10月份cpi由正转负，主要是拜猪肉价格同比大跌30%所赐。猪周期如此紊乱，未曾有过，问题出在哪里呢？
1699340052# #ipo的门收窄了，但重组的窗大开。放开让炒重组，要的就是一切皆有可能。。。明年生肖龙年，近期市场炒作“龙”字辈，有个哥们相中了龙头股份，居然效果还不错。。。无厘头，周星驰战法，也就咱们A股擅长。
1698589739# #委以重任！
1699420790# #行业大洗牌，每次都会倒下一大批企业，没有例外的。当年家电业就是这么过来的，很多著名企业倒下了，摩托的轻骑、空调的春兰，都退市了。
1700462475# #靠商业模式成为赢家的，其实并非永续有效，往往只是某个阶段而已。。。苏宁国美曾经是无敌的存在，搜狐新浪也曾经雄霸天下。。。那些个口口声声看中某某公司商业模式的“布道者”，万里挑一看中腾讯又如何？照样腰斩。。。所有认知都是有有效期和对应场景的，也都是可以推倒重来的！
1697526612# #今天指数维持住弱反弹，成交金额又创下汇金增持四大行以来的新低，仅仅7353亿元。个股涨跌比约为3：4，比午间收盘时有所改善，但个股跌幅榜则进一步恶化，跌幅超过5%的个股愈百家。炒完被弃或破位下行的品种成为重灾区。
1698293954# #a股大视野能四水市，前路漫漫。二选一，选了阻力小的走势——继续调整。早盘沪深两市合计成5367亿元，个股涨跌比约1：3，北向资金小量净买入，主力资金大肆净卖出。港股也弱。
1697450201# #林耘丨抱团炒作配合转融通定向融券，“一鱼多吃”“太香了”！
1700052017# #大模型直接抄袭，被发现还理直气壮，这都可以？
1700286421# #林耘丨破冰管控风险，不战而胜关键看经济。
1698390792# #下大单了！
1697007406# #林耘丨“千亿公司”就长这个样子？不怕乐极生悲吗？
1698758773# #会议强调，要全面加强金融监管，有效防范化解金融风险。切实提高金融监管有效性，依法将所有金融活动全部纳入监管，全面强化机构监管、行为监管、功能监管、穿透式监管、持续监管，消除监管空白和盲区，严格执法、敢于亮剑，严厉打击非法金融活动。及时处置中小金融机构风险。建立防范化解地方债务风险
1701045362# #前不久去北京三里屯，在地下停车场兜兜转转，根本就找不到车位停，认怂退出。不知道无人泊车有没有认怂模式哈哈还是会认死理彻底堵死算完酷
1698410851# #万科董事长郁亮、CEO祝九胜奖励要跟万科股价表现挂钩了！。。万科三季报没什么问题，开发业务交付少了而已，张海在10.20媒体交流会上“透露”了的，4季度会补上。万科经营服务性业务稳步推进，连最难盈利的泊寓也盈利了。接着，印力、万纬物流、泊寓三箭齐发，借道REITs融资，解决万科资金缺口，满盘皆
1698030684# #今年4季度开始，银行业要过苦日子了，而且时间不会短。
1698215664# #a股大视野宁德时代会写下大写的“A”么？三季报披露完毕，未止跌，未来一、两年行业竞争格局刀光剑影，先发优势及规模优势逐渐被同行缩小，月K线组合向下突破了。
1702009378# #
1702345143# #a股大视野林耘的投资日记集合竞价：1、指数小幅低开，保险、证券回调；2、个股涨跌比约5：6，推出回购计划且大股东同步增持的保利发展大涨5.10%，个股杀跌有所收敛，ST类个股出现在跌幅榜前列；3、隔夜美股小幅上攻，早盘港股跟进，高开。。。看盘印象：昨日反弹为后市企稳创造了条件，轮动仍是基调
1701753979# #利空白酒！明年3月1起，饮酒驾驶的上限从50mg/100mL降低到了20mg/100mL，意味着隔日酒都有可能中招哦！
1700195031# #微博电台计划
1700104240# #市场在调整姿势。
1701915139# #港股招商银行大跌4.33%，领跌银行股。4大行如工商银行、建设银行、中国银行、农业银行也在走弱中。最近杀疯了的穆迪随后调降内银股信用评级看来是大概率的事情了。
1698460972# #据说这是到场观众平均年龄最小的房企产品发布会。万科归来，在户均“大平层”的北京为年轻人建造紧凑型舒适小窝。
1698979116# #万科10月份销售额，标普点赞！评级机构更加珍惜羽毛，比券商、外资行靠谱得多，恒大碧桂园融创……最早发出警报的都是三大国际评级机构。。。的确，房地产行业困难重重，无数政策利好加持之下表现大如人意，但万科后发制人、渐入佳境。
1701006218# #新开工面积直接降至2008年水平，近3年降幅直接腰斩。如此垂直下探，放眼全球，貌似找不出第二个可比案例。。。往小了说，“中植系”爆雷与楼市溃败有一定关系；往大了说，就业、税收、基建、消费、银行、信托、股市……都要陪绑，一如之前的鸡犬升天，不过，要反过来。。。活下来的，太阳照样升起。
1701948515# #比亚迪选择亚马逊云科技作为云服务提供商，也没选华为云。
1701235794# #美团第三季度净利润同比增长195.3%，开盘低开8%，现时下跌12%，股价击穿百元大关直奔下一个整数关。为什么？就因为美团核心业务受到抖音等群狼围攻，怀疑美团会成为下一个阿里巴巴。。。存量市场，穿鞋的都怕光脚的。。。美团以前是做加法，搭完架构，把别人家的业务一块块抢过来，现在反之。
1700833243# #说是建设银行昨天召集万科、龙湖、美的置业、新城发展、滨江集团、大华集团6家房企召开座谈会，拟进一步支持房企融资需求。交通银行则约了8家房企下周开座谈会。。。看来，银行开始听话做事了，能入银行法眼的一是入选“白名单”，二是风险可控。对于各家银行而言，箭在弦上，早动手，更主动。
1696906191# #给浙江国祥当保荐机构的上海滩某券商突然出现多位高管辞职，什么意思？。。涉及4名高管，包括1名执行董事、首席经济学家和2名监事。
1699705191# #产能过剩，绕不过去的魔咒，光伏设备如此，电动车亦复如此。领跑一程未必能笑到最后，抱了大腿也是一样，不是就一路顺风。。。几乎是宿命的，几十秒钟就能生产一辆车，供应一定远超需求。。。明、后年见。。。所以，巴菲特根本不用看大结局，看概率即可。
1701944334# #林耘丨穆迪连续出招，股市调整如何应对？
1698933104# #媒体文章标题：逆势吸金！科创50、沪深300ETF今年以来资金净流入逾1700亿元。。。是不是有点热血沸腾，要奋不顾身了？且慢！看一下沪深300、科创50走势，今年以来一直都是大跌小弹趋势向下酷。。问题来了：为什么广告宣传如此诱人实际疗效却是不堪入目？。。哪里不对头？。。单单本周，大小非解禁规模就超过
1701820981# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1697512644# #有没有科学道理？
1701414374# #林耘丨盘点一下影响年底股市走势的多空因素。
1700808379# #a股大视野比亚迪破位大跌，机构倒货坐滑梯，散户砸锅卖铁拿盆接，10亿级别赌注，鹿死谁手？
1697540143# #浙江国祥就是全链条造假，每个环节都参与造假。其实浙江国祥最早想在科创板上市，被抽中现场督查，没过，忍了两年，转道沪市主板，差一点点被其蒙混过关了。
1696832237# #下午2点钟起，港股恢复正常交易，沪深港通各施其技，北向资金减仓了约15亿元，南下资金净买入了约3亿元。
1701646159# #话筒
1698800505# #中金点评：我们从统筹“发展与安全”出发，多个角度理解“中国特色金融发展之路”。。。金融市场和金融机构的发展目标进一步清晰。在资本市场方面，提出“更好发挥资本市场枢纽功能”，提出了“推动股票发行注册制走深走实”、“发展多元化股权融资”、“大力提高上市公司质量”、“培育一流投资银行和投
1702625163# #林耘丨北京上海楼市收到政策“大礼包”，股市可以借机转强么？
1698714187# #隆基绿能也不是白跌的，三季报有点惨。
1702693856# #剪枝！收缩战线，备足粮草，大公司的公同选择。当地时间12月15日，美国证券交易委员会文件显示，淘宝中国控股有限公司（TaobaoChinaHoldingLimited）计划售出2500万股小鹏汽车（NYSE:XPEV；09868.HK）的股权，总价值约3.91亿美元。。。虽然不是最好的价格，但对于阿里巴巴而言，仍然是合适的时机。。。
1699443280# #定了！沪深交易所适当收紧再融资。以变应变，你们说上市公司会怎么做？
1700453980# #人民币汇率狂飚，长驱直入收复7.18关口了。今天人民币如此大涨，触发因素应该是中国央行11月份1年期及5年期LPR“按兵不动”。。。做外贸的麻烦了。
1699581970# #股市成这样子令人心痛，可惜了！对付网络谣言和场内黑手，差点意思。
1699238407# #放量可以，5000亿元了！板块活跃度也还可以，游戏、文传、证券、新能源、医药、地产……北向资金、主力资金都是净买入，个股涨跌比也还行，指数强度还差点意思，白酒居然没喝醉。。。港股边鼓锤得震天响。
1698372135# #何为“城门立木”？相当于让电信诈骗犯公然在A股场内随意打电话，立招牌，大做广告。
1696768992# #申真谞棋风大变，不再追求不战而屈人，关键时刻绝不手软，继杭州亚运会送柯洁“刀把五”，屠杀杨鼎新超级“大龙”之外，申真谞在今天举行的围甲第三轮主将战中，再次擒获杨鼎新“大龙”而取胜。。。不再斤斤计较AI胜率，不再避战求稳，兑变后的申真谞，更加令人生畏了！。。柯洁今天跟年轻小将交手，胜率
1697540895# #业绩靓丽，比亚迪明天是涨是跌？比亚迪发布业绩预告，预计前三季度盈利205亿-225亿元，同比增长120.16%-141.64%；第三季度盈利95.46亿-115.46亿元，同比增长67.00%-101.99%。
1697188593# #节后市场成交量回到8000亿元以上，除了北上资金略有回补之外，靠的是两融加杠杆。
1698043838# #20cm跌停！
1700704080# #a股大视野比亚迪比亚迪创下19个月新低，失守230元／股关口，其走势反映新能源汽车竞争格局变化，本栏早有预判，提示过风险。。。北向资金高仓位下减仓，巴菲特启动新一轮减持，均代表大资金做出了抉择。
1696927697# #林耘｜“中”字头基建类公司为什么突然“跳水”？
1698588226# #下周（10月30日至11月3日）有75家公司限售股陆续解禁，当期解禁总市值为1237.24亿元，环比155.58%。。。每周都上演的戏，增量资金跟得上大小非解禁维持市场动态平衡吗？
1698202688# #基金超话a股大视野有个哥们银行卖基金的，本来已经退休上岸，日子逍遥。不曾想最近被上司叫回去，说是买了他卖的基民来银行搞事情，谁卖的谁负责。问题来了：估计这哥们什么时候能全身而退？
1700791584# #A股机构既怕市场投资主线变化，控制权受危胁，又怕地产复苏分流股市资金，小算盘门清，格局太小。
1699584651# #问界＋智界＋遥遥领先，谁会是华为的主要对手？谁会是最大输家？
1702095514# #多多在今年“超级碗”投放的广告极其煽情：Shoplikeabillionaire，60秒1200万美元。
1698679763# #中东这么乱，油价稳不住，“三桶油”还得调。
1701317209# #林耘丨楼市的出路在哪里？房子积压，不建新房行不行？
1697765943# #a股大视野林耘的投资日记20231020星期五，集合竞价：1、指数全线低开，沪综指跌破3000点整数关报2995.36点，下跌0.35%；2、个股涨跌比约2：7明显落后；3、隔夜外围市场动荡，原油、黄金继续上涨，美元强势，人民币示弱，美股下跌；4、港股早盘小幅低开。。。消息面：10月LPR报价出炉，1年期和5年期
1697035030# #今年4季度银行业日子不好过，别的不说，单是存量首套房降了贷款利率，爆雪房企业相关产业链风险显性化，以及地方ZF融资平台问题重生，就够头痛的，不排除业绩负增长的可能性，包括四大行。
1697430207# #微博电台计划
1698120044# #a股大视野林耘的投资日记20231024，星期二，午间收盘：1、A股小幅反弹，题材股冷门股表现活跃，权重股差点意思；2、分市场指数不同步，上证150、双创等尚可，上证50、中证100、沪深300均逆势下跌；3、个股涨跌比约13：2遥遥领先，茅台五粮液宁德比亚迪下跌压称柁；4、两市合计成交5170亿元，略有
1700716589# #这一次注定是深圳改革以来级别最大的一次洗牌：有人更上层楼，有人择机捡漏，有人解甲归田，有人衣锦还乡。深圳住房自给率太低，尚处于深一代打拼为家族“立桩”阶段。
1699414709# #万华化学拟控股铜化集团，关联公司六国化工、安纳达“一”字涨停，吓坏了万华化学老股东，股价大跌创新低。早盘万华化学位列上证50成份股跌幅第一名！。。热衷炒作重组，价值投资者恶梦！
1701308866# #你们捅了马蜂窝，被包围了！北交所大小非开始批量公告减持方案了。
1701132784# #北证50近1个月涨40%还能上车吗皆大欢喜，北交所“大小非”被澈活了，大股东套现了！11月27日，志晟信息（832171）公告，股东廊坊冀财新毅创业引导股权投资基金（有限合伙）按照减持计划已减持公司股份比例达到1%。
1702517568# #a股大视野林耘的投资日记集合竞价：1、小幅高开，创业板表现最好，北证50独自下跌；2、普涨，受黄金大涨刺激的贵金属板块领涨；3、个股涨跌比17：5；4、港股恒生指数高开1.18%，保利置业、融创中国、碧桂园领涨。。。看盘印象：美联储确认本轮加息周期到头，降息已在讨论中，全球金融市场嗨皮了，检
1700491889# #都在传弄了个房企TOP50白名单，感觉这样行么？松了红线，但是没看到激励机制啊。。。怕只怕：雷声大，雨点小，温水煮了青蛙。
1700054579# #汽车不比手机，真不能吹过头，搞不好上街成了杀人凶器。
1697694526# #有些人或许没注意？华为主题连续3天资金大规模出逃，今天上午主力资金减持77亿元，3天合计资金净流出约200亿元。
1702041419# #如无奇迹，上证50、沪深300，今年将首次出现3年连跌的新纪录，一个让人高兴不起来的新纪录。
1702604753# #从今天起，见证奇迹！
1698211957# #至于纳入港港通，业内预计万物云有望在2023年12月31日的指数成份股检讨中被调入，在2024年2月底正式生效，被沪深交易所同步纳入港股通可交易名单。
1697505027# #英雄落寞谢幕，背后或有事情发生。金地集团董事长凌克因身体原因辞职。
1698300710# #北向资金北向资金倒是护盘力量，午盘做多了，内资主力跑得比贼快，净卖出了200多亿元。
1699071080# #有人眼尖，说是上交所首批恢复审核的6家拟ipo公司，4家是浙江的哈哈
1699498062# #显然队伍不好带！北向资金象征性增仓4.7亿元，内资主力跑得比贼快，74分钟交易时间，跑路198.99亿元，近期新高！。。目测都是如假包换的“聪明资金”。
1702564558# #1股起步，利好措施落实中。
1697555718# #林耘丨世界银行为什么调低明年中国经济增长目标？担心这件事儿！
1697180759# #林耘丨局部做多，整体调整，小心A股未企稳！
1697119356# #炒得热火朝天，究竟有没有？科源制药(301281)发布股票交易异动公告称，公司产品盐酸二甲双胍片适应症为治疗2型糖尿病，为降糖类药品，不涉及肥胖适应症。公司目前没有涉及减肥功效产品的收入。
1697504837# #昨天两融加杠杆的怂了！在指数创下阶段性新低时选择减仓。
1699672913# #Ipo乱相之天价出街，“破发率”中J、中X齐头并驾，不分上下，投资者苦不堪言。讲真，为了A股好，不能再让它们“做大做强”了。
1700361084# #巴菲特清仓长线持股的强生和宝洁，其PE仅仅10倍和24倍，ROE高达24%和30%，股息率则在3%上下。。。如此完美标的为何惨遭巴老绝情抛弃？。。老林的观察是：世界重构！从大格局到内部结构都在或正在发生重大变化。。。更早时候，老林预警了可口可乐可能见“大顶”。
1701000853# #清官难断家务事。事到如今，华为究竟有没有造车？
1702430911# #港股小幅低开。隔夜美股继续上攻，科技股表现突出，纳指上涨0.70%，道指上涨0.48%，中概股跟涨0.44%，一般，新能源汽车下跌。油价疲弱，创下阶段新低，美油失守69美元／桶关口。
