1704024373# #相爱
1703510980# #微博网友喜爱人物。。邓为长相思识神小狐｜邓为涂山璟识神小狐｜邓为仙台有树识神小狐｜邓为苏易水识神小狐迪奥品牌大使邓为识神小狐｜修丽可品牌大使邓为识神小狐
1699763028# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放666
1703945831# #微博KING和QUEEN邓为邓为邓为
1703086840# #我推荐《长相思第一季》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1704620051# #给邓为的专属告白微博之夜红毯我为送上一份告白，今年对你的喜欢也是满满当当！
1700377114# #每日一善超话抱抱每日一善抱抱每日一善感悟正能量。。努力去做一个温暖的人，用真心对世界微笑，用眼泪提醒自己要做的更好，用快乐去迎接每一天的阳光，用自信向世界宣称你过得很好。
1704097774# #我获得了微博之夜真意卡，偷偷告诉你本轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1699586290# #与品牌大使一起续写Dior新篇章，让我们在古典与现代中穿梭，在优雅与时尚中奔涌。这便是Dior，这便是青年演员。
1699586303# #D和D的牵手，是一场浪漫的畅想。恭喜青年演员正式成为品牌大使，让我们将双D畅想继续到底，期待一场邓为与Dior的不朽传奇。
1700058344# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~可爱太开心
1698311194# #为航天事业点赞👍🏻👍🏻
1704550125# #给邓为的专属告白微博之夜红毯我为送上一份告白，今年对你的喜欢也是满满当当！
1704097732# #微博KING和QUEEN邓为邓为邓为邓为
1704010960# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！驾驭高能时刻一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1701929992# #哇哇哇
1699615816# #恭喜官宣品牌大使，新世界版图开启，镌刻时尚经典，打造勃勃生机感，一起感受青年演员的魔法力量吧！
1703246880# #冬至快乐，啦啦啦啦啦啦哇哇哇哇
1697783875# #邓为到底有多少棒球帽💎邓为涂山璟戴不戴帽子他都是帅啊
1700724447# #每日一善超话💫每日一善💫阳光信用。。感恩，实质上是一种健康的心理状态。通常我们认为对看似应该的事情心存感激，对帮助自己的人心存感激，这就是一种感恩之心
1700058294# #我正在微博视界大会参与种子计划，还有机会亲临微光盛典现场见证荣耀诞生！快来
1704550023# #我获得了微博之夜纯粹卡等2张，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1701299981# #每日一善超话相爱阳光信用相爱每日一善。。生命匆匆，不必委曲求全，不要给自己留下遗憾，以自己喜欢的方式生活，做自己喜欢做的事，宠爱自己，做一个独特的自己。
1704369300# #我获得了微博之夜美好卡，偷偷告诉你本轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1700724528# #邓为超话💫邓为仙台有树💫邓为苏易水。。就算全世界与你格格不入，总有一个人会对你温柔以待抱一抱抱一抱。。
1704369273# #不止是看上去的温柔，还有你看不到的坚韧。选择，让我们跟随把不可能的都实现，我不要二者择其一，我，全都要。
1703510998# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！快来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1699839617# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~彩虹屁
1702993443# #转发微博
1699411024# #“邓为dw邓为涂山璟”~
1704468149# #我在微博之夜集卡活动中抽中了现金，听说本轮集卡数TOP40还能赢盛典门票！快来
1704013145# #转发微博
1702208067# #你简直是惊喜小天使👼🏻
1704183844# #我获得了微博之夜纯真卡，偷偷告诉你本轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1699586308# #当蓬勃势气撞上奢意美学，是典雅华丽的纷呈，还是焕新风尚的盛宴?✨让品牌大使，带给你答案。
1703426178# #我获得了微博之夜纯粹卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1699748067# #爱你
1704183788# #微博网友喜爱人物邓为邓为邓为
1700058286# #哇哦~微博视界大会种子计划微光合伙人祝福我咯，收祝福，接好运！点击链接继续参与互动，下一次抽中的也许就是微光盛典观礼名额哦！
1697166130# #在你的内心深处，有一个静谧的庇护所，你可以随时撤退，做你自己。
1697865110# #邓为超话。我成为邓为超话超FUN啦给你小心心发帖纪念一下~
1702455600# #铭记历史
1704467758# #我在微博之夜集卡活动中为送卡成功，你也来给助力TA赢门票吧，本轮集卡数TOP40必得，一起来参与！2024纯真真好戳&gt;&gt;
1699317745# #邓为超话🎀邓为苏易水🎀邓为仙台有树。。你不一定非得长成玫瑰，你乐意的话，做茉莉，做雏菊，做千千万万，或者就做你自己。。
1699586295# #它放在那里，便是艺术。他站在那里，就是秀场，它和他，是与成为品牌大使。
1703939774# #比耶比耶
1699158968# #邓为超话💎邓为苏易水💎邓为仙台有树。。不管是昨天，今天，明天，只要你健康，就是美丽的一天。。
1697784266# #邓为超话💎邓为苏易水💎邓为仙台有树。。经过了12号17号的美图暴击，这两天的我情绪低落，就好像失恋一样泪。。
1700058278# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~抱抱打call
1700286101# #每日一善超话打call每日一善感悟正能量打call每日一善。。这一世，我已醒来，人世间所有的情缘都已看淡放下，不与任何人再结任何缘。欠我的，我不讨，无需来偿还；我欠的，因缘适合时，我还。前世不欠，今生不见，今生相见，定有亏欠。愿来生，不见、不欠、不念。
1698988928# #邓为超话💎邓为苏易水💎邓为仙台有树。。每个人都有自己的想法和所图，但是作为成年人，我们要有自己的思想，要知道，我们的宗旨是：为为打call打call，我们的目标是：为为打call打call。。
1704527535# #。
1701844783# #每日一善超话相爱阳光信用相爱每日一善。。善良是黑夜的月光，给夜行的人照亮前行的路；善良是寒冬的暖阳，给寒冷的人些许温暖的光；善良是酷暑的微风，给闷热的人一丝期待的凉。
1704529940# #D
1701592046# #邓为超话哇邓为苏易水哇邓为仙台有树。。见到你之后我想成为一种人。什么人？疑问。你的人憧憬憧憬。。
1697596969# #邓为对角色的用心大家都能感受到
1703333249# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1704550041# #微博网友喜爱人物邓为邓为邓为邓为
1704468165# #锦鲤附体，我获得了微博之夜纯美卡，再努努力就能亲临现场见到我喜爱的TA了！本轮集卡数TOP40必得盛典门票，一起参与吧！2024纯真真好
1699443644# #转发微博
1697768309# #不要回家放羊啊啊啊啊啊啊啊啊啊啊啊啊
1702208012# #你真的好好看啊送花花可怜
1703296363# #邓为超话相爱邓为苏易水相爱邓为仙台有树。。ヾ(•ω•`)o因为热爱，所以坚持，不管结果好不好，开心就好。。
1704468357# #锦鲤附体，我获得了微博之夜纯美卡等2张，再努努力就能亲临现场见到我喜爱的TA了！本轮集卡数TOP40必得盛典门票，一起参与吧！2024纯真真好
1699839589# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~爱你
1704327039# #千丝百顺，盈润靓洁，和大中华区品牌代言人一起探索修护的奥秘，在冬季，收获清爽的滋养。
1699839612# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~色
1702144169# #可怜可怜“邓为苏易水dw邓为仙台有树”~
1704010919# #锦鲤附体，我获得了微博之夜纯粹卡，再努努力就能亲临现场见到我喜爱的TA了！本轮集卡数TOP40必得盛典门票，一起参与吧！2024纯真真好
1704097754# #微博网友喜爱人物邓为邓为邓为邓为抱一抱抱一抱
1699361383# #邓为超话🎁邓为仙台有树🎁邓为苏易水。。云海，天涯，两渺茫，何日功成，还乡，醉笑陪公三万场，不用诉离殇。。
1699669006# #哇哇
1704010956# #微博网友喜爱人物邓为邓为邓为邓为邓为
1699407237# #“邓为💎邓为仙台有树”~
1700812799# #人生如路，需有耐心；心中坦然，所以自在@邓为D
1699706719# #爱你爱你爱你
1700058336# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~
1697556222# #不管是在哪里，都希望永远开心
1700058320# #我正在参与微博视界大会种子计划互动，点击链接进入活动，完成播种任务，就能抽取精美好礼，还能获取荣耀推荐机会为自己喜欢的剧综助力！一起来参加吧~
1702993384# #我获得了微博之夜真意卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1702992726# #微博网友喜爱人物。。ᴴᴼᴸᴵᴰᴬᵞᴸᴵfᴱ⛱️忙里偷闲的生活碎片𓂃𓈒𓏸
1698311248# #🎉🎉🎉
1703034212# #邓为超话相爱邓为苏易水相爱邓为仙台有树。。你之所以会看到星星一闪一闪，是因为你长得太漂亮，外星人在偷拍你时忘记了关闪光灯。。
1703147462# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1699877116# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧抱抱
1704010983# #我获得了微博之夜真意卡，偷偷告诉你本轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1700982976# #每日一善超话哇阳光信用哇每日一善。。生活就是坚持简单的善良，就如人生不能没有道义，不要把生活复杂化，那些所谓的世故圆滑，不过是自私的一种借口罢了。
1704183710# #和邓为点亮微博之夜相爱邓为巴黎卡诗。。人之所以会撒谎，是为隐藏内心的脆弱。。
1704619662# #微博网友喜爱人物邓为邓为邓为
1704620192# #我获得了微博之夜纯美卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1703086847# #我获得了微博之夜纯美卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1701929998# #憧憬憧憬憧憬
1697556298# #不论是叶十七，还是涂山璟，我都希望好好的，永远快快乐乐的，第二季见
1699763066# #哇哦~微博视界大会种子计划微光合伙人祝福我咯，收祝福，接好运！点击链接继续参与互动，下一次抽中的也许就是微光盛典观礼名额哦！
1703246865# #冬至快乐啊啊啊啊憧憬憧憬憧憬
1699839628# #我正在参与微博视界大会种子计划互动，点击链接进入活动，完成播种任务，就能抽取精美好礼，还能获取荣耀推荐机会为自己喜欢的剧综助力！一起来参加吧~
1699748063# #憧憬
1700567403# #邓为超话可爱邓为苏易水抱一抱邓为仙台有树。。相爱繁华三千，看淡那即是浮云；烦恼无数，等你想开了也就是晴天鼓掌。。
1703333212# #锦鲤附体，我获得了微博之夜纯粹卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1699762897# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放
1702208097# #陌上谁家年少，足风流可怜可怜憧憬
1699668996# #颠覆定义，展现率性自我，恭喜青年演员解锁品牌大使新身份！
1697631618# #邓为早期微博为子的美图，随手一存就是几百张
1699706712# #憧憬憧憬憧憬
1699443461# #邓为超话💎邓为💎邓为仙台有树。。这个🐀，就这么的在一整天的战🫧斗🫧中，莫名其妙的变成了超莱克，挺好的挺好的笑cry笑cry。。
1702993420# #转发微博
1703479867# #邓为超话相爱邓为仙台有树相爱邓为卷毛。。我喜欢你，超级无敌霹雳的喜欢，我钟意你，宇宙无敌爆炸的钟意。。
1702520315# #光影交错，窥见少年激情；镜头定格，捕捉灵动瞬间。感谢的邀请，期待的时尚魅力！
1699839599# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~憧憬
1701918504# #自信是一种吸引力，只有当一个人有自信的时候，他才会成为别人注意的焦点
1697784046# #一如既往地支持为子，买买买🛍️
1704620086# #我获得了微博之夜简单卡等2张，偷偷告诉你本轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1699877107# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧
1703768066# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？驾驭高能时刻来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1704183796# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？驾驭高能时刻来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1699367909# #帅哥邓为
1699411016# #“邓为dw邓为茶朔洵”~
1704327034# #卓越品质引领潮流，发丝盈润极美绽放。大中华区品牌代言人，邀您共赴奢宠之旅。
1699697744# #经典风格与当代理念碰撞融合，诞生魅力美学宇宙。恭喜官宣品牌大使，见证创世余晖，增墒时尚引力。
1703745646# #邓为超话相爱邓为0226生日快乐相爱邓为自有银河。。数学里有个温柔的词:有且仅有。明天生动而具体，有且仅有一个你。。。
1700817056# #邓为超话超话星愿池非正式跨年派对天冷了，穿暖衣，多休息，喝热汤，勤健体，从早到晚笑眯眯。
1699763022# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~打call
1703086825# #微博网友喜爱人物邓为邓为邓为
1704369308# #我在微博之夜集卡活动中为送卡成功，你也来给助力TA赢门票吧，本轮集卡数TOP40必得，一起来参与！2024纯真真好戳&gt;&gt;
1699709792# #憧憬憧憬憧憬
1703147457# #微博网友喜爱人物。。✨✨✨💎💎✨✨✨💎💎✨✨✨。✨✨💎💎💎💎🌟💎💎💎💎✨✨。✨✨💎💎邓为💎💎邓为💎💎✨✨。✨✨✨💎💜人间理想💜💎✨✨✨。✨✨✨✨💎未来可期💎✨✨✨✨。✨✨✨✨✨💎💎💎✨✨✨✨✨。✨✨✨✨
1697596895# #✨【入我相思门，知我相思苦】纵然词短，奈何情长，此情无解，才下眉头，又上心头！何解相思苦，唯有相见！@邓为D💎💎💎
1704468221# #锦鲤附体，我获得了微博之夜简单卡等2张，再努努力就能亲临现场见到我喜爱的TA了！本轮集卡数TOP40必得盛典门票，一起参与吧！2024纯真真好
1699615822# #经典历久弥新，风采彰显个性。恭喜青年演员解锁DIOR品牌大使新身份，与携手同行，传统与新潮弥合，诠释多元风格。
1704468314# #锦鲤附体，我获得了微博之夜纯美卡，再努努力就能亲临现场见到我喜爱的TA了！本轮集卡数TOP40必得盛典门票，一起参与吧！2024纯真真好
