1697626676# #老外眼中“神奇的东方树叶”以茶之名重走丝路一带一路的100个故事
1688353779# #闪回：2014年5月9日，马里乌波尔的入侵。。胜利日当天，马里乌波尔公民奋起反抗美国支持的亚速纳粹分子，这些纳粹分子由基辅政权派遣，散布恐怖并镇压任何反对美国CIA支持的基辅政变的异己。。乌克兰纳粹不仅使用小型武器，还使用装甲车对付手无寸铁的平民。。。基辅政权在顿巴斯对平民犯下了许多战争
1698533742# #记住英雄的样子，致敬英雄，铭记历史，吾辈当自强！
1693786410# #早上好！2023年9月4日&nbsp;&nbsp;星期一&nbsp;农历七月二十。1、台风“海葵”将于5日凌晨到上午在粤闽交界附近沿海登陆；。2、12306回应高铁动车二等座、无座同价：会记录建议，看今后能否采纳；。3、中药材价格狂飙，超200种常规中药材价格涨幅高于50%；。4、上海、四川、吉林等多地高校涨学费，上涨幅度在10%-54%不等
1689216991# #历史影像：1944年衡阳保卫战真实影像。衡阳保卫战史称衡阳会战，是中国抗战史上最成功的战役和中国抗战史上以寡敌众的最典型战例，被誉为“东方的莫斯科保卫战”，为中国整个抗战史中作战时间最长、双方伤亡士兵最多、程度最为惨烈的城市争夺战，也是日本战史中记载的唯一一次日军伤亡超过我军的战例。
1698902789# #1979年自卫还击作战胜利后，勇士们凯旋班师，两名勇士从战火中迎面走来，铁骨铮铮，杀气腾腾，豪迈英武。将一代军人风采展现得淋漓尽致。铭记历史，缅怀先烈，向参战的勇士们致敬！来源
1691548317# #历史珍贵老照片：1959年6月25日，在湘潭韶山，毛主席与自己的私塾老师毛禹居携手同行。这位老者一定未曾想到自己曾经教过的学生伢子变得如此大出息了吧？
1700915908# #立正！敬礼！向所有抗日老兵们致敬！
1697784164# #🇷🇺⚔️🇺🇦。用直升机将俄罗斯军队转移到前线受威胁地区。。。为Mi-24护航的Mi-8AMTSh直升机。。视频来自夏天（2023年）。。俄乌局势新进展乌克兰前线实时画面
1697390532# #抗战时期第一次成联队建制歼灭日军
1701014088# #过去24小时内，俄罗斯军队对乌克兰北部发动了大规模无人机袭击。。。据报道，乌克兰空军一夜之间击落了*74*架俄罗斯Shahed-136/131单向攻击无人机。doge
1700352301# #美国海军水手驾驶加拿大控股公司的直升机起飞
1692724113# #毫无人性！。一位老太太，也许家里还有生病的亲人，全家就指望她摆个地摊维持生计，卖的只是咸鸭蛋等一些不值钱的东西，却被城管粗暴地没收所有物品，还罚款1000元，老百姓只是想用力地活下去，怎么就这么难？！。这国怎，定体问，气抖冷！
1696865355# #狙击战场的真实现场！。你不知道什么时刻会有什么口径的子弹会射中你的脑袋或胸口！
1697189346# #加沙医院，一名受伤的婴儿正在接受简单的治疗...。目前加沙医院停电，靠燃油发电机在面前运转，支持燃油发电机的燃料库存将在当地时间12号左右也耗尽。。。巴以冲突巴以冲突已致双方超2800人死亡以色列会对加沙地带实施地面进攻行动吗
1689949040# #当你有4个玩RPG的人时，谁还需要HIMARS。。。俄乌局势新进展乌克兰前线实时画面
1698594108# #1994年，从北京开往沈阳的列车上，打麻将的旅客。
1700530578# #🇮🇱🇵🇸🚨‼️AbuUbaida：“在过去72小时内，我们摧毁了60辆犹太复国主义军车，其中包括10辆运兵车。”。。他进一步说道：。。-大多数袭击是由Al-Yassin炮弹、简易爆炸装置、Al-Shawaz和Tandem85在SheikhRadwan、BeitLahia、Al-Zaytoun和Al-Tawam实施的，我们进行了一些具
1700406450# #有报道称悬挂巴哈马国旗的车辆运输船“银河领袖”号在红海遭到胡塞武装袭击。。以色列消息人士称胡塞叛军接管了这艘船。。🇮🇱/🇾🇪以色列国防军发言人关于被劫持的以色列船只的官方声明：。。胡塞武装在也门附近红海劫持一艘货船的事件是全球范围内非常严重的事件。这艘船离开土耳其前往印度，船上
1693881812# #消防員出警豬豬俠狂奔帶路，原來起火的是它家。。——请主人家一定不要卖了或宰了它！
1689825169# #寒心！被二次征兵后银行卡还遭冻结，乌老兵质问：究竟为何而战（来源：时报新观察）有请进来评论一下，不要左顾而言他，就事论事，不要装瞎子哦！。。乌克兰前线实时画面俄乌局势新进展
1702032118# #儿时的小伙伴，回村建房了懂行的帮忙看下，他这基础，是要建几层？
1696511321# #美国7.5万医护人员罢工三天。建议给他们涨薪百分百
1703002190# #河豚骨骼令人难以置信的几何形状。。。这种结构使它们能够在危险时刻获得体内的水并膨胀。与此同时，尖刺升起，鱼身上也长满了刺。
1698917758# #向最伟大的人致敬！
1688183336# #法国的抗议活动愈演愈烈。。。▪️抗议活动於3天前开始，原因是一名17岁青少年被警察杀害。。▪️一晚，抗议者纵火焚烧了法国各地约500栋建筑和550多辆汽车。。▪️由於创纪录的抗议浪潮，马克龙提前离开布鲁塞尔欧盟峰会。。法国内政部负责人要求地方当局暂停全国21:00后的公共交通。。法国总理宣布部署宪兵
1693647504# #高德地图上新，黑瞎子岛全岛进入版图。
1703338921# #巴以冲突圣城旅：。Shujaiyya地区东部一群以军士兵遭到狙击手袭击的场景
1697397745# #1980年深圳老照片
1693491973# #据沙特媒体《欧卡兹报》8月23日报道，沙特阿拉伯政府已将汉语作为第二官方外语纳入沙特课程，指示全国所有公立和私立中学以每周两节课的速度实施汉语普通话教学计划。。。报道称，沙特教育部门已经为所有中学提供有关汉语教学方法的资料和视频，其中包括汉语教学的原则、重要性以及将汉语纳入沙特中学课
1698502817# #英国1600年前的壁画上出现简体汉字！究竟是穿越了？还是说这里自古以来就是中国的地方？并不简单坏笑
1703036063# #据《Politico》报道，美国担心针对胡塞武装无人机使用导弹的成本，因为该国负债数万亿美元。。据美国官员称，美国使用价值210万美元的SM-2导弹拦截了一架价值2000美元的也门无人机蛮肉疼的。。。美国迄今已拦截38个飞行物坏笑
1700097338# #俄罗斯伞兵无人机分队挫败了乌武装部队又一次进攻企图
1701208724# #他是抗日游击队年仅最大的游击队队员，70多岁还击毙日寇4人，但由于寡不敌众最后他带领的游击队员全部壮烈牺牲，他就是胡祝南老英雄！向老英雄致敬！
1701791962# #中国肯定不。。。事实胜于雄辩！！！
1693627571# #小崔在哪里发的视频？
1692065721# #十肠痔的日常笑话。。打脸反贼笑话集
1697498930# #10月17日，星期二简报+早安日签，每天60秒读懂世界
1699659682# #现在还有这样的商店吗？
1697350352# #F-18A展示机
1692663353# #早上好！8月22日&nbsp;&nbsp;星期二&nbsp;农历七月初七&nbsp;七夕。1、官方：暂停台湾地区芒果输入大陆；。2、国家广电总局等部门专项整治，力克电视“套娃”收费等问题；。3、8月LPR不对称降息：1年期为3.45%降10个基点，5年期以上不变；。4、国安机关再公布一起美中情局间谍案，嫌疑人系国家某部委干部；。5、数据：超73%网
1694182027# #神秘的神龙架，谁知道这些箱子里装的是什么？
1700903886# #这张珍贵的照片拍摄于1984年，被司令员张铚秀表扬的小战士叫贾云科，1967年8月出生于陕西（为参军改为1965年），1984年4月28日，贾云科所在的8连，奉命向54号高地进攻，这是敌人重守区域，我军在行进中就遭到敌人反抗。贾云科主动请缨，他对排长说：“如果我不能发射火箭弹开路，那我就拉着弹.头冲进
1698286903# #原来歼20这么大呀
1700106351# #孔令仪（1915年12月-2008年8月22日），在山西太谷出生，宋嘉澍家族成员，孔祥熙的长女，母亲是宋蔼龄，被称为“孔大小姐”。。1928年，13岁的孔令仪到南京金陵女子中学念书，寄居亲戚蒋介石官邸。内战结束，随父孔祥熙移居美国纽约市。。2008年8月22日，孔令仪在美国纽约曼哈顿第五大道寓所内去世，享年9
1689077379# #两辆“豹2”被ATGMS击中，似乎逃脱了...可惜了，MD，让它们跑了~。俄乌局势新进展乌克兰前线实时画面
1692030713# #泽伦斯基前顾问：“我们的主要错误是我们使俄罗斯人失去了人性”。。▪️总统泽连斯基的前顾问阿列克谢·阿雷斯托维奇评价说，全乌克兰对俄罗斯人“非人化”的努力已被证明是基辅在持续冲突中犯下的主要错误。。。▪️在与记者朱莉娅·拉丁尼娜的对话中，他指出这产生了相反的效果，即它额外激励了俄罗斯士兵
1699470492# #“不是我选择了石油，是石油选择了我”的王德民院士！
1699886997# #这个F-35机棚有点配不上它五代机的地位啊！
1696475867# #她还十分恶毒的把接待她的那个人给投诉了，然后被开除了。那人回去取个人物品的时候，悄悄把小票拍照了，这才暴露出来。如果她要不这么恶毒，把人家工作给弄没了，这事也不会暴露出来。做事太邪恶了，所以招打，就是乌克兰风格。
1698880516# #珍贵历史影像！徐州会战期间铁路大军开拔画面，物资、人员流动密集，每日开行军列达70余列。
1697347947# #抗战时期条件艰苦我军哨兵站在树上放哨
1698331084# #没有一面以色列国旗，连场外都是巴勒斯坦国旗。欧足联呼吁不要将政治带入赛场，但欧足联之前鼓励声援以色列。
1690985950# #招潮蟹，如果它另一只螯也这么大的话，松鼠恐怕逃不掉！
1691393193# #《封神榜-玉清元始天尊》（李云中）——中国传统神话组画🇨🇳
1698504604# #阎海文（1916年－1937年8月17日）辽宁北镇人，空军第5航空大队飞行员。九一八事变后加入空军，为航校六期毕业！。1937年8月17日，所属第五大队轰炸上海北四川路日军陆军司令部时，被日军高射炮击中，机身着火，阎海文跳伞后落入敌阵，遭数十名日本士兵围捕并劝降，阎海文不为所动、用飞行员佩戴的手枪击
1689910839# #📽️7月21日北京时间3:20。在祖国的最东边迎接第一缕晨光。抚远市
1691746471# #街头霸王IITurbo！
1689587138# #俄罗斯BMP-3在行动。。俄乌局势新进展乌克兰前线实时画面
1702872337# #多尼亚·阿布·莫森(DoniaAbuMohsen)在以色列对汗尤尼斯纳赛尔医疗中心的袭击中丧生。。。多妮亚此前已失去了父母和两个兄弟姐妹，在之前的以色列袭击中又失去了一条腿，她当时在医院接受治疗。伤心伤心。。巴以冲突
1698049699# #美国竟说对轰炸加沙医院事件开展国际调查“不合适”！它这是害怕国际调查啊，它怕什么呢？
1697563938# #这群日本鬼子进犯到了湖北，在一个小池塘边洗澡。他们将大油桶的一头戴掉当作浴缸，让日军士兵给灌满水，当官的就先跳进去洗。等当官的洗完了，鬼子士兵才能轮上。真心希望，这个时候能过来一批咱们的队伍，轻而易举就能把这群鬼子干掉！
1703576703# #这些视频虽然不能帮助乌克兰赢得战争。确实是无人机战术，但这些令人讨厌的视频追捕给俄罗斯军队带来了恐惧，造成了一定的影响。。。俄乌局势新进展乌克兰前线实时画面
1700137842# #日军宪兵队最残忍的酷刑:用活人给军犬陪练，一天咬死几十人！
1699625778# #黄埔军校
1698245803# #捷克共和国一架直升机上撒出100万美元。。百万富翁兼主持人卡米尔·巴托谢克向破译其作者电影中密码的人许诺将这一百万美元撒出。
1696386986# #10月3日，山东济南，执勤警察小哥不小心碰掉了游客的小吃，愣是给重新买了一份。小哥哥也太实在了吧！。在大漂亮国，这直接就是一个妨碍公务啊！
1692868325# #普里戈任所乘坐的飞机坠毁现场的照片——飞机被服务车辆围成两排。安全部队继续在那里工作。已对违反交通安全和航空运输运营规则的事实提起刑事调查。。空难中遇难者的尸体早些时候被送往特维尔太平间。
1702030940# #中国的一位艺术家，通过投影方式呈现人物画像。太厉害了👍
1700061102# #如果后面还是不小心，这仍是一个很大的问题思考
1696061236# #我们的战士们可真是叫摩拳擦掌啊~！这斗志这士气赞赞
1700474986# #【英德只是打了几十年，英法才是千年宿敌，一语成谶的弩炮行动】。。二战期间，英国和法国原本是盟国，并且一道对抗德国法西斯，但是就在英法之间，却出现了二战、乃至整个人类战争史上最大的一次“兄弟阋墙”，英国海军居然调转炮口，毫不留情的收拾了刚刚还是盟友的法国舰队。这场同盟国之间最大的海上
1702554632# #今天早上，以色列士兵袭击了约旦河西岸杰宁的一座清真寺，破坏了这座清真寺，并用扩音器进行了犹太祈祷。
1698637368# #以色列：地面部队已进入加沙24小时，战况激烈。。哈马斯：消灭每一个进犯之敌！。。哈马斯加油，我支持你取得大胜利。巴以冲突
1700289437# #《金融时报》:伊朗外交部长阿卜杜拉希扬在採访中透露，德黑兰通过秘密渠道告诉美国，伊朗不希望以色列-哈马斯战争进一步蔓延，但同时也警告华盛顿，如果以色列继续袭击加沙，地区冲突将不可避免。
1688616348# #AFU部队在Avdiivka附近攻击俄军阵地的画面。据报道，俄军阵亡5人，被俘13人。俄乌局势新进展乌克兰前线实时画面
1696475818# #视频信息图展示了俄罗斯联邦武装部队和乌克兰武装部队之间的力量对比。。从提供的数据来看，很明显，乌克兰在冲突开始前两个月就开始积极准备了！如果俄罗斯不动手先发制人，难道还等乌克兰先动手吗？！
1698941316# #中国黑龙江秸秆打包。
1702473442# #以色列的战争罪行录巴以冲突人们在将一名在贾巴利亚的以色列空袭中被杀害的巴勒斯坦女孩疏散到墓地埋葬时，遭受了强降雨引发的洪水之苦。
1697297484# #和牛，是肉质的魔法师，将你带入口感峰巅的奇妙之旅，让你沉浸在无与伦比的口感享受中太开心色深夜放毒
1698299147# #这是多年前司马南和徐帆的一张合照。照片上的司马南穿着西装，打着领带，显得非常精神，妥妥的帅哥一枚啊。徐帆留着短发，穿着皮衣，五官精致，笑容满面，看起来真漂亮，有点像李嘉欣。这对帅哥美女，看起来真般配。司马南老师年轻的时候是真的帅，可是现在长得就有点着急了。不知道冯小刚看到这张照
1695049223# #殖人DNA里的那种奴性，看到白人爸爸就觉醒了。。要知道，香港暴徒对待香港人和外国白人的态度是完全不同的。。。当他们阻碍香港市民出行、阻止地铁门关闭、受到香港市民批评时，他们的态度非常恶毒、残暴。但当一个受影响的白人外国人吼道：“滚出去！”他们立马乖乖地出去了。。。殖民地奴隶的恶劣本性在他
1688610089# #老表牛逼，两湖军也厉害！我们福建也不差咯~！
1695992995# #据《政治报》报道，乌克兰总理丹尼斯·什米加尔表示，基辅只同意正式加入欧盟，不接受西方正在考虑的替代方案。。。据该出版物称，法国和德国坚持保留正式加入欧盟的替代选择，这可能成为逐步融入欧盟的基础。据Politico报道，“什米加尔明确表示，乌克兰不会容忍加入欧盟的缓慢选择”，并且只同意正式
1693075077# #有这个极端民族主义分子的不打码的长相了
1700776204# #未曾谋面，却蒙其恩，铭记先辈浴血疆场保家卫国，向英雄致以最崇高的敬礼！致敬抗战老兵。
1693392355# #今天是亚历山大·卢卡申科(AlexandrLukashenko)的生日-他即将迎来69岁生日🎂。。普京向白俄罗斯总统致以生日祝福：。贺电称：“我相信，通过共同努力，我们将能够克服任何困难，确保进一步扩大俄罗斯与白俄罗斯的多方面合作，包括以联盟国家的形式。”
1701527087# #贺州一交警持棍击倒过路电动车，交警：有警方正在调查！
1700738377# #这算种族灭绝的正式声明吗？毕竟谁是哈马斯都是他们定义的。。你看它说，人质交换完毕后仍将彻底消灭哈马斯，而哈马斯就是巴基斯坦人的老人、妇女、儿童，所有的一切都被它们定义为哈马斯了！！。这个世界啊，有谁能站出来与之一战啊，否则今天杀光巴勒斯坦人，就开始杀阿拉伯人了，再就开始杀其他人了，
1697299050# #戴安澜（1904年11月25日—1942年5月26日），原名戴炳阳，字衍功，自号海鸥，汉族，安徽省无为市洪巷镇练溪社区风和自然村人。国军名将，黄埔系骨干之一。1926年黄埔军校三期毕业。1942年，率第200师作为中国远征军的先头部队赴缅参战。取得同古会战（歼敌五千余，而日军兵力4倍于戴部）、收复棠吉等战
1697507696# #哈马斯军事发言人阿博·奥贝达：。。“我们将释放所有在加沙被俘的外国人，因为我们在被捕期间没有时间验证他们的身份证。我们将视他们为客人，直至情况允许他们获释。在IOF服役的外国人将被视为士兵”-&gt;。“我们有200至250名以色列俘虏。我们无法确切知道有多少，因为以色列军队不间断地轰炸，导
1699758589# #今天早些时候拍摄的新Sentinel-2图像显示了以色列向加沙地带北部推进的一些可见情况。。。以色列国防军从南部包围了加沙城，目前正从多个方向向希法医院推进。
1701291819# #彼此信任，互相支持的革命友谊。
1697512630# #这云是在天上飞累了，在上山休息吗？|||这云是在天上飞累了，在上山休息吗？有谁知道呢？
1693492643# #奶奶看到孙子高兴得差点晕过去。想象一下，她该多么担心他。
1691320223# #俄罗斯正在干扰美国在乌克兰使用的“高科技”武器，使其变得毫无用处。。。这是美国智库哈德逊研究所高级研究员布莱恩·克拉克报道的。。。据他说，俄罗斯目前正在前线部署数百个小型机动电子战部队。。。克拉克表示，俄罗斯技术能够封锁导弹的GPS坐标、禁用乌克兰无人机，并隐藏乌克兰用来识别攻击目标的俄
1697389630# #致敬抗战第二十九军大刀队士兵。1937年第二十九军大刀队士兵在战壕中准备拼杀。视死如归的表情，将士们身背大刀。
1698888603# #🇮🇱🇵🇸🚨‼️突发事件：卡萨姆旅成功从隧道伏击以色列国防军装甲部队。。。-&gt;这就解释了为什么他们不快速推进！。。他们的TG声明：“卡萨姆旅发布了Zaytoun社区以东的冲突和占领车辆与亚辛105炮弹的冲突场景。”。。巴以冲突以色列
1692092741# #我好朋友是老师，放假回上海搞了一个下午的收获~假期快结束了，我虽羡慕也心理平衡了~坏笑
1699537891# #谢谢你告知握手
1693984776# #殖人：麒麟这也不行那也不行，还不如两三年前的xxxxx。。华尔街：苹果面临风险。。到底是谁脑残？
1694510348# #最坏的麦凯恩弱弱弱
1690898773# #新生的小长颈鹿还不懂得在睡觉时如何处理自己的脖子。嘻嘻嘻嘻
1697835658# #1958年，在清华大学的自主研发下，我国第一辆迷你汽车诞生了。总理听完了很是高兴，并前往亲自试驾，并留下珍贵的影像。
1692772836# #⚡️俄罗斯志愿者正在测试中国无人机控制终端，该终端将在前线进行测试。。如果战斗评价是积极的，将会获得更多🇨🇳🤝🇷🇺笑而不语。。假设这个视频发布者以上所言是真实的话，我毫不怀疑中国正在借此机会测试其针对西方军队的武器......。。俄乌局势新进展乌克兰前线实时画面
1696556164# #没有卡车。雇不起搬家公司。。就只能把自己的小车。物尽其用哈哈
1697583477# #人民万岁！🇨🇳
1688701591# #俄罗斯军队推进并占领了克莱舍夫卡村以西的高地。此外，俄罗斯部队在Bakhmut北侧Berkhovka附近的当地水库附近扩大了控制区。。。俄乌局势新进展
1698320191# #🇵🇸🇮🇱🚨‼️《华尔街日报》：以色列国防军正在演练对加沙地带的攻击，并建造了一个巴勒斯坦村庄的复制品。。。以色列军方在狭窄的街道和迷宫般的隧道中建造了一个典型的巴勒斯坦村庄的复制品，他们正在那里准备在加沙地带的战斗。他们称其为“小加沙”。。它位于内盖夫沙漠的一个基地。村庄
1691131794# #河北涿州：每个挺身而出的人，都是英雄！。。全国多地救援队增援河北有人民的地方就有子弟兵多方紧急驰援涿州
1696520126# #乞丐遇上叛徒……。一个正被毛子欺负，一个刚被阿塞拜疆欺负，知道他们两个在说什么吗？偷笑。泽：加入我，让大毛两线作战，我在未来还你三个纳卡的土地面积~相信我！。帕：我信你这个戏子个鬼，你这个演戏的，全世界都知道你把美元让你太太去买珠宝而不是子弹了！
1696648159# #为什么说我们中国人即便没学过繁体也能看懂，别说繁体就尼玛的篆体都能看懂！
1699070223# #路透社摄影师在美国国务卿结束与以色列领导人的会晤后拍摄了一张照片。
1700191552# #我无话可说了。。加沙！！。。以色列的战争罪行录巴以冲突
1697009322# #以色列声称来自叙利亚的炮击。。以色列国防军（IDF）报告称，10月10日晚，炮击来自叙利亚。。。报告称：“据记录，有几次从叙利亚发射到以色列领土。”。。据推测，这次袭击是用迫击炮进行的。几枚炮弹落在开阔地带。目前尚无人员伤亡的报告。。。以色列军队对炮击地点发动炮击。。。来源：annanews
1699094110# #F16战斗机全系列涂装，看看你喜欢哪一个，作为空中小霸王，
1703904728# #乌克兰攻击无人机今晚在布良斯克和别尔哥罗德对俄罗斯进行攻击。。。如下图所示，一架乌克兰无人机在布良斯克附近坠落。
1699279473# #俄乌战争，美西方列强逼着站队；。巴以战争，美西方列强还是逼着站队；。这就充分说明，中国的态度非常重要。。。恰恰就是因为中国的中立态度，为这个世界保留了最后一丝希望，为弱小民族和国家保留了一丝希望。
1689480539# #首次记录乌克兰使用美国提供的集束弹药。。。看来这次错过目标了...。。俄乌局势新进展乌克兰前线实时画面
1703062587# #1900年左右，在古巴的一家雪茄工厂，雇来的演说家会在工人们辛苦劳作时给他们朗读。由于员工文盲率很高，这些“演讲者”被邀请来分享通过投票选出的小说、诗歌和新闻文章。。。这一传统始于1865年，是为了让工人们在长时间单调的劳动中保持娱乐。讲师是根据他们出色的发音和演讲技巧来选拔的，如果他
1703568809# #现在还有这样的商店吗？
1701316995# #昨天，以色列武装定居者伪装成士兵袭击了约旦河谷的一个巴勒斯坦村庄。。。他们在午夜后毫无明显原因地抵达，侵入卡法马尔贾特的住宅，袭击居民，抢劫财物，并在众目睽睽之下制造骚乱，似乎对摄像机的存在漠不关心。
1700466621# #美国和平活动家“粉红代码”发起人乔迪·埃文斯：美国纳税人近70%的钱花在国防预算上，美国人努力工作交税，70%的钱却被用来杀人和破坏地球。（来源：观察者网）
1700992115# #他戎马一生，战功赫赫，我们中国人有良心都应该记得他！
1701271340# #🌐地点：Staromaiorske。🕰日期：~2023年11月29日。📌坐标：47.739399、36.756531。📝描述：俄罗斯步兵攻击乌克兰武装部队在Staromaiorske地区的阵地。。俄乌局势新进展乌克兰前线实时画面
1694337408# #过去563天，乌克兰的现在和未来总结在一张照片中：
1691027495# #性情中人，来得快去得也快~笑cry
1689047486# #AI出品。
1690267872# #战车驰骋，炮火轰鸣。7月上旬，正在野外驻训的陆军某旅，组织展开一场多兵种立体夺控演练。中国军人军迷天地
1698982987# #美国总统杜鲁门谈及，要一步步的占领巴勒斯坦，不可能一次把5-6百万人移走，再一次移进来5-6百万人，还让所有人满意。
1688998560# #俄罗斯坦克向别洛戈洛夫卡的乌克兰战壕开火；文字上说，有5名敌军士兵被杀。
1694765906# #唉，又让老胡拿第一了怒怒
1693713496# #⚡️🇺🇦🇷🇺泽连斯基：。。“我们支持俄罗斯军队在没有我们军队压力的情况下离开克里米亚，因为受害者会更少。我们保护我们的人民”
1698501320# #马斯克要求任何在加沙开展业务的国际公认组织联系SpaceX，为加沙居民提供“星链”服务。
1697368150# #希望有司重视这个大反贼，有种不要回来嘛，此汉奸天天在国外诋毁我共我国，不能再放回去让他动嘴皮子造谣诋毁了！。没有哪个国家会欣赏背叛自己国家、甚至反咬一口的叛徒，不是不报，时候未到！打倒狗汉奸
1694404738# #视频显示，试图在布良斯克地区越过俄罗斯边境的乌克兰武装部队士兵被抓获。。。俄乌局势新进展乌克兰前线实时画面
1699619060# #反贼笑话集这是这两天一想起就开森的事之一。网友嘉叔：如果判了刑，我个人估计是不会进监狱的，为何？在乌克兰财政极度紧缺的情况下，与其浪费钱财养个犯人，还不如扔前线上做肉靶吸引火力呢。
1690731107# #你自己先吞并了乌克兰的国有企业与资源，现在开始爆料波兰它们想吃乌的领土？你妈的，五十笑百步，你们白皮猪最在行了！
1691592289# #乌克兰的反攻正在造成巨大损失，基辅军队表示他们没有准备好面对俄罗斯军队。《纽约时报》报道称，至少还有一个旅因损失而损失惨重，被迫退出战场……。。俄乌局势新进展
1697548729# #以国警察：不要真相，只要好听的，我们要把加沙化为灰烬。。除了法西斯，还有什么人会说出这种话？。巴以冲突以色列的战争罪行录
1691236437# #🇳🇪尼日尔军事统治者向瓦格纳PMC寻求帮助。。有报道称，尼日尔新军政府已向俄罗斯雇佣军组织瓦格纳寻求帮助。。。美联社称这一请求是在政变领导人之一萨利福·莫迪将军访问邻国马里期间提出的，他在那里与瓦格纳的某人进行了接触。他们报道说，三名马里消息人士和一名法国外交官证实了这次会面。。。一
1688543532# #中国共产党人从国民党手中接过的是怎样的一副烂摊子？。毛泽东：“现在我们能造什么？能造桌子椅子，能造茶碗茶壶，能种各种粮食，还能磨成面粉，还能造纸，但是，一辆汽车、一架飞机、一辆坦克、一辆拖拉机都不能造。”“一张白纸，没有负担，好写最新最美的文字，好画最新最美的画图。”。爱心献给伟
1700300128# #CH-47运输机
1695258808# #🇺🇦根据乌克兰国土防卫部的消息，乌克兰国土防御部队发言人萨拉·阿什顿-西里略因发表不当言论而被免职偷笑。图三：“莎拉”的一次发帖。
1693553017# #某些人啊，你们尽情的怀疑吧、嘲笑吧、辱骂吧，因为有些事情、有些精神，是精致的利己主义者们永远都不会理解的！
1700748618# #对越自卫反击战，向中国人民子弟兵致敬！
1697560257# #有懂唇语的吗？她最后一句说的啥?
1699035306# #长大后，不是去努力追逐梦想，而是将梦想与现实拉近。
1700207741# #火力覆盖
1699097714# #奈基导弹又叫“大力神”导弹，大名鼎鼎的核防空导弹，配备的是3万吨当量的W-31核弹头！专门对付当年苏联轰炸机，将核弹头装在防空导弹上可想而知当年美国对苏联是多么惶恐。
1701262422# #关东军的由来。
1702700958# #给20年前的自己提什么建议？。普京警告自己:不要轻信西方！
1700791835# #1905年，吴樾的遗体，从照片中我们可以看到，他腹破肠穿，手足齐断，全身上下血肉模糊，清军在拍完照之后，便把他的遗体抛至荒郊野外。吴樾是安徽桐城人，辛亥革命元勋，他本名叫吴越，死之年，不过27岁，为表示污蔑，清庭把他的名字被加上了偏旁，变成了“吴樾”。这一年的9月24日，吴樾伪装成仆人
1699862664# #吃水不忘挖井人，前人栽树后人凉！致敬老人家！致敬我们伟大的祖国！衷心祝愿祖国繁荣昌盛，国泰民安！
1703536090# #1938年台儿庄战役中，随军记者拍下了一位滇军将领最后的遗容！照片中，这位已经牺牲的滇军将军满身血污，头上缠着厚厚的绷带，躺在一个简易的担架上，双拳紧握！
1697396844# #90年代初期山东省聊城市阳谷县寿张布匹市场
1699860544# #同一个U型弯道，不同的车手，过弯方式完全不同。
1699064136# #奥什科什航展上一些片段
1696754556# #巴以冲突动态以色列国防军宣布进入战争状态。❗️🇮🇱⚔️🇵🇸据报道，以色列正在从国外征召数千名预备役军人。。。所以他们期待一场大战。。。有传言称，如果以色列国防军向加沙发动大规模地面行动，战争很可能升级，至少包括北部的黎巴嫩真主党，也可能包括伊朗和一些阿拉伯国家。
1703435295# #美国在红海击中了一艘船只。。胡塞武装指责美国击中了从俄罗斯港口驶往红海以南的“赛巴巴”号船只。。安萨鲁拉说，当美国海军看到我们的侦察无人机时，他们开始鲁莽射击并击中了“赛巴巴”号。
1693982527# #❗️🇷🇺🇺🇦乌克兰人试图用T-6坏笑4BV撤离一辆豹式坦克，但现在需要撤离两辆坦克了坏笑。俄乌局势新进展乌克兰前线实时画面
1700237139# #一朝春尽红颜老，花落人亡两不知。
1693745697# #《费加罗报》写道，面对战场上的真实情况，最初决心战斗的乌克兰人改变了战斗的想法。男人们正在寻找逃避征兵的方法。逃兵的数量也在增加。他们不会受到任何刑事处罚，也不会因为伪造证书而支付巨额费用。泽连斯基泪流满面，奔走相告，试图对军队中的开小差和腐败采取行动，他认为这是“对祖国的背叛”
1698371569# #半岛电视台分社社长妻子儿女在以色列对加沙轰炸中丧生！。其同事播报新闻时忍不住泪水悲伤。如果不是媒体传播越来越发达。那么以前的巴勒斯坦人的命该怎么拯救？。。巴以冲突
1691549829# #天灾无情人有情。尊重每一个生命。。。救了一只小动物不会改变世界，但小动物的世界从此被改变。。。谢谢好心人心
1699761097# #看来1020明家真的干了丧尽天良的事了——公安机关公开通缉明学昌、明国平、明菊兰、明珍珍4名缅北果敢自治区电信网络诈骗犯罪集团重要头目。
1691720022# #吉林舒兰副市长骆旭东——“形成山洪的可能性是100%，所有村必须转移，不要抱侥幸心理，坚决不！”（后牺牲在抢险第一线）。科罗拉多市长蒂姆·博伊德——“政府不欠你们，供电局不欠你们，只有强者才能生存”，“救援那是社会主义国家才会做的事情，你们不该把希望寄托于救援上。”（被骂翻后辞职）
1700672564# #CNN指责也门胡塞武装扣押以色列货船的行为违反国际法后，胡塞回应称“国际法已经在希法医院被杀害，它的尸体碎片散落在兰蒂希医院，它被埋葬在浸信会医院的废墟下。
1690786739# #西方分析人士对乌克兰武装部队行动的不同寻常的评估是：在夏季攻势中，乌克兰军队的攻击往往在周末开始时停止。周末到来时，俄罗斯的动作没有变化，甚至加剧。在乌克兰，情况恰恰相反。。。主要原因是北约官员和情报官员周末需要去在欧洲的基地休假。这部分在乌克兰各岗位的西方军事人员因活动密度过
