1696511607# #世界贸易组织：将2023年商品贸易增长预测下调至0.8%（之前为1.7%），将2024年商品贸易增长预测上调至3.3%（之前为3.2%）。
1697417031# #自从晒了我的签名后，一本都没人要了，哎，好侮辱允悲你们不要这样子黑线
1698721752# #加仓小万万！物超所值！
1703747204# #今天跑赢沪指还是很容易的吧？你们跑赢了没
1691506578# #直播就是今晚的收评，比文字收评详细多了，晚安😴
1702479136# #吴晓求：中国金融市场改革开放重点何在？
1701741544# #狠狠破一下吧，该割的割吧，磨叽没有未来，加油⛽️
1699625526# #小伙伴看完直播后写的一点感想，遗憾的是今天资本市场不太给力：。。11月9日晚在华为智慧出行解决方案发布会上，华为智选车首款轿车智界S7正式发布。我全程看直播看的热血沸腾，不断惊叹现在造车更新迭代的技术真是强悍！。。智界S7是由华为和奇瑞联合打造，采用全新OneBox造型设计，首发搭载HarmonyOS4鸿
1687770314# #你们应该听什么样博主的话？哪种人才是靠谱的？三个月前，我说的话，是否依然坚持？去年的话是否坚持？补缺我动摇过吗？突破6124创新高我动摇过吗？我的持仓动摇过吗？有没有抄底逃顶？如果都是正确的做法，你可以不相信，但如果你嘲笑我，扪心自问谁傻？
1695656190# #后天新书正式开启预售，到时会公布书名、封面、目录和大海报。为方便大家日后交流读书心得，我考虑弄个同名超话，让大家可以长期交流学习下去！也算功德一件，针对你们心得写得好的，我多多转发一下，有好问题，我也认真作答！共同进步，共同提高。这样你们就以最小的代价获取了最大的进步，我会替你们
1699800434# #关于热爱：如果生命是一场密室逃脱，那么热爱就是安全出口。。。书和股，我都爱，大爱无疆！
1687955690# #这到底是个什么破榜啊，终于让我上了一回，还把李大霄的名次搞那么低，哪里符合他财经第一网红的名号啊？！
1702711753# #东方贾选的问题是：。。把老师硬生生逼成了售货员。我见过很多做销售的，口才了得，死的能说成活的。但就是书读得少了一点。销售员用口才搞定客户，董宇辉用口才搞定了课本知识，然后搞定了粉丝。成就了自己。。。CEO忙乎着搞定主播，自己想当当家主播。。。小编无当主播之志，空有反水之心。。。老俞不去搞定C
1698362715# #的确如此！
1694916695# #《中华人民共和国证券法》第一百八十六条：违反本法第三十六条的规定，在限制转让期内转让证券，或者转让股票不符合法律、行政法规和国务院证券监督管理机构规定的，责令改正，给予警告，没收违法所得，并处以买卖证券等值以下的罚款的条款给予严厉惩处！
1695876590# #明人不说暗话，做个小调查，你打算几成仓过节？
1688560006# #朋友想让我去淄博吃烧烤，我觉得吧，可能会便宜一点，但味道肯定没有网上炫的那么夸张。吃过的说，是不是这样？
1697190808# #读纸质书的感觉，真的跟看文档很不一样！感觉有板有眼多了。嘻嘻
1701581756# #在大家都很悲观失望的时刻，我想细化一下我的目标，就沪指年线来看。我个人坚定认为，2024、2025、2026有可能走出三连阳势态，而且其中一根阳线，会直接有效击穿6124点，从而确立一场真正的反转牛市。在此过程中，虽有结构性轮动特征，但最终可能99%的股票都会迎接上涨！市场目前最缺的不是钱，而是赚
1703985570# #梁朝伟：我从不相信股票因为我很害怕输
1701012686# #华为会在重庆设立一个从事汽车智能系统及部件解决方案的公司，长安汽车会入股。长安汽车董事长朱华荣亲自去深圳签的约。
1695223984# #茅台又推出了999元一晚的“茅房”，做了那么多跨界，突然让我想起了七八年前的乐视网，你们觉得茅台的命运会如何
1698574990# #君不见，最近回购、增持的上市公司密集发布此类消息，牛一些的如宁德时代的实际控制人之一、董事长兼总经理曾毓群，提议以20亿元至30亿元回购公司股份。在三季报频发的档口，A股我认为有望开启冲击波了。三千点下方的时候，就是捡钱时刻，怎么扯犊子都没用。今年收官应该不会差，毕竟差一年了。大型公
1702875542# #分手了咋整，这样搞男的容易有恃无恐。不过还好，分手后只用洗掉最后俩字
1702000192# #华为明年部署超10万个超快充桩，称实现“有路的地方就有高质量充电”。。在12月7日举行的世界新能源汽车大会期间，华为数字能源技术有限公司总裁侯金龙发表演讲表示，将推动全面高压化、超快充，推动新能源汽车与充电基础设施高质量协同发展。侯金龙表示，华为数字能源将携手客户、伙伴，计划于2024
1695131062# #今日简单收评：今日窄幅震荡，缩量为人诟病，市场传基金经理转行，一般都是底部区域的特征。技术上要选择方向了，但是考虑到市场的狡诈性，喜欢在真正选择之前耍阴招，而明天才周三，所以明天就先观望观望，原则上是买跌。周四周五估计不会差！同时节前表现一般，节后表现就会好很多了。我认为一些板块
1687961541# #今日收评：海底捞月不是底。补缺越是费力，未来行情越是大。补缺是拉仇恨，主升浪是买卖爱情，合起来就构成了江湖，组成了“爱恨情仇”。晚安，今天打算再睡早一点！
1690245295# #我认为大时代里讲的股票蛮浮夸的，靠那些道理屁用没有允悲
1695978833# #第一？有点不敢信呢！。。对于收货时间，网站写的是最保守的时间，因为如果写早了，没收到一旦遭遇投诉，惩罚措施就很严重，所以把极端情况都得考虑进去。我的建议是，忘记假期十天，别去考虑网站上怎么写，然后很快就到你手中了。所以，还等什么呢哈哈哈哈笑cry
1699262865# #万科作为中国房地产标杆，它如果出问题，那我们的房地产就都出问题了！
1697243902# #网传全网自媒体大V要实施前台实名制了，就是大V的真实姓名要在一级页前端展示。。。哈哈，咱不怕，从来都是自己实名的！！！。。但，好多人好奇的村花这次藏不住了吧！
1691075853# #随喜，晚安，乐享，顺意…
1688957559# #别给我画饼，我早把碳水戒了哼
1687949748# #深圳龙华这家鹤岗小串味道太赞了，回味无穷！！！横扫了这一整排小吃，周末来的话得排队，只能抽平日不忙的时候来。我特别喜欢他们的家的牛板筋，吃过太多牛板筋了，也就他们家的牛板筋征服了我，味道、嚼劲、蘸料都非常给力，所以我才主动发了这条博做个分享！老板娘人也很好～～～
1700959997# #周末舆情监测
1688431733# #早安，收评再现，江湖故事！年年岁岁花相似～
1701759677# #昨天就打算发出来的，但没写出来。今天跌破三千点，还是鼓足勇气，坚定地发出2024年姚忠震八大预测：。。1.2024年A股重心缓缓上移，正式开启牛市。。2.牛市虽有结构性特征，但总体仍是全面牛。。3.人民币汇率开启升值周期，2024年存在8%到10%的升值空间。。4.牛市高潮应该是在2025年，突破6124点。。5.牛市第一波
1696834133# #今天探底回升，是好事，相信十月会有好日子过。不过注意今天的“大长腿”，别心里老想着一蹴而就，只要把握住大方向，它爱怎么玩就怎么玩。今天我绿的持仓我就坚定加仓，没啥好讲的！赞同就跟上！
1699246976# #辛巴给慕斯床垫这家公司道歉，网友热评：。。是糖水喝多了，多喝点墨水就好了……
1689260186# #做个小调查，看看你们盘感如何？就说明天的医疗股的涨跌！
1692374332# #研究延长A股市场交易时间虽然这事对我来说，是好事。给我增加了可操作时间和机会。但是对于市场本身和众多参与者来说，我觉得似乎不是个好事。好比一个不行的男人，在床上呆多久都没用。这种政策适合在牛市中程再去发力，包括修改t+1。
1703560456# #我只是含泪默默在该加的股票上加点。除此之外，也不知道还能做什么说什么。祝大家好运👍
1690622977# #谁说业绩好的股票就不能跌，业绩好的股票可以跌，但这样的跌不是该排斥的，你可以理解为倒车接人，跑去更远的东北方挤眼看小龙龙业绩预告有感而发！
1689293831# #万润是正宗存储芯片龙头了，可是一点上车机会都木有，放弃允悲
1695658468# #基金挣钱了，衣服至今没卖完，还有不少，但我都不好意思宣传。卖书我很有底气给自己宣传！我希望卖书挣越多越好，为这个行业挣气，为自己争口气，愿这本书陪伴我走过下一个十年
1687778346# #胡锡进入A股，李大霄给建议，哈哈哈哈，哈哈哈哈哈～李大霄说不会跌破3200，这回被骂惨了...
1703951078# #女孩子会送我粉色的花呀嘻嘻
1698648351# #周末爆葛兰加仓康龙这事，还得考虑一个情况，康龙除权了，股数会自然增加30%。所以实际加的可能没那么多。当然，这是我个人的猜测，媒体喜欢放大真相，我们不得不谨慎一点。不过今天这走势，结合前俩交易日表现，倒是真有人在大手笔加仓，并做了长期规划了。你认为会是葛兰吗？
1687827629# #很多人都在分析胡锡进入市会咋样？一般新手入市就跟新手打麻将一样，手气都比较旺。一上来肯定是要先赚一把的。所以，我们暂时能沾沾喜气，大概率没差了z。
1695105523# #十几个点，玩了一天，个股感觉很汹涌，看似要变盘了……
1693652016# #很多人高喊t+0，我当然知道不是所有人都能驾驭它。可以先试点，搞有限制的单次t+0，创新改变不宜步子一下子迈太大
1689078800# #这不是狗哥的名言吗
1699356748# #大家好，今天追加一场直播，一直到元旦，每周直播解答投资困惑，系统性讲投资体系
1703148902# #降息了！
1691734734# #指数大跌，说心里话没啥感觉，因为我知道，跌是给机会，不然减仓意义在哪儿呢？淡定加一点仓，虽然基金净值短暂受点影响，可前景讲真，更清晰了。下方缺口越是趁早补越是淡定才是。妥妥当当跑赢大盘就行！
1692001553# #两个人谈不拢怎么办？？？
1701659224# #2023年即将结束，2024年很难比今年更差，本次直播，我们附上盘面，好好畅谈一下股市和人生。悲观之中，想再从理性分析的角度，给大家带来一点希望。微博电台计划大咖说财经
1703642633# #市场最大的矛盾就是看上去一根大阳线都不给你，你觉得弱得都要崩盘再也看不到希望了，但上面真没有弄出一根大阳线的本事吗？如果你不这么看，那为什么要这样极致调整？想想是难过还是喜悦呢
1698553163# #又见豪气分红！净利98亿，派现超50亿！A股三季报分红创新高
1704113417# #再说一次，这次妥妥的
1692960906# #股场如赌场，是我劝退得了的吗？即便你暂时退了，大盘连续上涨半个月，一个个还🉐️忍不住回来，这就是人性
1695898660# #海鲜我不稀罕，就是这些甜品让我发疯——
1696990440# #华为概念，收藏
1694410451# #之前选择老老情人东宫华妃，肤白貌美大长腿，基本面本来很不错。可一直跌，含泪加仓，后来看到是哪个外资基金的持仓，那你狗日的赶紧走吧，咱们玩！
1693022963# #说我没时间预判的真是无语了！一月份破三千指明见底，主升浪后点名了几个月的大喇叭和补缺从没动摇过一次，补缺当晚直言类似于整数心理关口，还要破。现在就是底部位置，就是极限施压，还要什么自行车，搞笑！
1687446675# #周星驰宣布筹备新电影少林女足。。对女演员的要求是不同国籍、年轻貌美、身材标致、天资聪颖、体能出众的靓女...
1693730409# #刘煜辉：量化交易在中国为什么需要限制？
1690975932# #一句话证明你在公司的地位！
1702039107# #这个月多互动就行了，特别是周末，我上榜，粉丝前三名跟着上榜
1697426514# #分享图片
1698714390# #【华为首家完成IMT-2020(5G)推进组5G蜂窝低功耗高精度定位技术验证】《科创板日报》30日讯，据华为中国公众号消息，2023年10月，在IMT-2020(5G)推进组的组织下，华为首家完成了5G蜂窝低功耗高精度定位的关键技术验证，包括基于5GUL-TDOA的控制面定位架构验证，以及在LOS/NLOS场景下，实现了普通5G手机
1703558562# #2900，是要破破更健康吗？反反复复。让多空都不满意，这么玩是服气的。坚持到最后的也会有福气！
1691729697# #今天收到了出版社经二审二校后的稿件以及出版意见书。原稿25万字，审完删掉了两万字左右，需要我做进一步确认，再精修一次。排版已经完成，封面还在修改中，文中配图需要再增添一些。这次改完之后，就可以正式印刷发行了。我估计国庆前后完成吧。书名想了好几个，不知道用哪个好，不行到时候就搞个投票
1689910069# #后面你看压不压得住吧求饶
1703078310# #又出传言，A股即将禁止做空了，只准套期保值！看路边社的野花是否再一次符合真香定律？！
1698884594# #财经早报：特殊再融资债首月发行超万亿中东巨头不断增持中国股票
1693833473# #美酒加咖啡是茅台和瑞幸的联姻产品，价格很亲民，就是味道恐怕难以长期维持热度。反倒是股市有机会快速完成大反包，直接带领A股走牛，视频中已经给出了些许理由！
1692778135# #自媒体上多是片面的评论声，大家一定要注意这一点，不要跟随着做乌合之众。还记得我之前减仓券商的微博吗？当时下面评论的全是嘲笑我的，实际上我那只券商连留存的利润底仓都在高位上清掉了。然后我说我的老情人等跌了慢慢加仓，现在我按计划加仓，又是嘲笑别人“爱国者赚”的。我真不知道说什么好了。
1690301549# #收评：不好意思，收评有事耽搁了。长话短说，今日大阳线大缺口，一般这么大缺口，放量上涨，导致上冲动能存在惯性，且政策可能加码，短期内回补概率较低，中长期回补概率很大。但同时因为这个新缺口存在，下面那个缺口的意义就被弱化了。所以总体而论，可以让子弹再飞一会儿，由于我们一直是九成以上的
1698224827# #哈哈，修身齐家治国平天下，治股也是一个意思！炒股本不复杂，复杂的只是人心！欢迎大家多发超话啊……
1691736713# #淘宝8月8会员日搞活动，给我妈买了个ktv的点唱机，终于到货了。在一点上，我完美继承了我妈的基因，我们相互指责对方唱歌难听是一点都不留情面的。这回，我可以把她的歌录下来给她听了！
1689919053# #对百岁老人感兴趣的，可以看看他的两本著作，《论中国》和《国际秩序》，相对而言，后一本要难读一些。二选其一的话，我推荐前一本。基辛格还是不错的，在年代剧外交风云里被演得非常调皮可爱。基辛格除了来中国，更应该做的是以长辈的身份劝劝他们的那些老总桶们，务必顺应世界大趋势，别做逆潮流的过
1701242623# #【十条查理·芒格的名言：找出你最擅长的事情，然后持之以恒】。1、不要同一头猪摔跤，因为这样你会把全身弄脏，而对方却乐此不疲。。2、许多IQ很高的人却是糟糕的投资者，原因是他们的品性缺陷。。3、找出你最擅长的事情，然后持之以恒，乐此不疲地去把它做。。4、只要做好准备，在人生中抓住几个机会。迅
1696861765# #这都啥年代了，还有人逼逼卖书能赚钱。好吧，今天我承认了，高估你们了，以为几条微博发出来，大家会踊跃抢购，所以订购的书按铁粉标准来的，结果完全是另一番景象，平时点赞怎么点都可以，但是花钱买书绝对不行，花更高价开v+就行。结果怎么样？我朋友很清楚情况，想自己买一百本支持我，我坚持不要这
1698974874# #医药行业前三季度净利润增速50强
1695311139# #中国足球都二十分钟连进仨球了，中国股市是不是也该醒醒了。
1696222049# #一个人能在股市中能有多大作为，还是摆脱幸存者偏差，不是全靠自己说了算的。对外看天时地利人和，对内看自己的追求和性格。巴菲特之所以成为巴菲特，天时地利人和他全占了，这是前提，他出生在1930年，是世界经济危机刚开始的时候，等他长大成人开始搞股票了，股市已经开始复苏，这是天时；巴菲特说他
1687749446# #缺口只是象征意义，行情磨叽至今，其实缺口没那么重要了，自己该咋整咋整，牛市跑不掉的，不要因小失大
1690983689# #放你妈的狗屁
1695013796# #分享图片
1698233844# #私募排排网调查结果显示，64.52%的私募认为市场已经见底，近6成的私募坚定看好未来A股行情选择加仓。。。高毅冯柳单只基金已曝光超175亿元持仓。。私募排排网统计数据显示，截至10月25日，目前有24家百亿私募出现在57家上市公司前十大流通股名单，合计持股市值为562亿元，其中增持上市公司有12家，新进上
1701352583# #今日收评：悄然间十一月行情结束了，作为不大，原地踏步。但取得了拿时间换空间效果。十二月我认为会比十一月好。各家基金年底排名之争进入最高潮阶段，都在暗自使劲呢。真正的风格转换要到十二月月底或明年一月才能看清晰。也就是说，十二月很安全，大家可自由活动。策略很OK的人亦可无为而治，或开启
1700013391# #回落是补缺，补缺再上嘻嘻嘻嘻嘻嘻
1691651136# #吃瓜吃瓜吃瓜🐮🐮🐮
1696419640# #有人提出异议，现在卖个书还搞预售，卖房子的那一套学来了。。。解释一下，这是俩概念啊。房子预售，是为了尽快回笼资金，反正房子就那么多，都是提前规划好要盖多少的。书可不是。预售先看看市场情况，反响好坏是会影响首印数量的。当然，现在世道不好嘛，提前预售一方面是缓解粉丝期待，另一方面也是相
1697519201# #分享图片
1694961153# #韩教授在从微博离开前，我曾建议过他去头条上发表文章，不过他拒绝了。原话就不讲了哈，因为话太直了，反正就是拜拜，所以那边看到的号肯定是假号，请知悉！
1692153567# #医药反腐中多地启用廉政账户：鼓励缴款人用实名存入。8月15日，安徽池州市卫生健康委员会发布公告称，为确保全市医药领域腐败问题集中整治工作顺利开展，市卫生健康委设立廉政专用账户，存入范围包括：市卫健委机关及市直卫生健康单位工作人员以权寻租的非法所得，接受市卫生健康委管理指导的社会组织工
1692952221# #股市真的很罪恶我承认，但是带给它罪恶的，恰恰是每一个评判、参与其中的你！
1700188395# #转：原来这些名人都是深圳学子：。。1、汤唯。初中跟随父母来到深圳就读于深圳红岭中学初中部。。2、周笔畅。因父母工作变动6岁跟随父母来到深圳就读于福田中学。。3、华语金曲奖。全国最佳女歌手刘惜君毕业于沙头角中学，也就是现在的盐田高级中学的前身。曾在高一时期就推出了第一首单曲贝壳风铃。。4、偶
1691391117# #『反腐风暴！年内近160名医院院长、书记被查！医药股暴跌1500亿！』
1689670449# #7月18日，一场别开生面的下线仪式在湖北襄阳举行，国内首台氢能源地铁施工作业车在此正式下线。本次下线的氢能源地铁施工作业车，采用氢燃料电池作为动力源，具有绿色、智能、高效、可靠等优势，必将助力中铁武汉电气化局抢占氢能轨道交通发展“新赛道”，进一步增强市场竞争力，也将为襄阳市打造中部
1698325332# #收盘之后，去海边钓鱼，看自己耐心几何。钓鱼跟投资一样，都是一条孤独的路，时常一无所获，但坚持下去，我相信就一定有收获！
1688047259# #立马补上！
1687873045# #今日收评：今日缩量大涨，而且大金融不是主角。行情的确准备回暖，我在下跌时极力鼓励大家乐观。如今上涨，还是理性劝诫，大喇叭形至近仍未走完，见涨开心没问题，积极布局也没问题，但注意最后一跌的概率还是相当大。只不过你可以将指数看淡。预则立的意思就是，再遇下跌可以看淡一些而不慌，而不是说
1696434719# #再说，还有时间呢，这一次可能产生新剧本，每次我们闭市，外围先涨后跌，我们对此已经腻味了。这次拿到新的剧本杀，多头会更投入一些！
1694183009# #关于新书，很多支持很久的粉丝估计会想要些福利，对此周末有时间跟你们讲一下，现在全书加前言预估350页，投资书本来就偏贵一些，我买过很多书确实如此，本来出版社定价88元，我也给大家推荐过很多书，很少有低于这个价格的。但是，最终在我的坚持下，只定到了68元。我希望薄利多销，将好的理论带给更
1692973467# #有个评论挺好——简单明了——。。“牢骚太盛防肠断，风物长宜放眼量”，伟人的诗句正有益于当下…
1698191081# #是学聪明了，如果不是微博需要，我也不观察
1692286329# #作揖
1688564515# #扫一眼消息，以为是李玟发布姐姐去世，各平台推送看多了几遍，原来是coco李玟轻生走了。太感慨了，之前是知道李汶腿脚有伤不便，甚至无法正常行走，一直在调理。哪知还有抑郁症，斯人已去，留下的只是高亢灵动的歌声绕于耳际。coco，一路走好蜡烛蜡烛蜡烛
1694068342# #今天是不好看，但还是含泪加了心血管方面的龙头，原来买过的老票，小乐
1696737886# #通知：这几天问我新书啥时候邮寄到的人每天都有，今天统一如下：新书已经印出，出版社已经入库，然后开始流向各渠道。也就是说下周大家就有机会看到了。对于签名版，我大概三四天能收到，然后我分批签分批寄，下周末就让大家收到书。对于没能赶上十一黄金周，我很抱歉，我们都很尽力抢时间了。对于
1689078946# #这个市场太大，融资太容易，让很多人暴露了本性，很无奈。解决问题最好的方式还是得靠市场亲自来教训投资者，反身性教训融资者！用魔法打败魔法！
1696937318# #昨天半夜我还在深思，我在四十岁之前，我的目标是出四本书，现在完成了第一本，第二本也是写股票的，目的是为了完善第一本。第三本书我想写给当代的年轻人，特别是爱读书的年轻人。第四本是写给自己的，希望出版一本长篇小说，我很清楚我自己，这辈子不出版一本长篇小说，我应该是不会甘心的。名字我都
1690934814# #看到没，新浪财经这就是嘴炮的典型，为卖收费文章天天抓涨停！真这么猛，新浪很快就可以独霸天下，BATJ都可以买下来了！允悲
1700708518# #说来很奇怪，四个赎回的，三个是要买房子，而且都是一线城市的房子！要么孩子结婚用，要么孩子上学用为主流，让我觉得房子真是压在我们身上的一座大山！
1690786511# #新浪基金：据中央纪委国家监委网站消息，7月28日，纪检监察机关配合开展全国医药领域腐败问题集中整治工作动员部署视频会议在北京召开，中央纪委副书记、国家监委副主任喻红秋出席会议并讲话。。　　医药医疗股今日持续走低，多股跌超5%，市场跌幅榜居前股多数为医疗医药股。。　　中欧基金明星医药基金
1687064535# #昨晚做梦，梦到自己长了很多胡子，下巴没有哈，谁能解这个梦？
1697899090# #投资之韧让规律绽放价值超话。。大家请记得关注此超话（点击进去关注），然后多发读书感悟和疑问啊，每当我点击进去，想回答点什么，一看没有新帖子，内心是拔凉拔凉的～里面有些感悟还是挺深刻的，你可以去看看，好的感悟我都会转发，好的问题我都会解答！
1689086237# #公众号：姚忠震，更新的内容多一些，有兴趣的可以移步关注去看，这儿就不复制粘贴了。
1701789701# #累了，晚安，直播快乐，请记住今天的假设。那么遇跌就很坦然了，我不认为还能创下去年的新低点，支撑在有效上移。
1692693033# #又出了什么大作文？发来，我欣赏一下！
1687267295# #今日收评：如今的盘面，极限拉扯，让我回想起了2020年年底，我刚开始做基金那会儿，撑的撑死，饿的饿死。那时候比现在更残忍，因为指数上飙，可是你就是不赚钱。现在也就是沪指还挺着一下，没飙，在震荡调整之中，其它指数一泻千里。类似的表现在于，现在只要是跟人工智能沾边的股，就是牛市，那时候只
1691462064# #今天8.8淘宝搞活动，想给我妈整个简单一点的，性价比高的ktv，不需要太专业太复杂的，有推荐不？去看了下，表示还要上门安装什么的太麻烦了。
1693962278# #凌晨，突然想到一个新书名，叫《投资天下式——从心所欲不逾矩》，天下式这个词取自道德经第二十八章，知其雄守其雌，知其黑守其白，为天下式。宣传语可定为：将投资规律融入技术，让技术拥有时间价值，技术、规律与价值相合，是为天下式！很努力想个好书名，大家请认真投个票，如果大部分人不接受，不
1698846060# #今晚消息还是看大金融！在消息量变引发质变的过程中，初期你看不起，后期你高攀不起！历来如此！
1693382810# #这两天，大金融是掀桌子的走势，然而也没把指数干下来，价量关系始终正常，那么就让子弹再飞一会儿吧。大反包是注定的，就看需要用多久而已。还能确定的是，未来的大阳线肯定比周二的还要大！
1701069200# #北交所的牛市不是牛市，一花独放不是春，百花齐放春满园！
1697427657# #有人问什么时候进入上涨周期？。。答，这个问题看你较真到什么程度？不太较真的话，很容易想明白，转势就在一瞬间！
1700298762# #看了别人晒的流量费，才知道刷微博也能勤劳致富！这种世道下，写书需要靠情怀硬撑了，卖书要靠恶心自己，成全别人了。坚持！坚持！有人问我，你这辈子肯定不愿再写了吧。错，继续中！这跟投资是一样的。一些人想走捷径，等市场好了再进入，等市场好了再写，我们是始终坚持在市场一线，见证成长、成熟、
1700705994# #对不起，下面（第三页）要讲的这个股快涨停了允悲
1698490389# #击鼓传花的游戏可不一样！你懂的！
1688886030# #天风证券江苏那边有营业部被爆出了状况，告知一下哈！
1692774269# #这么回踩的话，建双底的步骤都可以免去了。从明天开始，A股可以雄起了。别再当凶器了。第一步，突破3418的大喇叭顶点。技术规律已经现形，大喇叭的主跌已经走完了（大喇叭会遭遇主跌浪，这是注定的）。每一根阴线都是黄金坑。没必要在主跌浪的末梢形成恐慌心理，该有的恐慌早已在当了几个月的惊弓之鸟
1700391109# #这文字很漂亮啊。而且除了名字，我好像全看懂了笑cry
1701007023# #北交所表现这么好，也不被监管指摘，充分证明了在行情不好的时候，上面会放松管制，寄希望于市场进一步释放流动性。这才是最主要的矛盾。同时我相信，市场风格的转换问题时不我待了。如同2021年初，那时候除了蓝筹股，其他股票都不好使，可很快中小创的机会就来了。市场如今缺信心，缺赚钱效应，所以反
1703833449# #这也太…恶心了，尾盘做业绩吗？
1695015381# #九月以来股东净增持股北上资金净买入排名
1693531504# #人民币昨夜和今早表现喜人，不得了！利好于股市📈
1702810036# #你不应该这么说，我知道我写作还不错，但至今为止，很多人都割过我这种老实人的韭菜，唯独A股让我实现了逆天改命！
1700662218# #华为智能汽车研究分享，再往下的内容涉及个股，因此略去！
1697371581# #有人担心，出差基金怎么办？。。哈哈，不至于，一个基金经理如果天天只能盯盘，离开了盘面就放不下心，是绝对没有大出息的，也是无法实现单股十倍以上收益的，可能连三五倍都难。大道至简，不只是说说的，就需要经得起各种考验！我也一直在被考验！这都不是事儿！因为我的方法本就很简单！
1700455735# #为什么不少人都在说李大霄投降了，在劝退股民，我没看到相关微博啊？一脸懵！
1693199108# #很快就有领头羊了！嘻嘻
1694746326# #昨天刚怼死那种笑话我cro不涨老是垫底的，今天就牛给你看了。你们说，到底是谁更丢人啊允悲黑线裂开委屈笑cry
1695370972# #我觉得这位粉丝说得很对！
1701236986# #股票投资是门艺术，退而求其次是技术，再次之是算术，再次之，就是不学无术，包括很多经济学家学者、首席、研究员专业人士之于股票！总而言之，在市场上长期存活下来，才是一名专业投资者的专业底线，也是基本要求！其他的，都是白扯！
1703831835# #今天是今年最后一个交易日了，清仓了一只股票，来年再战！为开年腾出空间！祝大家好运，一起并肩作战，今晚直播七点半好好絮叨我的想法和做法！
1695023682# #在人工智能方面，他建议投资者将资金投入采用这种新技术的公司，而不是那些创造这种新技术的公司，“这就像穿越时间隧道。我们将进入一个不同的世界。而颠覆者将会被颠覆。我不需要挑选那些正在创造新技术的公司。我需要真正挑选那些以最佳方式使用新技术的公司。”
1696767613# #明天就是A股的十月首秀了，是涨是跌，评论区亮出你的观点吧！吃瓜吃瓜吃瓜
1693929324# #三亚裸奔可以吗允悲摊手思考委屈裂开
1699097181# #国海证券本次定增的发行对象确定为14名，包括控股股东、实际控制人广西投资集团及其控股子公司中恒集团、广西金投以现金方式认购，其中广西投资集团出资9亿元认购本次发行股份，中恒集团出资3亿元认购本次发行股份，广西金投出资8亿元认购本次发行股份，合计认购金额为20亿元。。。　　值得一提的是，
1695170167# #有人还在问我金帝，问我限售股的事怎么看？。。这事其实很简单，限售股的本质就是限售，限售股就绝对不准流通，明明知道到底会不会绕道把出借变成减持非常难查，那政策出了偏差就得及时修正过来。允许限售股流通目的是为防止新股上市被恶炒，但是能被融的券小散根本融不到，很容易被垄断，这就说明实际与
1693733022# #看了好些视频，都在讲量化是如何利用T+0割韭菜，我只是觉得讲了那么多东西，其实跟量化关系都不大，这是大资金都能做，管你是不是量化是不是机构。错的只是股民，没事追什么涨停啊，尤其是二十厘米的涨停，三个涨停还敢追？怨谁？
1693448181# #科创板在走强哈！
1695739910# #哈哈哈，大红的。好喜庆。说一下，今天下跌很正常，开盘就说了这件事。关键在明后天，多头容易发生猛攻，我是不打算降低持仓过节的，跌的股反而还在少量加仓。期待最后两天大力出奇迹。最后公布我的新书事宜，明天当当京东开始预定！需要签名版请私信我！
1700302213# #倪海衫的直播问答环节，到底是当代女大学生们的真实水平，还是演出来的呀？真令人无语！
1703511136# #回忆回忆。忘记过去，就意味着背叛股市笑cry
1687136281# #写博七年有余，至今没被禁言过，似乎有点遗憾。是我尺度不够吗？曾经嬉笑怒骂也不少啊允悲
1696768393# #做个投票看看民意，你支不支持A股延长交易时间？
1697125880# #肯定很多人被A50吓倒了，没事，两个体系和体量大有不同，看看就行！别玩成了完全相关关系。您可别急着喷，这次A50飙起的时候，我也没截图刻意吹捧它！晚安各位亲～
1687850186# #明天好像还能吃板的样子，关键是板块崛起了，涨停都是蓄谋已久的求饶
1702533497# #赛力斯：问界M9新车预订已近4万辆。。12月14日，赛力斯有关人士对记者确认，问界M9新车预订已近4万辆，同时，赛力斯位于重庆的工厂正在抓紧提升产量，并已经开启了每天两班倒的生产模式。（上证报）
1695887497# #今天你们的股票怎么样，我这两天都还行，也没怎么减仓，安心过节！鉴于周四周五盘面都挺住了压力，料想节后不会差！继续看高走吧，我基金等分红已经等很久了，有的投资人说元旦旅游的路费就靠我了允悲
1691073664# #值得一提，明天上午发改委、财政部、人行、税务总局要一起开新闻发布会，探讨打好经济组合拳，很可能对股市会有所提及，释放一些信号，那明天股市确实是很好拉升的…
1691117062# #今天懂得操作方向是减仓的，似乎更理性一点。当然，也许我狭隘了！
1702696930# #也来说说俞敏洪、东方小孙和董宇辉这三人间的“三国杀”吧。。。事情的起因，其实就是董宇辉名利双收，功高震主了。小编的背后即小孙。当然，小编也不服气，觉得董你就这点伎俩，凭什么你赚大了，成了顶流，我们还在背后见不得人，偷偷摸摸地挣着几两碎银子。。。董宇辉的爆火，其实是整个社会对于书本知识
1703125841# #恭喜看破2900的人，你们取得了很好的胜利。不过我现在最怕的是盘中逆风反转，所以我坚持自己的持仓、观点和策略。
1697066072# #做个小调查，之前那么多次高开低走，这次又是怎样的故事？
1699431193# #这条简博信息含量不高，但对于某些大家最关心的问题，其实已经间接回答你了，个股提得太直白就没意思了，对吧？机智如你！
1703575474# #今晚七点半，微博直播，你们吐槽我来听，不见不散！
1687582923# #仗没打赢，内部先发生兵变了。俄乌局势变得更加扑朔迷离！
