1703755378# #繁花。玲子收阿宝天价饭钱真相终于找到了！汪小姐成最大牺牲品
1703475863# #《一念关山》。没有人天生就是一个凉薄之人，小时候的他在如意眼里也许不凉薄，因为那时他是一个有师父爱的孩子，无忧无虑，但是走到现在，身边敌人众多，所有人都在贬低他的身份，身边无一人真心，他只能依靠自己，凉薄是他的保护伞，他只是一个还不懂如何爱一个人的孩子而已
1701515972# #《很想很想你》莫青成承诺，剧（巨）保甜！。也许是相柳太苦了，爱而不得，所以演了一部超甜的剧来弥补。嘴角就像Ak一样根本压不下来的感觉你们懂吗？
1703554154# #《一念关山》。救命，宁哥刚刚退后的那一步，真的很奶，但颜值上就真的很有看点，总之就是本老夫的心爆发了
1703735368# #脱轨原来幕后的大boss是陈方舟！祁连遇到车祸也是他一手操控的，他隐藏的也太深了吧！
1702548133# #《鸣龙少年》。老师桑夏，整治重男轻女的家长，在令人窒息的原生家庭中成为女孩的一束光。面对校园霸凌和谣言，勇敢以对
1704244917# #繁花终于明白李李与A先生真实关系，难怪阿宝与爷叔闹掰
1702173423# #《很想很想你》。太爱檀健次～莫青成～锖青磁，想看你们亲亲，一集给我亲10遍快点搞起来色色
1703647631# #《脱轨》。江晓媛祁连俩人互相认为自己是有问题的
1702695606# #《与恶魔有约》。恶魔突然遭遇暗杀，自己都快濒死了可心里却仍想着要去救她！甚至因为虚弱到救不了她而心痛无助到第一次落泪！
1701741118# #《一念关山》。为什么他这么执着？和宁远舟生孩子呀？。这名字起的也太草率啦笑cry笑cry笑cry任小船
1702001730# #《很想很想你》。嗑cp的快乐周也檀健次的吻戏💋虐狗可耻…～～～懂不懂，不过你俩是真的好磕哦哇哇哇
1704030074# #繁花世人皆知上海滩宝总偏爱汪小姐，却不知道他更爱新来的灵魂伴侣李李，最后摇摆不定伤害了两个人，汪小姐因为他吃了官司
1703658987# #《鸣龙少年》。雷鸣走出伤痛，决心重返十一班，雷立州可能是个好老师，但是他不是一个好爸爸，但是中国式父亲，不善表达。赞同吗？
1704123029# #鸣龙少年沈耀主动帮李燃让他通过考试也学会了谢谢，江晴朗在边晓晓鼓励下选择训练营不参加高考，原来桑夏是连锁饭店小公主，所以雷鸣的债后来是桑夏赔了吗？
1701529698# #《一念关山》。李同光和任辛师徒虐恋，跪下求师傅怜爱，和宁远舟抢女人，被打倒在地，遭到自己人暗算，宁远舟及时赶到，救下李同光，两人联手达成合作，和杨盈一起上殿，公主身份暴露，两国出兵交战，如意远舟身份对立，十三被人暗算双目失明
1703864612# #神隐真是精彩的剧情永远在下个星期，又要等一星期
1702653689# #《一念关山》。我姨妈都快笑出来了笑cry笑cry笑cry
1702695702# #《一念关山》。前面他那么疯批我都没太大感觉，但他爬树上露出少年郎的笑，真的心疼，其实他最可怜，缺爱自卑敏感没有安全感大哭
1701739985# #《一念关山》。承认吧宁远舟，你坠入爱河了💘
1702341472# #《鸣龙少年》。鸣龙少年第四集上，一个问题老师遇到一群问题少年哈哈哈哈应该是每一个原生家庭都有问题，才让他们变成这样
1703602500# #神隐。神隐第十六集上，阿音对古晋情有独钟，可古晋却对她却没有这个意思，阿音便给他讲了，她和古晋的前尘往事，听完阿音的述说，浮沉便怀疑，古晋的情丝被人抽走了，阿音一下子猜到，抽走古晋情丝的人就是红绸。红绸来仙界筹备灵爻会，意外看到了阿音，便明确告诉她，不管她耍什么花样，都别想和古
1701530226# #《一念关山》。哈哈‼️家人们笑裂了😂这一群显眼包太搞笑了🤣快来追新剧
1703984276# #明知不可为而为之，明知逆而逆之;就像白蛇说：“无论他在世间何处，无论他是何模样，无论他还记不记得我，我都要找到他，因为我记得。”所以无论结局好坏，只要我们不放弃，努力过，“不管她变成什么样子，我都能认出她，能不能等到她都不重要了”
1701958054# #《两个人的小森林》。森林庄羽被虞美人发现手没受伤，庄羽的解释让人哭笑不得，千万别和直男讲道理
1703982660# #繁花大结局阿宝是爷叔私生子身份曝光！让幕后黑手付出惨痛代价
1701409854# #新闻女王史上最快求婚。新闻女王第16集让我看到了史上最快求婚现场。还让我知道了不能相信一个人的固有印象。里面的排球教练竟然真的性侵了女队员，真的是不是人啊，
1701414155# #刘诗诗打戏瞬间梦回龙葵这才是打戏啊！一整套行云流水好久没看到这么燃的了，一念关山看不够哇🐸🐸🐸
1701474871# #南海归墟第八集预告。胖子胡八一下水后，绳子竟然被割断了，危险来临，他们能安全躲过吗？
1703040583# #《脱轨》。江晓媛当众立下军令状没有完成总部的业绩将卷铺盖走人，没想到关键时刻昔日老师却给她带来一大笔订单！
1703951438# #繁花原来爷叔才是全剧最大反派，坑害阿宝家族败露只是原因之一
1704003962# #宋仲基是真滴帅，眼神绝了，宋仲基眼神确实迷人，充满魅力。让人仿佛置身于其中。
1702654493# #《一念关山》。：大结局任如意避孕被发现，问其原因震惊杨盈，宁远舟崩溃
1702294983# #星光大赏的粉丝太会整活了星光大赏的粉丝太会整活了😍对于传声筒和愿望板的活动大家都是在疯狂的整活，这都已经快要成为大家的许愿池了，就是不知道星光大赏的后台在看到这么多的诉求之后是否是会真的传达给艺人本人😂这要是真的能够满足大家看迪丽热巴在现场吹唢呐拉二胡的愿望的话，这绝对就
1702937964# #《风吹半夏》。所以，格局能决定一个人能把事情做多大，互联网物流现在两大热门行业，还有房地产，可想而知如果这个故事是真的，在现在得多牛逼……
1701959529# #《一念关山》。一念关山第二十一集预告，如果我是李同光，都要气死了😡不愧是钱怼怼，不鸣则已，一鸣惊人，直接贴脸开大
1702626727# #《火星情报局》。火星情报局第六季第七期2“感觉子异已经飘走了”哈哈哈哈😂
1703947643# #鸣龙少年雷鸣再次失踪，往事被推上热搜，十一班组织为他寻找真相
1702517985# #《一念关山》。宁远舟吐血花絮，主打的就是一个反差哈哈。正片有多感动，花絮就有多好笑笑cry笑cry
1703120587# #《脱轨》。陪伴是最长情的告白。啊啊啊啊啊你们小情侣别太甜了
1701478667# #电影《再见，李可乐》。一位暖心的父亲，为完成女儿李妍的心愿，他决定带着女儿远赴阿勒泰滑雪，却在滑雪的过程中不幸遇到意外，陷入脑死亡的处境。妻子潘雁秋得知消息，做出了一个女人最艰难的决定。也就在这时，一个小狗走进了他们的生活，成了他们母女两人争议的焦点……
1703430134# #《一念关山》。我的元禄啊，为什么啊，真的好心疼他啊，还有十三，他那么爱美的人，真的是一对意难平
1702343259# #《一念关山》。看样子，宁头很享受这样霸道的爱笑cry笑cry笑cry不知道是什么说什么！。只能嘿嘿罒ω罒笑哈哈
1703297916# #《鸣龙少年》。上一秒你怎么能拿我的养生壶煮泡面呢，下一秒“哎呀妈呀，真香
1701479261# #一念关山自古红蓝出CP！刘宇宁×刘诗诗同框即壁纸，每一帧都撩爆了送花花送花花送花花
1703343582# #《三大队》。没有线索也没有帮助抓到凶手谈何容易？选择放下的蔡彬只是想过普通日子。
1703852776# #鸣龙少年李奶奶突发疾病意外去世，李燃再度崩溃，沈耀暖心帮助
1702435247# #12月12日，94版《倚天屠龙记》导演追忆周海媚：特别难受，太不幸了。众星发文悼念周海媚。李玟走了，我没有过多的留言。周海媚走了，我也只是静静的看评论，最扎心的一句话就是:小时候看的明星一个个离世，好像一个时代在逐渐凋零！
1703084258# #《鸣龙少年》。鸣龙少年第十三集下，有知道最后那个画面是什么？
1701479404# #任如意换上人皮和安国总部接头被发现，小分队想杀掉如意&nbsp;"如意还救过他们三个doge居然和伙来欺负如意姐姐大哭宁远舟要咩了你们三
1701529616# #《一念关山&nbsp;》于十三遇到真爱后在战场上牺牲，杨盈为了两国和平选择留在异国，但依旧被他人残害&nbsp;，快来追新剧&nbsp;！
1703847423# #鸣龙少年李燃物理竞赛交白卷，沈耀道出背后隐秘，雷鸣当场气笑
1703310078# #《一念关山》。该说不说，你小子趴的还挺快
1701929867# #《锦绣南歌》。女孩刚进王府就被各种刁难，女主聪明应对，霸气反击……
1702694063# #《一念关山》。刘诗诗如意被徒弟刺伤，我的天哪，终于圆满了一回大哭大哭大哭李同光终于成长了苦涩
1703946189# #鸣龙少年暗恋是成功的哑剧，说出来就成了悲剧，那么你们知道雷鸣和谁在一起了？最后
1702456818# #《一念关山》。宁远舟怎么什么好事都摊到你小子头上了！这年糕，太粘人了
1703863724# #神隐元启到死都不会明白，阿音和凤隐并不是一个人
1703732176# #《三大队》。因为一个善意的举动小小的他拼命帮助他们！
1703989138# #陌上人如玉隐藏身份的腹黑世子×废柴千金两个人不打不相识，为了解除婚约斗智斗勇，从互看不顺眼到互生情愫
1702521586# #《鸣龙少年》。虽然李燃处处被沈耀针对，但李燃带沈耀走出了心结，两人和好，李燃在雷鸣的指引下考上了状元，物理的兴趣也开始研究东西，雷鸣一站成名，桑夏有点不相信了。
1701956298# #《一念关山》。杨盈人少不怒自威，任如意面前秒变哈基米，受气包公主要崛起了！
1701443425# #《一念关山》花絮，刘宇宁：这尺度有点大，我有点慌啊！哈哈哈哈哈！就问宁哥懵不？？？哈哈哈哈哈哈
1703175540# #《鸣龙少年》。十一班大显身手的时刻到了，好家伙，禹洋这嘴皮子
1703606458# #神隐。神隐第十七集下，灵爻会即将举行，澜沣帝君让华姝负责接待工作，华姝欣然接受，可对他的态度却冷冰冰的，她感觉澜沣帝君过于死板，为了家族的利益，她打定主意去攀小神君，不再搭理澜沣。幽洺王敖歌去参加灵爻会，三生石藏在他的袖子里，也悄悄的跟了过去。华姝让阿音去接幽洺王，手令上明明
1701662837# #你敢相信这只是小网剧的打戏和特效吗！简直可以媲美S+级别了！
1701957698# #听说很多人要看文咏珊的美，酷，飒...还有，不要打女人酷
1702480485# #《神隐》。神隐第八集下，想不到华姝竟是这般心眼，公主之称怎能与此相衬挖鼻
1702342025# #《一念关山&nbsp;》。揪领子这里明明是师父在教训他，他的身体语言却像在迎接一个吻，辛光太好磕了！假设这部戏是如意跟他在一起了，以后会咋样挖鼻
1702305447# #《与恶魔有约》。财阀千金与恶魔的极限拉扯！该说不说，这秘书有事真上啊泪泪
1702864296# #《鸣龙少年》。：大结局沈耀自杀曝光惊天秘密，沈母含泪下跪，求李燃放过
1701674996# #《夜城赋》。霸道女世子娶亲无赖男花魁，婚后发现捡了块宝！真是一对欢喜冤家啊允悲允悲允悲
1701661560# #《折腰》。家族联姻成为他的妻子，却被他处处为难，相处中慢慢对她另眼相待
1702097859# #《一念关山》。这阵容真的绝了，整部剧是不是只有我一人磕任辛和李同光吗汗
1701847334# #《一念关山》。贵妃虽然是恋爱脑，但是真的是好人，她知道喜欢的人是虚与委蛇，却从没有害过那些女孩子，知道侄女要嫁给心爱的人，也不是恨侄女，而是担心心爱的处境艰难，侄女也是侠肝义胆，主张人人平等，但是同光却是阴冷的自卑的人，他配不上贵妃，也配不上贵妃的侄女
1702607773# #《一念关山》。今天也是软糯糯的小公主一枚，喜欢小公主，何蓝逗赞赞赞
1701477644# #刘诗诗吴奇隆&nbsp;步步惊心的遗憾都在婚礼上填满！《步步惊心》剧粉泪目啊大哭
1702252068# #《一念关山》。一念关山第二十六集中，也难怪师傅会生气，自己教出来的徒弟喜欢自己，就连从小收养他的娘娘被人害死，鹫儿都无动于衷……小龙女和杨过都能在一起为什么这就不可以呢？
1701937463# #《很想很想你》。有个这么贴心的男朋友，谁不想谈恋爱呢？这才是宠妻天花板吧，事事有回应，件件有着落
1702218078# #《一念关山》。果然习武之人一言不合就开打……属实的“打”情骂俏
1704252979# #鸣龙少年。大结局全员齐聚清北雷鸣城～
1702252754# #《一念关山》。一念关山第二十七集预告，不愧是夫妻就连教训人都是同款的方式！有师爷那劲在教训晚辈了
1701477226# #一旦确定老婆的心意，立马直球追爱，八集追到老婆，真是强从开始到现在嘴角没有下来过！快来追剧《很想很想你》
1703951276# #繁花一群厨师想逼老板娘就范，没想到老板娘和宝总联手分分钟让他们后悔，老板娘身后的人要出现了
1702476035# #《花儿与少年》。丝路季花儿与少年丝路季第八期3，该说不说这个要签名的，好谈定笑cry笑cry笑cry是因为我太土的缘故吗？
1703900378# #《神隐》。元启到死都不明白,阿音和凤隐并不是一个人祖神早就在问天路警告过他了
1701688971# #《一念关山》。第17集4陈情令之上神归来哈哈哈哈哈哈
1701440040# #他可是宋江啊，嘶哈嘶哈，我是土狗我爱看！与恶魔有约你看了吗？
1703414922# #《一念关山》。如意带着元禄公主吃花酒，宁远舟吃醋生气，哈哈哈，这里笑死我了，钱昭这一笑，肯定是笑场了
1701662647# #《一念关山》。一个你追我躲一个霸王硬上弓主打的就是反差感赞
1703557218# #《三大队》。三大队第十集中，我要有这一帮重情义的人什么事都不是事……这些细节真的有点刀人
1702478305# #《神隐》。神隐第七集下，狐狸真的可爱，还是小狐狸更讨喜，有那么多护他的人，即是灵符又是手串的，还有小灵兽也帮他吃瓜
1701995890# #《我们的美好生活》。我们的美好生活第六期3，陆毅这么搞笑是认真的吗？哈哈哈哈哈哈
1703597909# #神隐。神隐第十四集上
1702864718# #《一念关山》。这一下宁远舟直接双s，得罪了余13还伤害了小徒弟的心
1702652902# #《一念关山》。鹫儿不坏嘛，还做了很多正义之事！鹫儿只是对外人冷漠了点，但是对自己的师傅还是很爱的！赞同吗？
1701574694# #《与恶魔有约》。恶魔没了魔力后打不过只能竖中指鄙视，利用女主帅气收回契约灵魂
1702627918# #《一念关山》。李同光被宁远舟开导后成长了许多，对所有人态度有了婉转，像变了一个人，李同光与师傅联手杀了皇子为娘娘报仇。
1702045098# #《一念关山》。一念关山第二十四集预告，没人觉得李同光这样有点偏激吗……
1703254711# #《一念关山》。这就是她最想要的。李同光我会把最好的都给您！最好的却不是她最想要的。这世间最好的唯有我所爱之人，除他之外再无最好
1703077515# #前晚宇辉与俞敏洪开播，下播时的拱手深情拜别，这是对东方甄选直播间的拜别。。最后那回眸苦笑，瞬间红了眼眶。他是多么的不舍这个的地方…
1701676437# #《一念关山》。柔弱的小白兔任如意竟然是令人闻风丧胆的左衣使仁辛，为给闺蜜报仇杀了么订单走起~因为一个片段看了整部剧
1701610335# #《一念关山》。小侍卫以为公主还是曾经那个恋爱脑，没想到公主亲手杀了他，不愧是如意的徒弟
1703425344# #《一念关山》。初月于十三跳舞花絮现代妆＆古代版，看得出两个都不擅长跳舞
1696759966# #张彬彬的脸适合演古装吗？
1701870334# #元禄和他的如意姐二搭了，竹业篇全员造型在线期待值拉满
1702083544# #《一念关山》。这剧主打的就是“不按影视套路出牌”分秒都是精彩，看剧时真是一点点都不敢快进，生怕错过又要倒退重新看
1702047033# #《很想很想你》。锖青磁好会哦大家一起学！好欲啊！
1702627441# #《一念关山》。原来李同光一直都误会了，如意一直都在默默守护着他这个徒弟
1703949576# #繁花：阿宝被陷害入狱，汪小姐亮出身份相救，意外揭开逆天秘密
1701870961# #《一念关山》。李同光设计情敌，用救男主的解药，威逼任如意嫁给自己，大婚当日被赶来的男主抢亲，已经疯了的李同光追上师傅，师徒二人互殴，为婉拒师傅跪求原谅，当听到师傅提起给宁生孩子，他彻底破防，对着如意发疯大笑！
1703599237# #神隐。神隐第十四集中，阿音追着古晋来到他的房间,可古晋却对她避而不见。阿音正在边敲门,便问古晋到底怎么了,红绸突然出现在她面前,让她不要白费力气了,红绸告诉阿音,古晋是天上的神君,他能活千年万年,作为真神,他只会俯瞰众生,不可能喜欢上阿音这种,寿命只有百年的低贱水凝兽。古晋听到红绸的话,想
1702519689# #《鸣龙少年》。女孩正在床上蹬单车，结果被隔壁电脑上看的一清二楚…….
1703343837# #甜馨差不多十几年没看见嗯哼了。甜馨意外弄哭嗯哼，内疚之下竟然一起抱头痛哭起来，直接把两位爸爸看懵了！！两个小朋友都好善良可爱！爱了爱了！！
1703837702# #三大队难怪石头背叛程兵给王大勇做奸细，蔡彬经历揭露一切答案
1702612477# #《脱轨》。一场车祸竟导致江晓媛意外穿越
1701938901# #张若昀新剧逆应援大学生好有诚意的宣传！！他们在拍摄的过程中不仅仅走入学校去感受鸣龙少年的日常以及在学习过程当中所发生的一些变化，能够更好的将其融入到剧情中！同样在关注他们的同时也送上了自己的礼物，每一份礼物都是赋予深刻的寓意和含义，当然是希望他们能够在接下来的这条路上走得越来
1701396929# #很想很想你主演演员年龄。《很想很想你》是一部声恋剧，剧情有趣，同时包含美食、古风歌和缘分等元素。该剧质量高，值得一追。
1701995582# #《我们的美好生活》。我们的美好生活第六期2
1702217329# #《与恶魔有约》。假结婚，真恋爱，我最爱的先婚后爱的同居生活开始了，真的在一起吧我快疯了啊啊啊啊这部剧后劲好大啊啊啊啊啊
1701563843# #《照明商店》。男友带我搬进这栋公寓到底有什么目的？"照明商店看得人后背发凉"
1702476957# #《花儿与少年》。花儿与少年丝路季第八期6，唉本来脑袋就不怎么灵，这家伙被坐了一下更迟钝了。笑cry笑cry笑cry
1703082734# #《鸣龙少年》。鸣龙少年第十三集上，这样教书是对的，因为她是过来人
1701561488# #《一念关山》。这剧主打就是不按常理出牌，女主女扮男装玩乐，被男主撞见吃醋，她手不抖心不慌，一生要强的女主，直接快准狠来个初吻！而男主这次主动了！
1703394565# #《一念观山》。于十三笑点真的多，我想知道他拉着的是个什么东西笑cry笑cry笑cry
1702831909# #《一念关山》。一念关山第三十三集下&nbsp;，从冷宫里无人问津的公主杨盈变成命运掌握在自己手里的公主杨盈大哭大哭阿盈这一路有好好在成长。
1703729723# #脱轨。女主穿越到八年前遇到穿越人的前男友这下好玩了
1703949307# #鸣龙少年雷鸣没有践踏他不喜欢人的爱意，他把明信片都收着，而不是随意丢弃，他当面教育的学生，却也是网暴他的凶手，所以他才会说，学生和老师不能是朋友，
1704119801# #繁花好闺蜜开店，竟然翻十倍买给自己，她得知后彻底崩溃&nbsp;
1701954527# #《一念关山》。侍女确定如意不是任辛，李同光彻底疯批&nbsp;
1702345260# #著名编剧谭飞辟谣周海媚过世。谭飞辟谣周海媚未过世~最早发文爆料周海媚过世者已删除爆料文章~
1702129755# #《很想很想你》。檀健次很想很想你花絮＋高甜片段，这是我看过最甜的电视剧，男女主都特别温柔，现实中有这样的人吗？
1704117362# #《鸣龙少年》。雷鸣和桑夏互相喜欢，被前女友问到以为不喜欢女生时，他的回答是不喜欢学生，那意思很明显喽就是喜欢桑老师
1702433586# #《一念关山》。杨盈不愧是如意养的小玫瑰，与安帝直面谈判，丝毫不畏惧，有女帝之风范，但私下又秒变小可爱
1702697233# #《一念关山》。“恶龙未屠，我怎敢S，这是我情郎送给我的剑，还未开过刃呢，你要做这第一个吗”
1702308094# #《一念关山》。任如意那个气场在那儿了，如果刘宇宁矮一丢丢，跟他并肩的话，都会觉得没有那么有气场，你们赞同吗3
1703898844# #王牌对王牌。王牌对王牌第八季20231229期第十期5，沈腾哥哥嘴飘了笑cry笑cry牛羊不分家嘛允悲
1703343522# #《鸣龙少年》。十一班火了却被当成赚钱工具，桑老师出击护住他们
1702939284# #《脱轨》。不要瞧不起班里的刺头，他可能是能力超强的潜力股！&nbsp;
1703120697# #《脱轨》。贫穷就能被污蔑偷钱？真正的女王可以为自己发声，为什么没拿那个酒泼回去，为什么没泼回去
1702475431# #《鸣龙少年》。鸣龙少年第六集下，所以高三11班只有6个学生吗？
1702304138# #《一念关山》。他一步步陷阱去了，自己还不知道？好多人磕师徒，那个徒弟能带给女主啥呢？
1703897602# #&nbsp;王牌对王牌王牌对王牌第八季20231229期第八季第十期3，哈哈哈景甜好真实哈哈这些片段确实好笑，沈腾哥哥过瘾来了
1701575070# #檀健次周也嘴巴都亲红了。很想很想你看天空看星星看人马座，都是幌子叭！看破很想很想你躺椅吻
1703124768# #《一念关山》。于十三不敢接受初月的心意却承诺会帮她守住她的家园安国宁远舟战亖如意假冒安国太后刺杀北磐首领同归于尽
1702344426# #《很想很想你》。莫青成与顾声命中注定的相遇！檀健次周也
1703846286# #鸣龙少年雷鸣病重解散11班，李燃暴怒与其动手，揭开其遮羞布
1703690777# #神隐。难怪华姝自毁清白二嫁红绸之子，凤隐复仇手段太了得
1702477319# #《神隐》。神隐第七集中，你们是不是也觉得那个妖仙比孔雀还无语允悲允悲
1702513532# #《一念关山》。元禄就是妥妥的团宠啊，就连受罚钱昭都会区别对待，还有一套专属于自己的宝宝桶
1703845688# #神隐凤染到死都不知道，宴爽是她与景涧亲女，元启肠子悔青
1703520117# #《三大队》。三大队第八集下…….
1704204418# #《三大队》。结局王大勇落网，潘大海中枪牺牲，程兵完成心愿一夜白头
1702992170# #《一念关山》。如意不太在意自己，宁大人他慌了不采取行动怎么行呢？
1703258431# #《一念关山》。真的好爱这对啊那种正常人的恋爱观和这几年播出的完全不同风格！平淡但是又真挚不是惯用的套路但让我很磕很多人说他俩没有cp感刘宇宁丑之类的还有可如意和李同光的腹黑师徒真的心里很难受还有因为李同光骂女主的不喜欢就是不喜欢而且是师傅就一定要顾及徒弟对自己越界的感情了
1702739831# #《一念关山》。宁远舟托付于十三，率六道堂营救梧帝
1701860562# #《一念关山》。细节就是当大家都以为宁远舟无药可救的时候，所有人都很伤心，唯独他疯批的笑了
1703251179# #《与恶魔有约》。当知道她时日不多的时候，所有人都成了她温暖的阳光…
1702048633# #《一念关山》。盲猜一下：还记得在金沙楼宁远舟耍杂技倒酒那一段吗
1703949917# #繁花：梅萍挺孕肚上门逼婚，汪小姐怒甩阿宝不孕证明，手撕绿茶女
1703865100# #三大队李乃文父爱缄默，如群山，伫于天际，浩瀚源长
1701658911# #《一念关山》。宁远舟深重一询千机剧毒。无药可解。任如意喂血解毒，是否可解还是未知数"但是真的好带感赞赞赞赞
1704037654# #鸣龙少年沈耀的家庭太窒息了，幸好女老师慢慢治愈了他
1702133693# #《一念关山》。任如意和任远舟都不满意自己国家的君王，刚好换上公主和侯爷掌权
1703176236# #《鸣龙少年》。他们三个都听了雷鸣老师的话，选择了就业率高的学科
1702480494# #《一念关山》。“所以爱与不爱真的很明显”确实，从心动，到克制，到在一起之后总想贴贴亲亲抱抱，宠溺媳妇，好爱
1701694729# #《一念关山》。一念关山第十九集预告！明天要断更了！你们失望吗？
1702343934# #《一念关山》。一念关山：任如意与宁远舟斗智斗勇不断！
1702044843# #《一念关山》。一念关山第二十二集下，公主终于成长了！不够看不够看根本不够看苦涩苦涩
1702600988# #《一念关山》。磕十三和媚娘，十三和初月后期还有感情线呢
1702082477# #《一念关山》。原来花絮放在正片里这么有效果！剧情根本猜不到！
1702437623# #《一念关山》。李同光复仇这段戏太爽，任如意当场看傻眼，宁远舟惨死……
1703148170# #《一念关山》。全剧最大内奸曝光，宁远舟当场崩溃，杨盈：竟然是你
1703728054# #神隐华姝舍命救下凤隐，自毁元神化为幡灵镇压生父，简直太意外
1701695982# #《一念关山》。一念关山第二十集预告，这脉把的如何？？？？
1703385671# #宁远舟死在了他最想活的那一年。宁远舟在那一年的生命中，找到了他的心之所向，爱之所依。也是在那一年，他为兄弟们的冤屈而战，为他们的清白而努力。他和如意共同描绘了未来的美好愿景，他们一起仗剑江湖，也享受了一段平静的生活。
1702697926# #《与恶魔有约》。宋江金裕贞九块钱你拒绝回家有多酷，😎晚上偷摸回家就有多狼狈😎
1703950771# #繁花把黄河路各大老板娘拿捏的死死的，她真的就是宝总的保单，这些女人都不好惹，宝总厉害！
1702010876# #《很想很想你》。小白兔&amp;大灰狼的搭配好好磕啊，什么都磕只会让我营养均衡
1703751570# #《鸣龙少年》。🆘！！这么酷的班主任在哪领啊！！
1701860148# #《很想很想你》。锖青磁把所有的温柔和他这最好的口才都给了声声慢这就是明目张胆的偏爱！楼中数笔留上林全赋掩卷两生誓与君同归十方不再四海无存乃敢与尔绝！你是凭实力刷到的喜欢多年的偶像突然向自己表白！梦想照进现实了！
1701561772# #《很想很想你》。莫青成一个母胎solo一个嗯直接把小迷妹撩迷糊了！毕生套路都对声声一个人用了啊！
1701689085# #《一念关山》。好久没见过鲨人这么干脆利落的剧了，一念关山主打一个有仇当场必报，所有仇人平均寿命只有一分钟
1702043683# #《一念关山》。一念关山第二十一集中，哈哈！我没听错吧！口音都急出来了………
1701961656# #《我们的美好生活》。我们的美好生活第六期1，杨紫还会回来吗？
1702010299# #《很想很想你》。我向你奔赴而来，你就是星辰大海！。莫医生看见声声跑过来眼都亮了！周也的顾声好可爱啊亲亲亲亲亲亲
1703346903# #杨丞琳演唱会听到这音乐瞬间回到小时候看的海派甜心(宝珠姐，林达浪)
1701688793# #《一念关山》。各位公主，各位王子，刘诗诗带着她的关山团来了！
1703387004# #胡歌捡垃圾是没有办法的办法胡歌是一位荧屏英雄，同时也是环保行动的倡导者。他的环保行动让人们意识到垃圾问题的严重性，并鼓励更多人参与环保。他的行动不仅改变了环境，也引起了社会的关注和思考。胡歌的环保行动为我们树立了一个积极向上的榜样，每个人都可以通过自己的方式为环保贡献力量。
1702342521# #《鸣龙少年》。天才不会因为环境而改变，张若昀新剧化身最强老师，为了带领学生成班逆袭，向昔日对手低头！张若昀
1702256351# #《鸣龙少年》。鸣龙少年第一集中，校园励志青春剧《鸣龙少年》由张若昀、黄尧领衔主演，一个是金牌英语教师雷鸣，一个是心理老师桑夏。。两人带领一群误入歧途的高三学生，破釜沉舟、置于死地而后生的故事。
1701410760# #相柳九个头不如莫青成一张嘴。相柳九个头不如莫青成一张嘴赞！很想很想你…很适合追星女看的一部剧😢。檀健次台词好苏！完了我已经开始幻想上线发现檀健次fo我了赞！很想很想你真的是相柳九个头不如莫青成一张嘴赞！檀健次《很想很想你》莫青成的声音真的好苏啊！一声命中~把“声声”挂在
1703383591# #乐华员工选贾乃亮当老板。极限挑战宝藏行没想到陈鑫昊竟然选择贾乃亮当乐华的老板，随即就被调侃即将面临“失业”危机~
1701959285# #《一念关山》。一念关山第二十集上。李同光：吓死我了师父的压迫感。于十三：我没说什么媚娘：你别想逃了
1702624352# #《一念关山》。任如意强抢民男，还有个孩子叫任小船。
1702697555# #《一念关山》。任辛受昭节皇后所托教鹫儿习武，所以后面她把剑送给鹫儿了，原来是有细节的吃惊
1702045517# #《一念关山》。杨盈公主这个抹嘴好带感呀！一个字，帅哇哇哇成长犹如抽筋剥皮！不受宠的哭包公主成长为帝朝的掌权人
1703863722# #神隐鬼君和阿音居然有交易，原来他是凤隐复活的关键
1703896823# #王牌对王牌王牌对王牌第八季20231229期第八季第十期2，沈腾哥哥的记忆力感人至深啊！华晨宇这直接从秦朝到了清末了，骑过自行车的皇帝应该只有溥仪吧允悲允悲
1701997297# #高甜！他主动拿相机给她拍照，她会对着他撒娇耶！磕疯了，好甜啊，檀健次，周也
1701917916# #《一念关山》。一念关山师徒线原来这么好嗑！。宁远舟:那可是你的师父。。李同光:那又怎样，李某无拒。。任如意:我只喜欢老宁，你死心吧。李同光:我只想与你长相守，有错吗？
1703599916# #神隐。神隐第十四集下，阿音看着阿羽被灵气包裹,正期待着妹妹的出世,鸿奕突然找了过来。阿音先向鸿奕请教了,他和宴爽的情感变化,才知道三生石,果然能够左右人的情感,便意识到古晋在洞房时对她说的话,不过是逢场作戏。仙界的天官,发现了凝云山的变化,要强行将阿音赶走,为了留在凝云山,而且还不暴露她
1703223755# #《一念关山》。细节就是如意孤身一人时永远都是便于行动的高马尾，而和小分队在一起时才会梳发髻带头饰
1701525044# #于十三是一念关山里的显眼包。于十三假扮宁远舟去和金媚娘谈合作，去的时候有多开心走的时候就有多难堪”
1703085610# #《一念关山》。任如意和十三亲密跳舞宁远舟暗戳戳吃醋任如意：让你看看姐的魅力宁远舟：我都没搂搂他？
1701443285# #于十三你个显眼包于十三你个显眼包，这个家庭没你可少了多少乐趣呀，以后宁远舟和任如意结婚你一定坐主桌于十三大型吃瓜现场
1703424526# #《一念关山》。一念关山全员都是搞笑人😂
1702449666# #《一念关山》。他们都好宠她，就像宠小孩一样！来自老父亲的宠溺笑cry笑cry笑cry
1703554646# #《一念关山》。宁远舟这一生，为兄弟，为和平，独独没有为自己。他到最后一刻肯定很后悔带他们来安都吧
