1703634355# #何猷君以为奚梦瑶说求婚土嫁给了爱情的样子，和金钱无关……
1693383773# #搬了，留着，可我觉得，我一直以为……哈哈哈
1694531242# #宫尚角两边都要哄jiaojiao看好你的两只小白兔，哈哈哈哈哈哈
1694620467# #全球首个承认外星生物存在的国家未知不代表不存在……
1703764710# #退款不退货我怎么记得之前就有这个退款，但是需要商家那边同意吧，不同意的话，还能强制退款么费解
1701080032# #新闻女王新闻准则这年头好像没人正儿八经的整新闻了，战地记者除外
1698192782# #张艺兴自己P的眼镜啊？我以为是用的特效，p图对我来说好难，是需要学习的东西
1703933963# #看到gc一片哀嚎，有的比我更惨，我心里平衡了哼
1704069501# #tf家族有公式照了，染色体上一个
1693360430# #韩媒曝成龙金喜善合作神话2是蹭~传说的热度么？韩媒被核辐射的脑细胞都变异了么？开始幻想了吃瓜
1692801269# #莲花楼什么情况？吵架的莲花楼？
1700115784# #小猪兜儿这又是什么狗血剧情……
1699874762# #小S吴慷仁床戏这词条，什么啊……
1689124434# #互粉超话布雷张艺兴，秒回
1691119661# #一人之下宝儿姐，是你么？你怎么变黑了？你的瓜子脸呢，是不是偷吃了？你的朦朦大眼睛呢？哆啦A梦吃惊
1694774062# #明天不能干别的了，专注打铁100年
1695289291# #猴西新恋情我以为猴痘呢，吓我一跳
1695267089# #我怎么觉得我界面变了
1693665956# #胡歌你才大小姐呢哈哈哈哈哈哈哈，啥呀这是，老胡啥时候成作精了doge
1702128923# #赵丽颖女二女一是谁？
1695989914# #王栎鑫首谈离婚经历他结婚了？……他离婚了……惊呆了哆啦A梦害怕
1694483015# #怎么那么多出号的，怪不得不动弹了
1696461777# #10.5分组补铁中…会连续去三天，还没去的宝，在另一组，着急的补铁可以s我，开通优先安排……(记得回来也给我补补哈)假期前会差不多整完
1699432218# #柯基放屁崩飞澡盆里的球哈哈哈哈，他自己都吃惊了允悲
1703478298# #场外人员为看王力宏演唱纷纷爬上抽粪车我怎么记得他是干啥来着，被老婆锤费解
1703241557# #张钧甯承认恋情大大方方承认，内🐟的一股清流了，不像一些人，既要又要允悲
1695465123# #你能接受男朋友问你借钱吗没有能力，当什么男朋友？和女孩在一起逛街啥的，不带钱，那不是搞笑么允悲
1701936291# #杨幂大白菜包我真以为那是个白菜呢，果然流行还得看杨幂，哈哈哈
1693987961# #周渝民夫妻被诈骗保险金案宣判孤注一掷了解一下
1692864504# #日本真的欠骂，骂一骂，ydl给我飙到了20W
1701701724# #他去菲律宾了，我失恋了……。。等他回家挤眼
1699756300# #我这个人几乎没挂过人，除非此人行为恶劣删评就删评，还lh吃瓜
1697370435# #简介不能用英文么酸
1695257599# #花西子创始人送1万份眉笔双十一来了还请大家高抬贵手……的意思吧
1691116093# #孤注一掷，百万想看的人里，你是否是那百万分之一呢？我是，一个影院人满了是不是就不售票了汗
1694848969# #男主怎么那么蠢啊，我的天呢，这宫，没有宫2真的会塌，我的天呢……
1690118538# #宋焰许沁婚房在高铁旁边老城区的房子吧，新房有可能么？
1704770889# #会长是女仆大人碓冰拓海新绘要出新一季么？
1699113576# #何赛飞金鸡奖最佳女主角我记得她演的什么来着，好像是古装的蛮好的
1693615474# #开学第一课与我无关，这话题真的……
1698070897# #妻子的浪漫旅行离婚率有点子玄学，但不多～哈哈
1700220122# #蒲熠星跟大家分享一件失败的事情不认识……我退下了
1698835282# #京东百亿补贴把价格打下来了京东买贵双倍赔，真正的便宜不用比爱心
1691458839# #谁又在给孤注一掷毒奶？。1.酸酸们2.酸酸们3.酸酸们。(以前各大v从来不带小孤上桌，现在争着抢着带小孤PK，感谢酸酸们让小孤提档扩大排片率，感谢酸酸们扩大小孤影响力，感谢酸酸们带自家电影还带着小孤，感谢酸酸们制造话题）酸酸们告诉我们，小孤你🔥了
1699267640# #女将星什么意思？有新剧么？疑问
1696078300# #混双决赛我其实没有想过乒乓球会有什么意外……
1699187167# #横店影视城侵权武林外传时间过去好几年了……
1695482141# #亚运开幕式让我想起了2008年奥运会是怎么回事？
1689172036# #这位告黑？难道不是黑本黑么嘻嘻不好意思，我先乐一会儿陈飞宇告黑
1700146264# #中国男足2比1战胜泰国队泰国男足损失了一笔60W的巨款允悲
1700276119# #全红婵代言的女装品牌被吐槽丑没有吐槽，品牌哪里会知道不足，会上进呢……？
1695530446# #睡觉
1703213795# #等我买个烤箱试试，姜汁撞奶
1690291405# #饭圈扩关超话不取关，布雷张艺兴
1702812507# #新闻女王方太直播谈职场宫斗在公司真的是明争暗斗，还分派系，演的很真实，至少分2派，通常大公司确实分3派……
1703164979# #有人从中国乘飞机往韩国背大米果然是偷国，大米都不放过，快成耗子精了……
1691713782# #电影孤注一掷，影片全程高能，节奏很快，特别是后半程，潘生（男主张艺兴）整条线贯穿始终，程序员果然智商在线，以为作出更好的程序可以拯救大家，殊不知都是骗人的。女主金晨最后还活着，也许是幸运的，但在现生中估计很难遇到这类也算是贵人吧，最后的大老板还未现身，但是那个好像叫阿才的死前，有
1695395326# #丞磊给卢昱晓的生日祝福可以二搭，我支持
1699420330# #王鹤棣曝光艺人聊天模板哈哈，好像人见面都这么问吧，吃了么之类的
1693837917# #云之羽意外好看宫3小绿茶太可爱了
1703763769# #老人地铁上要求年轻人让座未果拿水杯泼水撵人不能把他归类为老人，应该归类为老坏人……
1697502688# #四川彝族乡村体育老师的足球梦想努力
1695520950# #不想互动的可以找我移除，也可以双，不想要僵尸粉，周一会筛铁，误伤找我奥，爱你心
1701310240# #曝羽生结弦妻子遭婆婆无视其实就是不适合，谈恋爱和过日子不一样羞嗒嗒
1692666125# #亚洲象一鼻子甩出毒品2.8公斤不要小看大象的智商，毕竟她的脑袋很大
1692843734# #日本核污水排海或化作雨水洒遍全球你不想活，可以切腹自尽，别拉着全球共存亡怒
1702950580# #甘肃地震后鸟群盘旋地震前后总有预兆……我们平时真的要关注
1700013003# #陈牧驰说兄弟抱一下亲一下都很正常一次半次偶尔遇到高兴的事情估计可以……还是看双方吧……
1700803479# #晴儿归来已是皇后这部剧好看不？
1698017563# #张艺兴超话10.23早爱慕
1698838418# #工作人员让杨紫不要戳别人的鼻孔这可太逗了
1695545654# #韩国首尔五天四夜吃什么请自备咸菜，斯密达，炸肉什么的不适合你，斯密达……
1700834975# #文慧心郑书意新闻人穿搭不不不，这俩剧类型不一样，一个烧脑职场剧，一个土甜剧，一个需要带着脑子看，一个不需要带着脑子看，有差异，郑书意在开会等正式场合也是穿西装的……
1689118972# #互粉超话在线秒回
1689826258# #张艺兴谈EXO新歌张艺兴说好听，那我就去听听滴哇
1694957115# #田嘉瑞超话最近有拍剧么？
1704709352# #珠帘玉幕我觉得要不等刘宇宁开直播的时候问问费解
1694788258# #剥了5000多只虾就为了一碗面不是饿死是累死的
1693661934# #这个人说的挺好的，好像是这么个事允悲
1704777025# #刘大锤曝王楚然在杨洋酒店过夜这瓜吃的，都要吐了……
1693316900# #乐嘉他是谁啊？他怎么了？有没有课代表……
1694607438# #宫三的命也是命小绿茶，你怎么那么可爱抱一抱
1701876988# #张艺兴初雪cha明日大雪……👍
1695045493# #中国台湾东北附近发生6.7级左右地震怎么又地震了，震错了，应该在隔壁。
1700660239# #闲鱼大量封号什么情况？
1696206055# #田嘉瑞新造型扮演的哪个角色？是男二么？是不是可以叫声姐姐来听听哇
1699409180# #王鸥原生家庭这……怎么突然讲人家家里了……
1696601375# #张艺兴……你怎么那么优秀哇
1692708450# #天官赐福动画天官赐福，百无禁忌彩虹屁彩虹屁彩虹屁
1702621910# #你有坚持12年的事吗上学算么？
1702536343# #神隐千古玦尘我的天呢，上神的儿子要是这样，那估计得气设
1693035796# #CPA财管看到你们说难，我就放心了，毕竟我没报
1700204667# #昨天爆改金希澈今天回到李二牛什么意思说？
1699523694# #卡琳娜讲述仲尼溺水时刻天命所归，难评
1694612100# #苹果12辐射什么意思？有辐射？危害多大？
1695989761# #湖南中秋之夜节目单换顺序听说里面有时团？你最期待谁啊？……
1694268795# #你还在买余额宝吗有危险么？费解
1701356001# #朱一龙宋仲基李龙馥同框哪怪不得了，可能品牌要求的，就想问其他人也穿的裙子么费解
1693877866# #为什么不给我涨阳光，难道季度我的才华
1689032333# #张艺兴超话是还需要100个么？我不太相信对面有那么多个🤔
1694432336# #宫尚角误伤宫远徵宫3你还活着么苦涩
1696601822# #染色体的女孩练习生怎么那么漂亮……我勒个去，是不是明年出双团啊……
1700572653# #于正说谁先签约谁一番莫不是在钓鱼？
1696245080# #看出来了，张艺兴好爱萝卜～
1694744181# #抢票抢不到让我看看谁还没抢到票
1693545865# #外国人有多喜欢中国的手机壳原来他们没有么？
1699494256# #沈玠从一开始就喜欢上姜雪宁可是他一开始不是对姐姐有意思么？
1704592350# #姜涛舞技我很认真的看了视频，那一脚搓泥巴踩的不错，其他soso……
1698409119# #印度军队向巴基斯坦开火到处都破破烂烂，谁来给世界缝缝补补？
1698919109# #刘亚仁注射9.6升异丙酚还活着就是奇迹，还拿了那么多影帝
1703991669# #刘诗诗官方后援会声明这年头官方后援会也辞旧迎新费解，干啥了……
1693881846# #当潮水退去，才知道谁在裸泳……孤依旧很能打，当时营销火热的那几位，题材看着也挺不错的，点映怎么就没有扛起票房呢？粉丝去哪里了？路人去哪里了……吃瓜辣菜张艺兴的小卡拉米soso
1701515807# #原来重庆也穿羽绒服啊……
1704513578# #陈牧驰粉丝后援会解散我怎么觉得他去年黑火黑火的，说火吧，也不如另一位，说不火吧，前段时间都是热s，确实该整改了……
1690713491# #互粉超话不取关，秒
1698624947# #我怎么觉得☀️涨了呢？🤔……
1702289681# #我就躺平了一天，涨了3个铁，你就告诉这个，烦你
1703852713# #小鬼这是条喜庆的视频我喜欢他在有嘻哈里那个节奏……轻快流畅有趣
1695639364# #韩国男团3比0伊朗男团间接说明🇰🇷碾压🇯🇵哆啦A梦吃惊，这……很难评哎
1699948126# #青山刚昌东野圭吾将对谈真的整点烧脑的案情吧，有的情节真的很幼稚，看不下去了73
1701445857# #与恶魔有约西八想多了，只是冲着水浒传的宋江点进去，纯好奇罢了，谁允许你们偷宋江名字的？这部剧远远不到爆的程度，更别提大爆了吃瓜
1690506686# #我真的最讨厌别人说瞎话
1704297695# #评
1699888997# #山东74名学生腹泻呕吐采样为诺如病毒这样的怪异的病毒越来越多了，哎，戴口罩吧
1693733410# #我的天呢，月公子是左叶？雪重子是曾舜晞？哆啦A梦吃惊
1704265974# #姚政领证这个人名有点熟，一时之间想不起来疑问
1704116118# #日本连续地震前乌鸦满天飞新年第一震，愿现世报，阿门🙏……
1699347482# #来澳大利亚道一声你好。被没有被破坏的自然风光吸引心大堡礁的南端离海岸最远有241公里，北端较靠近，最近处离海岸仅16公里。在落潮时部分珊瑚礁露出水面形成珊瑚岛。在礁群与海岸之间是一条极方便的交通海路。风平浪静时，游船在此间通过，船下连绵不断的多彩、多形的珊瑚景色，
1698246612# #双十一iPhone价格全系比拼目前没有看到有明显的价格下降，不知道你比什么？doge
1692271836# #张含韵摇摆蘑菇舞《冒险岛：枫之传说》可以在游戏里游览苍山洱海，可以玩消消乐，红伞伞白杆杆等趣味小游戏，在游戏中感受乐趣，也学习很多云南大理的知识，体会别样的风土人情，大家一起来玩吧！兔子
1701174248# #新闻女王，这部剧真的火了，是实打实的火，因为ydl破10了吃瓜
1693657903# #昨天我干啥了，我居然有60w的阅读量，但是我的铁怎么不够呢？
1693706921# #好有电影感的一眼镜头有点头晕，但是拍的好看
1702124990# #刘诗诗如意一直都很清醒，
1691238040# #张艺兴超话孤注一掷有没有可能，他没有准备2亿的海报，所以美工正在加班吃瓜
1700541886# #新闻女王，这个剧节奏好快啊，真的需要聚精会神，感觉像看柯南……追求真相，永远抢在第一线……厉害！
1696947639# #欧阳娣娣创5来点新人也不错……
1702280818# #难哄悬着的心终于死了难评，祝成功吧
1702033148# #麻烦给投心孤注一掷的张艺兴心，我的铁铁们(倒数第二个)
1690702284# #孤注一掷远离东南亚，远离缅北，远离赌博，远离不切实际的高薪幻想，踏踏实实的生活
1694845861# #今天的ydl好奇怪，好玄学，好别扭……
1690072842# #饭圈扩关超话互动+布雷艺兴心
1701130234# #我发的定时博也不知道定到哪里去了吃瓜
1697632602# #云南电梯坠落致3死17伤这个电梯怎么会坠落，不是应该会设置的么，我记得，哎，今晚要做噩梦了……
1693112062# #315
1703064682# #一番男主肖战的陈情令，成毅的莲花楼
1701668775# #刘耀文恋情这个词条……真的假的疑问
1693203281# #孤注一掷延长上映主要是小孤海外留学期间成绩也很好，是优等生孤注一掷票房破35亿
1702091091# #捡别人身份证结婚害对方无法登记结婚谁这么狗血
1700012848# #高启盛你糊涂啊哈哈哈，还好和税和睡没沾边……
1690515377# #泪
1702375396# #周杰伦迪奥全球大使双赢吧，天王把雕拉高了档次吧笑cry
1696167873# #85花爆剧统计我比较喜欢看杨幂的穿搭，感觉好洋气，虽然我土土的委屈
1690011108# #SMTOWN新男团叫RIIZE锐子还不如叫贞子顺耳，不知道正确读音吃瓜
1697457832# #死掉的大闸蟹有多毒原来不能吃死的啊，还好我也不爱吃活得……
1704020950# #等，你们是我本月粉丝互动榜排名TOP5的粉丝，感谢你们的陪伴与支持，期望一直都有你们的相伴~
1695350299# #她被困在考研考编里的五年这份毅力真的很厉害
1696253261# #天官赐福2片头曲MV天官赐福，百无禁忌。你最好好好整，别让我失望，MV画风不行！
1699090635# #耍大牌我的天呢，红毯早走早完事不香么？哪个明星那么要面子，也不嫌等的时间长……
1700496053# #11.21互动心扣1心扣2不回(误伤找我)
1692260355# #历史上真实的玄奘西行之路得亏是没去缅甸
1702214002# #派出所证实华夏银行天津分行行长坠楼这年头怎么那么多坠楼的？
1695828748# #中国男足晋级八强活久见，我们男足终于可以强了么？
1694656224# #张艺兴超话度假回来了没？发点物料就好了允悲
1700294945# #羽生结弦无法保护女方还是自己能力不足……无法扭转人们巨大的好奇心……
1700393305# #白鹿张凌赫宁安如梦热度破万宁安如梦热度破万，白鹿真的抗剧……
1703559380# #我雷鸣老师是有点疯批在身上的……
1694962423# #明天禁娱，谨言慎行🙏
1698329430# #这首歌的bgm有点意思
1701096263# #宋江好帅这个剧正好今天看了2集，怎么说呢，第一集后半集才看进去，就是男主女主财阀，男主是恶魔，女主身边好像都是要她不好过的，男主有个十字架标记意外到女主手上了，然后就开始保护女主……顺带做任务，女主被他帅气的样子迷住了吃瓜
1701332929# #12月这些新规施行牙膏这条……我以为都一个功效
1701009127# #维塔斯唱青藏高原天，他是去韩国进修了么？怎么浮肿了允悲
1692269013# #吴磊抽烟镜头我第一眼反应，三石弟弟你会抽烟？我觉得你还是个宝宝允悲
1690690808# #爱乔婉娩的是李相夷不是李莲花爱李相夷和李莲花的是盟主允悲
1694871466# #张艺兴超话我终于红着等张艺兴回来了
1701909643# #苹果因故意降低性能被判向部分用户赔偿我们好像没有裂开
1693452172# #宋祖儿怎么了怎么了？什么情况？我刚来，有课代表么？
1701662639# #这5个部位疼痛可能是心梗前兆我感觉我好像有点呢裂开
1696064803# #大部分人已经见完了此生的最后一面说的好伤感，可能大学之后，就再也见不到面了，除非后面有业务往来……
1699182963# #导演答应白鹿不用大灯什么剧？看妆造很不错呢……哇
1700292490# #霸王茶姬超话霸王茶姬六周年伯牙绝弦交个朋友。入口清爽不油腻，奶味不是很重，这个季节很喜欢这个类型的奶茶，简单又好喝，推荐打call
1696904263# #从体制内离职的人现在怎么样了看离职是从事什么职业了……
1697067594# #公益救援在行动努力
1698561615# #等，你们是我本月粉丝互动榜排名TOP5的粉丝，奖励我记得呢~
1697021013# #希望足疗可以纳入医保啊？先解决疑难杂症，真的……
1689294081# #饭圈扩关超话这里第一条帖子，月点喜欢张艺兴的嘻嘻
1690160099# #虽然孤注一掷宣发很晚很低调，也没到路演的时段，但是却看到很多电影博主在提前cue小孤，各种对比，资本博弈真的好提前啊，想想过年的时候都感觉很可怕。虽然……但是能不能不要对标小孤，各自独美吧老铁
1702732870# #董宇辉称小作文事件我的处理很幼稚随便吧，吃瓜没吃明白的人就不参与发表言论了吃瓜
1691459641# #接了部打戏，哈哈哈哈
1699658872# #11.11互动，心扣1，心扣2不回
1700734412# #Lisa更新动态菲佣即视感，裙子看着也不高档了
1693614375# #肖战骄阳伴我开场90S好看不，这剧
1702473956# #一天没手机你会做什么看电脑……吃瓜
1696434718# #张艺兴帅的有点过分了，超喜欢这张
1702100932# #新闻女王，最后的悬念是什么🤔？那个古说了对总监这个职位没兴趣，但是飞爷辞职了，那新的总监是谁啊？方太请的总监到底是谁啊？文姐赶紧去做总监！电视喂什么观众就吃什么
1700492357# #缺100个铁，掉了的能不能主动找我铁一铁？吃瓜你们是不缺铁么？
1697592855# #四川彝族乡村体育老师的足球梦想加油
1701700835# #新闻女王教坏职场新人了吗不不不，这不仅是领导课程，也是职工教育手册，职场如战场是真实存在的，并且你必须选边站队，否则你会被孤立，小公司也不例外，这是个定律……
1704349755# #好来……假唱词条底下，各大蓝v，红v底下，都是我的图允悲，我成打假的了……
1696661471# #张艺兴孙红雷小家伙有大家伙当年欺负的有多狠，现在就有多爱，主打一个反转
1702887471# #董宇辉任新东方文旅副总裁合伙人就是不一样，一下就是高管了，还是副总
1701359157# #王鹤棣踹开说唱大门他也去LV了？我的天呢，欣赏不了白袜子搭配绸鞋子，还有大裤衩子，幸亏没有稠裙子。还我时宴😱
1690291419# #互粉超话不取关，秒，布雷张艺兴
1695810683# #厉害
1700825968# #三毛迪丽热巴造型这我以为……是三毛流浪记的三毛允悲
1700644842# #经过不懈努力，掉了一个铁，谁掉了，给我补补
1698838643# #六公主人还怪好的嘞公主请p图
1697883726# #张艺兴超话师傅亲自去接的嘞，高兴的嘞
1699243587# #李枫说郭敬明事件是性骚扰小四的传说好多啊……
1693365119# #最in群主在线营业我的粉丝群已创建！我会在此空降和你们一起玩耍，速来入群啦！
1703575864# #还记得上学时暗恋的那个人吗电影一闪一闪亮星星我记得上学的时候，高中吧，那个男孩子178.还可以吧，长得挺清秀的，在课间经常帮我，长得很帅，但是我可不敢表白，觉得配不上人家，毕竟自我感觉不好，后来，他考外地大学了，就也不会再见了，这是个悲伤的故事悲伤
1696243166# #韩国速滑队因过早庆祝错失金牌他得至暗时刻莫过于此了
1693483507# #张艺兴，你过分了……这帅的过分了，别把🇺🇸的小妹妹魂勾走挖鼻
1694088561# #张艺兴工作室今日出图，我最喜欢这张
1704380980# #评论罗伯特颠公本人了，哈哈哈哈哈
1699430922# #科技妆点东方美进入秋冬季，不少人出现皮肤干燥起皮等情况。跟着总台主持人撒贝宁和王嘉宁，一起探秘，开启寻美之旅。很好奇他是怎么制作的，啊哈，流水线，智能机械化操作，很厉害👍
1701334030# #1046个铁粉才可以红啊吃瓜
1702465313# #联想回应总部logo被涂成华为一时不知道是谁在打广告……
1701396176# #比酒精还厉害的肝脏刺客垃圾食品和不健康饮食
1696832369# #月薪4000的小镇青年背过万的包怎么了，又不是买不起……
1703321430# #宋江金裕贞不像演的但是他俩只能活一个的设定，注定是be了
1695915197# #发的月饼一看就不好吃……
1703636975# #决战平安京六周年决战平安京祝平安京六周年生日快乐。华丽的人物设计，流畅的视觉效果，画风长在我的审美上，二次元的视觉盛宴，在那么多的竞技类游戏中，平安京真的挺好玩，推荐种草大家一起来玩心
1694607531# #云之羽之五十度灰来了什么意思，没明白
1694673881# #健康亚运包在我身上亚运真Nice超能扣球，所有的热爱都有痕迹，期待女排，冲冲冲心心心
1692614213# #我已经分到136了，好累
1689118912# #我自己写的亲身经历，居然可以有那么多看到的？谢谢🙏
1689122326# #下吧，下吧，打雷又下雨，诶欧
1694535966# #我觉得这个西皮妹妹可能是真爱粉，很用心，很努力了。我可能是个假粉丝黑线。
1689077855# #饭圈扩关超话月布雷张艺兴，不取关
1700701738# #郭虎别碰现偶可我看进去了，电视剧也分很多类型，土甜剧就该是养眼的啊，有什么问题疑问鬼怪是土甜么？
1689473694# #禁毒烈士妹妹追着毒贩跃入深沟守护+1
1692860047# #日本将用700亿日元处理核污染水负面信息他要毁灭地球了，其他国家先联合起来把他灭了不就好了？苦涩
1692800637# #TF三代今日营业照完了，我可能有点脸盲，我分不清允悲
1690594933# #中国好声音中国好味道吓我一跳，我以为张艺兴去当导师了呢
1702650473# #怎么一天过四六级平时努力，今晚做个好梦
1700980360# #这个韩剧，有点像是黑执事和吸血鬼骑士的混合版
1700319950# #鲁迅孙子自称90%刷视频10%看书瞎说什么大实话
1704635058# #爱泼斯坦震惊的是里面都是科学家，首富，精英中的精英……毁三观，这个词条底下言论也很吓人，不要命了允悲
1700718922# #不养铁的麻烦私信告知，我不太看订阅消息
1689253452# #魏大勋说跟杨洋的眼神戏没赢过看把孩子谦虚的，你是可以的，自信点……谨言慎行这就安排上了？doge
1694863867# #田嘉瑞超话心
1689339751# #互粉超话不取关，秒
1692668958# #美国敦促公民尽快离开白俄罗斯美国的算盘珠子快崩我脑门上了吃瓜
1704036309# #冷门歌手孙燕姿这年头舞台还是还给歌手，演员就好好演戏，演员把舞台唱成车祸，就别怪歌手去演戏演电影，因为大家彼此彼此，哈哈哈，都是在非专业领域蹦哒……区别是有人蹦出来了，还有人原地跳……
1701600032# #杨紫零下二十度光腿直播不明白为啥不穿裤子？
1698921938# #辛巴抖音账号被封禁知道了
1701000782# #刘诗诗角色号删博开始营销了么这是？吃瓜
1694311371# #G20各凭本事，我祝他成功吧吃瓜
1704612178# #微博之夜第四波官宣阵容听说大流量都不去，真的假的费解
1697017259# #华天不会被禁赛或取消奥运会个人参赛资格好的……
1693441576# #给我扣1的放到学生组了，那我就不会双你们了，重新编组也好累，放心吧，学生宝宝们心
1690383350# #拉踩你妹啊，拉踩，给你一脚
1697676393# #陈漫镜头下的林青霞说内🐟审美降级不是没有道理的……
1697952308# #张艺兴超话青岛贵妇和小绵羊心
1695743159# #张艺兴黄毛造型你这个词条也是醉了，把38亿男主说成黄毛可还行？允悲
1702117820# #林孝埈刘少昂相撞有没有受伤啊……
1700274872# #小雪糕对薛之谦的爱拿得出手他有孩子啊哆啦A梦吃惊薛之谦竟然有儿子了
1696655464# #赵露思对接发文莫不是都一个方子，都这样么？哆啦A梦吃惊
1693819011# #虽然想变红，虽然我喜欢的也是大流量，但是怕被说是蹭红的，还是靠自己一个一个的来吧，省的被骂，累点就累点吧允悲
1702523896# #黑执事恶魔也吃胖了谁把384画成这样了，还我第一季恶魔😱
1694491962# #张艺兴，咱能不能别那么可爱
1696425978# #中国跳水队十全十美收官好厉害的梦之队
1696767762# #北京下雪今年的冬天来的是不是早了些……
1693494027# #首套房贷款最低首付比例不低于20%。降首付：首套二成，二套三成。降利率：首套4.0%，二套4.4%。我存一个
1702228348# #鉴赏……朱一龙和张艺兴
1694775727# #开始红v保卫战，保不住我就要双人了，9.15今天，明天，后天，群里～连续3天晚上10点整发包，追剧忘记了提醒我哈心心心
1693048772# #转发微博
1699574484# #@晴耕雨读随缘
1695139819# #原来这个装一小酷早就被挂过了啊，这个人有点疯批，确实毒唯，老是看到带张艺兴和lxs的节奏。因为曾经也被他警告过，所以我只暗恋，因为暗恋不会被骂。
1691280653# #转发微博
1702091194# #余景天催粉丝做数据原来数据那么重要啊吃瓜
1697763734# #原来，来总是王总啊……吃瓜
1701002271# #等，你们是我本月粉丝互动榜排名TOP5的粉丝，感谢你们的陪伴与支持，期望一直都有你们的相伴~
1692973047# #还得是二手玫瑰。。家电家居选JD，彩虹屁省心省钱太轻松,入手小家电，还得是JD！心心心
1703983438# #五星酒店回应大早上室外擦玻璃一般酒店哪有提醒的，全靠顾客自己了……
1698806536# #安踏宣布更改公司标志标志也是一种形象吧，看来是想走国际化路线？加油……
1691815412# #质疑理解成为质疑流量，理解流量，成为流量……很像某部作品doge
1692584525# #8.22互动分组，以后要眼熟互动的人了
1692620891# #男孩在柬埔寨坠亡身上刻着被害冤枉柬埔寨也很危险啊哆啦A梦害怕这是要成立东南亚诈骗联盟么？缅甸，越南，柬埔寨，泰国？
1694785182# #还有20分钟，群里开始📣
1694993978# #9.18挤眼扣1，扣2不用(在筛铁)
1701702901# #我还有梦想，我还有力量，他说：贝壳，再陪我闯一回！。我还有坚持，我还有热血，我说：zyx，就陪你再闯一回又何妨？！
1695950509# #中国男足说要让韩国队感受强度嗯……梦想还是可以有的，万一实现了呢？是吧……
1697620590# #9月份中国从日本进口的水产品归零收到，over.
1694953831# #黄金款iPhone15ProMax最贵7.5万元你不如去抢？金子做的么？那么贵……
1696495092# #不得不说，张艺兴这个数字挺吉利的，留着吧……
1695708889# #大同通报未成年人欺凌事件调查情况看明白了，这么小的孩子怎么会那么恶心，再大点不就是侵犯了么？
1693273375# #不要成为除了工作没有生活的人工作就是我的生活，没有工作，就没有面包，没有面包就没有生活，我穷😱
1700297416# #不知是我的ydl先到还是铁先达标doge
1695602418# #这是我一人之下，诸葛青？离了个大谱吧？人家明明超级无敌大帅哥，一出手把小妹妹迷的神魂颠倒的好吧，脑壳疼……
1702355348# #神隐搞里头印度神曲里有那个…超级有意思…哈哈
1700815490# #刘宇宁原声台词一腔衷情我喜欢刘宇宁的ost，自带江湖气息
1700117284# #给内娱一点力量震撼里面发现田嘉瑞还挺好看的……
1693903657# #怎么说呢，虽说只增加了35人，但是还差77个铁铁
1696167154# #男足没有压力就没有动力，要是给点压力就好了委屈
1703863065# #这个号属性是花心大萝卜，疯起来啥都发……皮下属性保密嘻嘻
1692945147# #CPA我为什么要学这个东西苦涩
1694590168# #内娱今年火出圈的配角这个词条，小绿茶你火了
1703733012# #繁花里的papi酱她开始进军影视圈了？好厉害啊👍
1697712455# #百万粉丝网红罗大美遭熟人绑架杀害这年头，真的人怕出名猪怕壮……
1696245991# #Lisa被拍与三公子聚餐这是Lisa?我的天呢……好黑，然后变丑了的感觉哆啦A梦吃惊
1700619782# #Lisa宴会造型看着越来越像菲佣了，还在这蹦哒……
1703667502# #多个经纪公司招聘艺人助理月薪不过万所以很多助理才对艺人敷衍了事，因为打工人的心态就是拿多少钱办多大事思考
1699275470# #双11惊喜夜我的天呢，这阵容……成毅，罗云熙，宫3，这可云集了我今年看剧的帅哥哇
1690718286# #王诗龄的画vs黄多多的画这就开始比赛了？现在的星二代也好卷啊
1692583211# #本周狗屎运最旺的星座摩羯，我信了，🙏
1696513216# #张艺兴UZI没太明白，这u和f是谁赢了吃瓜？这不过就是首歌吧～
1693564354# #华少不信谣不传谣怎么了怎么了？为什么突然辟谣了？我都不知道他的谣言是啥允悲
1698049828# #有的人离婚证都四本了有的人小本本怎么拿的那么轻松，有的人怎么那么艰难呢
1692672924# #有作品，有实绩，底气很足，不虚
1696674476# #等，你们是我本月粉丝互动榜排名TOP10的粉丝，感谢你们的陪伴与支持，期望一直都有你们的相伴~
1696167562# #吴艳妮抢跑好像申诉成功了，但也是受到影响了……
1701600237# #我新增了14个铁，你说我铁粉下滑，好烦你
1702952376# #今年好奇怪，东西南北四个方向，都在今年地震了，就连几乎没有地震的山东都震的人心慌慌的，专家能不能出来讲讲……
1701133955# #新闻女王，我觉得13集最精彩的不是出现第三个竞争者，(女王有绝对的实力碾压)，而是这一幕，把对方大将挖过来，釜底抽薪，沙人猪心啊各位……许诗情跟着老2那么多年都没得到黄金时段，女王几句话就实现了，跟对人真的很重要啊……新闻女王当众下跪给我一点小震撼
1694753165# #肖战喊前夫哥是即兴发挥前夫哥疑问
1694502712# #防猝死套餐还不如好好吃饭，好好休息，心情开心，哈哈啊哈哈
1693923964# #好喜欢这个带感的宫2，好喜欢这个疯批的小绿茶宫3，男主赶紧be给女主，宫2宫3不可以be…
1700357017# #时宴我心疼你这……我张遮be了，磕时宴
1695481706# #林俊杰演唱会嘉宾周深这票估计很难抢……
1696990411# #温暖有你一份好的
1694246683# #摩洛哥地震遇难人数升至632人最近怎么老看到地震，震错了震错了
