1697810933# #加油努力
1702812315# #这就是我不想看超话的理由，超话里什么都有，就是没有自己粉丝允悲允悲允悲
1702314867# #此时此景只能为您们吟诗一首《诗经•彼阳》彼阳若至，初升东曦。绯雾飒蔽，似幕绡绸。彼阳篝碧，雾霂涧滁。赤石冬溪，似玛瑙潭。彼阳晚意，暖梦似乐。寐游浮沐，若短飞舞。作揖
1700398353# #终于回归！以后无差别猎杀所有减除抱抱捞疲劳最喜欢的串子我也来当咯污耶
1698591035# #小哥哥，上路现在是光芒太耀眼了吗怎么自从世界赛开了我还没怎么在上路见过你的身影允悲
1693401746# #咖老爷，你就备战你的亚运吧，加油
1695867401# #玩双射手不ban武器不是想死都说不过去了
1703148104# #快去旅游，去你喜欢的大泰国
1700929831# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1690390443# #大姐你还好意思投票的？你在投你全+的性命？
1698478383# #谁懂…
1702125972# #可爱
1699704870# #theshy！最锋利的矛，最坚固的盾，这个决赛你比谁都配！你就应该站在决赛舞台！theshy！最强的上单！毋庸置疑！
1701138415# #看到唐人我也会笑的
1698390068# #我的号发生了什么事为什么总有莫名其妙的人点赞评论允悲是不是被推送到了广场啊我好无语允悲
1699705685# #这一切本来好像只会在我的梦里出现，最后真的变成现实了，太好了，太好了
1701857751# #你们的最佳上单，我露毁了
1698640580# #wbg是一个蓝色方自己ban霞／打野不玩盲僧／玩不好皇子／中单有时候是个职业选手／辅助有时候被粉丝瘟到发疯／教练做出全世界都觉得稀巴烂的bp的一个八强最菜队伍，如果你们羡慕就把这些debuff都拿去吧笑cry送你们了笑cry
1704290208# #我帮你搞不限圈抽奖啊@高振宁Ning这个人怎么这么清白啊虽然脸上黑得要死
1702479449# #我乌王者风范
1695713113# #本人在没有ob没有物料没有直播看的时候还有一件可以打发时间的事可以做就是翻相册忆往昔开始编排，比如看到fa老师给我发的表情包我一下子七星娱乐👇🏻。露露鞠躬时候单薄的身子挺直的背露出的一点后背的肌肤还有纤细的双腿总是让我想到集东亚文学作品的女主角于大成，她要飘渺要不食人间烟火要若有
1702382985# #哥们讲话文雅一点，我露点你了，要说“方便一下”懂吗？大小姐驾到统统闪开
1698589690# #我真的警告你皮绷紧一点，每次你清稿的时机，包括你清的稿，你自己藏着什么小心思，自己心里不清楚是吧？别逼扇我告诉你
1702722676# #转战美妆博主就在今天
1697534058# #给程璐做了特效努力
1698326886# #被多少对手夸了允悲我都快数不过来了来来来
1691604331# #jiejie不要说我们小题大做了，就事论事都很难懂吗？一边是在正面击溃了对手，然后在赛后采访依旧谦逊地认为对手打得更好的一位选手，另一边是还没开打，就玩烂梗不尊重对手的两位小哥哥，瞧不起对面结果却被谦逊的一方轻而易举地打败。单从这个来看，孰对孰错，还需要据理力争吗？什么是小题大做，
1699001270# #到底谁昨天说两个队太菜都不配进四强的，今天的比赛怎么说吃馕好哪里去吗笑cry
1695305279# #没什么好说的，看到橙露最后那样子太压抑了，我也是第一次见他那样，真正看到他难受的时候才明白我内心只有一个期望，就是希望他每天开心，其他的真的别无所求
1702461023# #原来如此，国家公祭日最右安分点，明天我们去写申请书，但是是交给惠能大师，如果春丽4了，我也可以考虑写给他，对了，你4了我也考虑写给你
1702721387# #跟随我马的步伐
1694532883# #美神降临了我要做剑姬小姐的脑缠粉舔屏我要应援舔屏
1698916593# #笑死了啊啊啊啊啊啊啊啊
1698160382# #大事很妙
1692708337# #阿卡丽驾到，速来！
1697811522# #别把你开心死(*ﾟ∀ﾟ*)
1702314411# #让你亲跌多卖几次给你换个500块的手机，要不你就去重开
1704463791# #打游戏的间隙还得上微博骂人！我多辛苦啊我！你们都不知道我刚打了一盘逆天翻盘局，累死我
1702809206# #哎，什么时候能不玩英雄联盟了？我想看命运方舟
1701611566# #第一次这么觉得他像一个电竞选手过，这谁看了不觉得是一位电子竞技选手呢握手
1697595017# #来了！
1702268062# #涵艺公开要口陆文俊心涵艺大胆示爱陆文俊心涵艺要求和陆文俊一起殉情心
1701152534# #讨厌橙露的甚至真情实感去恨他的人里面有很多餐券的玩意儿这是我一直知道的，讲真的不意外，因为餐券也可以代表批捞里广大嫉恨橙露的群体的具象化。。我看也矣宝贝发的说橙露14.15岁就登顶韩服第一还笑说“我能打职业的时候英雄联盟都倒闭了吧”，但是他就是打上职业了而且比太多选手成功了。。真正
1698565100# #真正的进攻型上单的开创者，一把锋利的宝剑，你们怎么舍得让他一直抗压，让他被蒙尘
1701258784# #吵死了，我真的有尖嘴生物恐惧症，闹鸡瘟了吧
1699763678# #哎呦我露被问到决赛想遇到的对手经过撇嘴摇晃咧嘴一笑默默答出景东真是把我萌死了爱慕
1700743313# #真看不到他的拉黑啊允悲下次你先说一下，我们就好预防
1698320336# #莱特终于忍不住大胆示爱：我喜欢这种上单
1701261857# #theshy超话这谁的超话啊？癫了？
1702122542# #小卡我买一套就够了，就当送狗钱了，然后我会扫描发出来，到时候大家自印就行，你们都把小卡退了吧
1704370986# #翻相册翻到的，米
1701611524# #谁天天在直播间在超话在b站天天叫他剪头发啊，我从来没说过，说了的出来认领，你们都有罪伤心伤心伤心至于他本人，就让他玩去吧，不怪他伤心伤心伤心
1702730986# #助力留下与公主游玩的珍贵影像
1692710528# #程璐单杀完之后佯装懊悔然后说一句“我太久没玩了啊！”让家人们摸不着头脑。实际程璐内心“我玩得太好了！”
1702353927# #wbg宣布theshy离队费解TheShy我想休息一下怎么和这个经理说的不一样，经理不会在骗人吧晕晕晕
1700746312# #橙露：“哎呦我想自己站啊”（买了破舰者）。然后橙露很认真地“你死了”“这队友”。我都不知道是在骂还是那种游戏里的说辞委屈委屈委屈委屈
1703151405# #这么有才是想笑死谁
1704465816# #物资提供的情绪价值好充足啊，不愧是历尽千帆的枣神，尽管本性难以更改，但现在呈现在大众面前的是极力克制的枣枣，棒赞
1692203023# #撕破脸皮
1693652745# #二叔说话啊，人呢，下去玩手机了吗
1701943385# #给你演上瘾了，滚！
1699788053# #你们一二三号种子加起来就赢了t1一把，不会要求我们四号种子去赢三把吧？微笑
1693501749# #2023LPL夏季赛2023LPL我已为WBG.TheShy加油助威！他是我心目中的最佳选手！快来和我一起为WBG.TheShy打call吧！
1701091274# #橙露：这阿卡丽想虾我！哦？这里两个（残血的）她竟然想虾↓我↑？
1702478628# #你们他妈谁取名叫萌萌的小马？是不是有点太大胆了？夫目前犯了哥们，服了允悲允悲允悲
1695118286# #茶百道TheShy联名期待！
1702315246# #卷到浪费珍贵的买手机的钱去考一个考不到的六级？
1695971345# #我丢，三弗雷尔卓德羁绊，煮开是懂下棋的
1699860152# #看着这张海报我都要全身起鸡皮疙瘩了
1696841265# #笑了，谁研发的微笑。
1700743022# #不就是看了才知道的吗？鬼知道他拉黑了你们呀我能看到他拉黑你们吗？他微博就是写的那么清楚，他很爱xun啊？他的拉黑我能看到吗？你怎么这么？允悲宝宝，这个我们是预先看不到的，没有办法呀
1698565438# #lpl还没原谅笑哈哈
1695776391# #要我说，无论是js中的理智派、圣母派、爱他如生命派还是阴暗地爬行派，能无休无止数几年如一日的这么关注露露，管什么阴湿想法还是真诚祝愿，都是被露露身上的反差吸引，能让人永远不腻味去探索一个人也好去支持一个人也好，总之这是一种与生俱来的独特魅力。。反差让人永远保持新鲜感，但是有的人的
1701859831# #此提名呼吁大家全体待在家中，藤井主题曲是《常回家看看》，slogan是“不打比赛的永远最强”不打比赛我风评no.1，等着舆论造势就完了，不打我就永远不会输good
1702218683# #等你，祝你幸福，祝你开心
1703155449# #他就是我星怒，就是我宠物，怎么了
1699705010# #theshy，kangseunglok，강승록，姜承録，生日快乐！24岁生日快乐！
1702288638# #我对抗出过敏，你去4行吗？四圈家的文盲，要我教你语文？
1695728316# #我听
1692420014# #有点像这个桃里桃气
1692971375# #不看这把武器的真的有难了…好帅的操作好帅的打团…
1696398025# #tickingaway的评论，我真的笑死了
1693414895# #这么搞笑的东西我现在才看到
1696596481# #哎呦这里这小身材，看得人心里挠挠的😍
1700742219# #好的，我们一起骂他，真是检出一个
1691666487# #这转赞评，js们你们是真的复活了，要注意好自己的言行举止…不能blabla后面忘了微笑
1702486027# #他跌的被我自己逗笑了
1702264809# #永远支持theshy
1689405887# #我有点出省病犯了微笑
1701258390# #老母鸡什么时候似允悲
1697519294# #一路走过来已经过去好久啦
1699854791# #来点赞我抱抱
1700730682# #乞丐给我跪下🤣
1697971830# #死之前喊得嗓子都哑了
1700390557# #倒在亚军还不好？委屈不要说为什么不在前面输，我觉得在今天输也不耻辱，走到这里从不后悔。
1703083919# #真被迫的话像我们这种绿帽癖接盘侠还怜惜呢主动等着接盘，现在这种情况怎么说，救风尘都救不起来
1692703089# #还是打完比赛立刻去蹲🍊的现在又找人放消息各种欲盖弥彰的更像有脂粉，窝尿伟大，无需多腌
1698074072# #一开口这个重金属低音凯隐就已经在逗我笑了
1702478479# #在rpg里被一堆人跟着，笑死我了，公主的带刀侍卫已经严阵以待了
1703073859# #过来做我星怒，反正都是公开露出play，有什么区别
1700394312# #随便你允悲
1699789025# #原来就你在相信？大哥我求你删了吧
1702790719# #又被js入侵了，反正我们牢批牢不同意，什么野鸡榜单弱弱弱
1697282790# #我妹妹
1700723067# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1698196536# #我cao你跌的屌，一脚给你跌屌踹开花了，跟你他跌现在脸盘子一边大
1698918459# #剑魔：懦弱之举我绝不姑息
1695727875# #关注多了修杂就老是橙露一发微博首页全是转发的但是其中没有我的身影🤡👈🏻
1702268909# #theshy转会期wbg俱乐部纯在诈骗，宵小之人
1689356836# #2023LPL夏季赛2023LPL我已为WBG.TheShy加油助威！他是我心目中的最佳选手！快来和我一起为WBG.TheShy打call吧！
1690716755# #好帅的霞。。。
1699179304# #没事，我觉得围脖还是可以大度分他们两强，毕竟都是三比零的对局努力
1699004351# #终于找到心态比微波还差的队了允悲允悲允悲赞赞赞
1693505953# #死了的已经死透了
1699692588# #theshy！！！！！！！！
1698580414# #怪不得说上限冠军这妥妥抽签冠军啊笑哈哈
1699701490# #下路差距有点像天堑鸿沟了
1701544994# #你生活是不是不如意
1698339996# #都说了小马数学很好微笑
1689605415# #老婆
1697590011# #2023全球总决赛英雄联盟s13我已为WBG.TheShy加油助威！他是我心目中的最佳选手！快来和我一起为WBG.TheShy打call吧！
1700743397# #？你们真的不是精神失常了吗？？？有病吧？允悲
1698564578# #冷知识，薇恩是纳尔别称挤眼
1702220610# #我还是这句话送给Theshy。“我自有我的去处”
1700392279# #辛苦了！这一年真的太累了！可以好好休息了努力
1691586898# #wbg世界赛取得好名次！！
1702352311# #WBG宣布TheShy离队可怜TheShy我想休息一下天呐，真的假的
1698478729# #寒国有没有代砍服务，请让我助力一下一起砍wbg一刀
1698305460# #微波寄看c9这把比赛心想：这简直就是我微笑
1689405011# #队友必须心里门儿清和一个情绪稳定的人做队友有多难得微笑
1700575253# #他还敬礼了是最搞笑的啊啊啊啊啊啊啊啊啊要把谁气死我请问啊啊啊啊啊啊啊啊啊啊啊啊啊啊
1698848029# #诸葛jsgg在演我，我笑吐了
1703072164# #感觉和现在一模一样，笑死我了
1702815490# #橙露老师对着这张地图非常认真地问“这里有英雄联盟吗”“这里有英雄联盟啊！”真的笑喷我了，轻轻地，农的云批来了
1702558859# #theshy理解大家的不安
1692703676# #糙哥的反应速度要是能有水鬼／🐤罐子拉黑速度的一半快就好了，这样就不会出现在上路霞被格温卡平a咯挤眼
1702188411# #第二局爱慕爱慕我们打野兔子兔子在上路gank成功🌈🌈的时候我们下路🌚🌚的Crisp选手🆘🆘冲了过去❌❌，这种情况不管🚫🚫选什么阵容🈚️🈚️是一定会输的🈴🈴
1698927847# #釜山行所演非虚
1696503410# #我…眼睛看不了孬嘞，首页替我看可怜
1695195908# #贤妻。
1698919100# #我马很累的，纵容一下我马行不行泪泪泪
1701089711# #我们wbg又没有剑姬了伤心伤心伤心
1698579661# #卧槽啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
1702471247# #“有压力呐”“看我一下～”。谁允许你撒娇的，我要侵晕你可怜
1702806588# #笑喷了。鞋子发了个哆啦A梦的表情包，程璐说我也有，因为卡萨给他发过，鞋皇说那我全是（哆啦A梦的表情包）
1698569072# #还是想砍丹畜吃馕
1700491402# #还说好聚好散呢，和队友可以好聚好散，和wbg这个破壁管理层一辈子好聚好散不了吐
1701689676# #我看你好像要碎了，要不我爆爆你，把你掌盟投票发出来我帮你鉴定一下吧抱抱抱抱抱抱
1691497813# #世界赛了！！！三年！！！
1695864483# #快点结束我想睡觉
1696230845# #你们一些日用品能不能别让那13畴喃明星代言了，我到底要怎么买，我们这种只能低端消费的就放过我们吧
1704467024# #你们竟然对很多事都不知道，我变直播bot了是吧，虽然博主本人一点没看直播框框打游戏，但是我打游戏会把直播当背景音，所以基本都听了，听了也算看了，有谁比我更坚毅？现在看ts直播和参加光明会的羞辱性测试有什么区别？
1694434111# #在抖音刷到13龙族了，从来没有一部小说看了之后让我这么后悔的我恨不得这辈子从没看过😅江南你是真的🐭了😅
1697213323# #回国做女大
1690257006# #这种还能为季后赛担惊受怕的感觉真是久违了互粉以前到这个时候已经是纯自由了
1702732978# #差点出大事哥们
1696741072# #忍不住了再冲一波阴险
1701138462# #我更对宙斯路转粉了，这么爱提别人粉丝还可以骂别人真的是无所畏惧，我欣赏这种无拘无束的感觉，我也要向右边学习然后到处骂人～
1696731902# #茶百道theshy联名已经点了！
1702307867# #开一键防护你说个勾巴
1701258345# #癫了吧，天天刷什么似人呢，恶心人吗？
1704263861# #别把我爽死了，爆率太高了允悲
1702824492# #难道他真的是天才，woc
1702268873# #theshy转会期wbg真的太下作了，什么恶心不要脸的事情都能干出来
1697711978# #和冒泡赛bp有差别？
1702385812# #theshy在wbg是顶薪待遇那这热搜什么意思，不是骗人吗黑线黑线黑线
1702485966# #东方甄选4天掉粉近10万天呐为啥掉粉这么多，肯定是有不对的地方吧，就像mbgwbg抖音两天掉粉20w太恐怖了
1695304939# #唉
1704447595# #亚索好打永恩，这是真的
1695816441# #除非露露主动出来笑一个，否则我每次看到他都要问一句小妞什么时候出来给爷几个笑一个微笑
1699445262# #卧槽
1697725455# #啊宝，明天也要顺利可怜
1703071739# #这是光明会的最新羞辱性测试，请大家注意辨别。
1699005261# #碱基都打不出我们对手一点东西来，受不了了允悲允悲允悲
1697721480# #不愧是赛前就不被人看好的kt，过去全部人在大赛上都没有过发挥，现在一如既往笑cry
1702867757# #有时候人也是逆反得严重，曾经我也是个老二刺螈，什么新番都追，自从开了大会员以后我再也没看过任何一部番剧
1689347011# #三百胜还是要靠自己啊努力
1698590157# #输ktg2之后你立刻清稿，还全都是引战的投稿，不排除有贱人喜欢投稿，但是我朋友说他向你投稿你从来不理，你特么什么意思呢？专门引战？为了流量不要跌🐎？赢了mad之后直接不清了，昨天晚上生死战之前又开始清这些司马引战稿，我看你是真的找死
1701262316# #theshy超话对，你们太爱看了，把直播热度看得越来越低？赶紧把你们喜欢天天贬低别人的朋友们叫过来一起看老师爱你
1698569165# #女娲造人来了
1697552024# #要幸福哦～
1699695810# #有点像那年fpxig…好激烈，好乱…
1703067378# #我们只需要js，不需要所谓粉丝哈，二级的自动滚出去
1697799757# #一号种子就该赢四号种子笑cry
1702485894# #i人喜欢的东西i人喜欢一个人思考吧。我最近就在思考为什么wbg抖音两天掉粉20w感觉好震惊啊
1702742016# #唉，水鬼又要骂妈宝女了，但是我只想问一句水鬼为什么不做妈宝，是因为没有麻麻吗
1696078696# #谢谢螃蟹大哥逗橙露一笑，不然我都要以为他在痛经
1701784769# #怎么天天背着我打游戏的时候发生大事啊，是想让我戒了游戏吗我请问
1691930197# #一直都很钦佩露露有着强大精神内核，真是生动诠释了“好的坏的都是风景”
1702727336# #主播学文之后理科有所退步，也是正常的
1699755992# #彬老娘赛前还问为什么js不待见肥柱彬，因为彬老娘之前从没尊重过ts啊这还用问啊？去年余孽彬老娘抓住一切机会等wbg输了就要在超话骂人诅咒，到现在我都历历在目啊那些人的id我都印象深刻允悲。其次，js又不是搞针对，讲师是一视同仁地瞧不起每一个上单啊，又不是搞针对。。最后，彬老娘你们自己看看这
1703155341# #笑死了，我还说cpf要是真能爱他那我就自动退出了，结果发现他们竟然在要求ts不让他们失望，怎么可能啊？他没那样做的话然后cpf就要脱粉回踩被提纯了对吧？所以事实上小马还是离不开我们，毕竟我们不会说小马会让我们失望，因为他本来做的任何事都挺让人意外的，但是我们都接受。唉我马还是得回到jsjj的
1702727527# #闭上眼睛谁能知道我露玩一个算总数为十的游戏娇喘连连，我也是佩服
1691598666# #饱饱们，你们的冒泡赛包｜庇表演更好笑，哦对了，如果让一只手都能把你们这些拉几打爆的话，你们是不是一群人／彘在打比赛啊？🤣
1702111845# #凑合看看，手机尽力了
1704279945# #就这样的下路和围脖下路打得有来有回的赞这就是我们亚军下路，太有食力啦赞
1694926528# #很难不说这种风格就是所谓的好嫁风🥺
1698590596# #这里又来一个，我不管他是哪个出生队友杂，你绝对是最该死的
1704468016# #我忽然想到一件事，明天是德杯总决赛，又是景东打B/lg，如果B/L/G赢了算不算打破魔咒，但是景东没全上一队，那真的算数吗，B/lg粉丝肯定承认，那景东粉丝呢，以后会不会因为这个吵起来思考
1691498053# #千言万语，我只有一句话，他值得
1699004125# #nrg八强geng七强有问题吗？
1695226536# #虽然橙露风抖秀风波在身，但是这个阿卡丽真的好帅
1695282319# #说真的你停手吧，你做错的事够多了你还没意识到吗
1698579684# #老绿你是我的神你是我的神你是我的神
1689922062# #老东教练和老东选手都投橙露是二阵上单微笑暗恋石锤了
1693320763# #请问主播是在亚运集训吗？微笑微笑微笑
1702724649# #天呐，甜妹
1698564822# #血手反甲水银系带…老天啊求你让他赢吧泪泪泪
1702975557# #今晚八点截止抽奖，大家可以再来转发一波老师爱你
1700728716# #你们俱乐部不是第一个吗？🤣🤣🤣🤣精神失常骂上自己了？杂交赛区给我跪下🤣🤣🤣
1700628031# #又一个瓢虫来了，快让大满贯别嫖了，司跌关系户丢了郭嘉的面子，太该4了
1702817981# #感觉橙露厌蠢症快发作了
1702106683# #真的很帅！！很好看的衣服
1702380157# #斗魂竞技，你为什么不开一个职业联赛？？我感觉我马能在斗魂联赛里轻松三连冠
1695363608# #爱看
1699511846# #妈咪…
1699712670# #我可没有骂你，希望你继续加油，但是不要有这么样的粉丝了
1689594891# #感觉两个队都别进季后赛比较好
1698639809# #电动车快把四强接走吧，四强你是更愿意坐在奥迪上哭，还是更愿意坐在电动车上笑泪泪泪泪
1700849689# #英雄联盟S13我已为WBG.TheShy加油助威，他是我心目中的最佳选手！共赴热爱你我同行全程见证每一份热爱。快来和我一起为热爱赛场的WBG.TheShy打call吧！
1702485929# #刚开始只是逃水课对啊水课真的会上瘾，就像wbg抖音两天掉粉20w也根本没停下来
1703154677# #笑死了那他一定会让你们失望的，放心吧！
1698893972# #走得再远一点吧
1699706288# #我想到一句话，一往无前釜山行，拨开云雾见光明，s8的话可以套用到今天，愿你们拨开云雾一路披荆斩棘最后收获自己的繁华锦绣
1704295963# #太尼玛搞笑了鞋垫子憋了十天半个月还是憋了几年就来了一句你们不知道江城路对别人的伤害比别人对他的伤害打太多了！。尽管别人做江城路队友的时候摆烂出轨约跑乱选上单英雄，但是不及江城路恶语一句六月寒！江城路你给我注意了，以后多说话，用言语把别人杀/死，省得讲师天天替你出征。。怪不得炫🐶也
1704263037# #我都不能给单场这臭鞋垫子看臭鞋的照片，因为臭鞋从我面前走过我只看了一眼就只敢一直低头玩手机了，我完全不想拍下来拍脏了手机相册！他真的太丑了握草我当时看了之后在心里一万个卧槽，我在现实中见过的男的都没有丑得这么无与伦比的。单场你个臭鞋垫子记得截图给所有臭鞋小三预备役看哈，以后我会经
1693490957# #解说杯S4我已为加油，让快乐多一点！
1699778621# #只希望一号种子打出来一点对手的东西，加油允悲
1696085775# #彩笔队友们你们就玩吧！一玩一个不吱声，让主播在钻石大师来来回回就是想让他一直改名是吧反正他钱多的很，用改名秀死你们😤😤😤
1701154015# #又给你们演上了，每天轮番表演猴戏呢应接不暇了都快。
1699869365# #一天之内被这么多乱七八糟的人或者cs骚扰我，我真的要送给自己一段话：我现在是真的火了，平时我一定不会注意自己的言行举止，一定要让人以为我是个很坏的人，我不会严格要求自己谨言慎行，更不会起到表率作用。。我只对奖惩录和纯种讲师宽容，其他人可以悄悄离我远一点喵，感谢合作呢思密达努力。忘
1693461494# #感觉要打起来了围观一下
1698907290# #喜欢程璐的发言爱你
1702268286# #theshy转会期wbg不干人事，过河拆桥，离谱至极！
1702113642# #请吃，此珠现在坐得很端正在看颁奖中
1694564432# #啊，臻彩就算了，臻彩还有一个炫彩吃惊你什皮？
1702216830# #真是体会到了哪队有瓢虫，那队的对面真的会很轻松…
1703150726# #看着这张图片又怜了，就是因为知道他有多努力，有的时候他有多内耗，有多么爱道歉，有多么想胜利，才会觉得现在的不应该是他想做的。因为听你说你是想休息的，你也是想重新出发的，而不是去作践自己，也不要强行去说为了粉丝而直播，又苦恼要怎么熬过直播。最重要的是你是自由的，你不是任何人的，不是
1689610468# #2023LPL夏季赛2023LPL我已为WBG.TheShy加油助威！他是我心目中的最佳选手！快来和我一起为WBG.TheShy打call吧！
1690108566# #早点死，全部都滚
1697517373# #来个人捏一下他的脸
1700996285# #醒醒两位大哥，对面不是批刷批多烂稳定给你们送孝啊微笑
1699702678# #真的只能靠队友了，求你们加油吧
1691999532# #在tb搜算命都得得出这个
1693240119# #2023LPL夏季赛2023LPL我已为WBG.TheShy加油助威！他是我心目中的最佳选手！快来和我一起为WBG.TheShy打call吧！
1703073340# #鞋羞批还说如果jsjj能给我马找到工作他们直接闭嘴，现在我宣布找到了t/hes/hy过来做我的星怒，怎么不算我给他找的工作呢？反正现在围脖id看着和双家星怒也没区别😜
1699690712# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊谁让你们玩大卑的啊啊啊啊啊啊啊啊啊啊？我？我？我？我？
1691498069# #好多年了
1695867886# #可能也有破绽🐊的关系
1702804998# #而且拿到的时候卡就是弯曲的，卡的质量就是纯纸张，特别软
1695975046# #看到现场因为赢了个🇻🇳队都欢呼雀跃的，心中不禁涌出一股悲凉感笑cry
1702111053# #我在传入场视频，你们待会儿点进我主页看我粉丝可见，就能看见视频老师爱你
1702803740# #请自取兔子
1692782556# #非常的美丽
1690894863# #请在转发看青梅竹马粉丝翻脸巨齿鲨2：深渊
1702115740# #p了一下，喜欢的请随意！
1698401146# #唉，上路有队友
1701274203# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1693998021# #提问：yesorno主播：or
1695632858# #theshy茶百道好茶体验官介么可爱哒憧憬
1700628089# #你以为郭嘉看得惯瓢虫？只是我敢说实话罢了，我说瓢虫都该4，支持瓢虫的也该4，你首当其冲耶
1703148649# #最右边是不是毒唯，怎么这么会恶心人呢，哥哥们不需要你这样的粉丝，快去死吧你
1694179747# #莱特你小子看到程路注定要接受惩罚这么开心是什么意思！后面自己一言不发喜获零分是不是不想让程璐独自受罚直接沉默自己，甘心陪程璐一起受罚所以才这么开心，懂你is挤眼
1695868235# #西湖水质怎么样？
1701258474# #kakao老师你人呢，大佐，991111需要你
1703145657# #别人感叹发微博最多的一天都是1111多感动多有纪念意义，点开我们这种粉丝的微博一看，尼跌我是1.4号踏跌和瓢杂吵架吵了八十条，再一看我朋友2.26号，也是和瓢杂吵架吵了四十条，握草把纪念日还给我们呢
1703091904# #勾巴啊讲师说要乳回来结果都是明贬暗褒的，别以为我没看到你们暗地里偷偷夸他天赋高又什么都有性格坚定又不内耗不在乎风言风语之类的，哼哼被我逮住了
1695288108# #theshy茶百道好茶体验官期待
1702561564# #直接和最愿意花钱的粉丝谈恋爱的是我们lpl的最好榜样，大家都向脲鬼学习赞
1696481957# #茶百道theshy联名来咯！
1702281169# #说是法制咖还真是法制咖
1690028121# #不知道的以为今天我露在赛场上游龙哼
1693413253# #夜深了来点经典永流传NO
1696838499# #怕大家不认识我介绍一下这我小姨
1701262612# #theshy超话第一次见到所谓朋友说话提一个明显和你有纠葛的人，特地让你尴尬的，ts都说不出啥了，面对一个对自己有明显恶意，并且由那个人带动他的俱乐部发动了一场最恶心的网暴，自己还能说啥？这就是你们喜欢的费解再问一万次，这谁的超话？别发癫。
1702549053# #觉得快崩溃的请来虎牙991111寻找温柔乡
1691498504# #1430天慢慢数来，太多的遗憾与磨难，我一直在想运气什么时候能眷顾你，会来吗？来吧
1700729234# #说反了吧大姐？老赖法治咖请滚出拆那，你支持老赖就是支持违法，给你250块滚出去吧🤣
1694425402# #这位大妈而且是你那位梅毒大妈先拉黑我的你激动什么啊，倒是让他别拉黑我啊
1699696956# #摇得把我都骗了，woc什么玩意儿
1689407725# #0.5倍速再享受一遍色
1697973267# #队友粉在这里哭天喊地不如问问对手觉得谁最有威胁笑哈哈
1692949541# #试试
1696085491# #彩笔们你们再打一下游戏试试
1693058227# #毫不怀疑橙露一个人在家能和自己玩一天
1689349883# #声明努力我不会消失努力只会被夹努力只会被拉黑努力
1698583879# #最没资格挑衅的就是edg粉，姥子坐在现场看edg粉丝痛哭的时候笑得别提多开心了，简直和哭丧一样把我笑死了
1701512358# #mywife
1698026475# #在dy上十次比赛九次程璐哭了🤣
1700649205# #让我关注你真是让我咬牙切齿啊
1700420891# #？大哥你尊嘟假嘟o.O
1693065939# #解说杯S4我已为加油，让快乐多一点！
1702262534# #theshy转会期WBG也太可恶了吧费解
1697722843# #blg打jdgt1打gengdk打ktmad打bdsnrg打tl，全是内战，这个抽签的是谁啊能不能拖出去笑死我了要，内战圣手在此啊啊啊啊啊啊
1691494012# #这不是小夹夹吧，小夹夹不是那种心态很容易崩的老头吗吃惊
1700742967# #跟你好好说话呢，阴阳怪气什么？⊙⊙允悲无语如果网络上只有戾气的话，那我觉得我们也没什么好讲的必要，起码我也听了你们的信他是个串子，你现在还来纠结我们，难道是我们先发的微博吗？我之前什么时候骂过勋吗？--||
1696821862# #茶百道theshy联名来咯！
1689347245# #上单和AD竟然没有一票？不是，你们的标准就是送了才算打得很完美，因为有“亮眼”表现是吧？没有失误的就算平平无奇是吧？因为没有跳出来送？
1699516608# #来噜
1699956222# #把我lp们帮我骂的全部放到置顶啦抱抱抱抱抱抱见人和初生全部退散喵～。。我毒唯毒唯毒唯特别毒，除了奖惩录谁都有可能骂，请慎重关注。。。我真的特别不爱看人主页，所以回关谁我也不知道，需要回关的和我说一声，爱小讲师们，么么哒抱一抱。。放张尼菈，表明博主很会抽人。
1700790473# #哭你的丧去吧，四圈家的乞丐，滚
1696083615# #zuanyidetou三十分钟之后就又回大师了，主播心中无限感慨然后躺下了，准备改名dashidetou了
1702629072# #瞎子：我不玩手机玩什么
1699754115# #小妹
1698921249# #不知道是谁说不配，反正我只知道ts绝对最配这个四强，有人敢质疑就证明质疑的人是个死人爱你
1698316326# #关键时刻能相信江城路，也只能相信江城路，他会给出信任他的人一个坚定的答案
1702285932# #别把石头和陆文俊穷死
1702122639# #公开一下，大家都请退货，谢谢宝宝们
1701610400# #全明星前也别直播了，给大家彼此一点空间，你玩去吧
1698747179# #皮夹是认真在被虐
