1688479652# #有感。。文有胡锡进，。。武有马保国。。中文互联网，。奇才不可缺。
1690184279# #齐齐哈尔34中体育馆坍塌事件，11个孩子遇难。看到一个视频，遇难孩子家长质疑，孩子送进医院5个小时，没有一个人给我们提供一点消息，没有一个工作人员给我们沟通。这位家长，没有痛哭，没有流泪，他真的是已经十分克制。我们只能看到他的绝望和心疼。弱弱的问一句，我们的齐齐哈尔的父母官们，你们此
1701253145# #孩子，你的五十岁生日到了！。可还在用呼吸机维持生命，。生命垂危，越想越心痛。。孩子，你是清华才女，。你的荷塘照，你弹的《广陵散》。你的多才多艺，一个科学家的原坯。。可你偏偏遇到那歹毒的人，。两次铊中毒，把孩子你彻底毁了。。明明知道凶手是谁，。可是孩子你的生活用品却丢了。。没有了确凿证据，孩
1701302495# #亮亮丽君夫妇买了烂尾楼还挨打，得到了很多人的同情。。但是，亮亮丽君夫妇有了流量以后，变了，做起伤天害理骗人的勾当，农村里一个小诊所，被他们说的神乎其神，欺骗癌症和肾病综合征患者。这样，他们夫妇是在图财害命。。亮亮丽君夫妇由受害人变成加害人，这是在消耗人们的善良，必须加以谴责！
1701828294# #网传河北赞皇县邢郭镇北马村70多岁的老夫妻用来过冬取暖的一吨煤，被镇政府工作人员没收。来时没有出示任何身份证明，走时又没有留下罚没单。。赞皇回应：属于劣质散煤，依法清缴。要到指定地点去买优质煤球。。这些地方官员，就是打着环保的旗号，来坑害老百姓。其它的都是劣质煤，只有他们指定地点的煤
1701050049# #从教育变迁可以看出社会的变迁。。十几年前，俞洪敏创立新东方，中国教育出现“英语热”，改革开放，走向世界，。五年前，张邦鑫创立学而思，应试教育达到极致。家长们都生怕自己的孩子输在起跑线上，就要上好的初中，好的高中，好的大学，985，211，上个好大学，就能找到好工作。。两年前李永新创立中公
1699189287# #我分享了文章呼吸道疾病，专家讲的很靠谱。就是不能擅自用药，切记切记！
1695865476# #人大附中有个最牛的高考班，就是国际班，36人，考入清华北大的35人，比任何地方的录取率都高。不过，看他们，国籍是外籍，脸蛋，都是自己人。有权有钱真好！入了外籍，比国内考生上清北太容易了！
1692254933# #？三年多没阳，躲过了新冠。这次没有躲过甲流，看病难，一约难求。好不容易挂了南医大的号，呼吸科又没床位。医生不错帮我在急诊科住下，高烧不退，血氧饱和度低？经过两天治疗，烧退了血氧饱和度上去了我看到医疗还有希望。腐败又腐败的土壤，把权力关进笼子里就不能让他们自己拿钥匙
1695251840# #欢迎俞教授归来！
1690268705# #10位初三学生，一个教练老师，真是太可惜了，她们花样年华，原本前途无量……坍塌的岂止是体育馆，坍塌的是11个家庭。齐齐哈尔市教育局离34中只有49米，教育局暑假前刚刚开过安全会议。这不是天灾，是人祸。必须追究有关责任人的责任。
1690894137# #三年抗疫，医护人员日夜奋战，现在回头一看，这都是一些“坏人”院长书记领导下进行的，想想真的不是滋味。政法有康师傅，孙力军，傅政华等法制不彰，教育有王胜战那样的局长，医院竟有150家医院的院长书记被查，真的让人很伤心呀！
1703230863# #诺贝尔物理奖获得者崔琦出生在河南宝丰县，一个农民家里。。1951年，12岁的崔琦被母亲送到香港大姨那里去读书。。崔琦的父亲1959年春被饿死。母亲被当作里通外国的嫌疑分子（因大姐在香港）于1968年在贫困交加中死亡。崔琦的姐姐想借一把铁锨把母亲埋了，村民们连铁锨也不敢借给她。。后来，崔琦在大姨帮
1696040655# #满屏都是许家印。许家印违法乱纪被抓，理所当然。中国往往都有打虎情结，舆论一边倒，就连那些大V，名流，以前都是给许家印吹喇叭，抬轿子的，立即马上转了向，痛骂起许家印来。往往，人在风光时，拍马逢迎的，一旦，人倒了，落井下石的一定是他们。。许家印如此疯狂，有过监督，有过管理，有过预警吗？
1694432708# #于建嵘教授的故事。河北孙大午，在最为风光的时候，宴请各路精英，其中有秦晖教授，于建嵘教授等，当参观孙大午学校时，于建嵘教授看到，学校到处都有孙大午语录，于建嵘教授认为，学校是培养独立精神和自由思想的地方，将自己的话当格言，违背教育的宗旨。学校悬挂老板语录，很多人都会看到，只有于教
1690700718# #《齐齐哈尔第三十四中学发布悼文：悲痛万分，含泪相送》7月29日下午，齐齐哈尔第三十四中学在社交媒体发布悼文，悼念在体育馆坍塌事故中失去生命的11名师生。
1689411355# #湖北，19岁的武汉某大学大一学生李同学，因母亲患癌，为给母亲看病，赚钱心切，离家出去赚钱。他的姐姐手机最后一次定位在缅甸果敢。大概是由于赚钱心切，被骗子高薪引诱，进了贼窝。在此，奉劝年轻人，虽然国内就业有点难，尽管自己家中有何困难，都不能被所谓的高薪引诱，去缅甸，去缅甸，不但挣不到
1700226658# #为蒙冤的民营企业家平反，应摘黑的摘黑，能无罪的坚决无罪。像湖北首富兰世立，太子奶李途纯，甘肃的赵守帅等等已经彻底平反。。有专家说，目前处于窗口期，机不可失，时不再来。过去这个村就没这个店。有冤的必须尽快申诉。。孙大午被判18年，很多人认为他是好人，造福了很多人，永远不能忘记孙大午。可
1692571728# #当许家印最风光的时候，前午钢总经理老马却是不屑一顾。毕竟知根知底嘛！有恒大人问老马：想不想见一见许总？老马说，我我见他干什么！。许家印曾把名字刻入石头，想不不朽！。他的套路是资产个体化，债务社会化。国外注册公司，国内银行借钱。债务推给人民。国外申请财产保护。狡兔三窟，尔奈我何！最终
1696411489# #司马南说，泽连斯基辞职。真的假的？如果是假的，就是造谣。该怎么处理他呢？
1692405296# #如果法律，医疗，教育三大底线都凋零，会是什么后果？难道大家都去说笑话不成
1690435978# #房子烂尾，女子停交房贷上了黑名单。房子烂尾了才知道：卖地的没责任，卖房的没责任，贷款银行没责任，监管部门没责任，对所有负责任的就是买房者。
1689899559# #吴小平是个什么样的人？他称赞中共中央国务院的关于民营经济发展壮大的意见，是中国经济继续前行，中国GDP跨越中等收入陷阱的关键之关键。查一下资料，原来吴小平就是“民营经济离场论”的始作俑者。“民营经济离场论”影响极坏，民营经济凋敝与其有很大关系，对吴小平这样的人，不给一个说法，民营经
1701489679# #有网民把世界最有深远影响的30项技术列了一个表，大多数都是美国及西方发明的，没有一项是我们中国的。。作为中国人，我们要自信，但不能妄自尊大，不能总是提四大发明。“师夷长技以制夷”并没有错。不能动不动就给人扣帽子“舔狗”“汉奸”。任正非说华为没有超过美国，是实事求是的。华为之所以做得
1699188624# #如果时间错了就改正，绝没有恶意，也不是造谣。错了，向大家道个歉。
1697267904# #我不断琢磨，复旦大学特聘教授张维为，他把世界分为中国和外国，主要是唱赞歌的。美国人的生活，还不如中国的农民工，他们有土地，有住房。似乎中国已经实现共产主义了。中国什么都好，外国什么都不好。如此唱赞歌，能推动中国进步吗？答案是否定的。推动社会进步的从来不是唱赞歌的，而是批判者，只有
1692361021# #巴中市委书记跑步，被点评11万是不是要回辫子时代？
1689432427# #工作群又现不雅信息，这一回是病毒侵入？是不是美帝放的病毒？有很大可能！
1695259303# #俞飞教授禁言结束，很多网友都欢迎他归来。有很多人说，不断被禁言的，才是真正的猛士，说明你是说真话实话的，你是一个批判者。假如一个博主，从来没有被禁言过，他肯定是一个“正能量”岁月静好者。社会需要批判者，俞飞教授就是好样的，针砭时弊，让社会变得更好。
1690178146# #公考分数公布，小孙名列第一名，今天上午，市政府面试。面试官问小孙：“你备了6支大中华香烟，结果来了7位领导，你该？”。小孙想都没想说：“我把烟每两个领导之间放一支，问题就解决了。”。面试官：“棒，真的棒！前途无量。当市长都有点屈才。”。”
1700882131# #吴承之朱明新夫妇，是一对知识分子。他们有一双天智充盈的女儿，一个北大，一个清华，都是才女。这样有出息的孩子，他们能不幸福吗？。但是，她们给带来的却是厄运。大女儿吴今，北大才女，却坠涯身亡。明明知道，被人推下去的，却找不出证据，一句不是他杀了事。。小女儿朱令，清华才女，被人下毒，，成
1694501031# #于建嵘教授的故事。随着城市化的发展，不少乡村村庄在凋亡。可山西省五台县的三教神村却奇迹般的发展起来，这多亏了于建嵘教授，没有于教授，三教神村也就凋亡了。。三教神村有个“证心谷”，被采石的搞的乱糟糟的，经批准，村民们自己动手整治，一些学者书法家来这里，创作作品，于教授亲自动手，刻在石
1699064728# #真不好意思说—又是河南，秋收季节，河南的农民似乎成了贼。。说是在河南，偷西瓜不叫偷，叫摘，偷井盖也不叫偷，叫拿。如今，又出来抢药材。什么漯河食品节，南阳音乐节，信阳高粱节，许昌红薯节，新乡豆子节，开封菊花节，周口玉米节，花生节，药材节……几乎覆盖整个河南。有视频，有评论。河南人成
1690182404# #今日，齐齐哈尔34中体育馆坍塌事件指挥部消息：救援已经结束，11个孩子遇难。看了真想大哭一场。这11个孩子的家长真是太惨了！养了十几年的孩子，暑假去训练排球，说没就没了，这搁谁身上能受的了呢！当地政府领导应该把工作的重点，放在对遇难孩子家长的关怀上来，解决他们提出的问题，孩子是他们的心
1690967497# #禁言，不知是何时创造出来的？禁言，应该是划时代的。历史上有过止谤，那是周代的事。禁言，也会写在史书上的。
1703209939# #现在的很多人，包括专家学者，都在说着乱七八糟的网络语，甚至暗语或黑话，还加上英语单词，让人摸不着头脑。。看来说真话的危险指数在上升。你说的是实话，人家认为你攻击，禁言你，限流你，封你的号，你就没有发言的机会了。也许暗语或黑话能包裹真话，也只能这样了。
1701065597# #今天看到一个视频：《财经》预测与战略论坛上，李扬院士的一句“我不知道”，震撼了全场。。李扬院士对自己专业的问题，他不可能不知道。也许是假话不愿意说，真话不敢说。。不管李院士是真不知道，还是知道不敢说，比那些振振有词的胡说八道，假话谎话都能说得语重心长的砖家，真是天壤之别。。不说假话
1702704113# #他—。他是当代谎言大师，。说谎从来不脸红。。他大奸似忠，。吃百姓饭，。穿百姓衣，。从不为百姓。。他恬不知耻，。人们说他脸皮厚。。他说我不是脸皮厚，。我是学养厚。。他知道自己在说谎，。说谎都能语重心长，。我们知道他在说谎，。他坚信，。谎言千遍成真理。。他是某旦之耻，。他是沪上之耻，。他是知识分子之耻
1703648361# #三年之《我的大爷和三爷》。我的大爷是种田好手，无论摇耧撒种，无一不精。人们都说他，摇耧定倉眼，让它是每亩地多少斤，能不差半钱。撒芝麻种子，没有一个双棵的。58年大爷被选为队长。但他跟不上形势，要办万年大食堂，开始天天吃坐席，拾荤两甜，浪费特别大。大爷说，这种吃法，不能用3个月粮食就会
1694677373# #时间一久，就会忘的一干二净。拖拖拖，就是希望尔等忘记。对于北极鲶鱼爷爷案，人们亟待有个处理结果。5个月过去了，来了个不属政府信息。权力真的很傲慢。网民他们就是好记性，没过一段时间，就会提醒一次。北极鲶鱼爷爷案何时有结果。生怕纪委忘记。难道真是“剃头挑子一头热”吗？但人们仍然希望有
1697265646# #真不明白，掏个鸟窝判10年，拐卖孩子14年判5年，到底是为什么？孙海洋泪奔，要抗诉。坚决支持，讨回公道。
1690209039# #齐齐哈尔市安全生产“20万人大培训”百日行动效果显著。这是7月20号，刚总结完，结果就出事了。34中体育馆坍塌，10位初三学生和一个女教练遇难。官样文章，形式主义，都做得很到位。遇难孩子家长质疑，孩子送医院之后5个小时，没有一个工作人员与我们交流，沟通。齐齐哈尔的父母官们，你们此时在干什么
1700964342# #2012年全国两会，原中纪委副书记刘锡荣说，四年前，我国公务员是600万，现在已经是1000万，每年增加100万。官多为患。。又过了11年，不知道现在有多少万公务员？如今是千军万马去考公，这是不是倒退？。刘錫荣分析，中国缺少一部《编制法》，编制随心所欲，一个秘书长的编制，搞了一大堆秘书长，就给买官
1688107852# #又是一年高招时，野鸡大学特别瘆人。不明白这些“喝人血”的野鸡大学怎么能光明正大的办起来，高招能冠名堂皇的填报志愿，甚至能读四年，到时候才知道孩子还是高中毕业，才知道上的事野鸡大学。当官的，主管的教育部门完全知道，假装不知道。这里面有利益输送，就是睁只眼，闭只眼，让这些野鸡大学祸害
1700202289# #合則利大，地球之大，容得下中美两个大国各自发展。中美关系稳起来好起来，对两个大国及全世界都有好处。近几天，好像“他们慌了”“我们赢了”的话听不到了。。胡锡进似乎转了向，把圣人圈里“我们的科技早已超过美国”的人称为“害国贼”。司马南，卢克文，陈平，张维为，金灿荣这几个当代圣人怎么办
1689485035# #四个危大思想家比赛。于：我要改姓，找一个老祖宗，他的名字就叫司马迁。。胡金张：不要脸。。胡：我被俄语熏陶数十年，大国大事大人物，变幻莫测，谁有我摸得透。。金张于：够不要脸。。金：我已经超过鬼谷子，李淳风，刘伯温，世界风云，谁有我预测的准。。张胡于：预测准过一回吗？也不要脸。。张：好多人
1701309551# #查理芒格去世，享年99岁。29日基辛格先生，中国人民的老朋友，在家中逝世，享年100岁。
1693552039# #李显龙说：“新加坡不能有超过70岁的总理！。所以，李显龙要退位了。。接班人黄循财要上位了。。新加坡还是新加坡，“”李家坡”将成为记忆。。黄循财1972年人，海南人。是移民二代，70年代的人开始掌权。。相信新加坡会越来越好。
1690850903# #谨言慎行，谨言慎行，谨言慎行！『驴又冤死了，最近又火了』
1693103062# #自古忠奸难辨。但也有最容易辨的时候，那就是戏剧舞台上，奸贼一出来就是白脸。。现实中，不少知识分子字典里根本不存在“诺诺”，只有“谔谔”。他们爱找茬，爱寻黑暗点，就是为了国家人民更好。这些人往往不受待见，常常被禁言。因为“忠言逆耳利于行，良药苦口，利于病。”大家时常可以看到那些会忽
1698628671# #麻婆豆腐项立刚，。吹牛欲超两赢张。。科技早已超美国，。后美时代已到来。。任总狠狠把脸打，。麻婆豆腐成芳名。。当代四吹一新秀，。盆满钵满吹功厚。
1700221441# #周末了，抄几句废话，休闲一下。。人中吕布，马中赤兔，。鹰中之鹞，虎中之豹，。马户中骡，狗中藏獒，。自此君始，跪式异样，。如此模样，媚上风光，。女H视之，甘之如饴。
1690553849# #【华为浏览器】平均年龄只有十四岁！网友披露齐齐哈尔遇难孩子名单：她们不该是一组冰冷的数字！
1700534296# #大凡敢肆无忌惮干坏事的人，头上几乎都有光环罩着。。许家印，欠债2.4万亿，被评为全国劳动模范。。叶有芝，一个医院院长倒卖5000份出生证明，从中敛财数个亿，被评为“最美奋斗者”，。许家印叶有芝这对“郎才美貌”的人有他们的结局。这难道不是极大的讽刺！
1689813646# #《中共中央国务院关于进一步促进民营经济发展壮大的意见》，被称为给民营经济的定心丸，民营经济的春天来了。给民营经济定心丸，首先应该严厉打击那些对民营经济喊打喊杀的势力。某信办曾经搞过“清朗行动”，结果“雷声大，雨点小”，对民营经济的喊打喊杀不绝于耳。民营企业家心有余悸。同时还要果断
1691719512# #医界反腐正酣，如果只治标不治本怎么办？。河南农村有个村长刚干几个月，就被百姓告了。这个村长开了大喇叭，公开威胁：“我就是一个瘦老母猪，两张皮。告诉你们，我不吃肥，就让我下台，没门。”。河南这村长虽然粗陋，野蛮，但也说明了一些道理。医疗反腐也是这样。如果只是抓一批院长书记，眼前，会有
1701569163# #LHQW八卦炉，丹方入世神仙出。。奇之又奇治百病，阎王老子亦叹服。。中医本是传统医，如此折腾坏名声。。文化传统需继承，歪门邪道怎能行？
1690366850# #河南都市频道记者，特别是两位女记者卧底缅北电诈匪窝120天，成功救出6名被骗缅北电诈匪窝的年轻人。特别制作了《缅北归来》，对缅北电诈团伙有巨大的震慑作用。开封21岁青年小朋被表哥高薪引诱，骗到缅甸，电诈团伙要求40万赎人，后来知道小朋是农村的，要10万赎人。因家中没钱，小朋有跳楼自杀的念头
1695707613# #赵高指鹿为马。过了2000多年。。江局长指鼠为鸭。刚过几个月。。经济学家指亏为盈。同样是指鹿为马，指鼠为鸭。难道不是吗？
1699081670# #《高招》。北宋权臣蔡京，给自己的儿子蔡九谋了个杭州知府的位子。。蔡夫人不解，说：“蔡九这孩子，读书习武都稀松，老爷怎么一下就给弄个知府，应该在基层历练历练。”。蔡京说：“夫人你这就不懂了。在下面，需要真枪真刀，把事弄砸了，连个背锅的都没有。一下给他个知府，下面有的是人，给他出主意想
1700808947# #郑州金水区法院团购房烂尾，钱没了地也飞了。。咋办？法院是不是主持正义的地方，支持322名干警及家属维权。这么多人，又是法院的，不至于再像亮亮丽君夫妇挨打吧！拭目以待结果。
1699857762# #据打拐志愿者上官正义披露：2011年河南商丘市妇幼保健院丢失出生证明4885份。。2016年，上官正义调查出出生证明下落。2021年商丘市公安局立案调查，查明是商丘市妇幼保健院正副科长所为，属于內盗。后来，始终没有判决结果。上官正义多次要求公开案件，无果。。一个出生证明，襄阳市健桥医院的叶有芝可卖
1697354678# #农民企业家真是太少了。一个孙大午还在监牢里。平反，杳无音信。为孙大午发声，又人微言轻。救救孙大午，大家齐发声。多转发，就是在救孙大午。
1700290543# #不让说的就别说，都说大模型会让很多人失业，这不，大模型之父奥德曼首先失业了。
1697524555# #北京市纪委副书记李振奇，已经66岁了，一个老纪检被查，这说明非制度型反腐，真是一查一个准。。反腐，迫在眉睫的是进行制度型建设，把权力装进的笼子里。也就是说，对腐败要有预警机制。。李振奇，预防腐败局局长先腐败，的确很可笑。但制度型反腐，绝不是设立一个机构而已。预防腐败，绝不是不可能，非
1696377513# #山西有个金融大案“德御系”，10名厅级，40名处级，130名公职，私刻公章上千枚，假材料几十吨。。近水楼台，先得月，靠山吃山，靠水吃水。，靠海吃海，靠煤吃煤，靠老百姓吃什么呢？
1698969776# #网友良心之问：空洞乏味的口号何时能停？自吹自擂的大话何时绝迹？溜须拍马的砖家何时闭嘴？粪坑里的粪蛆何时团灭？这些问题不解决，就像孙立平教授所说，我们的下一代不会把我们这一代人写好。
1695454679# #贵州凯里市有个黄德坤，本是一个司机，巴结上洪金洲，被提拔为凯里开发区城管局局长。当再次提拔为是市拆迁办副主任的时候，城管局的账目混乱不堪，疑有贪污巨款行为。于是黄德坤被双规。当警方录入黄德坤指纹时，发现他就是杀害五人的杀人犯。。黄德坤是凯里银行行长乐贵建的司机。乐贵建嫖娼，被派出
1692789600# #老胡如今成了活宝。又有人调侃老胡。说他，十年后，老胡要卖腰子。谁敢来赌？赌资你定！卖腰子，去缅北，还是在股市？
1702605296# #到哪里能买个世界观？。一个老纪检说，大凡贪官，无论职务高低，年龄大小，在审查中，没有一个坚韧的。要么数千万，要么上亿，数十亿，当他们被捉时，忏悔时都异口同声的说“放松了世界观的改造”。。看来世界观是个无价宝。到哪里能买个世界观呢？。我真想买个世界观。随便放松一下，弄个十万八万的，环
1702609111# #《大久和小久》。这是我亲眼目睹，绝无虚构。。上世纪庚子年的一天下午，区里来调查大伙开办情况，也就是调查社员能不能吃饱饭。。队长让男社员在食堂门口排起两队。总共35人。队长把花名册递给区里来的干部，由伙食主任一个个询问吃饱饭没有？大久和小久是堂兄弟。大久个子高，一米八五，小久个子矮，一
1688792056# #比翼双飞！
1702259481# #民间防艾第一人高耀洁，在纽约曼哈顿逝世，享年96岁。。高耀洁是河南中医学院退休教授，被称为民间防艾第一人。。高耀洁自1996年开始，自费进行防艾宣传，走过河南100多个农村，见过1000多名艾滋病患者，为艾滋病防治做出了贡献。。高耀洁千古！
1697270165# #《活着》是著名作家余华的作品。余华谈家事，说：父亲和我应该感谢我那不正经的爷爷。这类的事还真不少。余华的祖父从祖上那里继承良田200亩，祖父并没有继承祖上勤劳节俭的传统，吃喝嫖赌，几年下来，200亩良田被卖完。49年以后，我家的田，成了别人家的田。土改时，买我家地的，都成了地主，而我家却
1698111711# #河南交通厅四连腐，现在看看辽宁省公安厅的三连腐：。2002年—2011年，李文喜任辽宁省公安厅厅长，被查，贪腐5.4亿。。2011年—2013年，薛恒任辽宁省公安厅厅长，被查，贪腐1.35亿。2013年—2022年，王大伟任辽宁省公安厅厅长，被查，贪腐5.55亿。。整整20年，三位厅长前腐后继，一点也不停歇的贪腐。人民
1700445569# #大模型之父奥特曼失业了。我们好几十家搞大模型的，质量还差劲，把他聘请过来怎么样？
1694574973# #今天是九一三事件52周年，林彪及妻子叶群，子林立果在温都尔汗机毁人亡。
1688120272# #河南小故事。洛阳一个大爷，想赚点钱，从菜市场批发一点菜，去摆摊卖。市市场监督管理局的人来了，看了一眼，马上开具罚款单11万。。这大爷，是个农民，当然没有退休金，才想着卖菜赚点钱。今天是赚了21块钱。这市市场监督局就罚了11万。赚了21块，罚了11万，连强盗都自愧不如。
1693831519# #因为一则微博，我竟然成了国粉。其实，我什么粉都不是。。蒋万安演讲，全程脱稿，侃侃而谈。有比较，才有鉴别。我们的市长们，脱稿讲演的你见过几个？哪个不是照本宣科？有人说他是跑大陆来作秀。假如你是市长，有没有能力不让秘书写稿子，来一场这样的作秀。。蒋万安蹲地与老奶奶交谈，这充分表现了亲和
1695900494# #握手握手鲁迅的笔就像把利剑出鞘戳到每个人的痛处，有的是痛醒了，有的永远都痛不醒，悲哀！
1691039248# #最近，好像都在耍嘴皮子，看看谁是嘴子金，谁能把屎说成尿来？
1702365540# #《一个伟大的父亲》。最近河南一中院对案件判决真是大快人心。。河南一个19岁女孩放学回家，路遇6个小混混进行骚扰。。女孩父亲在旁边看见，奋不顾身上前与小混混进行搏斗。小混混人多，把他打倒在地。。混混们肆无忌惮，上前欺负女孩。倒地的父亲见状，捡起地上的一块砖头，去打几个混混。不要命的人力量
1697682110# #有几个大教授，天天当网红，日日奇葩说，成何体统？有什么希望？真的看不惯他们，也瞧不起他们。中国有这样的叫兽是最大的耻辱。
1701845010# #北大教授张维迎说，如何提振企业家信心，大家都知道，但都不说。这也许就是对李扬院士“我不知道”的最好诠释。。面对领导在，你说我说，大家说，连一句实话都没有，真话更不会有。这个会，那个会，发文件，都是只见楼梯响，却不见人下来。这样下去，只能是“大练钢铁好”“whdgm好就是好！”，体制就完
1694066103# #昨天看到一则新闻，张艺谋老师去世，遗体告别仪式在八宝山革命公墓举行。真的吓人一跳。结果又看到《人民日报》的评论，原来不是张艺谋老师去世，是张艺谋的老师司徒兆敦先生逝世。他任教北京电影学院，教出张艺谋，陈凯歌，田壮壮等名导。原来是标题党，故意把的去掉，真够缺德的？
1692802332# #他放得下权力，装得下人民。他执意交权，亲中亲美不如亲民。他就是新加坡总理李显龙！
1697877194# #江苏一个33岁外卖员，因凑不够40万手术费，出院等死，结果，一个鲜活生命没了。。他曾经16次献血，多次报名捐献骨髓，却倒在40万手术费上，真是太残忍了。。原辽宁省副省长，公安厅厅长王大伟，贪腐5.55亿元。辽宁省公安厅三位厅长前腐后继贪腐都过亿。。这真是“朱门酒肉臭，路有冻死骨。”他们台上说的
1690611037# #王旭明先生谈齐市11人遇难事件。一个齐齐哈尔不大的地方，出事一天多，书记市长才露面，不合格。。还有多少安全检查，如齐齐哈尔？！。兔死狐悲，狐不悲者，下一个就是你这只狐！。不是好校长好局长，原因只有一个，与人民对着干。。稳定不仅靠镇压，更靠春风化雨，鱼水情深的官民关系。只要我们的官员和校
1695727927# #大同校园性霸凌案，可以说是世界炸毁r三观的性丑闻。可以说，那两个霸凌的男孩把那个被霸凌的男孩一生都毁了。对那两个霸凌男孩必须严惩，决不能只是训诫，对他们的家长，也必须让他们伤筋动骨，给被霸凌男孩以巨额经济赔偿。坚决给被霸凌受害男孩讨回一个公道。表面看，他们霸凌的是一个弱势的男孩，
1701756237# #陕西省永寿县马坊镇东张村村民张顺气，肢体三级残废，属于困难户，领导送温暖，领到3000元救济款，村支部副书记张某志向其索要跑路费，张顺气让侄女给送去500元。。多么荒唐的跑路费，原来为人民服务是假的，为人民币服务才是真的。这些小苍蝇。。此类事绝不是个别现象，在农村可以说是普遍现象，应该好
1696907520# #河南信阳市公安局始终不公布李长根卖官案买官者名单，深圳市交通局对北极鲶鱼爷爷案承诺未兑现，被称为权力的傲慢。。为什么权力会对公众傲慢？因为权力的来源与公众的感受无关。你想想，这些局长，市长，对他们的上级敢傲慢吗？。权力来源不一样，结果就不一样。我的权力不是你给的，我就不，尔奈我何！
1699754808# #现在也许佳木斯的官员都懵了。谁也不会想到一个失去孩子的母亲能量如此之大，宁愿与丈夫离婚，与弟弟断绝关系，也要给儿子讨说法。肯定的是那些个找受害人亲属谈话的官官肠子都要悔青了。。那些官员也真是的，体育馆坍塌了，不去找相关责任人，不去找事故的原因，却异想天开地约谈受害人的亲属，真是匪
1688432045# #陕西镇坪综合执法大队的牌子，突然变成“综合执法犬队”，官方紧急调查，原来是熊孩子所为。一个10岁的孩子，看见急救技术中心的牌子上，术字一点将脱落，就把这一个“，”贴在综合执法大队牌子的“大”上，于是就变成了“综合执法犬队”。这孩子的“移花接木”，真是够“熊”的。只对监护人批评，对孩
1694394927# #于建嵘教授故事。江西万载县，有个大讲台，邀请于建嵘教授给全县党政干部做讲演。。于建嵘教授批评该县大跃进式开发区建设，不按法律搞强拆，不许法院受理，不许上访。。县委书记很不满意，在请于教授吃饭时，几次拍桌子，气愤愤地说：“我们这些县委书记不拆迁，你们这些知识分子吃什么？”。于教授毫不示
1698893644# #又是周口，又出现哄抢药材事件，村干部说不是哄抢，是捡拾。有人把它说成是村民的“大集体”情结，都想“雁过拔一下毛”。。依我看，周口这地方太穷了！周口是在黄淮大平原，没有工业，农民种地收入不了几个钱，达不到29398的收入，也没有达到1.5万农民可支配收入的水平。更达不到张维为我国贫困户三菜
1690298202# #惊闻体育馆坍塌，女队家长谁不怕？。苦苦等待几小时，任何信息难得到。。无人问津等消息，常人能受此煎熬？。每一句撕心裂肺，每一字振聋发聩。
1701165321# #写你的人死了，演你的人也死了，但你还活着，且生生不息。。阿Q不会死，他能一代一代在产生。。无论司马南，胡锡进，卢克文，还是陈平，金灿荣，张维为，几个老农民说，他们根本不是什么圣人，不过是几个念过书的阿Q。。想想，他们的判断很对头！这几个人内心都是精神胜利者。
1702683501# #网民评出2023年中国当代四杰：文坛巨匠胡锡进，武学泰斗马保国，商界精英许家印，得道高僧释永信。。都是风云人物，实至名归。
1700310016# #亮亮丽君夫妇挨打了！这也许是好事。让人认清处境，明白位置，丢掉幻想，学会忍耐。或许能解决烂尾问题，可以说功德无量！
1690440501# #齐齐哈尔体育馆坍塌罹难11人后，又发生灭绝人性的事，不签字不让看孩子。。覆巢之下安有完卵？作为底层百姓一分子，真的感到很无助。有人说，孩子是大人的软肋。现在他们的软肋也没有了，他们已经彻底绝望了。不签字不让看孩子的制定者，你们能不能有点良心？假如你们失去自己的孩子，你们会怎么样？人
1689232241# #今日悟道网友经查询，北京对外经贸大学对留学生援助7000万，位居第一。网友无下限RG说，某大女学生30%染上艾滋病。学校实行陪读制度，有的留学生一年换2个女陪读。女陪读完不成任务，还要扣分，影响毕业。真的让人无语！我们的堂堂的高等学府，成了什么了？我们的高校女学生都成了什么？真的气愤至极！
1691846371# #各大医院院长书记被查，个个痛哭流涕为什么？这是老百姓把他们养的膘肥体壮。他们都是演员，以前是，以后还会是是。对不起人民对不起党，是他们的好台词。。即使是医科大学毕业的专业人士，一旦给个一官半职，他们就想着捞钱，把自己的利益最大化。即使偶尔看一次病，无非是摆摆譜，装装b。有内部人士透
1694935696# #看这个视频，也会泪流满面。怎么穷人还这么多呀！“朱门酒肉臭，路有冻死骨”这老太太太需要免费医疗了！
1696664876# #微博，只要涉及某地某官员的龌龊事，你发博或转发，立即就有人来封你的口，让你删帖。如果不删，他们还会联系你户籍所在的派出所让你删，甚至到你原籍的村。看来，玩微博的人，都是裸体的，你的电话号码，住址，年龄……他们什么都知道。细思极恐。
1690692546# #事前形式主义，事后形式主义，形式主义何时休？
1690419119# #俞飞教授又被Jy，这不奇怪。你见姓无定，苍蝇金，龟头李两赢张……被Jy了吗？关键是，俞飞教授质朴平易，硬骨头，心肠软，怀真情，讲真话，不阿语奉承，不人前一套，人后一套，无哗众取宠之意，有实事求是之心，为百姓发声，净说实话。他就是一个字“真”，真的性情中人。
1698563783# #当代四吹。现代刘基金灿荣，。脸皮深厚张维为，。眉山流氓叫陈平，。燕京写手项立刚。
1697339288# #北京市纪委副书记李振奇被查，对了，他还是预防腐败局局长。预防腐败局局长先腐败了，怎么去预防腐败呢？预防腐败局，名字很好听。不能只看名字，要预防腐败难呀！
