1697334300# #气温开始持续偏高，最高气温每天接近26度
1693530240# #今天股市大涨3个点以上，因为百分之80的行业靠房地产拉动.......他们只知道炒地皮价格，稳定地皮，房价还要涨......
1693178455# #大A组合拳特大利好，本周暴涨百分之10到12之间....今天最高涨6个点大盘
1695610500# #整个九月份没有一次像样的冷空气南下，明显的西北风降温一次没有，前几天早上气温低也是降雨导致的，冷空气实际很弱。这种情况历史上很少见。
1701694947# #gfs逆天降雪预测，连广州都下雪了，整个广东除了最南侧没下雪，福建除沿海没下雪其他地方都被雪覆盖....就这样了上海还算没雪笑cry笑cry
1699889854# #篱笆网主流群体都是80后为主，搜索关键字，裁员，失业，一大堆，证明了一件事情，不单单我一个人失业二哈二哈
1693401582# #中心城区夜里雨中9个自动站跌破20度，大站里面青浦，松江跌破20.....青浦金泽18.6度最低....目前看过程最低气温还是比不过2019年8月30日凌晨。
1701916669# #90年代后期的国企失业潮那时候几乎没有房贷，房子也都是几百元一平米的....所以大概没多久就过去了，加入wto后外企如雨后春笋一般涌出，就业率从2001年开始就突飞猛进了....到了2004年开始，找工作是非常容易的事情...当年就是中专文凭就业还是很从容的，大专直接进外企了，全日制本科更是横着走路，现
1701337419# #乌蒙山记得是贵州毕节贫困地区吧，公务员收入过万元允悲允悲允悲允悲太吓人了吧
1701257250# #大家怎么评论这一事件
1701837351# #30岁以下失业的，优质就业岗位来了....第六人民医院——总务科（薪资7500元）。。1、年龄30周岁以下；。2、全日制本科及以上学历，机电、安全管理或文学类相关专业；。3、消防工作经验或服役经历者优先。。4、遵纪守法、品行端正；身体健康，热爱工作。。5、福利待遇：五险一金、年度体检、加班费、绩效
1697465568# #为什么不颁布一条法律，中型以上狗如果没有牵引绳，没有狗主人在边上，一旦出现咬伤人的事件，狗主人马上坐牢，根据咬伤程度坐牢刑期最多十年.....小型狗如果咬人，狗主人也需要拘留或者高额赔偿....城市里面流浪狗一律进收养所收养，或者直接扑杀干净......
1697814233# #这波冷空气对于市区徐家汇影响实在太弱了，晚上十点气温还有17.7度....甚至高于1981年9月10日晚上的气温
1701357867# #11月30日上海市区入冬进程百分之95失败.....12月4日平均气温在11度以上.....
1690718723# #美国数值和日本，德国，我国香港，北京，澳门，对六号台风的路径强度预测天差地别.....估计是今年最难预测的台风
1699621430# #广州下周一气温将直接从夏天进入深秋，最低气温只有12到13度，上海11月1到5日部分区域连续五天平均超22度，达到夏天标准....11月6号稳定入秋...11月10号进入深秋，11月12日进入终极深秋，11月13日出现初冬气温，整个秋天感觉只有一周时间....不过根据全球大暖背景下，个人预计秋季可以断断续续持续到12
1699672574# #宝宝那么大第一次给她买玩具，我这个当爸爸到真的不好意思了
1687746718# #市场担心俄罗斯普京到领导力了，威信下降好多，叛国罪居然没事了，还是靠白俄罗斯总统帮忙才化解危机....所以开始继续跌跌跌
1693042559# #正大广场日本高达店，全是人排队购买，每个人怎么想的根本不可能被统一思想的，哪怕日本犯了更大的罪过，也无数人买日货
1692354550# #抢到大单了，这年头不容易，不容易一会摆渡船过去
1701648575# #没有对比就没有伤害系列3还是接近十年前的台北vs2021到2023年的上海市区....停车等红灯的差异，我们这里人行道早就停满了等红灯的电瓶车了，等车线在他们眼里屁也不是。
1704001018# #可以这样说美国欧洲日本韩国发达是有原因的，某些人根本不削去想他们真正发达的根本原因是什么，这就是最傻逼的地方
1701339098# #上海体制内退休金高到吓死人....他们这批人只要身体好的话活到93岁左右可以领取八九百万退休金....八九百万退休金允悲允悲
1702620685# #羡慕所有码农，你们的智商和计算机思维决定了你们赚大钱且不会失业....码农的需求是海量的，年薪20到100w任你们翱翔....钱多多，至于年收入低于20的码农就不算码农了...这类码农失业后也难以再就业，技术不够精通.....
1699226837# #知道昨天晚上降温不会很快，即使降温屋内气温也没那么快下去....所以依然睡凉席....室内气温还是高得很....11月6日还没撤下夏季凉席也是罕见
1701942032# #三个银行职位......浦西银行直签。柜台会员➕客户经理➕营业经理。——内部名额5人——。。本科学历，35周岁以下，形象气质佳，有一点金融经验即可，男女户籍不限.。。薪资年薪10-20万，六险二金，做五休二.
1703052595# #a股也跌不下去啊，除非跌到998那才是黄金坑
1702359832# #今年冬季如果gfs这报稳定，那么今年冬季最冷的一天很可能将出现在12月20日夜里到21日凌晨时间段，下周三晚上到下周四清晨...一般而言这种程度的冷空气南下后，一月份也就荒废了，基本不再出现更强低温过程，除了2020年12月到2021年2月这个冬季年1月是例外。这报稳定的话，市区徐家汇最低应该是零下5.5
1700970226# #20年来大陆仅仅百分之1.7左右的人去过台湾省....一千人里面仅仅17个人去过那个岛屿。你们有人去过吗
1695254597# #启东恒大威尼斯房价跌到2012年水平了，目前最低3500元一平可以买到，继续跌破最早开盘内部定价2800一平也不远了...，到2500去捡漏一套.有人60w买了150平启东沿海。
1695031381# #明天上海起码三十个自动气象站气温超过35度......
1690953197# #美国gfs高富帅也放弃了回撤浙江的路径，直接登录韩国去了....现在几乎所有主流机构全部转向登陆日韩，我国东部沿海地区基本没啥问题了....
1703744300# #明天赚到三千就抛光，快进快出三千到手
1702088981# #大龄超大龄难就业看过来....（杨浦）环卫直签编制——年薪710万。。工作内容：。1、按作业质量标准完成区域内市政道路的清扫保洁等工作；。2、以图文形式每日汇报作业情况；。3、及时向领导上报突发事件；。4、完成领导交办的其他事件。。任职要求：。1、男性55周岁以下；女性45周岁以下；。2、无犯罪记录，无
1693619506# #如果所有城市均衡发展，每个城市房价不能超过最低工资，那么人人生活乐无边
1701821011# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1700974536# #现杀保证干净卫生啊....洗得很干净
1702001884# #最新数值上海可能于12月17日下周日早上开始下雪.....具体是否积雪看地面气温情况了....下午一点会更新一报gfs数值，下午两点半欧洲数值也更新。到时候看看雪还有没有。
1701650464# #有一次去北京旅游，在火锅店门口拍一群不认识的人吃涮羊肉，里面人居然请我进去一起吃....这是很久以前了，第一次感受到北京人的热情.....不知道其他旅游城市会不会发生这样的事情二哈抱一抱笑cry笑cry笑cry
1689809983# #统计局真正应该统计的是25到34岁，35到45岁男性，46到56岁男性，35到48岁女性这几个年龄段的失业率，还应该统计去掉日常开销后各个年龄段，国企，央企，私企，自由职业，灵活就业的每年结余多少钱....多少人欠银行钱等等...还有工作时长，严格按照劳动法来约束企业，比如每人每周工作不能超过56小时，
1704206534# #繁花第15到16集看哭了，宝总对玲子太好了....随着东爱的背景音乐响起加上东京的雪夜....那镜头感真的无敌，繁花是越到后面越好看了
1699153174# #上海如今要到立冬节气才稳定入冬，个别年份11月底还能穿短袖。
1689931195# #市区高房价区域暴雨
1688961945# #长宁区气温舒服，只有24度了
1693200058# #已经跌到3114点了，夸张了
1697011629# #哪个地区带来文明和发展，带来财富，哪个地区的leader就是好样的，比如很多发达国家的发达地区，尤其是加利福尼亚啊，新加坡啊，爱尔兰，挪威，瑞士等等，德国北莱茵原地区，日本东京地区等等.....这些地方不论是领土中怎么来的，历史上有什么恩恩怨怨，但对于人类发展而言都是仰视的存在，高科技高智
1696666234# #静安区延中绿地16.4度，出现在白天，少见低温了
1703159595# #............
1693020620# #工业文明摇篮
1693537388# #果然我前面问链家，美凯龙，我爱我家还招不招房地产中介，他们说人太多了都不招人了....他们熬了几年熬出头了，准备捞米了
1700361480# #有人说大部分人都开不上奥迪a4L...能开得起的自己买的都是成功人士了....猜猜上海目前顶配价格对少钱了，要是外企还在上班就买喽
1703057835# #40岁以上有工作的都是神仙一般的存在....牛逼到一定境界
1695900106# #2005年以前的高速公路一般都不会堵车，18年以前私家车很少很少
1703680529# #失业两年了，靠着外卖赚钱没动过补偿金一分钱，而且多存款了近十万.....所以失业不可怕，电瓶车就是赚钱工具
1698719243# #打油诗一首，映射出无数人的前半生
1702614875# #低学历吃不起饭的稳定工作推荐....徐汇中石化加油站——缺3名加油员。。15号线——朱梅路站下。。男女42岁以下，初中以上，户籍不限，适应倒班工作，无犯罪记录。。工资4500-7000元（底薪➕加油奖励➕补贴）做二休二两班倒12小时。。工作:负责加油站加油工作
1702290305# #郑州雪后美景
1693379592# #今天下午两到三点上海气温为120年以来历史同期午后最低气温......
1699329629# #全国就业人群缴纳基本社保的比例有多少，有人知道吗
1703137915# #抄底的都大赚了，每次持续跌之后花抄个底，吃口肉就走
1691054277# #浦西现在电瓶车严打过后，已经可以看到文明的存在了，但是浦东地区尤其浦东内环还是一言难尽，和大农村一点没区别
1700268667# #非体制内家里没有多余住房的，年龄39到45岁的，最好不要失业，否则你们会体会到一两年无法再就业，甚至四五年都再也找不到工作，(特是指有尊严的工作和收入以及休假和完整的社保)，一旦发生大部分人都将深刻体会什么叫就业难....直接领取失业金是唯一选择。
1691745781# #太羡慕清朝时期的人了，那时候的地球根本没有什么热浪，尤其是我国没有任何温室气体啥的，夏天气温凉爽的不要不要的.....比如1907年七月份平均最高气温仅仅27.3度，半夜的平均最低气温22度，舒服的很...清朝冬天下大雪积雪很厚很常见，冬天可以滑雪玩
1692864300# #我自己是吃不起海鲜的，没吃过帝王蟹，波士顿龙虾别人请客时候有幸吃上过一两次.....连黄鱼面都觉得贵.....日本料理更是已经四年没吃过了.....所以海里面的东西全部不能吃影响不大.......只不过江河都是通大海的，连台风来了都是将太平洋的水汽化作雨水下到中国，小日本这操作，基本上对全人类健康带来
1698916656# #最潇洒的职业...对于女性来说不会安排危险的岗位，算是金饭碗了
1703496997# #黄浦区六合路面试红娘一职归来......基本工资加提成，老板娘说干得好月入过万笑cry笑cry
1703750406# #这种食堂午餐什么水平
1701585036# #近期德国南部城市慕尼黑遭遇了1968年以来同期最强降雪，积雪44厘米，超过徐家汇2008年积雪8.5倍
1692113376# #慢就业，缓就业，待就业，存量就业，存量待业，灵活就业，临时休业，临时待业，动态就业，自由职业，每周工作一小时算就业，农民有两亩地就算就业，稳重向好，稳重有进，稳重有升，稳中提质，不得不说，我们的文化确实博大精深......玩文字游戏属于世界顶流。
1701389365# #今天市区最低气温徐家汇3.8度，很有可能就是整个12月上中旬的最低气温了。郊区明天最低零下2度
1693230047# #量化交易就不允许存在.....计算机自动下单，那还怎么玩，别说美国也有量化交易，人家有的是法规约束，这里根本瞎来的
1692421978# #那么小的事情，几乎每家医院都会有不少这样的员工拉，而且这种窗口都是外包的，换一个人分分秒秒，如果不是外包的那么继续工作屁事没有
1692008406# #现在很多论坛言论管控比微博严格太多太多了，微博可以发的内容，论坛很多发不了，删帖速度快得不行
1700698581# #失业的第463天，去年第二家公司的离职补偿金...前几天kds网友又给了个面试机会，准备赴约前往一试。浏览三万多次才换来一个大佬帮忙....kds我注册时间2005年，10年拿过kds最欢迎网友奖杯，上台领奖的笑cry
1699107076# #长三角地区11.06---11.07，11.11--11.12，11.19-11.20，一共三波冷空气过程，强度都是很普通的类型没有一次是负距平超过4度的强冷空气....遥想1995年11月5日上海市区最低5度，1997年11.18日上海市区0度......1993年11月20日上海市区零下2度，都是著名的负距平超十度的寒潮过程.....今年11月三波流冷
1702002360# #40岁以下都要....工作地点杨浦区平凉路职位.....市场监督12315投诉热线客服....待遇:月薪7000-8000元...难就业人群抓紧报名了。。。哪类人优先录取呢:有电信/移动/联通/12345/12333/等相关企业客服经验的优先录用。。。主要从事各类市场监管职责内的投诉举报受理和咨询解答工作，始终坚持提高热线效能，
1692770749# #如果中国房价跌起来和股票一样，穷人就买得起房子了，可惜可惜，我们这代人等不到房价跌回成本价格，土地价格不算哦，我说的成本是建筑工地的水泥，石头加上工地的工资....折合成本不超过3500一平
1698714293# #全国所有电子厂都向着富士康学习.....建议网约车也监测每个人开车时间，累计超过八小时强行下线.....
1692362718# #我个人认为我国42到52岁人群的失业率是极其极其高的，对就业重新定义下.....其中灵活就业不算就业，户外苦力活不算就业，车夫网约车司机，外卖骑手等没公司交金到的不算就业，周末需要上班的而且晚上十点才下班的商场员工不算就业，收入过低的比如低于社平的不算就业......
1702695788# #蛮好去做房地产中介的，现在144平以内房子满五唯一不用交税了，最多可以节约一百万的税费，等于给有钱人白送一百万.....这样房子就卖起来很轻松愉快了，体制内有钱人一大堆，他们没有失业可能性，年年加薪，买这种130平左右的房子轻松又愉快，而且公积金还款就足够了，后悔没有去做房产中介，否则这几
1689153116# #上海17点还有16个自动站38度以上，热爆了，相反北京已经凉快起来了，目前北京23度
1691768681# #上海清朝末年的年平均气温一般14.6度左右，现在的年平均气温基本18.6度左右，足足升高了4摄氏度，目前地球年平均气温对比1850年代升高了1.4度......哪天升破3度就将惊涛骇浪，可惜活不到那么久了，起码2090年之后出现
1703513310# #我国除了西藏，川西，云南，南疆和青海之外，近十天平均气温出现深度偏低的情况....尤其华北和内蒙古中部，山东大部分地区，辽宁大部，黑龙江东部地区出现十天偏低8度的罕见持续低温过程....
1701749038# #9.9元的瑞幸咖啡干翻了周边无数咖啡店....
1690987258# #晚上美国gfs一报从登陆日本调整到登陆朝鲜和中国交界的鸭绿江附近了.....而且走的还是东海到黄海.....这台风要去去朝鲜的话，东北长白山一带要做好抗洪准备....
1702259728# #我有一招可以盘活经济，允许自由提取公积金，允许失业三年以上人员提取领取养老金个人部分的百分之50....经济马上起飞
1699961856# #不能理解，目前浦东9度的气温，一老人短袖走出商场，一女子短袖走来走去允悲允悲
1703636345# #篱笆大神年底谈经济....大家看看说的如何。。先说结论，非常的不好。。第一，实际利率不断下降，融资成本也在降，说明社会资本总体收益率不断下降，各种债券和金融同业市场都不会有起色，意味着理财收益会低于长期定存，可能接下来最合适的最适合普通人的投资就是找到个合适的3年定存。。第二，股市也是
1697782292# #笔者作为大学生，四十出头年龄，一年零五个月找不到一次面试机会，而且要求并不高，到手过万，上五休二，正常缴纳社保，加班可以但必须有加班费...足足17个月投递了几千份简历，0面试，0面试，0面试，而且还是闵行著名的超高就业率的大学毕业的，这足够说明经济出问题了，股票能涨才叫奇怪了。
1696424461# #我观察下来今年国庆消费不行，电影院没啥人，免费景区人山人海，收费景区只要门票超过两百则人不多，迪斯尼例外...外滩人流量比三年之前的国庆要少很多很多，可能没有灯光秀的关系吧....
1698750840# #为什么我不出生在澳大利亚，新西兰，加拿大，挪威，芬兰，瑞典，要是出生在这些国家，不怕找不到月薪四五万的工作了.......
1691986024# #大学食堂目前对外开放了，两荤两素12元，吃饱吃好.....穷人去办卡就行了
1692185283# #大家数数电瓶车上几个人......比野生动物园还要野生了
1698822673# #上海近期万圣节年轻人出来cosplay，人山人海其实也是年轻人的火力四射，并不算崇洋媚外，25年前每年的9.30日晚上，整个外滩南京路都是上海人挤满在那里玩充气的榔头，整个人员的数量都是差不多的.....年前人就该多出去玩一玩，不能一直憋在家里面啊......有些人不要再说上海怎么怎么样了，青年的创造力
1702264101# #日本音乐作曲领先中国一百年.......国内歌手翻唱，玉置浩二，的歌曲（不完全统计）：。《酒红色的心》——谭咏麟《酒红色的心》。《告别忧伤》——蔡国权《谁最爱你》。《恋爱的预感》——陈百强《冷风中》。《Friend》——陈百强《细想》。《微笑》——鲍翠薇《不必说不该》。《Lovesong》——孟庭苇《情
1698024813# #股票奇迹日就这几天肯定出现，涨一百点以上那种，拭目以待，现在抄底不亏，但要快进快出，涨一百多点就走
1698223822# #继续那个hr的表演，我当做小白和他套一套话
1701348489# #著名气象论坛明天起永久关闭......一个时代结束了，成立于2005年的气象论坛就这样走完了18个年头.....在台风论坛之前我的青春岁月都留在北京的风云气象论坛里面了，风云气象论坛是2002年开始的，结束于2011年......两个气象论坛跨越了20年，记录了气象爱好者的无数帖子.....从此再无大型气象论坛了....
1700224934# #求大佬介绍一份做五休二，正常双休日，月收入不低于上海社平的工作.....第一个月工资全部答谢....
1695700313# #有没有人猜的准今天中午喀纳斯湖景区气温多少度
1699279630# #气候越暖东北降雪就会越多越猛...这次降雪仅仅是开胃菜，未来两个月里面我国北方地区还会出现多次强降雪的，就因为太暖了，冷暖空气容易激发水汽的
1692177419# #市盈率4.7倍，中报利润几十个小目标....还这样跌，股票市场看起来比诈骗市场还牛逼.....不带这样玩的，欠信用卡的大几万看来是还不出来了.....
1703125780# #印度的房价没有那么贵，除去孟买核心地区，其他地方基本白菜价格，人人买得起房子，穷人也有贫民区居住，消费更低....整个印度负债率很低，有钱后消费起来就比较爽了，这里买了高价房子的人生看不到任哥希望，被天价房贷直接压垮了。
1697686517# #不是制造业外资门槛全部取消了吗，全面放开外资进入制造业，为什么股市跌成这样，进来几百家类似特斯拉或者外国的富士康级别企业不是能提高就业率吗
1688995784# #这款洗衣液洗内衣事半功倍哦，用下来很不错，蓝月亮柔润樱花内衣专用洗衣液500g。【推荐理由】日本进口,柔润樱花内衣专用洗衣液500g,天然樱花精华,温和抑菌,洁净清新,持久留香,洁净+润肤一步到位,轻松去污,不伤衣物不伤手。【现价】39.9元。
1687942151# #市场经济的基本特性就是马太效应，穷的越穷，富的越富。国内百分之1的有钱人财产远超百分之99的人口，所以任何不触及收入分配方式的刺激措施，最多短期有效，最终将带来更大的贫富差距，为未来更大的危机埋下伏笔。马克思说，任何危机的根源无外乎群众的贫穷和他们有限的消费。只有财富分配惊天地泣鬼
1702714168# #广州都29度下降到10度，其中一小时降温5.7度，创出大城市南方地区小时降温之最
1699179470# #傍晚体感气温依旧极其闷热，17点天气预报提到的冷空气消息如下
1698223633# #我投了几万份简历，莫名其妙有个hr加我聊了，职位项目咨询经理....我一眼就觉得猫腻啊，我何德何能可以担当经理，问他哪里得到的我的联系方式，说经过层层筛选选中了我二哈二哈我可不是刚入社会啊，发微博揭露这个招聘骗局给初入职场的看看如何骗人去面试的
1687305907# #上海电视台上一次播放日剧还要追溯到18年以前吧......目前这几天在播放日剧重启人生
1699281154# #这建筑开发时间并不长，也就是2014年之后建设的，有没按100年一遇积雪重现期的雪压建设呢，佳木斯郊区这种地方应该按照70厘米积雪压强设计才靠谱哦，2013年十一月底积雪50厘米了，需要加20厘米余量才行
1687941870# #为什么经济要靠打强心针才行？？？古代中国也没什么经济政策，经济决策部门，宏观调控之类，基本都是无为而治，只要不打仗，基本百姓都可以过得下去。可是现在，80年代搞活放开，热闹了一把，90年代立刻就有下岗的问题，全靠2001加入世贸一针兴奋剂，结果到2008年又不来赛了。之后又要2009年4万亿。201
1702858890# #笔者认为的雪，只存在于地面气温零下2度以下...925百帕零下3度以下...简单说就落地不化的那种雪，不是落在有热源的地方就不会融化的那些雪花，这种❄️在上海历史上非常少见....2013年1月初有过短暂零下2.3度下雪的过程，整个08年上海市区下雪整体气温从未低于零下1度，1977年1月29晚上日一波大雪过程
1701822669# #说说么现在40岁以上失业率很高的，在劳务中介目前还没招到人去面试....只能说目前有口饭吃就不会去降低就业标准，再过一阵等失业的人群失业金领取完毕，赔偿金花完的时候，再看看还挑不挑了....真没钱吃上饭了就会着急了，不是所有人都又老可以啃的...失业金最多也就拿两年时间。所以不急慢慢招聘。
1704075104# #电视剧繁花的两个主演，胡歌和马伊琍都是上海人，看上海话版本蛮有趣的呢，有种久违了的感觉
1698161398# #花呗欠款3200多，信用卡欠款2900多，累计欠款6150左右....压力⛰⛰⛰⛰⛰⛰⛰大
1692236369# #特变亏损两万多了.....
1688476490# #罕见夜晚高温，夜里开摩托车出去买点东西差点中暑
1700266982# #老年化问题从来不是制约发展的绊脚石，日本老龄化就很厉害，一样是超级发达的国家....哪怕日本所谓失去的三十年，人均生活质量，人均居民素质，人均最低收入都是令人羡慕的紧的，个人认为人口超级多是导致问题根源之一，所以非体制内35岁就失业，一毕业就失业成为近期难以改变的事实，如果人口少个零
1696985865# #马路上几千万跑外卖的没有一个人会编程
1693023706# #古代文明鼻祖
1700267925# #有时候我在想如果我国目前人口和唐朝时期一样就三四千万....国土面积还是那么大甚至更大....那么是不是人人住四五百平乃至一千多平的大别墅呢....是不是人人年薪百万以上呢
1697587334# #东北吉林省长春市，今天凌晨两点气温高达14.6度.....大幅度打破历史同期后半夜气温.....
1702857811# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1703055274# #找不到工作，心累
1699280720# #建筑结构荷载规范里面提到，对于积雪荷载敏感的结构，比如体育场屋顶...应该采用100年重现期的雪压，要好好查一查倒塌的体育场建设于哪一年，为什么2013年11.26日佳木斯积雪50cm没塌，这次积雪32厘米的时候反而倒塌了....按照佳木斯今天降雪时候的气温，是超低温降雪了，不存在大湿雪，但是傍晚17点到1
1690502550# #六号台风卡努，八月二日下周三或登陆浙江北部沿海地区....目前机构给的最高强度为强台风级别。上海面临考验
1698139207# #有人让我试试投物业经理，说这个岗位首选会讲上海话的....我投了几百份，等消息
1692280568# #04年我型我秀真正海选出了一些唱歌有天赋的人.....后面的中国好声音，搞什么🛫，垃圾到不行的节目，真的希望我型我秀这种有眼光的主持人出来继续搞下弄一些海选节目，没有任何黑幕，给每一个有实力的选手实现梦想的机会，薛之谦当年这个表演出错无数，但两位老师慧眼识珠，直接晋级.....
1698639994# #在生日这天想着不能亏待了自己，午餐预算从12提高到36元，可以吃一顿难得的美食了...也希望近期就职面试早日有好消息来...让中年人早点找到一份安稳的工作，可以稳定到60岁的那种可爱
1700753211# #河南一对小夫妻买的房子烂尾了，拍了无数视频，现在已经成为很火的网红了，抖音带货直播做的飞起来，问题是其他买到烂尾楼的为什么不去拍抖音呢，他们都没手机吗，还是没那个脑子，或者没那个胆子呢.....
1692354395# #受过全日制高等教育的四零五零人员只能跑外卖谋生，是社会出了什么问题吗......找工作根本没人要4050去面试......为了生存电瓶车开起来单子接起来......
1702040055# #最新一报冷爆了要，感觉下单取暖设备了衰
1702698503# #喂95吃不消
1692893672# #20世纪一共发生过3次6级火山爆发，分别是1902年10月危地马拉的圣玛利亚火山爆发，1912年6月美国阿拉斯加的诺瓦鲁普塔火山爆发和1991年6月菲律宾的皮纳图博火山爆发.......富士山爆发绝对达不到6级，五级都不可能。
1697108097# #官方数据以色列2021年最低工资标准是每月11300人民币.....他们的物价只不过比上海略微贵一点...我国最发达地区上海最低工资标准是2590元.......以色列看起来要强太多太多
1687095846# #崇明局部24小时雨量达到了170mm以上....这个是市区的三倍多了....
1693060310# #1950年的时候世界人口25亿，1980年为44亿，1990年52亿，2000年61亿，2020年78亿，2022年11月中旬达到80亿......1950年的时候全地球大部分地区还没有变暖.......70多年增加了55亿人口加剧了全球变暖....加上人类的享受主义，人人开车，开空调，钢筋水泥房地产开发地球上少了无数的耕地和森林....其实人
1700007711# #中美会晤，重归于好，股市千股涨停吗，感觉氛围很好，有点上头。
1693180986# #中国股民甚至开过股票账号的人是看不得股市暴涨的，哪怕知道实体经济一天世界，失业率居高不下，看到人家在里面一天轻轻松松收货千股涨停，自己甚至会再第二天挂涨停板去抢货，买涨不买跌是大部分人的共性.....所以这一波暴涨会持续两三天，第一天1500到2000家股票涨停板，第二天300到500家涨停，第三
1697621065# #所有遛中大型狗没有狗绳的，一律报警，这种狗说说都是不咬人的，一旦咬到就是重伤
1703171913# #目前上海气温下降遇到瓶颈了，850层面是升温的过程，风力没有明显减弱到可辐射降温的水平....所以市区气温徐家汇难以低于1999年12月22日的零下5度...但市区公园站可以低到零下5.5度左右.....排除热岛站的话，这波低温为2020年以来同期最低，2020年12.30日徐家汇零下5.9度，宝山零下6.8度。
1692750503# #8月28日上海地区将出现同时期比较罕见的过程性大雨降温过程，降温幅度之大在八月下旬几乎没有出现过....大家看看8月29日是不是穿长袖吧允悲允悲
1702089152# #这个月招不到10个人以上就提前回家了....劳务中介也不好干啊，主要是昌硕停招了笑cry笑cry
1698845569# #香港为什么人均居住面积比上海要小很多，但是生娃率反而要远超上海呢，原因无他，就是因为香港的最低工资是上海五倍多，最低工资足够养娃了
1689219948# #一会看到停电死几百头猪的，又看到停电死两万斤鸡....这些养殖场的老板也太心大了，那么密集养殖不安装备用发电机...不知道当地夏天历史最高气温情况下停电就是全军覆没吗
1703546567# #别说28亿，就是8亿分给环卫工除雪工人，除非像贵州那种冻雨结冰不好弄，辽宁那种干雪落地不融化的，八亿分给5000个个环卫，16w一年，都可以把雪清理到渣都不剩，要多干净有多干净，除非本溪工资就给两千一个月给环卫，那么册老去清雪了，弄弄样子得了
1691724699# #股票市场被医疗反贪吓到了吗，很多人说反贪将设计所有领域，想多了啊.....小打小闹而已，就医院这块北京上海的三甲都没消息
1694477201# #一早看到求职app消息火爆，心中暗喜，结果点进去一看咳咳.......就算来一百条消息也没有面试机会啊
1703729845# #反弹来得那么快
1694324277# #老婆发工资了打网约车去古镇玩.....我懒得开车了，来了一部比亚迪汉，空间真不错
1690932797# #早上一报除高富帅gfs还在苦苦坚持绕一个大圈后再折返登陆浙江外，其他几乎所有机构已经认定近海转向后直接登陆日本并且从冲绳一直扫到北海道......然后消失在北方四岛
1700562659# #韩国三比零赢中国....没悬念
1699313450# #哈尔滨特大暴雪的降雪量差一点点打破历史极值，暴雪量达到32.8mm.....历史上1957年12月17到20日连续降雪36.9mm....这次11月6到7日，仅仅一天半不到时间，定格在了32.8mm.....注意是降雪量，不是积雪厚度。积雪哈尔滨市区没破纪录。
1693448414# #一夜之间日本核污水所有热搜全部下架，保就业还是排在第一位啊，上海2018年最多时候近一万家日资企业，现在只剩下6500家左右了.....再跌下去怕是不行，所以一夜之间日本核污水事件不能继续发酵了，撤架，就那么简单粗暴
1691126958# #上海冬季月平均气温最低的一年是1878年，月均温零下0.5度，一眼看去31天里面几乎每时每刻都在零下....阶段严寒最猛的是1893年....爆冷了五六天...根据1878年一月的平均气温，差不多等于如今安徽最北部一月份的气候了。
1702288378# #差不多听了五天了，这款耳机综合水平太高了，可以说一千以内最能打的了.....喜欢听歌的如果还是在用两三百的蓝牙小耳机，可以试试升级一步到位，直接可以轻轻松松超越1500级别的苹果airpodpro的音质.....至于信不信，只有听过才知道了
1694395286# #李佳琦已经赚到大部分人几千辈子都赚不到的钱了，每天花一百万花到老死都花不完的地步，实在羡慕不来，就算以后不再直播也可以活得异常潇洒涉密，住几个亿的豪宅，全球十几套别墅，大平层几十个
1701767632# #招聘....徐汇第六人民医院——手术室文员。。45岁以下，中专高中以上，电脑操作熟练，无犯罪记录.。。工资税前4500/5000，做五休二轮休，五险一金。。负责手术室医疗耗材入库对接，扫码入库，记录工作。。。招聘.....（闸北/徐汇）国企银行C1驾驶员——做五休二。。男性，本市户籍，5年以上驾龄，52
1693440622# #长三角和珠三角面临两个台风的考验.....珠三角基本上逃不掉了，长三角有很大变数。
1688452576# #算下来再干十年退休了，五十出头开始环游世界
1690772994# #上海市区一百年内再也不可能下出1991年12月底那种低温大雪了，雪中零下3到零下4度....一百年内都不再有了....全球暖化太厉害了....不过那种低温大雪对老百姓的出行是非常危险的....作为雪迷也不希望下在上海，下到大别山区则没多少人口影响....
1697939455# #有人说笔者是野鸡大学毕业的，这大学现在大部分人都高攀不起好吗，分数线节节高，而且临港小区要改名为上海航天航空大学了.......这个学校曾经就业率一直都是百分之98以上....不知道2022到2023年就业率情况如何，比者毕业的时候班级就业率百分之96，两个人家里有矿选择不就业
1702628730# #我认为小康社会的最低工资应该在八千元税后以上，且缴纳五险一金，做五休二...一天八小时工作制度，有标准的年假......这样才可以堪堪达到小康.....否则温饱都难，前提还是有房子的人.....没有房子的人，哪怕月入一万三四多在上海租房住，都达不到小康...房租就五六千了，除非合租，那活的很惨
1702855579# #上海还是升温了，下雪无望.....这样强的冷空气下来遇到暖湿气流还得升温，下雪在上海就是一场梦
1703818577# #目前数值1月5日一直大暖到1月12日.....
1694158656# #大学生超过40岁再无就业机会，是谁的错
1703983451# #这几天空气质量一天世界冷空气一退去就这样了
