1695327288# #《雍吉，藏族女孩在舞蹈中快乐无止尽》播放量：5.4万。点赞量：1.1万
1697497354# #《天坑底部发现80亩原始森林，竟还有人为城墙，下到坑底眼前一亮》播放量：153万。点赞量：34万
1703320867# #《农村小姑娘精彩演绎《自编歌曲》唱哭全场》播放量：2238。作者：国花音乐馆汇华为，韩红
1700160708# #《土豆种植技术和管理》土豆，俗称马铃薯，是我们餐桌上家常见的蔬菜之一，而在我国，它的栽培面积可谓相当广泛。让我们一起深入了解一下土豆种植的技术和管理要点吧。
1699733779# #《通讯：十年被中欧班列改变的“东亚之窗”满洲里》穿着臃肿棉衣的两人，是满洲里出入境边防检查站的执勤人员。2013年，当首列“苏满欧”中欧班列亮相满洲里口岸时，张亮亮就是查验班列的执勤人员。中国应该考虑向外蒙古哈克斯坦等中东国家俄罗斯实行免税政策
1699626189# #《中缅边境拉响警报，事情不能再拖，沉默10天后，中方专机直飞缅甸》中缅边境拉响警报，事情不能再拖，沉默10天后，中方专机直飞缅甸
1692297221# #《逆天进化！巴拿马岛猴子被发现竟会用简易工具，科学界炸开了锅！》播放量：1239。作者：知识小马铃薯
1692462097# #《2006年76岁刘思齐来大榆洞，敬三杯酒悼念毛岸英》2006年76岁刘思齐来大榆洞，敬三杯酒悼念毛岸英
1699911292# #OK
1697792780# #书接上回，纸人借粮（第三集）
1695938198# #《有人说，老挝太憋屈了，没有出海口，越南太贪了，应该给它一个出海口。》有人说，老挝太憋屈了，没有出海口，越南太贪了，应该给它一个出海口。
1700977321# #《就恋这把土真好听》播放量：1251。作者：伊涵姐音乐分享
1700421764# #《为什么海南人不看好海南自贸港的发展前景？》播放量：1.2万。点赞量：315
1693035331# #《1962年古巴导弹危机结束，苏联却将矛头对准中国，主席霸气回击3》1962年古巴导弹危机结束，苏联却将矛头对准中国，主席霸气回击3
1699820679# #《越南女校课间做操，眼前这一幕，让多少单身汉眼红了》播放量：9338。作者：事辉敲沟灬
1695077864# #《当下移民热潮为何再起？其中有一个深层原因最令人担忧！》播放量：1.3万。点赞量：1336
1694823406# #普京对华再让步，亮后背大合作，中方热情互动，俄方大为感动！
1693257802# #《吕紫剑和张至顺,两位百岁老人的养生法》播放量：357。作者：有志4l者事竟成
1701648961# #《曾老临终前的预言，2023年快要实现了！》曾老临终前的预言，2023年快要实现了！
1696109849# #《美国粮仓机器人作业技术，魔性的机器人轻松作业》播放量：4011。作者：谈谈侃三农应该用电动的，不然用汽油才油的会污染粮食
1690945356# #《罗刹海市事件或再升级，律师：那英若起诉，刀郎或将面临巨额赔款》罗刹海市事件或再升级，律师：那英若起诉，刀郎或将面临巨额赔款扯蛋吧！刀郎一没有提任何人的名字，律师纯粹为了刷存在感
1701336270# #鲁西小贝：缅甸一旦彻底走向解体，泰国可能成为最大赢家。缅甸境内与泰国接壤的几乎所有的民间武装均受泰国武器支援，这些武装控制区将来有可能以不同...
1692040672# #《2023会发生什么？印度神童阿南德最新预言，全球将面临诸多灾难！》2023会发生什么？印度神童阿南德最新预言，全球将面临诸多灾难！
1690754825# #《广西一在编人员档案丢失无法办退休》广西一在编人员档案丢失无法办退休
1698475085# #《开国上将的女婿被流氓活活打死，邓公震怒，下了一道“铁令”》播放量：92万。点赞量：5.3万
1690645213# #《最近被这歌洗脑了，越听越上瘾》播放量：4.1万。点赞量：1308
1703289128# #《用甲骨文还原三千年前的战争》播放量：1.1万。点赞量：340
1693048085# #《用阳光运作的发动机》播放量：4万。点赞量：153中国应该积极考虑这种发电机机
1691319678# #《寻觅3000年不见的黄帝外经露出真颜，让人激动不已！》寻觅3000年不见的黄帝外经露出真颜，让人激动不已！
1695465064# #《印度神童发表新预言：日本富士山将会爆发！同时会引发九级大地震》印度神童发表新预言：日本富士山将会爆发！同时会引发九级大地震
1695159012# #《这种相亲你见过吗》播放量：68万。点赞量：6.8万
1694816972# #《克雷姆纳预言：东方出圣人，第三次世界大战躲避的地方》播放量：1万。点赞量：657
1688415336# #《粟裕向手下一女兵表白，为何情书被撕得粉碎？陈毅：你不懂恋爱》粟裕向手下一女兵表白，为何情书被撕得粉碎？陈毅：你不懂恋爱
1701354028# #《各国预言家一致预言，东方出圣人，还准确到了日期？》播放量：1352。作者：万物知识局c
1691935458# #《山东潍坊得风筝从来没有让我失望过！》播放量：30万。点赞量：4447
1695328874# #《北宋短命皇帝赵煦，年幼老成手段凌厉，却因纵欲过度在25岁时死亡》北宋短命皇帝赵煦，年幼老成手段凌厉，却因纵欲过度在25岁时死亡
1690687491# #《越南“挑老婆”，看中哪个阿妹，用手指一下就行！》播放量：6.9万。点赞量：143
1704071281# #《为什么那么多女人都讨厌自己的伴侣？》播放量：13万。点赞量：2.4万因此建议给俄罗斯外蒙古哈克斯坦越南菲律宾老挝朝鲜等女孩可以随便嫁到中国
1695417112# #《美国的变态武器，一发就能夺走五千条性命，却被我国小伙轻松克制》美国的变态武器，一发就能夺走五千条性命，却被我国小伙轻松克制
1695419200# #《中日最后一场大战，上将指挥中将冲锋，少将以下连参战资格都没有》中日最后一场大战，上将指挥中将冲锋，少将以下连参战资格都没有
1695553203# #《南京玄奘寺地藏殿里竟然供奉着南京大屠杀四个主犯的牌位！》南京玄奘寺地藏殿里竟然供奉着南京大屠杀四个主犯的牌位！
1693593195# #《国内彩礼三十万？国外娶美女不要一分钱，美女还倒贴》努力的夏夏
1693033158# #《伤感音乐《人生还遇多少苦》完整版，听哭了有故事的人》播放量：1.7万。点赞量：207
1690657227# #《使用中国天津港给美韩运稀土，蒙古国会是我们稀土牌的漏洞吗》播放量：7.2万。点赞量：1391
1696103751# #郭继承老师爱国正能量
1699824833# #《满清著名大臣死后遗产，有人大奸似忠？》满清著名大臣死后遗产，有人大奸似忠？
1703324735# #《这首歌词是小顺子的师叔花小磊写的，小磊多年前就和李老师一起带过小顺子，那时候小顺子才七八岁……》播放量：9834。点赞量：1979
1700229443# #《世界上最大的地下核工程！6万人消失18年，把整座大山都挖空了？》播放量：3.2万。点赞量：1万
1699931060# #《监控拍下紧张的一幕，这情况保安都敢不开门！》监控拍下紧张的一幕，这情况保安都敢不开门！判刑
1702900052# #建议给淄博的马书记提官
1704090878# #《日本农民如何收红薯？从割藤、收膜、起获，全过程采用微型机！》播放量：3.1万。点赞量：270只要先进我们都要好好的学习
1688892315# #无偿建桥不应该判刑
1700283222# #《美国不行，求中国顶上？7国开打，多名美军被炸死，白宫求助中方》美国不行，求中国顶上？7国开打，多名美军被炸死，白宫求助中方
1701492252# #美国天才科学家竟然是北大毕业的正能量科学家刘杨-今日头条
1691204047# #《现场版安东尼大叔翻唱《罗刹海市》这是翻唱的天花板，太好听了！》播放量：1.1万。点赞量：545
1691032194# #《曾仕强预言：先疫后灾，救人为重！》播放量：1.8万。点赞量：506
1701660337# #《俄罗斯远东传出巨响，中俄陆上大动脉被断，真是乌克兰派人炸的？》俄罗斯远东传出巨响，中俄陆上大动脉被断，真是乌克兰派人炸的？
1703443557# #《刘秀作为开国皇帝为什么没有故事？》刘秀作为开国皇帝为什么没有故事？
1695390188# #《志愿军中“地雷王”：扛麻袋去挖美军地雷，搬个家再炸死美军》志愿军中“地雷王”：扛麻袋去挖美军地雷，搬个家再炸死美军
1690587690# #《这真的不是有人穿越了吗？敦煌千年壁画惊现：背带裤超短裙露脐装》这真的不是有人穿越了吗？敦煌千年壁画惊现：背带裤超短裙露脐装
1693034891# #《40天摧毁一个国家，美国用海湾战争告诉全世界，什么叫降维打击2》40天摧毁一个国家，美国用海湾战争告诉全世界，什么叫降维打击2
1691625584# #《楼兰古国消失之谜》播放量：1.7万。点赞量：66黄沙淹没的城市
1694821838# #弄虚作假！全国多地高标准农田建设实为骗局：井无电情况引发争议
1690478230# #《张至顺预感自己大限会在104岁，于是他把自己珍藏的良方公开了！》张至顺预感自己大限会在104岁，于是他把自己珍藏的良方公开了！
1691417127# #《大团队公司管理可以学习水浒传，小公司团队管理可以选择西游记！》播放量：9.6万。点赞量：708
1690618748# #369
1696757952# #《姜子牙预言2024年圣人出山，究竟是福是祸有几分可信度？》播放量：4946。点赞量：147
1690067913# #《760亿外贸订单取消！我国逐客令正式下达，日媒：来得太突然》播放量：5.6万。点赞量：920
1700190274# #《外表憨厚的曹德旺到底有多狠？》播放量：3.2万。点赞量：1159
1696128237# #《秦汉时期对付匈奴时，为何要在边关大量种榆树？原来竟有如此奇效》秦汉时期对付匈奴时，为何要在边关大量种榆树？原来竟有如此奇效秦汉战略
1691928867# #《他倾尽钱财打造500多把特制大刀，冒着战火送给西北军抗战》播放量：19万。点赞量：3541老子英雄儿好汉！正气凛然
1704083179# #蛋仔派对跨年来蛋仔派对分1亿/d10/23“紫气东来是祥瑞，福运鸿运照耀你”一曲《紫气东来》...；ǚǚAYNSqZB0FI8ǚǚ达幵ĎŎŮÝÎñ搜索
1690757111# #《1994年宋美龄不顾阻拦执意返台，看到老蒋留下的四个字，失态大哭》1994年宋美龄不顾阻拦执意返台，看到老蒋留下的四个字，失态大哭
1692452265# #《越南女多男少，阿妹抓紧一切机会，向中国留学生告白》播放量：4060。作者：美年达看趣闻
1701313394# #飞机悬停降落时发生故障，飞行员瞬间弹射逃生
1691194199# #【飞机发动机大揭秘！看看这些强大、环保的未来神器！】。西瓜视频)。
1701649095# #《“可能还有更大海啸！”菲律宾发生强震后，日本多地接连观测到海啸，东京都八丈岛海啸最高》“可能还有更大海啸！”菲律宾发生强震后，日本多地接连观测到海啸，东京都八丈岛海啸最高
1692297350# #《王永庆：台湾和大陆原本就是一个中国一个国家，台湾人就是中国人》王永庆：台湾和大陆原本就是一个中国一个国家，台湾人就是中国人
1691208955# #《“村超”决赛夜烟花秀现场感人瞬间民警为不挡群众视线集体蹲下执勤》“村超”决赛夜烟花秀现场感人瞬间民警为不挡群众视线集体蹲下执勤
1690624230# #《17吨苹果过绿通被拦，只因车上有一张篷布，收费员就说是混装》17吨苹果过绿通被拦，只因车上有一张篷布，收费员就说是混装严肃处理，不然必然引起国内物价狂涨
1699830829# #《2025年还有“大事”发生？黄檗禅师千年前的预言，究竟准不准？》播放量：2万。点赞量：441
1690758646# #《萨达姆孙子强势回归，手握十万大军要为爷爷报仇1》萨达姆孙子强势回归，手握十万大军要为爷爷报仇1
1700257613# #《孩子带着妹妹在医院输液，一边抱一边哄》播放量：2136。作者：小石子笑点
1700420832# #《英国预言家帕克，预言2024年会发生的10件大事，可信吗？》播放量：3796。点赞量：93
1691485002# #《爆出！俄军遭大规模投毒，惊天死亡悲剧曝光国际局势陷入紧张》爆出！俄军遭大规模投毒，惊天死亡悲剧曝光国际局势陷入紧张
1690587943# #《刀郎新曲罗刹海市那煤球儿怎么洗都是脏东西》播放量：29万。点赞量：2967
1701142893# #《马来西亚和越南，是如何反制美国的》播放量：2.6万。点赞量：528
1691535558# #《河北前面被水冲走,三名特警奋力相救》播放量：512。作者：王姐努力在变好立功提干
1691524070# #《中国远征军牺牲的十四位高级将领，马革裹尸，青山埋骨》中国远征军牺牲的十四位高级将领，马革裹尸，青山埋骨
1696469885# #《赊刀人曾经预言：穷人住高楼，富人去种田，是这样吗？》播放量：85。作者：罗小明说历史机器化大农场加畜牧业基地林果
1692451650# #《越南阿妹为嫁到中国，盛装打扮站在口岸旁，等待中国小伙提亲》越南阿妹为嫁到中国，盛装打扮站在口岸旁，等待中国小伙提亲没有媳妇的看看
1691208568# #《丹寨：缪杰线下支教公益活动走进苗寨》丹寨：缪杰线下支教公益活动走进苗寨
1695168204# #《搞笑配音：老莫购买比亚迪电动车后续，难道种花家要上当？》播放量：1.4万。点赞量：164比亚迪在印度建厂可怕，小心前面的造手机的教训
1694029145# #《我国空间站视角看巨大台风眼！大自然的威力究竟有多大？》我国空间站视角看巨大台风眼！大自然的威力究竟有多大？
1702160267# #《人贩子大白天就出来做坏事，真是太猖狂了》人贩子大白天就出来做坏事，真是太猖狂了
1691535811# #《无败战神--霍去病，封狼居胥，封冠军侯，打通河西走廊》播放量：1157。作者：奇闻秘探
1695420421# #《1910年代清军与英军合影，与想象有点不一样，清军身材也太霸气了》1910年代清军与英军合影，与想象有点不一样，清军身材也太霸气了
1696103990# #我国6G卫星震撼升空！太赫兹轨道通信试验成功，老美封锁沦为笑话
1695374462# #《7.“不取消石油减产就轰炸沙特！”美国22艘军舰包围波斯湾！》7.“不取消石油减产就轰炸沙特！”美国22艘军舰包围波斯湾！
1688945011# #《美国大兵回忆朝鲜战场，志愿军拼刺刀不是不怕死，而是想同归于尽》美国大兵回忆朝鲜战场，志愿军拼刺刀不是不怕死，而是想同归于尽
1692070418# #《山东大叔造出空气动力车，有空气就能高速行驶，或颠覆世界新能源》播放量：3.5万。点赞量：1179华为，格力等公司应该积极考虑成立股份有限公司，把它推入市场，同时应该考虑加点水（增加动力的同时还可以清洁路面）
1696109587# #《朝鲜战争美军将军结局，被撤职居首，值得一看的排名》朝鲜战争美军将军结局，被撤职居首，值得一看的排名
1700429841# #《油橄榄:点亮友谊之灯》播放量：10万。作者：昆明植物园
1702782132# #《历史的罪人：史上危害最大的六个罪人》历史的罪人：史上危害最大的六个罪人
1696488802# #《亩产高达1006公斤，华伟305为啥产量这么高》播放量：1342。作者：袁老师农技服务
1693034961# #《40天摧毁一个国家，美国用海湾战争告诉全世界，什么叫降维打击1》40天摧毁一个国家，美国用海湾战争告诉全世界，什么叫降维打击1
1689804759# #《郭台铭哭了，被印度坑惨！196亿不要了，快跑吧！更多企业都跑了》播放量：108万。点赞量：2.1万
1691216571# #《日本丢人丢大了！抢走我国千亿建桥项目，结果桥刚建成就轰然倒塌》日本丢人丢大了！抢走我国千亿建桥项目，结果桥刚建成就轰然倒塌
1703595290# #《上课氛围和学习兴趣这不就来了嘛！》播放量：146万。点赞量：16万历史课
1697848875# #《中日大战将要爆发！日本预测：血腥战场恐成下一个乌克兰》中日大战将要爆发！日本预测：血腥战场恐成下一个乌克兰
1698083168# #《东方圣人是一个什么样的人？》东方圣人是一个什么样的人？
1692042701# #《湖南小伙研发新电池，不耗油携带轻便》播放量：7678。点赞量：255
1696195834# #《黄河水清，圣人出，紫微星究竟代表着什么，原来古人早有预言》播放量：3393。点赞量：255黄河水清难吗？！一点都不难，那是因为水土流失加上沿岸大量的沙漠造成的，在黄河岸上多建闸门，黄河凌汛时水位上涨，有计划的向黄河岸边沙漠供水，沙漠有水就会固沙结冰，在种植大量的树
1695252053# #《陈抟老祖听说过吗？》播放量：4963。点赞量：1244
1691360802# #《没有工作的人，将来会怎么样？》播放量：5.5万。点赞量：955机器化代替人工，部分工人下岗，1国家可以考虑让一部分人开发新疆塔里木沙漠变绿洲良田（沿着塔里木河俩岸，用黄土高原黄土，泡桐树防风沙（或者桉树树根泡桐嫁接或薄膜保温）2汉江入渭河，在渭河两岸黄土高原建立中国
1688235047# #《秦始皇当年修的路，2000年来为何寸草不生》秦始皇当年修的路，2000年来为何寸草不生
1695471796# #《国民党到底有多腐败，看蒋介石存款就知道，该着国军一败涂地1》国民党到底有多腐败，看蒋介石存款就知道，该着国军一败涂地1
1691622632# #《唐朝名将薛仁贵故居，众人打伞来探寻，你来过吗？》唐朝名将薛仁贵故居，众人打伞来探寻，你来过吗？
1687464231# #《大家对这种说法，有何看法！科普涨知识美俄对抗地理知识》播放量：94万。点赞量：1.8万黄石火山
1700421638# #《蒙古帝国第三次西征埃及》蒙古帝国第三次西征埃及
1691437146# #《古代圣人大多诞生于这两个省》播放量：9431。点赞量：231
1691220160# #《我国代表孤立无援，在国际会议上独自和日本争辩，别国无一声援》我国代表孤立无援，在国际会议上独自和日本争辩，别国无一声援
1701722593# #看看济宁公积金中心如何为人民服务的！？
1692190289# #《重磅！江村大墓被证实是“汉文帝霸陵”，一代帝王为何如此寒酸？》重磅！江村大墓被证实是“汉文帝霸陵”，一代帝王为何如此寒酸？
1690755167# #《美日扬眉吐气，狼来了？中国：我们不怕！》美日扬眉吐气，狼来了？中国：我们不怕！
1690056967# #《孙立人将军杀鬼子无数，却被蒋介石软禁33年》孙立人将军杀鬼子无数，却被蒋介石软禁33年
1702930277# #《人类出自非洲？诺贝尔奖研究揭示真相，数盲们再吃我一记大板砖！》播放量：1.5万。点赞量：523
1691302502# #《任正非的母校让他捐款100万，谁知任总一句话，就让校长羞愧难当3》播放量：1.3万。点赞量：101
1695515870# #《男人被迫退婚后，将怒火发泄在原配妻子身上，甚至儿子也被牵连》播放量：5275。点赞量：65
1690646617# #《中国四十年发生了哪些变化？》中国四十年发生了哪些变化？
1703705528# #《中国小伙带2亿越南盾相亲，越南四姐妹都想嫁，小伙难以选择》播放量：7859。作者：bao妈一枚
1694027569# #《古人搞笑墓志铭，短短几个字，讲述了杨大哥悲催搞笑的一生！》古人搞笑墓志铭，短短几个字，讲述了杨大哥悲催搞笑的一生！
1690775531# #《邓公晚年谈三陈，痛惜陈赓心疼陈再道，对陈锡联的评价一针见血》邓公晚年谈三陈，痛惜陈赓心疼陈再道，对陈锡联的评价一针见血
1696294795# #《美国超大型露天养牛场，现代化养牛设施！》播放量：2.6万。点赞量：556
1691708958# #《刀郎的新歌唱火了聊斋志异，没想到济公也来助阵了！》播放量：1.7万。点赞量：239
1691288509# #《唯美诗词：身世浑如水上鸥，又携竹杖过南州》播放量：1.6万。点赞量：132乞丐诗
1690844084# #《金属的秘密：科学家观察到金属自愈现象》播放量：3.6万。点赞量：217
1697847811# #《民进党为台积电扩建强行征收土地，台民众怒轰：你嘴角一滴油够我活十几年海峡新干线台海时刻台积电》民进党为台积电扩建强行征收土地，台民众怒轰：你嘴角一滴油够我活十几年海峡新干线台海时刻台积电
1688222909# #《美国地主带孩子开着收割机》美国地主带孩子开着收割机小心中国的农管查你证件
1691288350# #《虚云当年朝拜五台山时，您知道是谁救了他吗？舍利子是怎么来的？》虚云当年朝拜五台山时，您知道是谁救了他吗？舍利子是怎么来的？
1691217073# #《俄国冲突竟然让俄罗斯越打越赚》播放量：6.5万。点赞量：1707
1687444223# #《力挺中国，琉球群岛不属于日本，是时候和日本算账了，谁有意见？》力挺中国，琉球群岛不属于日本，是时候和日本算账了，谁有意见？
1695436409# #《贵州母狼将狼崽托付给老汉，一年后母狼上门报恩》播放量：18万。点赞量：1.5万
1693777325# #《美国费城的街头，当地华人都不敢出门，还以为丧尸爆发了呢！》美国费城的街头，当地华人都不敢出门，还以为丧尸爆发了呢！美国
1695524958# #《为何南方人和北方人做生意会有这么大的差别？》播放量：59万。点赞量：3.4万南方人北方人
1691432942# #《越南女孩每天在村口，希望能有中国小伙上门提亲》播放量：4.8万。点赞量：204
1688653668# #《日本将收购中国所有中药药厂》日本将收购中国所有中药药厂
1702157638# #《美军，是真的打不过志愿军吗？》美军，是真的打不过志愿军吗？
1693773380# #《调查数据显示！从1707年开始休眠的富士山，目前喷火口已从44个增加到252个！》播放量：1.9万。点赞量：162
1688252326# #《古代宫女太监工资比你还高》古代宫女太监工资比你还高
1693738177# #《四川镇水神兽被挖后，发生了一件十分巧合的怪事，背后真相是什么》播放量：4663。点赞量：92
1693034173# #《沙特购买东风导弹，打仗不归自己管，老美：沙特疯了3》沙特购买东风导弹，打仗不归自己管，老美：沙特疯了3
1696765421# #《非洲美女挑战刀郎，让人震惊的实力》播放量：2.6万。点赞量：785
1692190656# #《中国战斗力最强的六个省，敌人恨得咬牙切齿，它们在中国就会安全》中国战斗力最强的六个省，敌人恨得咬牙切齿，它们在中国就会安全
1691032109# #《国外真的不是那么好混的》国外真的不是那么好混的
1696110795# #《兰州一高中两老师深夜围殴学生，宿管老师怒斥暴行提离职，官方通报》播放量：702万。点赞量：22万
1690848561# #《华人女孩服役美国海军，用中文驱逐中国海军，竟扬言非常自豪3》华人女孩服役美国海军，用中文驱逐中国海军，竟扬言非常自豪3
1702034141# #连云港深夜突发地震！山东震感冲上热搜，网友：震感明显，床在晃。
1699704090# #《神秘的预言，不仅预言了第三次世界大战，甚至还预言了躲避的地方》播放量：8.6万。点赞量：3403
1696200234# #《戏曲弘扬戏曲文化青年戏曲传播者豫剧+小助手》戏曲弘扬戏曲文化青年戏曲传播者豫剧+小助手
1697848048# #《最毒的树见血封喉，却把自己毒死，最团结的树，数亿种子同时落地》播放量：8.2万。点赞量：2297
1691962564# #《美国人：1打17国？中国越打越变态，抗美援朝中国3年完成20年飞跃》美国人：1打17国？中国越打越变态，抗美援朝中国3年完成20年飞跃
1694822030# #当着中方的面，普京三点讲话最令美担忧，俄终于弄懂中方的意思
1698083039# #《日本扩军备战，三战之火点燃？国家灾难悄然临近！》日本扩军备战，三战之火点燃？国家灾难悄然临近！
1692442858# #《拜登不支持乌克兰现在加入北约:那意味着我们与俄罗斯开战》播放量：8354。作者：瓯海发布
1695516356# #《每年流失数千亿美元，印度拿啥养活14亿人？给我国上了一课》播放量：3.9万。点赞量：932
1695438554# #《中国沙漠成为绿洲，结果却来了祸害？是什么阻止沙漠变绿洲的？》播放量：1.5万。点赞量：790
1690293597# #《一妇人当街痛哭，声称儿子在军中枉死，蔡英文只顾辅选视而不见台湾台湾新闻脸》一妇人当街痛哭，声称儿子在军中枉死，蔡英文只顾辅选视而不见台湾台湾新闻脸
1691937196# #400年神之围楼！世界文化遗产“福建土楼”！在这还出了一个笑话
1688251763# #《800年前，南宋“三寸金莲”引出的一段爱情故事！》800年前，南宋“三寸金莲”引出的一段爱情故事！
1688580006# #《为何中国使用220V电压，美国却使用110V电压，究竟哪个更好？》播放量：298。作者：礼SIR科普
1703452905# #《江西农民发明无人插秧机，一人完成百亩秧田，专家赞叹不已》播放量：2.8万。点赞量：2215
1695065370# #《千年前莲师对末法时代的预言，我们是不是有所警醒？》千年前莲师对末法时代的预言，我们是不是有所警醒？
1690300090# #《街头笔墨伴余生！》播放量：4.7万。点赞量：1386
1689633327# #《65名孤儿消灭200日伪军，牺牲时平均年龄16岁，金陵孤儿义勇军》65名孤儿消灭200日伪军，牺牲时平均年龄16岁，金陵孤儿义勇军
1690813085# #《保定暴雨羊圈被淹村支书带领村民在齐腰水中抢救出四五百只羊》播放量：222万。点赞量：8450好干部
1701313790# #朝鲜向38线集结兵力，韩国未战先乱，情报机构领导层集体辞职跑路
1691017357# #《推背图，圣人出东方》播放量：3973。点赞量：204
1698452046# #《14岁姑娘竟是一等功臣，伟人多次邀请见面，为何被回绝？》14岁姑娘竟是一等功臣，伟人多次邀请见面，为何被回绝？
1694348858# #俄罗斯人在中国的笔记我的身材在俄罗斯算很差了，大家觉得我的身材好吗俄罗斯美女外国人在中国外国人...（分享自
1696534095# #伟人曾做出七大预言，如今已经实现六个，最后一个可能20年后实现
1694819525# #《54年前，挪威90岁的基督教徒预言末日前兆，会爆发第三次世界大战》播放量：2664。作者：炬阳文化g
1690284401# #《疯狂的矿工不止会炸矿、炸坦克也很溜哟》疯狂的矿工不止会炸矿、炸坦克也很溜哟
1700341288# #椰枣黄金椰枣伊拉克椰枣快手把椰枣引进中国，看看如此高产品种
1694298122# #《拜登要越南把美当成最好朋友，越南却提前泼出冷水》拜登要越南把美当成最好朋友，越南却提前泼出冷水
1688418725# #《1800万教师队伍，砍掉一半，900万教师何去何从，失业？下海？7》播放量：11万。点赞量：1097
1692899962# #《李淳风预言出圣人的出身姓氏，真的可信吗？》李淳风预言出圣人的出身姓氏，真的可信吗？
1692296730# #《1944年日军9岁的孩子兵，后面还背着一个娃！》1944年日军9岁的孩子兵，后面还背着一个娃！
1690684891# #《1979年深圳一把手无人敢当，邓公派出一人，让深圳五年变天3》1979年深圳一把手无人敢当，邓公派出一人，让深圳五年变天3
1690239409# #《淞护会战有多惨烈，长途奔袭驰接的6万桂军，三天之内伤亡殆尽》淞护会战有多惨烈，长途奔袭驰接的6万桂军，三天之内伤亡殆尽
1689179007# #《中国历史上最后一位探花！》中国历史上最后一位探花！
1700449429# #《历代帝王靠什么开拓疆土？》历代帝王靠什么开拓疆土？
1692452469# #《马云斥巨资打造的蚂蚁森林，3年后成啥景象？卫星图让人湿了眼眶》这是一个你不想错过的视频，快来看看吧！厉害😄
1689178992# #《道家预言圣人即将降临拯救万民于水火之中？》道家预言圣人即将降临拯救万民于水火之中？
1690224880# #《长期吃降压药，不能做四件事，现在知道还不晚》播放量：3142。点赞量：56
1694117637# #《广场舞在国外爆火，外国小姐姐都在跳，男人看了肯定走不动路》播放量：7084。作者：小娅娅得啵嘚
1692453186# #《中国意外发现80亿吨石油，开采权却被韩国拿走，凭什么？》播放量：4620。作者：不齐舞团1213
1699865531# #《小伙爆改无人机遭警方警告，当事人：网传视频是2年前拍的，已退回厂家》播放量：17万。点赞量：2591
1695373390# #《谁把你家太阳能热水器开出来了》播放量：20万。点赞量：2566
1691208701# #《丹寨：锦鸡舞惊艳亮相“村超”展示非遗无穷魅力》播放量：340。作者：天眼新闻
1692214837# #《杜特尔特呼吁，年轻人拿起武器，为菲律宾的未来，做最坏的打算》杜特尔特呼吁，年轻人拿起武器，为菲律宾的未来，做最坏的打算
1693774153# #《核污水放射物超标》播放量：12万。点赞量：1146
1692214740# #《新时代我在中国｜在曲阜感悟千载儒风圣韵》马克走进孔庙、孔子博物馆、尼山圣境，深入了解了孔子的生平和儒家文化的历史传承。他不禁感慨，儒家文化使中华文明如此独特，并深深影响了世界。
1699434867# #大批越南阿妹在中越边境戏水希望能被中国小伙看上
1695517791# #《搞笑配音老尹偷偷修改军演名字，种花家“牛刀宰鸡”效果显著！》播放量：3万。点赞量：695
1700582618# #《中国和印度推行本币结算，结果让俄罗斯陷入困境，双方闹翻》在全球范围内，外汇交易的结算方式，直接影响着买卖双方的收益和风险。为了减少对美元的依赖和制约，各国纷纷尝试用本国货币进行交易。
1696471724# #《邓公的孙子是美国国籍？他生于美国留学于美国，邓家人亲自解释》邓公的孙子是美国国籍？他生于美国留学于美国，邓家人亲自解释
1692499396# #《原来我们被骗了，国债总规模突破24万亿，美军还养得起11艘航母？》播放量：13万。点赞量：408
1691436455# #《千万不要得罪他，得罪他等于得罪老天爷》播放量：2.4万。点赞量：721
1697789912# #《圣人出世的传道方式》圣人出世的传道方式
1697791461# #围攻黄百韬伤亡惨重，粟裕严禁上报伤亡数字！关键时刻，主席来电
1690634200# #《美国至今都不敢相信，中国竟三万人耗时5年开凿一条绝壁长廊》播放量：42万。点赞量：2.7万
1692295990# #《1960年，朱德回乡被堂弟嘲笑：穿着不如县干部，自家人不识自家门》1960年，朱德回乡被堂弟嘲笑：穿着不如县干部，自家人不识自家门
1690756222# #《摆脱所谓的成熟，或许才是真正的成熟！》播放量：6515。点赞量：86
1690244964# #《澳洲千亩油菜农场收获技术，感受现代农业的生产！》播放量：2821。作者：谈谈侃三农
1700471490# #《莱芜战役，粟裕差点被欧震算计，粟裕“示形”之计骗过了所有人！》莱芜战役，粟裕差点被欧震算计，粟裕“示形”之计骗过了所有人！
1688505632# #《14亿人口还会落得无人进厂的地步，曹德旺的担心还是成真了！》播放量：2131。作者：潞潞爱观察
1690223079# #《周总理很奇怪，为何尼克松要点名看39军？毛主席：他还是不服气》周总理很奇怪，为何尼克松要点名看39军？毛主席：他还是不服气
1695420471# #《美军真正对手浮出水面，竟然想跟美国平起平坐》美军真正对手浮出水面，竟然想跟美国平起平坐
1697397219# #黑社会
1692449751# #《我国富豪给美捐近百亿，自称不给祖国科学研究捐一分，如今想回国》播放量：457。作者：天天好心呢
1699831188# #《张飞没杀掉的三国名将：与马超大战二百多回合，马岱因刘备活命？》张飞没杀掉的三国名将：与马超大战二百多回合，马岱因刘备活命？
1695948949# #《日本蔬菜农场覆膜种植、自动化架棚技术，这技术你不服不行！》播放量：2563。作者：谈谈侃三农
1690624680# #《海狮为了救援同伴，不惜危险乞求人类帮帮它，万物皆有灵性》播放量：28万。点赞量：3065
