1700739205# #杨幂…天…
1703492324# #宋威龙平井柏然平谭松韵平许凯平景甜平张新成。这是在乎番位？还是不在乎番位啊？全平番闭环
1693376331# #网友提问：田曦薇也是古偶妆造没怎么变过的，四千年2.0？
1701418362# #11.30酷云，全端、点播，播放量🈶。11.30云合占有率🈶
1694238970# #邓为也有一番剧了，实绩+1
1699093971# #孤注一掷爆的时候，张艺兴在开演唱会。金鸡奖大家风风光光走红毯了，他还在开演唱会…
1696690640# #白色橄榄树，在四川造了一座“东国城”
1699279242# #看半天，还是没搞懂，为啥李现粉丝不同意二搭
1704277282# #流量生，早期照片盘点
1699016956# #迪丽热巴，第二套，出图啦
1695974724# #林允
1702964466# #刘诗诗骑马戏删没了。集数不能多，可以加时长，时长不能加，把感情戏删一删，这个骑马戏完全可以留着啊允悲不懂…
1699183260# #周翊然、卢昱晓，杂志封面🈶
1689258093# #给洋尊楚优，上点分，🔒了
1697603272# #王鹤棣，时装男士杂志预热🈶，如何？
1698121156# #我不会截访客记录出来，所以你们随便来串门你好，如果我进了你们的主页，那一定是因为你很有趣求饶
1689157302# #迪丽热巴刘雨昕，线下人气对比
1689150177# #羊毛老师还抵制过杨洋演烟火？
1702807579# #迪丽热巴，星光大赏红毯截图来了🈶，这次做的公主造型，评价一下怎么样？？
1702001726# #23年95生一番网剧云合热播期集均总榜。。王鹤棣｜曾舜晞｜李宏毅｜侯明昊｜白宇帆｜许凯｜周翊然｜王子奇｜蒋龙｜张凌赫｜宋威龙
1701352877# #男明星怼脸照，死亡打光下，谁赢了
1703079505# #8⃣️粉和3⃣️字粉，正在友好探讨🀄
1704210281# #说angelababy要在浪姐复出，编什么不好，编🥭，芒果台不敢，芒果台敏感肌
1702630720# #陈飞宇家的神图站姐又出手了，飞🐟给站姐磕一个干饭人
1701519578# #造型像吗？
1691998451# #8.13云合占有率。长相思，粗估5600。莲花楼，粗估4900。潜行者，粗估2300。七时吉祥，粗估2100
1694595019# #豆瓣抽风，没有炸组
1702296742# #澳门伦敦人，公布星光大赏门票结果。迪丽热巴粉38张，杨紫粉2张
1696945076# #于适P了肩膀，被发现了允悲
1694096510# #父辈的荣耀，1.4386%新高了，昨天跌的，今天又涨回来了
1703566984# #肖战《藏海传》上班路透🈶
1691680025# #😳
1694839417# #田嘉瑞吸的粉呢？怎么一万点赞都没压住允悲
1689762093# #“有木有觉得流量为王的时代过去了…”
1703845486# #12.28云合估算播放量。。三个版本有高有低，《繁花》次日3倍多，还是不错的，看明天能不能登顶
1702799978# #王鹤棣、田曦薇dogedoge，愣着干嘛？嗑啊干饭人干饭人
1690804649# #感谢孟女老师好，国产剧组新的管理员不能踢人和永拒了，只能删违反规则的帖或者发言，权力大大受限制收到国产剧组
1689344507# #王楚然粉丝，在冲工作室了
1696598752# #有网友，质疑张小斐在《好事成双》中的演技
1699969277# #抓马的事情发生了哆啦A梦害怕……。。白鹿在《宁安如梦》的直播中，把游乐园说成了《乐游原》……啊啊啊啊啊啊……哆啦A梦害怕
1695538642# #王源生图？
1696319143# #侯明昊、陈都灵、田嘉瑞、程潇、林子烨。。侯明昊气场还是很强的大梦归离
1690612747# #7.28云合占有率。长相思，粗估7100w。莲花楼，粗估5100w。受害人，粗估4900w
1698478425# #盘点85花好像很容易忽略倪妮
1692101453# #8.14云合估算播放量。。长相思，9258（+2958，超点暴涨）。莲花楼，4981（-538，会员复更）。七时吉祥，2251（-90）。潜行者，2082（-510）。白日梦我，1069（-74）。安乐传，929（-158）。不完美受害人，844（-159）。曾少年，619（-161）。玉
1693890402# #这是忘了切号了吗？允悲
1689243759# #真嘟假嘟🥺，杨洋也嗑骨科吗？
1704039048# #新年发财💰💰💰💰💰
1699113587# #星辰大海站位图来了
1694752988# #田嘉瑞昨天签到7w，张凌赫2.8w，丞磊2w
1691834295# #“苏晓彤为啥还是这么糊？”。。因为小仵作和宋大志都是豆瓣限定…
1697985003# #95🌸侧颜比美贴，谁赢了？
1692430025# #来自视组，梦华录和长相思谁更爆？
1688988623# #吃🍉，7.18，莲花楼要来啦
1698940186# #其实还有个商业可能性，前面没提到……“混血宝宝”有很多都是dy机构推的暗广！这个收入不可小觑
1688884914# #说的谁？
1690201159# #长相思看到第3集了，有点落地古装剧的感觉…有妖魔鬼怪神之类的，剧情好看的，节奏也快几个主要人物都出来了，演员普了点，但不至于创飞观众，还是🉑看的
1698142583# #向涵之、艾米，同框路透🈶，。向涵之没输哎，抗住了
1699859913# #华晨宇演唱会收官站官宣华晨宇终于来广州开演唱会了家人们谁懂啊，看的vlog五种状态真的每一种都好喜欢，还get了广州演唱会日期了，12月2日，又是狂欢的一天，从北京鸟巢到上海虹口足球场到南京奥体，这次是广州大学城体育中心体育场，火星演唱会第一次来广州就是收官站，是谁狠狠期待
1689065238# #仙偶侠剧，是不是到瓶颈了？
1700111345# #电视开机即央1，这个事大家怎么看？
1699013963# #时代少年团，来了，我分不清，大家随便看看吧你好
1692964661# #说的是谁？
1700137424# #小🍠网友画的张凌赫，胆小的谨慎点开
1699686730# #国色芳华官宣了，杨紫一番，李现二番
1695566711# #“夜色尚浅”升级钻2了，内娱第1个钻2💎的cp超话。丞磊、卢昱晓本人的超话还没有升钻，确实挺🐮的
1698417739# #深圳欢乐谷
1695722605# #花西子发疯“公关辞职”也是一种公关，“营造发疯”也是一种公关…
1690640733# #云合热播期均集（统计至7.28）。。长风渡5558，偷偷藏不住4133，。玉骨遥2890，消失的十一层2884，。长相思2299，曾少年2156，。我的人间烟火2115，闪耀的她2051，。不完美受害人1875，安乐传1462，
1701694573# #五月天，有尴尬症的千万别看允悲
1699873698# #张凌赫要拍现偶？他又不是没拍过…
1702788356# #辣目洋子把🐮🐮穿身上啦doge
1692077354# #这不会在说，宁安如梦吧？
1693209352# #檀健次商务销量🈶，如何？
1703572577# #丁禹兮，是不是花粉最满意的二番男主来着？
1688726330# #吃🍉，安乐传，明晚6点空降4集
1690954871# #成毅，扫楼路透🈶，如何？
1698043388# #田耕纪，原定24号的扫楼取消了
1698384269# #肖战，这个上星实绩如何？思考
1701944667# #白鹿，gq红毯来评价一下怎么样？
1696777947# #内娱统治者允悲女版。·跳楼区统治者．白鹿。·社畜区统治者·周雨彤。·高管区统治者·袁泉。·女儿区统治者．张子枫。·明星区统治者．迪丽热巴
1692618823# #唐嫣、刘学义《念无双》撑伞路透🈶，如何？
1703590164# #这种故事也要拍成电影😦？。。故事简介：男主从幼儿园一直喜欢女主，但是在女主眼里他是路人甲，女主高考完想找男二的路上被男主和兄弟灌醉了，男主假意要送女主回家实际上那她带到酒店里qj了（而且第二天女主被卷入了男二砂仁事件，男主怂了不敢给女主作不在场证明，导致女主坐牢五年）。。。事后十
1700636432# #刘宇宁粉在🍊报豆瓣花渣组，牛的🐮
1693735760# #蒋依依的处境应该类似袁冰妍思考
1701675386# #云合估算播放量（统计至12.2）。。宁安如梦、一念关山，竞争还挺大的，争前五doge
1690270039# #7.24云合占有率。。曾少年13.9％，莲花楼10％，长相思5.4%。粗估莲花楼3800w+，长相思2000w+爆开
1690639714# #莲花楼热度值破9500了，不容易
1690735079# #我一般只看签到涨粉或者抖🎵涨粉，不记录微博涨粉，主要太氵了允悲
1688632961# #杨洋、王楚然，甜吗？真情侣哦doge
1693651613# #云之羽真的空降了…毫无征兆…这是用来填档的吧哆啦A梦害怕
1691044772# #檀健次，是会给自己做海报的
1698823818# #这波操作是不是说明，明星们冷处理公关是没用并不简单
1694349834# #杨紫，今日直播截图🈶，如何？
1697019230# #周冬雨，亮相平遥国际电影展开幕式，气质真的变了哎。
1695555297# #Angelababy，今日直播截图🈶，如何？
1701349181# #lv大秀男明星动图🈶，谁赢面很大？。。朱一龙、王鹤棣、龚俊、白敬亭、黄明昊、此沙
1700919936# #娜扎
1695621454# #时尚芭莎，罗云熙、许凯、檀健次、龚俊国风大片，你钟意谁？
1703324807# #90-00女演员一番电影单片票房破亿累计榜。。前二：周冬雨（4部）、张子枫（3部）。。章若楠《照明商店》单片票房破2亿，累计票房破5亿，正式超过陈都灵，位列第三
1695964855# #志愿军
1691235131# #罗云熙粉和檀健次粉交流起来了…这两有交集吗？这也能打……吃瓜都找不到起因…
1692772817# #8.22云合占有率
1702552836# #腾讯说《长相思第一季》热度登顶，成为年度"剧王"。
1695912965# #虞书欣，秀场直拍视频来啦🈶，如何？
1692876035# #云合热播期均集（统计至8.23）👇
1692021763# #y1s1，邓为是真吸粉了，绝对够得上小流量的水平…接下来就看怎么固粉了
1688646249# #檀健次、张婧仪《被我弄丢两次的王斤斤》贴片
1689238099# #曝Z姓女演员霸凌员工。热搜我看了，又是粉圈撕逼，赵露思被刷屏了二哈
1703301236# #《入青云》导演麦贯之微博关注了陈星旭和卢昱晓doge
1694504803# #关晓彤，唐嫣没看出来cos的谁。华晨宇cos相柳，沙溢cos东方青苍
1696128531# #虞书欣和长江七号合照。这个怎么看也是只支持啊，怎么看出是在内涵呢🤨
1693656861# #张婧仪，广场已沦陷
1694938869# #9.16云合占有率
1703312513# #小胜发表重要讲话🎤
1704370234# #《你也有今天》开播即萝卜，因为啥？
1689940450# #来看评论👀，王楚然这条微博评论区沦陷了…。
1699358157# #张凌赫允悲
1702026079# #12.7云合估算播放量。。（明月版）。一念关山，6421w（+1110）。很想很想你，1648w（+292）。。（林克版）。一念关山，6226w（+894）。很想很想你，1599w（+231）。。
1689756784# #群众的眼光是雪亮的…
1696859984# #这几个花是不是大概率都起不来了啊？。。杨超越、林允、蒋依依、吴宣仪、程潇
1697272458# #赵晴，算不算精修诈骗？
1694004827# #lisa要去疯马秀表演？哆啦A梦害怕
1703944748# #12.29云合估算播放量
1692108428# #无人在意的角落，大宋少年志2，已经更完啦！
1692106925# #成毅，今晚直播截图🈶
1700838578# #吃吃吃🍉
1700813522# #11.23酷云，全端、点播播放量🈶
1704448468# #张凌赫和陈都灵，两家能空个五五开了…
1703911110# #理涛，丞磊是不是想靠周也飞升无望了？
1695268351# #长风破浪，官宣阵容。王一博一番，李沁二番
1690643856# #来一点子玄学…注意看时间线doge
1703234473# #12.21酷云，全端、点播，播放量🈶。12.21云合占有率🈶
1703998581# #粉圈好像不认同《莲花楼》是爆剧哎？？
1698752525# #大爷：有点眼熟，怎么回事？让我瞅瞅😯。张艺兴：…………😥………
1702215342# #荒郊野岭拉野💩，还是可以理解的允悲
1695468165# #承欢记，这番位前后不都一样吗？为啥要改允悲
1699623211# #那时候，谁不喜欢金莎演的吕素呢？后面不知道怎么发展的，就没水花了…同理，白冰也是
1700906963# #成毅，曾舜晞，肖顺尧，王鹤润《莲花楼》剧组尖叫之夜红毯
1692962494# #8.24云合估算播放量👇
1689415588# #7.14云合播放量。。长风渡，7461（+1618大结局回升得不错。玉骨遥，5226（-151，横盘微跌）。消失的十一层，3929（+94，连更横盘了）。我的人间烟火，3388（-232，单集）。曾少年，3136（+17，连更有横盘倾向。安乐传，1874（+297，很低，观望）。偷偷藏不住，1802（
1690792270# #杨洋，今日活动视频路透🈶doge
1695110531# #杨洋都安静点。正常人逻辑：当事人都发话了，就收敛点吧…。。粉丝逻辑：碍于面子、被逼无奈想息事宁人，哥哥只有我们了，闹得更凶了…
1693757306# #云之羽，还差点破9000。。你猜怎么着，半夜加更，偷偷更新了第5集允悲二哈
1694096416# #骄阳伴我，跌破一了…救不了…再次抬走允悲
1697689376# #为有暗香来，播出7天了，什么水平？
1688795597# #ymls别看，是拉踩
1694410793# #田嘉瑞，是不是可以进待爆了？doge。。小四公司的，素人，第一部戏云之羽7番，目前他的加成最大，签到3.4w已超张凌赫
1697354803# #迪丽热巴黄景瑜二搭。谁这么敢编，编个这么大的
1694436413# #不要小瞧"哥哥只有我们了"这一套并不简单
1701073693# #爱奇艺最近三年会员收入
1691049947# #白鹿，新杂志🈶，如何？
1704008320# #成毅，跨年造型🈶
1699332297# #昨天预告的耽改咖隐婚生子是“季肖冰”微笑。你们认识吗？
1698244982# #吴楚一婚纱这个徐劲看起来确实不太聪明允悲
1698222338# #刘宇宁《蝉女》杀青路透🈶。
1703411565# #陶勇陶勇翻车了？？哆啦A梦害怕？？
1692695555# #“在播剧让我感觉路人缘非常重要”
1695387551# #确实，现在流量花🌸找二番男主好难，还是有过爆剧的流量花，只能找一些糊b男主。。但凡有点流量的生🥜，都不愿意给人做二番了，哪怕他是给花做二番火起来的。
1694675558# #真的假的？刘宇f控赢了邓为f…？？
1701767125# #刘诗诗，你穿的什么？穿的什么？什么？
1703559535# #任嘉伦、邢菲、祝绪丹、朱正廷主演的《烈焰之武庚纪》过审了
1703571160# #王传君是不是爱情公寓里发展最好的？
1702971114# #🍉集合。1⃣《烽火流金》暂时播不了。2⃣《风月不相关》接触刘宇宁。3⃣黄景瑜《孤战》明年年初。4⃣白鹿目前在接触电影，另有《衡门有狐》，《如梦令》，《警察荣誉2》接触4⃣杨紫、任嘉伦：春晚第一次彩排
1689256757# #随500，记🐑账上
1696487543# #华伦天奴官方ins认领了杨紫。
1690718134# #艳压🐒
1691333147# #七时吉祥，定档啦，来压扑爆
1691072434# #胡一天真不适合古装
1695813426# #性缩力…
1695268069# #狐妖小红娘竹业篇，官宣阵容…。海报比路透好看笑cry…主要霸业变弘业哆啦A梦害怕…咋滴？霸都不让说？
1691251426# #长相思开播，7.24~8.5号超话签到（不定时记录）。。张晚意，涨幅+1.88w。邓为，涨幅+12.69w。檀健次，涨幅+8.52w。王弘毅，涨幅+1585（8.1出场开始算）
1690008227# #迪丽热巴、龚俊、刘宇宁。你好星期六上班路透、粉丝应援🈶
1691132545# #“邓为于适此沙鼻尖痣”的热搜，邓为控评赢了…doge，不过于适粉看不上邓为，叫人家是演烂古偶的流量演员，让于适远离饭圈呢…。邓为于适此沙都有鼻尖痣
1697251949# #陈牧驰的烂瓜，我都不想发，人不红，事还多打脸
1701513896# #12.1酷云，全端、点播，播放量🈶。12.1云合占有率🈶
1696161744# #吃瓜🍉，软封杀，大家觉得可信度如何？
1693921472# #骄阳伴我，今天1.0621%，再次跌了，这下真要抬走了…
1694679881# #报，猴毛和勋丝又交流起来了。。起因👉有网友看了魏大勋和李庚希接吻花絮，说像河童与美女，底下有人说是ymls或者河堤粉开的贴思考
1702042515# #一念关山，目前热度9937，今天破不了万了
1698467326# #动作做早了怎么办笑cry。虞书欣满脸写着：完了完了，看不到我看不到我哆啦A梦害怕单身狗
1694700742# #有网友对邓为“两三天之内杂志两千万，商务五千万”表示质疑？🤨
1698726493# #笑了，郭敬明不爱张凌赫的原因，是张凌赫根本不哄着他二哈
1702797903# #好好好，是会玩梗的。庆怜踩行李箱走红毯
1701419781# #酷云跟云合又有冲突了。酷云，一念关山第一。云合，宁安如梦第一
1694252691# #鞠婧祎，又出新风格新造型了
1695104847# #HK顶流…
1691234673# #颜心记，陈瑶路透🈶，如何？
1696835220# #感觉臭臭的
1703135128# #黄景瑜前妻点赞迪丽热巴相关。啊啊啊啊…这前妻的又来了…
1696053344# #如果你的偶像去看疯马秀你会脱粉吗？
1697463242# #张彬彬，路透🈶，这个造型清爽
1690890878# #猜猜这是谁doge
1704008287# #白鹿，跨年造型🈶
1694874583# #张予曦、孔雪儿、许佳琪、刘些宁。斗罗大陆2杀青照
1700904121# #谭松韵，尖叫之夜，造型出图
1698328984# #王传君刘昊然彭昱畅，他们三个在给谁敬酒啊？
1699629238# #油炸🐍🐍，重口谨慎点开
1702627534# #12.14酷云，全端、点播，播放量🈶。12.14云合占有率🈶。。《脱轨》酷云没统计，云合占有率大概0.3％左右…允悲
1689339519# #浙江台，收视起飞了🛫
1703600325# #8⃣️🐒，浪同时禁言了双方两个大粉，这下闹剧应该可以收场了
1704020619# #我真怀疑，王鹤棣在和田曦薇谈恋爱
1691566238# #犄角旮旯的🍉。戏精王小作文里说的背叛，是指妆造团队出走吗？
1694351616# #丞磊卢昱晓大大方方营业。不像营业，有点像在炒真人cp了
1693295231# #胡歌，最近状态确实不咋正常啊…我是这么觉得允悲
1695472189# #张柏芝，生图
1689307189# #云合热播期均集（统计至7.12）。。长风渡4711，偷偷藏不住3484，。三分野2942，公诉2461，。花戎2280，玉骨遥2133，。梦中的那片海2125，护心2091，。闪耀的她1881，照亮你1682，。我的人间烟火1507，当我飞
1694417829# #割韭菜…
1701940960# #12.6云合估算播放量。。（明月版）。一念关山，5311w（-1244）。很想很想你，1356w（-179）。。（林克版）。一念关山，5332w（-1270）。很想很想你，1368w（-178）。
1703320955# #等通报？什么通报？哆啦A梦害怕？
1688715333# #安乐传，至少要超过与君初相识，今年酷的底盘和去年可不一样，暑假档➕3个顶流呢，先定个小目标4000w+
1703565047# #武庚纪，任嘉伦要唱ost
1703743330# #杨紫，暴龙眼镜👓地广已铺
1702111136# #感觉，一念关山，女主和男三的cp没起来…是我的错觉吗？
1696058741# #来看评论👀，《现在就出发》综艺官宣angelababy加盟，评论区已沦陷…。
1688998963# #云合热播期均集（统计至7.9）。。长风渡4231，偷偷藏不住3072，。三分野2913，公诉2416，。花戎2248，梦中的那片海2096，。护心2079，玉骨遥1982，。闪耀的她1800，照亮你1652，。我的人间烟火1345，当我飞奔向你993，。雪鹰领
1694319287# #莲花楼千劫眉怎么还在打啊允悲，分出个所以然没？
1700291912# #这事闹得…像是来倒油的，就是说龚俊粉，理他干嘛…
1690289573# #玖月晞的影视化作品这怎么不能算是一种成功呢？二哈
1689750725# #王鹤棣，田曦薇《大奉打更人》开机路透🈶。看起来两个人都挺开心的
1698390947# #蝴蝶效应：人间烟火
1703397137# #说一下，陈宥维，谁懂他的夜华？苦涩。一念关山真让他赚了，还是能演戏的，至少不出戏了你好
1693733562# #蒋依依被实名举报偷税
1701948592# #虞书欣，怎样？干饭人
1695885112# #任嘉伦上热搜了，文娱榜热二，热门是成毅粉丝在质问
1698054312# #赌博？？？
1699164923# #侯明昊阴险，让我看看，有没有腹肌
1697953973# #檀健次，你好星期六，粉丝排面🈶，啥水平啊？
1692779024# #曝古偶男星和女富婆的瓜。这狗仔，故意的吧…哆啦A梦害怕？
1698757611# #向太衣服太low了这也太高高在上了吧？优越感满满惹拜拜😅
1701580090# #🐧星光大赏全部阵容🈶，你最期待谁？
1704284608# #王权，开机仪式不对外公开…这为啥啊？
1702394172# #吃宵夜了吗？doge
1697792451# #云合热播期均集（统计至10.19）
1704349945# #于正：“人家突然有了女一号，肯定不能阻挡人家的前途”。是懂内涵的doge。。PS：《镜花缘》传女主定了祝绪丹，粉丝说祝绪丹根本没接《五福临门》于正自己按头官宣允悲于正新剧女演员换人
1699365552# #姜雪宁和嫋嫋境遇好像。这营销，生怕粉丝打不起来doge
1696402248# #女明星，卡大头G社生图怼脸照🈶，谁赢了？
1693561502# #易梦玲跳舞💃
1704431486# #白鹿VS李一桐，这不一模一样吗？
1695809114# #长相思热播期到9.26，结束了，热播期估算均集7648w，在我预估的范围
1692967967# #提名，靠配角爆成流量的🈶谁？
1689511137# #“说真的，我挺欣赏这波魏大勋和王楚然的”
1699671683# #德塔文发文评价以爱为营王鹤棣表现：。剧情高开暴走，热度与口碑齐飞，剧集局全面飘红。再现破圈盛况。王鹤棣引💥爆下沉市场，再次突破自身商业价值。当之无愧的95生扛剧TOP。
1700714762# #VOGUE时尚盛典明星VCR动图🈶。。李宇春、倪妮、迪丽热巴、龚俊、于适、檀健次、李沁、娜扎、朱珠
1703687090# #《民侦探柯南之我给老公的新娘当伴娘》
1690887714# #这图虽然不知真假，但长相思这周加更的可能性很大的
1704454641# #触及到我的美食盲区了…这是啥？
1690203411# #我总觉得，张晚意看起来呆呆的
1696252697# #牛牛🐮真的是，但凡有一个镜头滤镜没跟上，就皱皱的
1697367993# #罗云熙，抖音美好奇妙夜路透图🈶，造型如何？
1696761398# #云合，2023年Q3上新剧集，热播期集均播放量。统计范围：2023.7.1-2023.9.30。*代表带热播期未结束
1702218119# #关于那个。荒山野岭拉💩的，不是邓为，不是檀健次，不是张晚意…允悲
1689413171# #王子文首登COSMO30周年刊封面，首封即周年。造型野性洒脱又霸气收到
1695734280# #时代少年团，怼脸图，谁赢了？。。马嘉祺、丁程鑫、宋亚轩、刘耀文、张真源、严浩翔
1700828802# #关晓彤和范丞丞去王安宇家吃饭，他们仨关系这么好啊？
1698494556# #才截的，同一个品牌，。此沙预定91，陈牧驰预定29，真跑粉了允悲
1697886951# #《珠江人家》这么猛吗？。还是杨烁、张翰两大“油王”演的。第四天，cvb都1.99%了
1693063649# #有些邓为粉丝，这是机位的问题吗？没有提词器，那就是背词眼神呆滞，这么能洗，选一个吧……接受采访，说个话都一愣一愣的…还想演好戏…
1692586934# #舒淇，时尚芭莎九月刊
1699264919# #黄景瑜前妻晒聊天记录。以下为原文👇。前妻：你是你，工作室是工作室。。黄景瑜：这样吧，我按照你的那个要求写，那你能不能帮我把关键词加进去，帮我发了。因为你帮我澄清这个事太重要了。我也真心祝福你的咱们就把这事了结了，以后大家都能好好的。你担心的被骂我肯定全力的找各种关系帮你避免，行
1697713726# #“虞书欣一直发练舞动态，是不是表演型人格？。。这楼主看起来有点气急败坏…
1698657812# #素人伦允悲
1690184535# #“杨洋这波对他最大的影响是什么？”
1702029844# #白鹿张凌赫同框合照🈶。白鹿你的手doge，这样要开始嗑了哦
1690532874# #福祸相依
1691411003# #吃🍉，异人之下9号复播
1693980885# #无与伦比的美丽也太扑了，我不说你们知道谁演的吗？
1704429370# #杨紫，新商务，普拉达彩妆及香水代言人
1700489814# #刘宇宁，珠帘玉幕，路透🈶，扮相如何？
1703672007# #曝白鹿张凌赫是于正点名分手的。白鹿张凌赫，你们两个，到底是谁想炒啊？？？一天到晚，恋情绯闻尿不尽…
1695036559# #亏不亏先不说，至少证明了，虞书欣戏路是广的，不是只能演作精傻白甜人设
1690180107# #7.23云合占有率。曾少年14.6%，不完美受害人11.8％，烟火9.6％，玉骨遥8.2%，安乐传7.6％，欢颜5.7％。。莲花楼3.1%，首播粗估有1100w+左右
1702787726# #王玉雯、王子奇，要同台唱歌了，这对CP售后好强doge
1693976670# #有网友爆料，“地铁判官”曾因多次骚扰女性被抓。
1699242202# #赵露思，最新写真🈶，如何？
1703745121# #提问：为什么那么多人怕《繁花》爆？
1698333470# #不知不觉中，我的人间烟火，豆瓣评分掉到2.8了
1698815795# #陈采尼呢？他无事发生？
1696862514# #有没有科学解释，为什么丑基因比较顽强
1691728405# #灼灼风流定档8.19，这预告，真的有人会看吗？。
1693460600# #虞书欣，衣服很好看，但裙子太过于低腰，视觉上直接把身材切成五五分了
1690984350# #“许沁和宋焰比孟宴臣出圈多了”
1690877458# #路温，区别在于收没收钱吧
1701322002# #给刘诗诗替身脸部打码，尊不尊重这个问题，怎么想都有道理允悲。。这么多替身，只给她替身脸部打码，不太好。替身，又不是脸替，本来就不能露脸，也没啥问题
1695447042# #宸汐缘豆瓣开分的时候5.3分，现在一直涨到了8.3分了吃惊，这也挺6的
1694324471# #有网友质疑，华晨宇抄袭林宥嘉的舞台艺术。大家觉得像吗？
1699943060# #曝苏小玎一年换三女友。他的面相…看起来就像危房，随时会塌的那种
1693231798# #一路朝阳，创新高了，平均1.59％，峰值破2了
1703751890# #解清帅，全家都开始直播带货了…你们这些富豪赚钱就是比我们普通人容易……
1689573852# #共用一张脸的明星。大家不用看了，哪里都是🥩和🐟的战场…
1692336288# #李一桐，云秀行大婚路透图🈶，如何？
1694165816# #云合热播期均集（统计至9.6）。。长相思7102，莲花楼4890，。玉骨遥3547（结束），安乐传2213，。云之羽1794，潜行者1756，。七时吉祥1533，灼灼风流1451，。她的城1460，一路朝阳1455，。鹊刀门传奇1260，
1703165446# #那么问题来了，明星被审判，是不是合理的？
1691075130# #《无间道之三小只西安风云》
1690879070# #小b焰子…
1695809758# #王鹤棣丝绸之路路透🈶，如何？
1691139185# #胡一天生图，代拍的图
1693130708# #“很多人不敢说，虞书欣格局很大”
1689163358# #8点了，安乐传空降了吗？
1703685386# #《繁花》酷云首播来了，第一天平均1.9984％。第1集2.1023％，第2集1.8980％。。参考《画眉》开播。第1集2.0833％，第2集2.3033％
1700143490# #明星看yxh被抓包了doge。。ps.不知道有没有明星看过我老师好
1689060759# #虞书欣自己发的图…。。可以开除摄影师的程度，冷白皮拍成黄黑皮…身材拍得五五分了
1700634045# #【一万个人眼里，有一万个哈利波特】
1689242468# #7.12云合播放量。。玉骨遥，5327（+98）。长风渡，4665（-737，断更3天）。消失的十一层，3864（+298）。我的人间烟火，3481（-155，连降不妙）。偷偷藏不住，2994（-815）。曾少年，2855（+570）。追光的日子，1358（+250）。雪鹰领主，1009（+178）。尘缘，
1700746246# #杨洋的脸，确实没话说，请保持住美貌老师好。杨洋仰头杀杨洋荣耀发布会
1695006555# #颜心记，丞磊，路透🈶
1699871719# #真的冷起来了，打游戏都冻手了…裂开
1694172414# #Lisa粉丝挺搞笑的，上个月才因为舞台服装裤子太短而卖惨吗？现在去疯马秀跳脱衣舞又是艺术啦？就硬着头皮吹允悲
1704290058# #2023年《一念关山》官方均集4461w。估算版：。猫发财版，4513w（高52w）。明月版，4473w（高12w）。林克版，4548w（高87w）
1696407597# #花渣组6恨…笑cry
1697082253# #田嘉瑞，大梦归离新造型🈶
1688722755# #《古相思曲》豆瓣开分8.5，高是挺高的，但打分人数实在太少了，完全不具备参考价值…
1700735011# #倪妮，没话说
1697207890# #因为宋轶代言了优衣库，现在很多人在骂她…
1700149002# #到点了，大家吃夜宵🍜了吗？
1692422198# #大宋少年志2，台网双血扑
1693590092# #哥们，你又开始啦哆啦A梦害怕
1696741273# #企查查APP显示，任嘉伦诉网友侵权案将开庭
1700408477# #吴越大傻春你在干什么？你这是帮忙吗？你这是在拱火…允悲
1689742654# #任嘉伦、李兰迪《流水迢迢》今日开机路透🈶，如何？开学季
1703146307# #12.20酷云，全端、点播，播放量🈶。12.20云合占有率🈶
1700739597# #娜扎，红毯视频🈶，怎么样？
1695884158# #好事成双，播出10天了，是什么水平？
1701670889# #我是眼看着五月天这事是怎么越烧越旺的笑cry。之前有点苗头说他假唱，也上了热搜，但其实并没有很多人在意。然后他的粉丝…真的太鲨币了，去冲了说他假唱的声乐博主骚扰+网暴。然后人家真的准备材料去消协举报了…b站就开始扒他假唱的视频，然后就爆上热搜了，现在大家都知道了已经收不了尾了…
1703764709# #关晓彤、虞书欣《非诚勿扰3》首映礼红毯🈶
1703502140# #杨超越，今日活动造型🈶，怎么样？
1702179528# #虞书欣的夹子音，在苍兰诀的时候那才叫出圈，夹总最爱装傻，他不认识虞书欣你信吗？打脸夹子音
1702824634# #迪丽热巴，第二套造型来啦
1701952984# #梦回云之羽了，你们四个拍怎么不带上虞书欣干饭人
1692270867# #看不懂…
1697077346# #邓为，仙台有树开机，粉丝排面🈶，如何？
1689601273# #收到收到收到
1693402405# #赵露思粉丝在抵制《珠帘玉幕》
1700894621# #成毅，尖叫之夜，粉丝应援，这排面如何？
1691051720# #视频来也，这就是爆红的阵仗吗？好多人啊。魏大勋
1693891198# #邓为这么🐮啦…
1692455462# #猜猜这是谁
1704116137# #有哪些明星情绪非常不稳定？
1699348181# #乐游原，宁安如梦，对打了，对打了阴险
1692418247# #大中午的，檀丝为丝就交流上啦
1692681377# #牛掰
1690111160# #7.22云合播放量。。曾少年，5476（+220）。我的人间烟火，4563（-21超点）。不完美受害人，4365（+453，单集，涨幅很好。玉骨遥，4127（-812）。消失的十一层，3531（-65）。安乐传，3095（+368，这2天都涨了）。长风渡，2341（-69）。欢颜，1785（
1697545032# #邓为今天的造型🈶，如何？
1691942854# #魏大勋，签到14.14万，维持得不错
1695034227# #父辈的荣耀，收视日历，挺好没卡9，过1.5了
1702285174# #王楚然对接方辟谣出演《难哄》，称网传消息为假
1701273562# #🐮🐮舌吻
1689436193# #檀健次录个节目还挺累的允悲
