1700933996# #老人回忆当年大饥荒！
1702127915# #猜猜这是干啥？
1690725593# #不要说什么为谁服务，谁都是在从事一份职业，没有谁必须无条件的为谁服务，除非有其他的想法。
1693741538# #有的人老了之后，性情会变得很奇怪，已经不能用人类的思维去分析
1703997929# #6旬老人守株待兔式“撞车”，报警后司机判为无责……碰瓷
1703133731# #仰望U8爬坡原声版，在绝对实力面前就是碾压…
1697857216# #游客破解石碑回旋诗，这真的非常美妙啊！
1702239238# #黑色小车司机错过出口想变道，发现危险又往回打方向发生追尾，承担事故全部责任。
1703076648# #大哥，谁给你的自信……允悲允悲
1698671151# #山东，说是大哥拉了一车蔬菜到城里卖，谁知道没有手续不让卖，大哥一生气，全部免费送了允悲
1703244914# #孙子被奶奶连扇两巴掌摔倒，最后还一脚踢裆踢翻，听着哭声都心疼！！！
1703613154# #1936年，斯大林为高尔基抬棺的真实历史影像。别致大视野的专属圈子超话
1697340725# #战争受伤的永远都是平民百姓！
1702273250# #这是老街城内的混编营，由缅军和白军组成的，准备前去观音山，结局也可想而知。
1702211842# #小孩无辜遭殃躺枪……家和万事兴！
1702251142# #拜登鼓吹北约！
1697581280# #查酒驾！
1701353118# #非洲一个村庄集体被蛊惑加入伊斯兰教，之后他们开始砸毁他们曾经供奉过的神像
1702891673# #男子假扮外卖员偷走台面上刚打包好的外卖
1701763325# #12月3日，陕西汉中，高中生领生活补助办银行卡，被要求证明“儿子是儿子，爸爸是爸爸”！
1703301624# #一夜暴富……
1690392853# #客人Ktv过生日狂撒30W
1697285839# #这怕得要个50L的水壶！
1702693881# #常州千里香馄饨老板打人事件后续来了，店铺内被塞入纸钱，玻璃门疑似被砸一地的玻璃渣子…
1702037021# #三个人掉入井内！。谁知道哪里发生的？？？具体情况如何？？
1702559138# #董明珠新人入职会上怒斥孟羽童！
1702260222# #现在这玩意是不是有病？
1702444772# #青岛地铁一号线……小伙子跟几个大爷干起来了，具体原因不清楚……
1701948751# #县委办副主任。与县公安局禁毒大队教导员等人工作日在酒店打麻将赌博被当场抓获。官方通报:三人均被免职
1700969841# #路遇加塞眼看剑拔弩张女子用高情商话语“出击”。瞬间就化解了矛盾！
1690837140# #这都没干什么，你信吗？？？
1701056462# #这是在加沙的网友拍摄的，一位太平间工作人员展示出以色列的弹片，是从18岁小女孩身上取出的！
1691290127# #“120亿买政治支持”，不懂就问，政治支持是什么意思？
1701611173# #真怕他在自行车上抽出他的五连鞭
1701224564# #这个抓奸有点窝囊啊二哈
1694316963# #马来西亚退步了，连中国都踢不过了。
1702629340# #女子失恋喝一斤白酒后死亡，同桌3闺蜜担责。女子喝白酒死亡同桌3闺蜜担责
1701425636# #大哥一句威胁，脸上直接挨了两拳！
1702900977# #12月16日广东深圳，一男子自称是管理员，把女摊主的食物把翻在地。女摊主让叫管理员老板过来！男子却说：老板过来也没用，是我在管你。
1700998370# #男孩火锅店乱跑惨遭火锅汤料浇脸，万幸汤料并非滚烫
1694692580# #套着垃圾袋在时装周上走秀。。观众居然都没有反应过来。。。哈哈哈
1691059500# #这一幕太吓人了！
1703936979# #父亲火车上得知22岁刚刚当兵回来的儿子遇车祸身亡，情绪崩溃，嚎啕大哭……
1703633223# #12月26日四川遂宁四川一医院医护人员集体爬窗讨薪这个世界怎么了，人人羡慕的职业也开始欠薪了……
1698331948# #我就想知道姑娘怎么样了？
1697949033# #球员亿万富翁的不在少数，叹为观止吧！。各方既得利益者获得亿万财富的也不在少数！。
1700833568# #女子推摄辱骂民警结局让人极度舒适
1691070393# #歌声嘹亮。空军战机飞越台湾中央山脉飞行员借用余光中《乡愁》。高唱“我的战鹰绕着宝岛飞，，亲人轻声唤你归”
1691060486# #网传视频…唉！
1692971511# #对向车道堵车，大货违章逆行拒后退👹，辱骂恐吓小车😡，看到最后，结局不会让你失望，又亮又舒服😂🤣
1690858462# #白车固然不对，黑车走非机动车道也是造成此事故的原因之一吧doge
1694946629# #王朔评价白岩松！
1690724467# #这就是爱国主义教育？！
1700615415# #以色列公布10月7日蛤蟆斯袭击音乐节后的尸横遍野的场面，只能放30秒。
1703124336# #一支鹅军小队在乌克兰被全歼，其中一个鹅兵刻在砖头上的遗言被发现，他希望母亲和弟弟妹妹能被照顾。
1693571761# #自动打饭机还可以计量重量，比食堂阿姨打饭还靠谱666允悲
1693888098# #宝马男乱停车，被怼后伸中指辱骂对方？
1698150752# #无家可归的加沙人民！
1698000397# #中国海警3105船拦截了试图闯入黄岩岛海域的菲律宾渔船。
1702265686# #男子结婚当天前女友。组团拉横幅妻子直接翻脸生气娘家人揪着不放。男子:一言难尽里外不是人
1693017665# #海外华人生活艰辛，一家四口移民英国，拖欠房租被法院驱逐，执法人员：别跟我讲人权！
1697935714# #一百斤稻谷最高可以卖150块。一亩地可以最多产800斤。一亩就是1200块。化肥大概要300一亩，请收割机150一亩。所以就剩750块。种一季要4个月。我家4口人的田只有5亩多。都种稻谷的话，不算人工等其他成本，4个月就只赚3800。所以现在我们村里种稻谷的基本就自己吃，或者纯靠情怀。允悲
1701959633# #城管来了，路边摊老板跑了食客一脸淡定继续吃宵夜被围观
1697329053# #特斯拉人车识别系统，把泰国人都整不会了！
1691278967# #怪不得美国猪肉辣么便宜，头条上说到中国口岸才4.35元。。原来是美帝派出军队偷麸皮生产饲料养猪，成本低啊！。请注意一下这个媒体，海客新闻，这是人日报属下的海外网属下的媒体，这就不奇怪了吧？
1697543526# #停工令来了严控7省56市，部分原料断供
1690519656# #这分明是集体旅游……调研一个大省，也用不了那么多官人！
1693890752# #人间地狱妙瓦底遭炸弹袭击诈骗园区保护伞出现大量伤亡！
1701172185# #确实挺倒霉的！
1702684165# #当场爆炸：飞行汽车秀看得多，但空中电机失效迫降很少见
1698625881# #加沙巴人都成了戏精，为了博取同情反抗都成了表演节目，你看那底下的救护车医护人员都在准备着，炮仗一响就开始了。
1702522974# #斑马线前礼让行人，结果发生这一幕…
1701578231# #11月29日，江苏徐州市邳州。几名男孩持灭火器疯狂喷射便利店，疑与老板孩子有纠纷，目击者：老板的孩子住院了。（南昌广播电视台小政视频）
1693712255# #贵州村超与英超签署战略合作协议，令人惊讶的事情突然发生了。中国足球每年几亿的开支，都没有办到的事，被村超给做到了。这足以说明，中国可以踢好足球只是足协踢不好。球！贵州村超
1697804266# #课堂上用手机玩游戏，影响其他同学，老师发现后没收手机，被没收手机的学生直接对老师锁喉。你说这种情况让老师怎么办，管还是不管？
1690943698# #吓屎了！笑cry
1690556522# #这小仙女怕是家里惯的！
1697998907# #空投火箭弹，哈马斯曝光反坦克无人机部队视频。
1701746411# #河南一学校班级群内通知收费，家长询问反被踢出群。学校回应称：任何家长不准在群里发关于收费、交钱、费用这一类的敏感字眼（触发关键词被机器人移出）。牛逼！微笑
1703981382# #这才是真正的小蛮腰……
1697941951# #前面收后面捡？这也太危险。。。
1698573861# #行大道，民为本，立天下！”一身正气！两袖清风！
1693793702# #今日战场新鲜捕获的俄罗斯人，一个个衣衫褴褛就像街头乞丐。为保卫权贵的游艇而战，不值得……
1693713630# #出门要么胆大，要么停车等待找机会。优柔寡断、要走不走必定出不了大门！网友：哪里有这样开车的，横跨几条道！
1693022488# #这对母子真是看热闹不嫌事大，里面还会有夹杂很多泥沙，洪水猛兽的威力不是吹牛的汗汗
1695090034# #9月14日，广东阳江，工人正在锯树，女子骑电动车路过被砸中。知情者:拦都拦不住，硬闯过去！
1690777715# #互相理解一下吧，人家运管也是靠业绩吃饭的！
1703129836# #12月19日，江苏盐城，一头待宰大水牛，多次给屠夫下跪，哞哞哀叫求放过。最终屠夫扔下屠刀离去！
1701000965# #宋楚瑜评价蒋经国！
1693709694# #河北邢台宁晋县，老人骑三轮路过，顺走盖住洞口的木板。。。一时贪小便宜可能会酿成大祸怒
1697857857# #太有创意了！
1701071852# #看着好面熟！
1703297203# #因把物品放在地铁座位上占座，女子遭大伯连续捆掌，双方在地铁车厢里大打出手！
1702344988# #原来22年就有为了孩子上学献血的事情了！真的好悲哀！为了上学竟然到了这样的地步！把自愿玩上了新的高度！！
1703506398# #男子近千元买收音器打开是3管牙膏当事人：外包装和塑封膜都有一直不给解决社会百态
1702950957# #男子在太和殿吵闹，不昕劝阻被控制，在古代这可是要杀头的……
1697673458# #实际上巴勒斯坦人真应该感谢以色列人，1948年阿拉伯人联军虽然想亡国以色列，但失败了，可是约旦趁机占领了约旦河西岸，即如今法塔赫温和派统治的居住三百万人的地区，而这是1967年第三次中东战争以色列从约旦占领下夺过来的，后来还给了巴勒斯坦人，你们自己的兄弟还真靠不住。
1691198775# #无耻到极点了……又在算计老百姓口袋里面的那一点点银子了
1704020215# #12月30日比亚迪山东滨州4S店发生火灾……
1702901336# #中国文化代表团表达了充对最高司令官的敬仰之情。这是个光荣榜吗？
1702770752# #在结冰的湖面上骑着越野摩托车玩狂飙并不简单。警告：专业动作，请勿模仿！！！
1690590054# #烧遗骨盛赞朝鲜军事力量世界第一，这愣是把世界老二的东方大国排名往后推了一推。
1702825675# #12月16日江苏，苏州。外卖小哥有突发情况想请假回家，却被经理告知要扣百分之二十的工资
1693830293# #美国前总统克林顿去星巴克买咖啡，还不如一个被保安围一圈儿，前呼后拥的天朝明星。
1702854888# #老人骑车逆行摔倒，SUV未接触被判次责！大量网友质疑合肥交警，无接触交通事故什么情况要担责？
1696763222# #遵守交通规则！
1700398839# #欧足联不允许以色列和波兰的球员为10.7的遇难者默哀，于是，以色列和波兰的球员决定，第一分钟我们不踢了。。。不给我们一分钟，我们就用比赛的第一分钟默哀，好样，有骨气！
1694641012# #男子追尾西瓜了...关键是停车位上，力度还不小....希望吃瓜群众没事！
1701911850# #给每个东北的体育馆都养只羊！
1702824880# #欧洲遍地文化冲突从西班牙上岸的难民，后续欧洲大地...
1701953319# #演员邵逸凡称多次被迫假唱担心现场设备不行担心我唱砸担心别人唱“我不怕搞砸但很多人不希望有风险”“掀起这么大讨论挺好以前是观众太宽容’
1703655993# #一位父亲脚踹年幼孩子，还要拿刀砍孩子！这种是不是在外怂成狗在家凶得一批的？
1696762275# #城管把交通队的生意抢了，但是这辆车违章了该罚。
1692682391# #可能是不让超载！
1701566932# #这小狗坐着跟个毛孩子似的！
1702900405# #柔韧性不错挤眼
1703163094# #行人走斑马线过马路，突然回头被出租车撞，再被其他车辆碾压。交通安全交通安全
1694565093# #截止2021年，美国私人家庭共收养了中国弃婴11万多人，其中88%是女婴，80%患有天生残障和疾病。。真的不了解普通的美国佬，他们这种天使般的爱是怎么来的？
1698238283# #局越多越好，能解决就业问题嘻嘻
1696980187# #国内拉力赛VS国外拉力赛！
1691038323# #男子感叹浙江医院太漂亮开在镇里的都很气派网友:这就是实力
1703663937# #12月26日江苏，女子偷衣服里被当场抓住，昨天上人家店里偷去了，今天又去她孩子还不换衣服去偷……
1703468910# #82岁老人突然倒地，却无一人上去营救……。
1702946758# #12月19日据央视新闻，甘肃积石山县6.2级地震致房屋倒塌和人员被困，消防救援力量正赶赴震中。甘肃地震
1696739307# #到洗车店:老板给我精洗一下doge
1695317926# #转弯让直行！
1698581747# #一对夫妻在路上发生矛盾，男子疯狂打自己脸，他老婆劝他，他还给他老婆一脚。。
1697803273# #一名以军坦克兵被巴勒斯坦民众从梅卡瓦4里面强行拖出来二哈
1703438494# #你不要小看这几刀，是猪看了都哆嗦。
1701768313# #吃惊印尼火山喷发已致11死，登山者求救视频曝光：满脸火山灰，大口喘气呼吸困难。
1700090871# #终于出院了！允悲允悲
1702822951# #大千世界，无奇不有！一个敢装，一个敢拉！
1698203209# #可可西里网红狼如今小肚子都长出来了肥胖且胆小，“这小肚子挺富态呀”。。网友：三高马上来了！允悲
1701954531# #上海浦东一跨线桥上10多辆车接连发生爆胎
1701261936# #女子在工地门口卖盒饭，两名保安上前直接拿走东西，路过男子前程拍摄曝光，从这个视频中看，两位保安已经违法，这属于抢夺他人财物，应该治安拘留，首先女摊贩没有在工地内，不属于他们的管理范围，女子摆摊买不买是每个人的选择，哪怕有人去购买，那是每个人的权益和自由。
1698462618# #发展、改革，委托给你们了！
1703154383# #崩溃！广州电动车限行惹争议，限行新规竟把全城堵“死”，民众崩溃，外卖也干不下去了，我不会飞！
1701989260# #网友投稿：男子遛狗不牵绳追咬女子两只宠物狗，事后不道歉还抢夺女子宠物狗虐待！
1691101911# #四川籍的几辆越野车从敦煌周边的阿克塞县进入罗布泊无人区。期间最后一辆车因为抛锚困在了无人区，前面的几辆车行驶速度比较快，没有发现，扬长而去。后来组织此事的皮卡车发现了情况，停车进行救援。由于温度达到了七八十度，抛锚车上了两男一女已经出现了脱水情况。皮卡车在救援时也发生了抛锚，
1702345538# #12月11日重庆。大妈眼红别人生意好，阻拦摆摊，摊主凭借“亲吻”战术将其击退。网友：万一被亲的动心了，天天去怎么办？
1690367075# #两名男子从缅北电诈公司逃跑时，不幸在大街上被人抓回崩溃大哭:老板是中国人，这样残害自己同胞，可耻，丧心病狂
1697951088# #新时代的乞丐，靠网络直播维持生活的年轻人们……
1703386940# #才艺表演！酒算是喝到位了……费解
1690983003# #有一说一，我不是对孩子有人身攻击。只是这个孩子看着那个啥来着，智力估计有点那个问题。看脸就能看出来。正常人和有点弱智的人的脸部表情是不一样的一看就能看出来的。别喷我
1701267120# #广州一村办企业老总上夜总会：搂着小姐唱“不知怎么表白”
1693614031# #不卑不亢！田地承包人每一句问候和关心背后都透露着无奈和心酸（来源：榆林传媒中心）社会百态
1702992636# #当偷偷剪头发没告诉老婆……
1694261828# #网友吐槽：别的地方旅游景区，退伍军人都是免门票，为什么湖南衡阳南岳不免门票？你怎么看呢！！！！！！
1694640890# #停车太靠边，这损失有点大啊。。。这车是纸糊的吗？
1694387862# #网友拍下男子坐高铁烟瘾犯了，高铁即将停站，男子迫不及待准备着。。网友：他不想浪费每一秒
1696212116# #因行李问题“情绪激动”被列车长叫乘警后，男子条理清晰据理力争。对此你怎么看？
1703342309# #群众被骗的60万追回来了，太难得了！00后的他们高兴坏了！网友:我感觉他们比当事人还高兴！赞赞赞
1703332118# #针对俄罗斯国内鸡蛋价格暴涨，普通百姓越来越吃不起的现状。俄罗斯国家杜马国防工业组织发展法律保障委员会主席、统一俄罗斯党成员古捷涅夫接受采访时表示：鸡蛋变得越来越贵，是因为俄罗斯人变得富有，因此开始吃太多鸡蛋。
1703380984# #今天遇到大客户了……
1702517335# #大龄剩女单身原因：33岁要有房有车高富帅，农村女孩非优质男不可！
1693528946# #网友爆料鲁山雕像内幕！
1701567143# #11月12日，云南昆明。两姐妹合唱《郎的诱惑》，没个几十年功底是唱不出来的，网友：夹子听多了，第一次听钳子音。
1702623873# #两名美军潜水员在日本鹿儿岛县近海失踪
1703288122# #12月21日，内蒙古阿拉善，一只狐狸跳进羊圈想要吃羊，双方激烈交锋！
1700044629# #大爷在公园内怒斥扇脸打老伴，只因老太太上不去电动车！！！！
1690757789# #为了高薪去缅北的胖妹，终归是没了。视频是海波讲述了胖妹在缅北的悲惨生活~真实事件
1698102745# #网友翻出美国总统拜登在俄乌战争爆发一周年之际的讲话！
1701953139# #江西8岁男童被狗咬伤，脸部缝90多针、伤口共约15厘米长，事发5天后仍未找到狗主人。城管局:事发地为犬只限养区
1701327183# #女子等电梯时，遭到陌生男子多次猥亵，最后跟着路人逃离电梯。
1700615993# #足以证明贫富差距有多大！
1700744535# #🇺🇦收复了赫尔松
1700647947# #如果没有大量的羊，狼吃什么？
1701972926# #海底捞太贴心了，分手都有节目……允悲
1700610777# #米莱前往奥利沃斯总统别墅将跟现总统共进早餐并商谈新政府交接细节.在途中遇到一辆经过校车，米莱下车跟小朋友挥手致意
1693052055# #“日本人我捅你娘麻拐”！估计只有湖南人能听懂！允悲允悲允悲
1700010625# #在国外的大街上，手机最好揣兜里！
1698149801# #土耳其总统下令：60万军队和3000辆坦克进入一级战备状态，准备对以色列发动猛烈攻击！
1703719339# #男子不走人行横道横穿马路，恰巧司机开车也不看路。摊手
1701571267# #真到离婚时，哭的都是自己这么多年的付出，不甘心。哭的都是自己当初瞎了眼。并不是不舍对方。网友：穷时有妻子，富时莫忘妻
1703844509# #女子果摊前讨价还价未果，竟一脚踢翻果摊砸坏秤，随后嚣张离去社会百态亿点曝光计划
1702769947# #东北零下十几度，流浪狗一家睡在寒风雪地里，路人做法令人感动！
1693608837# #私家车轮胎带泥被城管锁车扣留，城管局回应：确有此规定，会有处罚。
1690998316# #缅甸妙瓦底地区电诈组织的保护伞、克罗边防军指挥官苏奇督。他站在那里，沉稳的表情下隐隐透出凶狠和冷酷的内心。其他人都站得离他很远，以突出他的地位。这个人是妙瓦底地区的实际控制人，拥有13个边防营兵力，大概有6000人。不知道有多少同胞被他残害在缅甸。而这个人之所以充当电诈保护伞，又是在为
1694640069# #20吨的挖机直接冲起来，什么水管这么大的压力？
1702666906# #东方甄选CEO直播开会摔手机。。东方小孙给消费者开会？想想都好笑，你谁啊！
1702175577# #1991年北京台春节特别节目报道之看望热电厂工人！
1693541967# #女子账户突然多出800万，吓得赶紧报警！
1702216492# #这身材真是完美，挑不出任何毛病！
1692678883# #我还以为是公公调戏儿媳！允悲允悲
1701329559# #雷军读书学校给奖学金2000元奖励，曾经说要以一百倍回报母校，雷军今天武汉130周年校庆，以个人名义捐款13个亿！
1693225594# #为什么善良的人总受欺负！
1701144242# #男子潜泳穿过海眼，虽然距离不远但是也很危险呐。
1701133048# #广东一高校运动会扔标枪女生王者出场“插秧式”收尾裁判:我一般不笑除非忍不住！
1696914288# #主动上交战利品，保小命允悲
1696728633# #哈马斯武装昨天毫无征兆的对以色列发动袭击，最少发射了5000多发火箭弹，造成了100多以色列人死伤。。为什么？这并不符合加沙巴勒斯坦人的利益，那里的人民现在生活主要是靠欧美国家和部分海湾国家援助救济，还有相当的巴人在以色列打工挣钱来提高生活质量，这一打起来这些会立即消失，而且，以色列的
1690713248# #刀郎将会被美国音乐协会制裁！
1697251655# #极限跳伞！
1702423347# #全网最诚实的房东！记者问这位房东为什么要这么写，房东原话:现在生意不好做，整条街都是空铺面，实在不好意思写旺铺…允悲
1697202266# #泡个蛇酒，差点被咬
1702126890# #国外有钱人的解压方式看完让人大开眼界贫穷限制了我的想象力别致大视野的专属圈子超话
1702822126# #男孩哭着阻拦父亲卖狗被呵斥“滚一边去，再哭我扇你了”。拍摄者：太狠心，卖了800元。
1693915148# #这年头网红也不容易啊！
1694575198# #远嫁到非洲的女孩，相夫教子“勤勤恳恳，任劳任怨”……
1703678157# #公主清请吹气……
1703982021# #印度尼西亚数千名公民袭击了罗兴亚难民、儿童、妇女和老人，他们被垃圾车收集起来，送往未知地点。历史上该国也曾出现大规模排华事件……1998印尼排华事件
1701395168# #停车一定要避开消防设备！。这就是消防栓前面停车的后果允悲
1703997767# #儿媳把婆婆压在身下暴打，看似儿子在拉架，老太太一下没少挨！婆媳关系
1702390380# #女神永别了！蜡烛蜡烛周海媚于2023年12月11日因病去世蜡烛周海媚去世
1691059924# #我还是喜欢你刚刚桀骜不驯的样子！
1701823262# #男子晒自己1米8的女友，纵使有一身肌肉依旧小鸟依人
1701434515# #事实证明。大家其实都没那么讨厌广场舞doge
1701690619# #车主讲好的开完锁给三百开完锁只给五块还诬陷开锁师傅把自己的门把手给撬坏了！
1701652975# #这心肺复苏的动作是认真的吗吃瓜费解费解费解
1690850160# #在极权国家，砖制者都有一个接班人困境，到晚年无不殚精竭虑地考虑接班人问题。往大处说，这是革命的干秋大业是否后继有人；往小处说，也涉及自己死后的身家性命功过荣辱。。培养一个接班人，就要给他放权，使他有威望。尔后又觉得这小子会不会提前篡权？然后干掉接班人，再培养接班人，如此周而复始
1693020088# #昨天还给家里人打电话说不要屯，结果家族群开始发这个视频，太恐怖了，但是真的不用囤啊！
1702348486# #岁月从不败美人！周海媚19到57岁颜值变化。她演的电视剧都太经典了，几代人的青春回忆呀心。
1693958902# #缺水这么严重吗？
1702901415# #公主请上车允悲允悲允悲更年期都到了！
1700981626# #黄狗是有多大的仇！
1702552444# #真正的知识和道德是体贴人的，尤其体贴底层人。它会用有普世情怀的怜悯精神体味人间冷暖，顾及天下苍生，将满足和慰藉与千家万户的幸福平安挂钩。而虚假的知识和道德是忽视“人”的，它将人当作“工具”，为其另外的、非以人为中心的目的服务，它不管讲述得多么花里胡哨，最终让人感受到的却是冷冰冰
1701486233# #结婚封路，这操作不太妥吧挖鼻
1701919440# #动物凶猛！各位狗主人一定要看好自家爱犬呀……黑线黑线黑线
1702443030# #现在的年轻人真拼啊…
1703054096# #12月19日河南焦作，天空中漫天飞舞的乌鸦，网友：这几天一到五六点就开始了这样…正常吗？
1693711184# #女司机下坡遇到转弯不减速，副驾驶坐不住了，急忙抬起她的腿。
1701915011# #女子因吃火锅加汤不及时。出口爆骂羞辱服务员发生开水浇头惨案
1703296334# #梅花鹿配合饲养员去鹿茸，鹿：给你给你，赶紧拿走，太重了！
1690932614# #买拖拉机去野吧good
1700100506# #蓝车根本没必要跑，跑了就全责了！
1701255653# #网传上海一女子在西藏出车祸。“动用关系”让西藏全地区公务员为其献血多方否认:系求助爱心人士自愿献血
1701757369# #死神不收！货柜车侧翻将小车压在车底，小车里两人被救。
1703995685# #安装电网，防止蕃茄叶被蜗牛吃掉，太有才了……
1697935057# #根据土耳其的资料，以色列军队的作战部队有330辆梅卡瓦-4和160辆梅卡瓦-3坦克。。220Merkava-4和660储备的梅卡瓦-3。。到目前为止，至少33辆梅卡瓦-4坦克被摧毁。。“梅卡维-3”由于保护薄弱而位于该国中部的存储基地，尚未在战斗中看到！
1697746260# #鸠占鹊巢，却还这么理直气壮！
1697416745# #哈马斯宣传战，卡桑旅分子从地道冲出，使用苏联上世纪六十年代产的RGP-7火箭筒摧毁梅卡瓦坦克模型。
1698238601# #老鼠窝一锅端！
1703749779# #哈马斯公布了袭击以色列国防军士兵的录像，至少有三名以色列士兵在爆炸半径内。巴以冲突
1690675520# #五虎上将，。共和国脊梁。
1691198525# #这轨出的好洒脱，看那男的躺姿，再看这女的跋扈，再看这男主的无力感……
1703060992# #这个大妈捡到学生的伙食费，人家看着她拿起来的但是她死不承认…，最后学生急的都跪下了！苦涩
1690985742# #跑跑跑，抓抓抓，判判判，毙毙毙！
1697417692# #一转没！允悲
1703593591# #这帮子50、60后工作时利用手中权力最大限度为难别人。退休后组建暴走团，扰民喧闹无视别人的感受……
1702291405# #新郎结婚当天被亲友拿扫把追着狂打拍摄者:当地习俗图个喜庆
1695106955# #衡山县公交全城停运……汗汗汗
1698358688# #绝对力量面前任何技术都是徒劳
1690944471# #萌娃喜提爱车后找奶奶耍酷“扭扭车被开出了帕拉梅拉的感觉”
1702897123# #很多吃皇粮的，确实就是国家的恩赐，国家不恩赐，分分钟上街讨饭。。。比如报纸。。。允悲允悲
1693224206# #湖南一扶贫安置房被曝大面积质量问题。12栋楼每栋都有质量问题卧室的房门都是纸板天花板漏水！
1690339318# #傅晓田傅晓田突然火了，看她的前世今生。傅晓田，1983年生于重庆北碚。&nbsp;&nbsp;&nbsp;&nbsp;就读于西南师范大学附中的傅晓田在高考前的重庆市全市联考中排名第四。据一位自称傅晓田校友兼邻居的网友介绍，傅的中学时期样貌出众，皮肤与身材尤为惹眼，是个远近闻名的美人儿。跟新浪看热点
1701828126# #电动就是好，没人还能跑笑cry
1693819390# #女主人在家教训孩子，一句“站好了”吓得狗子直哆嗦…🤣
1691100858# #河北省委书记:坚决当好护城河有序启用蓄滞洪区，减轻北京防洪压力
1703460211# #网友：12月24日，自己到上海出差，刚下车发现手机掉到出租车上，前后不到三分钟就联系到司机，司机嫌100快感谢费太少，开口要300，拒绝后直接联系不上。。出租车公司各种以司机不配合为由搪塞敷衍。最终在友谊路派出所民警的帮助下通过手机定位追踪将司机截停，事情才得以解決。。网友为出租车司机的行为
1702980593# #睡觉时遇到地震该怎么办？这个动作关键时刻可保命！
1702265429# #2女子租公寓卖淫。民警突袭衣衫不整被抓现行。还辩称“在聊天”
1698490039# #这下可糗大了！汗汗
1704024001# #坐在了危墙之下，赶紧拍个片子吧……
1702994031# #12岁柬埔寨公主登上央视舞台，用中文演唱歌曲《共饮一江水》。不得不说，公主歌唱得不错，人也很漂亮。柬埔寨小公主中文演唱共饮一江水
1696210490# #司机撞断了消防栓，下车发现消防栓是假的！！
1690195092# #宝能集团秦君雪带队夜闯中炬高新解雇保安未果
1701928289# #这撩人的风污污
1697287744# #特斯拉车主遭武装人员袭击车主：超强加速让我躲过一劫！
1694688942# #1890年，高丽。南朝鲜乘木撵出门的大将军。百年品牌现代！
1690907445# #这种家庭条件还生两男孩黑线婆婆都掀桌子了，老公在旁边动都不敢动……这媳妇糊涂呀！
1702647528# #这个视频拍的很有水平！！！
1697425629# #如果高速不禁摩，有可能会像蝗灾泛滥。
1701701670# #金子，这里的水很深，你保持不住
1702956422# #甘肃深夜发生地震，临夏震中一中学学生到操场避险，气温零下十几度孩子们裹着被子生火取暖甘肃dou知道社会百态甘肃地震
1693830122# #不要再纠结什么车可以走318了！
1693362350# #这……！跟衙门的高大上不匹配啊！
1703293436# #成都一女子当街脚踢掌掴武装押运员，警方：因排队离场引纠纷已和解……
1702862041# #浙江交警发布的一段视频，大货车路口随意倒车，后方电动车驾驶员果断弃躲避。不得不说，这女的真聪明，不但保住了命，而且还可以换一辆新车。
1698030975# #菲律宾真的是不自量力！！！！！
1696762548# #一货车停放多日，41岁司机被发现时早已身亡，遗体严重腐败，警方已介入。
1702142444# #明明体型上是劣势，为啥能把癞蛤蟆折磨成。这样，看着都感觉屁股疼！
1702255092# #如果不是踩着油门，估计都停下来了！
1703845214# #缅甸北部果敢MKk电视台官方号被注销，成立电视台的主要成员均被通缉。MKK电视台缅北
1703508043# #金黄酥脆的长尾兔，肉质弹牙有嚼劲美味到极致……
1690712531# #现在的很多部门没有服务意识，只有管理意识！
1702736102# #【修车公司不准司机自行换胎警察回怼：人家自己换胎或者找朋友换胎有什么问题】12月15日，四川成都。货车司机高速服务区自行换轮胎，被修车公司阻拦，成都警方现场霸气回怼！网友：看着真解气！
1698257768# #这是哪里的风俗啊？
1703671677# #滴滴司机车站接人撞上劳斯莱斯，乘客：看到剐蹭懵了，取消了订单……社会百态
1701836886# #我酸了，这嫁妆也太豪横了点！！！！！！
1703265680# #这是在甘肃的工人拍摄的，经过几天的奋战，灾区临时安置点的房子已经建设好中国甘肃地震
1702751251# #异地恋刚见面是不是都客客气气的……二哈
1691117185# #这叫私闯民宅上门找抽！是人才能做到文明养宠，兽儿是永远做不到的。
1703247575# #世界上最贪财的草……
1702278618# #芳村金融茶崩盘，罪魁祸首就是这个昌世茶董事长陈世鸿，稚气未脱的“00后”潮汕人，涉及超过5亿元的炒作就在一夜之间崩盘。
1703077525# #这是哪里的河道？这么豪横，还装上电梯了！
1703219010# #网友爆料：高速路上一车辆发生燃爆……
1703506773# #水木年华演唱会上唱《一生有你》怀念朱令：希望她在天堂依然有音乐的陪伴！
1703804467# #站起来干啥？躺着打开选车APP啊
1695809619# #堵路还有理，希望能管管！
1690805804# #比较有思想的小伙子，肯定有前途
1698672032# #10月29日四川成都，摊贩推倒摊主砸倒烫伤执法城管。
1701951806# #这活干不干的有差别吗？笑cry笑cry
1698119413# #现在超载都这么光明正大了吗？
1690542239# #烧烤店一男子强吻服务员事后该服务员并未追究友情提示:醉酒不是放纵的理由！
1702128574# #村霸就是霸气“付完钱立马能过去”，报警不如村霸一句话?
1703981029# #网约车司机接到一名女乘客，他怎么也想不到结果会是这样裂开……
1695637929# #小区建垃圾场应该要征的居民同意吧？
1703372903# #视频车是个牛人，直接朝着逆行的车撞了上去！请问大家，视频车这样做合适吗？
1702441200# #民风淳朴，好客之乡
1697238307# #警告无果果断“摇人”
1702555299# #现在内卷这么严重了么。
